T45n1858_001:0150a22	肇論序	肇 論 序 
T45n1858_001:0154b21	而生、有時而滅。可得然乎？答曰：生滅者，生	而 生 有 時 而 滅 可 得 然 乎 答 曰 生 滅 者 生 
T45n1858_001:0154b22	滅心也。聖人無心，生滅焉起？然非無心，但是	滅 心 也 聖 人 無 心 生 滅 焉 起 然 非 無 心 但 是 
T45n1858_001:0154b23	無心心耳；又非不應，但是不應應耳。是以聖	無 心 心 耳 又 非 不 應 但 是 不 應 應 耳 是 以 聖 
T45n1858_001:0154b24	人應會之道，則信若四時之質。直以虛無為	人 應 會 之 道 則 信 若 四 時 之 質 直 以 虛 無 為 
T45n1858_001:0154b25	體，斯不可得而生、不可得而滅也。	體 斯 不 可 得 而 生 不 可 得 而 滅 也 
T45n1858_001:0154b26	難曰：聖智之無、惑智之無，俱無生滅。何以異	難 曰 聖 智 之 無 惑 智 之 無 俱 無 生 滅 何 以 異 
T45n1858_001:0154b27	之？答曰：聖智之無者，無知；惑智之無者，知	之 答 曰 聖 智 之 無 者 無 知 惑 智 之 無 者 知 
T45n1858_001:0154b28	無。其無雖同，所以無者，異也。何者？夫聖心虛	無 其 無 雖 同 所 以 無 者 異 也 何 者 夫 聖 心 虛 
T45n1858_001:0154b29	靜，無知可無，可曰無知，非謂知無。惑智有	靜 無 知 可 無 可 曰 無 知 非 謂 知 無 惑 智 有 
T45n1858_001:0154c01	知，故有知可無，可謂知無，非曰無知也。無	知 故 有 知 可 無 可 謂 知 無 非 曰 無 知 也 無 
T45n1858_001:0154c02	知，即般若之無也；知無，即真諦之無也。是以	知 即 般 若 之 無 也 知 無 即 真 諦 之 無 也 是 以 
T45n1858_001:0154c03	般若之與真諦，言用，即同而異；言寂，即異而	般 若 之 與 真 諦 言 用 即 同 而 異 言 寂 即 異 而 
T45n1858_001:0154c04	同。同，故無心於彼此；異，故不失於照功。是以	同 同 故 無 心 於 彼 此 異 故 不 失 於 照 功 是 以 
T45n1858_001:0154c05	辨同者同於異，辨異者異於同，斯則不可得	辨 同 者 同 於 異 辨 異 者 異 於 同 斯 則 不 可 得 
T45n1858_001:0154c06	而異、不可得而同也。何者？內有獨鑒之明，外	而 異 不 可 得 而 同 也 何 者 內 有 獨 鑒 之 明 外 
T45n1858_001:0154c07	有萬法之實。萬法雖實，然非照不得。內外相	有 萬 法 之 實 萬 法 雖 實 然 非 照 不 得 內 外 相 
T45n1858_001:0154c08	與以成其照功，此則聖所不能同；用也。內雖	與 以 成 其 照 功 此 則 聖 所 不 能 同 用 也 內 雖 
T45n1858_001:0154c09	照而無知，外雖實而無相。內外寂然，相與俱	照 而 無 知 外 雖 實 而 無 相 內 外 寂 然 相 與 俱 
T45n1858_001:0154c10	無，此則聖所不能異；寂也。是以經云「諸法不	無 此 則 聖 所 不 能 異 寂 也 是 以 經 云 諸 法 不 
T45n1858_001:0154c11	異」者，豈曰續鳧截鶴、夷嶽盈壑，然後無異哉？	異 者 豈 曰 續 鳧 截 鶴 夷 嶽 盈 壑 然 後 無 異 哉 
T45n1858_001:0154c12	誠以不異於異，故雖異而不異也。故經云：「甚	誠 以 不 異 於 異 故 雖 異 而 不 異 也 故 經 云 甚 
T45n1858_001:0154c13	奇，世尊！於無異法中而說諸法異。」又云：「般若	奇 世 尊 於 無 異 法 中 而 說 諸 法 異 又 云 般 若 
T45n1858_001:0154c14	與諸法，亦不一相，亦不異相。」信矣。	與 諸 法 亦 不 一 相 亦 不 異 相 信 矣 
T45n1858_001:0154c15	難曰：論云「言用則異，言寂則同。」未詳般若之	難 曰 論 云 言 用 則 異 言 寂 則 同 未 詳 般 若 之 
T45n1858_001:0154c16	內，則有用寂之異乎？答曰：用即寂、寂即用，	內 則 有 用 寂 之 異 乎 答 曰 用 即 寂 寂 即 用 
T45n1858_001:0154c17	用寂體一，同出而異名；更無無用之寂而主	用 寂 體 一 同 出 而 異 名 更 無 無 用 之 寂 而 主 
T45n1858_001:0154c18	於用也。是以智彌昧，照逾明；神彌靜，應逾	於 用 也 是 以 智 彌 昧 照 逾 明 神 彌 靜 應 逾 
T45n1858_001:0154c19	動。豈曰明昧動靜之異哉？故《成具》云：「不為	動 豈 曰 明 昧 動 靜 之 異 哉 故 成 具 云 不 為 
T45n1858_001:0154c20	而過為。」《寶積》曰：「無心無識，無不覺知。」斯則窮	而 過 為 寶 積 曰 無 心 無 識 無 不 覺 知 斯 則 窮 
T45n1858_001:0154c21	神盡智，極象外之談也。即之明文，聖心可知	神 盡 智 極 象 外 之 談 也 即 之 明 文 聖 心 可 知 
T45n1858_001:0154c22	矣。	矣 
T45n1858_001:0154c23	般若無知論(終)	般 若 無 知 論 終 
T45n1858_001:0154c24	劉遺民書問附	劉 遺 民 書 問 附 
T45n1858_001:0154c25	遺民和南：頃餐徽聞，有懷遙佇。歲未寒嚴，體	遺 民 和 南 頃 餐 徽 聞 有 懷 遙 佇 歲 未 寒 嚴 體 
T45n1858_001:0154c26	中如何？音寄壅隔，增用抱蘊。弟子沈痾草	中 如 何 音 寄 壅 隔 增 用 抱 蘊 弟 子 沈 痾 草 
T45n1858_001:0154c27	澤，常有弊瘵耳。因慧明道人北遊，裁通其情。	澤 常 有 弊 瘵 耳 因 慧 明 道 人 北 遊 裁 通 其 情 
T45n1858_001:0154c28	古人不以形疏致淡，悟涉則親。是以雖復江	古 人 不 以 形 疏 致 淡 悟 涉 則 親 是 以 雖 復 江 
T45n1858_001:0154c29	山悠邈，不面當年，至於企懷風味，鏡心象迹，	山 悠 邈 不 面 當 年 至 於 企 懷 風 味 鏡 心 象 迹 
T45n1858_001:0155a01	佇悅之勤，良以深矣。緬然無因，瞻霞永歎，順	佇 悅 之 勤 良 以 深 矣 緬 然 無 因 瞻 霞 永 歎 順 
T45n1858_001:0155a02	時愛敬。冀因行李，數有承問。伏願彼大眾康	時 愛 敬 冀 因 行 李 數 有 承 問 伏 願 彼 大 眾 康 
T45n1858_001:0155a03	和！外國法師休納！上人以悟發之器而遘	和 外 國 法 師 休 納 上 人 以 悟 發 之 器 而 遘 
T45n1858_001:0155a04	茲淵對，想開究之功，足以盡過半之思。故以	茲 淵 對 想 開 究 之 功 足 以 盡 過 半 之 思 故 以 
T45n1858_001:0155a05	每惟乖闊，憤愧何深。此山僧清常，道戒彌勵，	每 惟 乖 闊 憤 愧 何 深 此 山 僧 清 常 道 戒 彌 勵 
T45n1858_001:0155a06	禪隱之餘則惟研惟講。恂恂穆穆，故可樂矣。	禪 隱 之 餘 則 惟 研 惟 講 恂 恂 穆 穆 故 可 樂 矣 
T45n1858_001:0155a07	弟子既以遂宿心，而覩茲上軌，感寄之誠，日	弟 子 既 以 遂 宿 心 而 覩 茲 上 軌 感 寄 之 誠 日 
T45n1858_001:0155a08	月銘至。遠法師頃恒履宜，思業精詣，乾乾宵	月 銘 至 遠 法 師 頃 恒 履 宜 思 業 精 詣 乾 乾 宵 
T45n1858_001:0155a09	夕。自非道用潛流，理為神御，孰以過順之年，	夕 自 非 道 用 潛 流 理 為 神 御 孰 以 過 順 之 年 
T45n1858_001:0155a10	湛氣若茲之勤？所以憑慰既深，仰謝逾絕。去	湛 氣 若 茲 之 勤 所 以 憑 慰 既 深 仰 謝 逾 絕 去 
T45n1858_001:0155a11	年夏末，始見生上人示《無知論》。才運清俊，旨	年 夏 末 始 見 生 上 人 示 無 知 論 才 運 清 俊 旨 
T45n1858_001:0155a12	中沈允，推涉聖文，婉而有歸。披味殷勤，不能	中 沈 允 推 涉 聖 文 婉 而 有 歸 披 味 殷 勤 不 能 
T45n1858_001:0155a13	釋手。直可謂浴心方等之淵，而悟懷絕冥之	釋 手 直 可 謂 浴 心 方 等 之 淵 而 悟 懷 絕 冥 之 
T45n1858_001:0155a14	肆者矣！若令此辨遂通，則般若眾流，殆不言	肆 者 矣 若 令 此 辨 遂 通 則 般 若 眾 流 殆 不 言 
T45n1858_001:0155a15	而會。可不欣乎！可不欣乎！夫理微者辭險，	而 會 可 不 欣 乎 可 不 欣 乎 夫 理 微 者 辭 險 
T45n1858_001:0155a16	唱獨者應希。苟非絕言象之表者，將以存象	唱 獨 者 應 希 苟 非 絕 言 象 之 表 者 將 以 存 象 
T45n1858_001:0155a17	而致乖乎？意謂，答以緣求智之章，婉轉窮盡，	而 致 乖 乎 意 謂 答 以 緣 求 智 之 章 婉 轉 窮 盡 
T45n1858_001:0155a18	極為精巧，無所間然矣。但暗者難以頓曉，猶	極 為 精 巧 無 所 間 然 矣 但 暗 者 難 以 頓 曉 猶 
T45n1858_001:0155a19	有餘疑一兩，今輒題之如別。想從容之暇，復	有 餘 疑 一 兩 今 輒 題 之 如 別 想 從 容 之 暇 復 
T45n1858_001:0155a20	能麁為釋之。論序云：「般若之體，非有非無。虛	能 麁 為 釋 之 論 序 云 般 若 之 體 非有非無 虛 
T45n1858_001:0155a21	不失照，照不失虛。故曰不動等覺而建立諸	不 失 照 照 不 失 虛 故 曰 不 動 等 覺 而 建 立 諸 
T45n1858_001:0155a22	法。」下章云：「異乎人者神明，故不可以事相求	法 下 章 云 異 乎 人 者 神 明 故 不 可 以 事 相 求 
T45n1858_001:0155a23	之耳。」又云：「用即寂、寂即用。神彌靜，應逾動。」	之 耳 又 云 用 即 寂 寂 即 用 神 彌 靜 應 逾 動 
T45n1858_001:0155a24	夫聖心冥寂，理極同無。不疾而疾，不徐而徐。	夫 聖 心 冥 寂 理 極 同 無 不 疾 而 疾 不 徐 而 徐 
T45n1858_001:0155a25	是以知不廢寂、寂不廢知，未始不寂、未始不	是 以 知 不 廢 寂 寂 不 廢 知 未 始 不 寂 未 始 不 
T45n1858_001:0155a26	知。故其運物，成功化世之道。雖處有名之中，	知 故 其 運 物 成 功 化 世 之 道 雖 處 有 名 之 中 
T45n1858_001:0155a27	而遠與無名同。斯理之玄，固常所彌昧者矣。	而 遠 與 無 名 同 斯 理 之 玄 固 常 所 彌 昧 者 矣 
T45n1858_001:0155a28	但今談者，所疑於高論之旨，欲求聖心之異：	但 今 談 者 所 疑 於 高 論 之 旨 欲 求 聖 心 之 異 
T45n1858_001:0155a29	為謂窮靈極數妙盡冥符耶？為將心體自然	為 謂 窮 靈 極 數 妙 盡 冥 符 耶 為 將 心 體 自 然 
T45n1858_001:0155b01	靈怕獨感耶？若窮靈極數妙盡冥符，則寂	靈 怕 獨 感 耶 若 窮 靈 極 數 妙 盡 冥 符 則 寂 
T45n1858_001:0155b02	照之名，故是定慧之體耳。若心體自然靈怕	照 之 名 故 是 定 慧 之 體 耳 若 心 體 自 然 靈 怕 
T45n1858_001:0155b03	獨感，則群數之應，固以幾乎息矣。夫心數既	獨 感 則 群 數 之 應 固 以 幾 乎 息 矣 夫 心 數 既 
T45n1858_001:0155b04	玄而孤運其照，神湻化表而慧明獨存。當有	玄 而 孤 運 其 照 神 湻 化 表 而 慧 明 獨 存 當 有 
T45n1858_001:0155b05	深證，可試為辨之。疑者當以撫會應機覩變	深 證 可 試 為 辨 之 疑 者 當 以 撫 會 應 機 覩 變 
T45n1858_001:0155b06	之知，不可謂之不有矣。而論旨云「本無惑取	之 知 不 可 謂 之 不 有 矣 而 論 旨 云 本 無 惑 取 
T45n1858_001:0155b07	之知」，而未釋所以不取之理。謂宜先定聖心	之 知 而 未 釋 所 以 不 取 之 理 謂 宜 先 定 聖 心 
T45n1858_001:0155b08	所以應會之道，為當唯照無相耶？為當咸覩	所 以 應 會 之 道 為 當 唯 照 無 相 耶 為 當 咸 覩 
T45n1858_001:0155b09	其變耶？若覩其變，則異乎無相；若唯照無相，	其 變 耶 若 覩 其 變 則 異 乎 無 相 若 唯 照 無 相 
T45n1858_001:0155b10	則無會可撫。既無會可撫，而有撫會之功。意	則 無 會 可 撫 既 無 會 可 撫 而 有 撫 會 之 功 意 
T45n1858_001:0155b11	有未悟，幸復誨之。論云「無當，則物無不當；	有 未 悟 幸 復 誨 之 論 云 無 當 則 物 無 不 當 
T45n1858_001:0155b12	無是，則物無不是。物無不是，故是而無是；物	無 是 則 物 無 不 是 物 無 不 是 故 是 而 無 是 物 
T45n1858_001:0155b13	無不當，故當而無當。」夫無當而物無不當，乃	無 不 當 故 當 而 無 當 夫 無 當 而 物 無 不 當 乃 
T45n1858_001:0155b14	所以為至當；無是而物無不是，乃所以為真	所 以 為 至 當 無 是 而 物 無 不 是 乃 所 以 為 真 
T45n1858_001:0155b15	是。豈有真是而非是、至當而非當，而云當而	是 豈 有 真 是 而 非 是 至 當 而 非 當 而 云 當 而 
T45n1858_001:0155b16	無當、是而無是耶？若謂至當非常當，真是非	無 當 是 而 無 是 耶 若 謂 至 當 非 常 當 真 是 非 
T45n1858_001:0155b17	常是，此蓋悟、惑之言本異耳，固論旨所以不	常 是 此 蓋 悟 惑 之 言 本 異 耳 固 論 旨 所 以 不 
T45n1858_001:0155b18	明也。願復重喻，以祛其惑矣。論至日，即與遠	明 也 願 復 重 喻 以 祛 其 惑 矣 論 至 日 即 與 遠 
T45n1858_001:0155b19	法師詳省之，法師亦好相領得意。但標位似	法 師 詳 省 之 法 師 亦 好 相 領 得 意 但 標 位 似 
T45n1858_001:0155b20	各有本，或當不必理盡同矣。頃兼以班諸有	各 有 本 或 當 不 必 理 盡 同 矣 頃 兼 以 班 諸 有 
T45n1858_001:0155b21	懷，屢有擊其節者，而恨不得與斯人同時也。	懷 屢 有 擊 其 節 者 而 恨 不 得 與 斯 人 同 時 也 
T45n1858_001:0155b22	答劉遺民書	答 劉 遺 民 書 
T45n1858_001:0155b23	不面在昔，佇想用勞。慧明道人至，得去年十	不 面 在 昔 佇 想 用 勞 慧 明 道 人 至 得 去 年 十 
T45n1858_001:0155b24	二月疏并問。披尋返覆，欣若暫對。涼風屆	二 月 疏 并 問 披 尋 返 覆 欣 若 暫 對 涼 風 屆 
T45n1858_001:0155b25	節，頃常如何？貪道勞疾，多不住耳。信南返不	節 頃 常 如 何 貪 道 勞 疾 多 不 住 耳 信 南 返 不 
T45n1858_001:0155b26	悉。八月十五日。釋僧肇疏答。服像雖殊，妙期	悉 八 月十五日 釋 僧 肇 疏 答 服 像 雖 殊 妙 期 
T45n1858_001:0155b27	不二；江山雖緬，理契則隣。所以望途致想，虛	不 二 江 山 雖 緬 理 契 則 隣 所 以 望 途 致 想 虛 
T45n1858_001:0155b28	襟有寄。君既遂嘉遯之志，標越俗之美，獨恬	襟 有 寄 君 既 遂 嘉 遯 之 志 標 越 俗 之 美 獨 恬 
T45n1858_001:0155b29	事外，歡足方寸。每一言集，何嘗不遠喻林下	事 外 歡 足 方 寸 每 一 言 集 何 嘗 不 遠 喻 林 下 
T45n1858_001:0155c01	之雅詠，高致悠然。清散未期，厚自保愛。每因	之 雅 詠 高 致 悠 然 清 散 未 期 厚 自 保 愛 每 因 
T45n1858_001:0155c02	行李，數有承問。願彼山僧無恙，道俗通佳。承	行 李 數 有 承 問 願 彼 山 僧 無 恙 道 俗 通 佳 承 
T45n1858_001:0155c03	遠法師之勝常，以為欣慰。雖未清承，然服膺	遠 法 師 之 勝 常 以 為 欣 慰 雖 未 清 承 然 服 膺 
T45n1858_001:0155c04	高軌。企佇之勤，為日久矣。公以過順之年，湛	高 軌 企 佇 之 勤 為 日 久 矣 公 以 過 順 之 年 湛 
T45n1858_001:0155c05	氣彌厲，養徒幽巖，抱一沖谷，遐邇仰詠，何美	氣 彌 厲 養 徒 幽 巖 抱 一 沖 谷 遐 邇 仰 詠 何 美 
T45n1858_001:0155c06	如之！每亦翹想一隅，懸庇霄岸。無由寫敬，致	如 之 每 亦 翹 想 一 隅 懸 庇 霄 岸 無 由 寫 敬 致 
T45n1858_001:0155c07	慨良深！君清對終日，快有悟心之歡也。即此	慨 良 深 君 清 對 終 日 快 有 悟 心 之 歡 也 即 此 
T45n1858_001:0155c08	大眾尋常，什法師如宜。秦王道性自然，天	大 眾 尋 常 什 法 師 如 宜 秦 王 道 性 自 然 天 
T45n1858_001:0155c09	機邁俗，城塹三寶，弘道是務。由使異典、勝僧	機 邁 俗 城 塹 三 寶 弘 道 是 務 由 使 異 典 勝 僧 
T45n1858_001:0155c10	方遠而至，靈鷲之風萃於茲土。領公遠舉，乃	方 遠 而 至 靈 鷲 之 風 萃 於 茲 土 領 公 遠 舉 乃 
T45n1858_001:0155c11	千載之津梁也。於西域還，得方等新經二百	千 載 之 津 梁 也 於 西 域 還 得 方 等 新 經 二 百 
T45n1858_001:0155c12	餘部，請大乘禪師一人、三藏法師一人、毘婆	餘 部 請 大 乘 禪 師 一 人 三藏法師 一 人 毘 婆 
T45n1858_001:0155c13	沙法師二人。什法師於大石寺出新至諸經，	沙 法 師 二 人 什 法 師 於 大 石 寺 出 新 至 諸 經 
T45n1858_001:0155c14	法藏淵曠，日有異聞。禪師於瓦官寺教習禪	法 藏 淵 曠 日 有 異 聞 禪 師 於 瓦 官 寺 教 習 禪 
T45n1858_001:0155c15	道，門徒數百，夙夜匪懈，邕邕蕭蕭，致可欣	道 門 徒 數 百 夙 夜 匪 懈 邕 邕 蕭 蕭 致 可 欣 
T45n1858_001:0155c16	樂。三藏法師於中寺出律藏，本末精悉，若覩	樂 三藏法師 於 中 寺 出 律 藏 本 末 精 悉 若 覩 
T45n1858_001:0155c17	初制。毘婆沙法師於石羊寺出《舍利弗阿毘	初 制 毘 婆 沙 法 師 於 石 羊 寺 出 舍 利 弗 阿 毘 
T45n1858_001:0155c18	曇》胡本，雖未及譯，時問中事，發言新奇。貧道	曇 胡 本 雖 未 及 譯 時 問 中 事 發 言 新 奇 貧 道 
T45n1858_001:0155c19	一生，猥參嘉運，遇茲盛化。自恨不覩釋迦	一 生 猥 參 嘉 運 遇 茲 盛 化 自 恨 不 覩 釋 迦 
T45n1858_001:0155c20	祇桓之集，餘復何恨？而慨不得與清勝君子	祇 桓 之 集 餘 復 何 恨 而 慨 不 得 與 清 勝 君 子 
T45n1858_001:0155c21	同斯法集耳。生上人頃在此同止數年，至於	同 斯 法 集 耳 生 上 人 頃 在 此 同 止 數 年 至 於 
T45n1858_001:0155c22	言話之際，常相稱詠。中途還南，君得與相見。	言 話 之 際 常 相 稱 詠 中 途 還 南 君 得 與 相 見 
T45n1858_001:0155c23	未更近問，惘悒何言！威道人至，得君《念佛三	未 更 近 問 惘 悒 何 言 威 道 人 至 得 君 念 佛 三 
T45n1858_001:0155c24	昧詠》，并得遠法師《三昧詠》及〈序〉。此作興寄既	昧 詠 并 得 遠 法 師 三 昧 詠 及 序 此 作 興 寄 既 
T45n1858_001:0155c25	高，辭致清婉。能文之士，率稱其美。可謂游涉	高 辭 致 清 婉 能 文 之 士 率 稱 其 美 可 謂 游 涉 
T45n1858_001:0155c26	聖門，扣玄關之唱也。君與法師當數有文集，	聖 門 扣 玄 關 之 唱 也 君 與 法 師 當 數 有 文 集 
T45n1858_001:0155c27	因來何少？什法師以午年出《維摩經》，貧道	因 來 何 少 什 法 師 以 午 年 出 維 摩 經 貧 道 
T45n1858_001:0155c28	時預聽次；參承之暇，輒復條記成言，以為	時 預 聽 次 參 承 之 暇 輒 復 條 記 成 言 以 為 
T45n1858_001:0155c29	注解。辭雖不文，然義承有本。今因信持一本	注 解 辭 雖 不 文 然 義 承 有 本 今 因 信 持 一 本 
T45n1858_001:0156a01	往南。君閑詳，試可取看。來問婉切，難為郢	往 南 君 閑 詳 試 可 取 看 來 問 婉 切 難 為 郢 
T45n1858_001:0156a02	人。貧道思不關微，兼拙於筆語。且至趣無言，	人 貧 道 思 不 關 微 兼 拙 於 筆 語 且 至 趣 無 言 
T45n1858_001:0156a03	言必乖趣。云云不已，竟何所辨？聊以狂言，示	言 必 乖 趣 云 云 不 已 竟 何 所 辨 聊 以 狂 言 示 
T45n1858_001:0156a04	詶來旨耳。疏云「稱聖心冥寂，理極同無。雖處	詶 來 旨 耳 疏 云 稱 聖 心 冥 寂 理 極 同 無 雖 處 
T45n1858_001:0156a05	有名之中，而遠與無名同。」斯理之玄，固常	有 名 之 中 而 遠 與 無 名 同 斯 理 之 玄 固 常 
T45n1858_001:0156a06	彌昧者。以此為懷，自可忘言內得，取定方寸。	彌 昧 者 以 此 為 懷 自 可 忘 言 內 得 取 定 方 寸 
T45n1858_001:0156a07	復何足以人情之所異，而求聖心之異乎。疏	復 何 足 以 人 情 之 所 異 而 求 聖 心 之 異 乎 疏 
T45n1858_001:0156a08	曰「談者謂窮靈極數妙盡冥符，別寂照之名，	曰 談 者 謂 窮 靈 極 數 妙 盡 冥 符 別 寂 照 之 名 
T45n1858_001:0156a09	故是定慧之體耳。若心體自然靈怕獨感，則	故 是 定 慧 之 體 耳 若 心 體 自 然 靈 怕 獨 感 則 
T45n1858_001:0156a10	羣數之應固以幾乎息矣。」意謂，妙盡冥符，不	羣 數 之 應 固 以 幾 乎 息 矣 意 謂 妙 盡 冥 符 不 
T45n1858_001:0156a11	可以定慧為名；靈怕獨感；不可稱羣數以	可 以 定 慧 為 名 靈 怕 獨 感 不 可 稱 羣 數 以 
T45n1858_001:0156a12	息。兩言雖殊，妙用常一。迹我而乘，在聖不殊	息 兩 言 雖 殊 妙 用 常 一 迹 我 而 乘 在 聖 不 殊 
T45n1858_001:0156a13	也。何者？夫聖人玄心默照，理極同無。既曰	也 何 者 夫 聖 人 玄 心 默 照 理 極 同 無 既 曰 
T45n1858_001:0156a14	為同，同無不極。何有同無之極，而有定慧之	為 同 同 無 不 極 何 有 同 無 之 極 而 有 定 慧 之 
T45n1858_001:0156a15	名？定慧之名，非同外之稱也。若稱生同內，	名 定 慧 之 名 非 同 外 之 稱 也 若 稱 生 同 內 
T45n1858_001:0156a16	有稱非同；若稱生同外，稱非我也。又聖心虛	有 稱 非 同 若 稱 生 同 外 稱 非 我 也 又 聖 心 虛 
T45n1858_001:0156a17	微，妙絕常境。感無不應，會無不通。冥機潛	微 妙 絕 常 境 感 無 不 應 會 無 不 通 冥 機 潛 
T45n1858_001:0156a18	運，其用不勤。群數之應，亦何為而息耶？且夫	運 其 用 不 勤 群 數 之 應 亦 何 為 而 息 耶 且 夫 
T45n1858_001:0156a19	心之有也，以其有有。有不自有，故聖心不有	心 之 有 也 以 其 有 有 有 不 自 有 故 聖 心 不 有 
T45n1858_001:0156a20	有。不有有，故有無有。有無有，故則無無。無	有 不 有 有 故 有 無 有 有 無 有 故 則 無 無 無 
T45n1858_001:0156a21	無，故聖人不有不無。不有不無，其神乃虛。	無 故 聖 人 不 有 不 無 不 有 不 無 其 神 乃 虛 
T45n1858_001:0156a22	何者？夫有也、無也，心之影響也。言也、象也，影	何 者 夫 有 也 無 也 心 之 影 響 也 言 也 象 也 影 
T45n1858_001:0156a23	響之所攀緣也。有無既廢，則心無影響。影響	響 之 所 攀 緣 也 有 無 既 廢 則 心 無 影 響 影 響 
T45n1858_001:0156a24	既淪，則言象莫測。言象莫測，則道絕群方。道	既 淪 則 言 象 莫 測 言 象 莫 測 則 道 絕 群 方 道 
T45n1858_001:0156a25	絕群方，故能窮靈極數。窮靈極數，乃曰妙盡。	絕 群 方 故 能 窮 靈 極 數 窮 靈 極 數 乃 曰 妙 盡 
T45n1858_001:0156a26	妙盡之道，本乎無寄。夫無寄在乎冥寂，冥	妙 盡 之 道 本 乎 無 寄 夫 無 寄 在 乎 冥 寂 冥 
T45n1858_001:0156a27	絕故虛以通之；妙盡存乎極數，極數故數	絕 故 虛 以 通 之 妙 盡 存 乎 極 數 極 數 故 數 
T45n1858_001:0156a28	以應之。數以應之，故動與事會；虛以通之，	以 應 之 數 以 應 之 故 動 與 事 會 虛 以 通 之 
T45n1858_001:0156a29	故道超名外。道超名外，因謂之無；動與事會，	故 道 超 名 外 道 超 名 外 因 謂 之 無 動 與 事 會 
T45n1858_001:0156b01	因謂之有。因謂之有者，應夫真有，強謂之然	因 謂 之 有 因 謂 之 有 者 應 夫 真 有 強 謂 之 然 
T45n1858_001:0156b02	耳。彼何然哉？故經云：「聖智無知而無所不知，	耳 彼 何 然 哉 故 經 云 聖 智 無 知 而 無 所 不 知 
T45n1858_001:0156b03	無為而無所不為。」此無言無相寂滅之道。豈	無 為 而 無 所 不 為 此 無 言 無 相 寂 滅 之 道 豈 
T45n1858_001:0156b04	曰有而為有、無而為無？動而乖靜、靜而廢用	曰 有 而 為 有 無 而 為 無 動 而 乖 靜 靜 而 廢 用 
T45n1858_001:0156b05	耶？而今談者多即言以定旨，尋大方而徵隅，	耶 而 今 談 者 多 即 言 以 定 旨 尋 大 方 而 徵 隅 
T45n1858_001:0156b06	懷前識以標玄，存所存之必當。是以聞聖有	懷 前 識 以 標 玄 存 所 存 之 必 當 是 以 聞 聖 有 
T45n1858_001:0156b07	知，謂之有心；聞聖無知；謂等大虛。有無之	知 謂 之 有 心 聞 聖 無 知 謂 等 大 虛 有 無 之 
T45n1858_001:0156b08	境，邊見所存，豈是處中莫二之道乎！何者？萬	境 邊 見 所 存 豈 是 處 中 莫 二 之 道 乎 何 者 萬 
T45n1858_001:0156b09	物雖殊，然性本常一；不可而物，然非不物。可	物 雖 殊 然 性 本 常 一 不 可 而 物 然 非 不 物 可 
T45n1858_001:0156b10	物於物，則名相異陳；不物於物，則物而即真。	物 於 物 則 名 相 異 陳 不 物 於 物 則 物 而 即 真 
T45n1858_001:0156b11	是以聖人不物於物、不非物於物。不物於物，	是 以 聖 人 不 物 於 物 不 非 物 於 物 不 物 於 物 
T45n1858_001:0156b12	物非有也；不非物於物，物非無也。非有，所	物 非 有 也 不 非 物 於 物 物 非 無 也 非 有 所 
T45n1858_001:0156b13	以不取；非無，所以不捨。不捨，故妙存即真；不	以 不 取 非 無 所 以 不 捨 不 捨 故 妙 存 即 真 不 
T45n1858_001:0156b14	取，故名相靡因。名相靡因，非有知也；妙存即	取 故 名 相 靡 因 名 相 靡 因 非 有 知 也 妙 存 即 
T45n1858_001:0156b15	真，非無知也。故經云：「般若於諸法，無取無	真 非 無 知 也 故 經 云 般 若 於 諸 法 無 取 無 
T45n1858_001:0156b16	捨，無知無不知。」此攀緣之外、絕心之域，而欲	捨 無 知 無 不 知 此 攀 緣 之 外 絕 心 之 域 而 欲 
T45n1858_001:0156b17	以有無詰者，不亦遠乎！請詰夫陳有無者。夫	以 有 無 詰 者 不 亦 遠 乎 請 詰 夫 陳 有 無 者 夫 
T45n1858_001:0156b18	智之生也，極於相內。法本無相，聖智何知？世	智 之 生 也 極 於 相 內 法 本 無 相 聖 智 何 知 世 
T45n1858_001:0156b19	稱無知者，謂等木石、太虛、無情之流。靈鑒幽	稱 無 知 者 謂 等 木 石 太 虛 無 情 之 流 靈 鑒 幽 
T45n1858_001:0156b20	燭，形於未兆，道無隱機，寧曰無知？且無知	燭 形 於 未 兆 道 無 隱 機 寧 曰 無 知 且 無 知 
T45n1858_001:0156b21	生於無知，無無知也，無有知也。無有知也，謂	生 於 無 知 無 無 知 也 無 有 知 也 無 有 知 也 謂 
T45n1858_001:0156b22	之非有；無無知也，謂之非無。所以虛不失照、	之 非 有 無 無 知 也 謂 之 非 無 所 以 虛 不 失 照 
T45n1858_001:0156b23	照不失虛，怕然永寂，靡執靡拘。孰能動之	照 不 失 虛 怕 然 永 寂 靡 執 靡 拘 孰 能 動 之 
T45n1858_001:0156b24	令有、靜之使無耶？故經云：「真般若者，非有	令 有 靜 之 使 無 耶 故 經 云 真 般 若 者 非 有 
T45n1858_001:0156b25	非無，無起無滅，不可說示於人。」何則？言其非	非 無 無 起 無 滅 不 可 說 示 於 人 何 則 言 其 非 
T45n1858_001:0156b26	有者，言其非是有，非謂是非有；言其非無者，	有 者 言 其 非 是 有 非 謂 是 非 有 言 其 非 無 者 
T45n1858_001:0156b27	言其非是無，非謂是非無。非有，非非有；非無，	言 其 非 是 無 非 謂 是 非 無 非 有 非 非 有 非 無 
