T46n1928_001:0704c12	指要鈔序	指 要 鈔 序 
T46n1928_001:0712a26	絕分。又若謂外境亡時內體必顯者，則唯有	絕 分 又 若 謂 外 境 亡 時 內 體 必 顯 者 則 唯 有 
T46n1928_001:0712a27	外觀不須觀內，又成內觀初心後心皆不修	外 觀 不 須 觀 內 又 成 內 觀 初 心 後 心 皆 不 修 
T46n1928_001:0712a28	也。此等相違，請當宗匠者觀之，還可將此見	也 此 等 相 違 請 當 宗 匠 者 觀 之 還 可 將 此 見 
T46n1928_001:0712a29	解定教文之是非乎？或須云終日炳然，有何	解 定 教 文 之 是 非 乎 或 須 云 終 日 炳 然 有 何 
T46n1928_001:0712b01	損益而苦諍之？境觀乖失而全不知，況依	損 益 而 苦 諍 之 境 觀 乖 失 而 全 不 知 況 依 
T46n1928_001:0712b02	正本融、迷情彊隔，觀成情遣且云不見，塵去	正 本 融 迷 情 彊 隔 觀 成 情 遣 且 云 不 見 塵 去 
T46n1928_001:0712b03	鑑淨、現像非磨，故云終自炳然。此則自勝於	鑑 淨 現 像 非 磨 故 云 終 自 炳 然 此 則 自 勝 於 
T46n1928_001:0712b04	日，他莫知之。」問：「染淨不二門云，照故三千常	日 他 莫 知 之 問 染 淨 不 二 門 云 照 故 三 千 常 
T46n1928_001:0712b05	具，遮故法爾空中。又云，亡淨穢故以空以中。	具 遮 故 法 爾 空 中 又 云 亡 淨 穢 故 以 空 以 中 
T46n1928_001:0712b06	又《義例》云：『觀此一運即具十界百界千如，即	又 義 例 云 觀 此 一 運 即 具 十 界 百 界 千 如 即 
T46n1928_001:0712b07	空即中。』此文何須添假字邪？」答：「因徵彼文，驗	空 即 中 此 文 何 須 添 假 字 邪 答 因 徵 彼 文 驗 
T46n1928_001:0712b08	知舊本是往人改削。何者？若不解彼之文意，	知 舊 本 是 往 人 改 削 何 者 若 不 解 彼 之 文 意 
T46n1928_001:0712b09	須據彼文除今假字。今人既然，往人亦爾，不	須 據 彼 文 除 今 假 字 今 人 既 然 往 人 亦 爾 不 
T46n1928_001:0712b10	足疑也。嗚呼！不解境觀以至於斯。且如染淨	足 疑 也 嗚 呼 不 解 境 觀 以 至 於 斯 且 如 染 淨 
T46n1928_001:0712b11	門云，故須初心而遮而照，照故三千常具，遮	門 云 故 須 初 心 而 遮 而 照 照 故 三 千 常 具 遮 
T46n1928_001:0712b12	故法爾空中，蓋三觀相成也。既云照故三千	故 法 爾 空 中 蓋 三 觀 相 成 也 既 云 照 故 三 千 
T46n1928_001:0712b13	常具，照是觀不？三千是妙假不？既不可單修	常 具 照 是 觀 不 三 千 是 妙 假 不 既 不 可 單 修 
T46n1928_001:0712b14	假觀，遂須空中成之，故云遮故法爾空中。因	假 觀 遂 須 空 中 成 之 故 云 遮 故 法 爾 空 中 因 
T46n1928_001:0712b15	茲遮照，妙用現前，故云遍應無方。既以妙假	茲 遮 照 妙 用 現 前 故 云 遍 應 無 方 既 以 妙 假 
T46n1928_001:0712b16	歷於淨穢，復須空中亡之，故云亡淨穢故以	歷 於 淨 穢 復 須 空 中 亡 之 故 云 亡 淨 穢 故 以 
T46n1928_001:0712b17	空以中。《義例》照此一運即具十界百界千如	空 以 中 義 例 照 此 一 運 即 具 十 界 百 界 千 如 
T46n1928_001:0712b18	者，即於內心唯識之境，用不思議假觀照之，	者 即 於 內 心 唯 識 之 境 用 不 思 議 假 觀 照 之 
T46n1928_001:0712b19	方顯百界千如，仍須遮之，故云即空即中，正	方 顯 百 界 千 如 仍 須 遮 之 故 云 即 空 即 中 正 
T46n1928_001:0712b20	是三觀相成；則與染淨門中觀相恰同也。故	是 三 觀 相 成 則 與 染 淨 門 中 觀 相 恰 同 也 故 
T46n1928_001:0712b21	彼三文有，即是剩；此文無，即是欠。何者？今文	彼 三 文 有 即 是 剩 此 文 無 即 是 欠 何 者 今 文 
T46n1928_001:0712b22	標云，凡所觀境不出內外，即云外謂託彼依	標 云 凡 所 觀 境 不 出 內 外 即 云 外 謂 託 彼 依 
T46n1928_001:0712b23	正色心，既無心具及百界等言，未成妙境，又	正 色 心 既 無 心 具 及 百 界 等 言 未 成 妙 境 又 
T46n1928_001:0712b24	無觀照之義，因何便云是假觀邪？黨理之者	無 觀 照 之 義 因 何 便 云 是 假 觀 邪 黨 理 之 者 
T46n1928_001:0712b25	見斯曉諭，更何由執？」二、所言下，明內境觀相	見 斯 曉 諭 更 何 由 執 二 所 言 下 明 內 境 觀 相 
T46n1928_001:0712b26	者。先了等者，初心行人欲依內心修觀，先須	者 先 了 等 者 初 心 行 人 欲 依 內 心 修 觀 先 須 
T46n1928_001:0712b27	妙解了達外法唯一念造，此能造念本無念	妙 解 了 達 外 法 唯 一 念 造 此 能 造 念 本 無 念 
T46n1928_001:0712b28	性，能造既無所造安有？外法既虛，唯有內體	性 能 造 既 無 所 造 安 有 外 法 既 虛 唯 有 內 體 
T46n1928_001:0712b29	三千實性，如是解已，方依內心修乎三觀，故	三 千 實 性 如 是 解 已 方 依 內 心 修 乎 三 觀 故 
T46n1928_001:0712c01	內體二字亦事理雙舉。內即內心，隨緣義故，	內 體 二 字 亦 事 理 雙 舉 內 即 內 心 隨 緣 義 故 
T46n1928_001:0712c02	對外立也；體即是性，不變義故，非內外也。故	對 外 立 也 體 即 是 性 不 變 義 故 非 內 外 也 故 
T46n1928_001:0712c03	《義例》云：「修觀次第必先內心。」乃至云「又亦	 義 例 云 修 觀 次 第 必 先 內 心 乃 至 云 又 亦 
T46n1928_001:0712c04	亦先了諸法唯心方可觀心。」又彼文云：「唯於	亦 先 了 諸 法 唯 心 方 可 觀 心 又 彼 文 云 唯 於 
T46n1928_001:0712c05	萬境觀一心故知」，若無此解，如何知心具足	萬 境 觀 一 心 故 知 若 無 此 解 如 何 知 心 具 足 
T46n1928_001:0712c06	諸法？若不知具但直觀心，何殊藏、通？藏、通何	諸 法 若 不 知 具 但 直 觀 心 何 殊 藏 通 藏 通 何 
T46n1928_001:0712c07	曾不云觀心？縱知心體是中，若不云具，未異	曾 不 云 觀 心 縱 知 心 體 是 中 若 不 云 具 未 異 
T46n1928_001:0712c08	別教教道也。故《止觀》先開六科妙解然始正	別 教 教 道 也 故 止 觀 先 開 六 科 妙 解 然 始 正 
T46n1928_001:0712c09	修，觀心之義如是。如何釋云，先修外觀至六	修 觀 心 之 義 如 是 如 何 釋 云 先 修 外 觀 至 六 
T46n1928_001:0712c10	根淨方修內觀邪？又此內觀含於唯識、實相	根 淨 方 修 內 觀 邪 又 此 內 觀 含 於 唯 識 實 相 
T46n1928_001:0712c11	兩觀之義，學者尋之。問：「外觀何不先明解了，而	兩 觀 之 義 學 者 尋 之 問 外 觀 何 不 先 明 解 了 而 
T46n1928_001:0712c12	直修三觀邪？」答：「據義合有，但是文略。何者？若	直 修 三 觀 邪 答 據 義 合 有 但 是 文 略 何 者 若 
T46n1928_001:0712c13	不先了唯色唯香，如何觀外依正等邪？但為	不 先 了 唯 色 唯 香 如 何 觀 外 依 正 等 邪 但 為 
T46n1928_001:0712c14	外觀攝機須故、為對內故顯不二故，故且並	外 觀 攝 機 須 故 為 對 內 故 顯 不 二 故 故 且 並 
T46n1928_001:0712c15	列。今之文意正明內觀，以十門妙理唯指心	列 今 之 文 意 正 明 內 觀 以 十 門 妙 理 唯 指 心 
T46n1928_001:0712c16	法，故諸部中皆云觀心。」二、是則下，明內外融	法 故 諸 部 中 皆 云 觀 心 二 是 則 下 明 內 外 融 
T46n1928_001:0712c17	泯二：初、互融。三法體性各具三千本來相攝，	泯 二 初 互 融 三 法 體 性 各 具 三 千 本 來 相 攝 
T46n1928_001:0712c18	前雖解了心攝一切，今觀稱性包攝灼然，故	前 雖 解 了 心 攝 一 切 今 觀 稱 性 包 攝 灼 然 故 
T46n1928_001:0712c19	是則下，先明內心融於外法。既云互攝，生佛	是 則 下 先 明 內 心 融 於 外 法 既 云 互 攝 生 佛 
T46n1928_001:0712c20	亦然，故十方下，次明若生若佛各自遍融。又	亦 然 故 十 方 下 次 明 若 生 若 佛 各 自 遍 融 又 
T46n1928_001:0712c21	此性體非謂一性，蓋三千性也。以佛具三千	此 性 體 非 謂 一 性 蓋 三 千 性 也 以 佛 具 三 千 
T46n1928_001:0712c22	方攝心生，生具三千方融心佛。心具三千，豈	方 攝 心 生 生 具 三 千 方 融 心 佛 心 具 三 千 豈 
T46n1928_001:0712c23	隔生佛？若心無佛性，豈能攝佛？佛無生性，何	隔 生 佛 若 心 無 佛 性 豈 能 攝 佛 佛 無 生 性 何 
T46n1928_001:0712c24	能攝生？故性體無殊之語有誰不知，一切咸	能 攝 生 故 性 體 無 殊 之 語 有 誰 不 知 一 切 咸 
T46n1928_001:0712c25	遍之言須思深致。他解唯論融外歸內名不	遍 之 言 須 思 深 致 他 解 唯 論 融 外 歸 內 名 不 
T46n1928_001:0712c26	二者，一何局哉！一切咸遍，如何銷之？況餘九	二 者 一 何 局 哉 一 切 咸 遍 如 何 銷 之 況 餘 九 
T46n1928_001:0712c27	門皆歸一邊，全傷大體。二、誰云下，俱泯。既各	門 皆 歸 一 邊 全 傷 大 體 二 誰 云 下 俱 泯 既 各 
T46n1928_001:0712c28	融即，不可定分，故稱理觀。誰云有二？然內外	融 即 不 可 定 分 故 稱 理 觀 誰 云 有 二 然 內 外 
T46n1928_001:0712c29	等三雙但泛舉相對，今皆融泯。亦可云內色	等 三 雙 但 泛 舉 相 對 今 皆 融 泯 亦 可 云 內 色 
T46n1928_001:0713a01	心為己，外色心為他，更用己他揀其內外。三、	心 為 己 外 色 心 為 他 更 用 己 他 揀 其 內 外 三 
T46n1928_001:0713a02	此即下，結門所從。十門理一莫不相由，今從	此 即 下 結 門 所 從 十 門 理 一 莫 不 相 由 今 從 
T46n1928_001:0713a03	依境修觀，內外二境皆色心故。此二妙故，內	依 境 修 觀 內 外 二 境 皆 色 心 故 此 二 妙 故 內 
T46n1928_001:0713a04	外不二也。	外 不 二 也 
T46n1928_001:0713a05	十不二門指要鈔卷上	十 不 二 門 指 要 鈔 卷 上 
T46n1928_002:0713a08	十不二門指要鈔卷下	十 不 二 門 指 要 鈔 卷 下 
T46n1928_002:0713a10	宋四明沙門知禮述	宋 四 明 沙 門 知 禮 述 
T46n1928_002:0713a11	三、修性不二門三：初、標。修謂修治造作，即變	三 修 性 不 二 門 三 初 標 修 謂 修 治 造 作 即 變 
T46n1928_002:0713a12	造三千，性謂本有不改，即理具三千，今示全	造 三 千 性 謂 本 有 不 改 即 理 具 三 千 今 示 全 
T46n1928_002:0713a13	性起修則諸行無作，全修在性則一念圓成，	性 起 修 則 諸 行 無 作 全 修 在 性 則 一 念 圓 成 
T46n1928_002:0713a14	是則修外無性、性外無修，互泯互融故稱不	是 則 修 外 無 性 性 外 無 修 互 泯 互 融 故 稱 不 
T46n1928_002:0713a15	二，而就心法妙為門。二、性德下，釋二：初、修性	二 而 就 心 法 妙 為 門 二 性 德 下 釋 二 初 修 性 
T46n1928_002:0713a16	雙立三：初、修性對論二：初、直明性德。言德者	雙 立 三 初 修 性 對 論 二 初 直 明 性 德 言 德 者 
T46n1928_002:0713a17	即本具三千，皆常樂我淨故。界如一念，即前	即 本 具 三 千 皆 常樂我淨 故 界 如 一 念 即 前 
T46n1928_002:0713a18	內境具德剎那心也。界如既即空假中，任運	內 境 具 德 剎 那 心 也 界 如 既 即 空 假 中 任 運 
T46n1928_002:0713a19	成於三德三軌等，即空是般若清淨義故，即	成 於 三 德 三 軌 等 即 空 是 般 若 清 淨 義 故 即 
T46n1928_002:0713a20	假是解脫自在義故，即中是法身究竟義	假 是 解 脫 自 在 義 故 即 中 是 法 身 究 竟 義 
T46n1928_002:0713a21	故，諸三例之。然諸法皆可論於修性，亦為	故 諸 三 例 之 然 諸 法 皆 可 論 於 修 性 亦 為 
T46n1928_002:0713a22	成觀唯指一念。應知前二門直明依境立觀，	成 觀 唯 指 一 念 應 知 前 二 門 直 明 依 境 立 觀 
T46n1928_002:0713a23	此門及因果不二乃委示前二，令成圓行始	此 門 及 因 果 不 二 乃 委 示 前 二 令 成 圓 行 始 
T46n1928_002:0713a24	終也。何者？性德豈出色心不二，修德莫非一	終 也 何 者 性 德 豈 出 色 心 不 二 修 德 莫 非 一 
T46n1928_002:0713a25	心三觀。今示修性互成成妙智行，以此智	心 三 觀 今 示 修 性 互 成 成 妙 智 行 以 此 智 
T46n1928_002:0713a26	行從因至果，則位位無作，方名如夢勤加等，	行 從 因 至 果 則 位 位 無 作 方 名 如 夢 勤 加 等 
T46n1928_002:0713a27	即自行始終皆妙也。二、性雖下，以修對辨	即 自 行 始 終 皆 妙 也 二 性 雖 下 以 修 對 辨 
T46n1928_002:0713a28	二：初、相成者，性雖具足全體在迷，必藉妙智	二 初 相 成 者 性 雖 具 足 全 體 在 迷 必 藉 妙 智 
T46n1928_002:0713a29	解了發起圓修，故云性雖本爾藉智起修，由	解 了 發 起 圓 修 故 云 性 雖 本 爾 藉 智 起 修 由 
T46n1928_002:0713b01	此智行方能徹照性德。而此智行復由性德	此 智 行 方 能 徹 照 性 德 而 此 智 行 復 由 性 德 
T46n1928_002:0713b02	全體而發，若非性發不能照性，若非徹照性	全 體 而 發 若 非 性 發 不 能 照 性 若 非 徹 照 性 
T46n1928_002:0713b03	無由顯，故云由修照性、由性發修，此二句正	無 由 顯 故 云 由 修 照 性 由 性 發 修 此 二 句 正 
T46n1928_002:0713b04	辨相成之相。二、在性下，明互具者，相成之	辨 相 成 之 相 二 在 性 下 明 互 具 者 相 成 之 
T46n1928_002:0713b05	義雖顯，恐謂修從顯發方有、性德稍異修成，	義 雖 顯 恐 謂 修 從 顯 發 方 有 性 德 稍 異 修 成 
T46n1928_002:0713b06	故今全指修成本來已具。如《止觀》廣辨三千	故 今 全 指 修 成 本 來 已 具 如 止 觀 廣 辨 三 千 
T46n1928_002:0713b07	之相，雖是逆順二修，全為顯於性具，則全修	之 相 雖 是 逆 順 二 修 全 為 顯 於 性 具 則 全 修 
T46n1928_002:0713b08	成性也。又一一行業因果自他，雖假修成，全	成 性 也 又 一 一 行 業 因 果 自 他 雖 假 修 成 全 
T46n1928_002:0713b09	是性德三千顯現，故云全性成修也。又雖全	是 性 德 三 千 顯 現 故 云 全 性 成 修 也 又 雖 全 
T46n1928_002:0713b10	性起修，而未嘗少虧性德，以常不改故，故云	性 起 修 而 未 嘗 少 虧 性 德 以 常 不 改 故 故 云 
T46n1928_002:0713b11	性無所移。雖全修成性，而未始暫闕修德，以	性 無 所 移 雖 全 修 成 性 而 未 始 暫 闕 修 德 以 
T46n1928_002:0713b12	常變造故，故云修常宛爾。然若知修性各論	常 變 造 故 故 云 修 常 宛 爾 然 若 知 修 性 各 論 
T46n1928_002:0713b13	三千，則諸義皆顯，故荊谿云，諸家不明修性，	三 千 則 諸 義 皆 顯 故 荊 谿 云 諸 家 不 明 修 性 
T46n1928_002:0713b14	蓋不如此明也。問：「他云，舊本作藉知曰修，而	蓋 不 如 此 明 也 問 他 云 舊 本 作 藉 知 曰 修 而 
T46n1928_002:0713b15	以本性靈知用釋知字。若云藉智起修者，蓋	以 本 性 靈 知 用 釋 知 字 若 云 藉 智 起 修 者 蓋 
T46n1928_002:0713b16	寫者書曰逼知，後人認作智字，既不成句，又	寫 者 書 曰 逼 知 後 人 認 作 智 字 既 不 成 句 又 
T46n1928_002:0713b17	見下句有起修之言，遂輒加起字爾。此復云	見 下 句 有 起 修 之 言 遂 輒 加 起 字 爾 此 復 云 
T46n1928_002:0713b18	何？」答：「既許寫曰逼知，遂成智之一字，何妨往	何 答 既 許 寫 曰 逼 知 遂 成 智 之 一 字 何 妨 往 
T46n1928_002:0713b19	人寫日遠知，誤成知曰二字。必是因脫起字，	人 寫 日 遠 知 誤 成 知 曰 二 字 必 是 因 脫 起 字 
T46n1928_002:0713b20	復由二字相懸，致使有本作藉知曰修也。故	復 由 二 字 相 懸 致 使 有 本 作 藉 知 曰 修 也 故 
T46n1928_002:0713b21	知寫字添脫，遠近難可定之，魚魯之訛豈今	知 寫 字 添 脫 遠 近 難 可 定 之 魚 魯 之 訛 豈 今 
T46n1928_002:0713b22	獨有，須將義定方見是非。何者？他既暗於三法	獨 有 須 將 義 定 方 見 是 非 何 者 他 既 暗 於 三 法 
T46n1928_002:0713b23	妙義，尚將一念因心陰識，直作真知解之，況	妙 義 尚 將 一 念 因 心 陰 識 直 作 真 知 解 之 況 
T46n1928_002:0713b24	今有此訛文知字可執，豈不作靈知解邪？且	今 有 此 訛 文 知 字 可 執 豈 不 作 靈 知 解 邪 且 
T46n1928_002:0713b25	靈知之名圭峯專用，既非即陰而示，又無修	靈 知 之 名 圭 峯 專 用 既 非 即 陰 而 示 又 無 修 
T46n1928_002:0713b26	發之相，正是偏指清淨真如，唯於真心及緣	發 之 相 正 是 偏 指 清 淨 真 如 唯 於 真 心 及 緣 
T46n1928_002:0713b27	理斷九之義也。他云，因真教緣示善惡知，即	理 斷 九 之 義 也 他 云 因 真 教 緣 示 善 惡 知 即 
T46n1928_002:0713b28	是真知，乃知諸法唯心，故云藉知曰修。今問：	是 真 知 乃 知 諸 法 唯 心 故 云 藉 知 曰 修 今 問 
T46n1928_002:0713b29	此之知字，為解為行？若隨闕者則不名修。若	此 之 知 字 為 解 為 行 若 隨 闕 者 則 不 名 修 若 
T46n1928_002:0713c01	單立知字解行足者，乃玄文智行二妙，《止觀》	單 立 知 字 解 行 足 者 乃 玄 文 智 行 二 妙 止 觀 
T46n1928_002:0713c02	妙解正修便為徒設，則天台但傳《禪詮都序》	妙 解 正 修 便 為 徒 設 則 天 台 但 傳 禪 詮 都 序 
T46n1928_002:0713c03	也。又言示善惡知即真知者，還須先用妙解	也 又 言 示 善 惡 知 即 真 知 者 還 須 先 用 妙 解 
T46n1928_002:0713c04	即之不？次用妙行即之不？若然者，正是藉智	即 之 不 次 用 妙 行 即 之 不 若 然 者 正 是 藉 智 
T46n1928_002:0713c05	起修。若不然者，智行二妙全無用也。今云藉	起 修 若 不 然 者 智 行 二 妙 全 無 用 也 今 云 藉 
T46n1928_002:0713c06	智起修，直是由於智妙起於行妙耳，故後結	智 起 修 直 是 由 於 智 妙 起 於 行 妙 耳 故 後 結 
T46n1928_002:0713c07	文云，如境本來具三，依理生解故名為智。智	文 云 如 境 本 來 具 三 依 理 生 解 故 名 為 智 智 
T46n1928_002:0713c08	解導行，行解契理，三法相符不異而異。然智	解 導 行 行 解 契 理 三 法 相 符 不 異 而 異 然 智 
T46n1928_002:0713c09	行俱修今偏在行者，蓋智從解了發起義彊，	行 俱 修 今 偏 在 行 者 蓋 智 從 解 了 發 起 義 彊 
T46n1928_002:0713c10	行就進趣修治義彊，故從彊也。又此一句，全	行 就 進 趣 修 治 義 彊 故 從 彊 也 又 此 一 句 全 
T46n1928_002:0713c11	是《釋籤》行妙中文，彼云藉智起行故。他又云，	是 釋 籤 行 妙 中 文 彼 云 藉 智 起 行 故 他 又 云 
T46n1928_002:0713c12	智名未稱全性成修。若爾，何名智妙？應亦本	智 名 未 稱 全 性 成 修 若 爾 何 名 智 妙 應 亦 本 
T46n1928_002:0713c13	是知妙，後人改為智妙乎！」二、修又下，明逆順	是 知 妙 後 人 改 為 智 妙 乎 二 修 又 下 明 逆 順 
T46n1928_002:0713c14	相返二：初、明對逆故二性並存。二、明因順故	相 返 二 初 明 對 逆 故 二 性 並 存 二 明 因 順 故 
T46n1928_002:0713c15	二心俱泯。初文者，上之全性起修，一往且論	二 心 俱 泯 初 文 者 上 之 全 性 起 修 一 往 且 論 
T46n1928_002:0713c16	順修，修名既通，有順有逆，今欲雙亡先須對	順 修 修 名 既 通 有 順 有 逆 今 欲 雙 亡 先 須 對 
T46n1928_002:0713c17	辨。了性為行者，即藉智起修也。背性成迷	辨 了 性 為 行 者 即 藉 智 起 修 也 背 性 成 迷 
T46n1928_002:0713c18	者，始從無間至別教道，皆背性故。逆稱修者，	者 始 從 無 間 至 別 教 道 皆 背 性 故 逆 稱 修 者 
T46n1928_002:0713c19	即修惡之類也。心雖不二等者，隨緣迷了之	即 修 惡 之 類 也 心 雖 不 二 等 者 隨 緣 迷 了 之 
T46n1928_002:0713c20	處，心性不變，故云不二。逆順二性是全體隨	處 心 性 不 變 故 云 不 二 逆 順 二 性 是 全 體 隨 
T46n1928_002:0713c21	緣，故即理之事常分，故曰事殊。是則以前稱	緣 故 即 理 之 事 常 分 故 曰 事 殊 是 則 以 前 稱 
T46n1928_002:0713c22	圓理修，對今背性，故成二也。二因順故二心	圓 理 修 對 今 背 性 故 成 二 也 二 因 順 故 二 心 
T46n1928_002:0713c23	俱泯者，可不可也。由，因也。不可因逆順二事	俱 泯 者 可 不 可 也 由 因 也 不 可 因 逆 順 二 事 
T46n1928_002:0713c24	同一心性，便令迷逆之事作了順邪！此乃責	同 一 心 性 便 令 迷 逆 之 事 作 了 順 邪 此 乃 責 
T46n1928_002:0713c25	其不分迷悟也。故正立理云，故須一期迷了	其 不 分 迷 悟 也 故 正 立 理 云 故 須 一 期 迷 了 
T46n1928_002:0713c26	照性成修。言一期者，即與一往之語同類，乃	照 性 成 修 言 一 期 者 即 與 一 往 之 語 同 類 乃 
T46n1928_002:0713c27	非終畢之義也。蓋言雖據寂理二修終泯，且	非 終 畢 之 義 也 蓋 言 雖 據 寂 理 二 修 終 泯 且 
T46n1928_002:0713c28	須一期改迷為了，了心若發必照性成修，若	須 一 期 改 迷 為 了 了 心 若 發 必 照 性 成 修 若 
T46n1928_002:0713c29	見性修心自然二心俱泯，此義顯然如指諸	見 性 修 心 自 然 二 心 俱 泯 此 義 顯 然 如 指 諸 
T46n1928_002:0714a01	掌，人何惑焉？豈非逆修如病、順修如藥，雖知	掌 人 何 惑 焉 豈 非 逆 修 如 病 順 修 如 藥 雖 知 
T46n1928_002:0714a02	藥病終須兩亡，一往且須服藥治病，藥力若	藥 病 終 須 兩 亡 一 往 且 須 服 藥 治 病 藥 力 若 
T46n1928_002:0714a03	効其身必康，身若安康藥病俱泯。法諭如此，	効 其 身 必 康 身 若 安 康 藥 病 俱 泯 法 諭 如 此 
T46n1928_002:0714a04	智者思之。問：「他云，舊本作此其字，釋意云，豈	智 者 思 之 問 他 云 舊 本 作 此 其 字 釋 意 云 豈 
T46n1928_002:0714a05	可由不移生死涅槃常殊之性事，便任此為	可 由 不 移 生死涅槃 常 殊 之 性 事 便 任 此 為 
T46n1928_002:0714a06	了修乎？是故下句便云，故須一其迷了照性	了 修 乎 是 故 下 句 便 云 故 須 一 其 迷 了 照 性 
T46n1928_002:0714a07	成修。此復云何？」答：「他雖執於舊本，而違現文。	成 修 此 復 云 何 答 他 雖 執 於 舊 本 而 違 現 文 
T46n1928_002:0714a08	何者？文云，可由事不移心則令迷修成了。文	何 者 文 云 可 由 事 不 移 心 則 令 迷 修 成 了 文 
T46n1928_002:0714a09	意唯責執迷為了，何曾雙責迷了為了邪？豈	意 唯 責 執 迷 為 了 何 曾 雙 責 迷 了 為 了 邪 豈 
T46n1928_002:0714a10	非彰灼違文乎！故知迷了雙泯功由了修。何	非 彰 灼 違 文 乎 故 知 迷 了 雙 泯 功 由 了 修 何 
T46n1928_002:0714a11	者？迷既背性，故立了修翻之，遂一期事殊也。	者 迷 既 背 性 故 立 了 修 翻 之 遂 一 期 事 殊 也 
T46n1928_002:0714a12	了既順理，理無違順，故二心自泯也。是知用	了 既 順 理 理 無 違 順 故 二 心 自 泯 也 是 知 用 
T46n1928_002:0714a13	此期字者，既不違文兼得順理。若用此其字，	此 期 字 者 既 不 違 文 兼 得 順 理 若 用 此 其 字 
T46n1928_002:0714a14	相違稍多，不能廣破也。」三、又了下，明離合本	相 違 稍 多 不 能 廣 破 也 三 又 了 下 明 離 合 本 
T46n1928_002:0714a15	同二：初、約法明離合相異者。復置逆修，但論	同 二 初 約 法 明 離 合 相 異 者 復 置 逆 修 但 論 
T46n1928_002:0714a16	順修法相離合。蓋此修性在諸經論不易條	順 修 法 相 離 合 蓋 此 修 性 在 諸 經 論 不 易 條 
T46n1928_002:0714a17	流，若得此離合意，則不迷修性多少。如《金光	流 若 得 此 離 合 意 則 不 迷 修 性 多 少 如 金 光 
T46n1928_002:0714a18	明玄義》十種三法，乃是采取經論修性法相，	明 玄 義 十 種 三 法 乃 是 采 取 經 論 修 性 法 相 
T46n1928_002:0714a19	故具離合兩說。如三德三寶，雖是修德之極，	故 具 離 合 兩 說 如 三 德 三 寶 雖 是 修 德 之 極 
T46n1928_002:0714a20	義必該性；三身三智，文雖約悟，理必通迷；三	義 必 該 性 三 身 三 智 文 雖 約 悟 理 必 通 迷 三 
T46n1928_002:0714a21	識三道，既指事即理，必全性起修。此六豈非	識 三 道 既 指 事 即 理 必 全 性 起 修 此 六 豈 非 
T46n1928_002:0714a22	修性各三。三因既以一性對智行二修，三菩	修 性 各 三 三 因 既 以 一 性 對 智 行 二 修 三 菩 
T46n1928_002:0714a23	提、三大乘、三涅槃，並以一性對證理起用二	提 三 大 乘 三 涅 槃 並 以 一 性 對 證 理 起 用 二 
T46n1928_002:0714a24	修，此四豈非修二性一。若各三者唯屬於圓，	修 此 四 豈 非 修 二 性 一 若 各 三 者 唯 屬 於 圓 
T46n1928_002:0714a25	以各相主對全性起修，故修二性一則兼於	以 各 相 主 對 全 性 起 修 故 修 二 性 一 則 兼 於 
T46n1928_002:0714a26	別。直以修二顯於性一，則教道所詮，若知合	別 直 以 修 二 顯 於 性 一 則 教 道 所 詮 若 知 合 
T46n1928_002:0714a27	九為三，復是圓義。此文多用各三，如云性指	九 為 三 復 是 圓 義 此 文 多 用 各 三 如 云 性 指 
T46n1928_002:0714a28	三障，是故具三，修從性成，成三法爾。又云，	三 障 是 故 具 三 修 從 性 成 成 三 法 爾 又 云 
T46n1928_002:0714a29	一念心因既具三軌，此因成果名三涅槃。若	一 念 心 因 既 具 三 軌 此 因 成 果 名 三 涅 槃 若 
T46n1928_002:0714b01	後結文三法相符，雖似修二性一，乃合九為	後 結 文 三 法 相 符 雖 似 修 二 性 一 乃 合 九 為 
T46n1928_002:0714b02	三也。修二各三等者，就合各開。如三般若等，	三 也 修 二 各 三 等 者 就 合 各 開 如 三 般 若 等 
T46n1928_002:0714b03	是了因之三；如三菩提等，是緣因之三；共發	是 了 因 之 三 如 三 菩 提 等 是 緣 因 之 三 共 發 
T46n1928_002:0714b04	三道等，正因之三。既發性三俱云修九者，雖	三 道 等 正 因 之 三 既 發 性 三 俱 云 修 九 者 雖 
T46n1928_002:0714b05	兼性三，咸為所發，故皆屬修。又凡論修者必	兼 性 三 咸 為 所 發 故 皆 屬 修 又 凡 論 修 者 必 
T46n1928_002:0714b06	須兼性。九秖是三者，如三般若秖是了因，如	須 兼 性 九 秖 是 三 者 如 三 般 若 秖 是 了 因 如 
T46n1928_002:0714b07	三解脫秖是緣因，如三道等秖是正因。為對	三 解 脫 秖 是 緣 因 如 三 道 等 秖 是 正 因 為 對 
T46n1928_002:0714b08	等者，釋前合意。性既唯立正因，為對性以成	等 者 釋 前 合 意 性 既 唯 立 正 因 為 對 性 以 成 
T46n1928_002:0714b09	三，故修但緣了也。諸合三義，例皆如是。問：「十	三 故 修 但 緣 了 也 諸 合 三 義 例 皆 如 是 問 十 
T46n1928_002:0714b10	種三法俱通修性，各可對三德三因。何故三	種 三 法 俱 通 修 性 各 可 對 三 德 三 因 何 故 三 
T46n1928_002:0714b11	般若等唯對了因，三菩提等獨對緣因？」答：「如	般 若 等 唯 對 了 因 三 菩 提 等 獨 對 緣 因 答 如 
T46n1928_002:0714b12	此對之方為圓說。單云了因不少，以具三故，	此 對 之 方 為 圓 說 單 云 了 因 不 少 以 具 三 故 
T46n1928_002:0714b13	了三自具三因三德等，故緣正亦然。應知一	了 三 自 具 三 因 三 德 等 故 緣 正 亦 然 應 知 一 
