T48n2009_001:0365a08	小室六門	小 室 六 門 
T48n2009_001:0369c03	識。唯知事相為功。廣費財寶。多傷水陸。妄營	識 唯 知 事 相 為 功 廣 費 財 寶 多 傷 水 陸 妄 營 
T48n2009_001:0369c04	像塔。虛役人夫。積木疊泥。圖青畫緣。傾心	像 塔 虛 役 人 夫 積 木 疊 泥 圖 青 畫 緣 傾 心 
T48n2009_001:0369c05	盡力。損己迷他。未解慚愧。何曾覺悟。見有為	盡 力 損 己 迷 他 未 解 慚 愧 何 曾 覺 悟 見 有 為 
T48n2009_001:0369c06	則勤勤愛著。說無為則兀兀如迷。且貪現世	則 勤 勤 愛 著 說 無 為 則 兀 兀 如 迷 且 貪 現 世 
T48n2009_001:0369c07	之小慈。豈覺當來之大苦。此之修學。徒自疲	之 小 慈 豈 覺 當 來 之 大 苦 此 之 修 學 徒 自 疲 
T48n2009_001:0369c08	勞。背正歸邪。誰言獲福。但能攝心內照。覺觀	勞 背 正 歸 邪 誰 言 獲 福 但 能 攝 心 內 照 覺 觀 
T48n2009_001:0369c09	外明。絕三毒永使銷亡。閉六賊不令侵擾。自	外 明 絕 三 毒 永 使 銷 亡 閉 六 賊 不 令 侵 擾 自 
T48n2009_001:0369c10	然恒沙功德。種種莊嚴。無數法門。一一成就。	然 恒 沙 功 德 種 種 莊 嚴 無 數 法 門 一 一 成 就 
T48n2009_001:0369c11	超凡證聖。目擊非遙。悟在須臾。何煩皓首。真	超 凡 證 聖 目 擊 非 遙 悟 在 須 臾 何 煩 皓 首 真 
T48n2009_001:0369c12	門幽祕。寧可具陳。略述觀心。說其少分。而說	門 幽 祕 寧 可 具 陳 略 述 觀 心 說 其 少 分 而 說 
T48n2009_001:0369c13	偈言。	偈 言 
T48n2009_001:0369c14	　我本求心心自持　　求心不得待心知	 我 本 求 心 心 自 持 求 心 不 得 待 心 知 
T48n2009_001:0369c15	　佛性不從心外得　　心生便是罪生時	 佛 性 不 從 心 外 得 心 生 便 是 罪 生 時 
T48n2009_001:0369c16	　我本求心不求佛　　了知三界空無物	 我 本 求 心 不 求 佛 了 知 三 界 空 無 物 
T48n2009_001:0369c17	　若欲求佛但求心　　只這心心心是佛	 若 欲 求 佛 但 求 心 只 這 心 心 心 是 佛 
T48n2009_001:0369c18	破相論終	破 相 論 終 
T48n2009_001:0369c19	第三門二種入	第 三 門 二 種 入 
T48n2009_001:0369c20	夫入道多途。要而言之。不出二種。一是理入。	夫 入 道 多 途 要 而 言 之 不 出 二 種 一 是 理 入 
T48n2009_001:0369c21	二是行入。理入者。謂藉教悟宗。深信含生同	二 是 行 入 理 入 者 謂 藉 教 悟 宗 深 信 含 生 同 
T48n2009_001:0369c22	一真性。俱為客塵妄想所覆。不能顯了。若	一 真 性 俱 為 客 塵 妄 想 所 覆 不 能 顯 了 若 
T48n2009_001:0369c23	也捨妄歸真。凝住壁觀。無自無他。凡聖等一。	也 捨 妄 歸 真 凝 住 壁 觀 無 自 無 他 凡 聖 等 一 
T48n2009_001:0369c24	堅住不移。更不隨於文教。此即與理冥符。無	堅 住 不 移 更 不 隨 於 文 教 此 即 與 理 冥 符 無 
T48n2009_001:0369c25	有分別。寂然無為。名之理入。行入者。謂四	有 分 別 寂 然 無 為 名 之 理 入 行 入 者 謂 四 
T48n2009_001:0369c26	行。其餘諸行悉入此中。何等四耶。一報冤行。	行 其 餘 諸 行 悉 入 此 中 何 等 四 耶 一 報 冤 行 
T48n2009_001:0369c27	二隨緣行。三無所求行。四稱法行。云何報冤	二 隨 緣 行 三 無 所 求 行 四 稱 法 行 云 何 報 冤 
T48n2009_001:0369c28	行。謂修道行人若受苦時。當自念言我從往	行 謂 修 道 行 人 若 受 苦 時 當 自 念 言 我 從 往 
T48n2009_001:0369c29	昔無數劫中。棄本從末流浪諸有。多起冤憎。	昔 無 數 劫 中 棄 本 從 末 流 浪 諸 有 多 起 冤 憎 
T48n2009_001:0370a01	違害無限。今雖無犯。是皆宿殃。惡業果熟。非	違 害 無 限 今 雖 無 犯 是 皆 宿 殃 惡 業 果 熟 非 
T48n2009_001:0370a02	天非人所能見與。甘心忍受。都無冤訴。經	天 非 人 所 能 見 與 甘 心 忍 受 都 無 冤 訴 經 
T48n2009_001:0370a03	云。逢苦不憂。何以故。識達故。此心生時。與	云 逢 苦 不 憂 何 以 故 識 達 故 此 心 生 時 與 
T48n2009_001:0370a04	理相應。體冤進道故。說言報冤行。二隨緣行	理 相 應 體 冤 進 道 故 說 言 報 冤 行 二 隨 緣 行 
T48n2009_001:0370a05	者。眾生無我。並緣業所轉。苦樂齊受。皆從緣	者 眾 生 無 我 並 緣 業 所 轉 苦 樂 齊 受 皆 從 緣 
T48n2009_001:0370a06	生。若得勝報榮譽等事。是我過去宿因所感。	生 若 得 勝 報 榮 譽 等 事 是 我 過 去 宿 因 所 感 
T48n2009_001:0370a07	今方得之。緣盡還無。何喜之有。得失從緣。心	今 方 得 之 緣 盡 還 無 何 喜 之 有 得 失 從 緣 心 
T48n2009_001:0370a08	無增減。喜風不動。冥順於道。是故說言隨緣	無 增 減 喜 風 不 動 冥 順 於 道 是 故 說 言 隨 緣 
T48n2009_001:0370a09	行也。三無所求行者。世人長迷。處處貪著。名	行 也 三 無 所 求 行 者 世 人 長 迷 處 處 貪 著 名 
T48n2009_001:0370a10	之為求。智者悟真。理將俗反。安心無為。形隨	之 為 求 智 者 悟 真 理 將 俗 反 安 心 無 為 形 隨 
T48n2009_001:0370a11	運轉。萬有斯空。無所願樂。功德黑暗。常相	運 轉 萬 有 斯 空 無 所 願 樂 功 德 黑 暗 常 相 
T48n2009_001:0370a12	隨逐。三界久居猶如火宅。有身皆苦。誰得而	隨 逐 三 界 久 居 猶 如 火 宅 有 身 皆 苦 誰 得 而 
T48n2009_001:0370a13	安。了達此處。故捨諸有。息想無求。經云。有	安 了 達 此 處 故 捨 諸 有 息 想 無 求 經 云 有 
T48n2009_001:0370a14	求皆苦。無求乃樂。判知無求真為道行。故	求 皆 苦 無 求 乃 樂 判 知 無 求 真 為 道 行 故 
T48n2009_001:0370a15	言無所求行也。四稱法行者。性淨之理目之	言 無 所 求 行 也 四 稱 法 行 者 性 淨 之 理 目 之 
T48n2009_001:0370a16	為法。信解此理。眾相斯空。無染無著。無此	為 法 信 解 此 理 眾 相 斯 空 無 染 無 著 無 此 
T48n2009_001:0370a17	無彼。經云。法無眾生。離眾生垢故。法無有	無 彼 經 云 法 無 眾 生 離 眾 生 垢 故 法 無 有 
T48n2009_001:0370a18	我。離我垢故。智者若能信解此理。應當稱法	我 離 我 垢 故 智 者 若 能 信 解 此 理 應 當 稱 法 
T48n2009_001:0370a19	而行。法體無慳。於身命財行檀捨施。心無	而 行 法 體 無 慳 於 身 命 財 行 檀 捨 施 心 無 
T48n2009_001:0370a20	悕惜。達解三空。不倚不著。但為去垢。稱化	悕 惜 達 解 三 空 不 倚 不 著 但 為 去 垢 稱 化 
T48n2009_001:0370a21	眾生。而不取相。此為自行。復能利他。亦能	眾 生 而 不 取 相 此 為 自 行 復 能 利 他 亦 能 
T48n2009_001:0370a22	莊嚴菩提之道。檀施既爾。餘五亦然。為除	莊 嚴 菩 提 之 道 檀 施 既 爾 餘 五 亦 然 為 除 
T48n2009_001:0370a23	妄想。修行六度。而無所行。是為稱法行。說	妄 想 修 行 六 度 而 無 所 行 是 為 稱 法 行 說 
T48n2009_001:0370a24	偈言。	偈 言 
T48n2009_001:0370a25	　外息諸緣　　內心無喘　　心如牆壁	 外 息 諸 緣 內 心 無 喘 心 如 牆 壁 
T48n2009_001:0370a26	　可以入道　　明佛心宗　　等無差誤	 可 以 入 道 明 佛 心 宗 等 無 差 誤 
T48n2009_001:0370a27	　行解相應　　名之曰祖	 行 解 相 應 名 之 曰 祖 
T48n2009_001:0370a28	二種入終	二 種 入 終 
T48n2009_001:0370a29	第四門安心法門(宗鏡及正法眼藏載之)	第 四 門 安 心 法 門 宗 鏡 及 正 法 眼 藏 載 之 
T48n2009_001:0370b01	迷時人逐法。解時法逐人。解則識攝色。迷則	迷 時 人 逐 法 解 時 法 逐 人 解 則 識 攝 色 迷 則 
T48n2009_001:0370b02	色攝識。但有心分別計較。自身現量者悉皆	色 攝 識 但 有 心 分 別 計 較 自 身 現 量 者 悉 皆 
T48n2009_001:0370b03	是夢。若識心寂滅無一動念處。是名正覺。	是 夢 若 識 心 寂 滅 無 一 動 念 處 是 名 正 覺 
T48n2009_001:0370b04	問。云何自心現量。答。見一切法有。有自不	問 云 何 自心現量 答 見 一 切 法 有 有 自 不 
T48n2009_001:0370b05	有。自心計作有。見一切法無。無自不無。自心	有 自 心 計 作 有 見 一 切 法 無 無 自 不 無 自 心 
T48n2009_001:0370b06	計作無。乃至一切法亦如是。並是自心計作	計 作 無 乃 至 一 切 法 亦 如 是 並 是 自 心 計 作 
T48n2009_001:0370b07	有。自心計作無。又若人造一切罪。自見己之	有 自 心 計 作 無 又 若 人 造 一 切 罪 自 見 己 之 
T48n2009_001:0370b08	法王。即得解脫。若從事上得解者。氣力壯。從	法 王 即 得 解 脫 若 從 事 上 得 解 者 氣 力 壯 從 
T48n2009_001:0370b09	事中見法者。即處處不失念。從文字解者。氣	事 中 見 法 者 即 處 處 不 失 念 從 文 字 解 者 氣 
T48n2009_001:0370b10	力弱。即事即法者。深從汝種種運為。跳踉顛	力 弱 即 事 即 法 者 深 從 汝 種 種 運 為 跳 踉 顛 
T48n2009_001:0370b11	蹶。悉不出法界。亦不入法界。若以法界入法	蹶 悉 不 出 法 界 亦 不 入 法 界 若 以 法 界 入 法 
T48n2009_001:0370b12	界。即是癡人。凡有所施為。終不出法界心。何	界 即 是 癡 人 凡 有 所 施 為 終 不 出 法 界 心 何 
T48n2009_001:0370b13	以故。心體是法界故。	以 故 心 體 是 法 界 故 
T48n2009_001:0370b14	問。世間人種種學問。云何不得道。答。由見	問 世 間 人 種 種 學 問 云 何 不 得 道 答 由 見 
T48n2009_001:0370b15	己故不得道。己者我也。至人逢苦不憂。遇	己 故 不 得 道 己 者 我 也 至 人 逢 苦 不 憂 遇 
T48n2009_001:0370b16	樂不喜。由不見己故。所以不知苦樂者。由	樂 不 喜 由 不 見 己 故 所 以 不 知 苦 樂 者 由 
T48n2009_001:0370b17	亡己故。得至虛無。己自尚亡。更有何物而	亡 己 故 得 至 虛 無 己 自 尚 亡 更 有 何 物 而 
T48n2009_001:0370b18	不亡也。	不 亡 也 
T48n2009_001:0370b19	問。諸法既空。阿誰修道。答。有阿誰。須修道。	問 諸 法 既 空 阿 誰 修 道 答 有 阿 誰 須 修 道 
T48n2009_001:0370b20	若無阿誰。即不須修道。阿誰者亦我也。若無	若 無 阿 誰 即 不 須 修 道 阿 誰 者 亦 我 也 若 無 
T48n2009_001:0370b21	我者。逢物不生是非。是者我自是。而物非是	我 者 逢 物 不 生 是 非 是 者 我 自 是 而 物 非 是 
T48n2009_001:0370b22	也。非者我自非。而物非非也。即心無心。是為	也 非 者 我 自 非 而 物 非 非 也 即 心 無 心 是 為 
T48n2009_001:0370b23	通達佛道。即物不起見。名為達道。逢物直達	通 達 佛 道 即 物 不 起 見 名 為 達 道 逢 物 直 達 
T48n2009_001:0370b24	知其本源。此人慧眼開。智者任物不任己。即	知 其 本 源 此 人 慧 眼 開 智 者 任 物 不 任 己 即 
T48n2009_001:0370b25	無取捨違順。愚者任己不任物。即有取捨違	無 取 捨 違 順 愚 者 任 己 不 任 物 即 有 取 捨 違 
T48n2009_001:0370b26	順。不見一物。名為見道。不行一物。名為行	順 不 見 一 物 名 為 見 道 不 行 一 物 名 為 行 
T48n2009_001:0370b27	道。即一切處無處。即作處無作法。即是見	道 即 一 切 處 無 處 即 作 處 無 作 法 即 是 見 
T48n2009_001:0370b28	佛。若見相時。即一切處見鬼。取相故墮地獄。	佛 若 見 相 時 即 一 切 處 見 鬼 取 相 故 墮 地 獄 
T48n2009_001:0370b29	觀法故得解脫。若見憶相分別。即受鑊湯爐	觀 法 故 得 解 脫 若 見 憶 相 分 別 即 受 鑊 湯 爐 
T48n2009_001:0370c01	炭等事。現見生死相。若見法界性。即涅槃	炭 等 事 現 見 生 死 相 若 見 法 界 性 即 涅 槃 
T48n2009_001:0370c02	性。無憶想分別。即是法界性。心是非色故非	性 無 憶想分別 即 是 法 界 性 心 是 非 色 故 非 
T48n2009_001:0370c03	有。用而不廢故非無。用而常空故非有。空而	有 用 而 不 廢 故 非 無 用 而 常 空 故 非 有 空 而 
T48n2009_001:0370c04	常用故非無。即說頌曰。	常 用 故 非 無 即 說 頌 曰 
T48n2009_001:0370c05	心心心。難可尋。寬時遍法界。窄也不容針。	心 心 心 難 可 尋 寬 時 遍 法 界 窄 也 不 容 針 
T48n2009_001:0370c06	亦不覩惡而生嫌。亦不觀善而勤措。亦不	亦 不 覩 惡 而 生 嫌 亦 不 觀 善 而 勤 措 亦 不 
T48n2009_001:0370c07	捨智而近愚。亦不抱迷而就悟。達大道兮	捨 智 而 近 愚 亦 不 抱 迷 而 就 悟 達 大 道 兮 
T48n2009_001:0370c08	過量。通佛心兮出度。不與凡聖同躔。超然	過 量 通 佛 心 兮 出 度 不 與 凡 聖 同 躔 超 然 
T48n2009_001:0370c09	名之曰祖。	名 之 曰 祖 
T48n2009_001:0370c10	安心法門終	安 心 法 門 終 
T48n2009_001:0370c11	第五門悟性論	第 五 門 悟 性 論 
T48n2009_001:0370c12	夫道者。以寂滅為體。修者。以離相為宗。故經	夫 道 者 以 寂 滅 為 體 修 者 以 離 相 為 宗 故 經 
T48n2009_001:0370c13	云。寂滅是菩提。滅諸相故。佛者覺也。人有覺	云 寂 滅 是 菩 提 滅 諸 相 故 佛 者 覺 也 人 有 覺 
T48n2009_001:0370c14	心。得菩提道。故名為佛。經云。離一切諸相。	心 得 菩 提 道 故 名 為 佛 經 云 離 一 切 諸 相 
T48n2009_001:0370c15	即名諸佛。是知有相是無相之相。不可以眼	即 名 諸 佛 是 知 有 相 是 無 相 之 相 不 可 以 眼 
T48n2009_001:0370c16	見。唯可以智知。若聞此法者。生一念信心。此	見 唯 可 以 智 知 若 聞 此 法 者 生 一 念 信 心 此 
T48n2009_001:0370c17	人以發大乘。乃超三界。三界者。貪嗔癡是。返	人 以 發 大 乘 乃 超 三 界 三 界 者 貪 嗔 癡 是 返 
T48n2009_001:0370c18	貪嗔癡。為戒定慧。即名超三界。然貪嗔癡亦	貪 嗔 癡 為 戒 定 慧 即 名 超 三 界 然 貪 嗔 癡 亦 
T48n2009_001:0370c19	無實性。但據眾生而言矣。能返照了了見。貪	無 實 性 但 據 眾 生 而 言 矣 能 返 照 了 了 見 貪 
T48n2009_001:0370c20	嗔癡性即是佛性。貪嗔癡外更無別有佛性。	嗔 癡 性 即 是 佛 性 貪 嗔 癡 外 更 無 別 有 佛 性 
T48n2009_001:0370c21	經云。諸佛從本來。常處於三毒。長養於白法。	經 云 諸 佛 從 本 來 常 處 於 三 毒 長 養 於 白 法 
T48n2009_001:0370c22	而成於世尊。三毒者。貪嗔癡也。言大乘最上	而 成 於 世 尊 三 毒 者 貪 嗔 癡 也 言 大 乘 最 上 
T48n2009_001:0370c23	乘者。皆菩薩所行之處也。無所不乘。亦無所	乘 者 皆 菩薩所行 之 處 也 無 所 不 乘 亦 無 所 
T48n2009_001:0370c24	乘。終日乘未甞乘。此為佛乘。經云。無乘為佛	乘 終 日 乘 未 甞 乘 此 為 佛 乘 經 云 無 乘 為 佛 
T48n2009_001:0370c25	乘也。若人知六根不實五蘊假名。遍體求之。	乘 也 若 人 知 六 根 不 實 五 蘊 假 名 遍 體 求 之 
T48n2009_001:0370c26	必無定處。當知此人解佛語。經云。五蘊窟宅。	必 無 定 處 當 知 此 人 解 佛 語 經 云 五 蘊 窟 宅 
T48n2009_001:0370c27	是名禪院。內照開解。即大乘門。不憶一切法。	是 名 禪 院 內 照 開 解 即 大 乘 門 不 憶 一 切 法 
T48n2009_001:0370c28	乃名為禪定。若了此言者。行住坐臥皆是禪	乃 名 為 禪 定 若 了 此 言 者 行住坐臥 皆 是 禪 
T48n2009_001:0370c29	定。知心是空。名為見佛。何以故。十方諸佛皆	定 知 心 是 空 名 為 見 佛 何 以 故 十方諸佛 皆 
T48n2009_001:0371a01	以無心不見於心。名為見佛。捨心不悋。名	以 無 心 不 見 於 心 名 為 見 佛 捨 心 不 悋 名 
T48n2009_001:0371a02	大布施。離諸動定。名大坐禪。何以故。凡夫一	大 布 施 離 諸 動 定 名 大 坐 禪 何 以 故 凡 夫 一 
T48n2009_001:0371a03	向動。小乘一向定。謂出過凡夫小乘之坐禪。	向 動 小 乘 一 向 定 謂 出 過 凡 夫 小 乘 之 坐 禪 
T48n2009_001:0371a04	名大坐禪。若作此會者。一切諸相不離自解。	名 大 坐 禪 若 作 此 會 者 一 切 諸 相 不 離 自 解 
T48n2009_001:0371a05	一切諸病不治自差。此皆大禪定力。凡將心	一 切 諸 病 不 治 自 差 此 皆 大 禪 定 力 凡 將 心 
T48n2009_001:0371a06	求法者為迷。不將心求法者為悟。不著文字	求 法 者 為 迷 不 將 心 求 法 者 為 悟 不 著 文 字 
T48n2009_001:0371a07	名解脫。不染六塵名護法。出離生死名出家。	名 解 脫 不 染 六 塵 名 護 法 出 離 生 死 名 出 家 
T48n2009_001:0371a08	不受後有名得道。不生妄想名涅槃。不處無	不 受 後 有 名 得 道 不 生 妄 想 名 涅 槃 不 處 無 
T48n2009_001:0371a09	明為大智慧。無煩惱處名般涅槃。無相處名	明 為 大 智 慧 無 煩 惱 處 名 般 涅 槃 無 相 處 名 
T48n2009_001:0371a10	為彼岸。迷時有此岸。悟時無此岸。何以故。為	為 彼 岸 迷 時 有 此 岸 悟 時 無 此 岸 何 以 故 為 
T48n2009_001:0371a11	凡夫一向住此。若覺最上乘者。心不住此。亦	凡 夫 一 向 住 此 若 覺 最 上 乘 者 心 不 住 此 亦 
T48n2009_001:0371a12	不住彼。故能離於此彼岸也。若見彼岸異於	不 住 彼 故 能 離 於 此 彼 岸 也 若 見 彼 岸 異 於 
T48n2009_001:0371a13	此岸。此人之心已無禪定。煩惱名眾生。悟解	此 岸 此 人 之 心 已 無 禪 定 煩 惱 名 眾 生 悟 解 
T48n2009_001:0371a14	名菩提。亦不一不異。只隔其迷悟耳。迷時有	名 菩 提 亦 不 一 不 異 只 隔 其 迷 悟 耳 迷 時 有 
T48n2009_001:0371a15	世間可出。悟時無世間可出。平等法中。不見	世 間 可 出 悟 時 無 世 間 可 出 平 等 法 中 不 見 
T48n2009_001:0371a16	凡夫異於聖人。經云。平等法者。凡夫不能入。	凡 夫 異 於 聖 人 經 云 平 等 法 者 凡 夫 不 能 入 
T48n2009_001:0371a17	聖人不能行。平等法者。唯大菩薩與諸佛如	聖 人 不 能 行 平 等 法 者 唯 大 菩 薩 與 諸 佛 如 
T48n2009_001:0371a18	來行也。若見生異於死。動異於靜。皆名不平	來 行 也 若 見 生 異 於 死 動 異 於 靜 皆 名 不 平 
T48n2009_001:0371a19	等。不見煩惱異於涅槃。是名平等。何以故。煩	等 不 見 煩 惱 異 於 涅 槃 是 名 平 等 何 以 故 煩 
T48n2009_001:0371a20	惱與涅槃。同是一性空故。是以小乘人妄斷	惱 與 涅 槃 同 是 一 性 空 故 是 以 小 乘 人 妄 斷 
T48n2009_001:0371a21	煩惱。妄入涅槃。為涅槃所滯。菩薩知煩惱性	煩 惱 妄 入 涅 槃 為 涅 槃 所 滯 菩 薩 知 煩 惱 性 
T48n2009_001:0371a22	空。即不離空。故常在涅槃。涅槃者。涅而不	空 即 不 離 空 故 常 在 涅 槃 涅 槃 者 涅 而 不 
T48n2009_001:0371a23	生。槃而不死。出離生死。名般涅槃。心無去	生 槃 而 不 死 出 離 生 死 名 般 涅 槃 心 無 去 
T48n2009_001:0371a24	來。即入涅槃。是知涅槃即是空心。諸佛入涅	來 即 入 涅 槃 是 知 涅 槃 即 是 空 心 諸 佛 入 涅 
T48n2009_001:0371a25	槃者。即是無妄想處。菩薩入道場者。即是無	槃 者 即 是 無 妄 想 處 菩 薩 入 道 場 者 即 是 無 
T48n2009_001:0371a26	煩惱處。空閑處者。即是無貪嗔癡也。貪為欲	煩 惱 處 空 閑 處 者 即 是 無 貪 嗔 癡 也 貪 為 欲 
T48n2009_001:0371a27	界。嗔為色界。癡為無色界。若一念心生。即入	界 嗔 為 色 界 癡 為 無 色 界 若 一 念 心 生 即 入 
T48n2009_001:0371a28	三界。一念心滅。即出三界。是知三界生滅。萬	三 界 一 念 心 滅 即 出 三 界 是 知 三 界 生 滅 萬 
T48n2009_001:0371a29	法有無。皆由一心。凡言一心者。似破瓦石竹	法 有 無 皆 由 一 心 凡 言 一 心 者 似 破 瓦 石 竹 
T48n2009_001:0371b01	木無情之物。若知心是假名無有實體。即知	木 無 情 之 物 若 知 心 是 假 名 無 有 實 體 即 知 
T48n2009_001:0371b02	自寂之心亦是非有亦是非無。何以故。凡夫	自 寂 之 心 亦 是 非 有 亦 是 非 無 何 以 故 凡 夫 
T48n2009_001:0371b03	一向生心名為有。小乘一向滅心名為無。菩	一 向 生 心 名 為 有 小 乘 一 向 滅 心 名 為 無 菩 
T48n2009_001:0371b04	薩與佛未曾生心。未曾滅心。名為非有非無	薩 與 佛 未 曾 生 心 未 曾 滅 心 名 為 非有非無 
T48n2009_001:0371b05	心。非有非無心。此名為中道。是知將心學法。	心 非有非無 心 此 名 為 中 道 是 知 將 心 學 法 
T48n2009_001:0371b06	則心法俱迷。不將心學法。則心法俱悟。凡迷	則 心 法 俱 迷 不 將 心 學 法 則 心 法 俱 悟 凡 迷 
T48n2009_001:0371b07	者迷於悟。悟者悟於迷。正見之人。知心空無。	者 迷 於 悟 悟 者 悟 於 迷 正 見 之 人 知 心 空 無 
T48n2009_001:0371b08	即超迷悟。無有迷悟。始名正解正見。色不自	即 超 迷 悟 無 有 迷 悟 始 名 正 解 正 見 色 不 自 
T48n2009_001:0371b09	色。由心故色。心不自心。由色故心。是知心色	色 由 心 故 色 心 不 自 心 由 色 故 心 是 知 心 色 
T48n2009_001:0371b10	兩相俱有生滅。有者有於無。無者無於有。是	兩 相 俱 有 生 滅 有 者 有 於 無 無 者 無 於 有 是 
T48n2009_001:0371b11	名真見。夫真見者。無所不見。亦無所見。見滿	名 真 見 夫 真 見 者 無 所 不 見 亦 無 所 見 見 滿 
T48n2009_001:0371b12	十方。未曾有見。何以故。無所見故。見無見	十 方 未 曾 有 見 何 以 故 無 所 見 故 見 無 見 
T48n2009_001:0371b13	故。見非見故。凡夫所見。皆名妄想。若寂滅無	故 見 非 見 故 凡 夫 所 見 皆 名 妄 想 若 寂 滅 無 
T48n2009_001:0371b14	見。始名真見。心境相對。見生於中。若內不起	見 始 名 真 見 心 境 相 對 見 生 於 中 若 內 不 起 
T48n2009_001:0371b15	心。則外不生境。故心境俱淨。乃名為真見。作	心 則 外 不 生 境 故 心 境 俱 淨 乃 名 為 真 見 作 
T48n2009_001:0371b16	此解時。乃名正見。不見一切法。乃名得道。不	此 解 時 乃 名 正 見 不 見 一 切 法 乃 名 得 道 不 
T48n2009_001:0371b17	解一切法。乃名解法。何以故。見與不見。俱不	解 一 切 法 乃 名 解 法 何 以 故 見 與 不 見 俱 不 
T48n2009_001:0371b18	見故。解與不解。俱不解故。無見之見。乃名真	見 故 解 與 不 解 俱 不 解 故 無 見 之 見 乃 名 真 
T48n2009_001:0371b19	見。無解之解。乃名真解。夫真見者。非直見於	見 無 解 之 解 乃 名 真 解 夫 真 見 者 非 直 見 於 
T48n2009_001:0371b20	見。亦乃見於不見。真解者。非直解於解。亦乃	見 亦 乃 見 於 不 見 真 解 者 非 直 解 於 解 亦 乃 
T48n2009_001:0371b21	解於不解。凡有所解。皆名不解。無所解者。始	解 於 不 解 凡 有 所 解 皆 名 不 解 無 所 解 者 始 
T48n2009_001:0371b22	名真解。解與不解。俱非解也。經云。不捨智慧	名 真 解 解 與 不 解 俱 非 解 也 經 云 不 捨 智 慧 
T48n2009_001:0371b23	名愚癡。以心為空。解與不解俱是真。以心為	名 愚 癡 以 心 為 空 解 與 不 解 俱 是 真 以 心 為 
T48n2009_001:0371b24	有。解與不解俱是妄。若解時法逐人。若不解	有 解 與 不 解 俱 是 妄 若 解 時 法 逐 人 若 不 解 
T48n2009_001:0371b25	時人逐法。若法逐於人。則非法成法。若人逐	時 人 逐 法 若 法 逐 於 人 則 非 法 成 法 若 人 逐 
T48n2009_001:0371b26	於法。則法成非法。若人逐於法。則法皆妄。若	於 法 則 法 成 非 法 若 人 逐 於 法 則 法 皆 妄 若 
T48n2009_001:0371b27	法逐於人。則法皆真。是以聖人亦不將心求	法 逐 於 人 則 法 皆 真 是 以 聖 人 亦 不 將 心 求 
T48n2009_001:0371b28	法。亦不將法求心。亦不將心求心。亦不將法	法 亦 不 將 法 求 心 亦 不 將 心 求 心 亦 不 將 法 
T48n2009_001:0371b29	求法。所以心不生法。法不生心。心法兩寂。故	求 法 所 以 心 不 生 法 法 不 生 心 心 法 兩 寂 故 
T48n2009_001:0371c01	常為在定。眾生心生則佛法滅。眾生心滅則	常 為 在 定 眾 生 心 生 則 佛 法 滅 眾 生 心 滅 則 
T48n2009_001:0371c02	佛法生。心生則真法滅。心滅則真法生。已知	佛 法 生 心 生 則 真 法 滅 心 滅 則 真 法 生 已 知 
T48n2009_001:0371c03	一切法各不相屬。是名得道人。知心不屬一	一 切 法 各 不 相 屬 是 名 得 道 人 知 心 不 屬 一 
T48n2009_001:0371c04	切法。此人常在道場。迷時有罪。解時無罪。何	切 法 此 人 常 在 道 場 迷 時 有 罪 解 時 無 罪 何 
T48n2009_001:0371c05	以故。罪性空故。迷時無罪見罪。若解時即罪	以 故 罪 性 空 故 迷 時 無 罪 見 罪 若 解 時 即 罪 
T48n2009_001:0371c06	無罪。何以故。罪無處所故。經云。諸法無性。	無 罪 何 以 故 罪 無 處 所 故 經 云 諸 法 無 性 
T48n2009_001:0371c07	真用莫疑。疑即成罪。何以故。罪因疑惑而生。	真 用 莫 疑 疑 即 成 罪 何 以 故 罪 因 疑 惑 而 生 
T48n2009_001:0371c08	若作此解者。前世罪業即為消滅。迷時六識	若 作 此 解 者 前 世 罪 業 即 為 消 滅 迷 時 六 識 
T48n2009_001:0371c09	五陰皆是煩惱生死法。悟時六識五陰皆是	五 陰 皆 是 煩 惱 生 死 法 悟 時 六 識 五 陰 皆 是 
T48n2009_001:0371c10	涅槃無生死法。修道之人不外求道。何以故。	涅 槃 無 生 死 法 修 道 之 人 不 外 求 道 何 以 故 
T48n2009_001:0371c11	知心是道。若得心時。無心可得。若得道時。無	知 心 是 道 若 得 心 時 無 心 可 得 若 得 道 時 無 
T48n2009_001:0371c12	道可得。若言將心求道得者。皆名邪見。迷時	道 可 得 若 言 將 心 求 道 得 者 皆 名 邪 見 迷 時 
T48n2009_001:0371c13	有佛有法。悟無佛無法。何以故。悟即是佛法。	有 佛 有 法 悟 無 佛 無 法 何 以 故 悟 即 是 佛 法 
T48n2009_001:0371c14	夫修道者。身滅道成。亦如甲拆樹生。此業報	夫 修 道 者 身 滅 道 成 亦 如 甲 拆 樹 生 此 業 報 
T48n2009_001:0371c15	身念念無常。無一定法。但隨念念修之。亦不	身 念 念 無 常 無 一 定 法 但 隨 念 念 修 之 亦 不 
T48n2009_001:0371c16	得厭生死。亦不得愛生死。但念念之中。俱不	得 厭 生 死 亦 不 得 愛 生 死 但 念 念 之 中 俱 不 
T48n2009_001:0371c17	妄想。則生證有餘涅槃。死入無生法忍。眼見	妄 想 則 生 證 有餘涅槃 死 入 無生法忍 眼 見 
T48n2009_001:0371c18	色時。不染於色。耳聞聲時。不染於聲。皆解脫	色 時 不 染 於 色 耳 聞 聲 時 不 染 於 聲 皆 解 脫 
