T85n2737_001:0120a03	金剛經疏	金 剛 經 疏 
T85n2737_001:0124a16	代於中有兩段經文。先舉初文。舉。復次須菩	代 於 中 有 兩 段 經 文 先 舉 初 文 舉 復 次 須 菩 
T85n2737_001:0124a17	提。若善男子善女人。受持讀誦此經。若為人	提 若 善 男 子 善 女 人 受持讀誦 此 經 若 為 人 
T85n2737_001:0124a18	輕賤。是人先世罪業。應墮惡道。以今世人輕	輕 賤 是 人 先 世 罪 業 應 墮 惡 道 以 今 世 人 輕 
T85n2737_001:0124a19	賤故。先世罪業。則為消滅。當得阿耨多羅三	賤 故 先 世 罪 業 則 為 消 滅 當 得 阿 耨 多 羅 三 
T85n2737_001:0124a20	藐三菩提者。滅業過。何徒滅罪。亦能善。諸	藐 三 菩 提 者 滅 業 過 何 徒 滅 罪 亦 能 善 諸 
T85n2737_001:0124a21	所作業。略有二種。一者定受。二者不定受。不	所 作 業 略有二種 一 者 定 受 二 者 不 定 受 不 
T85n2737_001:0124a22	定受中。有業時定。而時不定　業前方便。及	定 受 中 有 業 時 定 而 時 不 定 業 前 方 便 及 
T85n2737_001:0124a23	業後起。此之一段勸即會。後勸末代。有四	業 後 起 此 之 一 段 勸 即 會 後 勸 末 代 有 四 
T85n2737_001:0124a24	句經。先舉初文。舉　須菩提我念過去無量	句 經 先 舉 初 文 舉 須 菩 提 我 念 過 去 無 量 
T85n2737_001:0124a25	阿僧祇劫。於燃燈佛前。得值八百四千萬億	阿僧祇劫 於 燃 燈 佛 前 得 值 八 百 四 千 萬 億 
T85n2737_001:0124a26	那由他諸佛。悉皆供養承事。無空過者。精	那 由 他 諸 佛 悉 皆 供 養 承 事 無 空 過 者 精 
T85n2737_001:0124a27	懃無間。不虛度也。此問文。念昔多福也。會自	懃 無 間 不 虛 度 也 此 問 文 念 昔 多 福 也 會 自 
T85n2737_001:0124a28	然燈照。故名。然燈佛。從此以下。以經校量。	然 燈 照 故 名 然 燈 佛 從 此 以 下 以 經 校 量 
T85n2737_001:0124a29	舉　若復有人。於末世。能受持讀誦此經。所	舉 若 復 有 人 於 末 世 能 受持讀誦 此 經 所 
T85n2737_001:0124b01	得功德。於我所。供養諸佛功德。百分不及	得 功 德 於 我 所 供 養 諸 佛 功 德 百 分 不 及 
T85n2737_001:0124b02	一。千萬億分。乃至算數譬喻。所不能及者。以	一 千萬億分 乃 至 算 數 譬 喻 所 不 能 及 者 以 
T85n2737_001:0124b03	經校量也。無勝多法。可為喻故。從此以下。將	經 校 量 也 無 勝 多 法 可 為 喻 故 從 此 以 下 將 
T85n2737_001:0124b04	護彼意。舉　須菩提。若善男子善女人。於後	護 彼 意 舉 須 菩 提 若 善 男 子 善 女 人 於 後 
T85n2737_001:0124b05	末世。有受持讀誦此經。所得功德。我若具說	末 世 有 受持讀誦 此 經 所得功德 我 若 具 說 
T85n2737_001:0124b06	者。或有人聞心。則狂亂。狐疑不信者。將護彼	者 或 有 人 聞 心 則 狂 亂 狐 疑 不 信 者 將 護 彼 
T85n2737_001:0124b07	意也。佛若具說末世受持所得功德。唯佛與	意 也 佛 若 具 說 末 世 受 持 所得功德 唯 佛 與 
T85n2737_001:0124b08	佛。乃能具知。亦能具說。狐疑則不能趣入。不	佛 乃 能 具 知 亦 能 具 說 狐 疑 則 不 能 趣 入 不 
T85n2737_001:0124b09	信則起穢濁心。從此以下。勸彼令知。結。看舉	信 則 起 穢 濁 心 從 此 以 下 勸 彼 令 知 結 看 舉 
T85n2737_001:0124b10	　須菩提。當知是經義。不可思議。果報亦不	 須 菩 提 當 知 是 經 義 不可思議 果 報 亦 不 
T85n2737_001:0124b11	可思議者。勸彼令知也。佛說此經。欲以一	可 思 議 者 勸 彼 令 知 也 佛 說 此 經 欲 以 一 
T85n2737_001:0124b12	切諸佛功德。施與一切學法眾生。如是深經。	切 諸 佛 功 德 施 與 一 切 學 法 眾 生 如 是 深 經 
T85n2737_001:0124b13	時乃說之。甚為難得。名不可思議。一切諸	時 乃 說 之 甚 為 難 得 名 不可思議 一 切 諸 
T85n2737_001:0124b14	佛　喻興易廣得錢財。後與子孫。還得富貴	佛 喻 興 易 廣 得 錢 財 後 與 子 孫 還 得 富 貴 
T85n2737_001:0124b15	菩薩教眾生。亦復如是。令佛種不斷故。上來	菩 薩 教 眾 生 亦復如是 令 佛 種 不 斷 故 上 來 
T85n2737_001:0124b16	諸文不同。念昔多福四句經並了　誦曰	諸 文 不 同 念 昔 多 福 四 句 經 並 了 誦 曰 
T85n2737_001:0124b17	　佛常在世間。不染世間法。不分別世故敬禮	 佛 常 在 世 間 不 染 世 間 法 不 分 別 世 故 敬 禮 
T85n2737_001:0124b18	無所觀　又曰。著儞世間衣。喫儞世間食。共	無 所 觀 又 曰 著 儞 世 間 衣 喫 儞 世 間 食 共 
T85n2737_001:0124b19	儞和光塵。儞見自不識　已前上中兩卷了。	儞 和 光 塵 儞 見 自 不 識 已 前 上 中 兩 卷 了 
T85n2737_001:0124b20	從此以後入卷。	從此以後 入 卷 
T85n2737_001:0124b21	次下當釋趣究竟地。無住般若。如來功德。於	次 下 當 釋 趣 究 竟 地 無 住 般 若 如 來 功 德 於 
T85n2737_001:0124b22	此分中。初善現略問。次如來廣說。於中有二。	此 分 中 初 善 現 略 問 次 如 來 廣 說 於 中 有 二 
T85n2737_001:0124b23	先舉初文。舉　爾時須菩提。白佛言世尊。善	先 舉 初 文 舉 爾 時 須 菩 提 白 佛 言 世 尊 善 
T85n2737_001:0124b24	男子善女人。發阿耨多羅三藐三菩提心。云	男 子 善 女 人 發 阿耨多羅三藐三菩提 心 云 
T85n2737_001:0124b25	何應住。云何降伏其心者。初略問也。善男子	何 應 住 云 何 降 伏 其 心 者 初 略 問 也 善 男 子 
T85n2737_001:0124b26	者。是發心人。發阿耨多羅三藐三菩提者。是	者 是 發 心 人 發 阿耨多羅三藐三菩提 者 是 
T85n2737_001:0124b27	發大心。此為依也。發心有四。一發信心。二發	發 大 心 此 為 依 也 發 心 有 四 一 發 信 心 二 發 
T85n2737_001:0124b28	解心。三發行心。四發證心。前三發心。前文以	解 心 三 發 行 心 四 發 證 心 前 三 發 心 前 文 以 
T85n2737_001:0124b29	說。從此入證。釋迦答。舉　佛告須菩提。善男	說 從 此 入 證 釋 迦 答 舉 佛 告 須 菩 提 善 男 
T85n2737_001:0124c01	子善女人。發阿耨多羅三藐三菩提者。當生	子 善 女 人 發 阿耨多羅三藐三菩提 者 當 生 
T85n2737_001:0124c02	如是心。我應滅度一切眾生者。眾生不能自	如 是 心 我 應 滅 度 一 切 眾 生 者 眾 生 不 能 自 
T85n2737_001:0124c03	滅度故。菩薩應作滅度眾生。是佛大事。是故	滅 度 故 菩 薩 應 作 滅 度 眾 生 是 佛 大 事 是 故 
T85n2737_001:0124c04	菩薩。應住此心。如來廣說。作何等度。若為度	菩 薩 應 住 此 心 如 來 廣 說 作 何 等 度 若 為 度 
T85n2737_001:0124c05	脫。舉　滅度一切眾已。而無有一眾生實滅	脫 舉 滅 度 一 切 眾 已 而 無 有 一 眾 生 實 滅 
T85n2737_001:0124c06	度者。答降伏心也。於中有三。一行菩薩行。降	度 者 答 降 伏 心 也 於 中 有 三 一 行 菩 薩 行 降 
T85n2737_001:0124c07	伏我相。心入無我故。二於如來地。降伏法相	伏 我 相 心 入 無 我 故 二 於 如 來 地 降 伏 法 相 
T85n2737_001:0124c08	心入於法空故。三於生死涅槃地。降伏有住。	心 入 於 法 空 故 三 於 生死涅槃 地 降 伏 有 住 
T85n2737_001:0124c09	心得無住故。證了我空。如來不滅故　何以	心 得 無 住 故 證 了 我 空 如 來 不 滅 故 何 以 
T85n2737_001:0124c10	故徵。於徵隱文。未得義故。據何事不得名眾	故 徵 於 徵 隱 文 未 得 義 故 據 何 事 不 得 名 眾 
T85n2737_001:0124c11	生舉　若菩薩。有我相人相。眾生相受者相。	生 舉 若 菩 薩 有 我 相 人 相 眾 生 相 受 者 相 
T85n2737_001:0124c12	則非菩薩者。是可滅度非實眾生也　所以	則 非 菩 薩 者 是 可 滅 度 非 實 眾 生 也 所 以 
T85n2737_001:0124c13	者何者。以未證真。不了俗故。從此示現證義。	者 何 者 以 未 證 真 不 了 俗 故 從 此 示 現 證 義 
T85n2737_001:0124c14	舉　須菩提。實無有法。發阿耨多羅三藐三	舉 須 菩 提 實 無 有 法 發 阿 耨 多 羅 三 藐 三 
T85n2737_001:0124c15	菩提者。無一眾實滅度故。十八界聚。名一眾	菩 提 者 無 一 眾 實 滅 度 故 十 八 界 聚 名 一 眾 
T85n2737_001:0124c16	生。十八界中。無一定主。不可謂有一眾生故。	生 十 八 界 中 無 一 定 主 不 可 謂 有 一 眾 生 故 
T85n2737_001:0124c17	十八界法。無一獨用。不可說有實法發心。說	十 八 界 法 無 一 獨 用 不 可 說 有 實 法 發 心 說 
T85n2737_001:0124c18	有眾生。及發心者。皆是方便。隨俗說也。上來	有 眾 生 及 發 心 者 皆 是 方 便 隨 俗 說 也 上 來 
T85n2737_001:0124c19	諸文不同。降伏我相。心入於我空智了。從此	諸 文 不 同 降 伏 我 相 心 入 於 我 空 智 了 從 此 
T85n2737_001:0124c20	以下。降伏法相。於中三段經文。先舉初文。	以 下 降 伏 法 相 於 中 三 段 經 文 先 舉 初 文 
T85n2737_001:0124c21	舉　須菩提。於意云何。如來於然燈佛所。有	舉 須 菩 提 於意云何 如 來 於 然 燈 佛 所 有 
T85n2737_001:0124c22	法得阿耨多羅三藐三菩提不。為表聖賢知	法 得阿耨多羅三藐三菩提 不 為 表 聖 賢 知 
T85n2737_001:0124c23	證同故。有法得不言言。無實法也。有法得無	證 同 故 有 法 得 不 言 言 無 實 法 也 有 法 得 無 
T85n2737_001:0124c24	法得。不也世尊。善現此答為成佛義。故言不	法 得 不 也 世 尊 善 現 此 答 為 成 佛 義 故 言 不 
T85n2737_001:0124c25	也。從此須菩提釋答。看舉　如我解佛所說	也 從 此 須 菩 提 釋 答 看 舉 如 我 解 佛 所 說 
T85n2737_001:0124c26	義。佛於然燈佛所。無有法得阿耨多羅三藐	義 佛 於 然 燈 佛 所 無 有 法 得 阿 耨 多 羅 三 藐 
T85n2737_001:0124c27	三菩提。阿耨多羅三藐三菩提者。一切法性	三 菩 提 阿耨多羅三藐三菩提 者 一切法性 
T85n2737_001:0124c28	無住。住尚不自得。何能得餘。況然燈佛時。	無 住 住 尚 不 自 得 何 能 得 餘 況 然 燈 佛 時 
T85n2737_001:0124c29	釋迦未有。既無所得。能得亦無為釋迦時。然	釋 迦 未 有 既 無 所 得 能 得 亦 無 為 釋 迦 時 然 
T85n2737_001:0125a01	燈已滅。能得已無所得。寧有不道法都無。但	燈 已 滅 能 得 已 無 所 得 寧 有 不 道 法 都 無 但 
T85n2737_001:0125a02	無能所得。從此釋迦聊述。舉　佛言如是。如	無 能 所 得 從 此 釋 迦 聊 述 舉 佛 言 如 是 如 
T85n2737_001:0125a03	是。須菩提。實無有法。如來得阿耨多羅三藐	是 須 菩 提 實 無 有 法 如 來 得 阿 耨 多 羅 三 藐 
T85n2737_001:0125a04	三菩提者。實無有法。如來得菩提者述彼所	三 菩 提 者 實 無 有 法 如 來 得 菩 提 者 述 彼 所 
T85n2737_001:0125a05	說。言當義故。從此以下辨。看舉　須菩提。若	說 言 當 義 故 從 此 以 下 辨 看 舉 須 菩 提 若 
T85n2737_001:0125a06	有如來。得阿耨多羅三藐三菩提者。然燈佛。	有 如 來 得阿耨多羅三藐三菩提 者 然 燈 佛 
T85n2737_001:0125a07	則不與我受記。汝於來世。當得作佛。號釋迦	則 不 與 我 受 記 汝 於 來 世 當 得 作 佛 號 釋 迦 
T85n2737_001:0125a08	牟尼者。辨也　先番後順。此即番也。若有	牟 尼 者 辨 也 先 番 後 順 此 即 番 也 若 有 
T85n2737_001:0125a09	法得菩提者。即應與法記。不合與我記。我謂	法 得 菩 提 者 即 應 與 法 記 不 合 與 我 記 我 謂 
T85n2737_001:0125a10	世俗假者。如終一性故。得與記法。謂執持念	世 俗 假 者 如 終 一 性 故 得 與 記 法 謂 執 持 念 
T85n2737_001:0125a11	念不住。無受記者。故名與記。釋迦是性。釋	念 不 住 無 受 記 者 故 名 與 記 釋 迦 是 性 釋 
T85n2737_001:0125a12	之為能。上代先祖能為王故。又明現在能化	之 為 能 上 代 先 祖 能 為 王 故 又 明 現 在 能 化 
T85n2737_001:0125a13	眾生。善療眾病。得已利故。牟尼者寂滿義。身	眾 生 善 療 眾 病 得 已 利 故 牟 尼 者 寂 滿 義 身 
T85n2737_001:0125a14	口意滿大寂靜故　釋迦牟尼佛。是西音譯。	口 意 滿 大 寂 靜 故 釋 迦 牟 尼 佛 是 西 音 譯 
T85n2737_001:0125a15	就中言能人寂滿覺。釋迦者能人也。種種捨	就 中 言 能 人 寂 滿 覺 釋 迦 者 能 人 也 種 種 捨 
T85n2737_001:0125a16	施。故名能人。現在者所以不能人捨施。故	施 故 名 能 人 現 在 者 所 以 不 能 人 捨 施 故 
T85n2737_001:0125a17	名不能人。從此順釋。看舉　以實無有法。得	名 不 能 人 從 此 順 釋 看 舉 以 實 無 有 法 得 
T85n2737_001:0125a18	阿耨多羅三藐三菩提。然燈佛。與我受記。作	阿耨多羅三藐三菩提 然 燈 佛 與 我 受 記 作 
T85n2737_001:0125a19	是言。汝於來世。當得作佛。號釋迦牟尼者。順	是 言 汝 於 來 世 當 得 作 佛 號 釋 迦 牟 尼 者 順 
T85n2737_001:0125a20	辨也。十八界中。無得記者。是故然燈。不受	辨 也 十 八 界 中 無 得 記 者 是 故 然 燈 不 受 
T85n2737_001:0125a21	法記。佛語無有不如我故。是故然燈。與我受	法 記 佛 語 無 有 不 如 我 故 是 故 然 燈 與 我 受 
T85n2737_001:0125a22	記者。知有假者。無斷滅故。諸有所說皆如實	記 者 知 有 假 者 無 斷 滅 故 諸 有 所 說 皆 如 實 
T85n2737_001:0125a23	故。汝於來世者。以非常故。雖念念滅。無失	故 汝 於 來 世 者 以 非 常 故 雖 念 念 滅 無 失 
T85n2737_001:0125a24	懷故。當作佛者。於受記時。未得作故。所化根	懷 故 當 作 佛 者 於 受 記 時 未 得 作 故 所 化 根 
T85n2737_001:0125a25	機。當成覺道。後當滿故。號釋迦牟尼者。佛眼	機 當 成 覺 道 後 當 滿 故 號 釋 迦 牟 尼 者 佛 眼 
T85n2737_001:0125a26	明見。無錯謬故。會須自然燈。即得成佛。看	明 見 無 錯 謬 故 會 須 自 然 燈 即 得 成 佛 看 
T85n2737_001:0125a27	他然燈。無有是處。會須自照。何以故者。徵	他 然 燈 無 有 是 處 會 須 自 照 何 以 故 者 徵 
T85n2737_001:0125a28	也。若全無佛。落斷滅見。未曾審如來。是義故	也 若 全 無 佛 落 斷 滅 見 未 曾 審 如 來 是 義 故 
T85n2737_001:0125a29	如來者。如諸法義。即如來故。是何勿義。舉	如 來 者 如 諸 法 義 即 如 來 故 是 何 勿 義 舉 
T85n2737_001:0125b01	　如來者。即諸法如義者。釋也。十號號人而不	 如 來 者 即 諸 法 如 義 者 釋 也 十 號 號 人 而 不 
T85n2737_001:0125b02	號法。法無名號。不可與記。即諸法如義者。是	號 法 法 無 名 號 不 可 與 記 即 諸 法 如 義 者 是 
T85n2737_001:0125b03	如諸法義。西方語法。與此不同。遂令譯者	如 諸 法 義 西 方 語 法 與 此 不 同 遂 令 譯 者 
T85n2737_001:0125b04	到智。其義法有何義。令如來如應知諸法。有	到 智 其 義 法 有 何 義 令 如 來 如 應 知 諸 法 有 
T85n2737_001:0125b05	不動義。喻草束取。亦不生嗔。不取亦不生喜。	不 動 義 喻 草 束 取 亦 不 生 嗔 不 取 亦 不 生 喜 
T85n2737_001:0125b06	若如是見解。即得成佛。得作心。覓佛得無。	若 如 是 見 解 即 得 成 佛 得 作 心 覓 佛 得 無 
T85n2737_001:0125b07	舉　若有人。言如來得阿耨多羅三藐三菩提	舉 若 有 人 言 如 來 得阿耨多羅三藐三菩提 
T85n2737_001:0125b08	者。斥妄也。言有所得。非如來故。從此以下。	者 斥 妄 也 言 有 所 得 非 如 來 故 從 此 以 下 
T85n2737_001:0125b09	顯真。看舉　須菩提。實無有法。佛得阿耨多	顯 真 看 舉 須 菩 提 實 無 有 法 佛 得 阿 耨 多 
T85n2737_001:0125b10	羅三藐三菩提者。顯真也。知無所得。即如法	羅 三藐三菩提 者 顯 真 也 知 無 所 得 即 如 法 
T85n2737_001:0125b11	故。如來有法得無法得。舉　須菩提。如來所	故 如 來 有 法 得 無 法 得 舉 須 菩 提 如 來 所 
T85n2737_001:0125b12	得。阿耨多羅三藐三菩提。於是中無實無虛	得 阿耨多羅三藐三菩提 於 是 中 無 實 無 虛 
T85n2737_001:0125b13	者。令住也。於所得中。離二障故。法則無實。	者 令 住 也 於 所 得 中 離 二 障 故 法 則 無 實 
T85n2737_001:0125b14	不可得故。智乃無虛。稱法知故。此結人如	不 可 得 故 智 乃 無 虛 稱 法 知 故 此 結 人 如 
T85n2737_001:0125b15	法。一切法是佛法不是舉　是故如來。說一	法 一 切 法 是 佛 法 不 是 舉 是 故 如 來 說 一 
T85n2737_001:0125b16	切法皆是佛法者。攝法屬人也。一切眾生。三	切 法 皆 是 佛 法 者 攝 法 屬 人 也 一 切 眾 生 三 
T85n2737_001:0125b17	乘聖者。但有法忍。未有法智。所以不成佛。	乘 聖 者 但 有 法 忍 未 有 法 智 所 以 不 成 佛 
T85n2737_001:0125b18	實知諸法。非彼有故。唯諸如來。住成自性。同	實 知 諸 法 非 彼 有 故 唯 諸 如 來 住 成 自 性 同 
T85n2737_001:0125b19	有法智。已超法忍。有如實智法。是佛有知	有 法 智 已 超 法 忍 有 如 實 智 法 是 佛 有 知 
T85n2737_001:0125b20	一切法無實即得成佛。恐眾生一切法理。覓	一 切 法 無 實 即 得 成 佛 恐 眾 生 一 切 法 理 覓 
T85n2737_001:0125b21	佛去遮却。舉　須菩提。所言一切法者。即非	佛 去 遮 却 舉 須 菩 提 所 言 一 切 法 者 即 非 
T85n2737_001:0125b22	一切法。是故名一切法者遮也。言所言者。非	一 切 法 是 故 名 一 切 法 者 遮 也 言 所 言 者 非 
T85n2737_001:0125b23	佛法也。不依言而取法。故知。一切法離言性	佛 法 也 不 依 言 而 取 法 故 知 一 切 法 離 言 性 
T85n2737_001:0125b24	故。是故名一切法。所言一切法。是言一切	故 是 故 名 一 切 法 所 言 一 切 法 是 言 一 切 
T85n2737_001:0125b25	故。離言非一切。是施設處施設處者。一法即	故 離 言 非 一 切 是 施 設 處 施 設 處 者 一 法 即 
T85n2737_001:0125b26	是一切法故。此第一菩提果了　誦曰　或	是 一 切 法 故 此 第 一 菩 提 果 了 誦 曰 或 
T85n2737_001:0125b27	復曾修戒定惠。不知諸法本元由。妄執我見。	復 曾 修 戒 定 惠 不 知 諸 法 本 元 由 妄 執 我 見 
T85n2737_001:0125b28	以為真。所作違於無我理。以違利故名顛倒。	以 為 真 所 作 違 於 無 我 理 以 違 利 故 名 顛 倒 
T85n2737_001:0125b29	還被業知之所牽。常生三界牢獄中。縱得生	還 被 業 知 之 所 牽 常 生 三 界 牢 獄 中 縱 得 生 
T85n2737_001:0125c01	天。不脫苦。從此第二法身果。文有三句。先	天 不 脫 苦 從 此 第 二 法 身 果 文 有 三 句 先 
T85n2737_001:0125c02	舉初文。舉　須菩提。譬如人身長大者。如來	舉 初 文 舉 須 菩 提 譬 如 人 身 長 大 者 如 來 
T85n2737_001:0125c03	密言也。從此善現說。看舉　須菩提言。世	密 言 也 從 此 善 現 說 看 舉 須 菩 提 言 世 
T85n2737_001:0125c04	尊。如來說人身長大。則為非大身。是名大身	尊 如 來 說 人 身 長 大 則 為 非 大 身 是 名 大 身 
T85n2737_001:0125c05	者。入真也。不被三界纏縛。解脫。是如來身。	者 入 真 也 不 被 三 界 纏 縛 解 脫 是 如 來 身 
T85n2737_001:0125c06	智惠是如來身。具一切智。是如來身。從此以	智 惠 是 如 來 身 具 一 切 智 是 如 來 身 從 此 以 
T85n2737_001:0125c07	下。菩薩證得大身無。舉　須菩提。菩薩亦	下 菩 薩 證 得 大 身 無 舉 須 菩 提 菩 薩 亦 
T85n2737_001:0125c08	如是者。如來類明也。菩薩亦爾。證得大身。菩	如 是 者 如 來 類 明 也 菩 薩 亦 爾 證 得 大 身 菩 
T85n2737_001:0125c09	薩若為化眾生。舉　若作是言。我當滅度無	薩 若 為 化 眾 生 舉 若 作 是 言 我 當 滅 度 無 
T85n2737_001:0125c10	量眾生。則不名菩薩者。菩薩有此相者。非淨	量 眾 生 則 不 名 菩 薩 者 菩 薩 有 此 相 者 非 淨 
T85n2737_001:0125c11	果也。菩薩雖度眾生不立眾生相。菩薩說法。	果 也 菩 薩 雖 度 眾 生 不 立 眾 生 相 菩 薩 說 法 
T85n2737_001:0125c12	不立說法相。喻女官著衣女官立少許相得	不 立 說 法 相 喻 女 官 著 衣 女 官 立 少 許 相 得 
T85n2737_001:0125c13	無。何以故者。如來自徵也。從此以下釋。看	無 何 以 故 者 如 來 自 徵 也 從 此 以 下 釋 看 
T85n2737_001:0125c14	舉　須菩提。實無有法。名為菩薩者。義釋也。	舉 須 菩 提 實 無 有 法 名 為 菩 薩 者 義 釋 也 
T85n2737_001:0125c15	無一定法。名菩薩故。但豈方便教化眾生。故	無 一 定 法 名 菩 薩 故 但 豈 方 便 教 化 眾 生 故 
T85n2737_001:0125c16	名菩薩。據何勿道理。不立眾生相。舉　是	名 菩 薩 據 何 勿 道 理 不 立 眾 生 相 舉 是 
T85n2737_001:0125c17	故佛說。一切法無我。無人無眾生。無受者。	故 佛 說 一切法無我 無 人 無 眾 生 無 受 者 
T85n2737_001:0125c18	法自無我。何得名人。上來諸文不同。法身果	法 自 無 我 何 得 名 人 上 來 諸 文 不 同 法 身 果 
T85n2737_001:0125c19	了。次釋淨土果。文有四句。謂立徵釋結。先舉	了 次 釋 淨 土 果 文 有 四 句 謂 立 徵 釋 結 先 舉 
T85n2737_001:0125c20	初文。舉　須菩提若菩薩。作是言。我當莊嚴	初 文 舉 須 菩 提 若 菩 薩 作 是 言 我 當 莊 嚴 
T85n2737_001:0125c21	佛土。是不名菩薩者。立也。或者疑云。菩薩	佛 土 是 不 名 菩 薩 者 立 也 或 者 疑 云 菩 薩 
T85n2737_001:0125c22	有此二相。非真菩薩。若菩薩。莊嚴佛土。在何	有 此 二 相 非 真 菩 薩 若 菩 薩 莊 嚴 佛 土 在 何 
T85n2737_001:0125c23	以故者。是徵句也。徵竟也釋。看舉　如來說	以 故 者 是 徵 句 也 徵 竟 也 釋 看 舉 如 來 說 
T85n2737_001:0125c24	莊嚴佛土者。即非莊嚴。是名莊嚴者。即是釋	莊 嚴 佛 土 者 即 非 莊 嚴 是 名 莊 嚴 者 即 是 釋 
T85n2737_001:0125c25	句。遮增益也。是名莊嚴。遮損滅也。心淨則佛	句 遮 增 益 也 是 名 莊 嚴 遮 損 滅 也 心 淨 則 佛 
T85n2737_001:0125c26	淨土淨。妙境者淨土是也。但修菩提。即得	淨 土 淨 妙 境 者 淨 土 是 也 但 修 菩 提 即 得 
T85n2737_001:0125c27	於此生長。從此以下結。看舉　須菩提。若菩	於 此 生 長 從 此 以 下 結 看 舉 須 菩 提 若 菩 
T85n2737_001:0125c28	薩。通達無我法者。如來說名真是菩薩者。結	薩 通 達 無 我 法 者 如 來 說 名 真 是 菩 薩 者 結 
T85n2737_001:0125c29	也。離妄想相。得真知故。瑜伽論說。菩薩有	也 離 妄 想 相 得 真 知 故 瑜 伽 論 說 菩 薩 有 
T85n2737_001:0126a01	五功德。又五希奇。疏文廣釋。上來諸文。不	五 功 德 又 五 希 奇 疏 文 廣 釋 上 來 諸 文 不 
T85n2737_001:0126a02	同。淨土果了。以下當釋功德清淨。於中有四。	同 淨 土 果 了 以 下 當 釋 功 德 清 淨 於 中 有 四 
T85n2737_001:0126a03	先舉初文。舉　須菩提。於意云何。如來有	先 舉 初 文 舉 須 菩 提 於意云何 如 來 有 
T85n2737_001:0126a04	肉眼不。於功德清淨中有四。一眼智清淨。二	肉 眼 不 於 功 德 清 淨 中 有 四 一 眼 智 清 淨 二 
T85n2737_001:0126a05	身相清淨。三境界清淨。四心行清淨。此四	身 相 清 淨 三 境 界 清 淨 四 心 行 清 淨 此 四 
T85n2737_001:0126a06	清淨。攝一切淨。是第一問也。問敬也。舉。如	清 淨 攝 一 切 淨 是 第 一 問 也 問 敬 也 舉 如 
T85n2737_001:0126a07	是世尊。如來有肉眼者。是菩提隨俗答也。如	是 世 尊 如 來 有 肉 眼 者 是 菩 提 隨 俗 答 也 如 
T85n2737_001:0126a08	來有肉眼。無障隔處。見者。是肉眼見。此言	來 有 肉 眼 無 障 隔 處 見 者 是 肉 眼 見 此 言 
T85n2737_001:0126a09	見者。非正見也是第六意識生分別故第六	見 者 非 正 見 也 是 第六意識 生 分 別 故 第 六 
T85n2737_001:0126a10	識者。心是也。法花經云。應以種種身得度者。	識 者 心 是 也 法 花 經 云 應 以 種 種 身 得 度 者 
T85n2737_001:0126a11	即現種種身。而為說法。此下第二問如來有	即 現種種身 而 為 說 法 此 下 第 二 問 如 來 有 
T85n2737_001:0126a12	天眼無。舉　須菩提。於意云何。如來有天眼	天 眼 無 舉 須 菩 提 於意云何 如 來 有 天 眼 
T85n2737_001:0126a13	天眼不。有二。具在疏中。問敬也。舉。如是世	天 眼 不 有 二 具 在 疏 中 問 敬 也 舉 如 是 世 
T85n2737_001:0126a14	尊。如來有天眼。是第二答也。第四禪者。五	尊 如 來 有 天 眼 是 第 二 答 也 第 四 禪 者 五 
T85n2737_001:0126a15	淨居天是也。天眼者。亦以肉團為體。發光	淨 居 天 是 也 天 眼 者 亦 以 肉 團 為 體 發 光 
T85n2737_001:0126a16	見色。法花經云。若能受持讀誦。見障外色。此	見 色 法 花 經 云 若 能 受持讀誦 見 障 外 色 此 
T85n2737_001:0126a17	名現世見。從此第三問。有惠眼無。舉　須菩	名 現 世 見 從 此 第 三 問 有 惠 眼 無 舉 須 菩 
T85n2737_001:0126a18	提。於意云何。如來有惠眼不。是第三問敬	提 於意云何 如 來 有 惠 眼 不 是 第 三 問 敬 
T85n2737_001:0126a19	也。舉　如是世尊。如來有惠眼。是第三答也	也 舉 如 是 世 尊 如 來 有 惠 眼 是 第 三 答 也 
T85n2737_001:0126a20	維摩經云。佛以一音演說法。眾生隨類各得	維 摩 經 云 佛 以 一 音 演 說 法 眾 生 隨 類 各 得 
T85n2737_001:0126a21	解。觀察決擇。稱之為惠。喻大圓鏡智。種種	解 觀 察 決 擇 稱 之 為 惠 喻 大圓鏡智 種 種 
T85n2737_001:0126a22	皆見。從此以下。第四問有法眼無。舉　須菩	皆 見 從 此 以 下 第 四 問 有 法 眼 無 舉 須 菩 
T85n2737_001:0126a23	提。於意云何。如來有法眼不。是第四問敬。	提 於意云何 如 來 有 法 眼 不 是 第 四 問 敬 
T85n2737_001:0126a24	問敬也。舉　如是世尊。如來有法眼。是第	問 敬 也 舉 如 是 世 尊 如 來 有 法 眼 是 第 
T85n2737_001:0126a25	四答。眼者是勇泉義。證濟一切。故名勇泉。泉	四 答 眼 者 是 勇 泉 義 證 濟 一 切 故 名 勇 泉 泉 
T85n2737_001:0126a26	水不分別。一切眾生自分別泉水。喻海水盤	水 不 分 別 一 切 眾 生 自 分 別 泉 水 喻 海 水 盤 
T85n2737_001:0126a27	理。著盤理。海水椀理。著椀理。海水。水皆一	理 著 盤 理 海 水 椀 理 著 椀 理 海 水 水 皆 一 
T85n2737_001:0126a28	等。器有差別不同。水皆一等。從此以下。第五	等 器 有 差 別 不 同 水 皆 一 等 從 此 以 下 第 五 
T85n2737_001:0126a29	問有佛眼無。舉　須菩提。於意云何。如來	問 有 佛 眼 無 舉 須 菩 提 於意云何 如 來 
