T54n2126_001:0234a10	僧史略序	僧 史 略 序 
T54n2126_002:0245c19	像。勅僧尼不宜隷祠部。于時中書門下奏云。	像 勅 僧 尼 不 宜 隷 祠 部 于 時 中 書 門 下 奏 云 
T54n2126_002:0245c20	奉宣僧尼不隷祠部。合屬主客為仗。令鴻臚	奉 宣 僧 尼 不 隷 祠 部 合 屬 主 客 為 仗 令 鴻 臚 
T54n2126_002:0245c21	寺收管。宜分折奏來者。天下僧尼國朝以來	寺 收 管 宜 分 折 奏 來 者 天 下 僧 尼 國 朝 以 來 
T54n2126_002:0245c22	並隷鴻臚寺。至天寶二年。隷祠部(與延載時不同)臣	並 隷 鴻 臚 寺 至 天 寶 二 年 隷 祠 部 與 延 載 時 不 同 臣 
T54n2126_002:0245c23	等據大唐六典。祠部掌天地宗廟大祀。與僧	等 據 大 唐 六 典 祠 部 掌 天 地 宗 廟 大 祀 與 僧 
T54n2126_002:0245c24	事殊不相當。又可務根本。合歸尚書省。隷鴻	事 殊 不 相 當 又 可 務 根 本 合 歸 尚 書 省 隷 鴻 
T54n2126_002:0245c25	臚寺。未為允當。又六典主客掌朝貢之國七	臚 寺 未 為 允 當 又 六 典 主 客 掌 朝 貢 之 國 七 
T54n2126_002:0245c26	十餘蕃。五天笠國並在數內。釋氏出自天笠。	十 餘 蕃 五 天 笠 國 並 在 數 內 釋 氏 出 自 天 笠 
T54n2126_002:0245c27	今陛下以其非中國之數。已有釐革僧尼名	今 陛 下 以 其 非 中 國 之 數 已 有 釐 革 僧 尼 名 
T54n2126_002:0245c28	籍。便令係主客不隷祠部及鴻臚寺。從之六	籍 便 令 係 主 客 不 隷 祠 部 及 鴻 臚 寺 從 之 六 
T54n2126_002:0245c29	年五月。制僧尼依前令兩街功德使收管。不	年 五 月 制 僧 尼 依 前 令 兩 街 功 德 使 收 管 不 
T54n2126_002:0246a01	要係主客。其所度僧仍令祠部給牒。宣宗重	要 係 主 客 其 所 度 僧 仍 令 祠 部 給 牒 宣 宗 重 
T54n2126_002:0246a02	闡佛宗。所度僧尼還屬左右街功德使。故楊	闡 佛 宗 所 度 僧 尼 還 屬 左 右 街 功 德 使 故 楊 
T54n2126_002:0246a03	欽義充左街功德使。宣使之捕道士趙歸真。	欽 義 充 左 街 功 德 使 宣 使 之 捕 道 士 趙 歸 真 
T54n2126_002:0246a04	昭宗朝宰臣崔某奏誅宦官。內諸司使一切	昭 宗 朝 宰 臣 崔 某 奏 誅 宦 官 內 諸 司 使 一 切 
T54n2126_002:0246a05	停罷皆歸省寺。功德使宰執帶之。梁革唐命。	停 罷 皆 歸 省 寺 功 德 使 宰 執 帶 之 梁 革 唐 命 
T54n2126_002:0246a06	道士不入宗正。僧尼還係祠部。梁末帝龍德	道 士 不 入 宗 正 僧 尼 還 係 祠 部 梁 末 帝 龍 德 
T54n2126_002:0246a07	元年。禁天下私度僧尼。有願出家。勒入京比	元 年 禁 天 下 私 度 僧 尼 有 願 出 家 勒 入 京 比 
T54n2126_002:0246a08	試後祠部上請焉。後唐無聞。晉以揚光遠為	試 後 祠 部 上 請 焉 後 唐 無 聞 晉 以 揚 光 遠 為 
T54n2126_002:0246a09	天下功德使。自維青不軌之後。不置此使矣。	天 下 功 德 使 自 維 青 不 軌 之 後 不 置 此 使 矣 
T54n2126_002:0246a10	至今大宋。僧道並隷功德使。出家乞度。策試	至 今 大 宋 僧 道 並 隷 功 德 使 出 家 乞 度 策 試 
T54n2126_002:0246a11	經業。則功德使關祠部出牒。係于二曹矣。	經 業 則 功 德 使 關 祠 部 出 牒 係 于 二 曹 矣 
T54n2126_002:0246a12	論曰。鴻臚寺之任禮四夷遠人也。教法初來。	論 曰 鴻 臚 寺 之 任 禮 四 夷 遠 人 也 教 法 初 來 
T54n2126_002:0246a13	須就斯寺。雖興白馬。終隷此司。古云僧尼	須 就 斯 寺 雖 興 白 馬 終 隷 此 司 古 云 僧 尼 
T54n2126_002:0246a14	係鴻臚寺者是也。及乎甞蒟醬以言美。服皮	係 鴻 臚 寺 者 是 也 及 乎 甞 蒟 醬 以 言 美 服 皮 
T54n2126_002:0246a15	靴而稍佳。則曰四海一家。王者無外。故後魏	靴 而 稍 佳 則 曰 四 海 一 家 王 者 無 外 故 後 魏 
T54n2126_002:0246a16	置監福曹焉昭玄寺焉崇玄署焉。設官布局	置 監 福 曹 焉 昭 玄 寺 焉 崇 玄 署 焉 設 官 布 局 
T54n2126_002:0246a17	以攝僧尼。蒟醬而以生我土。皮靴而認作華	以 攝 僧 尼 蒟 醬 而 以 生 我 土 皮 靴 而 認 作 華 
T54n2126_002:0246a18	裝。故唐朝勒歸祠部。既而因事釐革逐朝廢	裝 故 唐 朝 勒 歸 祠 部 既 而 因 事 釐 革 逐 朝 廢 
T54n2126_002:0246a19	興故。立功德使以總之。中宗時以沙門廓清	興 故 立 功 德 使 以 總 之 中 宗 時 以 沙 門 廓 清 
T54n2126_002:0246a20	為修功德使。官至殿中監。土突軍容軍功莫	為 修 功 德 使 官 至 殿 中 監 土 突 軍 容 軍 功 莫 
T54n2126_002:0246a21	賞。朝廷議以功德使榮之。非謂專其僧道也。	賞 朝 廷 議 以 功 德 使 榮 之 非 謂 專 其 僧 道 也 
T54n2126_002:0246a22	于時尚書省司封先屬其中。由是不出中官。	于 時 尚 書 省 司 封 先 屬 其 中 由 是 不 出 中 官 
T54n2126_002:0246a23	洎唐末行袁紹之誅。職歸宰執。皇朝盛重此	洎 唐 末 行 袁 紹 之 誅 職 歸 宰 執 皇 朝 盛 重 此 
T54n2126_002:0246a24	職。亦僧道之幸事也。	職 亦 僧 道 之 幸 事 也 
T54n2126_002:0246a25	祠部牒附	祠 部 牒 附 
T54n2126_002:0246a26	甞聞僧視其官則五品。然未見令式史傳明	甞 聞 僧 視 其 官 則 五 品 然 未 見 令 式 史 傳 明 
T54n2126_002:0246a27	載。且信相傳(又曾見僧五品非官品也)據其誦經合格。就試	載 且 信 相 傳 又 曾 見 僧 五 品 非 官 品 也 據 其 誦 經 合 格 就 試 
T54n2126_002:0246a28	得通。此僧選也。剃髮被袈裟。此釋褐也。勅授	得 通 此 僧 選 也 剃 髮 被 袈 裟 此 釋 褐 也 勅 授 
T54n2126_002:0246a29	形俱無作戒法。此官位也。講三藏教。充如來	形 俱 無 作 戒 法 此 官 位 也 講 三 藏 教 充 如 來 
T54n2126_002:0246b01	使也。化導內外眾。使背惡向善。理民也。為國	使 也 化 導 內 外 眾 使 背 惡 向 善 理 民 也 為 國 
T54n2126_002:0246b02	行道。保民無災。為之課最也。苟弗比其階品	行 道 保 民 無 災 為 之 課 最 也 苟 弗 比 其 階 品 
T54n2126_002:0246b03	視其職官。其可得乎將來法門君子對[改己+易]。帝	視 其 職 官 其 可 得 乎 將 來 法 門 君 子 對 [改己易] 帝 
T54n2126_002:0246b04	王請降明勅。許比某官某品。像末之時為美	王 請 降 明 勅 許 比 某 官 某 品 像 末 之 時 為 美 
T54n2126_002:0246b05	事之端。自我之力不其善乎。若夫稽其鄉貫。	事 之 端 自 我 之 力 不 其 善 乎 若 夫 稽 其 鄉 貫 
T54n2126_002:0246b06	則南朝有之(見高僧傳)唯為搜揚便生名籍。係之限	則 南 朝 有 之 見 高 僧 傳 唯 為 搜 揚 便 生 名 籍 係 之 限 
T54n2126_002:0246b07	局。必有憑由。憑由之來即祠部牒也。案續會	局 必 有 憑 由 憑 由 之 來 即 祠 部 牒 也 案 續 會 
T54n2126_002:0246b08	要。天寶六年五月。制僧尼。依前兩街功德	要 天 寶 六 年 五 月 制 僧 尼 依 前 兩 街 功 德 
T54n2126_002:0246b09	使收管。不要更隷主客。其所度僧尼仍令祠	使 收 管 不 要 更 隷 主 客 其 所 度 僧 尼 仍 令 祠 
T54n2126_002:0246b10	部給牒(唐祠部牒皆綾素錦素鈿軸盖綸誥也。非官何謂)給牒自玄宗朝始	部 給 牒 唐 祠 部 牒 皆 綾 素 錦 素 鈿 軸 盖 綸 誥 也 非 官 何 謂 給 牒 自 玄 宗 朝 始 
T54n2126_002:0246b11	也。及德宗建中中。勅天下僧尼。身死還俗者。	也 及 德 宗 建 中 中 勅 天 下 僧 尼 身 死 還 俗 者 
T54n2126_002:0246b12	當日仰三綱。於本縣陳牒。每月申州附朝。集	當 日 仰 三 綱 於 本 縣 陳 牒 每 月 申 州 附 朝 集 
T54n2126_002:0246b13	使申省。并符誥同送者。注毀其京城即於祠	使 申 省 并 符 誥 同 送 者 注 毀 其 京 城 即 於 祠 
T54n2126_002:0246b14	部陳牒納告(告身即戒牒也)。	部 陳 牒 納 告 告 身 即 戒 牒 也 
T54n2126_002:0246b15	僧道班位	僧 道 班 位 
T54n2126_002:0246b16	佛法通行。朝代更歷。未全鼎成。則置而勿論。	佛 法 通 行 朝 代 更 歷 未 全 鼎 成 則 置 而 勿 論 
T54n2126_002:0246b17	及動時君。則入宮見妬。加以僧乘時而炫曜。	及 動 時 君 則 入 宮 見 妬 加 以 僧 乘 時 而 炫 曜 
T54n2126_002:0246b18	法因事而仳離。乃與玄門抗衡角力。因有諍	法 因 事 而 仳 離 乃 與 玄 門 抗 衡 角 力 因 有 諍 
T54n2126_002:0246b19	故遂結朋黨。由朋黨故遂生愛憎焉。經中不	故 遂 結 朋 黨 由 朋 黨 故 遂 生 愛 憎 焉 經 中 不 
T54n2126_002:0246b20	許親近國王大臣王子等。又云。我法付囑王	許 親 近 國 王 大 臣 王 子 等 又 云 我 法 付 囑 王 
T54n2126_002:0246b21	臣者何。若以倚傍力輪。苟不親近。而可得乎。	臣 者 何 若 以 倚 傍 力 輪 苟 不 親 近 而 可 得 乎 
T54n2126_002:0246b22	若以招致殃咎。苟欲榮身。其可免乎。觀其末	若 以 招 致 殃 咎 苟 欲 榮 身 其 可 免 乎 觀 其 末 
T54n2126_002:0246b23	代。垢重情移。奉身而已。罕聞為教而觀近國	代 垢 重 情 移 奉 身 而 已 罕 聞 為 教 而 觀 近 國 
T54n2126_002:0246b24	王大臣也。脫或唯居蘭若。不履朝門。誰強	王 大 臣 也 脫 或 唯 居 蘭 若 不 履 朝 門 誰 強 
T54n2126_002:0246b25	召呼。誰分著定。則何班位之有。然以但思獨	召 呼 誰 分 著 定 則 何 班 位 之 有 然 以 但 思 獨 
T54n2126_002:0246b26	善。專事杜多。則王侯何以委知。大力曷能扶	善 專 事 杜 多 則 王 侯 何 以 委 知 大 力 曷 能 扶 
T54n2126_002:0246b27	翼。故須分其表位廁其班行。去取二情各有	翼 故 須 分 其 表 位 廁 其 班 行 去 取 二 情 各 有 
T54n2126_002:0246b28	意致。昔者教之東演也。漢魏之世或曰渺茫。	意 致 昔 者 教 之 東 演 也 漢 魏 之 世 或 曰 渺 茫 
T54n2126_002:0246b29	晉宋以來頗聞烜赫。若其玄玄之道老氏之	晉 宋 以 來 頗 聞 烜 赫 若 其 玄 玄 之 道 老 氏 之 
T54n2126_002:0246c01	風。於漢魏時。存亡而已。何其知邪。如馬遷	風 於 漢 魏 時 存 亡 而 已 何 其 知 邪 如 馬 遷 
T54n2126_002:0246c02	作史。將老子與韓非共傳。可非漢代未崇重	作 史 將 老 子 與 韓 非 共 傳 可 非 漢 代 未 崇 重 
T54n2126_002:0246c03	之乎。夫立傳同科。權其趣類相齊。則史官	之 乎 夫 立 傳 同 科 權 其 趣 類 相 齊 則 史 官 
T54n2126_002:0246c04	列而偶出也。是知伯陽之道前漢未光。東漢	列 而 偶 出 也 是 知 伯 陽 之 道 前 漢 未 光 東 漢 
T54n2126_002:0246c05	桓帝方遣中官。醮祀祈福。魏黃初三年。下	桓 帝 方 遣 中 官 醮 祀 祈 福 魏 黃 初 三 年 下 
T54n2126_002:0246c06	勅曰。告豫州刺史。老聃賢人未宜先孔子。不	勅 曰 告 豫 州 刺 史 老 聃 賢 人 未 宜 先 孔 子 不 
T54n2126_002:0246c07	知魯郡為孔子立廟成未。漢桓帝不師聖法。	知 魯 郡 為 孔 子 立 廟 成 未 漢 桓 帝 不 師 聖 法 
T54n2126_002:0246c08	正以嬖臣而事老子。欲以求福。良足笑也。此	正 以 嬖 臣 而 事 老 子 欲 以 求 福 良 足 笑 也 此 
T54n2126_002:0246c09	祠之興由桓帝也。武皇帝以老子賢人不毀	祠 之 興 由 桓 帝 也 武 皇 帝 以 老 子 賢 人 不 毀 
T54n2126_002:0246c10	其道。朕亦以此亭當路。往來者輒往瞻視。而	其 道 朕 亦 以 此 亭 當 路 往 來 者 輒 往 瞻 視 而 
T54n2126_002:0246c11	樓屋傾頓儻能壓人。故令修整。昨過視之。殊	樓 屋 傾 頓 儻 能 壓 人 故 令 修 整 昨 過 視 之 殊 
T54n2126_002:0246c12	整頓矣。恐小人謂此為神。妄往禱祀犯乎常	整 頓 矣 恐 小 人 謂 此 為 神 妄 往 禱 祀 犯 乎 常 
T54n2126_002:0246c13	禁。宜宣告吏民咸使聞知。由是觀之。漢魏之	禁 宜 宣 告 吏 民 咸 使 聞 知 由 是 觀 之 漢 魏 之 
T54n2126_002:0246c14	間。未露鋒穎至唐有羊角之現。厥道攸興。認	間 未 露 鋒 穎 至 唐 有 羊 角 之 現 厥 道 攸 興 認 
T54n2126_002:0246c15	作祖宗。冊為帝號。此君謂為雄。誰敢不雄。若	作 祖 宗 冊 為 帝 號 此 君 謂 為 雄 誰 敢 不 雄 若 
T54n2126_002:0246c16	史遷在唐作傳。必改為帝紀也。以仲尼同傳	史 遷 在 唐 作 傳 必 改 為 帝 紀 也 以 仲 尼 同 傳 
T54n2126_002:0246c17	猶謂鴻毛不敵鈞石也。豈得韓非妄參廁邪。	猶 謂 鴻 毛 不 敵 鈞 石 也 豈 得 韓 非 妄 參 廁 邪 
T54n2126_002:0246c18	漢魏之人覽馬史者。豈驚駭乎。驚駭不倫者。	漢 魏 之 人 覽 馬 史 者 豈 驚 駭 乎 驚 駭 不 倫 者 
T54n2126_002:0246c19	近世之情也。然則物隨黨別。事逐時移。預	近 世 之 情 也 然 則 物 隨 黨 別 事 逐 時 移 預 
T54n2126_002:0246c20	三恪者。不免舊訛。有萬邦者。豈無新意。朱梁	三 恪 者 不 免 舊 訛 有 萬 邦 者 豈 無 新 意 朱 梁 
T54n2126_002:0246c21	革命。勅改亳州太清宮。為老子廟。蓋由帝	革 命 勅 改 亳 州 太 清 宮 為 老 子 廟 蓋 由 帝 
T54n2126_002:0246c22	代無定愛憎不同。釋氏雖西來客教。自晉宋	代 無 定 愛 憎 不 同 釋 氏 雖 西 來 客 教 自 晉 宋 
T54n2126_002:0246c23	齊梁陳後魏北齊後周大隋。僧班皆在黃冠	齊 梁 陳 後 魏 北 齊 後 周 大 隋 僧 班 皆 在 黃 冠 
T54n2126_002:0246c24	之上。梁武捨道不齒玄門。黃冠之徒固難爭	之 上 梁 武 捨 道 不 齒 玄 門 黃 冠 之 徒 固 難 爭 
T54n2126_002:0246c25	長。唐貞觀十一年。駕幸洛陽。道士先有與僧	長 唐 貞 觀 十 一 年 駕 幸 洛 陽 道 士 先 有 與 僧 
T54n2126_002:0246c26	論者。聞之於太宗。乃下詔曰。今鼎祚克昌。既	論 者 聞 之 於 太 宗 乃 下 詔 曰 今 鼎 祚 克 昌 既 
T54n2126_002:0246c27	憑上德之慶。天下大定。亦賴無為之功。宜有	憑 上 德 之 慶 天 下 大 定 亦 賴 無 為 之 功 宜 有 
T54n2126_002:0246c28	解張闡茲玄化。自今以後齋供行立。至於稱	解 張 闡 茲 玄 化 自 今 以 後 齋 供 行 立 至 於 稱 
T54n2126_002:0246c29	謂。道士女冠可在僧尼之上。庶敦反本之俗。	謂 道 士 女 冠 可 在 僧 尼 之 上 庶 敦 反 本 之 俗 
T54n2126_002:0247a01	暢於九有。貽諸萬葉。時京邑智寶上表陳諫	暢 於 九 有 貽 諸 萬 葉 時 京 邑 智 寶 上 表 陳 諫 
T54n2126_002:0247a02	不聽。自此僧班在下矣。至十五年。帝幸弘福	不 聽 自 此 僧 班 在 下 矣 至 十 五 年 帝 幸 弘 福 
T54n2126_002:0247a03	寺。賜大德五人座曰。朕宗李在先。大德大應	寺 賜 大 德 五 人 座 曰 朕 宗 李 在 先 大 德 大 應 
T54n2126_002:0247a04	恨恨。以宗先故。朕見修功德。不曾別造道觀。	恨 恨 以 宗 先 故 朕 見 修 功 德 不 曾 別 造 道 觀 
T54n2126_002:0247a05	皆崇寺宇也。如此宣慰。諸僧心皆喜躍。及高	皆 崇 寺 宇 也 如 此 宣 慰 諸 僧 心 皆 喜 躍 及 高 
T54n2126_002:0247a06	宗朝。有直東臺舍人憑神德上表。請仍舊僧	宗 朝 有 直 東 臺 舍 人 憑 神 德 上 表 請 仍 舊 僧 
T54n2126_002:0247a07	尼在道士前。并依前不拜父母。辭繁不錄。則	尼 在 道 士 前 并 依 前 不 拜 父 母 辭 繁 不 錄 則 
T54n2126_002:0247a08	天天授二年四月。詔令釋教在道門之上。僧	天 天 授 二 年 四 月 詔 令 釋 教 在 道 門 之 上 僧 
T54n2126_002:0247a09	尼處道士女冠之前。睿宗景雲元年二月。詔	尼 處 道 士 女 冠 之 前 睿 宗 景 雲 元 年 二 月 詔 
T54n2126_002:0247a10	以釋典玄宗理均迹異。拯人救俗。教別功齊。	以 釋 典 玄 宗 理 均 迹 異 拯 人 救 俗 教 別 功 齊 
T54n2126_002:0247a11	自今每緣法事集會。僧尼道士女冠宜行並	自 今 每 緣 法 事 集 會 僧 尼 道 士 女 冠 宜 行 並 
T54n2126_002:0247a12	集(此不分前後齊行東西也)。	集 此 不 分 前 後 齊 行 東 西 也 
T54n2126_002:0247a13	論曰。周武輕棄我教。若錙銖爾。甞御正殿。量	論 曰 周 武 輕 棄 我 教 若 錙 銖 爾 甞 御 正 殿 量 
T54n2126_002:0247a14	述三教。以儒居先。佛教居後。道教最上。由出	述 三 教 以 儒 居 先 佛 教 居 後 道 教 最 上 由 出 
T54n2126_002:0247a15	於無名之前也。近見沈公著聱書云。唯聞二	於 無 名 之 前 也 近 見 沈 公 著 聱 書 云 唯 聞 二 
T54n2126_002:0247a16	教。不聞釋氏。此皆侮聖人一言為阿鼻之種	教 不 聞 釋 氏 此 皆 侮 聖 人 一 言 為 阿 鼻 之 種 
T54n2126_002:0247a17	也。故拓跋虎入冥。具見周武受對。并寄言隋	也 故 拓 跋 虎 入 冥 具 見 周 武 受 對 并 寄 言 隋 
T54n2126_002:0247a18	天子。為我拔苦。文帝乃募天下出錢。營福以	天 子 為 我 拔 苦 文 帝 乃 募 天 下 出 錢 營 福 以 
T54n2126_002:0247a19	救薦之。且如佛無我。所遭傷毀而無報復。蓋	救 薦 之 且 如 佛 無 我 所 遭 傷 毀 而 無 報 復 蓋 
T54n2126_002:0247a20	以將欲殘害於彼。必先燒熱於心。心為苦因。	以 將 欲 殘 害 於 彼 必 先 燒 熱 於 心 心 為 苦 因 
T54n2126_002:0247a21	身嬰惡報。自作自受。可不畏乎。昔阬孝緒著	身 嬰 惡 報 自 作 自 受 可 不 畏 乎 昔 阬 孝 緒 著 
T54n2126_002:0247a22	七錄中。以佛教為外篇。一戒律。二禪定。三智	七 錄 中 以 佛 教 為 外 篇 一 戒 律 二 禪 定 三 智 
T54n2126_002:0247a23	慧。四疑似。五論記。因目佛理為方外之篇。號	慧 四 疑 似 五 論 記 因 目 佛 理 為 方 外 之 篇 號 
T54n2126_002:0247a24	方外教。自孝緒始也。所言方外者。同莊老也。	方 外 教 自 孝 緒 始 也 所 言 方 外 者 同 莊 老 也 
T54n2126_002:0247a25	域中之教拘縶所不及也。請以智眼照其淺	域 中 之 教 拘 縶 所 不 及 也 請 以 智 眼 照 其 淺 
T54n2126_002:0247a26	深。則內外上下自區別矣。如無智眼。以玉石	深 則 內 外 上 下 自 區 別 矣 如 無 智 眼 以 玉 石 
T54n2126_002:0247a27	俱焚。薰蕕共器。知復奈何。緬思後周摧滅遇	俱 焚 薰 蕕 共 器 知 復 奈 何 緬 思 後 周 摧 滅 遇 
T54n2126_002:0247a28	隋復興。方謂熾然。尋又微矣。唐宗老氏。釋教	隋 復 興 方 謂 熾 然 尋 又 微 矣 唐 宗 老 氏 釋 教 
T54n2126_002:0247a29	逶遲。或抑拜君親。或分班上下。良以有為之	逶 遲 或 抑 拜 君 親 或 分 班 上 下 良 以 有 為 之 
T54n2126_002:0247b01	法何免四相遷移。譬如火焉。火中寒暑乃退。	法 何 免 四 相 遷 移 譬 如 火 焉 火 中 寒 暑 乃 退 
T54n2126_002:0247b02	興久必替。替極還興。興替相尋。未始有極。景	興 久 必 替 替 極 還 興 興 替 相 尋 未 始 有 極 景 
T54n2126_002:0247b03	雲中。令僧班在西。道班在東。齊行並進。朱梁	雲 中 令 僧 班 在 西 道 班 在 東 齊 行 並 進 朱 梁 
T54n2126_002:0247b04	之世。又移厥位。今大宋每當朝集。僧先道後。	之 世 又 移 厥 位 今 大 宋 每 當 朝 集 僧 先 道 後 
T54n2126_002:0247b05	並立殿廷。僧東道西。間雜副職。若遇郊天。則	並 立 殿 廷 僧 東 道 西 間 雜 副 職 若 遇 郊 天 則 
T54n2126_002:0247b06	道左僧右。未知始起也。	道 左 僧 右 未 知 始 起 也 
T54n2126_002:0247b07	內道場	內 道 場 
T54n2126_002:0247b08	內道場起於後魏。而得名在乎隋朝何邪。煬	內 道 場 起 於 後 魏 而 得 名 在 乎 隋 朝 何 邪 煬 
T54n2126_002:0247b09	帝以我為古。變革事多。改僧寺為道場。改道	帝 以 我 為 古 變 革 事 多 改 僧 寺 為 道 場 改 道 
T54n2126_002:0247b10	觀為方壇。若內中僧事。則謂之內道場也。今	觀 為 方 壇 若 內 中 僧 事 則 謂 之 內 道 場 也 今 
T54n2126_002:0247b11	朝茲福等殿安佛像經藏。立剎聲鐘。呼為內寺	朝 茲 福 等 殿 安 佛 像 經 藏 立 剎 聲 鐘 呼 為 內 寺 
T54n2126_002:0247b12	是也。魏大武皇帝始光二年。立至神道場。神	是 也 魏 大 武 皇 帝 始 光 二 年 立 至 神 道 場 神 
T54n2126_002:0247b13	麚四年。勅州鎮悉立道場。蓋帝王生此日也	麚 四 年 勅 州 鎮 悉 立 道 場 蓋 帝 王 生 此 日 也 
T54n2126_002:0247b14	(尋文。是生日權建法會耳)後天元大成元年春正月。詔曰。隆	 尋 文 是 生 日 權 建 法 會 耳 後 天 元 大 成 元 年 春 正 月 詔 曰 隆 
T54n2126_002:0247b15	建玄風。三寶尊重。宜修闡法化。廣理可歸崇。	建 玄 風 三 寶 尊 重 宜 修 闡 法 化 廣 理 可 歸 崇 
T54n2126_002:0247b16	其舊沙門中德行清高者七人。在政武殿西。	其 舊 沙 門 中 德 行 清 高 者 七 人 在 政 武 殿 西 
T54n2126_002:0247b17	安置行道。此內道場之始也。南朝或以尼在	安 置 行 道 此 內 道 場 之 始 也 南 朝 或 以 尼 在 
T54n2126_002:0247b18	內中持課。又壽光殿中群僧法集。或充學士。	內 中 持 課 又 壽 光 殿 中 群 僧 法 集 或 充 學 士 
T54n2126_002:0247b19	或號講員。或注解經文。或敷揚禪要。凡存	或 號 講 員 或 注 解 經 文 或 敷 揚 禪 要 凡 存 
T54n2126_002:0247b20	禁中並內道場也。唐則天令大德僧法處一	禁 中 並 內 道 場 也 唐 則 天 令 大 德 僧 法 處 一 
T54n2126_002:0247b21	慧儼行感宣政等在內道場念誦。以薜懷義	慧 儼 行 感 宣 政 等 在 內 道 場 念 誦 以 薜 懷 義 
T54n2126_002:0247b22	參雜其間。則天又於洛京大內置內道場。中	參 雜 其 間 則 天 又 於 洛 京 大 內 置 內 道 場 中 
T54n2126_002:0247b23	宗睿宗此制無改。代宗初喜祠祀。未重釋氏。	宗 睿 宗 此 制 無 改 代 宗 初 喜 祠 祀 未 重 釋 氏 
T54n2126_002:0247b24	而宰臣元載杜鴻漸王縉皆歸向佛僧(王縉造寶應寺)	而 宰 臣 元 載 杜 鴻 漸 王 縉 皆 歸 向 佛 僧 王 縉 造 寶 應 寺 
T54n2126_002:0247b25	代宗甞問福業報應事。元載因而啟奏。由是	代 宗 甞 問 福 業 報 應 事 元 載 因 而 啟 奏 由 是 
T54n2126_002:0247b26	信之過甚。常令僧百餘人於宮中陳佛像經	信 之 過 甚 常 令 僧 百 餘 人 於 宮 中 陳 佛 像 經 
T54n2126_002:0247b27	教念誦。謂之內道場。供養甚貴。出入乘厩馬。	教 念 誦 謂 之 內 道 場 供 養 甚 貴 出 入 乘 厩 馬 
T54n2126_002:0247b28	度支具廩給。每西蕃入寇。必令群僧講誦仁	度 支 具 廩 給 每 西 蕃 入 寇 必 令 群 僧 講 誦 仁 
T54n2126_002:0247b29	王經。以攘寇虜。幸其退則加其錫賚。不空三	王 經 以 攘 寇 虜 幸 其 退 則 加 其 錫 賚 不 空 三 
T54n2126_002:0247c01	藏官至卿監封國公。通籍禁中。又詔天下官	藏 官 至 卿 監 封 國 公 通 籍 禁 中 又 詔 天 下 官 
T54n2126_002:0247c02	吏。不得箠拽僧尼。又七月望日。於內道場造	吏 不 得 箠 拽 僧 尼 又 七 月 望 日 於 內 道 場 造 
T54n2126_002:0247c03	于蘭盆。飾以金翠。設高祖七廟神座。各書神	于 蘭 盆 飾 以 金 翠 設 高 祖 七 廟 神 座 各 書 神 
T54n2126_002:0247c04	號識之迎。出內陳於寺觀。引道繁盛。歲以為	號 識 之 迎 出 內 陳 於 寺 觀 引 道 繁 盛 歲 以 為 
T54n2126_002:0247c05	常。至建中中。德宗勅廣德永泰以來。聚僧於	常 至 建 中 中 德 宗 勅 廣 德 永 泰 以 來 聚 僧 於 
T54n2126_002:0247c06	禁中。嚴設道場。並令徹去。遣出僧眾云。順宗	禁 中 嚴 設 道 場 並 令 徹 去 遣 出 僧 眾 云 順 宗 
T54n2126_002:0247c07	朝以端甫掌內殿法儀。亦是此任。憲宗穆宗	朝 以 端 甫 掌 內 殿 法 儀 亦 是 此 任 憲 宗 穆 宗 
T54n2126_002:0247c08	文宗並端甫掌內殿法事也。文宗大和九年	文 宗 並 端 甫 掌 內 殿 法 事 也 文 宗 大 和 九 年 
T54n2126_002:0247c09	四月二十六日。勅停內長生殿道場。武宗初	四 月 二 十 六 日 勅 停 內 長 生 殿 道 場 武 宗 初 
T54n2126_002:0247c10	年。以生日德陽節。却置內長生殿道場。及設	年 以 生 日 德 陽 節 却 置 內 長 生 殿 道 場 及 設 
T54n2126_002:0247c11	內齋。僧道獻壽。後與道士趙歸真惑亂。切齒	內 齋 僧 道 獻 壽 後 與 道 士 趙 歸 真 惑 亂 切 齒 
T54n2126_002:0247c12	求僧之過。至會昌四年。詔停內齋及內道場。	求 僧 之 過 至 會 昌 四 年 詔 停 內 齋 及 內 道 場 
T54n2126_002:0247c13	惡意萌于此矣。	惡 意 萌 于 此 矣 
T54n2126_002:0247c14	生日道場附	生 日 道 場 附 
T54n2126_002:0247c15	生日為節名。自唐玄宗始也。魏太武帝始光	生 日 為 節 名 自 唐 玄 宗 始 也 魏 太 武 帝 始 光 
T54n2126_002:0247c16	二年立道場。至神麚四年。勅州鎮悉立道場。	二 年 立 道 場 至 神 麚 四 年 勅 州 鎮 悉 立 道 場 
T54n2126_002:0247c17	慶帝生日。始光中是帝自崇福之始也。神麚	慶 帝 生 日 始 光 中 是 帝 自 崇 福 之 始 也 神 麚 
T54n2126_002:0247c18	中是臣下奉祝帝壽之始也。自爾以來。臣下	中 是 臣 下 奉 祝 帝 壽 之 始 也 自 爾 以 來 臣 下 
T54n2126_002:0247c19	吉祝必營齋轉經。謂之生辰節道場。于今盛	吉 祝 必 營 齋 轉 經 謂 之 生 辰 節 道 場 于 今 盛 
T54n2126_002:0247c20	行焉。	行 焉 
T54n2126_002:0247c21	僧籍弛張	僧 籍 弛 張 
