X57n0955_001:0062b06	復宗集下	復 宗 集 下 
X57n0955_001:0067a14	為先所以習學恒沙佛法廣為眾生分別藥病雖於	為 先 所 以 習 學 恒 沙 佛 法 廣 為 眾 生 分 別 藥 病 雖 於 
X57n0955_001:0067a15	界外無明未破亦能學習四種四諦十六門假至地	界 外 無 明 未 破 亦 能 學 習 四 種 四 諦 十 六 門 假 至 地 
X57n0955_001:0067a16	住時破一品無明方名真利益夫如是則塵沙惑者	住 時 破 一 品 無 明 方 名 真 利 益 夫 如 是 則 塵 沙 惑 者 
X57n0955_001:0067a17	乃佗人分上見思之病見思因緣見思久近見思重	乃 佗 人 分 上 見 思 之 病 見 思 因 緣 見 思 久 近 見 思 重 
X57n0955_001:0067a18	數及治見思之藥也所以不能牽生者我自見思先	數 及 治 見 思 之 藥 也 所 以 不 能 牽 生 者 我 自 見 思 先 
X57n0955_001:0067a19	已斷竟但未能分別佗人見思如何牽我之生耶故	已 斷 竟 但 未 能 分 別 佗 人 見 思 如 何 牽 我 之 生 耶 故 
X57n0955_001:0067a20	知自己分上所有惑者唯見思無明二種能牽界內	知 自 己 分 上 所 有 惑 者 唯 見 思 無 明 二 種 能 牽 界 內 
X57n0955_001:0067a21	外生欲亡此惑修空修中斷此二惑即自行功滿故	外 生 欲 亡 此 惑 修 空 修 中 斷 此 二 惑 即 自 行 功 滿 故 
X57n0955_001:0067a22	云自行唯在空中然於菩薩職在利佗始初發心菩	云 自 行 唯 在 空 中 然 於 菩 薩 職 在 利 佗 始 初 發 心 菩 
X57n0955_001:0067a23	提為本眾生無邊誓願度脫稱此本故故須為佗分	提 為 本 眾 生 無 邊 誓 願 度 脫 稱 此 本 故 故 須 為 佗 分 
X57n0955_001:0067a24	別見思種種重數令一切人猒離生死永出輪迴若	別 見 思 種 種 重 數 令 一 切 人 猒 離 生 死 永 出 輪 迴 若 
X57n0955_001:0067b01	也不能洞了此等見思法門坐在塵沙如何為物故	也 不 能 洞 了 此 等 見 思 法 門 坐 在 塵 沙 如 何 為 物 故 
X57n0955_001:0067b02	云塵沙障乎化導識此惑體唯有四明一人而已佗	云 塵 沙 障 乎 化 導 識 此 惑 體 唯 有 四 明 一 人 而 已 佗 
X57n0955_001:0067b03	所不達如此解會非但能識塵沙惑體亦見四教所	所 不 達 如 此 解 會 非 但 能 識 塵 沙 惑 體 亦 見 四 教 所 
X57n0955_001:0067b04	詮之理從自行入道故唯真中從出假化物故兼俗	詮 之 理 從 自 行 入 道 故 唯 真 中 從 出 假 化 物 故 兼 俗 
X57n0955_001:0067b05	諦即此自行而為化佗令佗依此四教二理之所修	諦 即 此 自 行 而 為 化 佗 令 佗 依 此 四 教 二 理 之 所 修 
X57n0955_001:0067b06	習是故俗諦徧在四教分界內外在我名俗諦以破	習 是 故 俗 諦 徧 在 四 教 分 界 內 外 在 我 名 俗 諦 以 破 
X57n0955_001:0067b07	塵沙在佗名空中以破二惑故知俗理在乎學習法	塵 沙 在 佗 名 空 中 以 破 二 惑 故 知 俗 理 在 乎 學 習 法 
X57n0955_001:0067b08	門為佗分別令佗治病破佗生死以佗不知此等是	門 為 佗 分 別 令 佗 治 病 破 佗 生 死 以 佗 不 知 此 等 是 
X57n0955_001:0067b09	病故招無量生死受無量果報所以塵沙一切眾生	病 故 招 無 量 生 死 受 無 量 果 報 所 以 塵 沙 一 切 眾 生 
X57n0955_001:0067b10	名自己見思菩薩分上名塵沙惑人不見之便謂菩	名 自 己 見 思 菩 薩 分 上 名 塵 沙 惑 人 不 見 之 便 謂 菩 
X57n0955_001:0067b11	薩以塵沙惑招自果報牽自生死者幾許悞哉若了	薩 以 塵 沙 惑 招 自 果 報 牽 自 生 死 者 幾 許 悞 哉 若 了 
X57n0955_001:0067b12	斯義四念處文煥然冰釋安可以入生死境起同事	斯 義 四 念 處 文 煥 然 冰 釋 安 可 以 入 生 死 境 起 同 事 
X57n0955_001:0067b13	攝而消彼文嗟乎此師何以弘演故前二說謂塵沙	攝 而 消 彼 文 嗟 乎 此 師 何 以 弘 演 故 前 二 說 謂 塵 沙 
X57n0955_001:0067b14	牽生者全為失旨非但錯據無生之文亦乃未識塵	牽 生 者 全 為 失 旨 非 但 錯 據 無 生 之 文 亦 乃 未 識 塵 
X57n0955_001:0067b15	沙惑體無生之文如前所釋謂塵沙不牽生者雖知	沙 惑 體 無 生 之 文 如 前 所 釋 謂 塵 沙 不 牽 生 者 雖 知 
X57n0955_001:0067b16	塵沙無潤生義不知所以無之之旨竝由不曉此惑	塵 沙 無 潤 生 義 不 知 所 以 無 之 之 旨 竝 由 不 曉 此 惑 
X57n0955_001:0067b17	無別自體惑體若正此理自明故知今家教所詮理	無 別 自 體 惑 體 若 正 此 理 自 明 故 知 今 家 教 所 詮 理 
X57n0955_001:0067b18	唯詮真中不詮俗諦惑所潤生界唯內外此理昭然	唯 詮 真 中 不 詮 俗 諦 惑 所 潤 生 界 唯 內 外 此 理 昭 然 
X57n0955_001:0067b19	自行化佗教理智斷三觀三諦無不顯了其如諸惑	自 行 化 佗 教 理 智 斷 三 觀 三 諦 無 不 顯 了 其 如 諸 惑 
X57n0955_001:0067b20	正習體相稍有所涉但痛昔來塵沙惑相罕能明之	正 習 體 相 稍 有 所 涉 但 痛 昔 來 塵 沙 惑 相 罕 能 明 之 
X57n0955_001:0067b21	欲顯四明玅宗正旨所以略示無益之論此不多及。	欲 顯 四 明 玅 宗 正 旨 所 以 略 示 無 益 之 論 此 不 多 及 
X57n0955_001:0067b22	辯淨土修證	辯 淨 土 修 證 
X57n0955_001:0067b23	瑛法師淨土修證儀有云平等心佛無取無捨何	瑛 法 師 淨 土 修 證 儀 有 云 平 等 心 佛 無 取 無 捨 何 
X57n0955_001:0067b24	用捨此取彼答古今淆混試為陳之夫一代觀門	用 捨 此 取 彼 答 古 今 淆 混 試 為 陳 之 夫 一 代 觀 門 
X57n0955_001:0067c01	有其二種一者此方入道破惑證理無生觀也二	有 其 二 種 一 者 此 方 入 道 破 惑 證 理 無 生 觀 也 二 
X57n0955_001:0067c02	者求生淨土捨身為身有生觀也今且用彼天台	者 求 生 淨 土 捨 身 為 身 有 生 觀 也 今 且 用 彼 天 台 
X57n0955_001:0067c03	一家理觀對此十六觀經以辯二門不同之相。	一 家 理 觀 對 此 十 六 觀 經 以 辯 二 門 不 同 之 相 
X57n0955_001:0067c04	彼以十境為境　此以十六為境	彼 以 十 境 為 境 此 以 十 六 為 境 
X57n0955_001:0067c05	彼以十乘為觀　此以一心為觀	彼 以 十 乘 為 觀 此 以 一 心 為 觀 
X57n0955_001:0067c06	彼觀自己寂光　此觀同居寂光	彼 觀 自 己 寂 光 此 觀 同 居 寂 光 
X57n0955_001:0067c07	彼求成智破惑　此求成業牽生	彼 求 成 智 破 惑 此 求 成 業 牽 生 
X57n0955_001:0067c08	彼求真空無相　此求聖相現前	彼 求 真 空 無 相 此 求 聖 相 現 前 
X57n0955_001:0067c09	彼破一切五陰　此成淨土五陰	彼 破 一 切 五 陰 此 成 淨 土 五 陰 
X57n0955_001:0067c10	彼須遣蕩　此須取著	彼 須 遣 蕩 此 須 取 著 
X57n0955_001:0067c11	彼須平等　此須欣猒	彼 須 平 等 此 須 欣 猒 
X57n0955_001:0067c12	彼是觀心　此是觀佛	彼 是 觀 心 此 是 觀 佛 
X57n0955_001:0067c13	彼是自力　此是佗力	彼 是 自 力 此 是 佗 力 
X57n0955_001:0067c14	彼無方所　此定西方	彼 無 方 所 此 定 西 方 
X57n0955_001:0067c15	彼心住而不去　此心去而不住	彼 心 住 而 不 去 此 心 去 而 不 住 
X57n0955_001:0067c16	彼則十境互發　此則十六漸成	彼 則 十 境 互 發 此 則 十 六 漸 成 
X57n0955_001:0067c17	彼則百乘互用　此則一心不易	彼 則 百 乘 互 用 此 則 一 心 不 易 
X57n0955_001:0067c18	彼以五陰為境境是生死幽暗之法以十乘理	彼 以 五 陰 為 境 境 是 生 死 幽 暗 之 法 以 十 乘 理 
X57n0955_001:0067c19	觀研之能發九境魔事如楞嚴說皆由五陰故	觀 研 之 能 發 九 境 魔 事 如 楞 嚴 說 皆 由 五 陰 故 
X57n0955_001:0067c20	有魔現是以諸經論傳凡明修觀竝須辨出魔	有 魔 現 是 以 諸 經 論 傳 凡 明 修 觀 竝 須 辨 出 魔 
X57n0955_001:0067c21	事恐其現時行人不識若生取著即落羣邪故	事 恐 其 現 時 行 人 不 識 若 生 取 著 即 落 羣 邪 故 
X57n0955_001:0067c22	也。	也 
X57n0955_001:0067c23	此以彌陀為境境成果人清淨功德十乘行滿	此 以 彌 陀 為 境 境 成 果 人 清 淨 功 德 十 乘 行 滿 
X57n0955_001:0067c24	永絕十境魔事是以淨土一門諸經論傳皆不	永 絕 十 境 魔 事 是 以 淨 土 一 門 諸 經 論 傳 皆 不 
X57n0955_001:0068a01	言有魔事故知但能依經作想心無邪念則聖	言 有 魔 事 故 知 但 能 依 經 作 想 心 無 邪 念 則 聖 
X57n0955_001:0068a02	境現前光明顯發能破自己幽暗滅五陰生死	境 現 前 光 明 顯 發 能 破 自 己 幽 暗 滅 五 陰 生 死 
X57n0955_001:0068a03	也。	也 
X57n0955_001:0068a04	問般舟觀佛與今何異答彼是先觀事境後修理	問 般 舟 觀 佛 與 今 何 異 答 彼 是 先 觀 事 境 後 修 理 
X57n0955_001:0068a05	觀故觀彌陀猶如火聚不許取著例如羅漢先修	觀 故 觀 彌 陀 猶 如 火 聚 不 許 取 著 例 如 羅 漢 先 修 
X57n0955_001:0068a06	事禪後修無漏觀此經直觀事境而取往生例如	事 禪 後 修 無 漏 觀 此 經 直 觀 事 境 而 取 往 生 例 如 
X57n0955_001:0068a07	凡夫單修事禪求生梵天也問何故理觀不許取	凡 夫 單 修 事 禪 求 生 梵 天 也 問 何 故 理 觀 不 許 取 
X57n0955_001:0068a08	著一切相邪答取著必牽生返背無生理(云云)。	著 一 切 相 邪 答 取 著 必 牽 生 返 背 無 生 理 云 云 
X57n0955_001:0068a09	崑山神濟一日持瑛法師修證儀示予且扣之以可	崑 山 神 濟 一 日 持 瑛 法 師 修 證 儀 示 予 且 扣 之 以 可 
X57n0955_001:0068a10	不之問予答之曰可則亦可然未至於全可也若一	不 之 問 予 答 之 曰 可 則 亦 可 然 未 至 於 全 可 也 若 一 
X57n0955_001:0068a11	向如瑛之論得不違佛祖之本意乎經有三輩九品	向 如 瑛 之 論 得 不 違 佛 祖 之 本 意 乎 經 有 三 輩 九 品 
X57n0955_001:0068a12	機有利鈍賢愚行有迃捷之逕達有遲疾之期若以	機 有 利 鈍 賢 愚 行 有 迃 捷 之 逕 達 有 遲 疾 之 期 若 以 
X57n0955_001:0068a13	此為至談非但促靈鳳為拙鳩抑亦屈神光為爝火	此 為 至 談 非 但 促 靈 鳳 為 拙 鳩 抑 亦 屈 神 光 為 爝 火 
X57n0955_001:0068a14	有二不便一者違經二者背祖違經者經中有三種	有 二 不 便 一 者 違 經 二 者 背 祖 違 經 者 經 中 有 三 種 
X57n0955_001:0068a15	修一者孝養父母奉事師長慈心不殺修十善業二	修 一 者 孝 養 父 母 奉 事 師 長 慈 心 不 殺 修 十 善 業 二 
X57n0955_001:0068a16	者受持三歸具足眾戒不犯威儀三者發菩提心深	者 受 持 三 歸 具 足 眾 戒 不 犯 威 儀 三 者 發菩提心 深 
X57n0955_001:0068a17	信因果讀誦大乘至於三品生中上品生有三種心	信 因 果 讀 誦 大 乘 至 於 三 品 生 中 上 品 生 有 三 種 心 
X57n0955_001:0068a18	一者志誠心二者深心三者回向發願心又有三種	一 者 志 誠 心 二 者 深 心 三 者 回 向 發 願 心 又 有 三 種 
X57n0955_001:0068a19	眾生一者慈心不殺具諸戒行二者讀誦大乘方等	眾 生 一 者 慈 心 不 殺 具 諸 戒 行 二 者 讀 誦 大 乘 方 等 
X57n0955_001:0068a20	經典三者修行六念回向發願只如三淨業中發菩	經 典 三 者 修 行 六 念 回 向 發 願 只 如 三 淨 業 中 發 菩 
X57n0955_001:0068a21	提心必依四諦讀誦大乘該三大乘又如方等經典	提 心 必 依 四 諦 讀 誦 大 乘 該 三 大 乘 又 如 方 等 經 典 
X57n0955_001:0068a22	豈專事行又如三種心志誠心大師疏以專實而釋	豈 專 事 行 又 如 三 種 心 志 誠 心 大 師 疏 以 專 實 而 釋 
X57n0955_001:0068a23	深心者以深理而言又引十地論深廣以釋則同聞	深 心 者 以 深 理 而 言 又 引 十 地 論 深 廣 以 釋 則 同 聞 
X57n0955_001:0068a24	深不怖聞廣不驚聞非深非廣意而有勇又此三種	深 不 怖 聞 廣 不 驚 聞 非 深 非 廣 意 而 有 勇 又 此 三 種 
X57n0955_001:0068b01	心正同淨名經直心是菩薩淨土深心是菩薩淨土	心 正 同 淨 名 經 直 心 是 菩 薩 淨 土 深 心 是 菩 薩 淨 土 
X57n0955_001:0068b02	大乘心是菩薩淨土以心淨故則佛土淨直心即志	大 乘 心 是 菩 薩 淨 土 以 心 淨 故 則 佛 土 淨 直 心 即 志 
X57n0955_001:0068b03	誠大乘即六念發願淨名疏釋豈同事行如何以淨	誠 大 乘 即 六 念 發 願 淨 名 疏 釋 豈 同 事 行 如 何 以 淨 
X57n0955_001:0068b04	土求生一向為取著事相有生之心而為行法又以	土 求 生 一 向 為 取 著 事 相 有 生 之 心 而 為 行 法 又 以 
X57n0955_001:0068b05	單修事禪而生梵天為例得非違佛意之甚乎二者	單 修 事 禪 而 生 梵 天 為 例 得 非 違 佛 意 之 甚 乎 二 者 
X57n0955_001:0068b06	違祖有三不便一者疏以修心玅觀感佛土淨為經	違 祖 有 三 不 便 一 者 疏 以 修 心 玅 觀 感 佛 土 淨 為 經 
X57n0955_001:0068b07	宗致則一心三觀為能修四種淨土為所到而專以	宗 致 則 一 心 三 觀 為 能 修 四 種 淨 土 為 所 到 而 專 以 
X57n0955_001:0068b08	取著牽生為因其能感上品寂光之生乎二者疏以	取 著 牽 生 為 因 其 能 感 上 品 寂 光 之 生 乎 二 者 疏 以 
X57n0955_001:0068b09	一心三觀釋觀一體三身釋佛既以觀佛為行必舉	一 心 三 觀 釋 觀 一 體 三 身 釋 佛 既 以 觀 佛 為 行 必 舉 
X57n0955_001:0068b10	正收依舉主攝眾能修既深所證乃極雖通被四機	正 收 依 舉 主 攝 眾 能 修 既 深 所 證 乃 極 雖 通 被 四 機 
X57n0955_001:0068b11	只從圓深判文之旨故佛之意故其一心三觀一體	只 從 圓 深 判 文 之 旨 故 佛 之 意 故 其 一 心 三 觀 一 體 
X57n0955_001:0068b12	三身是取著成業之行否三者大師十疑論專以生	三 身 是 取 著 成 業 之 行 否 三 者 大 師 十 疑 論 專 以 生 
X57n0955_001:0068b13	無生性滅無滅跡令契無生方能感土終日取捨且	無 生 性 滅 無 滅 跡 令 契 無 生 方 能 感 土 終 日 取 捨 且 
X57n0955_001:0068b14	無猒欣終日求生未甞脫離豈是有生之法乎若以	無 猒 欣 終 日 求 生 未 甞 脫 離 豈 是 有 生 之 法 乎 若 以 
X57n0955_001:0068b15	事理二觀有生無生對分此彼兩土之行者深為失	事 理 二 觀 有 生 無 生 對 分 此 彼 兩 土 之 行 者 深 為 失 
X57n0955_001:0068b16	旨佛經祖疏竝以事理兼修利鈍竝被據佛本意盡	旨 佛 經 祖 疏 竝 以 事 理 兼 修 利 鈍 竝 被 據 佛 本 意 盡 
X57n0955_001:0068b17	欲以金臺攝引上品利生其奈機有利鈍之殊故生	欲 以 金 臺 攝 引 上 品 利 生 其 奈 機 有 利 鈍 之 殊 故 生 
X57n0955_001:0068b18	有三品之別解第一義而以大乘真淨之心求生淨	有 三 品 之 別 解 第 一 義 而 以 大 乘 真 淨 之 心 求 生 淨 
X57n0955_001:0068b19	土必得上生中下既鈍此理難皆事不獲已故於慈	土 必 得 上 生 中 下 既 鈍 此 理 難 皆 事 不 獲 已 故 於 慈 
X57n0955_001:0068b20	心攝受不失令於事相專心亦可得生我國生我國	心 攝 受 不 失 令 於 事 相 專 心 亦 可 得 生 我 國 生 我 國 
X57n0955_001:0068b21	已經歷劫數方得見佛既機有未可故佛亦慈悲此	已 經 歷 劫 數 方 得 見 佛 既 機 有 未 可 故 佛 亦 慈 悲 此 
X57n0955_001:0068b22	亦如來廣開方便攝此羣生故須上體佛心俯求機	亦 如 來 廣 開 方 便 攝 此 羣 生 故 須 上 體 佛 心 俯 求 機 
X57n0955_001:0068b23	種利鈍兼被事理竝陳則利機直坐金蓮中下須經	種 利 鈍 兼 被 事 理 竝 陳 則 利 機 直 坐 金 蓮 中 下 須 經 
X57n0955_001:0068b24	劫數利機雖終目欣猒未甞取捨中下於取捨之念	劫 數 利 機 雖 終 目 欣 猒 未 甞 取 捨 中 下 於 取 捨 之 念 
X57n0955_001:0068c01	亦至無生竝須於事而達理於生見無生方能契佛	亦 至 無 生 竝 須 於 事 而 達 理 於 生 見 無 生 方 能 契 佛 
X57n0955_001:0068c02	祖本心達往生逕路如何徑挺分別彼此克定有求	祖 本 心 達 往 生 逕 路 如 何 徑 挺 分 別 彼 此 克 定 有 求 
X57n0955_001:0068c03	專在事門決令著相是則此經但為下根者設而無	專 在 事 門 決 令 著 相 是 則 此 經 但 為 下 根 者 設 而 無 
X57n0955_001:0068c04	上品之機經中所以備明九品意在見賢思齊瑛公	上 品 之 機 經 中 所 以 備 明 九 品 意 在 見 賢 思 齊 瑛 公 
X57n0955_001:0068c05	專執事修反使壓良為賤乃令一彈指頃得百千陀	專 執 事 修 反 使 壓 良 為 賤 乃 令 一 彈 指 頃 得 百 千 陀 
X57n0955_001:0068c06	羅尼者與夫滿十二劫方發菩提心者同日而語豈	羅 尼 者 與 夫 滿 十 二 劫 方 發菩提心 者 同 日 而 語 豈 
X57n0955_001:0068c07	非促靈鳳為拙鳩乎仍使如來玅力無緣大勳永無	非 促 靈 鳳 為 拙 鳩 乎 仍 使 如 來 玅 力 無 緣 大 勳 永 無 
X57n0955_001:0068c08	攝生令人上品豈非屈神光為爝火乎在機既失其	攝 生 令 人 上 品 豈 非 屈 神 光 為 爝 火 乎 在 機 既 失 其 
X57n0955_001:0068c09	高賢於應亦喪其玅德其可為學教之眼目修行之	高 賢 於 應 亦 喪 其 玅 德 其 可 為 學 教 之 眼 目 修 行 之 
X57n0955_001:0068c10	要門者乎經中雖攝機寬廣大師從高深判經瑛特	要 門 者 乎 經 中 雖 攝 機 寬 廣 大 師 從 高 深 判 經 瑛 特 
X57n0955_001:0068c11	去無生之文從有相之行深所不可大凡釋義寧可	去 無 生 之 文 從 有 相 之 行 深 所 不 可 大 凡 釋 義 寧 可 
X57n0955_001:0068c12	以深收淺不可從淺失深此實大害故向為未全可	以 深 收 淺 不 可 從 淺 失 深 此 實 大 害 故 向 為 未 全 可 
X57n0955_001:0068c13	者也慈雲法師決疑行願云九品生相各有行類上	者 也 慈 雲 法 師 決 疑 行 願 云 九 品 生 相 各 有 行 類 上 
X57n0955_001:0068c14	輩三品須解須行故文云汝行大乘解第一義即其	輩 三 品 須 解 須 行 故 文 云 汝 行 大 乘 解 第 一 義 即 其 
X57n0955_001:0068c15	人也意令學者見賢思齊企金臺而高升唯玅觀而	人 也 意 令 學 者 見 賢 思 齊 企 金 臺 而 高 升 唯 玅 觀 而 
X57n0955_001:0068c16	是托若其中下之流六品生因只是精持禁戒行世	是 托 若 其 中 下 之 流 六 品 生 因 只 是 精 持 禁 戒 行 世 
X57n0955_001:0068c17	仁慈乃至下下品生本是惡逆十念精誠往生彼國	仁 慈 乃 至 下 下 品 生 本 是 惡 逆 十 念 精 誠 往 生 彼 國 
X57n0955_001:0068c18	但能知有淨土盡可回心苟不然者寧容九品之差	但 能 知 有 淨 土 盡 可 回 心 苟 不 然 者 寧 容 九 品 之 差 
X57n0955_001:0068c19	降玅哉慈雲深達佛祖之意則無失機之咎瑛之所	降 玅 哉 慈 雲 深 達 佛 祖 之 意 則 無 失 機 之 咎 瑛 之 所 
X57n0955_001:0068c20	論亦令高明之機同彼愚夫之習可不哀歟以慈雲	論 亦 令 高 明 之 機 同 彼 愚 夫 之 習 可 不 哀 歟 以 慈 雲 
X57n0955_001:0068c21	之文格瑛公之見得無慚色紹興辛未元宵書于崑	之 文 格 瑛 公 之 見 得 無 慚 色 紹 興 辛 未 元 宵 書 于 崑 
X57n0955_001:0068c22	山慧聚寺普賢閣白蓮澤山叟(與咸)願與法界有情	山 慧 聚 寺 普 賢 閣 白 蓮 澤 山 叟 與 咸 願 與 法 界 有 情 
X57n0955_001:0068c23	同步金臺上品。	同 步 金 臺 上 品 
X57n0955_001:0069a01	全書二卷今傳下卷良錦美繡尺寸可珍故今梓	全 書 二 卷 今 傳 下 卷 良 錦 美 繡 尺 寸 可 珍 故 今 梓 
X57n0955_001:0069a02	行觀覧君子有得全本見付幸甚。	行 觀 覧 君 子 有 得 全 本 見 付 幸 甚 
