T54n2130_001:0981a05	翻梵語	翻 梵 語 
T54n2130_005:1016c04	須達長者(亦云須達那　譯曰好與)	須 達 長 者 亦 云 須 達 那 譯 曰 好 與 
T54n2130_005:1016c05	　阿毘曇毘婆沙第五十三卷	 阿 毘 曇 毘 婆 沙 第 五 十 三 卷 
T54n2130_005:1016c06	散陀[宋木+卓]長者(譯曰漏也)　賢愚經第五卷	散 陀 [宋木卓] 長 者 譯 曰 漏 也 賢 愚 經 第 五 卷 
T54n2130_005:1016c07	曇摩美長者(應云瞿摩斯那　經曰法軍)　第六卷	曇 摩 美 長 者 應 云 瞿 摩 斯 那 經 曰 法 軍 第 六 卷 
T54n2130_005:1016c08	羡那長者(應云斯那　經曰軍)	羡 那 長 者 應 云 斯 那 經 曰 軍 
T54n2130_005:1016c09	曇摩世質長者(譯曰法律)　第十二卷	曇 摩 世 質 長 者 譯 曰 法 律 第 十 二 卷 
T54n2130_005:1016c10	優波梨長者(譯曰大護)　婆須密經第六卷	優 波 梨 長 者 譯 曰 大 護 婆 須 密 經 第 六 卷 
T54n2130_005:1016c11	難提長者(譯曰歡喜)　百句譬喻經第八卷	難 提 長 者 譯 曰 歡 喜 百 句 譬 喻 經 第 八 卷 
T54n2130_005:1016c12	波羅密多羅長者(譯曰波羅者彼密多者知識)	波羅密多 羅 長 者 譯 曰 波 羅 者 彼 密 多 者 知 識 
T54n2130_005:1016c13	　僧伽羅剎所集經第三之內	 僧 伽 羅 剎 所 集 經 第 三 之 內 
T54n2130_005:1016c14	脾闍耶密多羅長者(譯曰不勝知識)	脾 闍 耶 密 多 羅 長 者 譯 曰 不 勝 知 識 
T54n2130_005:1016c15	尸利崛長者(應云尸利堀多　譯曰吉護)　菩薩所胎經第五卷	尸 利 崛 長 者 應 云 尸 利 堀 多 譯 曰 吉 護 菩 薩 所 胎 經 第 五 卷 
T54n2130_005:1016c16	和利長者(應云波利　譯曰護也)　生經第二卷	和 利 長 者 應 云 波 利 譯 曰 護 也 生 經 第 二 卷 
T54n2130_005:1016c17	央伽長者子(譯曰體也)　佛所行讚第四卷	央 伽 長 者 子 譯 曰 體 也 佛 所 行 讚 第 四 卷 
T54n2130_005:1016c18	脩羅陀長者(譯曰好得)　法句經第一卷	脩 羅 陀 長 者 譯 曰 好 得 法 句 經 第 一 卷 
T54n2130_005:1016c19	此守陀宋長者子(經曰淨意)　弘道廣顯經第四卷	此 守 陀 宋 長 者 子 經 曰 淨 意 弘 道 廣 顯 經 第 四 卷 
T54n2130_005:1016c20	阿具利長者(應云阿瞿羅　譯曰不白)	阿 具 利 長 者 應 云 阿 瞿 羅 譯 曰 不 白 
T54n2130_005:1016c21	蛇陀長者子(經曰寶稱)	蛇 陀 長 者 子 經 曰 寶 稱 
T54n2130_005:1016c22	須檀長者(應云須檀那　譯曰好物)　興起行經下卷	須 檀 長 者 應 云 須 檀 那 譯 曰 好 物 興 起 行 經 下 卷 
T54n2130_005:1016c23	郁迦長者(應云私那迦　譯曰少也)　郁迦長者經上卷	郁 迦 長 者 應 云 私 那 迦 譯 曰 少 也 郁 迦 長 者 經 上 卷 
T54n2130_005:1016c24	摩訶那摩陀(譯曰大名與也)　菩薩藏經	摩 訶 那 摩 陀 譯 曰 大 名 與 也 菩 薩 藏 經 
T54n2130_005:1017a01	披羅密多羅長者(譯曰薄大)　菩薩受齋經	披 羅 密 多 羅 長 者 譯 曰 薄 大 菩 薩 受 齋 經 
T54n2130_005:1017a02	脾闍耶密多羅(譯曰勝大)	脾 闍 耶 密 多 羅 譯 曰 勝 大 
T54n2130_005:1017a03	那舍長者(譯曰失也)　決定罪福經	那 舍 長 者 譯 曰 失 也 決 定 罪 福 經 
T54n2130_005:1017a04	僧迦羅摩長者(譯曰眾園)　六過出家經	僧 迦 羅 摩 長 者 譯 曰 眾 園 六 過 出 家 經 
T54n2130_005:1017a05	私呵昧長者(應云私呵昧底　譯曰師子意也)　私呵昧經	私 呵 昧 長 者 應 云 私 呵 昧 底 譯 曰 師 子 意 也 私 呵 昧 經 
T54n2130_005:1017a06	質多長者(譯曰心也)　外道誘質多長者經	質 多 長 者 譯 曰 心 也 外 道 誘 質 多 長 者 經 
T54n2130_005:1017a07	拘舍密多羅長者(譯曰第友)	拘 舍 密 多 羅 長 者 譯 曰 第 友 
T54n2130_005:1017a08	弗賖密多羅長者(譯曰弗賖者星名密多羅者友)	弗 賖 密 多 羅 長 者 譯 曰 弗 賖 者 星 名 密 多 羅 者 友 
T54n2130_005:1017a09	　罪閱城人民請佛經	 罪 閱 城 人 民 請 佛 經 
T54n2130_005:1017a10	私呵末長者(應云私訶摩[仁二+(((巨匚)@一)/(一/巾))]亦云私呵昧　譯曰師子意也)	私 呵 末 長 者 應 云 私 訶 摩 [仁二巨匚一一巾] 亦 云 私 呵 昧 譯 曰 師 子 意 也 
T54n2130_005:1017a11	居士名第二十七	居 士 名 第 二 十 七 
T54n2130_005:1017a12	欝伽陀居士(譯曰起也)　大智論第二十三卷	欝 伽 陀 居 士 譯 曰 起 也 大 智 論 第 二 十 三 卷 
T54n2130_005:1017a13	伽羅(譯曰頸也)	伽 羅 譯 曰 頸 也 
T54n2130_005:1017a14	加陵伽(譯者曰國名也)	加 陵 伽 譯 者 曰 國 名 也 
T54n2130_005:1017a15	毘伽陀(譯曰已喜)	毘 伽 陀 譯 曰 已 喜 
T54n2130_005:1017a16	伽梨輸(應云伽利喜瘦　譯曰憎惡)	伽 梨 輸 應 云 伽 利 喜 瘦 譯 曰 憎 惡 
T54n2130_005:1017a17	遮樓(譯曰可愛亦云光)	遮 樓 譯 曰 可 愛 亦 云 光 
T54n2130_005:1017a18	藪婆頭樓(應云藪跋陀羅　譯曰好賢)	藪 婆 頭 樓 應 云 藪 跋 陀 羅 譯 曰 好 賢 
T54n2130_005:1017a19	陀梨舍菟(應云陀梨舍那　譯曰見也)	陀 梨 舍 菟 應 云 陀 梨 舍 那 譯 曰 見 也 
T54n2130_005:1017a20	藪達利舍菟(譯曰極好見也)	藪 達 利 舍 菟 譯 曰 極 好 見 也 
T54n2130_005:1017a21	耶輸(譯曰名聞)	耶 輸 譯 曰 名 聞 
T54n2130_005:1017a22	耶輸多樓(譯曰耶輸者名聞多樓者樹也)	耶 輸 多 樓 譯 曰 耶 輸 者 名 聞 多 樓 者 樹 也 
T54n2130_005:1017a23	散陀那(應云婆陀那　譯曰有物)	散 陀 那 應 云 婆 陀 那 譯 曰 有 物 
T54n2130_005:1017a24	首陀羅(譯曰下事)	首 陀 羅 譯 曰 下 事 
T54n2130_005:1017b01	布薩多居士(應云布殺他　譯曰增長功德)	布 薩 多 居 士 應 云 布 殺 他 譯 曰 增 長 功 德 
T54n2130_005:1017b02	　十誦律八法第二卷	 十 誦 律 八 法 第 二 卷 
T54n2130_005:1017b03	脩聞多居士(譯曰姓生)	脩 聞 多 居 士 譯 曰 姓 生 
T54n2130_005:1017b04	摩訶先那居士(譯曰大軍)	摩 訶 先 那 居 士 譯 曰 大 軍 
T54n2130_005:1017b05	　阿毘曇毘婆沙第四十六之內	 阿 毘 曇 毘 婆 沙 第 四 十 六 之 內 
T54n2130_005:1017b06	翅跋名居士子(譯曰聚魚)　第五十六卷	翅 跋 名 居 士 子 譯 曰 聚 魚 第 五 十 六 卷 
T54n2130_005:1017b07	阿羅婆居士(譯曰少語)　出曜經第八卷	阿 羅 婆 居 士 譯 曰 少 語 出 曜 經 第 八 卷 
T54n2130_005:1017b08	聞利居(譯曰納也)	聞 利 居 譯 曰 納 也 
T54n2130_005:1017b09	質多居士(譯曰心也)　賢愚經第三卷	質 多 居 士 譯 曰 心 也 賢 愚 經 第 三 卷 
T54n2130_005:1017b10	摩訶檀居士(應云摩訶陀那　譯曰大施)　佛說大意經	摩 訶 檀 居 士 應 云 摩 訶 陀 那 譯 曰 大 施 佛 說 大 意 經 
T54n2130_005:1017b11	夫人名第二十八	夫 人 名 第 二 十 八 
T54n2130_005:1017b12	摩耶夫人(譯曰他也)　華嚴經第四十六卷	摩 耶 夫 人 譯 曰 他 也 華 嚴 經 第 四 十 六 卷 
T54n2130_005:1017b13	毘提夫人(應云毘提伽　譯曰種種身也亦云四惟)	毘 提 夫 人 應 云 毘 提 伽 譯 曰 種 種 身 也 亦 云 四 惟 
T54n2130_005:1017b14	　大般涅槃經第三十一卷	 大 般 涅 槃 經 第 三 十 一 卷 
T54n2130_005:1017b15	摩利夫人(亦云末利　譯曰華也)　增一阿含第一卷	摩 利 夫 人 亦 云 末 利 譯 曰 華 也 增 一 阿 含 第 一 卷 
T54n2130_005:1017b16	須賴娑夫人(譯曰好味)	須 賴 娑 夫 人 譯 曰 好 味 
T54n2130_005:1017b17	捨彌夫人(譯曰寂靜)	捨 彌 夫 人 譯 曰 寂 靜 
T54n2130_005:1017b18	尸利夫人(譯曰勝亦云吉)	尸 利 夫 人 譯 曰 勝 亦 云 吉 
T54n2130_005:1017b19	婆留居提鼻(譯曰婆留居者酒提鼻者天人)	婆 留 居 提 鼻 譯 曰 婆 留 居 者 酒 提 鼻 者 天 人 
T54n2130_005:1017b20	　中阿含第五十三之內	 中 阿 含 第 五 十 三 之 內 
T54n2130_005:1017b21	提鼻伽羅提(應云提毘婆羅提　譯曰提毘者夫人)	提 鼻 伽 羅 提 應 云 提 毘 婆 羅 提 譯 曰 提 毘 者 夫 人 
T54n2130_005:1017b22	低舍羅絺多(應云低舍落絺哆　譯曰低舍者光亦云火落絺哆者護)	低 舍 羅 絺 多 應 云 低 舍 落 絺 哆 譯 曰 低 舍 者 光 亦 云 火 落 絺 哆 者 護 
T54n2130_005:1017b23	　雜阿含第二十三之內	 雜 阿 含 第 二 十 三 之 內 
T54n2130_005:1017b24	摩訶摩耶夫人(譯曰大華)　賢愚經第一卷	摩訶摩耶 夫 人 譯 曰 大 華 賢 愚 經 第 一 卷 
T54n2130_005:1017c01	須利波羅滿夫人(應云脩梨耶婆羅僈　譯曰脩梨耶者曰耶婆羅墁者增上)	須 利 波 羅 滿 夫 人 應 云 脩 梨 耶 婆 羅 僈 譯 曰 脩 梨 耶 者 曰 耶 婆 羅 墁 者 增 上 
T54n2130_005:1017c02	　第二卷	 第 二 卷 
T54n2130_005:1017c03	須摩壇夫人(經曰華把)　第五卷	須 摩 壇 夫 人 經 曰 華 把 第 五 卷 
T54n2130_005:1017c04	提婆跋提夫人(譯曰提婆者天跋提者賢)　第九卷	提 婆 跋 提 夫 人 譯 曰 提 婆 者 天 跋 提 者 賢 第 九 卷 
T54n2130_005:1017c05	蘇摩夫人(譯曰月也)	蘇 摩 夫 人 譯 曰 月 也 
T54n2130_005:1017c06	弗已夫人(應云弗已理賊　譯曰華陀)	弗 已 夫 人 應 云 弗 已 理 賊 譯 曰 華 陀 
T54n2130_005:1017c07	惟檀夫人(應云育多陀檀那　譯曰相應施也)　太子五夢經	惟 檀 夫 人 應 云 育 多 陀 檀 那 譯 曰 相 應 施 也 太 子 五 夢 經 
T54n2130_005:1017c08	女人名第二十九	女 人 名 第 二 十 九 
T54n2130_005:1017c09	梨羅(譯曰妍雅)　大智論第三卷	梨 羅 譯 曰 妍 雅 大 智 論 第 三 卷 
T54n2130_005:1017c10	須曼那(譯曰好意)　第七卷	須 曼 那 譯 曰 好 意 第 七 卷 
T54n2130_005:1017c11	優鉢羅槃那(譯曰優鉢華黛色華槃那者林)	優 鉢 羅 槃 那 譯 曰 優 鉢 華 黛 色 華 槃 那 者 林 
T54n2130_005:1017c12	菴羅婆利(亦云菴烏甘反婆羅婆利亦云[桍ㄎ+口]羽烏甘婆利　譯者曰菴婆羅者樹名婆利者護)	菴 羅 婆 利 亦 云 菴 烏 甘 反 婆 羅 婆 利 亦 云 [桍ㄎ口] 羽 烏 甘 婆 利 譯 者 曰 菴 婆 羅 者 樹 名 婆 利 者 護 
T54n2130_005:1017c13	孫陀利女(亦云須陀利亦云酸陀利　譯曰好容貌也)　第九卷	孫 陀 利 女 亦 云 須 陀 利 亦 云 酸 陀 利 譯 曰 好 容 貌 也 第 九 卷 
T54n2130_005:1017c14	阿梵婆羅(應云阿梵婆羅　譯曰非淨護也)　第十七卷	阿 梵 婆 羅 應 云 阿 梵 婆 羅 譯 曰 非 淨 護 也 第 十 七 卷 
T54n2130_005:1017c15	扇陀(譯曰隨流)	扇 陀 譯 曰 隨 流 
T54n2130_005:1017c16	梵摩類弗(亦云梵摩尼弗尼羅　譯曰淨行女也)　第二十五卷	梵 摩 類 弗 亦 云 梵 摩 尼 弗 尼 羅 譯 曰 淨 行 女 也 第 二 十 五 卷 
T54n2130_005:1017c17	瞿毘耶(譯曰瞿者牛毘耶者女兒)　第三十三卷	瞿 毘 耶 譯 曰 瞿 者 牛 毘 耶 者 女 兒 第 三 十 三 卷 
T54n2130_005:1017c18	須羅婆女(譯曰須者好也羅婆者得)　第三十五卷	須 羅 婆 女 譯 曰 須 者 好 也 羅 婆 者 得 第 三 十 五 卷 
T54n2130_005:1017c19	恒提婆女(應云恒伽提婆　譯曰恒伽者天堂來提婆者天)　第七十五卷	恒 提 婆 女 應 云 恒 伽 提 婆 譯 曰 恒 伽 者 天 堂 來 提 婆 者 天 第 七 十 五 卷 
T54n2130_005:1017c20	跋陀羅童女(譯曰賢也)　華嚴經第三十八卷	跋 陀 羅 童 女 譯 曰 賢 也 華 嚴 經 第 三 十 八 卷 
T54n2130_005:1017c21	婆須密多女(譯曰婆須者寶密多者友)　第四十二卷	婆 須 密 多 女 譯 曰 婆 須 者 寶 密 多 者 友 第 四 十 二 卷 
T54n2130_005:1017c22	拘陀羅女(譯曰非好腹也)　大涅槃經卷第一	拘 陀 羅 女 譯 曰 非 好 腹 也 大 涅 槃 經 卷 第 一 
T54n2130_005:1017c23	藍婆女(譯曰垂也)	藍 婆 女 譯 曰 垂 也 
T54n2130_005:1017c24	欝婆尼女(譯曰大自在也)	欝 婆 尼 女 譯 曰 大 自 在 也 
T54n2130_005:1018a01	帝路沾女(譯曰摩勝)	帝 路 沾 女 譯 曰 摩 勝 
T54n2130_005:1018a02	毘舍佉女(譯者曰星名也)	毘 舍 佉 女 譯 者 曰 星 名 也 
T54n2130_005:1018a03	難陀(譯曰歡喜)	難 陀 譯 曰 歡 喜 
T54n2130_005:1018a04	難陀婆羅(譯曰歡喜力也)	難 陀 婆 羅 譯 曰 歡 喜 力 也 
T54n2130_005:1018a05	迦不多樹女(譯曰極完)　第三十卷	迦 不 多 樹 女 譯 曰 極 完 第 三 十 卷 
T54n2130_005:1018a06	槃頭波提(譯曰槃頭者親屬婆提者語也)　長阿含第一卷	槃 頭 波 提 譯 曰 槃 頭 者 親 屬 婆 提 者 語 也 長 阿 含 第 一 卷 
T54n2130_005:1018a07	摩楗提(譯曰員道)　僧祇律第三卷	摩 楗 提 譯 曰 員 道 僧 祇 律 第 三 卷 
T54n2130_005:1018a08	阿[少/兔]婆磨(譯曰無以為喻)	阿 [少兔] 婆 磨 譯 曰 無 以 為 喻 
T54n2130_005:1018a09	頻頭摩邏(譯曰渧垢)	頻 頭 摩 邏 譯 曰 渧 垢 
T54n2130_005:1018a10	尸婆離(應云陀婆羅　譯曰薀藻)　第三十一卷	尸 婆 離 應 云 陀 婆 羅 譯 曰 薀 藻 第 三 十 一 卷 
T54n2130_005:1018a11	拘利女(譯曰織也)	拘 利 女 譯 曰 織 也 
T54n2130_005:1018a12	魔羅女(譯曰華鬘)	魔 羅 女 譯 曰 華 鬘 
T54n2130_005:1018a13	利車女(應云彌利車　譯曰樂（五教反）垢)	利 車 女 應 云 彌 利 車 譯 曰 樂 五 教 反 垢 
T54n2130_005:1018a14	齊憂婆私(應云齊耶優婆私　譯曰齊耶者勝優婆私者清信女也)	齊 憂 婆 私 應 云 齊 耶 優 婆 私 譯 曰 齊 耶 者 勝 優 婆 私 者 清 信 女 也 
T54n2130_005:1018a15	　四分律第五卷	 四 分 律 第 五 卷 
T54n2130_005:1018a16	坻舍難陀(譯曰坻舍者光亦云大也難陀者喜也)　第二第一卷	坻 舍 難 陀 譯 曰 坻 舍 者 光 亦 云 大 也 難 陀 者 喜 也 第 二 第 一 卷 
T54n2130_005:1018a17	欝婆羅羅(譯曰欝者大也婆羅者力)　第九卷	欝 婆 羅 羅 譯 曰 欝 者 大 也 婆 羅 者 力 第 九 卷 
T54n2130_005:1018a18	婆羅跋提(應云婆羅跋也羅　譯曰勝賢)　第三第四卷	婆 羅 跋 提 應 云 婆 羅 跋 也 羅 譯 曰 勝 賢 第 三 第 四 卷 
T54n2130_005:1018a19	婆羅淫女(譯曰勝也)　第四第七卷	婆 羅 淫 女 譯 曰 勝 也 第 四 第 七 卷 
T54n2130_005:1018a20	黑離車女(應云離車毘　譯曰細滑波也)　彌沙塞律第十五卷	黑 離 車 女 應 云 離 車 毘 譯 曰 細 滑 波 也 彌 沙 塞 律 第 十 五 卷 
T54n2130_005:1018a21	拔提(應云跋提利　譯曰賢女)　第十九卷	拔 提 應 云 跋 提 利 譯 曰 賢 女 第 十 九 卷 
T54n2130_005:1018a22	須聞陀女人(譯曰好生)	須 聞 陀 女 人 譯 曰 好 生 
T54n2130_005:1018a23	摩利尼女人(譯曰有華鬘也)　第三十卷	摩 利 尼 女 人 譯 曰 有 華 鬘 也 第 三 十 卷 
T54n2130_005:1018a24	半迦尸女(譯者曰口迦尸者國名也)　第三十三卷	半 迦 尸 女 譯 者 曰 口 迦 尸 者 國 名 也 第 三 十 三 卷 
T54n2130_005:1018b01	摩[利禾+登]伽女(譯曰下姓)　阿毘曇毘婆沙第十一卷	摩 [利禾登] 伽 女 譯 曰 下 姓 阿 毘 曇 毘 婆 沙 第 十 一 卷 
T54n2130_005:1018b02	瞿毘迦釋女(譯曰地至)　第十七卷	瞿 毘 迦 釋 女 譯 曰 地 至 第 十 七 卷 
T54n2130_005:1018b03	栴遮女孫陀利(譯曰動可愛也)　第二十五卷	栴 遮 女 孫 陀 利 譯 曰 動 可 愛 也 第 二 十 五 卷 
T54n2130_005:1018b04	婆肆吒(譯曰最勝)　第四十六卷	婆 肆 吒 譯 曰 最 勝 第 四 十 六 卷 
T54n2130_005:1018b05	摩訶先尼(譯曰大軍女也)	摩 訶 先 尼 譯 曰 大 軍 女 也 
T54n2130_005:1018b06	彌伽羅女(譯曰金帶)　第五十卷	彌 伽 羅 女 譯 曰 金 帶 第 五 十 卷 
T54n2130_005:1018b07	波翅多女(譯曰計數)	波 翅 多 女 譯 曰 計 數 
T54n2130_005:1018b08	波梨女(應云波利　譯曰護亦云守)　第五十四卷	波 梨 女 應 云 波 利 譯 曰 護 亦 云 守 第 五 十 四 卷 
T54n2130_005:1018b09	栴陀利(亦云遮陀利　譯曰下姓女也)　出曜經第七卷	栴 陀 利 亦 云 遮 陀 利 譯 曰 下 姓 女 也 出 曜 經 第 七 卷 
T54n2130_005:1018b10	摩那祗(譯曰慢行女也)	摩 那 祗 譯 曰 慢 行 女 也 
T54n2130_005:1018b11	波闍羅女(應云跋闍羅　經曰金剛)　賢愚經第二卷	波 闍 羅 女 應 云 跋 闍 羅 經 曰 金 剛 賢 愚 經 第 二 卷 
T54n2130_005:1018b12	叔離女(應云首陀　經曰白也)	叔 離 女 應 云 首 陀 經 曰 白 也 
T54n2130_005:1018b13	檀膩伽女(應云陀膩伽　譯曰物也)	檀 膩 伽 女 應 云 陀 膩 伽 譯 曰 物 也 
T54n2130_005:1018b14	陀膩[革*辛]女(譯曰有物)	陀 膩 [革辛] 女 譯 曰 有 物 
T54n2130_005:1018b15	毘梨女(應云毘利耶　譯曰精進)　第七卷	毘 梨 女 應 云 毘 利 耶 譯 曰 精 進 第 七 卷 
T54n2130_005:1018b16	差摩女(經曰安隱)	差 摩 女 經 曰 安 隱 
T54n2130_005:1018b17	牟尼女(譯曰葉滿也)　第十一卷	牟 尼 女 譯 曰 葉 滿 也 第 十 一 卷 
T54n2130_005:1018b18	蘇曼女(譯曰可愛)　第十三卷	蘇 曼 女 譯 曰 可 愛 第 十 三 卷 
T54n2130_005:1018b19	毘摩羅達女(亦云惟摩達　譯曰無垢與無)	毘 摩 羅 達 女 亦 云 惟 摩 達 譯 曰 無 垢 與 無 
T54n2130_005:1018b20	　十住斷結經第四卷	 十 住 斷 結 經 第 四 卷 
T54n2130_005:1018b21	彌迦女人(譯曰雲也)　觀佛三昧經第二卷	彌 迦 女 人 譯 曰 雲 也 觀 佛 三 昧 經 第 二 卷 
T54n2130_005:1018b22	毘低羅(譯曰無油)　第六卷	毘 低 羅 譯 曰 無 油 第 六 卷 
T54n2130_005:1018b23	栴遮摩那耆女(應云栴遮摩那毘歌　譯曰動淨行女)	栴 遮 摩 那 耆 女 應 云 栴 遮 摩 那 毘 歌 譯 曰 動 淨 行 女 
T54n2130_005:1018b24	　菩薩處胎經第五卷	 菩 薩 處 胎 經 第 五 卷 
T54n2130_005:1018c01	酸陀難提(應云彌陀羅難提　譯曰可愛歡喜)	酸 陀 難 提 應 云 彌 陀 羅 難 提 譯 曰 可 愛 歡 喜 
T54n2130_005:1018c02	舊犁尼(應云舊利尼　譯曰重女)	舊 犁 尼 應 云 舊 利 尼 譯 曰 重 女 
T54n2130_005:1018c03	提婆跋提(譯曰天喜)　十善十惡經	提 婆 跋 提 譯 曰 天 喜 十 善 十 惡 經 
T54n2130_005:1018c04	須羅陀女(經曰鮮潔譯曰善得)	須 羅 陀 女 經 曰 鮮 潔 譯 曰 善 得 
T54n2130_005:1018c05	梵摩婆提女(譯曰淨論)　彌勒成佛經	梵 摩 婆 提 女 譯 曰 淨 論 彌 勒 成 佛 經 
T54n2130_005:1018c06	舍彌婆帝寶女(譯曰舍彌者寂婆者長)	舍 彌 婆 帝 寶 女 譯 曰 舍 彌 者 寂 婆 者 長 
T54n2130_005:1018c07	三摩竭女(應云三摩竭多　譯曰相會)　三摩竭經	三 摩 竭 女 應 云 三 摩 竭 多 譯 曰 相 會 三 摩 竭 經 
T54n2130_005:1018c08	瞿曇夷(經曰月女譯曰姓女)　太子五夢經	瞿 曇 夷 經 曰 月 女 譯 曰 姓 女 太 子 五 夢 經 
T54n2130_005:1018c09	優披洹女(應云優婆槃那　譯曰近林)　般舟三昧經	優 披 洹 女 應 云 優 婆 槃 那 譯 曰 近 林 般舟三昧 經 
T54n2130_005:1018c10	栴陀(應云栴陀羅　譯曰月也)　佛說大意經	栴 陀 應 云 栴 陀 羅 譯 曰 月 也 佛 說 大 意 經 
T54n2130_005:1018c11	曼坻(譯曰智也)　須太拏經	曼 坻 譯 曰 智 也 須 太 拏 經 
T54n2130_005:1018c12	罽拏延(譯曰黑也)	罽 拏 延 譯 曰 黑 也 
T54n2130_005:1018c13	摩伽羅母(譯曰覓道)　成實論第二卷	摩 伽 羅 母 譯 曰 覓 道 成 實 論 第 二 卷 
T54n2130_005:1018c14	翻梵語卷第五	翻 梵 語 卷 第 五 
T54n2130_006:1018c22	翻梵語卷第六	翻 梵 語 卷 第 六 
T54n2130_006:1018c24	雜人名第三十	雜 人 名 第 三 十 
T54n2130_006:1018c25	雜姓名第三十一	雜 姓 名 第 三 十 一 
T54n2130_006:1018c26	雜人名第三十	雜 人 名 第 三 十 
T54n2130_006:1019a01	優尸那(應云漚舍那　譯曰大明星也)　大智論第四卷	優 尸 那 應 云 漚 舍 那 譯 曰 大 明 星 也 大 智 論 第 四 卷 
T54n2130_006:1019a02	劬嬪(應云劬嬪陀　譯曰劬者牛亦云天亦云地嬪陀者智)	劬 嬪 應 云 劬 嬪 陀 譯 曰 劬 者 牛 亦 云 天 亦 云 地 嬪 陀 者 智 
T54n2130_006:1019a03	薩陀婆(應云薩陀羅婆　譯曰濕也)	薩 陀 婆 應 云 薩 陀 羅 婆 譯 曰 濕 也 
T54n2130_006:1019a04	須達那(應云須陀那　譯曰須者好陀那者物亦云寶也)　第五卷	須 達 那 應 云 須 陀 那 譯 曰 須 者 好 陀 那 者 物 亦 云 寶 也 第 五 卷 
T54n2130_006:1019a05	羅陀(譯曰醒也)　第六卷	羅 陀 譯 曰 醒 也 第 六 卷 
T54n2130_006:1019a06	目伽略子度(應云物伽羅[木*他]反　譯曰目伽羅者杵也)　第十卷	目 伽 略 子 度 應 云 物 伽 羅 [木他] 反 譯 曰 目 伽 羅 者 杵 也 第 十 卷 
T54n2130_006:1019a07	呵多(譯曰破亦云害亦云不勝)　第十一卷	呵 多 譯 曰 破 亦 云 害 亦 云 不 勝 第 十 一 卷 
T54n2130_006:1019a08	拘牟頭(譯曰白花)　第十四卷	拘 牟 頭 譯 曰 白 花 第 十 四 卷 
T54n2130_006:1019a09	怵波伽(應云頭波伽　譯曰頭者惡婆伽者功德)	怵 波 伽 應 云 頭 波 伽 譯 曰 頭 者 惡 婆 伽 者 功 德 
T54n2130_006:1019a10	劬毘耶(譯曰智解亦云聰明)　第十七卷	劬 毘 耶 譯 曰 智 解 亦 云 聰 明 第 十 七 卷 
T54n2130_006:1019a11	婁陀輸(應云憂陀捨　譯曰大望)　第二十卷	婁 陀 輸 應 云 憂 陀 捨 譯 曰 大 望 第 二 十 卷 
T54n2130_006:1019a12	摩訶三磨陀(譯曰大遍)　第二十一卷	摩 訶 三 磨 陀 譯 曰 大 遍 第 二 十 一 卷 
T54n2130_006:1019a13	欝多羅越人(亦云欝多亦云欝多羅　譯曰欝多羅者此亦云勝)	欝 多 羅 越 人 亦 云 欝 多 亦 云 欝 多 羅 譯 曰 欝 多 羅 者 此 亦 云 勝 
T54n2130_006:1019a14	　第二十四卷	 第 二 十 四 卷 
T54n2130_006:1019a15	首羅(譯曰勇也)	首 羅 譯 曰 勇 也 
T54n2130_006:1019a16	婆離(亦云婆利　譯曰有力)	婆 離 亦 云 婆 利 譯 曰 有 力 
T54n2130_006:1019a17	梵摩類弗(應云梵摩尼佛多羅　譯曰淨行)　第二十五卷	梵 摩 類 弗 應 云 梵 摩 尼 佛 多 羅 譯 曰 淨 行 第 二 十 五 卷 
T54n2130_006:1019a18	鳩羅檀陀(譯曰鳩羅者親亦是姓檀陀者罰亦云強)	鳩 羅 檀 陀 譯 曰 鳩 羅 者 親 亦 是 姓 檀 陀 者 罰 亦 云 強 
T54n2130_006:1019a19	尼陀佛度(譯曰不解)　第二十六卷	尼 陀 佛 度 譯 曰 不 解 第 二 十 六 卷 
T54n2130_006:1019a20	頂有周羅(譯曰周羅者髻也)　第三十一卷	頂 有 周 羅 譯 曰 周 羅 者 髻 也 第 三 十 一 卷 
T54n2130_006:1019a21	伽彌(應云阿伽彌　輪論曰來也)　第三十二卷	伽 彌 應 云 阿 伽 彌 輪 論 曰 來 也 第 三 十 二 卷 
T54n2130_006:1019a22	阿那伽那(應云阿那伽哆　論曰阿那名不伽那名來)	阿 那 伽 那 應 云 阿 那 伽 哆 論 曰 阿 那 名 不 伽 那 名 來 
T54n2130_006:1019a23	尸婆(應云尸婆迦　譯曰安穩亦云樂)　第三十三卷	尸 婆 應 云 尸 婆 迦 譯 曰 安 穩 亦 云 樂 第 三 十 三 卷 
T54n2130_006:1019a24	平伽陀(應云脩伽哆　譯曰善逝)	平 伽 陀 應 云 脩 伽 哆 譯 曰 善 逝 
T54n2130_006:1019b01	迦郗那(譯曰功德衣亦云強)　第三十五卷	迦 郗 那 譯 曰 功 德 衣 亦 云 強 第 三 十 五 卷 
T54n2130_006:1019b02	難陀婆羅(譯曰歡喜力也)　第三十八卷	難 陀 婆 羅 譯 曰 歡 喜 力 也 第 三 十 八 卷 
T54n2130_006:1019b03	珊若婆(譯曰有想)　第四十卷	珊 若 婆 譯 曰 有 想 第 四 十 卷 
T54n2130_006:1019b04	鞞舍(譯者曰星名也)　第七十五卷	鞞 舍 譯 者 曰 星 名 也 第 七 十 五 卷 
