T32n1660_001:0517b10	菩提資糧論卷第一	菩提資糧論 卷 第 一 
T32n1660_004:0530a10	是具足善巧方便菩薩。令諸眾生發菩提心。	是 具 足 善巧方便 菩 薩 令 諸 眾 生 發菩提心 
T32n1660_004:0530a11	彼所有福無人能量。以無量故。又令諸眾生	彼 所 有 福 無 人 能 量 以 無 量 故 又 令 諸 眾 生 
T32n1660_004:0530a12	發菩提心故。福藏更為增勝。言福藏者。福無	發菩提心 故 福 藏 更 為 增 勝 言 福 藏 者 福 無 
T32n1660_004:0530a13	盡故。以能至無盡故不可盡。不動地者。以不	盡 故 以 能 至 無 盡 故 不 可 盡 不 動 地 者 以 不 
T32n1660_004:0530a14	可動故名不動地。此中菩薩令他發菩提心	可 動 故 名 不 動 地 此 中 菩 薩 令 他 發菩提心 
T32n1660_004:0530a15	故。於生生中。菩提心不動不失。以令他發菩	故 於 生 生 中 菩 提 心 不 動 不 失 以 令 他 發 菩 
T32n1660_004:0530a16	提心故。此心即為不動地因。	提 心 故 此 心 即 為 不 動 地 因 
T32n1660_004:0530a17	　隨轉佛所轉　　最勝之法輪	 隨 轉 佛 所 轉 最 勝 之 法 輪 
T32n1660_004:0530a18	　寂滅諸惡刺　　是菩薩福藏	 寂 滅 諸 惡 刺 是 菩 薩 福 藏 
T32n1660_004:0530a19	如佛世尊。於婆囉奈城仙人住處鹿林中。轉	如 佛 世 尊 於 婆 囉 奈 城 仙 人 住 處 鹿 林 中 轉 
T32n1660_004:0530a20	法輪已。於彼最勝法輪隨順而轉。亦為福藏。	法 輪 已 於 彼 最 勝 法 輪 隨順而轉 亦 為 福 藏 
T32n1660_004:0530a21	此隨順轉有三種因緣。謂於如來所說深經。	此 隨 順 轉 有 三 種 因 緣 謂 於 如 來 所 說 深 經 
T32n1660_004:0530a22	與空相應出於世間。若持若說及順法行	與 空 相 應 出 於 世 間 若 持 若 說 及 順 法 行 
T32n1660_004:0530a23	法。若於如是等經。持令不失。是為第一隨	法 若 於 如 是 等 經 持 令 不 失 是 為 第 一 隨 
T32n1660_004:0530a24	順轉法輪。為有根器眾生。分別演說。是為第	順 轉 法 輪 為 有 根 器 眾 生 分 別 演 說 是 為 第 
T32n1660_004:0530a25	二隨順轉法輪。如彼經中所說。依法修行。	二 隨 順 轉 法 輪 如 彼 經 中 所 說 依 法 修 行 
T32n1660_004:0530a26	是為第三隨順轉法輪。寂滅諸惡刺者。佛教	是 為 第 三 隨 順 轉 法 輪 寂 滅 諸 惡 刺 者 佛 教 
T32n1660_004:0530a27	惡刺所謂外道邪見。及以惡魔欲界自在。憎	惡 刺 所 謂 外道邪見 及 以 惡 魔 欲 界 自 在 憎 
T32n1660_004:0530a28	惡解脫。若四眾中或有異人。非法說法。非律	惡 解 脫 若 四 眾 中 或 有 異 人 非 法 說 法 非 律 
T32n1660_004:0530a29	說律。非師教說師教。是為佛教內惡刺。應當	說 律 非 師 教 說 師 教 是 為 佛 教 內 惡 刺 應 當 
T32n1660_004:0530b01	如法折伏彼等。摧慢破見令法熾然。此名寂	如 法 折 伏 彼 等 摧 慢 破 見 令 法 熾 然 此 名 寂 
T32n1660_004:0530b02	滅諸惡刺。以寂滅惡刺。故名為菩薩福藏。	滅 諸 惡 刺 以 寂 滅 惡 刺 故 名 為 菩 薩 福 藏 
T32n1660_004:0530b03	　為利樂眾生　　忍地獄大苦	 為 利 樂 眾 生 忍 地 獄 大 苦 
T32n1660_004:0530b04	　何況餘小苦　　菩提在右手	 何 況 餘 小 苦 菩 提 在 右 手 
T32n1660_004:0530b05	若菩薩著牢固鎧。常為利樂眾生。發精勤意。	若 菩 薩 著 牢 固 鎧 常 為 利 樂 眾 生 發 精 勤 意 
T32n1660_004:0530b06	於一眾生為令解脫故。雖住阿毘至大地獄	於 一 眾 生 為 令 解 脫 故 雖 住 阿 毘 至 大 地 獄 
T32n1660_004:0530b07	中。經劫辛苦堪忍不動。況餘小苦。菩薩能忍	中 經 劫 辛 苦 堪 忍 不 動 況 餘 小 苦 菩 薩 能 忍 
T32n1660_004:0530b08	如是等苦。當知菩提如住右掌。	如 是 等 苦 當 知 菩 提 如 住 右 掌 
T32n1660_004:0530b09	　起作不自為　　唯利樂眾生	 起 作 不 自 為 唯 利 樂 眾 生 
T32n1660_004:0530b10	　皆由大悲故　　菩提在右手	 皆 由 大 悲 故 菩 提 在 右 手 
T32n1660_004:0530b11	菩薩諸所起作。若布施等。由大悲故。唯為利	菩 薩 諸 所 起 作 若 布 施 等 由 大 悲 故 唯 為 利 
T32n1660_004:0530b12	樂眾生。亦為令眾生得涅槃故。終不為身微	樂 眾 生 亦 為 令 眾 生 得 涅 槃 故 終 不 為 身 微 
T32n1660_004:0530b13	少樂事。彼亦是大悲者。如是大人。當知菩提	少 樂 事 彼 亦 是 大 悲 者 如 是 大 人 當 知 菩 提 
T32n1660_004:0530b14	到其右手。	到 其 右 手 
T32n1660_004:0530b15	　智慧離戲論　　精進離懈怠	 智 慧 離 戲 論 精 進 離 懈 怠 
T32n1660_004:0530b16	　捨施離慳惜　　菩提在右手	 捨 施 離 慳 惜 菩 提 在 右 手 
T32n1660_004:0530b17	問前已解釋陀那等諸波羅蜜。今復解釋有	問 前 已 解 釋 陀 那 等 諸波羅蜜 今 復 解 釋 有 
T32n1660_004:0530b18	何所為。	何 所 為 
T32n1660_004:0530b19	答前多為修行者解釋。今為無所得忍智光	答 前 多 為 修 行 者 解 釋 今 為 無 所 得 忍 智 光 
T32n1660_004:0530b20	者解釋。以覺知一道相故。彼智遠離戲論。以	者 解 釋 以 覺 知 一 道 相 故 彼 智 遠 離 戲 論 以 
T32n1660_004:0530b21	不捨軛故。彼精進遠離懈怠。以除貪故。彼施	不 捨 軛 故 彼 精 進 遠 離 懈 怠 以 除 貪 故 彼 施 
T32n1660_004:0530b22	遠離慳惜。如是菩薩。當知菩提到其右手。	遠 離 慳 惜 如 是 菩 薩 當 知 菩 提 到 其 右 手 
T32n1660_004:0530b23	　無依無覺定　　圓滿無雜戒	 無 依 無 覺 定 圓 滿 無 雜 戒 
T32n1660_004:0530b24	　無所從生忍　　菩提在右手	 無 所 從 生 忍 菩 提 在 右 手 
T32n1660_004:0530b25	若菩薩善成就禪那波羅蜜已。此定不依三	若 菩 薩 善 成 就 禪 那 波 羅 蜜 已 此 定 不 依 三 
T32n1660_004:0530b26	界。其相寂靜無有思覺。又圓滿尸羅無雜無	界 其 相 寂 靜 無 有 思 覺 又 圓 滿 尸 羅 無 雜 無 
T32n1660_004:0530b27	濁。迴向菩提無有磨滅。又善成就般若波羅	濁 迴向菩提 無 有 磨 滅 又 善 成 就 般 若 波 羅 
T32n1660_004:0530b28	蜜已。緣生法中住無生忍。根本勝故無有退	蜜 已 緣 生 法 中 住 無 生 忍 根 本 勝 故 無 有 退 
T32n1660_004:0530b29	轉。當知菩提住其右掌。	轉 當 知 菩 提 住 其 右 掌 
T32n1660_004:0530c01	問已說修行及得忍菩薩積聚諸福田。此福	問 已 說 修 行 及 得 忍 菩 薩 積 聚 諸 福 田 此 福 
T32n1660_004:0530c02	聚能得菩提。云何初發心菩薩。積聚諸福	聚 能 得 菩 提 云 何 初 發 心 菩 薩 積 聚 諸 福 
T32n1660_004:0530c03	田。此福聚能得菩提。答。	田 此 福 聚 能 得 菩 提 答 
T32n1660_004:0530c04	　現在十方住　　所有諸正覺	 現 在 十 方 住 所 有 諸 正 覺 
T32n1660_004:0530c05	　我悉在彼前　　陳說我不善	 我 悉 在 彼 前 陳 說 我 不 善 
T32n1660_004:0530c06	若有現在諸佛世尊。於十方世間無所障礙。	若 有 現在諸佛 世 尊 於 十 方 世 間 無所障礙 
T32n1660_004:0530c07	以本願力為利眾生故住。今於彼等實證者	以 本 願 力 為 利 眾 生 故 住 今 於 彼 等 實 證 者 
T32n1660_004:0530c08	前。發露諸罪。若我無始流轉已來。於其前世	前 發 露 諸 罪 若 我 無 始 流 轉 已 來 於 其 前 世 
T32n1660_004:0530c09	及現在時。或自作惡業。或教他或隨喜。以貪	及 現 在 時 或 自 作 惡 業 或 教 他 或 隨 喜 以 貪 
T32n1660_004:0530c10	瞋癡起身口意。我皆陳說不敢覆藏。悉當永	瞋 癡 起 身 口 意 我 皆 陳 說 不 敢 覆 藏 悉 當 永 
T32n1660_004:0530c11	斷終不更作。	斷 終 不 更 作 
T32n1660_004:0530c12	　於彼十方界　　若佛得菩提	 於 彼 十 方 界 若 佛 得 菩 提 
T32n1660_004:0530c13	　而不演說法　　我請轉法輪	 而 不 演 說 法 我 請 轉 法 輪 
T32n1660_004:0530c14	若佛世尊滿足大願。於菩提樹下。證無上正	若 佛 世 尊 滿 足 大 願 於 菩提樹下 證 無 上 正 
T32n1660_004:0530c15	覺已。少欲靜住。不為世間轉於法輪。我當	覺 已 少 欲 靜 住 不 為 世 間 轉於法輪 我 當 
T32n1660_004:0530c16	勸請彼佛世尊轉佛法輪。利益多人安樂多	勸 請 彼 佛 世 尊 轉 佛 法 輪 利 益 多 人 安 樂 多 
T32n1660_004:0530c17	人。憐愍世間為於大眾。利樂天人。	人 憐愍世間 為 於 大 眾 利 樂 天 人 
T32n1660_004:0530c18	　現在十方界　　所有諸正覺	 現 在 十 方 界 所 有 諸 正 覺 
T32n1660_004:0530c19	　若欲捨命行　　頂禮勸請住	 若 欲 捨 命 行 頂 禮 勸 請 住 
T32n1660_004:0530c20	若佛世尊世間無礙。在於十方證菩提轉法	若 佛 世 尊 世 間 無 礙 在 於 十 方 證 菩 提 轉 法 
T32n1660_004:0530c21	輪安住正法。所應化度眾生化度已訖。欲捨	輪 安 住 正 法 所 應 化 度 眾 生 化 度 已 訖 欲 捨 
T32n1660_004:0530c22	命行。我當頂禮彼佛世尊請住久時。利益多	命 行 我 當 頂 禮 彼 佛 世 尊 請 住 久 時 利 益 多 
T32n1660_004:0530c23	人安樂多人。憐愍世間為於大眾。利樂天人。	人 安 樂 多 人 憐愍世間 為 於 大 眾 利 樂 天 人 
T32n1660_004:0530c24	　若諸眾生等　　從於身口意	 若 諸 眾 生 等 從 於 身 口 意 
T32n1660_004:0530c25	　所生施戒福　　及以思惟修	 所 生 施 戒 福 及 以 思 惟 修 
T32n1660_004:0530c26	　聖人及凡夫　　過現未來世	 聖 人 及 凡 夫 過 現 未 來 世 
T32n1660_004:0530c27	　所有積聚福　　我皆生隨喜	 所 有 積 聚 福 我 皆 生 隨 喜 
T32n1660_004:0530c28	若諸眾生施戒修等所作福事。從身口意之	若 諸 眾 生 施 戒 修 等 所 作 福 事 從 身 口 意 之 
T32n1660_004:0530c29	所出生。已聚現聚及以當聚。聲聞獨覺諸佛	所 出 生 已 聚 現 聚 及 以 當 聚 聲聞獨覺 諸 佛 
T32n1660_004:0531a01	菩薩諸聖人等。及以凡夫所有諸福。我皆隨	菩 薩 諸 聖 人 等 及 以 凡 夫 所 有 諸 福 我 皆 隨 
T32n1660_004:0531a02	喜。如是隨喜。是先首者。勝住者。殊異者。	喜 如 是 隨 喜 是 先 首 者 勝 住 者 殊 異 者 
T32n1660_004:0531a03	最上者。勝攝者。美妙者。無上者。無等者。無	最 上 者 勝 攝 者 美 妙 者 無 上 者 無 等 者 無 
T32n1660_004:0531a04	等等者。如是隨喜乃名隨喜。	等 等 者 如 是 隨 喜 乃 名 隨 喜 
T32n1660_004:0531a05	　若我所有福　　悉以為一摶	 若 我 所 有 福 悉 以 為 一 摶 
T32n1660_004:0531a06	　迴與諸眾生　　為令得正覺	 迴 與 諸 眾 生 為 令 得 正 覺 
T32n1660_004:0531a07	若我無始流轉已來。於佛法僧及別人邊。所	若 我 無 始 流 轉 已 來 於 佛 法 僧 及 別 人 邊 所 
T32n1660_004:0531a08	有福聚。乃至施與畜生一摶之食。若歸依善	有 福 聚 乃 至 施 與 畜 生 一 摶 之 食 若 歸 依 善 
T32n1660_004:0531a09	根。若悔過善根。若勸請善根。若隨喜善根。彼	根 若 悔 過 善 根 若 勸 請 善 根 若 隨 喜 善 根 彼 
T32n1660_004:0531a10	皆稱量共為一摶。我為諸眾生故。迴向菩提	皆 稱 量 共 為 一 摶 我 為 諸 眾 生 故 迴向菩提 
T32n1660_004:0531a11	皆悉捨與。以此善根。令諸眾生證無上正覺。	皆 悉 捨 與 以 此 善 根 令 諸 眾 生 證 無上正覺 
T32n1660_004:0531a12	得一切智智。	得 一切智智 
T32n1660_004:0531a13	　我如是悔過　　勸請隨喜福	 我 如 是 悔 過 勸 請 隨 喜 福 
T32n1660_004:0531a14	　及迴向菩提　　當知如諸佛	 及 迴向菩提 當 知 如 諸 佛 
T32n1660_004:0531a15	若我為諸眾生迴向菩提善根。若悔過善根。	若 我 為 諸 眾 生 迴向菩提 善 根 若 悔 過 善 根 
T32n1660_004:0531a16	若勸轉法輪善根。若請長壽善根。若隨喜善	若 勸 轉 法 輪 善 根 若 請 長 壽 善 根 若 隨 喜 善 
T32n1660_004:0531a17	根。彼皆稱量為一摶已。如過去未來現在諸	根 彼 皆 稱 量 為 一 摶 已 如 過去未來現在 諸 
T32n1660_004:0531a18	佛世尊為菩薩時。已作迴向當作迴向。我亦	佛 世 尊 為 菩 薩 時 已 作 迴 向 當 作 迴 向 我 亦 
T32n1660_004:0531a19	如是以諸善根迴向菩提。以此迴向善根。令	如 是 以 諸 善 根 迴向菩提 以 此 迴 向 善 根 令 
T32n1660_004:0531a20	我及諸眾生當證無上正覺。我今更略說。	我 及 諸 眾 生 當 證 無上正覺 我 今 更 略 說 
T32n1660_004:0531a21	　說悔我罪惡　　請佛隨喜福	 說 悔 我 罪 惡 請 佛 隨 喜 福 
T32n1660_004:0531a22	　及迴向菩提　　如最勝所說	 及 迴向菩提 如 最 勝 所 說 
T32n1660_004:0531a23	自有罪惡盡皆說悔。及請佛轉法輪。住壽長	自 有 罪 惡 盡 皆 說 悔 及 請 佛 轉 法 輪 住 壽 長 
T32n1660_004:0531a24	時隨喜諸福。迴向福等。如前迴向為菩提故。	時 隨 喜 諸 福 迴 向 福 等 如 前 迴 向 為 菩 提 故 
T32n1660_004:0531a25	如最勝人所說。如是迴向問又彼迴向。應云	如 最 勝 人 所 說 如 是 迴 向 問 又 彼 迴 向 應 云 
T32n1660_004:0531a26	何作。答。	何 作 答 
T32n1660_004:0531a27	　右膝輪著地　　一髆整上衣	 右 膝 輪 著 地 一 髆 整 上 衣 
T32n1660_004:0531a28	　晝夜各三時　　合掌如是作	 晝 夜 各 三 時 合 掌 如 是 作 
T32n1660_004:0531a29	當自清淨著淨潔服。澡洗手足裙衣圓整。於	當 自 清 淨 著 淨 潔 服 澡 洗 手 足 裙 衣 圓 整 於 
T32n1660_004:0531b01	一髆上整理上著衣已。用右膝輪安置於地。	一 髆 上 整 理 上 著 衣 已 用 右 膝 輪 安 置 於 地 
T32n1660_004:0531b02	合掌一心離分別意。若如來塔所若像所。若	合 掌 一 心 離 分 別 意 若 如 來 塔 所 若 像 所 若 
T32n1660_004:0531b03	於虛空攀緣諸佛如在前住。作是意已。如前	於 虛 空 攀 緣 諸 佛 如 在 前 住 作 是 意 已 如 前 
T32n1660_004:0531b04	所說。若晝若夜各三時作。	所 說 若 晝 若 夜 各 三 時 作 
T32n1660_004:0531b05	　一時所作福　　若有形色者	 一 時 所 作 福 若 有 形 色 者 
T32n1660_004:0531b06	　恒沙數大千　　亦不能容受	 恒 沙 數 大 千 亦 不 能 容 受 
T32n1660_004:0531b07	於彼所說六時迴向中。若分別一時所作於	於 彼 所 說 六 時 迴 向 中 若 分 別 一 時 所 作 於 
T32n1660_004:0531b08	中福德。諸佛世尊如實見者所說。彼若有色	中 福 德 諸佛世尊 如 實 見 者 所 說 彼 若 有 色 
T32n1660_004:0531b09	如穀等聚者。其福積集無有限量。雖如恒伽	如 穀 等 聚 者 其 福 積 集 無 有 限 量 雖 如 恒 伽 
T32n1660_004:0531b10	沙等大三千界盡其邊際。亦不能容受。以彼	沙 等 大 三 千 界 盡 其 邊 際 亦 不 能 容 受 以 彼 
T32n1660_004:0531b11	迴向福與虛空界等迴向故。乃至一時迴向。	迴 向 福 與 虛 空 界 等 迴 向 故 乃 至 一 時 迴 向 
T32n1660_004:0531b12	猶有如是福聚。況多迴向。雖是初發心菩薩	猶 有 如 是 福 聚 況 多 迴 向 雖 是 初 發 心 菩 薩 
T32n1660_004:0531b13	由迴向力故亦成大福。還以如是相福聚故。	由 迴 向 力 故 亦 成 大 福 還 以 如 是 相 福 聚 故 
T32n1660_004:0531b14	漸次能得菩提。	漸 次 能 得 菩 提 
T32n1660_004:0531b15	問已說諸菩薩得成大福方便。今欲護福用。	問 已 說 諸 菩 薩 得 成 大 福 方 便 今 欲 護 福 用 
T32n1660_004:0531b16	何方便。答。	何 方 便 答 
T32n1660_004:0531b17	　彼初發心已　　於諸小菩薩	 彼 初 發 心 已 於 諸 小 菩 薩 
T32n1660_004:0531b18	　當起尊重愛　　猶如師父母	 當 起 尊 重 愛 猶 如 師 父 母 
T32n1660_004:0531b19	彼初發心菩薩。若欲護自善根及自身者。於	彼 初 發 心 菩 薩 若 欲 護 自 善 根 及 自 身 者 於 
T32n1660_004:0531b20	諸初發心菩薩。當起至極尊重愛敬之心。猶	諸 初 發 心 菩 薩 當 起 至 極 尊 重 愛 敬 之 心 猶 
T32n1660_004:0531b21	如世尊一切智師及自所生父母。如是以初	如 世 尊 一 切 智 師 及 自 所 生 父 母 如 是 以 初 
T32n1660_004:0531b22	發心菩薩為首。於諸菩薩亦應如是極作愛	發 心 菩 薩 為 首 於 諸 菩 薩 亦 應 如 是 極 作 愛 
T32n1660_004:0531b23	重。若異於此則自身及善根皆悉滅盡。如世	重 若 異 於 此 則 自 身 及 善 根 皆 悉 滅 盡 如 世 
T32n1660_004:0531b24	尊經中曾說我不見餘一法障礙菩薩及滅盡	尊 經 中 曾 說 我 不 見 餘 一 法 障 礙 菩 薩 及 滅 盡 
T32n1660_004:0531b25	善根。如於菩薩起瞋心者。若菩薩雖於百劫	善 根 如 於 菩 薩 起 瞋 心 者 若 菩 薩 雖 於 百 劫 
T32n1660_004:0531b26	積集善根。由此瞋菩薩心故。皆悉滅盡。是故	積 集 善 根 由 此 瞋 菩 薩 心 故 皆 悉 滅 盡 是 故 
T32n1660_004:0531b27	於諸菩薩應起尊重。猶如教師。	於 諸 菩 薩 應 起 尊 重 猶 如 教 師 
T32n1660_004:0531b28	　菩薩雖有過　　猶尚不應說	 菩 薩 雖 有 過 猶 尚 不 應 說 
T32n1660_004:0531b29	　何況無實事　　唯應如實讚	 何 況 無 實 事 唯 應 如 實 讚 
T32n1660_004:0531c01	若菩薩毀呰行大乘人罪過。令得惡名。所有	若 菩 薩 毀 呰 行 大 乘 人 罪 過 令 得 惡 名 所 有 
T32n1660_004:0531c02	生生善法皆悉滅盡。不得增長白法。是故諸	生 生 善 法 皆 悉 滅 盡 不 得 增 長 白 法 是 故 諸 
T32n1660_004:0531c03	菩薩等雖有過惡。為護自善根命故。不應顯	菩 薩 等 雖 有 過 惡 為 護 自 善 根 命 故 不 應 顯 
T32n1660_004:0531c04	說。何況無實。譬如王罪。如經中說。有菩薩清	說 何 況 無 實 譬 如 王 罪 如 經 中 說 有 菩 薩 清 
T32n1660_004:0531c05	淨活命無可毀呰。而彼達摩比丘妾說其	淨 活 命 無 可 毀 呰 而 彼 達 摩 比 丘 妾 說 其 
T32n1660_004:0531c06	惡故。於七十劫中受泥犁報又於六萬生中	惡 故 於 七 十 劫 中 受 泥 犁 報 又 於 六 萬 生 中 
T32n1660_004:0531c07	為貧窮人。常受盲瘂癩病惡瘡。是故於菩	為 貧 窮 人 常 受 盲 瘂 癩 病 惡 瘡 是 故 於 菩 
T32n1660_004:0531c08	薩所。若有惡若無惡。皆不得說。彼有實德	薩 所 若 有 惡 若 無 惡 皆 不 得 說 彼 有 實 德 
T32n1660_004:0531c09	唯應稱揚。為自善根增長故。亦為餘人生信	唯 應 稱 揚 為 自 善 根 增 長 故 亦 為 餘 人 生 信 
T32n1660_004:0531c10	故。	故 
T32n1660_004:0531c11	　若人願作佛　　欲使不退轉	 若 人 願 作 佛 欲 使 不 退 轉 
T32n1660_004:0531c12	　示現及熾盛　　亦令生喜悅	 示 現 及 熾 盛 亦 令 生 喜 悅 
T32n1660_004:0531c13	若有眾生已發願求菩提。唯欲令其不退。而	若 有 眾 生 已 發 願 求 菩 提 唯 欲 令 其 不 退 而 
T32n1660_004:0531c14	有人愚癡瞋恚及貪。自朋黨故作如是言。何	有 人 愚 癡 瞋 恚 及 貪 自 朋 黨 故 作如是言 何 
T32n1660_004:0531c15	用長行菩薩難行之行。其涅槃樂平等相似。	用 長 行 菩 薩 難 行 之 行 其 涅 槃 樂 平 等 相 似 
T32n1660_004:0531c16	行聲聞行疾得涅槃。此等後當說其果報。若	行 聲 聞 行 疾 得 涅 槃 此 等 後 當 說 其 果 報 若 
T32n1660_004:0531c17	以種種譬喻顯佛功德令入其心。是為示現。	以 種 種 譬 喻 顯 佛 功 德 令 入 其 心 是 為 示 現 
T32n1660_004:0531c18	令其具足精進諸菩薩行。是為熾盛。欲令精	令 其 具 足 精 進 諸 菩 薩 行 是 為 熾 盛 欲 令 精 
T32n1660_004:0531c19	進更增疾利。為說正覺功德大神通事。是為	進 更 增 疾 利 為 說 正 覺 功 德 大 神 通 事 是 為 
T32n1660_004:0531c20	喜悅。如是令彼不捨菩提之心。	喜 悅 如 是 令 彼 不 捨 菩提之心 
T32n1660_004:0531c21	　未解甚深經　　勿言非佛說	 未 解 甚 深 經 勿 言 非 佛 說 
T32n1660_004:0531c22	　若作如是言　　受最苦惡報	 若 作如是言 受 最 苦 惡 報 
T32n1660_004:0531c23	甚深經者。謂佛所說與空無相無願相應。除	甚 深 經 者 謂 佛 所 說 與 空無相無願 相 應 除 
T32n1660_004:0531c24	無量斷常等邊見。滅我人眾生壽者等自性。	無 量 斷 常 等 邊 見 滅 我 人 眾 生 壽 者 等 自 性 
T32n1660_004:0531c25	顯如來大神通希有功德。於此經律若未證	顯 如 來 大 神 通 希 有 功 德 於 此 經 律 若 未 證 
T32n1660_004:0531c26	知。勿以癡。故言非佛說。何以故佛世尊說。若	知 勿 以 癡 故 言 非 佛 說 何 以 故 佛世尊說 若 
T32n1660_004:0531c27	謗如來所說之經。惡果最苦。	謗 如 來 所 說 之 經 惡 果 最 苦 
T32n1660_004:0531c28	　無間等諸罪　　悉以為一摶	 無 間 等 諸 罪 悉 以 為 一 摶 
T32n1660_004:0531c29	　比前二種罪　　分數不能及	 比 前 二 種 罪 分 數 不 能 及 
T32n1660_004:0532a01	世尊於不退輪經中說。五無間業所有諸罪。	世 尊 於 不 退 輪 經 中 說 五無間業 所 有 諸 罪 
T32n1660_004:0532a02	若斷三千大千世界中諸眾生命所有罪報。若	若 斷 三千大千世界 中 諸 眾 生 命 所 有 罪 報 若 
T32n1660_004:0532a03	恒伽河沙等佛世尊滅度已所有支提。或壞	恒 伽 河 沙 等 佛 世 尊 滅 度 已 所 有 支 提 或 壞 
T32n1660_004:0532a04	或燒若障礙過去未來現在諸佛法眼所有罪	或 燒 若 障 礙 過去未來現在 諸 佛 法 眼 所 有 罪 
T32n1660_004:0532a05	報。如是等過皆悉摶聚。若於未解深經而起	報 如 是 等 過 皆 悉 摶 聚 若 於 未 解 深 經 而 起 
T32n1660_004:0532a06	執著言非佛說。及菩薩發菩提願已而令退	執 著 言 非 佛 說 及 菩 薩 發 菩 提 願 已 而 令 退 
T32n1660_004:0532a07	菩提心。此二種罪。彼前五無間等罪聚比之。	菩 提 心 此 二 種 罪 彼 前 五 無 間 等 罪 聚 比 之 
T32n1660_004:0532a08	百分不及千分不及。乃至數分柯羅分算分	百 分 不 及 千 分 不 及 乃 至 數 分 柯 羅 分 算 分 
T32n1660_004:0532a09	譬喻分優波尼沙陀分亦不及。以是罪相故。	譬 喻 分 優 波 尼 沙 陀 分 亦 不 及 以 是 罪 相 故 
T32n1660_004:0532a10	為護自身及自善根。勿作此二種罪。	為 護 自 身 及 自 善 根 勿 作 此 二 種 罪 
T32n1660_004:0532a11	問已說菩薩護自善根。何者是修道勝義。答。	問 已 說 菩 薩 護 自 善 根 何 者 是 修 道 勝 義 答 
T32n1660_004:0532a12	　於三解脫門　　應當善修習	 於 三解脫門 應 當 善 修 習 
T32n1660_004:0532a13	　初空次無相　　第三是無願	 初 空 次 無 相 第 三 是 無 願 
T32n1660_004:0532a14	於中菩薩行般若波羅蜜時。應修三解脫門。	於 中 菩 薩 行 般 若 波 羅 蜜 時 應 修 三解脫門 
T32n1660_004:0532a15	最初應修空解脫門。為破散諸見故。第二無	最 初 應 修 空解脫門 為 破 散 諸 見 故 第 二 無 
T32n1660_004:0532a16	相解脫門。為不取諸分別攀緣意故。第三無	相 解 脫 門 為 不 取 諸 分 別 攀 緣 意 故 第 三 無 
T32n1660_004:0532a17	願解脫門。為超過欲界色界無色界故。	願 解 脫 門 為 超 過 欲界色界無色界 故 
T32n1660_004:0532a18	問何故此等名解脫門。答。	問 何 故 此 等 名 解 脫 門 答 
T32n1660_004:0532a19	　無自性故空　　已空何作相	 無 自 性 故 空 已 空 何 作 相 
T32n1660_004:0532a20	　諸相既寂滅　　智者何所願	 諸 相 既 寂 滅 智 者 何 所 願 
T32n1660_004:0532a21	以緣生故法無自性。此名為空。以其空故心	以 緣 生 故 法無自性 此 名 為 空 以 其 空 故 心 
T32n1660_004:0532a22	無攀緣。則是無相。離諸相故則無所願。又若	無 攀 緣 則 是 無 相 離 諸 相 故 則 無 所 願 又 若 
T32n1660_004:0532a23	法從緣生。彼自性無生。以自性無生故。彼法	法 從 緣 生 彼 自 性 無 生 以 自 性 無 生 故 彼 法 
T32n1660_004:0532a24	是空。若法是空彼中無相。相無有故彼是無	是 空 若 法 是 空 彼 中 無 相 相 無 有 故 彼 是 無 
T32n1660_004:0532a25	相。若無有相彼中心無所依。以無依故於三	相 若 無 有 相 彼 中 心 無 所 依 以 無 依 故 於 三 
T32n1660_004:0532a26	界中。心無所願。	界 中 心 無 所 願 
T32n1660_004:0532a27	　於此修念時　　趣近涅槃道	 於 此 修 念 時 趣 近 涅 槃 道 
T32n1660_004:0532a28	　勿念非佛體　　於彼莫放逸	 勿 念 非 佛 體 於 彼 莫 放 逸 
T32n1660_004:0532a29	修此三解脫門時。若非方便所攝。則趣近涅	修 此 三解脫門 時 若 非 方便所攝 則 趣 近 涅 
T32n1660_004:0532b01	槃。雖應修習。莫墮餘菩提處。當求無所得忍。	槃 雖 應 修 習 莫 墮 餘 菩 提 處 當 求 無 所 得 忍 
T32n1660_004:0532b02	應住善巧方便。	應 住 善巧方便 
T32n1660_004:0532b03	　我於涅槃中　　不應即作證	 我 於 涅 槃 中 不 應 即 作 證 
T32n1660_004:0532b04	　當發如是心　　應成熟智度	 當發如是心 應 成 熟 智 度 
T32n1660_004:0532b05	發如是心。我當利益諸眾生。度脫諸眾生。雖	發 如 是 心 我 當 利 益 諸 眾 生 度 脫 諸 眾 生 雖 
T32n1660_004:0532b06	修三解脫門。不應於涅槃作證。然我為學般	修 三解脫門 不 應 於 涅 槃 作 證 然 我 為 學 般 
T32n1660_004:0532b07	若波羅蜜故。於三解脫門中。專應成熟。我	若 波 羅 蜜 故 於 三解脫門 中 專 應 成 熟 我 
T32n1660_004:0532b08	應修空。不應證空。我應修無相。不應證無	應 修 空 不 應 證 空 我 應 修 無 相 不 應 證 無 
T32n1660_004:0532b09	相。我應修無願。不應證無願。	相 我 應 修 無 願 不 應 證 無 願 
T32n1660_004:0532b10	　如射師放箭　　各各轉相射	 如 射 師 放 箭 各 各 轉 相 射 
T32n1660_004:0532b11	　相持不令墮　　大菩薩亦爾	 相 持 不 令 墮 大 菩 薩 亦 爾 
