T44n1841_001:0143a24	因明義斷	因 明 義 斷 
T44n1841_001:0150c06	理。亦不損自義。故非過也。此亦不然。如佛法	理 亦 不 損 自 義 故 非 過 也 此 亦 不 然 如 佛 法 
T44n1841_001:0150c07	立。聲是無常。所作性故。彼立聲常。所聞性	立 聲 是 無 常 所 作 性 故 彼 立 聲 常 所 聞 性 
T44n1841_001:0150c08	故。無共同品。以大乘宗不立虛空。真如他宗	故 無 共 同 品 以 大 乘 宗 不 立 虛 空 真 如 他 宗 
T44n1841_001:0150c09	非有。既不壞共量。又不能損自他。亦應非過。	非 有 既 不 壞 共 量 又 不 能 損 自 他 亦 應 非 過 
T44n1841_001:0150c10	應解云。因於同品有非有。異品非有。望彼同	應 解 云 因 於 同 品 有 非 有 異 品 非 有 望 彼 同 
T44n1841_001:0150c11	一分非有。立自不共。同一分有。得是正因。故	一 分 非 有 立 自 不 共 同 一 分 有 得 是 正 因 故 
T44n1841_001:0150c12	不有過。若作斯解。得成無過。若如所解。共亦	不 有 過 若 作 斯 解 得 成 無 過 若 如 所 解 共 亦 
T44n1841_001:0150c13	非過。又雖唯自不共不定。雖不壞共量。亦不	非 過 又 雖 唯 自 不共不定 雖 不 壞 共 量 亦 不 
T44n1841_001:0150c14	能立自。何得非過。	能 立 自 何 得 非 過 
T44n1841_001:0150c15	有云。有唯犯共不共。非自他者。如大乘對	有 云 有 唯 犯 共 不 共 非 自 他 者 如 大 乘 對 
T44n1841_001:0150c16	小乘。欲立七八識。云六種識身離自體外。更	小 乘 欲 立 七 八 識 云 六 種 識 身 離 自 體 外 更 
T44n1841_001:0150c17	有餘識。宗。是識攝故。因。以色等為共同品。	有 餘 識 宗 是 識 攝 故 因 以 色 等 為 共 同 品 
T44n1841_001:0150c18	此因不轉。無共異品。以自許第七。為自同品。	此 因 不 轉 無 共 異 品 以 自 許 第 七 為 自 同 品 
T44n1841_001:0150c19	總以八識。為自異品。此意以無共異品。即是	總 以 八 識 為 自 異 品 此 意 以 無 共 異 品 即 是 
T44n1841_001:0150c20	異品遍無相。何故前與他相違決定量。作不	異 品 遍 無 相 何 故 前 與 他 相違決定 量 作 不 
T44n1841_001:0150c21	定過云。為如緣生故。後二相中。闕一相故非	定 過 云 為 如 緣 生 故 後 二 相 中 闕 一 相 故 非 
T44n1841_001:0150c22	不定。即許無異喻。闕第三相。不共不定。但	不 定 即 許 無 異 喻 闕 第 三 相 不共不定 但 
T44n1841_001:0150c23	闕第二。不闕第三。准前無異。闕後二相。是相	闕 第 二 不 闕 第 三 准 前 無 異 闕 後 二 相 是 相 
T44n1841_001:0150c24	違因。何名。不共不定。若許無異亦異品	違 因 何 名 不共不定 若 許 無 異 亦 異 品 
T44n1841_001:0150c25	無。但闕第二。判緣生因闕一即非。前後相違	無 但 闕 第 二 判 緣 生 因 闕 一 即 非 前 後 相 違 
T44n1841_001:0150c26	故定一過。	故 定 一 過 
T44n1841_001:0150c27	有唯犯自他不共非共。如大乘對小乘。云極	有 唯 犯 自 他 不 共 非 共 如 大 乘 對 小 乘 云 極 
T44n1841_001:0150c28	成之聲定是識變。以是共許攝故因。此亦不	成 之 聲 定 是 識 變 以 是 共 許 攝 故 因 此 亦 不 
T44n1841_001:0150c29	然。望自望他。許共攝因於宗非有。以各自許。	然 望 自 望 他 許 共 攝 因 於 宗 非 有 以 各 自 許 
T44n1841_001:0151a01	非共許故。是不成因非不定因。若云雖是不	非 共 許 故 是 不 成 因 非 不 定 因 若 云 雖 是 不 
T44n1841_001:0151a02	成亦犯不定。若爾。即是有是不成亦不定。	成 亦 犯 不 定 若 爾 即 是 有 是 不 成 亦 不 定 
T44n1841_001:0151a03	不得唯犯自他不共。犯三之中。佛弟子對數	不 得 唯 犯 自 他 不 共 犯 三 之 中 佛 弟 子 對 數 
T44n1841_001:0151a04	論云。聲識變。所聞性因。此亦不然。此是共	論 云 聲 識 變 所 聞 性 因 此 亦 不 然 此 是 共 
T44n1841_001:0151a05	他。不是自故。以自變色等。許成智聞故。復	他 不 是 自 故 以 自 變 色 等 許 成 智 聞 故 復 
T44n1841_001:0151a06	判不定中。句雖有八。過但有四。犯他非自俱。	判 不 定 中 句 雖 有 八 過 但 有 四 犯 他 非 自 俱 
T44n1841_001:0151a07	犯自非他俱。犯自他非俱。三俱不犯。此四句	犯 自 非 他 俱 犯 自 他 非 俱 三 俱 不 犯 此 四 句 
T44n1841_001:0151a08	非過。如前解釋。此是共量唯三不犯。決定非	非 過 如 前 解 釋 此 是 共 量 唯 三 不 犯 決 定 非 
T44n1841_001:0151a09	過。可如所判。餘判非過。理亦如前。	過 可 如 所 判 餘 判 非 過 理 亦 如 前 
T44n1841_001:0151a10	同分異遍轉中作八句云。有唯犯自同一分	同 分 異 遍 轉 中 作 八 句 云 有 唯 犯 自 同 一 分 
T44n1841_001:0151a11	異遍。非他共者。如小乘對大乘。云極成之聲	異 遍 非 他 共 者 如 小 乘 對 大 乘 云 極 成 之 聲 
T44n1841_001:0151a12	定非耳識所變。第二三中隨一攝故。以一切	定 非 耳 識 所 變 第 二 三 中 隨 一 攝 故 以 一 切 
T44n1841_001:0151a13	色等。為共同品。此因不轉。以耳識相分為	色 等 為 共 同 品 此 因 不 轉 以 耳 識 相 分 為 
T44n1841_001:0151a14	共異品。此因遍轉者。亦不然。一切色等。及以	共 異 品 此 因 遍 轉 者 亦 不 然 一 切 色 等 及 以 
T44n1841_001:0151a15	耳根。俱共同品。因於耳根轉。乃是共同一分	耳 根 俱 共 同 品 因 於 耳 根 轉 乃 是 共 同 一 分 
T44n1841_001:0151a16	異遍。何名唯自。耳識相分。為他異品。小乘不	異 遍 何 名 唯 自 耳 識 相 分 為 他 異 品 小 乘 不 
T44n1841_001:0151a17	許耳識變相分。理如前說。菩薩不善色聲。為	許 耳 識 變 相 分 理 如 前 說 菩 薩 不 善 色 聲 為 
T44n1841_001:0151a18	自同品。此因分轉不善耳識相分。為自異品。	自 同 品 此 因 分 轉 不 善 耳 識 相 分 為 自 異 品 
T44n1841_001:0151a19	理同前非。又云。他方佛色等。為他同品。因不	理 同 前 非 又 云 他 方 佛 色 等 為 他 同 品 因 不 
T44n1841_001:0151a20	遍轉。以聲為他異品等。此亦不然。以他方佛	遍 轉 以 聲 為 他 異 品 等 此 亦 不 然 以 他 方 佛 
T44n1841_001:0151a21	色。及根俱他同品。因即分轉。以聲為異品因	色 及 根 俱 他 同 品 因 即 分 轉 以 聲 為 異 品 因 
T44n1841_001:0151a22	即遍轉。何唯是自。又云。亦是法自相相違過	即 遍 轉 何 唯 是 自 又 云 亦 是 法 自 相 相 違 過 
T44n1841_001:0151a23	者。亦不然。作相違云。極成之聲定耳識變。以	者 亦 不 然 作 相 違 云 極 成 之 聲 定 耳 識 變 以 
T44n1841_001:0151a24	第二三中隨一攝故。同喻如何。設許取耳識	第 二 三 中 隨 一 攝 故 同 喻 如 何 設 許 取 耳 識 
T44n1841_001:0151a25	相。猶有不定過。為如相分。第二三中隨一攝	相 猶 有 不 定 過 為 如 相 分 第 二 三 中 隨 一 攝 
T44n1841_001:0151a26	故。是所變。為如耳根。第二三隨一攝故。非耳	故 是 所 變 為 如 耳 根 第 二 三 隨 一 攝 故 非 耳 
T44n1841_001:0151a27	識變。況不共許耳識變相。若以成所作智。亦	識 變 況 不 共 許 耳 識 變 相 若 以 成所作智 亦 
T44n1841_001:0151a28	緣變耳根。無不定過者。不然他不許故。若	緣 變 耳 根 無 不 定 過 者 不 然 他 不 許 故 若 
T44n1841_001:0151a29	改因喻。便非相違。餘諸句過准例可知。煩	改 因 喻 便 非 相 違 餘 諸 句 過 准 例 可 知 煩 
T44n1841_001:0151b01	不具敘。	不 具 敘 
T44n1841_001:0151b02	又有人解決定相違。問云。此與比量相違何	又 有 人 解 決定相違 問 云 此 與 比量相違 何 
T44n1841_001:0151b03	別。解云。比量相違。但有立宗因。喻未必得	別 解 云 比量相違 但 有 立 宗 因 喻 未 必 得 
T44n1841_001:0151b04	成。如立瓶等。即違共比量。因喻皆闕。相違決	成 如 立 瓶 等 即 違 共 比 量 因 喻 皆 闕 相 違 決 
T44n1841_001:0151b05	定宗因喻皆成。未詳此釋。既因法皆闕。何成	定 宗 因 喻 皆 成 未 詳 此 釋 既 因 法 皆 闕 何 成 
T44n1841_001:0151b06	比量。而言相違。又既無因。宗不違因。即與自	比 量 而 言 相 違 又 既 無 因 宗 不 違 因 即 與 自 
T44n1841_001:0151b07	教相違何別。第二解云。望違宗邊。亦不望	教 相 違 何 別 第 二 解 云 望 違 宗 邊 亦 不 望 
T44n1841_001:0151b08	違因。望違因是比量相違者。若違他宗立是	違 因 望 違 因 是 比量相違 者 若 違 他 宗 立 是 
T44n1841_001:0151b09	比量。若違自宗亦與自教相違何別。第三解	比 量 若 違 自 宗 亦 與 自教相違 何 別 第 三 解 
T44n1841_001:0151b10	難中云。若闕初相。但後二相。由後二相。令前	難 中 云 若 闕 初 相 但 後 二 相 由 後 二 相 令 前 
T44n1841_001:0151b11	立因成不定者。即唯相違決定。不是比量相	立 因 成 不 定 者 即 唯 相違決定 不 是 比 量 相 
T44n1841_001:0151b12	違。若爾。與兩俱隨一不成何別。俱闕初相。有	違 若 爾 與 兩 俱 隨一不成 何 別 俱 闕 初 相 有 
T44n1841_001:0151b13	後二相。若云初二不成。或有後二相。或無後	後 二 相 若 云 初 二 不 成 或 有 後 二 相 或 無 後 
T44n1841_001:0151b14	二相。故有別者。不然。若闕初相。與不成無	二 相 故 有 別 者 不 然 若 闕 初 相 與 不 成 無 
T44n1841_001:0151b15	別。若具三相。與比量相違不殊。前二不攝。可	別 若 具 三 相 與 比量相違 不 殊 前 二 不 攝 可 
T44n1841_001:0151b16	立別過。離二更無別相違相。何須別立。由彼	立 別 過 離 二 更 無 別 相 違 相 何 須 別 立 由 彼 
T44n1841_001:0151b17	自云。闕初具後二。即相違決定。准此意許具	自 云 闕 初 具 後 二 即 相違決定 准 此 意 許 具 
T44n1841_001:0151b18	三相者。即亦名比量相違。故有此難。又復所	三 相 者 即 亦 名 比量相違 故 有 此 難 又 復 所 
T44n1841_001:0151b19	作因具三相。可得名決定。所聞闕初相。如何	作 因 具 三 相 可 得 名 決 定 所 聞 闕 初 相 如 何 
T44n1841_001:0151b20	稱決定。故不可以闕相之因。與具相因。能作	稱 決 定 故 不 可 以 闕 相 之 因 與 具 相 因 能 作 
T44n1841_001:0151b21	相違。應更細思。所聞之因。何以闕初。若以不	相 違 應 更 細 思 所 聞 之 因 何 以 闕 初 若 以 不 
T44n1841_001:0151b22	能成宗故闕初相。即所聞因。亦闕後二。皆不	能 成 宗 故 闕 初 相 即 所 聞 因 亦 闕 後 二 皆 不 
T44n1841_001:0151b23	能成所立宗故。若云同有異無不闕後二。所	能 成 所 立 宗 故 若 云 同 有 異 無 不 闕 後 二 所 
T44n1841_001:0151b24	聞聲有何即闕初。如云眼見。彼此不成。聲是	聞 聲 有 何 即 闕 初 如 云 眼 見 彼 此 不 成 聲 是 
T44n1841_001:0151b25	所聞一切同許。定有初相。不得言闕。故理門	所 聞 一 切 同 許 定 有 初 相 不 得 言 闕 故 理 門 
T44n1841_001:0151b26	云。唯彼有性。彼所攝故。一向離故。既言一向	云 唯 彼 有 性 彼 所 攝 故 一 向 離 故 既 言 一 向 
T44n1841_001:0151b27	離。明有初相。若云不共不定。闕第二相。相違	離 明 有 初 相 若 云 不共不定 闕 第 二 相 相 違 
T44n1841_001:0151b28	決定。即闕二相。俱是所聞。更有何別。不許聲	決 定 即 闕 二 相 俱 是 所 聞 更 有 何 別 不 許 聲 
T44n1841_001:0151b29	有。故具三相。方名相違。俱決定故。又自下文	有 故 具 三 相 方 名 相 違 俱 決 定 故 又 自 下 文 
T44n1841_001:0151c01	難他不定。元不成因。何得云具後二相也。此	難 他 不 定 元 不 成 因 何 得 云 具 後 二 相 也 此 
T44n1841_001:0151c02	所聞因。既闕初相。如何具後。又云。雖闕於初	所 聞 因 既 闕 初 相 如 何 具 後 又 云 雖 闕 於 初 
T44n1841_001:0151c03	相。二喻證決定。亦應具足後二相無違宗得	相 二 喻 證 決 定 亦 應 具 足 後 二 相 無 違 宗 得 
T44n1841_001:0151c04	立。問既爾。破他自解。相違決定與比量相違	立 問 既 爾 破 他 自 解 相違決定 與 比量相違 
T44n1841_001:0151c05	何別。答如本疏釋。今更助解。相違決定是	何 別 答 如 本 疏 釋 今 更 助 解 相違決定 是 
T44n1841_001:0151c06	因過。比量相違是宗過。又比量相違前邪後	因 過 比量相違 是 宗 過 又 比量相違 前 邪 後 
T44n1841_001:0151c07	正。相違決定前後俱邪。此比量相違。後必破	正 相違決定 前 後 俱 邪 此 比量相違 後 必 破 
T44n1841_001:0151c08	前。相違決定。則不如是。為正量違故。名比量	前 相違決定 則 不 如 是 為 正 量 違 故 名 比 量 
T44n1841_001:0151c09	相違。如違現等。此釋極妙。窮至理也。故二差	相 違 如 違 現 等 此 釋 極 妙 窮 至 理 也 故 二 差 
T44n1841_001:0151c10	別。問若爾。比量相違與自教相違有何別。答	別 問 若 爾 比量相違 與 自教相違 有 何 別 答 
T44n1841_001:0151c11	自教相違。宗違自教。如勝論教說常無常。	自教相違 宗 違 自 教 如 勝 論 教 說 常 無 常 
T44n1841_001:0151c12	今立為常。故違自教。不違因故。比量相違。	今 立 為 常 故 違 自 教 不 違 因 故 比量相違 
T44n1841_001:0151c13	非但違教。亦違於因。故二差別。問若爾。如勝	非 但 違 教 亦 違 於 因 故 二 差 別 問 若 爾 如 勝 
T44n1841_001:0151c14	論師。許聲所作。教說無常。今立為常。自違宗	論 師 許 聲 所 作 教 說 無 常 今 立 為 常 自 違 宗 
T44n1841_001:0151c15	因。何名自教。答勝論師立順所聞因。同喻證	因 何 名 自 教 答 勝 論 師 立 順 所 聞 因 同 喻 證 
T44n1841_001:0151c16	成。非全違因。偏違所作立瓶常。宗遍違因故。	成 非 全 違 因 偏 違 所 作 立 瓶 常 宗 遍 違 因 故 
T44n1841_001:0151c17	故二過別。又違自教。不必違因。有雖違因。必	故 二 過 別 又 違 自 教 不 必 違 因 有 雖 違 因 必 
T44n1841_001:0151c18	違自教。如聲生立內聲無常。此雖違宗。不違	違 自 教 如 聲 生 立 內 聲 無 常 此 雖 違 宗 不 違 
T44n1841_001:0151c19	因義。以許其聲是所作故。若遍違因。即比聲	因 義 以 許 其 聲 是 所 作 故 若 遍 違 因 即 比 聲 
T44n1841_001:0151c20	相違。	相 違 
T44n1841_001:0151c21	有人將不成對不定為四句云。有不成因非	有 人 將 不 成 對 不 定 為 四 句 云 有 不 成 因 非 
T44n1841_001:0151c22	不定。即四不成。有不定因非不成。即五不定。	不 定 即 四 不 成 有 不 定 因 非 不 成 即 五 不 定 
T44n1841_001:0151c23	或唯第四。俱句即第六。亦可取初及二三五	或 唯 第 四 俱 句 即 第 六 亦 可 取 初 及 二 三 五 
T44n1841_001:0151c24	四相違因。其義云何。答理全不然。所聞雖不	四 相 違 因 其 義 云 何 答 理 全 不 然 所 聞 雖 不 
T44n1841_001:0151c25	成。而自名不定。又前自云。雖是不成。何妨	成 而 自 名 不 定 又 前 自 云 雖 是 不 成 何 妨 
T44n1841_001:0151c26	不定。如不共不定等。故初句非。不共既不定。	不 定 如 不共不定 等 故 初 句 非 不 共 既 不 定 
T44n1841_001:0151c27	與所聞何殊。即許非不成。唯是前不定。若言	與 所 聞 何 殊 即 許 非 不 成 唯 是 前 不 定 若 言 
T44n1841_001:0151c28	所聞同非有。故得是不成。亦所聞性遍宗。何	所 聞 同 非 有 故 得 是 不 成 亦 所 聞 性 遍 宗 何 
T44n1841_001:0151c29	得不成攝。若言非遍宗。自教等違攝俱句。即	得 不 成 攝 若 言 非 遍 宗 自 教 等 違 攝 俱 句 即 
T44n1841_001:0152a01	第六所作豈不成。所聞性如前。亦非不成攝。	第 六 所 作 豈 不 成 所 聞 性 如 前 亦 非 不 成 攝 
T44n1841_001:0152a02	如第四無常因。即唯不定非不成。第三亦是	如 第 四 無 常 因 即 唯 不 定 非 不 成 第 三 亦 是 
T44n1841_001:0152a03	無常因。何故即為俱句攝。又四相違因。如立	無 常 因 何 故 即 為 俱 句 攝 又 四 相 違 因 如 立 
T44n1841_001:0152a04	聲常所作性故。豈聲非有。亦俱句耶。又假問	聲 常 所 作 性 故 豈 聲 非 有 亦 俱 句 耶 又 假 問 
T44n1841_001:0152a05	云。缺減過雖七。闕異不成過。何妨作法。具初	云 缺 減 過 雖 七 闕 異 不 成 過 何 妨 作 法 具 初 
T44n1841_001:0152a06	闕後二。就理中即無。即解云。誰言闕異非	闕 後 二 就 理 中 即 無 即 解 云 誰 言 闕 異 非 
T44n1841_001:0152a07	過。若有不引。理是闕減。若無異濫除。亦名為	過 若 有 不 引 理 是 闕 減 若 無 異 濫 除 亦 名 為 
T44n1841_001:0152a08	具。故不相似。此亦不然。前自數立。如緣生	具 故 不 相 似 此 亦 不 然 前 自 數 立 如 緣 生 
T44n1841_001:0152a09	因。闕異非過。如何今說無異濫除。亦名為具。	因 闕 異 非 過 如 何 今 說 無 異 濫 除 亦 名 為 具 
T44n1841_001:0152a10	即緣生因三相具足。破他引之為闕。自立即	即 緣 生 因 三 相 具 足 破 他 引 之 為 闕 自 立 即 
T44n1841_001:0152a11	云具足。如何於法得自在耶。	云 具 足 如 何 於 法 得 自 在 耶 
T44n1841_001:0152a12	又云。誰言缺過望因三相。此亦不然。如闕同	又 云 誰 言 缺 過 望 因 三 相 此 亦 不 然 如 闕 同 
T44n1841_001:0152a13	有等。豈非是過耶。故尋諸解。竟無一當。亦應	有 等 豈 非 是 過 耶 故 尋 諸 解 竟 無 一 當 亦 應 
T44n1841_001:0152a14	更思。	更 思 
T44n1841_001:0152a15	有人解四相違敘古人釋。言顯意許。為自性	有 人 解 四 相 違 敘 古 人 釋 言 顯 意 許 為 自 性 
T44n1841_001:0152a16	差別。云理恐不然。即申難云。如他用為言	差 別 云 理 恐 不 然 即 申 難 云 如 他 用 為 言 
T44n1841_001:0152a17	顯。真他為意許。因為違差別。亦應有性為言	顯 真 他 為 意 許 因 為 違 差 別 亦 應 有 性 為 言 
T44n1841_001:0152a18	顯。離實大有是意許。應名差別非自相。此既	顯 離 實 大 有 是 意 許 應 名 差 別 非 自 相 此 既 
T44n1841_001:0152a19	不然。故彼釋非者。其義如何。答此亦未詳。如	不 然 故 彼 釋 非 者 其 義 如 何 答 此 亦 未 詳 如 
T44n1841_001:0152a20	有法自相差別。至後當知。且此法差別。若非	有 法 自 相 差 別 至 後 當 知 且 此 法 差 別 若 非 
T44n1841_001:0152a21	意許。豈言顯耶。又敘舊通。如軌法師疏。即難	意 許 豈 言 顯 耶 又 敘 舊 通 如 軌 法 師 疏 即 難 
T44n1841_001:0152a22	云。五頂弟子。豈可自難實等不無之宗。令成	云 五 頂 弟 子 豈 可 自 難 實 等 不 無 之 宗 令 成 
T44n1841_001:0152a23	非有也。此乃自違。何成出過者。此亦不然。	非 有 也 此 乃 自 違 何 成 出 過 者 此 亦 不 然 
T44n1841_001:0152a24	本立宗云。有性為宗有法。非實等為宗法。今	本 立 宗 云 有 性 為 宗 有 法 非 實 等 為 宗 法 今 
T44n1841_001:0152a25	弟子翻難云。汝有應非有。有一實故。如同異。	弟 子 翻 難 云 汝 有 應 非 有 有 一 實 故 如 同 異 
T44n1841_001:0152a26	此豈難實等不無耶。既言非實。明離實有。難	此 豈 難 實 等 不 無 耶 既 言 非 實 明 離 實 有 難 
T44n1841_001:0152a27	彼成非有。故不是自違。又難。若云數論他用	彼 成 非 有 故 不 是 自 違 又 難 若 云 數 論 他 用 
T44n1841_001:0152a28	含真假。真他受用義雖無。眼等他用宗不失	含 真 假 真 他 受 用 義 雖 無 眼 等 他 用 宗 不 失 
T44n1841_001:0152a29	者。亦應五頂有性含即離。離實之有宗雖無。	者 亦 應 五 頂 有 性 含 即 離 離 實 之 有 宗 雖 無 
T44n1841_001:0152b01	即實之有宗不失。應名差別相違。非自相者。	即 實 之 有 宗 不 失 應 名 差 別 相 違 非 自 相 者 
T44n1841_001:0152b02	此亦不然。誰言五頂有性含即離。以五頂有	此 亦 不 然 誰 言 五 頂 有 性 含 即 離 以 五 頂 有 
T44n1841_001:0152b03	唯離實等。弟子立有。唯即實等。故言有時。望	唯 離 實 等 弟 子 立 有 唯 即 實 等 故 言 有 時 望 
T44n1841_001:0152b04	自望他。俱不得含。以同異性離實等。得成非	自 望 他 俱 不 得 含 以 同 異 性 離 實 等 得 成 非 
T44n1841_001:0152b05	實等。以同異性不名有故。成有非有。名俱決	實 等 以 同 異 性 不 名 有 故 成 有 非 有 名 俱 決 
T44n1841_001:0152b06	定。彼實等雖體不無。而不名有。何故如是是	定 彼 實 等 雖 體 不 無 而 不 名 有 何 故 如 是 是 
T44n1841_001:0152b07	宗計故。若五頂實等。亦名有者。豈成自相相	宗 計 故 若 五 頂 實 等 亦 名 有 者 豈 成 自 相 相 
T44n1841_001:0152b08	違。返彼量云。有應非有。有一實等故。如同異	違 返 彼 量 云 有 應 非 有 有 一 實 等 故 如 同 異 
T44n1841_001:0152b09	性。同異性名有。何得成相違。諸過類知。又	性 同 異 性 名 有 何 得 成 相 違 諸 過 類 知 又 
T44n1841_001:0152b10	五頂若許有即實等有。今總成非實等。豈非	五 頂 若 許 有 即 實 等 有 今 總 成 非 實 等 豈 非 
T44n1841_001:0152b11	自違。故知。五頂不立即實等有。三解自相	自 違 故 知 五 頂 不 立 即 實 等 有 三 解 自 相 
T44n1841_001:0152b12	差別。第三云。隨應何法談其自體性者。說名	差 別 第 三 云 隨 應 何 法 談 其 自 體 性 者 說 名 
T44n1841_001:0152b13	自相。即於此法所有別義者。名為差別。此解	自 相 即 於 此 法 所 有 別 義 者 名 為 差 別 此 解 
T44n1841_001:0152b14	不違。古德意云。以爭彼差別。必非言顯。但意	不 違 古 德 意 云 以 爭 彼 差 別 必 非 言 顯 但 意 
T44n1841_001:0152b15	所許。不障自相亦有意許。通言顯故。故云言	所 許 不 障 自 相 亦 有 意 許 通 言 顯 故 故 云 言 
T44n1841_001:0152b16	陳者名自相。意所爭者名差別。若云依第三	陳 者 名 自 相 意 所 爭 者 名 差 別 若 云 依 第 三 
T44n1841_001:0152b17	解。以法有法。各有自體及以別義者。如立聲	解 以 法 有 法 各 有 自 體 及 以 別 義 者 如 立 聲 
T44n1841_001:0152b18	無常。有部可有別體。大乘如何無常等各有	無 常 有 部 可 有 別 體 大 乘 如 何 無 常 等 各 有 
T44n1841_001:0152b19	別體復俱不離色等自相。何緣名體。何緣	別 體 復 俱 不 離 色 等 自 相 何 緣 名 體 何 緣 
T44n1841_001:0152b20	名義。何故有為之上生滅等。名有自體。常住	名 義 何 故 有 為 之 上 生 滅 等 名 有 自 體 常 住 
T44n1841_001:0152b21	無為不遷不滅等。即名別義。	無 為 不 遷 不 滅 等 即 名 別 義 
T44n1841_001:0152b22	又釋自性差別有三重。初二如舊。第三云。談	又 釋 自性差別 有 三 重 初 二 如 舊 第 三 云 談 
T44n1841_001:0152b23	其自性名自相。談其別義名差別。復云法	其 自 性 名 自 相 談 其 別 義 名 差 別 復 云 法 
T44n1841_001:0152b24	與有法。各有自體。及以別義。既稱別義。何得	與 有 法 各 有 自 體 及 以 別 義 既 稱 別 義 何 得 
T44n1841_001:0152b25	云有法。即差別等義屬於體。應說之差別。若	云 有 法 即 差 別 等 義 屬 於 體 應 說 之 差 別 若 
T44n1841_001:0152b26	言即有法。故不得說之。云何言此之別義。亦	言 即 有 法 故 不 得 說 之 云 何 言 此 之 別 義 亦 
T44n1841_001:0152b27	有自體。既許有多義。故應依主。應可更思。若	有 自 體 既 許 有 多 義 故 應 依 主 應 可 更 思 若 
T44n1841_001:0152b28	以聲瓶等異為差別。不得云別義。若即聲等	以 聲 瓶 等 異 為 差 別 不 得 云 別 義 若 即 聲 等 
T44n1841_001:0152b29	體上有別義。不應云各有體。又云。相違有三。	體 上 有 別 義 不 應 云 各 有 體 又 云 相 違 有 三 
T44n1841_001:0152c01	一自體相違。如言常非常等。二形待相違。如	一 自 體 相 違 如 言 常 非 常 等 二 形 待 相 違 如 
T44n1841_001:0152c02	言真假等。三性別相違。如言色心等。又云。言	言 真 假 等 三 性 別 相 違 如 言 色 心 等 又 云 言 
T44n1841_001:0152c03	詮有二。一遮。二表。如立有非有。即自體相	詮 有 二 一 遮 二 表 如 立 有 非 有 即 自 體 相 
T44n1841_001:0152c04	違。第一遮詮。如言真他假他。即但表真假。不	違 第 一 遮 詮 如 言 真 他 假 他 即 但 表 真 假 不 
T44n1841_001:0152c05	非真假。此即義別相形。名差別相違。乃至自	非 真 假 此 即 義 別 相 形 名 差 別 相 違 乃 至 自 
T44n1841_001:0152c06	問云。若義別相違。名差別相違者。即如論中	問 云 若 義 別 相 違 名 差 別 相 違 者 即 如 論 中 
T44n1841_001:0152c07	作非有緣性。亦非有緣性之自體。應名自相。	作 非 有 緣 性 亦 非 有 緣 性 之 自 體 應 名 自 相 
T44n1841_001:0152c08	非差別也(上自問也)此問元非有緣性是別義。作	非 差 別 也 上 自 問 也 此 問 元 非 有 緣 性 是 別 義 作 
T44n1841_001:0152c09	非有緣性。即義相違。何名自相。若此亦名自	非 有 緣 性 即 義 相 違 何 名 自 相 若 此 亦 名 自 
T44n1841_001:0152c10	相。自相差別。有何殊異。又論云差別。何得稱	相 自 相 差 別 有 何 殊 異 又 論 云 差 別 何 得 稱 
T44n1841_001:0152c11	自相。若云此之別義。亦有別體。既有自體。	自 相 若 云 此 之 別 義 亦 有 別 體 既 有 自 體 
T44n1841_001:0152c12	何名談自性談別義。又如聲瓶可燒可見等。	何 名 談 自 性 談 別 義 又 如 聲 瓶 可 燒 可 見 等 
T44n1841_001:0152c13	豈離聲瓶。外有別體。然自解云。不然。若言非	豈 離 聲 瓶 外 有 別 體 然 自 解 云 不 然 若 言 非 
T44n1841_001:0152c14	作有緣性者。即是正非有緣性之自體。論中	作 有 緣 性 者 即 是 正 非 有 緣 性 之 自 體 論 中 
T44n1841_001:0152c15	既說作非有緣性。作非有緣性言。此乃別表	既 說 作 非 有 緣 性 作 非 有 緣 性 言 此 乃 別 表 
T44n1841_001:0152c16	緣餘也。此釋不然。此中為爭作所緣境。為爭	緣 餘 也 此 釋 不 然 此 中 為 爭 作 所 緣 境 為 爭 
T44n1841_001:0152c17	能緣有心。若言爭能緣心。自是別法。豈名有	能 緣 有 心 若 言 爭 能 緣 心 自 是 別 法 豈 名 有 
T44n1841_001:0152c18	法差別。若言大有。是緣大有心境性。不是緣	法 差 別 若 言 大 有 是 緣 大 有 心 境 性 不 是 緣 
T44n1841_001:0152c19	有心之境性。此是有法差別。今爭大有。與能	有 心 之 境 性 此 是 有 法 差 別 今 爭 大 有 與 能 
T44n1841_001:0152c20	緣有心作境性。不作緣有心境性。因與作緣	緣 有 心 作 境 性 不 作 緣 有 心 境 性 因 與 作 緣 
T44n1841_001:0152c21	有心之境性。相違作非緣有之心境性。為因	有 心 之 境 性 相 違 作 非 緣 有 之 心 境 性 為 因 
T44n1841_001:0152c22	名差別相違因。何得云此乃別表緣餘性。若	名 差 別 相 違 因 何 得 云 此 乃 別 表 緣 餘 性 若 
T44n1841_001:0152c23	言別表緣餘性。便是難能緣心。不難有法之	言 別 表 緣 餘 性 便 是 難 能 緣 心 不 難 有 法 之 
T44n1841_001:0152c24	上差別義。又更解云。或可。不成自違。緣有之	上 差 別 義 又 更 解 云 或 可 不 成 自 違 緣 有 之 
T44n1841_001:0152c25	心。應非緣有心。但非有緣心。不表緣餘性。故	心 應 非 緣 有 心 但 非 有 緣 心 不 表 緣 餘 性 故 
