X57n0963_001:0122b05	北峰教義	北 峰 教 義 
X57n0963_001:0127a23	具一切心故等於佛心(二二十九)諸文所明性具如汝所	具 一 切 心 故 等 於 佛 心 二 二 十 九 諸 文 所 明 性 具 如 汝 所 
X57n0963_001:0127a24	引盡是事觀矣二修性二具雜編云今謂若約起心	引 盡 是 事 觀 矣 二 修 性 二 具 雜 編 云 今 謂 若 約 起 心 
X57n0963_001:0127b01	論具即是修具乃唯識觀境也若約不起心論具即	論 具 即 是 修 具 乃 唯 識 觀 境 也 若 約 不 起 心 論 具 即 
X57n0963_001:0127b02	是理具乃真如觀境也荊谿云理具變為修具等評	是 理 具 乃 真 如 觀 境 也 荊 谿 云 理 具 變 為 修 具 等 評 
X57n0963_001:0127b03	曰如指南曰修性二具若對二觀應須性境為理觀	曰 如 指 南 曰 修 性 二 具 若 對 二 觀 應 須 性 境 為 理 觀 
X57n0963_001:0127b04	修境為事觀莫不占察利鈍二根共修初乘觀法耶	修 境 為 事 觀 莫 不 占 察 利 鈍 二 根 共 修 初 乘 觀 法 耶 
X57n0963_001:0127b05	行在一心之言如何消釋三修具二種雜編云然於	行 在 一 心 之 言 如 何 消 釋 三 修 具 二 種 雜 編 云 然 於 
X57n0963_001:0127b06	修具之中須知二義一思議具二不思議具思議約	修 具 之 中 須 知 二 義 一 思 議 具 二 不 思 議 具 思 議 約 
X57n0963_001:0127b07	一念生起而說不思議約一念頓足而說即是不思	一 念 生 起 而 說 不 思 議 約 一 念 頓 足 而 說 即 是 不 思 
X57n0963_001:0127b08	議境也評曰慈童女長者之文由釋因通易知一往	議 境 也 評 曰 慈 童 女 長 者 之 文 由 釋 因 通 易 知 一 往 
X57n0963_001:0127b09	將示因通之相其實自明不思議具何得據之立思	將 示 因 通 之 相 其 實 自 明 不 思 議 具 何 得 據 之 立 思 
X57n0963_001:0127b10	議具又若不思議具正是不思議境據汝所定是於	議 具 又 若 不 思 議 具 正 是 不思議境 據 汝 所 定 是 於 
X57n0963_001:0127b11	事觀則常坐三昧便縱任三性矣四三諦論具雜編	事 觀 則 常 坐 三 昧 便 縱 任 三 性 矣 四 三 諦 論 具 雜 編 
X57n0963_001:0127b12	云問一念頓具三諦之中為屬何耶答約所具說即	云 問 一 念 頓 具 三 諦 之 中 為 屬 何 耶 答 約 所 具 說 即 
X57n0963_001:0127b13	屬俗諦約能具說即屬中道評曰夫三千體是實相	屬 俗 諦 約 能 具 說 即 屬 中 道 評 曰 夫 三 千 體 是 實 相 
X57n0963_001:0127b14	相相之體三諦具足雖云三諦只一實相所謂三諦	相 相 之 體 三 諦 具 足 雖 云 三 諦 只 一 實 相 所 謂 三 諦 
X57n0963_001:0127b15	一境何分能具所具耶豈中能具空假之二不能具	一 境 何 分 能 具 所 具 耶 豈 中 能 具 空 假 之 二 不 能 具 
X57n0963_001:0127b16	耶止觀介爾有心三千具足不二門明三千諦境總	耶 止 觀 介 爾 有 心 三 千 具 足 不 二 門 明 三 千 諦 境 總 
X57n0963_001:0127b17	在一念何不遵用以一心為能具兩種三千為所具	在 一 念 何 不 遵 用 以 一 心 為 能 具 兩 種 三 千 為 所 具 
X57n0963_001:0127b18	乎又復須知四明義說心為能具三千為所具實無	乎 又 復 須 知 四 明 義 說 心 為 能 具 三 千 為 所 具 實 無 
X57n0963_001:0127b19	能具所具全三千是心心是三千也問義雖如此文	能 具 所 具 全 三 千 是 心 心 是 三 千 也 問 義 雖 如 此 文 
X57n0963_001:0127b20	其如何釋籤云俗則百界千如豈非所具真則同居	其 如 何 釋 籤 云 俗 則 百 界 千 如 豈 非 所 具 真 則 同 居 
X57n0963_001:0127b21	一念豈非能具又輔行具即是假如何通耶答四明	一 念 豈 非 能 具 又 輔 行 具 即 是 假 如 何 通 耶 答 四 明 
X57n0963_001:0127b22	云以同居一念顯同一真性非謂便將一念名為真	云 以 同 居 一 念 顯 同 一 真 性 非 謂 便 將 一 念 名 為 真 
X57n0963_001:0127b23	諦(文)若論百界千法法法能具義當以俗為能具也	諦 文 若 論 百 界 千 法 法 法 能 具 義 當 以 俗 為 能 具 也 
X57n0963_001:0127b24	若爾何不云真則百界千如俗則同居一念耶答知	若 爾 何 不 云 真 則 百 界 千 如 俗 則 同 居 一 念 耶 答 知 
X57n0963_001:0127c01	前來體一圓融名隨德用則此等文義自然氷釋。五引	前 來 體 一 圓 融 名 隨 德 用 則 此 等 文 義 自 然 氷 釋 五 引 
X57n0963_001:0127c02	證中止觀禪境之文色心不二門文制心從理之文	證 中 止 觀 禪 境 之 文 色 心 不 二 門 文 制 心 從 理 之 文 
X57n0963_001:0127c03	豈非達事即理理能具耶評曰既云達事即理如何	豈 非 達 事 即 理 理 能 具 耶 評 曰 既 云 達 事 即 理 如 何 
X57n0963_001:0127c04	捨事耶差之毫釐謬矣千里也。六結難四明雜編云	捨 事 耶 差 之 毫 釐 謬 矣 千 里 也 六 結 難 四 明 雜 編 云 
X57n0963_001:0127c05	今更難之若唯取事中一念為總此乃正同取著之	今 更 難 之 若 唯 取 事 中 一 念 為 總 此 乃 正 同 取 著 之 
X57n0963_001:0127c06	心譬如芥子能容須彌若離真性無有容理等評曰	心 譬 如 芥 子 能 容 須 彌 若 離 真 性 無 有 容 理 等 評 曰 
X57n0963_001:0127c07	四明云色心依正由即性故趣舉一法徧攝一切何	四 明 云 色 心 依 正 由 即 性 故 趣 舉 一 法 徧 攝 一 切 何 
X57n0963_001:0127c08	曾不即既事即理不得言事豈非徧哉觀淨覺此等	曾 不 即 既 事 即 理 不 得 言 事 豈 非 徧 哉 觀 淨 覺 此 等 
X57n0963_001:0127c09	之文大似釋成四明法師也。	之 文 大 似 釋 成 四 明 法 師 也 
X57n0963_001:0127c10	七譬喻	七 譬 喻 
X57n0963_001:0127c11	三初四明正說妙境三千性體本具即空假中故非	三 初 四 明 正 說 妙 境 三 千 性 體 本 具 即 空 假 中 故 非 
X57n0963_001:0127c12	有無不可思議正合止觀三喻輔行云信此三喻即	有 無 不可思議 正 合 止 觀 三 喻 輔 行 云 信 此 三 喻 即 
X57n0963_001:0127c13	信一念不思議境是知三喻喻異義一總譬修性三	信 一 念 不思議境 是 知 三 喻 喻 異 義 一 總 譬 修 性 三 
X57n0963_001:0127c14	諦諸義故云如意珠下舉譬以譬於境即總譬於前	諦 諸 義 故 云 如 意 珠 下 舉 譬 以 譬 於 境 即 總 譬 於 前 
X57n0963_001:0127c15	來理性自他橫竪及結成等乃至云非本無今有故	來 理 性 自 他 橫 竪 及 結 成 等 乃 至 云 非 本無今有 故 
X57n0963_001:0127c16	不添非本有今無故不盡若自若他皆不出三諦下	不 添 非 本 有 今 無 故 不 盡 若 自 若 他 皆 不 出 三 諦 下 
X57n0963_001:0127c17	之二喻擬此可知(文)以觀三千性本具故故觀成時	之 二 喻 擬 此 可 知 文 以 觀 三 千 性 本 具 故 故 觀 成 時 
X57n0963_001:0127c18	復乎本性三千常樂也。	復 乎 本 性 三 千 常 樂 也 
X57n0963_001:0127c19	二淨覺異說有二初定喻前二並是以生顯具葢喻	二 淨 覺 異 說 有 二 初 定 喻 前 二 並 是 以 生 顯 具 葢 喻 
X57n0963_001:0127c20	心具理性三千後一既指夢中見事乃喻心具變造	心 具 理 性 三 千 後 一 既 指 夢 中 見 事 乃 喻 心 具 變 造 
X57n0963_001:0127c21	三千評曰輔行云下之二喻擬之可識驗三喻義同	三 千 評 曰 輔 行 云 下 之 二 喻 擬 之 可 識 驗 三 喻 義 同 
X57n0963_001:0127c22	何云有異二定法體雜編云第三喻云夢見百千萬	何 云 有 異 二 定 法 體 雜 編 云 第 三 喻 云 夢 見 百 千 萬 
X57n0963_001:0127c23	事豁悟無一驗知所喻三千由無明故有若無無明	事 豁 悟 無 一 驗 知 所 喻 三 千 由 無 明 故 有 若 無 無 明 
X57n0963_001:0127c24	三千何在評曰三千是法華實相正體唯佛究盡諸	三 千 何 在 評 曰 三 千 是 法 華 實 相 正 體 唯 佛 究 盡 諸 
X57n0963_001:0128a01	法正是除無明而有差別何謂若無無明三千何在	法 正 是 除 無 明 而有差別 何 謂 若 無 無 明 三 千 何 在 
X57n0963_001:0128a02	耶三千果成咸稱常樂如何解耶淨覺以常住為生	耶 三 千 果 成 咸 稱 常 樂 如 何 解 耶 淨 覺 以 常 住 為 生 
X57n0963_001:0128a03	滅則違世間相常住矣。	滅 則 違 世 間 相 常 住 矣 
X57n0963_001:0128a04	三釋疑二初疑第二喻輔行云若謂已有如倉中盛	三 釋 疑 二 初 疑 第 二 喻 輔 行 云 若 謂 已 有 如 倉 中 盛 
X57n0963_001:0128a05	物豈非但具性耶答此破性計定有無耳若離計已	物 豈 非 但 具 性 耶 答 此 破 性 計 定 有 無 耳 若 離 計 已 
X57n0963_001:0128a06	不有而有三千宛然若不爾者安消諸文二疑第三	不 有 而 有 三 千 宛 然 若 不 爾 者 安 消 諸 文 二 疑 第 三 
X57n0963_001:0128a07	喻止觀云無明法法性一心一切心輔行云無明眠	喻 止 觀 云 無 明 法 法 性 一 心 一 切 心 輔 行 云 無 明 眠 
X57n0963_001:0128a08	故謂之多豈非三千無明故有何破淨覺答此乃順	故 謂 之 多 豈 非 三 千 無 明 故 有 何 破 淨 覺 答 此 乃 順 
X57n0963_001:0128a09	喻寄緣生以顯性具之妙非多非少也如云以內具	喻 寄 緣 生 以 顯 性 具 之 妙 非 多 非 少 也 如 云 以 內 具 
X57n0963_001:0128a10	故他境能熏故觀所熏唯見理具者也。	故 他 境 能 熏 故 觀 所 熏 唯 見 理 具 者 也 
X57n0963_001:0128a11	八示別圓	八 示 別 圓 
X57n0963_001:0128a12	二初四明正說妙樂云若非圓心不攝三千(文一)又云	二 初 四 明 正 說 妙 樂 云 若 非 圓 心 不 攝 三 千 文 一 又 云 
X57n0963_001:0128a13	別教初心亦且破陰後心能觀帝網之土唯圓即觀	別 教 初 心 亦 且 破 陰 後 心 能 觀 帝 網 之 土 唯 圓 即 觀 
X57n0963_001:0128a14	一念三千三諦具足(十)輔行云問若不觀具為屬何	一 念 三 千 三 諦 具 足 十 輔 行 云 問 若 不 觀 具 為 屬 何 
X57n0963_001:0128a15	教答別教教道從初心來但云次第生於十界斷亦	教 答 別 教 教 道 從 初 心 來 但 云 次 第 生 於 十 界 斷 亦 
X57n0963_001:0128a16	次第故不觀具(五上二十三)所以然者只緣三千是圓融	次 第 故 不 觀 具 五 上 二 十 三 所 以 然 者 只 緣 三 千 是 圓 融 
X57n0963_001:0128a17	性具之法一即一切別教不詮是故四明唯圓說之	性 具 之 法 一 即 一 切 別 教 不 詮 是 故 四 明 唯 圓 說 之 
X57n0963_001:0128a18	不通於別符文符義深可信受若於別教說具三千	不 通 於 別 符 文 符 義 深 可 信 受 若 於 別 教 說 具 三 千 
X57n0963_001:0128a19	非唯暗於文旨亦乃不達三千也。	非 唯 暗 於 文 旨 亦 乃 不 達 三 千 也 
X57n0963_001:0128a20	二淨覺異說三初立義雜編云三千之說四教之中	二 淨 覺 異 說 三 初 立 義 雜 編 云 三 千 之 說 四 教 之 中 
X57n0963_001:0128a21	唯別圓所詮既詮十界百如必有百界千如約三世	唯 別 圓 所 詮 既 詮 十 界 百 如 必 有 百 界 千 如 約 三 世 
X57n0963_001:0128a22	間三千備矣評曰別教三千違文背義大部曾無一	間 三 千 備 矣 評 曰 別 教 三 千 違 文 背 義 大 部 曾 無 一 
X57n0963_001:0128a23	文且別教斷九如何互具以別心生只是十界互具	文 且 別 教 斷 九 如 何 互 具 以 別 心 生 只 是 十 界 互 具 
X57n0963_001:0128a24	不成百界難說舊人以雜沓之言扶成蓋無稽也。	不 成 百 界 難 說 舊 人 以 雜 沓 之 言 扶 成 蓋 無 稽 也 
X57n0963_001:0128b01	二引證有二文一觀心論疏明別教假觀說心是如	二 引 證 有 二 文 一 觀 心 論 疏 明 別 教 假 觀 說 心 是 如 
X57n0963_001:0128b02	來藏具足百界千如評曰觀心論疏詭名偽書何足	來 藏 具 足 百 界 千 如 評 曰 觀 心 論 疏 詭 名 偽 書 何 足 
X57n0963_001:0128b03	憑也此可與智者道難與俗人言也具大師正緣所	憑 也 此 可 與 智 者 道 難 與 俗 人 言 也 具 大 師 正 緣 所 
X57n0963_001:0128b04	說諸部教觀委悉學者逐外文字不契內心成於無	說 諸 部 教 觀 委 悉 學 者 逐 外 文 字 不 契 內 心 成 於 無 
X57n0963_001:0128b05	益故將滅之時作觀心論令學者絕言觀心令於心	益 故 將 滅 之 時 作 觀 心 論 令 學 者 絕 言 觀 心 令 於 心 
X57n0963_001:0128b06	通達教觀故云傷念一家門徒隨逐積年不知研覈	通 達 教 觀 故 云 傷 念 一 家 門 徒 隨 逐 積 年 不 知 研 覈 
X57n0963_001:0128b07	問心是以不染內法著外文字何不絕言置文破心	問 心 是 以 不 染 內 法 著 外 文 字 何 不 絕 言 置 文 破 心 
X57n0963_001:0128b08	微塵出大千經卷念此迷徒故作斯論(文)故乃委將	微 塵 出 大 千 經 卷 念 此 迷 徒 故 作 斯 論 文 故 乃 委 將 
X57n0963_001:0128b09	一家諸部教觀責問行者自心令心妙契豈可更用	一 家 諸 部 教 觀 責 問 行 者 自 心 令 心 妙 契 豈 可 更 用 
X57n0963_001:0128b10	廣張文義解釋耶若三十六問名義大師諸部委悉	廣 張 文 義 解 釋 耶 若 三 十 六 問 名 義 大 師 諸 部 委 悉 
X57n0963_001:0128b11	已明何須徵問乎是知重作觀心論疏者實是下愚	已 明 何 須 徵 問 乎 是 知 重 作 觀 心 論 疏 者 實 是 下 愚 
X57n0963_001:0128b12	竊章安之高名耳不足憑也蓮老云圓詮化老云開	竊 章 安 之 高 名 耳 不 足 憑 也 蓮 老 云 圓 詮 化 老 云 開 
X57n0963_001:0128b13	顯皆過論矣三淨名疏記文明三千世間皆在一念	顯 皆 過 論 矣 三 淨 名 疏 記 文 明 三 千 世 間 皆 在 一 念 
X57n0963_001:0128b14	若兼圓別應知有次不次有除不除評曰此文正示	若 兼 圓 別 應 知 有 次 不 次 有 除 不 除 評 曰 此 文 正 示 
X57n0963_001:0128b15	別教不說三千何乃據之以經中但除其病而不除	別 教 不 說 三 千 何 乃 據 之 以 經 中 但 除 其 病 而 不 除 
X57n0963_001:0128b16	法古人謂如眼病見華病差本無大師破成本無法	法 古 人 謂 如 眼 病 見 華 病 差 本 無 大 師 破 成 本 無 法 
X57n0963_001:0128b17	非不除法正解則云今言一切眾生具十法界無明	非 不 除 法 正 解 則 云 今 言 一 切 眾 生 具 十 法 界 無 明 
X57n0963_001:0128b18	不了觸處病生荊溪記釋先依疏文直約圓教實理	不 了 觸 處 病 生 荊 溪 記 釋 先 依 疏 文 直 約 圓 教 實 理 
X57n0963_001:0128b19	作三千釋故云一切眾生悉具十界者此從實理談	作 三 千 釋 故 云 一 切 眾 生 悉 具 十 界 者 此 從 實 理 談 
X57n0963_001:0128b20	其意也既云十法則十界百界三千世間俱在一念	其 意 也 既 云 十 法 則 十 界 百 界 三 千 世 間 俱 在 一 念 
X57n0963_001:0128b21	(文)然後約凡聖教旨判此三千若凡夫人則有迷中	 文 然 後 約 凡 聖 教 旨 判 此 三 千 若 凡 夫 人 則 有 迷 中 
X57n0963_001:0128b22	三千若兼圓別應知次與不次有除不除若唯圓者	三 千 若 兼 圓 別 應 知 次 與 不 次 有 除 不 除 若 唯 圓 者 
X57n0963_001:0128b23	理性三千一向不除故有三千若論別教既除九界	理 性 三 千 一 向 不 除 故 有 三 千 若 論 別 教 既 除 九 界 
X57n0963_001:0128b24	故無三千當須以義消文不可迷文立義也。	故 無 三 千 當 須 以 義 消 文 不 可 迷 文 立 義 也 
X57n0963_001:0128c01	三破他不知具有二義別教有思議具評曰章安以	三 破 他 不 知 具 有 二 義 別 教 有 思 議 具 評 曰 章 安 以 
X57n0963_001:0128c02	易通難大師以思議顯不思議皆非明別教思議具	易 通 難 大 師 以 思 議 顯 不 思 議 皆 非 明 別 教 思 議 具 
X57n0963_001:0128c03	文何得謬據立破耶撿止觀自知其非。	文 何 得 謬 據 立 破 耶 撿 止 觀 自 知 其 非 
X57n0963_001:0128c04	九對四土	九 對 四 土 
X57n0963_001:0128c05	二初四明正說三千妙法以對四土須知二義一依	二 初 四 明 正 說 三 千 妙 法 以 對 四 土 須 知 二 義 一 依 
X57n0963_001:0128c06	正法體通該四土二教行詮顯別在寂光初義者以	正 法 體 通 該 四 土 二 教 行 詮 顯 別 在 寂 光 初 義 者 以 
X57n0963_001:0128c07	三千不出十界身土依正之法六凡之身合依同居	三 千 不 出 十 界 身 土 依 正 之 法 六 凡 之 身 合 依 同 居 
X57n0963_001:0128c08	二乘之身合依方便菩薩之身合依實報而義徧前	二 乘 之 身 合 依 方 便 菩 薩 之 身 合 依 實 報 而 義 徧 前 
X57n0963_001:0128c09	二佛居寂光故輔行云次明國土者應以四土橫竪	二 佛 居 寂 光 故 輔 行 云 次 明 國 土 者 應 以 四 土 橫 竪 
X57n0963_001:0128c10	消釋今文為明十界所依各各不同尚應須明十土	消 釋 今 文 為 明 十 界 所 依 各各不同 尚 應 須 明 十 土 
X57n0963_001:0128c11	相別且合六道以為善惡(五十七)既約十界身土具足	相 別 且 合 六 道 以 為 善 惡 五 十 七 既 約 十 界 身 土 具 足 
X57n0963_001:0128c12	乃成三千若理具三千即是理具四土若變造三千	乃 成 三 千 若 理 具 三 千 即 是 理 具 四 土 若 變 造 三 千 
X57n0963_001:0128c13	即是修具四土世此義可知二教行詮顯別在寂光	即 是 修 具 四 土 世 此 義 可 知 二 教 行 詮 顯 別 在 寂 光 
X57n0963_001:0128c14	者以三千是圓融妙法法法實相一一互融乃成三	者 以 三 千 是 圓 融 妙 法 法 法 實 相 一 一 互 融 乃 成 三 
X57n0963_001:0128c15	千偏教所詮三土染礙屬所破法豈能融妙故妙三	千 偏 教 所 詮 三 土 染 礙 屬 所 破 法 豈 能 融 妙 故 妙 三 
X57n0963_001:0128c16	千唯圓教行豈非寂光故指要云融妙三千一時顯	千 唯 圓 教 行 豈 非 寂 光 故 指 要 云 融 妙 三 千 一 時 顯 
X57n0963_001:0128c17	現豁然同皆真淨法法皆實故真皆非染礙故淨故	現 豁 然 同 皆 真 淨 法 法 皆 實 故 真 皆 非 染 礙 故 淨 故 
X57n0963_001:0128c18	云色心宛然豁同真淨如是則一切眾生皆毗盧體	云 色 心 宛 然 豁 同 真 淨 如 是 則 一 切 眾 生 皆 毗 盧 體 
X57n0963_001:0128c19	一切國土悉常寂光(上十八)妙樂云二教初心皆滅陰	一 切 國 土 悉 常 寂 光 上 十 八 妙 樂 云 二 教 初 心 皆 滅 陰 
X57n0963_001:0128c20	入況復土耶別教初心亦且破陰後心能見帝網之	入 況 復 土 耶 別 教 初 心 亦 且 破 陰 後 心 能 見 帝 網 之 
X57n0963_001:0128c21	土唯圓即觀一念三千三諦具足故於自心常寂光	土 唯 圓 即 觀 一 念 三 千 三 諦 具 足 故 於 自 心 常 寂 光 
X57n0963_001:0128c22	中遍見十方一切身土(十十二)以此等文意證之慈老	中 遍 見 十 方 一 切 身 土 十 十 二 以 此 等 文 意 證 之 慈 老 
X57n0963_001:0128c23	兩種三千俱在寂光土說不為無理賢者評之。	兩 種 三 千 俱 在 寂 光 土 說 不 為 無 理 賢 者 評 之 
X57n0963_001:0128c24	二淨覺異見雜編有三段初通以十界對四土乃無	二 淨 覺 異 見 雜 編 有 三 段 初 通 以 十 界 對 四 土 乃 無 
X57n0963_001:0129a01	妨之論今不敘評二別揀佛界寂光因果雜編云應	妨 之 論 今 不 敘 評 二 別 揀 佛 界 寂 光 因 果 雜 編 云 應 
X57n0963_001:0129a02	知圓人從始洎終雖修寂光之因亦成三土之果乃	知 圓 人 從 始 洎 終 雖 修 寂 光 之 因 亦 成 三 土 之 果 乃 
X57n0963_001:0129a03	至云報果又二他報在實報自報在寂光以寂光中	至 云 報 果 又 二 他 報 在 實 報 自 報 在 寂 光 以 寂 光 中 
X57n0963_001:0129a04	應緣既息無有色質故無他報也(文)評曰不二門云	應 緣 既 息 無 有 色 質 故 無 他 報 也 文 評 曰 不 二 門 云 
X57n0963_001:0129a05	不見國土淨穢差品而帝網依正終自炳然豈自報	不 見 國 土 淨 穢 差 品 而 帝 網 依 正 終 自 炳 然 豈 自 報 
X57n0963_001:0129a06	果滿永無色質耶三結斥四明寂光有相雜編云世	果 滿 永 無 色 質 耶 三 結 斥 四 明 寂 光 有 相 雜 編 云 世 
X57n0963_001:0129a07	人不了二種報義便謂法身理土二俱有相評曰妙	人 不 了 二 種 報 義 便 謂 法 身 理 土 二 俱 有 相 評 曰 妙 
X57n0963_001:0129a08	樂云同居有餘自體三土皆是妙色心果報之處如	樂 云 同 居 有 餘 自 體 三 土 皆 是 妙 色 心 果 報 之 處 如 
X57n0963_001:0129a09	何消耶委明此義如妙宗私出料揀。	何 消 耶 委 明 此 義 如 妙 宗 私 出 料 揀 
X57n0963_001:0129a10	十判六即	十 判 六 即 
X57n0963_001:0129a11	二初四明正說分四初三千六即二六即能所三名	二 初 四 明 正 說 分 四 初 三 千 六 即 二 六 即 能 所 三 名 
X57n0963_001:0129a12	義分對四點會蛣蜣初三千六即圓人修證心外無	義 分 對 四 點 會 蛣 蜣 初 三 千 六 即 圓 人 修 證 心 外 無 
X57n0963_001:0129a13	境三千徧攝一法不遺從略以十界言之全迷則十	境 三 千 徧 攝 一 法 不 遺 從 略 以 十 界 言 之 全 迷 則 十 
X57n0963_001:0129a14	界皆名理即聞名則十界皆名名字乃至究竟則十	界 皆 名 理 即 聞 名 則 十 界 皆 名 名 字 乃 至 究 竟 則 十 
X57n0963_001:0129a15	皆究竟光明記云全迷則曰理性十界等(二末)以至指	皆 究 竟 光 明 記 云 全 迷 則 曰 理 性 十 界 等 二 末 以 至 指 
X57n0963_001:0129a16	要解謗引證三千在理同名無明三千果成咸稱常	要 解 謗 引 證 三 千 在 理 同 名 無 明 三 千 果 成 咸 稱 常 
X57n0963_001:0129a17	樂是知十界三千無不六即大體可知若不如此乃	樂 是 知 十 界 三 千 無 不 六 即 大 體 可 知 若 不 如 此 乃 
X57n0963_001:0129a18	別教也二六即能所者四明指要則曰凡言諸法即	別 教 也 二 六 即 能 所 者 四 明 指 要 則 曰 凡 言 諸 法 即 
X57n0963_001:0129a19	理者全用即體方可言即又妙宗云六種即名皆是	理 者 全 用 即 體 方 可 言 即 又 妙 宗 云 六 種 即 名 皆 是 
X57n0963_001:0129a20	事理體不二義而迷逆事與其覺理未始暫乖故名	事 理 體 不 二 義 而 迷 逆 事 與 其 覺 理 未 始 暫 乖 故 名 
X57n0963_001:0129a21	即佛又障即佛其名猶通以後五人皆云三障即是	即 佛 又 障 即 佛 其 名 猶 通 以 後 五 人 皆 云 三 障 即 是 
X57n0963_001:0129a22	佛故(文)四明之義以事用諸法為能即理體諸法為	佛 故 文 四 明 之 義 以 事 用 諸 法 為 能 即 理 體 諸 法 為 
X57n0963_001:0129a23	所即德障言之三障為能即三德為所即並合祖師	所 即 德 障 言 之 三 障 為 能 即 三 德 為 所 即 並 合 祖 師 
X57n0963_001:0129a24	諸文今不備引略明二義一通論事造三障諸法為	諸 文 今 不 備 引 略 明 二 義 一 通 論 事 造 三 障 諸 法 為 
X57n0963_001:0129b01	能即以皆理具無不即故二別論事中一念自心為	能 即 以 皆 理 具 無 不 即 故 二 別 論 事 中 一 念 自 心 為 
X57n0963_001:0129b02	能即以從近要易成觀故此皆四明宗旨云云諸文	能 即 以 從 近 要 易 成 觀 故 此 皆 四 明 宗 旨 云 云 諸 文 
X57n0963_001:0129b03	處處有此兩義更不引證而草庵諸師局唯一念違	處 處 有 此 兩 義 更 不 引 證 而 草 庵 諸 師 局 唯 一 念 違 
X57n0963_001:0129b04	大義也三名義分對然六即之義事異故六理同故	大 義 也 三 名 義 分 對 然 六 即 之 義 事 異 故 六 理 同 故 
X57n0963_001:0129b05	即還可分對理事兩種三千否答先達並以事異故	即 還 可 分 對 理 事 兩 種 三 千 否 答 先 達 並 以 事 異 故 
X57n0963_001:0129b06	六對事造三千理同故即對理造三千今則不然即	六 對 事 造 三 千 理 同 故 即 對 理 造 三 千 今 則 不 然 即 
X57n0963_001:0129b07	約法體是同六約情智高下六位事用法體全體即	約 法 體 是 同 六 約 情 智 高 下 六 位 事 用 法 體 全 體 即 
X57n0963_001:0129b08	理故云理同故即六位情智迷悟所見事異故云事	理 故 云 理 同 故 即 六 位 情 智 迷 悟 所 見 事 異 故 云 事 
X57n0963_001:0129b09	異故六是則事理兩種三千是法體並對理同故即	異 故 六 是 則 事 理 兩 種 三 千 是 法 體 並 對 理 同 故 即 
X57n0963_001:0129b10	事異故六乃情智高下修證有差非關三千法體有	事 異 故 六 乃 情 智 高 下 修 證 有 差 非 關 三 千 法 體 有 
X57n0963_001:0129b11	異若以兩種三千所收却不妨六位高下是事造所	異 若 以 兩 種 三 千 所 收 却 不 妨 六 位 高 下 是 事 造 所 
X57n0963_001:0129b12	收但不可直將兩種三千對事異故六理同故即也	收 但 不 可 直 將 兩 種 三 千 對 事 異 故 六 理 同 故 即 也 
X57n0963_001:0129b13	指要上云事異故六理一故即應知圓家明理已具	指 要 上 云 事 異 故 六 理 一 故 即 應 知 圓 家 明 理 已 具 
X57n0963_001:0129b14	三千而皆性不可變(理同故即)約事乃論迷解真似因果	三 千 而 皆 性 不 可 變 理 同 故 即 約 事 乃 論 迷 解 真 似 因 果 
X57n0963_001:0129b15	有殊(事異故六)四明意謂荊溪釋生死即涅槃之流而云	有 殊 事 異 故 六 四 明 意 謂 荊 溪 釋 生 死 即 涅 槃 之 流 而 云 
X57n0963_001:0129b16	理同故即蓋由生死之法圓理本具性不可改故云	理 同 故 即 蓋 由 生 死 之 法 圓 理 本 具 性 不 可 改 故 云 
X57n0963_001:0129b17	理同故即若從人說則迷悟因果陰顯事殊故云事	理 同 故 即 若 從 人 說 則 迷 悟 因 果 陰 顯 事 殊 故 云 事 
X57n0963_001:0129b18	異故六仍引三千在理同名無明三千果成咸稱常	異 故 六 仍 引 三 千 在 理 同 名 無 明 三 千 果 成 咸 稱 常 
X57n0963_001:0129b19	樂從人迷悟無明常樂事殊證事異故六三千無改	樂 從 人 迷 悟 無 明 常 樂 事 殊 證 事 異 故 六 三 千 無 改 
X57n0963_001:0129b20	無明即明三千並常俱體俱用約法只一三千迷悟	無 明 即 明 三 千 並 常 俱 體 俱 用 約 法 只 一 三 千 迷 悟 
X57n0963_001:0129b21	不改並皆圓常俱體俱用證理同故即是則迷悟緣	不 改 並 皆 圓 常 俱 體 俱 用 證 理 同 故 即 是 則 迷 悟 緣 
X57n0963_001:0129b22	起事殊皆三千之體起妙用法體事理雖迷悟因果	起 事 殊 皆 三 千 之 體 起 妙 用 法 體 事 理 雖 迷 悟 因 果 
X57n0963_001:0129b23	而常一不改甞試料之約法體凡聖之事理理同故	而 常 一 不 改 甞 試 料 之 約 法 體 凡 聖 之 事 理 理 同 故 
X57n0963_001:0129b24	即從人心迷悟之所見事異故六如妙宗上云六種	即 從 人 心 迷 悟 之 所 見 事 異 故 六 如 妙 宗 上 云 六 種 
X57n0963_001:0129c01	即名皆是事理體不二義而事有逆順名字等五是	即 名 皆 是 事 理 體 不 二 義 而 事 有 逆 順 名 字 等 五 是 
X57n0963_001:0129c02	順修事唯理性一純逆修事此逆順事與本覺理體皆	順 修 事 唯 理 性 一 純 逆 修 事 此 逆 順 事 與 本 覺 理 體 皆 
X57n0963_001:0129c03	不二約法事理體同故也其逆順名自何而立以知	不 二 約 法 事 理 體 同 故 也 其 逆 順 名 自 何 而 立 以 知 
X57n0963_001:0129c04	不二事皆合理名之為順其不知者事皆違理故名	不 二 事 皆 合 理 名 之 為 順 其 不 知 者 事 皆 違 理 故 名 
