T18n0850_001:0065a03	刻密軌序	刻 密 軌 序 
T18n0850_002:0076b06	(二合)恨拏(二合三)佉曩佉曩(四)鉢哩布羅野	 二 合 恨 拏 二 合 三 佉 曩 佉 曩 四 鉢 哩 布 羅 野 
T18n0850_002:0076b07	(五)薩嚩枳迦囉赧(六)薩嚩鉢囉(二合)底尾	 五 薩 嚩 枳 迦 囉 赧 六 薩 嚩 鉢 囉 二 合 底 尾 
T18n0850_002:0076b08	撚(儞演反七)娑嚩(二合)賀	撚 儞 演 反 七 娑 嚩 二 合 賀 
T18n0850_002:0076b09	　不動	 不 動 
T18n0850_002:0076b10	（一一〇）曩莫三滿多嚩日囉(二合)赧(一)戰拏	 一 一 〇 曩 莫 三 滿 多 嚩 日 囉 二 合 赧 一 戰 拏 
T18n0850_002:0076b11	摩賀[口*路]灑拏(二)娑頗(二合)吒野(三)吽怛囉(二	摩 賀 [口路] 灑 拏 二 娑 頗 二 合 吒 野 三 吽 怛 囉 二 
T18n0850_002:0076b12	合)吒(四)憾[牟*含](五)娑嚩(二合)賀	合 吒 四 憾 [牟含] 五 娑 嚩 二 合 賀 
T18n0850_002:0076b13	　勝三世	 勝 三 世 
T18n0850_002:0076b14	（一一一）曩莫三滿多嚩日囉(二合)赧(一)賀賀	 一 一 一 曩 莫 三 滿 多 嚩 日 囉 二 合 赧 一 賀 賀 
T18n0850_002:0076b15	賀(二)尾娑麼(二合)曳(三)薩嚩怛他(引)蘖多尾灑	賀 二 尾 娑 麼 二 合 曳 三 薩 嚩 怛 他 引 蘖 多 尾 灑 
T18n0850_002:0076b16	野三婆嚩(四)怛[口*束*頁](二合)路枳也(二合)尾惹野(五)	野 三 婆 嚩 四 怛 [口束頁] 二 合 路 枳 也 二 合 尾 惹 野 五 
T18n0850_002:0076b17	吽惹(六)娑嚩(二合)賀	吽 惹 六 娑 嚩 二 合 賀 
T18n0850_002:0076b18	　東方初門中　　釋迦坐白蓮	 東 方 初 門 中 釋 迦 坐 白 蓮 
T18n0850_002:0076b19	　四八紫金色　　被服袈裟衣	 四 八 紫 金 色 被 服 袈 裟 衣 
T18n0850_002:0076b20	　為令教流布　　住彼而說法	 為 令 教 流 布 住 彼 而 說 法 
T18n0850_002:0076b21	　三昧眾圍繞　　次於牟尼右	 三 昧 眾 圍 繞 次 於 牟 尼 右 
T18n0850_002:0076b22	　顯示遍知眼　　熙怡相微笑	 顯 示 遍 知 眼 熙 怡 相 微 笑 
T18n0850_002:0076b23	　遍體圓淨光　　喜見無比身	 遍 體 圓 淨 光 喜 見 無 比 身 
T18n0850_002:0076b24	　是名能寂母　　復於世尊右	 是 名 能 寂 母 復 於 世 尊 右 
T18n0850_002:0076b25	　置於毫相明　　住鉢頭摩華	 置 於 毫 相 明 住 鉢 頭 摩 華 
T18n0850_002:0076b26	　圓光商佉色　　執持如意寶	 圓 光 商 佉 色 執 持 如 意 寶 
T18n0850_002:0076b27	　滿足眾希願　　暉光大精進	 滿 足 眾 希 願 暉 光 大 精 進 
T18n0850_002:0076b28	　救世釋師子	 救 世 釋 師 子 
T18n0850_002:0076b29	　次右五佛頂　　白傘勝最勝	 次 右 五 佛 頂 白 傘 勝 最 勝 
T18n0850_002:0076c01	　火光聚捨除　　大我之釋種	 火 光 聚 捨 除 大 我 之 釋 種 
T18n0850_002:0076c02	　復於毫相左　　安置三佛頂	 復 於 毫 相 左 安 置 三 佛 頂 
T18n0850_002:0076c03	　廣大極廣大　　及以無邊聲	 廣 大 極 廣 大 及 以 無 邊 聲 
T18n0850_002:0076c04	　應當於是處　　精進一心造	 應 當 於 是 處 精 進 一 心 造 
T18n0850_002:0076c05	　前五白黃金　　次三白黃赤	 前 五 白 黃 金 次 三 白 黃 赤 
T18n0850_002:0076c06	　釋迦之眷屬　　十二大士印	 釋 迦 之 眷 屬 十 二 大 士 印 
T18n0850_002:0076c07	　牟尼說法相　　智手吉祥印	 牟 尼 說 法 相 智 手 吉 祥 印 
T18n0850_002:0076c08	　母印同佛頂　　異謂金剛標	 母 印 同 佛 頂 異 謂 金 剛 標 
T18n0850_002:0076c09	　毫相竪智拳　　風節置眉上	 毫 相 竪 智 拳 風 節 置 眉 上 
T18n0850_002:0076c10	　白傘竪慧風　　定掌覆如蓋	 白 傘 竪 慧 風 定 掌 覆 如 蓋 
T18n0850_002:0076c11	　勝頂前刀印　　最勝印同輪	 勝 頂 前 刀 印 最 勝 印 同 輪 
T18n0850_002:0076c12	　火聚同佛頂　　捨除智成拳	 火 聚 同 佛 頂 捨 除 智 成 拳 
T18n0850_002:0076c13	　抽風屈如鉤　　廣大發生頂	 抽 風 屈 如 鉤 廣 大 發 生 頂 
T18n0850_002:0076c14	　同用蓮華印　　極廣廣生頂	 同 用 蓮 華 印 極 廣 廣 生 頂 
T18n0850_002:0076c15	　五股金剛印　　水入福智合	 五 股 金 剛 印 水 入 福 智 合 
T18n0850_002:0076c16	　風屈持火中　　下節上一麥	 風 屈 持 火 中 下 節 上 一 麥 
T18n0850_002:0076c17	　無邊音聲頂　　身印同商佉	 無 邊 音 聲 頂 身 印 同 商 佉 
T18n0850_002:0076c18	　一切佛頂印　　慧手聚五峯	 一 切 佛 頂 印 慧 手 聚 五 峯 
T18n0850_002:0076c19	　安於自頂上彼彼真言曰釋迦	 安 於 自 頂 上 彼 彼 真 言 曰 釋 迦 
T18n0850_002:0076c20	（一一二）曩莫三滿多沒馱喃(一)薩嚩吃哩(二合)	 一 一 二 曩 莫 三 滿 多 沒 馱 喃 一 薩 嚩 吃 哩 二 合 
T18n0850_002:0076c21	舍儞素捺曩(二)薩嚩達磨嚩(無鉢反)始多(引)	舍 儞 素 捺 曩 二 薩 嚩 達 磨 嚩 無 鉢 反 始 多 引 
T18n0850_002:0076c22	鉢囉(二合)波多(二合)(三)誐誐曩三麼三迷(四)娑	鉢 囉 二 合 波 多 二 合 三 誐 誐 曩 三 麼 三 迷 四 娑 
T18n0850_002:0076c23	嚩(二合)賀	嚩 二 合 賀 
T18n0850_002:0076c24	　佛母	 佛 母 
T18n0850_002:0076c25	（一一三）曩莫三滿多沒馱喃(一)沒馱路左	 一 一 三 曩 莫 三 滿 多 沒 馱 喃 一 沒 馱 路 左 
T18n0850_002:0077a01	儞嚩弩囉麼達麼三婆嚩尾迦曩三參娑	儞 嚩 弩 囉 麼 達 麼 三 婆 嚩 尾 迦 曩 三 參 娑 
T18n0850_002:0077a02	嚩(二合)賀	嚩 二 合 賀 
T18n0850_002:0077a03	　毫相	 毫 相 
T18n0850_002:0077a04	（一一四）曩莫三滿多沒馱喃(一)惡(引)痕惹(二)	 一 一 四 曩 莫 三 滿 多 沒 馱 喃 一 惡 引 痕 惹 二 
T18n0850_002:0077a05	娑嚩(二合)賀	娑 嚩 二 合 賀 
T18n0850_002:0077a06	　白傘	 白 傘 
T18n0850_002:0077a07	（一一五）曩莫三滿多沒馱喃(一)嚂悉怛多	 一 一 五 曩 莫 三 滿 多 沒 馱 喃 一 嚂 悉 怛 多 
T18n0850_002:0077a08	鉢怛囉(二合)鄔瑟抳(二合)灑(二)娑嚩(二合)賀	鉢 怛 囉 二 合 鄔 瑟 抳 二 合 灑 二 娑 嚩 二 合 賀 
T18n0850_002:0077a09	　勝頂	 勝 頂 
T18n0850_002:0077a10	（一一六）曩莫三滿多沒馱喃(一)苫惹庾鄔	 一 一 六 曩 莫 三 滿 多 沒 馱 喃 一 苫 惹 庾 鄔 
T18n0850_002:0077a11	瑟抳(二合)灑(二)娑嚩(二合)賀	瑟 抳 二 合 灑 二 娑 嚩 二 合 賀 
T18n0850_002:0077a12	　最勝	 最 勝 
T18n0850_002:0077a13	（一一七）曩莫三滿多沒馱喃(一)施枲尾惹庾	 一 一 七 曩 莫 三 滿 多 沒 馱 喃 一 施 枲 尾 惹 庾 
T18n0850_002:0077a14	鄔瑟抳(二合)灑(二)娑嚩(二合)賀	鄔 瑟 抳 二 合 灑 二 娑 嚩 二 合 賀 
T18n0850_002:0077a15	　火聚	 火 聚 
T18n0850_002:0077a16	（一一八）曩莫三滿多沒馱喃(一)怛陵唵(三	 一 一 八 曩 莫 三 滿 多 沒 馱 喃 一 怛 陵 唵 三 
T18n0850_002:0077a17	合)帝儒羅施鄔瑟抳(二合)灑(二)娑嚩(二合)賀	合 帝 儒 羅 施 鄔 瑟 抳 二 合 灑 二 娑 嚩 二 合 賀 
T18n0850_002:0077a18	　捨除	 捨 除 
T18n0850_002:0077a19	（一一九）曩莫三滿多沒馱喃(一)訶嚕唵(三	 一 一 九 曩 莫 三 滿 多 沒 馱 喃 一 訶 嚕 唵 三 
T18n0850_002:0077a20	合)尾枳囉拏半祖鄔瑟抳(二合)灑(二)娑嚩(二合)賀	合 尾 枳 囉 拏 半 祖 鄔 瑟 抳 二 合 灑 二 娑 嚩 二 合 賀 
T18n0850_002:0077a21	　極廣	 極 廣 
T18n0850_002:0077a22	（一二〇）曩莫三滿多沒馱喃(一)吒嚕唵(三	 一 二 〇 曩 莫 三 滿 多 沒 馱 喃 一 吒 嚕 唵 三 
T18n0850_002:0077a23	合)鄔瑟抳(二合)灑(二)娑嚩(二合)賀	合 鄔 瑟 抳 二 合 灑 二 娑 嚩 二 合 賀 
T18n0850_002:0077a24	　廣大	 廣 大 
T18n0850_002:0077a25	（一二一）曩莫三滿多沒馱喃(一)室嚕唵(三	 一 二 一 曩 莫 三 滿 多 沒 馱 喃 一 室 嚕 唵 三 
T18n0850_002:0077a26	合)鄔瑟抳(二合)灑(二)娑嚩(二合)賀	合 鄔 瑟 抳 二 合 灑 二 娑 嚩 二 合 賀 
T18n0850_002:0077a27	　無邊音	 無 邊 音 
T18n0850_002:0077a28	（一二二）曩莫三滿多沒馱喃(一)吽惹庾鄔瑟	 一 二 二 曩 莫 三 滿 多 沒 馱 喃 一 吽 惹 庾 鄔 瑟 
T18n0850_002:0077b01	抳(二合)灑(二)娑嚩(二合)賀	抳 二 合 灑 二 娑 嚩 二 合 賀 
T18n0850_002:0077b02	　一切佛頂	 一 切 佛 頂 
T18n0850_002:0077b03	（一二三）曩莫三滿多沒馱喃(一)鑁鑁鑁吽吽	 一 二 三 曩 莫 三 滿 多 沒 馱 喃 一 鑁 鑁 鑁 吽 吽 
T18n0850_002:0077b04	吽發吒(二)娑嚩(二合)賀	吽 發 吒 二 娑 嚩 二 合 賀 
T18n0850_002:0077b05	　次於其勝方　　布列淨居眾	 次 於 其 勝 方 布 列 淨 居 眾 
T18n0850_002:0077b06	　自在與普化　　光鬘及意生	 自 在 與 普 化 光 鬘 及 意 生 
T18n0850_002:0077b07	　名稱遠聞等　　各如其次第	 名 稱 遠 聞 等 各 如 其 次 第 
T18n0850_002:0077b08	　慧手承已頰　　普化準自在	 慧 手 承 已 頰 普 化 準 自 在 
T18n0850_002:0077b09	　火風差戾異　　光鬘印同前	 火 風 差 戾 異 光 鬘 印 同 前 
T18n0850_002:0077b10	　改空橫於掌　　滿意生天子	 改 空 橫 於 掌 滿 意 生 天 子 
T18n0850_002:0077b11	　空風如持華　　遍音聲天印	 空 風 如 持 華 遍 音 聲 天 印 
T18n0850_002:0077b12	　智空加水上　　舒掩慧耳門	 智 空 加 水 上 舒 掩 慧 耳 門 
T18n0850_002:0077b13	　五天并眷屬　　如次習真言	 五 天 并 眷 屬 如 次 習 真 言 
T18n0850_002:0077b14	　自在天	 自 在 天 
T18n0850_002:0077b15	（一二四）曩莫三滿多沒馱喃(一)唵播羅儞	 一 二 四 曩 莫 三 滿 多 沒 馱 喃 一 唵 播 羅 儞 
T18n0850_002:0077b16	怛麼(二合)囉底毘藥(二合二)娑嚩(二合)賀	怛 麼 二 合 囉 底 毘 藥 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0077b17	　普華	 普 華 
T18n0850_002:0077b18	（一二五）曩莫三滿多沒馱喃(一)麼弩囉摩	 一 二 五 曩 莫 三 滿 多 沒 馱 喃 一 麼 弩 囉 摩 
T18n0850_002:0077b19	(二)達麼三婆嚩(三)迦詑迦詑曩(四)三參	 二 達 麼 三 婆 嚩 三 迦 詑 迦 詑 曩 四 三 參 
T18n0850_002:0077b20	忙縒泥(五)娑嚩(二合)賀	忙 縒 泥 五 娑 嚩 二 合 賀 
T18n0850_002:0077b21	　光鬘	 光 鬘 
T18n0850_002:0077b22	（一二六）曩莫三滿多沒馱喃(一)左覩鄔姹	 一 二 六 曩 莫 三 滿 多 沒 馱 喃 一 左 覩 鄔 姹 
T18n0850_002:0077b23	(二合)寫難(二)娑嚩(二合)賀	 二 合 寫 難 二 娑 嚩 二 合 賀 
T18n0850_002:0077b24	　滿意生天子	 滿 意 生 天 子 
T18n0850_002:0077b25	（一二七）曩莫三滿多沒馱喃(一)阿唵哿聹恥	 一 二 七 曩 莫 三 滿 多 沒 馱 喃 一 阿 唵 哿 聹 恥 
T18n0850_002:0077b26	毘藥(二合二)娑嚩(二合)賀	毘 藥 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0077b27	　遍音聲天	 遍 音 聲 天 
T18n0850_002:0077b28	（一二八）曩莫三滿多沒馱喃(一)唵阿婆娑	 一 二 八 曩 莫 三 滿 多 沒 馱 喃 一 唵 阿 婆 娑 
T18n0850_002:0077b29	嚩(二合)[口*(隸木+匕)]毘藥(二合二)娑嚩(二合)賀	嚩 二 合 [口隸木匕] 毘 藥 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0077c01	　行者於東隅　　而作火仙像	 行 者 於 東 隅 而 作 火 仙 像 
T18n0850_002:0077c02	　住於熾焰中　　三點灰為標	 住 於 熾 焰 中 三 點 灰 為 標 
T18n0850_002:0077c03	　身色皆深赤　　心置三角印	 身 色 皆 深 赤 心 置 三 角 印 
T18n0850_002:0077c04	　而作焰鬘中　　慧珠定澡瓶	 而 作 焰 鬘 中 慧 珠 定 澡 瓶 
T18n0850_002:0077c05	　掌印定持杖　　青羊以為座	 掌 印 定 持 杖 青 羊 以 為 座 
T18n0850_002:0077c06	　妃后侍左右　　嚩思瑟姹仙	 妃 后 侍 左 右 嚩 思 瑟 姹 仙 
T18n0850_002:0077c07	　并餘諸仙眾　　而為其眷屬	 并 餘 諸 仙 眾 而 為 其 眷 屬 
T18n0850_002:0077c08	　左方閻摩天　　手秉檀拏印	 左 方 閻 摩 天 手 秉 檀 拏 印 
T18n0850_002:0077c09	　水牛以為座　　震電玄雲色	 水 牛 以 為 座 震 電 玄 雲 色 
T18n0850_002:0077c10	　七母并黑夜　　死后妃圍繞	 七 母 并 黑 夜 死 后 妃 圍 繞 
T18n0850_002:0077c11	　判官諸鬼屬　　眷屬等圍繞	 判 官 諸 鬼 屬 眷 屬 等 圍 繞 
T18n0850_002:0077c12	　火天智無畏　　大空橫掌中	 火 天 智 無 畏 大 空 橫 掌 中 
T18n0850_002:0077c13	　請召慧風鉤　　嚩思等五契	 請 召 慧 風 鉤 嚩 思 等 五 契 
T18n0850_002:0077c14	　空持水二文　　次第開敷遍	 空 持 水 二 文 次 第 開 敷 遍 
T18n0850_002:0077c15	　琰摩福智合　　地風入月中	 琰 摩 福 智 合 地 風 入 月 中 
T18n0850_002:0077c16	　七母三昧拳　　抽空竪鎚印	 七 母 三 昧 拳 抽 空 竪 鎚 印 
T18n0850_002:0077c17	　暗夜同前印　　風火並皆申	 暗 夜 同 前 印 風 火 並 皆 申 
T18n0850_002:0077c18	　焰摩后妃鐸　　慧手垂五輪	 焰 摩 后 妃 鐸 慧 手 垂 五 輪 
T18n0850_002:0077c19	　猶如健吒相彼彼真言曰	 猶 如 健 吒 相 彼 彼 真 言 曰 
T18n0850_002:0077c20	　火天	 火 天 
T18n0850_002:0077c21	（一二九）曩莫三滿多沒馱喃(一)阿擬曩(二合)	 一 二 九 曩 莫 三 滿 多 沒 馱 喃 一 阿 擬 曩 二 合 
T18n0850_002:0077c22	曳(二)娑嚩(二合)賀	曳 二 娑 嚩 二 合 賀 
T18n0850_002:0077c23	　妃后	 妃 后 
T18n0850_002:0077c24	（一三〇）曩莫三滿多沒馱喃(一)阿起儞曳	 一 三 〇 曩 莫 三 滿 多 沒 馱 喃 一 阿 起 儞 曳 
T18n0850_002:0078a01	(二)娑嚩(二合)賀	 二 娑 嚩 二 合 賀 
T18n0850_002:0078a02	　嚩斯仙	 嚩 斯 仙 
T18n0850_002:0078a03	（一三一）曩莫三滿多沒馱喃(一)嚩枲瑟姹(二	 一 三 一 曩 莫 三 滿 多 沒 馱 喃 一 嚩 枲 瑟 姹 二 
T18n0850_002:0078a04	合)[口*栗]釤(二合二)娑嚩(二合)賀	合 [口栗] 釤 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0078a05	　阿趺哩仙	 阿 趺 哩 仙 
T18n0850_002:0078a06	（一三二）曩莫三滿多沒馱喃(一)惡底羅(二合)	 一 三 二 曩 莫 三 滿 多 沒 馱 喃 一 惡 底 羅 二 合 
T18n0850_002:0078a07	野摩賀[口*栗]釤(二合二)娑嚩(二合)賀	野 摩 賀 [口栗] 釤 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0078a08	　喬答摩	 喬 答 摩 
T18n0850_002:0078a09	（一三三）曩莫三滿多沒馱喃(一)婆哩(二合)	 一 三 三 曩 莫 三 滿 多 沒 馱 喃 一 婆 哩 二 合 
T18n0850_002:0078a10	輸怛麼(二合)阿[口*栗]釤(二合二)娑嚩(二合)賀	輸 怛 麼 二 合 阿 [口栗] 釤 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0078a11	　蘖[口*栗]伽	 蘖 [口栗] 伽 
T18n0850_002:0078a12	（一三四）曩莫三滿多沒馱喃(一)矯怛麼(二	 一 三 四 曩 莫 三 滿 多 沒 馱 喃 一 矯 怛 麼 二 
T18n0850_002:0078a13	合)麼賀[口*栗]釤(二合二)蘖哩伽(二合)娑嚩(二合)賀	合 麼 賀 [口栗] 釤 二 合 二 蘖 哩 伽 二 合 娑 嚩 二 合 賀 
T18n0850_002:0078a14	　閻羅天	 閻 羅 天 
T18n0850_002:0078a15	（一三五）曩莫三滿多沒馱喃(一)吠(無愛反)嚩娑	 一 三 五 曩 莫 三 滿 多 沒 馱 喃 一 吠 無 愛 反 嚩 娑 
T18n0850_002:0078a16	嚩(二合)多野(二)娑嚩(二合)賀	嚩 二 合 多 野 二 娑 嚩 二 合 賀 
T18n0850_002:0078a17	　七母	 七 母 
T18n0850_002:0078a18	（一三六）曩莫三滿多沒馱喃(一)麼怛哩(二合)	 一 三 六 曩 莫 三 滿 多 沒 馱 喃 一 麼 怛 哩 二 合 
T18n0850_002:0078a19	毘藥(二合二)娑嚩(二合)賀	毘 藥 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0078a20	　暗夜	 暗 夜 
T18n0850_002:0078a21	（一三七）曩莫三滿多沒馱喃(一)迦囉羅怛	 一 三 七 曩 莫 三 滿 多 沒 馱 喃 一 迦 囉 羅 怛 
T18n0850_002:0078a22	哩曳(二)娑嚩(二合)賀	哩 曳 二 娑 嚩 二 合 賀 
T18n0850_002:0078a23	　判官	 判 官 
T18n0850_002:0078a24	（一三八）曩莫三滿多沒馱喃(一)只怛羅(二合)	 一 三 八 曩 莫 三 滿 多 沒 馱 喃 一 只 怛 羅 二 合 
T18n0850_002:0078a25	虞鉢多(二合)野(二)娑嚩(二合)賀	虞 鉢 多 二 合 野 二 娑 嚩 二 合 賀 
T18n0850_002:0078a26	　涅哩底鬼王　　號名大羅剎	 涅 哩 底 鬼 王 號 名 大 羅 剎 
T18n0850_002:0078a27	　執刀恐怖形　　身印同朅誐	 執 刀 恐 怖 形 身 印 同 朅 誐 
T18n0850_002:0078a28	　是諸落剎娑　　虛合水入掌	 是 諸 落 剎 娑 虛 合 水 入 掌 
T18n0850_002:0078a29	　風竪空火交　　彼彼真言曰	 風 竪 空 火 交 彼 彼 真 言 曰 
T18n0850_002:0078b01	　羅剎主	 羅 剎 主 
T18n0850_002:0078b02	（一三九）曩莫三滿多沒馱喃(一)囉(入)吃察	 一 三 九 曩 莫 三 滿 多 沒 馱 喃 一 囉 入 吃 察 
T18n0850_002:0078b03	(二合)娑(二)地跛多曳(三)娑嚩(二合)賀	 二 合 娑 二 地 跛 多 曳 三 娑 嚩 二 合 賀 
T18n0850_002:0078b04	　剎斯	 剎 斯 
T18n0850_002:0078b05	（一四〇）曩莫三滿多沒馱喃(一)[口*落]吃叉(二合)	 一 四 〇 曩 莫 三 滿 多 沒 馱 喃 一 [口落] 吃 叉 二 合 
T18n0850_002:0078b06	娑(二)誐抳弭(三)娑嚩(二合)賀	娑 二 誐 抳 弭 三 娑 嚩 二 合 賀 
T18n0850_002:0078b07	　將兄	 將 兄 
T18n0850_002:0078b08	（一四一）曩莫三滿多沒馱喃(一)仡囉(二合)迦	 一 四 一 曩 莫 三 滿 多 沒 馱 喃 一 仡 囉 二 合 迦 
T18n0850_002:0078b09	[口*(隸木+匕)](二)娑嚩(二合)賀	[口隸木匕] 二 娑 嚩 二 合 賀 
T18n0850_002:0078b10	　眾	 眾 
T18n0850_002:0078b11	（一四二）曩莫三滿多沒馱喃(一)[口*落]乞叉(二	 一 四 二 曩 莫 三 滿 多 沒 馱 喃 一 [口落] 乞 叉 二 
T18n0850_002:0078b12	合)細毘藥(二合二)娑嚩(二合)賀	合 細 毘 藥 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0078b13	　龍方嚩嚕拏　　西門執羂索	 龍 方 嚩 嚕 拏 西 門 執 羂 索 
T18n0850_002:0078b14	　天形女人狀　　龍光龜為座	 天 形 女 人 狀 龍 光 龜 為 座 
T18n0850_002:0078b15	　門裏前左右　　忿怒無能勝	 門 裏 前 左 右 忿 怒 無 能 勝 
T18n0850_002:0078b16	　阿毘目佉對　　廂曲中大護	 阿毘目佉 對 廂 曲 中 大 護 
T18n0850_002:0078b17	　持明大忿怒　　次右無能勝	 持 明 大 忿 怒 次 右 無 能 勝 
T18n0850_002:0078b18	　次左無勝妃　　難徒拔難徒	 次 左 無 勝 妃 難 徒 拔 難 徒 
T18n0850_002:0078b19	　西方諸地神　　辯才及毘紐	 西 方 諸 地 神 辯 才 及 毘 紐 
T18n0850_002:0078b20	　塞建曩風神　　商羯羅月天	 塞 建 曩 風 神 商 羯 羅 月 天 
T18n0850_002:0078b21	　是等依龍方　　持真言行者	 是 等 依 龍 方 持 真 言 行 者 
T18n0850_002:0078b22	　以不迷惑心　　置之勿遺謬	 以 不 迷 惑 心 置 之 勿 遺 謬 
T18n0850_002:0078b23	　所餘諸釋種　　袈裟及錫杖	 所 餘 諸 釋 種 袈 裟 及 錫 杖 
T18n0850_002:0078b24	　師應具開示　　三昧形色異	 師 應 具 開 示 三 昧 形 色 異 
T18n0850_002:0078b25	　羂索內叉拳　　抽風頭圓合	 羂 索 內 叉 拳 抽 風 頭 圓 合 
T18n0850_002:0078b26	　地神福智羽　　八度頭圓合	 地 神 福 智 羽 八 度 頭 圓 合 
T18n0850_002:0078b27	　二空附如蓋　　辯才即妙音	 二 空 附 如 蓋 辯 才 即 妙 音 
T18n0850_002:0078b28	　慧風持於空　　向身而來去	 慧 風 持 於 空 向 身 而 來 去 
T18n0850_002:0078b29	　運動如奏樂　　彼天費拏印	 運 動 如 奏 樂 彼 天 費 拏 印 
T18n0850_002:0078c01	　毘紐即那延　　三昧空捻風	 毘 紐 即 那 延 三 昧 空 捻 風 
T18n0850_002:0078c02	　圓孔如輪勢　　彼后風加空	 圓 孔 如 輪 勢 彼 后 風 加 空 
T18n0850_002:0078c03	　以此為殊異　　次於水天右	 以 此 為 殊 異 次 於 水 天 右 
T18n0850_002:0078c04	　塞健翻童子　　三首乘孔雀	 塞 健 翻 童 子 三 首 乘 孔 雀 
T18n0850_002:0078c05	　商羯羅戟印　　定空加自地	 商 羯 羅 戟 印 定 空 加 自 地 
T18n0850_002:0078c06	　火風水戟形　　后印空持地	 火 風 水 戟 形 后 印 空 持 地 
T18n0850_002:0078c07	　妃印三輪開　　西門之南次	 妃 印 三 輪 開 西 門 之 南 次 
T18n0850_002:0078c08	　月天之眷屬　　二十八宿神	 月 天 之 眷 屬 二 十 八 宿 神 
T18n0850_002:0078c09	　宮神等圍繞　　月天乘白鵠	 宮 神 等 圍 繞 月 天 乘 白 鵠 
T18n0850_002:0078c10	　身印三昧手　　空加於水上	 身 印 三 昧 手 空 加 於 水 上 
T18n0850_002:0078c11	　因作潔白觀　　一切宿曜印	 因 作 潔 白 觀 一 切 宿 曜 印 
T18n0850_002:0078c12	　蓮合火空交　　即前廂曲中	 蓮 合 火 空 交 即 前 廂 曲 中 
T18n0850_002:0078c13	　無勝三昧拳　　舉翼輪開散	 無 勝 三 昧 拳 舉 翼 輪 開 散 
T18n0850_002:0078c14	　智拳舒慧風　　猶如相擬勢	 智 拳 舒 慧 風 猶 如 相 擬 勢 
T18n0850_002:0078c15	　相對舉慧拳　　狀如相擊勢	 相 對 舉 慧 拳 狀 如 相 擊 勢 
T18n0850_002:0078c16	　即阿毘目佉　　次外勝及妃	 即 阿毘目佉 次 外 勝 及 妃 
T18n0850_002:0078c17	　智執蓮在心　　舒定向外距	 智 執 蓮 在 心 舒 定 向 外 距 
T18n0850_002:0078c18	　即名無能勝　　次陳勝妃印	 即 名 無 能 勝 次 陳 勝 妃 印 
T18n0850_002:0078c19	　福智內成拳　　屈空如口相	 福 智 內 成 拳 屈 空 如 口 相 
T18n0850_002:0078c20	　二龍左右掌　　更互一相加	 二 龍 左 右 掌 更 互 一 相 加 
T18n0850_002:0078c21	　嚩庾風天幢　　智拳地水竪	 嚩 庾 風 天 幢 智 拳 地 水 竪 
T18n0850_002:0078c22	　想觀作風幢　　一切諸眷屬	 想 觀 作 風 幢 一 切 諸 眷 屬 
T18n0850_002:0079a01	　圍繞於風天彼彼真言曰	 圍 繞 於 風 天 彼 彼 真 言 曰 
T18n0850_002:0079a02	　諸龍	 諸 龍 
T18n0850_002:0079a03	（一四三）曩莫三滿多沒馱喃(一)阿播跛多	 一 四 三 曩 莫 三 滿 多 沒 馱 喃 一 阿 播 跛 多 
T18n0850_002:0079a04	曳(二)銘伽捨儞(入)曳(三)娑嚩(二合)賀	曳 二 銘 伽 捨 儞 入 曳 三 娑 嚩 二 合 賀 
T18n0850_002:0079a05	　地神	 地 神 
T18n0850_002:0079a06	（一四四）曩莫三滿多沒馱喃(一)跛哩(二合)體	 一 四 四 曩 莫 三 滿 多 沒 馱 喃 一 跛 哩 二 合 體 
T18n0850_002:0079a07	(他以反)尾曳(二合二)娑嚩(二合)賀	 他 以 反 尾 曳 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0079a08	　妙音	 妙 音 
T18n0850_002:0079a09	（一四五）曩莫三滿多沒馱喃(一)素(上)囉娑嚩	 一 四 五 曩 莫 三 滿 多 沒 馱 喃 一 素 上 囉 娑 嚩 
T18n0850_002:0079a10	(二合)帝曳(二合二)娑嚩(二合)賀	 二 合 帝 曳 二 合 二 娑 嚩 二 合 賀 
T18n0850_002:0079a11	　延	 延 
T18n0850_002:0079a12	（一四六）曩莫三滿多沒馱喃(一)尾瑟拏(二合)	 一 四 六 曩 莫 三 滿 多 沒 馱 喃 一 尾 瑟 拏 二 合 
T18n0850_002:0079a13	吠(二)娑嚩(二合)賀	吠 二 娑 嚩 二 合 賀 
T18n0850_002:0079a14	　后	 后 
T18n0850_002:0079a15	（一四七）曩莫三滿多沒馱喃(一)尾瑟拏(二	 一 四 七 曩 莫 三 滿 多 沒 馱 喃 一 尾 瑟 拏 二 
T18n0850_002:0079a16	合)弭(二)娑嚩(二合)賀	合 弭 二 娑 嚩 二 合 賀 
T18n0850_002:0079a17	　月天	 月 天 
