T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_006:0563a23	於聲聞、辟支佛地。何以故？舍利弗！菩薩離般	於 聲 聞 辟支佛地 何 以 故 舍 利 弗 菩 薩 離 般 
T08n0227_006:0563a24	若波羅蜜故，法應當爾。」「世尊！如我解佛所說	若 波 羅 蜜 故 法 應 當 爾 世 尊 如 我 解 佛 所 說 
T08n0227_006:0563a25	義，若菩薩離般若波羅蜜，則於阿耨多羅三	義 若 菩 薩 離 般 若 波 羅 蜜 則 於 阿 耨 多 羅 三 
T08n0227_006:0563a26	藐三菩提狐疑未了。是故菩薩摩訶薩，欲得	藐 三 菩 提 狐 疑 未 了 是 故 菩薩摩訶薩 欲 得 
T08n0227_006:0563a27	阿耨多羅三藐三菩提，當善行般若波羅蜜	阿耨多羅三藐三菩提 當 善 行 般 若 波 羅 蜜 
T08n0227_006:0563a28	方便。」爾時欲色界諸天子白佛言：「世尊！般若	方 便 爾 時 欲 色界諸天 子 白 佛 言 世 尊 般 若 
T08n0227_006:0563a29	波羅蜜甚深，阿耨多羅三藐三菩提難得。」佛	波 羅 蜜 甚 深 阿耨多羅三藐三菩提 難 得 佛 
T08n0227_006:0563b01	言：「如是，如是！諸天子！般若波羅蜜甚深，阿耨	言 如 是 如 是 諸 天 子 般 若 波 羅 蜜 甚 深 阿 耨 
T08n0227_006:0563b02	多羅三藐三菩提難得。」須菩提白佛言：「世尊！	多 羅 三藐三菩提 難 得 須 菩 提 白 佛 言 世 尊 
T08n0227_006:0563b03	如佛所說般若波羅蜜甚深，阿耨多羅三藐	如 佛 所 說 般 若 波 羅 蜜 甚 深 阿 耨 多 羅 三 藐 
T08n0227_006:0563b04	三菩提難得。如我解佛所說義，阿耨多羅三	三 菩 提 難 得 如 我 解 佛 所 說 義 阿 耨 多 羅 三 
T08n0227_006:0563b05	藐三菩提易得。何以故？無法可得，諸法空中，	藐 三 菩 提 易 得 何 以 故 無 法 可 得 諸 法 空 中 
T08n0227_006:0563b06	無有得阿耨多羅三藐三菩提者。無法可得，	無 有 得阿耨多羅三藐三菩提 者 無 法 可 得 
T08n0227_006:0563b07	無所用法可得，一切法皆空故。諸所說法，為	無 所 用 法 可 得 一 切 法 皆 空 故 諸 所 說 法 為 
T08n0227_006:0563b08	有所斷，是法亦空。世尊！阿耨多羅三藐三菩	有 所 斷 是 法 亦 空 世 尊 阿 耨 多 羅 三 藐 三 菩 
T08n0227_006:0563b09	提法，得者所用法、得知者所用法，如是法皆	提 法 得 者 所 用 法 得 知 者 所 用 法 如 是 法 皆 
T08n0227_006:0563b10	空。世尊！以是因緣故，阿耨多羅三藐三菩提	空 世 尊 以是因緣 故 阿耨多羅三藐三菩提 
T08n0227_006:0563b11	則為易得。諸可得者，皆同虛空。」舍利弗語須	則 為 易 得 諸 可 得 者 皆 同 虛 空 舍 利 弗 語 須 
T08n0227_006:0563b12	菩提：「若阿耨多羅三藐三菩提易得者，恒河	菩 提 若 阿耨多羅三藐三菩提 易 得 者 恒 河 
T08n0227_006:0563b13	沙等諸菩薩，不應退轉。以是因緣故，當知阿	沙 等 諸 菩 薩 不 應 退 轉 以是因緣 故 當 知 阿 
T08n0227_006:0563b14	耨多羅三藐三菩提難得。」「舍利弗！於意云何？	耨 多 羅 三藐三菩提 難 得 舍 利 弗 於意云何 
T08n0227_006:0563b15	色於阿耨多羅三藐三菩提退轉不？」「不也，須	色 於 阿耨多羅三藐三菩提 退 轉 不 不 也 須 
T08n0227_006:0563b16	菩提！」「舍利弗！受、想、行、識於阿耨多羅三藐三	菩 提 舍 利 弗 受 想 行 識 於 阿 耨 多 羅 三 藐 三 
T08n0227_006:0563b17	菩提退轉不？」「不也，須菩提！」「舍利弗！離色，有法	菩 提 退 轉 不 不 也 須 菩 提 舍 利 弗 離 色 有 法 
T08n0227_006:0563b18	可得於阿耨多羅三藐三菩提退轉不？」「不也，	可 得 於 阿耨多羅三藐三菩提 退 轉 不 不 也 
T08n0227_006:0563b19	須菩提！」「舍利弗！離受、想、行、識，有法可得於阿	須 菩 提 舍 利 弗 離 受 想 行 識 有 法 可 得 於 阿 
T08n0227_006:0563b20	耨多羅三藐三菩提退轉不？」「不也，須菩提！」「舍	耨 多 羅 三藐三菩提 退 轉 不 不 也 須 菩 提 舍 
T08n0227_006:0563b21	利弗！色如，於阿耨多羅三藐三菩提退轉不？」	利 弗 色 如 於 阿耨多羅三藐三菩提 退 轉 不 
T08n0227_006:0563b22	「不也，須菩提！」「舍利弗！受、想、行、識如，於阿耨多	 不 也 須 菩 提 舍 利 弗 受 想 行 識 如 於 阿 耨 多 
T08n0227_006:0563b23	羅三藐三菩提退轉不？」「不也，須菩提！」「舍利弗！	羅 三藐三菩提 退 轉 不 不 也 須 菩 提 舍 利 弗 
T08n0227_006:0563b24	離色如，有法可得於阿耨多羅三藐三菩提退	離 色 如 有 法 可 得 於 阿耨多羅三藐三菩提 退 
T08n0227_006:0563b25	轉不？」「不也，須菩提！」「舍利弗！離受、想、行、識如，有	轉 不 不 也 須 菩 提 舍 利 弗 離 受 想 行 識 如 有 
T08n0227_006:0563b26	法可得於阿耨多羅三藐三菩提退轉不？」「不也，	法 可 得 於 阿耨多羅三藐三菩提 退 轉 不 不 也 
T08n0227_006:0563b27	須菩提！」「舍利弗！離諸法如，有法可得於阿耨	須 菩 提 舍 利 弗 離 諸 法 如 有 法 可 得 於 阿 耨 
T08n0227_006:0563b28	多羅三藐三菩提退轉不？」「不也，須菩提！」「舍利	多 羅 三藐三菩提 退 轉 不 不 也 須 菩 提 舍 利 
T08n0227_006:0563c01	弗！如是實求不可得，為何等法於阿耨多羅三	弗 如 是 實 求不可得 為 何 等 法 於 阿 耨 多 羅 三 
T08n0227_006:0563c02	藐三菩提退轉者？舍利弗！無法於阿耨多羅	藐 三 菩 提 退 轉 者 舍 利 弗 無 法 於 阿 耨 多 羅 
T08n0227_006:0563c03	三藐三菩提退轉。」舍利弗言：「如須菩提所說	三藐三菩提 退 轉 舍 利 弗 言 如 須 菩 提 所 說 
T08n0227_006:0563c04	義，則為無有菩薩退轉。若爾者，佛說三乘人	義 則 為 無 有 菩 薩 退 轉 若 爾 者 佛 說 三 乘 人 
T08n0227_006:0563c05	則無差別。」爾時富樓那彌多羅尼子語舍利	則 無 差 別 爾 時 富 樓 那 彌 多 羅 尼 子 語 舍 利 
T08n0227_006:0563c06	弗：「應問須菩提，汝欲令有一菩薩乘不？」舍利	弗 應 問 須 菩 提 汝 欲 令 有 一 菩 薩 乘 不 舍 利 
T08n0227_006:0563c07	弗即問須菩提：「汝欲令有一菩薩乘耶？」須	弗 即 問 須 菩 提 汝 欲 令 有 一 菩 薩 乘 耶 須 
T08n0227_006:0563c08	菩提言：「如中可有三乘人不？若聲聞、辟支佛、	菩 提 言 如 中 可 有 三 乘 人 不 若 聲 聞 辟 支 佛 
T08n0227_006:0563c09	佛乘？」「須菩提！如中無有三相差別。」「舍利弗！如	佛 乘 須 菩 提 如 中 無 有 三 相 差 別 舍 利 弗 如 
T08n0227_006:0563c10	有一相不？」「不也，須菩提！」「舍利弗！如中乃至見	有 一 相 不 不 也 須 菩 提 舍 利 弗 如 中 乃 至 見 
T08n0227_006:0563c11	有一乘人不？」「不也，須菩提！」「舍利弗！如是實求	有 一 乘 人 不 不 也 須 菩 提 舍 利 弗 如 是 實 求 
T08n0227_006:0563c12	是法不可得。汝云何作是念：『是聲聞乘，是辟	是 法 不 可 得 汝 云 何 作 是 念 是 聲 聞 乘 是 辟 
T08n0227_006:0563c13	支佛乘，是佛乘者。』如是三乘，如中無差別。若	支 佛 乘 是 佛 乘 者 如 是 三 乘 如 中 無 差 別 若 
T08n0227_006:0563c14	菩薩聞是事，不驚不怖，不沒不退，當知是菩	菩 薩 聞 是 事 不驚不怖 不沒不退 當 知 是 菩 
T08n0227_006:0563c15	薩，則能成就菩提。」爾時佛讚須菩提言：「善哉，	薩 則 能 成 就 菩 提 爾 時 佛 讚 須 菩 提 言 善 哉 
T08n0227_006:0563c16	善哉！須菩提！汝所樂說，皆是佛力。所謂如中	善 哉 須 菩 提 汝 所 樂 說 皆 是 佛 力 所 謂 如 中 
T08n0227_006:0563c17	求三乘人，無有差別。若菩薩聞是事，不驚不	求 三 乘 人 無有差別 若 菩 薩 聞 是 事 不 驚 不 
T08n0227_006:0563c18	怖，不沒不退，當知是菩薩能成就菩提。」爾時	怖 不沒不退 當 知 是 菩 薩 能 成 就 菩 提 爾 時 
T08n0227_006:0563c19	舍利弗白佛言：「世尊！是菩薩成就何等菩提？」	舍 利 弗 白 佛 言 世 尊 是 菩 薩 成 就 何 等 菩 提 
T08n0227_006:0563c20	「舍利弗！是菩薩成就無上菩提。」舍利弗白佛	 舍 利 弗 是 菩 薩 成 就 無上菩提 舍 利 弗 白 佛 
T08n0227_006:0563c21	言：「世尊！若菩薩欲成就阿耨多羅三藐三菩	言 世 尊 若 菩 薩 欲 成 就 阿 耨 多 羅 三 藐 三 菩 
T08n0227_006:0563c22	提，應云何行？」佛言：「於一切眾生應行等心，慈	提 應 云 何 行 佛 言 於 一 切 眾 生 應 行 等 心 慈 
T08n0227_006:0563c23	心，不異心，謙下心，安隱心，不瞋心，不惱心，不戲	心 不 異 心 謙 下 心 安 隱 心 不 瞋 心 不 惱 心 不 戲 
T08n0227_006:0563c24	弄心，父母心，兄弟心，與共語言。舍利弗！若菩	弄 心 父 母 心 兄 弟 心 與 共 語 言 舍 利 弗 若 菩 
T08n0227_006:0563c25	薩欲成就阿耨多羅三藐三菩提，應如是學，	薩 欲 成 就 阿耨多羅三藐三菩提 應 如 是 學 
T08n0227_006:0563c26	應如是行。」◎	應 如 是 行 
T08n0227_006:0563c27	◎摩訶般若波羅蜜阿惟越致相品第十	 摩訶般若波羅蜜 阿惟越致 相 品 第 十 
T08n0227_006:0563c28	六	六 
T08n0227_006:0563c29	爾時須菩提白佛言：「世尊！何等是阿惟越致	爾 時 須 菩 提 白 佛 言 世 尊 何 等 是 阿惟越致 
T08n0227_006:0564a01	菩薩相貌？我當云何知是阿惟越致菩薩？」佛	菩 薩 相 貌 我 當 云 何 知 是 阿惟越致 菩 薩 佛 
T08n0227_006:0564a02	告須菩提：「所有凡夫地、聲聞地、辟支佛地、如	告 須 菩 提 所 有 凡 夫 地 聲 聞 地 辟支佛地 如 
T08n0227_006:0564a03	來地，是諸地於如中不壞不二不別。菩薩以	來 地 是 諸 地 於 如 中 不 壞 不 二 不 別 菩 薩 以 
T08n0227_006:0564a04	是如，入諸法實相，亦不分別是如，此是如相，	是 如 入 諸法實相 亦 不 分 別 是 如 此 是 如 相 
T08n0227_006:0564a05	隨是如，入諸法實相。出是如已，更聞餘法。不	隨 是 如 入 諸法實相 出 是 如 已 更 聞 餘 法 不 
T08n0227_006:0564a06	疑不悔，不言是非，見一切法，皆入於如。是菩	疑 不 悔 不 言 是 非 見 一 切 法 皆 入 於 如 是 菩 
T08n0227_006:0564a07	薩凡有所說，終不說無益事。言必有益，不觀	薩 凡 有 所 說 終 不 說 無 益 事 言 必 有 益 不 觀 
T08n0227_006:0564a08	他人長短。須菩提！以是相貌，當知是阿惟越	他 人 長 短 須 菩 提 以 是 相 貌 當 知 是 阿 惟 越 
T08n0227_006:0564a09	致菩薩。「復次，須菩提！阿惟越致菩薩不觀外	致 菩 薩 復 次 須 菩 提 阿惟越致 菩 薩 不 觀 外 
T08n0227_006:0564a10	道沙門、婆羅門言說，實知實見。又，阿惟越致	道 沙 門 婆羅門言 說 實 知 實 見 又 阿惟越致 
T08n0227_006:0564a11	菩薩，不禮事餘天，不用華香供養。須菩提！以	菩 薩 不 禮 事 餘 天 不 用 華 香 供 養 須 菩 提 以 
T08n0227_006:0564a12	是相貌，當知是阿惟越致菩薩。「復次，須菩提！	是 相 貌 當 知 是 阿惟越致 菩 薩 復 次 須 菩 提 
T08n0227_006:0564a13	阿惟越致菩薩終不墮三惡道，不受女人身。	阿惟越致 菩 薩 終 不 墮 三 惡 道 不 受 女 人 身 
T08n0227_006:0564a14	須菩提！以是相貌，當知是阿惟越致菩薩。「復	須 菩 提 以 是 相 貌 當 知 是 阿惟越致 菩 薩 復 
T08n0227_006:0564a15	次，須菩提！阿惟越致菩薩自不殺生，亦不教	次 須 菩 提 阿惟越致 菩 薩 自 不 殺 生 亦 不 教 
T08n0227_006:0564a16	他殺生，自不偷劫，不邪婬，不妄語，不兩舌，不	他 殺 生 自 不 偷 劫 不 邪 婬 不 妄 語 不 兩 舌 不 
T08n0227_006:0564a17	惡口，不無益語，不貪嫉，不瞋惱，不邪見，亦不	惡 口 不 無 益 語 不 貪 嫉 不 瞋 惱 不 邪 見 亦 不 
T08n0227_006:0564a18	教他令行邪見。是十善道，身常自行，亦教他	教 他 令 行 邪 見 是 十 善 道 身 常 自 行 亦 教 他 
T08n0227_006:0564a19	行。是菩薩乃至夢中不行十不善道，乃至夢	行 是 菩 薩 乃 至 夢 中 不 行 十 不 善 道 乃 至 夢 
T08n0227_006:0564a20	中亦常行十善道。須菩提！阿惟越致菩薩	中 亦 常 行 十 善 道 須 菩 提 阿惟越致 菩 薩 
T08n0227_006:0564a21	以是相貌，當知是阿惟越致菩薩。「復次，須菩	以 是 相 貌 當 知 是 阿惟越致 菩 薩 復 次 須 菩 
T08n0227_006:0564a22	提！所可誦讀經典，作如是念：『我欲令眾生	提 所 可 誦 讀 經 典 作如是念 我 欲 令 眾 生 
T08n0227_006:0564a23	得安樂故，當為說法。以是法施，如法滿願；	得 安 樂 故 當 為 說 法 以 是 法 施 如 法 滿 願 
T08n0227_006:0564a24	以是法施，與一切眾生共之。』須菩提！以是相	以 是 法 施 與 一 切 眾 生 共 之 須 菩 提 以 是 相 
T08n0227_006:0564a25	貌，當知是阿惟越致菩薩。「復次，須菩提！阿惟	貌 當 知 是 阿惟越致 菩 薩 復 次 須 菩 提 阿 惟 
T08n0227_006:0564a26	越致菩薩聞深法時，心無疑悔，節言軟語，少	越 致 菩 薩 聞 深 法 時 心 無 疑 悔 節 言 軟 語 少 
T08n0227_006:0564a27	於眠臥，若來若去，心常不亂，行不卒疾，常一	於 眠 臥 若 來 若 去 心 常 不 亂 行 不 卒 疾 常 一 
T08n0227_006:0564a28	其心，安詳徐步，視地而行。須菩提！如是相	其 心 安 詳 徐 步 視 地 而 行 須 菩 提 如 是 相 
T08n0227_006:0564a29	貌，當知是阿惟越致菩薩。「復次，須菩提！阿惟	貌 當 知 是 阿惟越致 菩 薩 復 次 須 菩 提 阿 惟 
T08n0227_006:0564b01	越致菩薩，衣服臥具，無有垢穢，常樂清淨，威	越 致 菩 薩 衣 服 臥 具 無 有 垢 穢 常 樂 清 淨 威 
T08n0227_006:0564b02	儀具足，身常安隱，少於疾病。須菩提！凡夫身	儀 具 足 身 常 安 隱 少 於 疾 病 須 菩 提 凡 夫 身 
T08n0227_006:0564b03	中八萬戶虫，是阿惟越致菩薩身中，無有如	中 八 萬 戶 虫 是 阿惟越致 菩 薩 身 中 無 有 如 
T08n0227_006:0564b04	是諸虫。何以故？須菩提！是菩薩善根超出世	是 諸 虫 何 以 故 須 菩 提 是 菩 薩 善 根 超 出 世 
T08n0227_006:0564b05	間，隨善根增長故，得心清淨、身清淨。」須菩提	間 隨 善 根 增 長 故 得 心 清 淨 身 清 淨 須 菩 提 
T08n0227_006:0564b06	白佛言：「世尊！何等為菩薩心清淨？」「須菩提！隨	白 佛 言 世 尊 何 等 為 菩 薩 心 清 淨 須 菩 提 隨 
T08n0227_006:0564b07	菩薩善根增長，諂曲欺誑，漸漸自滅，以滅故，	菩 薩 善 根 增 長 諂 曲 欺 誑 漸 漸 自 滅 以 滅 故 
T08n0227_006:0564b08	心清淨。以心清淨故，能過聲聞、辟支佛地，是	心 清 淨 以 心 清 淨 故 能 過 聲 聞 辟支佛地 是 
T08n0227_006:0564b09	名菩薩心清淨。須菩提！以是相貌，當知是阿	名 菩 薩 心 清 淨 須 菩 提 以 是 相 貌 當 知 是 阿 
T08n0227_006:0564b10	惟越致菩薩。「復次，須菩提！阿惟越致菩薩不	惟 越 致 菩 薩 復 次 須 菩 提 阿惟越致 菩 薩 不 
T08n0227_006:0564b11	貪利養，少於慳嫉。聞深法時，其心不沒，智慧	貪 利 養 少 於 慳 嫉 聞 深 法 時 其 心 不 沒 智 慧 
T08n0227_006:0564b12	深故，一心聽法。所可聞法，皆應般若波羅	深 故 一 心 聽 法 所 可 聞 法 皆 應 般 若 波 羅 
T08n0227_006:0564b13	蜜。是菩薩因般若波羅蜜，世間諸事，皆同實	蜜 是 菩 薩 因 般 若 波 羅 蜜 世 間 諸 事 皆 同 實 
T08n0227_006:0564b14	相，不見資生之事不應般若波羅蜜者。須	相 不 見 資 生 之 事 不 應 般 若 波 羅 蜜 者 須 
T08n0227_006:0564b15	菩提！以是相貌，當知是阿惟越致菩薩。「復次，	菩 提 以 是 相 貌 當 知 是 阿惟越致 菩 薩 復 次 
T08n0227_006:0564b16	須菩提！若惡魔至菩薩所，化作八大地獄。一	須 菩 提 若 惡 魔 至 菩 薩 所 化 作 八大地獄 一 
T08n0227_006:0564b17	一地獄，化作若干百千萬菩薩，作是言：『是諸	一 地 獄 化 作 若 干 百 千 萬 菩 薩 作 是 言 是 諸 
T08n0227_006:0564b18	菩薩，佛皆與授阿惟越致記。而今墮此大地	菩 薩 佛 皆 與 授 阿惟越致 記 而 今 墮 此 大 地 
T08n0227_006:0564b19	獄中，汝若受阿惟越致記者，即受地獄記。汝	獄 中 汝 若 受 阿惟越致 記 者 即 受 地 獄 記 汝 
T08n0227_006:0564b20	今若能悔是心者，不墮地獄，當生天上。』是菩	今 若 能 悔 是 心 者 不 墮 地 獄 當 生 天 上 是 菩 
T08n0227_006:0564b21	薩若聞是語，心不動恚，而作是念：『阿惟越致	薩 若 聞 是 語 心 不 動 恚 而 作 是 念 阿惟越致 
T08n0227_006:0564b22	菩薩，若墮惡道，無有是處。』須菩提！以是相貌，	菩 薩 若 墮 惡 道 無 有 是 處 須 菩 提 以 是 相 貌 
T08n0227_006:0564b23	當知是阿惟越致菩薩。	當 知 是 阿惟越致 菩 薩 
T08n0227_006:0564b24	「復次，須菩提！若惡魔化作沙門，至菩薩所，作	 復 次 須 菩 提 若 惡 魔 化 作 沙 門 至 菩 薩 所 作 
T08n0227_006:0564b25	是言：『汝先所聞讀誦，宜應悔捨。汝若捨離，不	是 言 汝 先 所 聞 讀 誦 宜 應 悔 捨 汝 若 捨 離 不 
T08n0227_006:0564b26	復聽受，我當常至汝所。汝所聞者，非佛所說，	復 聽 受 我 當 常 至 汝 所 汝 所 聞 者 非 佛 所 說 
T08n0227_006:0564b27	皆是文飾莊校之辭。我所說經，真是佛語。』若	皆 是 文 飾 莊 校 之 辭 我 所 說 經 真 是 佛 語 若 
T08n0227_006:0564b28	聞是事，心有動恚，當知是菩薩，未從諸佛受	聞 是 事 心 有 動 恚 當 知 是 菩 薩 未 從 諸 佛 受 
T08n0227_006:0564b29	記，非是必定菩薩，未住阿惟越致菩薩性	記 非 是 必 定 菩 薩 未 住 阿惟越致 菩 薩 性 
T08n0227_006:0564c01	中。須菩提！聞是事心不動恚，但依諸法	中 須 菩 提 聞 是 事 心 不 動 恚 但 依 諸 法 
T08n0227_006:0564c02	相，無生無作無起，不隨他語。如漏盡阿羅漢，	相 無 生 無 作 無 起 不 隨 他 語 如 漏 盡 阿 羅 漢 
T08n0227_006:0564c03	現前證諸法相，不生不起法故，不為惡魔	現 前 證 諸 法 相 不生不起 法 故 不 為 惡 魔 
T08n0227_006:0564c04	所制。須菩提！菩薩亦如是求聲聞、辟支佛者，	所 制 須 菩 提 菩 薩 亦 如 是 求 聲 聞 辟 支 佛 者 
T08n0227_006:0564c05	所不能破，不復退轉，必至薩婆若，住阿惟越	所 不 能 破 不 復 退 轉 必 至 薩 婆 若 住 阿 惟 越 
T08n0227_006:0564c06	致性中，不隨他語。	致 性 中 不 隨 他 語 
T08n0227_006:0564c07	須菩提！以是相貌，當知是阿惟越致菩薩。「復	須 菩 提 以 是 相 貌 當 知 是 阿惟越致 菩 薩 復 
T08n0227_006:0564c08	次，須菩提！若惡魔至菩薩所，作是言：『汝所行	次 須 菩 提 若 惡 魔 至 菩 薩 所 作 是 言 汝 所 行 
T08n0227_006:0564c09	者，是生死行，非薩婆若行。汝今可於此身，盡	者 是 生 死 行 非 薩 婆 若 行 汝 今 可 於 此 身 盡 
T08n0227_006:0564c10	苦取涅槃。若能如是，則不復受生死諸苦，是	苦 取 涅 槃 若 能 如 是 則 不 復 受 生 死 諸 苦 是 
T08n0227_006:0564c11	身生尚不可得，何況欲受後身。』是菩薩若聞	身 生 尚 不 可 得 何 況 欲 受 後 身 是 菩 薩 若 聞 
T08n0227_006:0564c12	是事，心不動恚。惡魔復作是言：『汝今欲見諸	是 事 心 不 動 恚 惡 魔 復 作 是 言 汝 今 欲 見 諸 
T08n0227_006:0564c13	菩薩供養恒河沙等諸佛，衣服、飲食、臥具、醫	菩 薩 供 養 恒 河 沙 等 諸 佛 衣 服 飲 食 臥 具 醫 
T08n0227_006:0564c14	藥，皆於恒河沙等諸佛所，修行梵行，親近諮	藥 皆 於 恒 河 沙 等 諸 佛 所 修行梵行 親 近 諮 
T08n0227_006:0564c15	請。為菩薩乘故，多所問難：菩薩云何應住？云	請 為 菩 薩 乘 故 多 所 問 難 菩 薩 云 何 應 住 云 
T08n0227_006:0564c16	何應行？是諸菩薩，於諸佛所，隨所聞事，皆能	何 應 行 是 諸 菩 薩 於 諸 佛 所 隨 所 聞 事 皆 能 
T08n0227_006:0564c17	修行。如是教，如是學，如是行，猶尚不能得阿	修 行 如 是 教 如 是 學 如 是 行 猶 尚 不 能 得 阿 
T08n0227_006:0564c18	耨多羅三藐三菩提，不住薩婆若，何況汝當	耨 多 羅 三藐三菩提 不 住 薩 婆 若 何 況 汝 當 
T08n0227_006:0564c19	得阿耨多羅三藐三菩提。』是菩薩若聞是事，	得阿耨多羅三藐三菩提 是 菩 薩 若 聞 是 事 
T08n0227_006:0564c20	心不動恚。惡魔即時復化作諸比丘，作是言：	心 不 動 恚 惡 魔 即 時 復 化 作 諸 比 丘 作 是 言 
T08n0227_006:0564c21	『是諸比丘，皆漏盡阿羅漢，先皆發心，欲求佛	 是 諸 比 丘 皆 漏 盡 阿 羅 漢 先 皆 發 心 欲 求 佛 
T08n0227_006:0564c22	道，而今皆住阿羅漢地，何況於汝，當得阿耨	道 而 今 皆 住 阿 羅 漢 地 何 況 於 汝 當 得 阿 耨 
T08n0227_006:0564c23	多羅三藐三菩提。』菩薩若作是念：『我從他聞，	多 羅 三藐三菩提 菩 薩 若 作 是 念 我 從 他 聞 
T08n0227_006:0564c24	為無所失。若心不轉，不生異念如是魔事。	為 無 所 失 若 心 不 轉 不 生 異 念 如 是 魔 事 
T08n0227_006:0564c25	若菩薩如是行諸波羅蜜，如是學諸波羅蜜，不	若 菩 薩 如 是 行 諸波羅蜜 如 是 學 諸波羅蜜 不 
T08n0227_006:0564c26	得薩婆若，無有是處。』須菩提！若菩薩如諸佛	得 薩 婆 若 無 有 是 處 須 菩 提 若 菩 薩 如 諸 佛 
T08n0227_006:0564c27	說，隨所聞學，隨所聞行，不離是道，不離薩婆	說 隨 所 聞 學 隨 所 聞 行 不 離 是 道 不 離 薩 婆 
T08n0227_006:0564c28	若念，不得薩婆若，無有是處。須菩提！以是相	若 念 不 得 薩 婆 若 無 有 是 處 須 菩 提 以 是 相 
T08n0227_006:0564c29	貌，當知是阿惟越致菩薩。「復次，須菩提！阿惟	貌 當 知 是 阿惟越致 菩 薩 復 次 須 菩 提 阿 惟 
T08n0227_006:0565a01	越致菩薩，若惡魔來作是言：『薩婆若同於虛	越 致 菩 薩 若 惡 魔 來 作 是 言 薩 婆 若 同 於 虛 
T08n0227_006:0565a02	空，是法無所有，無人用是法得道者。何以	空 是 法 無 所 有 無 人 用 是 法 得 道 者 何 以 
T08n0227_006:0565a03	故？若得道者得道法，所用得法，皆如虛空，	故 若 得 道 者 得 道 法 所 用 得 法 皆 如 虛 空 
T08n0227_006:0565a04	知者知法，所用法，無所有皆同虛空，汝唐受	知 者 知 法 所 用 法 無 所 有 皆 同 虛 空 汝 唐 受 
T08n0227_006:0565a05	苦惱。若言得阿耨多羅三藐三菩提，即是魔	苦 惱 若 言 得阿耨多羅三藐三菩提 即 是 魔 
T08n0227_006:0565a06	事，非佛所說。』菩薩於此，應如是念：『若訶我令	事 非 佛 所 說 菩 薩 於 此 應 如 是 念 若 訶 我 令 
T08n0227_006:0565a07	離薩婆若，爾者是為魔事。於是事中，應生	離 薩 婆 若 爾 者 是 為 魔 事 於 是 事 中 應 生 
T08n0227_006:0565a08	堅固心、不動心、不轉心。』須菩提！以是相貌，當	堅 固 心 不 動 心 不 轉 心 須 菩 提 以 是 相 貌 當 
T08n0227_006:0565a09	知是阿惟越致菩薩。「復次，須菩提！阿惟越致	知 是 阿惟越致 菩 薩 復 次 須 菩 提 阿惟越致 
T08n0227_006:0565a10	菩薩若欲入初禪，第二第三第四禪，心轉調	菩 薩 若 欲 入 初 禪 第二第三 第 四 禪 心 轉 調 
T08n0227_006:0565a11	習。是菩薩雖入諸禪，還取欲界法，不隨禪生。	習 是 菩 薩 雖 入 諸 禪 還 取 欲 界 法 不 隨 禪 生 
T08n0227_006:0565a12	須菩提！以是相貌，當知是阿惟越致菩薩。「復	須 菩 提 以 是 相 貌 當 知 是 阿惟越致 菩 薩 復 
T08n0227_006:0565a13	次，須菩提！阿惟越致菩薩心不貪好名聞稱	次 須 菩 提 阿惟越致 菩 薩 心 不 貪 好 名 聞 稱 
T08n0227_006:0565a14	讚，於諸眾生，心無恚礙，常生安隱利益之心。	讚 於 諸 眾 生 心 無 恚 礙 常 生 安 隱 利 益 之 心 
T08n0227_006:0565a15	進止來去，心不散亂，常一其心，不失威儀。須	進 止 來 去 心 不 散 亂 常 一 其 心 不 失 威 儀 須 
T08n0227_006:0565a16	菩提！是菩薩若在居家，不染著諸欲。所受諸	菩 提 是 菩 薩 若 在 居 家 不 染 著 諸 欲 所 受 諸 
T08n0227_006:0565a17	欲，心生厭離，常懷怖畏。譬如險道，多諸賊難。	欲 心生厭離 常 懷 怖 畏 譬 如 險 道 多 諸 賊 難 
T08n0227_006:0565a18	雖有所食，厭離怖畏，心不自安，但念何時過	雖 有 所 食 厭 離 怖 畏 心 不 自 安 但 念 何 時 過 
T08n0227_006:0565a19	此險道。阿惟越致菩薩雖在家居，所受諸	此 險 道 阿惟越致 菩 薩 雖 在 家 居 所 受 諸 
T08n0227_006:0565a20	欲，皆見過惡，心不貪惜，不以邪命非法自活。	欲 皆 見 過 惡 心 不 貪 惜 不 以 邪 命 非 法 自 活 
T08n0227_006:0565a21	寧失身命，不侵於人。何以故？菩薩在家，應安	寧 失 身 命 不 侵 於 人 何 以 故 菩 薩 在 家 應 安 
T08n0227_006:0565a22	樂眾生，雖復在家，而能成就如是功德。何	樂 眾 生 雖 復 在 家 而 能 成 就 如 是 功 德 何 
T08n0227_006:0565a23	以故？得般若波羅蜜力故。須菩提！以是相貌，	以 故 得 般 若 波 羅 蜜 力 故 須 菩 提 以 是 相 貌 
T08n0227_006:0565a24	當知是阿惟越致菩薩。「復次，須菩提！阿惟越	當 知 是 阿惟越致 菩 薩 復 次 須 菩 提 阿 惟 越 
T08n0227_006:0565a25	致菩薩，執金剛神常隨侍衛，不令非人近之。	致 菩 薩 執金剛神 常 隨 侍 衛 不 令 非 人 近 之 
T08n0227_006:0565a26	是菩薩心無狂亂，諸根具足，無所缺減，修賢	是 菩 薩 心 無 狂 亂 諸 根 具 足 無 所 缺 減 修 賢 
