T22n1424_001:0214a17	彌沙塞羯磨本	彌 沙 塞 羯 磨 本 
T22n1424_001:0220a18	尼、非釋種女。一切不得婬乃至以染著心看	尼 非 釋 種 女 一 切 不 得 婬 乃 至 以 染 著 心 看 
T22n1424_001:0220a19	他男子。若比丘尼行婬法乃至畜生，非比丘	他 男 子 若 比 丘 尼 行 婬 法 乃 至 畜 生 非 比 丘 
T22n1424_001:0220a20	尼、非釋種女。是中盡形壽不得犯。能持不？」(答言：	尼 非 釋 種 女 是 中 盡 形 壽 不 得 犯 能 持 不 答 言 
T22n1424_001:0220a21	「能。」)「一切不得偷盜乃至草葉。若比丘尼，若聚落、	 能 一 切 不 得 偷 盜 乃 至 草 葉 若 比 丘 尼 若 聚 落 
T22n1424_001:0220a22	若空地，他所守護物，盜五錢、若過五錢，非比	若 空 地 他 所 守 護 物 盜 五 錢 若 過 五 錢 非 比 
T22n1424_001:0220a23	丘尼、非釋種女。是中盡形壽不得犯。能持不？」	丘 尼 非 釋 種 女 是 中 盡 形 壽 不 得 犯 能 持 不 
T22n1424_001:0220a24	(答言：「能。」)「一切不得殺生乃至蟻子。若比丘尼，若人、	 答 言 能 一 切 不 得 殺 生 乃 至 蟻 子 若 比 丘 尼 若 人 
T22n1424_001:0220a25	若似人，自手斷命、持刀受與、教人殺、教死讚	若 似 人 自 手 斷 命 持 刀 受 與 教 人 殺 教 死 讚 
T22n1424_001:0220a26	死，非比丘尼、非釋種女。是中盡形壽不得犯。	死 非 比 丘 尼 非 釋 種 女 是 中 盡 形 壽 不 得 犯 
T22n1424_001:0220a27	能持不？」(答言：「能。」)「一切不得妄語乃至戲笑。若比	能 持 不 答 言 能 一 切 不 得 妄 語 乃 至 戲 笑 若 比 
T22n1424_001:0220a28	丘尼自無過人法，若言有諸禪、解脫、三昧正	丘 尼 自 無 過 人 法 若 言 有 諸 禪 解 脫 三 昧 正 
T22n1424_001:0220a29	受、若道若果，非比丘尼、非釋種女。是中盡形	受 若 道 若 果 非 比 丘 尼 非 釋 種 女 是 中 盡 形 
T22n1424_001:0220b01	壽不得犯。能持不？」(答言：「能。」)「一切不得親近男子。	壽 不 得 犯 能 持 不 答 言 能 一 切 不 得 親 近 男 子 
T22n1424_001:0220b02	若比丘尼，欲盛變心，摩觸男子身髮已下、膝	若 比 丘 尼 欲 盛 變 心 摩 觸 男 子 身 髮 已 下 膝 
T22n1424_001:0220b03	已上，若男子作如是摩觸亦不得受，若按若	已 上 若 男 子 作 如 是 摩 觸 亦 不 得 受 若 按 若 
T22n1424_001:0220b04	押、若舉若下、若捉若牽，非比丘尼、非釋種女。	押 若 舉 若 下 若 捉 若 牽 非 比 丘 尼 非 釋 種 女 
T22n1424_001:0220b05	是中盡形壽不得犯。能持不？」(答言：「能。」)「一切不得與	是 中 盡 形 壽 不 得 犯 能 持 不 答 言 能 一 切 不 得 與 
T22n1424_001:0220b06	男子共住共語。若比丘尼，欲盛變心，受男子	男 子 共 住 共 語 若 比 丘 尼 欲 盛 變 心 受 男 子 
T22n1424_001:0220b07	若捉手、若捉衣、若期行、若獨共行、若獨共	若 捉 手 若 捉 衣 若 期 行 若 獨 共 行 若 獨 共 
T22n1424_001:0220b08	住、若獨共語、若共坐、若以身相近，具是八	住 若 獨 共 語 若 共 坐 若 以 身 相 近 具 是 八 
T22n1424_001:0220b09	事，非比丘尼、非釋種女。是中盡形壽不得犯。	事 非 比 丘 尼 非 釋 種 女 是 中 盡 形 壽 不 得 犯 
T22n1424_001:0220b10	能持不？」(答言：「能。」)「一切不得隨順非法比丘尼語。	能 持 不 答 言 能 一 切 不 得 隨 順 非 法 比 丘 尼 語 
T22n1424_001:0220b11	若比丘尼知和合比丘僧如法舉比丘，而隨	若 比 丘 尼 知 和 合 比 丘 僧 如 法 舉 比 丘 而 隨 
T22n1424_001:0220b12	順此比丘。諸比丘尼語言：『姊妹！此比丘為和	順 此 比 丘 諸比丘尼 語 言 姊 妹 此 比 丘 為 和 
T22n1424_001:0220b13	合比丘僧如法舉，汝莫隨順。』如是諫，堅持不	合 比 丘 僧 如 法 舉 汝 莫 隨 順 如 是 諫 堅 持 不 
T22n1424_001:0220b14	捨，應第二、第三。第二、第三諫，捨是事善。不捨	捨 應 第 二 第 三 第 二 第 三 諫 捨 是 事 善 不 捨 
T22n1424_001:0220b15	者，非比丘尼、非釋種女。是中盡形壽不得犯。	者 非 比 丘 尼 非 釋 種 女 是 中 盡 形 壽 不 得 犯 
T22n1424_001:0220b16	能持不？」(答言：「能。」)「一切不應覆藏他麁惡罪。若比	能 持 不 答 言 能 一 切 不 應 覆 藏 他 麁 惡 罪 若 比 
T22n1424_001:0220b17	丘尼知他比丘尼犯波羅夷罪，彼後時若罷	丘 尼 知 他 比 丘 尼 犯 波羅夷罪 彼 後 時 若 罷 
T22n1424_001:0220b18	道、若死、若遠行、若被舉、若根變，語諸比丘尼	道 若 死 若 遠 行 若 被 舉 若 根 變 語 諸比丘尼 
T22n1424_001:0220b19	作如是語：『我先知是比丘尼犯波羅夷罪。』不	作如是語 我 先 知 是 比 丘 尼 犯 波羅夷罪 不 
T22n1424_001:0220b20	白僧、不向人說，非比丘尼、非釋種女。是中盡	白 僧 不 向 人 說 非 比 丘 尼 非 釋 種 女 是 中 盡 
T22n1424_001:0220b21	形壽不得犯。能持不？」(答言：「能。」)「諸佛世尊善能說	形 壽 不 得 犯 能 持 不 答 言 能 諸佛世尊 善 能 說 
T22n1424_001:0220b22	喻示現事，猶如針鼻決不復任針用，猶如	喻 示 現 事 猶 如 針 鼻 決 不 復 任 針 用 猶 如 
T22n1424_001:0220b23	人死終不能以此身更生，猶如多羅樹心斷	人 死 終 不 能 以 此 身 更 生 猶 如 多 羅 樹 心 斷 
T22n1424_001:0220b24	不生不長，猶如石破不可還合。若比丘尼於	不 生 不 長 猶 如 石 破 不 可 還 合 若 比 丘 尼 於 
T22n1424_001:0220b25	此八法犯一一法，還得成比丘尼，無有是處。」	此 八 法 犯 一 一 法 還 得 成 比 丘 尼 無 有 是 處 
T22n1424_001:0220b26	次說八敬法(應語言)。「汝某甲聽！如來、應供、等正	次 說 八 敬 法 應 語 言 汝 某 甲 聽 如 來 應 供 等 正 
T22n1424_001:0220b27	覺說是八不可越法。汝盡形壽不應越。比丘	覺 說 是 八 不 可 越 法 汝 盡 形 壽 不 應 越 比 丘 
T22n1424_001:0220b28	尼半月應從比丘眾乞教誡人。比丘尼不於	尼 半 月 應 從 比 丘 眾 乞 教 誡 人 比 丘 尼 不 於 
T22n1424_001:0220b29	無比丘處夏安居。比丘尼自恣時應從比丘	無 比 丘 處 夏 安 居 比 丘 尼 自 恣 時 應 從 比 丘 
T22n1424_001:0220c01	眾請三事見聞疑罪。式叉摩那學二歲戒已，	眾 請 三 事 見 聞 疑 罪 式叉摩那 學 二 歲 戒 已 
T22n1424_001:0220c02	應在二部僧中受具足戒。比丘尼不得罵比	應 在 二 部 僧 中 受具足戒 比 丘 尼 不 得 罵 比 
T22n1424_001:0220c03	丘。不得於白衣家說比丘破戒破威儀破見。	丘 不 得 於 白 衣 家 說 比 丘 破 戒 破 威 儀 破 見 
T22n1424_001:0220c04	比丘尼不應舉比丘罪，比丘得呵。比丘尼犯	比 丘 尼 不 應 舉 比 丘 罪 比 丘 得 呵 比 丘 尼 犯 
T22n1424_001:0220c05	麁惡，應在二部僧中半月行摩那埵；半月行	麁 惡 應 在 二 部 僧 中 半 月 行 摩 那 埵 半 月 行 
T22n1424_001:0220c06	摩那埵已，應各二十僧中求出罪。比丘尼雖	摩 那 埵 已 應 各 二 十 僧 中 求 出 罪 比 丘 尼 雖 
T22n1424_001:0220c07	先受戒百歲，故應禮拜起迎新受戒比丘。」	先 受 戒 百 歲 故 應 禮 拜 起 迎 新 受 戒 比 丘 
T22n1424_001:0220c08	次說四依法(應語言)。「汝某甲聽！如來、應供、等正覺	次 說 四 依 法 應 語 言 汝 某 甲 聽 如 來 應 供 等 正 覺 
T22n1424_001:0220c09	說是四依法。盡受依是出家受具足戒。依糞	說 是 四 依 法 盡 受 依 是 出 家 受具足戒 依 糞 
T22n1424_001:0220c10	掃衣出家受具足戒。能持不？」(答言：「能。」)「若得長衣，劫	掃 衣 出 家 受具足戒 能 持 不 答 言 能 若 得 長 衣 劫 
T22n1424_001:0220c11	貝衣、欽婆羅衣、俱捨耶衣、瞿荼伽衣、麻衣，應	貝 衣 欽 婆 羅 衣 俱 捨 耶 衣 瞿 荼 伽 衣 麻 衣 應 
T22n1424_001:0220c12	受。」「依乞食法出家受具足戒。能持不？」(答言：「能。」)「若	受 依 乞 食 法 出 家 受具足戒 能 持 不 答 言 能 若 
T22n1424_001:0220c13	得長，得僧食、前食後食、請食，應受。」「依麁弊臥	得 長 得 僧 食 前 食 後 食 請 食 應 受 依 麁 弊 臥 
T22n1424_001:0220c14	具出家受具足戒。能持不？」(答言：「能。」)「若得長，菴屋、重	具 出 家 受具足戒 能 持 不 答 言 能 若 得 長 菴 屋 重 
T22n1424_001:0220c15	屋、大小房、方圓屋，應受。」「依下賤藥出家受具	屋 大 小 房 方 圓 屋 應 受 依 下 賤 藥 出 家 受 具 
T22n1424_001:0220c16	足戒。能持不？」(答言：「能。」)「若得長，酥、油、蜜、石蜜，應受。」	足 戒 能 持 不 答 言 能 若 得 長 酥 油 蜜 石 蜜 應 受 
T22n1424_001:0220c17	(復應語言)「某甲聽！汝已白四羯磨受具足戒竟，羯磨	 復 應 語 言 某 甲 聽 汝 已 白四羯磨 受具足戒 竟 羯 磨 
T22n1424_001:0220c18	如法。諸天龍神乾闥婆常作是願：『我等何時	如 法 諸 天 龍 神 乾 闥 婆 常 作 是 願 我 等 何 時 
T22n1424_001:0220c19	當得人身，出家受具足戒？』汝今已得。如人得	當 得 人 身 出 家 受具足戒 汝 今 已 得 如 人 得 
T22n1424_001:0220c20	受王位，汝今受比丘尼法亦如是。汝當忍易	受 王 位 汝 今 受 比 丘 尼 法 亦 如 是 汝 當 忍 易 
T22n1424_001:0220c21	共語、易受教誡，當學三戒、滅三毒、出三界，成	共 語 易 受 教 誡 當 學 三 戒 滅 三 毒 出 三 界 成 
T22n1424_001:0220c22	阿羅漢果。餘所不知者，和上阿闍梨當為汝	阿羅漢果 餘 所 不 知 者 和 上 阿 闍 梨 當 為 汝 
T22n1424_001:0220c23	說。」	說 
T22n1424_001:0220c24	第四、衣藥受淨法受持衣法(三衣道摽，賢聖同服。既異外道，又息貪瞋。	第 四 衣 藥 受 淨 法 受 持 衣 法 三 衣 道 摽 賢 聖 同 服 既 異 外 道 又 息 貪 瞋 
T22n1424_001:0220c25	解脫僮相，須加聖法反邪異俗，故制有三。又《多論》云：「為立義故，遮障寒熱，除無慚愧，為入聚落在道生善威儀清淨。	解 脫 僮 相 須 加 聖 法 反 邪 異 俗 故 制 有 三 又 多 論 云 為 立 義 故 遮 障 寒 熱 除 無 慚 愧 為 入 聚 落 在 道 生 善 威 儀 清 淨 
T22n1424_001:0220c26	方制三衣。尼制五衣，亦為斯立。」功能既然，體須依法。四如具足，方堪受持。一[毯炎+旁]、二色、三量、四作。體謂十種之衣，異於	方 制 三 衣 尼 制 五 衣 亦 為 斯 立 功 能 既 然 體 須 依 法 四 如 具 足 方 堪 受 持 一 [毯炎旁] 二 色 三 量 四 作 體 謂 十 種 之 衣 異 於 
T22n1424_001:0220c27	草木皮髮捨墮邪命、毛[毯炎+旁]錦綺皆不成衣。色謂壞色，非俗五彩，斑文綺繡亦不聽許。量謂三肘然五肘然。《多論》中二肘	草 木 皮 髮 捨 墮 邪 命 毛 [毯炎旁] 錦 綺 皆 不 成 衣 色 謂 壞 色 非 俗 五 彩 斑 文 綺 繡 亦 不 聽 許 量 謂 三 肘 然 五 肘 然 多 論 中 二 肘 
T22n1424_001:0220c28	四肘之衣亦聽作安多會。作謂條齒有軌、縫刺如法。下二條數諸教並同。僧伽梨一，《多論》分為九品，若互增減成受有	四 肘 之 衣 亦 聽 作 安 多 會 作 謂 條 齒 有 軌 縫 刺 如 法 下 二 條 數 諸 教 並 同 僧 伽 梨 一 多 論 分 為 九 品 若 互 增 減 成 受 有 
T22n1424_001:0221a01	愆。彼著受用，律有誠說，護淨敬奉同之於塔，惡心毀壞得罪亦然。去即隨身，如鳥毛羽。教既繁廣，豈具言哉也)。	愆 彼 著 受 用 律 有 誠 說 護 淨 敬 奉 同 之 於 塔 惡 心 毀 壞 得 罪 亦 然 去 即 隨 身 如 鳥 毛 羽 教 既 繁 廣 豈 具 言 哉 也 
T22n1424_001:0221a02	受安陀會法(律有獨受之文，今准作其對首)「大德一心念！我比丘	受 安 陀 會 法 律 有 獨 受 之 文 今 准 作 其 對 首 大 德 一 心 念 我 比 丘 
T22n1424_001:0221a03	某甲，此安多會五條受。」(三說)受欝多羅僧法。「大	某 甲 此 安 多 會 五 條 受 三 說 受 欝多羅僧 法 大 
T22n1424_001:0221a04	德一心念！我比丘某甲，此欝多羅僧七條受。」	德 一 心 念 我 比 丘 某 甲 此 欝多羅僧 七 條 受 
T22n1424_001:0221a05	(三說)受僧伽梨法。「大德一心念！我比丘某甲，此	 三 說 受 僧 伽 梨 法 大 德 一 心 念 我 比 丘 某 甲 此 
T22n1424_001:0221a06	僧伽梨九條受。」(隨其條數多少稱之，三說)受僧祇支法。「大德一	僧 伽 梨 九 條 受 隨 其 條 數 多 少 稱 之 三 說 受 僧 祇 支 法 大 德 一 
T22n1424_001:0221a07	心念！我比丘某甲，此僧祇支如法作，我受持。」	心 念 我 比 丘 某 甲 此 僧 祇 支 如 法 作 我 受 持 
T22n1424_001:0221a08	(三說)受覆肩衣法。「大德一心念！我比丘某甲，此	 三 說 受 覆 肩 衣 法 大 德 一 心 念 我 比 丘 某 甲 此 
T22n1424_001:0221a09	覆肩衣如法作，我受持。」(三說)捨衣法(應偏袒右肩，脫革屣，胡跪捉衣	覆 肩 衣 如 法 作 我 受 持 三 說 捨 衣 法 應 偏袒右肩 脫 革 屣 胡 跪 捉 衣 
T22n1424_001:0221a10	心生口言)。「大德一心念！我此僧伽梨九條，今捨。」(三說。餘衣	心 生 口 言 大 德 一 心 念 我 此 僧 伽 梨 九 條 今 捨 三 說 餘 衣 
T22n1424_001:0221a11	准知。心念受捨一同於此，但餘「大德一心念」一句。尼五衣等受捨亦同然)受尼師壇法。「大	准 知 心 念 受 捨 一 同 於 此 但 餘 大 德 一 心 念 一 句 尼 五 衣 等 受 捨 亦 同 然 受 尼 師 壇 法 大 
T22n1424_001:0221a12	德一心念！我比丘某甲，此尼師壇應量作，今	德 一 心 念 我 比 丘 某 甲 此 尼 師 壇 應 量 作 今 
T22n1424_001:0221a13	受持。」(三說)受鉢多羅法。「大德一心念！我比丘某	受 持 三 說 受 鉢 多 羅 法 大 德 一 心 念 我 比 丘 某 
T22n1424_001:0221a14	甲，此鉢多羅應量受，常用故。」受藥法(患累之軀有所資待，	甲 此 鉢 多 羅 應 量 受 常 用 故 受 藥 法 患 累 之 軀 有 所 資 待 
T22n1424_001:0221a15	無病憑食、有疾須藥。通論諸藥總分四種，要不獲已，故聖並開：一、時藥；二、非時藥；三、七日藥；四、盡形藥。前一時藥	無 病 憑 食 有 疾 須 藥 通 論 諸 藥 總 分 四 種 要 不 獲 已 故 聖 並 開 一 時 藥 二 非 時 藥 三 七 日 藥 四 盡 形 藥 前 一 時 藥 
T22n1424_001:0221a16	但有手受，後之三種有語手二受。《多論》手受有其五義，恐失手受故加語法。准《十誦》及論，具有語受之法。諸律皆無	但 有 手 受 後 之 三 種 有 語 手 二 受 多 論 手 受 有 其 五 義 恐 失 手 受 故 加 語 法 准 十 誦 及 論 具 有 語 受 之 法 諸 律 皆 無 
T22n1424_001:0221a17	此文)。	此 文 
T22n1424_001:0221a18	受時藥(此律，時藥體分十種。《四分》五正及五非正並時藥攝。識名體已，心境相應威儀如法，依教而受。	受 時 藥 此 律 時 藥 體 分 十 種 四 分 五 正 及 五 非 正 並 時 藥 攝 識 名 體 已 心 境 相 應 威 儀 如 法 依 教 而 受 
T22n1424_001:0221a19	然此律中受有其四)：一、身授身受；二、物授物受；三、手授手	然 此 律 中 受 有 其 四 一 身 授 身 受 二 物 授 物 受 三 手 授 手 
T22n1424_001:0221a20	受；四、教取而食(謂施主情速不及受食，及惡賤比丘不肯親授，以食著地言可取食。亦聽以	受 四 教 取 而 食 謂 施 主 情 速 不 及 受 食 及 惡 賤 比 丘 不 肯 親 授 以 食 著 地 言 可 取 食 亦 聽 以 
T22n1424_001:0221a21	彼語即為受食)。	彼 語 即 為 受 食 
T22n1424_001:0221a22	受非時藥法(謂菴婆果等諸八種漿，不雜時食。如法作淨，有渴等緣，然後如法。義加云)。「大	受 非 時 藥 法 謂 菴 婆 果 等 諸 八 種 漿 不 雜 時 食 如 法 作 淨 有 渴 等 緣 然 後 如 法 義 加 云 大 
T22n1424_001:0221a23	德一心念！我比丘某甲，今為渴病因緣，此是	德 一 心 念 我 比 丘 某 甲 今 為 渴 病 因 緣 此 是 
T22n1424_001:0221a24	菴婆果漿，為欲經非時服故，今於大德邊受。」	菴 婆 果 漿 為 欲 經 非 時 服 故 今 於 大 德 邊 受 
T22n1424_001:0221a25	(三說。餘漿准此。若無渴病，犯罪)	 三 說 餘 漿 准 此 若 無 渴 病 犯 罪 
T22n1424_001:0221a26	受七日藥法(時諸比丘得風熱病。佛言：「聽以酥、油、蜜、石蜜等四種為藥，受七日服。」義加云)。「大	受 七 日 藥 法 時 諸 比 丘 得 風 熱 病 佛 言 聽 以 酥 油 蜜 石 蜜 等 四 種 為 藥 受 七 日 服 義 加 云 大 
T22n1424_001:0221a27	德一心念！我比丘某甲，今為熱病因緣，此酥	德 一 心 念 我 比 丘 某 甲 今 為 熱 病 因 緣 此 酥 
T22n1424_001:0221b01	七日藥，為欲經宿服故，今於大德邊受。」(三說)受	七 日 藥 為 欲 經 宿 服 故 今 於 大 德 邊 受 三 說 受 
T22n1424_001:0221b02	盡形藥法(有諸比丘得秋時病。佛言：「應根果等藥及餘一切醎苦辛酢不任為食，有病因聽盡形服。」義	盡 形 藥 法 有 諸 比 丘 得 秋 時 病 佛 言 應 根 果 等 藥 及 餘 一 切 醎 苦 辛 酢 不 任 為 食 有 病 因 聽 盡 形 服 義 
T22n1424_001:0221b03	加云)。	加 云 
T22n1424_001:0221b04	「大德一心念！我比丘某甲，今為氣病因緣，此	 大 德 一 心 念 我 比 丘 某 甲 今 為 氣 病 因 緣 此 
T22n1424_001:0221b05	薑椒盡形受藥，今欲共宿長服故，於大德	薑 椒 盡 形 受 藥 今 欲 共 宿 長 服 故 於 大 德 
T22n1424_001:0221b06	邊受。」(三說)長衣說淨法(長衣之體，據律唯二：若長三衣過十日者方犯捨墮，若長餘	邊 受 三 說 長 衣 說 淨 法 長 衣 之 體 據 律 唯 二 若 長 三 衣 過 十 日 者 方 犯 捨 墮 若 長 餘 
T22n1424_001:0221b07	衣乃至手巾皆突吉羅。針三綖一，此等已外皆須說淨，不爾皆結。淨施有二：一者真實物付彼人，二者展轉稱名作	衣 乃 至 手 巾 皆 突 吉 羅 針 三 綖 一 此 等 已 外 皆 須 說 淨 不 爾 皆 結 淨 施 有 二 一 者 真 實 物 付 彼 人 二 者 展 轉 稱 名 作 
T22n1424_001:0221b08	法。強奪犯罪唯真實有，展轉稱名無強奪義)。請施主法(真實淨主，律制簡擇一五兩二，如文具明。	法 強 奪 犯 罪 唯 真 實 有 展 轉 稱 名 無 強 奪 義 請 施 主 法 真 實 淨 主 律 制 簡 擇 一 五 兩 二 如 文 具 明 
T22n1424_001:0221b09	展轉，若准餘文，應求持戒多聞者充。律無請法，以義加云)。	展 轉 若 准 餘 文 應 求 持 戒 多 聞 者 充 律 無 請 法 以 義 加 云 
T22n1424_001:0221b10	「大德一心念！我比丘某甲，今請大德為衣藥	 大 德 一 心 念 我 比 丘 某 甲 今 請 大 德 為 衣 藥 
T22n1424_001:0221b11	鉢展轉淨施主。願大德為我作衣藥鉢展轉	鉢 展 轉 淨 施 主 願 大 德 為 我 作 衣 藥 鉢 展 轉 
T22n1424_001:0221b12	淨施主，慈愍故。」(三說)	淨 施 主 慈 愍 故 三 說 
T22n1424_001:0221b13	正說淨法(若眾多衣物，段段說之；若束縛一處，亦得總說)。「大德(長老)一心念！	正 說 淨 法 若 眾 多 衣 物 段 段 說 之 若 束 縛 一 處 亦 得 總 說 大 德 長 老 一 心 念 
T22n1424_001:0221b14	我此長衣，於大德(長老)邊作淨施。」(彼應問言)「長老！此衣	我 此 長 衣 於 大 德 長 老 邊 作 淨 施 彼 應 問 言 長 老 此 衣 
T22n1424_001:0221b15	於我邊作淨施，我持與誰？」(答言：「某甲。」彼應語言)「我今與某	於 我 邊 作 淨 施 我 持 與 誰 答 言 某 甲 彼 應 語 言 我 今 與 某 
T22n1424_001:0221b16	甲。長老若須，從彼取用，好愛護之。」(不應語所稱比丘知)	甲 長 老 若 須 從 彼 取 用 好 愛 護 之 不 應 語 所 稱 比 丘 知 
T22n1424_001:0221b17	獨住作淨法(有比丘獨住房中，不知云何淨施？佛言：「聽作遙示淨施。」心生口言也)。	獨 住 作 淨 法 有 比 丘 獨 住 房 中 不 知 云 何 淨 施 佛 言 聽 作 遙 示 淨 施 心 生 口 言 也 
T22n1424_001:0221b18	「我此長衣，淨施某甲，從彼取用。」(獨淨施法，至十一日復應如前	 我 此 長 衣 淨 施 某 甲 從 彼 取 用 獨 淨 施 法 至 十 一 日 復 應 如 前 
T22n1424_001:0221b19	法心生口言)「我此長衣，從某甲取還。」(然後更如前法淨施口言)	法 心 生 口 言 我 此 長 衣 從 某 甲 取 還 然 後 更 如 前 法 淨 施 口 言 
T22n1424_001:0221b20	今粟淨施法(《薩婆多》云：「錢寶穀米，並同長衣，十日說淨。」《四分》云，當持至可信優婆塞所、若守	今 粟 淨 施 法 薩 婆 多 云 錢 寶 穀 米 並 同 長 衣 十 日 說 淨 四 分 云 當 持 至 可 信 優 婆 塞 所 若 守 
T22n1424_001:0221b21	園人所，告云)：「此是我所不應。汝當知之。」	園 人 所 告 云 此 是 我 所 不 應 汝 當 知 之 
T22n1424_001:0221b22	第五、僧等布薩法(託外為因、緣請而制。識相遵奉，遣犯僧持。《摩德勒伽論》云：「云何名布	第 五 僧 等 布 薩 法 託 外 為 因 緣 請 而 制 識 相 遵 奉 遣 犯 僧 持 摩德勒伽 論 云 云 何 名 布 
T22n1424_001:0221b23	薩？捨諸惡不善法，證得白法究竟梵行。半月自觀犯與不犯，清淨身口。」)。	薩 捨 諸 惡不善法 證 得 白 法 究 竟 梵 行 半 月 自 觀 犯 與 不 犯 清 淨 身 口 
T22n1424_001:0221b24	眾僧說戒法(律云：諸比丘欲莊嚴布薩堂，懸繒散花，施過中飲亦施衣物，又欲以偈讚佛法僧。佛	眾 僧 說 戒 法 律 云 諸 比 丘 欲 莊 嚴 布 薩 堂 懸 繒 散 花 施 過 中 飲 亦 施 衣 物 又 欲 以 偈 讚 佛 法 僧 佛 
T22n1424_001:0221b25	言：「皆聽。若有種種福事應及時作。」聖教既然，特須敬重，各相勉勵准法修行。至布薩日，掃灑庭院裝飾堂中，說戒之	言 皆 聽 若 有 種 種 福 事 應 及 時 作 聖 教 既 然 特 須 敬 重 各 相 勉 勵 准 法 修 行 至 布 薩 日 掃 灑 庭 院 裝 飾 堂 中 說 戒 之 
T22n1424_001:0221b26	座種種莊嚴。唱時至等，四種集僧，使眾咸知詳心赴集。然戒為淨法，非犯所聞，若有愆違悔令清淨，未遑懺洗聖開發	座 種 種 莊 嚴 唱 時 至 等 四 種 集 僧 使 眾 咸 知 詳 心 赴 集 然 戒 為 淨 法 非 犯 所 聞 若 有 愆 違 悔 令 清 淨 未 遑 懺 洗 聖 開 發 
T22n1424_001:0221c01	露。今依次第具列軌儀)。	露 今 依 次 第 具 列 軌 儀 
T22n1424_001:0221c02	僧犯懺悔法(有一住處，布薩日，一切僧犯罪。佛言：應白二羯磨一人往他眾悔過，然後餘人向	僧 犯 懺 悔 法 有 一 住 處 布 薩 日 一 切 僧 犯 罪 佛 言 應 白二羯磨 一 人 往 他 眾 悔 過 然 後 餘 人 向 
T22n1424_001:0221c03	彼除罪。若不得爾，盡集布薩堂，白二置其犯，云)。「大德僧聽！僧今皆有此罪	彼 除 罪 若 不 得 爾 盡 集 布 薩 堂 白 二 置 其 犯 云 大德僧聽 僧 今 皆 有 此 罪 
T22n1424_001:0221c04	(須陳名種)，不能得悔過。今共置之，後當悔過。若僧	 須 陳 名 種 不 能 得 悔 過 今 共 置 之 後 當 悔 過 若 僧 
T22n1424_001:0221c05	時到僧忍聽。白如是。」「大德僧聽！僧今皆有此	時 到 僧 忍 聽 白 如 是 大德僧聽 僧 今 皆 有 此 
T22n1424_001:0221c06	罪，不能得悔過。今置之，後當悔過。誰諸長老	罪 不 能 得 悔 過 今 置 之 後 當 悔 過 誰 諸 長 老 
T22n1424_001:0221c07	忍，默然；不忍者說。」「僧已置此罪竟。僧忍，默然	忍 默 然 不 忍 者 說 僧 已 置 此 罪 竟 僧 忍 默 然 
T22n1424_001:0221c08	故，是事如是持。」(然後布薩，不應不布薩)臨欲布薩時一人	故 是事如是持 然 後 布 薩 不 應 不 布 薩 臨 欲 布 薩 時 一 人 
T22n1424_001:0221c09	發露法(應向比坐心念口言)。「我有此罪。(應說名種，不得直云此罪)說戒竟當	發 露 法 應 向 比 坐 心 念 口 言 我 有 此 罪 應 說 名 種 不 得 直 云 此 罪 說 戒 竟 當 
T22n1424_001:0221c10	悔。」(疑亦如是)教誡尼眾法(尼稟礙形恒拘障累，闕其遊方諮受法訓。大聖悲鑒故制此儀，令尼	悔 疑 亦 如 是 教 誡 尼 眾 法 尼 稟 礙 形 恒 拘 障 累 闕 其 遊 方 諮 受 法 訓 大 聖 悲 鑒 故 制 此 儀 令 尼 
T22n1424_001:0221c11	詣僧請人教誡，僧差具德誨以未聞。然法有廣略，律教備明並合遵承，無宜怠廢。但今僧尼慢教，又具德者稀，廣誡	詣 僧 請 人 教 誡 僧 差 具 德 誨 以 未 聞 然 法 有 廣 略 律 教 備 明 並 合 遵 承 無 宜 怠 廢 但 今 僧 尼 慢 教 又 具 德 者 稀 廣 誡 
T22n1424_001:0221c12	之儀未聞行用，且施略軌以備於時。尼差使人詣僧請已，受囑比丘代某甲乞。此律尼法云：應於唱說不來諸比丘說	之 儀 未 聞 行 用 且 施 略 軌 以 備 於 時 尼 差 使 人 詣 僧 請 已 受 囑 比 丘 代 某 甲 乞 此 律 尼 法 云 應 於 唱 說 不 來 諸 比 丘 說 
T22n1424_001:0221c13	欲清淨時，受囑之人應從坐起，在僧前立白言)。	欲 清 淨 時 受 囑 之 人 應 從 坐 起 在 僧 前 立 白 言 
T22n1424_001:0221c14	「大德僧聽！某寺和合比丘尼僧，頂禮和合比	 大德僧聽 某 寺 和 合 比 丘 尼 僧 頂 禮 和 合 比 
T22n1424_001:0221c15	丘僧足，乞教誡人。」(三說已，應至上座所云：「大德慈愍，能教授尼不？」若言不堪者，乃至二	丘 僧 足 乞 教 誡 人 三 說 已 應 至 上 座 所 云 大 德 慈 愍 能 教 授 尼 不 若 言 不 堪 者 乃 至 二 
T22n1424_001:0221c16	十夏已來，一一具問。若無有者，還至上座所白言：「遍問眾僧，無有堪者。」上座即應作略教誡法云：「明日比丘尼來，應	十 夏 已 來 一 一 具 問 若 無 有 者 還 至 上 座 所 白 言 遍 問 眾 僧 無 有 堪 者 上 座 即 應 作 略 教 誡 法 云 明 日 比 丘 尼 來 應 
