X24n0470_001:0846c06	 小引	 小 引 
X24n0470_001:0860a14	言。世尊是實相者。則是非相。非相即是無相。是故。	言 世 尊 是 實 相 者 則 是 非 相 非 相 即 是 無 相 是 故 
X24n0470_001:0860a15	如來說。名呌實相。乃是本人也。故云。離相寂滅本	如 來 說 名 呌 實 相 乃 是 本 人 也 故 云 離 相 寂 滅 本 
X24n0470_001:0860a16	來人。陰陽相合者。眼屬東方。甲乙木。耳屬南方。丙	來 人 陰 陽 相 合 者 眼 屬 東 方 甲 乙 木 耳 屬 南 方 丙 
X24n0470_001:0860a17	丁火。鼻屬西方。庚辛金。口屬北方。壬癸水。身屬中	丁 火 鼻 屬 西 方 庚 辛 金 口 屬 北 方 壬 癸 水 身 屬 中 
X24n0470_001:0860a18	央。戊己土。老子云。耳凝運。眼含光。鼻調息。舌緘氣。	央 戊 己 土 老 子 云 耳 凝 運 眼 含 光 鼻 調 息 舌 緘 氣 
X24n0470_001:0860a19	身心不動。身不動為之龍吟。心不動為之虎嘯。龍	身 心 不 動 身 不 動 為 之 龍 吟 心 不 動 為 之 虎 嘯 龍 
X24n0470_001:0860a20	吟則精固。虎嘯前丹成。如來云。眼觀鼻。鼻觀心。心	吟 則 精 固 虎 嘯 前 丹 成 如 來 云 眼 觀 鼻 鼻 觀 心 心 
X24n0470_001:0860a21	觀意。意觀神。五行攢簇。四大和合。孔子云。知止而	觀 意 意 觀 神 五 行 攢 簇 四 大 和 合 孔 子 云 知 止 而 
X24n0470_001:0860a22	後有定。定而后能靜。靜而后能安。安而后能慮。慮	後 有 定 定 而 后 能 靜 靜 而 后 能 安 安 而 后 能 慮 慮 
X24n0470_001:0860a23	而后能得。乃是陰陽相合。今時有等邪人。在皮囊	而 后 能 得 乃 是 陰 陽 相 合 今 時 有 等 邪 人 在 皮 囊 
X24n0470_001:0860a24	上做工夫。昇降陰陽氣。上下前後顛倒做轉。在皮	上 做 工 夫 昇 降 陰 陽 氣 上 下 前 後 顛 倒 做 轉 在 皮 
X24n0470_001:0860b01	脊上運轉。上至性門。下至尾閭穴。中至背脊雙關。	脊 上 運 轉 上 至 性 門 下 至 尾 閭 穴 中 至 背 脊 雙 關 
X24n0470_001:0860b02	尾閭穴發火直透頂門。呌名三關九節。又呌曹溪	尾 閭 穴 發 火 直 透 頂 門 呌 名 三 關 九 節 又 呌 曹 溪 
X24n0470_001:0860b03	路。又名黃河水逆流。又名上天梯。異名多。不錄。背	路 又 名 黃 河 水 逆 流 又 名 上 天 梯 異 名 多 不 錄 背 
X24n0470_001:0860b04	脊中。三條路中間直透頂門。擊破樓頭皷。進入泥	脊 中 三 條 路 中 間 直 透 頂 門 擊 破 樓 頭 皷 進 入 泥 
X24n0470_001:0860b05	丸宮。降下明堂。雀橋重樓。送入丹田。與嬰兒姹女	丸 宮 降 下 明 堂 雀 橋 重 樓 送 入 丹 田 與 嬰 兒 姹 女 
X24n0470_001:0860b06	懷胎結聖。運得轉者。却病益壽。運不轉者。成腦漏	懷 胎 結 聖 運 得 轉 者 却 病 益 壽 運 不 轉 者 成 腦 漏 
X24n0470_001:0860b07	蠱脹。久後見境成邪。或是半夜三更由如白日。或	蠱 脹 久 後 見 境 成 邪 或 是 半 夜 三 更 由 如 白 日 或 
X24n0470_001:0860b08	見圓光。或見陰神。或見陽神。或見如來。但有見相。	見 圓 光 或 見 陰 神 或 見 陽 神 或 見 如 來 但 有 見 相 
X24n0470_001:0860b09	並是邪相。聖賢者。有十聖三賢。十聖即十地。歡喜	並 是 邪 相 聖 賢 者 有 十 聖 三 賢 十 聖 即 十 地 歡 喜 
X24n0470_001:0860b10	地。離垢地。發光地。焰慧地。難勝地。現前地。遠行地。	地 離 垢 地 發 光 地 焰 慧 地 難 勝 地 現 前 地 遠 行 地 
X24n0470_001:0860b11	不動地。善慧地。法雲地。住四禪淨居天宮。三賢者。	不 動 地 善 慧 地 法 雲 地 住 四 禪 淨 居 天 宮 三 賢 者 
X24n0470_001:0860b12	初禪為初賢。即十住位。發心住。治地住。修行住。生	初 禪 為 初 賢 即 十 住 位 發 心 住 治 地 住 修 行 住 生 
X24n0470_001:0860b13	貴住。方便住。正心住。不退住。童真住。法王子住。灌	貴 住 方 便 住 正 心 住 不 退 住 童 真 住 法 王 子 住 灌 
X24n0470_001:0860b14	頂住。二禪為中賢。即十行位。歡喜行。饒益行。無嗔	頂 住 二 禪 為 中 賢 即 十 行 位 歡 喜 行 饒 益 行 無 嗔 
X24n0470_001:0860b15	恨行。無盡行。離痴亂行。善現行。無著行。尊重行。善	恨 行 無 盡 行 離 痴 亂 行 善 現 行 無 著 行 尊 重 行 善 
X24n0470_001:0860b16	法行。真實行。三禪為上賢。即十回向位。離眾生回	法 行 真 實 行 三 禪 為 上 賢 即 十 回 向 位 離 眾 生 回 
X24n0470_001:0860b17	向。不壞回向。等一切佛回向。至一切處無地回向。	向 不 壞 回 向 等 一 切 佛 回 向 至 一 切 處 無 地 回 向 
X24n0470_001:0860b18	無盡功德回向。隨順平等善根回向。等觀一切眾	無 盡 功 德 回 向 隨 順 平 等 善 根 回 向 等 觀 一 切 眾 
X24n0470_001:0860b19	生回向。真如相回向。無縛解脫回向。法界無量回	生 回 向 真 如 相 回 向 無 縛 解 脫 回 向 法 界 無 量 回 
X24n0470_001:0860b20	向。是故。陰陽相合聖賢宗。此十聖三賢。皆有輪迴	向 是 故 陰 陽 相 合 聖 賢 宗 此 十 聖 三 賢 皆 有 輪 迴 
X24n0470_001:0860b21	生死。直要修到。裡頭空。外頭空。裡外相連。打成一	生 死 直 要 修 到 裡 頭 空 外 頭 空 裡 外 相 連 打 成 一 
X24n0470_001:0860b22	片。無內無外。無東無西。無南無北。無上無下。渾身	片 無 內 無 外 無 東 無 西 無 南 無 北 無 上 無 下 渾 身 
X24n0470_001:0860b23	是一箇清虗。是故。打成一片。方纔成道。若要打成	是 一 箇 清 虗 是 故 打 成 一 片 方 纔 成 道 若 要 打 成 
X24n0470_001:0860b24	一片。殊非離色身之外。別參一步。你看。你看。一貫	一 片 殊 非 離 色 身 之 外 別 參 一 步 你 看 你 看 一 貫 
X24n0470_001:0860c01	清虗。故云。那知身外脫微塵。	清 虗 故 云 那 知 身 外 脫 微 塵 
X24n0470_001:0860c02	離相寂滅。五蘊皆空四相絕。慧燈常不滅。雲散家家	離 相 寂 滅 五 蘊 皆 空 四 相 絕 慧 燈 常 不 滅 雲 散 家 家 
X24n0470_001:0860c03	月。佛。乾坤普照徹。大地光輝。朗朗銀世界。雪點須彌	月 佛 乾 坤 普 照 徹 大 地 光 輝 朗 朗 銀 世 界 雪 點 須 彌 
X24n0470_001:0860c04	一片白。雪點須彌一片白。	一 片 白 雪 點 須 彌 一 片 白 
X24n0470_001:0860c05	直下空虗離諸形相。故云。離相寂滅。五蘊皆空者。	直 下 空 虗 離 諸 形 相 故 云 離 相 寂 滅 五 蘊 皆 空 者 
X24n0470_001:0860c06	乃是色受想行識也。且色者。罣碍之義。若見境逢	乃 是 色 受 想 行 識 也 且 色 者 罣 碍 之 義 若 見 境 逢 
X24n0470_001:0860c07	物。不著不思。色蘊自空也。受者領納之義。若遇一	物 不 著 不 思 色 蘊 自 空 也 受 者 領 納 之 義 若 遇 一 
X24n0470_001:0860c08	切聲色境界。心不領納。受蘊自空也。想者。妄想思	切 聲 色 境 界 心 不 領 納 受 蘊 自 空 也 想 者 妄 想 思 
X24n0470_001:0860c09	慮之義。若過去不思。未來不想。現在自如。想蘊自	慮 之 義 若 過 去 不 思 未 來 不 想 現 在 自 如 想 蘊 自 
X24n0470_001:0860c10	空也。行者。心念不停。迁流之義。若十二時中。心不	空 也 行 者 心 念 不 停 迁 流 之 義 若 十 二 時 中 心 不 
X24n0470_001:0860c11	外遊。念不煩亂。不被物轉。不被境留。一念不離當	外 遊 念 不 煩 亂 不 被 物 轉 不 被 境 留 一 念 不 離 當 
X24n0470_001:0860c12	處。行蘊自空也。識者。分別親疎之義。亦乃著物之	處 行 蘊 自 空 也 識 者 分 別 親 疎 之 義 亦 乃 著 物 之 
X24n0470_001:0860c13	理。若見一切境物。一無分別。一槩平等。見如不見。	理 若 見 一 切 境 物 一 無 分 別 一 槩 平 等 見 如 不 見 
X24n0470_001:0860c14	識如不識。來則應之。去則不思。識見自空也。四相	識 如 不 識 來 則 應 之 去 則 不 思 識 見 自 空 也 四 相 
X24n0470_001:0860c15	者。須菩提言。世尊。我今得聞如是般若經典。信解	者 須 菩 提 言 世 尊 我 今 得 聞 如 是 般 若 經 典 信 解 
X24n0470_001:0860c16	受持。親見如來。不足為難。若當來世。後五百歲。不	受 持 親 見 如 來 不 足 為 難 若 當 來 世 後 五 百 歲 不 
X24n0470_001:0860c17	見如來。其有眾生。得聞如此金剛經。信解受持。是	見 如 來 其 有 眾 生 得 聞 如 此 金 剛 經 信 解 受 持 是 
X24n0470_001:0860c18	人則為第一希有。何以故。此人無我相。無人相。無	人 則 為 第一希有 何 以 故 此 人 無 我 相 無 人 相 無 
X24n0470_001:0860c19	眾生相。無壽者相。無我相者。色受想行識空也。無	眾 生 相 無 壽 者 相 無 我 相 者 色 受 想 行 識 空 也 無 
X24n0470_001:0860c20	人相者。四大不實。終歸地水火風也。無眾生相者。	人 相 者 四 大 不 實 終 歸 地水火風 也 無 眾 生 相 者 
X24n0470_001:0860c21	無滅生心也。無壽者相者。我身本無。豈有壽也。四	無 滅 生 心 也 無 壽 者 相 者 我 身 本 無 豈 有 壽 也 四 
X24n0470_001:0860c22	相既無。法眼明徹。自心如來。故云。五蘊皆空。四相	相 既 無 法 眼 明 徹 自 心 如 來 故 云 五 蘊 皆 空 四 相 
X24n0470_001:0860c23	絕。若是五蘊空。四相絕的人。不可間斷。時時常照。	絕 若 是 五 蘊 空 四 相 絕 的 人 不 可 間 斷 時 時 常 照 
X24n0470_001:0860c24	是故。慧燈常不滅。若有智慧燈。照破煩惱浮雲。現	是 故 慧 燈 常 不 滅 若 有 智 慧 燈 照 破 煩 惱 浮 雲 現 
X24n0470_001:0861a01	出本性一輪明月。故云。雲散家家月。我的佛。若得	出 本 性 一 輪 明 月 故 云 雲 散 家 家 月 我 的 佛 若 得 
X24n0470_001:0861a02	煩惱無明散。現出本性當人。照破恒河沙數三千	煩 惱 無 明 散 現 出 本 性 當 人 照 破 恒 河 沙 數 三 千 
X24n0470_001:0861a03	大千世界。是故。乾坤普照徹。大地光輝。處處發現。	大千世界 是 故 乾 坤 普 照 徹 大 地 光 輝 處 處 發 現 
X24n0470_001:0861a04	再無異色。故云。大地光輝。朗朗銀世界。好似雪點	再 無 異 色 故 云 大 地 光 輝 朗 朗 銀 世 界 好 似 雪 點 
X24n0470_001:0861a05	須彌一片白。既是雪點須彌山王。那有三界四禪	須 彌 一 片 白 既 是 雪 點 須 彌 山 王 那 有 三 界 四 禪 
X24n0470_001:0861a06	之相。即見本性光明一片白。咦。亦如千日。放大光	之 相 即 見 本 性 光 明 一 片 白 咦 亦 如 千 日 放 大 光 
X24n0470_001:0861a07	明。	明 
X24n0470_001:0861a08	持經功德。真經不識。量機大用。萬法歸一。	持 經 功 德 真 經 不 識 量 機 大 用 萬 法 歸 一 
X24n0470_001:0861a09	持誦此金剛經者。功德亦如虗空。不可度量。佛呌	持 誦 此 金 剛 經 者 功 德 亦 如 虗 空 不 可 度 量 佛 呌 
X24n0470_001:0861a10	須菩提。若有善男子。善女人。初日分。寅卯辰。即三	須 菩 提 若 有 善 男 子 善 女 人 初 日 分 寅 卯 辰 即 三 
X24n0470_001:0861a11	世。以恒河沙等。身命布施。中日分。巳午未。即三世。	世 以 恒 河 沙 等 身 命 布 施 中 日 分 巳 午 未 即 三 世 
X24n0470_001:0861a12	復以恒河沙等身命布施。後日分。申酉戌。即三世。	復 以 恒 河 沙 等 身 命 布 施 後 日 分 申 酉 戌 即 三 世 
X24n0470_001:0861a13	亦以恒河沙等身命布施。成住壞空。分十二時。性	亦 以 恒 河 沙 等 身 命 布 施 成 住 壞 空 分 十 二 時 性 
X24n0470_001:0861a14	理中說。天劈於子。地劈於丑。人生於寅。成劫中二	理 中 說 天 劈 於 子 地 劈 於 丑 人 生 於 寅 成 劫 中 二 
X24n0470_001:0861a15	十轆轤劫。每一轆轤。共計一千六百八十萬年。住	十 轆 轤 劫 每 一 轆 轤 共 計 一 千 六 百 八 十 萬 年 住 
X24n0470_001:0861a16	劫。壞劫空劫。亦復如是。成住壞空四相劫。每一劫。	劫 壞 劫 空 劫 亦復如是 成 住 壞 空 四 相 劫 每 一 劫 
X24n0470_001:0861a17	分三世。過去莊嚴劫。出一千佛。見在賢劫。出一千	分 三 世 過 去 莊 嚴 劫 出 一 千 佛 見 在 賢 劫 出 一 千 
X24n0470_001:0861a18	佛。未來星宿劫。出一千佛。如是無量百千萬億劫。	佛 未 來 星 宿 劫 出 一 千 佛 如 是 無量百千萬億 劫 
X24n0470_001:0861a19	以身布施。若復後有人。聞此金剛經典。信心不逆。	以 身 布 施 若 復 後 有 人 聞 此 金 剛 經 典 信 心 不 逆 
X24n0470_001:0861a20	其福勝彼。勝是三時布施。何況書寫受持讀誦在	其 福 勝 彼 勝 是 三 時 布 施 何 況 書 寫 受持讀誦 在 
X24n0470_001:0861a21	心。為人解說。一念聞經。其福勝是三時布施。又況	心 為 人 解 說 一 念 聞 經 其 福 勝 是 三 時 布 施 又 況 
X24n0470_001:0861a22	書寫讀誦為人解說。當知此人。決定成就阿耨多	書 寫 讀 誦 為 人 解 說 當 知 此 人 決 定 成 就 阿 耨 多 
X24n0470_001:0861a23	羅三藐三菩提。佛言。須菩提。以要言之。是此經有	羅 三藐三菩提 佛 言 須 菩 提 以要言之 是 此 經 有 
X24n0470_001:0861a24	不可思議。不可稱量。無邊功德。如來為發大乘者	不可思議 不可稱量 無 邊 功 德 如 來 為 發 大 乘 者 
X24n0470_001:0861b01	說。為發最上乘者說。若與小乘人說。決然不信。若	說 為 發 最 上 乘 者 說 若 與 小 乘 人 說 決 然 不 信 若 
X24n0470_001:0861b02	有人能受持讀誦廣為人說。是名檀波羅蜜。如來	有 人 能 受持讀誦 廣 為 人 說 是 名 檀 波 羅 蜜 如 來 
X24n0470_001:0861b03	悉知是人。悉見是人。如來具六通。豈不知見也。此	悉 知 是 人 悉 見 是 人 如 來 具 六 通 豈 不 知 見 也 此 
X24n0470_001:0861b04	等之人。皆得成就無上菩提。不可稱。不可量。無有	等 之 人 皆 得 成 就 無上菩提 不 可 稱 不 可 量 無 有 
X24n0470_001:0861b05	邊。不可思議功德。如是這樣人等。則為荷擔如來。	邊 不可思議 功 德 如 是 這 樣 人 等 則 為 荷 擔 如 來 
X24n0470_001:0861b06	阿耨多羅三藐三菩提。大乘者。智慧廣大。善能建	阿耨多羅三藐三菩提 大 乘 者 智 慧 廣 大 善 能 建 
X24n0470_001:0861b07	立一切法。最上乘者。不見垢法可厭。不見淨法可	立 一 切 法 最 上 乘 者 不 見 垢 法 可 厭 不 見 淨 法 可 
X24n0470_001:0861b08	求。不見涅槃可證。不作度眾生心。亦不作不度眾	求 不 見 涅 槃 可 證 不 作 度 眾 生 心 亦 不 作 不 度 眾 
X24n0470_001:0861b09	生想。是名最上乘。何以故。須菩提。若樂小法者。著	生 想 是 名 最 上 乘 何 以 故 須 菩 提 若 樂小法者 著 
X24n0470_001:0861b10	我見。人見。眾生見。壽者見。則於此金剛經。不能聽	我 見 人 見 眾 生 見 壽 者 見 則 於 此 金 剛 經 不 能 聽 
X24n0470_001:0861b11	受讀誦。為人解說。何名樂小法。二乘聲聞乘。樂小	受 讀 誦 為 人 解 說 何 名 樂 小 法 二 乘 聲 聞 乘 樂 小 
X24n0470_001:0861b12	果。求禪定法。願生禪天。不發大心。不能受持讀誦	果 求 禪 定 法 願 生 禪 天 不 發 大 心 不 能 受持讀誦 
X24n0470_001:0861b13	此經。須菩提。在在處處。若有此一卷金剛經。一切	此 經 須 菩 提 在在處處 若 有 此 一 卷 金 剛 經 一 切 
X24n0470_001:0861b14	世間天人阿修羅。所應獻花供養。當知此處則為	世 間 天 人 阿 修 羅 所 應 獻 花 供 養 當 知 此 處 則 為 
X24n0470_001:0861b15	是塔。皆應供敬作禮圍繞。以諸華香。而散其處。此	是 塔 皆 應 供 敬 作 禮 圍 繞 以 諸 華 香 而 散 其 處 此 
X24n0470_001:0861b16	一卷金剛經。非是紙上的。要人信受。若人口誦般	一 卷 金 剛 經 非 是 紙 上 的 要 人 信 受 若 人 口 誦 般 
X24n0470_001:0861b17	若。心行般若。常行無相無著之行。此人所在之處。	若 心 行 般 若 常 行 無 相 無 著 之 行 此 人 所 在 之 處 
X24n0470_001:0861b18	如有佛塔。感得一切天人。各持供養。作禮供敬。與	如 有 佛 塔 感 得 一 切 天 人 各 持 供 養 作 禮 供 敬 與 
X24n0470_001:0861b19	佛無異。故云。持經功德。雖然如是。乃是假經。有一	佛 無 異 故 云 持 經 功 德 雖 然 如 是 乃 是 假 經 有 一 
X24n0470_001:0861b20	卷真金剛經。在當人分上。人皆不識。故云。真經不	卷 真 金 剛 經 在 當 人 分 上 人 皆 不 識 故 云 真 經 不 
X24n0470_001:0861b21	識。若是小乘人。勸他誦紙上的。若是大乘人。勸他	識 若 是 小 乘 人 勸 他 誦 紙 上 的 若 是 大 乘 人 勸 他 
X24n0470_001:0861b22	誦本性上的。是故量機大用。小乘人。若誦得紙上	誦 本 性 上 的 是 故 量 機 大 用 小 乘 人 若 誦 得 紙 上 
X24n0470_001:0861b23	的純熟。明得理。見得性。也到萬法歸一。大乘人。認	的 純 熟 明 得 理 見 得 性 也 到 萬 法 歸 一 大 乘 人 認 
X24n0470_001:0861b24	得本性。是真金剛經也。到得萬法歸一。是故量機	得 本 性 是 真 金 剛 經 也 到 得 萬 法 歸 一 是 故 量 機 
X24n0470_001:0861c01	大用。萬法歸一。	大 用 萬 法 歸 一 
X24n0470_001:0861c02	　持經功德十五圓　　妙機合盡七支傳	 持 經 功 德 十 五 圓 妙 機 合 盡 七 支 傳 
X24n0470_001:0861c03	　二分布施無間斷　　明月海底現金蓮	 二 分 布 施 無 間 斷 明 月 海 底 現 金 蓮 
X24n0470_001:0861c04	持此一卷金剛經者。明得無著無相之理。不著我	持 此 一 卷 金 剛 經 者 明 得 無 著 無 相 之 理 不 著 我 
X24n0470_001:0861c05	人眾生壽者。體得三十二相清淨行。如此之人。由	人 眾 生 壽 者 體 得 三十二相 清 淨 行 如 此 之 人 由 
X24n0470_001:0861c06	如十五夜的圓月。無有欠缺。故云。持經功德十五	如 十 五 夜 的 圓 月 無 有 欠 缺 故 云 持 經 功 德 十 五 
X24n0470_001:0861c07	圓。此一卷金剛經的。玄妙之理。合盡將來。總在七	圓 此 一 卷 金 剛 經 的 玄 妙 之 理 合 盡 將 來 總 在 七 
X24n0470_001:0861c08	覺支上。一名念覺支。乃是靈心不昧。一切皆空。二	覺 支 上 一 名 念 覺 支 乃 是 靈 心 不 昧 一切皆空 二 
X24n0470_001:0861c09	名擇法覺支。乃是法無差謬。明了義經。不明不了	名 擇法覺支 乃 是 法 無 差 謬 明 了 義 經 不 明 不 了 
X24n0470_001:0861c10	義經。了義經者。即勝義空。乃是真空法。空而不空。	義 經 了 義 經 者 即 勝 義 空 乃 是 真 空 法 空 而 不 空 
X24n0470_001:0861c11	是也。不了義經者。即世俗法。有求有證。有念有住。	是 也 不了義經 者 即 世 俗 法 有 求 有 證 有 念 有 住 
X24n0470_001:0861c12	是也。三名清淨覺支。勤修不退。一覺永覺。是也。四	是 也 三 名 清 淨 覺 支 勤 修 不 退 一 覺 永 覺 是 也 四 
X24n0470_001:0861c13	名喜覺支。所修正法。皆樂禪悅。禪悅者。清淨也。五	名 喜 覺 支 所 修 正 法 皆 樂 禪 悅 禪 悅 者 清 淨 也 五 
X24n0470_001:0861c14	名猗覺支。除諸煩惱。所覺無覺。是也。六名定覺支。	名 猗 覺 支 除 諸 煩 惱 所 覺 無 覺 是 也 六 名 定 覺 支 
X24n0470_001:0861c15	如所心定明明了了。是也。七名捨覺支。不為世法	如 所 心 定 明 明 了 了 是 也 七 名 捨 覺 支 不 為 世 法 
X24n0470_001:0861c16	所牽。離覺所覺。是也。是故妙機合盡七支傳。二分	所 牽 離 覺 所 覺 是 也 是 故 妙 機 合 盡 七 支 傳 二 分 
X24n0470_001:0861c17	布施者。說法度人。乃是法施。布施錢財。乃是財施。	布 施 者 說 法 度 人 乃 是 法 施 布 施 錢 財 乃 是 財 施 
X24n0470_001:0861c18	若得財法二施。由如明月海底現金蓮。明月却在	若 得 財 法 二 施 由 如 明 月 海 底 現 金 蓮 明 月 却 在 
X24n0470_001:0861c19	大端。金蓮却在海底。乃是月影。如是之人。上下明	大 端 金 蓮 却 在 海 底 乃 是 月 影 如 是 之 人 上 下 明 
X24n0470_001:0861c20	月徹。打成一片。故云。二分布施無間斷。明月海底	月 徹 打 成 一 片 故 云 二 分 布 施 無 間 斷 明 月 海 底 
X24n0470_001:0861c21	現金蓮。	現 金 蓮 
X24n0470_001:0861c22	持經功德。福等虗空不可說。一花開五葉。至今常不	持 經 功 德 福 等 虗 空 不 可 說 一 花 開 五 葉 至 今 常 不 
X24n0470_001:0861c23	謝。佛。不生更不滅。不短不長。無圓亦無缺。本性常明	謝 佛 不 生 更 不 滅 不 短 不 長 無 圓 亦 無 缺 本 性 常 明 
X24n0470_001:0861c24	光皎潔。本性常明光皎潔。	光 皎 潔 本 性 常 明 光 皎 潔 
X24n0470_001:0862a01	持此一卷金剛般若波羅密經。福等虗空。難度難	持 此 一 卷 金 剛 般 若 波 羅 密 經 福 等 虗 空 難 度 難 
X24n0470_001:0862a02	量。佛呌須菩提。以要言之。是經有不可思議。不可	量 佛 呌 須 菩 提 以要言之 是 經 有 不可思議 不 可 
X24n0470_001:0862a03	稱量。無邊功德。是故。福等虗空不可說。一花開五	稱 量 無 邊 功 德 是 故 福 等 虗 空 不 可 說 一 花 開 五 
X24n0470_001:0862a04	葉者。達磨是一花。傳下二祖慧可。三祖僧璨。四祖	葉 者 達 磨 是 一 花 傳 下 二 祖 慧 可 三 祖 僧 璨 四 祖 
X24n0470_001:0862a05	道信。五祖弘忍。六祖慧能。乃是五葉。故云。一花開	道 信 五 祖 弘 忍 六 祖 慧 能 乃 是 五 葉 故 云 一 花 開 
X24n0470_001:0862a06	五葉。至今常不謝者。後傳南嶽。馬祖。百丈。南泉。鹽	五 葉 至 今 常 不 謝 者 後 傳 南 嶽 馬 祖 百 丈 南 泉 鹽 
X24n0470_001:0862a07	官。歸宗。大梅。佛光。盤山。麻谷。東寺。西堂。第三世。黃	官 歸 宗 大 梅 佛 光 盤 山 麻 谷 東 寺 西 堂 第 三 世 黃 
X24n0470_001:0862a08	檗。長慶。太慈。平日岸。石霜。古靈。和安通。趙州。共有	檗 長 慶 太 慈 平 日 岸 石 霜 古 靈 和 安 通 趙 州 共 有 
X24n0470_001:0862a09	七千箇祖。直至今時清虗居士。是故。至今常不謝。	七 千 箇 祖 直 至 今 時 清 虗 居 士 是 故 至 今 常 不 謝 
X24n0470_001:0862a10	我的佛。不生更不滅者。這箇本來面目。不生。本來	我 的 佛 不 生 更 不 滅 者 這 箇 本 來 面 目 不 生 本 來 
X24n0470_001:0862a11	無有父母所生。不滅。本來萬劫不死。不短不長者。	無 有 父母所生 不 滅 本 來 萬 劫 不 死 不 短 不 長 者 
X24n0470_001:0862a12	本來無有相貌。有甚長短。無缺無圓者。本來面目。	本 來 無 有 相 貌 有 甚 長 短 無 缺 無 圓 者 本 來 面 目 
X24n0470_001:0862a13	無有圓缺。處處放光。處處發現。又無相貌。是故。本	無 有 圓 缺 處 處 放 光 處 處 發 現 又 無 相 貌 是 故 本 
X24n0470_001:0862a14	性常明光皎潔。	性 常 明 光 皎 潔 
X24n0470_001:0862a15	清虗居士　屠垠　註	清 虗 居 士 屠 垠 註 
X24n0470_001:0862a17	註解鐵鋑錎第一卷	註 解 鐵 鋑 錎 第 一 卷 
X24n0470_002:0862a21	註解鐵鋑錎卷下	註 解 鐵 鋑 錎 卷 下 
X24n0470_002:0862a23	能淨業障。魔軍趕散。提起法性。直到彼岸。	能 淨 業 障 魔 軍 趕 散 提 起 法 性 直 到 彼 岸 
X24n0470_002:0862a24	老子云。若能嘗清淨。天地悉皆歸。復次又叫須菩	老 子 云 若 能 嘗 清 淨 天 地 悉 皆 歸 復 次 又 叫 須 菩 
X24n0470_002:0862b01	提。若善男子。善女人。受持讀誦此金剛經。若為人	提 若 善 男 子 善 女 人 受持讀誦 此 金 剛 經 若 為 人 
X24n0470_002:0862b02	輕賤。不得人敬重。是人先世罪業。應該墮三惡道。	輕 賤 不 得 人 敬 重 是 人 先 世 罪 業 應 該 墮 三 惡 道 
X24n0470_002:0862b03	以今世被人輕賤故。先世罪業。即為消滅。當得阿	以 今 世 被 人 輕 賤 故 先 世 罪 業 即 為 消 滅 當 得 阿 
X24n0470_002:0862b04	耨多羅三藐三菩提。佛言。持經之人。該一切天人。	耨 多 羅 三藐三菩提 佛 言 持 經 之 人 該 一 切 天 人 
X24n0470_002:0862b05	恭敬供養。為前世業重。甞被人輕賤。不得人恭敬	恭敬供養 為 前 世 業 重 甞 被 人 輕 賤 不 得 人 恭 敬 
X24n0470_002:0862b06	供養。自今受持金剛經典。不起人我等相。冤親平	供 養 自 今 受 持 金 剛 經 典 不 起 人 我 等 相 冤 親 平 
X24n0470_002:0862b07	等。心無惱恨。念念甞行般若波羅密行。如是修行。	等 心 無 惱 恨 念 念 甞 行 般 若 波 羅 密 行 如 是 修 行 
X24n0470_002:0862b08	先世罪業即為消滅。當得阿耨多羅三藐三菩提。	先 世 罪 業 即 為 消 滅 當 得阿耨多羅三藐三菩提 
X24n0470_002:0862b09	佛又叫須菩提。我念過去。往昔無量阿僧祇劫。直	佛 又 叫 須 菩 提 我 念 過 去 往 昔 無量阿僧祇劫 直 
X24n0470_002:0862b10	至於燃燈佛前。得值八百四千萬億。那由他諸佛。	至 於 燃 燈 佛 前 得 值 八 百 四 千 萬 億 那 由 他 諸 佛 
X24n0470_002:0862b11	悉皆供養承事。無空過者。佛言。我思過去無量劫	悉 皆 供 養 承 事 無 空 過 者 佛 言 我 思 過 去 無 量 劫 
X24n0470_002:0862b12	前。行菩薩道時。四事供養遇此數佛。一一佛所盡	前 行菩薩道 時 四 事 供 養 遇 此 數 佛 一 一 佛 所 盡 
X24n0470_002:0862b13	心盡力。為求佛故。須菩提。若善男子。善女人。於後	心 盡 力 為 求 佛 故 須 菩 提 若 善 男 子 善 女 人 於 後 
X24n0470_002:0862b14	末法之世。有受持讀誦此金剛經者。所得功德。勝	末 法 之 世 有 受持讀誦 此 金 剛 經 者 所得功德 勝 
X24n0470_002:0862b15	我所供養諸佛功德。百分不及一。我若具說者。或	我 所 供 養 諸 佛 功 德 百 分 不 及 一 我 若 具 說 者 或 
X24n0470_002:0862b16	有人聞。心則狂亂。狐疑不信。須菩提。當知是此金	有 人 聞 心 則 狂 亂 狐 疑 不 信 須 菩 提 當 知 是 此 金 
X24n0470_002:0862b17	剛經義。不可思議。功德果報。亦不可思議。是故。能	剛 經 義 不可思議 功 德 果 報 亦 不可思議 是 故 能 
X24n0470_002:0862b18	淨業障。若是能淨業障之人。人我不生。甞能清淨。	淨 業 障 若 是 能 淨 業 障 之 人 人 我 不 生 甞 能 清 淨 
X24n0470_002:0862b19	魔軍自然而散。雖然如是。不要忘了本主。故云。提	魔 軍 自 然 而 散 雖 然 如 是 不 要 忘 了 本 主 故 云 提 
X24n0470_002:0862b20	起法性。直到彼岸。	起 法 性 直 到 彼 岸 
X24n0470_002:0862b21	　能淨業障再不生　　放下身心好用功	 能 淨 業 障 再 不 生 放 下 身 心 好 用 功 
