T85n2794_001:0683c03	律抄	律 抄 
T85n2794_001:0688a02	夏竟將離散。使迭相舉罪。悔過清淨。然後隨	夏 竟 將 離 散 使 迭 相 舉 罪 悔 過 清 淨 然 後 隨 
T85n2794_001:0688a03	緣覆藏除罪法。凡欲與他出罪。要知輕知重。	緣 覆 藏 除 罪 法 凡 欲 與 他 出 罪 要 知 輕 知 重 
T85n2794_001:0688a04	知犯知不犯。知覆不覆。僧祇律明。覆藏若別	知 犯 知 不 犯 知 覆 不 覆 僧 祇 律 明 覆 藏 若 別 
T85n2794_001:0688a05	不同。律文言。比丘月生一日犯一僧殘。知是	不 同 律 文 言 比 丘 月 生 一 日 犯 一 僧 殘 知 是 
T85n2794_001:0688a06	罪不作覆心。二日三日乃至十日犯十僧殘。	罪 不 作 覆 心 二 日 三 日 乃 至 十 日 犯 十 僧 殘 
T85n2794_001:0688a07	一切如是罪作覆藏心。至十一日相出時。是	一 切 如 是 罪 作 覆 藏 心 至 十 一 日 相 出 時 是 
T85n2794_001:0688a08	名十罪。共一夜覆。應從僧乞一別住一摩那	名 十 罪 共 一 夜 覆 應 從 僧 乞 一 別 住 一 摩 那 
T85n2794_001:0688a09	埵一阿浮呵那。參差覆者。若比丘月生一日	埵 一 阿浮呵那 參 差 覆 者 若 比 丘 月 生 一 日 
T85n2794_001:0688a10	犯一罪。二日發露。二日犯罪三日發露。乃至	犯 一 罪 二 日 發 露 二 日 犯 罪 三 日 發 露 乃 至 
T85n2794_001:0688a11	十日犯罪十一日發露。此十罪應從僧乞十	十 日 犯 罪 十 一 日 發 露 此 十 罪 應 從 僧 乞 十 
T85n2794_001:0688a12	別住十摩那埵十阿浮呵那。亦得從僧乞一	別 住 十 摩 那 埵 十 阿浮呵那 亦 得 從 僧 乞 一 
T85n2794_001:0688a13	別住乃至阿浮呵那。律文言。比丘月生一日	別 住 乃 至 阿浮呵那 律 文 言 比 丘 月 生 一 日 
T85n2794_001:0688a14	犯一罪不作覆心。二日犯二乃至十日犯十。	犯 一 罪 不 作 覆 心 二 日 犯 二 乃 至 十 日 犯 十 
T85n2794_001:0688a15	一切知是罪作覆藏心。乃至十一日明相出	一 切 知 是 罪 作 覆 藏 心 乃 至 十 一 日 明 相 出 
T85n2794_001:0688a16	時。此五十五僧殘共一夜覆。應從僧乞一別	時 此 五 十 五 僧 殘 共 一 夜 覆 應 從 僧 乞 一 別 
T85n2794_001:0688a17	住乃至阿浮呵那。亦得從僧乞五十五別住	住 乃 至 阿浮呵那 亦 得 從 僧 乞 五 十 五 別 住 
T85n2794_001:0688a18	乃至五十五阿浮呵那。律文言。參差覆者。比	乃 至 五 十 五 阿浮呵那 律 文 言 參 差 覆 者 比 
T85n2794_001:0688a19	丘月生一日犯一罪覆藏。二日發露。二日犯	丘 月 生 一 日 犯 一 罪 覆 藏 二 日 發 露 二 日 犯 
T85n2794_001:0688a20	二。三日發露。有乃至十日犯十僧殘。十一日	二 三 日 發 露 有 乃 至 十 日 犯 十 僧 殘 十 一 日 
T85n2794_001:0688a21	發露。此五十五罪十夜乃至一夜覆。應從僧	發 露 此 五 十 五 罪 十 夜 乃 至 一 夜 覆 應 從 僧 
T85n2794_001:0688a22	乞十別住乃至十阿浮呵那。亦得從僧乞五	乞 十 別 住 乃 至 十 阿浮呵那 亦 得 從 僧 乞 五 
T85n2794_001:0688a23	十五別住乃至五十五阿浮呵那。亦得從僧	十 五 別 住 乃 至 五 十 五 阿浮呵那 亦 得 從 僧 
T85n2794_001:0688a24	乞一別住及一阿浮呵那。律文言別覆者。比	乞 一 別 住 及 一 阿浮呵那 律 文 言 別 覆 者 比 
T85n2794_001:0688a25	丘月生一日犯一罪覆藏。乃至十日犯一罪	丘 月 生 一 日 犯 一 罪 覆 藏 乃 至 十 日 犯 一 罪 
T85n2794_001:0688a26	覆藏。至十一日明相出時。最後一罪一夜覆。	覆 藏 至 十 一 日 明 相 出 時 最 後 一 罪 一 夜 覆 
T85n2794_001:0688a27	最初一罪十夜覆藏。應從僧乞十別住乃至	最 初 一 罪 十 夜 覆 藏 應 從 僧 乞 十 別 住 乃 至 
T85n2794_001:0688a28	十阿浮呵那。亦得從僧乞五十五別住十阿	十 阿浮呵那 亦 得 從 僧 乞 五 十 五 別 住 十 阿 
T85n2794_001:0688a29	浮呵那。四分明其出罪法。有其四種。何者是	浮 呵 那 四 分 明 其 出 罪 法 有 其 四 種 何 者 是 
T85n2794_001:0688b01	一者犯罪以來不憶日數罪數。應與清淨以	一 者 犯 罪 以 來 不 憶 日 數 罪 數 應 與 清 淨 以 
T85n2794_001:0688b02	來覆藏羯磨。二者憶罪數不憶日數。亦與清	來 覆 藏 羯 磨 二 者 憶 罪 數 不 憶 日 數 亦 與 清 
T85n2794_001:0688b03	淨以來。三者憶罪數日數。應與隨覆藏日羯	淨 以 來 三 者 憶 罪 數 日 數 應 與 隨 覆 藏 日 羯 
T85n2794_001:0688b04	磨。四者不憶日數罪數。亦隨覆藏日羯磨	磨 四 者 不 憶 日 數 罪 數 亦 隨 覆 藏 日 羯 磨 
T85n2794_001:0688b05	　問曰。云何名摩那埵　答。此是胡音。秦言階	 問 曰 云 何 名 摩 那 埵 答 此 是 胡 音 秦 言 階 
T85n2794_001:0688b06	定折伏治罪　問曰。云何名阿浮呵那　答。	定 折 伏 治 罪 問 曰 云 何 名 阿浮呵那 答 
T85n2794_001:0688b07	此是胡音。秦言出罪羯磨。此人從罪中出故	此 是 胡 音 秦 言 出 罪 羯 磨 此 人 從 罪 中 出 故 
T85n2794_001:0688b08	言出也　問曰。比丘尼獨行出入界時相去	言 出 也 問 曰 比 丘 尼 獨 行 出 入 界 時 相 去 
T85n2794_001:0688b09	遠近。犯獨　答曰。僧祇律云。比丘尼若度道	遠 近 犯 獨 答 曰 僧 祇 律 云 比 丘 尼 若 度 道 
T85n2794_001:0688b10	界家界時。相去□手外。犯獨　問曰。比丘尼	界 家 界 時 相 去 手 外 犯 獨 問 曰 比 丘 尼 
T85n2794_001:0688b11	度他婦。夫主不聽。為犯何罪　答。僧祇律文	度 他 婦 夫 主 不 聽 為 犯 何 罪 答 僧 祇 律 文 
T85n2794_001:0688b12	言。夫主不聽。輒度與受大戒。和上尼犯僧	言 夫 主 不 聽 輒 度 與 受 大 戒 和 上 尼 犯 僧 
T85n2794_001:0688b13	殘。	殘 
T85n2794_001:0688b14	問曰。比丘尼教化受染心男子食。犯何罪	問 曰 比 丘 尼 教 化 受 染 心 男 子 食 犯 何 罪 
T85n2794_001:0688b15	　答曰。僧祇律云。尼教化受染心男子食。要三	 答 曰 僧 祇 律 云 尼 教 化 受 染 心 男 子 食 要 三 
T85n2794_001:0688b16	諫。不止犯僧殘　問曰。尼夜宿時相去遠近。	諫 不 止 犯 僧 殘 問 曰 尼 夜 宿 時 相 去 遠 近 
T85n2794_001:0688b17	犯獨　答曰。四分律云。夜宿相遠□手外隨	犯 獨 答 曰 四 分 律 云 夜 宿 相 遠 手 外 隨 
T85n2794_001:0688b18	轉側。犯獨宿　問曰。比丘往尼房不白。界中	轉 側 犯 獨 宿 問 曰 比 丘 往 尼 房 不 白 界 中 
T85n2794_001:0688b19	僧犯何罪　答曰。僧祇律云。不白入尼房得	僧 犯 何 罪 答 曰 僧 祇 律 云 不 白 入 尼 房 得 
T85n2794_001:0688b20	波逸提。不白尼得突吉羅。為尼說法不白亦	波 逸 提 不 白 尼 得 突 吉 羅 為 尼 說 法 不 白 亦 
T85n2794_001:0688b21	得波逸提。若白入界及說法并白尼。三俱不	得 波 逸 提 若 白 入 界 及 說 法 并 白 尼 三 俱 不 
T85n2794_001:0688b22	犯　問曰。亡比丘輕重等物。云何處分及囑	犯 問 曰 亡 比 丘 輕 重 等 物 云 何 處 分 及 囑 
T85n2794_001:0688b23	授　答曰。四分僧祇同。十誦小異。隨意消息。	授 答 曰 四 分 僧 祇 同 十 誦 小 異 隨 意 消 息 
T85n2794_001:0688b24	亡比丘輕重物等及囑授。四分明。重物薗田	亡 比 丘 輕 重 物 等 及 囑 授 四 分 明 重 物 薗 田 
T85n2794_001:0688b25	樹木房舍床榻奴婢六畜。一切穀米旃辱莫	樹 木 房 舍 床 榻 奴 婢 六 畜 一 切 穀 米 旃 辱 莫 
T85n2794_001:0688b26	問大小。氍氀五肘曠三肘毛長三指。杖扇拂	問 大 小 氍 氀 五 肘 曠 三 肘 毛 長 三 指 杖 扇 拂 
T85n2794_001:0688b27	[尚*毛]銅餅香爐。一切同器瓦器石器竹器。銅錢	[尚毛] 銅 餅 香 爐 一 切 同 器 瓦 器 石 器 竹 器 銅 錢 
T85n2794_001:0688b28	木石染色。皆是重物。應入常住僧。輕者衣鉢	木 石 染 色 皆 是 重 物 應 入 常 住 僧 輕 者 衣 鉢 
T85n2794_001:0688b29	坐具針筒糸綿絹布綾□及稱剃刀。皆是輕	坐 具 針 筒 糸 綿 絹 布 綾 及 稱 剃 刀 皆 是 輕 
T85n2794_001:0688c01	物現前僧應分。十誦律料簡。輕重等物并香	物 現 前 僧 應 分 十 誦 律 料 簡 輕 重 等 物 并 香 
T85n2794_001:0688c02	鑪及一切銅器鐵器釜鑊瓦器瓫瓮竹器。皆	鑪 及 一 切 銅 器 鐵 器 釜 鑊 瓦 器 瓫 瓮 竹 器 皆 
T85n2794_001:0688c03	受二斗以上是重。二斗以下是輕。皮囊斗半	受 二 斗 以 上 是 重 二 斗 以 下 是 輕 皮 囊 斗 半 
T85n2794_001:0688c04	角五斗為重。降此為輕　問曰。比丘臨終時	角 五 斗 為 重 降 此 為 輕 問 曰 比 丘 臨 終 時 
T85n2794_001:0688c05	囑授物與佛法僧。不死還我成囑授不　答。	囑 授 物 與 佛 法 僧 不 死 還 我 成 囑 授 不 答 
T85n2794_001:0688c06	四分律明。病人臨終時囑授物與三寶及餘	四 分 律 明 病 人 臨 終 時 囑 授 物 與 三 寶 及 餘 
T85n2794_001:0688c07	人。不死還我。佛言不成。與現前僧應分	人 不 死 還 我 佛 言 不 成 與 現 前 僧 應 分 
T85n2794_001:0688c08	　問曰。病人欲終時囑授言。定與此。復云何	 問 曰 病 人 欲 終 時 囑 授 言 定 與 此 復 云 何 
T85n2794_001:0688c09	　答。依四分成囑授。僧祇明。為義不成。若得	 答 依 四 分 成 囑 授 僧 祇 明 為 義 不 成 若 得 
T85n2794_001:0688c10	物即說淨。是為成。不說淨為不成。還取入	物 即 說 淨 是 為 成 不 說 淨 為 不 成 還 取 入 
T85n2794_001:0688c11	僧　問曰。亡人衣物理屬眾僧。何須看病人	僧 問 曰 亡 人 衣 物 理 屬 眾 僧 何 須 看 病 人 
T85n2794_001:0688c12	僧中三捨　答。此物雖冥理屬僧。看病人則	僧 中 三 捨 答 此 物 雖 冥 理 屬 僧 看 病 人 則 
T85n2794_001:0688c13	為僧守護此物。所以須捨令僧普知　問曰。	為 僧 守 護 此 物 所 以 須 捨 令 僧 普 知 問 曰 
T85n2794_001:0688c14	亡者生時負人責。當云何　答。應以亡者衣	亡 者 生 時 負 人 責 當 云 何 答 應 以 亡 者 衣 
T85n2794_001:0688c15	物償。若亡人物少不足。同羯磨僧應出私物	物 償 若 亡 人 物 少 不 足 同 羯 磨 僧 應 出 私 物 
T85n2794_001:0688c16	代償　問曰。云何與看病人物　答曰。應與	代 償 問 曰 云 何 與 看 病 人 物 答 曰 應 與 
T85n2794_001:0688c17	三衣鉢針筒坐具。餘者現前應分　問曰。何	三 衣 鉢 針 筒 坐 具 餘 者 現 前 應 分 問 曰 何 
T85n2794_001:0688c18	故羯磨亡者衣物與一人。復還與僧。未解此	故 羯 磨 亡 者 衣 物 與 一 人 復 還 與 僧 未 解 此 
T85n2794_001:0688c19	意　答。有義。此物屬四方僧。僧難集不可得	意 答 有 義 此 物 屬 四 方 僧 僧 難 集 不 可 得 
T85n2794_001:0688c20	分。使一人以為物主。主若與僧現前得分	分 使 一 人 以 為 物 主 主 若 與 僧 現 前 得 分 
T85n2794_001:0688c21	　問曰。比丘命過。後人用輕重等物。設福為如	 問 曰 比 丘 命 過 後 人 用 輕 重 等 物 設 福 為 如 
T85n2794_001:0688c22	法不　答。非法。若用亡人重物為其福。及已	法 不 答 非 法 若 用 亡 人 重 物 為 其 福 及 已 
T85n2794_001:0688c23	入私已則於十方世界。上至羅漢下至沙彌。	入 私 已 則 於 十方世界 上 至 羅 漢 下 至 沙 彌 
T85n2794_001:0688c24	於一人邊各得重偷蘭遮罪。輕物不羯磨迴	於 一 人 邊 各 得 重 偷 蘭 遮 罪 輕 物 不 羯 磨 迴 
T85n2794_001:0688c25	施。及私入己罪同上說　問曰。用亡者輕重	施 及 私 入 己 罪 同 上 說 問 曰 用 亡 者 輕 重 
T85n2794_001:0688c26	等物罪可懺不　答。有可懺不可懺。若斷相	等 物 罪 可 懺 不 答 有 可 懺 不 可 懺 若 斷 相 
T85n2794_001:0688c27	續後不更作。以私物償僧得懺。若不爾不得	續 後 不 更 作 以 私 物 償 僧 得 懺 若 不 爾 不 得 
T85n2794_001:0688c28	懺　問曰。二人共活。一人命終。財物云何	懺 問 曰 二 人 共 活 一 人 命 終 財 物 云 何 
T85n2794_001:0688c29	　答。取其所有一切財物今為二分。一分入僧	 答 取 其 所有一切 財 物 今 為 二 分 一 分 入 僧 
T85n2794_001:0689a01	一分還彼　問曰。比丘此處命過。衣物異處。	一 分 還 彼 問 曰 比 丘 此 處 命 過 衣 物 異 處 
T85n2794_001:0689a02	何處僧應分　答。隨物可在處僧應分　問	何 處 僧 應 分 答 隨 物 可 在 處 僧 應 分 問 
T85n2794_001:0689a03	曰。出債舊在異處。比丘異處命過。保人及	曰 出 債 舊 在 異 處 比 丘 異 處 命 過 保 人 及 
T85n2794_001:0689a04	券各在異處。何處僧應分　答。十誦律云。處	券 各 在 異 處 何 處 僧 應 分 答 十 誦 律 云 處 
T85n2794_001:0689a05	雖有四保處應分。若無保人券處應分　問	雖 有 四 保 處 應 分 若 無 保 人 券 處 應 分 問 
T85n2794_001:0689a06	曰。比丘異處命過。寄物在異處。鉤籥異處。	曰 比 丘 異 處 命 過 寄 物 在 異 處 鉤 籥 異 處 
T85n2794_001:0689a07	何處僧應分　答。十誦云。三處差別。鉤籥處	何 處 僧 應 分 答 十 誦 云 三 處 差 別 鉤 籥 處 
T85n2794_001:0689a08	分。若無鉤籥物處應分　問曰。比丘持物寄	分 若 無 鉤 籥 物 處 應 分 問 曰 比 丘 持 物 寄 
T85n2794_001:0689a09	人。受寄者轉寄餘人。物主無常。何處應分	人 受 寄 者 轉 寄 餘 人 物 主 無 常 何 處 應 分 
T85n2794_001:0689a10	　答。十誦律云。雖有三處受寄處僧分　問。三	 答 十 誦 律 云 雖 有 三 處 受 寄 處 僧 分 問 三 
T85n2794_001:0689a11	寶物得異用不　答。不得。僧祇律明。三寶物	寶 物 得 異 用 不 答 不 得 僧 祇 律 明 三 寶 物 
T85n2794_001:0689a12	不得異用。若佛地中掘得寶藏。應入佛用若	不 得 異 用 若 佛 地 中 掘 得 寶 藏 應 入 佛 用 若 
T85n2794_001:0689a13	在僧地得其寶藏。應入僧用。若修治故塔及	在 僧 地 得 其 寶 藏 應 入 僧 用 若 修 治 故 塔 及 
T85n2794_001:0689a14	新塔不得伏藏。即屬塔用治。新故僧伽藍下	新 塔 不 得 伏 藏 即 屬 塔 用 治 新 故 僧 伽 藍 下 
T85n2794_001:0689a15	得伏藏亦如是。若王有教令國內所有伏藏	得 伏 藏 亦 如 是 若 王 有 教 令 國 內 所 有 伏 藏 
T85n2794_001:0689a16	盡應入義。當隨王法。王若言隨得處用者。即	盡 應 入 義 當 隨 王 法 王 若 言 隨 得 處 用 者 即 
T85n2794_001:0689a17	如王教。今若於佛地僧地中掘得伏藏。上有	如 王 教 今 若 於 佛 地 僧 地 中 掘 得 伏 藏 上 有 
T85n2794_001:0689a18	名字有識認。應還本主。若無認者隨當處用	名 字 有 識 認 應 還 本 主 若 無 認 者 隨 當 處 用 
T85n2794_001:0689a19	　問曰。若故懷塔得物持。餘處作塔不　答	 問 曰 若 故 懷 塔 得 物 持 餘 處 作 塔 不 答 
T85n2794_001:0689a20	曰。不得。正得隨處修治　問曰。此寺僧物。得	曰 不 得 正 得 隨 處 修 治 問 曰 此 寺 僧 物 得 
T85n2794_001:0689a21	彼寺用不　答。不得。若持此寺僧物彼寺僧	彼 寺 用 不 答 不 得 若 持 此 寺 僧 物 彼 寺 僧 
T85n2794_001:0689a22	用。如法治　問曰。和合持常住僧樹木堪作	用 如 法 治 問 曰 和 合 持 常 住 僧 樹 木 堪 作 
T85n2794_001:0689a23	梁者。床榻釜鑊田地及一切輕重等物。得乞	梁 者 床 榻 釜 鑊 田 地 及 一 切 輕 重 等 物 得 乞 
T85n2794_001:0689a24	人不　答。不得。假使三天下眾僧盡和合。乞	人 不 答 不 得 假 使 三 天 下 眾 僧 盡 和 合 乞 
T85n2794_001:0689a25	人及入私已一切犯偷蘭遮罪　問曰。彼寺	人 及 入 私 已 一 切 犯 偷 蘭 遮 罪 問 曰 彼 寺 
T85n2794_001:0689a26	僧為亡者設福。餘寺僧和合持常住僧物勸	僧 為 亡 者 設 福 餘 寺 僧 和 合 持 常 住 僧 物 勸 
T85n2794_001:0689a27	助。彼襄為以得不　答曰。不得。和以不和皆	助 彼 襄 為 以 得 不 答 曰 不 得 和 以 不 和 皆 
T85n2794_001:0689a28	犯偷蘭遮罪　問曰。有住處非時客僧來。舊	犯 偷 蘭 遮 罪 問 曰 有 住 處 非 時 客 僧 來 舊 
T85n2794_001:0689a29	住僧人情以常住僧食供給所須。此事云何	住 僧 人 情 以 常 住 僧 食 供給所須 此 事 云 何 
T85n2794_001:0689b01	　答。彼此俱得偷蘭遮罪。若僧有制盜取與	 答 彼 此 俱 得 偷 蘭 遮 罪 若 僧 有 制 盜 取 與 
T85n2794_001:0689b02	人自食。計錢犯重　問曰。對手悔法云何得	人 自 食 計 錢 犯 重 問 曰 對 手 悔 法 云 何 得 
T85n2794_001:0689b03	使罪滅　答。月半月盡懺悔法。要識罪名罪	使 罪 滅 答 月 半 月 盡 懺 悔 法 要 識 罪 名 罪 
T85n2794_001:0689b04	種。請清淨比丘為懺悔主。偏露右肩。脫革屣。	種 請 清 淨 比 丘 為 懺 悔 主 偏露右肩 脫 革 屣 
T85n2794_001:0689b05	故跪合掌。若是上坐應禮足。已說其所犯。大	故 跪 合 掌 若 是 上 坐 應 禮 足 已 說 其 所 犯 大 
T85n2794_001:0689b06	德憶念。我比丘某甲。犯此罪。今向大德發露	德 憶 念 我 比 丘 某 甲 犯 此 罪 今 向 大 德 發 露 
T85n2794_001:0689b07	懺悔。悔則安樂。不懺悔不安樂。憶念犯發露。	懺 悔 悔 則 安 樂 不 懺 悔 不 安 樂 憶 念 犯 發 露 
T85n2794_001:0689b08	知而不覆藏。大德憶念。我清淨戒身。具足	知 而 不 覆 藏 大 德 憶 念 我 清 淨 戒 身 具 足 
T85n2794_001:0689b09	清淨布薩。如是三說。前人應問言。大德見罪	清 淨 布 薩 如是三說 前 人 應 問 言 大 德 見 罪 
T85n2794_001:0689b10	不。答言。見。應語言。長老當責心。答言。爾。一	不 答 言 見 應 語 言 長 老 當 責 心 答 言 爾 一 
T85n2794_001:0689b11	切對手皆如上。凡欲懺悔。當若知有罪無罪。	切 對 手 皆 如 上 凡 欲 懺 悔 當 若 知 有 罪 無 罪 
T85n2794_001:0689b12	知輕知重。知犯並少。如說戒時。三唱清淨。不	知 輕 知 重 知 犯 並 少 如 說 戒 時 三 唱 清 淨 不 
T85n2794_001:0689b13	自知有罪。不心念發露。不向人說說此是戒	自 知 有 罪 不 心 念 發 露 不 向 人 說 說 此 是 戒 
T85n2794_001:0689b14	　序默然亡語突吉羅。向人對手一說懺法	 序 默 然 亡 語 突 吉 羅 向 人 對 手 一 說 懺 法 
T85n2794_001:0689b15	如上。云何知重發心。欲婬女色。盜滿五錢。	如 上 云 何 知 重 發 心 欲 婬 女 色 盜 滿 五 錢 
T85n2794_001:0689b16	殺人。妄語。自稱得聖。若動威儀。前人不解皆	殺 人 妄 語 自 稱 得 聖 若 動 威 儀 前 人 不 解 皆 
T85n2794_001:0689b17	得偷蘭遮。界內僧盡集。八人以上得懺。起心	得 偷 蘭 遮 界 內 僧 盡 集 八 人 以 上 得 懺 起 心 
T85n2794_001:0689b18	還正犯突吉羅。向人對手一說悔法如上。僧	還 正 犯 突 吉 羅 向 人 對 手 一 說 悔 法 如 上 僧 
T85n2794_001:0689b19	殘中四事邊輕偷蘭遮。何者是如非道假作	殘 中 四 事 邊 輕 偷 蘭 遮 何 者 是 如 非 道 假 作 
T85n2794_001:0689b20	道想。盜三四錢敬罪人。此是四重邊輕偷蘭	道 想 盜 三 四 錢 敬 罪 人 此 是 四 重 邊 輕 偷 蘭 
T85n2794_001:0689b21	遮。何者僧殘中重偷蘭遮。慮心故出不淨欲	遮 何 者 僧 殘 中 重 偷 蘭 遮 慮 心 故 出 不 淨 欲 
T85n2794_001:0689b22	摩觸女人與女人麁語乃至二謗。此九緣差	摩 觸 女 人 與 女 人 麁 語 乃 至 二 謗 此 九 緣 差 
T85n2794_001:0689b23	不成。下四二諫而捨。皆犯重偷蘭遮。應界場	不 成 下 四 二 諫 而 捨 皆 犯 重 偷 蘭 遮 應 界 場 
T85n2794_001:0689b24	上四人得懺。僧殘中輕者。如界中界不淨覺	上 四 人 得 懺 僧 殘 中 輕 者 如 界 中 界 不 淨 覺 
T85n2794_001:0689b25	則助動受槃剃三處毛食生皮血用人皮髮。	則 助 動 受 槃 剃 三 處 毛 食 生 皮 血 用 人 皮 髮 
T85n2794_001:0689b26	皆犯輕偷蘭遮。此中亦容有對首悔者。悔法	皆 犯 輕 偷 蘭 遮 此 中 亦 容 有 對 首 悔 者 悔 法 
T85n2794_001:0689b27	如上。若欲心看色摩觸男不及自己身。皆突	如 上 若 欲 心 看 色 摩 觸 男 不 及 自 己 身 皆 突 
T85n2794_001:0689b28	吉羅。對手一說悔法如上。二不定數在眾編	吉 羅 對 手 一 說 悔 法 如 上 二 不 定 數 在 眾 編 
T85n2794_001:0689b29	三十事罪同九十皆對三說悔法如上。四提	三 十 事 罪 同 九 十 皆 對 三 說 悔 法 如 上 四 提 
T85n2794_001:0689c01	舍尼皆對手一說。眾學百戒若本故心作者	舍 尼 皆 對 手 一 說 眾 學 百 戒 若 本 故 心 作 者 
T85n2794_001:0689c02	應對手說。本無故心暫悟犯者實心得。滅諍	應 對 手 說 本 無 故 心 暫 悟 犯 者 實 心 得 滅 諍 
T85n2794_001:0689c03	中僧斷事時作羯磨不稱。前事失法。得突吉	中 僧 斷 事 時 作 羯 磨 不 稱 前 事 失 法 得 突 吉 
T85n2794_001:0689c04	羅。對手一說。不隨順威儀三業所作論說他	羅 對 手 一 說 不 隨 順 威 儀 三 業 所 作 論 說 他 
T85n2794_001:0689c05	人好惡一切非法麁言出入戶上下廁不三但	人 好 惡 一 切 非 法 麁 言 出 入 戶 上 下 廁 不 三 但 
T85n2794_001:0689c06	指逆佛塔行剃密佛僧淨地。各犯突吉羅。對	指 逆 佛 塔 行 剃 密 佛 僧 淨 地 各 犯 突 吉 羅 對 
T85n2794_001:0689c07	手一說悔法如上。上來所列皆是懺悔大格。	手 一 說 悔 法 如 上 上 來 所 列 皆 是 懺 悔 大 格 
T85n2794_001:0689c08	明輕重不等。若有罪懺不相當。無罪作有罪	明 輕 重 不 等 若 有 罪 懺 不 相 當 無 罪 作 有 罪 
T85n2794_001:0689c09	懺。失法得罪不得滅。若懺悔過時。應善聽憶	懺 失 法 得 罪 不 得 滅 若 懺 悔 過 時 應 善 聽 憶 
T85n2794_001:0689c10	罪數。二俱稱說。若不憶者言。道不憶數。懺悔	罪 數 二 俱 稱 說 若 不 憶 者 言 道 不 憶 數 懺 悔 
T85n2794_001:0689c11	法應爾　問曰。僧住處淨地云何處分。具有	法 應 爾 問 曰 僧 住 處 淨 地 云 何 處 分 具 有 
T85n2794_001:0689c12	幾法　答曰。界律明。淨地有四種。一者俗人	幾 法 答 曰 界 律 明 淨 地 有 四 種 一 者 俗 人 
T85n2794_001:0689c13	初立僧加藍時。垣牆周匝僧房厨舍。悉皆成	初 立 僧 加 藍 時 垣 牆 周 匝 僧 房 厨 舍 悉 皆 成 
T85n2794_001:0689c14	就。檀越即日分處。界畔分明。然後請僧來入	就 檀 越 即 日 分 處 界 畔 分 明 然 後 請 僧 來 入 
T85n2794_001:0689c15	不須更分處。二者俗人造寺。垣牆周匝僧房	不 須 更 分 處 二 者 俗 人 造 寺 垣 牆 周 匝 僧 房 
T85n2794_001:0689c16	厨舍。皆悉成就。但不處分。請僧來入不得逕	厨 舍 皆 悉 成 就 但 不 處 分 請 僧 來 入 不 得 逕 
T85n2794_001:0689c17	宿。僧邪處分界畔明。三者僧自立寺。或勸化	宿 僧 邪 處 分 界 畔 明 三 者 僧 自 立 寺 或 勸 化 
T85n2794_001:0689c18	人建。籬牆不周。逕營人即自處分。然後請僧	人 建 籬 牆 不 周 逕 營 人 即 自 處 分 然 後 請 僧 
T85n2794_001:0689c19	來入。四者檀越造寺。莫問籬牆周以不周。請	來 入 四 者 檀 越 造 寺 莫 問 籬 牆 周 以 不 周 請 
T85n2794_001:0689c20	僧來入。逕宿莫問諸界不結。若作淨時要白	僧 來 入 逕 宿 莫 問 諸 界 不 結 若 作 淨 時 要 白 
T85n2794_001:0689c21	二羯磨結。凡始立淨要先結淨地。先所有一	二 羯 磨 結 凡 始 立 淨 要 先 結 淨 地 先 所 有 一 
T85n2794_001:0689c22	切不淨器物。受膩者盡持貿易。銅鐵及石火	切 不 淨 器 物 受 膩 者 盡 持 貿 易 銅 鐵 及 石 火 
T85n2794_001:0689c23	燒作淨。一切穀米及可食者。從檀越貿易。僧	燒 作 淨 一 切 穀 米 及 可 食 者 從 檀 越 貿 易 僧 
T85n2794_001:0689c24	祇律明。結地但處分易成無羯磨結。若初立	祇 律 明 結 地 但 處 分 易 成 無 羯 磨 結 若 初 立 
T85n2794_001:0689c25	寺時。不處分淨地。僧來入逕宿名不淨。後欲	寺 時 不 處 分 淨 地 僧 來 入 逕 宿 名 不 淨 後 欲 
T85n2794_001:0689c26	處分。要國土舊壞。人民數亂。帝主易位。然後	處 分 要 國 土 舊 壞 人 民 數 亂 帝 主 易 位 然 後 
T85n2794_001:0689c27	更得分處。十誦明。捨淨者所以然也。願明出	更 得 分 處 十 誦 明 捨 淨 者 所 以 然 也 願 明 出 
T85n2794_001:0689c28	家修道。以無事為先　若立淨厨則逕營忪務。	家 修 道 以 無 事 為 先 若 立 淨 厨 則 逕 營 忪 務 
T85n2794_001:0689c29	忪務心馳於道有礙。所以捨了。欲使持鉢稱	忪 務 心 馳 於 道 有 礙 所 以 捨 了 欲 使 持 鉢 稱 
T85n2794_001:0690a01	四威儀。深中取足支身。行道乞食有其二利。	四 威 儀 深 中 取 足 支 身 行 道 乞 食 有 其 二 利 
T85n2794_001:0690a02	一外益群生。二損貪進德。自利利人。即玄同	一 外 益 群 生 二 損 貪 進 德 自 利 利 人 即 玄 同 
T85n2794_001:0690a03	大行所以應也。但僧伽藍內不立厨舍。則無	大 行 所 以 應 也 但 僧 伽 藍 內 不 立 厨 舍 則 無 
T85n2794_001:0690a04	內宿內熱。若立厨舍處所雖不作食皆名不淨	內 宿 內 熱 若 立 厨 舍 處 所 雖 不 作 食 皆 名 不 淨 
T85n2794_001:0690a05	　問曰。云何淨不淨　答曰。比丘殘宿內熱。	 問 曰 云 何 淨 不 淨 答 曰 比 丘 殘 宿 內 熱 
T85n2794_001:0690a06	於比丘不淨。於比丘尼是淨。比丘尼殘宿內	於 比 丘 不 淨 於 比 丘 尼 是 淨 比 丘 尼 殘 宿 內 
