T24n1464_001:0851a03	鼻奈耶序	鼻 奈 耶 序 
T24n1464_006:0877c07	頭盧！久不來此。聖體輕強不？可於此坐。」時尊	頭 盧 久 不 來 此 聖 體 輕 強 不 可 於 此 坐 時 尊 
T24n1464_006:0877c08	者賓頭盧即坐，樹提長者頭面禮足，在一面	者 賓 頭 盧 即 坐 樹 提 長 者 頭面禮足 在 一 面 
T24n1464_006:0877c09	坐。賓頭盧問長者：「聞汝作栴檀鉢，豎大長木，	坐 賓 頭 盧 問 長 者 聞 汝 作 栴 檀 鉢 豎 大 長 木 
T24n1464_006:0877c10	舉鉢著上。其有沙門婆羅門，不施梯閣能得	舉 鉢 著 上 其 有 沙 門 婆 羅 門 不 施 梯 閣 能 得 
T24n1464_006:0877c11	取者，便以施之。為實爾不？」長者答曰：「審有此	取 者 便 以 施 之 為 實 爾 不 長 者 答 曰 審 有 此 
T24n1464_006:0877c12	語。」時賓頭盧不起于座，遙申手取鉢。長者	語 時 賓 頭 盧 不 起 于 座 遙 申 手 取 鉢 長 者 
T24n1464_006:0877c13	見此神變，歡喜踊躍。長者白言：「願借此鉢入	見 此 神 變 歡喜踊躍 長 者 白 言 願 借 此 鉢 入 
T24n1464_006:0877c14	舍盛飯。」即入盛滿羹飯授與賓頭盧。賓頭盧	舍 盛 飯 即 入 盛 滿 羹 飯 授 與 賓 頭 盧 賓 頭 盧 
T24n1464_006:0877c15	即起，詣竹園迦蘭陀所，語諸比丘：「我向者至	即 起 詣 竹 園 迦 蘭 陀 所 語 諸 比 丘 我 向 者 至 
T24n1464_006:0877c16	樹提長者家，大長木頭取此鉢。」諸比丘聞不	樹 提 長 者 家 大 長 木 頭 取 此 鉢 諸 比 丘 聞 不 
T24n1464_006:0877c17	知何答，往具白世尊。世尊知而問賓頭盧：「汝	知 何 答 往 具 白 世 尊 世 尊 知 而 問 賓 頭 盧 汝 
T24n1464_006:0877c18	審為此事耶？」「審爾。世尊！」世尊告曰：「云何比丘	審 為 此 事 耶 審 爾 世 尊 世 尊 告 曰 云 何 比 丘 
T24n1464_006:0877c19	坐小木鉢自現神足？賓頭盧！我今擯汝，終	坐 小 木 鉢 自 現 神 足 賓 頭 盧 我 今 擯 汝 終 
T24n1464_006:0877c20	身不得般泥洹、不得住閻浮提。」時尊者賓頭	身 不 得 般 泥 洹 不 得 住 閻 浮 提 時 尊 者 賓 頭 
T24n1464_006:0877c21	盧受世尊擯，從坐起，頭面禮足遶三匝而去。	盧 受 世 尊 擯 從 坐 起 頭面禮足 遶 三 匝 而 去 
T24n1464_006:0877c22	時世尊見賓頭盧去不久，集和合僧，為沙門	時 世 尊 見 賓 頭 盧 去 不 久 集 和 合 僧 為 沙 門 
T24n1464_006:0877c23	結戒：「若比丘恒自食鉢破為五分，綴用。若更	結 戒 若 比 丘 恒 自 食 鉢 破 為 五 分 綴 用 若 更 
T24n1464_006:0877c24	求好者，捨墮。比丘得新鉢，當持故者還比丘	求 好 者 捨 墮 比 丘 得 新 鉢 當 持 故 者 還 比 丘 
T24n1464_006:0877c25	僧。比丘僧持新者，授此比丘，終身持，壞乃止。」	僧 比 丘 僧 持 新 者 授 此 比 丘 終 身 持 壞 乃 止 
T24n1464_006:0877c26	時賓頭盧還房收攝什物，即坐三昧沒閻浮	時 賓 頭 盧 還 房 收 攝 什 物 即 坐 三 昧 沒 閻 浮 
T24n1464_006:0877c27	提、出拘耶尼，於彼夏坐中授五百優婆塞、五	提 出 拘 耶 尼 於 彼 夏 坐 中 授 五 百 優 婆 塞 五 
T24n1464_006:0877c28	百優婆夷戒、五百弟子授具足戒。起五百塔	百 優婆夷戒 五 百 弟 子 授 具 足 戒 起 五 百 塔 
T24n1464_006:0877c29	婆，五百房薦席床，拘遙枕各五百。賓頭盧於	婆 五 百 房 薦 席 床 拘 遙 枕 各 五 百 賓 頭 盧 於 
T24n1464_006:0878a01	拘耶尼而作佛事。佛在釋祇瘦迦維羅衛尼	拘 耶 尼 而 作 佛 事 佛 在 釋 祇 瘦 迦 維 羅 衛 尼 
T24n1464_006:0878a02	拘陀園。時諸釋種別有織衣坊。時六群比丘	拘 陀 園 時 諸 釋 種 別 有 織 衣 坊 時 六群比丘 
T24n1464_006:0878a03	從諸長者乞求綖，來至親里釋家，語：「可勅	從 諸 長 者 乞 求 綖 來 至 親 里 釋 家 語 可 勅 
T24n1464_006:0878a04	織坊與我織成作衣。」時諸織人既不得價又	織 坊 與 我 織 成 作 衣 時 諸 織 人 既 不 得 價 又 
T24n1464_006:0878a05	不得食，各怨恨言：「此沙門釋子強以力逼迫，	不 得 食 各 怨 恨 言 此 沙 門 釋 子 強 以 力 逼 迫 
T24n1464_006:0878a06	使我織衣。」十二法比丘便往具白世尊。世尊	使 我 織 衣 十 二 法 比 丘 便 往 具 白 世 尊 世 尊 
T24n1464_006:0878a07	告曰：「若比丘詣長者家乞綖縷，強使非親	告 曰 若 比 丘 詣 長 者 家 乞 綖 縷 強 使 非 親 
T24n1464_006:0878a08	里織作衣者，捨墮。」佛在釋祇瘦迦維羅衛尼	里 織 作 衣 者 捨 墮 佛 在 釋 祇 瘦 迦 維 羅 衛 尼 
T24n1464_006:0878a09	拘陀園。爾時迦維羅衛釋種與跋難陀釋子	拘 陀 園 爾 時 迦 維 羅 衛 釋 種 與 跋 難 陀 釋 子 
T24n1464_006:0878a10	織衣。跋難陀聞釋種與我作衣，即往詣織	織 衣 跋 難 陀 聞 釋 種 與 我 作 衣 即 往 詣 織 
T24n1464_006:0878a11	坊，語織人言：「汝知不？與我織此衣極令好	坊 語 織 人 言 汝 知 不 與 我 織 此 衣 極 令 好 
T24n1464_006:0878a12	妙，我分衛飯食以相供給。」時跋難陀語諸比	妙 我 分 衛 飯 食 以 相 供 給 時 跋 難 陀 語 諸 比 
T24n1464_006:0878a13	丘。比丘不知當何答，便往具白世尊。世尊告	丘 比 丘 不 知 當 何 答 便 往 具 白 世 尊 世 尊 告 
T24n1464_006:0878a14	曰：「若比丘先未然許，竊至作房語織人言：『好	曰 若 比 丘 先 未 然 許 竊 至 作 房 語 織 人 言 好 
T24n1464_006:0878a15	織此衣極令使妙，我當分衛以相供給。』若得	織 此 衣 極 令 使 妙 我 當 分 衛 以 相 供 給 若 得 
T24n1464_006:0878a16	衣者，捨墮。」佛在舍衛國祇樹給孤獨園。爾時	衣 者 捨 墮 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 爾 時 
T24n1464_006:0878a17	跋難陀有一弟子戒行純備。跋難陀素性喜	跋 難 陀 有 一 弟 子 戒 行 純 備 跋 難 陀 素 性 喜 
T24n1464_006:0878a18	治生賈販，作是念：「我此弟子足供手力。」即以	治 生 賈 販 作 是 念 我 此 弟 子 足 供 手 力 即 以 
T24n1464_006:0878a19	衣一領布施弟子。爾時世尊於夏坐竟，將諸	衣 一 領 布 施 弟 子 爾 時 世 尊 於 夏 坐 竟 將 諸 
T24n1464_006:0878a20	比丘著衣持鉢普行分衛。跋難陀弟子辭索	比 丘 著衣持鉢 普 行 分 衛 跋 難 陀 弟 子 辭 索 
T24n1464_006:0878a21	從佛，而不肯放。弟子報：「是非當去。」跋難陀語	從 佛 而 不 肯 放 弟 子 報 是 非 當 去 跋 難 陀 語 
T24n1464_006:0878a22	弟子：「我所以與汝衣者，事須手力故。若欲去	弟 子 我 所 以 與 汝 衣 者 事 須 手 力 故 若 欲 去 
T24n1464_006:0878a23	者，留此衣。」即前強奪。弟子涕泣，詣如來所頭	者 留 此 衣 即 前 強 奪 弟 子 涕 泣 詣 如 來 所 頭 
T24n1464_006:0878a24	面禮足，具白世尊。世尊告曰：「若比丘與比丘	面 禮 足 具 白 世 尊 世 尊 告 曰 若 比 丘 與 比 丘 
T24n1464_006:0878a25	衣，後便瞋恚強力還奪、若教人奪：『比丘取此	衣 後 便 瞋 恚 強 力 還 奪 若 教 人 奪 比 丘 取 此 
T24n1464_006:0878a26	衣來，我不與汝。』此比丘當還衣，彼比丘取衣	衣 來 我 不 與 汝 此 比 丘 當 還 衣 彼 比 丘 取 衣 
T24n1464_006:0878a27	者，捨墮。」佛世尊遊舍衛國祇樹給孤獨園。爾	者 捨 墮 佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 爾 
T24n1464_006:0878a28	時世尊及比丘僧在舍衛夏坐。爾時比丘於	時 世 尊 及 比 丘 僧 在 舍 衛 夏 坐 爾 時 比 丘 於 
T24n1464_006:0878a29	歲裏，人施衣，諸比丘不取，往白世尊。世尊	歲 裏 人 施 衣 諸 比 丘 不 取 往 白 世 尊 世 尊 
T24n1464_006:0878b01	告曰：「若比丘於歲裏，人施衣，當善意受，莫逆	告 曰 若 比 丘 於 歲 裏 人 施 衣 當 善 意 受 莫 逆 
T24n1464_006:0878b02	檀越意。」佛因此事，世尊為沙門結戒：「十日未	檀 越 意 佛 因 此 事 世 尊 為 沙 門 結 戒 十 日 未 
T24n1464_006:0878b03	至歲，比丘得衣，即當受。若得新衣，應停至歲。	至 歲 比 丘 得 衣 即 當 受 若 得 新 衣 應 停 至 歲 
T24n1464_006:0878b04	過十日，當用施人。若留者，捨墮。」佛世尊在舍	過 十 日 當 用 施 人 若 留 者 捨 墮 佛 世 尊 在 舍 
T24n1464_006:0878b05	衛國祇樹給孤獨園。時尊者婆覆常阿練兒	衛 國 祇 樹 給 孤 獨 園 時 尊 者 婆 覆 常 阿 練 兒 
T24n1464_006:0878b06	(空處也)留僧伽梨入舍衛國。還所在失僧伽梨，	 空 處 也 留 僧 伽 梨 入 舍 衛 國 還 所 在 失 僧 伽 梨 
T24n1464_006:0878b07	便語諸比丘：「我入舍衛城後失僧伽梨。」諸比	便 語 諸 比 丘 我 入 舍 衛 城 後 失 僧 伽 梨 諸 比 
T24n1464_006:0878b08	丘不知當云何答，往具白世尊。世尊告曰：「三	丘 不 知 當 云 何 答 往 具 白 世 尊 世 尊 告 曰 三 
T24n1464_006:0878b09	月後一月，阿練兒比丘住空閑處，欲有所至，	月 後 一 月 阿 練 兒 比 丘 住空閑處 欲 有 所 至 
T24n1464_006:0878b10	前有虎狼盜賊。此比丘從空閑處，以三衣送	前 有 虎 狼 盜 賊 此 比 丘 從 空 閑 處 以 三 衣 送 
T24n1464_006:0878b11	寄城內，此比丘行得六宿離三衣。若過六宿，	寄 城 內 此 比 丘 行 得 六 宿 離 三 衣 若 過 六 宿 
T24n1464_006:0878b12	捨墮。」佛世尊遊舍衛國祇樹給孤獨園。時毘	捨 墮 佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 毘 
T24n1464_006:0878b13	舍佉無夷羅母請佛及比丘僧，即夜施設飯	舍 佉 無 夷 羅 母 請 佛 及 比 丘 僧 即 夜 施 設 飯 
T24n1464_006:0878b14	具。明日敷坐，遣一使人至祇樹給孤獨園，白	具 明 日 敷 坐 遣 一 使 人 至 祇 樹 給 孤 獨 園 白 
T24n1464_006:0878b15	佛及僧：「飯食已辦，今時已到。」時此使人即到	佛 及 僧 飯 食 已 辦 今 時 已 到 時 此 使 人 即 到 
T24n1464_006:0878b16	祇桓，值諸比丘露地洗浴像尼揵子，使人便	祇 桓 值 諸 比 丘 露 地 洗 浴 像 尼 揵 子 使 人 便 
T24n1464_006:0878b17	作是念：「此間無有沙門釋子，純尼揵子滿祇	作 是 念 此 間 無 有 沙 門 釋 子 純 尼 揵 子 滿 祇 
T24n1464_006:0878b18	桓中。」即還白：「無有沙門釋子，一切盡尼揵	桓 中 即 還 白 無 有 沙 門 釋 子 一 切 盡 尼 揵 
T24n1464_006:0878b19	子滿祇桓中。」毘舍佉得道迹聰明人，便作是	子 滿 祇 桓 中 毘 舍 佉 得 道 迹 聰 明 人 便 作 是 
T24n1464_006:0878b20	念：「比丘僧必當露地浴。」復重遣往白佛及僧：	念 比 丘 僧 必 當 露 地 浴 復 重 遣 往 白 佛 及 僧 
T24n1464_006:0878b21	「食具已辦，今正是時。」使便往白。佛將比丘僧	 食 具 已 辦 今正是時 使 便 往 白 佛 將 比 丘 僧 
T24n1464_006:0878b22	至毘舍佉舍，各次第坐。坐定，自手行澡水布	至 毘 舍 佉 舍 各 次 第 坐 坐 定 自 手 行 澡 水 布 
T24n1464_006:0878b23	種種食。比丘僧食竟，行澡水已，在一面坐，	種 種 食 比 丘 僧 食 竟 行 澡 水 已 在 一 面 坐 
T24n1464_006:0878b24	以向者事具白世尊：「願世尊聽施比丘舍賴。」	以 向 者 事 具 白 世 尊 願 世 尊 聽 施 比 丘 舍 賴 
T24n1464_006:0878b25	世尊即許。佛達嚫而去。到祇桓，因此事為	世 尊 即 許 佛 達 嚫 而 去 到 祇 桓 因 此 事 為 
T24n1464_006:0878b26	比丘結戒：「春一月過，比丘當作遮雨舍賴。半	比 丘 結 戒 春 一 月 過 比 丘 當 作 遮 雨 舍 賴 半 
T24n1464_006:0878b27	月一月得持，若過者捨墮。」(少未至歲一月)佛世尊遊舍	月 一 月 得 持 若 過 者 捨 墮 少 未 至 歲 一 月 佛 世 尊 遊 舍 
T24n1464_006:0878b28	衛國祇樹給孤獨園。爾時尊者夜舍與大比	衛 國 祇 樹 給 孤 獨 園 爾 時 尊 者 夜 舍 與 大 比 
T24n1464_006:0878b29	丘僧遊拘薩羅界。長者婆羅門普識夜舍，供	丘 僧 遊 拘 薩 羅 界 長 者 婆 羅 門 普 識 夜 舍 供 
T24n1464_006:0878c01	養比丘僧飯餅甘饌，及白[疊*毛]施比丘。僧達嚫	養 比 丘 僧 飯 餅 甘 饌 及 白 [疊毛] 施 比 丘 僧 達 嚫 
T24n1464_006:0878c02	所得物。夜舍持入已，諸比丘見，自相謂言：「此	所 得 物 夜 舍 持 入 已 諸 比 丘 見 自 相 謂 言 此 
T24n1464_006:0878c03	比丘云何取比丘僧物？」即往白世尊。世尊告	比 丘 云 何 取 比 丘 僧 物 即 往 白 世 尊 世 尊 告 
T24n1464_006:0878c04	曰：「若比丘知是比丘僧物，自入己；檀越欲施	曰 若 比 丘 知 是 比 丘 僧 物 自 入 己 檀 越 欲 施 
T24n1464_006:0878c05	比丘僧物，求以入己，捨墮。」佛遊舍衛國祇	比 丘 僧 物 求 以 入 己 捨 墮 佛 遊 舍 衛 國 祇 
T24n1464_006:0878c06	樹給孤獨園。時尊者必陵伽婆蔡患兩眼	樹 給 孤 獨 園 時 尊 者 必 陵 伽 婆 蔡 患 兩 眼 
T24n1464_006:0878c07	痛，諸長者婆羅門送飯食供具、四種藥酥麻	痛 諸 長 者 婆 羅 門 送 飯 食 供 具 四 種 藥 酥 麻 
T24n1464_006:0878c08	油蜜黑石蜜，貯積日日服。諸比丘見，往具白	油 蜜 黑 石 蜜 貯 積 日 日 服 諸 比 丘 見 往 具 白 
T24n1464_006:0878c09	世尊。世尊因此事，集和合僧，備十功德，佛為	世 尊 世 尊 因 此 事 集 和 合 僧 備 十 功 德 佛 為 
T24n1464_006:0878c10	沙門結戒：「若比丘積貯四種藥，不得過七日。	沙 門 結 戒 若 比 丘 積 貯 四 種 藥 不 得 過 七 日 
T24n1464_006:0878c11	過者，捨墮。」優波離白佛：「云何名尼薩祇？世	過 者 捨 墮 優 波 離 白 佛 云 何 名 尼 薩 祇 世 
T24n1464_006:0878c12	尊！」世尊告曰：「若三失三衣，更不得受亦不	尊 世 尊 告 曰 若 三 失 三 衣 更 不 得 受 亦 不 
T24n1464_006:0878c13	得著。若貿易、若匃人，此名尼薩祇貝逸提。	得 著 若 貿 易 若 匃 人 此 名 尼 薩 祇 貝 逸 提 
T24n1464_006:0878c14	名燒聖道根渚人，不得生三昧，此名捨墮。」	名 燒 聖 道 根 渚 人 不 得 生 三 昧 此 名 捨 墮 
T24n1464_006:0878c15	鼻奈耶卷第六	鼻 奈 耶 卷 第 六 
T24n1464_007:0878c18	鼻奈耶卷第七	鼻 奈 耶 卷 第 七 
T24n1464_007:0878c20	姚秦涼州沙門竺佛念等譯	姚 秦 涼 州 沙 門 竺 佛 念 等 譯 
T24n1464_007:0878c21	波逸提法之一	波 逸 提 法 之 一 
T24n1464_007:0878c22	佛世尊遊舍衛國祇樹給孤獨園。時尊者羅	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 尊 者 羅 
T24n1464_007:0878c23	芸於眾人中戲笑妄語。諸比丘誨責：「汝為佛	芸 於 眾 人 中 戲 笑 妄 語 諸 比 丘 誨 責 汝 為 佛 
T24n1464_007:0878c24	子，云何妄語？」諸比丘往具白世尊。世尊告羅	子 云 何 妄 語 諸 比 丘 往 具 白 世 尊 世 尊 告 羅 
T24n1464_007:0878c25	芸曰：「汝何為戲笑妄語？」以偈誨責羅芸：	芸 曰 汝 何 為 戲 笑 妄 語 以 偈 誨 責 羅 芸 
T24n1464_007:0878c26	「妄語地獄近，　　作之言不作，	 妄 語 地 獄 近 作 之 言 不 作 
T24n1464_007:0878c27	　二罪後俱受，　　是行自牽去。	 二 罪 後 俱 受 是 行 自 牽 去 
T24n1464_007:0878c28	　法衣在其身，　　為惡不自禁，	 法 衣 在 其 身 為 惡 不 自 禁 
T24n1464_007:0878c29	　苟為惡行者，　　命逝墮地獄。	 苟 為 惡 行 者 命 逝 墮 地 獄 
T24n1464_007:0879a01	　無戒受供養，　　街巷乞不慚，	 無 戒 受 供 養 街 巷 乞 不 慚 
T24n1464_007:0879a02	　死噉燒鐵丸，　　極熱劇赤火。」	 死 噉 燒 鐵 丸 極 熱 劇 赤 火 
T24n1464_007:0879a03	如是世尊誨責已，為沙門結戒：「若比丘戲笑	如 是 世 尊 誨 責 已 為 沙 門 結 戒 若 比 丘 戲 笑 
T24n1464_007:0879a04	妄語者，貝夜提。」佛世尊遊舍衛國祇樹給孤	妄 語 者 貝 夜 提 佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 
T24n1464_007:0879a05	獨園。時六群比丘種類罵諸比丘。諸比丘往	獨 園 時 六群比丘 種 類 罵 諸 比 丘 諸 比 丘 往 
T24n1464_007:0879a06	具白世尊。世尊告曰：「若比丘種類相罵者，	具 白 世 尊 世 尊 告 曰 若 比 丘 種 類 相 罵 者 
T24n1464_007:0879a07	貝夜提。」	貝 夜 提 
T24n1464_007:0879a08	佛世尊遊舍衛國祇樹給孤獨園。時六群比	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 六 群 比 
T24n1464_007:0879a09	丘常與十七群比丘共諍。此間聞語，便往告	丘 常 與 十 七 群 比 丘 共 諍 此 間 聞 語 便 往 告 
T24n1464_007:0879a10	彼；彼間聞語，便來告此。諸比丘聞，往白世	彼 彼 間 聞 語 便 來 告 此 諸 比 丘 聞 往 白 世 
T24n1464_007:0879a11	尊。世尊告曰：「若比丘調戲兩舌鬪亂彼此者，	尊 世 尊 告 曰 若 比 丘 調 戲 兩 舌 鬪 亂 彼 此 者 
T24n1464_007:0879a12	貝夜提。」	貝 夜 提 
T24n1464_007:0879a13	佛世尊遊拘舍彌瞿師羅園。彼拘舍彌比丘	佛 世 尊 遊 拘 舍 彌 瞿 師 羅 園 彼 拘 舍 彌 比 丘 
T24n1464_007:0879a14	喜鬪繫閉，坐眾耆老事以得解。六群比丘還	喜 鬪 繫 閉 坐 眾 耆 老 事 以 得 解 六群比丘 還 
T24n1464_007:0879a15	揚舉本事：「諸君以何事諍不使我等斷？」諸比	揚 舉 本 事 諸 君 以 何 事 諍 不 使 我 等 斷 諸 比 
T24n1464_007:0879a16	丘聞六群比丘事解還揚舉，往具白世尊。世	丘 聞 六群比丘 事 解 還 揚 舉 往 具 白 世 尊 世 
T24n1464_007:0879a17	尊告曰：「若比丘諍，如法事止，還揚舉者，貝	尊 告 曰 若 比 丘 諍 如 法 事 止 還 揚 舉 者 貝 
T24n1464_007:0879a18	夜提。」	夜 提 
T24n1464_007:0879a19	佛世尊遊舍衛國祇樹給孤獨園。時迦留陀	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 迦 留 陀 
T24n1464_007:0879a20	夷獨入宮，與末利夫人說法。王諸大臣自相	夷 獨 入 宮 與 末 利 夫 人 說 法 王 諸 大 臣 自 相 
T24n1464_007:0879a21	謂言：「云何比丘獨入宮說法？」十二法比丘往	謂 言 云 何 比 丘 獨 入 宮 說 法 十 二 法 比 丘 往 
T24n1464_007:0879a22	白世尊。世尊告曰：「若比丘獨與女人說法，不	白 世 尊 世 尊 告 曰 若 比 丘 獨 與 女 人 說 法 不 
T24n1464_007:0879a23	得過五六語，除其有人，貝夜提。」佛世尊遊舍	得 過 五 六 語 除 其 有 人 貝 夜 提 佛 世 尊 遊 舍 
T24n1464_007:0879a24	衛國祇樹給孤獨園。時六群比丘向沙彌說	衛 國 祇 樹 給 孤 獨 園 時 六群比丘 向 沙 彌 說 
T24n1464_007:0879a25	毘尼語。諸比丘見，「云何向未受大戒者說戒？」	毘 尼 語 諸 比 丘 見 云 何 向 未 受 大 戒 者 說 戒 
T24n1464_007:0879a26	往具白世尊。世尊告曰：「若比丘向未受大	往 具 白 世 尊 世 尊 告 曰 若 比 丘 向 未 受 大 
T24n1464_007:0879a27	戒者說一句戒法，貝夜提。」佛世尊遊舍衛國	戒 者 說 一 句 戒 法 貝 夜 提 佛 世 尊 遊 舍 衛 國 
T24n1464_007:0879a28	祇樹給孤獨園。時有一比丘入沙彌聚，自	祇 樹 給 孤 獨 園 時 有 一 比 丘 入 沙 彌 聚 自 
T24n1464_007:0879a29	稱譽言：「我得初禪第二第三第四禪、慈悲喜	稱 譽 言 我 得 初 禪 第二第三 第 四 禪 慈 悲 喜 
T24n1464_007:0879b01	護。」諸比丘見即往責數：「云何比丘向未受大	護 諸 比 丘 見 即 往 責 數 云 何 比 丘 向 未 受 大 
T24n1464_007:0879b02	戒者自稱得禪？」往具白世尊。世尊告曰：「若比	戒 者 自 稱 得 禪 往 具 白 世 尊 世 尊 告 曰 若 比 
T24n1464_007:0879b03	丘向未受大戒人自稱譽言：『我知是見是。』實	丘 向 未 受 大 戒 人 自 稱 譽 言 我 知 是 見 是 實 
T24n1464_007:0879b04	者，貝逸提。」	者 貝 逸 提 
T24n1464_007:0879b05	佛世尊遊舍衛國祇樹給孤獨園。時六群比	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 六 群 比 
T24n1464_007:0879b06	丘語不受大戒人：「某甲比丘犯僧伽婆施沙、	丘 語 不 受 大 戒 人 某 甲 比 丘 犯 僧 伽 婆 施 沙 
T24n1464_007:0879b07	貝逸提。」諸比丘聞，便往白世尊。世尊告曰：	貝 逸 提 諸 比 丘 聞 便 往 白 世 尊 世 尊 告 曰 
T24n1464_007:0879b08	「若比丘向未受大戒人說，犯僧伽婆施沙、貝	 若 比 丘 向 未 受 大 戒 人 說 犯 僧 伽 婆 施 沙 貝 
T24n1464_007:0879b09	逸提者，除其僧使，貝逸提。」佛世尊遊舍衛國	逸 提 者 除 其 僧 使 貝 逸 提 佛 世 尊 遊 舍 衛 國 
T24n1464_007:0879b10	祇樹給孤獨園。時諸長者來詣園房觀看，若	祇 樹 給 孤 獨 園 時 諸 長 者 來 詣 園 房 觀 看 若 
T24n1464_007:0879b11	還去者身飢不能得達，便語十二法比丘：「此	還 去 者 身 飢 不 能 得 達 便 語 十 二 法 比 丘 此 
T24n1464_007:0879b12	沙門釋子常食人供，而到園了無待賓。」比丘	沙 門 釋 子 常 食 人 供 而 到 園 了 無 待 賓 比 丘 
T24n1464_007:0879b13	語六群比丘：「此諸長者詣園觀看，若還去時	語 六群比丘 此 諸 長 者 詣 園 觀 看 若 還 去 時 
T24n1464_007:0879b14	飢不能得至，可聽少糴穀米以供賓客。」六	飢 不 能 得 至 可 聽 少 糴 穀 米 以 供 賓 客 六 
T24n1464_007:0879b15	群比丘答言：「大善。」後比丘多糴穀米以待賓	群 比 丘 答 言 大 善 後 比 丘 多 糴 穀 米 以 待 賓 
T24n1464_007:0879b16	客。六群比丘語諸比丘：「誰使汝等大散僧物	客 六群比丘 語 諸 比 丘 誰 使 汝 等 大 散 僧 物 
T24n1464_007:0879b17	糴穀米以待賓客？」比丘答：「君前自許。」復言：「我	糴 穀 米 以 待 賓 客 比 丘 答 君 前 自 許 復 言 我 
T24n1464_007:0879b18	不許汝。」諸比丘不知當何答，往白世尊。世尊	不 許 汝 諸 比 丘 不 知 當 何 答 往 白 世 尊 世 尊 
T24n1464_007:0879b19	告曰：「若比丘先共要，後作是語：『汝減比丘僧	告 曰 若 比 丘 先 共 要 後 作 是 語 汝 減 比 丘 僧 
T24n1464_007:0879b20	物。』用違前要者，貝逸提。」佛世尊遊舍衛國	物 用 違 前 要 者 貝 逸 提 佛 世 尊 遊 舍 衛 國 
T24n1464_007:0879b21	祇樹給孤獨園。時十五日撾揵稚，比丘僧	祇 樹 給 孤 獨 園 時 十 五 日 撾 揵 稚 比 丘 僧 
T24n1464_007:0879b22	集說戒。尊者闡怒語諸比丘：「半月用說是雜	集 說 戒 尊 者 闡 怒 語 諸 比 丘 半 月 用 說 是 雜 
T24n1464_007:0879b23	碎戒為？使諸比丘愁憒不得行道。」諸比丘聞，	碎 戒 為 使 諸 比 丘 愁 憒 不 得 行 道 諸 比 丘 聞 
T24n1464_007:0879b24	便往白世尊。世尊因此事，集和合僧，備十功	便 往 白 世 尊 世 尊 因 此 事 集 和 合 僧 備 十 功 
T24n1464_007:0879b25	德，佛為沙門結戒：「若比丘說戒之日作是語：	德 佛 為 沙 門 結 戒 若 比 丘 說 戒 之 日 作 是 語 
T24n1464_007:0879b26	『半月用說此雜碎戒為？』彈却戒者，貝逸提。」	 半 月 用 說 此 雜 碎 戒 為 彈 却 戒 者 貝 逸 提 
T24n1464_007:0879b27	佛世尊遊舍衛國祇樹給孤獨園。六群比丘	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 六群比丘 
T24n1464_007:0879b28	斫樹作床，樹神瞋，往語十二法比丘：「我所居	斫 樹 作 床 樹 神 瞋 往 語 十 二 法 比 丘 我 所 居 
T24n1464_007:0879b29	舍盡斫壞。」諸比丘往白世尊。世尊告曰：「有神	舍 盡 斫 壞 諸 比 丘 往 白 世 尊 世 尊 告 曰 有 神 
T24n1464_007:0879c01	依樹根、有神依樹岐、有神依樹枝裏、有神	依 樹 根 有 神 依 樹 岐 有 神 依 樹 枝 裏 有 神 
T24n1464_007:0879c02	依樹皮裏、有神依樹皮裂中、有神依樹蓓	依 樹 皮 裏 有 神 依 樹 皮 裂 中 有 神 依 樹 蓓 
T24n1464_007:0879c03	蕾、有神依樹葉、有神依樹花住、有神依樹菓，	蕾 有 神 依 樹 葉 有 神 依 樹 花 住 有 神 依 樹 菓 
T24n1464_007:0879c04	一切藥草樹木盡有神。神所以依住者，食其	一 切 藥 草 樹 木 盡 有 神 神 所 以 依 住 者 食 其 
T24n1464_007:0879c05	香故。若比丘自斫樹、教他斫，墮。」	香 故 若 比 丘 自 斫 樹 教 他 斫 墮 
T24n1464_007:0879c06	佛世尊遊舍衛國祇樹給孤獨園。六群比丘	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 六群比丘 
T24n1464_007:0879c07	常與十七群比丘共諍，十七群比丘不能忍，	常 與 十 七 群 比 丘 共 諍 十 七 群 比 丘 不 能 忍 
T24n1464_007:0879c08	卒便瞋恚。諸十二法比丘聞，往白世尊。世尊	卒 便 瞋 恚 諸 十 二 法 比 丘 聞 往 白 世 尊 世 尊 
T24n1464_007:0879c09	告曰：「卒瞋恚者，墮。」	告 曰 卒 瞋 恚 者 墮 
T24n1464_007:0879c10	佛世尊遊舍衛國祇樹給孤獨園。時六群比	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 六 群 比 
T24n1464_007:0879c11	丘撓擾激動阿練兒：「諸君已得初禪第二	丘 撓 擾 激 動 阿 練 兒 諸 君 已 得 初 禪 第 二 
