X17n0323_001:0135a03	 楞伽經序	 楞 伽 經 序 
X17n0323_004:0186c22	一則從理此譬合所以異也又曰如趣彼城道等	一 則 從 理 此 譬 合 所 以 異 也 又 曰 如 趣 彼 城 道 等 
X17n0323_004:0186c23	則又兼譬二法歸乎一致所謂古城平坦正道則	則 又 兼 譬 二 法 歸 乎 一 致 所 謂 古城平坦正道 則 
X17n0323_004:0186c24	本住法也士夫行之而至者緣自得法也惟其本	本 住 法 也 士 夫 行 之 而 至 者 緣自得法 也 惟 其 本 
X17n0323_004:0187a01	有正道故得隨之而入入已安之皆非外物故曰	有 正 道 故 得 隨 之 而 入 入 已 安 之 皆 非 外 物 故 曰 
X17n0323_004:0187a02	彼作是道等耶答言不也謂其皆固有故非造作	彼 作 是 道 等 耶 答 言 不 也 謂 其 皆 固 有 故 非 造 作 
X17n0323_004:0187a03	成以譬二法本有之性非言說所及所以五十年	成 以 譬 二 法 本 有 之 性 非 言 說 所 及 所 以 五 十 年 
X17n0323_004:0187a04	中一大藏教不說一字者非曰不說說所不到也	中 一 大 藏 教 不 說 一 字 者 非 曰 不 說 說 所 不 到 也 
X17n0323_004:0187a05	是亦遣言非言則無言無迹三世諸佛理歸一揆	是 亦 遣 言 非 言 則 無 言 無 迹 三世諸佛 理 歸 一 揆 
X17n0323_004:0187a06	亦無等無不等所以為至等也偈頌可知(二)。○右	亦 無 等 無 不 等 所 以 為 至 等 也 偈 頌 可 知 二 右 
X17n0323_004:0187a07	第四章。	第 四 章 
X17n0323_004:0187a08	爾時大慧菩薩復請世尊惟願為說一切法有無有	爾 時 大 慧 菩 薩 復 請 世 尊 惟 願 為 說 一 切 法 有 無 有 
X17n0323_004:0187a09	相令我及餘菩薩摩訶薩離有無有相疾得阿耨多	相 令 我 及 餘 菩薩摩訶薩 離 有 無 有 相 疾 得 阿 耨 多 
X17n0323_004:0187a10	羅三藐三菩提佛告大慧諦聽諦聽善思念之當為	羅 三藐三菩提 佛 告 大 慧 諦 聽 諦 聽 善思念之 當 為 
X17n0323_004:0187a11	汝說大慧白佛言善哉世尊唯然受教佛告大慧此	汝 說 大 慧 白 佛 言 善 哉 世 尊 唯 然 受 教 佛 告 大 慧 此 
X17n0323_004:0187a12	世間依有二種謂依有及無墮性非性欲見不離離	世 間 依 有 二 種 謂 依 有 及 無 墮 性 非 性 欲 見 不 離 離 
X17n0323_004:0187a13	相大慧云何世間依有謂有世間因緣生非不有從	相 大 慧 云 何 世 間 依 有 謂 有 世 間 因 緣 生 非 不 有 從 
X17n0323_004:0187a14	有生非無有生大慧彼如是說者是說世間無因大	有 生 非 無 有 生 大 慧 彼 如 是 說 者 是 說 世 間 無 因 大 
X17n0323_004:0187a15	慧云何世間依無謂受貪恚癡性已然後妄想計著	慧 云 何 世 間 依 無 謂 受 貪 恚 癡 性 已 然 後 妄 想 計 著 
X17n0323_004:0187a16	貪恚癡性非性大慧若不取有性者性相寂靜故謂	貪 恚 癡 性 非 性 大 慧 若 不 取 有 性 者 性 相 寂 靜 故 謂 
X17n0323_004:0187a17	諸如來聲聞緣覺不取貪恚癡性為有為無。	諸 如來聲聞緣覺 不 取 貪 恚 癡 性 為 有 為 無 
X17n0323_004:0187a18	有無有見者凡外偏計也離有無相者佛法正宗	有 無 有 見 者 凡 外 偏 計 也 離 有 無 相 者 佛 法 正 宗 
X17n0323_004:0187a19	也苟不辨其偏何以知其正故大慧請說有無有	也 苟 不 辨 其 偏 何 以 知 其 正 故 大 慧 請 說 有 無 有 
X17n0323_004:0187a20	相意則離彼偏見而達乎正道也於中先示二種	相 意 則 離 彼 偏 見 而 達 乎 正 道 也 於 中 先 示 二 種 
X17n0323_004:0187a21	依義則曰世間依有二種等凡凡夫情見未甞獨	依 義 則 曰 世 間 依 有 二 種 等 凡 凡 夫 情 見 未 甞 獨 
X17n0323_004:0187a22	立不依於有則著於無所指有無是所依境不唯	立 不 依 於 有 則 著 於 無 所 指 有 無 是 所 依 境 不 唯 
X17n0323_004:0187a23	依之而已而又墮性非性欲見欲謂樂欲其見必	依 之 而 已 而 又 墮 性 非 性 欲 見 欲 謂 樂 欲 其 見 必 
X17n0323_004:0187a24	偏本不能離而作離想是謂不離離相亦猶前文	偏 本 不 能 離 而 作 離 想 是 謂 不 離 離 相 亦 猶 前 文 
X17n0323_004:0187b01	不出出覺是也云何世間下徵釋也謂依有者計	不 出 出 覺 是 也 云 何 世 間 下 徵 釋 也 謂 依 有 者 計 
X17n0323_004:0187b02	有世間因緣生是生與所生皆有仍遮其非曰非	有 世 間 因 緣 生 是 生 與 所 生 皆 有 仍 遮 其 非 曰 非 
X17n0323_004:0187b03	不有從有生正言所生世間是有也非無有生言	不 有 從 有 生 正 言 所 生 世 間 是 有 也 非 無 有 生 言 
X17n0323_004:0187b04	能生因緣是有也故佛折之曰無因論蓋世間有	能 生 因 緣 是 有 也 故 佛 折 之 曰 無 因 論 蓋 世 間 有 
X17n0323_004:0187b05	無必相因故如彼計有從有生則有為無所因無	無 必 相 因 故 如 彼 計 有 從 有 生 則 有 為 無 所 因 無 
X17n0323_004:0187b06	因之有則邪見已其計無者謂先受貪恚癡性已	因 之 有 則 邪 見 已 其 計 無 者 謂 先 受 貪 恚 癡 性 已 
X17n0323_004:0187b07	而後妄計其性非性非性則無也佛折之曰若不	而 後 妄 計 其 性 非 性 非 性 則 無 也 佛 折 之 曰 若 不 
X17n0323_004:0187b08	取有性等意謂先有所受後有所非是猶有取非	取 有 性 等 意 謂 先 有 所 受 後 有 所 非 是 猶 有 取 非 
X17n0323_004:0187b09	不取也若不取者則其性相本來寂靜如諸如來	不 取 也 若 不 取 者 則 其 性 相 本來寂靜 如 諸 如 來 
X17n0323_004:0187b10	等不取貪恚癡性為有為無則不取有無於其間	等 不 取 貪 恚 癡 性 為 有 為 無 則 不 取 有 無 於 其 間 
X17n0323_004:0187b11	始可謂不取然則二乘本求斷破而此同如來不	始 可 謂 不 取 然 則 二 乘 本 求 斷 破 而 此 同 如 來 不 
X17n0323_004:0187b12	取者所以蜜喻彼意亦令其勿取爾(一)。	取 者 所 以 蜜 喻 彼 意 亦 令 其 勿 取 爾 一 
X17n0323_004:0187b13	大慧此中何等為壞者大慧白佛言世尊若彼取貪	大 慧 此 中 何 等 為 壞 者 大 慧 白 佛 言 世 尊 若 彼 取 貪 
X17n0323_004:0187b14	恚癡性後不復取佛告大慧善哉善哉汝如是解大	恚 癡 性 後 不 復 取 佛 告 大 慧 善哉善哉 汝 如 是 解 大 
X17n0323_004:0187b15	慧非但貪恚癡性非性為壞者於聲聞緣覺及佛亦	慧 非 但 貪 恚 癡 性 非 性 為 壞 者 於 聲 聞 緣 覺 及 佛 亦 
X17n0323_004:0187b16	是壞者所以者何謂內外不可得故煩惱性異不異	是 壞 者 所以者何 謂 內 外 不 可 得 故 煩 惱 性 異 不 異 
X17n0323_004:0187b17	故大慧貪恚癡若內若外不可得貪恚癡性無身故	故 大 慧 貪 恚 癡 若內若外 不 可 得 貪 恚 癡 性 無 身 故 
X17n0323_004:0187b18	無取故非佛聲聞緣覺是壞者佛聲聞緣覺自性解	無 取 故 非 佛 聲 聞 緣 覺 是 壞 者 佛 聲 聞 緣 覺 自 性 解 
X17n0323_004:0187b19	脫故縛與縛因非性故大慧若有縛者應有縛是縛	脫 故 縛 與 縛 因 非 性 故 大 慧 若 有 縛 者 應 有 縛 是 縛 
X17n0323_004:0187b20	因故大慧如是說壞者是名無有相。	因 故 大 慧 如 是 說 壞 者 是 名 無 有 相 
X17n0323_004:0187b21	如來將復計其非說因問此有無取不取之間何	如 來 將 復 計 其 非 說 因 問 此 有 無 取 不 取 之 間 何 
X17n0323_004:0187b22	等為壞滅者大慧答以如彼次說以不取為非性	等 為 壞 滅 者 大 慧 答 以 如 彼 次 說 以 不 取 為 非 性 
X17n0323_004:0187b23	是即壞義佛印其說而有與奪抑縱之論所以印	是 即 壞 義 佛 印 其 說 而 有 與 奪 抑 縱 之 論 所 以 印 
X17n0323_004:0187b24	者與其言次說之當也所以奪者以其不取之說	者 與 其 言 次 說 之 當 也 所 以 奪 者 以 其 不 取 之 說 
X17n0323_004:0187c01	濫故若直以不取為壞者雖佛亦不取抑何以異	濫 故 若 直 以 不 取 為 壞 者 雖 佛 亦 不 取 抑 何 以 異 
X17n0323_004:0187c02	焉故曰非但貪恚癡性非性為壞等所以者何下	焉 故 曰 非 但 貪 恚 癡 性 非 性 為 壞 等 所以者何 下 
X17n0323_004:0187c03	正揀異相一往不取之言同而其所以異故曰內	正 揀 異 相 一 往 不 取 之 言 同 而 其 所 以 異 故 曰 內 
X17n0323_004:0187c04	外不可得故等謂佛能了知貪恚癡等諸煩惱性	外 不 可 得 故 等 謂 佛 能 了 知 貪 恚 癡 等 諸 煩 惱 性 
X17n0323_004:0187c05	於內外法非異不異則其性本虗故無實身可得	於 內 外 法 非 異 不 異 則 其 性 本 虗 故 無 實 身 可 得 
X17n0323_004:0187c06	如是不取則不同彼定有壞者故覆結示曰非佛	如 是 不 取 則 不 同 彼 定 有 壞 者 故 覆 結 示 曰 非 佛 
X17n0323_004:0187c07	聲聞緣覺是壞者以其本來自性解脫故無脫則	聲 聞 緣 覺 是 壞 者 以 其 本 來 自性解脫 故 無 脫 則 
X17n0323_004:0187c08	無縛故縛與縛因非性則皆不可得若彼於貪恚	無 縛 故 縛 與 縛 因 非 性 則 皆 不 可 得 若 彼 於 貪 恚 
X17n0323_004:0187c09	癡性先受而後不取則已有所縛故曰若有縛者	癡 性 先 受 而 後 不 取 則 已 有 所 縛 故 曰 若 有 縛 者 
X17n0323_004:0187c10	等謂縛是其果果必有因是應指貪等為因有縛	等 謂 縛 是 其 果 果 必 有 因 是 應 指 貪 等 為 因 有 縛 
X17n0323_004:0187c11	必有壞則曰如是說壞者是名無有相是必斷滅	必 有 壞 則 曰 如 是 說 壞 者 是 名 無 有 相 是 必 斷 滅 
X17n0323_004:0187c12	墮於空見而為壞爾斥失如後(二)。	墮 於 空 見 而 為 壞 爾 斥 失 如 後 二 
X17n0323_004:0187c13	大慧因是故我說寧取人見如須彌山不起無所有	大 慧 因 是 故 我 說 寧 取 人 見 如須彌山 不 起 無 所 有 
X17n0323_004:0187c14	增上慢空見大慧無所有增上慢者是名為壞墮自	增 上 慢 空 見 大 慧 無 所 有 增上慢者 是 名 為 壞 墮 自 
X17n0323_004:0187c15	共相見希望不知自心現量見外性無常剎那展轉	共 相 見 希 望 不 知 自心現量 見 外 性 無 常 剎 那 展 轉 
X17n0323_004:0187c16	壞陰界入相續流注變滅離文字相妄相是名為壞	壞 陰 界 入 相 續 流 注 變 滅 離 文 字 相 妄 相 是 名 為 壞 
X17n0323_004:0187c17	者爾時世尊欲重宣此義而說偈言。	者 爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X17n0323_004:0187c18	有無是二邊乃至心境界淨除彼境界平等心寂滅	有 無 是 二 邊 乃 至 心 境 界 淨 除 彼 境 界 平 等 心 寂 滅 
X17n0323_004:0187c19	無取境界性滅非無所有有事悉如如如賢聖境界	無 取 境 界 性 滅 非 無 所 有 有 事 悉 如 如 如 賢 聖 境 界 
X17n0323_004:0187c20	無種而有生生已而復滅因緣有非有不住我教法	無 種 而 有 生 生 已 而 復 滅 因 緣 有 非 有 不 住 我 教 法 
X17n0323_004:0187c21	非外道非佛非我亦非餘因緣所集起云何而得無	非 外 道 非 佛 非 我 亦 非 餘 因 緣 所 集 起 云 何 而 得 無 
X17n0323_004:0187c22	誰集因緣有而復說言無邪見論生法妄想計有無	誰 集 因 緣 有 而 復 說 言 無 邪 見 論 生 法 妄 想 計 有 無 
X17n0323_004:0187c23	若知無所生亦復無所滅觀此悉空寂有無二俱離。	若 知 無 所 生 亦 復 無 所 滅 觀 此 悉 空 寂 有 無 二 俱 離 
X17n0323_004:0187c24	既正其失於是極言以貶之曰寧取人見如須彌	既 正 其 失 於 是 極 言 以 貶 之 曰 寧 取 人 見 如 須 彌 
X17n0323_004:0188a01	山等是以其至大況其至小則空見之失甚於人	山 等 是 以 其 至 大 況 其 至 小 則 空 見 之 失 甚 於 人 
X17n0323_004:0188a02	見葢人見者其惡有止若增上慢空見則無法不	見 葢 人 見 者 其 惡 有 止 若 增 上 慢 空 見 則 無 法 不 
X17n0323_004:0188a03	棄是所謂壞滅者也言增上慢者凡執有一法以	棄 是 所 謂 壞 滅 者 也 言 增上慢者 凡 執 有 一 法 以 
X17n0323_004:0188a04	為增上成見慢者皆是所謂未得謂得未證謂證	為 增 上 成 見 慢 者 皆 是 所 謂 未 得 謂 得 未證謂證 
X17n0323_004:0188a05	即其人也墮自共相見希望者此本著有而以斥	即 其 人 也 墮 自 共 相 見 希 望 者 此 本 著 有 而 以 斥 
X17n0323_004:0188a06	空見者葢唯一機故惟其不能忘有則必滅有以	空 見 者 葢 唯 一 機 故 惟 其 不 能 忘 有 則 必 滅 有 以 
X17n0323_004:0188a07	為無故不知自心現量見外性無常以為壞滅反	為 無 故 不 知 自心現量 見 外 性 無 常 以 為 壞 滅 反 
X17n0323_004:0188a08	顯若覺自心究竟不著者則空有兩亡矣又曰離	顯 若 覺 自 心 究 竟 不 著 者 則 空 有 兩 亡 矣 又 曰 離 
X17n0323_004:0188a09	文字妄想者是亦著文字相故必求離相所以為	文 字 妄 想 者 是 亦 著 文 字 相 故 必 求 離 相 所 以 為 
X17n0323_004:0188a10	失若達文字性離即是解脫則亦何離之有是文	失 若 達 文 字 性 離 即 是 解 脫 則 亦 何 離 之 有 是 文 
X17n0323_004:0188a11	字相亦本無定性也偈言有無是二邊者頌上所	字 相 亦 本 無 定 性 也 偈 言 有 無 是 二 邊 者 頌 上 所 
X17n0323_004:0188a12	依有無則二邊而已極其至處本唯一心所謂自	依 有 無 則 二 邊 而 已 極 其 至 處 本 唯 一 心 所 謂 自 
X17n0323_004:0188a13	心現量境界也夫二邊之與一心本不相遠但淨	心 現 量 境 界 也 夫 二 邊 之 與 一 心 本 不 相 遠 但 淨 
X17n0323_004:0188a14	除彼二見妄想則心境平等不見一法可得則寂	除 彼 二 見 妄 想 則 心 境 平 等 不 見 一 法 可 得 則 寂 
X17n0323_004:0188a15	滅矣無取境界性者頌上不取之義惟其不取彼	滅 矣 無 取 境 界 性 者 頌 上 不 取 之 義 惟 其 不 取 彼 
X17n0323_004:0188a16	境界性故雖滅而非無雖有而非異故曰有事悉	境 界 性 故 雖 滅 而 非 無 雖 有 而 非 異 故 曰 有 事 悉 
X17n0323_004:0188a17	如如所謂如賢聖境界者如是而已無種而有生	如 如 所 謂 如 賢 聖 境 界 者 如 是 而 已 無 種 而 有 生 
X17n0323_004:0188a18	等追頌上二種依義不出依世間因緣計有計無	等 追 頌 上 二 種 依 義 不 出 依 世 間 因 緣 計 有 計 無 
X17n0323_004:0188a19	仍以正教非之故曰不住我教法凡我所謂生法	仍 以 正 教 非 之 故 曰 不 住 我 教 法 凡 我 所 謂 生 法 
X17n0323_004:0188a20	者非佛非外道所作亦非神我及餘異因所造乃	者 非 佛 非 外 道 所 作 亦 非 神 我 及 餘 異 因 所 造 乃 
X17n0323_004:0188a21	由正因緣和合生故曰因緣所集起等然自其所	由 正 因緣和合生 故 曰 因 緣 所 集 起 等 然 自 其 所 
X17n0323_004:0188a22	起言之不得謂之無求其集之者不可得則既本	起 言 之 不 得 謂 之 無 求 其 集 之 者 不 可 得 則 既 本 
X17n0323_004:0188a23	無矣豈更破有言無邪故知邪計有無皆為妄想	無 矣 豈 更 破 有 言 無 邪 故 知 邪 計 有 無 皆 為 妄 想 
X17n0323_004:0188a24	若達生無所生滅無所滅自然妙契空寂不墮有	若 達 生 無 所 生 滅 無 所 滅 自 然 妙 契 空 寂 不 墮 有 
X17n0323_004:0188b01	無即正酬所請也(三)。○右第五章。	無 即 正 酬 所 請 也 三 右 第 五 章 
X17n0323_004:0188b02	爾時大慧菩薩復白佛言世尊惟願為我及諸菩薩	爾 時 大 慧 菩 薩 復 白 佛 言 世 尊 惟 願 為 我 及 諸 菩 薩 
X17n0323_004:0188b03	說宗通相若善分別宗通相者我及諸菩薩通達是	說 宗 通 相 若 善 分 別 宗 通 相 者 我 及 諸 菩 薩 通 達 是 
X17n0323_004:0188b04	相通達是相已速成阿耨多羅三藐三菩提不隨覺	相 通 達 是 相 已 速 成 阿耨多羅三藐三菩提 不 隨 覺 
X17n0323_004:0188b05	想及眾魔外道佛告大慧諦聽諦聽善思念之當為	想 及 眾 魔 外 道 佛 告 大 慧 諦 聽 諦 聽 善思念之 當 為 
X17n0323_004:0188b06	汝說大慧白佛言唯然受教佛告大慧一切聲聞緣	汝 說 大 慧 白 佛 言 唯 然 受 教 佛 告 大 慧 一 切 聲 聞 緣 
X17n0323_004:0188b07	覺菩薩有二種通相謂宗通及說通大慧宗通者謂	覺 菩 薩 有 二 種 通 相 謂 宗 通 及 說 通 大 慧 宗 通 者 謂 
X17n0323_004:0188b08	緣自得勝進相遠離言說文字妄想趣無漏界自覺	緣 自 得 勝 進 相 遠 離 言 說 文 字 妄 想 趣 無 漏 界 自 覺 
X17n0323_004:0188b09	地自相遠離一切虗妄覺想降伏一切外道眾魔緣	地 自 相 遠 離 一 切 虗 妄 覺 想 降 伏 一 切 外 道 眾 魔 緣 
X17n0323_004:0188b10	自覺趣光明輝發是名宗通相云何說通相謂說九	自 覺 趣 光 明 輝 發 是 名 宗 通 相 云 何 說 通 相 謂 說 九 
X17n0323_004:0188b11	部種種教法離異不異有無等相以巧方便隨順眾	部 種 種 教 法 離 異 不 異 有 無 等 相 以巧方便 隨 順 眾 
X17n0323_004:0188b12	生如應說法令得度脫是名說通相大慧汝及餘菩	生 如 應 說 法 令得度脫 是 名 說 通 相 大 慧 汝 及 餘 菩 
X17n0323_004:0188b13	薩應當修學爾時世尊欲重宣此義而說偈言。	薩 應 當 修 學 爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X17n0323_004:0188b14	宗及說通相緣自與教法善見善分別不隨諸覺想	宗 及 說 通 相 緣 自 與 教 法 善 見 善 分 別 不 隨 諸 覺 想 
X17n0323_004:0188b15	非有真實性如愚夫妄想云何起妄想非性為解脫	非 有 真 實 性 如 愚 夫 妄 想 云 何 起 妄 想 非 性 為 解 脫 
X17n0323_004:0188b16	觀察諸有為生滅等相續增長於二見顛倒無所知	觀 察 諸 有 為 生 滅 等 相 續 增 長 於 二 見 顛 倒 無 所 知 
X17n0323_004:0188b17	一是為真諦無罪為涅槃觀察世妄想如幻夢芭蕉	一 是 為 真 諦 無 罪 為 涅 槃 觀 察 世 妄 想 如 幻 夢 芭 蕉 
X17n0323_004:0188b18	雖有貪恚癡而實無有人從愛生諸陰有皆如幻夢。	雖 有 貪 恚 癡 而 實 無 有 人 從 愛 生 諸 陰 有 皆 如 幻 夢 
X17n0323_004:0188b19	欲善化道必宗說兼通方能誘物而至於道葢宗	欲 善 化 道 必 宗 說 兼 通 方 能 誘 物 而 至 於 道 葢 宗 
X17n0323_004:0188b20	者道之本說者教之表宗所以明趣趣不明則失	者 道 之 本 說 者 教 之 表 宗 所 以 明 趣 趣 不 明 則 失 
X17n0323_004:0188b21	其所歸教所以言理理或昧則瞢其所入故宗通	其 所 歸 教 所 以 言 理 理 或 昧 則 瞢 其 所 入 故 宗 通 
X17n0323_004:0188b22	說不通理雖精而必壅說通宗不通言雖辯而非	說 不 通 理 雖 精 而 必 壅 說 通 宗 不 通 言 雖 辯 而 非 
X17n0323_004:0188b23	要抑說苟不通則宗為未至宗苟不通則說為未	要 抑 說 苟 不 通 則 宗 為 未 至 宗 苟 不 通 則 說 為 未 
X17n0323_004:0188b24	明是二者實相濟為道其為定慧之形容解行之	明 是 二 者 實 相 濟 為 道 其 為 定 慧 之 形 容 解 行 之 
X17n0323_004:0188c01	標準矣大慧請說宗通相而不及說者舉其要也	標 準 矣 大 慧 請 說 宗 通 相 而 不 及 說 者 舉 其 要 也 
X17n0323_004:0188c02	宗通則說在其中矣答中兼言者必二而後備也	宗 通 則 說 在 其 中 矣 答 中 兼 言 者 必 二 而 後 備 也 
X17n0323_004:0188c03	宗通有三曰極曰次曰又其次文言緣自得勝進	宗 通 有 三 曰 極 曰 次 曰 又 其 次 文 言 緣 自 得 勝 進 
X17n0323_004:0188c04	相遠離言說文字妄想者對後趣無漏界覺而又	相 遠 離 言 說 文 字 妄 想 者 對 後 趣 無 漏 界 覺 而 又 
X17n0323_004:0188c05	曰勝進相即如是如來所證法如文殊普賢諸大	曰 勝 進 相 即 如 是 如 來 所 證 法 如 文 殊 普 賢 諸 大 
X17n0323_004:0188c06	士深入如來境界者則宗通之至極者也言趣無	士 深 入 如來境界 者 則 宗 通 之 至 極 者 也 言 趣 無 
X17n0323_004:0188c07	漏界自覺地自相等即悟住地菩薩所證法門如	漏 界 自 覺 地 自 相 等 即 悟 住 地 菩 薩 所 證 法 門 如 
X17n0323_004:0188c08	華嚴善財於諸知識得種種法門助其次也又曰	華 嚴 善 財 於 諸 知 識 得 種種法門 助 其 次 也 又 曰 
X17n0323_004:0188c09	緣自覺趣光明輝發者謂除上八極果法凡能發	緣 自 覺 趣 光 明 輝 發 者 謂 除 上 八 極 果 法 凡 能 發 
X17n0323_004:0188c10	悟自己光明輝輝古今如從上諸祖傳宗明道者	悟 自 己 光 明 輝 輝 古 今 如 從 上 諸 祖 傳 宗 明 道 者 
X17n0323_004:0188c11	則又其次也三者雖異率皆自得自覺而遠離有	則 又 其 次 也 三 者 雖 異 率 皆 自 得 自 覺 而 遠 離 有 
X17n0323_004:0188c12	深淺降伏有能否及須不須此皆宗通之相乃知	深 淺 降 伏 有 能 否 及 須 不 須 此 皆 宗 通 之 相 乃 知 
X17n0323_004:0188c13	此事誠未易言今人於此未少有所得自謂宗通	此 事 誠 未 易 言 今 人 於 此 未 少 有 所 得 自 謂 宗 通 
X17n0323_004:0188c14	者誤矣抑欺也說通者此既依教不必分異然亦	者 誤 矣 抑 欺 也 說 通 者 此 既 依 教 不 必 分 異 然 亦 
X17n0323_004:0188c15	非無淺深謂說九部即十二分教除因緣譬喻論	非 無 淺 深 謂 說 九 部 即 十二分教 除 因 緣 譬 喻 論 
X17n0323_004:0188c16	議之三猶兼小故則大唯九部亦有通別進否(云	議 之 三 猶 兼 小 故 則 大 唯 九 部 亦 有 通 別 進 否 云 
X17n0323_004:0188c17	云)以是教法導利機緣仍須離異不異等謂於自	云 以 是 教 法 導 利 機 緣 仍 須 離 異 不 異 等 謂 於 自 
X17n0323_004:0188c18	行離四執已方可隨宜為他四說所謂善別法相	行 離 四 執 已 方 可 隨 宜 為 他 四 說 所 謂 善 別 法 相 
X17n0323_004:0188c19	於第一義而不動者始曰可矣不然亦難哉偈初	於 第 一 義 而 不 動 者 始 曰 可 矣 不 然 亦 難 哉 偈 初 
X17n0323_004:0188c20	三句茲約宗說通相對說間言之不隨諸覺想等	三 句 茲 約 宗 說 通 相 對 說 間 言 之 不 隨 諸 覺 想 等 
X17n0323_004:0188c21	謂得二通相者則不隨外道之覺想及愚夫實性	謂 得 二 通 相 者 則 不 隨 外 道 之 覺 想 及 愚 夫 實 性 
X17n0323_004:0188c22	之妄想也云何起妄想者因上徵釋所起覺想謂	之 妄 想 也 云 何 起 妄 想 者 因 上 徵 釋 所 起 覺 想 謂 
X17n0323_004:0188c23	或以非性為解脫或於有為起二見或以一是為	或 以 非 性 為 解 脫 或 於 有 為 起 二 見 或 以 一 是 為 
X17n0323_004:0188c24	真諦或以無罪為涅槃如後涅槃見中出其相然	真 諦 或 以 無 罪 為 涅 槃 如 後 涅 槃 見 中 出 其 相 然 
X17n0323_004:0189a01	皆顛倒無知之見故以今宗趣觀彼妄想如幻夢	皆 顛 倒 無 知 之 見 故 以 今 宗 趣 觀 彼 妄 想 如 幻 夢 
X17n0323_004:0189a02	芭蕉則不隨可知雖有貪恚癡等覆釋如幻之義	芭 蕉 則 不 隨 可 知 雖 有 貪 恚 癡 等 覆 釋 如 幻 之 義 
X17n0323_004:0189a03	謂雖有三毒而無其人明無能起則無所起又能	謂 雖 有 三 毒 而 無 其 人 明 無 能 起 則 無 所 起 又 能 
X17n0323_004:0189a04	生愛等既幻則所生陰有亦然二者交明如幻益	生 愛 等 既 幻 則 所 生 陰 有 亦 然 二 者 交 明 如 幻 益 
X17n0323_004:0189a05	顯。○右第六章。	顯 右 第 六 章 
X17n0323_004:0189a06	爾時大慧菩薩白佛言世尊惟願為說不實妄想相	爾 時 大 慧 菩 薩 白 佛 言 世 尊 惟 願 為 說 不 實 妄 想 相 
X17n0323_004:0189a07	不實妄想云何而生說何等法名不實妄想於何等	不 實 妄 想 云 何 而 生 說 何 等 法 名 不 實 妄 想 於 何 等 
X17n0323_004:0189a08	法中不實妄想佛告大慧善哉善哉能問如來如是	法 中 不 實 妄 想 佛 告 大 慧 善哉善哉 能 問 如 來 如 是 
X17n0323_004:0189a09	之義多所饒益多所安樂哀憫世間一切天人諦聽	之 義 多 所 饒 益 多 所 安 樂 哀 憫 世 間 一 切 天 人 諦 聽 
X17n0323_004:0189a10	諦聽善思念之當為汝說大慧白佛言善哉世尊唯	諦 聽 善思念之 當 為 汝 說 大 慧 白 佛 言 善 哉 世 尊 唯 
X17n0323_004:0189a11	然受教佛告大慧種種義種種不實妄想計著妄想	然 受 教 佛 告 大 慧 種 種 義 種 種 不 實 妄 想 計 著 妄 想 
X17n0323_004:0189a12	生大慧攝所攝計著不知自心現量及墮有無見增	生 大 慧 攝 所 攝 計 著 不 知 自心現量 及 墮 有 無 見 增 
X17n0323_004:0189a13	長外道見妄想習氣計著外種種義心心數妄想計	長 外 道 見 妄 想 習 氣 計 著 外 種 種 義 心 心 數 妄 想 計 
X17n0323_004:0189a14	著我我所生大慧白佛言世尊若種種義種種不實	著 我 我 所 生 大 慧 白 佛 言 世 尊 若 種 種 義 種 種 不 實 
X17n0323_004:0189a15	妄想計著妄想生攝所攝計著不知自心現量及墮	妄 想 計 著 妄 想 生 攝 所 攝 計 著 不 知 自心現量 及 墮 
X17n0323_004:0189a16	有無見增長外道見妄想習氣計著外種種義心心	有 無 見 增 長 外 道 見 妄 想 習 氣 計 著 外 種 種 義 心 心 
X17n0323_004:0189a17	數妄想我我所計著生世尊若如是外種種義相墮	數 妄 想 我 我 所 計 著 生 世 尊 若 如 是 外 種 種 義 相 墮 
X17n0323_004:0189a18	有無相離性非性離見相世尊第一義亦如是離量	有 無 相 離 性 非 性 離 見 相 世 尊 第 一 義 亦 如 是 離 量 
X17n0323_004:0189a19	根分譬因相世尊何故一處妄想不實義種種性計	根 分 譬 因 相 世 尊 何 故 一 處 妄 想 不 實 義 種 種 性 計 
X17n0323_004:0189a20	著妄想生非計著第一義處相妄想生將無世尊說	著 妄 想 生 非 計 著 第 一 義 處 相 妄 想 生 將 無 世 尊 說 
X17n0323_004:0189a21	邪因論耶說一生一不生佛告大慧非妄想一生一	邪 因 論 耶 說 一 生 一 不 生 佛 告 大 慧 非 妄 想 一 生 一 
X17n0323_004:0189a22	不生所以者何謂有無妄想不生故外現性非性覺	不 生 所以者何 謂 有 無 妄 想 不 生 故 外 現 性 非 性 覺 
X17n0323_004:0189a23	自心現量妄想不生大慧我說餘愚夫自心種種妄	自心現量 妄 想 不 生 大 慧 我 說 餘 愚 夫 自 心 種 種 妄 
X17n0323_004:0189a24	想相故事業在前種種妄想性相計著生。	想 相 故 事 業 在 前 種 種 妄 想 性 相 計 著 生 
X17n0323_004:0189b01	窮妄想者必極其致示真性者必盡其源葢盡其	窮 妄 想 者 必 極 其 致 示 真 性 者 必 盡 其 源 葢 盡 其 
X17n0323_004:0189b02	源則真性自明極其致則妄想何有故大慧請說	源 則 真 性 自 明 極 其 致 則 妄 想 何 有 故 大 慧 請 說 
