T35n1731_001:0001a03	華嚴遊意	華 嚴 遊 意 
T35n1731_001:0005a27	穢無礙淨故。穢得在淨處。以不相礙故。	穢 無 礙 淨 故 穢 得 在 淨 處 以 不 相 礙 故 
T35n1731_001:0005a28	淨穢得同一處。舊舉首天子為證。首天子是	淨 穢 得 同 一 處 舊 舉 首 天 子 為 證 首 天 子 是 
T35n1731_001:0005a29	色界淨天。來欲界穢處不相礙。首天子是三	色 界 淨 天 來 欲 界 穢 處 不 相 礙 首 天 子 是 三 
T35n1731_001:0005b01	界中淨三界。尚不礙三界穢。今蓮華藏寶莊	界 中 淨 三 界 尚 不 礙 三 界 穢 今 蓮 華 藏 寶 莊 
T35n1731_001:0005b02	嚴國等。非三界非三界豈當礙於三界。吾	嚴 國 等 非 三 界 非 三 界 豈 當 礙 於 三 界 吾 
T35n1731_001:0005b03	淨土不燒者。火是顛倒三界火。亦能燒顛	淨 土 不 燒 者 火 是 顛 倒 三 界 火 亦 能 燒 顛 
T35n1731_001:0005b04	倒三界。淨土非是三界。三界火豈能燒不三	倒 三 界 淨 土 非 是 三 界 三 界 火 豈 能 燒 不 三 
T35n1731_001:0005b05	界。火是穢火還燒穢。穢火豈能燒淨。故吾	界 火 是 穢 火 還 燒 穢 穢 火 豈 能 燒 淨 故 吾 
T35n1731_001:0005b06	淨土不毀天人常充滿也。又寶莊嚴國。只在	淨 土 不 毀 天 人 常 充 滿 也 又 寶 莊 嚴 國 只 在 
T35n1731_001:0005b07	一娑婆土中。掘鑿娑婆。不掘鑿寶莊嚴國。	一 娑 婆 土 中 掘 鑿 娑 婆 不 掘 鑿 寶 莊 嚴 國 
T35n1731_001:0005b08	何者鑿。是三界鑿。只能鑿三界。寶莊嚴國	何 者 鑿 是 三 界 鑿 只 能 鑿 三 界 寶 莊 嚴 國 
T35n1731_001:0005b09	非三界。三界鑿豈能掘非三界。色還鑿色。	非 三 界 三 界 鑿 豈 能 掘 非 三 界 色 還 鑿 色 
T35n1731_001:0005b10	色豈能鑿妙則。此是什法師所解。從來彈此	色 豈 能 鑿 妙 則 此 是 什 法 師 所 解 從 來 彈 此 
T35n1731_001:0005b11	解。是他何處得此解。解是什法師解。什法	解 是 他 何 處 得 此 解 解 是 什 法 師 解 什 法 
T35n1731_001:0005b12	師是三論師。即三論義應須云奪取他。是故	師 是 三 論 師 即 三 論 義 應 須 云 奪 取 他 是 故 
T35n1731_001:0005b13	淨質得在穢處也。二者所以淨土得在穢處	淨 質 得 在 穢 處 也 二 者 所 以 淨 土 得 在 穢 處 
T35n1731_001:0005b14	且反問同處。汝言。那得此淨土耶。今釋言。此	且 反 問 同 處 汝 言 那 得 此 淨 土 耶 今 釋 言 此 
T35n1731_001:0005b15	淨土是如來淨業所起。如來身既無礙所感	淨 土 是 如 來 淨 業 所 起 如 來 身 既 無 礙 所 感 
T35n1731_001:0005b16	之土。亦無礙身即依正土。即正依無礙依。感	之 土 亦 無 礙 身 即 依 正 土 即 正 依 無 礙 依 感 
T35n1731_001:0005b17	得無礙正依亦無礙。斯則正無礙故土無礙。	得 無 礙 正 依 亦 無 礙 斯 則 正 無 礙 故 土 無 礙 
T35n1731_001:0005b18	以無礙故得在穢也。	以 無 礙 故 得 在 穢 也 
T35n1731_001:0005b19	次問。何意淨在穢處耶。前兩義釋淨土得在	次 問 何 意 淨 在 穢 處 耶 前 兩 義 釋 淨 土 得 在 
T35n1731_001:0005b20	穢處竟。今釋淨土在穢之意。問。何意淨土	穢 處 竟 今 釋 淨 土 在 穢 之 意 問 何 意 淨 土 
T35n1731_001:0005b21	在穢處耶。解此亦有二義。一者看華嚴淨名	在 穢 處 耶 解 此 亦 有 二 義 一 者 看 華 嚴 淨 名 
T35n1731_001:0005b22	等意。為欲教化眾生故。明淨土在穢處。只	等 意 為 欲 教 化 眾 生 故 明 淨 土 在 穢 處 只 
T35n1731_001:0005b23	淨土在此何意不見。汝薄福鈍根斷常居心	淨 土 在 此 何 意 不 見 汝 薄 福 鈍 根 斷 常 居 心 
T35n1731_001:0005b24	不見耳。若道穢土在東方淨土在西方不	不 見 耳 若 道 穢 土 在 東 方 淨 土 在 西 方 不 
T35n1731_001:0005b25	得化緣。何者淨在西方穢土東方。兩世界遙	得 化 緣 何 者 淨 在 西 方 穢 土 東 方 兩 世 界 遙 
T35n1731_001:0005b26	隔此不得為化。今道淨土即在此。汝顛倒	隔 此 不 得 為 化 今 道 淨 土 即 在 此 汝 顛 倒 
T35n1731_001:0005b27	斷常心故不見。謂棄妄存真捨無常取常樂。	斷 常 心 故 不 見 謂 棄 妄 存 真 捨 無 常 取 常 樂 
T35n1731_001:0005b28	如此等居心心不淨。心既不淨故。不見淨土。	如 此 等 居 心 心 不 淨 心 既 不 淨 故 不 見 淨 土 
T35n1731_001:0005b29	若見淨土者。當須淨心。除如此真妄常無	若 見 淨 土 者 當 須 淨 心 除 如 此 真 妄 常 無 
T35n1731_001:0005c01	常異。意清淨乃名正觀。以正觀故則佛土淨。	常 異 意 清 淨 乃 名 正 觀 以 正 觀 故 則 佛 土 淨 
T35n1731_001:0005c02	為化此眾生故。明淨土在穢處也。二者所以	為 化 此 眾 生 故 明 淨 土 在 穢 處 也 二 者 所 以 
T35n1731_001:0005c03	淨土在穢處者。為適緣所見。如來用淨土。何	淨 土 在 穢 處 者 為 適 緣 所 見 如 來 用 淨 土 何 
T35n1731_001:0005c04	為不如富人畜寶物安置屋裏。如來用多許	為 不 如 富 人 畜 寶 物 安 置 屋 裏 如 來 用 多 許 
T35n1731_001:0005c05	淨土作底今明。如來以此淨土。為欲適緣。	淨 土 作 底 今 明 如 來 以 此 淨 土 為 欲 適 緣 
T35n1731_001:0005c06	故肇師云。聖人空同無像。豈國土之有垣。聖	故 肇 師 云 聖 人 空 同 無 像 豈 國 土 之 有 垣 聖 
T35n1731_001:0005c07	身尚未曾有。亦復未曾無。豈復有土與不土。	身 尚 未 曾 有 亦 復 未 曾 無 豈 復 有 土 與 不 土 
T35n1731_001:0005c08	聖人未曾像不像。亦復未曾心不心。未曾心	聖 人 未 曾 像 不 像 亦 復 未 曾 心 不 心 未 曾 心 
T35n1731_001:0005c09	不心。心生於有心。未曾像不像。像出於有像。	不 心 心 生 於 有 心 未 曾 像 不 像 像 出 於 有 像 
T35n1731_001:0005c10	未曾像不像。像不像適緣。緣出於有像。未	未 曾 像 不 像 像 不 像 適 緣 緣 出 於 有 像 未 
T35n1731_001:0005c11	曾土不土。土不土適緣。未曾淨不淨。淨不淨	曾 土 不 土 土 不 土 適 緣 未 曾 淨 不 淨 淨 不 淨 
T35n1731_001:0005c12	適緣。緣若應以穢得度者。示之以土沙。若	適 緣 緣 若 應 以 穢 得 度 者 示 之 以 土 沙 若 
T35n1731_001:0005c13	應以淨得道者。現之以寶玉。為此義故。所	應 以 淨 得 道 者 現 之 以 寶 玉 為 此 義 故 所 
T35n1731_001:0005c14	以淨土在於穢處也。從來直云異質一處。不	以 淨 土 在 於 穢 處 也 從 來 直 云 異 質 一 處 不 
T35n1731_001:0005c15	知何因緣故。淨穢異質在一處。今釋有如此	知 何 因 緣 故 淨 穢 異 質 在 一 處 今 釋 有 如 此 
T35n1731_001:0005c16	義故也。	義 故 也 
T35n1731_001:0005c17	次明一質異處。然前三句猶可解。此之一句	次 明 一 質 異 處 然 前 三 句 猶 可 解 此 之 一 句 
T35n1731_001:0005c18	最難一。何物質而在異處耶。解云。他舉一質。	最 難 一 何 物 質 而 在 異 處 耶 解 云 他 舉 一 質 
T35n1731_001:0005c19	如一淨質在西土東土二處。一穢質在北南	如 一 淨 質 在 西 土 東 土 二 處 一 穢 質 在 北 南 
T35n1731_001:0005c20	兩處。為有此句為無耶。若無則不成四句。若	兩 處 為 有 此 句 為 無 耶 若 無 則 不 成 四 句 若 
T35n1731_001:0005c21	有何者是其事耶。今就數義。明此一句。今且	有 何 者 是 其 事 耶 今 就 數 義 明 此 一 句 今 且 
T35n1731_001:0005c22	就淨名經辨。只一妙喜淨質。經東西二處。何	就 淨 名 經 辨 只 一 妙 喜 淨 質 經 東 西 二 處 何 
T35n1731_001:0005c23	者妙喜。一世界本在東方無動處。淨名斷取	者 妙 喜 一 世 界 本 在 東 方 無 動 處 淨 名 斷 取 
T35n1731_001:0005c24	來西方娑婆處。若爾只一妙喜淨質經遊東	來 西 方 娑 婆 處 若 爾 只 一 妙 喜 淨 質 經 遊 東 
T35n1731_001:0005c25	西二處。如淨土既然。類穢土等亦爾。故是一	西 二 處 如 淨 土 既 然 類 穢 土 等 亦 爾 故 是 一 
T35n1731_001:0005c26	質二處也。向前異質一處。淨穢二質。當在一	質 二 處 也 向 前 異 質 一 處 淨 穢 二 質 當 在 一 
T35n1731_001:0005c27	處。今一質異處。亦應一淨質。當在二處。今更	處 今 一 質 異 處 亦 應 一 淨 質 當 在 二 處 今 更 
T35n1731_001:0005c28	據淨名經釋。彼經云。不可思議菩薩。以娑婆	據 淨 名 經 釋 彼 經 云 不可思議 菩 薩 以 娑 婆 
T35n1731_001:0005c29	世界擲置他方國土。不動本處只捧娑婆。擲	世 界 擲 置 他 方 國 土 不 動 本 處 只 捧 娑 婆 擲 
T35n1731_001:0006a01	置西方安樂。而娑婆宛然不動。可謂。到而	置 西 方 安 樂 而 娑 婆 宛 然 不 動 可 謂 到 而 
T35n1731_001:0006a02	不動。不動而至。若爾只此穢質經東西二處。	不 動 不 動 而 至 若 爾 只 此 穢 質 經 東 西 二 處 
T35n1731_001:0006a03	故是一質二處也。如穢質既然。類餘四土亦	故 是 一 質 二 處 也 如 穢 質 既 然 類 餘 四 土 亦 
T35n1731_001:0006a04	爾也。	爾 也 
T35n1731_001:0006a05	次明只穢質在淨穢二處。前明擲穢質往淨	次 明 只 穢 質 在 淨 穢 二 處 前 明 擲 穢 質 往 淨 
T35n1731_001:0006a06	處。穢質經二處。今明只一穢質在淨穢二處。	處 穢 質 經 二 處 今 明 只 一 穢 質 在 淨 穢 二 處 
T35n1731_001:0006a07	如蓮華藏娑婆世界。只娑婆一穢質。在娑婆	如 蓮 華 藏 娑婆世界 只 娑 婆 一 穢 質 在 娑 婆 
T35n1731_001:0006a08	處。在蓮華藏處。何者蓮華。不但以臺為蓮華。	處 在 蓮 華 藏 處 何 者 蓮 華 不 但 以 臺 為 蓮 華 
T35n1731_001:0006a09	葉共為一蓮華故。涅槃云。臺葉鬚等合為蓮	葉 共 為 一 蓮 華 故 涅 槃 云 臺 葉 鬚 等 合 為 蓮 
T35n1731_001:0006a10	華。葉不離華。葉在華中。娑婆既居葉上。故	華 葉 不 離 華 葉 在 華 中 娑 婆 既 居 葉 上 故 
T35n1731_001:0006a11	知娑婆即在蓮華藏中。所以菩薩戒經云。我	知 娑 婆 即 在 蓮 華 藏 中 所 以 菩 薩 戒 經 云 我 
T35n1731_001:0006a12	今盧舍那方坐蓮華臺。周匝千華上示現千	今 盧 舍 那 方 坐 蓮 華 臺 周 匝 千 華 上 示 現 千 
T35n1731_001:0006a13	釋迦。故知裟婆世界在華葉上。葉不離華故。	釋 迦 故 知 裟 婆 世 界 在 華 葉 上 葉 不 離 華 故 
T35n1731_001:0006a14	娑婆不離蓮華藏。若使如此娑婆穢土。非但	娑 婆 不 離 蓮 華 藏 若 使 如 此 娑 婆 穢 土 非 但 
T35n1731_001:0006a15	在娑婆處。亦在蓮華藏處。故知是一質在二	在 娑 婆 處 亦 在 蓮 華 藏 處 故 知 是 一 質 在 二 
T35n1731_001:0006a16	處。問華藏自在臺。娑婆自在葉。何得是一質	處 問 華 藏 自 在 臺 娑 婆 自 在 葉 何 得 是 一 質 
T35n1731_001:0006a17	在二處耶。解云。具二義。有時明娑婆與蓮華	在 二 處 耶 解 云 具 二 義 有 時 明 娑 婆 與 蓮 華 
T35n1731_001:0006a18	藏異。娑婆界在蓮華藏外。而復臺葉共成。	藏 異 娑 婆 界 在 蓮 華 藏 外 而 復 臺 葉 共 成 
T35n1731_001:0006a19	共成一葉。娑婆則不離蓮華藏。何故如此。解	共 成 一 葉 娑 婆 則 不 離 蓮 華 藏 何 故 如 此 解 
T35n1731_001:0006a20	云。欲明娑婆與華藏。不可言異。不可言一。二	云 欲 明 娑 婆 與 華 藏 不 可 言 異 不 可 言 一 二 
T35n1731_001:0006a21	處異故。不可言一。不相離故。不可言異。不	處 異 故 不 可 言 一 不 相 離 故 不 可 言 異 不 
T35n1731_001:0006a22	可言一而一。不可言異而異。斯則非一非	可 言 一 而 一 不 可 言 異 而 異 斯 則 非 一 非 
T35n1731_001:0006a23	異。而一而異。略明一種四句。如此今更通簡	異 而 一 而 異 略 明 一 種 四 句 如 此 今 更 通 簡 
T35n1731_001:0006a24	此四句義。問云。他亦明此四句。與他何異。不	此 四 句 義 問 云 他 亦 明 此 四 句 與 他 何 異 不 
T35n1731_001:0006a25	得道他無此四句。經等具有此義故。他亦明	得 道 他 無 此 四 句 經 等 具 有 此 義 故 他 亦 明 
T35n1731_001:0006a26	此四句。今亦辨此四。何異。解他不得明此	此 四 句 今 亦 辨 此 四 何 異 解 他 不 得 明 此 
T35n1731_001:0006a27	四句義。今時始得明此四句耳。何者雖有四	四 句 義 今 時 始 得 明 此 四 句 耳 何 者 雖 有 四 
T35n1731_001:0006a28	句不出一異二句。他有一可一。不得由異故	句 不 出 一 異 二 句 他 有 一 可 一 不 得 由 異 故 
T35n1731_001:0006a29	一。有異可異。不得由一故異。不由異故一。	一 有 異 可 異 不 得 由 一 故 異 不 由 異 故 一 
T35n1731_001:0006b01	一自性一。不由一故異。異自性異。自性一	一 自 性 一 不 由 一 故 異 異 自 性 異 自 性 一 
T35n1731_001:0006b02	一則礙異。自性異異則礙一。異既礙一。異豈	一 則 礙 異 自 性 異 異 則 礙 一 異 既 礙 一 異 豈 
T35n1731_001:0006b03	得同處。異不得同一處則無一。既無一何得	得 同 處 異 不 得 同 一 處 則 無 一 既 無 一 何 得 
T35n1731_001:0006b04	有異。既無一異。故四句不成也。縱之如此耳。	有 異 既 無 一 異 故 四 句 不 成 也 縱 之 如 此 耳 
T35n1731_001:0006b05	奪則都無。何者有一可一。不由異起一。有	奪 則 都 無 何 者 有 一 可 一 不 由 異 起 一 有 
T35n1731_001:0006b06	異可異。不由一起異。不由異故一。一不成一。	異 可 異 不 由 一 起 異 不 由 異 故 一 一 不 成 一 
T35n1731_001:0006b07	不由一故異。異不成異。一不成一則無一。異	不 由 一 故 異 異 不 成 異 一 不 成 一 則 無 一 異 
T35n1731_001:0006b08	不成異則無異。此則無一異論。何物四句有	不 成 異 則 無 異 此 則 無 一 異 論 何 物 四 句 有 
T35n1731_001:0006b09	一異可有四句。既無一異則無四句。故他不	一 異 可 有 四 句 既 無 一 異 則 無 四 句 故 他 不 
T35n1731_001:0006b10	得明四句義。今時所明者。無四句而四句。要	得 明 四 句 義 今 時 所 明 者 無 四 句 而 四 句 要 
T35n1731_001:0006b11	須前彈他有礙性義。始明今因緣無礙義。何	須 前 彈 他 有 礙 性 義 始 明 今 因 緣 無 礙 義 何 
T35n1731_001:0006b12	者今無一可一。由異故一。無異可異。由一故	者 今 無 一 可 一 由 異 故 一 無 異 可 異 由 一 故 
T35n1731_001:0006b13	異。由異故一則由一故一。一由一故異即由	異 由 異 故 一 則 由 一 故 一 一 由 一 故 異 即 由 
T35n1731_001:0006b14	異故異。異可謂。無句而句。一句而二句。二句	異 故 異 異 可 謂 無 句 而 句 一 句 而 二 句 二 句 
T35n1731_001:0006b15	而四句。故大品經云。無句義是菩薩句義。	而 四 句 故 大 品 經 云 無 句 義 是 菩 薩 句 義 
T35n1731_001:0006b16	今亦爾。無句而句。一句而四。四而無句。四	今 亦 爾 無 句 而 句 一 句 而 四 四 而 無 句 四 
T35n1731_001:0006b17	句即一句。一句還無句。無句而句則非句。	句 即 一 句 一 句 還 無 句 無 句 而 句 則 非 句 
T35n1731_001:0006b18	句而無句則非無句。非句非無句而句。始是	句 而 無 句 則 非 無 句 非 句 非 無 句 而 句 始 是 
T35n1731_001:0006b19	菩薩無礙句。以無礙句故得一質在二處。二	菩 薩 無 礙 句 以 無 礙 句 故 得 一 質 在 二 處 二 
T35n1731_001:0006b20	質在一處等。故今時明四句與他異也。他所	質 在 一 處 等 故 今 時 明 四 句 與 他 異 也 他 所 
T35n1731_001:0006b21	以不得有此四句。他一異礙故。異不得在	以 不 得 有 此 四 句 他 一 異 礙 故 異 不 得 在 
T35n1731_001:0006b22	一處。一不得在異處。如兩柱相礙故。不得	一 處 一 不 得 在 異 處 如 兩 柱 相 礙 故 不 得 
T35n1731_001:0006b23	容柱。何者柱是色。如釋色是質礙義。柱是色。	容 柱 何 者 柱 是 色 如 釋 色 是 質 礙 義 柱 是 色 
T35n1731_001:0006b24	柱不容柱。土亦是色土不得容土。今時即	柱 不 容 柱 土 亦 是 色 土 不 得 容 土 今 時 即 
T35n1731_001:0006b25	無礙無礙故。所以一異互得相在。為是故他	無 礙 無 礙 故 所 以 一 異 互 得 相 在 為 是 故 他 
T35n1731_001:0006b26	不得明此四句。今時始得辨此四句也。然此	不 得 明 此 四 句 今 時 始 得 辨 此 四 句 也 然 此 
T35n1731_001:0006b27	四句約事猶易解。後去四句轉難也。	四 句 約 事 猶 易 解 後 去 四 句 轉 難 也 
T35n1731_001:0006b28	次更明一種四句。前地架明一種四句竟。今	次 更 明 一 種 四 句 前 地 架 明 一 種 四 句 竟 今 
T35n1731_001:0006b29	更明一種四句。漸深轉妙。然前之四句眾意	更 明 一 種 四 句 漸 深 轉 妙 然 前 之 四 句 眾 意 
T35n1731_001:0006c01	不同他論。或同不同。若是今之四句非但意	不 同 他 論 或 同 不 同 若 是 今 之 四 句 非 但 意 
T35n1731_001:0006c02	不同論然逈越。言四句者謂。異質一處。一質	不 同 論 然 逈 越 言 四 句 者 謂 異 質 一 處 一 質 
T35n1731_001:0006c03	異處。一質一處。異質異處。言異質一處者。	異 處 一 質 一 處 異 質 異 處 言 異 質 一 處 者 
T35n1731_001:0006c04	淨穢質異故言異質。此淨穢是因緣淨穢。因	淨 穢 質 異 故 言 異 質 此 淨 穢 是 因 緣 淨 穢 因 
T35n1731_001:0006c05	緣淨穢。非淨無以明穢。非穢無以明淨。非淨	緣 淨 穢 非 淨 無 以 明 穢 非 穢 無 以 明 淨 非 淨 
T35n1731_001:0006c06	無以明穢。穢是淨穢。非穢無以明淨。淨是	無 以 明 穢 穢 是 淨 穢 非 穢 無 以 明 淨 淨 是 
T35n1731_001:0006c07	穢淨。穢淨則非淨。淨穢則非穢。非穢非淨。	穢 淨 穢 淨 則 非 淨 淨 穢 則 非 穢 非 穢 非 淨 
T35n1731_001:0006c08	淨穢不二名為一處。斯則淨穢二為異。非淨	淨 穢 不 二 名 為 一 處 斯 則 淨 穢 二 為 異 非 淨 
T35n1731_001:0006c09	非穢不二為一處也。言一質異處者。前二	非 穢 不 二 為 一 處 也 言 一 質 異 處 者 前 二 
T35n1731_001:0006c10	不二今名不二二。前淨穢非淨穢。今名非淨	不 二 今 名 不 二 二 前 淨 穢 非 淨 穢 今 名 非 淨 
T35n1731_001:0006c11	穢淨穢。非淨非穢名淨名穢。斯則非淨非穢	穢 淨 穢 非 淨 非 穢 名 淨 名 穢 斯 則 非 淨 非 穢 
T35n1731_001:0006c12	不二為一質。淨穢二為異處反前也。言一質	不 二 為 一 質 淨 穢 二 為 異 處 反 前 也 言 一 質 
T35n1731_001:0006c13	一處者。非淨非穢質。非淨非穢處不二為一	一 處 者 非 淨 非 穢 質 非 淨 非 穢 處 不 二 為 一 
T35n1731_001:0006c14	質。不二為一處也。言異質異處者。淨穢異	質 不 二 為 一 處 也 言 異 質 異 處 者 淨 穢 異 
T35n1731_001:0006c15	質。淨穢異處故。言異質異處也。大師正意	質 淨 穢 異 處 故 言 異 質 異 處 也 大 師 正 意 
T35n1731_001:0006c16	在此四句也。問。此四句與前四句何異。解	在 此 四 句 也 問 此 四 句 與 前 四 句 何 異 解 
T35n1731_001:0006c17	云。前四句約事而辨。今雖有四句只是非淨	云 前 四 句 約 事 而 辨 今 雖 有 四 句 只 是 非 淨 
T35n1731_001:0006c18	非穢淨穢淨穢非淨穢一句。開此一句以為	非 穢 淨 穢 淨 穢 非 淨 穢 一 句 開 此 一 句 以 為 
T35n1731_001:0006c19	四句。故與前異也。問。前亦言質言處。今亦	四 句 故 與 前 異 也 問 前 亦 言 質 言 處 今 亦 
T35n1731_001:0006c20	言質言處。與前質處何異。解云。前以淨穢	言 質 言 處 與 前 質 處 何 異 解 云 前 以 淨 穢 
T35n1731_001:0006c21	為質。東西方為處。今言異質一處者。以淨穢	為 質 東 西 方 為 處 今 言 異 質 一 處 者 以 淨 穢 
T35n1731_001:0006c22	為異質。非淨非穢為一處。只淨穢宛然不非	為 異 質 非 淨 非 穢 為 一 處 只 淨 穢 宛 然 不 非 
T35n1731_001:0006c23	淨穢。淨穢宛然不而得動心。只二而不二。故	淨 穢 淨 穢 宛 然 不 而 得 動 心 只 二 而 不 二 故 
T35n1731_001:0006c24	二質在一處也。一質異處者。以非淨非穢不	二 質 在 一 處 也 一 質 異 處 者 以 非 淨 非 穢 不 
T35n1731_001:0006c25	二為一質。淨穢二為二處。一質一處者。不二	二 為 一 質 淨 穢 二 為 二 處 一 質 一 處 者 不 二 
T35n1731_001:0006c26	為一質。不二為一處。異質異處者。淨穢二	為 一 質 不 二 為 一 處 異 質 異 處 者 淨 穢 二 
T35n1731_001:0006c27	為質。淨穢二為處。雖有四句後二句質處同	為 質 淨 穢 二 為 處 雖 有 四 句 後 二 句 質 處 同 
T35n1731_001:0006c28	前質處。意雖同而轉為異。此復是一種四	前 質 處 意 雖 同 而 轉 為 異 此 復 是 一 種 四 
T35n1731_001:0006c29	句也。	句 也 
T35n1731_001:0007a01	次更明一種穢四句。四句者謂。一質二見。	次 更 明 一 種 穢 四 句 四 句 者 謂 一 質 二 見 
T35n1731_001:0007a02	二質一見。一質一見。二質二見。此之四句初	二 質 一 見 一 質 一 見 二 質 二 見 此 之 四 句 初 
T35n1731_001:0007a03	一句難解。後三句易明。且辨一質二見。何者	一 句 難 解 後 三 句 易 明 且 辨 一 質 二 見 何 者 
T35n1731_001:0007a04	是其事且舉淨名華嚴兩經。淨名經云。螺髻	是 其 事 且 舉 淨 名 華 嚴 兩 經 淨 名 經 云 螺 髻 
T35n1731_001:0007a05	見金玉身子矚土砂。此經第八會祇洹精舍	見 金 玉 身 子 矚 土 砂 此 經 第 八 會 祇 洹 精 舍 
T35n1731_001:0007a06	諸大菩薩。見祇洹七寶所成。五百聲聞見須	諸 大 菩 薩 見 祇 洹 七 寶 所 成 五 百 聲 聞 見 須 
T35n1731_001:0007a07	達泥木所起。只是一質兩緣見不同故。言一	達 泥 木 所 起 只 是 一 質 兩 緣 見 不 同 故 言 一 
T35n1731_001:0007a08	質二見也。今問。一質一何物質為一。穢質為	質 二 見 也 今 問 一 質 一 何 物 質 為 一 穢 質 為 
T35n1731_001:0007a09	一。淨質為一。非淨非穢質為一。此之三責	一 淨 質 為 一 非 淨 非 穢 質 為 一 此 之 三 責 
T35n1731_001:0007a10	便有三家解釋。第一舊成實論師解云。一淨	便 有 三 家 解 釋 第 一 舊 成 實 論 師 解 云 一 淨 
T35n1731_001:0007a11	質一穢質。只一淨質。身子自見木。只一穢質。	質 一 穢 質 只 一 淨 質 身 子 自 見 木 只 一 穢 質 
T35n1731_001:0007a12	梵王自見金。祇洹亦爾也。次地論解云。一	梵 王 自 見 金 祇 洹 亦 爾 也 次 地 論 解 云 一 
T35n1731_001:0007a13	質是非金非木質。只如林樹。有想心取則成	質 是 非 金 非 木 質 只 如 林 樹 有 想 心 取 則 成 
T35n1731_001:0007a14	有漏樹。無想心取則成無漏林樹。樹未曾有	有 漏 樹 無 想 心 取 則 成 無 漏 林 樹 樹 未 曾 有 
T35n1731_001:0007a15	漏無漏。隨兩心故有漏無漏。今亦爾。未曾	漏 無 漏 隨 兩 心 故 有漏無漏 今 亦 爾 未 曾 
T35n1731_001:0007a16	淨穢。淨緣見淨穢緣見穢耳。復有三論師。不	淨 穢 淨 緣 見 淨 穢 緣 見 穢 耳 復 有 三 論 師 不 
T35n1731_001:0007a17	精得一家意義者。監於此解。一非金非木質	精 得 一 家 意 義 者 監 於 此 解 一 非 金 非 木 質 
T35n1731_001:0007a18	緣見金見木。此質未曾金木身子自見木。梵	緣 見 金 見 木 此 質 未 曾 金 木 身 子 自 見 木 梵 
T35n1731_001:0007a19	王自見金。名一質異見。今且難之。不難成論	王 自 見 金 名 一 質 異 見 今 且 難 之 不 難 成 論 
T35n1731_001:0007a20	地論。難三論師解。三論既壞。所餘自崩。何者	地 論 難 三 論 師 解 三 論 既 壞 所 餘 自 崩 何 者 
T35n1731_001:0007a21	汝非金非木一質。身子梵王見木金者。為	汝 非 金 非 木 一 質 身 子 梵 王 見 木 金 者 為 
T35n1731_001:0007a22	當身子木非木非金。身子見木。梵王見金。	當 身 子 木 非 木 非 金 身 子 見 木 梵 王 見 金 
T35n1731_001:0007a23	為當梵王金非金非木。身子見木。梵王見金。	為 當 梵 王 金 非 金 非 木 身 子 見 木 梵 王 見 金 
T35n1731_001:0007a24	為當離身子木梵王金別有非金非木。所以	為 當 離 身 子 木 梵 王 金 別 有 非 金 非 木 所 以 
T35n1731_001:0007a25	身子見木。梵王見金耶。且開此三關責。次第	身 子 見 木 梵 王 見 金 耶 且 開 此 三 關 責 次 第 
T35n1731_001:0007a26	設難。若只使一身子木非金非木故。身子	設 難 若 只 使 一 身 子 木 非 金 非 木 故 身 子 
T35n1731_001:0007a27	見木梵王見金者。身子之木既被燒。梵王金	見 木 梵 王 見 金 者 身 子 之 木 既 被 燒 梵 王 金 
T35n1731_001:0007a28	為被燒為不被燒。更開兩關責此一句。若身	為 被 燒 為 不 被 燒 更 開 兩 關 責 此 一 句 若 身 
T35n1731_001:0007a29	子木被燒梵王金燒者則破業果。何者身	子 木 被 燒 梵 王 金 燒 者 則 破 業 果 何 者 身 
T35n1731_001:0007b01	子惡業感見木。梵王善業感見金。兩業各感	子 惡 業 感 見 木 梵 王 善 業 感 見 金 兩 業 各 感 
T35n1731_001:0007b02	一果。身子業壞木自被燒。梵王不壞何得金	一 果 身 子 業 壞 木 自 被 燒 梵 王 不 壞 何 得 金 
T35n1731_001:0007b03	亦被燒。又身子惡業可壞。梵王善業那應	亦 被 燒 又 身 子 惡 業 可 壞 梵 王 善 業 那 應 
T35n1731_001:0007b04	壞。惡業壞善業亦壞。地獄壞天堂亦壞而不	壞 惡 業 壞 善 業 亦 壞 地 獄 壞 天 堂 亦 壞 而 不 
T35n1731_001:0007b05	爾故。身子木壞梵王金不應壞也。又且善業	爾 故 身 子 木 壞 梵 王 金 不 應 壞 也 又 且 善 業 
T35n1731_001:0007b06	制不得壞。既共一木。惡業善業制那得壞耶。	制 不 得 壞 既 共 一 木 惡 業 善 業 制 那 得 壞 耶 
T35n1731_001:0007b07	故不得同壞。若使身子木自壞。梵王金不壞	故 不 得 同 壞 若 使 身 子 木 自 壞 梵 王 金 不 壞 
T35n1731_001:0007b08	則便二質。何謂一質二見耶。前關得一質則	則 便 二 質 何 謂 一 質 二 見 耶 前 關 得 一 質 則 
T35n1731_001:0007b09	壞業義。後關得業義則壞一質義也。身子木	壞 業 義 後 關 得 業 義 則 壞 一 質 義 也 身 子 木 
T35n1731_001:0007b10	非金非木見金木既爾。梵王金非金非木亦	非 金 非 木 見 金 木 既 爾 梵 王 金 非 金 非 木 亦 
T35n1731_001:0007b11	然。類前可知。次金木別有非金非木一質。	然 類 前 可 知 次 金 木 別 有 非 金 非 木 一 質 
T35n1731_001:0007b12	二緣見二者。汝非金非木為當非此金木。為	二 緣 見 二 者 汝 非 金 非 木 為 當 非 此 金 木 為 
