T38n1769_001:0239a13	涅槃宗要	涅 槃 宗 要 
T38n1769_001:0247a10	三種分別受。二寂靜樂。遠離故無苦無樂乃	三 種 分 別 受 二 寂 靜 樂 遠 離 故 無 苦 無 樂 乃 
T38n1769_001:0247a11	為大樂。諸行流轉行苦得大寂靜故為大樂。	為 大 樂 諸 行 流 轉 行 苦 得 大 寂 靜 故 為 大 樂 
T38n1769_001:0247a12	三覺知樂。以離無知所受苦苦無所不知故	三 覺 知 樂 以 離 無 知 所 受 苦 苦 無 所 不 知 故 
T38n1769_001:0247a13	為大樂。四壞不樂。遠離無常衰老壞苦得金	為 大 樂 四 壞 不 樂 遠 離 無 常 衰 老 壞 苦 得 金 
T38n1769_001:0247a14	剛身故為大樂。別而論之。前之二種是涅槃	剛 身 故 為 大 樂 別 而 論 之 前 之 二 種 是 涅 槃 
T38n1769_001:0247a15	樂。後二種者是菩提樂。通相而言。即無別異。	樂 後 二 種 者 是 菩 提 樂 通 相 而 言 即 無 別 異 
T38n1769_001:0247a16	以菩提涅槃無二無別故。如下文云。有大樂	以 菩 提 涅 槃 無 二 無 別 故 如 下 文 云 有 大 樂 
T38n1769_001:0247a17	故名大涅槃。大涅槃無樂。以四樂故名大涅	故 名 大 涅 槃 大 涅 槃 無 樂 以 四 樂 故 名 大 涅 
T38n1769_001:0247a18	槃乃至廣說。二種我者。法我人我。言法我者	槃 乃至廣說 二 種 我 者 法 我 人 我 言 法 我 者 
T38n1769_001:0247a19	是體實義。如哀歎品云。是真是實是依是常	是 體 實 義 如 哀 歎 品 云 是 真 是 實 是 依 是 常 
T38n1769_001:0247a20	不變易者是自在義。如德王品初偈中說。自	不 變 易 者 是 自 在 義 如 德 王 品 初 偈 中 說 自 
T38n1769_001:0247a21	在有八。一多少自在。如經言。能示一身以為	在 有 八 一 多 少 自 在 如 經 言 能 示 一 身 以 為 
T38n1769_001:0247a22	多身。身數多少猶如微塵。充滿十方無量世	多 身 身 數 多 少 猶 如 微 塵 充 滿 十 方 無 量 世 
T38n1769_001:0247a23	界。如來之身實非微塵。以自在故現微塵身。	界 如來之身 實 非 微 塵 以 自 在 故 現 微 塵 身 
T38n1769_001:0247a24	二大小自在。如經言。示一塵身滿三千界。佛	二 大 小 自 在 如 經 言 示 一 塵 身 滿 三 千 界 佛 
T38n1769_001:0247a25	身無邊實不滿於大千世界。以自在故滿大	身 無 邊 實 不 滿 於 大千世界 以 自 在 故 滿 大 
T38n1769_001:0247a26	千界故。三輕重自在。如經言。以滿大千世界	千 界 故 三 輕 重 自 在 如 經 言 以 滿 大千世界 
T38n1769_001:0247a27	之身輕舉飛空過恒沙等諸佛世界而無障	之 身 輕 舉 飛 空 過 恒 沙 等 諸 佛 世 界 而 無 障 
T38n1769_001:0247a28	礙。如來之身實無輕重。以自在故能為輕重	礙 如來之身 實 無 輕 重 以 自 在 故 能 為 輕 重 
T38n1769_001:0247a29	故。四一異自在。如經言。如來一心安住不動。	故 四 一 異 自 在 如 經 言 如 來 一 心 安 住 不 動 
T38n1769_001:0247b01	所可示化無量形類各令有心。如來有時成	所 可 示 化 無 量 形 類 各 令 有 心 如 來 有 時 成 
T38n1769_001:0247b02	造一事而亦眾生各各成辨。如來之身常住	造 一 事 而 亦 眾 生 各 各 成 辨 如來之身 常 住 
T38n1769_001:0247b03	一立而令他立一切悉見故。五者對境自在	一 立 而 令 他 立 一 切 悉 見 故 五 者 對 境 自 在 
T38n1769_001:0247b04	故。如經言。如來一根亦能見色聞聲乃至知。	故 如 經 言 如 來 一 根 亦 能 見 色 聞 聲 乃 至 知 
T38n1769_001:0247b05	以自在。如來六根亦不見色不聞聲乃至不知	以 自 在 如 來 六 根 亦 不 見 色 不 聞 聲 乃 至 不 知 
T38n1769_001:0247b06	法。令根自在。六者得法自在。如經言。以自在	法 令 根 自 在 六 者 得 法 自 在 如 經 言 以 自 在 
T38n1769_001:0247b07	故得一切。如來之心亦無得想。何以故。若是	故 得 一 切 如 來 之 心 亦 無 得 想 何 以 故 若 是 
T38n1769_001:0247b08	有者可知為得。實無所有云何名得。若使如	有 者 可 知 為 得 實無所有 云 何 名 得 若 使 如 
T38n1769_001:0247b09	來計有得想。是即諸佛不得涅槃。以無得故	來 計 有 得 想 是 即 諸 佛 不 得 涅 槃 以 無 得 故 
T38n1769_001:0247b10	名得涅槃。以自在故得一切法。得諸法故名	名 得 涅 槃 以 自 在 故 得一切法 得 諸 法 故 名 
T38n1769_001:0247b11	為大我。是意正顯諸法非然而非不然。而不	為 大 我 是 意 正 顯 諸 法 非 然 而 非 不 然 而 不 
T38n1769_001:0247b12	然故永無所得。非不然故無所不得。如是無	然 故 永 無 所 得 非 不 然 故 無 所 不 得 如 是 無 
T38n1769_001:0247b13	障礙故名大自在。七者演說自在。如經言。如	障 礙 故 名 大 自 在 七 者 演 說 自 在 如 經 言 如 
T38n1769_001:0247b14	來宣說一偈之義過無量劫義亦不盡。而不	來 宣 說 一 偈 之 義 過 無 量 劫 義 亦 不 盡 而 不 
T38n1769_001:0247b15	生念我說彼聽。一切法亦無有說。以自在故	生 念 我 說 彼 聽 一 切 法 亦 無 有 說 以 自 在 故 
T38n1769_001:0247b16	如來演說以名大我故。八者普現自在。經言。	如 來 演 說 以 名 大 我 故 八 者 普 現 自 在 經 言 
T38n1769_001:0247b17	如來遍滿一切諸處猶如虛空。虛空之性不	如 來 遍 滿 一 切 諸 處 猶如虛空 虛 空 之 性 不 
T38n1769_001:0247b18	可得見。如來亦爾。實不可見。以自在故令一	可 得 見 如 來 亦 爾 實 不 可 見 以 自 在 故 令 一 
T38n1769_001:0247b19	切見。是明有所現者即當有所不現。如來都	切 見 是 明 有 所 現 者 即 當 有 所 不 現 如 來 都 
T38n1769_001:0247b20	無所不現也。別門而言。真實我者是涅槃我。	無 所 不 現 也 別 門 而 言 真 實 我 者 是 涅 槃 我 
T38n1769_001:0247b21	自在我者是菩提我。就實通論即無別異。是	自 在 我 者 是 菩 提 我 就 實 通 論 即 無 別 異 是 
T38n1769_001:0247b22	故經中總結之言。如是大我名大涅槃。四種	故 經 中 總 結 之 言 如 是 大 我 名 大 涅 槃 四 種 
T38n1769_001:0247b23	淨者。一名果淨亦是有淨。以離二十五有果	淨 者 一 名 果 淨 亦 是 有 淨 以 離 二十五有 果 
T38n1769_001:0247b24	故。二名業淨亦是因淨。以離凡夫諸業因故。	故 二 名 業 淨 亦 是 因 淨 以 離 凡 夫 諸 業 因 故 
T38n1769_001:0247b25	三名身淨。佛身常住故。四名心淨。佛心無漏	三 名 身 淨 佛 身 常 住 故 四 名 心 淨 佛 心 無 漏 
T38n1769_001:0247b26	故。前二離德後二修德。離修雖異齊是涅槃。	故 前 二 離 德 後 二 修 德 離 修 雖 異 齊 是 涅 槃 
T38n1769_001:0247b27	如經言。以純淨故名大涅槃。云何純淨。淨有	如 經 言 以 純 淨 故 名 大 涅 槃 云 何 純 淨 淨 有 
T38n1769_001:0247b28	四種乃至廣說。故總而言之。如是四德不出	四 種 乃至廣說 故 總 而 言 之 如 是 四 德 不 出 
T38n1769_001:0247b29	三事。三事即入於二種我。二種我者一大涅	三 事 三 事 即 入 於 二 種 我 二 種 我 者 一 大 涅 
T38n1769_001:0247c01	槃。一即一切一切即一。是名如來祕密藏也。	槃 一 即 一切一切 即 一 是 名 如 來 祕 密 藏 也 
T38n1769_001:0247c02	次第四明和相諍論。諍論之興乃有多端。而	次 第 四 明 和 相 諍 論 諍 論 之 興 乃 有 多 端 而 
T38n1769_001:0247c03	於當偏起異諍法身常住化身起滅。於此二	於 當 偏 起 異 諍 法 身 常 住 化 身 起 滅 於 此 二 
T38n1769_001:0247c04	身諸說不同。唯於報身二執別起。別起之諍	身 諸 說 不 同 唯 於 報 身 二 執 別 起 別 起 之 諍 
T38n1769_001:0247c05	不過二途。謂執常住及執無常。執常之內亦	不 過 二 途 謂 執 常 住 及 執 無 常 執 常 之 內 亦 
T38n1769_001:0247c06	有二家。一家說云。報佛功德有生無滅。生因	有 二 家 一 家 說 云 報 佛 功 德 有 生 無 滅 生 因 
T38n1769_001:0247c07	所滅故不得無生。證理究竟故離相。離相故	所 滅 故 不 得 無 生 證 理 究 竟 故 離 相 離 相 故 
T38n1769_001:0247c08	常住不變。第二家云。報佛功德雖生因得而	常 住 不 變 第 二 家 云 報 佛 功 德 雖 生 因 得 而 
T38n1769_001:0247c09	離生相。雖是本無始有而非本無今有。既非	離 生 相 雖 是 本 無 始 有 而 非 本無今有 既 非 
T38n1769_001:0247c10	今有亦非後無。由是道理遠離三際。離三際	今 有 亦 非 後 無 由 是 道 理 遠 離 三 際 離 三 際 
T38n1769_001:0247c11	故凝然常住。然道後始成故非本有始。離三	故 凝 然 常 住 然 道 後 始 成 故 非 本 有 始 離 三 
T38n1769_001:0247c12	際故非有生。非有生故亦得無滅。無生滅故	際 故 非 有 生 非 有 生 故 亦 得 無 滅 無 生 滅 故 
T38n1769_001:0247c13	定是無為常住不變。若未能得如是正見。不	定 是 無 為 常 住 不 變 若 未 能 得 如 是 正 見 不 
T38n1769_001:0247c14	應定說有為無為。如純陀章云。唯當嘖自。我	應 定 說 有 為 無 為 如 純 陀 章 云 唯 當 嘖 自 我 
T38n1769_001:0247c15	今愚癡未有惠眼。如來正法不可思議。是故	今 愚 癡 未 有 惠 眼 如 來 正 法 不可思議 是 故 
T38n1769_001:0247c16	不應宣說如來定是有為定是無為。若正見	不 應 宣 說 如 來 定 是 有 為 定 是 無 為 若 正 見 
T38n1769_001:0247c17	者應說如來定是無為。長壽品云。常當繫心	者 應 說 如 來 定 是 無 為 長 壽 品 云 常 當 繫 心 
T38n1769_001:0247c18	修心是二字佛常住。若有修習此二定者。當	修 心 是 二 字 佛 常 住 若 有 修 習 此 二 定 者 當 
T38n1769_001:0247c19	知是人隨我所行至我至處。而餘處說非常	知 是 人 隨 我 所 行 至 我 至 處 而 餘 處 說 非 常 
T38n1769_001:0247c20	住者。皆就佛相非說報身。如德王品云如來	住 者 皆 就 佛 相 非 說 報 身 如 德 王 品 云 如 來 
T38n1769_001:0247c21	非常。何以故。身有分故。是故非常。云何非	非 常 何 以 故 身 有 分 故 是 故 非 常 云 何 非 
T38n1769_001:0247c22	常。以有智故。常法無知。猶如虛空。如來有心。	常 以 有 智 故 常 法 無 知 猶如虛空 如 來 有 心 
T38n1769_001:0247c23	是故非常。云何非常。有言說乃至有姓。此故	是 故 非 常 云 何 非 常 有 言 說 乃 至 有 姓 此 故 
T38n1769_001:0247c24	有父母。故有四儀。故有方所依。是七義說非	有 父 母 故 有 四 儀 故 有 方 所 依 是 七 義 說 非 
T38n1769_001:0247c25	常住。當知皆此就化相說。若人不知如是之	常 住 當 知 皆 此 就 化 相 說 若 人 不 知 如 是 之 
T38n1769_001:0247c26	意亦說報佛同是無常。即是邪見必墮地獄。	意 亦 說 報 佛 同 是 無 常 即 是 邪 見 必 墮 地 獄 
T38n1769_001:0247c27	如純陀言。外道邪見可說如來同於有為持	如 純 陀 言 外道邪見 可 說 如 來 同 於 有 為 持 
T38n1769_001:0247c28	惑。比丘不應如是。於如來所生有為想若言	惑 比 丘 不 應 如 是 於 如 來 所 生 有 為 想 若 言 
T38n1769_001:0247c29	如來是有為者。即是妄語。當知是人死入地	如 來 是 有 為 者 即 是 妄 語 當 知 是 人 死 入 地 
T38n1769_001:0248a01	獄。如人自處於己舍宅乃至廣說。故不應說	獄 如 人 自 處 於 己 舍 宅 乃至廣說 故 不 應 說 
T38n1769_001:0248a02	報佛無常。執常之家作如是說也。執無常者	報 佛 無 常 執 常 之 家 作如是說 也 執 無 常 者 
T38n1769_001:0248a03	說言。報佛生因所生不得無滅。生者必滅一	說 言 報 佛 生 因 所 生 不 得 無 滅 生 者 必 滅 一 
T38n1769_001:0248a04	向記故。然依法身相續恒存。窮未來際永無	向 記 故 然 依 法 身 相 續 恒 存 窮未來際 永 無 
T38n1769_001:0248a05	終盡。不同生死念念磨滅。由是道理說為常	終 盡 不 同 生 死 念 念 磨 滅 由 是 道 理 說 為 常 
T38n1769_001:0248a06	住。無老死故名不變易。如四相品云。如來成	住 無 老 死 故 名 不 變 易 如 四 相 品 云 如 來 成 
T38n1769_001:0248a07	就如是功德。云何當言如來無常。若言無常	就 如 是 功 德 云 何 當 言 如 來 無 常 若 言 無 常 
T38n1769_001:0248a08	無有是處。是金剛身。云何無常。是故如來不	無 有 是 處 是 金 剛 身 云 何 無 常 是 故 如 來 不 
T38n1769_001:0248a09	名命終。如來性品云。若言解脫猶如幻化。凡	名 命 終 如 來 性 品 云 若 言 解 脫 猶 如 幻 化 凡 
T38n1769_001:0248a10	夫當謂得解脫者即是磨滅。有智之人應當	夫 當 謂 得 解 脫 者 即 是 磨 滅 有 智 之 人 應 當 
T38n1769_001:0248a11	分別人中師子雖有去來常住不變。又聖行	分 別 人 中 師 子 雖 有 去 來 常 住 不 變 又 聖 行 
T38n1769_001:0248a12	品云。復次善男子心性異故名為無常。所謂	品 云 復 次 善 男 子 心 性 異 故 名 為 無 常 所 謂 
T38n1769_001:0248a13	聲聞心性異。緣覺心性異。諸佛心性異。依此	聲 聞 心 性 異 緣 覺 心 性 異 諸 佛 心 性 異 依 此 
T38n1769_001:0248a14	等文當知報佛心是有。為是生滅法。而初分	等 文 當 知 報 佛 心 是 有 為 是 生 滅 法 而 初 分 
T38n1769_001:0248a15	說定是無為。又言。修習常住二字隨我所行	說 定 是 無 為 又 言 修 習 常 住 二 字 隨 我 所 行 
T38n1769_001:0248a16	至我至處等文者為對聲聞無為四倒故。約	至 我 至 處 等 文 者 為 對 聲 聞 無 為 四 倒 故 約 
T38n1769_001:0248a17	真如法身而說為常住。以彼聲聞不達法空。	真 如 法 身 而 說 為 常 住 以 彼 聲 聞 不 達 法 空 
T38n1769_001:0248a18	不知如來法身遍一切處無為常住隨於物機	不 知 如來法身 遍 一 切 處 無 為 常 住 隨 於 物 機 
T38n1769_001:0248a19	現此色身。是故彼計如來色身惑業所感必	現 此 色 身 是 故 彼 計 如 來 色 身 惑 業 所 感 必 
T38n1769_001:0248a20	歸磨滅。五分法身雖非有漏而依色身亦是	歸 磨 滅 五分法身 雖 非 有 漏 而 依 色 身 亦 是 
T38n1769_001:0248a21	斷滅。為欲對治如是病故。故說法身無為常	斷 滅 為 欲 對 治 如 是 病 故 故 說 法 身 無 為 常 
T38n1769_001:0248a22	住。如請僧福田經中月德居士歎佛如來涅	住 如 請 僧 福 田 經 中 月 德 居 士 歎 佛 如 來 涅 
T38n1769_001:0248a23	槃。以復法滅不久如來告言。汝等居士應修	槃 以 復 法 滅 不 久 如 來 告 言 汝 等 居 士 應 修 
T38n1769_001:0248a24	如來常住二字。是常住法者是一切眾生二	如 來 常 住 二 字 是 常 住 法 者 是 一 切 眾 生 二 
T38n1769_001:0248a25	乘六道闡提五逆人之法性。見法性者當得	乘 六 道 闡 提 五 逆 人 之 法 性 見 法 性 者 當 得 
T38n1769_001:0248a26	吾身如今無二。如此經言。修此二字隨我所	吾 身 如 今 無 二 如 此 經 言 修 此 二 字 隨 我 所 
T38n1769_001:0248a27	行至我至處。故知是文正顯法身。而說慈心	行 至 我 至 處 故 知 是 文 正 顯 法 身 而 說 慈 心 
T38n1769_001:0248a28	不殺等因之所得者。是明了因之所顯證。有	不 殺 等 因 之 所 得 者 是 明 了 因 之 所 顯 證 有 
T38n1769_001:0248a29	人不知是意趣。妄執報佛亦無生滅遂同虛	人 不 知 是 意 趣 妄 執 報 佛 亦 無 生 滅 遂 同 虛 
T38n1769_001:0248b01	空知無為。又若德王品說。如來非常住七種	空 知 無 為 又 若 德 王 品 說 如 來 非 常 住 七 種 
T38n1769_001:0248b02	因緣皆就化身說非常住。非說報佛。亦常者	因 緣 皆 就 化 身 說 非 常 住 非 說 報 佛 亦 常 者 
T38n1769_001:0248b03	是即彼文亦以七因成非無常。皆就法身說	是 即 彼 文 亦 以 七 因 成 非 無 常 皆 就 法 身 說 
T38n1769_001:0248b04	非無常。不開報佛亦非無常。如彼文言。有生	非 無 常 不 開 報 佛 亦 非 無 常 如 彼 文 言 有 生 
T38n1769_001:0248b05	之法名曰無常。如來無生。是故為常。有限之	之 法 名 曰 無 常 如 來 無 生 是 故 為 常 有 限 之 
T38n1769_001:0248b06	法名曰無常。如來無生無姓故常。有常之法	法 名 曰 無 常 如 來 無 生 無 姓 故 常 有 常 之 法 
T38n1769_001:0248b07	遍一切處。無常之法或言是處有彼處無。如	遍 一 切 處 無 常 之 法 或 言 是 處 有 彼 處 無 如 
T38n1769_001:0248b08	來不爾。是故為常。無常之法有時是有無。時	來 不 爾 是 故 為 常 無 常 之 法 有 時 是 有 無 時 
T38n1769_001:0248b09	為無。如來不爾。是故為常。常住之法無名無	為 無 如 來 不 爾 是 故 為 常 常 住 之 法 無 名 無 
T38n1769_001:0248b10	色。虛空常故無名無色。如來亦爾。是故為常。	色 虛 空 常 故 無 名 無 色 如 來 亦 爾 是 故 為 常 
T38n1769_001:0248b11	常住之法無因無果。虛空常故無因無果。如	常 住 之 法 無 因 無 果 虛 空 常 故 無 因 無 果 如 
T38n1769_001:0248b12	來亦爾。是故為常。常住之法三世不攝。如來	來 亦 爾 是 故 為 常 常 住 之 法 三 世 不 攝 如 來 
T38n1769_001:0248b13	亦爾。是故為常。如是七因皆當法身。所以然	亦 爾 是 故 為 常 如 是 七 因 皆 當 法 身 所 以 然 
T38n1769_001:0248b14	者。彼說報佛生因所得即有因果非如虛空。	者 彼 說 報 佛 生 因 所 得 即 有 因 果 非 如 虛 空 
T38n1769_001:0248b15	若彼救言。隨順法身無生故常。報佛亦同無	若 彼 救 言 隨 順 法 身 無 生 故 常 報 佛 亦 同 無 
T38n1769_001:0248b16	生故常。是故此因義通二身者。他亦爾。可言	生 故 常 是 故 此 因 義 通 二 身 者 他 亦 爾 可 言 
T38n1769_001:0248b17	化身有知故非常。報佛有知亦非常住。是故	化 身 有 知 故 非 常 報 佛 有 知 亦 非 常 住 是 故 
T38n1769_001:0248b18	此因義通二身。此若不通彼何得通。又彼強	此 因 義 通 二 身 此 若 不 通 彼 何 得 通 又 彼 強 
T38n1769_001:0248b19	言雖是本無始有而非本無今有者。但有其	言 雖 是 本 無 始 有 而 非 本無今有 者 但 有 其 
T38n1769_001:0248b20	言都無其實。所以然者。若如所言是即雖非	言 都 無 其 實 所 以 然 者 若 如 所 言 是 即 雖 非 
T38n1769_001:0248b21	先有後無而是先有終無。若許終無終無即	先 有 後 無 而 是 先 有 終 無 若 許 終 無 終 無 即 
T38n1769_001:0248b22	滅。若不許言既非後無何為終無。既非今有	滅 若 不 許 言 既 非 後 無 何 為 終 無 既 非 今 有 
T38n1769_001:0248b23	何為始有。又若非後無故滅盡者。即應是本	何 為 始 有 又 若 非 後 無 故 滅 盡 者 即 應 是 本 
T38n1769_001:0248b24	無故有生起也。如是進退永不可救。是故彼	無 故 有 生 起 也 如 是 進 退 永 不 可 救 是 故 彼 
T38n1769_001:0248b25	義智者不用。執無常者作如是說。問二師所	義 智 者 不 用 執 無 常 者 作如是說 問 二 師 所 
T38n1769_001:0248b26	說何得何失。答或有說者皆得皆失。所以然	說 何 得 何 失 答 或 有 說 者 皆 得 皆 失 所 以 然 
T38n1769_001:0248b27	者。若決定執一邊皆有過失。如其無障礙說	者 若 決 定 執 一 邊 皆 有 過 失 如 其 無 障 礙 說 
T38n1769_001:0248b28	俱有道理。如楞伽經云。如來應正遍知為是	俱 有 道 理 如 楞 伽 經 云 如來應正遍知 為 是 
T38n1769_001:0248b29	常耶為無常耶。佛言非常非無常。二邊有過	常 耶 為 無 常 耶 佛 言 非常非無常 二 邊 有 過 
T38n1769_001:0248c01	故乃至廣說。今此言雖不常住非念念滅。如	故 乃至廣說 今 此 言 雖 不 常 住 非 念 念 滅 如 
T38n1769_001:0248c02	是等文破其偏執。定取一邊不當道理。無障	是 等 文 破 其 偏 執 定 取 一 邊 不 當 道 理 無 障 
T38n1769_001:0248c03	礙說二義皆得者。報佛功德離相離性。以離	礙 說 二 義 皆 得 者 報 佛 功 德 離 相 離 性 以 離 
T38n1769_001:0248c04	相故離生滅相。究竟寂靜無作無為故說常	相 故 離 生 滅 相 究 竟 寂 靜 無 作 無 為 故 說 常 
T38n1769_001:0248c05	住。以離性故離常住性。最極暄動無所不為	住 以 離 性 故 離 常 住 性 最 極 暄 動 無 所 不 為 
T38n1769_001:0248c06	故說無常。然離性無二無別。離相不異於離	故 說 無 常 然 離 性 無 二 無 別 離 相 不 異 於 離 
T38n1769_001:0248c07	性。故常住不妨於生滅也。離性不異於離相。	性 故 常 住 不 妨 於 生 滅 也 離 性 不 異 於 離 相 
T38n1769_001:0248c08	故生滅不礙於常住也。由是道理二說皆得。	故 生 滅 不 礙 於 常 住 也 由 是 道 理 二 說 皆 得 
T38n1769_001:0248c09	於中委悉亦有多門。具如楞伽經宗要中說。	於 中 委 悉 亦 有 多 門 具 如 楞 伽 經 宗 要 中 說 
T38n1769_001:0248c10	然執無常家義有未盡意。謂說法身定是常	然 執 無 常 家 義 有 未 盡 意 謂 說 法 身 定 是 常 
T38n1769_001:0248c11	故。若定常住即非作法。非作法故不作二身。	故 若 定 常 住 即 非 作 法 非 作 法 故 不 作 二 身 
T38n1769_001:0248c12	是故法身亦非無為。楞伽經言。若如來法身	是 故 法 身 亦 非 無 為 楞 伽 經 言 若 如來法身 
T38n1769_001:0248c13	非作法者。言有修行無量功德。一切行者即	非 作 法 者 言 有 修 行 無量功德 一 切 行 者 即 
T38n1769_001:0248c14	為虛妄。攝大乘說。法身五。於中言第三有為	為 虛 妄 攝 大 乘 說 法 身 五 於 中 言 第 三 有 為 
T38n1769_001:0248c15	無為無二為相。非惑業雜所生故。由得自在	無 為 無 二 為 相 非 惑 業 雜 所 生 故 由 得 自 在 
T38n1769_001:0248c16	能顯有為相故。釋曰。一切有為法皆從惑業	能 顯 有 為 相 故 釋 曰 一 切 有 為 法 皆 從 惑 業 
T38n1769_001:0248c17	生。法身不從惑業生。故非有為。法身由得自	生 法 身 不 從 惑 業 生 故 非 有 為 法 身 由 得 自 
T38n1769_001:0248c18	在能數數顯有為相。謂應化二身故。非無為	在 能 數 數 顯 有 為 相 謂 應 化 二 身 故 非 無 為 
T38n1769_001:0248c19	是明法身雖非惑業所生有為而非凝然無動	是 明 法 身 雖 非 惑 業 所 生 有 為 而 非 凝 然 無 動 
T38n1769_001:0248c20	作物也。又報常家雖樂常住而其常義亦有	作 物 也 又 報 常 家 雖 樂 常 住 而 其 常 義 亦 有 
T38n1769_001:0248c21	不足意。謂始有功德不遍於前位故。若此功	不 足 意 謂 始 有 功 德 不 遍 於 前 位 故 若 此 功 
T38n1769_001:0248c22	德有所不遍即於法界有所不證。若於法界	德 有 所 不 遍 即 於 法 界 有 所 不 證 若 於 法 界 
T38n1769_001:0248c23	無所不證即等法性無所不遍。如花嚴經言。	無 所 不 證 即 等 法 性 無 所 不 遍 如 花 嚴 經 言 
T38n1769_001:0248c24	如來正覺成菩提時住佛方便。得一切眾生	如 來 正 覺 成 菩 提 時 住 佛 方 便 得 一 切 眾 生 
T38n1769_001:0248c25	等身。得一切法等身。得一切殺等身。得一切	等 身 得一切法 等 身 得 一 切 殺 等 身 得 一 切 
T38n1769_001:0248c26	三世等身。得一切法界等身。得虛空界等身。	三 世 等 身 得一切法 界 等 身 得 虛 空 界 等 身 
T38n1769_001:0248c27	乃至得寂靜涅槃界等身。佛子隨如來所得	乃 至 得 寂 靜 涅 槃 界 等 身 佛 子 隨 如 來 所 得 
T38n1769_001:0248c28	身當知音聲及無礙心復如是如來具足。如	身 當 知 音 聲 及 無 礙 心 復 如 是 如 來 具 足 如 
T38n1769_001:0248c29	是三種清淨無量是明如來成道後所得色身	是 三 種 清 淨 無 量 是 明 如 來 成 道 後 所 得 色 身 
T38n1769_001:0249a01	音聲及無礙心無所不等無所不遍。既言等	音 聲 及 無 礙 心 無 所 不 等 無 所 不 遍 既 言 等 
T38n1769_001:0249a02	於一切三世。豈不遍金剛以前。然此道理諸	於 一 切 三 世 豈 不 遍 金 剛 以 前 然 此 道 理 諸 
T38n1769_001:0249a03	佛祕藏非思量者之所不能測。但依佛言起	佛 祕 藏 非 思 量 者 之 所 不 能 測 但 依 佛 言 起 
T38n1769_001:0249a04	作信耳。涅槃之義略判如是。第二明佛性	作 信 耳 涅 槃 之 義 略 判 如 是 第 二 明 佛 性 
T38n1769_001:0249a05	義。佛性之義六門分別。一出體門。二因果門。	義 佛 性 之 義 六 門 分 別 一 出 體 門 二 因 果 門 
T38n1769_001:0249a06	三見性門。四有無門。五三世門。六會通門。出	三 見 性 門 四 有 無 門 五 三 世 門 六 會 通 門 出 
T38n1769_001:0249a07	體門內亦有二重。先序諸說。後判是非。昔來	體 門 內 亦 有 二 重 先 序 諸 說 後 判 是 非 昔 來 
T38n1769_001:0249a08	說雖有百家義類相攝不出六種。第一師云。	說 雖 有 百 家 義 類 相 攝 不 出 六 種 第 一 師 云 
T38n1769_001:0249a09	當有佛果為佛性體。如下師子吼中說言。一	當 有 佛 果 為 佛 性 體 如 下 師 子 吼 中 說 言 一 
T38n1769_001:0249a10	闡提等無有善法。佛亦言。以未來有故悉有	闡 提 等 無 有 善 法 佛 亦 言 以 未 來 有 故 悉 有 
T38n1769_001:0249a11	佛性。又言。以現在世煩惱因緣能斷善根。未	佛 性 又 言 以 現 在 世 煩 惱 因 緣 能 斷 善 根 未 
T38n1769_001:0249a12	來佛性力因緣故遂生善根。故知當果即是	來 佛 性 力 因 緣 故 遂 生 善 根 故 知 當 果 即 是 
T38n1769_001:0249a13	正因。所以然者。無明初念不有而已有心即	正 因 所 以 然 者 無 明 初 念 不 有 而 已 有 心 即 
T38n1769_001:0249a14	有當果之性。故修萬行以剋現果。現果即成	有 當 果 之 性 故 修 萬 行 以 剋 現 果 現 果 即 成 
T38n1769_001:0249a15	當果為本。故說當果而為正因。此是白馬寺	當 果 為 本 故 說 當 果 而 為 正 因 此 是 白 馬 寺 
T38n1769_001:0249a16	愛法師述生公義也。第二師云。現有眾生為	愛 法 師 述 生 公 義 也 第 二 師 云 現 有 眾 生 為 
T38n1769_001:0249a17	佛性體。何者。眾生之用總御心法。眾生之義	佛 性 體 何 者 眾 生 之 用 總 御 心 法 眾 生 之 義 
T38n1769_001:0249a18	處處受生。如是御心之主必當能成大覺。故	處 處 受 生 如 是 御 心 之 主 必 當 能 成 大 覺 故 
T38n1769_001:0249a19	說眾生為正因體。如師子吼中言。眾生佛性	說 眾 生 為 正 因 體 如 師 子 吼 中 言 眾 生 佛 性 
T38n1769_001:0249a20	亦二種因者謂諸眾生也。莊嚴寺是法師義	亦 二 種 因 者 謂 諸 眾 生 也 莊 嚴 寺 是 法 師 義 
T38n1769_001:0249a21	也。第三師云。眾生之心異乎木石。必有厭苦	也 第 三 師 云 眾 生 之 心 異 乎 木 石 必 有 厭 苦 
T38n1769_001:0249a22	求樂之性。由有此性故修萬行終歸無上菩	求 樂 之 性 由 有 此 性 故 修 萬 行 終 歸 無 上 菩 
T38n1769_001:0249a23	提樂果。故說心性為正因體。如下文言。一切	提 樂 果 故 說 心 性 為 正 因 體 如 下 文 言 一 切 
T38n1769_001:0249a24	眾生悉皆有心。凡有心者必當得成阿耨菩	眾 生 悉 皆 有 心 凡 有 心 者 必 當 得 成 阿 耨 菩 
T38n1769_001:0249a25	提。夫人經言。若無如來藏下得厭苦樂求涅	提 夫 人 經 言 若 無 如 來 藏 下 得 厭 苦 樂 求 涅 
T38n1769_001:0249a26	槃故。此是光宅雲法師義也。第四師云。心有	槃 故 此 是 光 宅 雲 法 師 義 也 第 四 師 云 心 有 
