T46n1917_001:0549a03	六妙法門	六 妙 法 門 
T46n1917_001:0553b01	見四諦。而能了了分別四諦。為聲聞眾生。廣	見 四 諦 而 能 了 了 分 別 四 諦 為 聲 聞 眾 生 廣 
T46n1917_001:0553b02	演分別。復次菩薩。了息空中。不見十二因緣。	演 分 別 復 次 菩 薩 了 息 空 中 不 見 十二因緣 
T46n1917_001:0553b03	而亦通達十二因緣。所以者何。過去息性空	而 亦 通 達 十二因緣 所以者何 過 去 息 性 空 
T46n1917_001:0553b04	無所有。妄見有息。而生種種顛倒分別。起諸	無 所 有 妄 見 有 息 而 生 種 種 顛 倒 分 別 起 諸 
T46n1917_001:0553b05	煩惱。故名無明。無明因緣。則有行識名色六	煩 惱 故 名 無 明 無 明 因 緣 則 有 行 識 名 色 六 
T46n1917_001:0553b06	入觸受愛取有生老死憂悲苦惱等。輪轉不息。	入 觸 受 愛 取 有 生 老 死 憂 悲 苦 惱 等 輪 轉 不 息 
T46n1917_001:0553b07	皆由不了息如虛空無所有故。若知息空寂。	皆 由 不 了 息 如 虛 空無所有 故 若 知 息 空 寂 
T46n1917_001:0553b08	即破無明。無明滅故。則十二因緣皆滅。菩薩	即 破 無 明 無 明 滅 故 則 十二因緣 皆 滅 菩 薩 
T46n1917_001:0553b09	如是了息非息。雖不得十二因緣。亦能了了。	如 是 了 息 非 息 雖 不 得 十二因緣 亦 能 了 了 
T46n1917_001:0553b10	通達十二因緣。為求緣覺乘人。廣演分別。復	通 達 十二因緣 為 求 緣 覺 乘 人 廣 演 分 別 復 
T46n1917_001:0553b11	次菩薩了息無性。爾時尚不見有息。何況於	次 菩 薩 了 息 無 性 爾 時 尚 不 見 有 息 何 況 於 
T46n1917_001:0553b12	息道中。見有六蔽及六度法。雖於息性中不	息 道 中 見 有 六 蔽 及 六 度 法 雖 於 息 性 中 不 
T46n1917_001:0553b13	見蔽及六度法。而亦了了通達六蔽六度。所	見 蔽 及 六 度 法 而 亦 了 了 通 達 六 蔽 六 度 所 
T46n1917_001:0553b14	以者何。行者當數息時。即自了知。若於非息	以 者 何 行 者 當 數 息 時 即 自 了 知 若 於 非 息 
T46n1917_001:0553b15	之中而見息者。是必定成就慳貪蔽法。慳有	之 中 而 見 息 者 是 必 定 成 就 慳 貪 蔽 法 慳 有 
T46n1917_001:0553b16	四種。一者慳惜財物。見息中有我。為我生慳	四 種 一 者 慳 惜 財 物 見 息 中 有 我 為 我 生 慳 
T46n1917_001:0553b17	故。二者慳身。於息中起身見故。三者慳命。於	故 二 者 慳 身 於 息 中 起 身 見 故 三 者 慳 命 於 
T46n1917_001:0553b18	息中不了計有命故。四者惱法於息中不了。	息 中 不 了 計 有 命 故 四 者 惱 法 於 息 中 不 了 
T46n1917_001:0553b19	即起見執法心生故行者為破壞如是慳蔽	即 起 見 執 法 心 生 故 行 者 為 破 壞 如 是 慳 蔽 
T46n1917_001:0553b20	惡法故。修四種檀波羅密。一者知息空非我。	惡 法 故 修 四 種 檀 波 羅 密 一 者 知 息 空 非 我 
T46n1917_001:0553b21	離息亦無我。既不得我。聚諸財物。何所資給。	離 息 亦 無 我 既 不 得 我 聚 諸 財 物 何 所 資 給 
T46n1917_001:0553b22	爾時慳財之心。即便之心。即便自息。捨諸珍	爾 時 慳 財 之 心 即 便 之 心 即 便 自 息 捨 諸 珍 
T46n1917_001:0553b23	寶。如棄涕唾當知了達息性。即是財施檀波	寶 如 棄 涕 唾 當 知 了 達 息 性 即 是 財 施 檀 波 
T46n1917_001:0553b24	羅蜜。復次菩薩。知無身性。息等諸法。不名	羅 蜜 復 次 菩 薩 知 無 身 性 息 等 諸 法 不 名 
T46n1917_001:0553b25	為身。離息等法。亦無別身。爾時知身非身。即	為 身 離 息 等 法 亦 無 別 身 爾 時 知 身 非 身 即 
T46n1917_001:0553b26	破慳身之執。既不慳於身。即能以身為奴僕	破 慳 身 之 執 既 不 慳 於 身 即 能 以 身 為 奴 僕 
T46n1917_001:0553b27	給使。如法施與前人。當知了知息非息。即能	給 使 如 法 施 與 前 人 當 知 了 知 息 非 息 即 能 
T46n1917_001:0553b28	具足成就捨身檀波羅蜜。復次行者。若能了	具 足 成 就 捨 身 檀 波 羅 蜜 復 次 行 者 若 能 了 
T46n1917_001:0553b29	息性空。不見即息是命離息有命。既不得命。	息 性 空 不 見 即 息 是 命 離 息 有 命 既 不 得 命 
T46n1917_001:0553c01	破性命心。爾時即能捨命。給施眾生。心無驚	破 性 命 心 爾 時 即 能 捨 命 給 施 眾 生 心 無 驚 
T46n1917_001:0553c02	畏。當知了達息空。即能具足捨命檀波羅蜜。	畏 當 知 了 達 息 空 即 能 具 足 捨 命 檀 波 羅 蜜 
T46n1917_001:0553c03	復次行者。若達息空。即不見陰入界等諸法。	復 次 行 者 若 達 息 空 即 不 見 陰 入 界 等 諸 法 
T46n1917_001:0553c04	亦不見世間出世間種種法相。為破眾生種	亦 不 見 世間出世間 種 種 法 相 為 破 眾 生 種 
T46n1917_001:0553c05	種橫計。迷執諸法輪迴六趣。故有所說。而實	種 橫 計 迷 執 諸 法 輪 迴 六 趣 故 有 所 說 而 實 
T46n1917_001:0553c06	無說無示。以聽者無聞無得故。是時雖行法	無 說 無 示 以 聽 者 無 聞 無 得 故 是 時 雖 行 法 
T46n1917_001:0553c07	施。不執法施。無恩於彼。而利一切。譬如大	施 不 執 法 施 無 恩 於 彼 而 利 一 切 譬 如 大 
T46n1917_001:0553c08	地虛空日月利益世間。而無心於物不求恩	地 虛 空 日 月 利 益 世 間 而 無 心 於 物 不 求 恩 
T46n1917_001:0553c09	報菩薩達息性空。行平等法施檀波羅蜜。利	報 菩 薩 達 息 性 空 行 平 等 法 施 檀 波 羅 蜜 利 
T46n1917_001:0553c10	益眾生。亦復如是。當知菩薩知息性空。不得	益 眾 生 亦復如是 當 知 菩 薩 知 息 性 空 不 得 
T46n1917_001:0553c11	慳度而能了了分別慳度。以不可得故。知息	慳 度 而 能 了 了 分 別 慳 度 以 不 可 得 故 知 息 
T46n1917_001:0553c12	性空。具足尸羅羼提毘梨耶禪那般若波羅	性 空 具 足 尸 羅 羼 提 毘 梨 耶 禪 那 般 若 波 羅 
T46n1917_001:0553c13	蜜。亦復如是。是中應一一廣旋轉諸波羅蜜	蜜 亦復如是 是 中 應 一 一 廣 旋 轉 諸波羅蜜 
T46n1917_001:0553c14	相。為求佛道善男子善女人。開示分別。是即	相 為 求 佛 道 善 男 子 善 女 人 開 示 分 別 是 即 
T46n1917_001:0553c15	略說於數息門中。修旋轉陀羅尼菩薩所行	略 說 於 數 息 門 中 修 旋 轉 陀 羅 尼 菩薩所行 
T46n1917_001:0553c16	無礙方便。菩薩若入是門。直說數息調心。窮	無 礙 方 便 菩 薩 若 入 是 門 直 說 數 息 調 心 窮 
T46n1917_001:0553c17	劫不盡。況復於隨止觀還淨等。種種諸禪。智	劫 不 盡 況 復 於 隨 止 觀 還 淨 等 種 種 諸 禪 智 
T46n1917_001:0553c18	惠神通。四辯力無所畏。諸地行願。一切種	惠 神 通 四 辯 力 無 所 畏 諸 地 行 願 一 切 種 
T46n1917_001:0553c19	智。無盡一切功德。旋轉分別而可盡乎。	智 無 盡 一切功德 旋 轉 分 別 而 可 盡 乎 
T46n1917_001:0553c20	次釋第八觀心六妙門。觀心六妙門者。此為	次 釋 第 八 觀 心 六 妙 門 觀 心 六 妙 門 者 此 為 
T46n1917_001:0553c21	大根性行人善識法惡。不由次第懸照諸法	大 根 性 行 人 善 識 法 惡 不 由 次 第 懸 照 諸 法 
T46n1917_001:0553c22	之源。何等為諸法之源。所謂眾生心也。一	之 源 何 等 為 諸 法 之 源 所 謂 眾 生 心 也 一 
T46n1917_001:0553c23	切萬法由心而起。若能反觀心性不可得心	切 萬 法 由 心 而 起 若 能 反 觀 心 性 不 可 得 心 
T46n1917_001:0553c24	源。即知萬法皆無根本。約此觀心說六妙門。	源 即 知 萬 法 皆 無 根 本 約 此 觀 心 說 六 妙 門 
T46n1917_001:0553c25	非如前也。所以者何。如行者初學觀心時。知	非 如 前 也 所以者何 如 行 者 初 學 觀 心 時 知 
T46n1917_001:0553c26	一切世間出世間諸數量法。皆悉從心出。離	一切世間 出 世 間 諸 數 量 法 皆 悉 從 心 出 離 
T46n1917_001:0553c27	心之外更無一法。是則數一切法。皆悉約心	心 之 外 更 無 一 法 是 則 數 一 切 法 皆 悉 約 心 
T46n1917_001:0553c28	故數。當知心者。即是數門。復次行者。當觀	故 數 當 知 心 者 即 是 數 門 復 次 行 者 當 觀 
T46n1917_001:0553c29	心時。知一切數量之法。悉隨心王。若無心	心 時 知 一 切 數 量 之 法 悉 隨 心 王 若 無 心 
T46n1917_001:0554a01	王。即無心數。心王動故。心數亦動。譬如百官	王 即 無 心 數 心 王 動 故 心 數 亦 動 譬 如 百 官 
T46n1917_001:0554a02	臣民悉皆隨順大王。一切諸數量法依隨心	臣 民 悉 皆 隨 順 大 王 一 切 諸 數 量 法 依 隨 心 
T46n1917_001:0554a03	王。亦復如是。如是觀時。即知心是隨門。復	王 亦復如是 如 是 觀 時 即 知 心 是 隨 門 復 
T46n1917_001:0554a04	次行者。當觀心時。知心性常寂即諸法亦寂	次 行 者 當 觀 心 時 知 心 性 常 寂 即 諸 法 亦 寂 
T46n1917_001:0554a05	寂故不念。不念故即不動。不動故名止也。當	寂 故 不 念 不 念 故 即 不 動 不 動 故 名 止 也 當 
T46n1917_001:0554a06	知心者即是止門。復次行者。當觀心時。覺了	知 心 者 即 是 止 門 復 次 行 者 當 觀 心 時 覺 了 
T46n1917_001:0554a07	心性猶如虛空。無名無相一切語言道斷。開	心 性 猶如虛空 無 名 無 相 一 切 語 言 道 斷 開 
T46n1917_001:0554a08	無明藏。見真實性。於一切諸法得無著惠。當	無 明 藏 見 真 實 性 於 一切諸法 得 無 著 惠 當 
T46n1917_001:0554a09	知心者即是觀門。復次行者。當觀心時。既不	知 心 者 即 是 觀 門 復 次 行 者 當 觀 心 時 既 不 
T46n1917_001:0554a10	得所觀之心。亦不得能觀之智。爾時心如虛	得 所 觀 之 心 亦 不 得 能 觀 之 智 爾 時 心 如 虛 
T46n1917_001:0554a11	空無所依倚。以無著妙惠。雖不見諸法。而還	空 無 所 依 倚 以 無 著 妙 惠 雖 不 見 諸 法 而 還 
T46n1917_001:0554a12	通達一切諸法。分別顯示。入諸法界無所缺	通 達 一切諸法 分別顯示 入 諸 法 界 無 所 缺 
T46n1917_001:0554a13	減普現色身。垂形九道。入變通藏。集諸善	減 普 現 色 身 垂 形 九 道 入 變 通 藏 集 諸 善 
T46n1917_001:0554a14	根。迴向菩提。莊嚴佛道。當知心者即是還門。	根 迴向菩提 莊 嚴 佛 道 當 知 心 者 即 是 還 門 
T46n1917_001:0554a15	復次行者。當觀心時。雖不得心及諸法。而能	復 次 行 者 當 觀 心 時 雖 不 得 心 及 諸 法 而 能 
T46n1917_001:0554a16	了了分別一切諸法。雖分別一切法。不著一	了 了 分 別 一切諸法 雖 分 別 一 切 法 不 著 一 
T46n1917_001:0554a17	切法。成就一切法。不染一切法以自性清淨。	切 法 成 就 一 切 法 不 染 一 切 法 以 自 性 清 淨 
T46n1917_001:0554a18	從本以來。不為無明惑倒之所染故。故經云。	從本以來 不 為 無 明 惑 倒 之 所 染 故 故 經 云 
T46n1917_001:0554a19	心不染煩惱。煩惱不染心。行者通達自性清	心 不 染 煩 惱 煩 惱 不 染 心 行 者 通 達 自 性 清 
T46n1917_001:0554a20	淨心故。入於垢法。不為垢法所染。故名為淨。	淨 心 故 入 於 垢 法 不 為 垢 法 所 染 故 名 為 淨 
T46n1917_001:0554a21	當知心者即是淨門。如是六門。不由次第。直	當 知 心 者 即 是 淨 門 如 是 六 門 不 由 次 第 直 
T46n1917_001:0554a22	觀心性即便具足也。	觀 心 性 即 便 具 足 也 
T46n1917_001:0554a23	次釋第九圓觀六妙門。夫圓觀者。豈得如上	次 釋 第 九 圓 觀 六 妙 門 夫 圓 觀 者 豈 得 如 上 
T46n1917_001:0554a24	所說。但觀心源。具足六妙門。觀餘諸法不得	所 說 但 觀 心 源 具 足 六 妙 門 觀 餘 諸 法 不 得 
T46n1917_001:0554a25	爾乎。今行者觀一心。見一切心及一切法。觀	爾 乎 今 行 者 觀 一 心 見 一 切 心 及 一 切 法 觀 
T46n1917_001:0554a26	一法見一切法及一切心。觀菩提。見一切煩	一 法 見 一 切 法 及 一 切 心 觀 菩 提 見 一 切 煩 
T46n1917_001:0554a27	惱生死。觀煩惱生死。見一切菩提涅槃。觀一	惱 生 死 觀 煩 惱 生 死 見 一 切 菩 提 涅 槃 觀 一 
T46n1917_001:0554a28	佛見一切眾生及諸佛。觀一眾生。見一切佛	佛 見 一 切 眾 生 及 諸 佛 觀 一 眾 生 見 一 切 佛 
T46n1917_001:0554a29	及一切眾生。一切皆如影現。非內非外。不一	及 一 切 眾 生 一 切 皆 如 影 現 非 內 非 外 不 一 
T46n1917_001:0554b01	不異。十方不可思議。本性自爾無能作者。非	不 異 十 方 不可思議 本 性 自 爾 無 能 作 者 非 
T46n1917_001:0554b02	但於一心中。分別一切十方法界凡聖色心	但 於 一 心 中 分 別 一 切 十 方 法 界 凡 聖 色 心 
T46n1917_001:0554b03	諸法數量。亦能於一微塵中。通達一切十方	諸 法 數 量 亦 能 於 一 微 塵 中 通 達 一 切 十 方 
T46n1917_001:0554b04	世界諸佛凡聖色心數量法門。是即略說圓	世 界 諸 佛 凡 聖 色 心 數 量 法 門 是 即 略 說 圓 
T46n1917_001:0554b05	觀數門。隨止觀還淨等。一一皆亦如是。是數	觀 數 門 隨 止 觀 還 淨 等 一 一 皆 亦 如 是 是 數 
T46n1917_001:0554b06	微妙不可思議非口所宣。非心所測。尚非	微 妙 不可思議 非 口 所 宣 非 心 所 測 尚 非 
T46n1917_001:0554b07	諸小菩薩及一乘境界。況諸凡夫。若有利根	諸 小 菩 薩 及 一 乘 境 界 況 諸 凡 夫 若 有 利 根 
T46n1917_001:0554b08	大士聞如是無法。能信解受持。正念思惟。專	大 士 聞 如 是 無 法 能 信 解 受 持 正念思惟 專 
T46n1917_001:0554b09	精修習。當知。是人行佛行處。住佛住處。入	精 修 習 當 知 是 人 行 佛 行 處 住 佛 住 處 入 
T46n1917_001:0554b10	如來室。著如來衣。坐如來座。即於此身。必	如 來 室 著 如 來 衣 坐 如 來 座 即 於 此 身 必 
T46n1917_001:0554b11	定當得六根清淨。開佛知見。普現色身。成等	定 當 得 六 根 清 淨 開 佛 知 見 普 現 色 身 成 等 
T46n1917_001:0554b12	正覺。故華嚴經云。初發心時便成正覺。了達	正 覺 故 華 嚴 經 云 初 發 心 時 便 成 正 覺 了 達 
T46n1917_001:0554b13	諸法真實之性。所有惠身不由他悟。	諸 法 真 實 之 性 所 有 惠 身 不由他悟 
T46n1917_001:0554b14	次釋第十證相六妙門。前九種六妙門。皆修	次 釋 第 十 證 相 六 妙 門 前 九 種 六 妙 門 皆 修 
T46n1917_001:0554b15	因之相。義兼證果。說不具足。今當更分別六	因 之 相 義 兼 證 果 說 不 具 足 今 當 更 分 別 六 
T46n1917_001:0554b16	妙門證相。六門有四種一者次第證。二者互	妙 門 證 相 六 門 有 四 種 一 者 次 第 證 二 者 互 
T46n1917_001:0554b17	證。三者旋轉證。四者圓頓證。云何次第證。如	證 三 者 旋 轉 證 四 者 圓 頓 證 云 何 次 第 證 如 
T46n1917_001:0554b18	上第一歷別對諸禪門。及次第相生六妙門	上 第 一 歷 別 對 諸 禪 門 及 次 第 相 生 六 妙 門 
T46n1917_001:0554b19	中已略說。次第證相細尋自知。今不別說第	中 已 略 說 次 第 證 相 細 尋 自 知 今 不 別 說 第 
T46n1917_001:0554b20	二互證。此約第三隨便宜。第四對治。第五相	二 互 證 此 約 第 三 隨 便 宜 第 四 對 治 第 五 相 
T46n1917_001:0554b21	攝。第六通觀。四種妙門中論證相。所以者何。	攝 第 六 通 觀 四 種 妙 門 中 論 證 相 所以者何 
T46n1917_001:0554b22	此四種妙門修行方便。無定次第。故證亦復	此 四 種 妙 門 修 行 方 便 無 定 次 第 故 證 亦 復 
T46n1917_001:0554b23	迴互不定。如行者當數息時。發十六觸等諸	迴 互 不 定 如 行 者 當 數 息 時 發 十 六 觸 等 諸 
T46n1917_001:0554b24	闇證隱沒無記有垢等法。此禪即是數息證	闇 證 隱 沒 無 記 有 垢 等 法 此 禪 即 是 數 息 證 
T46n1917_001:0554b25	相之體。而今不定。或有行者。於數息中。見身	相 之 體 而 今 不 定 或 有 行 者 於 數 息 中 見 身 
T46n1917_001:0554b26	毛孔虛疎。徹見三十六物。當知於數息中。證	毛 孔 虛 疎 徹 見 三 十 六 物 當 知 於 數 息 中 證 
T46n1917_001:0554b27	於隨門。復有行者。於數息中。證空靜定。以覺	於 隨 門 復 有 行 者 於 數 息 中 證 空 靜 定 以 覺 
T46n1917_001:0554b28	身心。寂然無所緣念。入此定時。雖復淺深	身 心 寂 然 無 所 緣 念 入 此 定 時 雖 復 淺 深 
T46n1917_001:0554b29	有殊而皆是空寂之相。當知於數息中證止	有 殊 而 皆 是 空 寂 之 相 當 知 於 數 息 中 證 止 
T46n1917_001:0554c01	門禪定也。復次行者。當數息時。內外死屍。不	門 禪 定 也 復 次 行 者 當 數 息 時 內 外 死 屍 不 
T46n1917_001:0554c02	淨膖脹爛壞。及白骨光明等。定心安隱。當知	淨 膖 脹 爛 壞 及 白 骨 光 明 等 定 心 安 隱 當 知 
T46n1917_001:0554c03	於數息中。證觀門禪也。復次行者。當數息	於 數 息 中 證 觀 門 禪 也 復 次 行 者 當 數 息 
T46n1917_001:0554c04	時。發空無相智慧三十七品四諦十二因緣	時 發 空 無 相 智 慧 三十七品 四 諦 十二因緣 
T46n1917_001:0554c05	等巧惠方便。思覺心起。破折諸法。反本還	等 巧 惠 方 便 思 覺 心 起 破 折 諸 法 反 本 還 
T46n1917_001:0554c06	源。當知於數息中。證還門禪也。復次行者。	源 當 知 於 數 息 中 證 還 門 禪 也 復 次 行 者 
T46n1917_001:0554c07	或於數息之時。身心寂然。不得諸法。妄垢不	或 於 數 息 之 時 身 心 寂 然 不 得 諸 法 妄 垢 不 
T46n1917_001:0554c08	生。分別不起。心想寂然。明識法相。無所依	生 分 別 不 起 心 想 寂 然 明 識 法 相 無 所 依 
T46n1917_001:0554c09	倚當知於數息中證淨門禪也。此則略說於	倚 當 知 於 數 息 中 證 淨 門 禪 也 此 則 略 說 於 
T46n1917_001:0554c10	數息中。互發六門禪相。前後不定。未必悉如	數 息 中 互 發 六 門 禪 相 前 後 不 定 未 必 悉 如 
T46n1917_001:0554c11	今說。餘隨止觀還淨。一一互證諸禪相亦如	今 說 餘 隨 止 觀 還 淨 一 一 互 證 諸 禪 相 亦 如 
T46n1917_001:0554c12	是。所以有此互證諸禪者。意有二種一者修	是 所 以 有 此 互 證 諸 禪 者 意 有 二 種 一 者 修 
T46n1917_001:0554c13	諸禪時互修故。發亦隨互。意如前四種修六	諸 禪 時 互 修 故 發 亦 隨 互 意 如 前 四 種 修 六 
T46n1917_001:0554c14	妙門相。二者宿世業緣善根發。是故互發不	妙 門 相 二 者 宿 世 業 緣 善 根 發 是 故 互 發 不 
T46n1917_001:0554c15	定。義如坐禪內方便驗善惡根性中廣說。第	定 義 如 坐 禪 內 方 便 驗 善 惡 根 性 中 廣 說 第 
T46n1917_001:0554c16	三云何名證旋轉六妙門相。此的依第七旋	三 云 何 名 證 旋 轉 六 妙 門 相 此 的 依 第 七 旋 
T46n1917_001:0554c17	轉修故發。所謂證相者。即有二種。一者證旋	轉 修 故 發 所 謂 證 相 者 即 有 二 種 一 者 證 旋 
T46n1917_001:0554c18	轉解。二者證旋轉行。云何名為證旋轉解發	轉 解 二 者 證 旋 轉 行 云 何 名 為 證 旋 轉 解 發 
T46n1917_001:0554c19	相。行者於數息中。巧惠旋轉修習故。爾時或	相 行 者 於 數 息 中 巧 惠 旋 轉 修 習 故 爾 時 或 
T46n1917_001:0554c20	證深禪定。或說淺定。於此等定中。豁然心惠	證 深 禪 定 或 說 淺 定 於 此 等 定 中 豁 然 心 惠 
T46n1917_001:0554c21	開發。旋轉覺識。解真無礙。不由心念。任運旋	開 發 旋 轉 覺 識 解 真 無 礙 不 由 心 念 任 運 旋 
T46n1917_001:0554c22	轉。覺識法門。旋轉有二種。一者總相旋轉解。	轉 覺 識 法 門 旋 轉 有 二 種 一 者 總 相 旋 轉 解 
T46n1917_001:0554c23	二者別相。總相復有二種。一者解真總相。二	二 者 別 相 總 相 復 有 二 種 一 者 解 真 總 相 二 
T46n1917_001:0554c24	者解俗總相。別相復有二種。一者解真別相。	者 解 俗 總 相 別 相 復 有 二 種 一 者 解 真 別 相 
T46n1917_001:0554c25	二者解俗別相。於一總相法中。旋轉解一切	二 者 解 俗 別 相 於 一 總 相 法 中 旋 轉 解 一 切 
T46n1917_001:0554c26	法。別相亦爾。云何名為證旋轉行相。行者如	法 別 相 亦 爾 云 何 名 為 證 旋 轉 行 相 行 者 如 
T46n1917_001:0554c27	所解。心不違言。心口相應。法門現前。心行堅	所 解 心 不 違 言 心 口 相 應 法 門 現 前 心 行 堅 
T46n1917_001:0554c28	固。任運增長。不由念力。諸善功德自生。諸	固 任 運 增 長 不 由 念 力 諸 善 功 德 自 生 諸 
T46n1917_001:0554c29	惡自息。總相別相皆如上說。但有相應之異。	惡 自 息 總 相 別 相 皆 如 上 說 但 有 相 應 之 異 
T46n1917_001:0555a01	入諸法門境界顯現之殊故。今則略出證旋	入 諸 法 門 境 界 顯 現 之 殊 故 今 則 略 出 證 旋 
T46n1917_001:0555a02	轉行。如一數門。具二種證旋轉故餘隨止觀	轉 行 如 一 數 門 具 二 種 證 旋 轉 故 餘 隨 止 觀 
T46n1917_001:0555a03	還淨亦如是。略說不具足者。自善思惟。取意	還 淨 亦 如 是 略 說 不具足者 自 善 思 惟 取 意 
T46n1917_001:0555a04	廣對諸法門也。證旋轉六妙門者。即是得旋	廣 對 諸 法 門 也 證 旋 轉 六 妙 門 者 即 是 得 旋 
T46n1917_001:0555a05	陀羅尼門也。是名無礙辯才巧惠方便遮諸	陀羅尼門 也 是 名 無 礙 辯 才 巧 惠 方 便 遮 諸 
T46n1917_001:0555a06	惡令不得起。持諸功德令不漏失。任是法門。	惡 令 不 得 起 持 諸 功 德 令 不 漏 失 任 是 法 門 
T46n1917_001:0555a07	必定不久入菩薩位。成就阿耨多羅三藐三	必 定 不 久 入 菩 薩 位 成 就 阿 耨 多 羅 三 藐 三 
T46n1917_001:0555a08	菩提也。第四云何名為圓證六妙門。行者因	菩 提 也 第 四 云 何 名 為 圓 證 六 妙 門 行 者 因 
T46n1917_001:0555a09	第八觀心。第九圓觀。二種六妙門為方便。是	第 八 觀 心 第 九 圓 觀 二 種 六 妙 門 為 方 便 是 
T46n1917_001:0555a10	觀成時。即便發圓證也。證有二種。一者解證	觀 成 時 即 便 發 圓 證 也 證 有 二 種 一 者 解 證 
T46n1917_001:0555a11	無礙巧惠不由心念。自然圓證識法界故名	無 礙 巧 惠 不 由 心 念 自 然 圓 證 識 法 界 故 名 
T46n1917_001:0555a12	解證。二者會證妙惠朗然開發。明照法界通	解 證 二 者 會 證 妙 惠 朗 然 開 發 明 照 法 界 通 
T46n1917_001:0555a13	達無礙也。證相有二種。一者相似證相。如法	達 無 礙 也 證 相 有 二 種 一 者 相 似 證 相 如 法 
T46n1917_001:0555a14	華經中明六根清淨相。二者真實證相。如華	華 經 中 明 六 根 清 淨 相 二 者 真 實 證 相 如 華 
T46n1917_001:0555a15	嚴經中明初發心圓滿功德智慧相也。云何	嚴 經 中 明 初 發 心 圓滿功德 智 慧 相 也 云 何 
T46n1917_001:0555a16	名相似圓證。為六妙門。如法華經說眼根清	名 相 似 圓 證 為 六 妙 門 如 法 華 經 說 眼 根 清 
T46n1917_001:0555a17	淨中。能一時數十方凡聖色心等法數量。故	淨 中 能 一 時 數 十 方 凡 聖 色 心 等 法 數 量 故 
T46n1917_001:0555a18	名數門。一切色法。隨順於眼根。眼不違色法。	名 數 門 一 切 色 法 隨 順 於 眼 根 眼 不 違 色 法 
T46n1917_001:0555a19	共相隨順。故名隨門。如是見時。眼根識寂然	共 相 隨 順 故 名 隨 門 如 是 見 時 眼 根 識 寂 然 
T46n1917_001:0555a20	不動。故名止門。不以二相見諸佛國。通達無	不 動 故 名 止 門 不 以 二 相 見 諸 佛 國 通 達 無 
T46n1917_001:0555a21	礙。善巧分別。照了法性故名觀門。還於眼根	礙 善 巧 分 別 照 了 法 性 故 名 觀 門 還 於 眼 根 
T46n1917_001:0555a22	境界中。通達耳鼻舌身意等諸根境界。悉明	境 界 中 通 達 耳 鼻 舌 身 意 等 諸 根 境 界 悉 明 
T46n1917_001:0555a23	了無礙。不一不異相故。故名還門。復次見己	了 無 礙 不 一 不 異 相 故 故 名 還 門 復 次 見 己 
T46n1917_001:0555a24	眼根境界。還於十方凡聖眼界中現故。亦名	眼 根 境 界 還 於 十 方 凡 聖 眼 界 中 現 故 亦 名 
T46n1917_001:0555a25	為還門雖了了通達見如是事。而不起妄想	為 還 門 雖 了 了 通 達 見 如 是 事 而 不 起 妄 想 
T46n1917_001:0555a26	分利。知本性常淨無可染法。不住不著。不起	分 利 知 本 性 常 淨 無 可 染 法 不 住 不 著 不 起 
T46n1917_001:0555a27	法愛。故名淨門。此則略說於眼根清淨中。證	法 愛 故 名 淨 門 此 則 略 說 於 眼 根 清 淨 中 證 
T46n1917_001:0555a28	相似六妙門相。餘五根亦如是。廣說如法華	相 似 六 妙 門 相 餘 五 根 亦 如 是 廣 說 如 法 華 
T46n1917_001:0555a29	經明也。云何名真實圓證六妙門。有二種。一	經 明 也 云 何 名 真 實 圓 證 六 妙 門 有 二 種 一 
T46n1917_001:0555b01	者別對。二通對。別對者。十住為數門。十行為	者 別 對 二 通 對 別 對 者 十 住 為 數 門 十 行 為 
T46n1917_001:0555b02	隨門。十迴向為止門。十地所觀門。等覺為還	隨 門 十 迴 向 為 止 門 十 地 所 觀 門 等 覺 為 還 
T46n1917_001:0555b03	門。妙覺為淨門。二通對者。有三種證。一者	門 妙 覺 為 淨 門 二 通 對 者 有 三 種 證 一 者 
T46n1917_001:0555b04	初證二者中證。三者究竟證。初證者。有菩薩	初 證 二 者 中 證 三 者 究 竟 證 初 證 者 有 菩 薩 
T46n1917_001:0555b05	入阿字門。亦名初發心住。得真無生法忍惠。	入 阿 字 門 亦 名 初 發 心 住 得 真 無生法忍 惠 
T46n1917_001:0555b06	爾時能於一念心中。數不可說微塵世界諸	爾 時 能 於 一 念 心 中 數 不 可 說 微 塵 世 界 諸 
T46n1917_001:0555b07	佛菩薩聲聞緣覺諸心行。及數無量法門。故	佛 菩 薩 聲 聞 緣 覺 諸 心 行 及 數 無 量 法 門 故 
T46n1917_001:0555b08	名數門。能一念心中。隨順法界所有事業。故	名 數 門 能 一 念 心 中 隨 順 法 界 所 有 事 業 故 
T46n1917_001:0555b09	名隨門。能一念心中入百千三昧及一切三	名 隨 門 能 一 念 心 中 入 百 千 三 昧 及 一 切 三 
T46n1917_001:0555b10	昧。虛妄及習俱止息。故名為止門。能一念心	昧 虛 妄 及 習 俱 止 息 故 名 為 止 門 能 一 念 心 
T46n1917_001:0555b11	中。覺了一切法相。具足種種觀智惠。故名觀	中 覺 了 一 切 法 相 具 足 種 種 觀 智 惠 故 名 觀 
T46n1917_001:0555b12	門。能一念心中。通達諸法了了分明。神通轉	門 能 一 念 心 中 通 達 諸 法 了 了 分 明 神 通 轉 
T46n1917_001:0555b13	變調伏眾生。反本還源。故名還門。能一念心	變 調 伏 眾 生 反 本 還 源 故 名 還 門 能 一 念 心 
