X87n1620_001:0179c02	先覺宗乘	先 覺 宗 乘 
X87n1620_003:0196b23	我來問道無餘說。雲在青天水在瓶。(玄覺云。且道李太守。是讚他語	我 來 問 道 無 餘 說 雲 在 青 天 水 在 瓶 玄 覺 云 且 道 李 太 守 是 讚 他 語 
X87n1620_003:0196b24	明他語。須是行脚眼始得)又問。如何是戒定慧。藥山曰。貧道這裏	明 他 語 須 是 行 脚 眼 始 得 又 問 如 何 是 戒 定 慧 藥 山 曰 貧 道 這 裏 
X87n1620_003:0196c01	無此閑家具。公莫測玄旨。藥山曰。太守。欲得保任此	無 此 閑 家 具 公 莫 測 玄 旨 藥 山 曰 太 守 欲 得 保 任 此 
X87n1620_003:0196c02	事。直須向高高山頂立。深深海底行。閨閣中物捨不	事 直 須 向 高 高 山 頂 立 深 深 海 底 行 閨 閣 中 物 捨 不 
X87n1620_003:0196c03	得。便為滲漏。(張無盡頌云。雲在青天水在瓶。眼光隨指落深坑。溪花不耐風霜苦。說甚深深	得 便 為 滲 漏 張 無 盡 頌 云 雲 在 青 天 水 在 瓶 眼 光 隨 指 落 深 坑 溪 花 不 耐 風 霜 苦 說 甚 深 深 
X87n1620_003:0196c04	海底行)公見老宿獨坐。問曰。端居丈室。當何所務。宿曰。	海 底 行 公 見 老 宿 獨 坐 問 曰 端 居 丈 室 當 何 所 務 宿 曰 
X87n1620_003:0196c05	法身凝寂。無去無來。(法眼別云。汝作甚麼來。法燈別云。非公境界)公問藥	法 身 凝 寂 無 去 無 來 法 眼 別 云 汝 作 甚 麼 來 法 燈 別 云 非 公 境 界 公 問 藥 
X87n1620_003:0196c06	山何姓。曰正是時。公不悉。却問院主。某甲適來問和	山 何 姓 曰 正 是 時 公 不 悉 却 問 院 主 某 甲 適 來 問 和 
X87n1620_003:0196c07	尚姓。曰正是時。未審姓甚麼。院主曰。恁麼則姓韓也。	尚 姓 曰 正 是 時 未 審 姓 甚 麼 院 主 曰 恁 麼 則 姓 韓 也 
X87n1620_003:0196c08	藥山聞乃曰。得恁麼不識好惡。若是夏時對他。便是	藥 山 聞 乃 曰 得 恁 麼 不 識 好 惡 若 是 夏 時 對 他 便 是 
X87n1620_003:0196c09	姓熱。一夕師登山。忽雲開見月。大嘯一聲。聲落澧陽	姓 熱 一 夕 師 登 山 忽 雲 開 見 月 大 嘯 一 聲 聲 落 澧 陽 
X87n1620_003:0196c10	九十里許。公聞之。復贈詩曰。選得幽居愜野情。終年	九 十 里 許 公 聞 之 復 贈 詩 曰 選 得 幽 居 愜 野 情 終 年 
X87n1620_003:0196c11	無送亦無迎。有時直上孤峰頂。月下披雲嘯一聲。公	無 送 亦 無 迎 有 時 直 上 孤 峰 頂 月 下 披 雲 嘯 一 聲 公 
X87n1620_003:0196c12	甞問龍潭信禪師曰。如何是真如般若。龍潭曰。我無	甞 問 龍 潭 信 禪 師 曰 如 何 是 真 如 般 若 龍 潭 曰 我 無 
X87n1620_003:0196c13	真如般若。公曰。幸遇和尚。龍潭曰。此猶是分外之言。	真 如 般 若 公 曰 幸 遇 和 尚 龍 潭 曰 此 猶 是 分 外 之 言 
X87n1620_003:0196c14	公一日問僧。馬大師有甚麼言教。僧曰。大師或說即	公 一 日 問 僧 馬 大 師 有 甚 麼 言 教 僧 曰 大 師 或 說 即 
X87n1620_003:0196c15	心即佛。或說非心非佛。公曰。總過這邊。公却問西堂	心 即 佛 或 說 非 心 非 佛 公 曰 總 過 這 邊 公 却 問 西 堂 
X87n1620_003:0196c16	藏。馬大師有甚麼言教。藏呼李翱。公應喏。藏曰。鼓角	藏 馬 大 師 有 甚 麼 言 教 藏 呼 李 翱 公 應 喏 藏 曰 鼓 角 
X87n1620_003:0196c17	動也。有一僧乞置塔。公問曰。教中不許將屍塔下過。	動 也 有 一 僧 乞 置 塔 公 問 曰 教 中 不 許 將 屍 塔 下 過 
X87n1620_003:0196c18	又作麼生。僧無對。僧却問鵞湖義禪師。義曰。他得大	又 作 麼 生 僧 無 對 僧 却 問 鵞 湖 義 禪 師 義 曰 他 得 大 
X87n1620_003:0196c19	闡提。	闡 提 
X87n1620_003:0196c20	唐張拙(嗣法石霜諸)	唐 張 拙 嗣 法 石 霜 諸 
X87n1620_003:0196c21	張拙秀才。因禪月大師指參石霜。石霜問。秀才何姓。	張 拙 秀 才 因 禪 月 大 師 指 參 石 霜 石 霜 問 秀 才 何 姓 
X87n1620_003:0196c22	曰姓張名拙。石霜曰。覓巧尚不可得。拙自何來。張忽	曰 姓 張 名 拙 石 霜 曰 覓 巧 尚 不 可 得 拙 自 何 來 張 忽 
X87n1620_003:0196c23	有省。乃呈偈曰。光明寂照徧河沙。凡聖含靈共我家。	有 省 乃 呈 偈 曰 光 明 寂 照 徧 河 沙 凡 聖 含 靈 共 我 家 
X87n1620_003:0196c24	一念不生全體現。六根纔動被雲遮。斷除煩惱重增	一 念 不 生 全 體 現 六 根 纔 動 被 雲 遮 斷 除 煩 惱 重 增 
X87n1620_003:0197a01	病。趨向真如亦是邪。隨順世緣無罣礙。涅槃生死等	病 趨 向 真 如 亦 是 邪 隨 順 世 緣 無 罣 礙 涅 槃 生 死 等 
X87n1620_003:0197a02	空花(雲門問僧。光明寂照徧河沙。豈不是張拙秀才語。僧云是。雲門云。墮話也。妙喜云。驢揀濕處尿)。	空 花 雲 門 問 僧 光 明 寂 照 徧 河 沙 豈 不 是 張 拙 秀 才 語 僧 云 是 雲 門 云 墮 話 也 妙 喜 云 驢 揀 濕 處 尿 
X87n1620_003:0197a03	唐相國陸希聲(謁仰山寂)	唐 相 國 陸 希 聲 謁 仰 山 寂 
X87n1620_003:0197a04	陸希聲。蘇州吳人。昭宗朝。拜同中書門下平章事。甞	陸 希 聲 蘇 州 吳 人 昭 宗 朝 拜 同 中 書 門 下 平 章 事 甞 
X87n1620_003:0197a05	欲謁仰山慧寂禪師。先作此○相封呈。仰山開封。於	欲 謁 仰 山 慧 寂 禪 師 先 作 此 相 封 呈 仰 山 開 封 於 
X87n1620_003:0197a06	相下書曰。不思而得。落第二頭。思而得之。落第三首。	相 下 書 曰 不 思 而 得 落 第 二 頭 思 而 得 之 落 第 三 首 
X87n1620_003:0197a07	遂封回。公見。遂入山。仰山乃門迎。公纔入門。便問。三	遂 封 回 公 見 遂 入 山 仰 山 乃 門 迎 公 纔 入 門 便 問 三 
X87n1620_003:0197a08	門俱開。從何門入。仰山曰。從信門入。公至法堂。又問。	門 俱 開 從 何 門 入 仰 山 曰 從 信 門 入 公 至 法 堂 又 問 
X87n1620_003:0197a09	不出魔界。便入佛界時如何。仰山以拂子倒點三下。	不 出 魔 界 便 入 佛 界 時 如 何 仰 山 以 拂 子 倒 點 三 下 
X87n1620_003:0197a10	公便設禮。又問。和尚還持戒否。仰山曰。不持戒。還坐	公 便 設 禮 又 問 和 尚 還 持 戒 否 仰 山 曰 不 持 戒 還 坐 
X87n1620_003:0197a11	禪否。仰山曰。不坐禪。公良久。仰山曰。會麼。曰不會。仰	禪 否 仰 山 曰 不 坐 禪 公 良 久 仰 山 曰 會 麼 曰 不 會 仰 
X87n1620_003:0197a12	山曰。聽老僧一頌。滔滔不持戒。兀兀不坐禪。釅茶三	山 曰 聽 老 僧 一 頌 滔 滔 不 持 戒 兀 兀 不 坐 禪 釅 茶 三 
X87n1620_003:0197a13	兩碗。意在钁頭邊。仰山却問。承聞相公看經得悟是	兩 碗 意 在 钁 頭 邊 仰 山 却 問 承 聞 相 公 看 經 得 悟 是 
X87n1620_003:0197a14	否。曰弟子因看涅槃經。有云不斷煩惱而入涅槃。得	否 曰 弟 子 因 看 涅 槃 經 有 云 不 斷 煩 惱 而 入 涅 槃 得 
X87n1620_003:0197a15	箇安樂處。仰山竪起拂子曰。祇如這箇。作麼生入。曰	箇 安 樂 處 仰 山 竪 起 拂 子 曰 祇 如 這 箇 作 麼 生 入 曰 
X87n1620_003:0197a16	入之一字。也不消得。仰山曰。入之一字。不為相公。公	入 之 一 字 也 不 消 得 仰 山 曰 入 之 一 字 不 為 相 公 公 
X87n1620_003:0197a17	便起去(法燈云。上座且道。入之一字為甚麼人。又云。相公且莫煩惱)。	便 起 去 法 燈 云 上 座 且 道 入 之 一 字 為 甚 麼 人 又 云 相 公 且 莫 煩 惱 
X87n1620_003:0197a18	唐太傅王延彬(嗣法長慶稜)	唐 太 傅 王 延 彬 嗣 法 長 慶 稜 
X87n1620_003:0197a19	太傅王延彬居士。請長慶住招慶。開堂日。公朝服趨	太 傅 王 延 彬 居 士 請 長 慶 住 招 慶 開 堂 日 公 朝 服 趨 
X87n1620_003:0197a20	隅曰。請師說法。長慶曰。還聞麼。公設拜。長慶曰。雖然	隅 曰 請 師 說 法 長 慶 曰 還 聞 麼 公 設 拜 長 慶 曰 雖 然 
X87n1620_003:0197a21	如此。恐有人不肯。一日入招慶佛殿。指鉢盂問殿主。	如 此 恐 有 人 不 肯 一 日 入 招 慶 佛 殿 指 鉢 盂 問 殿 主 
X87n1620_003:0197a22	這箇是甚麼鉢。殿主曰。藥師鉢。公曰。祇聞有降龍鉢。	這 箇 是 甚 麼 鉢 殿 主 曰 藥 師 鉢 公 曰 祇 聞 有 降 龍 鉢 
X87n1620_003:0197a23	殿主曰。待有龍即降。公曰。忽遇拏雲攫浪來時作麼	殿 主 曰 待 有 龍 即 降 公 曰 忽 遇 拏 雲 攫 浪 來 時 作 麼 
X87n1620_003:0197a24	生。殿主曰。他亦不顧。公曰。話墮也。(玄沙云。盡你神力。走向甚麼處去。保	生 殿 主 曰 他 亦 不 顧 公 曰 話 墮 也 玄 沙 云 盡 你 神 力 走 向 甚 麼 處 去 保 
X87n1620_003:0197b01	福云。歸依佛法僧。百丈恒作覆鉢勢。雲門云。他日生天。莫孤負老僧)一日公入院。見方	福 云 歸 依 佛 法 僧 百 丈 恒 作 覆 鉢 勢 雲 門 云 他 日 生 天 莫 孤 負 老 僧 一 日 公 入 院 見 方 
X87n1620_003:0197b02	丈門閉。問演侍者曰。有人敢道。太師在否。演曰。有人	丈 門 閉 問 演 侍 者 曰 有 人 敢 道 太 師 在 否 演 曰 有 人 
X87n1620_003:0197b03	敢道。太師不在否。長慶謂太傅曰。雪峰豎拂子示僧。	敢 道 太 師 不 在 否 長 慶 謂 太 傅 曰 雪 峰 豎 拂 子 示 僧 
X87n1620_003:0197b04	其僧便出去。若據此僧。合喚轉痛與一頓。公曰。是甚	其 僧 便 出 去 若 據 此 僧 合 喚 轉 痛 與 一 頓 公 曰 是 甚 
X87n1620_003:0197b05	麼心行。長慶曰。洎合放過。公到招慶煎茶。朗上座與	麼 心 行 長 慶 曰 洎 合 放 過 公 到 招 慶 煎 茶 朗 上 座 與 
X87n1620_003:0197b06	明招把銚。忽翻茶銚。公問。茶爐下是甚麼。朗曰。捧爐	明 招 把 銚 忽 翻 茶 銚 公 問 茶 爐 下 是 甚 麼 朗 曰 捧 爐 
X87n1620_003:0197b07	神。公曰。既是捧爐神。為甚麼翻却茶。朗曰。事官千日。	神 公 曰 既 是 捧 爐 神 為 甚 麼 翻 却 茶 朗 曰 事 官 千 日 
X87n1620_003:0197b08	失在一朝。公拂袖便出。明招曰。朗上座喫却招慶飯	失 在 一 朝 公 拂 袖 便 出 明 招 曰 朗 上 座 喫 却 招 慶 飯 
X87n1620_003:0197b09	了。却向外邊打野榸。朗曰。上座作麼生。明招曰。非人	了 却 向 外 邊 打 野 榸 朗 曰 上 座 作 麼 生 明 招 曰 非 人 
X87n1620_003:0197b10	得其便(雪竇顯云。當時但踏倒茶爐。復頌云。來問若成風。應機非善巧。堪悲獨眼龍。曾未呈牙爪。	得 其 便 雪 竇 顯 云 當 時 但 踏 倒 茶 爐 復 頌 云 來 問 若 成 風 應 機 非 善 巧 堪 悲 獨 眼 龍 曾 未 呈 牙 爪 
X87n1620_003:0197b11	牙爪開呈雲雷。逆水之波經幾回)。	牙 爪 開 呈 雲 雷 逆 水 之 波 經 幾 回 
X87n1620_003:0197b12	唐真人呂巖(嗣法黃龍機)	唐 真 人 呂 巖 嗣 法 黃 龍 機 
X87n1620_003:0197b13	呂巖真人。字洞賓。京兆人也。唐末三舉不第。偶於長	呂 巖 真 人 字 洞 賓 京 兆 人 也 唐 末 三 舉 不 第 偶 於 長 
X87n1620_003:0197b14	安酒肆。遇鍾離權。授以延命術。自爾人莫之究。甞遊	安 酒 肆 遇 鍾 離 權 授 以 延 命 術 自 爾 人 莫 之 究 甞 遊 
X87n1620_003:0197b15	廬山歸宗。書鐘樓壁曰。一日清閒自在身。六神和合	廬 山 歸 宗 書 鐘 樓 壁 曰 一 日 清 閒 自 在 身 六 神 和 合 
X87n1620_003:0197b16	報平安。丹田有寶休尋道。對境無心莫問禪。未幾道	報 平 安 丹 田 有 寶 休 尋 道 對 境 無 心 莫 問 禪 未 幾 道 
X87n1620_003:0197b17	經黃龍山。覩紫雲成葢。疑有異人。乃入謁。值黃龍擊	經 黃 龍 山 覩 紫 雲 成 葢 疑 有 異 人 乃 入 謁 值 黃 龍 擊 
X87n1620_003:0197b18	鼓陞堂。黃龍見知是呂公也。欲誘而進。厲聲曰。座傍	鼓 陞 堂 黃 龍 見 知 是 呂 公 也 欲 誘 而 進 厲 聲 曰 座 傍 
X87n1620_003:0197b19	有竊法者。呂毅然出問。一粒粟中藏世界。半升鐺內	有 竊 法 者 呂 毅 然 出 問 一 粒 粟 中 藏 世 界 半 升 鐺 內 
X87n1620_003:0197b20	煑山川。且道此意如何。黃龍指曰。這守屍鬼。呂曰。爭	煑 山 川 且 道 此 意 如 何 黃 龍 指 曰 這 守 屍 鬼 呂 曰 爭 
X87n1620_003:0197b21	奈囊有長生不死藥。黃龍曰。饒經八萬劫。終是落空	奈 囊 有 長 生 不 死 藥 黃 龍 曰 饒 經 八 萬 劫 終 是 落 空 
X87n1620_003:0197b22	亡。呂飛劒脅之。劒不能入。遂再拜求指歸。黃龍詰曰。	亡 呂 飛 劒 脅 之 劒 不 能 入 遂 再 拜 求 指 歸 黃 龍 詰 曰 
X87n1620_003:0197b23	半升鐺內煑山川即不問。如何是一粒粟中藏世界。	半 升 鐺 內 煑 山 川 即 不 問 如 何 是 一 粒 粟 中 藏 世 界 
X87n1620_003:0197b24	呂於言下頓契。作偈曰。棄却瓢囊摵碎琴。如今不戀	呂 於 言 下 頓 契 作 偈 曰 棄 却 瓢 囊 摵 碎 琴 如 今 不 戀 
X87n1620_003:0197c01	汞中金。自從一見黃龍後。始覺從前錯用心。龍囑令	汞 中 金 自 從 一 見 黃 龍 後 始 覺 從 前 錯 用 心 龍 囑 令 
X87n1620_003:0197c02	加護。(別紀。呂真人遇黃龍禪師陞座。師曰。會中有竊法者。巖出曰。雲水道人。師曰。雲盡水乾時如何。	加 護 別 紀 呂 真 人 遇 黃 龍 禪 師 陞 座 師 曰 會 中 有 竊 法 者 巖 出 曰 雲 水 道 人 師 曰 雲 盡 水 乾 時 如 何 
X87n1620_003:0197c03	巖無對。師代云。黃龍出現)後謁潭州智度覺禪師。有曰。余遊韶郴。	巖 無 對 師 代 云 黃 龍 出 現 後 謁 潭 州 智 度 覺 禪 師 有 曰 余 遊 韶 郴 
X87n1620_003:0197c04	東下湘江。今見覺公。觀其禪學精明。性源淳潔。促膝	東 下 湘 江 今 見 覺 公 觀 其 禪 學 精 明 性 源 淳 潔 促 膝 
X87n1620_003:0197c05	靜坐。收光內照。一衲之外無餘衣。一鉢之外無餘食。	靜 坐 收 光 內 照 一 衲 之 外 無 餘 衣 一 鉢 之 外 無 餘 食 
X87n1620_003:0197c06	遠生死岸。破煩惱殻。方今佛衣寂寂兮無傳。禪理懸	遠 生 死 岸 破 煩 惱 殻 方 今 佛 衣 寂 寂 兮 無 傳 禪 理 懸 
X87n1620_003:0197c07	懸兮幾絕。扶而興者。其在吾師乎。聊作一絕奉記。達	懸 兮 幾 絕 扶 而 興 者 其 在 吾 師 乎 聊 作 一 絕 奉 記 達 
X87n1620_003:0197c08	者推心方濟物。聖賢傳法不離真。請師開說西來意。	者 推 心 方 濟 物 聖 賢 傳 法 不 離 真 請 師 開 說 西 來 意 
X87n1620_003:0197c09	七祖如今未有人。	七 祖 如 今 未 有 人 
X87n1620_003:0197c10	宋丞相王隨(嗣法首山念)	宋 丞 相 王 隨 嗣 法 首 山 念 
X87n1620_003:0197c11	王隨。字子正。河南人也。居甞慕裴休之為人。謁首山	王 隨 字 子 正 河 南 人 也 居 甞 慕 裴 休 之 為 人 謁 首 山 
X87n1620_003:0197c12	念禪師。得言外之旨。自爾履踐。深明大法。公以御史	念 禪 師 得 言 外 之 旨 自 爾 履 踐 深 明 大 法 公 以 御 史 
X87n1620_003:0197c13	中丞。出鎮錢塘。往候興教小壽禪師。至湖上去騶從。	中 丞 出 鎮 錢 塘 往 候 興 教 小 壽 禪 師 至 湖 上 去 騶 從 
X87n1620_003:0197c14	獨步登寢室。壽方負暄毳衣自若。忽見之。問曰。官人	獨 步 登 寢 室 壽 方 負 暄 毳 衣 自 若 忽 見 之 問 曰 官 人 
X87n1620_003:0197c15	何姓。公曰隨姓。王即拜之。壽推蒲團藉地而坐。語笑	何 姓 公 曰 隨 姓 王 即 拜 之 壽 推 蒲 團 藉 地 而 坐 語 笑 
X87n1620_003:0197c16	終日而去。他日公復至。寺眾橫撞大鐘。萬指出迎。而	終 日 而 去 他 日 公 復 至 寺 眾 橫 撞 大 鐘 萬 指 出 迎 而 
X87n1620_003:0197c17	壽前趨。立於松下。公望見。出輿握其手曰。何不如前	壽 前 趨 立 於 松 下 公 望 見 出 輿 握 其 手 曰 何 不 如 前 
X87n1620_003:0197c18	日相見。而遽為此禮數耶。壽顧左右。且行且言曰。中	日 相 見 而 遽 為 此 禮 數 耶 壽 顧 左 右 且 行 且 言 曰 中 
X87n1620_003:0197c19	丞即得。奈知事瞋何。公與楊大年。皆號參禪有得者。	丞 即 得 奈 知 事 瞋 何 公 與 楊 大 年 皆 號 參 禪 有 得 者 
X87n1620_003:0197c20	大年編次傳燈錄三十卷。公刪去其繁。為十五卷。曰	大 年 編 次 傳 燈 錄 三 十 卷 公 刪 去 其 繁 為 十 五 卷 曰 
X87n1620_003:0197c21	玉英集。公臨終書偈曰。畵堂燈已滅。彈指向誰說。去	玉 英 集 公 臨 終 書 偈 曰 畵 堂 燈 已 滅 彈 指 向 誰 說 去 
X87n1620_003:0197c22	住本尋常。春風掃殘雪。	住 本 尋 常 春 風 掃 殘 雪 
X87n1620_003:0197c23	宋夏竦(嗣法谷隱聰)	宋 夏 竦 嗣 法 谷 隱 聰 
X87n1620_003:0197c24	夏竦。字子喬。德安人。皇祐中。參知政事。公於谷隱聰	夏 竦 字 子 喬 德 安 人 皇 祐 中 參 知 政 事 公 於 谷 隱 聰 
X87n1620_003:0198a01	禪師。因語契機。日與老衲遊。偶上藍溥禪師至。公問。	禪 師 因 語 契 機 日 與 老 衲 遊 偶 上 藍 溥 禪 師 至 公 問 
X87n1620_003:0198a02	百骸潰散時。那箇是長老自家底。溥曰。前月二十離	百 骸 潰 散 時 那 箇 是 長 老 自 家 底 溥 曰 前 月 二 十 離 
X87n1620_003:0198a03	蘄陽。公休去。溥却問。百骸潰散時。那個是相公自家	蘄 陽 公 休 去 溥 却 問 百 骸 潰 散 時 那 個 是 相 公 自 家 
X87n1620_003:0198a04	底。公便喝。溥曰。喝則不無。畢竟那箇是相公自家底。	底 公 便 喝 溥 曰 喝 則 不 無 畢 竟 那 箇 是 相 公 自 家 底 
X87n1620_003:0198a05	公答偈曰。休認風前第一機。太空何處著思惟。山僧	公 答 偈 曰 休 認 風 前 第 一 機 太 空 何 處 著 思 惟 山 僧 
X87n1620_003:0198a06	若要通消息。萬里無雲月上時。溥曰。也是弄精魂。	若 要 通 消 息 萬 里 無 雲 月 上 時 溥 曰 也 是 弄 精 魂 
X87n1620_003:0198a07	宋節使李端愿(嗣法金山頴)	宋 節 使 李 端 愿 嗣 法 金 山 頴 
X87n1620_003:0198a08	節使李端愿居士。兒時在館舍。常閱禪書。長雖婚宦。	節 使 李 端 愿 居 士 兒 時 在 館 舍 常 閱 禪 書 長 雖 婚 宦 
X87n1620_003:0198a09	然篤志祖道。遂於後圃築室。類蘭若。邀達觀處之。朝	然 篤 志 祖 道 遂 於 後 圃 築 室 類 蘭 若 邀 達 觀 處 之 朝 
X87n1620_003:0198a10	夕咨參。至忘寢食。達觀一日視公曰。非示現力。豈致	夕 咨 參 至 忘 寢 食 達 觀 一 日 視 公 曰 非 示 現 力 豈 致 
X87n1620_003:0198a11	爾哉。奈無箇所入何。公問曰。天堂地獄。畢竟是有是	爾 哉 奈 無 箇 所 入 何 公 問 曰 天 堂 地 獄 畢 竟 是 有 是 
X87n1620_003:0198a12	無。請師明說。達觀曰。諸佛向無中說有。眼見空花。太	無 請 師 明 說 達 觀 曰 諸 佛 向 無 中 說 有 眼 見 空 花 太 
X87n1620_003:0198a13	尉就有裏尋無。手[據豕+旦]水月。堪笑眼前見牢獄不避。心	尉 就 有 裏 尋 無 手 [據豕旦] 水 月 堪 笑 眼 前 見 牢 獄 不 避 心 
X87n1620_003:0198a14	外聞天堂欲生。殊不知忻怖在心。善惡成境。太尉但	外 聞 天 堂 欲 生 殊 不 知 忻 怖 在 心 善 惡 成 境 太 尉 但 
X87n1620_003:0198a15	了自心。自然無惑。公曰。心如何了。達觀曰。善惡都莫	了 自 心 自 然 無 惑 公 曰 心 如 何 了 達 觀 曰 善 惡 都 莫 
X87n1620_003:0198a16	思量。公曰。不思量後。心歸何所。達觀曰。且請太尉歸	思 量 公 曰 不 思 量 後 心 歸 何 所 達 觀 曰 且 請 太 尉 歸 
X87n1620_003:0198a17	宅。公曰。祇如人死後。心歸何所。達觀曰。未知生。焉知	宅 公 曰 祇 如 人 死 後 心 歸 何 所 達 觀 曰 未 知 生 焉 知 
X87n1620_003:0198a18	死。公曰。生則某已知之。達觀曰。生從何來。公罔措。達	死 公 曰 生 則 某 已 知 之 達 觀 曰 生 從 何 來 公 罔 措 達 
X87n1620_003:0198a19	觀起揕其胸曰。祇在這裡。更擬思量個甚麼。公曰。會	觀 起 揕 其 胸 曰 祇 在 這 裡 更 擬 思 量 個 甚 麼 公 曰 會 
X87n1620_003:0198a20	得也。達觀曰。作麼生會。公曰。祇知貪程。不覺蹉路。達	得 也 達 觀 曰 作 麼 生 會 公 曰 祇 知 貪 程 不 覺 蹉 路 達 
X87n1620_003:0198a21	觀拓開曰。百年一夢。今朝方省。既而說偈曰。三十八	觀 拓 開 曰 百 年 一 夢 今 朝 方 省 既 而 說 偈 曰 三 十 八 
X87n1620_003:0198a22	歲。懵然無知。及其有知。何異無知。滔滔汴水。隱隱隋	歲 懵 然 無 知 及 其 有 知 何 異 無 知 滔 滔 汴 水 隱 隱 隋 
X87n1620_003:0198a23	堤。師其歸矣。箭浪東馳。	堤 師 其 歸 矣 箭 浪 東 馳 
X87n1620_003:0198a24	宋太傅高世則(嗣法芙蓉楷)	宋 太 傅 高 世 則 嗣 法 芙 蓉 楷 
X87n1620_003:0198b01	太傅高世則。字仲貽。號無功。初參芙蓉楷禪師。求指	太 傅 高 世 則 字 仲 貽 號 無 功 初 參 芙 蓉 楷 禪 師 求 指 
X87n1620_003:0198b02	心要。芙蓉令去其所重。扣己而參。一日忽造微密。呈	心 要 芙 蓉 令 去 其 所 重 扣 己 而 參 一 日 忽 造 微 密 呈 
X87n1620_003:0198b03	偈曰。懸崖撒手任縱橫。大地虗空自坦平。照壑輝巖	偈 曰 懸 崖 撒 手 任 縱 橫 大 地 虗 空 自 坦 平 照 壑 輝 巖 
X87n1620_003:0198b04	不借月。菴頭別有一簾明。	不 借 月 菴 頭 別 有 一 簾 明 
X87n1620_003:0198b05	宋太守許式(嗣法洞山聰)	宋 太 守 許 式 嗣 法 洞 山 聰 
X87n1620_003:0198b06	許式。洪州太守。參洞山聰禪師。得正法眼。一日與泐	許 式 洪 州 太 守 參 洞 山 聰 禪 師 得 正 法 眼 一 日 與 泐 
X87n1620_003:0198b07	潭澄。上藍溥坐次。泐潭問曰。聞郎中道。夜坐連雲石。	潭 澄 上 藍 溥 坐 次 泐 潭 問 曰 聞 郎 中 道 夜 坐 連 雲 石 
X87n1620_003:0198b08	春栽帶雨松。當時答洞山甚麼話。公曰。今日放衙蚤。	春 栽 帶 雨 松 當 時 答 洞 山 甚 麼 話 公 曰 今 日 放 衙 蚤 
X87n1620_003:0198b09	泐潭曰。聞答泗州大聖在揚州出現底。是否。公曰。別	泐 潭 曰 聞 答 泗 州 大 聖 在 揚 州 出 現 底 是 否 公 曰 別 
X87n1620_003:0198b10	點茶來。泐潭曰。名不虗傳。公曰。和尚蚤晚回山。泐潭	點 茶 來 泐 潭 曰 名 不 虗 傳 公 曰 和 尚 蚤 晚 回 山 泐 潭 
X87n1620_003:0198b11	曰。今日被上藍覷破。上藍便喝。泐潭曰。須是你始得。	曰 今 日 被 上 藍 覷 破 上 藍 便 喝 泐 潭 曰 須 是 你 始 得 
X87n1620_003:0198b12	公曰。不奈船何。打破戽斗。公入上藍僧堂。問首座。年	公 曰 不 奈 船 何 打 破 戽 斗 公 入 上 藍 僧 堂 問 首 座 年 
X87n1620_003:0198b13	多少。曰六十八。公曰。僧臘多少。曰四十七夏。公曰。聖	多 少 曰 六 十 八 公 曰 僧 臘 多 少 曰 四 十 七 夏 公 曰 聖 
X87n1620_003:0198b14	僧得幾夏。曰與虗空齊受戒。公拍板頭曰。下官喫飯。	僧 得 幾 夏 曰 與 虗 空 齊 受 戒 公 拍 板 頭 曰 下 官 喫 飯 
X87n1620_003:0198b15	不似首座喫鹽多(附記。許式。漕西蜀時。謁廣慧璉。適接見於佛前。公曰。先拜佛。先拜長	不 似 首 座 喫 鹽 多 附 記 許 式 漕 西 蜀 時 謁 廣 慧 璉 適 接 見 於 佛 前 公 曰 先 拜 佛 先 拜 長 
X87n1620_003:0198b16	老。廣慧曰。蝦蟇吞大蟲。公曰。恁麼則總不拜去也。廣慧曰。運使話墮。公曰。許長老具一隻眼。廣慧以衣袖便拂	老 廣 慧 曰 蝦 蟇 吞 大 蟲 公 曰 恁 麼 則 總 不 拜 去 也 廣 慧 曰 運 使 話 墮 公 曰 許 長 老 具 一 隻 眼 廣 慧 以 衣 袖 便 拂 
X87n1620_003:0198b17	許曰。今日看破。便禮拜)。	許 曰 今 日 看 破 便 禮 拜 
X87n1620_003:0198b18	宋修撰曾會(嗣法雪竇顯)	宋 修 撰 曾 會 嗣 法 雪 竇 顯 
X87n1620_003:0198b19	曾會。字宗元。官翰林學士。公幼與明覺顯禪師同舍。	曾 會 字 宗 元 官 翰 林 學 士 公 幼 與 明 覺 顯 禪 師 同 舍 
X87n1620_003:0198b20	及冠異途。天禧間。公守池州。一旦會于景德寺。公遂	及 冠 異 途 天 禧 間 公 守 池 州 一 旦 會 于 景 德 寺 公 遂 
X87n1620_003:0198b21	引中庸大學。參以楞嚴。符宗門語句。質明覺。明覺曰。	引 中 庸 大 學 參 以 楞 嚴 符 宗 門 語 句 質 明 覺 明 覺 曰 
X87n1620_003:0198b22	這箇尚不與教乘合。況中庸大學耶。學士要徑捷理	這 箇 尚 不 與 教 乘 合 況 中 庸 大 學 耶 學 士 要 徑 捷 理 
X87n1620_003:0198b23	會此事。乃彈指一下曰。但恁麼薦取。公於言下領旨。	會 此 事 乃 彈 指 一 下 曰 但 恁 麼 薦 取 公 於 言 下 領 旨 
X87n1620_003:0198b24	天聖初。公守四明。以書幣迎師。補雪竇。既至。公曰。某	天 聖 初 公 守 四 明 以 書 幣 迎 師 補 雪 竇 既 至 公 曰 某 
X87n1620_003:0198c01	近與清長老。商量勘婆子話。未審端的有勘破處也	近 與 清 長 老 商 量 勘 婆 子 話 未 審 端 的 有 勘 破 處 也 
