T30n1569_001:0167c11	百論序	百 論 序 
T30n1569_002:0175a07	瓶異。則瓶不為一。一無故多亦無。外曰。瓶	瓶 異 則 瓶 不 為 一 一 無 故 多 亦 無 外 曰 瓶 
T30n1569_002:0175a08	與有合故(修妬路)。瓶與有合故瓶名有。非盡	與 有 合 故 修 妬 路 瓶 與 有 合 故 瓶 名 有 非 盡 
T30n1569_002:0175a09	有。如是瓶與一合故瓶名一。非盡一。內曰。	有 如 是 瓶 與 一 合 故 瓶 名 一 非 盡 一 內 曰 
T30n1569_002:0175a10	但有是語。此事先已破。若有非瓶則無瓶。	但 有 是 語 此 事 先 已 破 若 有 非 瓶 則 無 瓶 
T30n1569_002:0175a11	今當更說瓶應非瓶(修妬路)。若瓶與有合故	今 當 更 說 瓶 應 非 瓶 修 妬 路 若 瓶 與 有 合 故 
T30n1569_002:0175a12	瓶有。是有非瓶。若瓶與非瓶合者。瓶何以	瓶 有 是 有 非 瓶 若 瓶 與 非 瓶 合 者 瓶 何 以 
T30n1569_002:0175a13	不作非瓶。外曰。無無合故非非瓶(修妬路)。非	不 作 非 瓶 外 曰 無 無 合 故 非 非 瓶 修 妬 路 非 
T30n1569_002:0175a14	瓶名無瓶。無則無合。是故瓶不作非瓶。今	瓶 名 無 瓶 無 則 無 合 是 故 瓶 不 作 非 瓶 今 
T30n1569_002:0175a15	有有故應有合。有合故瓶有。內曰。今有合	有 有 故 應 有 合 有 合 故 瓶 有 內 曰 今 有 合 
T30n1569_002:0175a16	瓶故(修妬路)。若非瓶則無有。無有則無合。今	瓶 故 修 妬 路 若 非 瓶 則 無 有 無 有 則 無 合 今 
T30n1569_002:0175a17	有合瓶故有應為瓶。若汝謂瓶未與有合	有 合 瓶 故 有 應 為 瓶 若 汝 謂 瓶 未 與 有 合 
T30n1569_002:0175a18	故無。無故無合。如先說。無法故無合。如是	故 無 無 故 無 合 如 先 說 無 法 故 無 合 如 是 
T30n1569_002:0175a19	未與有合時瓶則無法。無法故不應與有	未 與 有 合 時 瓶 則 無 法 無 法 故 不 應 與 有 
T30n1569_002:0175a20	合。外曰。不然。有了瓶等故如燈(修妬路)。有	合 外 曰 不 然 有 了 瓶 等 故 如 燈 修 妬 路 有 
T30n1569_002:0175a21	非但瓶等諸物因。亦能了瓶等諸物。譬如	非 但 瓶 等 諸 物 因 亦 能 了 瓶 等 諸 物 譬 如 
T30n1569_002:0175a22	燈能照諸物。如是有能了瓶故。則知有瓶。	燈 能 照 諸 物 如 是 有 能 了 瓶 故 則 知 有 瓶 
T30n1569_002:0175a23	內曰。若有法能了如燈。瓶應先有(修妬路)。今	內 曰 若 有 法 能 了 如 燈 瓶 應 先 有 修 妬 路 今 
T30n1569_002:0175a24	先有諸物然後以燈照了。有若如是者。有	先 有 諸 物 然 後 以 燈 照 了 有 若 如 是 者 有 
T30n1569_002:0175a25	未合時。瓶等諸物應先有。若先有者。後有	未 合 時 瓶 等 諸 物 應 先 有 若 先 有 者 後 有 
T30n1569_002:0175a26	何用若有未合時。無瓶等諸物。有合故有	何 用 若 有 未 合 時 無 瓶 等 諸 物 有 合 故 有 
T30n1569_002:0175a27	者。有是作因。非了因。復次若以相可相成。	者 有 是 作 因 非 了 因 復 次 若 以 相 可 相 成 
T30n1569_002:0175a28	何故一不作二(修妬路)。若汝以有為瓶相故。	何 故 一 不 作 二 修 妬 路 若 汝 以 有 為 瓶 相 故 
T30n1569_002:0175a29	知有瓶者。若離相可相之物則不成。是故	知 有 瓶 者 若 離 相 可 相 之 物 則 不 成 是 故 
T30n1569_002:0175b01	有亦變更有相。若更無相知有法為有者。	有 亦 變 更 有 相 若 更 無 相 知 有 法 為 有 者 
T30n1569_002:0175b02	瓶等亦應爾。燈喻先已破。復次如燈自照。	瓶 等 亦 應 爾 燈 喻 先 已 破 復 次 如 燈 自 照 
T30n1569_002:0175b03	不假外照。瓶亦自有。不待外有。外曰。如	不 假 外 照 瓶 亦 自 有 不 待 外 有 外 曰 如 
T30n1569_002:0175b04	身相(修妬路)。如以足分知有分為身足更不	身 相 修 妬 路 如 以 足 分 知 有 分 為 身 足 更 不 
T30n1569_002:0175b05	求相。如是以有為瓶相故知有瓶有更	求 相 如 是 以 有 為 瓶 相 故 知 有 瓶 有 更 
T30n1569_002:0175b06	不求相。內曰。若分中有分具者。何故頭中	不 求 相 內 曰 若 分 中 有 分 具 者 何 故 頭 中 
T30n1569_002:0175b07	無足(修妬路)。若有身法。於足分等中。為具有	無 足 修 妬 路 若 有 身 法 於 足 分 等 中 為 具 有 
T30n1569_002:0175b08	耶。為分有耶。若具有者。頭中應有足。身法	耶 為 分 有 耶 若 具 有 者 頭 中 應 有 足 身 法 
T30n1569_002:0175b09	一故。若分有者。亦不然。何以故。有分如分	一 故 若 分 有 者 亦 不 然 何 以 故 有 分 如 分 
T30n1569_002:0175b10	(修妬路)。若足中有分與足分等。餘分中亦爾者。	 修 妬 路 若 足 中 有 分 與 足 分 等 餘 分 中 亦 爾 者 
T30n1569_002:0175b11	則有分與分為一。是故無有有分名為身。	則 有 分 與 分 為 一 是 故 無 有 有 分 名 為 身 
T30n1569_002:0175b12	如是足分等自有有分亦同破。有分無故。	如 是 足 分 等 自 有 有 分 亦 同 破 有 分 無 故 
T30n1569_002:0175b13	諸分亦無。外曰。不然。微塵在故(修妬路)。諸分不	諸 分 亦 無 外 曰 不 然 微 塵 在 故 修 妬 路 諸 分 不 
T30n1569_002:0175b14	無。何以故。微塵無分。不在分中。微塵集	無 何 以 故 微 塵 無 分 不 在 分 中 微 塵 集 
T30n1569_002:0175b15	故。能生瓶等果。是故應有有分。內曰。若集	故 能 生 瓶 等 果 是 故 應 有 有 分 內 曰 若 集 
T30n1569_002:0175b16	為瓶一切瓶(修妬路)。汝言微塵無分。但有是	為 瓶 一 切 瓶 修 妬 路 汝 言 微 塵 無 分 但 有 是 
T30n1569_002:0175b17	語。後當破。今當略說。微塵集為瓶時。若	語 後 當 破 今 當 略 說 微 塵 集 為 瓶 時 若 
T30n1569_002:0175b18	都集為瓶。一切微塵盡應為瓶。若不都集	都 集 為 瓶 一 切 微 塵 盡 應 為 瓶 若 不 都 集 
T30n1569_002:0175b19	為瓶。一切非瓶。外曰。如縷渧集力。微塵	為 瓶 一 切 非 瓶 外 曰 如 縷 渧 集 力 微 塵 
T30n1569_002:0175b20	亦爾(修妬路)。如一一縷。不能制象。一一水渧。	亦 爾 修 妬 路 如 一 一 縷 不 能 制 象 一 一 水 渧 
T30n1569_002:0175b21	不能滿瓶。多集則能。如是。微塵集故。力能	不 能 滿 瓶 多 集 則 能 如 是 微 塵 集 故 力 能 
T30n1569_002:0175b22	為瓶。內曰。不然。不定故(修妬路)。譬如一一石女。	為 瓶 內 曰 不 然 不 定 故 修 妬 路 譬 如 一 一 石 女 
T30n1569_002:0175b23	不能有子。一一盲人。不能見色。一一沙。	不 能 有 子 一 一 盲 人 不 能 見 色 一 一 沙 
T30n1569_002:0175b24	不能出油。多集亦不能。如是微塵。一一不	不 能 出 油 多 集 亦 不 能 如 是 微 塵 一 一 不 
T30n1569_002:0175b25	能。多亦不能。外曰。分分有力。故非不定	能 多 亦 不 能 外 曰 分 分 有 力 故 非 不 定 
T30n1569_002:0175b26	(修妬路)。縷渧分分有力能制象。滿瓶。石女盲	 修 妬 路 縷 渧 分 分 有 力 能 制 象 滿 瓶 石 女 盲 
T30n1569_002:0175b27	沙。分分無力故。多亦無力。是故非不定。不	沙 分 分 無 力 故 多 亦 無 力 是 故 非 不 定 不 
T30n1569_002:0175b28	應以石女盲沙為喻。內曰。分有分一異過	應 以 石 女 盲 沙 為 喻 內 曰 分 有 分 一 異 過 
T30n1569_002:0175b29	故(修妬路)。分有分。若一若異。是過先已破。復次	故 修 妬 路 分 有 分 若 一 若 異 是 過 先 已 破 復 次 
T30n1569_002:0175c01	有分無故分亦無。若有分未有時。分不可	有 分 無 故 分 亦 無 若 有 分 未 有 時 分 不 可 
T30n1569_002:0175c02	得。云何有作力。若有分已有者。分力何用。	得 云 何 有 作 力 若 有 分 已 有 者 分 力 何 用 
T30n1569_002:0175c03	外曰。汝是破法人(修妬路)。世人盡見瓶等諸物。	外 曰 汝 是 破 法 人 修 妬 路 世 人 盡 見 瓶 等 諸 物 
T30n1569_002:0175c04	汝種種因緣破。是故汝為破法人。內曰。不	汝 種種因緣 破 是 故 汝 為 破 法 人 內 曰 不 
T30n1569_002:0175c05	然。汝言有與瓶異。我說若有與瓶異。是則	然 汝 言 有 與 瓶 異 我 說 若 有 與 瓶 異 是 則 
T30n1569_002:0175c06	無瓶。復次無見有有見無等(修妬路)。汝與破法	無 瓶 復 次 無 見 有 有 見 無 等 修 妬 路 汝 與 破 法 
T30n1569_002:0175c07	人同。乃復過甚。何以故。頭足分等和合現	人 同 乃 復 過 甚 何 以 故 頭 足 分 等 和 合 現 
T30n1569_002:0175c08	是身。汝言非身離是已別有有分為身。復	是 身 汝 言 非 身 離 是 已 別 有 有 分 為 身 復 
T30n1569_002:0175c09	次輪軸等和合現為車。汝言離是已別有	次 輪 軸 等 和 合 現 為 車 汝 言 離 是 已 別 有 
T30n1569_002:0175c10	車。是故汝為妄語人。◎	車 是 故 汝 為 妄 語 人 
T30n1569_002:0175c11	◎破情品第五	 破 情 品 第 五 
T30n1569_002:0175c12	外曰。定有我所有法現前有故(修妬路)。情塵意	外 曰 定 有 我 所 有 法 現 前 有 故 修 妬 路 情 塵 意 
T30n1569_002:0175c13	合故知生。此知是現前知。是知實有故。情塵	合 故 知 生 此 知 是 現 前 知 是 知 實 有 故 情 塵 
T30n1569_002:0175c14	意有。內曰。見色已。知生何用(修妬路)。若眼先見	意 有 內 曰 見 色 已 知 生 何 用 修 妬 路 若 眼 先 見 
T30n1569_002:0175c15	色。然後知生者。知復何用。若先知生。然後	色 然 後 知 生 者 知 復 何 用 若 先 知 生 然 後 
T30n1569_002:0175c16	眼見色者。是亦不然。何以故。若不見色	眼 見 色 者 是 亦 不 然 何 以 故 若 不 見 色 
T30n1569_002:0175c17	因緣無故生亦無(修妬路)。若眼先不見色。則因	因 緣 無 故 生 亦 無 修 妬 路 若 眼 先 不 見 色 則 因 
T30n1569_002:0175c18	緣不合。不合故知不應生。汝言情塵意合	緣 不 合 不 合 故 知 不 應 生 汝 言 情 塵 意 合 
T30n1569_002:0175c19	故知生。若不合時知生者。是則不然。外曰。	故 知 生 若 不 合 時 知 生 者 是 則 不 然 外 曰 
T30n1569_002:0175c20	若一時生有何過。內曰。若一時生。是事不	若 一 時 生 有 何 過 內 曰 若 一 時 生 是 事 不 
T30n1569_002:0175c21	然。生無生共不一時生。有故無故。先已破	然 生 無 生 共 不 一 時 生 有 故 無 故 先 已 破 
T30n1569_002:0175c22	故(修妬路)。若見知先有。相待一時生。若先無。若	故 修 妬 路 若 見 知 先 有 相 待 一 時 生 若 先 無 若 
T30n1569_002:0175c23	先半有半無。於三中。一時生者。是則不然。	先 半 有 半 無 於 三 中 一 時 生 者 是 則 不 然 
T30n1569_002:0175c24	何以故。若先有見知者。不應更生。以有	何 以 故 若 先 有 見 知 者 不 應 更 生 以 有 
T30n1569_002:0175c25	故。若先無者。亦不應生。以無故。若無者。則	故 若 先 無 者 亦 不 應 生 以 無 故 若 無 者 則 
T30n1569_002:0175c26	無相待。亦無生。若半有半無者。前二修妬	無 相 待 亦 無 生 若 半 有 半 無 者 前 二 修 妬 
T30n1569_002:0175c27	路各已破故。復次一法云何亦有亦無。復次	路 各 已 破 故 復 次 一 法 云 何 亦 有 亦 無 復 次 
T30n1569_002:0175c28	若一時生。知不待見。見不待知。復次眼	若 一 時 生 知 不 待 見 見 不 待 知 復 次 眼 
T30n1569_002:0175c29	為到色見耶。為不到色見耶若眼去。遠	為 到 色 見 耶 為 不 到 色 見 耶 若 眼 去 遠 
T30n1569_002:0176a01	遲見(修妬路)。若眼去到色乃見者。遠色應遲見。	遲 見 修 妬 路 若 眼 去 到 色 乃 見 者 遠 色 應 遲 見 
T30n1569_002:0176a02	近色應速見。何以故去法爾故。而今近瓶遠	近 色 應 速 見 何 以 故 去 法 爾 故 而 今 近 瓶 遠 
T30n1569_002:0176a03	月一時見。是故知眼不去。若不去則無和	月 一 時 見 是 故 知 眼 不 去 若 不 去 則 無 和 
T30n1569_002:0176a04	合。復次若眼力不到色。而見色者。何故見	合 復 次 若 眼 力 不 到 色 而 見 色 者 何 故 見 
T30n1569_002:0176a05	近不見遠遠近應一時見。復次眼設去者。	近 不 見 遠 遠 近 應 一 時 見 復 次 眼 設 去 者 
T30n1569_002:0176a06	為見已去耶。為不見去耶。若見已去。復	為 見 已 去 耶 為 不 見 去 耶 若 見 已 去 復 
T30n1569_002:0176a07	何用(修妬路)。若眼先見色。事已辨去。復何用。若	何 用 修 妬 路 若 眼 先 見 色 事 已 辨 去 復 何 用 若 
T30n1569_002:0176a08	不見去。不如意所取(修妬路)。若眼先不見色	不 見 去 不 如 意 所 取 修 妬 路 若 眼 先 不 見 色 
T30n1569_002:0176a09	而去者。如意所取則不能取。眼無知故。	而 去 者 如 意 所 取 則 不 能 取 眼 無 知 故 
T30n1569_002:0176a10	趣東則西。復次無眼處亦不取(修妬路)。若眼去	趣 東 則 西 復 次 無 眼 處 亦 不 取 修 妬 路 若 眼 去 
T30n1569_002:0176a11	到色而取色者。身則無眼。身無眼故。此則	到 色 而 取 色 者 身 則 無 眼 身 無 眼 故 此 則 
T30n1569_002:0176a12	無取。若眼不去。而取色者。色則無眼。色無	無 取 若 眼 不 去 而 取 色 者 色 則 無 眼 色 無 
T30n1569_002:0176a13	眼故。彼亦無取。復次若眼不去。而取色者。	眼 故 彼 亦 無 取 復 次 若 眼 不 去 而 取 色 者 
T30n1569_002:0176a14	應見天上色。及障外色。然不見。是故此事	應 見 天 上 色 及 障 外 色 然 不 見 是 故 此 事 
T30n1569_002:0176a15	非也。外曰。眼相見故(修妬路)。見是眼相。於緣	非 也 外 曰 眼 相 見 故 修 妬 路 見 是 眼 相 於 緣 
T30n1569_002:0176a16	中有力能取。性自爾故。內曰。若眼見相自	中 有 力 能 取 性 自 爾 故 內 曰 若 眼 見 相 自 
T30n1569_002:0176a17	見眼(修妬路)。若眼見相。如火熱相。自熱能令他	見 眼 修 妬 路 若 眼 見 相 如 火 熱 相 自 熱 能 令 他 
T30n1569_002:0176a18	熱。如是眼若見相應自見眼。然不見。是故	熱 如 是 眼 若 見 相 應 自 見 眼 然 不 見 是 故 
T30n1569_002:0176a19	眼非見相。外曰。如指(修妬路)。眼雖見相。不自	眼 非 見 相 外 曰 如 指 修 妬 路 眼 雖 見 相 不 自 
T30n1569_002:0176a20	見眼。如指端不能自觸。如是眼雖見相。	見 眼 如 指 端 不 能 自 觸 如 是 眼 雖 見 相 
T30n1569_002:0176a21	不能自見。內曰。不然。觸指業故(修妬路)。觸是	不 能 自 見 內 曰 不 然 觸 指 業 故 修 妬 路 觸 是 
T30n1569_002:0176a22	指業非指相。汝言見是眼相者。何不自見	指 業 非 指 相 汝 言 見 是 眼 相 者 何 不 自 見 
T30n1569_002:0176a23	眼。是故指喻非也。外曰。光意去故見色	眼 是 故 指 喻 非 也 外 曰 光 意 去 故 見 色 
T30n1569_002:0176a24	(修妬路)。眼光及意去故。到彼能取色。內曰。若意	 修 妬 路 眼 光 及 意 去 故 到 彼 能 取 色 內 曰 若 意 
T30n1569_002:0176a25	去到色。此無覺(修妬路)。意若到色者。意則在	去 到 色 此 無 覺 修 妬 路 意 若 到 色 者 意 則 在 
T30n1569_002:0176a26	彼。意若在彼。身則無意。猶如死人。然意實	彼 意 若 在 彼 身 則 無 意 猶 如 死 人 然 意 實 
T30n1569_002:0176a27	不去。遠近一時取故。雖念過去未來。念不	不 去 遠 近 一 時 取 故 雖 念 過去未來 念 不 
T30n1569_002:0176a28	在過去未來。念時不去故。外曰意在身	在 過去未來 念 時 不 去 故 外 曰 意 在 身 
T30n1569_002:0176a29	(修妬路)。意雖在身。而能遠知。內曰。若爾不合	 修 妬 路 意 雖 在 身 而 能 遠 知 內 曰 若 爾 不 合 
T30n1569_002:0176b01	(修妬路)。若意在身。而色在彼。色在彼故。則無	 修 妬 路 若 意 在 身 而 色 在 彼 色 在 彼 故 則 無 
T30n1569_002:0176b02	和合。若無和合。不能取色。外曰。不然。意	和 合 若 無 和 合 不 能 取 色 外 曰 不 然 意 
T30n1569_002:0176b03	光色合故見(修妬路)。眼意在身和合。以意力故。	光 色 合 故 見 修 妬 路 眼 意 在 身 和 合 以 意 力 故 
T30n1569_002:0176b04	令眼光與色合。如是見色。是故不失和	令 眼 光 與 色 合 如 是 見 色 是 故 不 失 和 
T30n1569_002:0176b05	合。內曰。若和合故見生無見者(修妬路)。汝謂	合 內 曰 若 和 合 故 見 生 無 見 者 修 妬 路 汝 謂 
T30n1569_002:0176b06	和合故見色。若言但眼見色。但意取色者。	和 合 故 見 色 若 言 但 眼 見 色 但 意 取 色 者 
T30n1569_002:0176b07	是事不然。外曰。受和合故取色成(修妬路)。汝	是 事 不 然 外 曰 受 和 合 故 取 色 成 修 妬 路 汝 
T30n1569_002:0176b08	受和合。則有和合。若有和合。應有取色。	受 和 合 則 有 和 合 若 有 和 合 應 有 取 色 
T30n1569_002:0176b09	內曰。意非見。眼非知。色非見知。云何見	內 曰 意 非 見 眼 非 知 色 非 見 知 云 何 見 
T30n1569_002:0176b10	(修妬路)。意異眼故。意非見相。非見相故。不能	 修 妬 路 意 異 眼 故 意 非 見 相 非 見 相 故 不 能 
T30n1569_002:0176b11	見眼。四大造故。非知相。非知相故。不能	見 眼 四 大 造 故 非 知 相 非 知 相 故 不 能 
T30n1569_002:0176b12	知色。亦非見相。亦非知相。如是雖復和	知 色 亦 非 見 相 亦 非 知 相 如 是 雖 復 和 
T30n1569_002:0176b13	合。云何取色。耳鼻舌身亦如是破。	合 云 何 取 色 耳 鼻 舌 身 亦 如 是 破 
T30n1569_002:0176b14	破塵品第六	破 塵 品 第 六 
T30n1569_002:0176b15	外曰。應有情瓶等可取故(修妬路)。今現見瓶等	外 曰 應 有 情 瓶 等 可 取 故 修 妬 路 今 現 見 瓶 等 
T30n1569_002:0176b16	諸物可取故。若諸情不能取諸塵。當用	諸 物 可 取 故 若 諸 情 不 能 取 諸 塵 當 用 
T30n1569_002:0176b17	何等取。是故知有情能取瓶等諸物。內曰。	何 等 取 是 故 知 有 情 能 取 瓶 等 諸 物 內 曰 
T30n1569_002:0176b18	非獨色是瓶。是故瓶非現見(修妬路)。瓶中色現	非 獨 色 是 瓶 是 故 瓶 非 現 見 修 妬 路 瓶 中 色 現 
T30n1569_002:0176b19	可見。香等不可見。不獨色為瓶。香等合	可 見 香 等 不 可 見 不 獨 色 為 瓶 香 等 合 
T30n1569_002:0176b20	為瓶。瓶若現可見者。香等亦應現可見。而	為 瓶 瓶 若 現 可 見 者 香 等 亦 應 現 可 見 而 
T30n1569_002:0176b21	不可見。是故瓶非現見。外曰。取分故一切	不 可 見 是 故 瓶 非 現 見 外 曰 取 分 故 一 切 
T30n1569_002:0176b22	取信故(修妬路)。瓶一分可見故瓶名現見。何以	取 信 故 修 妬 路 瓶 一 分 可 見 故 瓶 名 現 見 何 以 
T30n1569_002:0176b23	故。人見瓶已信知我見是瓶。內曰。若取分	故 人 見 瓶 已 信 知 我 見 是 瓶 內 曰 若 取 分 
T30n1569_002:0176b24	不一切取(修妬路)。瓶一分色可見。香分等不可	不 一 切 取 修 妬 路 瓶 一 分 色 可 見 香 分 等 不 可 
T30n1569_002:0176b25	見今分不作有分。若分作有分者。香等諸	見 今 分 不 作 有 分 若 分 作 有 分 者 香 等 諸 
T30n1569_002:0176b26	分亦應可見。是故瓶非盡可見。是事如破	分 亦 應 可 見 是 故 瓶 非 盡 可 見 是 事 如 破 
T30n1569_002:0176b27	一破異中說。外曰。有瓶可見。受色現可	一 破 異 中 說 外 曰 有 瓶 可 見 受 色 現 可 
T30n1569_002:0176b28	見故(修妬路)。汝受色現見故。瓶亦應現見。內	見 故 修 妬 路 汝 受 色 現 見 故 瓶 亦 應 現 見 內 
T30n1569_002:0176b29	曰。若此分現見。彼分不現見(修妬路)。汝謂色現	曰 若 此 分 現 見 彼 分 不 現 見 修 妬 路 汝 謂 色 現 
T30n1569_002:0176c01	見。是事不然。色有形故。彼分中分不現見。	見 是 事 不 然 色 有 形 故 彼 分 中 分 不 現 見 
T30n1569_002:0176c02	以此分障故。彼分亦如是復次如前若收	以 此 分 障 故 彼 分 亦 如 是 復 次 如 前 若 收 
T30n1569_002:0176c03	分不一切取彼應答此。外曰。微塵無分故	分 不 一 切 取 彼 應 答 此 外 曰 微 塵 無 分 故 
T30n1569_002:0176c04	不盡破(修妬路)。微塵無分故。一切現見。有何	不 盡 破 修 妬 路 微 塵 無 分 故 一 切 現 見 有 何 
T30n1569_002:0176c05	過。內曰。微塵非現見(修妬路)。汝經言。微塵非	過 內 曰 微 塵 非 現 見 修 妬 路 汝 經 言 微 塵 非 
T30n1569_002:0176c06	現見。是故不能成現見法。若微塵亦現見。	現 見 是 故 不 能 成 現 見 法 若 微 塵 亦 現 見 
T30n1569_002:0176c07	與色同破。外曰。瓶應現見。世人信故(修妬路)。	與 色 同 破 外 曰 瓶 應 現 見 世 人 信 故 修 妬 路 
T30n1569_002:0176c08	世人盡信瓶是現見有用故。內曰。現見無	世 人 盡 信 瓶 是 現 見 有 用 故 內 曰 現 見 無 
T30n1569_002:0176c09	非瓶無(修妬路)。汝謂若不現見瓶。是時無瓶	非 瓶 無 修 妬 路 汝 謂 若 不 現 見 瓶 是 時 無 瓶 
T30n1569_002:0176c10	者。是事不然。瓶雖不現見非無瓶。是故瓶	者 是 事 不 然 瓶 雖 不 現 見 非 無 瓶 是 故 瓶 
T30n1569_002:0176c11	非現見外曰。眼合故無過(修妬路)。瓶雖現見相	非 現 見 外 曰 眼 合 故 無 過 修 妬 路 瓶 雖 現 見 相 
T30n1569_002:0176c12	眼未會時人自不見。是瓶非不現見相。內	眼 未 會 時 人 自 不 見 是 瓶 非 不 現 見 相 內 
T30n1569_002:0176c13	曰。如現見生無有亦非實(修妬路)。若瓶未與眼	曰 如 現 見 生 無 有 亦 非 實 修 妬 路 若 瓶 未 與 眼 
T30n1569_002:0176c14	合時未有異相。後見時有少異相生者。當	合 時 未 有 異 相 後 見 時 有 少 異 相 生 者 當 
T30n1569_002:0176c15	知此瓶現見相生今實無異相生。是故現見	知 此 瓶 現 見 相 生 今 實 無 異 相 生 是 故 現 見 
T30n1569_002:0176c16	相不生。如現見相生無瓶有亦無。外曰。五	相 不 生 如 現 見 相 生 無 瓶 有 亦 無 外 曰 五 
T30n1569_002:0176c17	身一分破。餘分有(修妬路)。五身是瓶。汝破一色。	身 一 分 破 餘 分 有 修 妬 路 五 身 是 瓶 汝 破 一 色 
T30n1569_002:0176c18	不破香等。今香等不破故應有塵。內曰。若	不 破 香 等 今 香 等 不 破 故 應 有 塵 內 曰 若 
T30n1569_002:0176c19	不一切觸云何色等合(修妬路)。汝言。五身為	不 一 切 觸 云 何 色 等 合 修 妬 路 汝 言 五 身 為 
T30n1569_002:0176c20	瓶。是語不然。何以故。色等一分是觸。餘分	瓶 是 語 不 然 何 以 故 色 等 一 分 是 觸 餘 分 
T30n1569_002:0176c21	非觸。云何觸不觸合。是故非五身為瓶。外	非 觸 云 何 觸 不 觸 合 是 故 非 五 身 為 瓶 外 
T30n1569_002:0176c22	曰。瓶合故(修妬路)。色分等各各不合。而色分等	曰 瓶 合 故 修 妬 路 色 分 等 各 各 不 合 而 色 分 等 
T30n1569_002:0176c23	與瓶合。內曰。異除云何瓶觸合(修妬路)。若瓶與	與 瓶 合 內 曰 異 除 云 何 瓶 觸 合 修 妬 路 若 瓶 與 
T30n1569_002:0176c24	觸異者。瓶則非觸。非觸云何與觸合。若除	觸 異 者 瓶 則 非 觸 非 觸 云 何 與 觸 合 若 除 
T30n1569_002:0176c25	色等。更無瓶法。若無瓶法。云何觸與瓶合。	色 等 更 無 瓶 法 若 無 瓶 法 云 何 觸 與 瓶 合 
T30n1569_002:0176c26	外曰。色應現見信經故(修妬路)。汝經言。色名	外 曰 色 應 現 見 信 經 故 修 妬 路 汝 經 言 色 名 
T30n1569_002:0176c27	四大。及四大造。造色分中。色入所攝。是現	四 大 及 四 大 造 造 色 分 中 色 入 所 攝 是 現 
T30n1569_002:0176c28	見。汝云何言無現見色。內曰。四大非眼見。	見 汝 云 何 言 無 現 見 色 內 曰 四 大 非 眼 見 
T30n1569_002:0176c29	云何生現見(修妬路)。地堅相。水濕相。火熱相。	云 何 生 現 見 修 妬 路 地 堅 相 水 濕 相 火 熱 相 
T30n1569_002:0177a01	風動相。是四大非眼見者。此所造色應非	風 動 相 是 四 大 非 眼 見 者 此 所 造 色 應 非 
T30n1569_002:0177a02	現見。外曰。身根取故四大有(修妬路)。今身根取	現 見 外 曰 身 根 取 故 四 大 有 修 妬 路 今 身 根 取 
T30n1569_002:0177a03	四大故四大有。是故火等諸物四大所造亦	四 大 故 四 大 有 是 故 火 等 諸 物 四 大 所 造 亦 
T30n1569_002:0177a04	應有。內曰。火中一切熱故(修妬路)。四大中但火是	應 有 內 曰 火 中 一 切 熱 故 修 妬 路 四 大 中 但 火 是 
T30n1569_002:0177a05	熱相。餘非熱相。今火中四大都是熱相。是故	熱 相 餘 非 熱 相 今 火 中 四 大 都 是 熱 相 是 故 
T30n1569_002:0177a06	火不為四身。若餘不熱不名為火。是故火	火 不 為 四 身 若 餘 不 熱 不 名 為 火 是 故 火 
T30n1569_002:0177a07	不為四身。地堅相。水濕相。風動相亦如是。	不 為 四 身 地 堅 相 水 濕 相 風 動 相 亦 如 是 
T30n1569_002:0177a08	外曰。色應可見。現在時有故(修妬路)。以眼情等	外 曰 色 應 可 見 現 在 時 有 故 修 妬 路 以 眼 情 等 
T30n1569_002:0177a09	現在時取塵故。是名現在時。若眼情等不	現 在 時 取 塵 故 是 名 現 在 時 若 眼 情 等 不 
T30n1569_002:0177a10	能取色塵等則無現在時。今實有現在時。	能 取 色 塵 等 則 無 現 在 時 今 實 有 現 在 時 
T30n1569_002:0177a11	是故色可見。內曰。若法後故初亦故(修妬路)。若法	是 故 色 可 見 內 曰 若 法 後 故 初 亦 故 修 妬 路 若 法 
T30n1569_002:0177a12	後故相現。是相非故時生。初生時已隨有。微	後 故 相 現 是 相 非 故 時 生 初 生 時 已 隨 有 微 
T30n1569_002:0177a13	故不知。故相轉現。是時可知。如人著屐。	故 不 知 故 相 轉 現 是 時 可 知 如 人 著 屐 
T30n1569_002:0177a14	初已微故隨之。不覺不知。久則相現。若	初 已 微 故 隨 之 不 覺 不 知 久 則 相 現 若 
T30n1569_002:0177a15	初無故後亦無。是應常新。若然者故相不	初 無 故 後 亦 無 是 應 常 新 若 然 者 故 相 不 
T30n1569_002:0177a16	應生。是以初微故隨之後則相現。今諸	應 生 是 以 初 微 故 隨 之 後 則 相 現 今 諸 
T30n1569_002:0177a17	法不住故。則無住時。若無住時。無取塵	法 不 住 故 則 無 住 時 若 無 住 時 無 取 塵 
T30n1569_002:0177a18	處。外曰。受新故故。有現在時(修妬路)。汝受	處 外 曰 受 新 故 故 有 現 在 時 修 妬 路 汝 受 
T30n1569_002:0177a19	新相故相。觀生時名為新。觀異時名為故。	新 相 故 相 觀 生 時 名 為 新 觀 異 時 名 為 故 
T30n1569_002:0177a20	是二相非過去時可取。亦非未來時可取。	是 二 相 非 過 去 時 可 取 亦 非 未 來 時 可 取 
T30n1569_002:0177a21	以現在時故。新故相可取。內曰。不然。生故	以 現 在 時 故 新 故 相 可 取 內 曰 不 然 生 故 
