T85n2750_001:0189b24	法華經疏	法 華 經 疏 
T85n2750_001:0193c26	未來世中。柄善巧方便。為物作真善知識。能	未 來 世 中 柄 善巧方便 為 物 作 真 善 知 識 能 
T85n2750_001:0193c27	命迴邪入正。當知淨藏淨眼。故引妙莊嚴王。	命 迴 邪 入 正 當 知 淨 藏 淨 眼 故 引 妙 莊 嚴 王 
T85n2750_001:0193c28	此品亦有三意。一表明二子有六度之德。二	此 品 亦 有 三 意 一 表 明 二 子 有 六 度 之 德 二 
T85n2750_001:0193c29	欲使下依菩薩。則而行之。三明諸人得道。就	欲 使 下 依 菩 薩 則 而 行 之 三 明 諸 人 得 道 就 
T85n2750_001:0194a01	此品中。有十二段經文。第一從初訖亦悉通	此 品 中 有 十 二 段 經 文 第 一 從 初 訖 亦 悉 通 
T85n2750_001:0194a02	達。明雲雷王佛國。及二子德行。師之眷屬。爾	達 明 雲 雷 王 佛 國 及 二 子 德 行 師 之 眷 屬 爾 
T85n2750_001:0194a03	時彼佛訖說是法華經。第二為二子說法華	時 彼 佛 訖 說 是 法 華 經 第 二 為 二 子 說 法 華 
T85n2750_001:0194a04	經。第三從淨藏淨眼以下。訖好樂佛法。明二	經 第 三 從 淨 藏 淨 眼 以 下 訖 好 樂 佛 法 明 二 
T85n2750_001:0194a05	子為其父母。廣現十八變。時淨藏淨眼。訖宜	子 為 其 父 母 廣 現 十 八 變 時 淨 藏 淨 眼 訖 宜 
T85n2750_001:0194a06	應聽受。明二子到其父所勸母。同到佛所。所	應 聽 受 明 二 子 到 其 父 所 勸 母 同 到 佛 所 所 
T85n2750_001:0194a07	以勸母。親近者何。此佛於一切天人眾中。說	以 勸 母 親 近 者 何 此 佛 於 一 切 天 人 眾 中 說 
T85n2750_001:0194a08	法華經。是以故勸母。往到佛所。而聽受也。母	法 華 經 是 以 故 勸 母 往 到 佛 所 而 聽 受 也 母 
T85n2750_001:0194a09	告子言以下。明我久以信竟。汝父雖復染外	告 子 言 以 下 明 我 久 以 信 竟 汝 父 雖 復 染 外 
T85n2750_001:0194a10	道邪法。今日根熟時到。但當勸父與供俱去。	道 邪 法 今 日 根 熟 時 到 但 當 勸 父 與 供 俱 去 
T85n2750_001:0194a11	而生此邪見家者。非是怒辭。我是法王之子。	而 生 此 邪 見 家 者 非 是 怒 辭 我 是 法 王 之 子 
T85n2750_001:0194a12	知其根悟時熟。正欲化邪從正。是以應生其	知 其 根 悟 時 熟 正 欲 化 邪 從 正 是 以 應 生 其 
T85n2750_001:0194a13	中。相順之義也。第四於是妙莊嚴王。訖大王	中 相 順 之 義 也 第 四 於 是 妙 莊 嚴 王 訖 大 王 
T85n2750_001:0194a14	歡悅。明王眷屬相與往詣佛所。為期說法。得	歡 悅 明 王 眷 屬 相 與 往 詣 佛 所 為 期 說 法 得 
T85n2750_001:0194a15	法歡喜。第五從爾時妙莊嚴王。訖微妙之色。	法 歡 喜 第 五 從 爾 時 妙 莊 嚴 王 訖 微 妙 之 色 
T85n2750_001:0194a16	既到佛所。已蒙法利。捨所珍真珠瓔珞。以供	既 到 佛 所 已 蒙 法 利 捨 所 珍 真 珠 瓔 珞 以 供 
T85n2750_001:0194a17	養佛也。第六雲雷音。訖功德如是。上來得理	養 佛 也 第 六 雲 雷 音 訖 功 德 如 是 上 來 得 理 
T85n2750_001:0194a18	在懷。所施既重其解分明。如來即為受記。號	在 懷 所 施 既 重 其 解 分 明 如 來 即 為 受 記 號 
T85n2750_001:0194a19	娑羅樹王。第七從其王即時以國付弟。訖莊	娑 羅 樹 王 第 七 從 其 王 即 時 以 國 付 弟 訖 莊 
T85n2750_001:0194a20	嚴三昧。明出家修道。第八從即遷虛空訖來	嚴 三 昧 明 出 家 修 道 第 八 從 即 遷 虛 空 訖 來 
T85n2750_001:0194a21	生我家。明領解得道成聖。功由善知識。第九	生 我 家 明 領 解 得 道 成 聖 功 由 善 知 識 第 九 
T85n2750_001:0194a22	從雲雷音以下。訖令住正見。明如來述歎近	從 雲 雷 音 以 下 訖 令 住 正 見 明 如 來 述 歎 近 
T85n2750_001:0194a23	善知識。第十妙莊嚴王。即從虛空中下。訖禮	善 知 識 第 十 妙 莊 嚴 王 即 從 虛 空 中 下 訖 禮 
T85n2750_001:0194a24	佛而出。歎如來三十二相功德。第十一佛告	佛 而 出 歎 如 來 三十二相 功 德 第 十 一 佛 告 
T85n2750_001:0194a25	大眾。於意云何以下。訖亦應禮拜。結會古今。	大 眾 於意云何 以 下 訖 亦 應 禮 拜 結 會 古 今 
T85n2750_001:0194a26	第十二說是妙莊嚴王以下。諸得道也。	第 十 二 說 是 妙 莊 嚴 王 以 下 諸 得 道 也 
T85n2750_001:0194a27	普賢品	普 賢 品 
T85n2750_001:0194a28	此品所以而來。大法難聞。遠來聽受。請說四	此 品 所 以 而 來 大 法 難 聞 遠 來 聽 受 請 說 四 
T85n2750_001:0194a29	行。兼復說呪防護。當如普賢。故次明普賢品	行 兼 復 說 呪 防 護 當 如 普 賢 故 次 明 普 賢 品 
T85n2750_001:0194b01	也。此品亦有三意。一顯普賢一流通之能。二	也 此 品 亦 有 三 意 一 顯 普 賢 一 流 通 之 能 二 
T85n2750_001:0194b02	使下依菩薩。則而行之。三明諸人得道。此品	使 下 依 菩 薩 則 而 行 之 三 明 諸 人 得 道 此 品 
T85n2750_001:0194b03	大泮有二種勸發。一賢在勸發。從初訖當為	大 泮 有 二 種 勸 發 一 賢 在 勸 發 從 初 訖 當 為 
T85n2750_001:0194b04	說之。在方便品中事。第二若善男子善女人	說 之 在 方 便 品 中 事 第 二 若 善 男 子 善 女 人 
T85n2750_001:0194b05	以下。接次在妙莊嚴王品後。明未來勸發。就	以 下 接 次 在 妙 莊 嚴 王 品 後 明 未 來 勸 發 就 
T85n2750_001:0194b06	未來勸發中。可有六句。第一從善男子善女	未 來 勸 發 中 可 有 六 句 第 一 從 善 男 子 善 女 
T85n2750_001:0194b07	人以下。至說此陀羅呪。明未來世中。流通方	人 以 下 至 說 此 陀 羅 呪 明 未 來 世 中 流 通 方 
T85n2750_001:0194b08	軌。就第一段明善男子。明下依菩薩。具此四	軌 就 第 一 段 明 善 男 子 明 下 依 菩 薩 具 此 四 
T85n2750_001:0194b09	法。未來世中。流通大法。何者是。一者為諸佛	法 未 來 世 中 流 通 大 法 何 者 是 一 者 為 諸 佛 
T85n2750_001:0194b10	護念。內有精成之至。外感諸佛威神加護。二	護 念 內 有 精 成 之 至 外 感 諸 佛 威 神 加 護 二 
T85n2750_001:0194b11	者殖眾德本。若不殖眾德本。不為諸佛之所	者 殖 眾 德 本 若 不 殖 眾 德 本 不 為 諸 佛 之 所 
T85n2750_001:0194b12	加援。正由其人久殖德本。所以感得諸佛之	加 援 正 由 其 人 久 殖 德 本 所 以 感 得 諸 佛 之 
T85n2750_001:0194b13	所加護。三者入正定聚。若在退位之中。不能	所 加 護 三 者 入正定聚 若 在 退 位 之 中 不 能 
T85n2750_001:0194b14	殖眾德本。正以得登性地。必定位中。故知得	殖 眾 德 本 正 以 得 登 性 地 必 定 位 中 故 知 得 
T85n2750_001:0194b15	本成就。四者發救一切眾生之心。既具三行。	本 成 就 四 者 發 救 一 切 眾 生 之 心 既 具 三 行 
T85n2750_001:0194b16	成興大慈悲。普度一切。既具四行。未來世	成 興 大 慈 悲 普 度 一 切 既 具 四 行 未 來 世 
T85n2750_001:0194b17	中。能流通此經。爾時普賢。五百濁惡世中以	中 能 流 通 此 經 爾 時 普 賢 五 百 濁 惡 世 中 以 
T85n2750_001:0194b18	下。訖即說呪曰。明普賢擁護二依弟子。得通	下 訖 即 說 呪 曰 明 普 賢 擁 護 二 依 弟 子 得 通 
T85n2750_001:0194b19	化也。妄失句偈者。非是妄是妄文理相難知	化 也 妄 失 句 偈 者 非 是 妄 是 妄 文 理 相 難 知 
T85n2750_001:0194b20	容失。文理俱時。名旋陀羅尼。下依至受持。第	容 失 文 理 俱 時 名 旋陀羅尼 下 依 至 受 持 第 
T85n2750_001:0194b21	二說呪防護勅。第三從世尊若有菩薩。訖使	二 說 呪 防 護 勅 第 三 從 世 尊 若 有 菩 薩 訖 使 
T85n2750_001:0194b22	不斷絕。勸二依菩薩受持。就第三假中。從若	不 斷 絕 勸 二 依 菩 薩 受 持 就 第 三 假 中 從 若 
T85n2750_001:0194b23	有菩薩以下。訖威神之力。歎普賢德能。若有	有 菩 薩 以 下 訖 威 神 之 力 歎 普 賢 德 能 若 有 
T85n2750_001:0194b24	受持。訖手摩其頭。舉二依弟子。得行況出	受 持 訖 手 摩 其 頭 舉 二 依 弟 子 得 行 況 出 
T85n2750_001:0194b25	弟子。若但自書寫以下。訖娛樂快樂。明二依	弟 子 若 但 自 書 寫 以 下 訖 娛 樂 快 樂 明 二 依 
T85n2750_001:0194b26	弟子。流通得果報。何況受持以下。舉二依弟	弟 子 流 通 得 果 報 何 況 受 持 以 下 舉 二 依 弟 
T85n2750_001:0194b27	子來勸。自下況出其師。第四爾釋迦牟尼以	子 來 勸 自 下 況 出 其 師 第 四 爾 釋 迦 牟 尼 以 
T85n2750_001:0194b28	下。訖普賢之行。竟明其述讚歎佛。第五普賢	下 訖 普 賢 之 行 竟 明 其 述 讚 歎 佛 第 五 普 賢 
T85n2750_001:0194b29	若如來滅後。訖當如敬佛。明善惡兩相所得	若 如來滅後 訖 當 如 敬 佛 明 善 惡 兩 相 所 得 
