T46n1931_001:0773c19	四教頌	四 教 頌 
T46n1931_001:0778a02	中有二種。謂利鈍。鈍則但見偏空不見不空。	中 有 二 種 謂 利 鈍 鈍 則 但 見 偏 空 不 見 不 空 
T46n1931_001:0778a03	止成當教果頭佛。行因雖殊。果與藏教齊。故	止 成 當 教 果 頭 佛 行 因 雖 殊 果 與 藏 教 齊 故 
T46n1931_001:0778a04	言通前。若利根菩薩非但見空。兼見不空。不	言 通 前 若 利 根 菩 薩 非 但 見 空 兼 見 不 空 不 
T46n1931_001:0778a05	空即中道。分二種。謂但不但。若見但中別	空 即 中 道 分 二 種 謂 但 不 但 若 見 但 中 別 
T46n1931_001:0778a06	教來接。若見不但中圓教來接。故言通後。問	教 來 接 若 見 不 但 中 圓 教 來 接 故 言 通 後 問 
T46n1931_001:0778a07	何位受接。進入何位。答受接人三根不同。若	何 位 受 接 進 入 何 位 答 受 接 人 三 根 不 同 若 
T46n1931_001:0778a08	上根三地四地被接。中根之人五地六地。下	上 根 三 地 四 地 被 接 中根之人 五 地 六 地 下 
T46n1931_001:0778a09	根之人七地八地。所接之教真似不同。若似	根 之 人 七 地 八 地 所 接 之 教 真 似 不 同 若 似 
T46n1931_001:0778a10	位被接。別十迴向圓十信位若真位受接。別	位 被 接 別 十 迴 向 圓 十 信 位 若 真 位 受 接 別 
T46n1931_001:0778a11	初地圓初住。問此藏通二教。同是三乘。同斷	初 地 圓 初 住 問 此 藏 通 二 教 同 是 三 乘 同 斷 
T46n1931_001:0778a12	四住。止出三界同證偏真。同行三百由旬。同	四 住 止 出 三 界 同 證 偏 真 同 行 三 百 由 旬 同 
T46n1931_001:0778a13	入化城。何故分二。答誠如所問。然同而不	入 化 城 何 故 分 二 答 誠 如 所 問 然 同 而 不 
T46n1931_001:0778a14	同。所證雖同。大小巧拙永異。此之二教。是界	同 所 證 雖 同 大 小 巧 拙 永 異 此 之 二 教 是 界 
T46n1931_001:0778a15	內教。藏是界內小拙。不通於大故小。析色	內 教 藏 是 界 內 小 拙 不 通 於 大 故 小 析 色 
T46n1931_001:0778a16	入空故拙。此教三人。雖當教內有上中下異。	入 空 故 拙 此 教 三 人 雖 當 教 內 有 上 中 下 異 
T46n1931_001:0778a17	望通三人則一概鈍根。故須析破也。通教則	望 通 三 人 則 一 概 鈍 根 故 須 析 破 也 通 教 則 
T46n1931_001:0778a18	界內大巧。大謂大乘初門故。巧謂體色入空	界 內 大 巧 大 謂 大 乘 初 門 故 巧 謂 體 色 入 空 
T46n1931_001:0778a19	故。雖當教中三人上中下異。若望藏教則一	故 雖 當 教 中 三 人 上 中 下 異 若 望 藏 教 則 一 
T46n1931_001:0778a20	概為利。問教既大乘。何故有二乘之人。答	概 為 利 問 教 既 大 乘 何 故 有 二 乘 之 人 答 
T46n1931_001:0778a21	朱雀門中何妨庶民出入。故人雖有小。教	朱 雀 門 中 何 妨 庶 民 出 入 故 人 雖 有 小 教 
T46n1931_001:0778a22	定是大。大乘兼小漸引入實。豈不巧哉。般若	定 是 大 大 乘 兼 小 漸 引 入 實 豈 不 巧 哉 般 若 
T46n1931_001:0778a23	方等部內共般若等。即此教也。略明通教竟。	方 等 部 內 共 般 若 等 即 此 教 也 略 明 通 教 竟 
T46n1931_001:0778a24	次明別教者。此教明界外獨菩薩法。教理智	次 明 別 教 者 此 教 明 界 外 獨 菩 薩 法 教 理 智 
T46n1931_001:0778a25	斷行位因果。別前二教。別後圓教。故名別	斷 行 位 因 果 別 前 二 教 別 後 圓 教 故 名 別 
T46n1931_001:0778a26	也。涅槃云。四諦因緣有無量相。非聲聞緣覺	也 涅 槃 云 四 諦 因 緣 有 無 量 相 非 聲 聞 緣 覺 
T46n1931_001:0778a27	所知。諸大乘經。廣明菩薩歷劫修行行位次	所 知 諸 大 乘 經 廣 明 菩 薩 歷 劫 修 行 行 位 次 
T46n1931_001:0778a28	第互不相攝。此並別教之相也。華嚴明十住	第 互 不 相 攝 此 並 別 教 之 相 也 華 嚴 明 十 住 
T46n1931_001:0778a29	十行十迴向為賢。十地為聖。妙覺為佛纓	十 行 十 迴 向 為 賢 十 地 為 聖 妙 覺 為 佛 纓 
T46n1931_001:0778b01	絡明五十二位。金光明但出十地佛果。勝天	絡 明 五 十 二 位 金 光 明 但 出 十 地 佛 果 勝 天 
T46n1931_001:0778b02	王明十地。涅槃明五行。如是諸經增減不同	王 明 十 地 涅 槃 明 五 行 如 是 諸 經 增 減 不 同 
T46n1931_001:0778b03	者。界外菩薩隨機利益。豈得定說。然位次	者 界 外 菩 薩 隨 機 利 益 豈 得 定 說 然 位 次 
T46n1931_001:0778b04	周足莫過纓絡經。故今依彼略明菩薩歷位	周 足 莫 過 纓 絡 經 故 今 依 彼 略 明 菩 薩 歷 位 
T46n1931_001:0778b05	斷證之相。以五十二位束為七科。謂信住行	斷 證 之 相 以 五 十 二 位 束 為 七 科 謂 信 住 行 
T46n1931_001:0778b06	向地等妙。又合七為二。初凡。二聖。就凡又	向 地 等 妙 又 合 七 為 二 初 凡 二 聖 就 凡 又 
T46n1931_001:0778b07	二。信為外凡。住行向為內凡。亦名為賢。約聖	二 信 為 外 凡 住 行 向 為 內 凡 亦 名 為 賢 約 聖 
T46n1931_001:0778b08	亦二。十地等覺為因。妙覺為果。大分如此。自	亦 二 十 地 等 覺 為 因 妙 覺 為 果 大 分 如 此 自 
T46n1931_001:0778b09	下細釋。初言十信者。一信二念三精進四慧	下 細 釋 初 言 十 信 者 一 信 二 念 三 精 進 四 慧 
T46n1931_001:0778b10	五定六不退七迴向八護法九戒十願。此十位	五 定 六 不 退 七 迴 向 八 護 法 九 戒 十 願 此 十 位 
T46n1931_001:0778b11	伏三界見思煩惱。故名伏忍位(外凡)與藏教七賢	伏 三 界 見 思 煩 惱 故 名 伏 忍 位 外 凡 與 藏 教 七 賢 
T46n1931_001:0778b12	位通教乾慧性地齊。次明十住者。一發心住	位 通 教 乾 慧 性 地 齊 次 明 十 住 者 一 發 心 住 
T46n1931_001:0778b13	(斷三界見惑盡。與藏教初果通教八人見地齊)二治地。三修行。四生貴。五	 斷 三 界 見 惑 盡 與 藏 教 初 果 通 教 八 人 見 地 齊 二 治 地 三 修 行 四 生 貴 五 
T46n1931_001:0778b14	具足方便。六正心。七不退(已上六住斷三界思惑盡。得位不退。與藏	具 足 方 便 六 正 心 七 不 退 已 上 六 住 斷 三 界 思 惑 盡 得 位 不 退 與 藏 
T46n1931_001:0778b15	通二佛齊)八童真。九法王子。十灌頂(已上三住斷界內塵沙。	通 二 佛 齊 八 童 真 九 法 王 子 十 灌 頂 已 上 三 住 斷 界 內 塵 沙 
T46n1931_001:0778b16	伏界外塵沙前二不知名目)亦名習種性。用從假入空觀。是	伏 界 外 塵 沙 前 二 不 知 名 目 亦 名 習 種 性 用 從 假 入 空 觀 是 
T46n1931_001:0778b17	真諦理。開慧眼成一切智。行三百由旬。次	真 諦 理 開 慧 眼 成 一 切 智 行 三 百 由 旬 次 
T46n1931_001:0778b18	明十行者。一歡喜。二饒益。三無違逆。四無	明 十 行 者 一 歡 喜 二 饒 益 三 無 違 逆 四 無 
T46n1931_001:0778b19	屈撓。五無癡亂。六善現。七無著。八難得。九	屈 撓 五 無 癡 亂 六 善 現 七 無 著 八 難 得 九 
T46n1931_001:0778b20	善法。十真實(斷界外塵沙惑)亦云性種性。用從空入假	善 法 十 真 實 斷 界 外 塵 沙 惑 亦 云 性 種 性 用 從 空 入 假 
T46n1931_001:0778b21	觀。見俗諦。開法眼。成道種智。次明十迴向	觀 見 俗 諦 開 法 眼 成 道 種 智 次 明 十 迴 向 
T46n1931_001:0778b22	者。一救護眾生離眾生相。二不壞。三等一切	者 一 救 護 眾 生 離 眾 生 相 二 不 壞 三 等 一 切 
T46n1931_001:0778b23	諸佛。四至一切處。五無盡功德藏。六入一切	諸 佛 四 至 一 切 處 五 無盡功德藏 六 入 一 切 
T46n1931_001:0778b24	平等善根。七等隨順一切眾生。八真如相。九	平 等 善 根 七 等 隨 順 一 切 眾 生 八 真 如 相 九 
T46n1931_001:0778b25	無縛無著解脫。十入法界無量(伏無明習中觀)亦名道	無 縛 無 著 解 脫 十 入 法 界 無 量 伏 無 明 習 中 觀 亦 名 道 
T46n1931_001:0778b26	種性。行四百由旬。居方便有餘土(已上三十位為三賢。亦	種 性 行 四 百 由 旬 居 方 便 有 餘 土 已 上 三 十 位 為 三 賢 亦 
T46n1931_001:0778b27	名內凡。從八住至此。為行不退位)次明十地者。一歡喜(從此用中道觀。破	名 內 凡 從 八 住 至 此 為 行 不 退 位 次 明 十 地 者 一 歡 喜 從 此 用 中 道 觀 破 
T46n1931_001:0778b28	一分無明。顯一分三德。乃至等覺。俱名聖種性)此是見道位。又無功用	一 分 無 明 顯 一 分 三 德 乃 至 等 覺 俱 名 聖 種 性 此 是 見 道 位 又 無 功 用 
T46n1931_001:0778b29	位百界作佛。八相成道利益眾生。行五百由	位 百 界 作 佛 八相成道 利 益 眾 生 行 五 百 由 
T46n1931_001:0778c01	旬。初入實報無障閡土。初入寶所。二離垢地。	旬 初 入 實 報 無 障 閡 土 初 入 寶 所 二 離 垢 地 
T46n1931_001:0778c02	三發光地。四焰慧地。五難勝地。六現前地。七	三 發 光 地 四 焰 慧 地 五 難 勝 地 六 現 前 地 七 
T46n1931_001:0778c03	遠行地。八不動地。九善慧地。十法雲地(已九地。地	遠 行 地 八 不 動 地 九 善 慧 地 十 法 雲 地 已 九 地 地 
T46n1931_001:0778c04	地各斷一品無明。證一分中道)更斷一品入等覺位。亦名金剛	地 各 斷 一 品 無 明 證 一 分 中 道 更 斷 一 品 入 等 覺 位 亦 名 金 剛 
T46n1931_001:0778c05	心。亦名一生補處。亦名有上士。更破一品	心 亦 名 一生補處 亦 名 有 上 士 更 破 一 品 
T46n1931_001:0778c06	無明。入妙覺位。坐蓮華藏世界七寶菩提樹	無 明 入 妙 覺 位 坐 蓮華藏世界 七 寶 菩 提 樹 
T46n1931_001:0778c07	下大寶華王座。現圓滿報身。為鈍根菩薩眾。	下 大 寶 華 王 座 現 圓 滿 報 身 為 鈍 根 菩 薩 眾 
T46n1931_001:0778c08	轉無量四諦法輪。即此佛也。有經論說。七	轉 無 量 四 諦 法 輪 即 此 佛 也 有 經 論 說 七 
T46n1931_001:0778c09	地已前名有功用道。八地已上名無功用道。	地 已 前 名 有 功 用 道 八 地 已 上 名 無 功 用 道 
T46n1931_001:0778c10	妙覺位但破一品無明者。總是約教道說。有	妙 覺 位 但 破 一 品 無 明 者 總 是 約 教 道 說 有 
T46n1931_001:0778c11	處說。初地斷見。從二地至六地斷思。與羅漢	處 說 初 地 斷 見 從 二 地 至 六 地 斷 思 與 羅 漢 
T46n1931_001:0778c12	齊者。此乃借別教位名。名通教位耳。有云。三	齊 者 此 乃 借 別 教 位 名 名 通 教 位 耳 有 云 三 
T46n1931_001:0778c13	賢十聖住果報。唯佛一人居淨土。此借別教	賢 十 聖 住 果 報 唯 佛 一 人 居 淨 土 此 借 別 教 
T46n1931_001:0778c14	名。明圓教位也。如此流類甚眾。須細知當	名 明 圓 教 位 也 如 此 流 類 甚 眾 須 細 知 當 
T46n1931_001:0778c15	教斷證之位至何位斷何惑證何理。往判諸	教 斷 證 之 位 至 何 位 斷 何 惑 證 何 理 往 判 諸 
T46n1931_001:0778c16	教諸位。無不通達。略明別教竟。次明圓教	教 諸 位 無 不 通 達 略 明 別 教 竟 次 明 圓 教 
T46n1931_001:0778c17	者。圓名圓妙圓滿圓足圓頓。故名圓教也。所	者 圓 名 圓 妙 圓 滿 圓 足 圓 頓 故 名 圓 教 也 所 
T46n1931_001:0778c18	謂圓伏圓信圓斷圓行圓位圓自在莊嚴圓建	謂 圓 伏 圓 信 圓 斷 圓 行 圓 位 圓 自 在 莊 嚴 圓 建 
T46n1931_001:0778c19	立眾生。諸大乘經論說佛境界。不共三乘位	立 眾 生 諸 大 乘 經 論 說 佛 境 界 不 共 三 乘 位 
T46n1931_001:0778c20	次。總屬此教也。法華中開示悟入四字。對	次 總 屬 此 教 也 法 華 中 開 示 悟 入 四 字 對 
T46n1931_001:0778c21	圓教住行向地。此四十位。華嚴云。初發心時	圓 教 住 行 向 地 此 四 十 位 華 嚴 云 初 發 心 時 
T46n1931_001:0778c22	便成正覺。所有慧身不由他悟。清淨妙法身。	便 成 正 覺 所 有 慧 身 不由他悟 清 淨 妙 法 身 
T46n1931_001:0778c23	湛然應一切。此明圓四十二位。維摩經云。薝	湛 然 應 一 切 此 明 圓 四 十 二 位 維 摩 經 云 薝 
T46n1931_001:0778c24	蔔林中不嗅餘香。入此室者。唯聞諸佛功德	蔔 林 中 不 嗅 餘 香 入 此 室 者 唯 聞 諸 佛 功 德 
T46n1931_001:0778c25	之香。又云。入不二法門。般若明最上乘。涅槃	之 香 又 云 入 不二法門 般 若 明 最 上 乘 涅 槃 
T46n1931_001:0778c26	明一心五行。又經云。有人入大海浴。已用一	明 一 心 五 行 又 經 云 有 人 入 大 海 浴 已 用 一 
T46n1931_001:0778c27	切諸河之水。又娑伽羅龍澍車軸雨。唯大海	切 諸 河 之 水 又 娑 伽 羅 龍 澍 車 軸 雨 唯 大 海 
T46n1931_001:0778c28	能受。餘地不堪。又擣萬種香為丸。若燒一塵	能 受 餘 地 不 堪 又 擣 萬 種 香 為 丸 若 燒 一 塵 
T46n1931_001:0778c29	具足眾氣。如是等類並屬圓教。今且依法華	具 足 眾 氣 如是等類 並 屬 圓 教 今 且 依 法 華 
T46n1931_001:0779a01	纓絡。略明位次有八。一五品弟子位(外凡出法華經)	纓 絡 略 明 位 次 有 八 一 五 品 弟 子 位 外 凡 出 法 華 經 
T46n1931_001:0779a02	二十信位(內凡)三十住位(聖初)四十行。五十迴向。六	二 十 信 位 內 凡 三 十 住 位 聖 初 四 十 行 五 十 迴 向 六 
T46n1931_001:0779a03	十地。七等覺(是因位末)八妙覺(是果位)初五品位者。一	十 地 七 等 覺 是 因 位 末 八 妙 覺 是 果 位 初 五 品 位 者 一 
T46n1931_001:0779a04	隨喜品。經云。若聞是經而不毀訾起隨喜心。	隨 喜 品 經 云 若 聞 是 經 而 不 毀 訾 起隨喜心 
T46n1931_001:0779a05	問隨喜何法。答妙法。妙法者。即此心也。妙	問 隨 喜 何 法 答 妙 法 妙 法 者 即 此 心 也 妙 
T46n1931_001:0779a06	心體具。如如意珠。心佛及眾生是三無差別。	心 體 具 如 如 意 珠 心 佛 及 眾 生 是 三無差別 
T46n1931_001:0779a07	此心即空即假即中。常境無相。常智無緣。無	此 心 即 空 即 假 即 中 常 境 無 相 常 智 無 緣 無 
T46n1931_001:0779a08	緣而緣。無非三觀。無相而相。三諦宛然。初	緣 而 緣 無 非 三 觀 無 相 而 相 三 諦 宛 然 初 
T46n1931_001:0779a09	心知此。慶己慶人。故名隨喜。內以三觀觀	心 知 此 慶 己 慶 人 故 名 隨 喜 內 以 三 觀 觀 
T46n1931_001:0779a10	三諦境。外以五悔勤加精進。助成理解。言五	三 諦 境 外 以 五 悔 勤加精進 助 成 理 解 言 五 
T46n1931_001:0779a11	悔者。有二。一理二事。理懺者。若欲懺悔者。	悔 者 有 二 一 理 二 事 理 懺 者 若 欲 懺 悔 者 
T46n1931_001:0779a12	端坐念實相。眾罪如霜露。慧日能消除。即此	端 坐 念 實 相 眾 罪 如 霜 露 慧 日 能 消 除 即 此 
T46n1931_001:0779a13	義也。言事懺者。晝夜六時三業清淨。對於	義 也 言 事 懺 者 晝 夜 六 時 三 業 清 淨 對 於 
T46n1931_001:0779a14	尊像披陳過罪。無始已來至于今身。凡所造	尊 像 披 陳 過 罪 無始已來 至 于 今 身 凡 所 造 
T46n1931_001:0779a15	作。殺父。殺母。殺阿羅漢。破和合僧。出佛身	作 殺 父 殺 母 殺阿羅漢 破 和 合 僧 出 佛 身 
T46n1931_001:0779a16	血。邪淫偷盜。妄言綺語兩舌惡口。貪瞋癡	血 邪 淫 偷 盜 妄 言 綺 語 兩 舌 惡 口 貪 瞋 癡 
T46n1931_001:0779a17	等。如是五逆十惡及餘一切。隨意發露更不	等 如 是 五 逆 十 惡 及 餘 一 切 隨 意 發 露 更 不 
T46n1931_001:0779a18	覆藏。畢故不造新。若如是則外障漸除。內觀	覆 藏 畢 故 不 造 新 若 如 是 則 外 障 漸 除 內 觀 
T46n1931_001:0779a19	增明。如順流舟更加櫓棹。豈不速疾到於所	增 明 如 順 流 舟 更 加 櫓 棹 豈 不 速 疾 到 於 所 
T46n1931_001:0779a20	止。修圓行者亦復如是。正觀圓理事行相助。	止 修 圓 行 者 亦復如是 正 觀 圓 理 事 行 相 助 
T46n1931_001:0779a21	豈不速至妙覺彼岸。莫見此說便謂漸行。謂	豈 不 速 至 妙 覺 彼 岸 莫 見 此 說 便 謂 漸 行 謂 
T46n1931_001:0779a22	圓頓無如是行。謬之甚矣。何處天然彌勒自	圓 頓 無 如 是 行 謬 之 甚 矣 何 處 天 然 彌 勒 自 
T46n1931_001:0779a23	然釋迦。若纔聞生死即涅槃煩惱即菩提。即	然 釋 迦 若 纔 聞 生 死 即 涅 槃 煩 惱 即 菩 提 即 
T46n1931_001:0779a24	心是佛不動便到。不加修習便成正覺者。十	心 是 佛 不 動 便 到 不 加 修 習 便 成 正 覺 者 十 
T46n1931_001:0779a25	方世界盡是淨土。觸向對面無非覺者。今雖	方 世 界 盡 是 淨 土 觸 向 對 面 無 非 覺 者 今 雖 
T46n1931_001:0779a26	然即佛。此是理即。亦是素法身。無其莊嚴。何	然 即 佛 此 是 理 即 亦 是 素 法 身 無 其 莊 嚴 何 
T46n1931_001:0779a27	關修證者也。我等愚輩。纔聞即空便廢修行。	關 修 證 者 也 我 等 愚 輩 纔 聞 即 空 便 廢 修 行 
T46n1931_001:0779a28	不知即之所由。鼠唧鳥空廣在經論。尋之思	不 知 即 之 所 由 鼠 唧 鳥 空 廣 在 經 論 尋 之 思 
T46n1931_001:0779a29	之。二勸請者。勸請十方諸如來留身久住濟	之 二 勸 請 者 勸 請 十 方 諸 如 來 留 身 久 住 濟 
T46n1931_001:0779b01	含識。三隨喜者。隨喜稱讚諸善根。四迴向	含 識 三 隨 喜 者 隨 喜 稱 讚 諸 善 根 四 迴 向 
T46n1931_001:0779b02	者。所有稱讚善。盡迴向菩提。五發願者。若	者 所 有 稱 讚 善 盡 迴向菩提 五 發 願 者 若 
T46n1931_001:0779b03	無發心萬事不成。故須發心以導前四。是為	無 發 心 萬 事 不 成 故 須 發 心 以 導 前 四 是 為 
T46n1931_001:0779b04	五悔。下去諸位直至等覺。總用五悔。更不再	五 悔 下 去 諸 位 直 至 等 覺 總 用 五 悔 更 不 再 
T46n1931_001:0779b05	出。例此可知。二讀誦品者。經云。何況讀誦受	出 例 此 可 知 二 讀 誦 品 者 經 云 何 況 讀 誦 受 
T46n1931_001:0779b06	持之者。謂內以圓觀更加讀誦。如膏助火。三	持 之 者 謂 內 以 圓 觀 更 加 讀 誦 如 膏 助 火 三 
T46n1931_001:0779b07	說法品者。經云。若有受持讀誦為他人說。內	說 法 品 者 經 云 若 有 受持讀誦 為 他 人 說 內 
T46n1931_001:0779b08	解轉勝導利前人。化功歸己心倍勝前。四兼	解 轉 勝 導 利 前 人 化 功 歸 己 心 倍 勝 前 四 兼 
T46n1931_001:0779b09	行六度。經云。況復有人能持是經。兼行布	行 六 度 經 云 況 復 有 人 能 持 是 經 兼 行 布 
T46n1931_001:0779b10	施等。福德力故倍增觀心。五正行六度者。經	施 等 福 德 力 故 倍 增 觀 心 五 正 行 六 度 者 經 
T46n1931_001:0779b11	曰。若人讀誦為他人說。復能持戒等。謂自	曰 若 人 讀 誦 為 他 人 說 復 能 持 戒 等 謂 自 
T46n1931_001:0779b12	行化他事理具足。觀心無閡。轉勝於前。不可	行 化 他 事 理 具 足 觀 心 無 閡 轉 勝 於 前 不 可 
T46n1931_001:0779b13	比喻。此五品位。圓伏五住煩惱。外凡位也。	比 喻 此 五 品 位 圓 伏 五 住 煩 惱 外 凡 位 也 
T46n1931_001:0779b14	與別十信位同。次進六根清淨位。即是十信。	與 別 十 信 位 同 次 進 六 根 清 淨 位 即 是 十 信 
T46n1931_001:0779b15	初信斷見惑顯真理。與藏教初果通教八人	初 信 斷 見 惑 顯 真 理 與 藏 教 初 果 通 教 八 人 
T46n1931_001:0779b16	見地別教初住齊。證位不退也。次從二信至	見 地 別 教 初 住 齊 證 位 不 退 也 次 從 二 信 至 
T46n1931_001:0779b17	七信。斷思惑盡。與藏通二佛別教七住齊。三	七 信 斷 思 惑 盡 與 藏 通 二 佛 別 教 七 住 齊 三 
T46n1931_001:0779b18	界苦集斷盡無餘。故仁王云。十善菩薩發大	界 苦 集 斷 盡 無 餘 故 仁 王 云 十 善 菩 薩 發 大 
T46n1931_001:0779b19	心。長別三界苦輪海。解曰。十善者。各具十	心 長 別 三 界 苦 輪 海 解 曰 十 善 者 各 具 十 
T46n1931_001:0779b20	善也。若別十信即伏而不斷。故定屬圓信。然	善 也 若 別 十 信 即 伏 而 不 斷 故 定 屬 圓 信 然 
T46n1931_001:0779b21	圓人本期不斷見思塵沙。意在入住斷無明	圓 人 本 期 不 斷 見 思 塵 沙 意 在 入 住 斷 無 明 
T46n1931_001:0779b22	見佛性。然譬如冶鐵麁垢先去非本所期。意	見 佛 性 然 譬 如 冶 鐵 麁 垢 先 去 非 本 所 期 意 
T46n1931_001:0779b23	在成器。器未成時自然先落。雖見先去。其	在 成 器 器 未 成 時 自 然 先 落 雖 見 先 去 其 
T46n1931_001:0779b24	人無一念欣心。所以者何。未遂所期故。圓教	人 無 一 念 欣 心 所以者何 未 遂 所 期 故 圓 教 
T46n1931_001:0779b25	行人亦復如是。雖非本所望自然先落。永嘉	行 人 亦復如是 雖 非 本 所 望 自 然 先 落 永 嘉 
T46n1931_001:0779b26	大師云。同除四住此處為齊。若伏無明三藏	大 師 云 同 除 四 住 此 處 為 齊 若 伏 無 明 三 藏 
T46n1931_001:0779b27	則劣。即此位也。解曰。四住者。只是見思。謂	則 劣 即 此 位 也 解 曰 四 住 者 只 是 見 思 謂 
T46n1931_001:0779b28	見為一。名見一切處住地。思惑分三。一欲	見 為 一 名 見 一 切 處 住 地 思 惑 分 三 一 欲 
T46n1931_001:0779b29	愛住地。欲界九品思。二色愛住地。色界四	愛 住 地 欲 界 九 品 思 二 色 愛 住 地 色 界 四 
T46n1931_001:0779c01	地各九品思。三無色愛住地。無色界四地各	地 各 九 品 思 三 無 色 愛 住 地 無 色 界 四 地 各 
T46n1931_001:0779c02	九品思。此之四住。三藏佛與六根清淨人同	九 品 思 此 之 四 住 三 藏 佛 與 六 根 清 淨 人 同 
T46n1931_001:0779c03	斷。故言同除四住也。言若伏無明三藏則劣	斷 故 言 同 除 四 住 也 言 若 伏 無 明 三 藏 則 劣 
T46n1931_001:0779c04	者。無明即界外障中道之別惑。三藏教止論	者 無 明 即 界 外 障 中 道 之 別 惑 三 藏 教 止 論 
T46n1931_001:0779c05	界內通惑。無明名字尚不能知。況復伏斷。故	界 內 通 惑 無 明 名 字 尚 不 能 知 況 復 伏 斷 故 
T46n1931_001:0779c06	言三藏則劣也。次從八信至十信。斷界內外	言 三 藏 則 劣 也 次 從 八 信 至 十 信 斷 界 內 外 
T46n1931_001:0779c07	塵沙惑盡。假觀現前見俗諦理。開法眼。成道	塵 沙 惑 盡 假 觀 現 前 見 俗 諦 理 開 法 眼 成 道 
T46n1931_001:0779c08	種智行四百由旬。與別教八九十住及行向	種 智 行 四 百 由 旬 與 別 教 八 九 十 住 及 行 向 
T46n1931_001:0779c09	位齊。行不退也。次入初住。斷一品無明。證	位 齊 行 不 退 也 次 入 初 住 斷 一 品 無 明 證 
T46n1931_001:0779c10	一分三德。謂解脫般若法身。此之三德不縱	一 分 三 德 謂 解 脫 般 若 法 身 此 之 三 德 不 縱 
T46n1931_001:0779c11	不橫。如世伊三點。若天主三目。現身百界。	不 橫 如 世 伊 三 點 若 天 主 三 目 現 身 百 界 
T46n1931_001:0779c12	八相成道。廣濟群生。華嚴經云。初發心時	八相成道 廣 濟 群 生 華 嚴 經 云 初 發 心 時 
T46n1931_001:0779c13	便成正覺。所有慧身不由他悟。清淨妙法身	便 成 正 覺 所 有 慧 身 不由他悟 清 淨 妙 法 身 
T46n1931_001:0779c14	湛然應一切。解曰。初發心者。初住名也。便成	湛 然 應 一 切 解 曰 初 發 心 者 初 住 名 也 便 成 
T46n1931_001:0779c15	正覺者。成八相佛也。是分證果。即此教真因。	正 覺 者 成 八 相 佛 也 是 分 證 果 即 此 教 真 因 
T46n1931_001:0779c16	謂成妙覺。謬之甚矣。若如是者。二住已去	謂 成 妙 覺 謬 之 甚 矣 若 如 是 者 二 住 已 去 
T46n1931_001:0779c17	諸位徒施。若言重說者。佛有煩重之咎。雖有	諸 位 徒 施 若 言 重 說 者 佛 有 煩 重 之 咎 雖 有 
T46n1931_001:0779c18	位位各攝諸位之言。又云發心究竟二不別。	位 位 各 攝 諸 位 之 言 又 云 發 心 究 竟 二 不 別 
T46n1931_001:0779c19	須知攝之所由細識不二之旨。龍女便成正	須 知 攝 之 所 由 細 識 不 二 之 旨 龍 女 便 成 正 
T46n1931_001:0779c20	覺。諸聲聞人受當來成佛記莂。皆是此位成	覺 諸 聲 聞 人 受 當來成佛 記 莂 皆 是 此 位 成 
T46n1931_001:0779c21	佛之相。慧身即般若德。了因性開發。妙法	佛 之 相 慧 身 即 般 若 德 了 因 性 開 發 妙 法 
T46n1931_001:0779c22	身即法身德。正因性開發。應一切即解脫德。	身 即 法 身 德 正 因 性 開 發 應 一 切 即 解 脫 德 
T46n1931_001:0779c23	即緣因性開發。如此三身發得本有。故言不	即 緣 因 性 開 發 如 此 三 身 發 得 本 有 故 言 不 
T46n1931_001:0779c24	由他悟。中觀現前。開佛眼。成一切種智。行	由 他 悟 中 觀 現 前 開 佛 眼 成 一切種智 行 
T46n1931_001:0779c25	五百由旬。到寶所。初居實報無障閡土。念不	五 百 由 旬 到 寶 所 初 居 實 報 無 障 閡 土 念 不 
T46n1931_001:0779c26	退位。次從一住至十住。各斷一品無明。增	退 位 次 從 一 住 至 十 住 各 斷 一 品 無 明 增 
T46n1931_001:0779c27	一分中道。與別教十地齊。次入初行斷一品	一 分 中 道 與 別 教 十 地 齊 次 入 初 行 斷 一 品 
T46n1931_001:0779c28	無明。與別教等覺齊。次入二行。與別教妙	無 明 與 別 教 等 覺 齊 次 入 二 行 與 別 教 妙 
T46n1931_001:0779c29	覺齊。從三行已去。別教之人尚不知名字。何	覺 齊 從 三 行 已 去 別 教 之 人 尚 不 知 名 字 何 
T46n1931_001:0780a01	況伏斷以別教但破十二品無明故。故以我	況 伏 斷 以 別 教 但 破 十 二 品 無 明 故 故 以 我 
T46n1931_001:0780a02	家之真因。為汝家之極果。只緣教彌權位彌	家 之 真 因 為 汝 家 之 極 果 只 緣 教 彌 權 位 彌 
T46n1931_001:0780a03	高。教彌實位彌下。譬如邊方未靜借職則高。	高 教 彌 實 位 彌 下 譬 如 邊 方 未 靜 借 職 則 高 
T46n1931_001:0780a04	定爵論勳其位實下。故權教雖稱妙覺。但是	定 爵 論 勳 其 位 實 下 故 權 教 雖 稱 妙 覺 但 是 
T46n1931_001:0780a05	實教中第二行也。次從三行已去至十地。各	實 教 中 第 二 行 也 次 從 三 行 已 去 至 十 地 各 
T46n1931_001:0780a06	斷一品無明增一分中道。即斷四十品惑也。	斷 一 品 無 明 增 一 分 中 道 即 斷 四 十 品 惑 也 
T46n1931_001:0780a07	更破一品無明入等覺位。此是一生補處。進	更 破 一 品 無 明 入 等 覺 位 此 是 一生補處 進 
T46n1931_001:0780a08	破一品微細無明入妙覺位。永別無明父母。	破 一 品 微 細 無 明 入 妙 覺 位 永 別 無 明 父 母 
