T85n2770_001:0355a08	維摩經疏	維 摩 經 疏 
T85n2770_001:0359b03	有四行偈。為第四段。訟嘆向前所現之事。大	有 四 行 偈 為 第 四 段 訟 嘆 向 前 所 現 之 事 大 
T85n2770_001:0359b04	聖法王眾所歸下有十五行。為第五段。廣嘆	聖 法 王 眾 所 歸 下 有 十 五 行 為 第 五 段 廣 嘆 
T85n2770_001:0359b05	餘德。	餘 德 
T85n2770_001:0359b06	就初段中初先正嘆。後故稽首總以結敬。就	就 初 段 中 初 先 正 嘆 後 故 稽 首 總 以 結 敬 就 
T85n2770_001:0359b07	正嘆中分別不同。乃有三種。一嘆身嘆德。二	正 嘆 中 分 別 不 同 乃 有 三 種 一 嘆 身 嘆 德 二 
T85n2770_001:0359b08	門分別。初句嘆身。餘文嘆德。就嘆身中遍嘆	門 分 別 初 句 嘆 身 餘 文 嘆 德 就 嘆 身 中 遍 嘆 
T85n2770_001:0359b09	佛眼。何故而然。六根身中眼根為首。就始遍	佛 眼 何 故 而 然 六 根 身 中 眼 根 為 首 就 始 遍 
T85n2770_001:0359b10	嘆。餘略不論。又人身中頭最為上。頭中眼	嘆 餘 略 不 論 又 人 身 中 頭 最 為 上 頭 中 眼 
T85n2770_001:0359b11	勝。就勝遍嘆。又人相見先目相覩。隨見先嘆	勝 就 勝 遍 嘆 又 人 相 見 先 目 相 覩 隨 見 先 嘆 
T85n2770_001:0359b12	故遍嘆眼。言目淨者。嘆其眼淨淨。有二種。一	故 遍 嘆 眼 言 目 淨 者 嘆 其 眼 淨 淨 有 二 種 一 
T85n2770_001:0359b13	者青白分明色無闇濁名之為淨。二照囑分	者 青 白 分 明 色 無 闇 濁 名 之 為 淨 二 照 囑 分 
T85n2770_001:0359b14	明說之為淨。言修廣者。嘆其眼相。修謂長也	明 說 之 為 淨 言 修 廣 者 嘆 其 眼 相 修 謂 長 也 
T85n2770_001:0359b15	廣猶闊也。如青蓮者。類以嘆之。如有二種。	廣 猶 闊 也 如 青 蓮 者 類 以 嘆 之 如 有 二 種 
T85n2770_001:0359b16	一淨如清蓮喻前淨也。二形如青蓮喻前修	一 淨 如 清 蓮 喻 前 淨 也 二 形 如 青 蓮 喻 前 修 
T85n2770_001:0359b17	廣。下嘆德中嘆三學。行心淨已度諸禪定者。	廣 下 嘆 德 中 嘆 三 學 行 心 淨 已 度 諸 禪 定 者 
T85n2770_001:0359b18	嘆佛定行。如來定心畢竟離染。名之為淨。超	嘆 佛 定 行 如 來 定 心 畢 竟 離 染 名 之 為 淨 超 
T85n2770_001:0359b19	出餘人一切正受名度諸禪。久積淨業稱無	出 餘 人 一 切 正 受 名 度 諸 禪 久 積 淨 業 稱 無 
T85n2770_001:0359b20	量者。嘆佛戒行。戒名淨業。佛修曩劫故云久	量 者 嘆 佛 戒 行 戒 名 淨 業 佛 修 曩 劫 故 云 久 
T85n2770_001:0359b21	積。以佛久積純淨業故名稱無量。舉稱無量	積 以 佛 久 積 純 淨 業 故 名 稱 無 量 舉 稱 無 量 
T85n2770_001:0359b22	彰業淨矣。道眾以寂嘆佛惠行。由惠明勝故	彰 業 淨 矣 道 眾 以 寂 嘆 佛 惠 行 由 惠 明 勝 故 
T85n2770_001:0359b23	能利人舉能利他。彰惠勝矣。由前見佛為眾	能 利 人 舉 能 利 他 彰 惠 勝 矣 由 前 見 佛 為 眾 
T85n2770_001:0359b24	說法。故嘆噵眾。寂是涅槃。導眾入中。又寂是	說 法 故 嘆 噵 眾 寂 是 涅 槃 導 眾 入 中 又 寂 是 
T85n2770_001:0359b25	真諦。導人趣入。故經說言。一切世諦若於如	真 諦 導 人 趣 入 故 經 說 言 一 切 世 諦 若 於 如 
T85n2770_001:0359b26	來悉名第一義。為令眾生得第一義說世諦	來 悉 名 第 一 義 為 令 眾 生 得 第 一 義 說 世 諦 
T85n2770_001:0359b27	故。第二約就身戒心惠四門分別。目淨一句	故 第 二 約 就 身 戒 心 惠 四 門 分 別 目 淨 一 句 
T85n2770_001:0359b28	嘆佛身淨。心淨一句嘆佛心淨。此二一對身	嘆 佛 身 淨 心 淨 一 句 嘆 佛 心 淨 此 二 一 對 身 
T85n2770_001:0359b29	心分別。久積淨業依身嘆戒。導眾以寂依心	心 分 別 久 積 淨 業 依 身 嘆 戒 導 眾 以 寂 依 心 
T85n2770_001:0359c01	嘆惠。此二一對福智分別。此則涅槃修身修	嘆 惠 此 二 一 對 福 智 分 別 此 則 涅 槃 修 身 修 
T85n2770_001:0359c02	戒修心修惠四種果也。第三約就嘆身嘆德	戒 修 心 修 惠 四 種 果 也 第 三 約 就 嘆 身 嘆 德 
T85n2770_001:0359c03	嘆名嘆德四門分別。目淨一句讚嘆佛身。心	嘆 名 嘆 德 四 門 分 別 目 淨 一 句 讚 嘆 佛 身 心 
T85n2770_001:0359c04	淨已度久積淨業嘆佛行德。心淨行體。淨業	淨 已 度 久 積 淨 業 嘆 佛 行 德 心 淨 行 體 淨 業 
T85n2770_001:0359c05	行德。此二自德稱無量者嘆佛名。稱導眾以	行 德 此 二 自 德 稱 無 量 者 嘆 佛 名 稱 導 眾 以 
T85n2770_001:0359c06	寂重嘆佛德。此二化德。下總結。敬佛備前德	寂 重 嘆 佛 德 此 二 化 德 下 總 結 敬 佛 備 前 德 
T85n2770_001:0359c07	故我稽首。此初段竟。	故 我 稽 首 此 初 段 竟 
T85n2770_001:0359c08	下次訟前所現神變。既見大聖以神變者。訟	下 次 訟 前 所 現 神 變 既 見 大 聖 以 神 變 者 訟 
T85n2770_001:0359c09	嘆向前合蓋之事。既謂已也。以猶用也。前已	嘆 向 前 合 蓋 之 事 既 謂 已 也 以 猶 用 也 前 已 
T85n2770_001:0359c10	見佛用神通力合蓋為一。故云既見以神變	見 佛 用 神 通 力 合 蓋 為 一 故 云 既 見 以 神 變 
T85n2770_001:0359c11	矣。普現已下訟前蓋中所現事也。向前蓋中	矣 普 現 已 下 訟 前 蓋 中 所 現 事 也 向 前 蓋 中 
T85n2770_001:0359c12	通現此土及他方事。今此遍訟他方之事。此	通 現 此 土 及 他 方 事 今 此 遍 訟 他 方 之 事 此 
T85n2770_001:0359c13	土之事在後別訟。普現十方無量土者。現其	土 之 事 在 後 別 訟 普 現 十 方 無 量 土 者 現 其 
T85n2770_001:0359c14	化處。其中諸佛現其化主。演說法者。現其化	化 處 其 中 諸 佛 現 其 化 主 演 說 法 者 現 其 化 
T85n2770_001:0359c15	相。於是一切悉見聞者。由佛普現。於是會中	相 於 是 一 切 悉 見 聞 者 由 佛 普 現 於 是 會 中 
T85n2770_001:0359c16	一切大眾悉見十方無量佛土。及見彼佛聞	一 切 大 眾 悉 見 十 方 無 量 佛 土 及 見 彼 佛 聞 
T85n2770_001:0359c17	其說也。	其 說 也 
T85n2770_001:0359c18	自下第三重嘆餘德。有十三行。相從為三。初	自 下 第 三 重 嘆 餘 德 有 十 三 行 相 從 為 三 初 
T85n2770_001:0359c19	有五行嘆佛說巧。次有六行嘆佛化。能下有	有 五 行 嘆 佛 說 巧 次 有 六 行 嘆 佛 化 能 下 有 
T85n2770_001:0359c20	兩行嘆佛心等。就初段中前之三行嘆說世諦	兩 行 嘆 佛 心 等 就 初 段 中 前 之 三 行 嘆 說 世 諦 
T85n2770_001:0359c21	不違第一。後之兩偈嘆說第一不違世諦。前	不 違 第 一 後 之 兩 偈 嘆 說 第 一 不 違 世 諦 前 
T85n2770_001:0359c22	中初行明說益人。中間一行明說合法。末後	中 初 行 明 說 益 人 中 間 一 行 明 說 合 法 末 後 
T85n2770_001:0359c23	一行牒以結敬。就初行中法王法力起群生者	一 行 牒 以 結 敬 就 初 行 中 法 王 法 力 起 群 生 者 
T85n2770_001:0359c24	嘆佛說德殊勝過人。佛於諸法德勝自在故名	嘆 佛 說 德 殊 勝 過 人 佛 於 諸 法 德 勝 自 在 故 名 
T85n2770_001:0359c25	法王。知法有餘稱曰法力。此德過人名超群	法 王 知 法 有 餘 稱 曰 法 力 此 德 過 人 名 超 群 
T85n2770_001:0359c26	生。常以法財施一切者。說能益物。法能資潤	生 常 以 法 財 施 一 切 者 說 能 益 物 法 能 資 潤 
T85n2770_001:0359c27	名為法財。常以法財能常說也。言施一切能	名 為 法 財 常 以 法 財 能 常 說 也 言 施 一 切 能 
T85n2770_001:0359c28	廣益也。第二行中能善分別諸法相者。巧說	廣 益 也 第 二 行 中 能 善 分別諸法 相 者 巧 說 
T85n2770_001:0359c29	世諦。於第一義而不動者。不違真諦。第三行	世 諦 於 第 一 義 而 不 動 者 不 違 真 諦 第 三 行 
T85n2770_001:0360a01	中以於諸法得自在者。牒初行中法王法力。自	中 以 於 諸 法 得 自 在 者 牒 初 行 中 法 王 法 力 自 
T85n2770_001:0360a02	在猶是王之義也。是故稽首此法王者。就之	在 猶 是 王 之 義 也 是 故 稽 首 此 法 王 者 就 之 
T85n2770_001:0360a03	結敬。就下兩行明說真諦不違世諦。於中初	結 敬 就 下 兩 行 明 說 真 諦 不 違 世 諦 於 中 初 
T85n2770_001:0360a04	行說真不違有果。後行說真不違有因。說法	行 說 真 不 違 有 果 後 行 說 真 不 違 有 因 說 法 
T85n2770_001:0360a05	不有亦不無者。能說真諦。此明法空為真諦	不 有 亦 不 無 者 能 說 真 諦 此 明 法 空 為 真 諦 
T85n2770_001:0360a06	矣。真諦離相亦復離性名為不有。而有實性	矣 真 諦 離 相 亦 復 離 性 名 為 不 有 而 有 實 性 
T85n2770_001:0360a07	故曰不無。如地持說。又復真諦約對名有無	故 曰 不 無 如 地 持 說 又 復 真 諦 約 對 名 有 無 
T85n2770_001:0360a08	約對名就實亡對名非有無。以因緣故諸法生	約 對 名 就 實 亡 對 名 非 有 無 以 因 緣 故 諸 法 生 
T85n2770_001:0360a09	者。不違世諦。就真雖說非有非無。隨世恒說	者 不 違 世 諦 就 真 雖 說 非有非無 隨 世 恒 說 
T85n2770_001:0360a10	從因得果故云以因諸法生矣。所謂以其善惡	從 因 得 果 故 云 以 因 諸 法 生 矣 所 謂 以 其 善 惡 
T85n2770_001:0360a11	因緣苦樂法生。無我無造及無受者。能說真	因 緣 苦 樂 法 生 無 我 無 造 及 無 受 者 能 說 真 
T85n2770_001:0360a12	諦。此明生空為真諦矣。真中無有我人可得	諦 此 明 生 空 為 真 諦 矣 真 中 無 有 我 人 可 得 
T85n2770_001:0360a13	名為無我。以無我故無人作因。名為無造。無	名 為 無 我 以 無 我 故 無 人 作 因 名 為 無 造 無 
T85n2770_001:0360a14	人受果。名無受者。善惡諸業亦不亡者。真中	人 受 果 名 無 受 者 善 惡 諸 業 亦 不 亡 者 真 中 
T85n2770_001:0360a15	雖無世諦。恒有用之牽果故曰不亡。自下第	雖 無 世 諦 恒 有 用 之 牽 果 故 曰 不 亡 自 下 第 
T85n2770_001:0360a16	二嘆其化能。初先別嘆。當禮法海總以結敬。	二 嘆 其 化 能 初 先 別 嘆 當 禮 法 海 總 以 結 敬 
T85n2770_001:0360a17	前中初先嘆其化。始以斯妙法濟群生下嘆	前 中 初 先 嘆 其 化 始 以 斯 妙 法 濟 群 生 下 嘆 
T85n2770_001:0360a18	其化。終又復前嘆小乘法化。後則嘆其大乘	其 化 終 又 復 前 嘆 小 乘 法 化 後 則 嘆 其 大 乘 
T85n2770_001:0360a19	法化。復就前中初先別嘆三寶。於下總以結	法 化 復 就 前 中 初 先 別 嘆 三 寶 於 下 總 以 結 
T85n2770_001:0360a20	之。別中初明佛寶現世。始在佛樹力降魔者。	之 別 中 初 明 佛 寶 現 世 始 在 佛 樹 力 降 魔 者 
T85n2770_001:0360a21	成佛方便佛依樹成。所依之樹或名佛樹。或	成 佛 方 便 佛 依 樹 成 所 依 之 樹 或 名 佛 樹 或 
T85n2770_001:0360a22	稱道樹。或復說之為菩提樹。樹下成佛名為	稱 道 樹 或 復 說 之 為 菩 提 樹 樹 下 成 佛 名 為 
T85n2770_001:0360a23	佛樹。樹下得道說為道樹。樹下證得菩提之	佛 樹 樹 下 得 道 說 為 道 樹 樹 下 證 得 菩 提 之 
T85n2770_001:0360a24	果。是故亦名為菩提樹。將成託此故云始在。	果 是 故 亦 名 為 菩 提 樹 將 成 託 此 故 云 始 在 
T85n2770_001:0360a25	魔於爾時恐佛道成而來惱亂。菩薩即入勝	魔 於 爾 時 恐 佛 道 成 而 來 惱 亂 菩 薩 即 入 勝 
T85n2770_001:0360a26	意慈定。神力伏魔名力降魔。又以慈力令魔	意 慈 定 神 力 伏 魔 名 力 降 魔 又 以 慈 力 令 魔 
T85n2770_001:0360a27	摧伏名力降魔。得甘露滅覺道成者。正明成	摧 伏 名 力 降 魔 得 甘 露 滅 覺 道 成 者 正 明 成 
T85n2770_001:0360a28	佛。得甘露滅明證滅諦。世間甘露能除燋渴。	佛 得 甘 露 滅 明 證 滅 諦 世 間 甘 露 能 除 燋 渴 
T85n2770_001:0360a29	滅諦涅槃能除渴愛。是故約喻名甘露滅。隨	滅 諦 涅 槃 能 除 渴 愛 是 故 約 喻 名 甘 露 滅 隨 
T85n2770_001:0360b01	化現證故名為得。言覺道成明得道諦。覺者	化 現 證 故 名 為 得 言 覺 道 成 明 得 道 諦 覺 者 
T85n2770_001:0360b02	是佛。道是菩提。剋就云成前得。此成言左右	是 佛 道 是 菩 提 剋 就 云 成 前 得 此 成 言 左 右 
T85n2770_001:0360b03	耳。次明法寶。法中有二。一摧邪法。二三轉	耳 次 明 法 寶 法 中 有 二 一 摧 邪 法 二 三 轉 
T85n2770_001:0360b04	下明化正法。摧耶邪中以無心意無受行者。	下 明 化 正 法 摧 耶 邪 中 以 無 心 意 無 受 行 者 
T85n2770_001:0360b05	自無所著以謂由也。由無心意無受行等。便	自 無 所 著 以 謂 由 也 由 無 心 意 無 受 行 等 便 
T85n2770_001:0360b06	能滅配能說為異言。無心意無妄心體。此言	能 滅 配 能 說 為 異 言 無 心 意 無 妄 心 體 此 言 
T85n2770_001:0360b07	略少。若具應言無心意識。心意識等有何差	略 少 若 具 應 言 無 心 意 識 心 意 識 等 有 何 差 
T85n2770_001:0360b08	別。依如毘曇。就一事識隨義以分。義別五門。	別 依 如 毘 曇 就 一 事 識 隨 義 以 分 義 別 五 門 
T85n2770_001:0360b09	所謂名義業世施設。名者名心名意名識。義	所 謂 名 義 業 世 施 設 名 者 名 心 名 意 名 識 義 
T85n2770_001:0360b10	者集起是其心義。思量是意。別知是識。業者	者 集 起 是 其 心 義 思 量 是 意 別 知 是 識 業 者 
T85n2770_001:0360b11	遠知名之為心。知未來法說之為遠。從來未	遠 知 名 之 為 心 知 未 來 法 說 之 為 遠 從 來 未 
T85n2770_001:0360b12	起與身俱故。前知是意知過去法。續知是識	起 與 身 俱 故 前 知 是 意 知 過 去 法 續 知 是 識 
T85n2770_001:0360b13	知現在法。此乃約對三世境界以別其業。世	知 現 在 法 此 乃 約 對 三 世 境 界 以 別 其 業 世 
T85n2770_001:0360b14	者。約就三世心體以別三種。未來說心。過去	者 約 就 三 世 心 體 以 別 三 種 未 來 說 心 過 去 
T85n2770_001:0360b15	說意。現在說識。言施設者。界施設心。謂七心	說 意 現 在 說 識 言 施 設 者 界 施 設 心 謂 七 心 
T85n2770_001:0360b16	界。入施設意。所謂意入。陰施設識。若依慢	界 入 施 設 意 所 謂 意 入 陰 施 設 識 若 依 慢 
T85n2770_001:0360b17	伽七識名心。集起本故。意識名意。司諸塵故。	伽 七 識 名 心 集 起 本 故 意 識 名 意 司 諸 塵 故 
T85n2770_001:0360b18	五識名識。了現境故。今依後門識之。一字偈	五 識 名 識 了 現 境 故 今 依 後 門 識 之 一 字 偈 
T85n2770_001:0360b19	迮不論證實除捨。是以言無無受行者無妄	迮 不 論 證 實 除 捨 是 以 言 無 無 受 行 者 無 妄 
T85n2770_001:0360b20	心用。謂無受果行因心也。亦可。初言無心意	心 用 謂 無 受 果 行 因 心 也 亦 可 初 言 無 心 意 
T85n2770_001:0360b21	者。無識陰也。言無受者。無受陰也。言無行	者 無 識 陰 也 言 無 受 者 無 受 陰 也 言 無 行 
T85n2770_001:0360b22	者。無行陰也。略不說想。以偈迮故。此句明其	者 無 行 陰 也 略 不 說 想 以 偈 迮 故 此 句 明 其 
T85n2770_001:0360b23	自無所著。而悉摧伏諸外道者。能破邪執伏	自 無 所 著 而 悉 摧 伏 諸 外 道 者 能 破 邪 執 伏 
T85n2770_001:0360b24	外之相。廣如經說。下明化正。三轉法輪正明	外 之 相 廣 如 經 說 下 明 化 正 三轉法輪 正 明 
T85n2770_001:0360b25	所說。此名四諦以為法輪。從喻名之。如轉	所 說 此 名 四 諦 以 為 法 輪 從 喻 名 之 如 轉 
T85n2770_001:0360b26	輪王所有輪寶能能摧剛彊轉下眾生上昇虛	輪 王 所 有 輪 寶 能 能 摧 剛 彊 轉 下 眾 生 上 昇 虛 
T85n2770_001:0360b27	空。四諦如是能摧眾生惡不善法轉下眾生	空 四 諦 如 是 能 摧 眾 生 惡不善法 轉 下 眾 生 
T85n2770_001:0360b28	上入聖道。故說為輪。聖說授人目之為轉。轉	上 入 聖 道 故 說 為 輪 聖 說 授 人 目 之 為 轉 轉 
T85n2770_001:0360b29	別有三。一示相轉。如說三苦及八苦等是其	別 有 三 一 示 相 轉 如 說 三 苦 及 八 苦 等 是 其 
T85n2770_001:0360c01	苦諦。業煩惱等是其集諦。苦集盡處名為滅	苦 諦 業 煩 惱 等 是 其 集 諦 苦 集 盡 處 名 為 滅 
T85n2770_001:0360c02	諦。戒定惠等是其道諦。如是一切。二者勸	諦 戒 定 惠 等 是 其 道 諦 如是一切 二 者 勸 
T85n2770_001:0360c03	轉。苦汝當知。集汝當斷。滅汝當證。道汝當	轉 苦 汝 當 知 集 汝 當 斷 滅 汝 當 證 道 汝 當 
T85n2770_001:0360c04	修。三者證轉。苦我已知。集我已斷。滅我已	修 三 者 證 轉 苦 我 已 知 集 我 已 斷 滅 我 已 
T85n2770_001:0360c05	證。道我已修。三轉如是。初轉何處。波羅榛國	證 道 我 已 修 三 轉 如 是 初 轉 何 處 波 羅 榛 國 
T85n2770_001:0360c06	仙人鹿苑。本為誰轉。憍陳如等。於大千者出	仙 人 鹿 苑 本 為 誰 轉 憍 陳 如 等 於 大 千 者 出 
T85n2770_001:0360c07	其說處。於大千界百億閻浮同時轉也。其輪	其 說 處 於 大 千 界 百 億 閻 浮 同 時 轉 也 其 輪 
T85n2770_001:0360c08	本來常清淨者。嘆其所說不同情取故言常	本 來 常 清 淨 者 嘆 其 所 說 不 同 情 取 故 言 常 
T85n2770_001:0360c09	淨。問曰。滅道常淨可爾。苦集染法云何言淨。	淨 問 曰 滅 道 常 淨 可 爾 苦 集 染 法 云 何 言 淨 
T85n2770_001:0360c10	觀此破染能淨名淨。又此法相不同情取故	觀 此 破 染 能 淨 名 淨 又 此 法 相 不 同 情 取 故 
T85n2770_001:0360c11	亦名淨。下明僧寶。天人得道此為證者。約人	亦 名 淨 下 明 僧 寶 天 人 得 道 此 為 證 者 約 人 
T85n2770_001:0360c12	顯法。六道俱益至論得聖。唯天與人故遍舉	顯 法 六 道 俱 益 至 論 得 聖 唯 天 與 人 故 遍 舉 
T85n2770_001:0360c13	之。尋說悟聖名為得道。以此證成佛說不虛	之 尋 說 悟 聖 名 為 得 道 以 此 證 成 佛 說 不 虛 
T85n2770_001:0360c14	名此為證。又證如來所說清淨亦名為證。上	名 此 為 證 又 證 如 來 所 說 清 淨 亦 名 為 證 上 
T85n2770_001:0360c15	來別舉三寶。於是現世間者總以結之。上明	來 別 舉 三 寶 於 是 現 世 間 者 總 以 結 之 上 明 
T85n2770_001:0360c16	化始。下明化終。又復前明小乘法化。下明大	化 始 下 明 化 終 又 復 前 明 小 乘 法 化 下 明 大 
T85n2770_001:0360c17	乘。於中三句。前二教人令得涅槃後一化人	乘 於 中 三 句 前 二 教 人 令 得 涅 槃 後 一 化 人 
T85n2770_001:0360c18	令出生死。前兩句中以斯妙法濟群生者。用	令 出 生 死 前 兩 句 中 以 斯 妙 法 濟 群 生 者 用 
T85n2770_001:0360c19	法教人。所謂以此大乘妙法濟度眾生。一受	法 教 人 所 謂 以 此 大 乘 妙 法 濟 度 眾 生 一 受 
T85n2770_001:0360c20	不退常寂然者。明受有益。一約在心名為一	不 退 常 寂 然 者 明 受 有 益 一 約 在 心 名 為 一 
T85n2770_001:0360c21	受。道行堅固稱曰不退。永證涅槃名常寂	受 道 行 堅 固 稱 曰 不 退 永 證 涅 槃 名 常 寂 
T85n2770_001:0360c22	然。度老病死大醫王者。嘆佛化人出生死也。	然 度 老 病 死 大 醫 王 者 嘆 佛 化 人 出 生 死 也 
T85n2770_001:0360c23	教斷集因不受來苦。是故名為度老病死。亦	教 斷 集 因 不 受 來 苦 是 故 名 為 度 老 病 死 亦 
T85n2770_001:0360c24	教度生。遏迮不說。以老病死苦遇麁重為是	教 度 生 遏 迮 不 說 以 老 病 死 苦 遇 麁 重 為 是 
T85n2770_001:0360c25	偏舉。佛能教人除斯苦患名大醫王。上來別	偏 舉 佛 能 教 人 除 斯 苦 患 名 大 醫 王 上 來 別 
T85n2770_001:0360c26	嘆。當禮法海得無邊者。總以結敬。佛具多法	嘆 當 禮 法 海 得 無 邊 者 總 以 結 敬 佛 具 多 法 
T85n2770_001:0360c27	名為法海。化德廣多名德無邊。	名 為 法 海 化 德 廣 多 名 德 無 邊 
T85n2770_001:0360c28	自下第三嘆佛心等。初先正嘆。孰聞已下結	自 下 第 三 嘆 佛 心 等 初 先 正 嘆 孰 聞 已 下 結 
T85n2770_001:0360c29	成可敬。前正嘆中先嘆如來不為緣動。於善	成 可 敬 前 正 嘆 中 先 嘆 如 來 不 為 緣 動 於 善 
T85n2770_001:0361a01	已下讚嘆如來於緣平等。此二之中各有法	已 下 讚 嘆 如 來 於 緣 平 等 此 二 之 中 各 有 法 
T85n2770_001:0361a02	喻。前中初言毀譽不動。法說以嘆。緣有違	喻 前 中 初 言 毀 譽 不 動 法 說 以 嘆 緣 有 違 
T85n2770_001:0361a03	順。毀違譽順。佛心平等不為其動。此言略	順 毀 違 譽 順 佛 心 平 等 不 為 其 動 此 言 略 
T85n2770_001:0361a04	少。若具論之。緣有八種。利衰毀譽稱譏苦樂	少 若 具 論 之 緣 有 八 種 利 衰 毀 譽 稱 譏 苦 樂 
T85n2770_001:0361a05	是其八也。利衰二種約身以說財。榮潤已名	是 其 八 也 利 衰 二 種 約 身 以 說 財 榮 潤 已 名 
T85n2770_001:0361a06	之為利。殺縛事等說以為衰。毀譽稱譏就口	之 為 利 殺 縛 事 等 說 以 為 衰 毀 譽 稱 譏 就 口 
T85n2770_001:0361a07	而辨。遇惡罵辱名之為毀。過善談讚目之為	而 辨 遇 惡 罵 辱 名 之 為 毀 過 善 談 讚 目 之 為 
T85n2770_001:0361a08	譽。當惡而道名之曰譏。當善而論謂之為稱。	譽 當 惡 而 道 名 之 曰 譏 當 善 而 論 謂 之 為 稱 
T85n2770_001:0361a09	苦樂就心。此之八種名世八法。在世同有。亦	苦 樂 就 心 此 之 八 種 名 世 八 法 在 世 同 有 亦 
T85n2770_001:0361a10	名八風。能動人心。如來於此悉皆不動。偈言	名 八 風 能 動 人 心 如 來 於 此 悉 皆 不 動 偈 言 
T85n2770_001:0361a11	要迮且舉毀譽。如須彌者喻顯不動。後中初	要 迮 且 舉 毀 譽 如 須 彌 者 喻 顯 不 動 後 中 初 
T85n2770_001:0361a12	言於善不善等以慈者。法說以嘆。順己名善。	言 於 善 不 善 等 以 慈 者 法 說 以 嘆 順 己 名 善 
T85n2770_001:0361a13	違己不善。佛皆慈之心等如空。喻說明等。上	違 己 不 善 佛 皆 慈 之 心 等 如 空 喻 說 明 等 上 
T85n2770_001:0361a14	來別嘆。下結可敬。孰謂誰也。聞如是人中之	來 別 嘆 下 結 可 敬 孰 謂 誰 也 聞 如 是 人 中 之 
T85n2770_001:0361a15	寶而不尊敬而不歸承。	寶 而 不 尊 敬 而 不 歸 承 
T85n2770_001:0361a16	次下四行是第四段重訟前事。今奉世尊此	次 下 四 行 是 第 四 段 重 訟 前 事 今 奉 世 尊 此 
T85n2770_001:0361a17	徵蓋者。訟已向前蓋中事也。於中現我三千	徵 蓋 者 訟 已 向 前 蓋 中 事 也 於 中 現 我 三 千 
T85n2770_001:0361a18	界者。訟前遍覆三千世界廣長悉現。諸天龍	界 者 訟 前 遍 覆 三千世界 廣 長 悉 現 諸 天 龍 
T85n2770_001:0361a19	神所居宮者。訟前天宮龍神等宮悉現蓋中。	神 所 居 宮 者 訟 前 天 宮 龍 神 等 宮 悉 現 蓋 中 
T85n2770_001:0361a20	悉現世間諸所有者。訟前須彌鐵圍山等。十	悉 現 世 間 諸 所 有 者 訟 前 須 彌 鐵 圍 山 等 十 
T85n2770_001:0361a21	力哀現是化變者。須荷佛恩。佛具十力。由十	力 哀 現 是 化 變 者 須 荷 佛 恩 佛 具 十 力 由 十 
T85n2770_001:0361a22	力尊哀愍我等現此化變。眾覩希有皆嘆佛	力 尊 哀 愍 我 等 現 此 化 變 眾 覩 希 有 皆 嘆 佛 
T85n2770_001:0361a23	者。訟前大眾覩佛神力嘆未曾有。我今稽首	者 訟 前 大 眾 覩 佛 神 力 嘆 未 曾 有 我 今 稽 首 
T85n2770_001:0361a24	三界尊者。結已歸敬。	三 界 尊 者 結 已 歸 敬 
T85n2770_001:0361a25	自下第五廣嘆餘德。行別十五。相從為三段。	自 下 第 五 廣 嘆 餘 德 行 別 十 五 相 從 為 三 段 
T85n2770_001:0361a26	初有兩行嘆佛身業。中間六行嘆佛口業。後	初 有 兩 行 嘆 佛 身 業 中 間 六 行 嘆 佛 口 業 後 
T85n2770_001:0361a27	之七行嘆佛意業。就身業中。大聖法王眾所	之 七 行 嘆 佛 意 業 就 身 業 中 大 聖 法 王 眾 所 
T85n2770_001:0361a28	歸者。嘆佛人高。淨心觀佛靡不欣者。嘆佛身	歸 者 嘆 佛 人 高 淨 心 觀 佛 靡 不 欣 者 嘆 佛 身 
T85n2770_001:0361a29	妙靡猶無也。以佛身妙淨心觀者無不欣慶。	妙 靡 猶 無 也 以 佛 身 妙 淨 心 觀 者 無 不 欣 慶 
T85n2770_001:0361b01	除邪謗人。各見世尊在其前者。嘆佛化巧。以	除 邪 謗 人 各 見 世 尊 在 其 前 者 嘆 佛 化 巧 以 
T85n2770_001:0361b02	化巧故有感斯現。佛以過去業得此妙身相。	化 巧 故 有 感 斯 現 佛 以 過 去 業 得 此 妙 身 相 
T85n2770_001:0361b03	無心於彼此而能應一切。斯則神力不共法	無 心 於 彼 此 而 能 應 一 切 斯 則 神 力 不 共 法 
T85n2770_001:0361b04	者。結嘆顯勝。亦得名為結嘆顯異。他無此力	者 結 嘆 顯 勝 亦 得 名 為 結 嘆 顯 異 他 無 此 力 
T85n2770_001:0361b05	故云不共法。就嘆口中初有兩行。讚嘆如來	故 云 不 共 法 就 嘆 口 中 初 有 兩 行 讚 嘆 如 來 
T85n2770_001:0361b06	隨音異說。佛以一音演說法者。發言不異。眾	隨 音 異 說 佛 以 一 音 演 說 法 者 發 言 不 異 眾 
T85n2770_001:0361b07	生隨類各得解者。悟解不同。汎解有二。一約	生 隨 類 各 得 解 者 悟 解 不 同 汎 解 有 二 一 約 
T85n2770_001:0361b08	真說一。如來真實常法螺聲相名為一音。眾	真 說 一 如 來 真 實 常 法 螺 聲 相 名 為 一 音 眾 
T85n2770_001:0361b09	生於中種種異解。如一真身種種異現。如來	生 於 中 種 種 異 解 如 一 真 身 種 種 異 現 如 來 
T85n2770_001:0361b10	真實常寂之聲名法螺音。恒有恒無名常寂	真 實 常 寂 之 聲 名 法 螺 音 恒 有 恒 無 名 常 寂 
T85n2770_001:0361b11	聲。於淨耳者無時不聞名為恒有。有非新發。	聲 於 淨 耳 者 無 時 不 聞 名 為 恒 有 有 非 新 發 
