X33n0629_001:0433a03	 製疏始末	 製 疏 始 末 
X33n0629_001:0441a57	二身子為下根啟請(二)	二 身 子 為 下 根 啟 請 二 
X33n0629_001:0441a58	一長行(爾時)	一 長 行 爾 時 
X33n0629_001:0442a01	二偈頌(爾時)　略明權實以動執生疑竟	二 偈 頌 爾 時 略 明 權 實 以 動 執 生 疑 竟 
X33n0629_001:0442a02	二廣明權實以斷疑生信○	二 廣 明 權 實 以 斷 疑 生 信 
X33n0629_001:0442a03	三極顯經功以借人弘法○	三 極 顯 經 功 以 借 人 弘 法 
X33n0629_001:0442a04	二約實際理地以顯應化妙用○	二 約 實 際 理 地 以 顯 應 化 妙 用 
X33n0629_001:0442a06	○二廣明權實以斷疑生信(三)	 二 廣 明 權 實 以 斷 疑 生 信 三 
X33n0629_001:0442a07	一法說一周被上根(二)	一 法 說 一 周 被 上 根 二 
X33n0629_001:0442a08	一如來說法(二)	一 如 來 說 法 二 
X33n0629_001:0442a09	一長行(四)	一 長 行 四 
X33n0629_001:0442a10	一許說誡聽(三)	一 許 說 誡 聽 三 
X33n0629_001:0442a11	一應求許說(爾時)	一 應 求 許 說 爾 時 
X33n0629_001:0442a12	二因退勸勉(說此)	二 因 退 勸 勉 說 此 
X33n0629_001:0442a13	三當機願聞(舍利)	三 當 機 願 聞 舍 利 
X33n0629_001:0442a14	二讚法勸信(佛告)	二 讚 法 勸 信 佛 告 
X33n0629_001:0442a15	三正為分解(三)	三 正 為 分 解 三 
X33n0629_001:0442a16	一略為分解(三)	一 略 為 分 解 三 
X33n0629_001:0442a17	一略解諸佛權實(舍利)	一 略 解 諸 佛 權 實 舍 利 
X33n0629_001:0442a18	二略解自證權實(二)	二 略 解 自 證 權 實 二 
X33n0629_001:0442a19	一標舉徵釋(惟有)	一 標 舉 徵 釋 惟 有 
X33n0629_001:0442a20	二轉釋釋詞(舍利)	二 轉 釋 釋 詞 舍 利 
X33n0629_001:0442a21	三總結以顯道同(佛告)	三 總 結 以 顯 道 同 佛 告 
X33n0629_001:0442a22	二詳為分解(三)	二 詳 為 分 解 三 
X33n0629_001:0442a23	一詳解諸佛權實(三)	一 詳 解 諸 佛 權 實 三 
X33n0629_001:0442a24	一列上總標(舍利)	一 列 上 總 標 舍 利 
X33n0629_001:0442a25	二分文別列(三)	二 分 文 別 列 三 
X33n0629_001:0442a26	一過去佛同(舍利)	一 過 去 佛 同 舍 利 
X33n0629_001:0442a27	二未來佛同(舍利)	二 未 來 佛 同 舍 利 
X33n0629_001:0442a28	三現在佛同(舍利)	三 現 在 佛 同 舍 利 
X33n0629_001:0442a29	三總結本懷(舍利)	三 總 結 本 懷 舍 利 
X33n0629_001:0442a30	二詳解自證權實(舍利)	二 詳 解 自 證 權 實 舍 利 
X33n0629_001:0442a31	三總結以顯道同(舍利)	三 總 結 以 顯 道 同 舍 利 
X33n0629_001:0442a32	三舉濁防難(舍利)	三 舉 濁 防 難 舍 利 
X33n0629_001:0442a33	四斥過結勸(三)	四 斥 過 結 勸 三 
X33n0629_001:0442a34	一設言婉斥(舍利)	一 設 言 婉 斥 舍 利 
X33n0629_001:0442a35	二覿面直斥(三)	二 覿 面 直 斥 三 
X33n0629_001:0442a36	一直斥其非(又舍)	一 直 斥 其 非 又 舍 
X33n0629_001:0442a37	二徵起釋成(所以)	二 徵 起 釋 成 所 以 
X33n0629_001:0442a38	三轉顯其過(除佛)	三 轉 顯 其 過 除 佛 
X33n0629_001:0442a39	三結勸信受(舍利)	三 結 勸 信 受 舍 利 
X33n0629_001:0442a40	二偈頌(四)	二 偈 頌 四 
X33n0629_001:0442a41	一頌許說誡聽(比丘)	一 頌 許 說 誡 聽 比 丘 
X33n0629_001:0442a42	二頌正為分解(三)	二 頌 正 為 分 解 三 
X33n0629_001:0442a43	一頌略為分解(三)	一 頌 略 為 分 解 三 
X33n0629_001:0442a44	一合頌自他之權(二)	一 合 頌 自 他 之 權 二 
X33n0629_001:0442a45	一頌諸佛之權(諸佛)	一 頌 諸 佛 之 權 諸 佛 
X33n0629_001:0442a46	二頌自證之權(二)	二 頌 自 證 之 權 二 
X33n0629_001:0442a47	一通為羣機(眾生)	一 通 為 羣 機 眾 生 
X33n0629_001:0442a48	二別為二乘(鈍根)	二 別 為 二 乘 鈍 根 
X33n0629_001:0442a49	二合自他之實(二)	二 合 自 他 之 實 二 
X33n0629_001:0442a50	一頌自證之實(二)	一 頌 自 證 之 實 二 
X33n0629_001:0442a51	一會權歸實(我設)	一 會 權 歸 實 我 設 
X33n0629_001:0442a52	二三根獲益(二)	二 三 根 獲 益 二 
X33n0629_001:0442a53	一正為上根(有佛)	一 正 為 上 根 有 佛 
X33n0629_001:0442a54	二兼為中下(聲聞)	二 兼 為 中 下 聲 聞 
X33n0629_001:0442a55	二頌諸佛之實(十方)	二 頌 諸 佛 之 實 十 方 
X33n0629_001:0442a56	三義頌結顯道同(二)	三 義 頌 結 顯 道 同 二 
X33n0629_001:0442a57	一正頌長行(諸佛)	一 正 頌 長 行 諸 佛 
X33n0629_001:0442a58	二防問斷疑(二)	二 防 問 斷 疑 二 
X33n0629_001:0442a59	一防承上致問(若人)	一 防 承 上 致 問 若 人 
X33n0629_001:0443a01	二斷序分餘疑(我以)	二 斷 序 分 餘 疑 我 以 
X33n0629_001:0443a02	二頌舉濁防難(二)	二 頌 舉 濁 防 難 二 
X33n0629_001:0443a03	一自慶願滿(舍利)	一 自 慶 願 滿 舍 利 
X33n0629_001:0443a04	二義頌長文(二)	二 義 頌 長 文 二 
X33n0629_001:0443a05	一頌佛出濁世(若我)	一 頌 佛 出 濁 世 若 我 
X33n0629_001:0443a06	二頌順時說三(是故)	二 頌 順 時 說 三 是 故 
X33n0629_001:0443a07	三頌詳為分解(三)	三 頌 詳 為 分 解 三 
X33n0629_001:0443a08	一頌詳解諸佛權實(二)	一 頌 詳 解 諸 佛 權 實 二 
X33n0629_001:0443a09	一頌例上總標(我有)	一 頌 例 上 總 標 我 有 
X33n0629_001:0443a10	二頌分文別列(三)	二 頌 分 文 別 列 三 
X33n0629_001:0443a11	一頌過去佛同(二)	一 頌 過 去 佛 同 二 
X33n0629_001:0443a12	一正頌長行(過去)	一 正 頌 長 行 過 去 
X33n0629_001:0443a13	二補頌餘義(二)	二 補 頌 餘 義 二 
X33n0629_001:0443a14	一總標異外權實(又諸)	一 總 標 異 外 權 實 又 諸 
X33n0629_001:0443a15	二逐類別為顯示(三)	二 逐 類 別 為 顯 示 三 
X33n0629_001:0443a16	一佛在受法眾(若有)	一 佛 在 受 法 眾 若 有 
X33n0629_001:0443a17	二佛滅依教眾(四)	二 佛 滅 依 教 眾 四 
X33n0629_001:0443a18	一戀佛回心眾(諸佛)	一 戀 佛 回 心 眾 諸 佛 
X33n0629_001:0443a19	二起塔造廟眾(諸佛)	二 起 塔 造 廟 眾 諸 佛 
X33n0629_001:0443a20	三建形畫像眾(若人)	三 建 形 畫 像 眾 若 人 
X33n0629_001:0443a21	四供像稱名眾(若人)	四 供 像 稱 名 眾 若 人 
X33n0629_001:0443a22	三廣記懸記眾(於諸)	三 廣 記 懸 記 眾 於 諸 
X33n0629_001:0443a23	二頌未來佛同(二)	二 頌 未 來 佛 同 二 
X33n0629_001:0443a24	一正頌長行(未來)	一 正 頌 長 行 未 來 
X33n0629_001:0443a25	二補頌防難(四)	二 補 頌 防 難 四 
X33n0629_001:0443a26	一防何得無一不成難(諸佛)	一 防 何 得 無 一 不 成 難 諸 佛 
X33n0629_001:0443a27	二防不合廣說諸法難(未來)	二 防 不 合 廣 說 諸 法 難 未 來 
X33n0629_001:0443a28	三防何必惟為一乘難(諸佛)	三 防 何 必 惟 為 一 乘 難 諸 佛 
X33n0629_001:0443a29	四防惟一宜應速說難(是法)	四 防 惟 一 宜 應 速 說 難 是 法 
X33n0629_001:0443a30	三頌現在佛同(二)	三 頌 現 在 佛 同 二 
X33n0629_001:0443a31	一正頌長行(天人)	一 正 頌 長 行 天 人 
X33n0629_001:0443a32	二補頌防問(知眾)	二 補 頌 防 問 知 眾 
X33n0629_001:0443a33	二頌詳解自證權實(二)	二 頌 詳 解 自 證 權 實 二 
X33n0629_001:0443a34	一正頌長行(今我)	一 正 頌 長 行 今 我 
X33n0629_001:0443a35	二補頌廣演(二)	二 補 頌 廣 演 二 
X33n0629_001:0443a36	一眾生機感(舍利)	一 眾 生 機 感 舍 利 
X33n0629_001:0443a37	二如來化應(二)	二 如 來 化 應 二 
X33n0629_001:0443a38	一從實施權(二)	一 從 實 施 權 二 
X33n0629_001:0443a39	一從實不得(三)	一 從 實 不 得 三 
X33n0629_001:0443a40	一三七思惟(我始)	一 三 七 思 惟 我 始 
X33n0629_001:0443a41	二諸天請法(爾時)	二 諸 天 請 法 爾 時 
X33n0629_001:0443a42	三作念無計(我即)	三 作 念 無 計 我 即 
X33n0629_001:0443a43	二隱實施權(三)	二 隱 實 施 權 三 
X33n0629_001:0443a44	一尋念方便(尋念)	一 尋 念 方 便 尋 念 
X33n0629_001:0443a45	二諸佛慰喻(作是)	二 諸 佛 慰 喻 作 是 
X33n0629_001:0443a46	三正施權乘(三)	三 正 施 權 乘 三 
X33n0629_001:0443a47	一申屈轉念(舍利)	一 申 屈 轉 念 舍 利 
X33n0629_001:0443a48	二先度五人(思惟)	二 先 度 五 人 思 惟 
X33n0629_001:0443a49	三總結防問(是名)	三 總 結 防 問 是 名 
X33n0629_001:0443a50	二會權歸實(三)	二 會 權 歸 實 三 
X33n0629_001:0443a51	一機熟時至(舍利)	一 機 熟 時 至 舍 利 
X33n0629_001:0444a01	二等賜一乘(二)	二 等 賜 一 乘 二 
X33n0629_001:0444a02	一預防問難(舍利)	一 預 防 問 難 舍 利 
X33n0629_001:0444a03	二正明等賜(今我)	二 正 明 等 賜 今 我 
X33n0629_001:0444a04	三聞法獲益(菩薩)	三 聞 法 獲 益 菩 薩 
X33n0629_001:0444a05	三頌總結以顯道同(如三)	三 頌 總 結 以 顯 道 同 如 三 
X33n0629_001:0444a06	三頌讚法勸信(二)	三 頌 讚 法 勸 信 二 
X33n0629_001:0444a07	一正頌長行(二)	一 正 頌 長 行 二 
X33n0629_001:0444a08	一頌讚法舉喻(諸佛)	一 頌 讚 法 舉 喻 諸 佛 
X33n0629_001:0444a09	二頌勸信無虛(聞法)	二 頌 勸 信 無 虛 聞 法 
X33n0629_001:0444a10	二補頌防難(二)	二 補 頌 防 難 二 
X33n0629_001:0444a11	一防諸佛何故同秘難(以五)	一 防 諸 佛 何 故 同 秘 難 以 五 
X33n0629_001:0444a12	二防如來何故普告難(有慚)	二 防 如 來 何 故 普 告 難 有 慚 
X33n0629_001:0444a13	四頌斥過結勸(舍利)　如來說法已竟	四 頌 斥 過 結 勸 舍 利 如 來 說 法 已 竟 
X33n0629_001:0444a14	二上根獲益○	二 上 根 獲 益 
X33n0629_001:0444a15	二喻說一周被中根○	二 喻 說 一 周 被 中 根 
X33n0629_001:0444a16	三因緣一周被下根○	三 因 緣 一 周 被 下 根 
X33n0629_001:0444a18	妙法蓮華經卷第二科	妙法蓮華 經 卷 第 二 科 
X33n0629_001:0444a20	譬喻品	譬 喻 品 
X33n0629_001:0444a22	○二上根獲益(二)	 二 上 根 獲 益 二 
X33n0629_001:0444a23	一身子領解(二)	一 身 子 領 解 二 
X33n0629_001:0444a24	一長行(二)	一 長 行 二 
X33n0629_001:0444a25	一領解歡喜(爾時)	一 領 解 歡 喜 爾 時 
X33n0629_001:0444a26	二徵釋其由(二)	二 徵 釋 其 由 二 
X33n0629_001:0444a27	一昔日疑悔(三)	一 昔 日 疑 悔 三 
X33n0629_001:0444a28	一對境傷感(所以)	一 對 境 傷 感 所 以 
X33n0629_001:0444a29	二獨處思惟(世尊)	二 獨 處 思 惟 世 尊 
X33n0629_001:0444a30	三常時尅責(世尊)	三 常 時 尅 責 世 尊 
X33n0629_001:0444a31	二今日信解(而今)	二 今 日 信 解 而 今 
X33n0629_001:0444a32	二偈頌(二)	二 偈 頌 二 
X33n0629_001:0444a33	一頌領解歡喜(我聞)	一 頌 領 解 歡 喜 我 聞 
X33n0629_001:0444a34	二頌徵釋其由(二)	二 頌 徵 釋 其 由 二 
X33n0629_001:0444a35	一頌昔日疑悔(三)	一 頌 昔 日 疑 悔 三 
X33n0629_001:0444a36	一頌獨處思惟(我處)	一 頌 獨 處 思 惟 我 處 
X33n0629_001:0444a37	二頌常時尅責(我常)	二 頌 常 時 尅 責 我 常 
X33n0629_001:0444a38	三頌對境傷感(我常)	三 頌 對 境 傷 感 我 常 
X33n0629_001:0444a39	二頌今日信解(二)	二 頌 今 日 信 解 二 
X33n0629_001:0444a40	一頌聞法斷疑(二)	一 頌 聞 法 斷 疑 二 
X33n0629_001:0444a41	一遠斷昔疑(今聞)	一 遠 斷 昔 疑 今 聞 
X33n0629_001:0444a42	二近斷前疑(佛於)	二 近 斷 前 疑 佛 於 
X33n0629_001:0444a43	二頌歡喜自信(聞佛)	二 頌 歡 喜 自 信 聞 佛 
X33n0629_001:0444a44	二如來與記(二)	二 如 來 與 記 二 
X33n0629_001:0444a45	一開迹顯本(爾時)	一 開 迹 顯 本 爾 時 
X33n0629_001:0444a46	二正與授記(二)	二 正 與 授 記 二 
X33n0629_001:0444a47	一長行(四)	一 長 行 四 
X33n0629_001:0444a48	一行因得果(舍利)	一 行 因 得 果 舍 利 
X33n0629_001:0444a49	二依正莊嚴(四)	二 依 正 莊 嚴 四 
X33n0629_001:0444a50	一國土嚴淨(國名)	一 國 土 嚴 淨 國 名 
X33n0629_001:0444a51	二三乘具足(華光)	二 三 乘 具 足 華 光 
X33n0629_001:0444a52	三劫名殊勝(其劫)	三 劫 名 殊 勝 其 劫 
X33n0629_001:0444a53	四菩薩充滿(彼諸)	四 菩 薩 充 滿 彼 諸 
X33n0629_001:0444a54	三主伴壽量(舍利)	三 主 伴 壽 量 舍 利 
X33n0629_001:0444a55	四遠近化事(華光)	四 遠 近 化 事 華 光 
X33n0629_001:0444a56	二偈頌(二)	二 偈 頌 二 
X33n0629_001:0444a57	一正頌長行(四)	一 正 頌 長 行 四 
X33n0629_001:0444a58	一頌行因得果(舍利)	一 頌 行 因 得 果 舍 利 
X33n0629_001:0444a59	二頌依正莊嚴(過無)	二 頌 依 正 莊 嚴 過 無 
X33n0629_001:0444a60	三頌主伴壽量(佛為)	三 頌 主 伴 壽 量 佛 為 
X33n0629_001:0444a61	四頌遠近化事(佛滅)	四 頌 遠 近 化 事 佛 滅 
X33n0629_001:0444a62	二結勝歡喜(華光)	二 結 勝 歡 喜 華 光 
X33n0629_001:0444a63	三時眾供養(二)	三 時 眾 供 養 二 
X33n0629_001:0444a64	一總明眾供(爾時)	一 總 明 眾 供 爾 時 
X33n0629_001:0444a65	二別明天供(二)	二 別 明 天 供 二 
X33n0629_001:0444a66	一經家敘供(釋提)	一 經 家 敘 供 釋 提 
X33n0629_001:0444a67	二諸天陳詞(二)	二 諸 天 陳 詞 二 
X33n0629_001:0444a68	一歷敘聖教(而作)	一 歷 敘 聖 教 而 作 
X33n0629_001:0444a69	二稱讚回向(是法)　法說一周被上根竟	二 稱 讚 回 向 是 法 法 說 一 周 被 上 根 竟 
X33n0629_001:0444a71	○二喻說一周被中根(四)	 二 喻 說 一 周 被 中 根 四 
X33n0629_001:0444a72	一身子代請(爾時)	一 身 子 代 請 爾 時 
X33n0629_001:0444a73	二如來許說(爾時)	二 如 來 許 說 爾 時 
X33n0629_001:0445a01	三正說譬喻(二)	三 正 說 譬 喻 二 
X33n0629_001:0445a02	一長行(三)	一 長 行 三 
X33n0629_001:0445a03	一喻說(三)	一 喻 說 三 
X33n0629_001:0445a04	一喻眾生機感(三)	一 喻 眾 生 機 感 三 
X33n0629_001:0445a05	一喻所感之佛(舍利)	一 喻 所 感 之 佛 舍 利 
X33n0629_001:0445a06	二喻能感之眾(其家)	二 喻 能 感 之 眾 其 家 
X33n0629_001:0445a07	三喻結成感義(長者)	三 喻 結 成 感 義 長 者 
X33n0629_001:0445a08	二喻如來化應(二)	二 喻 如 來 化 應 二 
X33n0629_001:0445a09	一喻從實施權(二)	一 喻 從 實 施 權 二 
X33n0629_001:0445a10	一喻從實不得(二)	一 喻 從 實 不 得 二 
X33n0629_001:0445a11	一喻三七思惟(舍利)	一 喻 三 七 思 惟 舍 利 
X33n0629_001:0445a12	二喻作念無計(復更)	二 喻 作 念 無 計 復 更 
X33n0629_001:0445a13	二喻隱實施權(二)	二 喻 隱 實 施 權 二 
X33n0629_001:0445a14	一喻先示苦集(三)	一 喻 先 示 苦 集 三 
X33n0629_001:0445a15	一喻尋念方便(我當)	一 喻 尋 念 方 便 我 當 
X33n0629_001:0445a16	二喻正示苦集(作是)	二 喻 正 示 苦 集 作 是 
X33n0629_001:0445a17	三喻違情不信(父雖)	三 喻 違 情 不 信 父 雖 
X33n0629_001:0445a18	二喻次施道滅(三)	二 喻 次 施 道 滅 三 
X33n0629_001:0445a19	一喻尋念方便(爾時)	一 喻 尋 念 方 便 爾 時 
X33n0629_001:0445a20	二喻正施道滅(父知)	二 喻 正 施 道 滅 父 知 
X33n0629_001:0445a21	三喻適願修證(爾時)	三 喻 適 願 修 證 爾 時 
X33n0629_001:0445a22	二喻會權歸實(三)	二 喻 會 權 歸 實 三 
X33n0629_001:0445a23	一喻時至機熟(是時)	一 喻 時 至 機 熟 是 時 
X33n0629_001:0445a24	二喻等賜一乘(二)	二 喻 等 賜 一 乘 二 
X33n0629_001:0445a25	一喻正賜一乘(舍利)	一 喻 正 賜 一 乘 舍 利 
X33n0629_001:0445a26	二喻廢立之由(所以)	二 喻 廢 立 之 由 所 以 
X33n0629_001:0445a27	三喻聞法獲益(是時)	三 喻 聞 法 獲 益 是 時 
X33n0629_001:0445a28	三喻佛語無虛(三)	三 喻 佛 語 無 虛 三 
X33n0629_001:0445a29	一如來就喻垂問(舍利)	一 如 來 就 喻 垂 問 舍 利 
X33n0629_001:0445a30	二身子依問直答(二)	二 身 子 依 問 直 答 二 
X33n0629_001:0445a31	一總答(舍利)	一 總 答 舍 利 
X33n0629_001:0445a32	二別明(二)	二 別 明 二 
X33n0629_001:0445a33	一喻許三無虛(是長)	一 喻 許 三 無 虛 是 長 
X33n0629_001:0445a34	二喻與一無虛(世尊)	二 喻 與 一 無 虛 世 尊 
X33n0629_001:0445a35	三如來讚善印許(佛告)	三 如 來 讚 善 印 許 佛 告 
X33n0629_001:0445a36	二法合(三)	二 法 合 三 
X33n0629_001:0445a37	一眾生機感(三)	一 眾 生 機 感 三 
X33n0629_001:0445a38	一所感之佛(舍利)	一 所 感 之 佛 舍 利 
X33n0629_001:0445a39	二能感之眾(恒求)	二 能 感 之 眾 恒 求 
X33n0629_001:0445a40	三結成感義(見諸)	三 結 成 感 義 見 諸 
X33n0629_001:0445a41	二如來化應(二)	二 如 來 化 應 二 
X33n0629_001:0445a42	一從實施權(二)	一 從 實 施 權 二 
X33n0629_001:0445a43	一從實不得(二)	一 從 實 不 得 二 
X33n0629_001:0445a44	一三七思惟(舍利)	一 三 七 思 惟 舍 利 
X33n0629_001:0445a45	二作念無計(舍利)	二 作 念 無 計 舍 利 
X33n0629_001:0445a46	二隱實施權(二)	二 隱 實 施 權 二 
X33n0629_001:0445a47	一提喻貼合(舍利)	一 提 喻 貼 合 舍 利 
X33n0629_001:0445a48	二正明施權(二)	二 正 明 施 權 二 
X33n0629_001:0445a49	一先示苦集(而作)	一 先 示 苦 集 而 作 
X33n0629_001:0445a50	二次施道滅(二)	二 次 施 道 滅 二 
X33n0629_001:0445a51	一正施道滅(汝速)	一 正 施 道 滅 汝 速 
X33n0629_001:0446a01	二適願修證(三)	二 適 願 修 證 三 
X33n0629_001:0446a02	一聲聞修證(舍利)	一 聲 聞 修 證 舍 利 
X33n0629_001:0446a03	二辟支修證(若有)	二 辟 支 修 證 若 有 
X33n0629_001:0446a04	三菩薩修證(若有)	三 菩 薩 修 證 若 有 
X33n0629_001:0446a05	二會權歸實(二)	二 會 權 歸 實 二 
X33n0629_001:0446a06	一重提前喻(舍利)	一 重 提 前 喻 舍 利 
X33n0629_001:0446a07	二以法貼合(二)	二 以 法 貼 合 二 
X33n0629_001:0446a08	一時至機熟(如來)	一 時 至 機 熟 如 來 
X33n0629_001:0446a09	二等賜一乘(二)	二 等 賜 一 乘 二 
X33n0629_001:0446a10	一廢立之由(如來)	一 廢 立 之 由 如 來 
X33n0629_001:0446a11	二正明等賜(是諸)	二 正 明 等 賜 是 諸 
X33n0629_001:0446a12	三佛語無虛(二)	三 佛 語 無 虛 二 
X33n0629_001:0446a13	一重提前喻(舍利)	一 重 提 前 喻 舍 利 
X33n0629_001:0446a14	二以法貼合(如來)	二 以 法 貼 合 如 來 
X33n0629_001:0446a15	三結答(舍利)	三 結 答 舍 利 
X33n0629_001:0446a16	二偈頌(三)	二 偈 頌 三 
X33n0629_001:0446a17	一正頌長行(三)	一 正 頌 長 行 三 
X33n0629_001:0446a18	一頌喻說(二)	一 頌 喻 說 二 
X33n0629_001:0446a19	一頌眾生機感喻(三)	一 頌 眾 生 機 感 喻 三 
X33n0629_001:0446a20	一頌所感之佛喻(譬如)	一 頌 所 感 之 佛 喻 譬 如 
X33n0629_001:0446a21	二頌能感之眾喻(四)	二 頌 能 感 之 眾 喻 四 
X33n0629_001:0446a22	一喻三界依報(有一)	一 喻 三 界 依 報 有 一 
X33n0629_001:0446a23	二喻三界正報(二)	二 喻 三 界 正 報 二 
X33n0629_001:0446a24	一總喻五道(有五)	一 總 喻 五 道 有 五 
X33n0629_001:0446a25	二別喻利鈍(五)	二 別 喻 利 鈍 五 
X33n0629_001:0446a26	一別喻五鈍(五)	一 別 喻 五 鈍 五 
X33n0629_001:0446a27	一喻慢使(鴟梟)	一 喻 慢 使 鴟 梟 
X33n0629_001:0446a28	二喻嗔使(蚖蛇)	二 喻 嗔 使 蚖 蛇 
X33n0629_001:0446a29	三喻疑使(守宮)	三 喻 疑 使 守 宮 
X33n0629_001:0446a30	四喻癡使(屎尿)	四 喻 癡 使 屎 尿 
X33n0629_001:0446a31	五喻貪使(狐狼)	五 喻 貪 使 狐 狼 
X33n0629_001:0446a32	二別喻五利(二)	二 別 喻 五 利 二 
X33n0629_001:0446a33	一結前起後(其舍)	一 結 前 起 後 其 舍 
X33n0629_001:0446a34	二正喻五利(五)	二 正 喻 五 利 五 
X33n0629_001:0446a35	一喻邪見(夜叉)	一 喻 邪 見 夜 叉 
X33n0629_001:0446a36	二喻戒見(鳩槃)	二 喻 戒 見 鳩 槃 
X33n0629_001:0446a37	三喻身見(復有)	三 喻 身 見 復 有 
X33n0629_001:0446a38	四喻見見(復有)	四 喻 見 見 復 有 
X33n0629_001:0446a39	五喻邊見(復有)	五 喻 邊 見 復 有 
X33n0629_001:0446a40	三總結二喻(夜叉)	三 總 結 二 喻 夜 叉 
X33n0629_001:0446a41	三喻三界眾苦(是朽)	三 喻 三 界 眾 苦 是 朽 
X33n0629_001:0446a42	四喻逼迫之相(三)	四 喻 逼 迫 之 相 三 
X33n0629_001:0446a43	一略喻依報之相(棟梁)	一 略 喻 依 報 之 相 棟 梁 
X33n0629_001:0446a44	二詳喻正報之相(二)	二 詳 喻 正 報 之 相 二 
X33n0629_001:0446a45	一喻下界之相(諸鬼)	一 喻 下 界 之 相 諸 鬼 
X33n0629_001:0446a46	二喻上界之相(臭烟)	二 喻 上 界 之 相 臭 烟 
X33n0629_001:0446a47	三總結依正二喻(其宅)	三 總 結 依 正 二 喻 其 宅 
X33n0629_001:0446a48	三頌結成感義喻(是時)	三 頌 結 成 感 義 喻 是 時 
X33n0629_001:0446a49	二頌如來化應喻(二)	二 頌 如 來 化 應 喻 二 
X33n0629_001:0446a50	一頌從實施權喻(二)	一 頌 從 實 施 權 喻 二 
X33n0629_001:0446a51	一頌從實不得喻(方宜)	一 頌 從 實 不 得 喻 方 宜 
X33n0629_001:0446a52	二頌隱實施權喻(二)	二 頌 隱 實 施 權 喻 二 
X33n0629_001:0446a53	一頌先示苦集喻(二)	一 頌 先 示 苦 集 喻 二 
X33n0629_001:0446a54	一頌正示苦集喻(告諭)	一 頌 正 示 苦 集 喻 告 諭 
X33n0629_001:0446a55	二頌違情不信喻(諸子)	二 頌 違 情 不 信 喻 諸 子 
X33n0629_001:0446a56	二頌次施道滅喻(三)	二 頌 次 施 道 滅 喻 三 
X33n0629_001:0446a57	一頌尋念方便喻(是時)	一 頌 尋 念 方 便 喻 是 時 
X33n0629_001:0446a58	二頌正施道滅喻(告諸)	二 頌 正 施 道 滅 喻 告 諸 
X33n0629_001:0446a59	三頌適願修證喻(諸子)	三 頌 適 願 修 證 喻 諸 子 
X33n0629_001:0446a60	二頌會權歸實喻(三)	二 頌 會 權 歸 實 喻 三 
X33n0629_001:0446a61	一頌時至機熟喻(二)	一 頌 時 至 機 熟 喻 二 
X33n0629_001:0446a62	一頌時節已至喻(長者)	一 頌 時 節 已 至 喻 長 者 
X33n0629_001:0446a63	二頌根機已熟喻(爾時)	二 頌 根 機 已 熟 喻 爾 時 
X33n0629_001:0446a64	二頌等賜一乘喻(長者)	二 頌 等 賜 一 乘 喻 長 者 
X33n0629_001:0446a65	三頌聞法獲益喻(諸子)	三 頌 聞 法 獲 益 喻 諸 子 
X33n0629_001:0446a66	二頌法合(二)	二 頌 法 合 二 
X33n0629_001:0447a01	一頌眾生機感(三)	一 頌 眾 生 機 感 三 
X33n0629_001:0447a02	一頌所感之佛(告舍)	一 頌 所 感 之 佛 告 舍 
X33n0629_001:0447a03	二頌能感之眾(一切)	二 頌 能 感 之 眾 一 切 
X33n0629_001:0447a04	三頌結成感義(如來)	三 頌 結 成 感 義 如 來 
X33n0629_001:0447a05	二頌如來化應(二)	二 頌 如 來 化 應 二 
X33n0629_001:0447a06	一頌從實施權(二)	一 頌 從 實 施 權 二 
X33n0629_001:0447a07	一頌從實不得(惟我)	一 頌 從 實 不 得 惟 我 
X33n0629_001:0447a08	二頌隱實施權(以是)	二 頌 隱 實 施 權 以 是 
X33n0629_001:0447a09	二頌會權歸實(二)	二 頌 會 權 歸 實 二 
X33n0629_001:0447a10	一頌等賜一乘(汝舍)	一 頌 等 賜 一 乘 汝 舍 
X33n0629_001:0447a11	二頌聞法獲益(與諸)	二 頌 聞 法 獲 益 與 諸 
X33n0629_001:0447a12	三頌結答(以是)	三 頌 結 答 以 是 
X33n0629_001:0447a13	二極顯悲心(三)	二 極 顯 悲 心 三 
X33n0629_001:0447a14	一完過去益(三)	一 完 過 去 益 三 
X33n0629_001:0447a15	一過去植種(告舍)	一 過 去 植 種 告 舍 
X33n0629_001:0447a16	二中間引熟(汝等)	二 中 間 引 熟 汝 等 
X33n0629_001:0447a17	三現在當脫(我雖)	三 現 在 當 脫 我 雖 
X33n0629_001:0447a18	二結未來緣(三)	二 結 未 來 緣 三 
X33n0629_001:0447a19	一現在植種(若有)	一 現 在 植 種 若 有 
X33n0629_001:0447a20	二中間引熟(若人)	二 中 間 引 熟 若 人 
X33n0629_001:0447a21	三未來當脫(是人)	三 未 來 當 脫 是 人 
X33n0629_001:0447a22	三防現在疑(我為)	三 防 現 在 疑 我 為 
X33n0629_001:0447a23	三結囑珍重(二)	三 結 囑 珍 重 二 
X33n0629_001:0447a24	一略囑(二)	一 略 囑 二 
X33n0629_001:0447a25	一略囑非機莫傳(汝舍)	一 略 囑 非 機 莫 傳 汝 舍 
X33n0629_001:0447a26	二略囑是機乃說(斯法)	二 略 囑 是 機 乃 說 斯 法 
X33n0629_001:0447a27	二詳囑(二)	二 詳 囑 二 
X33n0629_001:0447a28	一詳囑非機莫傳(三)	一 詳 囑 非 機 莫 傳 三 
X33n0629_001:0447a29	一指機標囑(又舍)	一 指 機 標 囑 又 舍 
