T02n0101_001:0493a04	雜阿含經	雜 阿 含 經 
T02n0101_001:0497a26	（一七）聞如是：一時佛在舍衛國，行在祇樹給孤	 一 七 聞 如 是 一 時 佛 在 舍 衛 國 行 在 祇 樹 給 孤 
T02n0101_001:0497a27	獨園。佛便告比丘：「有三力。何等三力？一者	獨 園 佛 便 告 比 丘 有 三 力 何 等 三 力 一 者 
T02n0101_001:0497a28	信力，二者精進力，三者黠力。信力為何等？	信 力 二 者 精 進 力 三 者 黠 力 信 力 為 何 等 
T02n0101_001:0497a29	在有道弟子為佛道無有能壞意，得佛恩行	在 有 道 弟 子 為 佛 道 無 有 能 壞 意 得 佛 恩 行 
T02n0101_001:0497b01	止，說佛如是語，如諦無所著，諦覺黠要得	止 說 佛 如 是 語 如 諦 無 所 著 諦 覺 黠 要 得 
T02n0101_001:0497b02	樂天下父，如是到佛棄惡到黠行，或是名為	樂 天 下 父 如 是 到 佛 棄 惡 到 黠 行 或 是 名 為 
T02n0101_001:0497b03	信力。精進力為何等？在有比丘已生惡意斷	信 力 精 進 力 為 何 等 在 有 比 丘 已 生 惡 意 斷 
T02n0101_001:0497b04	故，求欲行求為精進為受正意，未生惡意不	故 求 欲 行 求 為 精 進 為 受 正 意 未 生 惡 意 不 
T02n0101_001:0497b05	便起，未生善意為求生，已法意為止不忘不	便 起 未 生 善 意 為 求 生 已 法 意 為 止 不 忘 不 
T02n0101_001:0497b06	減，日增日多行念滿欲生求受精進制意出，	減 日 增 日 多 行 念 滿 欲 生 求 受 精 進 制 意 出 
T02n0101_001:0497b07	是名精進力。黠力為何等？若有比丘是苦習	是 名 精 進 力 黠 力 為 何 等 若 有 比 丘 是 苦 習 
T02n0101_001:0497b08	如諦知是習，苦是苦、習是苦、盡是苦要受，	如 諦 知 是 習 苦 是 苦 習 是 苦 盡 是 苦 要 受 
T02n0101_001:0497b09	是名為慧力。」佛告比丘，比丘已聞受行如	是 名 為 慧 力 佛 告 比 丘 比 丘 已 聞 受 行 如 
T02n0101_001:0497b10	說。	說 
T02n0101_001:0497b11	（一八）聞如是：一時佛在舍衛國，行在祇樹給	 一 八 聞 如 是 一 時 佛 在 舍 衛 國 行 在 祇 樹 給 
T02n0101_001:0497b12	孤獨園。佛便告比丘：「有四力。何等為四力？	孤 獨 園 佛 便 告 比 丘 有 四 力 何 等 為 四 力 
T02n0101_001:0497b13	一者意力，二者精進力，三者不犯力，四者	一 者 意 力 二 者 精 進 力 三 者 不 犯 力 四 者 
T02n0101_001:0497b14	守力。意力為何等？若有比丘知善惡濁如至	守 力 意 力 為 何 等 若 有 比 丘 知 善 惡 濁 如 至 
T02n0101_001:0497b15	誠知，亦知犯亦知不犯，亦知可行亦知不可	誠 知 亦 知 犯 亦 知 不 犯 亦 知 可 行 亦 知 不 可 
T02n0101_001:0497b16	行，亦知非亦知增，亦知白亦知黑，亦知從得	行 亦 知 非 亦 知 增 亦 知 白 亦 知 黑 亦 知 從 得 
T02n0101_001:0497b17	濁如諦知，是名為意力。精進力為何等？在有	濁 如 諦 知 是 名 為 意 力 精 進 力 為 何 等 在 有 
T02n0101_001:0497b18	比丘在有濁所惡說，所犯說，所不可說，所	比 丘 在 有 濁 所 惡 說 所 犯 說 所 不 可 說 所 
T02n0101_001:0497b19	黑說，不用進人說，如是輩為棄之，若所為	黑 說 不 用 進 人 說 如 是 輩 為 棄 之 若 所 為 
T02n0101_001:0497b20	濁好說，不犯說、可習說、可說、白說、所道說，如	濁 好 說 不 犯 說 可 習 說 可 說 白 說 所 道 說 如 
T02n0101_001:0497b21	是輩濁，為行為貪欲，為行為精進，為受意	是 輩 濁 為 行 為 貪 欲 為 行 為 精 進 為 受 意 
T02n0101_001:0497b22	為制意？是名為精進力。不犯力為何等？在	為 制 意 是 名 為 精 進 力 不 犯 力 為 何 等 在 
T02n0101_001:0497b23	有比丘為不犯身受行止，為不犯口，為不犯	有 比 丘 為 不 犯 身 受 行 止 為 不 犯 口 為 不 犯 
T02n0101_001:0497b24	心受行止，是名為不犯力。守力為何等？謂	心 受 行 止 是 名 為 不 犯 力 守 力 為 何 等 謂 
T02n0101_001:0497b25	四輩。何等為四輩？一為攝，二為布施，三為	四 輩 何 等 為 四 輩 一 為 攝 二 為 布 施 三 為 
T02n0101_001:0497b26	相哀，四為相助善行，是名為守力。」佛說如是。	相 哀 四 為 相 助 善 行 是 名 為 守 力 佛 說 如 是 
T02n0101_001:0497b27	（一九）聞如是：一時佛在舍衛國祇樹給孤獨	 一 九 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0497b28	園。佛便告比丘：「人有五力令女人欺男子。何	園 佛 便 告 比 丘 人 有 五 力 令 女 人 欺 男 子 何 
T02n0101_001:0497b29	為五力？一者色，二者端正，三者多男兄弟，	為 五 力 一 者 色 二 者 端 正 三 者 多 男 兄 弟 
T02n0101_001:0497c01	四者家豪，五者多財產。何等為色？謂女人不	四 者 家 豪 五 者 多 財 產 何 等 為 色 謂 女 人 不 
T02n0101_001:0497c02	良，已不良便不欲治生。當瞋恚不欲持家，	良 已 不 良 便 不 欲 治 生 當 瞋 恚 不 欲 持 家 
T02n0101_001:0497c03	是女人自謂端正無比，自謂多男兄弟強，自	是 女 人 自 謂 端 正 無 比 自 謂 多 男 兄 弟 強 自 
T02n0101_001:0497c04	謂豪貴家，自謂多財產，如是女人為不良。	謂 豪 貴 家 自 謂 多 財 產 如 是 女 人 為 不 良 
T02n0101_001:0497c05	若有女人貞良無有女色，大貞便為持兩善	若 有 女 人 貞 良 無 有 女 色 大 貞 便 為 持 兩 善 
T02n0101_001:0497c06	教，已受兩善教便欲治產，不欲瞋恚，便欲	教 已 受 兩 善 教 便 欲 治 產 不 欲 瞋 恚 便 欲 
T02n0101_001:0497c07	抦持家，如是者不用端正，故為是人但心為	抦 持 家 如 是 者 不 用 端 正 故 為 是 人 但 心 為 
T02n0101_001:0497c08	人耳，不用多男兄弟強，不用家豪貴自貢高，	人 耳 不 用 多 男 兄 弟 強 不 用 家 豪 貴 自 貢 高 
T02n0101_001:0497c09	不用多財產意適等耳，便為受教，已教善持	不 用 多 財 產 意 適 等 耳 便 為 受 教 已 教 善 持 
T02n0101_001:0497c10	之不懈，便欲治生。心和不欲瞋恚，便不棄家	之 不 懈 便 欲 治 生 心 和 不 欲 瞋 恚 便 不 棄 家 
T02n0101_001:0497c11	事，便欲治生憂持家，如是為貞良女人意。」佛	事 便 欲 治 生 憂 持 家 如 是 為 貞 良 女 人 意 佛 
T02n0101_001:0497c12	說如是。	說 如 是 
T02n0101_001:0497c13	（二〇）聞如是：一時佛在舍衛國祇樹給孤獨	 二 〇 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0497c14	園。佛告諸比丘：「比丘！諸不聞者，不聞俱相類	園 佛 告 諸 比 丘 比 丘 諸 不 聞 者 不 聞 俱 相 類 
T02n0101_001:0497c15	相聚相應相可，多聞者，多聞俱相類相聚相	相 聚 相 應 相 可 多 聞 者 多 聞 俱 相 類 相 聚 相 
T02n0101_001:0497c16	應相可；慳者，慳俱相類相聚相應相可，布施	應 相 可 慳 者 慳 俱 相 類 相 聚 相 應 相 可 布 施 
T02n0101_001:0497c17	者，布施俱相類相聚相應相可；黠者，黠俱相	者 布 施 俱 相 類 相 聚 相 應 相 可 黠 者 黠 俱 相 
T02n0101_001:0497c18	類相聚相應相可，癡者，癡俱相類相聚相應	類 相 聚 相 應 相 可 癡 者 癡 俱 相 類 相 聚 相 應 
T02n0101_001:0497c19	相可；多欲者，多欲俱相類相聚相應相可，少	相 可 多 欲 者 多 欲 俱 相 類 相 聚 相 應 相 可 少 
T02n0101_001:0497c20	欲者，少欲俱相類相聚相應相可；難持者，難	欲 者 少 欲 俱 相 類 相 聚 相 應 相 可 難 持 者 難 
T02n0101_001:0497c21	持俱相類相聚相應相可，易持者，易持俱相	持 俱 相 類 相 聚 相 應 相 可 易 持 者 易 持 俱 相 
T02n0101_001:0497c22	類相聚相應相可；難給者，難給俱相類相聚	類 相 聚 相 應 相 可 難 給 者 難 給 俱 相 類 相 聚 
T02n0101_001:0497c23	相應相可，易給者，易給俱相類相聚相應相	相 應 相 可 易 給 者 易 給 俱 相 類 相 聚 相 應 相 
T02n0101_001:0497c24	可；不足者，不足俱相類相聚相應相可，足者，	可 不 足 者 不 足 俱 相 類 相 聚 相 應 相 可 足 者 
T02n0101_001:0497c25	足俱相類相聚相應相可；不守者，不守俱相	足 俱 相 類 相 聚 相 應 相 可 不 守 者 不 守 俱 相 
T02n0101_001:0497c26	類相聚相應相可，守者，守俱相類相聚相應	類 相 聚 相 應 相 可 守 者 守 俱 相 類 相 聚 相 應 
T02n0101_001:0497c27	相可。」佛說：「比丘！如是，黠人當分別是因緣，可	相 可 佛 說 比 丘 如 是 黠 人 當 分 別 是 因 緣 可 
T02n0101_001:0497c28	行者當為行，不可行者當為莫行。」	行 者 當 為 行 不 可 行 者 當 為 莫 行 
T02n0101_001:0497c29	（二一）聞如是：一時佛在舍衛國祇樹給孤獨	 二 一 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0498a01	園。佛告比丘：「天上釋為故世在人中有七願，	園 佛 告 比 丘 天 上 釋 為 故 世 在 人 中 有 七 願 
T02n0101_001:0498a02	為如至命、為如求就、為所從本，故為釋。何等	為 如 至 命 為 如 求 就 為 所 從 本 故 為 釋 何 等 
T02n0101_001:0498a03	為七？到命要當為父母孝。到命要當為見老	為 七 到 命 要 當 為 父 母 孝 到 命 要 當 為 見 老 
T02n0101_001:0498a04	為禮。當為不出口炎言。當為隨意法語言。	為 禮 當 為 不 出 口 炎 言 當 為 隨 意 法 語 言 
T02n0101_001:0498a05	當為至命要不怒讒妄語。當為至命要至誠	當 為 至 命 要 不 怒 讒 妄 語 當 為 至 命 要 至 誠 
T02n0101_001:0498a06	語，至誠喜至誠止，常信不欺天下。當為至命	語 至 誠 喜 至 誠 止 常 信 不 欺 天 下 當 為 至 命 
T02n0101_001:0498a07	要天下慳，我當為意中不隨慳家中。行布施	要 天 下 慳 我 當 為 意 中 不 隨 慳 家 中 行 布 施 
T02n0101_001:0498a08	放手常與所求，名好布施，布施等分。為是釋	放 手 常 與 所 求 名 好 布 施 布 施 等 分 為 是 釋 
T02n0101_001:0498a09	天王故世在人中為是七願，說為至命要具	天 王 故 世 在 人 中 為 是 七 願 說 為 至 命 要 具 
T02n0101_001:0498a10	行就，為從是本釋釋得。」從後說絕：	行 就 為 從 是 本 釋 釋 得 從 後 說 絕 
T02n0101_001:0498a11	「為孝父母，　姓中有老人禮，　不炎說隨意說	 為 孝 父 母 姓 中 有 老 人 禮 不 炎 說 隨 意 說 
T02n0101_001:0498a12	讒妄言棄，　從慳自出諦不怒喜行言。	讒 妄 言 棄 從 慳 自 出 諦 不 怒 喜 行 言 
T02n0101_001:0498a13	「為是故能得上天，在所人欲行是，當為天上	 為 是 故 能 得 上 天 在 所 人 欲 行 是 當 為 天 上 
T02n0101_001:0498a14	禮如是。」佛說如是。	禮 如 是 佛 說 如 是 
T02n0101_001:0498a15	（二二）聞如是：一時佛在舍衛國，行在祇樹給	 二 二 聞 如 是 一 時 佛 在 舍 衛 國 行 在 祇 樹 給 
T02n0101_001:0498a16	孤獨園。佛便以爪甲頭取土已取，便告比丘：	孤 獨 園 佛 便 以 爪 甲 頭 取 土 已 取 便 告 比 丘 
T02n0101_001:0498a17	「比丘！知是云何？何等為多？爪頭土何如地土	 比 丘 知 是 云 何 何 等 為 多 爪 頭 土 何 如 地 土 
T02n0101_001:0498a18	多？」比丘可便報：「佛爪甲上土少，不可比地土，	多 比 丘 可 便 報 佛 爪 甲 上 土 少 不 可 比 地 土 
T02n0101_001:0498a19	無有比，亦非百倍，亦非千倍，亦非萬倍，亦	無 有 比 亦 非 百 倍 亦 非 千 倍 亦 非 萬 倍 亦 
T02n0101_001:0498a20	非億倍，亦無有數，亦無有數喻亦無聚，亦	非 億 倍 亦 無 有 數 亦 無 有 數 喻 亦 無 聚 亦 
T02n0101_001:0498a21	不可說譬喻，是地土甚多。」佛便告比丘：「如	不 可 說 譬 喻 是 地 土 甚 多 佛 便 告 比 丘 如 
T02n0101_001:0498a22	是人所不知智黠眼行如地土，如是人所為	是 人 所 不 知 智 黠 眼 行 如 地 土 如 是 人 所 為 
T02n0101_001:0498a23	智黠眼行如爪上土。如是人所為智黠眼行，	智 黠 眼 行 如 爪 上 土 如 是 人 所 為 智 黠 眼 行 
T02n0101_001:0498a24	如是可學智黠眼行無有過，黠生當為自活，	如 是 可 學 智 黠 眼 行 無 有 過 黠 生 當 為 自 活 
T02n0101_001:0498a25	如是比丘欲行道者可學。」佛說如是。	如 是 比 丘 欲 行 道 者 可 學 佛 說 如 是 
T02n0101_001:0498a26	（二三）聞如是：一時佛在舍衛國祇樹給孤獨	 二 三 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0498a27	園。佛便告比丘：「身為無有反復，身不念恩，	園 佛 便 告 比 丘 身 為 無 有 反 復 身 不 念 恩 
T02n0101_001:0498a28	若有小痛因作病，舉身并痛，常隨意所欲得，	若 有 小 痛 因 作 病 舉 身 并 痛 常 隨意所欲 得 
T02n0101_001:0498a29	眼與好色，耳與好聲，鼻與好香，舌與美味，	眼 與 好 色 耳 與 好 聲 鼻 與 好 香 舌 與 美 味 
T02n0101_001:0498b01	身與細軟，養身如是，捨人壞敗，身不欲度	身 與 細 軟 養 身 如 是 捨 人 壞 敗 身 不 欲 度 
T02n0101_001:0498b02	人。何以故？不盡隨戒法但作罪。」佛便告比	人 何 以 故 不 盡 隨 戒 法 但 作 罪 佛 便 告 比 
T02n0101_001:0498b03	丘：「過世有王名為大華，欲死時說言：『咄！當	丘 過 世 有 王 名 為 大 華 欲 死 時 說 言 咄 當 
T02n0101_001:0498b04	用身作何等？養護百歲盡力如是，一死事來	用 身 作 何 等 養 護 百 歲 盡 力 如 是 一 死 事 來 
T02n0101_001:0498b05	身便壞敗。』如是身為無有反復，便知是為若，	身 便 壞 敗 如 是 身 為 無 有 反 復 便 知 是 為 若 
T02n0101_001:0498b06	當用為視養？有劇如怨家，身自求罪，已得	當 用 為 視 養 有 劇 如 怨 家 身 自 求 罪 已 得 
T02n0101_001:0498b07	小痛便見憂態，常與最好五樂，久視之會當	小 痛 便 見 憂 態 常 與 最 好 五 樂 久 視 之 會 當 
T02n0101_001:0498b08	老病死？比丘可念而不忘是，已知是當行教	老 病 死 比 丘 可 念 而 不 忘 是 已 知 是 當 行 教 
T02n0101_001:0498b09	人。」佛教如是。	人 佛 教 如 是 
T02n0101_001:0498b10	（二四）聞如是：一時佛在舍衛國，行在祇樹給孤	 二 四 聞 如 是 一 時 佛 在 舍 衛 國 行 在 祇 樹 給 孤 
T02n0101_001:0498b11	獨園。佛便告比丘：「師子畜生王從自處出，已	獨 園 佛 便 告 比 丘 師 子 畜 生 王 從 自 處 出 已 
T02n0101_001:0498b12	自處出便欠，已欠便視便四面觀。便三反師	自 處 出 便 欠 已 欠 便 視 便 四 面 觀 便 三 反 師 
T02n0101_001:0498b13	子聲行，便所意至處便行，已見有山河中深	子 聲 行 便 所 意 至 處 便 行 已 見 有 山 河 中 深 
T02n0101_001:0498b14	疾，過使難度，便師子在從是邊河自止，便度	疾 過 使 難 度 便 師 子 在 從 是 邊 河 自 止 便 度 
T02n0101_001:0498b15	邊作識觀意念：『從是下到識處出已。』已便下，	邊 作 識 觀 意 念 從 是 下 到 識 處 出 已 已 便 下 
T02n0101_001:0498b16	若師子王所識直不得出便復還，復度不得	若 師 子 王 所 識 直 不 得 出 便 復 還 復 度 不 得 
T02n0101_001:0498b17	復還，常欲得識處出，至死師子王不止不行	復 還 常 欲 得 識 處 出 至 死 師 子 王 不 止 不 行 
T02n0101_001:0498b18	不置。所識不得故亦如是，所有癡人不諦受	不 置 所 識 不 得 故 亦 如 是 所 有 癡 人 不 諦 受 
T02n0101_001:0498b19	所學聞，便為人聚行說到人牽出，所癡人亦	所 學 聞 便 為 人 聚 行 說 到 人 牽 出 所 癡 人 亦 
T02n0101_001:0498b20	不置癡態行，亦不欲所，不諦受經所要，若	不 置 癡 態 行 亦 不 欲 所 不 諦 受 經 所 要 若 
T02n0101_001:0498b21	如是便黠人可覺是：『是我當為學經力力行，	如 是 便 黠 人 可 覺 是 是 我 當 為 學 經 力 力 行 
T02n0101_001:0498b22	我當為學問力，我當為精觀行力，我當為不	我 當 為 學 問 力 我 當 為 精 觀 行 力 我 當 為 不 
T02n0101_001:0498b23	放，師子王死態難出，覺少人欲為道。』當學如	放 師 子 王 死 態 難 出 覺 少 人 欲 為 道 當 學 如 
T02n0101_001:0498b24	是。」佛說如是。	是 佛 說 如 是 
T02n0101_001:0498b25	（二五）聞如是：一時佛在王舍國講堂中。在時	 二 五 聞 如 是 一 時 佛 在 王 舍 國 講 堂 中 在 時 
T02n0101_001:0498b26	名為阿遬輪子婆羅門至佛，已至為麁惡口	名 為 阿 遬 輪 子 婆 羅 門 至 佛 已 至 為 麁 惡 口 
T02n0101_001:0498b27	惡罵佛劇罵訶止，佛便為婆羅門阿遬輪子	惡 罵 佛 劇 罵 訶 止 佛 便 為 婆 羅 門 阿 遬 輪 子 
T02n0101_001:0498b28	說經譬喻：「若人無有惡，為持惡口說向，清白	說 經 譬 喻 若 人 無 有 惡 為 持 惡 口 說 向 清 白 
T02n0101_001:0498b29	行無有，惡癡人從是致殃。譬如人逆向風末	行 無 有 惡 癡 人 從 是 致 殃 譬 如 人 逆 向 風 末 
T02n0101_001:0498c01	塵來坌。」即時婆羅門阿遬輪子，為持頭面著	塵 來 坌 即 時 婆 羅 門 阿 遬 輪 子 為 持 頭 面 著 
T02n0101_001:0498c02	足曰：「知過受悔，如癡、如愚，如不解、如不了，名	足 曰 知 過 受 悔 如 癡 如 愚 如 不 解 如 不 了 名 
T02n0101_001:0498c03	為愚癡者，為度世者，持弊惡口罵亦數諫為，	為 愚 癡 者 為 度 世 者 持 弊 惡 口 罵 亦 數 諫 為 
T02n0101_001:0498c04	佛當為愚癡人故受悔過，從今自守不復犯。」	佛 當 為 愚 癡 人 故 受 悔 過 從 今 自 守 不 復 犯 
T02n0101_001:0498c05	佛報言：「已婆羅門悔過，如愚、如癡、如不解不	佛 報 言 已 婆 羅 門 悔 過 如 愚 如 癡 如 不 解 不 
T02n0101_001:0498c06	了，為罵如來惡喙，已見復悔自說自守後不	了 為 罵 如 來 惡 喙 已 見 復 悔 自 說 自 守 後 不 
T02n0101_001:0498c07	敢犯，是道行中望增道不減，若已見自悔過，	敢 犯 是 道 行 中 望 增 道 不 減 若 已 見 自 悔 過 
T02n0101_001:0498c08	自現不匿現守本不復犯。」婆羅門便自歸佛。	自 現 不 匿 現 守 本 不 復 犯 婆 羅 門 便 自 歸 佛 
T02n0101_001:0498c09	佛說如是。	佛 說 如 是 
T02n0101_001:0498c10	（二六）聞如是：一時佛在王舍國時，有婆羅門	 二 六 聞 如 是 一 時 佛 在 王 舍 國 時 有婆羅門 
T02n0101_001:0498c11	名為不侵行者，至佛所與佛談，一處坐。已一	名 為 不 侵 行 者 至 佛 所 與 佛 談 一 處 坐 已 一 
T02n0101_001:0498c12	處坐，不侵行者向佛說如是：「我名為不侵。」佛	處 坐 不 侵 行 者 向 佛 說 如 是 我 名 為 不 侵 佛 
T02n0101_001:0498c13	報言：「如名意亦爾？」爾乃婆羅門應：「不侵。」從	報 言 如 名 意 亦 爾 爾 乃 婆 羅 門 應 不 侵 從 
T02n0101_001:0498c14	後說絕：	後 說 絕 
T02n0101_001:0498c15	「若身不侵者，　　口善意亦然，	 若 身 不 侵 者 口 善 意 亦 然 
T02n0101_001:0498c16	　如是名不侵，　　無所侵為奇。」	 如 是 名 不 侵 無 所 侵 為 奇 
T02n0101_001:0498c17	即不侵行者從坐起，持頭面著佛足下，從今	即 不 侵 行 者 從 坐 起 持 頭 面 著 佛 足 下 從 今 
T02n0101_001:0498c18	持教誡不復犯五戒。佛說如是。	持 教 誡 不 復 犯 五 戒 佛 說 如 是 
T02n0101_001:0498c19	（二七）佛說七處三觀經	 二 七 佛 說 七 處 三 觀 經 
T02n0101_001:0498c20	聞如是：一時佛在舍衛國祇樹給孤獨園。佛	聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 佛 
T02n0101_001:0498c21	便呼比丘：「七處為知，三處為觀，疾為在道	便 呼 比 丘 七 處 為 知 三 處 為 觀 疾 為 在 道 
T02n0101_001:0498c22	法脫結，無有結，意脫從黠得法，已見法自	法 脫 結 無 有 結 意 脫 從 黠 得 法 已 見 法 自 
T02n0101_001:0498c23	證道，受生盡，行道竟，作可作，不復來還。」佛問	證 道 受 生 盡 行 道 竟 作 可 作 不 復 來 還 佛 問 
T02n0101_001:0498c24	比丘：「何等為七處？善為知是。聞比丘色如本	比 丘 何 等 為 七 處 善 為 知 是 聞 比 丘 色 如 本 
T02n0101_001:0498c25	諦知？亦知色習，亦知色盡，亦知色滅度行，亦	諦 知 亦 知 色 習 亦 知 色 盡 亦 知 色 滅 度 行 亦 
T02n0101_001:0498c26	知色味，亦知色苦，亦知色出要，亦至誠；如是	知 色 味 亦 知 色 苦 亦 知 色 出 要 亦 至 誠 如 是 
T02n0101_001:0498c27	痛癢、思想、生死，識如本知，識習、識盡、識盡、受	痛 癢 思 想 生 死 識 如 本 知 識 習 識 盡 識 盡 受 
T02n0101_001:0498c28	行本知，亦知識味，亦知識苦，亦知識出要，亦	行 本 知 亦 知 識 味 亦 知 識 苦 亦 知 識 出 要 亦 
T02n0101_001:0498c29	知識本至誠。何等為色如諦如？所色為四本，	知 識 本 至 誠 何 等 為 色 如 諦 如 所 色 為 四 本 
T02n0101_001:0499a01	亦在四大，亦為在四大蚖，所色本如是如本	亦 在 四 大 亦 為 在 四 大 蚖 所 色 本 如 是 如 本 
T02n0101_001:0499a02	知。何等色習如本知？愛習為色習，如是色習	知 何 等 色 習 如 本 知 愛 習 為 色 習 如 是 色 習 
T02n0101_001:0499a03	為知。何等為色盡如至誠？知愛盡為色盡，	為 知 何 等 為 色 盡 如 至 誠 知 愛 盡 為 色 盡 
T02n0101_001:0499a04	如是色盡為至誠知。何等為色行盡如至誠	如 是 色 盡 為 至 誠 知 何 等 為 色 行 盡 如 至 誠 
T02n0101_001:0499a05	知？若是色為是八行，諦見到諦定為八，如是色	知 若 是 色 為 是 八 行 諦 見 到 諦 定 為 八 如 是 色 
T02n0101_001:0499a06	盡受行如至誠知本。何等為知色味如至誠	盡 受 行 如 至 誠 知 本 何 等 為 知 色 味 如 至 誠 
T02n0101_001:0499a07	知？所色欲生喜生欲生，如是色為味如至誠	知 所 色 欲 生 喜 生 欲 生 如 是 色 為 味 如 至 誠 
T02n0101_001:0499a08	知。何等為色惱如至誠知？所色不常、苦、轉	知 何 等 為 色 惱 如 至 誠 知 所 色 不 常 苦 轉 
T02n0101_001:0499a09	法，如是為色惱如至誠知。何等為色要如	法 如 是 為 色 惱 如 至 誠 知 何 等 為 色 要 如 
T02n0101_001:0499a10	至誠知？所色欲貪能解，能棄欲、能度欲，如是	至 誠 知 所 色 欲 貪 能 解 能 棄 欲 能 度 欲 如 是 
T02n0101_001:0499a11	為色知要如至誠。何等為痛癢能知？六痛癢	為 色 知 要 如 至 誠 何 等 為 痛 癢 能 知 六 痛 癢 
T02n0101_001:0499a12	眼栽痛癢，耳鼻舌身意栽痛癢，如是為知	眼 栽 痛 癢 耳 鼻 舌 身 意 栽 痛 癢 如 是 為 知 
T02n0101_001:0499a13	痛癢。何等為痛癢習？栽習為痛癢習，如是	痛 癢 何 等 為 痛 癢 習 栽 習 為 痛 癢 習 如 是 
T02n0101_001:0499a14	習為痛癢習。何等為痛癢盡知？栽盡為痛癢	習 為 痛 癢 習 何 等 為 痛 癢 盡 知 栽 盡 為 痛 癢 
T02n0101_001:0499a15	盡知，如是為痛癢盡知。何等為痛癢受行？	盡 知 如 是 為 痛 癢 盡 知 何 等 為 痛 癢 受 行 
T02n0101_001:0499a16	若受八行，諦見到諦定意為八，如是痛癢如	若 受 八 行 諦 見 到 諦 定 意 為 八 如 是 痛 癢 如 
T02n0101_001:0499a17	盡受行為道。何等為痛癢味識？是為痛癢求	盡 受 行 為 道 何 等 為 痛 癢 味 識 是 為 痛 癢 求 
T02n0101_001:0499a18	來可求喜，如是為痛癢識味為知。何等為痛	來 可 求 喜 如 是 為 痛 癢 識 味 為 知 何 等 為 痛 
T02n0101_001:0499a19	癢惱識？所痛癢為不常、敗、苦、轉法意，如是為	癢 惱 識 所 痛 癢 為 不 常 敗 苦 轉 法 意 如 是 為 
T02n0101_001:0499a20	痛癢惱識。何等為痛癢要？所痛癢欲能活為	痛 癢 惱 識 何 等 為 痛 癢 要 所 痛 癢 欲 能 活 為 
T02n0101_001:0499a21	愛貪能度，如是為痛癢要識如諦知。何等	愛 貪 能 度 如 是 為 痛 癢 要 識 如 諦 知 何 等 
T02n0101_001:0499a22	為思想識？為身六思想，眼栽思想，耳鼻舌	為 思 想 識 為 身 六 思 想 眼 栽 思 想 耳 鼻 舌 
T02n0101_001:0499a23	身意栽思想，如是是六識思想。何等為思想	身 意 栽 思 想 如 是 是 六 識 思 想 何 等 為 思 想 
T02n0101_001:0499a24	習識？栽習為思想習，如是為思想習識。何	習 識 栽 習 為 思 想 習 如 是 為 思 想 習 識 何 
T02n0101_001:0499a25	等為思想盡識？盡為思想盡識，如是為思想	等 為 思 想 盡 識 盡 為 思 想 盡 識 如 是 為 思 想 
T02n0101_001:0499a26	盡識。何等為思想盡受行識？是為八行識，	盡 識 何 等 為 思 想 盡 受 行 識 是 為 八 行 識 
T02n0101_001:0499a27	識諦見到諦定意為八，如是盡思想受行	識 諦 見 到 諦 定 意 為 八 如 是 盡 思 想 受 行 
T02n0101_001:0499a28	識。何等為思想味識？所為思想因緣生樂得	識 何 等 為 思 想 味 識 所 為 思 想 因 緣 生 樂 得 
T02n0101_001:0499a29	意喜，如是思想味識。何等為思想惱識？所	意 喜 如 是 思 想 味 識 何 等 為 思 想 惱 識 所 
T02n0101_001:0499b01	為思想不常、盡、苦、轉法，如是為思想惱識。何	為 思 想 不 常 盡 苦 轉 法 如 是 為 思 想 惱 識 何 
T02n0101_001:0499b02	等為思想要識？所思想欲能解、欲貪能斷、欲	等 為 思 想 要 識 所 思 想 欲 能 解 欲 貪 能 斷 欲 
T02n0101_001:0499b03	貪能自度，如是為思想要識。何等為生死識？	貪 能 自 度 如 是 為 思 想 要 識 何 等 為 生 死 識 
T02n0101_001:0499b04	為六身生死識，眼栽生死識，耳鼻舌身意	為 六 身 生 死 識 眼 栽 生 死 識 耳 鼻 舌 身 意 
T02n0101_001:0499b05	栽行，如是為生死識。何等為生死習？栽習	栽 行 如 是 為 生 死 識 何 等 為 生 死 習 栽 習 
T02n0101_001:0499b06	為生死習識。何等為生死盡識？栽盡為生	為 生 死 習 識 何 等 為 生 死 盡 識 栽 盡 為 生 
T02n0101_001:0499b07	死盡識。何等為生死欲盡愛行識？為是八行，	死 盡 識 何 等 為 生 死 欲 盡 愛 行 識 為 是 八 行 
T02n0101_001:0499b08	識諦見至諦定為八，如是為生死欲滅受行	識 諦 見 至 諦 定 為 八 如 是 為 生 死 欲 滅 受 行 
T02n0101_001:0499b09	識。何等為生死味識？所為生死因緣生樂喜	識 何 等 為 生 死 味 識 所 為 生 死 因 緣 生 樂 喜 
T02n0101_001:0499b10	意，如是為生死味識。何等為生死惱識？所有	意 如 是 為 生 死 味 識 何 等 為 生 死 惱 識 所 有 
