T85n2752_001:0199a16	法華問答	法 華 問 答 
T85n2752_001:0203b20	以上。二就大乘解。如來光者遍一切無物不	以 上 二 就 大 乘 解 如 來 光 者 遍 一 切 無 物 不 
T85n2752_001:0203b21	照　故經說言上到有頂下至水際。此就化相	照 故 經 說 言 上 到 有 頂 下 至 水 際 此 就 化 相 
T85n2752_001:0203b22	說遍通十方據大乘說　問。經云有比丘實	說 遍 通 十 方 據 大 乘 說 問 經 云 有 比 丘 實 
T85n2752_001:0203b23	得阿羅漢。若不信此法無有是處其義云何	得阿羅漢 若 不 信 此 法 無 有 是 處 其 義 云 何 
T85n2752_001:0203b24	　答。謂退菩提心聲聞及應化聲聞得成阿	 答 謂 退 菩 提 心 聲 聞 及 應 化 聲 聞 得 成 阿 
T85n2752_001:0203b25	羅漢者。於法花一乘之法決定生信。此乘無	羅 漢 者 於 法 花 一 乘 之 法 決 定 生 信 此 乘 無 
T85n2752_001:0203b26	有是處　問。云何名五濁。何者是五濁　答。	有 是 處 問 云 何 名 五 濁 何 者 是 五 濁 答 
T85n2752_001:0203b27	濁亂不清淨名之為濁。濁義不同有其五。經	濁 亂 不 清 淨 名 之 為 濁 濁 義 不 同 有 其 五 經 
T85n2752_001:0203b28	一劫二煩惱三眾生四見五命。劫者時也。劫	一 劫 二 煩 惱 三 眾 生 四 見 五 命 劫 者 時 也 劫 
T85n2752_001:0203b29	中有為濁故曰劫濁。煩惱者令四住他門名	中 有 為 濁 故 曰 劫 濁 煩 惱 者 令 四 住 他 門 名 
T85n2752_001:0203c01	煩惱。煩惱迷心名為煩惱濁。眾勞亂行人名	煩 惱 煩 惱 迷 心 名 為 煩 惱 濁 眾 勞 亂 行 人 名 
T85n2752_001:0203c02	為煩惱濁。法成生名眾生濁。邪見決斷名為	為 煩 惱 濁 法 成 生 名 眾 生 濁 邪 見 決 斷 名 為 
T85n2752_001:0203c03	見濁。違持色以名之為命體從名命濁五何	見 濁 違 持 色 以 名 之 為 命 體 從 名 命 濁 五 何 
T85n2752_001:0203c04	壽命申夭名為命濁。出體者以衣食等命緣	壽 命 申 夭 名 為 命 濁 出 體 者 以 衣 食 等 命 緣 
T85n2752_001:0203c05	為劫濁體。以貪瞋癡三毒為煩惱濁體。以命	為 劫 濁 體 以 貪 瞋 癡 三 毒 為 煩 惱 濁 體 以 命 
T85n2752_001:0203c06	根為眾生濁體。以五見便為見濁。以命根為	根 為 眾 生 濁 體 以 五 見 便 為 見 濁 以 命 根 為 
T85n2752_001:0203c07	體　問。現瑞何故彌勒生疑正說之中由子	體 問 現 瑞 何 故 彌 勒 生 疑 正 說 之 中 由 子 
T85n2752_001:0203c08	騰清　答。現瑞通來一部經因果之義。唯佛	騰 清 答 現 瑞 通 來 一 部 經 因 果 之 義 唯 佛 
T85n2752_001:0203c09	能了窮子未知。所以彌勒疑也。正說之偏對	能 了 窮 子 未 知 所 以 彌 勒 疑 也 正 說 之 偏 對 
T85n2752_001:0203c10	身子。身子是執異之瑞故。生疑致請也　問。	身 子 身 子 是 執 異 之 瑞 故 生 疑 致 請 也 問 
T85n2752_001:0203c11	既云樂小法者。何故復言貪著於生死　答。	既 云 樂小法者 何 故 復 言 貪 著 於 生 死 答 
T85n2752_001:0203c12	現在機緣於過去久遠貪著於生死。又解樂	現 在 機 緣 於 過去久遠 貪 著 於 生 死 又 解 樂 
T85n2752_001:0203c13	於小法則是貪著於生死。以小涅槃即是大	於 小 法 則 是 貪 著 於 生 死 以 小 涅 槃 即 是 大 
T85n2752_001:0203c14	乘生死　問。人天善根既所德。云何此經比	乘 生 死 問 人 天 善 根 既 所 德 云 何 此 經 比 
T85n2752_001:0203c15	已來佛道　答。人天善根比是德佛之違緣	已 來 佛 道 答 人 天 善 根 比 是 德 佛 之 違 緣 
T85n2752_001:0203c16	故云成佛也　問。何為兩足尊　答。或心定	故 云 成 佛 也 問 何 為 兩 足 尊 答 或 心 定 
T85n2752_001:0203c17	惠為兩足。或以權實為兩足。或以緣行為兩	惠 為 兩 足 或 以 權 實 為 兩 足 或 以 緣 行 為 兩 
T85n2752_001:0203c18	足。或以人天為兩足　問。故云何名觀樹亦	足 或 以 人 天 為 兩 足 問 故 云 何 名 觀 樹 亦 
T85n2752_001:0203c19	經行　答。如來在此樹下。成道念根樹思故。	經 行 答 如 來 在 此 樹 下 成 道 念 根 樹 思 故 
T85n2752_001:0203c20	達行者本為取道故坐命得道意是故經行	達 行 者 本 為 取 道 故 坐 命 得 道 意 是 故 經 行 
T85n2752_001:0203c21	　問　佛為眾生故出計應說法。何事待請耶	 問 佛 為 眾 生 故 出 計 應 說 法 何 事 待 請 耶 
T85n2752_001:0203c22	　答。論云。佛雖不須請而令請者獲福　問。諸	 答 論 云 佛 雖 不 須 請 而 令 請 者 獲 福 問 諸 
T85n2752_001:0203c23	天請不明人請耶　答。天勝人故明請不明	天 請 不 明 人 請 耶 答 天 勝 人 故 明 請 不 明 
T85n2752_001:0203c24	人也　問。譬喻品中明何義　答。品內明初	人 也 問 譬 喻 品 中 明 何 義 答 品 內 明 初 
T85n2752_001:0203c25	據舍利弗記。後明火宅譬對治求勢力人倒	據 舍 利 弗 記 後 明 火 宅 譬 對 治 求 勢 力 人 倒 
T85n2752_001:0203c26	求增上慢。此是欲界凡夫無勝壞界理實麁	求 增 上 慢 此 是 欲 界 凡 夫 無 勝 壞 界 理 實 麁 
T85n2752_001:0203c27	弊非樂計樂故名倒求。火宅譬中光明三車。	弊 非 樂 計 樂 故 名 倒 求 火 宅 譬 中 光 明 三 車 
T85n2752_001:0203c28	拔其大苦緣合入理與其大乘。論云。以世間	拔 其 大 苦 緣 合 入 理 與 其 大 乘 論 云 以 世 間 
T85n2752_001:0203c29	諸煩惱熾然。人天以為妙境。對治此相說火	諸 煩 惱 熾 然 人 天 以 為 妙 境 對 治 此 相 說 火 
T85n2752_001:0204a01	宅譬　問。此經大宗破三歸一味知破三會	宅 譬 問 此 經 大 宗 破 三 歸 一 味 知 破 三 會 
T85n2752_001:0204a02	云何同異　答。據病為言則破三歸。約行為	云 何 同 異 答 據 病 為 言 則 破 三 歸 約 行 為 
T85n2752_001:0204a03	悟則會三歸一。病則俱破而不會。行則俱會	悟 則 會 三 歸 一 病 則 俱 破 而 不 會 行 則 俱 會 
T85n2752_001:0204a04	而不破　問。昔以說諸大乘經為菩薩行。今	而 不 破 問 昔 以 說 諸 大 乘 經 為 菩 薩 行 今 
T85n2752_001:0204a05	何因緣復後菩薩行假釋　答。菩薩有二種。	何 因 緣 復 後 菩 薩 行 假 釋 答 菩 薩 有 二 種 
T85n2752_001:0204a06	一者直往。二者迴小入大。直往者。花嚴坐下	一 者 直 往 二 者 迴 小 入 大 直 往 者 花 嚴 坐 下 
T85n2752_001:0204a07	為諸菩薩說大乘經名無量義經菩薩法佛所	為 諸 菩 薩 說 大 乘 經 名 無 量 義 經 菩 薩 法 佛 所 
T85n2752_001:0204a08	護念等故。下文言除先修習學小乘者如來	護 念 等 故 下 文 言 除 先 修 習 學 小 乘 者 如 來 
T85n2752_001:0204a09	之人今我得中是經入於佛惠。迴小入大者。	之 人 今 我 得 中 是 經 入 於 佛 惠 迴 小 入 大 者 
T85n2752_001:0204a10	即令法花坐廣說譬喻。心宿草菴漸淺長等	即 令 法 花 坐 廣 說 譬 喻 心 宿 草 菴 漸 淺 長 等 
T85n2752_001:0204a11	事　問。云何是度五百由旬。何者是化來。何	事 問 云 何 是 度 五 百 由 旬 何 者 是 化 來 何 
T85n2752_001:0204a12	者是寶所　答。五百比是要法三界為三百	者 是 寶 所 答 五 百 比 是 要 法 三 界 為 三 百 
T85n2752_001:0204a13	二百喻習二乘涅槃。後一百即四住習二乘	二 百 喻 習 二 乘 涅 槃 後 一 百 即 四 住 習 二 乘 
T85n2752_001:0204a14	迴心已知初地。已知為一百即五百。若以二	迴 心 已 知 初 地 已 知 為 一 百 即 五 百 若 以 二 
T85n2752_001:0204a15	乘為二百者有妨。以化城是東果已度竟故。	乘 為 二 百 者 有 妨 以 化 城 是 東 果 已 度 竟 故 
T85n2752_001:0204a16	化城已後方便度二百。然二乘未過寶何故	化 城 已 後 方 便 度 二 百 然 二 乘 未 過 寶 何 故 
T85n2752_001:0204a17	須進途二百二界即五道故不通為五百總為	須 進 途 二 百 二 界 即 五 道 故 不 通 為 五 百 總 為 
T85n2752_001:0204a18	五百。言化城者無而忽有名之為化。防非捍	五 百 言 化 城 者 無 而 忽 有 名 之 為 化 防 非 捍 
T85n2752_001:0204a19	敵目之為城。度三百由旬眾人度退。商主方	敵 目 之 為 城 度 三 百 由 旬 眾 人 度 退 商 主 方 
T85n2752_001:0204a20	便權說二乘滅諦涅槃解其疲倦。今前進同	便 權 說 二 乘 滅 諦 涅 槃 解 其 疲 倦 今 前 進 同 
T85n2752_001:0204a21	趣寶所。言寶者諸師不同。隨人有異。今案	趣 寶 所 言 寶 者 諸 師 不 同 隨 人 有 異 今 案 
T85n2752_001:0204a22	此文位當種性羅漢迴心位當十信。若論斷	此 文 位 當 種 性 羅 漢 迴 心 位 當 十 信 若 論 斷 
T85n2752_001:0204a23	或初地齊功心位同十信。論其究竟佛地方	或 初 地 齊 功 心 位 同 十 信 論 其 究 竟 佛 地 方 
T85n2752_001:0204a24	息進求。今就大乘果滿故言實。何者藏法師	息 進 求 今 就 大 乘 果 滿 故 言 實 何 者 藏 法 師 
T85n2752_001:0204a25	以三界為三百。二原為二即五百。惠淨法師	以 三 界 為 三 百 二 原 為 二 即 五 百 惠 淨 法 師 
T85n2752_001:0204a26	以五道為五百。三途為三百。人天二百即五	以 五 道 為 五 百 三 途 為 三 百 人 天 二 百 即 五 
T85n2752_001:0204a27	百。并此以宗三類不同。地意即同　問。如來	百 并 此 以 宗 三 類 不 同 地 意 即 同 問 如 來 
T85n2752_001:0204a28	十八不共法何者是　答。一身無失。二口無	十八不共法 何 者 是 答 一 身 無 失 二 口 無 
T85n2752_001:0204a29	失念無失。四無不定心。五無異相。六不知	失 念 無 失 四 無不定心 五 無 異 相 六 不 知 
T85n2752_001:0204b01	以捨心。七欲無減。八念無減。九智無減。十	以 捨 心 七 欲 無 減 八 念 無 減 九 智 無 減 十 
T85n2752_001:0204b02	通無減。十解脫無減。十解脫知見無減。十	通 無 減 十 解 脫 無 減 十 解脫知見 無 減 十 
T85n2752_001:0204b03	三身業修智慧行。十四口業修智慧行。十五	三 身 業 修 智 慧 行 十 四 口 業 修 智 慧 行 十 五 
T85n2752_001:0204b04	意業修智慧智慧者無障。十七智慧知未來	意 業 修 智 慧 智 慧 者 無 障 十 七 智 慧 知 未 來 
T85n2752_001:0204b05	無障。十八智慧智見在無障。如業身三四口	無 障 十 八 智 慧 智 見 在 無 障 如 業 身 三 四 口 
T85n2752_001:0204b06	意三。皆悉已離三業清淨故言無失。乃至智	意 三 皆 悉 已 離 三 業 清 淨 故 言 無 失 乃 至 智 
T85n2752_001:0204b07	慧懸鑒三世皆悉通達故言無事。此十八者	慧 懸 鑒 三 世 皆 悉 通 達 故 言 無 事 此 十 八 者 
T85n2752_001:0204b08	唯佛獨證。菩薩聲聞皆莫能得故言不共。疏	唯 佛 獨 證 菩 薩 聲 聞 皆 莫 能 得 故 言 不 共 疏 
T85n2752_001:0204b09	言體者八法為體。謂思相欲勝解念定惠勤	言 體 者 八 法 為 體 謂 思 相 欲 勝 解 念 定 惠 勤 
T85n2752_001:0204b10	　問。何名十力　答。十力者。一處非處力。二	 問 何 名 十 力 答 十 力 者 一 處 非 處 力 二 
T85n2752_001:0204b11	業力。三定力。四四根力。五念力。六性力。七	業 力 三 定 力 四 四 根 力 五 念 力 六 性 力 七 
T85n2752_001:0204b12	過處道力。八宿命力。九天眼力。十漏盡力	過 處 道 力 八 宿 命 力 九 天 眼 力 十 漏 盡 力 
T85n2752_001:0204b13	　問。經云五眾之生滅未知。何者是五眾。假出	 問 經 云 五 眾 之 生 滅 未 知 何 者 是 五 眾 假 出 
T85n2752_001:0204b14	所數列名釋義　答。五眾者五陰也。列名者。	所 數 列 名 釋 義 答 五 眾 者 五 陰 也 列 名 者 
T85n2752_001:0204b15	色受相行識也。色有青黃赤白。乃至識有八	色 受 相 行 識 也 色 有 青 黃 赤 白 乃 至 識 有 八 
T85n2752_001:0204b16	種。五各非一稱為眾。亦可言此之五陰乃有	種 五 各 非 一 稱 為 眾 亦 可 言 此 之 五 陰 乃 有 
T85n2752_001:0204b17	眾多生滅故。涅槃經云。五陰名眾生。眾生名	眾 多 生 滅 故 涅 槃 經 云 五 陰 名 眾 生 眾 生 名 
T85n2752_001:0204b18	五陰。即其證也　問。經云即方便說涅槃真	五 陰 即 其 證 也 問 經 云 即 方 便 說 涅 槃 真 
T85n2752_001:0204b19	實法。何者是涅槃真實法　答。一切真涅槃	實 法 何 者 是 涅 槃 真 實 法 答 一 切 真 涅 槃 
T85n2752_001:0204b20	妄相真實無生無涅槃。是名為究竟。即是真	妄 相 真 實 無 生 無 涅 槃 是 名 為 究 竟 即 是 真 
T85n2752_001:0204b21	實也。不滅名為涅槃。俱為眾生起或不順正	實 也 不 滅 名 為 涅 槃 俱 為 眾 生 起 或 不 順 正 
T85n2752_001:0204b22	理。廣造諸業流浪生死。對生死故說有涅槃。	理 廣 造 諸 業 流 浪 生 死 對 生 死 故 說 有 涅 槃 
T85n2752_001:0204b23	若能知生死涅槃本來二不是真實故。上文	若 能 知 生死涅槃 本 來 二 不 是 真 實 故 上 文 
T85n2752_001:0204b24	言我雖說涅槃是亦非真滅。又言諸法從本	言 我 雖 說 涅 槃 是 亦 非 真 滅 又 言 諸 法 從 本 
T85n2752_001:0204b25	來常自寂滅相。楞伽又言。我所說者妄智識	來 常 自 寂 滅 相 楞 伽 又 言 我 所 說 者 妄 智 識 
T85n2752_001:0204b26	滅名為涅槃。即其證也　問。此經既云破三	滅 名 為 涅 槃 即 其 證 也 問 此 經 既 云 破 三 
T85n2752_001:0204b27	歸一味知三外則有一三內即有一　答。三	歸 一 味 知 三 外 則 有 一 三 內 即 有 一 答 三 
T85n2752_001:0204b28	內即有一。非是三外別有一所以得知。初出	內 即 有 一 非 是 三 外 別 有 一 所 以 得 知 初 出 
T85n2752_001:0204b29	現道樹徘徊三七觀機無堪受大乘者。何以	現 道 樹 徘 徊 三 七 觀 機 無 堪 受 大 乘 者 何 以 
T85n2752_001:0204c01	於一開三分途漸引靈山會上根器方成。攝	於 一 開 三 分 途 漸 引 靈 山 會 上 根 器 方 成 攝 
T85n2752_001:0204c02	彼三權總歸一處。故知三一本自無殊。汝等	彼 三 權 總 歸 一 處 故 知 三 一 本 自 無 殊 汝 等 
T85n2752_001:0204c03	所行是菩薩道。即其證也　問。經云道場所	所 行 是 菩 薩 道 即 其 證 也 問 經 云 道 場 所 
T85n2752_001:0204c04	得法。未知何者是道場何名所得法　答。道	得 法 未 知 何 者 是 道 場 何 名 所 得 法 答 道 
T85n2752_001:0204c05	場者。菩提樹下金剛寶坐。得道處中謂之為	場 者 菩提樹下 金 剛 寶 坐 得 道 處 中 謂 之 為 
T85n2752_001:0204c06	場。所得法者。三無數修因成果滿湛覺真如	場 所 得 法 者 三 無 數 修 因 成 果 滿 湛 覺 真 如 
T85n2752_001:0204c07	是得法故。涅槃經云。諸佛世尊。從六波羅蜜	是 得 法 故 涅 槃 經 云 諸佛世尊 從 六波羅蜜 
T85n2752_001:0204c08	三十七品十一空求至大涅槃。即其義也	三十七品 十 一 空 求 至 大 涅 槃 即 其 義 也 
T85n2752_001:0204c09	　問。經云日月燈明佛為妙光菩薩說妙法花	 問 經 云 日 月 燈 明 佛 為 妙 光 菩 薩 說 妙 法 花 
T85n2752_001:0204c10	經。滿六十劫時會經者乃如食頃。此即多少	經 滿 六 十 劫 時 會 經 者 乃 如 食 頃 此 即 多 少 
T85n2752_001:0204c11	相違長短乖反　答。燈明出世救物為懷悲	相 違 長 短 乖 反 答 燈 明 出 世 救 物 為 懷 悲 
T85n2752_001:0204c12	願不窮。時經六十群機慕道渴仰憶深稟教	願 不 窮 時 經 六 十 群 機 慕 道 渴 仰 憶 深 稟 教 
T85n2752_001:0204c13	恬神說如食頃故。下文言是時眾中無有一	恬 神 說 如 食 頃 故 下 文 言 是 時 眾 中 無 有 一 
T85n2752_001:0204c14	人若身若心而生懈倦。亦可言燈明神力長	人 若 身 若 心 而 生 懈 倦 亦 可 言 燈 明 神 力 長 
T85n2752_001:0204c15	中短短中現長轉彼心識令如食頃故。下文	中 短 短 中 現 長 轉 彼 心 識 令 如 食 頃 故 下 文 
T85n2752_001:0204c16	言釋迦牟尼佛乃四眾默然而坐。經五十小	言 釋 迦 牟 尼 佛 乃 四 眾 默 然 而 坐 經 五 十 小 
T85n2752_001:0204c17	劫。佛神力故。令諸大眾謂如半日　問。經云	劫 佛 神 力 故 令 諸 大 眾 謂 如 半 日 問 經 云 
T85n2752_001:0204c18	大通智勝佛十劫坐道場佛法不現前不得成	大 通 智 勝 佛 十 劫 坐 道 場 佛 法 不 現 前 不 得 成 
T85n2752_001:0204c19	佛道。何故久坐十劫不得成佛。何名法不現	佛 道 何 故 久 坐 十 劫 不 得 成 佛 何 名 法 不 現 
T85n2752_001:0204c20	前　答。據論實行因滿名成。為物潛形示言	前 答 據 論 實 行 因 滿 名 成 為 物 潛 形 示 言 
T85n2752_001:0204c21	始就稟機赴感延促任情。緣彼群品經停十	始 就 稟 機 赴 感 延 促 任 情 緣 彼 群 品 經 停 十 
T85n2752_001:0204c22	劫化物未暢法不現前。機教相應方言乃現	劫 化 物 未 暢 法 不 現 前 機 教 相 應 方 言 乃 現 
T85n2752_001:0204c23	故。大威德世尊。為度眾生故。於無量億歲爾	故 大 威 德 世 尊 為 度 眾 生 故 於 無 量 億 歲 爾 
T85n2752_001:0204c24	乃成佛　問。大通智勝佛。即轉十二行法輪。	乃 成 佛 問 大 通 智 勝 佛 即 轉 十 二 行 法 輪 
T85n2752_001:0204c25	未知何者是十二行法輪。假出數列名解義	未 知 何 者 是 十 二 行 法 輪 假 出 數 列 名 解 義 
T85n2752_001:0204c26	　答。十二行法輪者。謂三轉四諦謂也。三	 答 十 二 行 法 輪 者 謂 三 轉 四 諦 謂 也 三 
T85n2752_001:0204c27	轉者。一示相轉。二勸修。三引證。示相者謂此	轉 者 一 示 相 轉 二 勸 修 三 引 證 示 相 者 謂 此 
T85n2752_001:0204c28	是苦。此是集。此是滅。此是道。勸修者。謂者	是 苦 此 是 集 此 是 滅 此 是 道 勸 修 者 謂 者 
T85n2752_001:0204c29	汝應證道汝應修。引證者。謂引已以為證者。	汝 應 證 道 汝 應 修 引 證 者 謂 引 已 以 為 證 者 
T85n2752_001:0205a01	我已知集。我已斷滅。我已證道。我已修三四	我 已 知 集 我 已 斷 滅 我 已 證 道 我 已 修 三 四 
T85n2752_001:0205a02	即是十二也。又解四諦各有四行即十二。苦	即 是 十 二 也 又 解 四 諦 各 有 四 行 即 十 二 苦 
T85n2752_001:0205a03	諦下四行者。謂因舉有緣。滅諦下四行者。謂	諦 下 四 行 者 謂 因 舉 有 緣 滅 諦 下 四 行 者 謂 
T85n2752_001:0205a04	滅正妙離。道諦下四行者。謂道如我四諦諦	滅 正 妙 離 道 諦 下 四 行 者 謂 道 如 我 四 諦 諦 
T85n2752_001:0205a05	別三轉四行各有十二行。今言十二者。以四	別 三 轉 四 行 各 有 十 二 行 今 言 十 二 者 以 四 
T85n2752_001:0205a06	諦俱同三共十二。舉其通數言十二行法輪。	諦 俱 同 三 共 十 二 舉 其 通 數 言 十 二 行 法 輪 
T85n2752_001:0205a07	問。經云大聖轉法輪度苦惱眾生。未知大聖	問 經 云 大 聖 轉 法 輪 度 苦 惱 眾 生 未 知 大 聖 
T85n2752_001:0205a08	是□轉何法輪云何名轉　答。大聖者謂大	是 轉 何 法 輪 云 何 名 轉 答 大 聖 者 謂 大 
T85n2752_001:0205a09	通智勝佛也。斯乃十方無比三界獨尊。神化	通 智 勝 佛 也 斯 乃 十 方 無 比 三 界 獨 尊 神 化 
T85n2752_001:0205a10	通機故言大聖。轉法輪者以已所得說據群	通 機 故 言 大 聖 轉 法 輪 者 以 已 所 得 說 據 群 
T85n2752_001:0205a11	機法從佛流謂之為轉。輪者以修環運動為	機 法 從 佛 流 謂 之 為 轉 輪 者 以 修 環 運 動 為 
T85n2752_001:0205a12	義。如來放命機攝眾生。以機行教轉凡成聖	義 如 來 放 命 機 攝 眾 生 以 機 行 教 轉 凡 成 聖 
T85n2752_001:0205a13	故曰法輪。轉何輪者對彼三根轉三乘教。謂	故 曰 法 輪 轉 何 輪 者 對 彼 三 根 轉 三 乘 教 謂 
T85n2752_001:0205a14	四諦十二緣六波羅蜜也。惣而言之法輪有	四 諦 十 二 緣 六波羅蜜 也 惣 而 言 之 法 輪 有 
T85n2752_001:0205a15	三。一名轉法輪。二名照法輪。三名轉輪。三	三 一 名 轉 法 輪 二 名 照 法 輪 三 名 轉 輪 三 
T85n2752_001:0205a16	乘別機教俱識未得究竟。為一乘所收有遷	乘 別 機 教 俱 識 未得究竟 為 一 乘 所 收 有 遷 
T85n2752_001:0205a17	動之名為轉。為大菩薩等說諸部波若。顯理	動 之 名 為 轉 為 大 菩 薩 等 說 諸 部 波 若 顯 理 
T85n2752_001:0205a18	途明照彼大機名照法輪。大乘頓教果得圓	途 明 照 彼 大 機 名 照 法 輪 大 乘 頓 教 果 得 圓 
T85n2752_001:0205a19	滿。惣苞三乘眾聖共臻諸佛護念名持法輪。	滿 惣 苞 三 乘 眾 聖 共 臻 諸 佛 護 念 名 持 法 輪 
T85n2752_001:0205a20	今明大通三輪俱轉故。上文言時三轉十二	今 明 大 通 三 輪 俱 轉 故 上 文 言 時 三 轉 十 二 
T85n2752_001:0205a21	法輪。及廣說十二因緣法。為十六王子說阿	法 輪 及 廣 說 十二因緣 法 為 十 六 王 子 說 阿 
T85n2752_001:0205a22	耨菩提法。即其義也　問。經言百福相莊嚴	耨 菩 提 法 即 其 義 也 問 經 言 百 福 相 莊 嚴 
T85n2752_001:0205a23	何者是　答。如來具三十二相。一相中皆以	何 者 是 答 如 來 具 三十二相 一 相 中 皆 以 
T85n2752_001:0205a24	百福者。以十善業為本。十善者始從不殺乃	百 福 者 以 十 善 業 為 本 十 善 者 始 從 不 殺 乃 
T85n2752_001:0205a25	至不邪見。翻其十惡即名十善。即此十善即	至 不 邪 見 翻 其 十 惡 即 名 十 善 即 此 十 善 即 
T85n2752_001:0205a26	五十心初心猛利得五十福。後心終成得五十	五 十 心 初 心 猛 利 得 五 十 福 後 心 終 成 得 五 十 
T85n2752_001:0205a27	福即成百福　問。經云入邪見稠林。若有若	福 即 成 百 福 問 經 云 入 邪 見 稠 林 若 有 若 
T85n2752_001:0205a28	無等具足六十二。六十二見者何　答。六十	無 等 具 足 六 十 二 六 十 二 見 者 何 答 六 十 
T85n2752_001:0205a29	二見者。謂世間常無常亦常亦無常非常非	二 見 者 謂 世 間 常 無 常 亦 常 亦 無 常 非 常 非 
T85n2752_001:0205b01	無常等四句。有邊無邊亦有邊亦無邊非邊	無 常 等 四 句 有邊無邊 亦 有 邊 亦 無 邊 非 邊 
T85n2752_001:0205b02	非非邊等四句。如如不如如非如如非非如	非 非 邊 等 四 句 如 如 不 如 如 非 如 如 非 非 如 
T85n2752_001:0205b03	如等四句。三四十二句偈迷五陰。一一陰中	如 等 四 句 三 四 十 二 句 偈 迷 五 陰 一 一 陰 中 
T85n2752_001:0205b04	各作十二句即六十帖。是身命各異命異二	各 作 十 二 句 即 六 十 帖 是 身 命 各 異 命 異 二 
