X60n1120_001:0334a03	 序言	 序 言 
X60n1120_002:0378c10	訶	訶 
X60n1120_002:0378c11	【箋】楞嚴。自未得度。先度他人。菩薩發心也。故行者洗	 箋 楞 嚴 自 未 得 度 先 度 他 人 菩 薩 發 心 也 故 行 者 洗 
X60n1120_002:0378c12	面。即先發是願也。淨法門者。即八萬四千塵勞之門。	面 即 先 發 是 願 也 淨 法 門 者 即 八萬四千 塵 勞 之 門 
X60n1120_002:0378c13	轉為八萬四千清淨法門也。永無垢染者。自得之後。	轉 為 八萬四千 清 淨 法 門 也 永 無 垢 染 者 自 得 之 後 
X60n1120_002:0378c14	直至成佛。畢竟無垢。故曰永無。古人洗面。摸著鼻孔。	直 至 成 佛 畢 竟 無 垢 故 曰 永 無 古 人 洗 面 摸 著 鼻 孔 
X60n1120_002:0378c15	又道無位真人面門出入。諸人朝朝洗面。還曾摸著	又 道 無 位 真 人 面 門 出 入 諸 人 朝 朝 洗 面 還 曾 摸 著 
X60n1120_002:0378c16	鼻孔。夢見真人麼。且道是甚麼鼻孔。是甚麼真人。速	鼻 孔 夢 見 真 人 麼 且 道 是 甚 麼 鼻 孔 是 甚 麼 真 人 速 
X60n1120_002:0378c17	道。	道 
X60n1120_002:0378c18	凡洗面不得多使水。	凡 洗 面 不 得 多 使 水 
X60n1120_002:0378c19	【箋】諺。在山不可多燒柴。近河不可多使水。為惜福故。	 箋 諺 在 山 不 可 多 燒 柴 近 河 不 可 多 使 水 為 惜 福 故 
X60n1120_002:0378c20	雖是俚言。當書之紳。燈錄。湛堂準和尚。平生律身以	雖 是 俚 言 當 書 之 紳 燈 錄 湛 堂 準 和 尚 平 生 律 身 以 
X60n1120_002:0378c21	約。雖領眾弘法。不異在眾時。晨興後架。秪取小杓湯	約 雖 領 眾 弘 法 不 異 在 眾 時 晨 興 後 架 秪 取 小 杓 湯 
X60n1120_002:0378c22	洗面。復濯足後。受水灌溉蔬菓。當不虗廢。余甞用小	洗 面 復 濯 足 後 受 水 灌 溉 蔬 菓 當 不 虗 廢 余 甞 用 小 
X60n1120_002:0378c23	盆洗面。葢本此也。	盆 洗 面 葢 本 此 也 
X60n1120_002:0378c24	擦牙吐水。須低頭引水下。不得噴水濺人。	擦 牙 吐 水 須 低 頭 引 水 下 不 得 噴 水 濺 人 
X60n1120_002:0379a01	【箋】噴水濺人。令彼生嗔。縱使牙齒漱淨。不能滌彼口	 箋 噴 水 濺 人 令 彼 生 嗔 縱 使 牙 齒 漱 淨 不 能 滌 彼 口 
X60n1120_002:0379a02	業。故宜細行。	業 故 宜 細 行 
X60n1120_002:0379a03	不得高聲鼻涕嘔吐。不得於殿塔。及淨室。淨地。淨水	不 得 高 聲 鼻 涕 嘔 吐 不 得 於 殿 塔 及 淨 室 淨 地 淨 水 
X60n1120_002:0379a04	中涕吐。當於僻處。	中 涕 吐 當 於 僻 處 
X60n1120_002:0379a05	【箋】嘔吐不得已也。然不可高聲。殿塔。供佛像舍利之	 箋 嘔 吐 不 得 已 也 然 不 可 高 聲 殿 塔 供 佛 像 舍 利 之 
X60n1120_002:0379a06	所。淨水等。供佛供眾之用。涕唾污穢。為罪不小。故應	所 淨 水 等 供 佛 供 眾 之 用 涕 唾 污 穢 為 罪 不 小 故 應 
X60n1120_002:0379a07	擇僻處。昔有僧夜坐佛殿。偶爾涕吐。燈下見護法神。	擇 僻 處 昔 有 僧 夜 坐 佛 殿 偶 爾 涕 吐 燈 下 見 護 法 神 
X60n1120_002:0379a08	舒金手承接。其僧悚懼。終身斂戢。	舒 金 手 承 接 其 僧 悚 懼 終 身 斂 戢 
X60n1120_002:0379a09	喫茶湯時。不得隻手揖人。	喫 茶 湯 時 不 得 隻 手 揖 人 
X60n1120_002:0379a10	【箋】說文。手著胸曰揖。又進也。讓也。賷入切。音湒。會集	 箋 說 文 手 著 胸 曰 揖 又 進 也 讓 也 賷 入 切 音 湒 會 集 
X60n1120_002:0379a11	也。隻手揖人。有二義。一。因隻手喫茶湯時。隨以隻手	也 隻 手 揖 人 有 二 義 一 因 隻 手 喫 茶 湯 時 隨 以 隻 手 
X60n1120_002:0379a12	進飲與人。二。因隻手喫茶湯時。隨以隻手與人作揖。	進 飲 與 人 二 因 隻 手 喫 茶 湯 時 隨 以 隻 手 與 人 作 揖 
X60n1120_002:0379a13	禮以兩手為恭。隻手則得罪也。	禮 以 兩 手 為 恭 隻 手 則 得 罪 也 
X60n1120_002:0379a14	不得向塔洗齒。及向和尚阿闍黎等。	不 得 向 塔 洗 齒 及 向 和 尚 阿 闍 黎 等 
X60n1120_002:0379a15	【箋】口齒之間有穢氣。且不可對常人。況對佛塔。及和	 箋 口 齒 之 間 有 穢 氣 且 不 可 對 常 人 況 對 佛 塔 及 和 
X60n1120_002:0379a16	尚阿闍黎洗齒。寄歸傳。漱口極嚴。不可不慎。三千威	尚 阿 闍 黎 洗 齒 寄 歸 傳 漱 口 極 嚴 不 可 不 慎 三 千 威 
X60n1120_002:0379a17	儀。不得向佛。亦莫背。不得向和尚阿闍黎諸師。亦莫	儀 不 得 向 佛 亦 莫 背 不 得 向 和 尚 阿 闍 黎 諸 師 亦 莫 
X60n1120_002:0379a18	背。	背 
X60n1120_002:0379a19	不得多笑。若大笑。及呵欠。當以衣掩袖口。	不 得 多 笑 若 大 笑 及 呵 欠 當 以 衣 掩 袖 口 
X60n1120_002:0379a20	【箋】多笑。大笑。非癡則狂矣。呵欠者。神氣散漫。謂之沒	 箋 多 笑 大 笑 非 癡 則 狂 矣 呵 欠 者 神 氣 散 漫 謂 之 沒 
X60n1120_002:0379a21	意致。掩口者。收攝精神。不至放縱。端莊自重也。五燈。	意 致 掩 口 者 收 攝 精 神 不 至 放 縱 端 莊 自 重 也 五 燈 
X60n1120_002:0379a22	法雲。平居作止。直視不瞬。臨眾三十年。未常輕發一	法 雲 平 居 作 止 直 視 不 瞬 臨 眾 三 十 年 未 常 輕 發 一 
X60n1120_002:0379a23	笑。凡所住。見玄聖像。即不坐。◎圓通訥。簡嚴。不妄言	笑 凡 所 住 見 玄 聖 像 即 不 坐 圓 通 訥 簡 嚴 不 妄 言 
X60n1120_002:0379a24	笑。常習定。初叉手。中夜漸升至膺。侍者每視以候鷄	笑 常 習 定 初 叉 手 中 夜 漸 升 至 膺 侍 者 每 視 以 候 鷄 
X60n1120_002:0379b01	鳴。	鳴 
X60n1120_002:0379b02	不得急行。	不 得 急 行 
X60n1120_002:0379b03	【箋】急行無好步。威儀全不顧。識者在傍觀。為之生恐	 箋 急 行 無 好 步 威 儀 全 不 顧 識 者 在 傍 觀 為 之 生 恐 
X60n1120_002:0379b04	怖。萬一失跌。毀體裂膚。抱終身恨。所關甚大。故當徐	怖 萬 一 失 跌 毀 體 裂 膚 抱 終 身 恨 所 關 甚 大 故 當 徐 
X60n1120_002:0379b05	行。	行 
X60n1120_002:0379b06	不得聞呼不應。凡呼。俱宜以念佛應之。	不 得 聞 呼 不 應 凡 呼 俱 宜 以 念 佛 應 之 
X60n1120_002:0379b07	【箋】聞呼不應。其人嫉妬。嗔恚。覆障心故。道人心量。同	 箋 聞 呼 不 應 其 人 嫉 妬 嗔 恚 覆 障 心 故 道 人 心 量 同 
X60n1120_002:0379b08	於空谷。有叩即應。豈宜蘊嫉妬於胸中耶。念佛應者。	於 空 谷 有 叩 即 應 豈 宜 蘊 嫉 妬 於 胸 中 耶 念 佛 應 者 
X60n1120_002:0379b09	雲棲單闡念佛法門故。若是個英靈。纔聞呼自己名	雲 棲 單 闡 念 佛 法 門 故 若 是 個 英 靈 纔 聞 呼 自 己 名 
X60n1120_002:0379b10	字。頓見即心即佛。非心非佛。乃至千百則公案。一時	字 頓 見 即 心 即 佛 非 心 非 佛 乃 至 千 百 則 公 案 一 時 
X60n1120_002:0379b11	悟入也。略舉古德機緣幾則。以示後學向聞呼處悟	悟 入 也 略 舉 古 德 機 緣 幾 則 以 示 後 學 向 聞 呼 處 悟 
X60n1120_002:0379b12	入云。燈錄。黃檗。散眾在洪州開元寺。裴相國一日入	入 云 燈 錄 黃 檗 散 眾 在 洪 州 開 元 寺 裴 相 國 一 日 入 
X60n1120_002:0379b13	寺。見壁間畵問寺主。這是甚麼。主曰。高僧真儀。公曰。	寺 見 壁 間 畵 問 寺 主 這 是 甚 麼 主 曰 高 僧 真 儀 公 曰 
X60n1120_002:0379b14	真儀可觀。高僧何在。主無語。公曰。此間有禪人否。主	真 儀 可 觀 高 僧 何 在 主 無 語 公 曰 此 間 有 禪 人 否 主 
X60n1120_002:0379b15	曰。近有一僧投寺執役。頗似禪者。公遂請相見曰。適	曰 近 有 一 僧 投 寺 執 役 頗 似 禪 者 公 遂 請 相 見 曰 適 
X60n1120_002:0379b16	有一問。諸德吝辭。請上人代酬一語。檗曰。請相公垂	有 一 問 諸 德 吝 辭 請 上 人 代 酬 一 語 檗 曰 請 相 公 垂 
X60n1120_002:0379b17	問。公舉前話。檗朗聲云裴休。公應諾。檗曰。在甚麼處。	問 公 舉 前 話 檗 朗 聲 云 裴 休 公 應 諾 檗 曰 在 甚 麼 處 
X60n1120_002:0379b18	公當下知旨。如獲髻珠。延入府署。執弟子禮。◎裴休。	公 當 下 知 旨 如 獲 髻 珠 延 入 府 署 執 弟 子 禮 裴 休 
X60n1120_002:0379b19	一日托一尊佛於黃檗前跪曰。請師安名。檗召曰。裴	一 日 托 一 尊 佛 於 黃 檗 前 跪 曰 請 師 安 名 檗 召 曰 裴 
X60n1120_002:0379b20	休。休應喏。檗曰。與汝安名竟。斐禮拜。◎陸亘大夫。問	休 休 應 喏 檗 曰 與 汝 安 名 竟 斐 禮 拜 陸 亘 大 夫 問 
X60n1120_002:0379b21	南泉曰。弟子家中有一瓶。瓶中養得一鵞兒。今來長	南 泉 曰 弟 子 家 中 有 一 瓶 瓶 中 養 得 一 鵞 兒 今 來 長 
X60n1120_002:0379b22	大。欲出此鵞。不得損却鵞。未審有何方便。泉召云。大	大 欲 出 此 鵞 不 得 損 却 鵞 未 審 有 何 方 便 泉 召 云 大 
X60n1120_002:0379b23	夫。陸應諾。泉云。出也。高峰云。南泉潦倒。手眼不親。縱	夫 陸 應 諾 泉 云 出 也 高 峰 云 南 泉 潦 倒 手 眼 不 親 縱 
X60n1120_002:0379b24	饒出得。也是死貨。高峰只向他道。大夫還曾示人麼。	饒 出 得 也 是 死 貨 高 峰 只 向 他 道 大 夫 還 曾 示 人 麼 
X60n1120_002:0379c01	纔擬秪對。便與亂棒打出。非特為遮漢。脫却鶻臭布	纔 擬 秪 對 便 與 亂 棒 打 出 非 特 為 遮 漢 脫 却 鶻 臭 布 
X60n1120_002:0379c02	衫。要使天下衲僧。個個解粘去縛。慶快平生。筆飡。國	衫 要 使 天 下 衲 僧 個 個 解 粘 去 縛 慶 快 平 生 筆 飡 國 
X60n1120_002:0379c03	師三喚侍者。侍者三應。甚麼處是辜負國師處。頻呼	師 三 喚 侍 者 侍 者 三 應 甚 麼 處 是 辜 負 國 師 處 頻 呼 
X60n1120_002:0379c04	小玉元無事。秪要檀郎認得聲。提刑認得聲。圓悟認	小 玉 元 無 事 秪 要 檀 郎 認 得 聲 提 刑 認 得 聲 圓 悟 認 
X60n1120_002:0379c05	得聲。雞飛上闌干。鼓翅而鳴。又作麼生。好個入處。你	得 聲 雞 飛 上 闌 干 鼓 翅 而 鳴 又 作 麼 生 好 個 入 處 你 
X60n1120_002:0379c06	看從上尊宿。慣用這般藥頭。不知死却多少活人。活	看 從 上 尊 宿 慣 用 這 般 藥 頭 不 知 死 却 多 少 活 人 活 
X60n1120_002:0379c07	却多少死漢。至今遺下荼毒。聞者無不靈驗。苦不靈	却 多 少 死 漢 至 今 遺 下 荼 毒 聞 者 無 不 靈 驗 苦 不 靈 
X60n1120_002:0379c08	驗。老僧另有方便。乃高聲云。快喚沙彌來。與老僧洗	驗 老 僧 另 有 方 便 乃 高 聲 云 快 喚 沙 彌 來 與 老 僧 洗 
X60n1120_002:0379c09	脚。他沙彌速速道個阿彌陀佛。却也恠他不得。	脚 他 沙 彌 速 速 道 個 阿 彌 陀 佛 却 也 恠 他 不 得 
X60n1120_002:0379c10	凡拾遺物。即當白主事僧。	凡 拾 遺 物 即 當 白 主 事 僧 
X60n1120_002:0379c11	【箋】拾遺物者。即以物送知事。標於牌上。以待失物者	 箋 拾 遺 物 者 即 以 物 送 知 事 標 於 牌 上 以 待 失 物 者 
X60n1120_002:0379c12	歸之。餘人不得冒取。取者犯盜。寶訓。山堂有古人風。	歸 之 餘 人 不 得 冒 取 取 者 犯 盜 寶 訓 山 堂 有 古 人 風 
X60n1120_002:0379c13	住黃龍日。知事公幹。必具威儀。詣方丈受曲折。然後	住 黃 龍 日 知 事 公 幹 必 具 威 儀 詣 方 丈 受 曲 折 然 後 
X60n1120_002:0379c14	備茶湯禮。始終不易。有智恩上座。為母修冥福。遺下	備 茶 湯 禮 始 終 不 易 有 智 恩 上 座 為 母 修 冥 福 遺 下 
X60n1120_002:0379c15	金二錢。兩日不尋。聖僧才侍者曰。掃地得之。掛拾遺	金 二 錢 兩 日 不 尋 聖 僧 才 侍 者 曰 掃 地 得 之 掛 拾 遺 
X60n1120_002:0379c16	牌。一眾方知。葢主法者清規。所以上行下效。初學其	牌 一 眾 方 知 葢 主 法 者 清 規 所 以 上 行 下 效 初 學 其 
X60n1120_002:0379c17	勉之。	勉 之 
X60n1120_002:0379c18	不得將佛燈私就己用。若燃燈。當好以罩密覆。勿令	不 得 將 佛 燈 私 就 己 用 若 燃 燈 當 好 以 罩 密 覆 勿 令 
X60n1120_002:0379c19	飛蟲投入。	飛 蟲 投 入 
X60n1120_002:0379c20	【箋】佛前燈。即第二戒中佛物也。既是佛物。不得私用。	 箋 佛 前 燈 即 第 二 戒 中 佛 物 也 既 是 佛 物 不 得 私 用 
X60n1120_002:0379c21	若離佛前。即成盜業也。若燈下。即第一戒中護生之	若 離 佛 前 即 成 盜 業 也 若 燈 下 即 第 一 戒 中 護 生 之 
X60n1120_002:0379c22	法。以繼慈悲之燈也。徵。經。佛說也。以佛燈而學佛經。	法 以 繼 慈 悲 之 燈 也 徵 經 佛 說 也 以 佛 燈 而 學 佛 經 
X60n1120_002:0379c23	未審可否。訓。佛物。法物。尚須甄別。佛燈。原為供佛。不	未 審 可 否 訓 佛 物 法 物 尚 須 甄 別 佛 燈 原 為 供 佛 不 
X60n1120_002:0379c24	為讀經。且一大藏教。以戒殺盜為本。不遵佛戒。盜佛	為 讀 經 且 一 大 藏 教 以 戒 殺 盜 為 本 不 遵 佛 戒 盜 佛 
X60n1120_002:0380a01	前燈讀經。雖是好心。已成盜業。智度。盜佛前燈油者。	前 燈 讀 經 雖 是 好 心 已 成 盜 業 智 度 盜 佛 前 燈 油 者 
X60n1120_002:0380a02	當墮黑暗地獄。後為人盲○昔阿泥盧逗。入寺盜佛	當 墮 黑 暗 地 獄 後 為 人 盲 昔 阿 泥 盧 逗 入 寺 盜 佛 
X60n1120_002:0380a03	前供器。因燈昏暗。旋剔光耀。覩佛威嚴相好。偷心即	前 供 器 因 燈 昏 暗 旋 剔 光 耀 覩 佛 威 嚴 相 好 偷 心 即 
X60n1120_002:0380a04	歇。懺謝而去。以此剔燈功德。感報天眼第一。	歇 懺 謝 而 去 以 此 剔 燈 功 德 感 報 天 眼 第 一 
X60n1120_002:0380a05	供佛花。取開圓者。不得先嗅。除萎者。方供新者。不得	供 佛 花 取 開 圓 者 不 得 先 嗅 除 萎 者 方 供 新 者 不 得 
X60n1120_002:0380a06	棄地踐踏。宜置屏處。	棄 地 踐 踏 宜 置 屏 處 
X60n1120_002:0380a07	【箋】開圓者。花正開時也。不先嗅者。表誠敬之至也。除	 箋 開 圓 者 花 正 開 時 也 不 先 嗅 者 表 誠 敬 之 至 也 除 
X60n1120_002:0380a08	萎供新者。如法華。香風吹萎花。更雨新好者。以表道	萎 供 新 者 如 法 華 香 風 吹 萎 花 更 雨 新 好 者 以 表 道 
X60n1120_002:0380a09	心日新。花當及時採供。若未開者。花瓣不舒。顏色尚	心 日 新 花 當 及 時 採 供 若 未 開 者 花 瓣 不 舒 顏 色 尚 
X60n1120_002:0380a10	淺。造化之工未全。採摘之侯非時。若已開者。香氣稍	淺 造 化 之 工 未 全 採 摘 之 侯 非 時 若 已 開 者 香 氣 稍 
X60n1120_002:0380a11	減。色力澹薄。葉將飄零。時不我逮。所以未開。已開。皆	減 色 力 澹 薄 葉 將 飄 零 時 不 我 逮 所 以 未 開 已 開 皆 
X60n1120_002:0380a12	非正見。須候花光灼灼。花色鮮鮮。香風馥馥。花影田	非 正 見 須 候 花 光 灼 灼 花 色 鮮 鮮 香 風 馥 馥 花 影 田 
X60n1120_002:0380a13	田。斯時帶露摘來。至誠奉獻。開圓之心也。凡有佛出	田 斯 時 帶 露 摘 來 至 誠 奉 獻 開 圓 之 心 也 凡 有 佛 出 
X60n1120_002:0380a14	世說法。不獨此方諸天。為之散花供養。而他方國土。	世 說 法 不 獨 此 方 諸 天 為 之 散 花 供 養 而 他 方 國 土 
X60n1120_002:0380a15	諸佛悉來散花供養。以見佛佛贊襄之法也。故華嚴。	諸 佛 悉 來 散 花 供 養 以 見 佛 佛 贊 襄 之 法 也 故 華 嚴 
X60n1120_002:0380a16	法華。大悲。諸懺。皆以散花而為佛事。乃佛佛所行之	法 華 大 悲 諸 懺 皆 以 散 花 而 為 佛 事 乃 佛 佛 所 行 之 
X60n1120_002:0380a17	法式也。諸經集要。散花供佛之花。不踐踏者。佛告文	法 式 也 諸 經 集 要 散 花 供 佛 之 花 不 踐 踏 者 佛 告 文 
X60n1120_002:0380a18	殊。此花者。若四眾能信修行。應當早起清淨。澡漱口	殊 此 花 者 若 四 眾 能 信 修 行 應 當 早 起 清 淨 澡 漱 口 
X60n1120_002:0380a19	齒。念佛功德。恭敬此花。不以足踏。及跨花上。如法執	齒 念 佛 功 德 恭 敬 此 花 不 以 足 踏 及 跨 花 上 如 法 執 
X60n1120_002:0380a20	取。安置淨器。冶種種病。懺壇用掃花行者。本此。珠林。	取 安 置 淨 器 冶 種 種 病 懺 壇 用 掃 花 行 者 本 此 珠 林 
X60n1120_002:0380a21	南齊晉安王。蕭子懋。始年七歲。因母病篤。請僧行道。	南 齊 晉 安 王 蕭 子 懋 始 年 七 歲 因 母 病 篤 請 僧 行 道 
X60n1120_002:0380a22	獻花供佛。眾僧以梵甖盛水。浸花莖。欲令不萎。懋禮	獻 花 供 佛 眾 僧 以 梵 甖 盛 水 浸 花 莖 欲 令 不 萎 懋 禮 
X60n1120_002:0380a23	佛。泣曰。若使母獲勝利。此花竟齋不萎。七日齋畢。花	佛 泣 曰 若 使 母 獲 勝 利 此 花 竟 齋 不 萎 七 日 齋 畢 花 
X60n1120_002:0380a24	更鮮紅。視甖中稍有根鬚。母病尋瘥。當代稱其孝感。	更 鮮 紅 視 甖 中 稍 有 根 鬚 母 病 尋 瘥 當 代 稱 其 孝 感 
X60n1120_002:0380b01	經律異相。王遣使每日採花。一日使者。見佛相好。自	經 律 異 相 王 遣 使 每 日 採 花 一 日 使 者 見 佛 相 好 自 
X60n1120_002:0380b02	念一命難保。佛法難聞。遂以所採之花供佛。佛即授	念 一 命 難 保 佛 法 難 聞 遂 以 所 採 之 花 供 佛 佛 即 授 
X60n1120_002:0380b03	記。號寶華佛。後王取花。竟無以應。心已辦死。王聞以	記 號 寶 華 佛 後 王 取 花 竟 無 以 應 心 已 辦 死 王 聞 以 
X60n1120_002:0380b04	花供佛。大喜。略不加罪。宗鏡。釋迦文佛。說過去無量	花 供 佛 大 喜 略 不 加 罪 宗 鏡 釋 迦 文 佛 說 過 去 無 量 
X60n1120_002:0380b05	劫來。承事供養無數恒沙等諸佛。皆不得記。何以故。	劫 來 承事供養 無 數 恒 沙 等 諸 佛 皆 不 得 記 何 以 故 
X60n1120_002:0380b06	以依所行。有所得故。至然燈佛時。因獻五莖蓮華。乃	以 依 所 行 有 所 得 故 至 然 燈 佛 時 因 獻 五 莖 蓮 華 乃 
X60n1120_002:0380b07	得授記。釋迦之號。方達五陰性空。心無所著。始見天	得 授 記 釋 迦 之 號 方 達 五 陰 性 空 心無所著 始 見 天 
X60n1120_002:0380b08	真之佛頓入無得之門。故將蓮華獻佛。用表證明。	真 之 佛 頓 入 無 得 之 門 故 將 蓮 華 獻 佛 用 表 證 明 
X60n1120_002:0380b09	附　不得將佛前香。焚於私室。及薰衣被等。	附 不 得 將 佛 前 香 焚 於 私 室 及 薰 衣 被 等 
X60n1120_002:0380b10	【箋】淨名疏。香是離穢之名。而有宣芬散馥騰馨之用。	 箋 淨 名 疏 香 是 離 穢 之 名 而 有 宣 芬 散 馥 騰 馨 之 用 
X60n1120_002:0380b11	咸通傳。天人費氏云。人中臭氣上薰於空。四十萬里。	咸 通 傳 天 人 費 氏 云 人 中 臭 氣 上 薰 於 空 四 十 萬 里 
X60n1120_002:0380b12	諸天清淨。無不厭之。但受佛付囑。令護於法。佛尚與	諸 天 清 淨 無 不 厭 之 但 受 佛 付 囑 令 護 於 法 佛 尚 與 
X60n1120_002:0380b13	人同止。諸天不敢不來。故佛法中。香為佛事。大論。天	人 同 止 諸 天 不 敢 不 來 故 佛 法 中 香 為 佛 事 大 論 天 
X60n1120_002:0380b14	竺國熱。又以身臭故。以香塗身。供養諸佛。及僧。華嚴。	竺 國 熱 又 以 身 臭 故 以 香 塗 身 供 養 諸 佛 及 僧 華 嚴 
X60n1120_002:0380b15	善法天中。有香名淨莊嚴。若燒一丸。而以熏之。普使	善 法 天 中 有 香 名 淨 莊 嚴 若 燒 一 丸 而 以 熏 之 普 使 
X60n1120_002:0380b16	諸天。心念於佛。◎昔人有香名大象。因龍鬪生。若燒	諸 天 心 念 於 佛 昔 人 有 香 名 大 象 因 龍 鬪 生 若 燒 
X60n1120_002:0380b17	一丸。興大光明。細雲覆上。味如甘露。七日七夜。降香	一 丸 興 大 光 明 細 雲 覆 上 味 如 甘 露 七日七夜 降 香 
X60n1120_002:0380b18	水雨。若著身者。身則金色。若著衣服宮殿閣。亦悉金	水 雨 若 著 身 者 身 則 金 色 若 著 衣 服 宮 殿 閣 亦 悉 金 
X60n1120_002:0380b19	色。若有眾生。得聞此。七日七夜歡善。悅樂。滅一切病。	色 若 有 眾 生 得 聞 此 七日七夜 歡 善 悅 樂 滅 一 切 病 
X60n1120_002:0380b20	無有橫狂。遠離恐怖危害之心。專向大慈。普念眾生。	無 有 橫 狂 遠 離 恐 怖 危 害 之 心 專 向 大 慈 普 念 眾 生 
X60n1120_002:0380b21	我知彼已。而為說法。令無量眾生。得不退轉。戒德香	我 知 彼 已 而 為 說 法 令 無 量 眾 生 得不退轉 戒 德 香 
X60n1120_002:0380b22	經。阿難白佛。世有四種香。一曰根香。二曰枝香。三曰	經 阿 難 白 佛 世 有 四 種 香 一 曰 根 香 二 曰 枝 香 三 曰 
X60n1120_002:0380b23	花香。此三品香。唯能隨風。不能逆風。故今所例並此	花 香 此 三 品 香 唯 能 隨 風 不 能 逆 風 故 今 所 例 並 此 
X60n1120_002:0380b24	香也。成實論。波利質多羅樹。其香則逆風而聞。樹即	香 也 成 實 論 波利質多羅樹 其 香 則 逆 風 而 聞 樹 即 
X60n1120_002:0380c01	帝釋殿十員生樹。智度。盜佛香者。墮泥犁。後為人臭	帝 釋 殿 十 員 生 樹 智 度 盜 佛 香 者 墮 泥 犁 後 為 人 臭 
X60n1120_002:0380c02	穢。禮節。當淨拭香罏炭火多少。執香爐無以自熏。要	穢 禮 節 當 淨 拭 香 罏 炭 火 多 少 執 香 爐 無 以 自 熏 要 
X60n1120_002:0380c03	用最經。鼻嗅香者。由減香氣。無其福德。正報墮波頭	用 最 經 鼻 嗅 香 者 由 減 香 氣 無 其 福 德 正 報 墮 波 頭 
X60n1120_002:0380c04	摩地獄未來世。鼻根無香味。日雲經。香烟不盡。放地。	摩 地 獄 未 來 世 鼻 根 無 香 味 日 雲 經 香 烟 不 盡 放 地 
X60n1120_002:0380c05	得越棄罪。盡五歲。墮糞屎地獄。何以故。放恣心故。感	得 越 棄 罪 盡 五 歲 墮 糞 屎 地 獄 何 以 故 放 恣 心 故 感 
X60n1120_002:0380c06	應篇注。天師門下科令。竈下灰火。謂之伏龍屎。不可	應 篇 注 天 師 門 下 科 令 竈 下 灰 火 謂 之 伏 龍 屎 不 可 
X60n1120_002:0380c07	燒香。	燒 香 
X60n1120_002:0380c08	附　不得將佛前幢幡。莊嚴法器等。為他用。	附 不 得 將 佛 前 幢 幡 莊 嚴 法 器 等 為 他 用 
X60n1120_002:0380c09	【箋】智度。盜幡為衣者。主惡瘡膿血之報。正鋒錄。布施	 箋 智 度 盜 幡 為 衣 者 主 惡 瘡 膿 血 之 報 正 鋒 錄 布 施 
X60n1120_002:0380c10	幢幡。莊嚴法物。經律贊嘆。功德甚多。若竊毀幢幡。而	幢 幡 莊 嚴 法 物 經 律 贊 嘆 功 德 甚 多 若 竊 毀 幢 幡 而 
X60n1120_002:0380c11	受罪及重。如佛名經。有無量幢佛。無量幡佛。以德而	受 罪 及 重 如 佛 名 經 有 無 量 幢 佛 無 量 幡 佛 以 德 而 
X60n1120_002:0380c12	彰名也。以其因中施幢幡莊嚴法故。而證果也。禿人	彰 名 也 以 其 因 中 施 幢 幡 莊 嚴 法 故 而 證 果 也 禿 人 
X60n1120_002:0380c13	不信因果。竊所施之幡。為被。為衣。為帶。為擔絡。為展	不 信 因 果 竊 所 施 之 幡 為 被 為 衣 為 帶 為 擔 絡 為 展 
X60n1120_002:0380c14	桌。為風帆。其污穢褻瀆。猶不忍言。甚至以菩薩聖號。	桌 為 風 帆 其 污 穢 褻 瀆 猶 不 忍 言 甚 至 以 菩 薩 聖 號 
X60n1120_002:0380c15	顛倒張掛。嗚呼。褻穢以至於此乎。叢林執事。略不以	顛 倒 張 掛 嗚 呼 褻 穢 以 至 於 此 乎 叢 林 執 事 略 不 以 
X60n1120_002:0380c16	此痛心。知識亦不以此鑑戒。殊可慨矣。切思所施之	此 痛 心 知 識 亦 不 以 此 鑑 戒 殊 可 慨 矣 切 思 所 施 之 
X60n1120_002:0380c17	心何心。竊毀之念何念。昔皓布裩書佛字於布裩上。	心 何 心 竊 毀 之 念 何 念 昔 皓 布 裩 書 佛 字 於 布 裩 上 
X60n1120_002:0380c18	有效之者。皓曰。汝必吐血死。後果如其言。今之褻穢	有 效 之 者 皓 曰 汝 必 吐 血 死 後 果 如 其 言 今 之 褻 穢 
X60n1120_002:0380c19	聖號。恐不止吐血死也。五百問。先上佛幡得取用作	聖 號 恐 不 止 吐 血 死 也 五 百 問 先 上 佛 幡 得 取 用 作 
X60n1120_002:0380c20	佛事否。答。佛事得用。檀越不聽不得。珠林。宋尼智通。	佛 事 否 答 佛 事 得 用 檀 越 不 聽 不 得 珠 林 宋 尼 智 通 
X60n1120_002:0380c21	京師簡靜尼也。年少信道不篤。元嘉九年師死。罷道	京 師 簡 靜 尼 也 年 少 信 道 不 篤 元 嘉 九 年 師 死 罷 道 
X60n1120_002:0380c22	嫁魏郡梁羣。甫生一男。年大七歲。家貧無以為衣。通	嫁 魏 郡 梁 羣 甫 生 一 男 年 大 七 歲 家 貧 無 以 為 衣 通 
X60n1120_002:0380c23	為尼時有數卷素無量壽。法華等經。悉練擣之。以衣	為 尼 時 有 數 卷 素 無 量 壽 法 華 等 經 悉 練 擣 之 以 衣 
X60n1120_002:0380c24	其兒。居一年。恍惚警悸。竟體剝爛。狀若火瘡。有細白	其 兒 居 一 年 恍 惚 警 悸 竟 體 剝 爛 狀 若 火 瘡 有 細 白 
