T47n1966_001:0120a03	念佛鏡序	念 佛 鏡 序 
T47n1966_001:0124a27	分為三等：一、挍量一念；二、挍量十念；三、挍量	分 為 三 等 一 挍 量 一 念 二 挍 量 十 念 三 挍 量 
T47n1966_001:0124a28	念一日、七日。准《觀經》中，念佛一口滅八十億	念 一 日 七 日 准 觀 經 中 念 佛 一 口 滅 八 十 億 
T47n1966_001:0124a29	劫生死之罪，還得八十億劫微妙功德。唯一	劫 生 死 之 罪 還 得 八 十 億 劫 微 妙 功 德 唯 一 
T47n1966_001:0124b01	劫功德尚不可思議，何況百劫？百劫功德尚	劫 功 德 尚 不可思議 何 況 百 劫 百 劫 功 德 尚 
T47n1966_001:0124b02	不可思議，何況千劫？千劫功德尚不可思議，	不可思議 何 況 千 劫 千 劫 功 德 尚 不可思議 
T47n1966_001:0124b03	何況萬劫？萬劫功德尚不可思議，何況一億	何 況 萬 劫 萬 劫 功 德 尚 不可思議 何 況 一 億 
T47n1966_001:0124b04	劫？乃至八十億劫功德，不可知數，故言不可	劫 乃 至 八 十 億 劫 功 德 不 可 知 數 故 言 不 可 
T47n1966_001:0124b05	思議功德。所以《觀無量壽經》中，廣造五逆、謗	思 議 功 德 所 以 觀 無 量 壽 經 中 廣 造 五 逆 謗 
T47n1966_001:0124b06	方等經罪，臨命終時，念阿彌陀佛十口，即生	方 等 經 罪 臨命終時 念 阿 彌 陀 佛 十 口 即 生 
T47n1966_001:0124b07	淨土。此是下品下生法。一念功德尚自無量，	淨 土 此 是 下 品 下 生 法 一 念 功 德 尚 自 無 量 
T47n1966_001:0124b08	何況二念乃至十念。准《觀經》中，其人謗方等	何 況 二 念 乃 至 十 念 准 觀 經 中 其 人 謗 方 等 
T47n1966_001:0124b09	經，用常住僧物，廣破諸戒，世間惡業盡造。	經 用 常 住 僧 物 廣 破 諸 戒 世 間 惡 業 盡 造 
T47n1966_001:0124b10	臨命終時，稱念一口阿彌陀佛功德，所造罪	臨命終時 稱 念 一 口 阿 彌 陀 佛 功 德 所 造 罪 
T47n1966_001:0124b11	業總皆消滅盡，往生淨土。所以經言：『於一念	業 總 皆 消 滅 盡 往 生 淨 土 所 以 經 言 於 一 念 
T47n1966_001:0124b12	中滅八十億劫生死之罪。』此是下品中生法。」	中 滅 八 十 億 劫 生 死 之 罪 此 是 下 品 中 生 法 
T47n1966_001:0124b13	又問：「罪障既多，何故念佛十口乃能除滅多	又 問 罪 障 既 多 何 故 念 佛 十 口 乃 能 除 滅 多 
T47n1966_001:0124b14	劫等罪？」答：「十口佛名，定能除滅多劫等罪。何	劫 等 罪 答 十 口 佛 名 定 能 除 滅 多 劫 等 罪 何 
T47n1966_001:0124b15	以得知？舉喻釋者，譬如有人積薪千日，起火	以 得 知 舉 喻 釋 者 譬 如 有 人 積 薪 千 日 起 火 
T47n1966_001:0124b16	焚之，不經半日燒薪總盡。罪業煩惱猶如柴	焚 之 不 經 半 日 燒 薪 總 盡 罪 業 煩 惱 猶 如 柴 
T47n1966_001:0124b17	薪，念佛功德猶如猛火，無量劫來罪障由念	薪 念 佛 功 德 猶 如 猛 火 無 量 劫 來 罪 障 由 念 
T47n1966_001:0124b18	十口阿彌陀佛功德，一切罪障總皆消滅。又	十 口 阿 彌 陀 佛 功 德 一 切 罪 障 總 皆 消 滅 又 
T47n1966_001:0124b19	罪障猶如闇室，念佛猶如明燈，千年闇室明	罪 障 猶 如 闇 室 念 佛 猶 如 明 燈 千 年 闇 室 明 
T47n1966_001:0124b20	燈纔照，其闇悉除。念佛功德亦復如是，無量	燈 纔 照 其 闇 悉 除 念 佛 功 德 亦復如是 無 量 
T47n1966_001:0124b21	劫來罪障，由念阿彌陀佛功德，一切罪障悉	劫 來 罪 障 由 念 阿 彌 陀 佛 功 德 一 切 罪 障 悉 
T47n1966_001:0124b22	消滅。故知念佛定能滅除多劫等罪。故《觀經》	消 滅 故 知 念 佛 定 能 滅 除 多 劫 等 罪 故 觀 經 
T47n1966_001:0124b23	云：『汝稱佛名故，諸罪消滅，我來迎汝。』「又念佛	云 汝 稱 佛 名 故 諸 罪 消 滅 我 來 迎 汝 又 念 佛 
T47n1966_001:0124b24	十口功德尚自無邊，何況有人一日念得十	十 口 功 德 尚 自 無 邊 何 況 有 人 一 日 念 得 十 
T47n1966_001:0124b25	萬口阿彌陀佛？一日念得二十萬口阿彌陀	萬 口 阿 彌 陀 佛 一 日 念 得 二 十 萬 口 阿 彌 陀 
T47n1966_001:0124b26	佛者？一日念佛功德尚自無邊，何況二日乃	佛 者 一 日 念 佛 功 德 尚 自 無 邊 何 況 二 日 乃 
T47n1966_001:0124b27	至七日念佛功德？准《阿彌陀經》，臨命終時，疾	至 七 日 念 佛 功 德 准 阿 彌 陀 經 臨命終時 疾 
T47n1966_001:0124b28	則一日，遲則七日，念佛即往生淨土。又云：	則 一 日 遲 則 七 日 念 佛 即 往 生 淨 土 又 云 
T47n1966_001:0124b29	『眾生生者，皆是阿鞞跋致。』即是八地菩薩。此	 眾 生 生 者 皆 是 阿鞞跋致 即 是 八 地 菩 薩 此 
T47n1966_001:0124c01	是上品上生法。何以得知？喻如世間戶次相	是 上 品 上 生 法 何 以 得 知 喻 如 世 間 戶 次 相 
T47n1966_001:0124c02	似，財寶多者作上上戶，財寶少者作下下戶，	似 財 寶 多 者 作 上 上 戶 財 寶 少 者 作 下 下 戶 
T47n1966_001:0124c03	念佛功德最多者，生淨土作上上品；念佛最	念 佛 功 德 最 多 者 生 淨 土 作 上 上 品 念 佛 最 
T47n1966_001:0124c04	少者，作下下品。如來雖說諸善功德八萬四	少 者 作 下 下 品 如 來 雖 說 諸 善 功 德 八 萬 四 
T47n1966_001:0124c05	千法門，唯有念佛一門是最上法。如來雖說	千 法 門 唯 有 念 佛 一 門 是 最 上 法 如 來 雖 說 
T47n1966_001:0124c06	諸善功德，唯有念佛一法是多善根、是多福	諸 善 功 德 唯 有 念 佛 一 法 是 多 善 根 是 多 福 
T47n1966_001:0124c07	德。自餘雜善，若望念佛，總是少善根、少福德，	德 自 餘 雜 善 若 望 念 佛 總 是 少 善 根 少 福 德 
T47n1966_001:0124c08	念佛法門實非餘門所及也。故知念佛一門	念 佛 法 門 實 非 餘 門 所 及 也 故 知 念 佛 一 門 
T47n1966_001:0124c09	是多善根、多福德。「又念佛法，准諸經說，極甚	是 多 善 根 多 福 德 又 念 佛 法 准 諸 經 說 極 甚 
T47n1966_001:0124c10	難值。何以得知？《大阿彌陀經》云：『過去有一國	難 值 何 以 得 知 大 阿 彌 陀 經 云 過 去 有 一 國 
T47n1966_001:0124c11	王，能起信心，擬作念佛要法，遂至善知識所，	王 能 起 信 心 擬 作 念 佛 要 法 遂 至 善 知 識 所 
T47n1966_001:0124c12	志求念佛要法。爾時善友報大王言：「此念佛	志 求 念 佛 要 法 爾 時 善 友 報 大 王 言 此 念 佛 
T47n1966_001:0124c13	要法極理難聞，大王貴聖，豈能學？」王報大師：	要 法 極 理 難 聞 大 王 貴 聖 豈 能 學 王 報 大 師 
T47n1966_001:0124c14	「若能為我說念佛要法者，吾當終身供給走	 若 能 為 我 說 念 佛 要 法 者 吾 當 終 身 供 給 走 
T47n1966_001:0124c15	使。」爾時善友報大王云：「王擬修念佛要法者，	使 爾 時 善 友 報 大 王 云 王 擬 修 念 佛 要 法 者 
T47n1966_001:0124c16	宜捨國位，此處供給，多時不退，即為王說念	宜 捨 國 位 此 處 供 給 多 時 不 退 即 為 王 說 念 
T47n1966_001:0124c17	佛要法。」爾時大王遂捨國位，即隨善友供給	佛 要 法 爾 時 大 王 遂 捨 國 位 即 隨 善 友 供 給 
T47n1966_001:0124c18	所須。時世人民壽命無量，經八千歲，苦處先	所 須 時 世 人 民 壽 命 無 量 經 八 千 歲 苦 處 先 
T47n1966_001:0124c19	登，不避勞倦，不生退轉，於其中間，兩度聞說	登 不 避 勞 倦 不 生 退 轉 於其中間 兩 度 聞 說 
T47n1966_001:0124c20	念佛三昧，於後世後時得值二萬八千諸佛，	念佛三昧 於 後 世 後 時 得 值 二 萬 八 千 諸 佛 
T47n1966_001:0124c21	並為王說念佛三昧，其王聞念佛法故遂得	並 為 王 說 念佛三昧 其 王 聞 念 佛 法 故 遂 得 
T47n1966_001:0124c22	成佛。』何況今時得聞，至誠信念，豈不往生極	成 佛 何 況 今 時 得 聞 至 誠 信 念 豈 不 往 生 極 
T47n1966_001:0124c23	樂世界？億億眾生沈淪惡道，不得成佛，只為	樂 世 界 億 億 眾 生 沈 淪 惡 道 不 得 成 佛 只 為 
T47n1966_001:0124c24	不逢念佛法門，故知念佛極難逢。」	不 逢 念 佛 法 門 故 知 念 佛 極 難 逢 
T47n1966_001:0124c25	第六、挍量齋福門	第 六 挍 量 齋 福 門 
T47n1966_001:0124c26	問：「念佛法門亦復持齋已不？」答：「念佛之法亦	問 念 佛 法 門 亦 復 持 齋 已 不 答 念 佛 之 法 亦 
T47n1966_001:0124c27	須持齋，大行和上一食持齋，長時無闕。」問：	須 持 齋 大 行 和 上 一 食 持 齋 長 時 無 闕 問 
T47n1966_001:0124c28	「持齋得幾功德？」答：「《大雲密藏經》、《齋法清淨經》、	 持 齋 得 幾 功 德 答 大 雲 密 藏 經 齋 法 清 淨 經 
T47n1966_001:0124c29	《挍量齋福利經》中所說，齋有五時：寅時齋者，	 挍 量 齋 福 利 經 中 所 說 齋 有 五 時 寅 時 齋 者 
T47n1966_001:0125a01	得八萬四千億歲餘糧；卯時齋者，得八萬億	得 八萬四千 億 歲 餘 糧 卯 時 齋 者 得 八 萬 億 
T47n1966_001:0125a02	歲餘糧；辰時齋者，得六萬億歲餘糧；巳時齋	歲 餘 糧 辰 時 齋 者 得 六 萬 億 歲 餘 糧 巳 時 齋 
T47n1966_001:0125a03	者，得四萬億歲餘糧；午時齋者，得五百日餘	者 得 四 萬 億 歲 餘 糧 午 時 齋 者 得 五 百 日 餘 
T47n1966_001:0125a04	糧。午時後不得成齋，得罪，無一分功德。言餘	糧 午 時 後 不 得 成 齋 得 罪 無 一 分 功 德 言 餘 
T47n1966_001:0125a05	糧者，餘則不盡，故言餘糧。今生多足衣食，皆	糧 者 餘 則 不 盡 故 言 餘 糧 今 生 多 足 衣 食 皆 
T47n1966_001:0125a06	是過去持齋所獲。所以大行和上說：『念佛之	是 過 去 持 齋 所 獲 所 以 大 行 和 上 說 念 佛 之 
T47n1966_001:0125a07	人要須持齋。』又譬如一日得糧食，尚不可思	人 要 須 持 齋 又 譬 如 一 日 得 糧 食 尚 不 可 思 
T47n1966_001:0125a08	議，何況十年糧食？十年糧食尚不可思議，何	議 何 況 十 年 糧 食 十 年 糧 食 尚 不可思議 何 
T47n1966_001:0125a09	況百年糧食？乃至百億、千億、萬億、八萬億糧	況 百 年 糧 食 乃 至 百 億 千 億 萬 億 八 萬 億 糧 
T47n1966_001:0125a10	食？既准經說，故知持齋功德不可思議，念佛	食 既 准 經 說 故 知 持 齋 功 德 不可思議 念 佛 
T47n1966_001:0125a11	人要須持齋。」	人 要 須 持 齋 
T47n1966_001:0125a12	第七、疑謗得罪門	第 七 疑 謗 得 罪 門 
T47n1966_001:0125a13	問：「讚歎念佛得何功德？誹謗念佛得何罪？」答：	問 讚 歎 念 佛 得 何 功 德 誹 謗 念 佛 得 何 罪 答 
T47n1966_001:0125a14	「准《雜集經》說：『一度謗念佛人，千劫墮泥梨地	 准 雜 集 經 說 一 度 謗 念 佛 人 千 劫 墮 泥 梨 地 
T47n1966_001:0125a15	獄；一度讚念佛人，滅却身中百劫極重惡業。』	獄 一 度 讚 念 佛 人 滅 却 身 中 百 劫 極 重 惡 業 
T47n1966_001:0125a16	大行和上說：『人不志心念佛，亦謗佛，故遂即	大 行 和 上 說 人 不 志 心 念 佛 亦 謗 佛 故 遂 即 
T47n1966_001:0125a17	謗法，直入阿鼻獄中，受諸苦痛，無有出期。』」	謗 法 直 入 阿 鼻 獄 中 受 諸 苦 痛 無 有 出 期 
T47n1966_001:0125a18	又問：「阿鼻地獄如何莊嚴？」答：「阿鼻地獄者，《觀	又 問 阿鼻地獄 如 何 莊 嚴 答 阿鼻地獄 者 觀 
T47n1966_001:0125a19	佛三昧經》說：『縱、廣正等八千由旬，七重鐵城、	佛 三 昧 經 說 縱 廣 正 等 八 千 由 旬 七 重 鐵 城 
T47n1966_001:0125a20	七重鐵網，有七鐵幢，八萬四千劍林，八萬	七 重 鐵 網 有 七 鐵 幢 八萬四千 劍 林 八 萬 
T47n1966_001:0125a21	四千熱湯，銅狗、鐵蛇、鐵烏滿此獄中，一人入	四 千 熱 湯 銅 狗 鐵 蛇 鐵 烏 滿 此 獄 中 一 人 入 
T47n1966_001:0125a22	獄，亦皆遍滿；多人入中，亦復不窂。一墮此	獄 亦 皆 遍 滿 多 人 入 中 亦 復 不 窂 一 墮 此 
T47n1966_001:0125a23	獄，長時受苦，無有出期，無有間隔，經八萬大	獄 長 時 受 苦 無 有 出 期 無 有 間 隔 經 八 萬 大 
T47n1966_001:0125a24	劫，然後得出，復墮畜生。由謗念佛法故，墮地	劫 然 後 得 出 復 墮 畜 生 由 謗 念 佛 法 故 墮 地 
T47n1966_001:0125a25	獄中受無間苦。若不迴心念佛，無間等罪無	獄 中 受無間苦 若 不 迴 心 念 佛 無 間 等 罪 無 
T47n1966_001:0125a26	由得出；若能志誠念佛，無間等罪並皆消滅。』	由 得 出 若 能 志 誠 念 佛 無 間 等 罪 並 皆 消 滅 
T47n1966_001:0125a27	又准《法華經》中『見有讀誦、書持經者，輕賤、憎	又 准 法 華 經 中 見 有 讀 誦 書 持 經 者 輕 賤 憎 
T47n1966_001:0125a28	嫉而懷結恨，即墮無間地獄。』何況謗念佛之	嫉 而 懷 結 恨 即 墮 無間地獄 何 況 謗 念 佛 之 
T47n1966_001:0125a29	人，其人罪重，於謗誦經、讀經書經人，百千萬	人 其 人 罪 重 於 謗 誦 經 讀 經 書 經 人 百 千 萬 
T47n1966_001:0125b01	倍。所以大行和上，違情能忍、打罵莫報，恐招	倍 所 以 大 行 和 上 違 情 能 忍 打 罵 莫 報 恐 招 
T47n1966_001:0125b02	罪故。《遺教經》云：『劫功德賊，無過嗔恚，甚於猛	罪 故 遺 教 經 云 劫 功 德 賊 無 過 嗔 恚 甚 於 猛 
T47n1966_001:0125b03	火，常當防護，無令得入。』猛火能燒世聞諸珍	火 常 當 防 護 無 令 得 入 猛 火 能 燒 世 聞 諸 珍 
T47n1966_001:0125b04	寶，嗔心猛火能燒七聖財，是故念佛之人亦	寶 嗔 心 猛 火 能 燒 七 聖 財 是 故 念 佛 之 人 亦 
T47n1966_001:0125b05	須忍辱。又《華嚴經》云：『一念嗔心起，百萬障門	須 忍 辱 又 華 嚴 經 云 一 念 嗔 心 起 百 萬 障 門 
T47n1966_001:0125b06	生。』又准《觀經》『讚歎他好，自得功德，以罵他	生 又 准 觀 經 讚 歎 他 好 自 得 功 德 以 罵 他 
T47n1966_001:0125b07	惡，自得罪報。』何以得知？《報恩經》云：『均提沙彌	惡 自 得 罪 報 何 以 得 知 報 恩 經 云 均 提 沙 彌 
T47n1966_001:0125b08	為罵上座，音聲如狗吠。』均提沙彌由一惡言，	為 罵 上 座 音 聲 如 狗 吠 均 提 沙 彌 由 一 惡 言 
T47n1966_001:0125b09	五百生中常作狗身。故知罵他，還自得罪。又	五 百 生 中 常 作 狗 身 故 知 罵 他 還 自 得 罪 又 
T47n1966_001:0125b10	《雜阿含經》中說：『有一人讚歎修道人善事勝	 雜 阿 含 經 中 說 有 一 人 讚 歎 修 道 人 善 事 勝 
T47n1966_001:0125b11	妙，五百生中常得端正，形貌殊好，口氣常香，	妙 五 百 生 中 常 得 端 正 形 貌 殊 好 口 氣 常 香 
T47n1966_001:0125b12	遍體香潔，如優鉢羅華香氣，逆風四十里聞	遍 體 香 潔 如 優 鉢 羅 華 香 氣 逆 風 四 十 里 聞 
T47n1966_001:0125b13	香。』故知讚他並得善報，念佛人兼須讚善。准	香 故 知 讚 他 並 得 善 報 念 佛 人 兼 須 讚 善 准 
T47n1966_001:0125b14	《法華經》云：『不說他人好惡、長短。』唯專念佛，速	 法 華 經 云 不 說 他 人 好 惡 長 短 唯 專 念 佛 速 
T47n1966_001:0125b15	生淨土，不果沈淪。」	生 淨 土 不 果 沈 淪 
T47n1966_001:0125b16	第八、誓願證教門	第 八 誓 願 證 教 門 
T47n1966_001:0125b17	問：「既專念阿彌陀佛，定生淨土，定得無量功	問 既 專 念 阿 彌 陀 佛 定 生 淨 土 定 得 無 量 功 
T47n1966_001:0125b18	德，未審有何保證，令不遣信耶？」答：「大有保證！	德 未 審 有 何 保 證 令 不 遣 信 耶 答 大 有 保 證 
T47n1966_001:0125b19	准《阿彌陀經》中『六方諸佛恒河沙數，出廣長	准 阿 彌 陀 經 中 六 方 諸 佛 恒 河 沙 數 出 廣 長 
T47n1966_001:0125b20	舌相，遍覆三千大千世界，說誠實言。』不誑眾	舌 相 遍 覆 三千大千世界 說 誠 實 言 不 誑 眾 
T47n1966_001:0125b21	生，當信是本師釋迦牟尼佛說，念佛定得無	生 當 信 是 本 師 釋 迦 牟 尼 佛 說 念 佛 定 得 無 
T47n1966_001:0125b22	量功德，一日、七日稱念阿彌陀佛，定得往生	量 功 德 一 日 七 日 稱 念 阿 彌 陀 佛 定 得 往 生 
T47n1966_001:0125b23	淨土。一依此教不生淨土，誑汝，口中出舌已	淨 土 一 依 此 教 不 生 淨 土 誑 汝 口 中 出 舌 已 
T47n1966_001:0125b24	便當壞爛，不還入口。此是六方諸佛以願證	便 當 壞 爛 不 還 入 口 此 是 六 方 諸 佛 以 願 證 
T47n1966_001:0125b25	處。「又准《大寶積經》：『阿彌陀佛作法藏比丘時，	處 又 准 大 寶 積 經 阿 彌 陀 佛 作 法 藏 比 丘 時 
T47n1966_001:0125b26	發四十八大弘誓願中說：「若我得成佛時，十	發 四 十 八 大 弘 誓 願 中 說 若 我 得 成 佛 時 十 
T47n1966_001:0125b27	方天人聞我名字，不得菩薩無生法忍諸法總	方 天 人 聞 我 名 字 不 得 菩 薩 無生法忍 諸 法 總 
T47n1966_001:0125b28	持者，不取正覺；生我國土不得三十二相者，	持 者 不取正覺 生 我 國 土 不 得 三十二相 者 
T47n1966_001:0125b29	不取正覺；十念成就不生我國者，不取正覺；	不取正覺 十 念 成 就 不 生 我 國 者 不取正覺 
T47n1966_001:0125c01	若生我國中，更重墮地獄及三塗惡道者，不	若 生 我 國 中 更 重 墮 地 獄 及 三 塗 惡 道 者 不 
T47n1966_001:0125c02	取正覺；生我國土，形貌不平，一有好醜者，	取 正 覺 生 我 國 土 形 貌 不 平 一 有 好 醜 者 
T47n1966_001:0125c03	亦不取正覺；生我國中，不得天眼、天耳，六通	亦 不取正覺 生 我 國 中 不 得 天 眼 天 耳 六 通 
T47n1966_001:0125c04	自在者，不取正覺；十方眾生稱我名字，不得	自 在 者 不取正覺 十 方 眾 生 稱 我 名 字 不 得 
T47n1966_001:0125c05	十方諸佛，咨嗟讚歎我名者，不取正覺；若女	十方諸佛 咨 嗟 讚 歎 我 名 者 不取正覺 若 女 
T47n1966_001:0125c06	人厭惡女身，求生我國，臨命終時，不轉女身	人 厭 惡 女 身 求 生 我 國 臨命終時 不 轉 女 身 
T47n1966_001:0125c07	成男子，復受女身者，不取正覺。」』言正覺者亦	成 男 子 復 受 女 身 者 不取正覺 言 正 覺 者 亦 
T47n1966_001:0125c08	明菩提，若一切眾生乘我願力，不得如上果	明 菩 提 若 一 切 眾 生 乘 我 願 力 不 得 如 上 果 
T47n1966_001:0125c09	報，我即不證無上菩提，即是誑諸眾生，我誓	報 我 即 不 證 無上菩提 即 是 誑 諸 眾 生 我 誓 
T47n1966_001:0125c10	當在惡道中，不得無上菩提。此是阿彌陀二	當 在 惡 道 中 不 得 無上菩提 此 是 阿 彌 陀 二 
T47n1966_001:0125c11	立誓願處。「又《阿彌陀經》云：『說經之日，阿彌陀	立 誓 願 處 又 阿 彌 陀 經 云 說 經 之 日 阿 彌 陀 
T47n1966_001:0125c12	佛成佛已來，於今十劫。』阿彌陀佛既得成佛，	佛 成佛已來 於 今 十 劫 阿 彌 陀 佛 既 得 成 佛 
T47n1966_001:0125c13	念佛定得往生。又本師釋迦說，專念佛名亦	念 佛 定 得 往 生 又 本 師 釋 迦 說 專 念 佛 名 亦 
T47n1966_001:0125c14	為難事，我行此念佛得無上菩提。說《阿彌陀	為 難 事 我 行 此 念 佛 得 無上菩提 說 阿 彌 陀 
T47n1966_001:0125c15	經》意者，為本師釋迦因中發願。是故《法華經	經 意 者 為 本 師 釋 迦 因 中 發 願 是 故 法 華 經 
T47n1966_001:0125c16	中》說：『我本立誓願，欲令一切眾，如我等無	中 說 我 本 立 誓 願 欲 令 一 切 眾 如 我 等 無 
T47n1966_001:0125c17	異，如我昔所願，今者已滿足，化一切眾生，	異 如 我 昔 所 願 今 者 已 滿 足 化 一 切 眾 生 
T47n1966_001:0125c18	皆令入佛道。』此是釋迦佛立誓願處。「又《觀音	皆 令 入 佛 道 此 是 釋 迦 佛 立 誓 願 處 又 觀 音 
T47n1966_001:0125c19	經》云：『弘誓深如海，歷劫不可思議，侍多千億	經 云 弘 誓 深 如 海 歷 劫 不可思議 侍 多 千 億 
T47n1966_001:0125c20	佛，發大清淨願。』此是觀世音菩薩發願處。「又	佛 發 大 清 淨 願 此 是 觀 世 音 菩 薩 發 願 處 又 
T47n1966_001:0125c21	善導闍梨在西京寺內，與金剛法師挍量念	善 導 闍 梨 在 西 京 寺 內 與 金 剛 法 師 挍 量 念 
T47n1966_001:0125c22	佛勝劣，昇高座遂發願言：『准諸經中世尊說，	佛 勝 劣 昇 高 座 遂 發 願 言 准 諸 經 中 世 尊 說 
T47n1966_001:0125c23	念佛一法得生淨土，一日、七日，一念、十念阿	念 佛 一 法 得 生 淨 土 一 日 七 日 一 念 十 念 阿 
T47n1966_001:0125c24	彌陀佛定生淨土，此是真實不誑眾生者，即	彌 陀 佛 定 生 淨 土 此 是 真 實 不 誑 眾 生 者 即 
T47n1966_001:0125c25	遣此堂中二像總皆放光。若此念佛法虛，不	遣 此 堂 中 二 像 總 皆 放 光 若 此 念 佛 法 虛 不 
T47n1966_001:0125c26	生淨土，誑惑眾生，即遣善導於此高座上即	生 淨 土 誑 惑 眾 生 即 遣 善 導 於 此 高 座 上 即 
T47n1966_001:0125c27	墮大地獄，長時受苦，永不出期！』遂將如意杖	墮 大 地 獄 長 時 受 苦 永 不 出 期 遂 將 如 意 杖 
T47n1966_001:0125c28	指，一堂中像又皆放光。此是善導闍梨立誓	指 一 堂 中 像 又 皆 放 光 此 是 善 導 闍 梨 立 誓 
T47n1966_001:0125c29	願處。「又大行和尚言：『若有人，能依《阿彌陀	願 處 又 大 行 和 尚 言 若 有 人 能 依 阿 彌 陀 
T47n1966_001:0126a01	經》念佛，不取相貌，心唯信佛、口唯稱佛、身	經 念 佛 不 取 相 貌 心 唯 信 佛 口 唯 稱 佛 身 
T47n1966_001:0126a02	唯敬佛，違情能忍，惡衣先著，麁食先喫，孝義	唯 敬 佛 違 情 能 忍 惡 衣 先 著 麁 食 先 喫 孝 義 
T47n1966_001:0126a03	并仁慈，專心念佛，逢緣不退，至死不移，雜	并 仁 慈 專 心 念 佛 逢 緣 不 退 至 死 不 移 雜 
T47n1966_001:0126a04	善及惡亦皆不作，唯專念佛。能如是者，大行	善 及 惡 亦 皆 不 作 唯 專 念 佛 能 如 是 者 大 行 
T47n1966_001:0126a05	皮中剝與作衣服著，肉中截割與作飯食喫。	皮 中 剝 與 作 衣 服 著 肉 中 截 割 與 作 飯 食 喫 
T47n1966_001:0126a06	若依經念佛不生淨土，念一口佛，不滅八十	若 依 經 念 佛 不 生 淨 土 念 一 口 佛 不 滅 八 十 
T47n1966_001:0126a07	億劫生死之罪，不得八十億劫微妙功德，不	億 劫 生 死 之 罪 不 得 八 十 億 劫 微 妙 功 德 不 
T47n1966_001:0126a08	剝皮與著，不割肉與喫，誑惑眾生，使大行	剝 皮 與 著 不 割 肉 與 喫 誑 惑 眾 生 使 大 行 
T47n1966_001:0126a09	立請交報，六根壞爛遍體生瘡，使人眼見苦	立 請 交 報 六 根 壞 爛 遍 體 生 瘡 使 人 眼 見 苦 
T47n1966_001:0126a10	痛難忍，當來直入地獄更不再出！』此是大行	痛 難 忍 當 來 直 入 地 獄 更 不 再 出 此 是 大 行 
T47n1966_001:0126a11	和上立誓願處。「又喻誓願猶如寶車，有諸寶	和 上 立 誓 願 處 又 喻 誓 願 猶 如 寶 車 有 諸 寶 
T47n1966_001:0126a12	車多載珍寶，擬上國王求官職。車載寶物，要	車 多 載 珍 寶 擬 上 國 王 求 官 職 車 載 寶 物 要 
T47n1966_001:0126a13	須繩索縛束牢固，然始到京，不被傾側，珍寶	須 繩 索 縛 束 牢 固 然 始 到 京 不 被 傾 側 珍 寶 
T47n1966_001:0126a14	不失，王得寶物，遂與官職。念佛亦然，要須誓	不 失 王 得 寶 物 遂 與 官 職 念 佛 亦 然 要 須 誓 
T47n1966_001:0126a15	願，行始得成，不失念佛功德珍寶，乃至淨土	願 行 始 得 成 不 失 念 佛 功 德 珍 寶 乃 至 淨 土 
T47n1966_001:0126a16	早證菩提。若當無願所修行，行無由得成，故	早 證 菩 提 若 當 無 願 所 修 行 行 無 由 得 成 故 
T47n1966_001:0126a17	《阿彌陀經》：『若有信者，應當發願，生彼國土。』」	 阿 彌 陀 經 若 有 信 者 應 當 發 願 生 彼 國 土 
T47n1966_001:0126a18	第九、廣攝諸教門	第 九 廣 攝 諸 教 門 
T47n1966_001:0126a19	念佛總持，辯才無礙，布施、持戒、忍辱、精進、禪	念 佛 總 持 辯才無礙 布 施 持 戒 忍 辱 精 進 禪 
T47n1966_001:0126a20	定、智慧，及方便、願、力、智無不具足。由念佛故，	定 智 慧 及 方 便 願 力 智 無 不 具 足 由 念 佛 故 
T47n1966_001:0126a21	猶如如意寶珠所求皆得。若自能念佛，布施	猶 如 如意寶珠 所 求 皆 得 若 自 能 念 佛 布 施 
T47n1966_001:0126a22	他人，教他念佛，此即當布施；由念佛故滅除	他 人 教 他 念 佛 此 即 當 布 施 由 念 佛 故 滅 除 
T47n1966_001:0126a23	諸罪，即是持戒；惡法不生即是忍辱；行、住、座、	諸 罪 即 是 持 戒 惡 法 不 生 即 是 忍 辱 行 住 座 
T47n1966_001:0126a24	臥念佛名字不離心口，即是精進；深信不疑，	臥 念 佛 名 字 不 離 心 口 即 是 精 進 深 信 不 疑 
T47n1966_001:0126a25	志誠念佛，所生淨土不生退轉，即是禪定；由	志 誠 念 佛 所 生 淨 土 不 生 退 轉 即 是 禪 定 由 
T47n1966_001:0126a26	久用功念佛名號，一切經教披文即解，此即	久 用 功 念 佛 名 號 一 切 經 教 披 文 即 解 此 即 
T47n1966_001:0126a27	智慧。是故念佛總持，辯才無礙。又准念佛，攝	智 慧 是 故 念 佛 總 持 辯才無礙 又 准 念 佛 攝 
T47n1966_001:0126a28	六度果報。何以？由念佛故往生淨土，衣、食自	六 度 果 報 何 以 由 念 佛 故 往 生 淨 土 衣 食 自 
T47n1966_001:0126a29	然，財寶總足，即攝布施；由念佛故往生淨土，	然 財 寶 總 足 即 攝 布 施 由 念 佛 故 往 生 淨 土 
T47n1966_001:0126b01	得男子身，具六神通，即攝持戒；由念佛故往	得 男 子 身 具 六 神 通 即 攝 持 戒 由 念 佛 故 往 
T47n1966_001:0126b02	生淨土，得端正可喜三十二相、八十種好，即	生 淨 土 得 端 正 可 喜 三十二相 八十種好 即 
T47n1966_001:0126b03	攝忍辱；由念佛故當生淨土，水鳥、樹林、佛及	攝 忍 辱 由 念 佛 故 當 生 淨 土 水 鳥 樹 林 佛 及 
