T04n0207_001:0522b16	◎雜譬喻經	 雜 譬 喻 經 
T04n0207_001:0526b27	爾？眾人皆相謂言：「此非小事，思共宜之。」王	爾 眾 人 皆 相 謂 言 此 非 小 事 思 共 宜 之 王 
T04n0207_001:0526b28	恐諸臣欲反，便自怖懅語諸臣言：「我有良藥	恐 諸 臣 欲 反 便 自 怖 懅 語 諸 臣 言 我 有 良 藥 
T04n0207_001:0526b29	能愈此病，諸人小停，待我服藥須臾當出。」王	能 愈 此 病 諸 人 小 停 待 我 服 藥 須 臾 當 出 王 
T04n0207_001:0526c01	便入宮脫所著服，以泥塗面須臾還出，一切	便 入 宮 脫 所 著 服 以 泥 塗 面 須 臾 還 出 一 切 
T04n0207_001:0526c02	群臣見皆大喜謂法應爾，不自知狂。七日之	群 臣 見 皆 大 喜 謂 法 應 爾 不 自 知 狂 七 日 之 
T04n0207_001:0526c03	後群臣醒悟大自慚愧，各著衣冠而來朝會，	後 群 臣 醒 悟 大 自 慚 愧 各 著 衣 冠 而 來 朝 會 
T04n0207_001:0526c04	王故如前赤裸而坐，諸臣皆驚怪而問言：「王	王 故 如 前 赤 裸 而 坐 諸 臣 皆 驚 怪 而 問 言 王 
T04n0207_001:0526c05	常多智，何故若是？」王答臣言：「我心常定無變	常 多 智 何 故 若 是 王 答 臣 言 我 心 常 定 無 變 
T04n0207_001:0526c06	易也，以汝狂故反謂我狂，以故若是，非實心	易 也 以 汝 狂 故 反 謂 我 狂 以 故 若 是 非 實 心 
T04n0207_001:0526c07	也。」如來亦如是，以眾生服無明水一切常狂，	也 如 來 亦 如 是 以 眾 生 服 無 明 水 一 切 常 狂 
T04n0207_001:0526c08	若聞大聖常說諸法不生不滅、一相無相者，	若 聞 大 聖 常 說 諸 法 不生不滅 一相無相 者 
T04n0207_001:0526c09	必謂大聖為狂言也。是故如來隨順眾生，現	必 謂 大 聖 為 狂 言 也 是 故 如 來 隨 順 眾 生 現 
T04n0207_001:0526c10	說諸法是善是惡、是有為是無為也。	說 諸 法 是 善 是 惡 是 有 為 是 無 為 也 
T04n0207_001:0526c11	（一八）阿修羅前世時曾為貧人，居近河邊常渡	 一 八 阿 修 羅 前 世 時 曾 為 貧 人 居 近 河 邊 常 渡 
T04n0207_001:0526c12	河擔薪。時河水深流復駛疾，此人數數為水	河 擔 薪 時 河 水 深 流 復 駛 疾 此 人 數 數 為 水 
T04n0207_001:0526c13	所漂，既亡所持身又沒溺，隨流宛轉急而得	所 漂 既 亡 所 持 身 又 沒 溺 隨 流 宛 轉 急 而 得 
T04n0207_001:0526c14	出。時有辟支佛作沙門形詣舍乞食，貧人歡	出 時 有 辟 支 佛 作 沙 門 形 詣 舍 乞 食 貧 人 歡 
T04n0207_001:0526c15	喜即施，飯食訖已行澡水畢，置鉢虛中飛行	喜 即 施 飯 食 訖 已 行 澡 水 畢 置 鉢 虛 中 飛 行 
T04n0207_001:0526c16	而去。貧人見之因以發願：「願我後生身形長	而 去 貧 人 見 之 因 以 發 願 願 我 後 生 身 形 長 
T04n0207_001:0526c17	大，一切深水無過膝者。」以是因緣得極大身，	大 一 切 深 水 無 過 膝 者 以是因緣 得 極 大 身 
T04n0207_001:0526c18	四大海水不能過膝，立大海中身過須彌，手	四 大 海 水 不 能 過 膝 立 大 海 中 身 過 須 彌 手 
T04n0207_001:0526c19	據山頂下觀忉利天。況佛無央數劫積大誓	據 山 頂 下 觀 忉 利 天 況 佛 無央數劫 積 大 誓 
T04n0207_001:0526c20	願，法身滿虛何足怪乎？	願 法 身 滿 虛 何 足 怪 乎 
T04n0207_001:0526c21	（一九）昔有一國王子，年始七歲，便入深山求學	 一 九 昔 有 一 國 王 子 年 始 七 歲 便 入 深 山 求 學 
T04n0207_001:0526c22	仙道，未曾知朝廷百官之任。後國王壽終，便	仙 道 未 曾 知 朝 廷 百 官 之 任 後 國 王 壽 終 便 
T04n0207_001:0526c23	無堪任為國王者，群臣共議：「山中仙人本是	無 堪 任 為 國 王 者 群 臣 共 議 山 中 仙 人 本 是 
T04n0207_001:0526c24	王子，兼修道德，以此為王，萬國有賴也。」率土	王 子 兼 修 道 德 以 此 為 王 萬 國 有 賴 也 率 土 
T04n0207_001:0526c25	臣民皆出詣山，拜此仙以為國王，乘以王	臣 民 皆 出 詣 山 拜 此 仙 以 為 國 王 乘 以 王 
T04n0207_001:0526c26	輿迎還本國，宣勅食官妙饌盛味以饗大王。	輿 迎 還 本 國 宣 勅 食 官 妙 饌 盛 味 以 饗 大 王 
T04n0207_001:0526c27	王以食味可口故，其餘諸物事事從厨士索	王 以 食 味 可 口 故 其 餘 諸 物 事 事 從 厨 士 索 
T04n0207_001:0526c28	之，群臣具皆笑，故謂王曰：「百官之任各有所	之 群 臣 具 皆 笑 故 謂 王 曰 百 官 之 任 各 有 所 
T04n0207_001:0526c29	主，厨官自主食、衣官自主衣，兵事寶藏各有	主 厨 官 自 主 食 衣 官 自 主 衣 兵 事 寶 藏 各 有 
T04n0207_001:0527a01	所司，不可以食美故責備一人也。」此喻明眾	所 司 不 可 以 食 美 故 責 備 一 人 也 此 喻 明 眾 
T04n0207_001:0527a02	經各自有所明，不可責備於一經也。彼若自	經 各 自 有 所 明 不 可 責 備 於 一 經 也 彼 若 自 
T04n0207_001:0527a03	明諸法實相，阿毘曇明諸法有，各各相異，勒	明 諸法實相 阿 毘 曇 明 諸 法 有 各 各 相 異 勒 
T04n0207_001:0527a04	相、無相而說也。	相 無 相 而 說 也 
T04n0207_001:0527a05	（二〇）鹿林昔有五百群鹿，在此林中有鹿王，	 二 〇 鹿 林 昔 有 五 百 群 鹿 在 此 林 中 有 鹿 王 
T04n0207_001:0527a06	一是菩薩，一是真鹿王。時有國王出城獵，	一 是 菩 薩 一 是 真 鹿 王 時 有 國 王 出 城 獵 
T04n0207_001:0527a07	見此群鹿引兵圍之，彼二鹿王共設方計，俱	見 此 群 鹿 引 兵 圍 之 彼 二 鹿 王 共 設 方 計 俱 
T04n0207_001:0527a08	詣人王長跪白人王言：「今在王界分受屠割，	詣 人 王 長 跪 白 人 王 言 今 在 王 界 分 受 屠 割 
T04n0207_001:0527a09	若王一時併殺諸鹿，噉不時盡或臭爛，意欲	若 王 一 時 併 殺 諸 鹿 噉 不 時 盡 或 臭 爛 意 欲 
T04n0207_001:0527a10	日送二鹿以供王食，餘者次第當日日奉送	日 送 二 鹿 以 供 王 食 餘 者 次 第 當 日 日 奉 送 
T04n0207_001:0527a11	不敢有闕也。願王見聽，小得延命，此豈是非	不 敢 有 闕 也 願 王 見 聽 小 得 延 命 此 豈 是 非 
T04n0207_001:0527a12	大王之恩耶？」於是人王聽如所白，開圍放之。	大 王 之 恩 耶 於 是 人 王 聽 如 所 白 開 圍 放 之 
T04n0207_001:0527a13	從此以後，彼二鹿王，自相料簡遂為次第，日	從此以後 彼 二 鹿 王 自 相 料 簡 遂 為 次 第 日 
T04n0207_001:0527a14	送二鹿詣王厨下。更數日後，有一妊身鹿次	送 二 鹿 詣 王 厨 下 更 數 日 後 有 一 妊 身 鹿 次 
T04n0207_001:0527a15	應就死，彼鹿詣其王所求待產竟，彼王報言：	應 就 死 彼 鹿 詣 其 王 所 求 待 產 竟 彼 王 報 言 
T04n0207_001:0527a16	「餘鹿次第未至，誰代汝者？」彼鹿便詣菩薩王	 餘 鹿 次 第 未 至 誰 代 汝 者 彼 鹿 便 詣 菩 薩 王 
T04n0207_001:0527a17	所，白菩薩言：「我王不仁，不以理恕，今來歸	所 白 菩 薩 言 我 王 不 仁 不 以 理 恕 今 來 歸 
T04n0207_001:0527a18	命，願為理之。」菩薩鹿王愍其如此，遂便自詣	命 願 為 理 之 菩 薩 鹿 王 愍 其 如 此 遂 便 自 詣 
T04n0207_001:0527a19	人王厨下，厨士白王言：「鹿王自來詣厨，求代	人 王 厨 下 厨 士 白 王 言 鹿 王 自 來 詣 厨 求 代 
T04n0207_001:0527a20	彼妊身之鹿。」王乃怪之希有，語厨士言：「將彼	彼 妊 身 之 鹿 王 乃 怪 之 希 有 語 厨 士 言 將 彼 
T04n0207_001:0527a21	鹿王來。」於是鹿王詣人王所，遂向王廣說其	鹿 王 來 於 是 鹿 王 詣 人 王 所 遂 向 王 廣 說 其 
T04n0207_001:0527a22	意，於是人王信心遂生。「禽獸猶尚修德，何	意 於 是 人 王 信 心 遂 生 禽 獸 猶 尚 修 德 何 
T04n0207_001:0527a23	況人乎？」令一國之內永不射獵，以此林野長	況 人 乎 令 一 國 之 內 永 不 射 獵 以 此 林 野 長 
T04n0207_001:0527a24	施群鹿，從是以來遂以鹿林為名也。	施 群 鹿 從 是 以 來 遂 以 鹿 林 為 名 也 
T04n0207_001:0527a25	（二一）昔有一居士，其婦妊身，請佛到舍供養	 二 一 昔 有 一 居 士 其 婦 妊 身 請 佛 到 舍 供 養 
T04n0207_001:0527a26	畢，欲令如來占其妻後生子欲知男女。佛言：	畢 欲 令 如 來 占 其 妻 後 生 子 欲 知 男 女 佛 言 
T04n0207_001:0527a27	「後當生男，端正殊好，及至長大，當於人中受	 後 當 生 男 端 正 殊 好 及 至 長 大 當 於 人 中 受 
T04n0207_001:0527a28	天上樂，後當得羅漢道。」居士聞之心疑不信，	天 上 樂 後 當 得 羅 漢 道 居 士 聞 之 心 疑 不 信 
T04n0207_001:0527a29	後復請六師供養畢，復令占之，居士語六師	後 復 請 六 師 供 養 畢 復 令 占 之 居 士 語 六 師 
T04n0207_001:0527b01	言：「前使瞿曇沙門占之，言後當生男，不知	言 前 使 瞿 曇 沙 門 占 之 言 後 當 生 男 不 知 
T04n0207_001:0527b02	實為男不？」六師言：「當生女。」彼六師等憎疾	實 為 男 不 六 師 言 當 生 女 彼 六 師 等 憎 疾 
T04n0207_001:0527b03	佛法，苟欲相反還自思惟：「若彼生男者，彼	佛 法 苟 欲 相 反 還 自 思 惟 若 彼 生 男 者 彼 
T04n0207_001:0527b04	居士便當棄我奉事瞿曇。」便作詭語：「居士！	居 士 便 當 棄 我 奉 事 瞿 曇 便 作 詭 語 居 士 
T04n0207_001:0527b05	君婦當生男，生男之後方大凶禍，家室親屬	君 婦 當 生 男 生 男 之 後 方 大 凶 禍 家 室 親 屬 
T04n0207_001:0527b06	七世絕滅，以不吉故我前詭言是女也。」居士	七 世 絕 滅 以 不 吉 故 我 前 詭 言 是 女 也 居 士 
T04n0207_001:0527b07	聞之，心用惶怖不知所如。彼六師等便語居	聞 之 心 用 惶 怖 不 知 所 如 彼 六 師 等 便 語 居 
T04n0207_001:0527b08	士：「欲得吉利，惟當除去之耳。」六師便為居士	士 欲 得 吉 利 惟 當 除 去 之 耳 六 師 便 為 居 士 
T04n0207_001:0527b09	婦按腹，按腹欲令落之。按腹不止，居士婦遂	婦 按 腹 按 腹 欲 令 落 之 按 腹 不 止 居 士 婦 遂 
T04n0207_001:0527b10	命終，而兒不死，宿命福德故也。居士便棄	命 終 而 兒 不 死 宿 命 福 德 故 也 居 士 便 棄 
T04n0207_001:0527b11	其婦著死人處，大積薪燒之，火焰既盛，佛	其 婦 著 死 人 處 大 積 薪 燒 之 火 焰 既 盛 佛 
T04n0207_001:0527b12	便將諸弟子就往觀之，居士婦身破壞，便見	便 將 諸 弟 子 就 往 觀 之 居 士 婦 身 破 壞 便 見 
T04n0207_001:0527b13	其兒在蓮花上坐，端正殊好顏貌如雪。佛命	其 兒 在 蓮 花 上 坐 端 正 殊 好 顏 貌 如 雪 佛 命 
T04n0207_001:0527b14	耆域：「取此兒來。」耆域即取來，出還本居士，	耆 域 取 此 兒 來 耆 域 即 取 來 出 還 本 居 士 
T04n0207_001:0527b15	居士遂便長育之。至年十六才美過人，便廣	居 士 遂 便 長 育 之 至 年 十 六 才 美 過 人 便 廣 
T04n0207_001:0527b16	設多美飲食請彼六師，六師既坐，未久之間	設 多 美 飲 食 請 彼 六 師 六 師 既 坐 未 久 之 間 
T04n0207_001:0527b17	便失笑，其人問：「何故笑也？」六師便答：「吾見	便 失 笑 其 人 問 何 故 笑 也 六 師 便 答 吾 見 
T04n0207_001:0527b18	五萬里有山，山下有水，有一獼猴落水，是	五 萬 里 有 山 山 下 有 水 有 一 獼 猴 落 水 是 
T04n0207_001:0527b19	故笑耳。」此兒知其虛妄，便鉢中盛種種好羹	故 笑 耳 此 兒 知 其 虛 妄 便 鉢 中 盛 種 種 好 羹 
T04n0207_001:0527b20	以飯覆上，使人擎與之，餘人鉢中下著飯上	以 飯 覆 上 使 人 擎 與 之 餘 人 鉢 中 下 著 飯 上 
T04n0207_001:0527b21	著羹。諸人皆食，唯六師獨瞋不食。主人問：	著 羹 諸 人 皆 食 唯 六 師 獨 瞋 不 食 主 人 問 
T04n0207_001:0527b22	「何故不食？」六師答言：「無羹云何食？」主人言：	 何 故 不 食 六 師 答 言 無 羹 云 何 食 主 人 言 
T04n0207_001:0527b23	「君眼乃見五萬里獼猴落水，何不見飯下羹	 君 眼 乃 見 五 萬 里 獼 猴 落 水 何 不 見 飯 下 羹 
T04n0207_001:0527b24	耶？」於是六師大瞋，竟不食而還，徑向尸利	耶 於 是 六 師 大 瞋 竟 不 食 而 還 徑 向 尸 利 
T04n0207_001:0527b25	求多廣說。其人姉與求多作婦，尸利求多聞	求 多 廣 說 其 人 姉 與 求 多 作 婦 尸 利 求 多 聞 
T04n0207_001:0527b26	之亦瞋，告六師言：「瞿曇是彼師，我為大師	之 亦 瞋 告 六 師 言 瞿 曇 是 彼 師 我 為 大 師 
T04n0207_001:0527b27	請來毀辱之也。」是以作火坑毒飯也。此喻極	請 來 毀 辱 之 也 是 以 作 火 坑 毒 飯 也 此 喻 極 
T04n0207_001:0527b28	廣，不能一一出，故略舉其要也。	廣 不 能 一 一 出 故 略 舉 其 要 也 
T04n0207_001:0527b29	（二二）昔有一道士造婆羅門家乞食，婆羅門使	 二 二 昔 有 一 道 士 造 婆 羅 門 家 乞 食 婆 羅 門 使 
T04n0207_001:0527c01	婦擎食食之，婦在前立。其婦端正，道士觀之	婦 擎 食 食 之 婦 在 前 立 其 婦 端 正 道 士 觀 之 
T04n0207_001:0527c02	心便生變，語婆羅門言：「欲味過患出。」婆羅	心 便 生 變 語 婆羅門言 欲 味 過 患 出 婆 羅 
T04n0207_001:0527c03	門不解，便問言：「何等欲味過患出？」道士便抱	門 不 解 便 問 言 何 等 欲 味 過 患 出 道 士 便 抱 
T04n0207_001:0527c04	其婦咽共嗚嗚已，語婆羅門言：「此是欲味。」	其 婦 咽 共 嗚 嗚 已 語 婆羅門言 此 是 欲 味 
T04n0207_001:0527c05	婆羅門大瞋，以杖打此道人一下，道人復語：	婆 羅 門 大 瞋 以 杖 打 此 道 人 一 下 道 人 復 語 
T04n0207_001:0527c06	「此過是患。」復欲重打，道人走到門外，復迴	 此 過 是 患 復 欲 重 打 道 人 走 到 門 外 復 迴 
T04n0207_001:0527c07	頭語婆羅門：「此是出也。」喻人不能玄解義味，	頭 語 婆 羅 門 此 是 出 也 喻 人 不 能 玄 解 義 味 
T04n0207_001:0527c08	要須指事然後悟之也。	要 須 指 事 然 後 悟 之 也 
T04n0207_001:0527c09	（二三）昔有田舍人暫至都下，見被鞭持熱馬屎	 二 三 昔 有 田 舍 人 暫 至 都 下 見 被 鞭 持 熱 馬 屎 
T04n0207_001:0527c10	塗背，問言：「何故若是？」其人答：「令瘡易愈而	塗 背 問 言 何 故 若 是 其 人 答 令 瘡 易 愈 而 
T04n0207_001:0527c11	不作瘢。」田舍人密著心中，後歸家語其家人	不 作 瘢 田 舍 人 密 著 心 中 後 歸 家 語 其 家 人 
T04n0207_001:0527c12	言：「我至都下大得智慧。」後家人問言：「得何	言 我 至 都 下 大 得 智 慧 後 家 人 問 言 得 何 
T04n0207_001:0527c13	等智慧？」便呼奴言：「持鞭來痛與我二百鞭。」	等 智 慧 便 呼 奴 言 持 鞭 來 痛 與 我 二 百 鞭 
T04n0207_001:0527c14	奴畏大家不敢違命，即痛與二百鞭流血被	奴 畏 大 家 不 敢 違 命 即 痛 與 二 百 鞭 流 血 被 
T04n0207_001:0527c15	背，語奴言：「取熱馬屎來為我塗之，可令易	背 語 奴 言 取 熱 馬 屎 來 為 我 塗 之 可 令 易 
T04n0207_001:0527c16	愈而不作瘢。」語家人言：「汝知之不？此是智	愈 而 不 作 瘢 語 家 人 言 汝 知 之 不 此 是 智 
T04n0207_001:0527c17	慧。」此喻下戒道人，本遇明師受戒即得，見	慧 此 喻 下 戒 道 人 本 遇 明 師 受 戒 即 得 見 
T04n0207_001:0527c18	他受戒便捐棄本戒，更作白衣以壞法身。喻	他 受 戒 便 捐 棄 本 戒 更 作 白 衣 以 壞 法 身 喻 
T04n0207_001:0527c19	受二百鞭流血被背也，方求更受如馬屎塗	受 二 百 鞭 流 血 被 背 也 方 求 更 受 如 馬 屎 塗 
T04n0207_001:0527c20	也。	也 
T04n0207_001:0527c21	（二四）外國有呪龍師，軍遲盛水詣龍池邊，一心	 二 四 外 國 有 呪 龍 師 軍 遲 盛 水 詣 龍 池 邊 一 心 
T04n0207_001:0527c22	誦呪此龍，即時便見大火從池底起，舉池皆	誦 呪 此 龍 即 時 便 見 大 火 從 池 底 起 舉 池 皆 
T04n0207_001:0527c23	然。龍見火怖出頭望山，復見大火燒諸山澤，	然 龍 見 火 怖 出 頭 望 山 復 見 大 火 燒 諸 山 澤 
T04n0207_001:0527c24	仰視山頂空無住處，一切皆熱逃身無地，唯	仰 視 山 頂 空 無 住 處 一 切 皆 熱 逃 身 無 地 唯 
T04n0207_001:0527c25	見軍遲中水可以避難，便滅其火，身作微小	見 軍 遲 中 水 可 以 避 難 便 滅 其 火 身 作 微 小 
T04n0207_001:0527c26	形入軍遲中。彼龍池者喻欲界也，所望山澤	形 入 軍 遲 中 彼 龍 池 者 喻 欲 界 也 所 望 山 澤 
T04n0207_001:0527c27	喻色界也，視山頂者喻無色界也，呪龍師者	喻 色 界 也 視 山 頂 者 喻 無 色 界 也 呪 龍 師 者 
T04n0207_001:0527c28	喻菩薩也，軍遲水者喻涅槃也，彼呪術者喻	喻 菩 薩 也 軍 遲 水 者 喻 涅 槃 也 彼 呪 術 者 喻 
T04n0207_001:0527c29	方便也，大火然者喻現無常，龍大身者喻憍	方 便 也 大 火 然 者 喻 現 無 常 龍 大 身 者 喻 憍 
T04n0207_001:0528a01	慢也，作小形者喻謙卑也。言菩薩示現劫燒	慢 也 作 小 形 者 喻 謙 卑 也 言 菩 薩 示 現 劫 燒 
T04n0207_001:0528a02	欲色洞然，無常大火恐怖眾生，令除憍慢謙	欲 色 洞 然 無 常 大 火 恐 怖 眾 生 令 除 憍 慢 謙 
T04n0207_001:0528a03	卑下下，然後乃悉入涅槃也。	卑 下 下 然 後 乃 悉 入 涅 槃 也 
T04n0207_001:0528a04	（二五）昔者外國從來久遠，曾有一石當人路側，	 二 五 昔 者 外 國 從 來 久 遠 曾 有 一 石 當 人 路 側 
T04n0207_001:0528a05	時為車馬踐蹈小小損減。彼世有人嫌其妨	時 為 車 馬 踐 蹈 小 小 損 減 彼 世 有 人 嫌 其 妨 
T04n0207_001:0528a06	道，務欲除之，時即打壞。見有毒蛇從石中出，	道 務 欲 除 之 時 即 打 壞 見 有 毒 蛇 從 石 中 出 
T04n0207_001:0528a07	得風轉大，須臾之間身滿閻浮提。閻浮提中	得 風 轉 大 須臾之間 身 滿 閻 浮 提 閻浮提中 
T04n0207_001:0528a08	眾生人物，一日之中悉皆噉盡然後乃死。此	眾 生 人 物 一 日 之 中 悉 皆 噉 盡 然 後 乃 死 此 
T04n0207_001:0528a09	是惡報尚速疾如是，況之菩薩本為凡人，積	是 惡 報 尚 速 疾 如 是 況 之 菩 薩 本 為 凡 人 積 
T04n0207_001:0528a10	功累德動經塵數之劫，適從發意便成佛道，	功 累 德 動 經 塵 數 之 劫 適 從 發 意 便 成 佛 道 
T04n0207_001:0528a11	說法度人而取泥洹，此之利疾豈足怪乎？	說 法 度 人 而 取 泥 洹 此 之 利 疾 豈 足 怪 乎 
T04n0207_001:0528a12	（二六）昔有一蛇頭尾自相與諍，頭語尾曰：「我應為	 二 六 昔 有 一 蛇 頭 尾 自 相 與 諍 頭 語 尾 曰 我 應 為 
T04n0207_001:0528a13	大。」尾語頭曰：「我亦應大。」頭曰：「我有耳能聽、	大 尾 語 頭 曰 我 亦 應 大 頭 曰 我 有 耳 能 聽 
T04n0207_001:0528a14	有目能視、有口能食，行時最在前，是故可	有 目 能 視 有 口 能 食 行 時 最 在 前 是 故 可 
T04n0207_001:0528a15	為大；汝無此術，不應為大。」尾曰：「我令汝去，	為 大 汝 無 此 術 不 應 為 大 尾 曰 我 令 汝 去 
T04n0207_001:0528a16	故得去耳，若我以身遶木三匝三日而不已，	故 得 去 耳 若 我 以 身 遶 木 三 匝 三 日 而 不 已 
T04n0207_001:0528a17	頭遂不得去求食，飢餓垂死。」頭語尾曰：「汝可	頭 遂 不 得 去 求 食 飢 餓 垂 死 頭 語 尾 曰 汝 可 
T04n0207_001:0528a18	放之，聽汝為大。」尾聞其言即時放之。復語尾	放 之 聽 汝 為 大 尾 聞 其 言 即 時 放 之 復 語 尾 
T04n0207_001:0528a19	曰：「汝既為大，聽汝在前行。」尾在前行，未經	曰 汝 既 為 大 聽 汝 在 前 行 尾 在 前 行 未 經 
T04n0207_001:0528a20	數步墮火坑而死。此喻僧中或有聰明大德	數 步 墮 火 坑 而 死 此 喻 僧 中 或 有 聰 明 大 德 
T04n0207_001:0528a21	上座能斷法律，下有小者不肯順從，上座力	上 座 能 斷 法 律 下 有 小 者 不 肯 順 從 上 座 力 
T04n0207_001:0528a22	不能制，便語之言：「欲爾隨意。」事不成濟俱墮	不 能 制 便 語 之 言 欲 爾 隨 意 事 不 成 濟 俱 墮 
T04n0207_001:0528a23	非法，喻若彼蛇墜火坑也。	非 法 喻 若 彼 蛇 墜 火 坑 也 
T04n0207_001:0528a24	（二七）昔有捕鳥師張羅網於澤上，以鳥所食物	 二 七 昔 有 捕 鳥 師 張 羅 網 於 澤 上 以 鳥 所 食 物 
T04n0207_001:0528a25	著其中，眾鳥命侶競來食之，鳥師引其網，眾	著 其 中 眾 鳥 命 侶 競 來 食 之 鳥 師 引 其 網 眾 
T04n0207_001:0528a26	鳥盡墮網中。時有一鳥大而多力，身舉此網	鳥 盡 墮 網 中 時 有 一 鳥 大 而 多 力 身 舉 此 網 
T04n0207_001:0528a27	與眾鳥俱飛而去，鳥師視影隨而逐之。有人	與 眾 鳥 俱 飛 而 去 鳥 師 視 影 隨 而 逐 之 有 人 
T04n0207_001:0528a28	謂鳥師曰：「鳥飛虛空而汝步逐，何其愚哉？」	謂 鳥 師 曰 鳥 飛 虛 空 而 汝 步 逐 何 其 愚 哉 
T04n0207_001:0528a29	鳥師答曰：「不如是告，彼鳥日暮要求拪宿，	鳥 師 答 曰 不 如 是 告 彼 鳥 日 暮 要 求 拪 宿 
T04n0207_001:0528b01	進趣不同如是當墮。」其人故逐不止，日以轉	進 趣 不 同 如 是 當 墮 其 人 故 逐 不 止 日 以 轉 
T04n0207_001:0528b02	暮，仰觀眾鳥飜飛爭競，或欲趣東或欲趣西，	暮 仰 觀 眾 鳥 飜 飛 爭 競 或 欲 趣 東 或 欲 趣 西 
T04n0207_001:0528b03	或望長林或欲赴淵，如是不已須臾便墮，鳥	或 望 長 林 或 欲 赴 淵 如 是 不 已 須 臾 便 墮 鳥 
T04n0207_001:0528b04	師遂得次而殺之。捕鳥師者如波旬也，張羅	師 遂 得 次 而 殺 之 捕 鳥 師 者 如 波 旬 也 張 羅 
T04n0207_001:0528b05	網者如結使也，負網而飛如人未離結使欲	網 者 如 結 使 也 負 網 而 飛 如 人 未 離 結 使 欲 
T04n0207_001:0528b06	求出要也，日暮而止如人懈怠心生不復進	求 出 要 也 日 暮 而 止 如 人 懈 怠 心 生 不 復 進 
T04n0207_001:0528b07	也，求拪不同者如起六十二見恒相反也，鳥	也 求 拪 不 同 者 如 起 六 十 二 見 恒 相 反 也 鳥 
T04n0207_001:0528b08	墮地者如人受邪報落地獄也。此明結使塵	墮 地 者 如 人 受 邪 報 落 地 獄 也 此 明 結 使 塵 
T04n0207_001:0528b09	垢是魔羅網也。	垢 是 魔 羅 網 也 
T04n0207_001:0528b10	（二八）昔佛在世時，有五百力士俱為沙門，共在	 二 八 昔 佛 在 世 時 有 五 百 力 士 俱 為 沙 門 共 在 
T04n0207_001:0528b11	一處坐禪誦經。有不善賊盡奪諸沙門衣鉢	一 處 坐 禪 誦 經 有 不 善 賊 盡 奪 諸 沙 門 衣 鉢 
T04n0207_001:0528b12	蕩盡，唯有泥洹僧在。是賊去後，諸沙門輕著	蕩 盡 唯 有 泥 洹 僧 在 是 賊 去 後 諸 沙 門 輕 著 
T04n0207_001:0528b13	泥洹僧，俱詣佛所具白此意，佛語諸沙門言：	泥 洹 僧 俱 詣 佛 所 具 白 此 意 佛 語 諸 沙 門 言 
T04n0207_001:0528b14	「汝何不大喚？」諸沙門答言：「佛未聽，是故不敢	 汝 何 不 大 喚 諸 沙 門 答 言 佛 未 聽 是 故 不 敢 
T04n0207_001:0528b15	喚。」佛語諸比丘：「汝若不敢喚者，賊當日剝汝	喚 佛 語 諸 比 丘 汝 若 不 敢 喚 者 賊 當 日 剝 汝 
T04n0207_001:0528b16	衣，誰當能常給者？從今日後，聽汝見賊來時	衣 誰 當 能 常 給 者 從今日後 聽 汝 見 賊 來 時 
T04n0207_001:0528b17	大喚，捉杖塼石恐怖令去，但莫至誠傷害之	大 喚 捉 杖 塼 石 恐 怖 令 去 但 莫 至 誠 傷 害 之 
T04n0207_001:0528b18	耳。」人之所重者身也命也財也，此三事皆不	耳 人 之 所 重 者 身 也 命 也 財 也 此 三 事 皆 不 
T04n0207_001:0528b19	足惜、不可輕也。不足惜者，以其非常敗壞無	足 惜 不 可 輕 也 不 足 惜 者 以 其 非 常 敗 壞 無 
T04n0207_001:0528b20	有堅固，愚惑惜之以為我物，貪愛悋惜起不	有 堅 固 愚 惑 惜 之 以 為 我 物 貪 愛 悋 惜 起 不 
T04n0207_001:0528b21	善因緣，後墮惡道，故不足惜也。不可輕者，以	善 因 緣 後 墮 惡 道 故 不 足 惜 也 不 可 輕 者 以 
T04n0207_001:0528b22	有身故遇值賢聖，擎跪曲拳承迎禮拜，後得	有 身 故 遇 值 賢 聖 擎 跪 曲 拳 承 迎 禮 拜 後 得 
T04n0207_001:0528b23	金剛寶身不可毀壞，故曰不可輕也。命不足	金 剛 寶 身 不 可 毀 壞 故 曰 不 可 輕 也 命 不 足 
T04n0207_001:0528b24	惜者，人為命故殺生強盜婬妷，口犯四過，	惜 者 人 為 命 故 殺 生 強 盜 婬 妷 口 犯 四 過 
T04n0207_001:0528b25	心生貪恚邪見，後墮地獄，故曰不足惜也。而	心 生 貪 恚 邪 見 後 墮 地 獄 故 曰 不 足 惜 也 而 
T04n0207_001:0528b26	亦不可輕者，以有命故值遇聖賢，得聞法言	亦 不 可 輕 者 以 有 命 故 值 遇 聖 賢 得 聞 法 言 
T04n0207_001:0528b27	精義入神盡壽修行，後得寶命無量無窮，故	精 義 入 神 盡 壽 修 行 後 得 寶 命 無 量 無 窮 故 
T04n0207_001:0528b28	曰亦不可輕也。財不足惜者，以財是五家之	曰 亦 不 可 輕 也 財 不 足 惜 者 以 財 是 五 家 之 
T04n0207_001:0528b29	分，盜賊水火縣官惡子，五家忽至一旦便盡，	分 盜 賊 水 火 縣 官 惡 子 五 家 忽 至 一 旦 便 盡 
T04n0207_001:0528c01	故曰不足惜也。不可輕者，遇良福田持用布	故 曰 不 足 惜 也 不 可 輕 者 遇 良 福 田 持 用 布 
T04n0207_001:0528c02	施，種種供養無所遺惜，後得寶財四大藏，	施 種種供養 無 所 遺 惜 後 得 寶 財 四 大 藏 
