T15n0625_001:0367b17	大樹緊那羅王所問經卷第一	大樹緊那羅王所問經 卷 第 一 
T15n0625_002:0377c07	薩復有三十二法淨方便波羅蜜。何等三	薩 復 有 三 十 二 法 淨 方便波羅蜜 何 等 三 
T15n0625_002:0377c08	十二？觀察眾生自無眾惡。有無量福而不休	十 二 觀 察 眾 生 自 無 眾 惡 有 無 量 福 而 不 休 
T15n0625_002:0377c09	息，若有少福亦不休止。為化眾生而行惠施	息 若 有 少 福 亦 不 休 止 為 化 眾 生 而 行 惠 施 
T15n0625_002:0377c10	不求福田。於諸眾生起福田想不望果報。教	不 求 福 田 於 諸 眾 生 起 福 田 想 不 望 果 報 教 
T15n0625_002:0377c11	化下劣現為下劣。教諸眾生護持口業。現女	化 下 劣 現 為 下 劣 教 諸 眾 生 護 持 口 業 現 女 
T15n0625_002:0377c12	人像化諸年少。現作童子化諸童女。現一切	人 像 化 諸 年 少 現 作 童 子 化 諸 童 女 現 一 切 
T15n0625_002:0377c13	色不違眾生。自無憍恣現作憍恣，為化憍恣	色 不 違 眾 生 自 無 憍 恣 現 作 憍 恣 為 化 憍 恣 
T15n0625_002:0377c14	諸眾生故。示現狂亂，隨眾所解而為說法。百	諸 眾 生 故 示 現 狂 亂 隨 眾 所 解 而 為 說 法 百 
T15n0625_002:0377c15	歲持戒為化一人，放捨此戒所有一切娛樂	歲 持 戒 為 化 一 人 放 捨 此 戒 所有一切 娛 樂 
T15n0625_002:0377c16	之具，而共同之攝令入法。自住頭陀，為不	之 具 而 共 同 之 攝 令 入 法 自 住 頭 陀 為 不 
T15n0625_002:0377c17	活畏諸眾生故現不活畏。示現一切外道法	活 畏 諸 眾 生 故 現 不 活 畏 示 現 一 切 外 道 法 
T15n0625_002:0377c18	中修出家行，不呵佛法。現為婬女，若在王宮	中 修 出 家 行 不 呵 佛 法 現 為 婬 女 若 在 王 宮 
T15n0625_002:0377c19	現妙女身，為化慳著婬欲眾生。於大眾中多	現 妙 女 身 為 化 慳 著 婬 欲 眾 生 於 大 眾 中 多 
T15n0625_002:0377c20	人集處現眾伎術，或現簫、笛、琴、瑟、鼓、貝常為	人 集 處 現 眾 伎 術 或 現 簫 笛 琴 瑟 鼓 貝 常 為 
T15n0625_002:0377c21	第一。於是眾中歌舞戲笑，皆出法音現眾伎	第 一 於 是 眾 中 歌 舞 戲 笑 皆 出 法 音 現 眾 伎 
T15n0625_002:0377c22	術，隨諸眾生所喜樂者，為教化故而示現之。	術 隨 諸 眾 生 所 喜 樂 者 為 教 化 故 而 示 現 之 
T15n0625_002:0377c23	現神通力施眾生財然後說法。失財眾生為	現 神 通 力 施 眾 生 財 然 後 說 法 失 財 眾 生 為 
T15n0625_002:0377c24	現寶藏然後說法。有諸眾生憂箭所逼，隨其	現 寶 藏 然 後 說 法 有 諸 眾 生 憂 箭 所 逼 隨 其 
T15n0625_002:0377c25	所宜而為示現然後說法。若長者、居士及諸	所 宜 而 為 示 現 然 後 說 法 若 長 者 居 士 及 諸 
T15n0625_002:0377c26	小王、內宮婦女憂無子息，為欲化導令其歡	小 王 內 宮 婦 女 憂 無 子 息 為 欲 化 導 令 其 歡 
T15n0625_002:0377c27	喜現為其子。於大伴中作大伴主，將諸人眾	喜 現 為 其 子 於 大 伴 中 作 大 伴 主 將 諸 人 眾 
T15n0625_002:0377c28	至空曠野，糧食乏盡求索無所，以神通力化	至 空 曠 野 糧 食 乏 盡 求 索 無 所 以 神 通 力 化 
T15n0625_002:0377c29	作飲食令充足已，如應說法令不退轉於無	作 飲 食 令 充 足 已 如 應 說 法 令 不 退 轉 於 無 
T15n0625_002:0378a01	上道。若有眾生從生而盲群相隨逐，若一若	上 道 若 有 眾 生 從 生 而 盲 群 相 隨 逐 若 一 若 
T15n0625_002:0378a02	二若三若四，乃至一十一百，若千二千乃至	二 若 三 若 四 乃 至 一 十 一 百 若 千 二 千 乃 至 
T15n0625_002:0378a03	十千，於彼眾前現為盲人現極貧窮，從外乞	十 千 於 彼 眾 前 現 為 盲 人 現 極 貧 窮 從 外 乞 
T15n0625_002:0378a04	求給施諸盲，令其得眼覩見諸色，隨應說法	求 給 施 諸 盲 令 其 得 眼 覩 見 諸 色 隨應說法 
T15n0625_002:0378a05	使不退轉於無上道。若復有諸多千眾生，造	使 不 退 轉 於 無 上 道 若 復 有 諸 多 千 眾 生 造 
T15n0625_002:0378a06	眾過罪為王所繫，菩薩為脫是諸眾生牢獄	眾 過 罪 為 王 所 繫 菩 薩 為 脫 是 諸 眾 生 牢 獄 
T15n0625_002:0378a07	繫閉，現為罪人同入是中，以神通力悉解杻	繫 閉 現 為 罪 人 同 入 是 中 以 神 通 力 悉 解 杻 
T15n0625_002:0378a08	械，施與衣裳充足飲食，若為說法令不退轉	械 施 與 衣 裳 充 足 飲 食 若 為 說 法 令 不 退 轉 
T15n0625_002:0378a09	於無上道。若有眾生犯罪應死，為教化故化	於 無 上 道 若 有 眾 生 犯 罪 應 死 為 教 化 故 化 
T15n0625_002:0378a10	作化人，代彼罪人令其全命得無憂慮，慰喻	作 化 人 代 彼 罪 人 令 其 全 命 得 無 憂 慮 慰 喻 
T15n0625_002:0378a11	令喜而為說法，畢定住於無上正道。若有眾	令 喜 而 為 說 法 畢 定 住 於 無 上 正 道 若 有 眾 
T15n0625_002:0378a12	生諍諸財利、奴婢、畜生、舍宅、田地，共相撾打	生 諍 諸 財 利 奴 婢 畜 生 舍 宅 田 地 共 相 撾 打 
T15n0625_002:0378a13	鬪諍訟訴，以方便力現大財寶，酬報是人令	鬪 諍 訟 訴 以 方 便 力 現 大 財 寶 酬 報 是 人 令 
T15n0625_002:0378a14	兩和合，然後說法令住菩提行。方便菩薩現	兩 和 合 然 後 說 法 令 住 菩 提 行 方 便 菩 薩 現 
T15n0625_002:0378a15	作聾、盲、喑、啞形殘醜陋之身，捨己妙形同作	作 聾 盲 喑 啞 形 殘 醜 陋 之 身 捨 己 妙 形 同 作 
T15n0625_002:0378a16	彼像，化眾生故。或復現作外道導師，在遠	彼 像 化 眾 生 故 或 復 現 作 外 道 導 師 在 遠 
T15n0625_002:0378a17	而去住讚歎三寶，冀望佛種故。方便菩薩捨	而 去 住 讚 歎 三 寶 冀 望 佛 種 故 方 便 菩 薩 捨 
T15n0625_002:0378a18	諸禪定生於欲界，化眾生故。或復現為諸無學	諸 禪 定 生於欲界 化 眾 生 故 或 復 現 為 諸 無 學 
T15n0625_002:0378a19	人，悕望得樂示現涅槃，倍勤精進修諸法行。	人 悕 望 得 樂 示現涅槃 倍 勤 精 進 修 諸 法 行 
T15n0625_002:0378a20	方便菩薩示現修行，獲得正位現入涅槃，而	方 便 菩 薩 示 現 修 行 獲 得 正 位 現 入 涅 槃 而 
T15n0625_002:0378a21	甫修行於勝妙行。◎方便菩薩為未得正位	甫 修 行 於 勝 妙 行 方 便 菩 薩 為 未 得 正 位 
T15n0625_002:0378a22	欲涅槃者，於是人前現如來像，為令其人住	欲 涅 槃 者 於 是 人 前 現 如 來 像 為 令 其 人 住 
T15n0625_002:0378a23	菩提故。緊那羅王！是為菩薩三十二法具方	菩 提 故 緊 那 羅 王 是 為 菩 薩 三 十 二 法 具 方 
T15n0625_002:0378a24	便波羅蜜」。說是諸波羅蜜時，大樹緊那羅王	便 波 羅 蜜 說 是 諸波羅蜜 時 大 樹 緊 那 羅 王 
T15n0625_002:0378a25	諸眷屬中，九十萬六千眾生，發於無上正真	諸 眷 屬 中 九 十 萬 六 千 眾 生 發 於 無 上 正 真 
T15n0625_002:0378a26	道心；如來眾中八千菩薩，得無生法忍；大樹	道 心 如 來 眾 中 八 千 菩 薩 得無生法忍 大 樹 
T15n0625_002:0378a27	緊那羅王，得智燈三昧。是時大樹緊那羅王！	緊 那 羅 王 得 智 燈 三 昧 是 時 大 樹 緊 那 羅 王 
T15n0625_002:0378a28	從佛聞法示教利喜已，歡喜踊躍得未曾有，	從 佛 聞 法 示 教 利 喜 已 歡喜踊躍 得未曾有 
T15n0625_002:0378a29	以無價衣供上世尊，菩薩、聲聞各各施衣，以	以 無 價 衣 供 上 世 尊 菩 薩 聲 聞 各 各 施 衣 以 
T15n0625_002:0378b01	所住園林及中所有一切奉施供佛如來。爾	所 住 園 林 及 中 所有一切 奉 施 供 佛 如 來 爾 
T15n0625_002:0378b02	時大樹緊那羅王有八千子，以眾寶花莊嚴	時 大 樹 緊 那 羅 王 有 八 千 子 以 眾 寶 花 莊 嚴 
T15n0625_002:0378b03	八千微妙蓋以奉供如來。當奉蓋時佛神力	八 千 微 妙 蓋 以 奉 供 如 來 當 奉 蓋 時 佛 神 力 
T15n0625_002:0378b04	故，令諸寶蓋在虛空中，合為一蓋覆百由旬。	故 令 諸 寶 蓋 在 虛 空 中 合 為 一 蓋 覆 百 由 旬 
T15n0625_002:0378b05	時緊那羅王八千諸子，見佛神力歡喜踊躍，	時 緊 那 羅 王 八 千 諸 子 見 佛 神 力 歡喜踊躍 
T15n0625_002:0378b06	得未曾有專心志意，發阿耨多羅三藐三菩	得未曾有 專 心 志 意 發 阿 耨 多 羅 三 藐 三 菩 
T15n0625_002:0378b07	提心，堅不退轉。各發心已，白言：「世尊！願與	提 心 堅 不 退 轉 各 發 心 已 白 言 世 尊 願 與 
T15n0625_002:0378b08	我等助菩提法，我等聞已當修行之。」◎	我 等 助 菩 提 法 我 等 聞 已 當 修 行 之 
T15n0625_002:0378b09	大樹緊那羅王所問經卷第二	大樹緊那羅王所問經 卷 第 二 
T15n0625_003:0378b12	大樹緊那羅王所問經卷第三	大樹緊那羅王所問經 卷 第 三 
T15n0625_003:0378b14	姚秦龜茲三藏鳩摩羅什譯	姚 秦 龜 茲 三 藏 鳩 摩 羅 什 譯 
T15n0625_003:0378b15	◎爾時世尊知緊那羅王諸子之心所欲樂	 爾 時 世 尊 知 緊 那 羅 王 諸 子 之 心 所 欲 樂 
T15n0625_003:0378b16	已，上昇虛空高七多羅樹，放大光明。是光遍	已 上 昇 虛 空 高七多羅樹 放大光明 是 光 遍 
T15n0625_003:0378b17	照於此三千大千世界，欲界諸天所有伎樂，	照 於 此 三千大千世界 欲 界 諸 天 所 有 伎 樂 
T15n0625_003:0378b18	乾闥婆、緊那羅等所有伎樂，不鼓自鳴出微	乾 闥 婆 緊 那 羅 等 所 有 伎 樂 不 鼓 自 鳴 出 微 
T15n0625_003:0378b19	妙音。香山王中所有樹木，亦皆悉出微妙樂	妙 音 香 山 王 中 所 有 樹 木 亦 皆 悉 出 微 妙 樂 
T15n0625_003:0378b20	音。爾時世尊復於身上諸毛孔中，各放無量	音 爾 時 世 尊 復 於 身 上 諸 毛 孔 中 各 放 無 量 
T15n0625_003:0378b21	萬億光明，一一光端各有蓮花；一一花中各	萬 億 光 明 一 一 光 端 各 有 蓮 花 一 一 花 中 各 
T15n0625_003:0378b22	有菩薩，三十二相而自莊嚴坐花臺中。於時	有 菩 薩 三十二相 而 自 莊 嚴 坐 花 臺 中 於 時 
T15n0625_003:0378b23	世尊以神通力，令諸伎樂演出智偈問諸所	世 尊 以 神 通 力 令 諸 伎 樂 演 出 智 偈 問 諸 所 
T15n0625_003:0378b24	疑，令諸花臺所有菩薩，以一一偈答其所	疑 令 諸 花 臺 所 有 菩 薩 以 一 一 偈 答 其 所 
T15n0625_003:0378b25	問：	問 
T15n0625_003:0378b26	「云何而發起，　　無上菩提心；	 云 何 而 發 起 無上菩提心 
T15n0625_003:0378b27	　終不忘此心，　　乃至覺菩提？	 終 不 忘 此 心 乃 至 覺 菩 提 
T15n0625_003:0378b28	　專至心成就，　　為諸眾生故；	 專 至 心 成 就 為 諸 眾 生 故 
T15n0625_003:0378b29	　起大悲莊嚴，　　不忘菩提心。	 起 大 悲 莊 嚴 不 忘 菩 提 心 
T15n0625_003:0378c01	　彼志意云何，　　彼當云何行；	 彼 志 意 云 何 彼 當 云 何 行 
T15n0625_003:0378c02	　所說大悲心，　　云何生起是？	 所 說 大 悲 心 云 何 生 起 是 
T15n0625_003:0378c03	　志意無諂偽，　　所修行無詐；	 志 意 無 諂 偽 所 修 行 無 詐 
T15n0625_003:0378c04	　住眾生涅槃，　　彼大悲如是！	 住 眾 生 涅 槃 彼 大 悲 如 是 
T15n0625_003:0378c05	　云何行於施，　　施已心無熱；	 云 何 行 於 施 施 已 心 無 熱 
T15n0625_003:0378c06	　亦不悕望報，　　迴向於菩提？	 亦 不 悕 望 報 迴 向 於 菩 提 
T15n0625_003:0378c07	　所施一切捨，　　彼施已無悔；	 所 施 一 切 捨 彼 施 已 無 悔 
T15n0625_003:0378c08	　趣向菩提道，　　是不望果報。	 趣 向 菩 提 道 是 不 望 果 報 
T15n0625_003:0378c09	　云何住於戒，　　不生於戒慢；	 云 何 住 於 戒 不 生 於 戒 慢 
T15n0625_003:0378c10	　救於毀禁者，　　大乘無有上？	 救 於 毀 禁 者 大 乘 無 有 上 
T15n0625_003:0378c11	　戒是菩提心，　　空無不起慢；	 戒 是 菩 提 心 空 無 不 起 慢 
T15n0625_003:0378c12	　起於大慈心，　　救諸毀禁者。	 起 於 大 慈 心 救 諸 毀 禁 者 
T15n0625_003:0378c13	　云何忍眾生，　　罵詈及呵咥；	 云 何 忍 眾 生 罵 詈 及 呵 咥 
T15n0625_003:0378c14	　心終不起瞋，　　倍增生歡喜？	 心 終 不 起 瞋 倍 增 生 歡 喜 
T15n0625_003:0378c15	　我為眾生醫，　　療治眾病患；	 我 為 眾 生 醫 療 治 眾 病 患 
T15n0625_003:0378c16	　若聞惡言已，　　不起於瞋恚。	 若 聞 惡 言 已 不 起 於 瞋 恚 
T15n0625_003:0378c17	　云何彼行進，　　云何修集行；	 云 何 彼 行 進 云 何 修 集 行 
T15n0625_003:0378c18	　云何心無倦，　　修於菩提行？	 云 何 心 無 倦 修 於 菩 提 行 
T15n0625_003:0378c19	　精進護眾生，　　護法常勤進；	 精 進 護 眾 生 護 法 常 勤 進 
T15n0625_003:0378c20	　善根悉充足，　　彼心無疲倦。	 善 根 悉 充 足 彼 心 無 疲 倦 
T15n0625_003:0378c21	　云何修正念，　　勇健勝進行；	 云 何 修 正 念 勇 健 勝 進 行 
T15n0625_003:0378c22	　云何修禪定，　　心無有馳散？	 云 何 修 禪 定 心 無 有 馳 散 
T15n0625_003:0378c23	　無有馳想念，　　慧無有諂偽；	 無 有 馳 想 念 慧 無 有 諂 偽 
T15n0625_003:0378c24	　以方便行禪，　　彼心無馳散。	 以 方 便 行 禪 彼 心 無 馳 散 
T15n0625_003:0378c25	　云何得智慧，　　云何見正直；	 云 何 得 智 慧 云 何 見 正 直 
T15n0625_003:0378c26	　云何作決定，　　云何分別法？	 云 何 作 決 定 云 何 分 別 法 
T15n0625_003:0378c27	　修聞增智慧，　　本習正直心；	 修 聞 增 智 慧 本 習 正 直 心 
T15n0625_003:0378c28	　決定行法施，　　隨義而修行。	 決 定 行 法 施 隨 義 而 修 行 
T15n0625_003:0378c29	　云何彼求聞，　　云何得多聞；	 云 何 彼 求 聞 云 何 得 多 聞 
T15n0625_003:0379a01	　云何聞如說，　　大人云何去？	 云 何 聞 如 說 大 人 云 何 去 
T15n0625_003:0379a02	　彼恭敬故聽，　　習近多聞者；	 彼 恭 敬 故 聽 習 近 多 聞 者 
T15n0625_003:0379a03	　說不為財利，　　大人如是去。	 說 不 為 財 利 大 人 如 是 去 
T15n0625_003:0379a04	　云何彼行慈，　　云何行大悲；	 云 何 彼 行 慈 云 何 行 大 悲 
T15n0625_003:0379a05	　喜捨悉成就，　　云何住梵道？	 喜 捨 悉 成 就 云 何 住 梵 道 
T15n0625_003:0379a06	　慈心悉平等，　　大悲無疲倦；	 慈 心 悉 平 等 大 悲 無 疲 倦 
T15n0625_003:0379a07	　隨喜名為喜，　　是能至梵道。	 隨 喜 名 為 喜 是 能 至 梵 道 
T15n0625_003:0379a08	　云何得見佛，　　見已生信心；	 云 何 得 見 佛 見 已 生 信 心 
T15n0625_003:0379a09	　云何彼聞法，　　云何除斷疑？	 云 何 彼 聞 法 云 何 除 斷 疑 
T15n0625_003:0379a10	　修行念於佛，　　得見世導師；	 修 行 念 於 佛 得 見 世 導 師 
T15n0625_003:0379a11	　信心得具足，　　聞法已無疑。	 信 心 得 具 足 聞 法 已 無 疑 
T15n0625_003:0379a12	　云何福莊嚴，　　云何智莊嚴；	 云 何 福 莊 嚴 云 何 智 莊 嚴 
T15n0625_003:0379a13	　若定及與慧，　　彼云何莊嚴？	 若 定 及 與 慧 彼 云 何 莊 嚴 
T15n0625_003:0379a14	　莊嚴福無厭，　　學問莊嚴智；	 莊 嚴 福 無 厭 學 問 莊 嚴 智 
T15n0625_003:0379a15	　心寂名為定，　　知法名為智。	 心 寂 名 為 定 知 法 名 為 智 
T15n0625_003:0379a16	　云何彼行處，　　居住止何相；	 云 何 彼 行 處 居 住 止 何 相 
T15n0625_003:0379a17	　彼行處云何，　　彼云何修行？	 彼 行 處 云 何 彼 云 何 修 行 
T15n0625_003:0379a18	　彼行法空處，　　捨是彼岸句；	 彼 行 法 空 處 捨 是 彼 岸 句 
T15n0625_003:0379a19	　彼行住四禪，　　修行脫眾生。	 彼 行 住 四 禪 修 行 脫 眾 生 
T15n0625_003:0379a20	　云何是魔業，　　佛正業云何；	 云 何 是 魔 業 佛 正 業 云 何 
T15n0625_003:0379a21	　造作何等業，　　得於菩提護？	 造 作 何 等 業 得 於 菩 提 護 
T15n0625_003:0379a22	　下乘為魔業，　　大乘為勝道；	 下 乘 為 魔 業 大 乘 為 勝 道 
T15n0625_003:0379a23	　捨離一切惡，　　得於菩提護。	 捨 離 一 切 惡 得 於 菩 提 護 
T15n0625_003:0379a24	　云何近善友，　　惡友何等相；	 云 何 近 善 友 惡 友 何 等 相 
T15n0625_003:0379a25	　云何平等去，　　捨離於邪見？	 云 何 平 等 去 捨 離 於 邪 見 
T15n0625_003:0379a26	　若讚菩提道，　　善親近彼人；	 若 讚 菩 提 道 善 親 近 彼 人 
T15n0625_003:0379a27	　菩提心善淨，　　捨離惡知識。	 菩 提 心 善 淨 捨 離 惡 知 識 
T15n0625_003:0379a28	　知諸業行已，　　修行正直見；	 知 諸 業 行 已 修 行 正 直 見 
T15n0625_003:0379a29	　捨離邪相應，　　此不失正見。	 捨 離 邪 相 應 此 不 失 正 見 
T15n0625_003:0379b01	　云何護正法，　　及教化眾生；	 云 何 護 正 法 及 教 化 眾 生 
T15n0625_003:0379b02	　彼方便云何，　　能得成菩提？	 彼 方 便 云 何 能 得 成 菩 提 
T15n0625_003:0379b03	　精進護正法，　　方便能教化；	 精 進 護 正 法 方 便 能 教 化 
T15n0625_003:0379b04	　捨離二邊流，　　能得勝菩提。	 捨 離 二 邊 流 能 得 勝 菩 提 
T15n0625_003:0379b05	　云何作智業，　　云何適意業；	 云 何 作 智 業 云 何 適 意 業 
T15n0625_003:0379b06	　云何速受教，　　常恭敬右遶？	 云 何 速 受 教 常 恭 敬 右 遶 
T15n0625_003:0379b07	　無諍是智業，　　不起於諍訟；	 無 諍 是 智 業 不 起 於 諍 訟 
T15n0625_003:0379b08	　口柔軟善語，　　恭敬而右遶。	 口 柔 軟 善 語 恭 敬 而 右 遶 
T15n0625_003:0379b09	　道是何等相，　　云何是非道；	 道 是 何 等 相 云 何 是 非 道 
T15n0625_003:0379b10	　云何能安彼，　　叵思眾住道？	 云 何 能 安 彼 叵 思 眾 住 道 
T15n0625_003:0379b11	　六度為正道，　　下乘為非道；	 六 度 為 正 道 下 乘 為 非 道 
T15n0625_003:0379b12	　學方便智已，　　令眾生住道。	 學 方 便 智 已 令 眾 生 住 道 
T15n0625_003:0379b13	　云何得大富，　　云何獲大利；	 云 何 得 大 富 云 何 獲 大 利 
T15n0625_003:0379b14	　寶藏為何在，　　云何滿眾生？	 寶 藏 為 何 在 云 何 滿 眾 生 
T15n0625_003:0379b15	　七財為大富，　　寂靜為大利；	 七 財 為 大 富 寂 靜 為 大 利 
T15n0625_003:0379b16	　陀羅尼寶藏，　　辯說令充滿。	 陀 羅 尼 寶 藏 辯 說 令 充 滿 
T15n0625_003:0379b17	　彼父母是誰，　　親族何等相；	 彼 父 母 是 誰 親 族 何 等 相 
T15n0625_003:0379b18	　侍從有何相，　　嚴飾智慧者？	 侍 從 有 何 相 嚴 飾 智 慧 者 
T15n0625_003:0379b19	　慧母度彼岸，　　助道法親族；	 慧 母 度 彼 岸 助 道 法 親 族 
T15n0625_003:0379b20	　諸善根侍從，　　莊嚴於智者。	 諸 善 根 侍 從 莊 嚴 於 智 者 
T15n0625_003:0379b21	　解法無我已，　　慈心普遍世；	 解 法 無 我 已 慈 心 普 遍 世 
T15n0625_003:0379b22	　無我及與慈，　　是義云何等？	 無 我 及 與 慈 是 義 云 何 等 
T15n0625_003:0379b23	　若解知於空，　　彼自了無我；	 若 解 知 於 空 彼 自 了 無 我 
T15n0625_003:0379b24	　是為最上慈，　　今世知於空。	 是 為 最 上 慈 今 世 知 於 空 
T15n0625_003:0379b25	　未來無有來，　　諸行性如是！	 未 來 無 有 來 諸 行 性 如 是 
T15n0625_003:0379b26	　業報亦如是！　　云何而有生？	 業 報 亦 如 是 云 何 而 有 生 
T15n0625_003:0379b27	　第一義無是，　　亦無有去者；	 第 一 義 無 是 亦 無 有 去 者 
T15n0625_003:0379b28	　入於世諦道，　　說業及業報。	 入 於 世 諦 道 說 業 及 業 報 
T15n0625_003:0379b29	　若空與無相，　　及無願解脫；	 若 空 與 無 相 及 無 願 解 脫 
T15n0625_003:0379c01	　一相同無相，　　云何而生道？	 一 相 同 無 相 云 何 而 生 道 
T15n0625_003:0379c02	　空即是無相，　　以無相故得；	 空 即 是 無 相 以 無 相 故 得 
T15n0625_003:0379c03	　一相同一義，　　故說解脫門。	 一 相 同 一 義 故 說 解 脫 門 
T15n0625_003:0379c04	　云何觀於空，　　云何觀眾生；	 云 何 觀 於 空 云 何 觀 眾 生 
T15n0625_003:0379c05	　空及與眾生，　　云何而得生？	 空 及 與 眾 生 云 何 而 得 生 
T15n0625_003:0379c06	　智慧觀於空，　　方便觀眾生；	 智 慧 觀 於 空 方 便 觀 眾 生 
T15n0625_003:0379c07	　大悲以教化，　　趣向於涅槃。	 大 悲 以 教 化 趣 向 於 涅 槃 
T15n0625_003:0379c08	　無生無有起，　　一切法如是！	 無 生 無 有 起 一切法如 是 
T15n0625_003:0379c09	　云何生諸行，　　應當解此義？	 云 何 生 諸 行 應 當 解 此 義 
T15n0625_003:0379c10	　無生與無滅，　　是智所行處；	 無 生 與 無 滅 是 智 所 行 處 
T15n0625_003:0379c11	　從於誓願生，　　此方便所建。	 從 於 誓 願 生 此 方 便 所 建 
T15n0625_003:0379c12	　云何得授記，　　云何不退轉；	 云 何 得 授 記 云 何 不 退 轉 
T15n0625_003:0379c13	　云何忍所緣，　　云何得決定？	 云 何 忍 所 緣 云 何 得 決 定 
T15n0625_003:0379c14	　住平等授記，　　法界不退轉；	 住 平 等 授 記 法 界 不 退 轉 
T15n0625_003:0379c15	　無生是忍緣，　　知法得決定。	 無 生 是 忍 緣 知 法 得 決 定 
T15n0625_003:0379c16	　道場何所場，　　菩提何等相；	 道 場 何 所 場 菩 提 何 等 相 
T15n0625_003:0379c17	　誰名為如來，　　云何佛得明？	 誰 名 為 如 來 云 何 佛 得 明 
T15n0625_003:0379c18	　虛空名道場，　　菩提虛空相；	 虛 空 名 道 場 菩 提 虛 空 相 
T15n0625_003:0379c19	　不依於身心，　　如如名如來！」	 不 依 於 身 心 如 如 名 如 來 
T15n0625_003:0379c20	爾時大樹緊那羅王諸子聞說如是法已，得	爾 時 大 樹 緊 那 羅 王 諸 子 聞 說 如 是 法 已 得 
T15n0625_003:0379c21	柔順法忍，各各以自所著瓔珞，供上如來而	柔 順 法 忍 各 各 以 自 所 著 瓔 珞 供 上 如 來 而 
T15n0625_003:0379c22	作是言：「世尊！今我等為佛出世，我等今日	作 是 言 世 尊 今 我 等 為 佛 出 世 我 等 今 日 
T15n0625_003:0379c23	乃得聞是甚深之法。希有世尊！乃能令諸伎	乃 得 聞 是 甚 深 之 法 希 有 世 尊 乃 能 令 諸 伎 
T15n0625_003:0379c24	樂音中說偈問疑，令菩薩像答其所問，能斷	樂 音 中 說 偈 問 疑 令 菩 薩 像 答 其 所 問 能 斷 
T15n0625_003:0379c25	一切諸大眾疑，我等聞已得大法明。世尊！是	一 切 諸 大 眾 疑 我 等 聞 已 得 大 法 明 世 尊 是 
T15n0625_003:0379c26	誰所持？」時佛答言：「諸賢士等！當知皆是如來	誰 所 持 時 佛 答 言 諸 賢 士 等 當 知 皆 是 如 來 
T15n0625_003:0379c27	之力，佛力如是不可思議。」爾時大樹緊那	之 力 佛 力 如 是 不可思議 爾 時 大 樹 緊 那 
T15n0625_003:0379c28	羅王子白言：「世尊！願令一切諸眾生等得如	羅 王 子 白 言 世 尊 願 令 一 切 諸 眾 生 等 得 如 
T15n0625_003:0379c29	是力。」爾時大樹緊那羅王、夫人、婇女八萬四	是 力 爾 時 大 樹 緊 那 羅 王 夫 人 婇 女 八 萬 四 
T15n0625_003:0380a01	千，其手各各持真珠貫，往世尊所，到已頭頂	千 其 手 各 各 持 真 珠 貫 往 世 尊 所 到 已 頭 頂 
T15n0625_003:0380a02	敬禮佛足，各以珠貫供散佛上。當其散時，佛	敬 禮 佛 足 各 以 珠 貫 供 散 佛 上 當 其 散 時 佛 
T15n0625_003:0380a03	神力故，於虛空中化成八萬四千真珠大臺，	神 力 故 於 虛 空 中 化 成 八萬四千 真 珠 大 臺 
T15n0625_003:0380a04	四方四柱莊校分明，諸寶臺中各有床座、眾	四 方 四 柱 莊 校 分 明 諸 寶 臺 中 各 有 床 座 眾 
T15n0625_003:0380a05	寶、瓔珞、百千天衣，是諸座上各有如來結	寶 瓔 珞 百 千 天 衣 是 諸 座 上 各 有 如 來 結 
T15n0625_003:0380a06	加趺坐，三十二相、八十種好而自莊嚴。爾時	加 趺 坐 三十二相 八十種好 而 自 莊 嚴 爾 時 
T15n0625_003:0380a07	緊那羅王、八萬四千諸夫人等，見佛神力，歡	緊 那 羅 王 八萬四千 諸 夫 人 等 見 佛 神 力 歡 
T15n0625_003:0380a08	喜踊躍得未曾有，皆以深心發阿耨多羅三	喜 踊 躍 得未曾有 皆 以 深 心 發 阿 耨 多 羅 三 
T15n0625_003:0380a09	藐三菩提心，得不退轉。既發心已歡喜踊躍，	藐 三 菩 提 心 得不退轉 既 發 心 已 歡喜踊躍 
T15n0625_003:0380a10	皆共同聲以偈歌詠讚歎如來：	皆 共 同 聲 以 偈 歌 詠 讚 歎 如 來 
T15n0625_003:0380a11	「最勝無上應供養，　　其所利益叵思議；	 最 勝 無 上 應 供 養 其 所 利 益 叵 思 議 
T15n0625_003:0380a12	　善學利益調伏法，　　我今頂禮於勝人。	 善 學 利 益 調 伏 法 我 今 頂 禮 於 勝 人 
T15n0625_003:0380a13	　離貪瞋癡及諂偽，　　離煩惱習無畏聲；	 離 貪 瞋 癡 及 諂 偽 離 煩 惱 習 無 畏 聲 
T15n0625_003:0380a14	　從大寶藏開示法，　　稽首讚禮離欲尊。	 從 大 寶 藏 開 示 法 稽 首 讚 禮 離 欲 尊 
T15n0625_003:0380a15	　五眼清淨無結垢，　　善能降伏諸怨敵；	 五 眼 清 淨 無 結 垢 善 能 降 伏 諸 怨 敵 
T15n0625_003:0380a16	　不染三有如蓮花，　　得到彼岸我頂禮。	 不 染 三 有 如 蓮 花 得 到 彼 岸 我 頂 禮 
T15n0625_003:0380a17	　能與世間明慧眼，　　能蔽日月諸光明；	 能 與 世 間 明 慧 眼 能 蔽 日 月 諸 光 明 
T15n0625_003:0380a18	　出生轉輪聖王種，　　持於輪相我讚禮。	 出 生 轉輪聖王 種 持 於 輪 相 我 讚 禮 
