X86n1605_001:0495a07	 繼燈錄序	 繼 燈 錄 序 
X86n1605_004:0530c03	壁月無遮。朝斗先生扣齒牙。風撼古壇松子落。打翻	壁 月 無 遮 朝 斗 先 生 扣 齒 牙 風 撼 古 壇 松 子 落 打 翻 
X86n1605_004:0530c04	頭上楮冠斜。又頌泐潭法會問馬祖西來意曰。鷄聲	頭 上 楮 冠 斜 又 頌 泐 潭 法 會 問 馬 祖 西 來 意 曰 鷄 聲 
X86n1605_004:0530c05	茅店月華明。客夢沉迷尚未醒。開得眼來天大曉。髼	茅 店 月 華 明 客 夢 沉 迷 尚 未 醒 開 得 眼 來 天 大 曉 髼 
X86n1605_004:0530c06	頭垢面便奔程。	頭 垢 面 便 奔 程 
X86n1605_004:0530c07	竹屋簡禪師頌鼓山聖箭曰。青童雙勒玉騘嘶。淡白	竹 屋 簡 禪 師 頌 鼓 山 聖 箭 曰 青 童 雙 勒 玉 騘 嘶 淡 白 
X86n1605_004:0530c08	春衫綠帶圍。半夜歸來花底月。金鞭敲落亂紅飛。又	春 衫 綠 帶 圍 半 夜 歸 來 花 底 月 金 鞭 敲 落 亂 紅 飛 又 
X86n1605_004:0530c09	曰。九重城裡本非遙。射折重重箭倍饒。忽遇二軍圍	曰 九 重 城 裡 本 非 遙 射 折 重 重 箭 倍 饒 忽 遇 二 軍 圍 
X86n1605_004:0530c10	繞處。分明有路直通霄。頌投子指雨示僧曰天日來	繞 處 分 明 有 路 直 通 霄 頌 投 子 指 雨 示 僧 曰 天 日 來 
X86n1605_004:0530c11	好雨曰。百花香裡鷓鴣啼。白面郎君醉似泥。赫日光	好 雨 曰 百 花 香 裡 鷓 鴣 啼 白 面 郎 君 醉 似 泥 赫 日 光 
X86n1605_004:0530c12	中開得眼。福城東際草萋萋。	中 開 得 眼 福 城 東 際 草 萋 萋 
X86n1605_004:0530c13	無學元禪師法嗣	無 學 元 禪 師 法 嗣 
X86n1605_004:0530c14	月庭忠禪師甞頌迦葉擯文殊曰。錦衣公子遊春慣。	月 庭 忠 禪 師 甞 頌 迦 葉 擯 文 殊 曰 錦 衣 公 子 遊 春 慣 
X86n1605_004:0530c15	白首佳人懊恨多。彼富尚嫌千口少。自貧無奈一身	白 首 佳 人 懊 恨 多 彼 富 尚 嫌 千 口 少 自 貧 無 奈 一 身 
X86n1605_004:0530c16	何。又頌僧問白雲舊歲已去新歲到來如何是不遷	何 又 頌 僧 問 白 雲 舊 歲 已 去 新 歲 到 來 如 何 是 不 遷 
X86n1605_004:0530c17	義曰。落葉已隨流水去。春風未放百花舒。青山面目	義 曰 落 葉 已 隨 流 水 去 春 風 未 放 百 花 舒 青 山 面 目 
X86n1605_004:0530c18	依然在。盡日橫陳對落暉。	依 然 在 盡 日 橫 陳 對 落 暉 
X86n1605_004:0530c19	雪峰湘禪師法嗣	雪 峰 湘 禪 師 法 嗣 
X86n1605_004:0530c20	泉州開元斷崖妙恩禪師全州倪氏子。初遍參名宿。	泉 州 開 元 斷 崖 妙 恩 禪 師 全 州 倪 氏 子 初 遍 參 名 宿 
X86n1605_004:0530c21	旋入雪峰湘和尚之室。湘器之至使分座。退居善見	旋 入 雪 峰 湘 和 尚 之 室 湘 器 之 至 使 分 座 退 居 善 見 
X86n1605_004:0530c22	痛自韜晦。至元二十二年僧錄劉鑑義言于行省。奏	痛 自 韜 晦 至 元 二 十 二 年 僧 錄 劉 鑑 義 言 于 行 省 奏 
X86n1605_004:0530c23	合開元百二十院為一禪剎。明年秋延師為開山第	合 開 元 百 二 十 院 為 一 禪 剎 明 年 秋 延 師 為 開 山 第 
X86n1605_004:0530c24	一世。堅致不獲謝至門曰。第一句最初步。說到行到。	一 世 堅 致 不 獲 謝 至 門 曰 第 一 句 最 初 步 說 到 行 到 
X86n1605_004:0531a01	大千揑聚。喝一喝。莫來攔我毬門路。陞座嗣湘法。示	大 千 揑 聚 喝 一 喝 莫 來 攔 我 毬 門 路 陞 座 嗣 湘 法 示 
X86n1605_004:0531a02	眾。吾心似破竹。徑直無迂曲。一點不相瞞。六六三十	眾 吾 心 似 破 竹 徑 直 無 迂 曲 一 點 不 相 瞞 六 六 三 十 
X86n1605_004:0531a03	六。上堂。是法非思量分別之所能解。三家村裏十字	六 上 堂 是 法 非 思 量 分 別 之 所 能 解 三 家 村 裏 十 字 
X86n1605_004:0531a04	街頭。穢語相爭惡言廝罵。總是面門放光助佛揚化。	街 頭 穢 語 相 爭 惡 言 廝 罵 總 是 面 門 放 光 助 佛 揚 化 
X86n1605_004:0531a05	其柰學此道者如人畫龍。真龍見時却又驚怕。因甚	其 柰 學 此 道 者 如 人 畫 龍 真 龍 見 時 却 又 驚 怕 因 甚 
X86n1605_004:0531a06	如此。識真者寡。師履行純實。律身清苦。終始無斁。脇	如 此 識 真 者 寡 師 履 行 純 實 律 身 清 苦 終 始 無 斁 脇 
X86n1605_004:0531a07	不沾席者四十二年。語言無華而人心悅服。叢林法	不 沾 席 者 四 十 二 年 語 言 無 華 而 人 心 悅 服 叢 林 法 
X86n1605_004:0531a08	敝以之具興。三十年三月望以法弟契祖補其處。越	敝 以 之 具 興 三 十 年 三 月 望 以 法 弟 契 祖 補 其 處 越 
X86n1605_004:0531a09	三日圓寂。既火而雨舍利。藏于西山。賜諡廣明通慧	三 日 圓 寂 既 火 而 雨 舍 利 藏 于 西 山 賜 諡 廣 明 通 慧 
X86n1605_004:0531a10	普濟禪師。有上生經解．語錄行世。	普 濟 禪 師 有 上 生 經 解 語 錄 行 世 
X86n1605_004:0531a11	泉州開元契祖禪師同安張氏子。初侍法石元智。智	泉 州 開 元 契 祖 禪 師 同 安 張 氏 子 初 侍 法 石 元 智 智 
X86n1605_004:0531a12	奇其材。既遍參畢。乃湛伏鄉院。至元二十九年妙恩	奇 其 材 既 遍 參 畢 乃 湛 伏 鄉 院 至 元 二 十 九 年 妙 恩 
X86n1605_004:0531a13	請為堂中上座。至敬愛之。師甞疾。恩餽藥資。不受偈	請 為 堂 中 上 座 至 敬 愛 之 師 甞 疾 恩 餽 藥 資 不 受 偈 
X86n1605_004:0531a14	曰。政坐虗消人信施。生身受此銕圍殃。鎔銅熱銕都	曰 政 坐 虗 消 人 信 施 生 身 受 此 銕 圍 殃 鎔 銅 熱 銕 都 
X86n1605_004:0531a15	吞了。那更教人入鑊湯。恩益重其為人。三十年恩使	吞 了 那 更 教 人 入 鑊 湯 恩 益 重 其 為 人 三 十 年 恩 使 
X86n1605_004:0531a16	嗣位。代行湘師之道。重陽上堂。今朝重九節。籬根菊	嗣 位 代 行 湘 師 之 道 重 陽 上 堂 今 朝 重 九 節 籬 根 菊 
X86n1605_004:0531a17	又花。諸方不說陶潛即說孟嘉。開元無可說者。歸堂	又 花 諸 方 不 說 陶 潛 即 說 孟 嘉 開 元 無 可 說 者 歸 堂 
X86n1605_004:0531a18	喫茶。鼓山行聳至上堂。屴崱峯前。靈源洞口。不墮嶮	喫 茶 鼓 山 行 聳 至 上 堂 屴 崱 峯 前 靈 源 洞 口 不 墮 嶮 
X86n1605_004:0531a19	崖。有一句子今日開元擬為重舉。嗄。鼓山門下不許	崖 有 一 句 子 今 日 開 元 擬 為 重 舉 嗄 鼓 山 門 下 不 許 
X86n1605_004:0531a20	咳嗽。時真首座有能頌聲以卜隱頌要師作。師頌曰。	咳 嗽 時 真 首 座 有 能 頌 聲 以 卜 隱 頌 要 師 作 師 頌 曰 
X86n1605_004:0531a21	自斷胸中更沒疑。行藏那許鬼神知。直饒天下藏天	自 斷 胸 中 更 沒 疑 行 藏 那 許 鬼 神 知 直 饒 天 下 藏 天 
X86n1605_004:0531a22	下。未是羚羊挂角時。真嘆服。寺有傑道者頗清狂。出	下 未 是 羚 羊 挂 角 時 真 嘆 服 寺 有 傑 道 者 頗 清 狂 出 
X86n1605_004:0531a23	言無度。恒掃除街市。所至群稚相與譁笑之。素所服	言 無 度 恒 掃 除 街 市 所 至 群 稚 相 與 譁 笑 之 素 所 服 
X86n1605_004:0531a24	衣垢甚。忽取澣之。言明日行矣。至明日求僧粥不予。	衣 垢 甚 忽 取 澣 之 言 明 日 行 矣 至 明 日 求 僧 粥 不 予 
X86n1605_004:0531b01	傑請曰求之不再。幸予我。得粥還置于几。危坐而化。	傑 請 曰 求 之 不 再 幸 予 我 得 粥 還 置 于 几 危 坐 而 化 
X86n1605_004:0531b02	師為闍維曰。一生傑斗打硬參禪。街頭巷尾掣風掣	師 為 闍 維 曰 一 生 傑 斗 打 硬 參 禪 街 頭 巷 尾 掣 風 掣 
X86n1605_004:0531b03	顛。若無末上一解。不值一半文錢。傑道者誰信寒灰	顛 若 無 末 上 一 解 不 值 一 半 文 錢 傑 道 者 誰 信 寒 灰 
X86n1605_004:0531b04	有煖烟。有司以師道行聞。賜佛心正悟之號。延祐六	有 煖 烟 有 司 以 師 道 行 聞 賜 佛 心 正 悟 之 號 延 祐 六 
X86n1605_004:0531b05	年秋無疾而化。壽九十。全身塔于西山。	年 秋 無 疾 而 化 壽 九 十 全 身 塔 于 西 山 
X86n1605_004:0531b06	育王珙禪師法嗣	育 王 珙 禪 師 法 嗣 
X86n1605_004:0531b07	金陵保寧古林清茂禪師十三歲為僧。見老宿。舉高	金 陵 保 寧 古 林 清 茂 禪 師 十 三 歲 為 僧 見 老 宿 舉 高 
X86n1605_004:0531b08	菴見僧不會便扭住曰。父母生汝身。師友成汝志。無	菴 見 僧 不 會 便 扭 住 曰 父 母 生 汝 身 師 友 成 汝 志 無 
X86n1605_004:0531b09	饑寒之迫。無征役之勞。於此不堅確精進成辦道業。	饑 寒 之 迫 無 征 役 之 勞 於 此 不 堅 確 精 進 成 辦 道 業 
X86n1605_004:0531b10	他日有何面目見父母師友乎。師聞之不覺涕淚俱	他 日 有 何 面 目 見 父 母 師 友 乎 師 聞 之 不 覺 涕 淚 俱 
X86n1605_004:0531b11	下。便知有出生死一著子。遂參善知識。即便放下身	下 便 知 有 出 生 死 一 著 子 遂 參 善 知 識 即 便 放 下 身 
X86n1605_004:0531b12	心。如是二十年間矻矻孜孜未甞暫捨。及到育王會	心 如 是 二 十 年 間 矻 矻 孜 孜 未 甞 暫 捨 及 到 育 王 會 
X86n1605_004:0531b13	中稍知觸淨。後得徹悟。出住開元永福保寧諸剎。解	中 稍 知 觸 淨 後 得 徹 悟 出 住 開 元 永 福 保 寧 諸 剎 解 
X86n1605_004:0531b14	夏小參。僧問。毛巨吞海芥納須彌。是衲僧分上事。不	夏 小 參 僧 問 毛 巨 吞 海 芥 納 須 彌 是 衲 僧 分 上 事 不 
X86n1605_004:0531b15	是衲僧分上事。師云拈却門前大案山。進云鯨吞海	是 衲 僧 分 上 事 師 云 拈 却 門 前 大 案 山 進 云 鯨 吞 海 
X86n1605_004:0531b16	水盡露出珊瑚枝。師云金剛腦後鐵蒺藜。進云。只如	水 盡 露 出 珊 瑚 枝 師 云 金 剛 腦 後 鐵 蒺 藜 進 云 只 如 
X86n1605_004:0531b17	教中道。我得無諍三昧。人中最為第一。如何是無諍	教 中 道 我 得 無諍三昧 人 中 最 為 第 一 如 何 是 無 諍 
X86n1605_004:0531b18	三昧。師云放汝三十棒。進云。仁義盡從貧處斷。世情	三 昧 師 云 放 汝 三 十 棒 進 云 仁 義 盡 從 貧 處 斷 世 情 
X86n1605_004:0531b19	偏向有錢家。師云知恩者少負恩者多。僧問。昔日舉	偏 向 有 錢 家 師 云 知 恩 者 少 負 恩 者 多 僧 問 昔 日 舉 
X86n1605_004:0531b20	上座見琅琊。琊問近離甚處。舉云兩浙。琊云船來陸	上 座 見 琅 琊 琊 問 近 離 甚 處 舉 云 兩 浙 琊 云 船 來 陸 
X86n1605_004:0531b21	來。舉云船來。琊曰船在什處。舉云步下。意旨如何。師	來 舉 云 船 來 琊 曰 船 在 什 處 舉 云 步 下 意 旨 如 何 師 
X86n1605_004:0531b22	云開口見膽。進云。琅琊云不涉程途一句作麼生道。	云 開 口 見 膽 進 云 琅 琊 云 不 涉 程 途 一 句 作 麼 生 道 
X86n1605_004:0531b23	如何是不涉程途底句。師云前不迭村後不迭店。進	如 何 是 不 涉 程 途 底 句 師 云 前 不 迭 村 後 不 迭 店 進 
X86n1605_004:0531b24	云。只如舉上座以坐具摵云杜撰長老如麻似粟。又	云 只 如 舉 上 座 以 坐 具 摵 云 杜 撰 長 老 如 麻 似 粟 又 
X86n1605_004:0531c01	作麼生。師云焦磚打著連底凍。進云。後來琅琊問侍	作 麼 生 師 云 焦 磚 打 著 連 底 凍 進 云 後 來 琅 琊 問 侍 
X86n1605_004:0531c02	者此是甚麼人。者云舉上座。琅琊遂親下旦過問云。	者 此 是 甚 麼 人 者 云 舉 上 座 琅 琊 遂 親 下 旦 過 問 云 
X86n1605_004:0531c03	莫是舉上座麼。莫怪適來相觸忤。作麼生是觸忤處。	莫 是 舉 上 座 麼 莫 怪 適 來 相 觸 忤 作 麼 生 是 觸 忤 處 
X86n1605_004:0531c04	師云爛泥裏有刺。進云。舉上座喝云。長老何年到汾	師 云 爛 泥 裏 有 刺 進 云 舉 上 座 喝 云 長 老 何 年 到 汾 
X86n1605_004:0531c05	陽。我在浙中早聞汝名。見解如此何得名喧宇宙。琅	陽 我 在 浙 中 早 聞 汝 名 見 解 如 此 何 得 名 喧 宇 宙 琅 
X86n1605_004:0531c06	琊遂作禮云某甲罪過。那裏是他罪過處。師云若不	琊 遂 作 禮 云 某 甲 罪 過 那 裏 是 他 罪 過 處 師 云 若 不 
X86n1605_004:0531c07	登樓望安知滄海深。進云。後來大慧和尚道。二大老	登 樓 望 安 知 滄 海 深 進 云 後 來 大 慧 和 尚 道 二 大 老 
X86n1605_004:0531c08	相見如日月麗天龍象蹴踏。未審還端的也無。師云	相 見 如 日 月 麗 天 龍 象 蹴 踏 未 審 還 端 的 也 無 師 云 
X86n1605_004:0531c09	土上加泥又一重。進云。琅琊後遇慈明舉此語。明云	土 上 加 泥 又 一 重 進 云 琅 琊 後 遇 慈 明 舉 此 語 明 云 
X86n1605_004:0531c10	舉見處纔能自了。是汝負墮。為復肯伊不肯伊。師云	舉 見 處 纔 能 自 了 是 汝 負 墮 為 復 肯 伊 不 肯 伊 師 云 
X86n1605_004:0531c11	一點水墨兩處成龍。進云。可謂龍得水時添意氣。虎	一 點 水 墨 兩 處 成 龍 進 云 可 謂 龍 得 水 時 添 意 氣 虎 
X86n1605_004:0531c12	逢山勢長威獰。師曰無人處斫額望汝。僧禮拜。師乃	逢 山 勢 長 威 獰 師 曰 無 人 處 斫 額 望 汝 僧 禮 拜 師 乃 
X86n1605_004:0531c13	云秋初夏末東去西去。萬里無寸草處去。出門便是	云 秋 初 夏 末 東 去 西 去 萬 里 無 寸 草 處 去 出 門 便 是 
X86n1605_004:0531c14	草。擬向什麼處去。古人事不獲已。開却通天大路。又	草 擬 向 什 麼 處 去 古 人 事 不 獲 已 開 却 通 天 大 路 又 
X86n1605_004:0531c15	謂之清淨大寂滅海。與諸人同出同入。初無絲毫差	謂 之 清 淨 大 寂 滅 海 與 諸 人 同 出 同 入 初 無 絲 毫 差 
X86n1605_004:0531c16	別彼我之相。直下會得。九十日內功不浪施。明朝自	別 彼 我 之 相 直 下 會 得 九 十 日 內 功 不 浪 施 明 朝 自 
X86n1605_004:0531c17	恣之辰。一任東去西去。只不得向萬里無寸草處去。	恣 之 辰 一 任 東 去 西 去 只 不 得 向 萬 里 無 寸 草 處 去 
X86n1605_004:0531c18	何故。葢為諸人未甞踏著者一路子。所以前頭大有	何 故 葢 為 諸 人 未 甞 踏 著 者 一 路 子 所 以 前 頭 大 有 
X86n1605_004:0531c19	事在。雪峰云。盡大地是解脫門。把手拽不入。雲門云。	事 在 雪 峰 云 盡 大 地 是 解 脫 門 把 手 拽 不 入 雲 門 云 
X86n1605_004:0531c20	盡大地是解脫門。枉作佛法會却。一處不通兩處失	盡 大 地 是 解 脫 門 枉 作 佛 法 會 却 一 處 不 通 兩 處 失 
X86n1605_004:0531c21	功。兩處失通觸途成滯。山僧道。盡大地是解脫門。過	功 兩 處 失 通 觸 途 成 滯 山 僧 道 盡 大 地 是 解 脫 門 過 
X86n1605_004:0531c22	去未來現在三世諸佛盡在裡許。汝諸人亦在裏許。	去 未來現在 三世諸佛 盡 在 裡 許 汝 諸 人 亦 在 裏 許 
X86n1605_004:0531c23	拈拄杖云。拄杖子亦在裡許。且道還有不在裡許者	拈 拄 杖 云 拄 杖 子 亦 在 裡 許 且 道 還 有 不 在 裡 許 者 
X86n1605_004:0531c24	麼。良久。喝一喝云。空將未歸意。說向欲行人。永福入	麼 良 久 喝 一 喝 云 空 將 未 歸 意 說 向 欲 行 人 永 福 入 
X86n1605_004:0532a01	寺小參。紅塵閙市十字街頭。百草頭邊孤峰頂上。若	寺 小 參 紅 塵 閙 市 十 字 街 頭 百 草 頭 邊 孤 峰 頂 上 若 
X86n1605_004:0532a02	作佛法商量。入地獄如箭射。直得萬機休罷千聖不	作 佛 法 商 量 入 地 獄 如 箭 射 直 得 萬 機 休 罷 千 聖 不 
X86n1605_004:0532a03	擕。聲前非聲色後非色。簡點將來。正是髑髏前妄想。	擕 聲 前 非 聲 色 後 非 色 簡 點 將 來 正 是 髑 髏 前 妄 想 
X86n1605_004:0532a04	借使打破髑髏揭却腦葢。踢倒須彌踏翻大海。脚跟	借 使 打 破 髑 髏 揭 却 腦 葢 踢 倒 須 彌 踏 翻 大 海 脚 跟 
X86n1605_004:0532a05	下推勘得出。也是落七落八。通方上士出格高人。除	下 推 勘 得 出 也 是 落 七 落 八 通 方 上 士 出 格 高 人 除 
X86n1605_004:0532a06	非自有生涯。終不守他窠窟。現前大眾冀善參詳。山	非 自 有 生 涯 終 不 守 他 窠 窟 現 前 大 眾 冀 善 參 詳 山 
X86n1605_004:0532a07	僧二千里水陸間關。來此聚頭不為別事。復說偈云。	僧 二 千 里 水 陸 間 關 來 此 聚 頭 不 為 別 事 復 說 偈 云 
X86n1605_004:0532a08	處世行藏各有由。老來誰不愛心休。為圓鄮嶺先師	處 世 行 藏 各 有 由 老 來 誰 不 愛 心 休 為 圓 鄮 嶺 先 師 
X86n1605_004:0532a09	話。來結鄱陽衲子讎。跛鱉但隨他逐浪。錦鱗終是解	話 來 結 鄱 陽 衲 子 讎 跛 鱉 但 隨 他 逐 浪 錦 鱗 終 是 解 
X86n1605_004:0532a10	吞鈎。相逢試把家私展。蜜菓時懸檗樹頭。	吞 鈎 相 逢 試 把 家 私 展 蜜 菓 時 懸 檗 樹 頭 
X86n1605_004:0532a11	淨慈鞏禪師法嗣	淨 慈 鞏 禪 師 法 嗣 
X86n1605_004:0532a12	杭州靈隱東嶼德海禪師甞頌俱胝竪指曰。深深無	杭 州 靈 隱 東 嶼 德 海 禪 師 甞 頌 俱 胝 竪 指 曰 深 深 無 
X86n1605_004:0532a13	底。高高絕攀。思之轉遠。尋之復難。	底 高 高 絕 攀 思 之 轉 遠 尋 之 復 難 
X86n1605_004:0532a14	嘉興府天寧竺雲景曇禪師婺州浦江嚴氏子。及長	嘉 興 府 天 寧 竺 雲 景 曇 禪 師 婺 州 浦 江 嚴 氏 子 及 長 
X86n1605_004:0532a15	學無常。師預石林座下委心請法。林示曰佛之妙用	學 無 常 師 預 石 林 座 下 委 心 請 法 林 示 曰 佛 之 妙 用 
X86n1605_004:0532a16	在汝觸事不迷。師一言解悟。初住婺之治平。遷蘇之	在 汝 觸 事 不 迷 師 一 言 解 悟 初 住 婺 之 治 平 遷 蘇 之 
X86n1605_004:0532a17	北禪。僧問。諸法已聞於今日。西來祖意願敷宣。師曰	北 禪 僧 問 諸 法 已 聞 於 今 日 西 來 祖 意 願 敷 宣 師 曰 
X86n1605_004:0532a18	西來無意可宣。曰達磨却傳個什麼。師曰九年面壁	西 來 無 意 可 宣 曰 達 磨 却 傳 個 什 麼 師 曰 九 年 面 壁 
X86n1605_004:0532a19	羞惶殺人。曰與麼則佛法遍天下談玄口不開。師曰	羞 惶 殺 人 曰 與 麼 則 佛 法 遍 天 下 談 玄 口 不 開 師 曰 
X86n1605_004:0532a20	切忌喚鐘作甕。問。古人道須參活句莫參死句。如何	切 忌 喚 鐘 作 甕 問 古 人 道 須 參 活 句 莫 參 死 句 如 何 
X86n1605_004:0532a21	是活句。師曰路逢死蛇莫打殺。曰如何是死句。師曰	是 活 句 師 曰 路 逢 死 蛇 莫 打 殺 曰 如 何 是 死 句 師 曰 
X86n1605_004:0532a22	無底籃兒盛將歸。曰不死不活句又作麼生。師曰。易	無 底 籃 兒 盛 將 歸 曰 不 死 不 活 句 又 作 麼 生 師 曰 易 
X86n1605_004:0532a23	分雪裡粉。難辨墨中煤。問。三贒未達十聖難知。如何	分 雪 裡 粉 難 辨 墨 中 煤 問 三 贒 未 達 十 聖 難 知 如 何 
X86n1605_004:0532a24	是此宗。師曰無孔笛氈拍板。曰知音者誰。師曰聾人	是 此 宗 師 曰 無 孔 笛 氈 拍 板 曰 知 音 者 誰 師 曰 聾 人 
X86n1605_004:0532b01	爭得聞。曰也知和尚慣有此機。師曰鷂子過新羅。問	爭 得 聞 曰 也 知 和 尚 慣 有 此 機 師 曰 鷂 子 過 新 羅 問 
X86n1605_004:0532b02	如何是涅槃心。師曰須彌山。曰如何是差別智。師曰	如 何 是 涅 槃 心 師 曰 須 彌 山 曰 如 何 是 差 別 智 師 曰 
X86n1605_004:0532b03	四海水。曰都來總不消得。師曰金剛王寶劒你還提	四 海 水 曰 都 來 總 不 消 得 師 曰 金 剛 王 寶 劒 你 還 提 
X86n1605_004:0532b04	得起否。曰請師高著眼。師曰話作兩橛。住余山慈雲	得 起 否 曰 請 師 高 著 眼 師 曰 話 作 兩 橛 住 余 山 慈 雲 
X86n1605_004:0532b05	昭慶寺上堂。金烏東上。玉兔西沉。伶俐衲僧東討西	昭 慶 寺 上 堂 金 烏 東 上 玉 兔 西 沉 伶 俐 衲 僧 東 討 西 
X86n1605_004:0532b06	尋。忽然撞破虗空。歷劫只在如今。卓拄杖下座。焙經	尋 忽 然 撞 破 虗 空 歷 劫 只 在 如 今 卓 拄 杖 下 座 焙 經 
X86n1605_004:0532b07	上堂。海藏靈文經天緯地。琅函玉軸塞壑填溝。如來	上 堂 海 藏 靈 文 經 天 緯 地 琅 函 玉 軸 塞 壑 填 溝 如 來 
X86n1605_004:0532b08	不說說。敲出鳳凰五色髓。迦葉不聞聞。擊碎驪龍頷	不 說 說 敲 出 鳳 凰 五 色 髓 迦 葉 不 聞 聞 擊 碎 驪 龍 頷 
X86n1605_004:0532b09	下珠。火焰為三世諸佛說法。義天朗耀揭坤維。三世	下 珠 火 焰 為 三世諸佛 說 法 義 天 朗 耀 揭 坤 維 三 世 
X86n1605_004:0532b10	諸佛向火焰上說法。字脚不留空法界。兜羅綿裏玉	諸 佛 向 火 焰 上 說 法 字 脚 不 留 空 法 界 兜 羅 綿 裏 玉 
X86n1605_004:0532b11	轉珠回。文武火中星移電捲。行行鑄出黃金字。朵朵	轉 珠 回 文 武 火 中 星 移 電 捲 行 行 鑄 出 黃 金 字 朵 朵 
X86n1605_004:0532b12	花開白玉蓮。只如經歸藏禪歸海。又作麼生。五千餘	花 開 白 玉 蓮 只 如 經 歸 藏 禪 歸 海 又 作 麼 生 五 千 餘 
X86n1605_004:0532b13	卷瘡疣紙。一眾傳來耿夜光。	卷 瘡 疣 紙 一 眾 傳 來 耿 夜 光 
X86n1605_004:0532b14	徑山度禪師法嗣	徑 山 度 禪 師 法 嗣 
X86n1605_004:0532b15	杭州徑山虎巖淨伏禪師淮安人。至元二十一年正	杭 州 徑 山 虎 巖 淨 伏 禪 師 淮 安 人 至 元 二 十 一 年 正 
X86n1605_004:0532b16	月帝御大明殿受朝賀。因問南禪才者。右相和禮霍	月 帝 御 大 明 殿 受 朝 賀 因 問 南 禪 才 者 右 相 和 禮 霍 
X86n1605_004:0532b17	孫首舉師。師作偈以進。其略曰。過去諸如來。安住秘	孫 首 舉 師 師 作 偈 以 進 其 略 曰 過 去 諸 如 來 安 住 秘 
X86n1605_004:0532b18	密藏。現在十方佛。成道轉法輪。未來諸世尊。一切眾	密 藏 現 在 十 方 佛 成 道 轉 法 輪 未 來 諸 世 尊 一 切 眾 
X86n1605_004:0532b19	生是。由妄想執著。結煩惱盖纏。迷成六道身。虗受三	生 是 由 妄 想 執 著 結 煩 惱 盖 纏 迷 成 六 道 身 虗 受 三 
X86n1605_004:0532b20	塗苦。唯念過現佛。不敬未來尊。與佛結冤讐。或烹宰	塗 苦 唯 念 過 現 佛 不 敬 未 來 尊 與 佛 結 冤 讐 或 烹 宰 
X86n1605_004:0532b21	殺害。不了眾生相。全是法性身。昔有常不輕。禮拜於	殺 害 不 了 眾 生 相 全 是 法 性 身 昔 有 常 不 輕 禮 拜 於 
X86n1605_004:0532b22	一切。言我不輕汝。汝等當作佛。若能念自他。同是未	一 切 言 我 不 輕 汝 汝 等 當 作 佛 若 能 念 自 他 同 是 未 
X86n1605_004:0532b23	來佛。現世增福壽。生生生佛國。帝覧悅而問曰。戒勿	來 佛 現 世 增 福 壽 生 生 生 佛 國 帝 覧 悅 而 問 曰 戒 勿 
X86n1605_004:0532b24	殺有道者。試為朕言之。師對曰。有宋仁宗皇帝一日	殺 有 道 者 試 為 朕 言 之 師 對 曰 有 宋 仁 宗 皇 帝 一 日 
X86n1605_004:0532c01	語群臣曰。朕夜來饑甚思欲燒羊。群臣奏曰陛下何	語 群 臣 曰 朕 夜 來 饑 甚 思 欲 燒 羊 群 臣 奏 曰 陛 下 何 
X86n1605_004:0532c02	不宣付有司辦之。仁宗曰。朕偶饑思爾。慮為常例。寧	不 宣 付 有 司 辦 之 仁 宗 曰 朕 偶 饑 思 爾 慮 為 常 例 寧 
X86n1605_004:0532c03	忍一時之饑。不忍啟無窮之殺。殿下皆稱萬歲。上嘉	忍 一 時 之 饑 不 忍 啟 無 窮 之 殺 殿 下 皆 稱 萬 歲 上 嘉 
X86n1605_004:0532c04	納。即受帝師戒。	納 即 受 帝 師 戒 
X86n1605_004:0532c05	徑山愚禪師法嗣	徑 山 愚 禪 師 法 嗣 
X86n1605_004:0532c06	寶葉源禪師甞頌五通仙人曰。那一通。你問我。口是	寶 葉 源 禪 師 甞 頌 五 通 仙 人 曰 那 一 通 你 問 我 口 是 
X86n1605_004:0532c07	禍門。招因帶果。慚愧慈悲大法王。丙丁離壬不屬火。	禍 門 招 因 帶 果 慚 愧 慈 悲 大 法 王 丙 丁 離 壬 不 屬 火 
X86n1605_004:0532c08	又頌羅山開堂珍重便下座曰。瑞世優曇見最難。異	又 頌 羅 山 開 堂 珍 重 便 下 座 曰 瑞 世 優 曇 見 最 難 異 
X86n1605_004:0532c09	香浮動曉風寒。自非世主垂青眼。却作閑花野草看。	香 浮 動 曉 風 寒 自 非 世 主 垂 青 眼 却 作 閑 花 野 草 看 
X86n1605_004:0532c10	又頌德山見僧入門便棒曰。皎潔晴天吼怒雷。鐵山	又 頌 德 山 見 僧 入 門 便 棒 曰 皎 潔 晴 天 吼 怒 雷 鐵 山 
X86n1605_004:0532c11	萬疊盡驚開。因思塊雨條風日。安得全提有此來。	萬 疊 盡 驚 開 因 思 塊 雨 條 風 日 安 得 全 提 有 此 來 
X86n1605_004:0532c12	閑極雲禪師舉莊宗酬價因緣頌曰。君王寶自難酬	閑 極 雲 禪 師 舉 莊 宗 酬 價 因 緣 頌 曰 君 王 寶 自 難 酬 
X86n1605_004:0532c13	價。興化何甞敢借看。天地既無私盖載。至今留得鎮	價 興 化 何 甞 敢 借 看 天 地 既 無 私 盖 載 至 今 留 得 鎮 
X86n1605_004:0532c14	中原。又頌黃檗在鹽官殿上禮佛唐宣宗問不著佛	中 原 又 頌 黃 檗 在 鹽 官 殿 上 禮 佛 唐 宣 宗 問 不 著 佛 
