X65n1279_001:0102a03	 五宗原序	 五 宗 原 序 
X65n1279_001:0106a24	消行起。行滅道亡。睡中開眼喫茶。飯後洗盂就坐。鐵	消 行 起 行 滅 道 亡 睡 中 開 眼 喫 茶 飯 後 洗 盂 就 坐 鐵 
X65n1279_001:0106b01	脊梁竪處。矓矓似夢。犀角枕倒來。漠漠無天。閙市裏	脊 梁 竪 處 矓 矓 似 夢 犀 角 枕 倒 來 漠 漠 無 天 閙 市 裏 
X65n1279_001:0106b02	水流花落。事忙中馬去牛來。既分和叶于君臣。當辨	水 流 花 落 事 忙 中 馬 去 牛 來 既 分 和 叶 于 君 臣 當 辨 
X65n1279_001:0106b03	賤貴于王子。賤分外紹。貴從內紹。未識極頭。進於極	賤 貴 于 王 子 賤 分 外 紹 貴 從 內 紹 未 識 極 頭 進 於 極 
X65n1279_001:0106b04	頭。門內人趨向裏頭事。是朝生之臣種歸王。既識極	頭 門 內 人 趨 向 裏 頭 事 是 朝 生 之 臣 種 歸 王 既 識 極 
X65n1279_001:0106b05	頭。擔荷極頭。裏頭人不擔屋裏事。是誕生之王種忘	頭 擔 荷 極 頭 裏 頭 人 不 擔 屋 裏 事 是 誕 生 之 王 種 忘 
X65n1279_001:0106b06	父。忘父者。食父而滅祖。故曰內生。無家者閉宮而令	父 忘 父 者 食 父 而 滅 祖 故 曰 內 生 無 家 者 閉 宮 而 令 
X65n1279_001:0106b07	行。故曰化生。末生未知兩紹。真王不類五兒。貴賤俱	行 故 曰 化 生 末 生 未 知 兩 紹 真 王 不 類 五 兒 貴 賤 俱 
X65n1279_001:0106b08	消。淺深不立。石霜九峰舌結。章師悟老技窮。相續大	消 淺 深 不 立 石 霜 九 峰 舌 結 章 師 悟 老 技 窮 相 續 大 
X65n1279_001:0106b09	難。豈容付授。悲末世一悟便了之魔人。故曰人多乾	難 豈 容 付 授 悲 末 世 一 悟 便 了 之 魔 人 故 曰 人 多 乾 
X65n1279_001:0106b10	慧。示將來三漏須盡之法網。當知悟餘濁智。機不離	慧 示 將 來 三 漏 須 盡 之 法 網 當 知 悟 餘 濁 智 機 不 離 
X65n1279_001:0106b11	位。好女不著嫁時衣。見處偏枯。盲兒不放雙拄杖。究	位 好 女 不 著 嫁 時 衣 見 處 偏 枯 盲 兒 不 放 雙 拄 杖 究 
X65n1279_001:0106b12	妙失宗。休坐法機。昧終始。要通宗。透此者。不是乾蘿	妙 失 宗 休 坐 法 機 昧 終 始 要 通 宗 透 此 者 不 是 乾 蘿 
X65n1279_001:0106b13	蔔頭。知此者猶坐水屙漉地。金針雙鎻。鴛鴦交頸分	蔔 頭 知 此 者 猶 坐 水 屙 漉 地 金 針 雙 鎻 鴛 鴦 交 頸 分 
X65n1279_001:0106b14	飛。誰云玄路。金鎖玄路。藤樹合枝並起。豈曰鳥道。直	飛 誰 云 玄 路 金 鎖 玄 路 藤 樹 合 枝 並 起 豈 曰 鳥 道 直 
X65n1279_001:0106b15	須事理不涉。電火難追。展手不如吐舌。一老一不老。	須 事 理 不 涉 電 火 難 追 展 手 不 如 吐 舌 一 老 一 不 老 
X65n1279_001:0106b16	半肯半不肯。擊首誰能應尾。所以曹山觸毒。三墮浪	半 肯 半 不 肯 擊 首 誰 能 應 尾 所 以 曹 山 觸 毒 三 墮 浪 
X65n1279_001:0106b17	分。溈山水牯牛。水牯牛溈山。奈何不得是國王水草。	分 溈 山 水 牯 牛 水 牯 牛 溈 山 奈 何 不 得 是 國 王 水 草 
X65n1279_001:0106b18	非國王水草。隨納非污。撲破鉢盂。不獨五馬不嘶。抑	非 國 王 水 草 隨 納 非 污 撲 破 鉢 盂 不 獨 五 馬 不 嘶 抑 
X65n1279_001:0106b19	且一牛不飲。頺然方丈。不特闍黎不知。抑且侍者不	且 一 牛 不 飲 頺 然 方 丈 不 特 闍 黎 不 知 抑 且 侍 者 不 
X65n1279_001:0106b20	管。閉眼伸出被底裏指頭。誰云師子看山。踏斷脚頭	管 閉 眼 伸 出 被 底 裏 指 頭 誰 云 師 子 看 山 踏 斷 脚 頭 
X65n1279_001:0106b21	邊鞋鼻。不道死蛇。故曰。莫行心處路。不挂本來衣。何	邊 鞋 鼻 不 道 死 蛇 故 曰 莫 行 心 處 路 不 挂 本 來 衣 何 
X65n1279_001:0106b22	須正恁麼。切忌未生時。黑漆地履踐。當問景欣埀衣	須 正 恁 麼 切 忌 未 生 時 黑 漆 地 履 踐 當 問 景 欣 埀 衣 
X65n1279_001:0106b23	裳致治。不知堯舜柰何者。未覩影而傳寶鏡。才入室	裳 致 治 不 知 堯 舜 柰 何 者 未 覩 影 而 傳 寶 鏡 才 入 室 
X65n1279_001:0106b24	而伏繩床。評唱繁興首帕遍布。此法道之可悲也痛。	而 伏 繩 床 評 唱 繁 興 首 帕 遍 布 此 法 道 之 可 悲 也 痛 
X65n1279_001:0106c01	為其宗者。務使親到可耳。	為 其 宗 者 務 使 親 到 可 耳 
X65n1279_001:0106c02	總結	總 結 
X65n1279_001:0106c03	得心於自。得法於師。師有人法之分。心有本別之異。	得 心 於 自 得 法 於 師 師 有 人 法 之 分 心 有 本 別 之 異 
X65n1279_001:0106c04	根本智者。自悟徹頭徹尾者是。差別智者。自悟之後。	根 本 智 者 自 悟 徹 頭 徹 尾 者 是 差 別 智 者 自 悟 之 後 
X65n1279_001:0106c05	曲盡師法。以透無量法門者是。良以師必因人。人貴	曲 盡 師 法 以 透 無 量 法 門 者 是 良 以 師 必 因 人 人 貴 
X65n1279_001:0106c06	法玅。分宗列派。毫髮不爽。故傳法之源流。非獨以人	法 玅 分 宗 列 派 毫 髮 不 爽 故 傳 法 之 源 流 非 獨 以 人 
X65n1279_001:0106c07	為源流也。所以六祖一華而出二枝。南嶽懷讓青原	為 源 流 也 所 以 六 祖 一 華 而 出 二 枝 南 嶽 懷 讓 青 原 
X65n1279_001:0106c08	行思是也。讓出四葉。自馬祖道一。一出百丈懷海。海	行 思 是 也 讓 出 四 葉 自 馬 祖 道 一 一 出 百 丈 懷 海 海 
X65n1279_001:0106c09	出黃檗希運。運出臨濟義玄。一也。百丈出溈山霛祐。	出 黃 檗 希 運 運 出 臨 濟 義 玄 一 也 百 丈 出 溈 山 霛 祐 
X65n1279_001:0106c10	祐出仰山慧寂。二也。自馬祖出天王道悟。悟出龍潭	祐 出 仰 山 慧 寂 二 也 自 馬 祖 出 天 王 道 悟 悟 出 龍 潭 
X65n1279_001:0106c11	崇信。信出德山宣鑒。鑒出雪峰義存。存出雲門文偃。	崇 信 信 出 德 山 宣 鑒 鑒 出 雪 峰 義 存 存 出 雲 門 文 偃 
X65n1279_001:0106c12	三也。雪峰出玄沙師備。備出地藏桂琛。琛出法眼文	三 也 雪 峰 出 玄 沙 師 備 備 出 地 藏 桂 琛 琛 出 法 眼 文 
X65n1279_001:0106c13	益。此馬祖一枝之四葉也。青原一枝出一葉。自石頭	益 此 馬 祖 一 枝 之 四 葉 也 青 原 一 枝 出 一 葉 自 石 頭 
X65n1279_001:0106c14	希遷。遷出藥山惟儼。儼出雲嵓曇晟。晟出洞山良价。	希 遷 遷 出 藥 山 惟 儼 儼 出 雲 嵓 曇 晟 晟 出 洞 山 良 价 
X65n1279_001:0106c15	价出曹山本寂。此青原一枝之一葉也。大矣哉。威音	价 出 曹 山 本 寂 此 青 原 一 枝 之 一 葉 也 大 矣 哉 威 音 
X65n1279_001:0106c16	王已前無物也。威音王已後無物也。無物之物。不可	王 已 前 無 物 也 威 音 王 已 後 無 物 也 無 物 之 物 不 可 
X65n1279_001:0106c17	以言到心師也。其○也。彈丸迸出。透頂處。忤逆聞雷。	以 言 到 心 師 也 其 也 彈 丸 迸 出 透 頂 處 忤 逆 聞 雷 
X65n1279_001:0106c18	迅電突來過眼時。紅旗閃爍。裂作兩開。而火見處處。	迅 電 突 來 過 眼 時 紅 旗 閃 爍 裂 作 兩 開 而 火 見 處 處 
X65n1279_001:0106c19	斷碑橫古路。控成雙結。而中虗遠遠。馳書不到家。不	斷 碑 橫 古 路 控 成 雙 結 而 中 虗 遠 遠 馳 書 不 到 家 不 
X65n1279_001:0106c20	知自己為何物。謾道三界為惟心。滴水答曹源滴水。	知 自 己 為 何 物 謾 道 三 界 為 惟 心 滴 水 答 曹 源 滴 水 
X65n1279_001:0106c21	慧超原汝是慧超。分明打劫就窠。爭柰巡人犯夜。羅	慧 超 原 汝 是 慧 超 分 明 打 劫 就 窠 爭 柰 巡 人 犯 夜 羅 
X65n1279_001:0106c22	五家之四面。突臨濟之正宗。所以從威音一點闢開。	五 家 之 四 面 突 臨 濟 之 正 宗 所 以 從 威 音 一 點 闢 開 
X65n1279_001:0106c23	至臨濟一囊收納。雲門本出睦州於黃檗。豈外滹沱。	至 臨 濟 一 囊 收 納 雲 門 本 出 睦 州 於 黃 檗 豈 外 滹 沱 
X65n1279_001:0106c24	溈仰自續風穴于首山。還歸慧照。曹洞到浮山而率	溈 仰 自 續 風 穴 于 首 山 還 歸 慧 照 曹 洞 到 浮 山 而 率 
X65n1279_001:0107a01	賓歸王。法眼雖入教而難逃至化。惟此一事實。餘二	賓 歸 王 法 眼 雖 入 教 而 難 逃 至 化 惟 此 一 事 實 餘 二 
X65n1279_001:0107a02	則非真。臨濟兒孫既專大任。敢負前宗。一悟便了而	則 非 真 臨 濟 兒 孫 既 專 大 任 敢 負 前 宗 一 悟 便 了 而 
X65n1279_001:0107a03	無餘。是增慢者。一槌便就而莫勤。是淺丈夫。當知大	無 餘 是 增 慢 者 一 槌 便 就 而 莫 勤 是 淺 丈 夫 當 知 大 
X65n1279_001:0107a04	器晚成。切莫半途而廢。師承在宗旨。不在名字。源流	器 晚 成 切 莫 半 途 而 廢 師 承 在 宗 旨 不 在 名 字 源 流 
X65n1279_001:0107a05	證悟。盡差別焉。可根本坐定。痛快者翻成跋扈。廉纖	證 悟 盡 差 別 焉 可 根 本 坐 定 痛 快 者 翻 成 跋 扈 廉 纖 
X65n1279_001:0107a06	者到底纏綿。纏綿尚有脫時。跋扈終成異路。殷勤至	者 到 底 纏 綿 纏 綿 尚 有 脫 時 跋 扈 終 成 異 路 殷 勤 至 
X65n1279_001:0107a07	再。叮囑萬千。幸勿掃宗旨以藏拙。正當究宗旨而竭	再 叮 囑 萬 千 幸 勿 掃 宗 旨 以 藏 拙 正 當 究 宗 旨 而 竭 
X65n1279_001:0107a08	情。情竭細除。人忘法滅。方可為人師表。紹佛先宗。善	情 情 竭 細 除 人 忘 法 滅 方 可 為 人 師 表 紹 佛 先 宗 善 
X65n1279_001:0107a09	自護持。無令斷絕。	自 護 持 無 令 斷 絕 
X65n1279_001:0107a10	傳衣法註	傳 衣 法 註 
X65n1279_001:0107a11	世尊至多子塔前。命摩訶迦葉。分座令坐。以僧伽黎	世 尊 至 多 子 塔 前 命 摩 訶 迦 葉 分 座 令 坐 以 僧 伽 黎 
X65n1279_001:0107a12	圍之。遂告曰。吾以正法眼藏。密付于汝。汝當護持。并	圍 之 遂 告 曰 吾 以 正 法 眼 藏 密 付 于 汝 汝 當 護 持 并 
X65n1279_001:0107a13	勅阿難。副貳傳化。無令斷絕。而說偈曰。法本法無法。	勅 阿 難 副 貳 傳 化 無 令 斷 絕 而 說 偈 曰 法 本 法 無 法 
X65n1279_001:0107a14	無法法亦法。今付無法時。法法何曾法。爾時世尊說	無 法 法 亦 法 今 付 無 法 時 法 法 何 曾 法 爾 時 世 尊 說 
X65n1279_001:0107a15	此偈已。復告迦葉。吾將金縷僧伽黎衣。傳付於汝。轉	此 偈 已 復 告 迦 葉 吾 將 金 縷 僧 伽 黎 衣 傳 付 於 汝 轉 
X65n1279_001:0107a16	授補處。至慈氏佛出世。勿令朽壞。迦葉聞偈。頭面禮	授 補 處 至 慈 氏 佛 出 世 勿 令 朽 壞 迦 葉 聞 偈 頭 面 禮 
X65n1279_001:0107a17	足曰。善哉善哉。我當依勅。恭順佛故。鶴勒那尊者謂	足 曰 善哉善哉 我 當 依 勅 恭 順 佛 故 鶴 勒 那 尊 者 謂 
X65n1279_001:0107a18	師子尊者曰。吾師密有懸記。罹難非久。如來正法眼	師 子 尊 者 曰 吾 師 密 有 懸 記 罹 難 非 久 如 來 正 法 眼 
X65n1279_001:0107a19	藏。今當付汝。汝應保護。普潤來際。偈曰。正說知見時。	藏 今 當 付 汝 汝 應 保 護 普 潤 來 際 偈 曰 正 說 知 見 時 
X65n1279_001:0107a20	知見俱是心。當心即知見。知見即於今。祖說偈已。以	知 見 俱 是 心 當 心 即 知 見 知 見 即 於 今 祖 說 偈 已 以 
X65n1279_001:0107a21	僧伽黎密付之。至達磨大師。謂可大師曰。內傳法印。	僧 伽 黎 密 付 之 至 達 磨 大 師 謂 可 大 師 曰 內 傳 法 印 
X65n1279_001:0107a22	以契證心。外付袈裟。以定宗旨。後代澆薄。疑慮競生。	以 契 證 心 外 付 袈 裟 以 定 宗 旨 後 代 澆 薄 疑 慮 競 生 
X65n1279_001:0107a23	云我西天之人。言汝此方之子。憑何得法。以何證之。	云 我 西 天 之 人 言 汝 此 方 之 子 憑 何 得 法 以 何 證 之 
X65n1279_001:0107a24	汝今受此衣法。却後難生。但出此衣。并我法偈。用以	汝 今 受 此 衣 法 却 後 難 生 但 出 此 衣 并 我 法 偈 用 以 
X65n1279_001:0107b01	表明。其化無閡。至我滅後二百年。衣止不傳。法周沙	表 明 其 化 無 閡 至 我 滅 後 二 百 年 衣 止 不 傳 法 周 沙 
X65n1279_001:0107b02	界。明道者多。行道者少。說理者多。通理者少。潛符密	界 明 道 者 多 行 道 者 少 說 理 者 多 通 理 者 少 潛 符 密 
X65n1279_001:0107b03	證千萬有餘。汝當闡揚。勿輕未悟。一念回機。便同本	證 千 萬 有 餘 汝 當 闡 揚 勿 輕 未 悟 一 念 回 機 便 同 本 
X65n1279_001:0107b04	得。聽吾偈曰。我本來茲土。傳法救羣迷。一花開五葉。	得 聽 吾 偈 曰 我 本 來 茲 土 傳 法 救 羣 迷 一 花 開 五 葉 
X65n1279_001:0107b05	結果自然成。後六祖因五祖擊碓。夜入祖室。五祖以	結 果 自 然 成 後 六 祖 因 五 祖 擊 碓 夜 入 祖 室 五 祖 以 
X65n1279_001:0107b06	袈裟圍祖。不令人見。以所傳袈裟。用付于汝。善自保	袈 裟 圍 祖 不 令 人 見 以 所 傳 袈 裟 用 付 于 汝 善 自 保 
X65n1279_001:0107b07	護。無令斷絕。聽我偈曰。有情來下種。因地果還生。無	護 無 令 斷 絕 聽 我 偈 曰 有 情 來 下 種 因 地 果 還 生 無 
X65n1279_001:0107b08	情既無種。無性亦無生。六祖問曰。法則既受。衣付何	情 既 無 種 無 性 亦 無 生 六 祖 問 曰 法 則 既 受 衣 付 何 
X65n1279_001:0107b09	人。祖曰。昔達磨初至。人未之信。故傳衣以明得法。今	人 祖 曰 昔 達 磨 初 至 人 未 之 信 故 傳 衣 以 明 得 法 今 
X65n1279_001:0107b10	信心已熟。衣乃爭端。止於汝身。不復傳也。(於密)註曰。	信 心 已 熟 衣 乃 爭 端 止 於 汝 身 不 復 傳 也 於 密 註 曰 
X65n1279_001:0107b11	多子塔前傳法者。懸記此法祖脉佛脉兩無斷絕之	多 子 塔 前 傳 法 者 懸 記 此 法 祖 脉 佛 脉 兩 無 斷 絕 之 
X65n1279_001:0107b12	時也。世尊與迦葉分座者。示祖佛位同。佛在世即佛	時 也 世 尊 與 迦 葉 分 座 者 示 祖 佛 位 同 佛 在 世 即 佛 
X65n1279_001:0107b13	授法于祖。佛滅度即祖授法於佛。指佛以法身為重	授 法 于 祖 佛 滅 度 即 祖 授 法 於 佛 指 佛 以 法 身 為 重 
X65n1279_001:0107b14	也。僧伽黎圍之以授法者。正法以衣相密為心印也。	也 僧 伽 黎 圍 之 以 授 法 者 正 法 以 衣 相 密 為 心 印 也 
X65n1279_001:0107b15	凡有難及難信處。即衣法同傳也。正法眼藏者。師師	凡 有 難 及 難 信 處 即 衣 法 同 傳 也 正 法 眼 藏 者 師 師 
X65n1279_001:0107b16	相傳之法眼也。不言涅槃心者。以人人自悟之心。各	相 傳 之 法 眼 也 不 言 涅 槃 心 者 以 人 人 自 悟 之 心 各 
X65n1279_001:0107b17	各固有。只在正法眼藏印定。以為師法也。勅阿難副	各 固 有 只 在 正 法 眼 藏 印 定 以 為 師 法 也 勅 阿 難 副 
X65n1279_001:0107b18	貳者。言展轉承化而代不乏人也。偈言法本法無法	貳 者 言 展 轉 承 化 而 代 不 乏 人 也 偈 言 法 本 法 無 法 
X65n1279_001:0107b19	四句者。指伽黎而授其法相之義也。將金縷僧伽黎	四 句 者 指 伽 黎 而 授 其 法 相 之 義 也 將 金 縷 僧 伽 黎 
X65n1279_001:0107b20	衣傳付于汝轉授補處慈氏佛者。示前以法正授於	衣 傳 付 于 汝 轉 授 補 處 慈 氏 佛 者 示 前 以 法 正 授 於 
X65n1279_001:0107b21	祖。茲以法一付於佛。意後佛當親授祖法。而後化行	祖 茲 以 法 一 付 於 佛 意 後 佛 當 親 授 祖 法 而 後 化 行 
X65n1279_001:0107b22	也。達磨曰內傳法印以契證心外付袈裟以定宗旨	也 達 磨 曰 內 傳 法 印 以 契 證 心 外 付 袈 裟 以 定 宗 旨 
X65n1279_001:0107b23	者。正以宗旨在衣上。以印所傳契證之自心也。却後	者 正 以 宗 旨 在 衣 上 以 印 所 傳 契 證 之 自 心 也 却 後 
X65n1279_001:0107b24	難生但出此衣并示法偈用以表明其化無礙者。葢	難 生 但 出 此 衣 并 示 法 偈 用 以 表 明 其 化 無 礙 者 葢 
X65n1279_001:0107c01	以人但信有自悟之門。更不信師法。有忘悟了心之	以 人 但 信 有 自 悟 之 門 更 不 信 師 法 有 忘 悟 了 心 之 
X65n1279_001:0107c02	玅。故用衣以表明。令人悟之。又悟以盡差別智也。差	玅 故 用 衣 以 表 明 令 人 悟 之 又 悟 以 盡 差 別 智 也 差 
X65n1279_001:0107c03	別盡而根本之惑始盡矣。至我滅後二百年衣止不	別 盡 而 根 本 之 惑 始 盡 矣 至 我 滅 後 二 百 年 衣 止 不 
X65n1279_001:0107c04	傳法周沙界者。葢悟心得法者多。悟必盡法而後已。	傳 法 周 沙 界 者 葢 悟 心 得 法 者 多 悟 必 盡 法 而 後 已 
X65n1279_001:0107c05	不待一一以衣表示也。明道者多行道者少者。言自	不 待 一 一 以 衣 表 示 也 明 道 者 多 行 道 者 少 者 言 自 
X65n1279_001:0107c06	悟者。單明心道。若無法曲盡差別智故。不能行也。說	悟 者 單 明 心 道 若 無 法 曲 盡 差 別 智 故 不 能 行 也 說 
X65n1279_001:0107c07	理者多通理者少者。言說理者。乃不悟心。而但傳法	理 者 多 通 理 者 少 者 言 說 理 者 乃 不 悟 心 而 但 傳 法 
X65n1279_001:0107c08	者也。通理者。自心宗旨兩得證悟者也。此叮嚀得心	者 也 通 理 者 自 心 宗 旨 兩 得 證 悟 者 也 此 叮 嚀 得 心 
X65n1279_001:0107c09	必得法而後能行。得法必得心而後實證。二者不可	必 得 法 而 後 能 行 得 法 必 得 心 而 後 實 證 二 者 不 可 
X65n1279_001:0107c10	缺一。故當以法潛符密證也。潛符密證千萬有餘者。	缺 一 故 當 以 法 潛 符 密 證 也 潛 符 密 證 千 萬 有 餘 者 
X65n1279_001:0107c11	言世尊於多子塔前付囑。無令斷絕。定當心法不斷。	言 世 尊 於 多 子 塔 前 付 囑 無 令 斷 絕 定 當 心 法 不 斷 
X65n1279_001:0107c12	故千萬有餘也。汝當闡揚勿輕未悟一念回機便同	故 千 萬 有 餘 也 汝 當 闡 揚 勿 輕 未 悟 一 念 回 機 便 同 
X65n1279_001:0107c13	本得者。言人不論根器上下。但不悟耳。若示之一念	本 得 者 言 人 不 論 根 器 上 下 但 不 悟 耳 若 示 之 一 念 
X65n1279_001:0107c14	回機。便同本得。本得之心。與法符契。即與祖佛不二	回 機 便 同 本 得 本 得 之 心 與 法 符 契 即 與 祖 佛 不 二 
X65n1279_001:0107c15	也。傳法度羣迷者。言傳者法。不言有悟可傳人也。五	也 傳 法 度 羣 迷 者 言 傳 者 法 不 言 有 悟 可 傳 人 也 五 
X65n1279_001:0107c16	祖以袈裟圍六祖不令人見而傳法者。正是多子塔	祖 以 袈 裟 圍 六 祖 不 令 人 見 而 傳 法 者 正 是 多 子 塔 
X65n1279_001:0107c17	前故事。至六祖後。人皆知信此實相無相之法相也。	前 故 事 至 六 祖 後 人 皆 知 信 此 實 相 無相之法 相 也 
X65n1279_001:0107c18	皆言表信而用衣。正重信有宗旨耳。嗚呼宗旨其可	皆 言 表 信 而 用 衣 正 重 信 有 宗 旨 耳 嗚 呼 宗 旨 其 可 
X65n1279_001:0107c19	不信乎。宗旨而不信。更用佛祖相傳為哉。更用源流	不 信 乎 宗 旨 而 不 信 更 用 佛 祖 相 傳 為 哉 更 用 源 流 
X65n1279_001:0107c20	名字為哉。故五宗恐其法滅也。顯言宗旨以付授。付	名 字 為 哉 故 五 宗 恐 其 法 滅 也 顯 言 宗 旨 以 付 授 付 
X65n1279_001:0107c21	授之久。因不悟心者。認有法可傳。而學法不參心也。	授 之 久 因 不 悟 心 者 認 有 法 可 傳 而 學 法 不 參 心 也 
X65n1279_001:0107c22	故後之悟心豪傑。欲抹殺宗旨。單存悟見也。此心法	故 後 之 悟 心 豪 傑 欲 抹 殺 宗 旨 單 存 悟 見 也 此 心 法 
X65n1279_001:0107c23	不同各偏之獘耳。茲直註佛祖相傳之心法。以示心	不 同 各 偏 之 獘 耳 茲 直 註 佛 祖 相 傳 之 心 法 以 示 心 
X65n1279_001:0107c24	法同傳之旨。願後人信之。則多子之讖不誣。而千萬	法 同 傳 之 旨 願 後 人 信 之 則 多 子 之 讖 不 誣 而 千 萬 
X65n1279_001:0108a01	有餘之言始實矣。若必重自悟。而抹殺相傳之法。必	有 餘 之 言 始 實 矣 若 必 重 自 悟 而 抹 殺 相 傳 之 法 必 
X65n1279_001:0108a02	非悟心之士也。何以故。以其見有法故。見有法即與	非 悟 心 之 士 也 何 以 故 以 其 見 有 法 故 見 有 法 即 與 
X65n1279_001:0108a03	自心違故。既悟見有法。則所悟之心亦偽故。嗚呼自	自 心 違 故 既 悟 見 有 法 則 所 悟 之 心 亦 偽 故 嗚 呼 自 
X65n1279_001:0108a04	心師法。不可動著。動著則入地獄如箭射。	心 師 法 不 可 動 著 動 著 則 入 地 獄 如 箭 射 
X65n1279_001:0108a06	五宗原(終)	五 宗 原 終 
