X32n0615_001:0001a03	妙法蓮華經綸貫	妙法蓮華 經 綸 貫 
X32n0615_001:0005c06	土弘經安樂行品以外凡初心欣斯勝福見聲聞畏	土 弘 經 安樂行品 以 外 凡 初 心 欣 斯 勝 福 見 聲 聞 畏 
X32n0615_001:0005c07	憚聞菩薩擯辱顧己力弱無益自他便生退沒佛為	憚 聞 菩 薩 擯 辱 顧 己 力 弱 無 益 自 他 便 生 退 沒 佛 為 
X32n0615_001:0005c08	此人說安樂行依之弘法不慮危苦又法師品釋尊	此 人 說 安 樂 行 依 之 弘 法 不 慮 危 苦 又 法 師 品 釋 尊 
X32n0615_001:0005c09	自說弘經功福命覓流通寶塔品多寶及分身佛且	自 說 弘 經 功 福 命 覓 流 通 寶 塔 品 多 寶 及 分 身 佛 且 
X32n0615_001:0005c10	證且助勸覓流通。	證 且 助 勸 覓 流 通 
X32n0615_001:0005c11	今第十法師品法者軌則也師者訓匠也法雖可軌	今 第 十 法 師 品 法 者 軌 則 也 師 者 訓 匠 也 法 雖 可 軌 
X32n0615_001:0005c12	體不自弘通之在人五種通經皆得稱師舉法成其	體 不 自 弘 通 之 在 人 五 種 通 經 皆 得 稱 師 舉 法 成 其 
X32n0615_001:0005c13	自行皆以妙法為師師於妙法自行成就故言法師	自 行 皆 以 妙 法 為 師 師 於 妙 法 自 行 成 就 故 言 法 師 
X32n0615_001:0005c14	又以妙法訓匠於他故舉法目師名為法師文中先	又 以 妙 法 訓 匠 於 他 故 舉 法 目 師 名 為 法 師 文 中 先 
X32n0615_001:0005c15	歎美五種法師能持法人一受持二讀三誦四解說	歎 美 五 種 法 師 能 持 法 人 一 受 持 二 讀 三 誦 四 解 說 
X32n0615_001:0005c16	五書寫後歎美所持之法及示通經方軌所謂入如	五 書 寫 後 歎 美 所 持 之 法 及 示 通 經 方 軌 所 謂 入 如 
X32n0615_001:0005c17	來室著如來衣坐如來座如來室是大慈悲若就同	來 室 著 如 來 衣 坐 如 來 座 如 來 室 是 大 慈 悲 若 就 同 
X32n0615_001:0005c18	體即法身也若被眾生即是解脫能令眾生會於同	體 即 法 身 也 若 被 眾 生 即 是 解 脫 能 令 眾 生 會 於 同 
X32n0615_001:0005c19	體即是般若如來衣者若就所覆即法身也若就能	體 即 是 般 若 如 來 衣 者 若 就 所 覆 即 法 身 也 若 就 能 
X32n0615_001:0005c20	覆嚴身即寂滅忍也若就和光利物即解脫也如來	覆 嚴 身 即 寂 滅 忍 也 若 就 和 光 利 物 即 解 脫 也 如 來 
X32n0615_001:0005c21	座者若就能坐即般若也若就所坐即法身也身座	座 者 若 就 能 坐 即 般 若 也 若 就 所 坐 即 法 身 也 身 座 
X32n0615_001:0005c22	冥稱即解脫也雖復各具秖是一三三尚非三豈離	冥 稱 即 解 脫 也 雖 復 各 具 秖 是 一 三 三 尚 非 三 豈 離 
X32n0615_001:0005c23	為九是則菩薩常觀涅槃故勸弘經者而常觀之不	為 九 是 則 菩 薩 常 觀 涅 槃 故 勸 弘 經 者 而 常 觀 之 不 
X32n0615_001:0005c24	觀能弘之心焉曉所弘之理故佛令入我室著我衣	觀 能 弘 之 心 焉 曉 所 弘 之 理 故 佛 令 入 我 室 著 我 衣 
X32n0615_001:0006a01	坐我座若無三法何謂弘經。	坐 我 座 若 無 三 法 何 謂 弘 經 
X32n0615_001:0006a02	第十一見寶塔品者多寶佛塔從地涌出大眾咸見	第 十 一 見 寶 塔 品 者 多 寶 佛 塔 從地涌出 大 眾 咸 見 
X32n0615_001:0006a03	發大音聲以證前集佛開塔以起後也。	發 大 音 聲 以 證 前 集 佛 開 塔 以 起 後 也 
X32n0615_001:0006a04	第十二提婆達多品者提婆達多此云天熱生時人	第 十 二 提 婆 達 多 品 者 提 婆 達 多 此 云 天 熱 生 時 人 
X32n0615_001:0006a05	天生熱因此立名迹行逆行本是佛師眾生煩惱燒	天 生 熱 因 此 立 名 迹 行 逆 行 本 是 佛 師 眾 生 煩 惱 燒 
X32n0615_001:0006a06	熱故菩薩示同病行而度脫之文中先明昔日達多	熱 故 菩 薩 示 同 病 行 而 度 脫 之 文 中 先 明 昔 日 達 多 
X32n0615_001:0006a07	通經釋迦成道次明文殊今日通經龍女成佛。	通 經 釋 迦 成 道 次 明 文 殊 今 日 通 經 龍 女 成 佛 
X32n0615_001:0006a08	第十三持品者有受持有勸持也。	第 十 三 持 品 者 有 受 持 有 勸 持 也 
X32n0615_001:0006a09	第十四安樂行品者身無危險故安心無憂惱故樂	第 十 四安樂行 品 者 身 無 危 險 故 安 心 無 憂 惱 故 樂 
X32n0615_001:0006a10	身安心樂故能進行此依事釋也著如來衣則法身	身 安 心 樂 故 能 進 行 此 依 事 釋 也 著 如 來 衣 則 法 身 
X32n0615_001:0006a11	安入如來室故解脫心樂坐如來座故般若導行進	安 入 如 來 室 故 解 脫 心 樂 坐 如 來 座 故 般 若 導 行 進 
X32n0615_001:0006a12	此附上品文釋也住忍辱地故身安而不卒暴故心	此 附 上 品 文 釋 也 住 忍 辱 地 故 身 安 而 不 卒 暴 故 心 
X32n0615_001:0006a13	樂觀諸法實相故行進此附本品文釋也安名不動	樂 觀 諸法實相 故 行 進 此 附 本 品 文 釋 也 安 名 不 動 
X32n0615_001:0006a14	六道生死二聖涅槃所不能動樂名無受不受三昧	六道生死 二 聖 涅 槃 所 不 能 動 樂 名 無 受 不 受 三 昧 
X32n0615_001:0006a15	廣大之用不受凡夫之五受乃至圓教中五受生見	廣 大 之 用 不 受 凡 夫 之 五 受 乃 至 圓 教 中 五 受 生 見 
X32n0615_001:0006a16	亦皆不受有受則有苦無受則無苦無苦無樂乃名	亦 皆 不 受 有 受 則 有 苦 無 受 則 無 苦 無 苦 無 樂 乃 名 
X32n0615_001:0006a17	大樂行名無行不行凡夫行不行賢聖行故言無行	大 樂 行 名 無 行 不 行 凡 夫 行 不 行 賢 聖 行 故 言 無 行 
X32n0615_001:0006a18	而行中道是故名行此法門釋也文中凡有四段即	而 行 中 道 是 故 名 行 此 法 門 釋 也 文 中 凡 有 四 段 即 
X32n0615_001:0006a19	是以止觀慈悲導三業及誓願也身業有止故離身	是 以 止 觀 慈 悲 導 三 業 及 誓 願 也 身 業 有 止 故 離 身 
X32n0615_001:0006a20	麤業有觀故不得身不得身業不得能離無所得故	麤 業 有 觀 故 不 得 身 不 得 身 業 不 得 能 離 無 所 得 故 
X32n0615_001:0006a21	不墮凡夫有慈悲故勤修身業廣利一切不墮二乘	不 墮 凡 夫 有 慈 悲 故 勤 修 身 業 廣 利 一 切 不 墮 二 乘 
X32n0615_001:0006a22	地有止行故著忍辱衣有觀行故坐如來座有慈悲	地 有 止 行 故 著 忍 辱 衣 有 觀 行 故 坐 如 來 座 有 慈 悲 
X32n0615_001:0006a23	故入如來室止行離過即成斷德觀行無著即成智	故 入 如 來 室 止 行 離 過 即 成 斷 德 觀 行 無 著 即 成 智 
X32n0615_001:0006a24	德慈悲利他即成恩德恩德資成智德智德能通達	德 慈 悲 利 他 即 成 恩 德 恩 德 資 成 智 德 智 德 能 通 達 
X32n0615_001:0006b01	斷德是名身業安樂行餘口意誓願亦如是齊此是	斷 德 是 名 身 業 安 樂 行 餘 口 意 誓 願 亦 如 是 齊 此 是 
X32n0615_001:0006b02	迹門流通竟也。	迹 門 流 通 竟 也 
X32n0615_001:0006b03	第十五從地涌出品者下方空中法身大士是釋尊	第 十 五 從地涌出 品 者 下 方 空 中 法身大士 是 釋 尊 
X32n0615_001:0006b04	本時弟子今奉命涌出弘經彌勒尚自不識由此發	本 時 弟 子 今 奉 命 涌 出 弘 經 彌 勒 尚 自 不 識 由 此 發 
X32n0615_001:0006b05	起開近顯遠之大教也。	起 開近顯遠 之 大 教 也 
X32n0615_001:0006b06	第十六如來壽量品正開近迹而顯遠本如來者十	第 十 六 如 來 壽 量 品 正 開 近 迹 而 顯 遠 本 如 來 者 十 
X32n0615_001:0006b07	方三世諸佛二佛三佛本佛迹佛之通號也壽者受	方 三世諸佛 二 佛 三 佛 本 佛 迹 佛 之 通 號 也 壽 者 受 
X32n0615_001:0006b08	也量者詮量也今正詮本地報身功德而報身智慧	也 量 者 詮 量 也 今 正 詮 本 地 報 身 功 德 而 報 身 智 慧 
X32n0615_001:0006b09	上冥下契三身宛足故言如來壽量品。	上 冥 下 契 三 身 宛 足 故 言 如 來 壽 量 品 
X32n0615_001:0006b10	第十七分別功德品者佛說壽量三世弟子得種種	第 十 七 分 別 功 德 品 者 佛 說 壽 量 三 世 弟 子 得 種 種 
X32n0615_001:0006b11	益故言功德淺深不同故言分別也品中有授記領	益 故 言 功 德 淺 深 不 同 故 言 分 別 也 品 中 有 授 記 領 
X32n0615_001:0006b12	解流通佛說長行為總授法身記彌勒說偈為總申	解 流 通 佛 說 長 行 為 總 授 法 身 記 彌 勒 說 偈 為 總 申 
X32n0615_001:0006b13	領解此後為流通分於中先明現在四信次明滅後	領 解 此 後 為 流 通 分 於 中 先 明 現 在 四 信 次 明 滅 後 
X32n0615_001:0006b14	五品四信者一一念信解未能演說二略解言趣三	五 品 四 信 者 一 一 念 信 解 未 能 演 說 二 略 解 言 趣 三 
X32n0615_001:0006b15	廣為他說四深信觀成五品者一直起隨喜心二加	廣 為 他 說 四 深 信 觀 成 五 品 者 一 直 起隨喜心 二 加 
X32n0615_001:0006b16	自受持讀誦三加勸他受持讀誦四加兼行六度五	自 受持讀誦 三 加 勸 他 受持讀誦 四 加 兼 行 六 度 五 
X32n0615_001:0006b17	加正行六度也。	加 正 行 六 度 也 
X32n0615_001:0006b18	第十八隨喜功德品明初品因功德以勸流通隨者	第 十 八 隨 喜 功 德 品 明 初 品 因 功 德 以 勸 流 通 隨 者 
X32n0615_001:0006b19	隨順事理無二無別喜是慶己慶人順理者聞佛本	隨 順 事 理 無 二 無 別 喜 是 慶 己 慶 人 順 理 者 聞 佛 本 
X32n0615_001:0006b20	地深遠深遠信順不逆無一毫疑滯順事者聞佛三	地 深 遠 深 遠 信 順 不 逆 無 一 毫 疑 滯 順 事 者 聞 佛 三 
X32n0615_001:0006b21	世益物橫豎該亘徧一切處亦無一毫疑滯順理有	世 益 物 橫 豎 該 亘 徧一切處 亦 無 一 毫 疑 滯 順 理 有 
X32n0615_001:0006b22	實功德順事有權功德慶己有智慧慶人有慈悲權	實 功 德 順 事 有 權 功 德 慶 己 有 智 慧 慶 人 有 慈 悲 權 
X32n0615_001:0006b23	實智斷合而說之故言隨喜功德品。	實 智 斷 合 而 說 之 故 言 隨 喜 功 德 品 
X32n0615_001:0006b24	第十九法師功德品明初品果功德以勸流通所謂	第 十 九 法 師 功 德 品 明 初 品 果 功 德 以 勸 流 通 所 謂 
X32n0615_001:0006c01	六根清淨。	六 根 清 淨 
X32n0615_001:0006c02	第二十常不輕菩薩品引信毀罪福證勸流通內懷	第 二 十 常 不 輕 菩 薩 品 引 信 毀 罪 福 證 勸 流 通 內 懷 
X32n0615_001:0006c03	不輕之解外敬不輕之境身立不輕之行口宣不輕	不 輕 之 解 外 敬 不 輕 之 境 身 立 不 輕 之 行 口 宣 不 輕 
X32n0615_001:0006c04	之教人作不輕之目故名常不輕也已上三品半文	之 教 人 作 不 輕 之 目 故 名 常 不 輕 也 已 上 三 品 半 文 
X32n0615_001:0006c05	即勸持流通竟此下有八品文明付囑流通又分為	即 勸 持 流 通 竟 此 下 有 八 品 文 明 付 囑 流 通 又 分 為 
X32n0615_001:0006c06	三神力囑累兩品正明囑累流通藥王下五品約化	三 神 力 囑 累 兩 品 正 明 囑 累 流 通 藥 王 下 五 品 約 化 
X32n0615_001:0006c07	他勸流通普賢一品約自行勸流通也。	他 勸 流 通 普 賢 一 品 約 自 行 勸 流 通 也 
X32n0615_001:0006c08	第二十一如來神力品者神名不測力名幹用不測	第 二 十 一 如來神力 品 者 神 名 不 測 力 名 幹 用 不 測 
X32n0615_001:0006c09	則天然之體深幹用則轉變之力大此中為付囑深	則 天 然 之 體 深 幹 用 則 轉 變 之 力 大 此 中 為 付 囑 深 
X32n0615_001:0006c10	法現十種大力故名為神力品。	法 現 十 種 大 力 故 名 為 神 力 品 
X32n0615_001:0006c11	第二十二囑累品者囑是佛所付囑累是煩爾宣傳	第 二 十 二 囑 累 品 者 囑 是 佛 所 付 囑 累 是 煩 爾 宣 傳 
X32n0615_001:0006c12	此從聖旨得名又囑是頂受所囑累是甘而弗勞此	此 從 聖 旨 得 名 又 囑 是 頂 受 所 囑 累 是 甘 而 弗 勞 此 
X32n0615_001:0006c13	從菩薩敬順得名又囑是如來金口所囑累是菩薩	從 菩 薩 敬 順 得 名 又 囑 是 如 來 金 口 所 囑 累 是 菩 薩 
X32n0615_001:0006c14	丹心頂荷此從授受合論是故如來躬從座起申手	丹 心 頂 荷 此 從 授 受 合 論 是 故 如 來 躬 從 座 起 申 手 
X32n0615_001:0006c15	摩頂授以難得之法大眾曲躬合掌如世尊勑當具	摩 頂 授 以 難 得 之 法 大 眾 曲 躬 合 掌 如 世 尊 勑 當 具 
X32n0615_001:0006c16	奉行殷勤授受故名囑累。	奉 行 殷 勤 授 受 故 名 囑 累 
X32n0615_001:0006c17	第二十三藥王菩薩本事品者勗弘法之師應當竭	第 二 十 三 藥 王 菩 薩 本 事 品 者 勗 弘 法 之 師 應 當 竭 
X32n0615_001:0006c18	其神力盡其形命以弘大法也。	其 神 力 盡 其 形 命 以 弘 大 法 也 
X32n0615_001:0006c19	第二十四妙音品第二十五觀世音普門品皆勸受	第 二 十 四 妙 音 品 第 二 十 五 觀 世 音 普 門 品 皆 勸 受 
X32n0615_001:0006c20	法弟子令知他方大士奉命弘經普現色身形無定	法 弟 子 令 知 他 方 大 士 奉 命 弘 經 普 現 色 身 形 無 定 
X32n0615_001:0006c21	準不可以牛羊眼看不可以凡庸識度於所聞處勿	準 不 可 以 牛 羊 眼 看 不 可 以 凡 庸 識 度 於 所 聞 處 勿 
X32n0615_001:0006c22	生輕想輕想則法不染心也。	生 輕 想 輕 想 則 法 不 染 心 也 
X32n0615_001:0006c23	第二十六陀羅尼品者惡世弘經每多惱難故以呪	第 二 十 六 陀 羅 尼 品 者 惡 世 弘 經 每 多 惱 難 故 以 呪 
X32n0615_001:0006c24	護之使道流通。	護 之 使 道 流 通 
X32n0615_001:0007a01	第二十七妙莊嚴王本事品者說四聖之前緣顯人	第 二 十 七 妙 莊 嚴 王 本 事 品 者 說 四 聖 之 前 緣 顯 人 
X32n0615_001:0007a02	護之功德。	護 之 功 德 
X32n0615_001:0007a03	第二十八普賢菩薩勸發品者梵音邲輸[颱台+犮]陀此翻	第 二 十 八 普 賢 菩 薩 勸 發 品 者 梵 音 邲 輸 [颱台犮] 陀 此 翻 
X32n0615_001:0007a04	普賢亦翻徧吉伏道周徧名普鄰終際極名賢勸發	普 賢 亦 翻 徧 吉 伏 道 周 徧 名 普 鄰 終 際 極 名 賢 勸 發 
X32n0615_001:0007a05	者戀法之辭也遙在彼國具聞此經始末既周欲令	者 戀 法 之 辭 也 遙 在 彼 國 具 聞 此 經 始 末 既 周 欲 令 
X32n0615_001:0007a06	自行化他永永無已故自東而來勸發。	自 行 化 他 永 永 無 已 故 自 東 而 來 勸 發 
X32n0615_001:0007a07	又總約十一品半流通之文生起次第者現在聞經	又 總 約 十 一 品 半 流 通 之 文 生 起 次 第 者 現 在 聞 經 
X32n0615_001:0007a08	得真似兩益如上說若直聞一句而生隨喜如現在	得 真 似 兩 益 如 上 說 若 直 聞 一 句 而 生 隨 喜 如 現 在 
X32n0615_001:0007a09	四信格其功德未來無佛恐人疑福少故說滅後五	四 信 格 其 功 德 未 來 無 佛 恐 人 疑 福 少 故 說 滅 後 五 
X32n0615_001:0007a10	品功德也因功德微密未若果功德彰灼故說法師	品 功 德 也 因 功 德 微 密 未 若 果 功 德 彰 灼 故 說 法 師 
X32n0615_001:0007a11	功德品因果雙舉未若引證分明故說不輕雖舉往	功 德 品 因 果 雙 舉 未 若 引 證 分 明 故 說 不 輕 雖 舉 往 
X32n0615_001:0007a12	人未若現變故說神力雖示神力未若摩頂付囑故	人 未 若 現 變 故 說 神 力 雖 示 神 力 未 若 摩 頂 付 囑 故 
X32n0615_001:0007a13	說囑累雖通途囑累未若示其要術棄身存道故說	說 囑 累 雖 通 途 囑 累 未 若 示 其 要 術 棄 身 存 道 故 說 
X32n0615_001:0007a14	藥王雖誡能化未若誡其所化隨聞法處應生佛想	藥 王 雖 誡 能 化 未 若 誡 其 所 化 隨 聞 法 處 應 生 佛 想 
X32n0615_001:0007a15	故說妙音觀音若初心弘經既無神力當依內禁故	故 說 妙 音 觀 音 若 初 心 弘 經 既 無 神 力 當 依 內 禁 故 
X32n0615_001:0007a16	說陀羅尼復須外護故說嚴王普賢聯翩重疊使大	說 陀 羅 尼 復 須 外 護 故 說 嚴 王 普 賢 聯 翩 重 疊 使 大 
X32n0615_001:0007a17	法弘通耳復次普賢更請正說勸發自行更請流通	法 弘 通 耳 復 次 普 賢 更 請 正 說 勸 發 自 行 更 請 流 通 
X32n0615_001:0007a18	勸發化他佛總以四法答之一者為諸佛護念二者	勸 發 化 他 佛 總 以 四 法 答 之 一 者 為 諸 佛 護 念 二 者 
X32n0615_001:0007a19	植眾德本三者入正定聚四者發救一切眾生之心	植 眾 德 本 三 者 入正定聚 四 者 發 救 一 切 眾 生 之 心 
X32n0615_001:0007a20	即是雙答正及流通大旨何者佛雖無偏若能遠惡	即 是 雙 答 正 及 流 通 大 旨 何 者 佛 雖 無 偏 若 能 遠 惡 
X32n0615_001:0007a21	從善反迷還正開權知見顯佛知見則稱可聖心諸	從 善 反 迷 還 正 開 權 知 見 顯 佛 知 見 則 稱 可 聖 心 諸 
X32n0615_001:0007a22	佛護念若佛知見開則般若照明是植眾德本亦是	佛 護 念 若 佛 知 見 開 則 般 若 照 明 是 植 眾 德 本 亦 是 
X32n0615_001:0007a23	入正定聚不亂不味不取不捨亦是發救眾生心當	入正定聚 不 亂 不 味 不 取 不 捨 亦 是 發 救 眾 生 心 當 
X32n0615_001:0007a24	知此四與開權顯實名異體同無二無別又佛護念	知 此 四 與 開 權 顯 實 名 異 體 同 無 二 無 別 又 佛 護 念 
X32n0615_001:0007b01	者是開佛知見植眾德本者是示佛知見發救眾生	者 是 開 佛 知 見 植 眾 德 本 者 是 示 佛 知 見 發 救 眾 生 
X32n0615_001:0007b02	心是悟佛知見入正定聚是入佛知見迹門之要此	心 是 悟 佛 知 見 入正定聚 是 入 佛 知 見 迹 門 之 要 此 
X32n0615_001:0007b03	四收矣又迹則有本從本開示悟入故有迹中開示	四 收 矣 又 迹 則 有 本 從 本 開 示 悟 入 故 有 迹 中 開 示 
X32n0615_001:0007b04	悟入今開迹即顯本本迹無二無別以四法答其請	悟 入 今 開 迹 即 顯 本 本 迹 無 二 無 別 以 四 法 答 其 請 
X32n0615_001:0007b05	正於義明矣以四法答請流通者流通之方唯三唯	正 於 義 明 矣 以 四 法 答 請 流 通 者 流 通 之 方 唯 三 唯 
X32n0615_001:0007b06	四發救眾生心是入如來室入正定聚佛所護念是	四 發 救 眾 生 心 是 入 如 來 室 入正定聚 佛 所 護 念 是 
X32n0615_001:0007b07	著如來衣植眾德本是坐如來座是弘宣之要即四	著 如 來 衣 植 眾 德 本 是 坐 如 來 座 是 弘 宣 之 要 即 四 
X32n0615_001:0007b08	而三也又發救眾生心是誓願安樂行入正定聚是	而 三 也 又 發 救 眾 生 心 是 誓 願 安 樂 行 入正定聚 是 
X32n0615_001:0007b09	意安樂行植眾德本是口安樂行諸佛護念是身安	意 安 樂 行 植 眾 德 本 是 口 安 樂 行 諸 佛 護 念 是 身 安 
X32n0615_001:0007b10	樂行當知後四即前四也一答酬其兩請舉四冠罩	樂 行 當 知 後 四 即 前 四 也 一 答 酬 其 兩 請 舉 四 冠 罩 
X32n0615_001:0007b11	一經法華之重演豈不巧且妙哉所願一句沾神咸	一 經 法 華 之 重 演 豈 不 巧 且 妙 哉 所 願 一 句 沾 神 咸 
X32n0615_001:0007b12	資彼岸思惟修習永用舟航隨喜見聞恒為主伴若	資 彼 岸 思 惟 修 習 永 用 舟 航 隨 喜 見 聞 恒 為 主 伴 若 
X32n0615_001:0007b13	取若捨經耳成緣或順或逆終因斯脫願解脫之日	取 若 捨 經 耳 成 緣 或 順 或 逆 終 因 斯 脫 願 解 脫 之 日 
X32n0615_001:0007b14	依報正報常宣妙經一剎一塵無非利物惟願諸佛	依 報 正 報 常 宣 妙 經 一 剎 一 塵 無 非 利 物 惟 願 諸 佛 
X32n0615_001:0007b15	冥熏加被一切菩薩密借威靈在在未說皆為勸請	冥 熏 加 被 一切菩薩 密 借 威 靈 在 在 未 說 皆 為 勸 請 
X32n0615_001:0007b16	凡有說處親承供養一句一偈增進菩提一色香永	凡 有 說 處 親 承 供 養 一 句 一 偈 增 進 菩 提 一 色 香 永 
X32n0615_001:0007b17	無退轉。	無 退 轉 
X32n0615_001:0007b19	妙法蓮華經綸貫	妙法蓮華 經 綸 貫 
