T12n0322_001:0015a03	法鏡經序	法 鏡 經 序 
T12n0322_001:0019b12	應器、或乏法衣者，當以給施之，莫使生嫉於	應 器 或 乏 法 衣 者 當 以 給 施 之 莫 使 生 嫉 於 
T12n0322_001:0019b13	人也。所以者何？夫人以嫉妬為結，是以當	人 也 所以者何 夫 人 以 嫉 妬 為 結 是 以 當 
T12n0322_001:0019b14	力護凡人不應儀者。所以者何？凡人者為	力 護 凡 人 不 應 儀 者 所以者何 凡 人 者 為 
T12n0322_001:0019b15	有失，應儀者為無失。若有除饉者，未下正	有 失 應 儀 者 為 無 失 若 有 除 饉 者 未 下 正 
T12n0322_001:0019b16	道，或積聚法衣、或積聚應器。是以彼除饉，用	道 或 積 聚 法 衣 或 積 聚 應 器 是 以 彼 除 饉 用 
T12n0322_001:0019b17	無上正真道開導之。所以者何？其事有應，	無 上 正 真 道 開 導 之 所以者何 其 事 有 應 
T12n0322_001:0019b18	是以積聚物為致道，積若息心有不和者，	是 以 積 聚 物 為 致 道 積 若 息 心 有 不 和 者 
T12n0322_001:0019b19	當和解之；若正法欲衰微者，自危殆其身命，	當 和 解 之 若 正 法 欲 衰 微 者 自 危 殆 其 身 命 
T12n0322_001:0019b20	以營護正法；若見除饉疾苦者，以血肉使	以 營 護 正 法 若 見 除 饉 疾 苦 者 以 血 肉 使 
T12n0322_001:0019b21	其病者得除愈。「理家！若居家開士，若不布	其 病 者 得 除 愈 理 家 若 居 家 開 士 若 不 布 
T12n0322_001:0019b22	施，不以禁止人；若以施，終不悔恨；若有眾	施 不 以 禁 止 人 若 以 施 終 不 悔 恨 若 有 眾 
T12n0322_001:0019b23	德本，以是意為端首。理家！若此諸事、諸類、	德 本 以 是 意 為 端 首 理 家 若 此 諸 事 諸 類 
T12n0322_001:0019b24	諸應，開士居家修道者，為若此也。」又眾祐	諸 應 開 士 居 家 修 道 者 為 若 此 也 又 眾 祐 
T12n0322_001:0019b25	當說此居家開士所施行教誨法憲時，有千	當 說 此 居 家 開 士 所 施 行 教 誨 法 憲 時 有 千 
T12n0322_001:0019b26	人皆發意求無上正真道；復有天與人二千	人 皆 發 意 求 無 上 正 真 道 復 有 天 與 人 二 千 
T12n0322_001:0019b27	人，遠塵離垢諸法，法眼生。於是甚理家	人 遠塵離垢 諸 法 法 眼 生 於 是 甚 理 家 
T12n0322_001:0019b28	白眾祐言：「要者眾祐！如來以敷演居家開	白 眾 祐 言 要 者 眾 祐 如 來 以 敷 演 居 家 開 
T12n0322_001:0019b29	士者家善惡之地；亦布施、持戒、忍辱、精進、思	士 者 家 善 惡 之 地 亦 布 施 持 戒 忍 辱 精 進 思 
T12n0322_001:0019c01	惟、智慧，於是大道當所施行。要者眾祐！去	惟 智 慧 於 是 大 道 當 所 施 行 要 者 眾 祐 去 
T12n0322_001:0019c02	家修道開士者之所施行，願復幾微現之為	家 修 道 開 士 者 之 所 施 行 願 復 幾 微 現 之 為 
T12n0322_001:0019c03	善。要者眾祐！開士去家者，為之奈何？其	善 要 者 眾 祐 開 士 去 家 者 為 之 奈 何 其 
T12n0322_001:0019c04	所施行亦云何？」眾祐告甚理家曰：「善哉理家！	所 施 行 亦 云 何 眾 祐 告 甚 理 家 曰 善 哉 理 家 
T12n0322_001:0019c05	今汝迺以問如來，開士去家修道者之所施	今 汝 迺 以 問 如 來 開 士 去 家 修 道 者 之 所 施 
T12n0322_001:0019c06	行？善哉理家！當為汝說開士去家之事，其	行 善 哉 理 家 當 為 汝 說 開 士 去 家 之 事 其 
T12n0322_001:0019c07	所施行，汝勉進善思念之。」甚理家受教，從	所 施 行 汝 勉 進 善思念之 甚 理 家 受 教 從 
T12n0322_001:0019c08	眾祐而聽。眾祐曰：「理家！開士去家修道者，若	眾 祐 而 聽 眾 祐 曰 理 家 開 士 去 家 修 道 者 若 
T12n0322_001:0019c09	頭燒然，譬若鎧為精進以求智。去家者其	頭 燒 然 譬 若 鎧 為 精 進 以 求 智 去 家 者 其 
T12n0322_001:0019c10	初始為若此，次修治為聖典。又何謂去家	初 始 為 若 此 次 修 治 為 聖 典 又 何 謂 去 家 
T12n0322_001:0019c11	者之聖典？所謂趣得一衣為足，亦以善之；	者 之 聖 典 所 謂 趣 得 一 衣 為 足 亦 以 善 之 
T12n0322_001:0019c12	一食一床，病瘦一醫藥為足，亦以善之。是為	一 食 一 床 病 瘦 一 醫 藥 為 足 亦 以 善 之 是 為 
T12n0322_001:0019c13	聖典。何以故謂之為聖典？以為修治彼一切	聖 典 何 以 故 謂 之 為 聖 典 以 為 修 治 彼 一 切 
T12n0322_001:0019c14	道品法，是故謂之為聖典。「又開士去家修	道 品 法 是 故 謂 之 為 聖 典 又 開 士 去 家 修 
T12n0322_001:0019c15	道者，為有十知足之德，身以服法衣。何等	道 者 為 有 十 知 足 之 德 身 以 服 法 衣 何 等 
T12n0322_001:0019c16	為十？以為羞慚故，身服法衣；以避風暑故，	為 十 以 為 羞 慚 故 身 服 法 衣 以 避 風 暑 故 
T12n0322_001:0019c17	身服法衣；以辟蚊虻蟆子故，身服法衣；	身 服 法 衣 以 辟 蚊 虻 蟆 子 故 身 服 法 衣 
T12n0322_001:0019c18	欲以見息心形狀故，身服法衣；亦是法衣	欲 以 見 息 心 形 狀 故 身 服 法 衣 亦 是 法 衣 
T12n0322_001:0019c19	之神為十方之神故，身以服法衣；以患離	之 神 為 十 方 之 神 故 身 以 服 法 衣 以 患 離 
T12n0322_001:0019c20	婬樂，是以不樂婬之樂；以樂安得淨，是以	婬 樂 是 以 不 樂 婬 之 樂 以 樂 安 得 淨 是 以 
T12n0322_001:0019c21	除斷眾勞之樂；不以肥舳，為是道行；行在	除 斷 眾 勞 之 樂 不 以 肥 舳 為 是 道 行 行 在 
T12n0322_001:0019c22	聖道重任，我亦以自修；如以一時有法衣，	聖 道 重 任 我 亦 以 自 修 如 以 一 時 有 法 衣 
T12n0322_001:0019c23	如被服法衣故。以是十德自觀，至于壽終，	如 被 服 法 衣 故 以 是 十 德 自 觀 至 于 壽 終 
T12n0322_001:0020a01	閑居靜處，以不行匃。何等為十？我自以我	閑 居 靜 處 以 不 行 匃 何 等 為 十 我 自 以 我 
T12n0322_001:0020a02	業而為命，不以非異業；若有人來施我者，	業 而 為 命 不 以 非 異 業 若 有 人 來 施 我 者 
T12n0322_001:0020a03	以先修治三寶，後乃而受其施；我若欲從人	以 先 修 治 三 寶 後 乃 而 受 其 施 我 若 欲 從 人 
T12n0322_001:0020a04	乞匃，若不欲施人者，以非哀加彼己也；我	乞 匃 若 不 欲 施 人 者 以 非 哀 加 彼 己 也 我 
T12n0322_001:0020a05	當自食所修行之食，以為不違如來之言誨、	當 自 食 所 修 行 之 食 以 為 不 違 如 來 之 言 誨 
T12n0322_001:0020a06	以得成知足重任之本、以降憍慢、以得成	以 得 成 知 足 重 任 之 本 以 降 憍 慢 以 得 成 
T12n0322_001:0020a07	無見頂之德本；我亦見布施，亦如以自教；	無 見 頂 之 德 本 我 亦 見 布 施 亦 如 以 自 教 
T12n0322_001:0020a08	若往行乞匃，我亦不得有所適莫於男女，	若 往 行 乞 匃 我 亦 不 得 有 所 適 莫 於 男 女 
T12n0322_001:0020a09	以我等意於天下人、以得成一切敏智之重	以 我 等 意 於 天 下 人 以 得 成 一 切 敏 智 之 重 
T12n0322_001:0020a10	任。是，理家！十德，去家開士者以自觀，至于壽	任 是 理 家 十 德 去 家 開 士 者 以 自 觀 至 于 壽 
T12n0322_001:0020a11	終，閑居靜處，以不行匃。若有人來請者所	終 閑 居 靜 處 以 不 行 匃 若 有 人 來 請 者 所 
T12n0322_001:0020a12	住處，其人志意信喜道者，我不宜當彼往；	住 處 其 人 志 意 信 喜 道 者 我 不 宜 當 彼 往 
T12n0322_001:0020a13	設使往食，若能以自益亦能益人者，可往受	設 使 往 食 若 能 以 自 益 亦 能 益 人 者 可 往 受 
T12n0322_001:0020a14	施。我教開士可彼索。是為十德，以自觀可	施 我 教 開 士 可 彼 索 是 為 十 德 以 自 觀 可 
T12n0322_001:0020a15	以處於樹下坐宿止。何等為十？以其自由	以 處 於 樹 下 坐 宿 止 何 等 為 十 以 其 自 由 
T12n0322_001:0020a16	為往；彼以不名有；彼床臥以不閉門；於山澤	為 往 彼 以 不 名 有 彼 床 臥 以 不 閉 門 於 山 澤 
T12n0322_001:0020a17	以去離愛為彼居；以少欲少事為成德；捐	以 去 離 愛 為 彼 居 以 少 欲 少 事 為 成 德 捐 
T12n0322_001:0020a18	棄軀命以不自惜；樂獨靜以遠離戀聚會；以	棄 軀 命 以 不 自 惜 樂 獨 靜 以 遠 離 戀 聚 會 以 
T12n0322_001:0020a19	行修身不食；以定意為安靜一意；閑處思	行 修 身 不 食 以 定 意 為 安 靜 一 意 閑 處 思 
T12n0322_001:0020a20	惟為無益。是，理家！十德以自觀，開士去家者	惟 為 無 益 是 理 家 十 德 以 自 觀 開 士 去 家 者 
T12n0322_001:0020a21	為可處於樹下居止。「又復理家！或彼開士	為 可 處 於 樹 下 居 止 又 復 理 家 或 彼 開 士 
T12n0322_001:0020a22	去家修道遊於山澤者，若欲修治經，若用	去 家 修 道 遊 於 山 澤 者 若 欲 修 治 經 若 用 
T12n0322_001:0020a23	誦利經，故為入廟。若居廟者，意向以山澤為	誦 利 經 故 為 入 廟 若 居 廟 者 意 向 以 山 澤 為 
T12n0322_001:0020a24	居，是猶為彼山澤居也。求法之行者，為一	居 是 猶 為 彼 山 澤 居 也 求 法 之 行 者 為 一 
T12n0322_001:0020a25	切物不我想，一切諸法為他人有想。又開	切 物 不 我 想 一切諸法 為 他 人 有 想 又 開 
T12n0322_001:0020a26	士去家修道者若遊在山澤，當自省察，我	士 去 家 修 道 者 若 遊 在 山 澤 當 自 省 察 我 
T12n0322_001:0020a27	今何以遊此山澤中？不但以山澤居，謂之	今 何 以 遊 此 山 澤 中 不 但 以 山 澤 居 謂 之 
T12n0322_001:0020a28	息心也。所以者何？此間多有不化、不守、不度、	息 心 也 所以者何 此 間 多 有 不 化 不 守 不 度 
T12n0322_001:0020a29	不應、不修行者，皆遊山澤，所謂：禽獸、眾鳥、	不 應 不 修 行 者 皆 遊 山 澤 所 謂 禽 獸 眾 鳥 
T12n0322_001:0020b01	獼猴、[狂王+加]玃、惡人賊盜，皆遊於山澤，亦不謂	獼 猴 [狂王加] 玃 惡 人 賊 盜 皆 遊 於 山 澤 亦 不 謂 
T12n0322_001:0020b02	彼為息心也。至於我所求山澤居者，當以成	彼 為 息 心 也 至 於 我 所 求 山 澤 居 者 當 以 成 
T12n0322_001:0020b03	我，彼所求為是息心求。亦又何故開士息	我 彼 所 求 為 是 息 心 求 亦 又 何 故 開 士 息 
T12n0322_001:0020b04	心？所謂志以為不亂，為以得是持周滿達事	心 所 謂 志 以 為 不 亂 為 以 得 是 持 周 滿 達 事 
T12n0322_001:0020b05	故；以聞為無足；以得辯辭；以慈心不虧大哀；	故 以 聞 為 無 足 以 得 辯 辭 以 慈 心 不 虧 大 哀 
T12n0322_001:0020b06	以不離專由于五通，興隆六度無極，却一	以 不 離 專 由 于 五 通 興 隆 六 度 無 極 却 一 
T12n0322_001:0020b07	切敏之，意不擇捨，為行權謀之慧；以法施	切 敏 之 意 不 擇 捨 為 行 權 謀 之 慧 以 法 施 
T12n0322_001:0020b08	合聚人民，成就人民四合聚之事，為不擇	合 聚 人 民 成 就 人 民 四 合 聚 之 事 為 不 擇 
T12n0322_001:0020b09	捨六可思念之；以聞精進不虧損，為擇	捨 六 可 思 念 之 以 聞 精 進 不 虧 損 為 擇 
T12n0322_001:0020b10	法本末正度之道因緣，智亦不入正道之事，	法 本 末 正 度 之 道 因 緣 智 亦 不 入 正 道 之 事 
T12n0322_001:0020b11	為護正法之事；以信罪福為正見思慮所務；	為 護 正 法 之 事 以 信 罪 福 為 正 見 思 慮 所 務 
T12n0322_001:0020b12	以虧斷為正思，隨所喜為說法、為正言，隨	以 虧 斷 為 正 思 隨 所 喜 為 說 法 為 正 言 隨 
T12n0322_001:0020b13	行盡之，備足為正業、瘕疵之續；以除斷為	行 盡 之 備 足 為 正 業 瘕 疵 之 續 以 除 斷 為 
T12n0322_001:0020b14	正命；以道臻到為正方便；以不忘忽為正	正 命 以 道 臻 到 為 正 方 便 以 不 忘 忽 為 正 
T12n0322_001:0020b15	志，一切敏智之臻到為正定。若以空為不	志 一 切 敏 智 之 臻 到 為 正 定 若 以 空 為 不 
T12n0322_001:0020b16	想之行喜；若以得不顧為斷俗，所有依其	想 之 行 喜 若 以 得 不 顧 為 斷 俗 所 有 依 其 
T12n0322_001:0020b17	義不以文，依其法不以人，依其智不以識。	義 不 以 文 依 其 法 不 以 人 依 其 智 不 以 識 
T12n0322_001:0020b18	本文演義歸，不以末敘義，斯理家謂為開士	本 文 演 義 歸 不 以 末 敘 義 斯 理 家 謂 為 開 士 
T12n0322_001:0020b19	去家者息心求也。「又去家修道者，不當以多	去 家 者 息 心 求 也 又 去 家 修 道 者 不 當 以 多 
T12n0322_001:0020b20	從事，若此思惟其本末故，當為一切眾生不	從 事 若 此 思 惟 其 本 末 故 當 為 一 切 眾 生 不 
T12n0322_001:0020b21	與之從事，明哲不但與一人不從事也。又有	與 之 從 事 明 哲 不 但 與 一 人 不 從 事 也 又 有 
T12n0322_001:0020b22	四，是去家開士者之從事也，如來之所教。	四 是 去 家 開 士 者 之 從 事 也 如 來 之 所 教 
T12n0322_001:0020b23	何謂四？一曰、與講經者從事；二曰、與就人	何 謂 四 一 曰 與 講 經 者 從 事 二 曰 與 就 人 
T12n0322_001:0020b24	者從事；三曰、與供養如來者從事；四曰、與	者 從 事 三 曰 與 供養如來 者 從 事 四 曰 與 
T12n0322_001:0020b25	發一切敏意不亂者從事，離彼不當以多從	發 一 切 敏 意 不 亂 者 從 事 離 彼 不 當 以 多 從 
T12n0322_001:0020b26	事。又開士遊於山澤者當自揆察，我為何	事 又 開 士 遊 於 山 澤 者 當 自 揆 察 我 為 何 
T12n0322_001:0020b27	故來至於此？彼是思惟，我以恐畏來至此。	故 來 至 於 此 彼 是 思 惟 我 以 恐 畏 來 至 此 
T12n0322_001:0020b28	何謂恐畏？此群聚，恐畏與人從事婬、怒、癡、	何 謂 恐 畏 此 群 聚 恐 畏 與 人 從 事 婬 怒 癡 
T12n0322_001:0020b29	憍慢、自恣，恐畏惡友，恐畏嫉慳，恐畏色聲香	憍 慢 自 恣 恐 畏 惡 友 恐 畏 嫉 慳 恐 畏 色 聲 香 
T12n0322_001:0020c01	味細滑，恐畏功稱恭敬利，恐畏不見言見、	味 細 滑 恐 畏 功 稱 恭 敬 利 恐 畏 不 見 言 見 
T12n0322_001:0020c02	不聞言聞、不知言知、不解言解，恐畏息心	不 聞 言 聞 不 知 言 知 不 解 言 解 恐 畏 息 心 
T12n0322_001:0020c03	垢，恐畏更相嫉妬，恐畏生死五道往來所	垢 恐 畏 更 相 嫉 妬 恐 畏 生 死 五 道 往 來 所 
T12n0322_001:0020c04	墮，恐畏欲界、色界、無色界，恐畏陰耶、死	墮 恐 畏 欲 界 色 界 無 色 界 恐 畏 陰 耶 死 
T12n0322_001:0020c05	耶、勞耶、天子耶，恐畏惡道地獄、畜生、鬼	耶 勞 耶 天 子 耶 恐 畏 惡 道 地 獄 畜 生 鬼 
T12n0322_001:0020c06	神，恐畏倉卒一切是眾惡之念；我來到此不	神 恐 畏 倉 卒 一 切 是 眾 惡 之 念 我 來 到 此 不 
T12n0322_001:0020c07	可以此居在於家。若在群聚之中，行不應道	可 以 此 居 在 於 家 若 在 群 聚 之 中 行 不 應 道 
T12n0322_001:0020c08	之行，不得免彼眾恐之事。亦彼昔開士得	之 行 不 得 免 彼 眾 恐 之 事 亦 彼 昔 開 士 得 
T12n0322_001:0020c09	免度眾畏者，彼一切已居山澤之力勢，得	免 度 眾 畏 者 彼 一 切 已 居 山 澤 之 力 勢 得 
T12n0322_001:0020c10	臻到無畏，是謂自然。是故我以恐畏，欲越	臻 到 無 畏 是 謂 自 然 是 故 我 以 恐 畏 欲 越 
T12n0322_001:0020c11	度眾畏，為居山澤矣。又一切是畏皆由身	度 眾 畏 為 居 山 澤 矣 又 一 切 是 畏 皆 由 身 
T12n0322_001:0020c12	之生，以慕戀身以修身；以是身以愛身；以	之 生 以 慕 戀 身 以 修 身 以 是 身 以 愛 身 以 
T12n0322_001:0020c13	盛身以思身；以見身以處身；以想身以護身	盛 身 以 思 身 以 見 身 以 處 身 以 想 身 以 護 身 
T12n0322_001:0020c14	之所生也。假使由於山澤居，為以有由身	之 所 生 也 假 使 由 於 山 澤 居 為 以 有 由 身 
T12n0322_001:0020c15	之意，慕戀身修身，是身愛身、思身、見身、	之 意 慕 戀 身 修 身 是 身 愛 身 思 身 見 身 
T12n0322_001:0020c16	處身、想身、有身、護身之意者，我空為居山	處 身 想 身 有 身 護 身 之 意 者 我 空 為 居 山 
T12n0322_001:0020c17	澤耳。又居山澤者為無身想；居山澤者無	澤 耳 又 居 山 澤 者 為 無 身 想 居 山 澤 者 無 
T12n0322_001:0020c18	異想；居山澤者不見論義，不修自見身，無	異 想 居 山 澤 者 不 見 論 義 不 修 自 見 身 無 
T12n0322_001:0020c19	在顛倒，無有無為想，何況有勞想？居山	在 顛 倒 無 有 無 為 想 何 況 有 勞 想 居 山 
T12n0322_001:0020c20	澤者名曰：一切諸法寂然哉！諸法無所著	澤 者 名 曰 一切諸法 寂 然 哉 諸 法 無 所 著 
T12n0322_001:0020c21	哉！諸樂亦無所著哉！諸想以不愛哉！色聲	哉 諸 樂 亦 無 所 著 哉 諸 想 以 不 愛 哉 色 聲 
T12n0322_001:0020c22	香味細滑不與錯忤哉！諸定不以怙哉！意	香 味 細 滑 不 與 錯 忤 哉 諸 定 不 以 怙 哉 意 
T12n0322_001:0021a01	以自整不亂哉！以下諸重擔之畏哉！以度	以 自 整 不 亂 哉 以 下 諸 重 擔 之 畏 哉 以 度 
T12n0322_001:0021a02	夫汪洋之澤哉！夫聖之典以造哉！姦惡之	夫 汪 洋 之 澤 哉 夫 聖 之 典 以 造 哉 姦 惡 之 
T12n0322_001:0021a03	屬悉知足哉！為重任少欲哉！以智慧知足	屬 悉 知 足 哉 為 重 任 少 欲 哉 以 智 慧 知 足 
T12n0322_001:0021a04	哉！為知足哉！為知足哉！為重任少欲哉！為	哉 為 知 足 哉 為 知 足 哉 為 重 任 少 欲 哉 為 
T12n0322_001:0021a05	應哉！本末行以解哉！為一切獄斷所修事	應 哉 本 末 行 以 解 哉 為 一 切 獄 斷 所 修 事 
T12n0322_001:0021a06	訖哉！以為永解除。「理家！譬如山澤中有樹木	訖 哉 以 為 永 解 除 理 家 譬 如 山 澤 中 有 樹 木 
T12n0322_001:0021a07	草穢之屬，都無可畏、都無可恐。如是理家！開	草 穢 之 屬 都 無 可 畏 都 無 可 恐 如 是 理 家 開 
T12n0322_001:0021a08	士遊於山澤者，執志當如草木牆石之喻，	士 遊 於 山 澤 者 執 志 當 如 草 木 牆 石 之 喻 
T12n0322_001:0021a09	身以受行之，彼誰畏者？彼以恐怖思惟身	身 以 受 行 之 彼 誰 畏 者 彼 以 恐 怖 思 惟 身 
T12n0322_001:0021a10	本末，我都無身，非人、非命、非丈夫、非類、非	本 末 我 都 無 身 非 人 非 命 非 丈 夫 非 類 非 
T12n0322_001:0021a11	女、非先、無先、無造者、無教造者、無與者、	女 非 先 無 先 無 造 者 無 教 造 者 無 與 者 
T12n0322_001:0021a12	無興起者。諸是之畏，但以不成之想有	無 興 起 者 諸 是 之 畏 但 以 不 成 之 想 有 
T12n0322_001:0021a13	是畏耳！今我宜不造不成之想有是畏耳！	是 畏 耳 今 我 宜 不 造 不 成 之 想 有 是 畏 耳 
T12n0322_001:0021a14	今我不宜造不成之想，當如樹木草穢之屬，	今 我 不 宜 造 不 成 之 想 當 如 樹 木 草 穢 之 屬 
T12n0322_001:0021a15	亦為若此無響，以解一切彼法以具行之。	亦 為 若 此 無 響 以 解 一 切 彼 法 以 具 行 之 
T12n0322_001:0021a16	以響斷山澤居，去離婬塵。無諸響山澤居，非	以 響 斷 山 澤 居 去 離 婬 塵 無 諸 響 山 澤 居 非 
T12n0322_001:0021a17	我非有物者。又遊於山澤者以復思惟，是	我 非 有 物 者 又 遊 於 山 澤 者 以 復 思 惟 是 
T12n0322_001:0021a18	通達道品之法者，以居山澤。居山澤者為	通 達 道 品 之 法 者 以 居 山 澤 居 山 澤 者 為 
T12n0322_001:0021a19	合聚十二精；居山澤者解諸諦；居山澤者知	合 聚 十 二 精 居 山 澤 者 解 諸 諦 居 山 澤 者 知 
T12n0322_001:0021a20	諸陰，以滑制諸情，以禽諸進入，不忘忽	諸 陰 以 滑 制 諸 情 以 禽 諸 進 入 不 忘 忽 
T12n0322_001:0021a21	道之意；諸佛所讚，眾聖所稱譽，欲度世者	道 之 意 諸 佛 所 讚 眾 聖 所 稱 譽 欲 度 世 者 
T12n0322_001:0021a22	所事也。居山澤者以解一切敏智之方術	所 事 也 居 山 澤 者 以 解 一 切 敏 智 之 方 術 
T12n0322_001:0021a23	也。又遊於山澤者，以為不久周滿六度無極	也 又 遊 於 山 澤 者 以 為 不 久 周 滿 六 度 無 極 
T12n0322_001:0021a24	之行。得彼者云何？遊於山澤者若不自惜其	之 行 得 彼 者 云 何 遊 於 山 澤 者 若 不 自 惜 其 
T12n0322_001:0021a25	軀命者，是為布施度無極；若以依精之德，	軀 命 者 是 為 布 施 度 無 極 若 以 依 精 之 德 
T12n0322_001:0021a26	為成三慎者，是為戒度無極；若意不亂，亦	為 成 三 慎 者 是 為 戒 度 無 極 若 意 不 亂 亦 
T12n0322_001:0021a27	可是一切敏不異道者，是為忍辱度無極行；	可 是 一 切 敏 不 異 道 者 是 為 忍 辱 度 無 極 行 
T12n0322_001:0021a28	至於未得忍終而不起者，是為精進度無極；	至 於 未 得 忍 終 而 不 起 者 是 為 精 進 度 無 極 
T12n0322_001:0021a29	若以得一心不以從致敏哉，但以隆德本，	若 以 得 一 心 不 以 從 致 敏 哉 但 以 隆 德 本 
T12n0322_001:0021b01	是為一心度無極；若見如山澤道亦為若此，	是 為 一 心 度 無 極 若 見 如 山 澤 道 亦 為 若 此 
T12n0322_001:0021b02	以分別眾事者，是為以智慧度無極，開士	以 分 別 眾 事 者 是 為 以 智 慧 度 無 極 開 士 
T12n0322_001:0021b03	以道得。「又復理家！修治四法，我以教開士居	以 道 得 又 復 理 家 修 治 四 法 我 以 教 開 士 居 
T12n0322_001:0021b04	山澤。何謂四？或有開士，多聞明於法決者，若	山 澤 何 謂 四 或 有 開 士 多 聞 明 於 法 決 者 若 
T12n0322_001:0021b05	以其聞行在本末法，可居於山澤；又開士以	以 其 聞 行 在 本 末 法 可 居 於 山 澤 又 開 士 以 
T12n0322_001:0021b06	得五通，欲以成就天龍鬼神者，可居於山澤；	得 五 通 欲 以 成 就 天 龍 鬼 神 者 可 居 於 山 澤 
T12n0322_001:0021b07	或有開士勞盛者，彼以不從事勞即為薄，	或 有 開 士 勞 盛 者 彼 以 不 從 事 勞 即 為 薄 
T12n0322_001:0021b08	可居於山澤；亦欲抑制勞，以自勸勵，是以	可 居 於 山 澤 亦 欲 抑 制 勞 以 自 勸 勵 是 以 
T12n0322_001:0021b09	皆由聞。夫遊彼者，以得周滿一切清淨法，迺	皆 由 聞 夫 遊 彼 者 以 得 周 滿 一 切 清 淨 法 迺 
T12n0322_001:0021b10	後以下墟聚郡縣國邑，下為眾人講授	後 以 下 墟 聚 郡 縣 國 邑 下 為 眾 人 講 授 
T12n0322_001:0021b11	法、修治法。若此也，理家！我教開士居山澤	法 修 治 法 若 此 也 理 家 我 教 開 士 居 山 澤 
T12n0322_001:0021b12	也。「又去家修道者遊於山澤，以修治經、	也 又 去 家 修 道 者 遊 於 山 澤 以 修 治 經 
T12n0322_001:0021b13	誦習經故入眾者，以執恭敬亦謙遜。夫師友	誦 習 經 故 入 眾 者 以 執 恭 敬 亦 謙 遜 夫 師 友 
T12n0322_001:0021b14	講授者、倀中少年者，為以尊之，不以懈怠；	講 授 者 倀 中 少 年 者 為 以 尊 之 不 以 懈 怠 
T12n0322_001:0021b15	自所修，以不廢人所修，亦不以求承事恭敬。	自 所 修 以 不 廢 人 所 修 亦 不 以 求 承 事 恭 敬 
T12n0322_001:0021b16	若此當以觀察如來、應儀、正真佛者，為諸梵	若 此 當 以 觀 察 如 來 應 儀 正 真 佛 者 為 諸 梵 
T12n0322_001:0021b17	釋天人眾生所供養；為天上天下尊者福田，	釋 天 人 眾 生 所 供 養 為 天 上 天 下 尊 者 福 田 
T12n0322_001:0021b18	彼尚不求人承事也，自作事不欲煩人，何	彼 尚 不 求 人 承 事 也 自 作 事 不 欲 煩 人 何 
T12n0322_001:0021b19	況餘者？未以學、甫欲學，反欲人承事耶！又	況 餘 者 未 以 學 甫 欲 學 反 欲 人 承 事 耶 又 
T12n0322_001:0021b20	我當為天下人養者，我當以供養人，都不我	我 當 為 天 下 人 養 者 我 當 以 供 養 人 都 不 我 
T12n0322_001:0021b21	從人求供養。所以者何？以供養重者，理家！	從 人 求 供 養 所以者何 以 供 養 重 者 理 家 
T12n0322_001:0021b22	除饉者，不得法之助供養故，為助我不以法	除 饉 者 不 得 法 之 助 供 養 故 為 助 我 不 以 法 
T12n0322_001:0021b23	故。夫欲以為法助人者，以為若此。以是供	故 夫 欲 以 為 法 助 人 者 以 為 若 此 以 是 供 
T12n0322_001:0021b24	養故，為助我不以法故，彼以自懷已正信，	養 故 為 助 我 不 以 法 故 彼 以 自 懷 已 正 信 
T12n0322_001:0021b25	以為有供養，彼即與世物雜為，不是大祐	以 為 有 供 養 彼 即 與 世 物 雜 為 不 是 大 祐 
T12n0322_001:0021b26	人者。是以若欲往詣佛、師友者，所以身意	人 者 是 以 若 欲 往 詣 佛 師 友 者 所 以 身 意 
T12n0322_001:0021b27	行有決，乃可往慕。我教者師友以異之行	行 有 決 乃 可 往 慕 我 教 者 師 友 以 異 之 行 
T12n0322_001:0021b28	無過，以不訶問諷起誦習，為教誨之積聚。	無 過 以 不 訶 問 諷 起 誦 習 為 教 誨 之 積 聚 
T12n0322_001:0021b29	是以欲諷起經，為不用軀命，慕樂法隨順師	是 以 欲 諷 起 經 為 不 用 軀 命 慕 樂 法 隨 順 師 
T12n0322_001:0021c01	意，以求法利，不為求一切恭敬稱譽之利。	意 以 求 法 利 不 為 求 一 切 恭 敬 稱 譽 之 利 
T12n0322_001:0021c02	若以從師受幾微四句之頌，以諷誦之；若以	若 以 從 師 受 幾 微 四 句 之 頌 以 諷 誦 之 若 以 
T12n0322_001:0021c03	在布施、持戒、忍辱、精進、思惟、智慧，而以彼供	在 布 施 持 戒 忍 辱 精 進 思 惟 智 慧 而 以 彼 供 
T12n0322_001:0021c04	養師者，如其所修，四句頌之字數，為劫之	養 師 者 如 其 所 修 四 句 頌 之 字 數 為 劫 之 
T12n0322_001:0021c05	數，以供養彼師者，尚未為卒師之敬，亦以	數 以 供 養 彼 師 者 尚 未 為 卒 師 之 敬 亦 以 
T12n0322_001:0021c06	質直不虛飾不佞諂一切行之供養，豈復	質 直 不 虛 飾 不 佞 諂 一 切 行 之 供 養 豈 復 
T12n0322_001:0021c07	謂法之敬？「又理家！若斯意念生，以有德之	謂 法 之 敬 又 理 家 若 斯 意 念 生 以 有 德 之 
T12n0322_001:0021c08	意、有佛亦法之意、有自患離婬之意、有寂	意 有 佛 亦 法 之 意 有 自 患 離 婬 之 意 有 寂 
T12n0322_001:0021c09	靜之意。若以修治四句之頌，遵而行之，如	靜 之 意 若 以 修 治 四 句 之 頌 遵 而 行 之 如 
T12n0322_001:0021c10	其劫數，彼以供養其師者，尚未為卒法之	其 劫 數 彼 以 供 養 其 師 者 尚 未 為 卒 法 之 
