T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_004:0114a23	減。諸比丘等當奉禁戒使善法增長。不善法	減 諸 比 丘 等 當 奉 禁 戒 使 善 法 增 長 不 善 法 
T50n2042_004:0114a24	者當令永滅。以是義故佛所制戒皆應護持。	者 當 令 永 滅 以是義故 佛 所 制 戒 皆 應 護 持 
T50n2042_004:0114a25	若如是者法得久住。	若 如 是 者 法 得 久 住 
T50n2042_004:0114a26	摩訶迦葉涅槃因緣	摩 訶 迦 葉 涅 槃 因 緣 
T50n2042_004:0114a27	尊者迦葉集修多羅及阿毘曇毘尼已訖。入	尊 者 迦 葉 集 修 多 羅 及 阿 毘 曇 毘 尼 已 訖 入 
T50n2042_004:0114a28	願智三昧觀所集法藏無闕少不。思惟已訖	願 智 三 昧 觀 所 集 法 藏 無 闕 少 不 思 惟 已 訖 
T50n2042_004:0114a29	知無闕少。五百羅漢亦入願智如是觀察。	知 無 闕 少 五 百 羅 漢 亦 入 願 智 如 是 觀 察 
T50n2042_004:0114b01	迦葉自念。如來是我大善知識當報佛恩。報	迦 葉 自 念 如 來 是 我 大 善 知 識 當 報 佛 恩 報 
T50n2042_004:0114b02	佛恩者所謂佛所欲作我已作訖。以法饒益	佛 恩 者 所 謂 佛 所 欲 作 我 已 作 訖 以 法 饒 益 
T50n2042_004:0114b03	同梵行者。為諸眾生作大利益。示未來眾	同 梵 行 者 為 諸 眾 生 作 大 利 益 示 未 來 眾 
T50n2042_004:0114b04	生作大悲想。欲使大法流布不絕。為無慚愧	生 作 大 悲 想 欲 使 大 法 流 布 不 絕 為 無 慚 愧 
T50n2042_004:0114b05	者作擯羯磨。為慚愧者作安樂行。如是報恩	者 作 擯 羯 磨 為 慚 愧 者 作 安 樂 行 如 是 報 恩 
T50n2042_004:0114b06	皆悉已竟。重作思惟。我極年邁身為老壞臭	皆 悉 已 竟 重 作 思 惟 我 極 年 邁 身 為 老 壞 臭 
T50n2042_004:0114b07	爛之身甚可厭惡。涅槃時到。尊者迦葉以法	爛 之 身 甚 可 厭 惡 涅 槃 時 到 尊 者 迦 葉 以 法 
T50n2042_004:0114b08	付囑阿難而作是言。長老阿難佛以法藏付	付 囑 阿 難 而 作 是 言 長 老 阿 難 佛 以 法 藏 付 
T50n2042_004:0114b09	囑於我。我今欲入涅槃以法付汝。汝善守護。	囑 於 我 我 今 欲 入 涅 槃 以 法 付 汝 汝 善 守 護 
T50n2042_004:0114b10	阿難合掌答尊者言唯然受教。時王舍城有	阿 難 合 掌 答 尊 者 言 唯 然 受 教 時 王 舍 城 有 
T50n2042_004:0114b11	一長者生一男兒。合衣而出衣名商那。即名	一 長 者 生 一 男 兒 合 衣 而 出 衣 名 商 那 即 名 
T50n2042_004:0114b12	此兒為商那和修。以漸長大將入大海。迦葉	此 兒 為 商 那 和 修 以 漸 長 大 將 入 大 海 迦 葉 
T50n2042_004:0114b13	語阿難言。商那和修發意入海得寶來還欲	語 阿 難 言 商 那 和 修 發 意 入 海 得 寶 來 還 欲 
T50n2042_004:0114b14	作般遮于瑟。若作會已汝度令出家以法付	作 般遮于瑟 若 作 會 已 汝 度 令 出 家 以 法 付 
T50n2042_004:0114b15	囑。迦葉付囑阿難佛法已作是思惟。我今應	囑 迦 葉 付 囑 阿 難 佛 法 已 作是思惟 我 今 應 
T50n2042_004:0114b16	當至於大悲難行苦行婆伽婆善知識無量淨	當 至 於 大 悲 難行苦行 婆 伽 婆 善 知 識 無 量 淨 
T50n2042_004:0114b17	善功德之所熏修真妙舍利所在之處。皆自	善 功 德 之 所 熏 修 真 妙 舍 利 所 在 之 處 皆 自 
T50n2042_004:0114b18	往至禮拜恭敬仰飛至四塔所極上恭敬禮	往 至 禮 拜 恭 敬 仰 飛 至 四 塔 所 極 上 恭 敬 禮 
T50n2042_004:0114b19	拜已。復更往八大舍利塔所禮拜供養。如大	拜 已 復 更 往 八 大 舍 利 塔 所 禮拜供養 如 大 
T50n2042_004:0114b20	雁王飛至大海莎竭羅宮敬禮佛牙。敬禮佛	雁 王 飛 至 大 海 莎 竭 羅 宮 敬 禮 佛 牙 敬 禮 佛 
T50n2042_004:0114b21	牙已向於天上。如金翅鳥屈申臂頃至忉利	牙 已 向 於 天 上 如 金 翅 鳥 屈 申 臂 頃 至 忉 利 
T50n2042_004:0114b22	天。時釋提桓因與諸天眾禮拜供養尊者迦	天 時 釋提桓因 與 諸 天 眾 禮拜供養 尊 者 迦 
T50n2042_004:0114b23	葉已。釋提桓因觀察摩訶迦葉而作是言。	葉 已 釋提桓因 觀 察 摩 訶 迦 葉 而 作 是 言 
T50n2042_004:0114b24	尊者今來欲供養舍利而入涅槃故來至此。	尊 者 今 來 欲 供 養 舍 利 而 入 涅 槃 故 來 至 此 
T50n2042_004:0114b25	迦葉答言我今欲來敬禮如來牙禮如來髮如	迦 葉 答 言 我 今 欲 來 敬 禮 如 來 牙 禮 如 來 髮 如 
T50n2042_004:0114b26	來天冠如來鉢。今者是我最後供養。時釋提	來 天 冠 如 來 鉢 今 者 是 我 最 後 供 養 時 釋 提 
T50n2042_004:0114b27	桓因及諸天等聞最後語。低頭悲慘憂愁苦	桓 因 及 諸 天 等 聞 最 後 語 低 頭 悲 慘 憂 愁 苦 
T50n2042_004:0114b28	惱。釋提桓因自取佛牙恭敬授與尊者迦葉。	惱 釋提桓因 自 取 佛 牙 恭 敬 授 與 尊 者 迦 葉 
T50n2042_004:0114b29	尊者迦葉舉著額上。以牛頭旃檀曼陀羅花	尊 者 迦 葉 舉 著 額 上 以 牛 頭 旃 檀 曼陀羅花 
T50n2042_004:0114c01	供養佛牙。供養已語諸天眾慎莫放逸。作	供 養 佛 牙 供 養 已 語 諸 天 眾 慎 莫 放 逸 作 
T50n2042_004:0114c02	是語已從彼天沒還王舍城。時尊者阿難受	是 語 已 從 彼 天 沒 還 王 舍 城 時 尊 者 阿 難 受 
T50n2042_004:0114c03	付囑已。恒常隨逐未曾捨離。畏入涅槃或不	付 囑 已 恒 常 隨 逐 未 曾 捨 離 畏 入 涅 槃 或 不 
T50n2042_004:0114c04	覩見是故隨逐。尊者迦葉語阿難言。汝獨入	覩 見 是 故 隨 逐 尊 者 迦 葉 語 阿 難 言 汝 獨 入 
T50n2042_004:0114c05	王舍城乞食。我亦欲獨入王舍城乞食。尊者	王 舍 城 乞 食 我 亦 欲 獨 入 王 舍 城 乞 食 尊 者 
T50n2042_004:0114c06	阿難於中前著衣持鉢入王舍城。乞食以三	阿 難 於 中 前 著衣持鉢 入 王 舍 城 乞 食 以 三 
T50n2042_004:0114c07	種善事。一以真善色貌。二以多聞總持真	種 善 事 一 以 真 善 色 貌 二 以 多 聞 總 持 真 
T50n2042_004:0114c08	善說法能令聽者無有厭足。三以阿難之名	善 說 法 能 令 聽 者 無有厭足 三 以 阿 難 之 名 
T50n2042_004:0114c09	真善利益。尊者摩訶迦葉亦中前著衣持鉢	真 善 利 益 尊 者 摩 訶 迦 葉 亦 中 前 著衣持鉢 
T50n2042_004:0114c10	入城乞食。作是念阿闍世王本與我有要。	入 城 乞 食 作 是 念 阿 闍 世 王 本 與 我 有 要 
T50n2042_004:0114c11	若涅槃時必當語我。我今當往即到阿闍世	若 涅 槃 時 必 當 語 我 我 今 當 往 即 到 阿 闍 世 
T50n2042_004:0114c12	王門中。語守門人言。為我白王摩訶迦葉今	王 門 中 語 守 門 人 言 為 我 白 王 摩 訶 迦 葉 今 
T50n2042_004:0114c13	在門外欲見於王。守門人言王今眠睡。尊者	在 門 外 欲 見 於 王 守 門 人 言 王 今 眠 睡 尊 者 
T50n2042_004:0114c14	復言可覺語之。守門人言王甚難惡不敢覺	復 言 可 覺 語 之 守 門 人 言 王 甚 難 惡 不 敢 覺 
T50n2042_004:0114c15	之。後自覺時我當白語。尊者復言今若覺	之 後 自 覺 時 我 當 白 語 尊 者 復 言 今 若 覺 
T50n2042_004:0114c16	者好為我語。摩訶迦葉欲入涅槃故來相	者 好 為 我 語 摩 訶 迦 葉 欲 入 涅 槃 故 來 相 
T50n2042_004:0114c17	語。	語 
T50n2042_004:0114c18	於是尊者迦葉至雞脚山三岳中坐草敷上。	於 是 尊 者 迦 葉 至 雞 脚 山 三 岳 中 坐 草 敷 上 
T50n2042_004:0114c19	加趺而坐作是念言。我今此身著佛所與	加 趺 而 坐 作是念言 我 今 此 身 著 佛 所 與 
T50n2042_004:0114c20	糞掃衣。自持己鉢乃至彌勒令不朽壞。使彌	糞 掃 衣 自 持 己 鉢 乃 至 彌 勒 令 不 朽 壞 使 彌 
T50n2042_004:0114c21	勒弟子皆見我身而生厭惡。尊者迦葉作是	勒 弟 子 皆 見 我 身 而 生 厭 惡 尊 者 迦 葉 作 是 
T50n2042_004:0114c22	念言。若阿闍世王不見我身沸血當從面出	念 言 若 阿 闍 世 王 不 見 我 身 沸 血 當 從 面 出 
T50n2042_004:0114c23	命不存濟。尊者迦葉已捨命行唯留少壽。即	命 不 存 濟 尊 者 迦 葉 已 捨 命 行 唯 留 少 壽 即 
T50n2042_004:0114c24	時大地六種震動。尊者迦葉將欲入定作是	時 大 地 六種震動 尊 者 迦 葉 將 欲 入 定 作 是 
T50n2042_004:0114c25	念言。若阿難阿闍世王來時山當為開令其	念 言 若 阿 難 阿 闍 世 王 來 時 山 當 為 開 令 其 
T50n2042_004:0114c26	得入。若還去時山復還合。釋提桓因將數	得 入 若 還 去 時 山 復 還 合 釋提桓因 將 數 
T50n2042_004:0114c27	萬諸天。以天曼陀羅花天末香。供養尊者摩	萬 諸 天 以 天 曼陀羅花 天 末 香 供 養 尊 者 摩 
T50n2042_004:0114c28	訶迦葉舍利禮拜供養已。山即自合覆尊者	訶 迦 葉 舍 利 禮拜供養 已 山 即 自 合 覆 尊 者 
T50n2042_004:0114c29	身。釋提桓因見尊者迦葉放捨身命心中惱	身 釋提桓因 見 尊 者 迦 葉 放 捨 身 命 心 中 惱 
T50n2042_004:0115a01	熱。如來涅槃苦惱少息。今日尊者迦葉入於	熱 如 來 涅 槃 苦 惱 少 息 今 日 尊 者 迦 葉 入 於 
T50n2042_004:0115a02	涅槃將復重苦。畢鉢羅窟神聞尊者涅槃作	涅 槃 將 復 重 苦 畢 鉢 羅 窟 神 聞 尊 者 涅 槃 作 
T50n2042_004:0115a03	如是言。今日此窟即便空曠摩竭國界悉皆	如 是 言 今 日 此 窟 即 便 空 曠 摩 竭 國 界 悉 皆 
T50n2042_004:0115a04	空寂。里巷窮酸苦厄羸劣。貧賤之者彼恒悲	空 寂 里 巷 窮 酸 苦 厄 羸 劣 貧 賤 之 者 彼 恒 悲 
T50n2042_004:0115a05	愍為作利益。今彼諸苦厄之眾失於覆護。從	愍 為 作 利 益 今 彼 諸 苦 厄 之 眾 失 於 覆 護 從 
T50n2042_004:0115a06	今已去遂當貧窮乏於善法。今日法岳崩壞	今 已 去 遂 當 貧 窮 乏 於 善 法 今 日 法 岳 崩 壞 
T50n2042_004:0115a07	法船已沒。法樹已摧法海枯竭。今日諸魔得	法 船 已 沒 法 樹 已 摧 法 海 枯 竭 今 日 諸 魔 得 
T50n2042_004:0115a08	大歡喜一切天人哀摧悲泣。語已即還天上。	大 歡 喜 一 切 天 人 哀 摧 悲 泣 語 已 即 還 天 上 
T50n2042_004:0115a09	尊者阿難乞食已訖深自思惟諸行無常。時	尊 者 阿 難 乞 食 已 訖 深 自 思 惟 諸行無常 時 
T50n2042_004:0115a10	阿闍世王夢大梁折壞覺已心生驚怖。守	阿 闍 世 王 夢 大 梁 折 壞 覺 已 心 生 驚 怖 守 
T50n2042_004:0115a11	門者來白王言。向者摩訶迦葉故來白王欲	門 者 來 白 王 言 向 者 摩 訶 迦 葉 故 來 白 王 欲 
T50n2042_004:0115a12	入涅槃。王聞是語悶絕躄地以水灑面小	入 涅 槃 王 聞 是 語 悶 絕 躄 地 以 水 灑 面 小 
T50n2042_004:0115a13	得醒悟。於是王即詣竹園禮阿難足白言。	得 醒 悟 於 是 王 即 詣 竹 園 禮 阿 難 足 白 言 
T50n2042_004:0115a14	尊者迦葉今日欲入涅槃。阿難答言已入涅	尊 者 迦 葉 今 日 欲 入 涅 槃 阿 難 答 言 已 入 涅 
T50n2042_004:0115a15	槃。王復問言示我尊者身處我欲供養。於是	槃 王 復 問 言 示 我 尊 者 身 處 我 欲 供 養 於 是 
T50n2042_004:0115a16	阿難將王向雞足山。王既至已山自開張。	阿 難 將 王 向 雞 足 山 王 既 至 已 山 自 開 張 
T50n2042_004:0115a17	王與阿難即見尊者。天曼陀羅花天末香牛	王 與 阿 難 即 見 尊 者 天 曼陀羅花 天 末 香 牛 
T50n2042_004:0115a18	頭栴檀覆其身上。阿闍世王即舉兩手舉身	頭 栴 檀 覆 其 身 上 阿 闍 世 王 即 舉 兩 手 舉 身 
T50n2042_004:0115a19	投地從地起已索栴檀薪。阿難問言欲作何	投 地 從 地 起 已 索 栴 檀 薪 阿 難 問 言 欲 作 何 
T50n2042_004:0115a20	等。答言欲燒尊者。阿難言尊者摩訶迦葉	等 答 言 欲 燒 尊 者 阿 難 言 尊 者 摩 訶 迦 葉 
T50n2042_004:0115a21	以定住身待於彌勒不可得燒。彌勒出時當	以 定 住 身 待 於 彌 勒 不 可 得 燒 彌 勒 出 時 當 
T50n2042_004:0115a22	將徒眾九十六億至此山上見於迦葉。爾時	將 徒 眾 九 十 六 億 至 此 山 上 見 於 迦 葉 爾 時 
T50n2042_004:0115a23	眾中皆作是念聲聞身小彼佛亦然皆生輕	眾 中 皆 作 是 念 聲 聞 身 小 彼 佛 亦 然 皆 生 輕 
T50n2042_004:0115a24	想。摩訶迦葉踊身虛空作十八變變身為	想 摩 訶 迦 葉 踊 身 虛 空 作 十 八 變 變 身 為 
T50n2042_004:0115a25	大。即時彌勒從迦葉取釋迦文佛僧伽梨當	大 即 時 彌 勒 從 迦 葉 取 釋 迦 文 佛 僧 伽 梨 當 
T50n2042_004:0115a26	摩訶迦葉現神變時。九十六億沙門見其身	摩 訶 迦 葉 現 神 變 時 九 十 六 億 沙 門 見 其 身 
T50n2042_004:0115a27	小道德光備神通如是。深自慚愧憍慢心息	小 道 德 光 備 神 通 如 是 深 自 慚 愧 憍 慢 心 息 
T50n2042_004:0115a28	皆成羅漢。阿闍世王設供養已即便還去。	皆 成 羅 漢 阿 闍 世 王 設 供 養 已 即 便 還 去 
T50n2042_004:0115a29	阿難亦去。二人去後山自還合。阿闍世王合	阿 難 亦 去 二 人 去 後 山 自 還 合 阿 闍 世 王 合 
T50n2042_004:0115b01	掌白尊者阿難言。如來涅槃我不得見。尊者	掌 白 尊 者 阿 難 言 如 來 涅 槃 我 不 得 見 尊 者 
T50n2042_004:0115b02	迦葉入於涅槃我亦不見。若尊者入涅槃時	迦 葉 入 於 涅 槃 我 亦 不 見 若 尊 者 入 涅 槃 時 
T50n2042_004:0115b03	必使我令見。阿難答言爾。至後商那和修	必 使 我 令 見 阿 難 答 言 爾 至 後 商 那 和 修 
T50n2042_004:0115b04	安隱得還安置珍寶而向竹林。時尊者阿難	安 隱 得 還 安 置 珍 寶 而 向 竹 林 時 尊 者 阿 難 
T50n2042_004:0115b05	在精舍門前經行。商那和修直向阿難所禮	在 精 舍 門 前 經 行 商 那 和 修 直 向 阿 難 所 禮 
T50n2042_004:0115b06	阿難足在一面立作是言。我本發意入海期	阿 難 足 在 一 面 立 作 是 言 我 本 發 意 入 海 期 
T50n2042_004:0115b07	安隱還當為佛及僧作般遮于瑟。今佛在何	安 隱 還 當 為 佛 及 僧 作 般遮于瑟 今 佛 在 何 
T50n2042_004:0115b08	所。尊者答言佛已入涅槃。即時悶絕躄地	所 尊 者 答 言 佛 已 入 涅 槃 即 時 悶 絕 躄 地 
T50n2042_004:0115b09	以水灑面還得醒悟。又問尊者舍利弗目	以 水 灑 面 還 得 醒 悟 又 問 尊 者 舍 利 弗 目 
T50n2042_004:0115b10	揵連摩訶迦葉為何所在。答言盡入涅槃。	揵 連 摩 訶 迦 葉 為 何 所 在 答 言 盡 入 涅 槃 
T50n2042_004:0115b11	商那和修白阿難言。大德我欲作般遮于瑟。	商 那 和 修 白 阿 難 言 大 德 我 欲 作 般遮于瑟 
T50n2042_004:0115b12	尊者答言可隨意作。乃作般遮于瑟訖。阿難	尊 者 答 言 可 隨 意 作 乃 作 般遮于瑟 訖 阿 難 
T50n2042_004:0115b13	語言汝已作財施今可作法施。問言尊者欲	語 言 汝 已 作 財 施 今 可 作 法 施 問 言 尊 者 欲 
T50n2042_004:0115b14	使我作何等法施。尊者答言於佛法中出家	使 我 作 何 等 法 施 尊 者 答 言 於佛法中 出 家 
T50n2042_004:0115b15	是名法施。商那和修答言爾。阿難即度令	是 名 法 施 商 那 和 修 答 言 爾 阿 難 即 度 令 
T50n2042_004:0115b16	使出家為受具足。乃至為作白四羯摩。商	使 出 家 為 受 具 足 乃 至 為 作 白 四 羯 摩 商 
T50n2042_004:0115b17	那和修言我本生時著商那衣。我今盡形受	那 和 修 言 我 本 生 時 著 商 那 衣 我 今 盡 形 受 
T50n2042_004:0115b18	持此衣。即得總持阿難所持八萬四千法藏。	持 此 衣 即 得 總 持 阿 難 所 持 八萬四千 法 藏 
T50n2042_004:0115b19	悉能受持得阿羅漢。三明六通具知三藏。尊	悉 能 受 持 得阿羅漢 三 明 六 通 具 知 三 藏 尊 
T50n2042_004:0115b20	者阿難在竹園中聞一比丘誦法句偈言。若	者 阿 難 在 竹 園 中 聞 一 比 丘 誦 法 句 偈 言 若 
T50n2042_004:0115b21	人生百歲不見水鵠鸛不如生一日得見水	人 生 百 歲 不 見 水 鵠 鸛 不 如 生 一 日 得 見 水 
T50n2042_004:0115b22	鵠鸛。	鵠 鸛 
T50n2042_004:0115b23	尊者阿難在傍邊過已語言。子佛不作是說。	尊 者 阿 難 在 傍 邊 過 已 語 言 子 佛 不 作 是 說 
T50n2042_004:0115b24	佛所說者若人生百歲不解生滅法。不如生	佛 所 說 者 若 人 生 百 歲 不 解 生 滅 法 不 如 生 
T50n2042_004:0115b25	一日得解生滅法。阿難語言子有二種人謗	一 日 得 解 生 滅 法 阿 難 語 言 子 有 二 種 人 謗 
T50n2042_004:0115b26	佛。何等為二。一者多聞不解義理空無果	佛 何 等 為 二 一 者 多 聞 不 解 義 理 空 無 果 
T50n2042_004:0115b27	報。二者顛倒解義是名為毒。若解正義得涅	報 二 者 顛 倒 解 義 是 名 為 毒 若 解 正 義 得 涅 
T50n2042_004:0115b28	槃果。彼比丘往至和上所而白師言。尊者	槃 果 彼 比 丘 往 至 和 上 所 而 白 師 言 尊 者 
T50n2042_004:0115b29	阿難道此偈非是佛語。彼比丘和上言。尊者	阿 難 道 此 偈 非 是 佛 語 彼 比 丘 和 上 言 尊 者 
T50n2042_004:0115c01	阿難老朽忘誤汝但如前讀誦。阿難還來	阿 難 老 朽 忘 誤 汝 但 如 前 讀 誦 阿 難 還 來 
T50n2042_004:0115c02	聞讀此偈如前不異。阿難語言子我不語汝	聞 讀 此 偈 如 前 不 異 阿 難 語 言 子 我 不 語 汝 
T50n2042_004:0115c03	佛不作是說耶。比丘答言我和上言阿難年	佛 不 作 是 說 耶 比 丘 答 言 我 和 上 言 阿 難 年 
T50n2042_004:0115c04	已老耄不憶此語。汝但如本讀。阿難思惟	已 老 耄 不 憶 此 語 汝 但 如 本 讀 阿 難 思 惟 
T50n2042_004:0115c05	言我躬自為說終不信受。阿難入定觀頗有	言 我 躬 自 為 說 終 不 信 受 阿 難 入 定 觀 頗 有 
T50n2042_004:0115c06	比丘能使此比丘改是語不。亦復無有能使	比 丘 能 使 此 比 丘 改 是 語 不 亦 復 無 有 能 使 
T50n2042_004:0115c07	改者。舍利弗目揵連摩訶迦葉皆入涅槃。	改 者 舍 利 弗 目 揵 連 摩 訶 迦 葉 皆 入 涅 槃 
T50n2042_004:0115c08	我今當向誰說如此事。我亦當入於涅槃。佛	我 今 當 向 誰 說 如 此 事 我 亦 當 入 於 涅 槃 佛 
T50n2042_004:0115c09	之法眼足千年住。我今但當涅槃。我同學	之 法 眼 足 千 年 住 我 今 但 當 涅 槃 我 同 學 
T50n2042_004:0115c10	善伴久已過去。今日親厚莫過身念處。尊	善 伴 久 已 過 去 今 日 親 厚 莫 過 身 念 處 尊 
T50n2042_004:0115c11	者阿難語商那和修。佛以法付囑尊者迦葉。	者 阿 難 語 商 那 和 修 佛 以 法 付 囑 尊 者 迦 葉 
T50n2042_004:0115c12	迦葉以法付囑於我。我今欲入涅槃。汝當擁	迦 葉 以 法 付 囑 於 我 我 今 欲 入 涅 槃 汝 當 擁 
T50n2042_004:0115c13	護佛法。摩突羅國有優留曼荼山。當於彼	護 佛 法 摩 突 羅 國 有 優 留 曼 荼 山 當 於 彼 
T50n2042_004:0115c14	立塔寺。時有長者兄弟二人。一名那羅。二	立 塔 寺 時 有 長 者 兄 弟 二 人 一 名 那 羅 二 
T50n2042_004:0115c15	名拔利。佛說此二檀越。當於此優留曼荼	名 拔 利 佛 說 此 二 檀 越 當 於 此 優 留 曼 荼 
T50n2042_004:0115c16	山造僧房阿練若處。摩突羅國有長者名	山 造 僧 房 阿練若處 摩 突 羅 國 有 長 者 名 
T50n2042_004:0115c17	毱多。當生一子名優波毱多。汝好度使出家。	毱 多 當 生 一 子 名 優 波 毱 多 汝 好 度 使 出 家 
T50n2042_004:0115c18	佛記此人我百年後當大作佛事。	佛 記 此 人 我 百 年 後 當 大 作 佛 事 
T50n2042_004:0115c19	商那和修答言唯然受教。尊者阿難付囑商	商 那 和 修 答 言 唯 然 受 教 尊 者 阿 難 付 囑 商 
T50n2042_004:0115c20	那和修佛法已。於晨朝著衣持鉢入城乞食	那 和 修 佛 法 已 於 晨 朝 著衣持鉢 入 城 乞 食 
T50n2042_004:0115c21	而生念言。阿闍世王與我有要我今當往辭	而 生 念 言 阿 闍 世 王 與 我 有 要 我 今 當 往 辭 
T50n2042_004:0115c22	阿闍世王。即到阿闍世王門。語守門者言。	阿 闍 世 王 即 到 阿 闍 世 王 門 語 守 門 者 言 
T50n2042_004:0115c23	汝往白王阿難今在門外欲得見王。時守門	汝 往 白 王 阿 難 今 在 門 外 欲 得 見 王 時 守 門 
T50n2042_004:0115c24	人見王眠睡還白尊者阿難言王今睡眠。阿	人 見 王 眠 睡 還 白 尊 者 阿 難 言 王 今 睡 眠 阿 
T50n2042_004:0115c25	難語言汝往覺之。答阿難言王甚性惡我不	難 語 言 汝 往 覺 之 答 阿 難 言 王 甚 性 惡 我 不 
T50n2042_004:0115c26	敢覺。又復語言王若覺時可白王言。阿難今	敢 覺 又 復 語 言 王 若 覺 時 可 白 王 言 阿 難 今 
T50n2042_004:0115c27	者欲入涅槃故來語王。尊者阿難乞食食訖	者 欲 入 涅 槃 故 來 語 王 尊 者 阿 難 乞 食 食 訖 
T50n2042_004:0115c28	思惟。我若於王舍城入於涅槃。阿闍世王	思 惟 我 若 於 王 舍 城 入 於 涅 槃 阿 闍 世 王 
T50n2042_004:0115c29	與毘舍離常不相能。阿闍世王以我舍利不	與 毘 舍 離 常 不 相 能 阿 闍 世 王 以 我 舍 利 不 
T50n2042_004:0116a01	與毘舍離。我若毘舍離入涅槃者。毘舍離人	與 毘 舍 離 我 若 毘 舍 離 入 涅 槃 者 毘 舍 離 人 
T50n2042_004:0116a02	以我舍利亦不與阿闍世王。二國共諍於理	以 我 舍 利 亦 不 與 阿 闍 世 王 二 國 共 諍 於 理 
T50n2042_004:0116a03	不可。我今於恒河中當入涅槃。尊者阿難往	不 可 我 今 於 恒 河 中 當 入 涅 槃 尊 者 阿 難 往 
T50n2042_004:0116a04	詣恒河所。阿闍世王夢見為王捉蓋之人折	詣 恒 河 所 阿 闍 世 王 夢 見 為 王 捉 蓋 之 人 折 
T50n2042_004:0116a05	於蓋莖。王夢見已恐怖即覺。守門者言向者	於 蓋 莖 王 夢 見 已 恐 怖 即 覺 守 門 者 言 向 者 
T50n2042_004:0116a06	阿難故來辭王欲入涅槃。王聞此語悶絕躄	阿 難 故 來 辭 王 欲 入 涅 槃 王 聞 此 語 悶 絕 躄 
T50n2042_004:0116a07	地。以水灑面還得醒悟。王醒悟已問言阿難	地 以 水 灑 面 還 得 醒 悟 王 醒 悟 已 問 言 阿 難 
T50n2042_004:0116a08	去可近遠。欲在何邊入於涅槃。時竹園神	去 可 近 遠 欲 在 何 邊 入 於 涅 槃 時 竹 園 神 
T50n2042_004:0116a09	來語王言。阿難向毘舍離入般涅槃。王聞此	來 語 王 言 阿 難 向 毘 舍 離 入般涅槃 王 聞 此 
T50n2042_004:0116a10	已即集四兵往詣恒河。毘舍離神語毘舍離	已 即 集 四 兵 往 詣 恒 河 毘 舍 離 神 語 毘 舍 離 
T50n2042_004:0116a11	人。尊者阿難向此涅槃毘舍離人聞神語已	人 尊 者 阿 難 向 此 涅 槃 毘 舍 離 人 聞 神 語 已 
T50n2042_004:0116a12	即集四兵往趣恒河既至河已。尊者阿難乘	即 集 四 兵 往 趣 恒 河 既 至 河 已 尊 者 阿 難 乘 
T50n2042_004:0116a13	船在於恒河中流。阿闍世王見尊者時頭面	船 在 於 恒 河 中 流 阿 闍 世 王 見 尊 者 時 頭 面 
T50n2042_004:0116a14	禮足合掌而言。如來三界明燈已棄我去。汝	禮 足 合 掌 而 言 如 來 三 界 明 燈 已 棄 我 去 汝 
T50n2042_004:0116a15	是我明燈是我歸依。願見哀愍莫見棄捨入	是 我 明 燈 是 我 歸 依 願 見 哀 愍 莫 見 棄 捨 入 
T50n2042_004:0116a16	於涅槃。毘舍離人禮尊者阿難足合掌而言。	於 涅 槃 毘 舍 離 人 禮 尊 者 阿 難 足 合 掌 而 言 
T50n2042_004:0116a17	唯願尊者在毘舍離入般涅槃。尊者阿難欲	唯 願 尊 者 在 毘 舍 離 入般涅槃 尊 者 阿 難 欲 
T50n2042_004:0116a18	入涅槃即時大地六種震動。時雪山中五百	入 涅 槃 即 時 大 地 六種震動 時 雪 山 中 五 百 
T50n2042_004:0116a19	仙人皆具五通而作是念。今此大地以何因	仙 人 皆 具 五 通 而 作 是 念 今 此 大 地 以 何 因 
T50n2042_004:0116a20	緣六種震動。觀見阿難欲入涅槃是以大地	緣 六種震動 觀 見 阿 難 欲 入 涅 槃 是 以 大 地 
T50n2042_004:0116a21	六種震動。彼仙人中有一導首將五百仙人	六種震動 彼 仙 人 中 有 一 導 首 將 五 百 仙 人 
T50n2042_004:0116a22	翼從而來至阿難所。敬禮其足合掌而言聽	翼 從 而 來 至 阿 難 所 敬 禮 其 足 合 掌 而 言 聽 
T50n2042_004:0116a23	我出家。阿難心念言我諸賢聖弟子今當來	我 出 家 阿 難 心 念 言 我 諸 賢 聖 弟 子 今 當 來 
T50n2042_004:0116a24	至。作是念已五百羅漢自然來至。尊者阿難	至 作 是 念 已 五 百 羅 漢 自 然 來 至 尊 者 阿 難 
T50n2042_004:0116a25	化彼河水變成金地。乃至五百仙人出家皆	化 彼 河 水 變 成 金 地 乃 至 五 百 仙 人 出 家 皆 
T50n2042_004:0116a26	得羅漢。是諸仙人在恒河中受戒故。即名為	得 羅 漢 是 諸 仙 人 在 恒 河 中 受 戒 故 即 名 為 
T50n2042_004:0116a27	摩田提。所作已辦得阿羅漢。禮阿難足合掌	摩 田 提 所 作 已 辦 得阿羅漢 禮 阿 難 足 合 掌 
T50n2042_004:0116a28	而言佛最後弟子須拔陀先佛涅槃。我今亦	而 言 佛 最 後 弟 子 須 拔 陀 先 佛 涅 槃 我 今 亦 
T50n2042_004:0116a29	是阿難最後弟子欲入涅槃。不忍見於和	是 阿 難 最 後 弟 子 欲 入 涅 槃 不 忍 見 於 和 
