T33n1696_001:0063a25	大品遊意	大 品 遊 意 
T33n1696_001:0067b24	大。何者涅槃經中。嘆十二年童子迦葉三十	大 何 者 涅 槃 經 中 嘆 十 二 年 童 子 迦 葉 三 十 
T33n1696_001:0067b25	六問等無有異。故知佛初成道。既說涅槃。而	六 問 等無有異 故 知 佛 初 成 道 既 說 涅 槃 而 
T33n1696_001:0067b26	成實論師云。是華嚴經也。涅槃既爾。餘經應	成 實 論 師 云 是 華 嚴 經 也 涅 槃 既 爾 餘 經 應 
T33n1696_001:0067b27	然。何者。釋論云。須菩提聞法華。舉手低頭皆	然 何 者 釋 論 云 須 菩 提 聞 法 華 舉 手 低 頭 皆 
T33n1696_001:0067b28	成佛道。今問不退。若云何得定言法華以前	成 佛 道 今 問 不 退 若 云 何 得 定 言 法 華 以 前 
T33n1696_001:0067b29	說般若耶。且諸佛化眾生。應有緣即說。何後	說 般 若 耶 且 諸 佛 化 眾 生 應 有 緣 即 說 何 後 
T33n1696_001:0067c01	時乃說大耶。故知應有四句也。次明但不但	時 乃 說 大 耶 故 知 應 有 四 句 也 次 明 但 不 但 
T33n1696_001:0067c02	義。但是住義。是不行義。若是佛教大小。皆是	義 但 是 住 義 是 不 行 義 若 是 佛 教 大 小 皆 是 
T33n1696_001:0067c03	無跡義。故云有不住有。言空不住空。而一往	無 跡 義 故 云 有 不 住 有 言 空 不 住 空 而 一 往 
T33n1696_001:0067c04	開者。小乘是但。大乘是不但。何者。小乘為淺	開 者 小 乘 是 但 大 乘 是 不 但 何 者 小 乘 為 淺 
T33n1696_001:0067c05	行人。施四諦因果法門。名為但也。大教為大	行 人 施 四 諦 因 果 法 門 名 為 但 也 大 教 為 大 
T33n1696_001:0067c06	士。開不住法門。以示諸法無迹。為不但也。大	士 開 不 住 法 門 以 示 諸 法 無 迹 為 不 但 也 大 
T33n1696_001:0067c07	小兩乘。既有二智。人亦有二。何者。小乘人。	小 兩 乘 既 有 二 智 人 亦 有 二 何 者 小 乘 人 
T33n1696_001:0067c08	保昔經教。名為但。大乘人如幻化。無有去就。	保 昔 經 教 名 為 但 大 乘 人 如 幻 化 無 有 去 就 
T33n1696_001:0067c09	名為不但。故人法但人但不但義也。若例前	名 為 不 但 故 人 法 但 人 但 不 但 義 也 若 例 前 
T33n1696_001:0067c10	句。應有四句。如二句上例。三者但不但俱不	句 應 有 四 句 如 二 句 上 例 三 者 但 不 但 俱 不 
T33n1696_001:0067c11	但。四者但不但俱但也。如十地論成論等所	但 四 者 但 不 但 俱 但 也 如 十 地 論 成 論 等 所 
T33n1696_001:0067c12	執。皆存大小之相。名為但。若如今說。大小俱	執 皆 存 大 小 之 相 名 為 但 若 如 今 說 大 小 俱 
T33n1696_001:0067c13	無迹。名為不但也。若就兩佛者。一往釋迦教	無 迹 名 為 不 但 也 若 就 兩 佛 者 一 往 釋 迦 教 
T33n1696_001:0067c14	是但。舍那教是不但。而釋迦教。有但不但。何	是 但 舍 那 教 是 不 但 而 釋 迦 教 有 但 不 但 何 
T33n1696_001:0067c15	者。難化眾生說故也。舍那佛唯一大乘故。無	者 難 化 眾 生 說 故 也 舍 那 佛 唯 一 大 乘 故 無 
T33n1696_001:0067c16	但不但也。且經云。華嚴經不入二乘手者。二	但 不 但 也 且 經 云 華 嚴 經 不 入 二 乘 手 者 二 
T33n1696_001:0067c17	乘存著故。即為聖教不入不云都不聞見也。	乘 存 著 故 即 為 聖 教 不 入 不 云 都 不 聞 見 也 
T33n1696_001:0067c18	大品初佛說五品為不共。第二傳教須菩提	大 品 初 佛 說 五 品 為 不 共 第 二 傳 教 須 菩 提 
T33n1696_001:0067c19	說善品。為共說故也。	說 善 品 為 共 說 故 也 
T33n1696_001:0067c20	第四波若部儻。釋論云。有二種波若。一者共。	第 四 波 若 部 儻 釋 論 云 有 二 種 波 若 一 者 共 
T33n1696_001:0067c21	二者不共。有二種釋一云。共者。大品云三乘	二 者 不 共 有 二 種 釋 一 云 共 者 大 品 云 三 乘 
T33n1696_001:0067c22	通教是也。不共者。別第十地行聞波若。非九	通 教 是 也 不 共 者 別 第 十 地 行 聞 波 若 非 九 
T33n1696_001:0067c23	地行所聞也。一云。只就大品中。亦有共不共。	地 行 所 聞 也 一 云 只 就 大 品 中 亦 有 共 不 共 
T33n1696_001:0067c24	何者。經云。欲得菩薩果乃至聲聞果當學者。	何 者 經 云 欲 得 菩 薩 果 乃 至 聲 聞 果 當 學 者 
T33n1696_001:0067c25	此是共般若。復有菩薩所對。名為不共也。今	此 是 共 般 若 復 有 菩 薩 所 對 名 為 不 共 也 今 
T33n1696_001:0067c26	則無別深般若。但二乘分亦得聞。謂之共。菩	則 無 別 深 般 若 但 二 乘 分 亦 得 聞 謂 之 共 菩 
T33n1696_001:0067c27	薩之殊於二乘。名為不共。此就有方便無方	薩 之 殊 於 二 乘 名 為 不 共 此 就 有 方 便 無 方 
T33n1696_001:0067c28	便。簡聖共不共。無別深波若也。復有三種波	便 簡 聖 共 不 共 無 別 深 波 若 也 復 有 三 種 波 
T33n1696_001:0067c29	若。一者上。二中。三下。上者光讚波若是也。	若 一 者 上 二 中 三 下 上 者 光 讚 波 若 是 也 
T33n1696_001:0068a01	若具翻者。應是五十卷。而存長時遺少唯翻	若 具 翻 者 應 是 五 十 卷 而 存 長 時 遺 少 唯 翻 
T33n1696_001:0068a02	十卷。即竺法護所翻也。中者是大品也。而卷	十 卷 即 竺 法 護 所 翻 也 中 者 是 大 品 也 而 卷 
T33n1696_001:0068a03	數不定。或二十七卷。併什法師翻也。放光波	數 不 定 或 二 十 七 卷 併 什 法 師 翻 也 放 光 波 
T33n1696_001:0068a04	若。是二十卷。是朱士行取於于闐國。即是大	若 是 二 十 卷 是 朱 士 行 取 於 于 闐 國 即 是 大 
T33n1696_001:0068a05	品也。下者小品是也。有七卷。則是隨行也。復	品 也 下 者 小 品 是 也 有 七 卷 則 是 隨 行 也 復 
T33n1696_001:0068a06	有四種般若。謂上中下與金剛波若也。一云。	有 四 種 般 若 謂 上 中 下 與 金 剛 波 若 也 一 云 
T33n1696_001:0068a07	上中下與不共波若也。復有五種波若。謂摩	上 中 下 與 不 共 波 若 也 復 有 五 種 波 若 謂 摩 
T33n1696_001:0068a08	訶波若。天王問波若。光讚波若。仁王波若也。	訶 波 若 天 王 問 波 若 光 讚 波 若 仁 王 波 若 也 
T33n1696_001:0068a09	從天王問波若。出五般若。一者須真天子問	從 天 王 問 波 若 出 五 般 若 一 者 須 真 天 子 問 
T33n1696_001:0068a10	波若。有七卷。二者法文天子問波若。有三	波 若 有 七 卷 二 者 法 文 天 子 問 波 若 有 三 
T33n1696_001:0068a11	卷。三者四天王問波若。有一卷。四者文殊師	卷 三 者 四 天 王 問 波 若 有 一 卷 四 者 文 殊 師 
T33n1696_001:0068a12	利問波若。五者思益梵志問波若也。從光讚	利 問 波 若 五 者 思 益 梵 志 問 波 若 也 從 光 讚 
T33n1696_001:0068a13	波若。出二波若。一者成具波若。二者光淨般	波 若 出 二 波 若 一 者 成 具 波 若 二 者 光 淨 般 
T33n1696_001:0068a14	若也。或云金剛波若。其本有一卷。此是校量	若 也 或 云 金 剛 波 若 其 本 有 一 卷 此 是 校 量 
T33n1696_001:0068a15	功德一品。而抄為別經也。一云。五時波若中。	功 德 一 品 而 抄 為 別 經 也 一 云 五 時 波 若 中 
T33n1696_001:0068a16	一時說也。若其依仁王經法者。金剛波若。是	一 時 說 也 若 其 依 仁 王 經 法 者 金 剛 波 若 是 
T33n1696_001:0068a17	第二也。而一義云。金剛波若。理應最初。何	第 二 也 而 一 義 云 金 剛 波 若 理 應 最 初 何 
T33n1696_001:0068a18	者。以三義驗耳。一者從眾。二者乞食等事。	者 以 三 義 驗 耳 一 者 從 眾 二 者 乞 食 等 事 
T33n1696_001:0068a19	三者經中有文。何者。大品眾是五千。分金剛	三 者 經 中 有 文 何 者 大 品 眾 是 五 千 分 金 剛 
T33n1696_001:0068a20	眾是千二百五十。云何前多。後還成少耶。且	眾 是 千二百五十 云 何 前 多 後 還 成 少 耶 且 
T33n1696_001:0068a21	大品中。不數地。雖地四寸。金剛經足數於地。	大 品 中 不 數 地 雖 地 四 寸 金 剛 經 足 數 於 地 
T33n1696_001:0068a22	且經中云。所得慧眼。未曾得聞。此三義故。其	且 經 中 云 所 得 慧 眼 未 曾 得 聞 此 三 義 故 其 
T33n1696_001:0068a23	非後耳。或云。如仁王經中列法也。	非 後 耳 或 云 如 仁 王 經 中 列 法 也 
T33n1696_001:0068a24	次第五明緣起。魏時沙門朱士行。導讚小品。	次 第 五 明 緣 起 魏 時 沙 門 朱 士 行 導 讚 小 品 
T33n1696_001:0068a25	即知文義未盡。故甘露六年於于闐國。相經	即 知 文 義 未 盡 故 甘 露 六 年 於 于 闐 國 相 經 
T33n1696_001:0068a26	本遇得大品。而彼國名僧。唯信小乘。故朱士	本 遇 得 大 品 而 彼 國 名 僧 唯 信 小 乘 故 朱 士 
T33n1696_001:0068a27	行將還時。彼僧白王曰。漢通人棄佛正教。	行 將 還 時 彼 僧 白 王 曰 漢 通 人 棄 佛 正 教 
T33n1696_001:0068a28	以持波羅門經。將還本國而宣流。王今不應	以 持 波 羅 門 經 將 還 本 國 而 宣 流 王 今 不 應 
T33n1696_001:0068a29	撿許。王即順語。遮而不許。于時朱士行。即白	撿 許 王 即 順 語 遮 而 不 許 于 時 朱 士 行 即 白 
T33n1696_001:0068b01	王言。我今不顧身命而來。正止由經。王若不	王 言 我 今 不顧身命 而 來 正 止 由 經 王 若 不 
T33n1696_001:0068b02	許此經者。應撿一願。即誓言曰。若此經於漢	許 此 經 者 應 撿 一 願 即 誓 言 曰 若 此 經 於 漢 
T33n1696_001:0068b03	地有緣者。投火即應滅。誓言即摩訶波若波	地 有 緣 者 投 火 即 應 滅 誓 言 即 摩 訶 波 若 波 
T33n1696_001:0068b04	羅蜜經者。斯道幽微深遠難測。無知無照。無	羅 蜜 經 者 斯 道 幽 微 深 遠 難 測 無 知 無 照 無 
T33n1696_001:0068b05	相無名。理絕百非。道亡四句。言語。無所厝其	相 無 名 理 絕 百 非 道 亡 四 句 言 語 無 所 厝 其 
T33n1696_001:0068b06	詳。理絕二邊。情識。無沒其慮。雖復一相無	詳 理 絕 二 邊 情 識 無 沒 其 慮 雖 復 一 相 無 
T33n1696_001:0068b07	相。萬用無虧。至寂至空道光法界。故開宗之	相 萬 用 無 虧 至 寂 至 空 道 光 法 界 故 開 宗 之 
T33n1696_001:0068b08	始。以不住法住。辨義之終。以無得為得。是故	始 以 不 住 法 住 辨 義 之 終 以 無 得 為 得 是 故 
T33n1696_001:0068b09	絕相必假言宣。無名要由教顯。摩訶波若波	絕 相 必 假 言 宣 無 名 要 由 教 顯 摩 訶 波 若 波 
T33n1696_001:0068b10	羅蜜者。摩訶者。翻云大。大者廣博為義。苞容	羅 蜜 者 摩 訶 者 翻 云 大 大 者 廣 博 為 義 苞 容 
T33n1696_001:0068b11	為義。莫先為義。波若者。釋論自云。如猛火聚	為 義 莫 先 為 義 波 若 者 釋 論 自 云 如 猛 火 聚 
T33n1696_001:0068b12	不可觸。觸即皆燒。翻不翻皆不可得也。而約	不 可 觸 觸 即 皆 燒 翻 不 翻 皆 不 可 得 也 而 約 
T33n1696_001:0068b13	用□亦得皆翻也。即波羅蜜者到彼岸也。經	用 亦 得 皆 翻 也 即 波 羅 蜜 者 到 彼 岸 也 經 
T33n1696_001:0068b14	者訓法訓常。	者 訓 法 訓 常 
T33n1696_001:0068b15	大品經遊意一卷(終)	大 品 經 遊 意 一 卷 終 
