X69n1352_001:0303c06	 白雲禪錄	 白 雲 禪 錄 
X69n1352_002:0315c01	作麼生透。乃云。鐵壁鐵壁。	作 麼 生 透 乃 云 鐵 壁 鐵 壁 
X69n1352_002:0315c02	上堂云。一句道得盡。與祖佛為師。一句道不盡。與人	上 堂 云 一 句 道 得 盡 與 祖 佛 為 師 一 句 道 不 盡 與 人 
X69n1352_002:0315c03	天為師。今日作麼生道。乃云。有水皆含月。無山不帶	天 為 師 今 日 作 麼 生 道 乃 云 有 水 皆 含 月 無 山 不 帶 
X69n1352_002:0315c04	雲。	雲 
X69n1352_002:0315c05	上堂。僧問。與我相似。共你無緣。且道今日有緣無緣。	上 堂 僧 問 與 我 相 似 共 你 無 緣 且 道 今 日 有 緣 無 緣 
X69n1352_002:0315c06	師云相逢不飲酒。山花也笑人。僧云恁麼則相識滿	師 云 相 逢 不 飲 酒 山 花 也 笑 人 僧 云 恁 麼 則 相 識 滿 
X69n1352_002:0315c07	天下。知心能幾人。師云知心底事作麼生道。僧云不	天 下 知 心 能 幾 人 師 云 知 心 底 事 作 麼 生 道 僧 云 不 
X69n1352_002:0315c08	是冤家不聚頭。師云猶較些子。僧禮拜　師乃云。既	是 冤 家 不 聚 頭 師 云 猶 較 些 子 僧 禮 拜 師 乃 云 既 
X69n1352_002:0315c09	到這裏。還免得人道養子之緣麼。免得免不得。凜凜	到 這 裏 還 免 得 人 道 養 子 之 緣 麼 免 得 免 不 得 凜 凜 
X69n1352_002:0315c10	清風格。尀耐善財童。辜負他彌勒。	清 風 格 尀 耐 善 財 童 辜 負 他 彌 勒 
X69n1352_002:0315c11	上堂云。一二三四五。剩得太多。六七八九十。又却少	上 堂 云 一 二 三 四 五 剩 得 太 多 六 七 八 九 十 又 却 少 
X69n1352_002:0315c12	些子。且道。作麼生得向定盤星上。秤得恰好去。乃云。	些 子 且 道 作 麼 生 得 向 定 盤 星 上 秤 得 恰 好 去 乃 云 
X69n1352_002:0315c13	到頭霜夜月。任運落前溪。	到 頭 霜 夜 月 任 運 落 前 溪 
X69n1352_002:0315c14	上堂云。有為雖偽。棄之即道業不成。無為雖真。著之	上 堂 云 有 為 雖 偽 棄 之 即 道 業 不 成 無 為 雖 真 著 之 
X69n1352_002:0315c15	即慧性不明。古人若向者裏。借路經從。盡大地盡在	即 慧 性 不 明 古 人 若 向 者 裏 借 路 經 從 盡 大 地 盡 在 
X69n1352_002:0315c16	脚跟下。若向長安城裏。即賺殺一船人。諸人要見白	脚 跟 下 若 向 長 安 城 裏 即 賺 殺 一 船 人 諸 人 要 見 白 
X69n1352_002:0315c17	雲病老麼。乃云。時把一聲歸去笛。夜深吹過汨羅灣。	雲 病 老 麼 乃 云 時 把 一 聲 歸 去 笛 夜 深 吹 過 汨 羅 灣 
X69n1352_002:0315c18	上堂云。明明知道。只是這箇。為什麼透不過。只為見	上 堂 云 明 明 知 道 只 是 這 箇 為 什 麼 透 不 過 只 為 見 
X69n1352_002:0315c19	人開口時。便喚作言句。見人閉口時。便喚作良久默	人 開 口 時 便 喚 作 言 句 見 人 閉 口 時 便 喚 作 良 久 默 
X69n1352_002:0315c20	然。又道。動轉施為。開言吐氣。盡十方世界內。無不是	然 又 道 動 轉 施 為 開 言 吐 氣 盡 十方世界 內 無 不 是 
X69n1352_002:0315c21	自己。所以道。在途中隱隱。猶懷舊日嫌。豈不見。雲門	自 己 所 以 道 在 途 中 隱 隱 猶 懷 舊 日 嫌 豈 不 見 雲 門 
X69n1352_002:0315c22	大師道。聞聲悟道。見色明心。遂舉起手云。觀世音菩	大 師 道 聞 聲 悟 道 見 色 明 心 遂 舉 起 手 云 觀 世 音 菩 
X69n1352_002:0315c23	薩。把箇錢來買餬餅。放下手云。元來却是饅頭。又不	薩 把 箇 錢 來 買 餬 餅 放 下 手 云 元 來 却 是 饅 頭 又 不 
X69n1352_002:0315c24	見。山僧在法華時。甞有示眾道。無業禪師道。一毫頭	見 山 僧 在 法 華 時 甞 有 示 眾 道 無 業 禪 師 道 一 毫 頭 
X69n1352_002:0316a01	聖凡情念未盡。未免入驢胎馬腹裏去。大眾。直饒一	聖 凡 情 念 未 盡 未 免 入 驢 胎 馬 腹 裏 去 大 眾 直 饒 一 
X69n1352_002:0316a02	毫頭聖凡情念頓盡。亦未免入驢胎馬腹裏去。瞎漢。	毫 頭 聖 凡 情 念 頓 盡 亦 未 免 入 驢 胎 馬 腹 裏 去 瞎 漢 
X69n1352_002:0316a03	但恁麼看取。	但 恁 麼 看 取 
X69n1352_002:0316a04	掛院額上堂。僧問。天得一以清。地得一以寧。君王得	掛 院 額 上 堂 僧 問 天 得 一 以 清 地 得 一 以 寧 君 王 得 
X69n1352_002:0316a05	一以治天下。衲僧得一。堪作什麼。師云苗從地斷。僧	一 以 治 天 下 衲 僧 得 一 堪 作 什 麼 師 云 苗 從 地 斷 僧 
X69n1352_002:0316a06	云恁麼則寒來向火。飢來喫飯也。師云十萬八千。僧	云 恁 麼 則 寒 來 向 火 飢 來 喫 飯 也 師 云 十 萬 八 千 僧 
X69n1352_002:0316a07	云是。師云大眾見你。僧禮拜　師乃云。龍舒海會有	云 是 師 云 大 眾 見 你 僧 禮 拜 師 乃 云 龍 舒 海 會 有 
X69n1352_002:0316a08	新聞。金牓高懸耀白雲。樓閣不消彈指入。眉毛眼睫	新 聞 金 牓 高 懸 耀 白 雲 樓 閣 不 消 彈 指 入 眉 毛 眼 睫 
X69n1352_002:0316a09	要須分。眉毛眼睫。有長有短。直饒道不長不短。未出	要 須 分 眉 毛 眼 睫 有 長 有 短 直 饒 道 不 長 不 短 未 出 
X69n1352_002:0316a10	常見。更道長長短短。雪上加霜。且道如何即是。乃云分。	常 見 更 道 長 長 短 短 雪 上 加 霜 且 道 如 何 即 是 乃 云 分 
X69n1352_002:0316a11	上堂。舉溈山問仰山。甚處來。仰山云田中來。溈山云	上 堂 舉 溈 山 問 仰 山 甚 處 來 仰 山 云 田 中 來 溈 山 云 
X69n1352_002:0316a12	田中有多少人。仰山插鍬子叉手而立。溈山云今日	田 中 有 多 少 人 仰 山 插 鍬 子 叉 手 而 立 溈 山 云 今 日 
X69n1352_002:0316a13	南山大有人刈茅。仰山拔鍬便行。師云。仰山恁麼祗	南 山 大 有 人 刈 茅 仰 山 拔 鍬 便 行 師 云 仰 山 恁 麼 祗 
X69n1352_002:0316a14	對。不妨數目分明。只是插得鍬子太深。溈山也只是	對 不 妨 數 目 分 明 只 是 插 得 鍬 子 太 深 溈 山 也 只 是 
X69n1352_002:0316a15	要兩箇五百是一貫。且不是得箇驢兒便歡喜。何謂	要 兩 箇 五 百 是 一 貫 且 不 是 得 箇 驢 兒 便 歡 喜 何 謂 
X69n1352_002:0316a16	如此。家肥生孝子。國覇有謀臣。	如 此 家 肥 生 孝 子 國 覇 有 謀 臣 
X69n1352_002:0316a17	上堂云。開口時。末上一句正道著。舉步時。末上一步	上 堂 云 開 口 時 末 上 一 句 正 道 著 舉 步 時 末 上 一 步 
X69n1352_002:0316a18	正踏著。為甚鼻孔到底不正。只為尋常見他頑了。所	正 踏 著 為 甚 鼻 孔 到 底 不 正 只 為 尋 常 見 他 頑 了 所 
X69n1352_002:0316a19	以不肯發心。白雲今日勸諸人發却去。乃云一。	以 不 肯 發 心 白 雲 今 日 勸 諸 人 發 却 去 乃 云 一 
X69n1352_002:0316a20	上堂云。本是釣魚船上客。偶除鬚髮著袈裟。祖佛位	上 堂 云 本 是 釣 魚 船 上 客 偶 除 鬚 髮 著 袈 裟 祖 佛 位 
X69n1352_002:0316a21	中留不得。夜來依舊宿蘆花。依舊宿蘆花。有誰可共。	中 留 不 得 夜 來 依 舊 宿 蘆 花 依 舊 宿 蘆 花 有 誰 可 共 
X69n1352_002:0316a22	明月滿船無處問。沙鷗時呌兩三聲。	明 月 滿 船 無 處 問 沙 鷗 時 呌 兩 三 聲 
X69n1352_002:0316a23	上堂云。雲門舉。夾山道。一塵纔起。大地全收。鳥窠拈	上 堂 云 雲 門 舉 夾 山 道 一 塵 纔 起 大 地 全 收 鳥 窠 拈 
X69n1352_002:0316a24	布毛。便有人醒去。大眾。甚處不是雲門。雖然如是。更	布 毛 便 有 人 醒 去 大 眾 甚 處 不 是 雲 門 雖 然 如 是 更 
X69n1352_002:0316b01	須穿過鼻孔。卓拄杖一下。	須 穿 過 鼻 孔 卓 拄 杖 一 下 
X69n1352_002:0316b02	上堂云。直下分明。承當得了。被人道箇不是。便見參	上 堂 云 直 下 分 明 承 當 得 了 被 人 道 箇 不 是 便 見 參 
X69n1352_002:0316b03	差。不然亂有承當。不然忘前失後。且道病在甚處。只	差 不 然 亂 有 承 當 不 然 忘 前 失 後 且 道 病 在 甚 處 只 
X69n1352_002:0316b04	為未有透得時節。只這箇不是。泄盡天機。並無一點	為 未 有 透 得 時 節 只 這 箇 不 是 泄 盡 天 機 並 無 一 點 
X69n1352_002:0316b05	滲漏。良久云。不是不是。	滲 漏 良 久 云 不 是 不 是 
X69n1352_002:0316b06	上堂。舉雲門道。終日喫飰。不曾咬著一粒米。為什麼	上 堂 舉 雲 門 道 終 日 喫 飰 不 曾 咬 著 一 粒 米 為 什 麼 
X69n1352_002:0316b07	終日喫飰。不曾咬著一粒米。若道咬著。即與雲門相	終 日 喫 飰 不 曾 咬 著 一 粒 米 若 道 咬 著 即 與 雲 門 相 
X69n1352_002:0316b08	違。不唯與雲門相違。自己向甚處去也。若道不曾咬	違 不 唯 與 雲 門 相 違 自 己 向 甚 處 去 也 若 道 不 曾 咬 
X69n1352_002:0316b09	著。又作麼生得肚裏飽。要會麼。三德六味。施佛及僧。	著 又 作 麼 生 得 肚 裏 飽 要 會 麼 三 德 六 味 施 佛 及 僧 
X69n1352_002:0316b10	法界有情。普仝供養。	法 界 有 情 普 仝 供 養 
X69n1352_002:0316b11	上堂云。絲毫有趣皆能進。畢竟無歸若可當。逐日退	上 堂 云 絲 毫 有 趣 皆 能 進 畢 竟 無 歸 若 可 當 逐 日 退 
X69n1352_002:0316b12	身行興盡。忽然得見本爺娘。且作麼生是本爺娘。乃	身 行 興 盡 忽 然 得 見 本 爺 娘 且 作 麼 生 是 本 爺 娘 乃 
X69n1352_002:0316b13	云。萬福萬福。	云 萬 福 萬 福 
X69n1352_002:0316b14	上堂云。法法本來法。無法無非法。何於一法中。有法	上 堂 云 法 法 本 來 法 無 法 無 非 法 何 於 一 法 中 有 法 
X69n1352_002:0316b15	有不法。大眾。披袈裟底是僧。戴冠子底是道士。褁帽	有 不 法 大 眾 披 袈 裟 底 是 僧 戴 冠 子 底 是 道 士 褁 帽 
X69n1352_002:0316b16	子底是秀才。又道非僧非俗。非男女等相。又作麼生。	子 底 是 秀 才 又 道 非 僧 非 俗 非 男 女 等 相 又 作 麼 生 
X69n1352_002:0316b17	良久云。一氣不言含有像。萬靈何處謝無私。	良 久 云 一 氣 不 言 含 有 像 萬 靈 何 處 謝 無 私 
X69n1352_002:0316b18	上堂。舉甘贄行者常接待。凡有僧問行者接待不易。	上 堂 舉 甘 贄 行 者 常 接 待 凡 有 僧 問 行 者 接 待 不 易 
X69n1352_002:0316b19	行者云。譬如餧驢餧馬。琅邪覺和尚云。快把飯來。大	行 者 云 譬 如 餧 驢 餧 馬 琅 邪 覺 和 尚 云 快 把 飯 來 大 
X69n1352_002:0316b20	眾。琅邪有不犯之手。雖然如是。白雲即不然。譬如餧	眾 琅 邪 有 不 犯 之 手 雖 然 如 是 白 雲 即 不 然 譬 如 餧 
X69n1352_002:0316b21	驢餧馬。願行者長似今日。	驢 餧 馬 願 行 者 長 似 今 日 
X69n1352_002:0316b22	上堂云。一切障礙。即究竟覺。釋迦老子。不唧溜無用	上 堂 云 一 切 障 礙 即 究 竟 覺 釋 迦 老 子 不 唧 溜 無 用 
X69n1352_002:0316b23	處。被白雲拄杖子。穿過鼻孔也。且道還可恕也無。乃	處 被 白 雲 拄 杖 子 穿 過 鼻 孔 也 且 道 還 可 恕 也 無 乃 
X69n1352_002:0316b24	云。文殊自文殊。解脫自解脫。卓拄杖一下。	云 文 殊 自 文 殊 解 脫 自 解 脫 卓 拄 杖 一 下 
X69n1352_002:0316c01	上堂云。世間一切伎倆。手頭弄得熟後。自然方有餘	上 堂 云 世 間 一 切 伎 倆 手 頭 弄 得 熟 後 自 然 方 有 餘 
X69n1352_002:0316c02	態。且道。衲僧伎倆。手頭弄得熟後。有多少餘態。良。久	態 且 道 衲 僧 伎 倆 手 頭 弄 得 熟 後 有 多 少 餘 態 良 久 
X69n1352_002:0316c03	吹一聲。下座。	吹 一 聲 下 座 
X69n1352_002:0316c04	上堂云。舉起來便有親有疎。且道那箇是親。那箇是	上 堂 云 舉 起 來 便 有 親 有 疎 且 道 那 箇 是 親 那 箇 是 
X69n1352_002:0316c05	疎。良久云。嶮。	疎 良 久 云 嶮 
X69n1352_002:0316c06	上堂云。彌勒真彌勒。分身千百億。乃卓拄杖三下。時	上 堂 云 彌 勒 真 彌 勒 分 身 千 百 億 乃 卓 拄 杖 三 下 時 
X69n1352_002:0316c07	時示時人。時人自不識。卓拄杖下座。	時 示 時 人 時 人 自 不 識 卓 拄 杖 下 座 
X69n1352_002:0316c08	上堂云。太平堅不住。終老白雲間。第一便宜處。門前	上 堂 云 太 平 堅 不 住 終 老 白 雲 間 第 一 便 宜 處 門 前 
X69n1352_002:0316c09	有好山。等閒行一徧。勝服大還丹。為什麼勝服大還	有 好 山 等 閒 行 一 徧 勝 服 大 還 丹 為 什 麼 勝 服 大 還 
X69n1352_002:0316c10	丹。乃噫氣兩聲。	丹 乃 噫 氣 兩 聲 
X69n1352_002:0316c11	上堂。舉龍牙和尚云。一切名山到因脚。辛苦年深與	上 堂 舉 龍 牙 和 尚 云 一 切 名 山 到 因 脚 辛 苦 年 深 與 
X69n1352_002:0316c12	襪著。如今老大不能行。手裏把柄破木杓。師云。龍牙	襪 著 如 今 老 大 不 能 行 手 裏 把 柄 破 木 杓 師 云 龍 牙 
X69n1352_002:0316c13	老人。可謂熟處難忘。	老 人 可 謂 熟 處 難 忘 
X69n1352_002:0316c14	上堂。舉僧問楊歧。如何是不動尊。楊歧云。大眾齊著	上 堂 舉 僧 問 楊 歧 如 何 是 不 動 尊 楊 歧 云 大 眾 齊 著 
X69n1352_002:0316c15	力。白雲即不然。如何是不動尊。禮拜著。	力 白 雲 即 不 然 如 何 是 不 動 尊 禮 拜 著 
X69n1352_002:0316c16	上堂。舉洞山和尚云。天晴蓋却屋。乘時刈却禾。輸賦	上 堂 舉 洞 山 和 尚 云 天 晴 蓋 却 屋 乘 時 刈 却 禾 輸 賦 
X69n1352_002:0316c17	皇祖了。皷腹唱謳歌。大眾且道。洞山聰禪老。何似白	皇 祖 了 皷 腹 唱 謳 歌 大 眾 且 道 洞 山 聰 禪 老 何 似 白 
X69n1352_002:0316c18	雲老。	雲 老 
X69n1352_002:0316c19	黃梅楊長官請上堂。僧問。炎雲乍捲。玉露初垂。賢宰	黃 梅 楊 長 官 請 上 堂 僧 問 炎 雲 乍 捲 玉 露 初 垂 賢 宰 
X69n1352_002:0316c20	臨筵。請師說法。師云松柏唯高唯斂。僧云便恁麼去	臨 筵 請 師 說 法 師 云 松 柏 唯 高 唯 斂 僧 云 便 恁 麼 去 
X69n1352_002:0316c21	時如何。師云汝見青青見什麼。僧云歲久見人心。師	時 如 何 師 云 汝 見 青 青 見 什 麼 僧 云 歲 久 見 人 心 師 
X69n1352_002:0316c22	云更子細道看。僧云却請和尚道。師云恁麼禪客。且	云 更 子 細 道 看 僧 云 却 請 和 尚 道 師 云 恁 麼 禪 客 且 
X69n1352_002:0316c23	在半途。乃云。自古自今。說理說事者。如稻麻竹葦。會	在 半 途 乃 云 自 古 自 今 說 理 說 事 者 如 稻 麻 竹 葦 會 
X69n1352_002:0316c24	禪者。更比比然。俱是討一箇家裏人。如天上揀月相	禪 者 更 比 比 然 俱 是 討 一 箇 家 裏 人 如 天 上 揀 月 相 
X69n1352_002:0317a01	似。黃梅賢宰楊次公。聞名十載有餘。夜來忽蒙訪及。	似 黃 梅 賢 宰 楊 次 公 聞 名 十 載 有 餘 夜 來 忽 蒙 訪 及 
X69n1352_002:0317a02	元來却是一箇本分家裏人。杓柄長短。鍋子大小。雖	元 來 却 是 一 箇 本 分 家 裏 人 杓 柄 長 短 鍋 子 大 小 雖 
X69n1352_002:0317a03	然未曾一一點過。看他數目。也甚分明。可謂如在東	然 未 曾 一 一 點 過 看 他 數 目 也 甚 分 明 可 謂 如 在 東 
X69n1352_002:0317a04	溪日。花開葉落時。幾擬將黃金。鑄作鍾子期。昨來當	溪 日 花 開 葉 落 時 幾 擬 將 黃 金 鑄 作 鍾 子 期 昨 來 當 
X69n1352_002:0317a05	塗郭公甫來。曾舉上大人一徧。今日次公來。更須舉	塗 郭 公 甫 來 曾 舉 上 大 人 一 徧 今 日 次 公 來 更 須 舉 
X69n1352_002:0317a06	一徧。夜凉堂上忽聞人呌喚。黃梅楊長官。來到白雲	一 徧 夜 凉 堂 上 忽 聞 人 呌 喚 黃 梅 楊 長 官 來 到 白 雲 
X69n1352_002:0317a07	畔。久聞竊我宗。未得當面斷。一夜燈火前。行過舊公	畔 久 聞 竊 我 宗 未 得 當 面 斷 一 夜 燈 火 前 行 過 舊 公 
X69n1352_002:0317a08	案。所犯一一招。也要眾人看。鼻直權骨高。一箇沒量	案 所 犯 一 一 招 也 要 眾 人 看 鼻 直 權 骨 高 一 箇 沒 量 
X69n1352_002:0317a09	漢。何日履亨衢。吾道聊輝煥。共唱太平歌。掃盡天下	漢 何 日 履 亨 衢 吾 道 聊 輝 煥 共 唱 太 平 歌 掃 盡 天 下 
X69n1352_002:0317a10	亂。文章不礙他。兼能大衍筭。兩箇五伯文。依前是一	亂 文 章 不 礙 他 兼 能 大 衍 筭 兩 箇 五 伯 文 依 前 是 一 
X69n1352_002:0317a11	貫。	貫 
X69n1352_002:0317a12	上堂。僧問。禁足九旬今已滿。蠟人輕重請師分。師云	上 堂 僧 問 禁 足 九 旬 今 已 滿 蠟 人 輕 重 請 師 分 師 云 
X69n1352_002:0317a13	自己施為猶不可。誰能更去管閒人。僧云恁麼則斤	自 己 施 為 猶 不 可 誰 能 更 去 管 閒 人 僧 云 恁 麼 則 斤 
X69n1352_002:0317a14	兩分明。師云相逢盡道休官去。林下何曾見一人。僧	兩 分 明 師 云 相 逢 盡 道 休 官 去 林 下 何 曾 見 一 人 僧 
X69n1352_002:0317a15	云六六三十六。師云更道看。僧云一二三。師云。大眾	云 六 六 三 十 六 師 云 更 道 看 僧 云 一 二 三 師 云 大 眾 
X69n1352_002:0317a16	證明。乃云。白雲又得一夏。說盡靈山舊話。雖然移東	證 明 乃 云 白 雲 又 得 一 夏 說 盡 靈 山 舊 話 雖 然 移 東 
X69n1352_002:0317a17	補西。直到如今話覇。	補 西 直 到 如 今 話 覇 
X69n1352_002:0317a18	上堂云。吾本來茲土。傳法救迷情。祖師豈不知有。一	上 堂 云 吾 本 來 茲 土 傳 法 救 迷 情 祖 師 豈 不 知 有 一 
X69n1352_002:0317a19	花開五葉。結果自然成。因風吹火。用力不多。	花 開 五 葉 結 果 自 然 成 因 風 吹 火 用 力 不 多 
X69n1352_002:0317a20	上堂云。忌口自然諸病減。多情未免有時勞。貧居動	上 堂 云 忌 口 自 然 諸 病 減 多 情 未 免 有 時 勞 貧 居 動 
X69n1352_002:0317a21	便成違順。祇得清閒一味高。雖然如是。莫謂無心云	便 成 違 順 祇 得 清 閒 一 味 高 雖 然 如 是 莫 謂 無 心 云 
X69n1352_002:0317a22	是道。無心猶隔一重關。	是 道 無 心 猶 隔 一 重 關 
X69n1352_002:0317a23	上堂云。諸人每日見底。諸人每日用底。如從天上降	上 堂 云 諸 人 每 日 見 底 諸 人 每 日 用 底 如 從 天 上 降 
X69n1352_002:0317a24	下。地中涌出。緜緜然無絲毫間斷。可謂古釋迦不前。	下 地 中 涌 出 緜 緜 然 無 絲 毫 間 斷 可 謂 古 釋 迦 不 前 
X69n1352_002:0317b01	今彌勒不後。白雲病老。打底不遇作家。到底飜成骨	今 彌 勒 不 後 白 雲 病 老 打 底 不 遇 作 家 到 底 飜 成 骨 
X69n1352_002:0317b02	董。	董 
X69n1352_002:0317b03	上堂云。圓成沈識海。既是圓成。為甚却沈識海。遂拈	上 堂 云 圓 成 沈 識 海 既 是 圓 成 為 甚 却 沈 識 海 遂 拈 
X69n1352_002:0317b04	拄杖云。只為喚者箇作拄杖子。且道如何得依舊位	拄 杖 云 只 為 喚 者 箇 作 拄 杖 子 且 道 如 何 得 依 舊 位 
X69n1352_002:0317b05	去。乃竪起拄杖云。拄杖子拄杖子。	去 乃 竪 起 拄 杖 云 拄 杖 子 拄 杖 子 
X69n1352_002:0317b06	上堂云。叮嚀損君德。無依真有功。任從滄海變。終不	上 堂 云 叮 嚀 損 君 德 無 依 真 有 功 任 從 滄 海 變 終 不 
X69n1352_002:0317b07	為君通。者箇是黃泥。那箇是白石。	為 君 通 者 箇 是 黃 泥 那 箇 是 白 石 
X69n1352_002:0317b08	上堂云。從來共住不知名。齪漢。任運相將只麼行。一	上 堂 云 從 來 共 住 不 知 名 齪 漢 任 運 相 將 只 麼 行 一 
X69n1352_002:0317b09	脚在前。一脚在後。自古上賢猶不識。端的也未。造次	脚 在 前 一 脚 在 後 自 古 上 賢 猶 不 識 端 的 也 未 造 次 
X69n1352_002:0317b10	凡流豈可明。錦上更添花。	凡 流 豈 可 明 錦 上 更 添 花 
X69n1352_002:0317b11	上堂。舉僧報趙州和尚。大王來看和尚。趙州云。大王	上 堂 舉 僧 報 趙 州 和 尚 大 王 來 看 和 尚 趙 州 云 大 王 
X69n1352_002:0317b12	萬福。僧云。大王未來。趙州云。又道大王來也。其僧罔	萬 福 僧 云 大 王 未 來 趙 州 云 又 道 大 王 來 也 其 僧 罔 
X69n1352_002:0317b13	措。師云。其僧雖然罔措。爭奈王令已行。王令已行。即	措 師 云 其 僧 雖 然 罔 措 爭 奈 王 令 已 行 王 令 已 行 即 
X69n1352_002:0317b14	海晏河清。且道海宴河清一句作麼生道。乃云。野老	海 晏 河 清 且 道 海 宴 河 清 一 句 作 麼 生 道 乃 云 野 老 
X69n1352_002:0317b15	不知堯舜力。鼕鼕打皷祭江神。	不 知 堯 舜 力 鼕 鼕 打 皷 祭 江 神 
X69n1352_002:0317b16	上堂。舉僧問六祖。黃梅意旨。是什麼人得。六祖云。會	上 堂 舉 僧 問 六 祖 黃 梅 意 旨 是 什 麼 人 得 六 祖 云 會 
X69n1352_002:0317b17	佛法人得。僧云師還得否。祖云我不得。僧云為什麼	佛 法 人 得 僧 云 師 還 得 否 祖 云 我 不 得 僧 云 為 什 麼 
X69n1352_002:0317b18	不得。祖云我不會佛法。大眾。還識祖師麼。	不 得 祖 云 我 不 會 佛 法 大 眾 還 識 祖 師 麼 
X69n1352_002:0317b19	上堂。舉長沙和尚遊山迴。首座問。和尚甚處去來。長	上 堂 舉 長 沙 和 尚 遊 山 迴 首 座 問 和 尚 甚 處 去 來 長 
X69n1352_002:0317b20	沙云。始隨芳艸去。又逐落花迴。首座云。大似春意。長	沙 云 始 隨 芳 艸 去 又 逐 落 花 迴 首 座 云 大 似 春 意 長 
X69n1352_002:0317b21	沙云。也勝秋露滴芙蕖。大眾且道。長沙在春夏秋冬	沙 云 也 勝 秋 露 滴 芙 蕖 大 眾 且 道 長 沙 在 春 夏 秋 冬 
X69n1352_002:0317b22	中。不在春夏秋冬中。要會麼。一氣不言含有象。萬靈	中 不 在 春 夏 秋 冬 中 要 會 麼 一 氣 不 言 含 有 象 萬 靈 
X69n1352_002:0317b23	何處謝無私。	何 處 謝 無 私 
X69n1352_002:0317b24	上堂。舉僧問洞山和尚。寒暑到來。如何迴避。洞山云。	上 堂 舉 僧 問 洞 山 和 尚 寒 暑 到 來 如 何 迴 避 洞 山 云 
X69n1352_002:0317c01	何不向無寒暑處去。僧云。如何是無寒暑處。洞山云。	何 不 向 無 寒 暑 處 去 僧 云 如 何 是 無 寒 暑 處 洞 山 云 
X69n1352_002:0317c02	寒時寒殺闍黎。熱時熱殺闍黎。洞山老。人偏向枯木上	寒 時 寒 殺 闍 黎 熱 時 熱 殺 闍 黎 洞 山 老 人 偏 向 枯 木 上 
X69n1352_002:0317c03	生春。作麼生下手。白雲今日與你下手。今日是開鑪。	生 春 作 麼 生 下 手 白 雲 今 日 與 你 下 手 今 日 是 開 鑪 
X69n1352_002:0317c04	上堂。舉百丈和尚云。汝等為我開田。吾為汝等說大	上 堂 舉 百 丈 和 尚 云 汝 等 為 我 開 田 吾 為 汝 等 說 大 
X69n1352_002:0317c05	義。一日眾開田了云。開田已竟。請和尚說大義。百丈	義 一 日 眾 開 田 了 云 開 田 已 竟 請 和 尚 說 大 義 百 丈 
X69n1352_002:0317c06	展開兩手行數步。大眾。百丈如是說大義。諸人還記	展 開 兩 手 行 數 步 大 眾 百 丈 如 是 說 大 義 諸 人 還 記 
X69n1352_002:0317c07	得麼。今日白雲重為諸人說過。常憐百丈解開田。今	得 麼 今 日 白 雲 重 為 諸 人 說 過 常 憐 百 丈 解 開 田 今 
X69n1352_002:0317c08	古行人手裡傳。誰道舌頭曾不動。五音六律太周旋。	古 行 人 手 裡 傳 誰 道 舌 頭 曾 不 動 五 音 六 律 太 周 旋 
X69n1352_002:0317c09	上堂云。大道只在目前。要且目前難覩。欲識大道真	上 堂 云 大 道 只 在 目 前 要 且 目 前 難 覩 欲 識 大 道 真 
X69n1352_002:0317c10	體。不離聲色言語。拈起拄杖云。者箇是拄杖子。阿那	體 不 離 聲 色 言 語 拈 起 拄 杖 云 者 箇 是 拄 杖 子 阿 那 
X69n1352_002:0317c11	箇是大道真體。將箇什麼識想。你者一隊漆桶。臈月	箇 是 大 道 真 體 將 箇 什 麼 識 想 你 者 一 隊 漆 桶 臈 月 
X69n1352_002:0317c12	三十日。只認得驢鞍橋。作阿爺下頷。乃喝云。去。	三 十 日 只 認 得 驢 鞍 橋 作 阿 爺 下 頷 乃 喝 云 去 
X69n1352_002:0317c13	上堂云。言之者失其真。知之者返其愚。有之者乖其	上 堂 云 言 之 者 失 其 真 知 之 者 返 其 愚 有 之 者 乖 其 
X69n1352_002:0317c14	性。無之者傷其軀。若也會得。因風吹火。用力不多。若	性 無 之 者 傷 其 軀 若 也 會 得 因 風 吹 火 用 力 不 多 若 
X69n1352_002:0317c15	也不會。秋水共長天一色。然雖如是。有時乘好月。不	也 不 會 秋 水 共 長 天 一 色 然 雖 如 是 有 時 乘 好 月 不 
X69n1352_002:0317c16	覺過滄州。	覺 過 滄 州 
X69n1352_002:0317c17	演首座受四面請。上堂云。年年秋暑甚如初。何事清	演 首 座 受 四 面 請 上 堂 云 年 年 秋 暑 甚 如 初 何 事 清 
X69n1352_002:0317c18	凉特有餘。盡是當人心地感。不虗把手在龍舒。且道。	凉 特 有 餘 盡 是 當 人 心 地 感 不 虗 把 手 在 龍 舒 且 道 
X69n1352_002:0317c19	把手一句作麼生道。良久云。行到水窮處。坐看雲起	把 手 一 句 作 麼 生 道 良 久 云 行 到 水 窮 處 坐 看 雲 起 
X69n1352_002:0317c20	時。	時 
X69n1352_002:0317c21	上堂云。秋色凄清。早晚愈凉。信知節氣不相饒。林間	上 堂 云 秋 色 凄 清 早 晚 愈 凉 信 知 節 氣 不 相 饒 林 間 
X69n1352_002:0317c22	學道之士。飢則喫飯。寒則添衣。殊不知。世間有苦樂	學 道 之 士 飢 則 喫 飯 寒 則 添 衣 殊 不 知 世 間 有 苦 樂 
X69n1352_002:0317c23	者。且道如何得知苦樂去。乃云。只知事逐眼前過。不	者 且 道 如 何 得 知 苦 樂 去 乃 云 只 知 事 逐 眼 前 過 不 
