X46n0776_001:0165a03	 序說	 序 說 
X46n0776_002:0184b01	應廣通達。如是如是隨隨如如。後後諸位例前應知。	應 廣 通 達 如是如是 隨 隨 如 如 後 後 諸 位 例 前 應 知 
X46n0776_002:0184b02	如偈以信心為初。如次率自類。取所餘位初。至於定	如 偈 以 信 心 為 初 如 次 率 自 類 取 所 餘 位 初 至 於 定 
X46n0776_002:0184b03	心位。則取如來地故。(長行五段因果名稱。即偈中初五句之演義也。以此類推。則二	心 位 則 取 如 來 地 故 長 行 五 段 因 果 名 稱 即 偈 中 初 五 句 之 演 義 也 以 此 類 推 則 二 
X46n0776_002:0184b04	十四位可以意會。能生長因。通名種子海會。所莊嚴果通名無二山王。可知此法。從初信位即證佛果。不待初	十 四 位 可 以 意 會 能 生 長 因 通 名 種 子 海 會 所 莊 嚴 果 通 名 無 二 山 王 可 知 此 法 從 初 信 位 即 證 佛 果 不 待 初 
X46n0776_002:0184b05	住也。所說如是諸佛。即此信等所成之佛。唯三大事漸增數量。下文一。十。百。千。萬。億。十億。百億。千億。萬億。以表	住 也 所 說 如 是 諸 佛 即 此 信 等 所 成 之 佛 唯 三 大 事 漸 增 數 量 下 文 一 十 百 千 萬 億 十 億 百 億 千 億 萬 億 以 表 
X46n0776_002:0184b06	勝進之階差耳○他經言地前菩薩。一行中修一行。謂以當位行為本。兼修餘一行。即是此文二因一果之義。	勝 進 之 階 差 耳 他 經 言 地 前 菩 薩 一 行 中 修 一 行 謂 以 當 位 行 為 本 兼 修 餘 一 行 即 是 此 文 二 因 一 果 之 義 
X46n0776_002:0184b07	初地至七地。一行中修一切行八地已去。一切行中修一切行。可與此論參觀)如是已說二	初 地 至 七 地 一 行 中 修 一 切 行 八 地 已 去 一 切 行 中 修 一 切 行 可 與 此 論 參 觀 如 是 已 說 二 
X46n0776_002:0184b08	因一果門。次當說一因一果門。其相云何。偈曰。	因 一 果 門 次 當 說 一 因 一 果 門 其相云何 偈 曰 
X46n0776_002:0184b09	　五十一種位　　各不待他力　　獨住自家中	 五 十 一 種 位 各 不 待 他 力 獨 住 自 家 中 
X46n0776_002:0184b10	　感得一果故　　因及果名字　　如其次第加	 感 得 一 果 故 因 及 果 名 字 如 其 次 第 加 
X46n0776_002:0184b11	　種子大覺故　　配釋應了知　　次第同前說	 種 子 大 覺 故 配 釋 應 了 知 次 第 同 前 說 
X46n0776_002:0184b12	　增減不同耳	 增 減 不 同 耳 
X46n0776_002:0184b13	論曰。今此偈中為明何義。為欲現示因果二法。數量	論 曰 今 此 偈 中 為 明 何 義 為 欲 現 示 因 果 二 法 數 量 
X46n0776_002:0184b14	契當莊嚴覺道。三寶之海轉廣大故。如偈五十一種	契 當 莊 嚴 覺 道 三 寶 之 海 轉 廣 大 故 如 偈 五 十 一 種 
X46n0776_002:0184b15	位。各不待他力。獨住自家中。感得一果故故。因及果	位 各 不 待 他 力 獨 住 自 家 中 感 得 一 果 故 故 因 及 果 
X46n0776_002:0184b16	稱。於本名字。加種子大覺之稱故。如偈因及果名字。	稱 於 本 名 字 加 種 子 大 覺 之 稱 故 如 偈 因 及 果 名 字 
X46n0776_002:0184b17	如其次第加種子大覺故。配釋應了知故。次第轉相	如 其 次 第 加 種 子 大 覺 故 配 釋 應 了 知 故 次 第 轉 相 
X46n0776_002:0184b18	與前所說。等無差別。唯增數量減敬量別各不同耳。	與 前 所 說 等 無 差 別 唯 增 數 量 減 敬 量 別 各 不 同 耳 
X46n0776_002:0184b19	如偈次第同前說。增減不同耳故。如是諸佛。皆悉各	如 偈 次 第 同 前 說 增 減 不 同 耳 故 如 是 諸 佛 皆 悉 各 
X46n0776_002:0184b20	各作三大事。名同前說。義有不同。言興化者。出興十	各 作 三 大 事 名 同 前 說 義 有 不 同 言 興 化 者 出 興 十 
X46n0776_002:0184b21	十方世界之塵量變化身故。言說法者。宣說十十方	十方世界 之 塵 量 變 化 身 故 言 說 法 者 宣 說 十 十 方 
X46n0776_002:0184b22	世界之塵量各各因位法門海故。言勝進者。向上上	世 界 之 塵 量 各 各 因 位 法 門 海 故 言 勝 進 者 向 上 上 
X46n0776_002:0184b23	位如次入故。就變化身中。亦有此三事。應廣通達。如	位 如 次 入 故 就 變 化 身 中 亦 有 此 三 事 應 廣 通 達 如 
X46n0776_002:0184b24	是已說一因一果門。次當說少因多果門。其相云何。	是 已 說 一 因 一 果 門 次 當 說 少 因 多 果 門 其相云何 
X46n0776_002:0184c01	偈曰。	偈 曰 
X46n0776_002:0184c02	　五十一位中　　一一皆各各　　感五十果位	 五 十 一 位 中 一 一 皆 各 各 感 五 十 果 位 
X46n0776_002:0184c03	　名少因多果	 名 少 因 多 果 
X46n0776_002:0184c04	論曰。今此門中為明何義。為欲現示唯一種因感五	論 曰 今 此 門 中 為 明 何 義 為 欲 現 示 唯 一 種 因 感 五 
X46n0776_002:0184c05	十果。無礙自在無所闕失。三寶之海轉廣大故。如偈	十 果 無 礙 自 在 無 所 闕 失 三 寶 之 海 轉 廣 大 故 如 偈 
X46n0776_002:0184c06	五十一位中。一一皆各各。感五十果位。名少因多果	五 十 一 位 中 一 一 皆 各 各 感 五 十 果 位 名 少 因 多 果 
X46n0776_002:0184c07	故。如是諸佛。皆悉各各作三大事。名如前說。義有不	故 如 是 諸 佛 皆 悉 各 各 作 三 大 事 名 如 前 說 義 有 不 
X46n0776_002:0184c08	同。言興化者。出興百十方世界之塵量變化身故。言	同 言 興 化 者 出 興 百 十方世界 之 塵 量 變 化 身 故 言 
X46n0776_002:0184c09	說法者。宣說百十方世界之塵量各各因位法門海	說 法 者 宣 說 百 十方世界 之 塵 量 各 各 因 位 法 門 海 
X46n0776_002:0184c10	故。言勝進者。向上上位如次入故。就變化中。有此三	故 言 勝 進 者 向 上 上 位 如 次 入 故 就 變 化 中 有 此 三 
X46n0776_002:0184c11	事。應廣通達。如是已說少因多果門。次當說因果一	事 應 廣 通 達 如 是 已 說 少 因 多 果 門 次 當 說 因 果 一 
X46n0776_002:0184c12	味門。其相云何。偈曰。	味 門 其相云何 偈 曰 
X46n0776_002:0184c13	　五十一位中　　一一皆各各　　有五百果海	 五 十 一 位 中 一 一 皆 各 各 有 五 百 果 海 
X46n0776_002:0184c14	　五百果海中　　一一皆各各　　有五百因海	 五 百 果 海 中 一 一 皆 各 各 有 五 百 因 海 
X46n0776_002:0184c15	　如是平等故　　名因果一味	 如 是 平 等 故 名 因 果 一 味 
X46n0776_002:0184c16	論曰。今此門中為明何義。為欲現示因果二法。數量	論 曰 今 此 門 中 為 明 何 義 為 欲 現 示 因 果 二 法 數 量 
X46n0776_002:0184c17	契當無有增減。三寶之海轉廣大故。如偈五十一位	契 當 無 有 增 減 三 寶 之 海 轉 廣 大 故 如 偈 五 十 一 位 
X46n0776_002:0184c18	中。一一皆各各。有五百果海。五百果海中。一一皆各	中 一 一 皆 各 各 有 五 百 果 海 五 百 果 海 中 一 一 皆 各 
X46n0776_002:0184c19	各。有五百因海。如是平等故。名因果一味故(五十一位。各各	各 有 五 百 因 海 如 是 平 等 故 名 因 果 一 味 故 五 十 一 位 各 各 
X46n0776_002:0184c20	有五百果海。則成二萬五千五百果海。一一果海。各各有五百因海。則成一百二十七億五萬因海。即是一為	有 五 百 果 海 則 成 二 萬 五 千 五 百 果 海 一 一 果 海 各 各 有 五 百 因 海 則 成 一 百 二 十 七 億 五 萬 因 海 即 是 一 為 
X46n0776_002:0184c21	無量之義也)。如是諸佛。所作三事。亦復同前。唯義異耳。所	無 量 之 義 也 如 是 諸 佛 所 作 三 事 亦 復 同 前 唯 義 異 耳 所 
X46n0776_002:0184c22	謂千故。變化身相。亦復如是。如是已說因果一味門。	謂 千 故 變 化 身 相 亦復如是 如 是 已 說 因 果 一 味 門 
X46n0776_002:0184c23	次當說無因無果門。其相云何。偈曰。	次 當 說 無 因 無 果 門 其相云何 偈 曰 
X46n0776_002:0184c24	　五十一位法　　非因亦非果　　生千因果法	 五 十 一 位 法 非 因 亦 非 果 生 千 因 果 法 
X46n0776_002:0185a01	　名無因無果	 名 無 因 無 果 
X46n0776_002:0185a02	論曰。今此門中為明何義。為欲現示五十一位。因而	論 曰 今 此 門 中 為 明 何 義 為 欲 現 示 五 十 一 位 因 而 
X46n0776_002:0185a03	不有果因。出生千因之大海。果而不有因果。出生千	不 有 果 因 出 生 千 因 之 大 海 果 而 不 有 因 果 出 生 千 
X46n0776_002:0185a04	果之大海。三寶之海轉廣大故。如偈五十一位法。非	果 之 大 海 三 寶 之 海 轉 廣 大 故 如 偈 五 十 一 位 法 非 
X46n0776_002:0185a05	因亦非果。生千因果法。名無因無果故(因必有果。果必有因。盡人	因 亦 非 果 生 千 因 果 法 名 無 因 無 果 故 因 必 有 果 果 必 有 因 盡 人 
X46n0776_002:0185a06	而知也。忽說無果之因。出生千因。無因之果出生千果。則出人意外矣。因從無果生。果從無因生。故名無因無	而 知 也 忽 說 無 果 之 因 出 生 千 因 無 因 之 果 出 生 千 果 則 出 人 意 外 矣 因 從 無 果 生 果 從 無 因 生 故 名 無 因 無 
X46n0776_002:0185a07	果。豈通途教義所能攝哉)。如是諸佛。所作三事。亦復同前。唯義異	果 豈 通 途 教 義 所 能 攝 哉 如 是 諸 佛 所 作 三 事 亦 復 同 前 唯 義 異 
X46n0776_002:0185a08	耳。所謂萬故。如是已說無因無果門。次當說自然安	耳 所 謂 萬 故 如 是 已 說 無 因 無 果 門 次 當 說 自 然 安 
X46n0776_002:0185a09	住門。其相云何。偈曰。	住 門 其相云何 偈 曰 
X46n0776_002:0185a10	　五十一位中　　一一皆各各　　經無量劫轉	 五 十 一 位 中 一 一 皆 各 各 經 無 量 劫 轉 
X46n0776_002:0185a11	　不出自家故	 不 出 自 家 故 
X46n0776_002:0185a12	論曰。今此門中為明何義。為欲現示位位皆各經無	論 曰 今 此 門 中 為 明 何 義 為 欲 現 示 位 位 皆 各 經 無 
X46n0776_002:0185a13	量劫。以修行成道等事轉。無其分際。三寶之海轉廣	量 劫 以 修 行 成 道 等 事 轉 無 其 分 際 三 寶 之 海 轉 廣 
X46n0776_002:0185a14	大故。如偈五十一位中。一一皆各各。經無量劫轉。不	大 故 如 偈 五 十 一 位 中 一 一 皆 各 各 經 無 量 劫 轉 不 
X46n0776_002:0185a15	出自家故故(判教雖有頓漸。莫不捨劣而趣勝。今此文中。五十一位。皆經多劫而無分際。不	出 自 家 故 故 判 教 雖 有 頓 漸 莫 不 捨 劣 而 趣 勝 今 此 文 中 五 十 一 位 皆 經 多 劫 而 無 分 際 不 
X46n0776_002:0185a16	但果位無盡。即因位亦無盡矣。又云不出自家者。一一白白。不雜不亂。故名自然安住門也)。如是	但 果 位 無 盡 即 因 位 亦 無 盡 矣 又 云 不 出 自 家 者 一 一 白 白 不 雜 不 亂 故 名 自 然 安 住 門 也 如 是 
X46n0776_002:0185a17	諸佛。所作三事。亦復同前。唯義異耳。所謂億故。如是	諸 佛 所 作 三 事 亦 復 同 前 唯 義 異 耳 所 謂 億 故 如 是 
X46n0776_002:0185a18	已說自然安住門。次當說因果門。其相云何。偈曰。	已 說 自 然 安 住 門 次 當 說 因 果 門 其相云何 偈 曰 
X46n0776_002:0185a19	　生五十一位　　生五十一位　　所生無盡故	 生 五 十 一 位 生 五 十 一 位 所 生 無 盡 故 
X46n0776_002:0185a20	　名為因果門	 名 為 因 果 門 
X46n0776_002:0185a21	論曰。今此門中為明何義。為欲現示能生能生無有	論 曰 今 此 門 中 為 明 何 義 為 欲 現 示 能 生 能 生 無 有 
X46n0776_002:0185a22	窮盡。所生所生無有窮盡。三寶之海轉廣大故。如偈	窮 盡 所 生 所 生 無 有 窮 盡 三 寶 之 海 轉 廣 大 故 如 偈 
X46n0776_002:0185a23	生五十一位。生五十一位。所生無盡故。名為因果門	生 五 十 一 位 生 五 十 一 位 所 生 無 盡 故 名 為 因 果 門 
X46n0776_002:0185a24	故。如是諸佛。所作三事。亦復同前。唯義異耳。謂十億	故 如 是 諸 佛 所 作 三 事 亦 復 同 前 唯 義 異 耳 謂 十 億 
X46n0776_002:0185b01	故。如是已說因果門。次當說果因門。其相云何。偈曰。	故 如 是 已 說 因 果 門 次 當 說 果 因 門 其相云何 偈 曰 
X46n0776_002:0185b02	　此義例前了　　無別意趣耳　　唯有數量增	 此 義 例 前 了 無 別 意 趣 耳 唯 有 數 量 增 
X46n0776_002:0185b03	　住心應觀察	 住 心 應 觀 察 
X46n0776_002:0185b04	論曰。今此門中為明何義。為欲現示五十一位亦因	論 曰 今 此 門 中 為 明 何 義 為 欲 現 示 五 十 一 位 亦 因 
X46n0776_002:0185b05	亦果。各生無盡無盡因果大海法門。三寶之海轉廣	亦 果 各 生 無 盡 無 盡 因 果 大 海 法 門 三 寶 之 海 轉 廣 
X46n0776_002:0185b06	大故。如偈唯有數量增故。如是諸佛。所作三事。亦復	大 故 如 偈 唯 有 數 量 增 故 如 是 諸 佛 所 作 三 事 亦 復 
X46n0776_002:0185b07	同前。唯義異耳。謂百億故。如是已說果因門。次當說	同 前 唯 義 異 耳 謂 百 億 故 如 是 已 說 果 因 門 次 當 說 
X46n0776_002:0185b08	言說門。其相云何。偈曰。	言 說 門 其相云何 偈 曰 
X46n0776_002:0185b09	　一切三寶海　　皆悉起言說　　無有窮盡故	 一 切 三 寶 海 皆 悉 起 言 說 無 有 窮 盡 故 
X46n0776_002:0185b10	　名為言說門	 名 為 言 說 門 
X46n0776_002:0185b11	論曰。今此門中為明何義。為欲現示一切三寶。皆悉	論 曰 今 此 門 中 為 明 何 義 為 欲 現 示 一 切 三 寶 皆 悉 
X46n0776_002:0185b12	各各宣說無盡僧海。無盡法海。無盡覺海。三寶之海	各 各 宣 說 無 盡 僧 海 無 盡 法 海 無 盡 覺 海 三 寶 之 海 
X46n0776_002:0185b13	轉廣大故。如偈一切三寶海。皆悉起言說。無有窮盡	轉 廣 大 故 如 偈 一 切 三 寶 海 皆 悉 起 言 說 無 有 窮 盡 
X46n0776_002:0185b14	故。名為言說門故(僧海。因也。法海。修因證果之路也。覺海。所得之果也。宣說因果之法。	故 名 為 言 說 門 故 僧 海 因 也 法 海 修 因 證 果 之 路 也 覺 海 所 得 之 果 也 宣 說 因 果 之 法 
X46n0776_002:0185b15	名為言說門)。如是諸三寶。所作三事。亦復同前。唯義異耳。	名 為 言 說 門 如 是 諸 三 寶 所 作 三 事 亦 復 同 前 唯 義 異 耳 
X46n0776_002:0185b16	謂千億故。如是已說言說門。次當說言人門其相云	謂 千 億 故 如 是 已 說 言 說 門 次 當 說 言 人 門 其 相 云 
X46n0776_002:0185b17	何。偈曰。	何 偈 曰 
X46n0776_002:0185b18	　一切三寶說　　如說量作人　　無有窮盡故	 一 切 三 寶 說 如 說 量 作 人 無 有 窮 盡 故 
X46n0776_002:0185b19	　名為言人門	 名 為 言 人 門 
X46n0776_002:0185b20	論曰。今此偈中為明何義。為欲現示如前所說諸三	論 曰 今 此 偈 中 為 明 何 義 為 欲 現 示 如前所說 諸 三 
X46n0776_002:0185b21	寶說。如所說量造作行者無有窮盡。三寶之海轉廣	寶 說 如 所 說 量 造 作 行 者 無 有 窮 盡 三 寶 之 海 轉 廣 
X46n0776_002:0185b22	大故。如偈一切三寶說。如說量作人。無有窮盡故。名	大 故 如 偈 一 切 三 寶 說 如 說 量 作 人 無 有 窮 盡 故 名 
X46n0776_002:0185b23	為言人門故(以言說門覺悟有情。令得道果。輾轉相傳。無有窮盡)。如是諸人成	為 言 人 門 故 以 言 說 門 覺 悟 有 情 令 得 道 果 輾 轉 相 傳 無 有 窮 盡 如 是 諸 人 成 
X46n0776_002:0185b24	道已訖。所作三事。亦復同前。唯義異耳。謂萬億故(引經	道 已 訖 所 作 三 事 亦 復 同 前 唯 義 異 耳 謂 萬 億 故 引 經 
X46n0776_002:0185c01	第二十一)。大明總持具足心地脩多羅中作如是說。譬喻	第 二 十 一 大 明 總 持 具 足 心 地 脩 多 羅 中 作如是說 譬 喻 
X46n0776_002:0185c02	十方無際無本無始無終道行足履地地法藏中。有	十 方 無 際 無 本 無 始 無 終 道 行 足 履 地 地 法 藏 中 有 
X46n0776_002:0185c03	十種殊勝。轉轉增長。倍倍具足。圓滿廣大法門海會。	十 種 殊 勝 轉 轉 增 長 倍 倍 具 足 圓 滿 廣 大 法 門 海 會 
X46n0776_002:0185c04	乃至廣說故。	乃至廣說 故 
X46n0776_002:0185c06	大宗地玄文本論略註卷第二	大 宗 地 玄 文 本 論 略 註 卷 第 二 
X46n0776_003:0185c09	大宗地玄文本論略註卷第三	大 宗 地 玄 文 本 論 略 註 卷 第 三 
X46n0776_003:0185c11	馬鳴菩薩　造	馬 鳴 菩 薩 造 
X46n0776_003:0185c12	陳　真諦三藏　譯	陳 真 諦 三 藏 譯 
X46n0776_003:0185c13	清　楊文會　略註	清 楊 文 會 略 註 
X46n0776_003:0185c14	○不可思議不可稱量俱俱微塵本大山王大決	 不可思議 不可稱量 俱 俱 微 塵 本 大 山 王 大 決 
X46n0776_003:0185c15	擇分第十二	擇 分 第 十 二 
X46n0776_003:0185c16	如是已說無盡無窮塵塵數量道路大決擇分。次當	如 是 已 說 無 盡 無 窮 塵 塵 數 量 道 路 大 決 擇 分 次 當 
X46n0776_003:0185c17	說不可思議不可稱量俱俱微塵本大山王大決擇	說 不可思議 不可稱量 俱 俱 微 塵 本 大 山 王 大 決 擇 
X46n0776_003:0185c18	分。其相云何。偈曰。	分 其相云何 偈 曰 
X46n0776_003:0185c19	　不思議海中　　則有三種法　　謂三重倍故	 不 思 議 海 中 則 有 三 種 法 謂 三 重 倍 故 
X46n0776_003:0185c20	　配釋應了知	 配 釋 應 了 知 
X46n0776_003:0185c21	論曰。就不可思議本大山王體性中。則有三種。云何	論 曰 就 不可思議 本 大 山 王 體 性 中 則 有 三 種 云 何 
X46n0776_003:0185c22	為三。一者法寶數量倍。二者僧寶數量倍。三者佛寶	為 三 一 者 法 寶 數 量 倍 二 者 僧 寶 數 量 倍 三 者 佛 寶 
X46n0776_003:0185c23	數量倍。是名為三。增幾數量作倍義耶。謂增益億億	數 量 倍 是 名 為 三 增 幾 數 量 作 倍 義 耶 謂 增 益 億 億 
X46n0776_003:0185c24	十方世界之微塵數量三寶海故。如其次第。依道路	十方世界 之 微 塵 數 量 三 寶 海 故 如 其 次 第 依 道 路 
X46n0776_003:0186a01	十增一種倍。應審觀察(前分廣說因果。位位有佛出興。此分說三寶數量倍。依道	十 增 一 種 倍 應 審 觀 察 前 分 廣 說 因 果 位 位 有 佛 出 興 此 分 說 三 寶 數 量 倍 依 道 
X46n0776_003:0186a02	路十。增一種倍。前分之末說萬億。此分說億億。即是十倍也)。如偈不思議海中。則	路 十 增 一 種 倍 前 分 之 末 說 萬 億 此 分 說 億 億 即 是 十 倍 也 如 偈 不 思 議 海 中 則 
X46n0776_003:0186a03	有三種法。謂三重倍故。配釋應了知故。末末三倍。依	有 三 種 法 謂 三 重 倍 故 配 釋 應 了 知 故 末 末 三 倍 依 
X46n0776_003:0186a04	本家說(五十一位為本。增益數量為末。三倍者即前之三種法。倍而又倍。故稱末末也)。應廣	本 家 說 五 十 一 位 為 本 增 益 數 量 為 末 三 倍 者 即 前 之 三 種 法 倍 而 又 倍 故 稱 末 末 也 應 廣 
X46n0776_003:0186a05	通達(引經第二十二)。心地脩多羅中作如是說。俱塵無上不	通 達 引 經 第 二 十 二 心 地 脩 多 羅 中 作如是說 俱 塵 無 上 不 
X46n0776_003:0186a06	可思議根本性海分中。具足圓滿億億大方三德大	可 思 議 根 本 性 海 分 中 具足圓滿 億 億 大 方 三 德 大 
X46n0776_003:0186a07	海。以大方分建立大方。乃至廣說故。	海 以 大 方 分 建 立 大 方 乃至廣說 故 
X46n0776_003:0186a08	○不可思議俱俱微塵一切山王道路大決擇分	 不可思議 俱 俱 微 塵 一 切 山 王 道 路 大 決 擇 分 
X46n0776_003:0186a09	第十三	第 十 三 
X46n0776_003:0186a10	如是已說不可思議不可稱量俱俱微塵本大山王	如 是 已 說 不可思議 不可稱量 俱 俱 微 塵 本 大 山 王 
X46n0776_003:0186a11	大決擇分。次當說不可思議俱俱微塵一切山王道	大 決 擇 分 次 當 說 不可思議 俱 俱 微 塵 一 切 山 王 道 
X46n0776_003:0186a12	路大決擇分。其相云何。偈曰。	路 大 決 擇 分 其相云何 偈 曰 
X46n0776_003:0186a13	　微塵道路中　　有十方界量　　五十一本位	 微 塵 道 路 中 有 十 方 界 量 五 十 一 本 位 
X46n0776_003:0186a14	　名與前說等　　一五十一中　　一一皆各各	 名 與 前 說 等 一 五 十 一 中 一 一 皆 各 各 
X46n0776_003:0186a15	　有十方界量　　障治三寶海　　如一餘亦爾	 有 十 方 界 量 障 治 三 寶 海 如 一 餘 亦 爾 
X46n0776_003:0186a16	　配此應了知	 配 此 應 了 知 
X46n0776_003:0186a17	論曰。就俱俱微塵道路中。則有一十方世界之數量	論 曰 就 俱 俱 微 塵 道 路 中 則 有 一 十方世界 之 數 量 
X46n0776_003:0186a18	五十一根本位。其名字量與前說等無有差別。如偈	五 十 一 根 本 位 其 名 字 量 與 前 說 等 無有差別 如 偈 
X46n0776_003:0186a19	微塵道路中。有十方界量。五十一本位。名與前說等	微 塵 道 路 中 有 十 方 界 量 五 十 一 本 位 名 與 前 說 等 
X46n0776_003:0186a20	故。就一五十一種位中。一一各各有十方世界之數	故 就 一 五 十 一 種 位 中 一 一 各 各 有 十方世界 之 數 
X46n0776_003:0186a21	量。煩惱大海。對治大海。僧寶大海。法寶大海。佛寶大	量 煩 惱 大 海 對 治 大 海 僧 寶 大 海 法 寶 大 海 佛 寶 大 
X46n0776_003:0186a22	海。具足轉故。如偈一五十一中。一一皆各各。有十方	海 具 足 轉 故 如 偈 一 五 十 一 中 一 一 皆 各 各 有 十 方 
X46n0776_003:0186a23	界量。障治三寶海故。如說一五十一種位。餘一切位	界 量 障 治 三 寶 海 故 如 說 一 五 十 一 種 位 餘 一 切 位 
X46n0776_003:0186a24	亦復如是。如偈如一餘亦爾。配此應了知故。如是已	亦復如是 如 偈 如 一 餘 亦 爾 配 此 應 了 知 故 如 是 已 
X46n0776_003:0186b01	說現示本體安立門。次當說現示上末轉相門。其相	說 現 示 本 體 安 立 門 次 當 說 現 示 上 末 轉 相 門 其 相 
X46n0776_003:0186b02	云何。偈曰。	云 何 偈 曰 
X46n0776_003:0186b03	　今此道路佛　　出興小無量　　法及化大海	 今 此 道 路 佛 出 興 小 無 量 法 及 化 大 海 
X46n0776_003:0186b04	　第二轉覺者　　出興中無量　　法及化大海	 第 二 轉 覺 者 出 興 中 無 量 法 及 化 大 海 
X46n0776_003:0186b05	　第三轉覺者　　出興大無量　　法及化大海	 第 三 轉 覺 者 出 興 大 無 量 法 及 化 大 海 
X46n0776_003:0186b06	　後後諸轉中　　如次第無超　　漸漸增數量	 後 後 諸 轉 中 如 次 第 無 超 漸 漸 增 數 量 
X46n0776_003:0186b07	論曰。依一本信出興覺者。總有一十方世界之數量。	論 曰 依 一 本 信 出 興 覺 者 總 有 一 十方世界 之 數 量 
X46n0776_003:0186b08	其中一佛成道已訖。則便出興小無量十方世界之	其 中 一 佛 成 道 已 訖 則 便 出 興 小 無 量 十方世界 之 
X46n0776_003:0186b09	微塵數量無礙自在化身大海。如是數量信心大海。	微 塵 數 量 無 礙 自 在 化 身 大 海 如 是 數 量 信 心 大 海 
X46n0776_003:0186b10	如偈今此道路佛。出興小無量。法及化大海故。依此	如 偈 今 此 道 路 佛 出 興 小 無 量 法 及 化 大 海 故 依 此 
X46n0776_003:0186b11	佛身出興化身。總有小無量十方世界之微塵數量。	佛 身 出 興 化 身 總 有 小 無 量 十方世界 之 微 塵 數 量 
X46n0776_003:0186b12	其中一佛出興已訖。則便出興中無量十方世界之	其 中 一 佛 出 興 已 訖 則 便 出 興 中 無 量 十方世界 之 
X46n0776_003:0186b13	微塵數量無礙自在化身大海。如是數量信地大海。	微 塵 數 量 無 礙 自 在 化 身 大 海 如 是 數 量 信 地 大 海 
X46n0776_003:0186b14	如偈第二轉覺者。出興中無量。法及化大海故。依此	如 偈 第 二 轉 覺 者 出 興 中 無 量 法 及 化 大 海 故 依 此 
X46n0776_003:0186b15	化身出興化身。總有中無量十方世界之微塵數量。	化 身 出 興 化 身 總 有 中 無 量 十方世界 之 微 塵 數 量 
X46n0776_003:0186b16	其中一佛出興已訖。則便出興大無量十方世界之	其 中 一 佛 出 興 已 訖 則 便 出 興 大 無 量 十方世界 之 
X46n0776_003:0186b17	微塵數量無礙自在化身大海。如是數量信地大海。	微 塵 數 量 無 礙 自 在 化 身 大 海 如 是 數 量 信 地 大 海 
X46n0776_003:0186b18	如偈第三轉覺者。出興大無量。法及化大海故。如是	如 偈 第 三 轉 覺 者 出 興 大 無 量 法 及 化 大 海 故 如 是 
X46n0776_003:0186b19	如是。隨隨如如。後諸轉中。如次無超。漸漸增數。如偈	如 是 隨 隨 如 如 後 諸 轉 中 如 次 無 超 漸 漸 增 數 如 偈 
X46n0776_003:0186b20	後後諸轉中。如次第無超。漸漸增數量故。舉此一隅。	後 後 諸 轉 中 如 次 第 無 超 漸 漸 增 數 量 故 舉 此 一 隅 
X46n0776_003:0186b21	應廣通達(三重無量。皆說信地大海。是則舉一信位。例五十一位也。第一信位。即能出興無量	應 廣 通 達 三 重 無 量 皆 說 信 地 大 海 是 則 舉 一 信 位 例 五 十 一 位 也 第 一 信 位 即 能 出 興 無 量 
X46n0776_003:0186b22	化佛。故名金剛信心。俱是門中。亦依次第無超漸漸增進。雖云漸轉。而信位無有窮盡。與一切位皆無窮盡也	化 佛 故 名 金 剛 信 心 俱 是 門 中 亦 依 次 第 無 超 漸 漸 增 進 雖 云 漸 轉 而 信 位 無 有 窮 盡 與 一 切 位 皆 無 窮 盡 也 
X46n0776_003:0186b23	○引經第二十三)。本品足地智脩多羅中作如是說。大地微	 引 經 第 二 十 三 本 品 足 地 智 脩 多 羅 中 作如是說 大 地 微 
X46n0776_003:0186b24	塵譬喻大海履行無住法門。第一轉中。小無量大方	塵 譬 喻 大 海 履 行 無 住 法 門 第 一 轉 中 小 無 量 大 方 
X46n0776_003:0186c01	微塵之數品。第二轉中。中無量品。第三轉中。大無量	微 塵 之 數 品 第 二 轉 中 中 無 量 品 第 三 轉 中 大 無 量 
X46n0776_003:0186c02	品。第四轉中。無邊無量品。第五轉中。無數無量品。第	品 第 四 轉 中 無 邊 無 量 品 第 五 轉 中 無 數 無 量 品 第 
X46n0776_003:0186c03	六轉中。無量無量品。第七轉中。不可計量無量品。第	六 轉 中 無 量 無 量 品 第 七 轉 中 不 可 計 量 無 量 品 第 
X46n0776_003:0186c04	八轉中。具足無量品。第九轉中。不可說無量品。第十	八 轉 中 具 足 無 量 品 第 九 轉 中 不 可 說 無 量 品 第 十 
X46n0776_003:0186c05	轉中。不可思議無量品。乃至廣說故。	轉 中 不可思議 無 量 品 乃至廣說 故 
X46n0776_003:0186c06	○一切虗空一切微塵數量高王大決擇分第十四	 一 切 虗 空 一 切 微 塵 數 量 高 王 大 決 擇 分 第 十 四 
X46n0776_003:0186c07	如是已說不可思議俱俱微塵一切山王道路大決	如 是 已 說 不可思議 俱 俱 微 塵 一 切 山 王 道 路 大 決 
X46n0776_003:0186c08	擇分。次當說一切虗空一切微塵數量高王大決擇	擇 分 次 當 說 一 切 虗 空 一 切 微 塵 數 量 高 王 大 決 擇 
X46n0776_003:0186c09	分。其相云何。偈曰。	分 其相云何 偈 曰 
X46n0776_003:0186c10	　虗空微塵中　　則有十方量　　十方塵空量	 虗 空 微 塵 中 則 有 十 方 量 十 方 塵 空 量 
X46n0776_003:0186c11	　五十一本位　　一五十一中　　一一皆各各	 五 十 一 本 位 一 五 十 一 中 一 一 皆 各 各 
