T24n1460_001:0659a03	解脫戒經	解 脫 戒 經 
T24n1460_001:0663b07	若教人藏，乃至戲笑，除餘時，波逸提。「若	若 教 人 藏 乃 至 戲 笑 除 餘 時 波 逸 提 若 
T24n1460_001:0663b08	比丘，得新衣不作壞色，青、黑、木蘭，波逸提。	比 丘 得 新 衣 不 作 壞 色 青 黑 木 蘭 波 逸 提 
T24n1460_001:0663b09	「若比丘，若寶、若似寶，若自取、若教人取，波	 若 比 丘 若 寶 若 似 寶 若 自 取 若 教 人 取 波 
T24n1460_001:0663b10	逸提，除僧伽藍及寄宿處。若取寶莊飾具，	逸 提 除 僧 伽 藍 及 寄 宿 處 若 取 寶 莊 飾 具 
T24n1460_001:0663b11	作如是念：『取者當還。』此是時。「若比丘，半	作如是念 取 者 當 還 此 是 時 若 比 丘 半 
T24n1460_001:0663b12	月浴，除餘時，波逸提。餘時者，熱時、病時、作	月 浴 除 餘 時 波 逸 提 餘 時 者 熱 時 病 時 作 
T24n1460_001:0663b13	時、風時、雨時、行時，此是時。「若比丘，知是	時 風 時 雨 時 行 時 此 是 時 若 比 丘 知 是 
T24n1460_001:0663b14	賊伴，共同道行，乃至一村間，波逸提。「若	賊 伴 共 同 道 行 乃 至 一 村 間 波 逸 提 若 
T24n1460_001:0663b15	比丘，知年未滿二十，與受具足戒，波逸提。	比 丘 知 年 未 滿 二 十 與 受具足戒 波 逸 提 
T24n1460_001:0663b16	此人不得戒，眾僧有犯。此法如是。「若比	此 人 不 得 戒 眾 僧 有 犯 此 法 如 是 若 比 
T24n1460_001:0663b17	丘，受四月請，無病比丘應受。若過受，除常請、	丘 受 四 月 請 無 病 比 丘 應 受 若 過 受 除 常 請 
T24n1460_001:0663b18	更請、分請、盡形請，波逸提。「若比丘，自掘	更 請 分 請 盡 形 請 波 逸 提 若 比 丘 自 掘 
T24n1460_001:0663b19	地、若教人掘地，波逸提。「若比丘，語比丘	地 若 教 人 掘 地 波 逸 提 若 比 丘 語 比 丘 
T24n1460_001:0663b20	言：『汝當學此戒。』是比丘言：『我不從汝癡愚人	言 汝 當 學 此 戒 是 比 丘 言 我 不 從 汝 癡 愚 人 
T24n1460_001:0663b21	不正語人學戒乃至持修多羅。持律、持摩帝	不 正 語 人 學 戒 乃 至 持 修 多 羅 持 律 持 摩 帝 
T24n1460_001:0663b22	隸迦(居多反)，我當從問波逸提。』為求解者，應當	隸 迦 居 多 反 我 當 從 問 波 逸 提 為 求 解 者 應 當 
T24n1460_001:0663b23	問持經、持律、摩帝隸迦比丘。此是如法。	問 持 經 持 律 摩 帝 隸 迦 比 丘 此 是 如 法 
T24n1460_001:0663b24	「若比丘，知他共鬪諍，默然聽此語向彼說，波	 若 比 丘 知 他 共 鬪 諍 默 然 聽 此 語 向 彼 說 波 
T24n1460_001:0663b25	逸提。「若比丘，僧說戒時，不與欲默然去，	逸 提 若 比 丘 僧 說 戒 時 不 與 欲 默 然 去 
T24n1460_001:0663b26	波逸提。「若比丘，不恭敬，波逸提。「若	波 逸 提 若 比 丘 不 恭 敬 波 逸 提 若 
T24n1460_001:0663b27	比丘，飲酒者，波逸提。「若比丘，非時入聚	比 丘 飲 酒 者 波 逸 提 若 比 丘 非 時 入 聚 
T24n1460_001:0663b28	落，不囑比丘者，波逸提。「若比丘先受請，	落 不 囑 比 丘 者 波 逸 提 若 比 丘 先 受 請 
T24n1460_001:0663b29	若前食若後食，不囑餘比丘行詣餘家，波逸	若 前 食 若 後 食 不 囑 餘 比 丘 行 詣 餘 家 波 逸 
T24n1460_001:0663c01	提。「若比丘，灌頂王夜未曉，王未出，入宮	提 若 比 丘 灌 頂 王 夜 未 曉 王 未 出 入 宮 
T24n1460_001:0663c02	門，除因緣。波逸提。「若比丘，說解脫戒時	門 除 因 緣 波 逸 提 若 比 丘 說 解 脫 戒 時 
T24n1460_001:0663c03	作是言：『大德！我今始知是法半月半月戒經	作 是 言 大 德 我 今 始 知 是 法 半月半月 戒 經 
T24n1460_001:0663c04	中說。』若比丘知此比丘先已二三說戒處坐，	中 說 若 比 丘 知 此 比 丘 先 已 二 三 說 戒 處 坐 
T24n1460_001:0663c05	何況多時。隨彼比丘所犯罪，應如法治，更增	何 況 多 時 隨 彼 比 丘 所 犯 罪 應 如 法 治 更 增 
T24n1460_001:0663c06	厭離法：『長老！汝無利、得不善。汝於說戒時，不	厭 離 法 長 老 汝 無 利 得 不 善 汝 於 說 戒 時 不 
T24n1460_001:0663c07	一心聽、不敬重、不作意、不憶念。』此名厭離，波	一 心 聽 不 敬 重 不 作 意 不 憶 念 此 名 厭 離 波 
T24n1460_001:0663c08	逸提。「若比丘，骨牙角作鍼筒成者，波逸	逸 提 若 比 丘 骨 牙 角 作 鍼 筒 成 者 波 逸 
T24n1460_001:0663c09	提。「若比丘，作繩床、若木床，足應高如來	提 若 比 丘 作 繩 床 若 木 床 足 應 高 如 來 
T24n1460_001:0663c10	八指，除入梐。若過成者，波逸提。「若比	八 指 除 入 梐 若 過 成 者 波 逸 提 若 比 
T24n1460_001:0663c11	丘，持兜羅綿貯繩床木床，若自作、若教人作，	丘 持 兜 羅 綿 貯 繩 床 木 床 若 自 作 若 教 人 作 
T24n1460_001:0663c12	成者，波逸提。「若比丘，作坐具當應量作。	成 者 波 逸 提 若 比 丘 作 坐 具 當 應 量 作 
T24n1460_001:0663c13	是中量者，長佛二手、廣一手半，廣長各益半	是 中 量 者 長 佛 二 手 廣 一 手 半 廣 長 各 益 半 
T24n1460_001:0663c14	手。若過成者，波逸提。「若比丘，作覆疥瘡	手 若 過 成 者 波 逸 提 若 比 丘 作 覆 疥 瘡 
T24n1460_001:0663c15	衣，當應量作。是中量者，長佛四手、廣二手。若	衣 當 應 量 作 是 中 量 者 長 佛 四 手 廣 二 手 若 
T24n1460_001:0663c16	過成，波逸提。「若比丘，作雨衣，當應量作。	過 成 波 逸 提 若 比 丘 作 雨 衣 當 應 量 作 
T24n1460_001:0663c17	是中量者，長佛六手、廣二手半。若過成者，波	是 中 量 者 長 佛 六 手 廣 二 手 半 若 過 成 者 波 
T24n1460_001:0663c18	逸提。「若比丘，與如來等量作衣、若過量	逸 提 若 比 丘 與 如 來 等 量 作 衣 若 過 量 
T24n1460_001:0663c19	作衣，成者，波逸提。是中佛衣量者，長佛九	作 衣 成 者 波 逸 提 是 中 佛 衣 量 者 長 佛 九 
T24n1460_001:0663c20	手量、廣六手量，是名佛衣量。」「諸大德！	手 量 廣 六 手 量 是 名 佛 衣 量 諸 大 德 
T24n1460_001:0663c21	我已說九十波逸提法。今問諸大德是中	我 已 說 九十波逸提 法 今 問 諸 大 德 是 中 
T24n1460_001:0663c22	清淨不？」(如是三說)「諸大德是中清淨，默然故，是事如	清 淨 不 如是三說 諸 大 德 是 中 清 淨 默 然 故 是 事 如 
T24n1460_001:0663c23	是持。」	是 持 
T24n1460_001:0663c24	「諸大德！此四悔過法，半月半月說解脫戒經	 諸 大 德 此 四 悔 過 法 半月半月 說 解 脫 戒 經 
T24n1460_001:0663c25	中來。	中 來 
T24n1460_001:0663c26	「若比丘入村乞食，無病從非親里比丘尼自	 若 比 丘 入 村 乞 食 無 病 從 非 親 里 比 丘 尼 自 
T24n1460_001:0663c27	手受食食。是比丘出，至僧中，應悔過言：『大德！	手 受 食 食 是 比 丘 出 至 僧 中 應 悔 過 言 大 德 
T24n1460_001:0663c28	我犯可悔法，所不應為。我今向大德悔過。』是	我 犯 可 悔 法 所 不 應 為 我 今 向 大 德 悔 過 是 
T24n1460_001:0663c29	名悔過法。「若比丘，在白衣家食。是中有	名 悔 過 法 若 比 丘 在 白 衣 家 食 是 中 有 
T24n1460_001:0664a01	比丘尼，指示與某甲羹、與某甲飯，與已復	比 丘 尼 指 示 與 某 甲 羹 與 某 甲 飯 與 已 復 
T24n1460_001:0664a02	與。諸比丘應語彼比丘尼言：『姊妹！且住，待	與 諸 比 丘 應 語 彼 比 丘 尼 言 姊 妹 且 住 待 
T24n1460_001:0664a03	諸比丘食竟。』若無一比丘語彼比丘尼如是	諸 比 丘 食 竟 若 無 一 比 丘 語 彼 比 丘 尼 如 是 
T24n1460_001:0664a04	言，諸比丘應悔過言：『大德！我犯可悔法，所	言 諸 比 丘 應 悔 過 言 大 德 我 犯 可 悔 法 所 
T24n1460_001:0664a05	不應為。我今向大德悔過。』是名悔過法。「若有	不 應 為 我 今 向 大 德 悔 過 是 名 悔 過 法 若 有 
T24n1460_001:0664a06	諸學家，僧作學家羯磨。若比丘知是學家，先	諸 學 家 僧 作 學 家 羯 磨 若 比 丘 知 是 學 家 先 
T24n1460_001:0664a07	不受請，無病自手受食食。是比丘應悔過言：	不 受 請 無 病 自 手 受 食 食 是 比 丘 應 悔 過 言 
T24n1460_001:0664a08	『大德！我犯可悔法，我今向大德悔過。』是名	 大 德 我 犯 可 悔 法 我 今 向 大 德 悔 過 是 名 
T24n1460_001:0664a09	悔過法。「若比丘，在阿蘭若有疑怖畏處，	悔 過 法 若 比 丘 在 阿 蘭 若 有 疑 怖 畏 處 
T24n1460_001:0664a10	不在僧伽藍外受食，在僧伽藍內無病自手	不 在 僧 伽 藍 外 受 食 在 僧 伽 藍 內 無 病 自 手 
T24n1460_001:0664a11	受食食。是比丘應悔過言：『大德！我犯可悔	受 食 食 是 比 丘 應 悔 過 言 大 德 我 犯 可 悔 
T24n1460_001:0664a12	法，所不應為。我今向大德悔過。』是名悔	法 所 不 應 為 我 今 向 大 德 悔 過 是 名 悔 
T24n1460_001:0664a13	過法。」「諸大德！我已說四悔過法。今問	過 法 諸 大 德 我 已 說 四 悔 過 法 今 問 
T24n1460_001:0664a14	諸大德是中清淨不？」(如是三說)「諸大德是中清淨，默	諸 大 德 是 中 清 淨 不 如是三說 諸 大 德 是 中 清 淨 默 
T24n1460_001:0664a15	然故，是事如是持。」	然 故 是事如是持 
T24n1460_001:0664a16	「諸大德！此眾學法，半月半月說解脫戒經中	 諸 大 德 此 眾 學 法 半月半月 說 解 脫 戒 經 中 
T24n1460_001:0664a17	來。	來 
T24n1460_001:0664a18	「不高著內衣，應當學。「不下著內衣，應當	 不 高 著 內 衣 應 當 學 不 下 著 內 衣 應 當 
T24n1460_001:0664a19	學。「齊整著內衣，應當學。「不象鼻著	學 齊 整 著 內 衣 應 當 學 不 象 鼻 著 
T24n1460_001:0664a20	內衣，應當學。「不多羅葉著內衣，應當	內 衣 應 當 學 不 多 羅 葉 著 內 衣 應 當 
T24n1460_001:0664a21	學。「不[麩夫+少]團著內衣，應當學。「不高著	學 不 [麩夫少] 團 著 內 衣 應 當 學 不 高 著 
T24n1460_001:0664a22	三衣，應當學。「不下著三衣，應當學。	三 衣 應 當 學 不 下 著 三 衣 應 當 學 
T24n1460_001:0664a23	「齊整著三衣，應當學。「不左右觀衣，除為	 齊 整 著 三 衣 應 當 學 不 左 右 觀 衣 除 為 
T24n1460_001:0664a24	齊整，應當學。「正直入白衣舍，應當	齊 整 應 當 學 正 直 入 白 衣 舍 應 當 
T24n1460_001:0664a25	學。「好覆身入白衣舍，應當學。「靜默入	學 好 覆 身 入 白 衣 舍 應 當 學 靜 默 入 
T24n1460_001:0664a26	白衣舍，應當學。「不左右顧視入白衣舍，	白 衣 舍 應 當 學 不 左 右 顧 視 入 白 衣 舍 
T24n1460_001:0664a27	應當學。「不左右顧視入白衣舍坐，應當	應 當 學 不 左 右 顧 視 入 白 衣 舍 坐 應 當 
T24n1460_001:0664a28	學。「不自傲入白衣舍，應當學。「不叉	學 不 自 傲 入 白 衣 舍 應 當 學 不 叉 
T24n1460_001:0664a29	腰入白衣舍，應當學。「不通肩被衣入白	腰 入 白 衣 舍 應 當 學 不 通 肩 被 衣 入 白 
T24n1460_001:0664b01	衣舍，應當學。「不反抄衣入白衣舍，應當	衣 舍 應 當 學 不 反 抄 衣 入 白 衣 舍 應 當 
T24n1460_001:0664b02	學。「不戲笑入白衣舍，應當學。「不覆	學 不 戲 笑 入 白 衣 舍 應 當 學 不 覆 
T24n1460_001:0664b03	頭面入白衣舍，應當學。「不蹲入白衣舍，	頭 面 入 白 衣 舍 應 當 學 不 蹲 入 白 衣 舍 
T24n1460_001:0664b04	應當學。「不叉脇入白衣舍，應當學。	應 當 學 不 叉 脇 入 白 衣 舍 應 當 學 
T24n1460_001:0664b05	「不跳身入白衣舍，應當學。「不掉臂入白	 不 跳 身 入 白 衣 舍 應 當 學 不 掉 臂 入 白 
T24n1460_001:0664b06	衣舍，應當學。「不搖頭入白衣舍，應當	衣 舍 應 當 學 不 搖 頭 入 白 衣 舍 應 當 
T24n1460_001:0664b07	學。「不搖身入白衣舍，應當學。「不携手	學 不 搖 身 入 白 衣 舍 應 當 學 不 携 手 
T24n1460_001:0664b08	入白衣舍，應當學。「不倚足入白衣舍，應	入 白 衣 舍 應 當 學 不 倚 足 入 白 衣 舍 應 
T24n1460_001:0664b09	當學。「不倚身入白衣舍，應當學。「不	當 學 不 倚 身 入 白 衣 舍 應 當 學 不 
T24n1460_001:0664b10	肩相倚入白衣舍，應當學。「待請而入，應	肩 相 倚 入 白 衣 舍 應 當 學 待 請 而 入 應 
T24n1460_001:0664b11	當學。「不偃臥，應當學。「觀床而坐，應	當 學 不 偃 臥 應 當 學 觀 床 而 坐 應 
T24n1460_001:0664b12	當學。「不縱身重坐，應當學。「不荷髀	當 學 不 縱 身 重 坐 應 當 學 不 荷 髀 
T24n1460_001:0664b13	坐，應當學。「不懸脚坐，應當學。「不	坐 應 當 學 不 懸 脚 坐 應 當 學 不 
T24n1460_001:0664b14	寬脚坐，應當學。「不[臬*邑](區消反)脚坐，應當	寬 脚 坐 應 當 學 不 [臬邑] 區 消 反 脚 坐 應 當 
T24n1460_001:0664b15	學。「正意受食，應當學。「不溢鉢食，應	學 正 意 受 食 應 當 學 不 溢 鉢 食 應 
T24n1460_001:0664b16	當學。「食未至不舒手索，應當學。「不	當 學 食 未 至 不 舒 手 索 應 當 學 不 
T24n1460_001:0664b17	以飯覆羹更望得，應當學。「不以羹覆飯，	以 飯 覆 羹 更 望 得 應 當 學 不 以 羹 覆 飯 
T24n1460_001:0664b18	應當學。「無病不得為己索食，應當學。	應 當 學 無 病 不 得 為 己 索 食 應 當 學 
T24n1460_001:0664b19	「正意受羹，應當學。「正鉢受羹，應當	 正 意 受 羹 應 當 學 正 鉢 受 羹 應 當 
T24n1460_001:0664b20	學。「不嚼食作聲，應當學。「不口吹飯	學 不 嚼 食 作 聲 應 當 學 不 口 吹 飯 
T24n1460_001:0664b21	食，應當學。「不嗅食食，應當學。「不	食 應 當 學 不 嗅 食 食 應 當 學 不 
T24n1460_001:0664b22	食上唾，應當學。「不吒食，應當學。	食 上 唾 應 當 學 不 吒 食 應 當 學 
T24n1460_001:0664b23	「不出舌食，應當學。「不嚙半食，應當學。	 不 出 舌 食 應 當 學 不 嚙 半 食 應 當 學 
T24n1460_001:0664b24	「不捏作葉食，應當學。「不舐手食，應	 不 捏 作 葉 食 應 當 學 不 舐 手 食 應 
T24n1460_001:0664b25	當學。「不舐鉢食，應當學。「不手稱食，	當 學 不 舐 鉢 食 應 當 學 不 手 稱 食 
T24n1460_001:0664b26	應當學。「不稱鉢食，應當學。「不拉餅	應 當 學 不 稱 鉢 食 應 當 學 不 拉 餅 
T24n1460_001:0664b27	食，應當學。「不作塔形食，應當學。	食 應 當 學 不 作 塔 形 食 應 當 學 
T24n1460_001:0664b28	「不大團食，應當學。「不小團食，應當	 不 大 團 食 應 當 學 不 小 團 食 應 當 
T24n1460_001:0664b29	學。「不含食語，應當學。「不張口待飯	學 不 含 食 語 應 當 學 不 張 口 待 飯 
T24n1460_001:0664c01	食，應當學。「不視比坐鉢起慊心，應當	食 應 當 學 不 視 比 坐 鉢 起 慊 心 應 當 
T24n1460_001:0664c02	學。「不灒污比坐，應當學。「不污手捉	學 不 灒 污 比 坐 應 當 學 不 污 手 捉 
T24n1460_001:0664c03	水器，應當學。「不以污水棄白衣舍，除	水 器 應 當 學 不 以 污 水 棄 白 衣 舍 除 
T24n1460_001:0664c04	問主人，應當學。「不以鉢置地，應當學。	問 主 人 應 當 學 不 以 鉢 置 地 應 當 學 
T24n1460_001:0664c05	「不立洗鉢，應當學。「不置鉢墮處險處，應	 不 立 洗 鉢 應 當 學 不 置 鉢 墮 處 險 處 應 
T24n1460_001:0664c06	當學。「不在危處洗鉢，應當學。	當 學 不 在 危 處 洗 鉢 應 當 學 
T24n1460_001:0664c07	「人坐己立，不應為說法，除病，應當學。	 人 坐 己 立 不 應 為 說 法 除 病 應 當 學 
T24n1460_001:0664c08	「人臥己立，不應為說法，除病，應當學。「人	 人 臥 己 立 不 應 為 說 法 除 病 應 當 學 人 
T24n1460_001:0664c09	臥己坐，不應為說法，除病，應當學。「人在	臥 己 坐 不 應 為 說 法 除 病 應 當 學 人 在 
T24n1460_001:0664c10	坐己在非坐，不得為說法，除病，應當學。	坐 己 在 非 坐 不 得 為 說 法 除 病 應 當 學 
T24n1460_001:0664c11	「人在前己在後，不得為說法，應當學。「人	 人 在 前 己 在 後 不 得 為 說 法 應 當 學 人 
T24n1460_001:0664c12	前行己在後，不得為說法，應當學。「人	前 行 己 在 後 不 得 為 說 法 應 當 學 人 
T24n1460_001:0664c13	在道己在非道，不得為說法，應當學。「不	在 道 己 在 非 道 不 得 為 說 法 應 當 學 不 
T24n1460_001:0664c14	為騎乘人說法，除病，應當學。「不得為乘	為 騎 乘 人 說 法 除 病 應 當 學 不 得 為 乘 
T24n1460_001:0664c15	輿人說法，除病，應當學。「不得為著屐人	輿 人 說 法 除 病 應 當 學 不 得 為 著 屐 人 
T24n1460_001:0664c16	說法，除病，應當學。「不得為著履人說法，	說 法 除 病 應 當 學 不 得 為 著 履 人 說 法 
T24n1460_001:0664c17	除病，應當學。「不得為持杖人說法，除病，	除 病 應 當 學 不 得 為 持 杖 人 說 法 除 病 
T24n1460_001:0664c18	應當學。「不得為持刀人說法，除病，應當	應 當 學 不 得 為 持 刀 人 說 法 除 病 應 當 
T24n1460_001:0664c19	學。「不得為持蓋人說法，除病，應當學。	學 不 得 為 持 蓋 人 說 法 除 病 應 當 學 
T24n1460_001:0664c20	「不得為著帽人說法，除病，應當學。「不	 不 得 為 著 帽 人 說 法 除 病 應 當 學 不 
T24n1460_001:0664c21	得為著花鬘人說法，除病，應當學。「不得	得 為 著 花 鬘 人 說 法 除 病 應 當 學 不 得 
T24n1460_001:0664c22	為著寶冠人說法，除病，應當學。「不得為	為 著 寶 冠 人 說 法 除 病 應 當 學 不 得 為 
T24n1460_001:0664c23	裹頭人說法，除病，應當學。「不得為覆頭	裹 頭 人 說 法 除 病 應 當 學 不 得 為 覆 頭 
T24n1460_001:0664c24	人說法，除病，應當學。「不得立大小便，除	人 說 法 除 病 應 當 學 不 得 立 大 小 便 除 
T24n1460_001:0664c25	病，應當學。「不得水中大小便涕唾，除病，	病 應 當 學 不 得 水 中 大 小 便 涕 唾 除 病 
T24n1460_001:0664c26	應當學。「不得生草上大小便涕唾歐吐	應 當 學 不 得 生 草 上 大 小 便 涕 唾 歐 吐 
T24n1460_001:0664c27	[(盥水+囟)皿+血](奴東反)血，應當學。「不得上過人樹，除	[盥水囟皿血] 奴 東 反 血 應 當 學 不 得 上 過 人 樹 除 
T24n1460_001:0664c28	怖畏因緣，應當學。」	怖 畏 因 緣 應 當 學 
T24n1460_001:0664c29	「諸大德！我已說眾學法。今問諸大德是中清	 諸 大 德 我 已 說 眾 學 法 今 問 諸 大 德 是 中 清 
T24n1460_001:0665a01	淨不？」(如是三說)「諸大德是中清淨，默然故，是事如	淨 不 如是三說 諸 大 德 是 中 清 淨 默 然 故 是 事 如 
T24n1460_001:0665a02	是持。」	是 持 
T24n1460_001:0665a03	「諸大德！此七滅諍法，半月半月說戒經中來。	 諸 大 德 此 七滅諍法 半月半月 說 戒 經 中 來 
T24n1460_001:0665a04	「若比丘，有諍事起，應除滅。	 若 比 丘 有 諍 事 起 應 除 滅 
T24n1460_001:0665a05	「應與現前毘尼，當與現前毘尼。「應與憶	 應 與 現前毘尼 當 與 現前毘尼 應 與 憶 
T24n1460_001:0665a06	念毘尼，當與憶念毘尼。「應與不癡毘尼，	念 毘 尼 當 與 憶 念 毘 尼 應 與 不癡毘尼 
T24n1460_001:0665a07	當與不癡毘尼。「應與自言治，當與自言	當 與 不癡毘尼 應 與 自 言 治 當 與 自 言 
T24n1460_001:0665a08	治。「應與伏本語，當與伏本語。「應	治 應 與 伏 本 語 當 與 伏 本 語 應 
T24n1460_001:0665a09	與多人宗，當與多人宗。「應與草覆地，當	與 多 人 宗 當 與 多 人 宗 應 與 草 覆 地 當 
T24n1460_001:0665a10	與草覆地。」「諸大德！我已說七滅諍法。今	與 草 覆 地 諸 大 德 我 已 說 七滅諍法 今 
T24n1460_001:0665a11	問諸大德是中清淨不？」(如是三說)「諸大德是中	問 諸 大 德 是 中 清 淨 不 如是三說 諸 大 德 是 中 
T24n1460_001:0665a12	清淨，默然故，是事如是持。」	清 淨 默 然 故 是事如是持 
T24n1460_001:0665a13	「諸大德！我已說解脫戒經序、已說四波羅夷	 諸 大 德 我 已 說 解 脫 戒 經 序 已 說 四波羅夷 
T24n1460_001:0665a14	法、已說十三僧殘法、已說二不定法、已說	法 已 說 十三僧殘法 已 說 二不定法 已 說 
T24n1460_001:0665a15	三十捨墮法、已說九十墮法、已說四悔過	三十捨墮 法 已 說 九 十 墮 法 已 說 四 悔 過 
T24n1460_001:0665a16	法、已說眾學法、已說七滅諍法。此是釋迦牟	法 已 說 眾 學 法 已 說 七滅諍法 此 是 釋 迦 牟 
T24n1460_001:0665a17	尼如來、阿羅呵、三藐三佛陀所說戒經，半月	尼 如 來 阿 羅 呵 三藐三佛陀 所 說 戒 經 半 月 
T24n1460_001:0665a18	半月說解脫戒經中來。若更有餘佛法，皆共	半 月 說 解 脫 戒 經 中 來 若 更 有 餘 佛 法 皆 共 
T24n1460_001:0665a19	隨順，和合歡喜無諍，應當學。」	隨 順 和 合 歡 喜 無 諍 應 當 學 
T24n1460_001:0665a20	「東北方世界，　　最勝兩足尊，	 東 北 方 世 界 最 勝 兩 足 尊 
T24n1460_001:0665a21	　難見難遇值，　　說此解脫戒：	 難 見 難 遇 值 說 此 解 脫 戒 
T24n1460_001:0665a22	　財富非久伴，　　愚者所喜樂；	 財 富 非 久 伴 愚 者 所 喜 樂 
T24n1460_001:0665a23	　智慧能滅苦，　　命終常安樂。	 智 慧 能 滅 苦 命 終 常 安 樂 
T24n1460_001:0665a24	　是七佛世尊，　　說解脫戒經，	 是 七 佛 世 尊 說 解 脫 戒 經 
T24n1460_001:0665a25	　心能敬重者，　　則獲無上法。	 心 能 敬 重 者 則 獲 無 上 法 
T24n1460_001:0665a26	　所以說戒經、　　何故淨布薩？	 所 以 說 戒 經 何 故 淨 布 薩 
T24n1460_001:0665a27	　為隨順學戒，　　如犛牛愛尾。	 為 隨 順 學 戒 如 犛 牛 愛 尾 
T24n1460_001:0665a28	　說此戒經已，　　所有諸功德，	 說 此 戒 經 已 所 有 諸 功 德 
T24n1460_001:0665a29	　願三界群生，　　一切皆安隱。	 願 三 界 群 生 一 切 皆 安 隱 
T24n1460_001:0665b01	　豐樂常憺怕，　　隨時降甘雨，	 豐 樂 常 憺 怕 隨 時 降 甘 雨 
T24n1460_001:0665b02	　修行供養佛，　　令正法久住。	 修 行 供 養 佛 令 正法久住 
T24n1460_001:0665b03	　我今說戒經，　　誰能聞受行，	 我 今 說 戒 經 誰 能 聞 受 行 
T24n1460_001:0665b04	　謂四眾眷屬，　　安隱度善濟。	 謂 四 眾 眷 屬 安 隱 度 善 濟 
T24n1460_001:0665b05	　世尊天中天，　　一切無與等，	 世 尊 天 中 天 一 切 無 與 等 
T24n1460_001:0665b06	　合十指爪掌，　　敬心頭面禮。	 合十指爪掌 敬 心 頭 面 禮 
T24n1460_001:0665b07	　說解脫戒經，　　眾僧布薩竟，	 說 解 脫 戒 經 眾 僧 布 薩 竟 
T24n1460_001:0665b08	　若為眾請者，　　疾辯為宣說。」	 若 為 眾 請 者 疾 辯 為 宣 說 
T24n1460_001:0665b09	解脫戒經(出迦葉毘部律)	解 脫 戒 經 出 迦 葉 毘 部 律 
