T51n2095_001:1024c03	廬山記序	廬 山 記 序 
T51n2095_003:1038a29	謝山人草堂。草堂三里。至靈棲院。靈棲之上	謝 山 人 草 堂 草 堂 三 里 至 靈 棲 院 靈 棲 之 上 
T51n2095_003:1038b01	百步。至紫霄峯頂舍利塔。靈棲之下八里。至	百 步 至 紫 霄 峯 頂 舍 利 塔 靈 棲 之 下 八 里 至 
T51n2095_003:1038b02	三將軍洞。三將軍洞之下入歸宗亦一里。靈	三 將 軍 洞 三 將 軍 洞 之 下 入 歸 宗 亦 一 里 靈 
T51n2095_003:1038b03	棲之東四里。至重雲庵。次萬歲庵。次天宮	棲 之 東 四 里 至 重 雲 庵 次 萬 歲 庵 次 天 宮 
T51n2095_003:1038b04	庵。皆相去百餘步。天宮一里。至餘峯庵。餘	庵 皆 相 去 百 餘 步 天 宮 一 里 至 餘 峯 庵 餘 
T51n2095_003:1038b05	峯之上二十里。至白雲洞。餘峯之下二里。至	峯 之 上 二 十 里 至 白 雲 洞 餘 峯 之 下 二 里 至 
T51n2095_003:1038b06	先天觀(舊名真風)其傍有柳大卿草堂。先天二里。	先 天 觀 舊 名 真 風 其 傍 有 柳 大 卿 草 堂 先 天 二 里 
T51n2095_003:1038b07	至太虛簡寂觀。簡寂五里。至棲隱觀。棲隱	至 太 虛 簡 寂 觀 簡 寂 五 里 至 棲 隱 觀 棲 隱 
T51n2095_003:1038b08	之東五里。至古靈庵。古靈十里。至開先禪	之 東 五 里 至 古 靈 庵 古 靈 十 里 至 開 先 禪 
T51n2095_003:1038b09	院。開先之南一里。至石碑庵。石碑之上七里。	院 開 先 之 南 一 里 至 石 碑 庵 石 碑 之 上 七 里 
T51n2095_003:1038b10	至黃石巖永泰院。永泰之前半里。至文殊臺。	至 黃 石 巖 永 泰 院 永 泰 之 前 半 里 至 文 殊 臺 
T51n2095_003:1038b11	永泰之上十里。有道人庵。聖僧巖。善才巖。羅	永 泰 之 上 十 里 有 道 人 庵 聖 僧 巖 善 才 巖 羅 
T51n2095_003:1038b12	漢巖。黃石巖。開先之東二里。至萬杉禪院。萬	漢 巖 黃 石 巖 開 先 之 東 二 里 至 萬 杉 禪 院 萬 
T51n2095_003:1038b13	杉之東北三里。至真教院(舊名雲峯)真教三里。至景	杉 之 東 北 三 里 至 真 教 院 舊 名 雲 峯 真 教 三 里 至 景 
T51n2095_003:1038b14	德院(舊名高遙)景德一里。至李徵古書堂。書堂之	德 院 舊 名 高 遙 景 德 一 里 至 李 徵 古 書 堂 書 堂 之 
T51n2095_003:1038b15	上四里。至五乳峯香積院。香積二里。至俱胝	上 四 里 至 五 乳 峯 香 積 院 香 積 二 里 至 俱 胝 
T51n2095_003:1038b16	庵。其傍有觀音庵。觀音半里。至齊雲庵。齊雲	庵 其 傍 有 觀 音 庵 觀 音 半 里 至 齊 雲 庵 齊 雲 
T51n2095_003:1038b17	三里。至臥龍庵。臥龍之下五里。至青蓮院	三 里 至 臥 龍 庵 臥 龍 之 下 五 里 至 青 蓮 院 
T51n2095_003:1038b18	(舊名白雲庵)其傍有雲峯院(舊名下偃臺)雲峯五里。至道林	 舊 名 白 雲 庵 其 傍 有 雲 峯 院 舊 名 下 偃 臺 雲 峯 五 里 至 道 林 
T51n2095_003:1038b19	院。道林一里至禪靜院(舊名中興)禪靜一里。至保慶	院 道 林 一 里 至 禪 靜 院 舊 名 中 興 禪 靜 一 里 至 保 慶 
T51n2095_003:1038b20	庵。保慶一里。至淨隱院(舊名寶峯)淨隱三里。至祖	庵 保 慶 一 里 至 淨 隱 院 舊 名 寶 峯 淨 隱 三 里 至 祖 
T51n2095_003:1038b21	教院(舊名上偃臺)其傍有盤龍庵。西源庵。寶輪庵。皆	教 院 舊 名 上 偃 臺 其 傍 有 盤 龍 庵 西 源 庵 寶 輪 庵 皆 
T51n2095_003:1038b22	不百步。寶輪三里。至椆木庵。椆木三里。至	不 百 步 寶 輪 三 里 至 椆 木 庵 椆 木 三 里 至 
T51n2095_003:1038b23	幽邃庵。幽邃一里。至赤眼塔。塔東北十里。至	幽 邃 庵 幽 邃 一 里 至 赤 眼 塔 塔 東 北 十 里 至 
T51n2095_003:1038b24	棲賢寶覺禪院。南康軍出五老門五里。有大	棲 賢 寶 覺 禪 院 南 康 軍 出 五 老 門 五 里 有 大 
T51n2095_003:1038b25	衝庵。大衝五里。亦至羅漢禪院。羅漢十里。亦	衝 庵 大 衝 五 里 亦 至 羅 漢 禪 院 羅 漢 十 里 亦 
T51n2095_003:1038b26	至棲賢院。羅漢之東五里。至折桂僧莊。莊	至 棲 賢 院 羅 漢 之 東 五 里 至 折 桂 僧 莊 莊 
T51n2095_003:1038b27	西五里。至白鹿洞李渤書堂。白鹿洞三里。至	西 五 里 至 白 鹿 洞 李 渤 書 堂 白 鹿 洞 三 里 至 
T51n2095_003:1038b28	承天白鶴觀。白鶴五里。亦至棲賢院。棲賢	承 天 白 鶴 觀 白 鶴 五 里 亦 至 棲 賢 院 棲 賢 
T51n2095_003:1038b29	之東半里。至淨住院(舊名登雲)淨住之東二里。至	之 東 半 里 至 淨 住 院 舊 名 登 雲 淨 住 之 東 二 里 至 
T51n2095_003:1038c01	廣壽院(舊名資聖)其傍有金師臺。廣壽之北二里。	廣 壽 院 舊 名 資 聖 其 傍 有 金 師 臺 廣 壽 之 北 二 里 
T51n2095_003:1038c02	至萬壽院。萬壽之南三里。至楞伽院(舊名下白石)楞	至 萬 壽 院 萬 壽 之 南 三 里 至 楞 伽 院 舊 名 下 白 石 楞 
T51n2095_003:1038c03	伽之上三里。至證道院(舊名上白石)證道三里。至太	伽 之 上 三 里 至 證 道 院 舊 名 上 白 石 證 道 三 里 至 太 
T51n2095_003:1038c04	平興國院。太平一里。至上五峯香林院。香	平 興 國 院 太 平 一 里 至 上 五 峯 香 林 院 香 
T51n2095_003:1038c05	林五里。至淨居院(舊名上庵)淨居五里。至下五峯延	林 五 里 至 淨 居 院 舊 名 上 庵 淨 居 五 里 至 下 五 峯 延 
T51n2095_003:1038c06	福院。延福三里。至竹林院。竹林二里。至福源	福 院 延 福 三 里 至 竹 林 院 竹 林 二 里 至 福 源 
T51n2095_003:1038c07	庵(舊名靈源)福源半里。至石泉庵。石泉二里。至凌	庵 舊 名 靈 源 福 源 半 里 至 石 泉 庵 石 泉 二 里 至 凌 
T51n2095_003:1038c08	霄巖明真院。明真之下五里。至淨妙院(舊名德政庵)	霄 巖 明 真 院 明 真 之 下 五 里 至 淨 妙 院 舊 名 德 政 庵 
T51n2095_003:1038c09	淨妙一里。至雲臺庵。雲臺三里。至聖果院	淨 妙 一 里 至 雲 臺 庵 雲 臺 三 里 至 聖 果 院 
T51n2095_003:1038c10	(舊名淨明)其前有解空院(舊名吉祥)解空之西北百步。至	 舊 名 淨 明 其 前 有 解 空 院 舊 名 吉 祥 解 空 之 西 北 百 步 至 
T51n2095_003:1038c11	谷源庵。谷源之東北二里。至證寂院(舊名析桂)證	谷 源 庵 谷 源 之 東 北 二 里 至 證 寂 院 舊 名 析 桂 證 
T51n2095_003:1038c12	寂半里。至華嚴院。華嚴三里。至永福院(舊名龍雲)	寂 半 里 至 華 嚴 院 華 嚴 三 里 至 永 福 院 舊 名 龍 雲 
T51n2095_003:1038c13	永福之下八里。至大富莊。大富莊之東北十	永 福 之 下 八 里 至 大 富 莊 大 富 莊 之 東 北 十 
T51n2095_003:1038c14	里。至慧日禪院。慧日三里。至大雄庵。大雄復	里 至 慧 日 禪 院 慧 日 三 里 至 大 雄 庵 大 雄 復 
T51n2095_003:1038c15	出官道七里。至佛殿庵。佛殿一里。至興福	出 官 道 七 里 至 佛 殿 庵 佛 殿 一 里 至 興 福 
T51n2095_003:1038c16	庵。興福三里。至智林院(舊名慈雲)智林三里。則	庵 興 福 三 里 至 智 林 院 舊 名 慈 雲 智 林 三 里 則 
T51n2095_003:1038c17	上吳章嶺。江州界也。慧日之西南十里。至大	上 吳 章 嶺 江 州 界 也 慧 日 之 西 南 十 里 至 大 
T51n2095_003:1038c18	城庵。大城三里。至延真昭德觀。昭德之前一	城 庵 大 城 三 里 至 延 真 昭 德 觀 昭 德 之 前 一 
T51n2095_003:1038c19	里。至登雲庵。其後一里。至淨慧院。昭德之西	里 至 登 雲 庵 其 後 一 里 至 淨 慧 院 昭 德 之 西 
T51n2095_003:1038c20	出官道二十里。至尋真冲虛觀。尋真二里。至	出 官 道 二 十 里 至 尋 真 冲 虛 觀 尋 真 二 里 至 
T51n2095_003:1038c21	普覺院(舊名長慶)普覺之西十里。還至羅漢禪院。	普 覺 院 舊 名 長 慶 普 覺 之 西 十 里 還 至 羅 漢 禪 院 
T51n2095_003:1038c22	又自南康落星寺泛舟過釣魚臺一里。至明	又 自 南 康 落 星 寺 泛 舟 過 釣 魚 臺 一 里 至 明 
T51n2095_003:1038c23	心院(舊名翠嶶)明心五里。至楞伽院。楞伽五里。至	心 院 舊 名 翠 嶶 明 心 五 里 至 楞 伽 院 楞 伽 五 里 至 
T51n2095_003:1038c24	善才庵。善才三里。至凌雲庵(舊名凌雲書堂)凌雲三	善 才 庵 善 才 三 里 至 凌 雲 庵 舊 名 凌 雲 書 堂 凌 雲 三 
T51n2095_003:1038c25	里。亦至萬杉禪院。明心之東南五里。又至東	里 亦 至 萬 杉 禪 院 明 心 之 東 南 五 里 又 至 東 
T51n2095_003:1038c26	古法輪院。法輪之北十里。亦至萬杉。又自南	古 法 輪 院 法 輪 之 北 十 里 亦 至 萬 杉 又 自 南 
T51n2095_003:1038c27	康西南出十五里。至西古興善院。興善十里	康 西 南 出 十 五 里 至 西 古 興 善 院 興 善 十 里 
T51n2095_003:1038c28	亦至歸宗。凡自南康出建昌門。過承天院。則	亦 至 歸 宗 凡 自 南 康 出 建 昌 門 過 承 天 院 則 
T51n2095_003:1038c29	問開先路。出五老門。過望雲亭。則問棲賢路	問 開 先 路 出 五 老 門 過 望 雲 亭 則 問 棲 賢 路 
T51n2095_003:1039a01	云。	云 
T51n2095_003:1039a02	十八賢傳第五	十 八 賢 傳 第 五 
T51n2095_003:1039a03	廬山豈獨水石能冠天下。由代有高賢隱居	廬 山 豈 獨 水 石 能 冠 天 下 由 代 有 高 賢 隱 居 
T51n2095_003:1039a04	以傳。東林寺舊有十八賢傳。不知何人所作。	以 傳 東 林 寺 舊 有 十 八 賢 傳 不 知 何 人 所 作 
T51n2095_003:1039a05	文字淺近。以事驗諸前史。往往乖謬。讀者陋	文 字 淺 近 以 事 驗 諸 前 史 往 往 乖 謬 讀 者 陋 
T51n2095_003:1039a06	之。使古人風跡用無知者。惜哉。予既作山記。	之 使 古 人 風 跡 用 無 知 者 惜 哉 予 既 作 山 記 
T51n2095_003:1039a07	乃因舊本參質晉宋史及高僧傳。粗加刊正。	乃 因 舊 本 參 質 晉 宋 史 及 高 僧 傳 粗 加 刊 正 
T51n2095_003:1039a08	或舊所脫略。今無有可考。亦未如之何也。	或 舊 所 脫 略 今 無 有 可 考 亦 未 如 之 何 也 
T51n2095_003:1039a09	社主遠法師	社 主 遠 法 師 
T51n2095_003:1039a10	法師諱慧遠。姓賈。雁門樓煩人也。幼為書生。	法 師 諱 慧 遠 姓 賈 雁 門 樓 煩 人 也 幼 為 書 生 
T51n2095_003:1039a11	年十三。隨舅令狐氏遊學許洛。尤善莊老。性	年 十 三 隨 舅 令 狐 氏 遊 學 許 洛 尤 善 莊 老 性 
T51n2095_003:1039a12	度弘偉。年二十一。欲渡江東就范宣子共契	度 弘 偉 年 二 十 一 欲 渡 江 東 就 范 宣 子 共 契 
T51n2095_003:1039a13	嘉遁。中原冠亂。南路阻塞。時沙門釋道安。立	嘉 遁 中 原 冠 亂 南 路 阻 塞 時 沙 門 釋 道 安 立 
T51n2095_003:1039a14	寺於太行。弘贊佛法。遂往歸之。初聞講般若	寺 於 太 行 弘 贊 佛 法 遂 往 歸 之 初 聞 講 般 若 
T51n2095_003:1039a15	經。豁然大悟。乃歎曰。儒道九流皆糠粃耳。遂	經 豁 然 大 悟 乃 歎 曰 儒 道 九 流 皆 糠 粃 耳 遂 
T51n2095_003:1039a16	與弟慧持投簪落髮。委命受業。心既入道。常	與 弟 慧 持 投 簪 落 髮 委 命 受 業 心 既 入 道 常 
T51n2095_003:1039a17	以大法為己任。慧解夙發。神明英越。安常歎	以 大 法 為 己 任 慧 解 夙 發 神 明 英 越 安 常 歎 
T51n2095_003:1039a18	曰。使道流東國。其斯遠乎。二十四。便就講	曰 使 道 流 東 國 其 斯 遠 乎 二 十 四 便 就 講 
T51n2095_003:1039a19	說。常有客聞講實相義。疑難往復。彌用疑塞。	說 常 有 客 聞 講 實 相 義 疑 難 往 復 彌 用 疑 塞 
T51n2095_003:1039a20	師為引莊子義為比類。惑者大釋。於是安之	師 為 引 莊 子 義 為 比 類 惑 者 大 釋 於 是 安 之 
T51n2095_003:1039a21	門人獨聽不廢俗書。後隨師南遊至襄陽。安	門 人 獨 聽 不 廢 俗 書 後 隨 師 南 遊 至 襄 陽 安 
T51n2095_003:1039a22	為朱序所拘。眾皆罷去。遠乃與弟子數十人	為 朱 序 所 拘 眾 皆 罷 去 遠 乃 與 弟 子 數 十 人 
T51n2095_003:1039a23	適荊州。住上明寺。後欲往羅浮山。太元六年。	適 荊 州 住 上 明 寺 後 欲 往 羅 浮 山 太 元 六 年 
T51n2095_003:1039a24	至尋陽。愛廬阜之間曠。乃立龍泉精舍。久之	至 尋 陽 愛 廬 阜 之 間 曠 乃 立 龍 泉 精 舍 久 之 
T51n2095_003:1039a25	沙門慧永禪師先居西林。與師有舊。欲邀同	沙 門 慧 永 禪 師 先 居 西 林 與 師 有 舊 欲 邀 同 
T51n2095_003:1039a26	止。乃謂刺史桓伊曰。遠公弘道。學者日集。貧	止 乃 謂 刺 史 桓 伊 曰 遠 公 弘 道 學 者 日 集 貧 
T51n2095_003:1039a27	道所棲。狹不足處。奈何。時又夢山神請曰。此	道 所 棲 狹 不 足 處 奈 何 時 又 夢 山 神 請 曰 此 
T51n2095_003:1039a28	山足以棲神。一夕忽有雷雨。震擊詰朝。林麓	山 足 以 棲 神 一 夕 忽 有 雷 雨 震 擊 詰 朝 林 麓 
T51n2095_003:1039a29	大闢。唯素沙布地。兼有楩柟文梓良材。桓乃	大 闢 唯 素 沙 布 地 兼 有 楩 柟 文 梓 良 材 桓 乃 
T51n2095_003:1039b01	即其地更立房殿。名其殿曰神運。以在永師	即 其 地 更 立 房 殿 名 其 殿 曰 神 運 以 在 永 師 
T51n2095_003:1039b02	所居之東故。號東林。即太元十一年歲次丙	所 居 之 東 故 號 東 林 即 太 元 十 一 年 歲 次 丙 
T51n2095_003:1039b03	戌寺成。先有阿育王文殊之像。沈於武昌水	戌 寺 成 先 有 阿 育 王 文 殊 之 像 沈 於 武 昌 水 
T51n2095_003:1039b04	中。陶侃不能得。至是飄然輕舉迎還神運殿。	中 陶 侃 不 能 得 至 是 飄 然 輕 舉 迎 還 神 運 殿 
T51n2095_003:1039b05	以修佛事。又因罽賓道人。共作佛影臺。皆有	以 修 佛 事 又 因 罽 賓 道 人 共 作 佛 影 臺 皆 有 
T51n2095_003:1039b06	神感。事具高僧傳。於是謹律之侶絕塵之客。	神 感 事 具 高 僧 傳 於 是 謹 律 之 侶 絕 塵 之 客 
T51n2095_003:1039b07	四方不期而至。彭城劉遺民。豫章雷次宗。雁	四 方 不 期 而 至 彭 城 劉 遺 民 豫 章 雷 次 宗 雁 
T51n2095_003:1039b08	門周續之。南陽宗炳張野張詮等。凡百有二	門 周 續 之 南 陽 宗 炳 張 野 張 詮 等 凡 百 有 二 
T51n2095_003:1039b09	十三人。與師同修淨土之社。乃令劉遺民著	十 三 人 與 師 同 修 淨 土 之 社 乃 令 劉 遺 民 著 
T51n2095_003:1039b10	發願文。殷仲堪之任荊州也。入山展敬。與	發 願 文 殷 仲 堪 之 任 荊 州 也 入 山 展 敬 與 
T51n2095_003:1039b11	師松下談易。陳郡謝靈運。負才傲物。少所推	師 松 下 談 易 陳 郡 謝 靈 運 負 才 傲 物 少 所 推 
T51n2095_003:1039b12	重。一見肅然心服。為鑿東西二池種白蓮。求	重 一 見 肅 然 心 服 為 鑿 東 西 二 池 種 白 蓮 求 
T51n2095_003:1039b13	入淨社。師以心雜止之。范寧在豫章。師請入	入 淨 社 師 以 心 雜 止 之 范 寧 在 豫 章 師 請 入 
T51n2095_003:1039b14	社。范不能從。姚興與法師羅什皆欽風德。遠	社 范 不 能 從 姚 興 與 法 師 羅 什 皆 欽 風 德 遠 
T51n2095_003:1039b15	輸施遺。桓玄震主。不覺致敬。安帝自江陵還	輸 施 遺 桓 玄 震 主 不 覺 致 敬 安 帝 自 江 陵 還 
T51n2095_003:1039b16	都。輔國何無忌勸師候覲。師稱疾不行。帝遣	都 輔 國 何 無 忌 勸 師 候 覲 師 稱 疾 不 行 帝 遣 
T51n2095_003:1039b17	使勞問。凡居山三十年。影迹不至塵俗。每送	使 勞 問 凡 居 山 三 十 年 影 迹 不 至 塵 俗 每 送 
T51n2095_003:1039b18	客以虎溪為界。晉義熙十二年歲次丙辰八	客 以 虎 溪 為 界 晉 義 熙 十 二 年 歲 次 丙 辰 八 
T51n2095_003:1039b19	月初六日順寂。春秋八十三。初感疾。散動林	月 初 六 日 順 寂 春 秋 八 十 三 初 感 疾 散 動 林 
T51n2095_003:1039b20	下。耆德請飲豉酒米汁。皆不許。又請以蜜和	下 耆 德 請 飲 豉 酒 米 汁 皆 不 許 又 請 以 蜜 和 
T51n2095_003:1039b21	水為漿。師命律師一人。披尋律文。可否卷未	水 為 漿 師 命 律 師 一 人 披 尋 律 文 可 否 卷 未 
T51n2095_003:1039b22	半而終。遺命露骸林下。既而弟子與尋陽官	半 而 終 遺 命 露 骸 林 下 既 而 弟 子 與 尋 陽 官 
T51n2095_003:1039b23	屬。奉葬於西嶺。謝靈運銘張野序。唐會昌五	屬 奉 葬 於 西 嶺 謝 靈 運 銘 張 野 序 唐 會 昌 五 
T51n2095_003:1039b24	年乙丑寺廢。大中二年戊辰復。寺之復也。僧	年 乙 丑 寺 廢 大 中 二 年 戊 辰 復 寺 之 復 也 僧 
T51n2095_003:1039b25	正言乞賜旌褒。諡曰辯覺大師。昇元三年。改	正 言 乞 賜 旌 褒 諡 曰 辯 覺 大 師 昇 元 三 年 改 
T51n2095_003:1039b26	諡正覺。興國三年。諡圓悟大師。仍名其墳。曰	諡 正 覺 興 國 三 年 諡 圓 悟 大 師 仍 名 其 墳 曰 
T51n2095_003:1039b27	凝寂之塔。有匡山集二十卷。傳于世。	凝 寂 之 塔 有 匡 山 集 二 十 卷 傳 于 世 
T51n2095_003:1039b28	彭城劉遺民	彭 城 劉 遺 民 
T51n2095_003:1039b29	劉程之字仲思。彭城聚里人。漢楚元王之苗	劉 程 之 字 仲 思 彭 城 聚 里 人 漢 楚 元 王 之 苗 
T51n2095_003:1039c01	裔也。歷晉世至卿相。程之少孤事母。州閭稱	裔 也 歷 晉 世 至 卿 相 程 之 少 孤 事 母 州 閭 稱 
T51n2095_003:1039c02	孝。墳典百家靡不周覽。尤好佛理陳郡殷仲	孝 墳 典 百 家 靡 不 周 覽 尤 好 佛 理 陳 郡 殷 仲 
T51n2095_003:1039c03	堪桓玄等諸賢。莫不崇仰。解褐府參軍。程	堪 桓 玄 等 諸 賢 莫 不 崇 仰 解 褐 府 參 軍 程 
T51n2095_003:1039c04	之既慕遠公名德。欲白首同社。乃錄尋陽柴	之 既 慕 遠 公 名 德 欲 白 首 同 社 乃 錄 尋 陽 柴 
T51n2095_003:1039c05	桑。以為入山之資。歲滿棄去。結廬西林。蔽	桑 以 為 入 山 之 資 歲 滿 棄 去 結 廬 西 林 蔽 
T51n2095_003:1039c06	以榛莽。義熙間公侯。復辟之皆不應。後易名	以 榛 莽 義 熙 間 公 侯 復 辟 之 皆 不 應 後 易 名 
T51n2095_003:1039c07	遺民。遠公社賢推為上客。常貽書關中。與什	遺 民 遠 公 社 賢 推 為 上 客 常 貽 書 關 中 與 什 
T51n2095_003:1039c08	肇二法師通好。揚搉經論。著念佛三昧詩。道	肇 二 法 師 通 好 揚 搉 經 論 著 念佛三昧 詩 道 
T51n2095_003:1039c09	德名實諸詞文義之華。一時所挹。凡居山十	德 名 實 諸 詞 文 義 之 華 一 時 所 挹 凡 居 山 十 
T51n2095_003:1039c10	有二年。自正月感疾。便依念佛三昧。誦阿彌	有 二 年 自 正 月 感 疾 便 依 念佛三昧 誦 阿 彌 
T51n2095_003:1039c11	陀佛。至六月初。果見白毫相。次見佛真影。仍	陀 佛 至 六 月 初 果 見 白 毫 相 次 見 佛 真 影 仍 
T51n2095_003:1039c12	摩其頂。更作齋福。願速盡壽。又請僧讀無量	摩 其 頂 更 作 齋 福 願 速 盡 壽 又 請 僧 讀 無 量 
T51n2095_003:1039c13	壽法華經至二十七日。僧眾咸集。遺民曰。今	壽 法 華 經 至 二 十 七 日 僧 眾 咸 集 遺 民 曰 今 
T51n2095_003:1039c14	逝矣。予氣盡。勿哭以相惱亂。又行香。請眾	逝 矣 予 氣 盡 勿 哭 以 相 惱 亂 又 行 香 請 眾 
T51n2095_003:1039c15	僧。供養釋迦文佛。以謝令我知有阿彌陀佛。	僧 供 養 釋 迦 文 佛 以 謝 令 我 知 有 阿 彌 陀 佛 
T51n2095_003:1039c16	今日願必迎接。少頃合掌。西向而逝。命子雍	今 日 願 必 迎 接 少 頃 合 掌 西 向 而 逝 命 子 雍 
T51n2095_003:1039c17	積土為墓。勿用棺槨。當時無不高仰。即義熙	積 土 為 墓 勿 用 棺 槨 當 時 無 不 高 仰 即 義 熙 
T51n2095_003:1039c18	六年庚戌終。春秋五十七。	六 年 庚 戌 終 春 秋 五 十 七 
T51n2095_003:1039c19	豫章雷次宗	豫 章 雷 次 宗 
T51n2095_003:1039c20	雷次宗字仲倫。豫章南昌人。博學尤明詩禮。	雷 次 宗 字 仲 倫 豫 章 南 昌 人 博 學 尤 明 詩 禮 
T51n2095_003:1039c21	不就徵辟。入廬山立館東林僧房之東。與遠	不 就 徵 辟 入 廬 山 立 館 東 林 僧 房 之 東 與 遠 
T51n2095_003:1039c22	公同社。宋文帝元嘉十五年徵。至都立學鷄	公 同 社 宋 文 帝 元 嘉 十 五 年 徵 至 都 立 學 鷄 
T51n2095_003:1039c23	籠山。置生員百餘人。久之復還廬山。公卿祖	籠 山 置 生 員 百 餘 人 久 之 復 還 廬 山 公 卿 祖 
T51n2095_003:1039c24	道後再徵。築室鍾山西巖下。謂之招隱館。猶	道 後 再 徵 築 室 鍾 山 西 巖 下 謂 之 招 隱 館 猶 
T51n2095_003:1039c25	秉操。不入公門。每自華林園東林。入延賢堂。	秉 操 不 入 公 門 每 自 華 林 園 東 林 入 延 賢 堂 
T51n2095_003:1039c26	為太子諸王。講喪服經。元嘉二十五年戊子	為 太 子 諸 王 講 喪 服 經 元 嘉 二 十 五 年 戊 子 
T51n2095_003:1039c27	終。春秋六十三。	終 春 秋 六 十 三 
T51n2095_003:1039c28	雁門周續之	雁 門 周 續 之 
T51n2095_003:1039c29	周續之字道祖。雁門廣武人。後徙豫章建昌。	周 續 之 字 道 祖 雁 門 廣 武 人 後 徙 豫 章 建 昌 
T51n2095_003:1040a01	年十二。詣范寧受業。通五經五緯。號十經。同	年 十 二 詣 范 寧 受 業 通 五 經 五 緯 號 十 經 同 
T51n2095_003:1040a02	門推為顏子。劉毅命為參軍。又辟博士大尉	門 推 為 顏 子 劉 毅 命 為 參 軍 又 辟 博 士 大 尉 
T51n2095_003:1040a03	掾。俱不就。後入廬山。預遠公淨社。又與劉	掾 俱 不 就 後 入 廬 山 預 遠 公 淨 社 又 與 劉 
T51n2095_003:1040a04	遺民陶淵明。號尋陽三隱。續之不尚峻節。江	遺 民 陶 淵 明 號 尋 陽 三 隱 續 之 不 尚 峻 節 江 
T51n2095_003:1040a05	州刺史每相招請。亦往從之。武帝於東郭外	州 刺 史 每 相 招 請 亦 往 從 之 武 帝 於 東 郭 外 
T51n2095_003:1040a06	開館待之。乘輿降幸。問續之禮義。辯析精異。	開 館 待 之 乘 輿 降 幸 問 續 之 禮 義 辯 析 精 異 
T51n2095_003:1040a07	時號為通隱。或問續之。時踐王庭何也。續之	時 號 為 通 隱 或 問 續 之 時 踐 王 庭 何 也 續 之 
T51n2095_003:1040a08	笑曰。心馳魏闕者。以江湖為桎梏。情致兩忘	笑 曰 心 馳 魏 闕 者 以 江 湖 為 桎 梏 情 致 兩 忘 
T51n2095_003:1040a09	者。市朝亦巖穴耳。以昇平元年癸亥終于鍾	者 市 朝 亦 巖 穴 耳 以 昇 平 元 年 癸 亥 終 于 鍾 
T51n2095_003:1040a10	山。春秋六十七。	山 春 秋 六 十 七 
T51n2095_003:1040a11	南陽宗炳	南 陽 宗 炳 
T51n2095_003:1040a12	宗炳字少文。南陽涅陽人。祖承宜都太守父	宗 炳 字 少 文 南 陽 涅 陽 人 祖 承 宜 都 太 守 父 
T51n2095_003:1040a13	繇之湘鄉令。炳博學善琴書圖畫。尤精玄言。	繇 之 湘 鄉 令 炳 博 學 善 琴 書 圖 畫 尤 精 玄 言 
T51n2095_003:1040a14	宋武帝之在荊州也。召為主簿。不起。問其	宋 武 帝 之 在 荊 州 也 召 為 主 簿 不 起 問 其 
T51n2095_003:1040a15	故。答曰。棲丘飲谷。三十餘年矣。入廬山築	故 答 曰 棲 丘 飲 谷 三 十 餘 年 矣 入 廬 山 築 
T51n2095_003:1040a16	室。與遠公同社。後兄臧為南平太守。逼與俱	室 與 遠 公 同 社 後 兄 臧 為 南 平 太 守 逼 與 俱 
T51n2095_003:1040a17	還。乃於江陵三湖立宅。後辟參軍太尉掾。俱	還 乃 於 江 陵 三 湖 立 宅 後 辟 參 軍 太 尉 掾 俱 
T51n2095_003:1040a18	不就。乃勅南郡長。給吏役。數致餼賚。南陽王	不 就 乃 勅 南 郡 長 給 吏 役 數 致 餼 賚 南 陽 王 
T51n2095_003:1040a19	義季親至其室。命之角巾布衣引見。不拜。王	義 季 親 至 其 室 命 之 角 巾 布 衣 引 見 不 拜 王 
T51n2095_003:1040a20	曰。屈先生以重祿。可乎。對曰。祿如腐草。衰	曰 屈 先 生 以 重 祿 可 乎 對 曰 祿 如 腐 草 衰 
T51n2095_003:1040a21	盛幾何。雅好山水。往輒忘歸。甞西陟荊巫。南	盛 幾 何 雅 好 山 水 往 輒 忘 歸 甞 西 陟 荊 巫 南 
T51n2095_003:1040a22	登衡岳。晚年盡圖之於室曰。吾老矣。名山不	登 衡 岳 晚 年 盡 圖 之 於 室 曰 吾 老 矣 名 山 不 
T51n2095_003:1040a23	可再覩。唯澄懷觀道。臥以遊之。撫琴動操。欲	可 再 覩 唯 澄 懷 觀 道 臥 以 遊 之 撫 琴 動 操 欲 
T51n2095_003:1040a24	令眾山皆響。元嘉二十四年癸未終。春秋六	令 眾 山 皆 響 元 嘉 二 十 四 年 癸 未 終 春 秋 六 
T51n2095_003:1040a25	十九。	十 九 
T51n2095_003:1040a26	南陽張野	南 陽 張 野 
T51n2095_003:1040a27	張野字萊民。南陽宛人也。後徙潯陽柴桑。與	張 野 字 萊 民 南 陽 宛 人 也 後 徙 潯 陽 柴 桑 與 
T51n2095_003:1040a28	陶元亮通婚姻。學兼華竺善屬文。州舉秀才。	陶 元 亮 通 婚 姻 學 兼 華 竺 善 屬 文 州 舉 秀 才 
T51n2095_003:1040a29	南中郎府功曹州治中後徵散騎常侍。俱不	南 中 郎 府 功 曹 州 治 中 後 徵 散 騎 常 侍 俱 不 
T51n2095_003:1040b01	就。天資孝友。田宅舊業悉推與弟。一味之甘	就 天 資 孝 友 田 宅 舊 業 悉 推 與 弟 一 味 之 甘 
