X31n0610_001:0516a03	妙法蓮華經擊節	妙法蓮華 經 擊 節 
X31n0610_001:0520b15	塵勞隨根示現。故萬二千歲以十萬技樂并奉八萬	塵 勞 隨 根 示 現 故 萬 二 千 歲 以 十 萬 技 樂 并 奉 八 萬 
X31n0610_001:0520b16	四千七寶鉢。而能承事十方諸佛。淨佛國土。故親近	四 千 七 寶 鉢 而 能 承 事 十方諸佛 淨佛國土 故 親 近 
X31n0610_001:0520b17	供養多佛也。不動本際而作度生事業。故現種種身	供 養 多 佛 也 不 動 本 際 而 作 度 生 事 業 故 現種種身 
X31n0610_001:0520b18	處處為諸眾生說此經典。此正當九地十地以極等	處 處 為 諸 眾 生 說 此 經 典 此 正 當 九 地 十 地 以 極 等 
X31n0610_001:0520b19	覺之象也。以此示眾生日用現證之象。故與俱來者	覺 之 象 也 以 此 示 眾 生 日 用 現 證 之 象 故 與 俱 來 者 
X31n0610_001:0520b20	八萬四千人。皆得現一切色身三昧。而此娑婆世界	八萬四千 人 皆 得 現一切色身 三 昧 而 此 娑婆世界 
X31n0610_001:0520b21	無量菩薩亦得是三昧及陀羅尼也。以用不離體。故	無 量 菩 薩 亦 得 是 三 昧 及 陀 羅 尼 也 以 用 不 離 體 故 
X31n0610_001:0520b22	還歸本土圍繞白佛也。然此神通妙用。只在四大根	還 歸 本 土 圍 繞 白 佛 也 然 此 神 通 妙 用 只 在 四 大 根 
X31n0610_001:0520b23	塵之間身心轉變之力。故四萬二千天子皆得無生	塵 之 間 身 心 轉 變 之 力 故 四 萬 二 千 天 子 皆 得 無 生 
X31n0610_001:0520b24	法忍。此正覺法自性性意生身之象也。以出入三昧。	法 忍 此 正 覺 法 自 性 性 意 生 身 之 象 也 以 出 入 三 昧 
X31n0610_001:0520c01	故有往來之相。若夫觀音普門示現。齊觀並照。則無	故 有 往 來 之 相 若 夫 觀 音 普 門 示 現 齊 觀 並 照 則 無 
X31n0610_001:0520c02	彼此去來之跡。是則觀音妙應。乃示種類俱生無作	彼 此 去 來 之 跡 是 則 觀 音 妙 應 乃 示 種 類 俱 生 無 作 
X31n0610_001:0520c03	行意生身之象也。然此意生身。乃從等覺入於妙覺	行 意 生 身 之 象 也 然 此 意 生 身 乃 從 等 覺 入 於 妙 覺 
X31n0610_001:0520c04	果海。已得諸佛自覺聖智善樂。深入妙莊嚴海。逆流	果 海 已 得 諸 佛 自覺聖智 善 樂 深 入 妙 莊 嚴 海 逆 流 
X31n0610_001:0520c05	而出。現十界身。無思而應。所謂妙相莊嚴聖種類身	而 出 現 十 界 身 無 思 而 應 所 謂 妙 相 莊 嚴 聖 種 類 身 
X31n0610_001:0520c06	一時俱現。猶如意生。身土自他無障無礙。故云種類	一 時 俱 現 猶 如 意 生 身 土 自 他 無障無礙 故 云 種 類 
X31n0610_001:0520c07	俱生無作行意生身。此乃入妙覺後。大圓鏡智平等	俱 生 無 作 行 意 生 身 此 乃 入 妙 覺 後 大圓鏡智 平 等 
X31n0610_001:0520c08	顯現。故名普門示現神通之力也。由觀音大士以如	顯 現 故 名 普 門 示 現 神 通 之 力 也 由 觀 音 大 士 以 如 
X31n0610_001:0520c09	幻聞熏聞修金剛三昧力。故生滅既滅寂滅現前。忽	幻 聞 熏 聞 修 金 剛 三 昧 力 故 生 滅 既 滅 寂 滅 現 前 忽 
X31n0610_001:0520c10	然超越世出世間。即得上與十方諸佛同一慈力。下	然 超 越 世出世間 即 得 上 與 十方諸佛 同 一 慈 力 下 
X31n0610_001:0520c11	與六道眾生共一悲仰。故能以一身普應一切。故能	與 六 道 眾 生 共 一 悲 仰 故 能 以 一 身 普 應 一 切 故 能 
X31n0610_001:0520c12	三十二應四不思議十四無畏十九說法。八難二求	三 十 二 應 四 不 思 議 十 四 無 畏 十 九 說 法 八 難 二 求 
X31n0610_001:0520c13	無不感應。此妙行圓滿。法華三昧之成功。妙極於此	無 不 感 應 此 妙 行 圓 滿 法華三昧 之 成 功 妙 極 於 此 
X31n0610_001:0520c14	矣。冥心聖旨。可謂理極忘情謂。如何有喻齊。到頭霜	矣 冥 心 聖 旨 可 謂 理 極 忘 情 謂 如 何 有 喻 齊 到 頭 霜 
X31n0610_001:0520c15	夜月。任運落前溪。信乎是法甚深奧少有能信者。惟	夜 月 任 運 落 前 溪 信 乎 是 法 甚 深 奧 少 有 能 信 者 惟 
X31n0610_001:0520c16	深造自得者諦信不疑耳。由是觀之。至此妙行既圓。	深 造 自 得 者 諦 信 不 疑 耳 由 是 觀 之 至 此 妙 行 既 圓 
X31n0610_001:0520c17	因契佛心。故感三種加持。防非離過。使行人外魔無	因 契 佛 心 故 感 三 種 加 持 防 非 離 過 使 行 人 外 魔 無 
X31n0610_001:0520c18	擾。內習無餘。方能得二轉依克全妙果。故說後三品	擾 內 習 無 餘 方 能 得 二 轉 依 克 全 妙 果 故 說 後 三 品 
X31n0610_001:0520c19	以終其會也。三種加持者。謂神力加持。法力加持。現	以 終 其 會 也 三 種 加 持 者 謂 神 力 加 持 法 力 加 持 現 
X31n0610_001:0520c20	身面言說加持。如次三品當三種加持。則陀羅尼品。	身 面 言 說 加 持 如 次 三 品 當 三 種 加 持 則 陀 羅 尼 品 
X31n0610_001:0520c21	廼神力加持之象也。楞伽唯二種加持。謂現身面言	廼 神 力 加 持 之 象 也 楞 伽 唯 二 種 加 持 謂 現 身 面 言 
X31n0610_001:0520c22	說及手灌頂神力。以此經由開示悟入故須法力耳	說 及 手 灌 頂 神 力 以 此 經 由 開 示 悟 入 故 須 法 力 耳 
X31n0610_001:0520c23	梵語陀羅尼。此云總持。謂總一切法持無量義。乃一	梵 語 陀 羅 尼 此 云 總 持 謂 總 一 切 法 持 無 量 義 乃 一 
X31n0610_001:0520c24	心之異稱。而云神呪者。乃一切諸佛秘密實相心印。	心 之 異 稱 而 云 神 呪 者 乃 一切諸佛 秘 密 實 相 心 印 
X31n0610_001:0521a01	即如世之大將兵符耳。然大將而能風行八表坐靜	即 如 世 之 大 將 兵 符 耳 然 大 將 而 能 風 行 八 表 坐 靜 
X31n0610_001:0521a02	妖氛。掃除蕩淨而能致太平氣象者。兵符之力也。且	妖 氛 掃 除 蕩 淨 而 能 致 太 平 氣 象 者 兵 符 之 力 也 且 
X31n0610_001:0521a03	知淮陰之智勇。非握高帝之符。又何以破秦楚而成	知 淮 陰 之 智 勇 非 握 高 帝 之 符 又 何 以 破 秦 楚 而 成 
X31n0610_001:0521a04	定漢大業之功哉。是故上根利智修行之士。能一超	定 漢 大 業 之 功 哉 是 故 上 根 利 智 修 行 之 士 能 一 超 
X31n0610_001:0521a05	直入。奈何無始習氣微細幽潛。雖以止觀之力而消	直 入 奈 何 無 始 習 氣 微 細 幽 潛 雖 以 止 觀 之 力 而 消 
X31n0610_001:0521a06	磨之。葢有深固幽遠殊非智力可到者。苟非仰仗諸	磨 之 葢 有 深 固 幽 遠 殊 非 智 力 可 到 者 苟 非 仰 仗 諸 
X31n0610_001:0521a07	佛如來秘密。心印呪輪而攻擊之。倘內習一發則外	佛 如 來 秘 密 心 印 呪 輪 而 攻 擊 之 倘 內 習 一 發 則 外 
X31n0610_001:0521a08	魔易侵。如此又何能出生死證真常。而入寂光淨土	魔 易 侵 如 此 又 何 能 出 生 死 證 真 常 而 入 寂 光 淨 土 
X31n0610_001:0521a09	哉。是故修行者無有一人不仗秘密神呪收功故也。	哉 是 故 修 行 者 無 有 一 人 不 仗 秘 密 神 呪 收 功 故 也 
X31n0610_001:0521a10	葢行有顯密。前正觀之力。所謂顯行。此陀羅尼。乃密	葢 行 有 顯 密 前 正 觀 之 力 所 謂 顯 行 此 陀 羅 尼 乃 密 
X31n0610_001:0521a11	行耳。首楞嚴云。若修行人習氣未除。應當一心誦我	行 耳 首 楞 嚴 云 若 修 行 人 習 氣 未 除 應 當 一 心 誦 我 
X31n0610_001:0521a12	悉怛哆鉢怛囉秘密神呪。此所以法華三昧妙行功	悉 怛 哆 鉢 怛 囉 秘 密 神 呪 此 所 以 法華三昧 妙 行 功 
X31n0610_001:0521a13	圓。世尊憂愍末法。復說此陀羅尼品以深防邪誤。是	圓 世 尊 憂 愍 末 法 復 說 此 陀 羅 尼 品 以 深 防 邪 誤 是 
X31n0610_001:0521a14	所謂以神力加持也。首楞嚴云。十方如來因此呪心。	所 謂 以 神 力 加 持 也 首 楞 嚴 云 十 方 如 來 因 此 呪 心 
X31n0610_001:0521a15	得成無上正徧知覺。十方如來執此呪心。降伏諸魔	得 成 無 上 正 徧 知 覺 十 方 如 來 執 此 呪 心 降 伏 諸 魔 
X31n0610_001:0521a16	制諸外道。十方如來乘此呪心。坐寶蓮華應微塵國。	制 諸 外 道 十 方 如 來 乘 此 呪 心 坐 寶 蓮 華 應 微 塵 國 
X31n0610_001:0521a17	十方如來含此呪心。於微塵國轉大法輪。十方如來	十 方 如 來 含 此 呪 心 於 微 塵 國 轉 大 法 輪 十 方 如 來 
X31n0610_001:0521a18	持此呪心。能於十方摩頂授記。十方如來依此呪心。	持 此 呪 心 能 於 十 方 摩 頂 授 記 十 方 如 來 依 此 呪 心 
X31n0610_001:0521a19	能於十方拔濟群苦。十方如來隨此呪心。能於十方	能 於 十 方 拔 濟 群 苦 十 方 如 來 隨 此 呪 心 能 於 十 方 
X31n0610_001:0521a20	事善知識。四威儀中供養如意。恒沙如來會中為法	事 善 知 識 四 威 儀 中 供 養 如 意 恒 沙 如 來 會 中 為 法 
X31n0610_001:0521a21	王子。十方如來行此呪心。能於十方攝受親因。令諸	王 子 十 方 如 來 行 此 呪 心 能 於 十 方 攝 受 親 因 令 諸 
X31n0610_001:0521a22	小乘於秘密藏。不生驚怖。十方如來誦此呪心。成無	小 乘 於 秘 密 藏 不 生 驚 怖 十 方 如 來 誦 此 呪 心 成 無 
X31n0610_001:0521a23	上覺。坐菩提樹。入大涅槃。十方如來傳此呪心。於佛	上 覺 坐 菩 提 樹 入 大 涅 槃 十 方 如 來 傳 此 呪 心 於 佛 
X31n0610_001:0521a24	滅後付佛法事。究竟住持。嚴淨戒律悉得清淨。又云。	滅 後 付 佛 法 事 究 竟 住 持 嚴 淨 戒 律 悉 得 清 淨 又 云 
X31n0610_001:0521b01	汝等眾生未盡輪迴。發心至誠取阿羅漢。不持此呪。	汝 等 眾 生 未 盡 輪 迴 發 心 至 誠 取 阿 羅 漢 不 持 此 呪 
X31n0610_001:0521b02	而坐道場令其身心遠諸魔事。無有是處。噫。諸佛尚	而 坐 道 場 令 其 身 心 遠 諸 魔 事 無 有 是 處 噫 諸 佛 尚 
X31n0610_001:0521b03	然。況此未法業垢眾生乎。以此神呪。廼佛佛心印。故	然 況 此 未 法 業 垢 眾 生 乎 以 此 神 呪 廼 佛 佛 心 印 故 
X31n0610_001:0521b04	皆云六十二億恒河沙等諸佛所說。而說呪藥王為	皆 云 六 十 二 億 恒 河 沙 等 諸佛所說 而 說 呪 藥 王 為 
X31n0610_001:0521b05	初者。以此密印為妙行之首故。次即毗沙門說者。以	初 者 以 此 密 印 為 妙 行 之 首 故 次 即 毗 沙 門 說 者 以 
X31n0610_001:0521b06	天王。為護世四王。乃生死界之主。毗沙門乃北方之	天 王 為 護世四王 乃 生 死 界 之 主 毗 沙 門 乃 北 方 之 
X31n0610_001:0521b07	天王也。北方之卦為坎。坎者陷也。以一陽陷於二陰	天 王 也 北 方 之 卦 為 坎 坎 者 陷 也 以 一 陽 陷 於 二 陰 
X31n0610_001:0521b08	之中。以示生死險難之象。故行人於生死險難之中。	之 中 以 示 生 死 險 難 之 象 故 行 人 於 生 死 險 難 之 中 
X31n0610_001:0521b09	而欲頓證菩提。非神力加持。又何以濟眾難。出險道	而 欲 頓 證 菩 提 非 神 力 加 持 又 何 以 濟 眾 難 出 險 道 
X31n0610_001:0521b10	乎。次即持國天王者。持國乃東方之天王。東方之卦	乎 次 即 持 國 天 王 者 持 國 乃 東 方 之 天 王 東 方 之 卦 
X31n0610_001:0521b11	曰震。震者動也。東為群動之首。易曰。吉凶悔吝。生乎	曰 震 震 者 動 也 東 為 群 動 之 首 易 曰 吉 凶 悔 吝 生 乎 
X31n0610_001:0521b12	動也。論云。動必有苦。是則行人於生死動亂之中。而	動 也 論 云 動 必 有 苦 是 則 行 人 於 生 死 動 亂 之 中 而 
X31n0610_001:0521b13	作至靜之行。苟非神力加持。又何以臻寂滅之境哉。	作 至 靜 之 行 苟 非 神 力 加 持 又 何 以 臻 寂 滅 之 境 哉 
X31n0610_001:0521b14	至若南方之卦為離。離者麗也。虗明之象。西方之卦	至 若 南 方 之 卦 為 離 離 者 麗 也 虗 明 之 象 西 方 之 卦 
X31n0610_001:0521b15	為兌。兌者說也。若夫虗明悅豫之境則無庸加持。故	為 兌 兌 者 說 也 若 夫 虗 明 悅 豫 之 境 則 無 庸 加 持 故 
X31n0610_001:0521b16	彼二天王。不須說耳。而此繼之以羅剎女者。羅剎乃	彼 二 天 王 不 須 說 耳 而 此 繼 之 以 羅 剎 女 者 羅 剎 乃 
X31n0610_001:0521b17	幽昧之鬼。且飛行而食人肉者。女則陰邪之至。此示	幽 昧 之 鬼 且 飛 行 而 食 人 肉 者 女 則 陰 邪 之 至 此 示 
X31n0610_001:0521b18	無明羅剎業習戕害法身。今以止觀研窮。化無明而	無 明 羅 剎 業 習 戕 害 法 身 今 以 止 觀 研 窮 化 無 明 而 
X31n0610_001:0521b19	作妙明心光。故羅剎女。亦以身自擁護受持讀誦修	作 妙 明 心 光 故 羅 剎 女 亦 以 身 自 擁 護 受持讀誦 修 
X31n0610_001:0521b20	行是經者。頓令無明三毒淨盡無餘。所謂令得消眾	行 是 經 者 頓 令 無 明 三 毒 淨 盡 無 餘 所 謂 令 得 消 眾 
X31n0610_001:0521b21	毒藥也。以妙契法身。潛通法界。故香供為尊。一切煩	毒 藥 也 以 妙 契 法 身 潛 通 法 界 故 香 供 為 尊 一 切 煩 
X31n0610_001:0521b22	惱應念化成無上知覺。故種種諸燈供養而為第一。	惱 應 念 化 成 無 上 知 覺 故 種 種 諸 燈 供 養 而 為 第 一 
X31n0610_001:0521b23	此則六根清淨。八識圓明。故六萬八千人皆得無生	此 則 六 根 清 淨 八 識 圓 明 故 六 萬 八 千 人 皆 得 無 生 
X31n0610_001:0521b24	法忍。此皆神力加持之益也。神力加持外魔既消。苟	法 忍 此 皆 神 力 加 持 之 益 也 神 力 加 持 外 魔 既 消 苟 
X31n0610_001:0521c01	非法力內熏。又何能淨除內障。證二轉依哉。故說妙	非 法 力 內 熏 又 何 能 淨 除 內 障 證 二 轉 依 哉 故 說 妙 
X31n0610_001:0521c02	莊嚴王本事品。以示法力加持之象也。楞伽經云。若	莊 嚴 王 本 事 品 以 示 法 力 加 持 之 象 也 楞 伽 經 云 若 
X31n0610_001:0521c03	不以神力建立者。則墮外道惡見妄想。及諸聲聞眾	不 以 神 力 建 立 者 則 墮 外 道 惡 見 妄 想 及 諸 聲 聞 眾 
X31n0610_001:0521c04	魔希望。不得無上菩提。是故初地至七地。有相觀多。	魔 希 望 不 得 無上菩提 是 故 初 地 至 七 地 有 相 觀 多 
X31n0610_001:0521c05	若不加者則墮外道惡見。其八地已上。無相觀多。若	若 不 加 者 則 墮 外 道 惡 見 其 八 地 已 上 無 相 觀 多 若 
X31n0610_001:0521c06	不加者。則墮聲聞二乘之地。九地十地等覺不加。不	不 加 者 則 墮 聲 聞 二 乘 之 地 九 地 十 地 等 覺 不 加 不 
X31n0610_001:0521c07	能入妙。由是觀之。則前神呪加持。廼從初地至七地	能 入 妙 由 是 觀 之 則 前 神 呪 加 持 廼 從 初 地 至 七 地 
X31n0610_001:0521c08	之象也。故但言遠諸魔事。今此品者。廼九地已上入	之 象 也 故 但 言 遠 諸 魔 事 今 此 品 者 廼 九 地 已 上 入 
X31n0610_001:0521c09	妙之象。故言二子轉父邪心而同出家。乃本覺出纏	妙 之 象 故 言 二 子 轉 父 邪 心 而 同 出 家 乃 本 覺 出 纏 
X31n0610_001:0521c10	之象也。何以明之。妙莊嚴王者。乃如來藏在纏之象	之 象 也 何 以 明 之 妙 莊 嚴 王 者 乃 如 來 藏 在 纏 之 象 
X31n0610_001:0521c11	也。今顯發本真。故曰本事。以如來藏本是妙嚴果體	也 今 顯 發 本 真 故 曰 本 事 以 如 來 藏 本 是 妙 嚴 果 體 
X31n0610_001:0521c12	故。今迷之而為阿賴耶識。名八識心王。由此而有前	故 今 迷 之 而 為 阿賴耶識 名 八 識 心 王 由 此 而 有 前 
X31n0610_001:0521c13	六七轉識。造種種業。受種種苦。若轉六識而為妙觀	六 七 轉 識 造 種 種 業 受 種 種 苦 若 轉 六 識 而 為 妙 觀 
X31n0610_001:0521c14	察智。則藏識無染污可受。故名淨藏。若轉七識而為	察 智 則 藏 識 無 染 污 可 受 故 名 淨 藏 若 轉 七 識 而 為 
X31n0610_001:0521c15	平等性智。則分別之見即消。見分亦泯。即得法眼清	平等性智 則 分 別 之 見 即 消 見 分 亦 泯 即 得 法 眼 清 
X31n0610_001:0521c16	明。故名淨眼。此轉染令淨之象也。轉此二識。全仗止	明 故 名 淨 眼 此 轉 染 令 淨 之 象 也 轉 此 二 識 全 仗 止 
X31n0610_001:0521c17	觀之力。故淨德夫人者。止觀之象也。以夫人坤德也。	觀 之 力 故 淨 德 夫 人 者 止 觀 之 象 也 以 夫 人 坤 德 也 
X31n0610_001:0521c18	柔順之至。多內助之力。又始覺之象也。以止觀內資。	柔 順 之 至 多 內 助 之 力 又 始 覺 之 象 也 以 止 觀 內 資 
X31n0610_001:0521c19	隨順覺性。淨治無明。名曰淨德。故所生二子。能轉父	隨 順 覺 性 淨 治 無 明 名 曰 淨 德 故 所 生 二 子 能 轉 父 
X31n0610_001:0521c20	王之邪心耳。葢以此止觀之力。乃法身菩薩。得無分	王 之 邪 心 耳 葢 以 此 止 觀 之 力 乃 法身菩薩 得 無 分 
X31n0610_001:0521c21	別心。與諸佛智用相應。唯依法力自然修行熏習真	別 心 與 諸 佛 智 用 相 應 唯 依 法 力 自 然 修 行 熏 習 真 
X31n0610_001:0521c22	如。滅無明故。故所師之佛名雲雷音宿王華智。其國	如 滅 無 明 故 故 所 師 之 佛 名 雲 雷 音 宿 王 華 智 其 國 
X31n0610_001:0521c23	名淨光莊嚴也。以無依智淨自心體。故二子涌身虗	名 淨 光 莊 嚴 也 以 無 依 智 淨 自 心 體 故 二 子 涌 身 虗 
X31n0610_001:0521c24	空。現諸神變轉父邪心也。以六七因中轉。故二子先	空 現 諸 神 變 轉 父 邪 心 也 以 六 七 因 中 轉 故 二 子 先 
X31n0610_001:0522a01	請出家。而藏識中種子習氣。蒙止觀熏習之力。皆轉	請 出 家 而 藏 識 中 種 子 習 氣 蒙 止 觀 熏 習 之 力 皆 轉 
X31n0610_001:0522a02	染令淨。故王後宮八萬四千眷屬。皆堪任持妙法華	染 令 淨 故 王 後 宮 八萬四千 眷 屬 皆 堪 任 持 妙 法 華 
X31n0610_001:0522a03	經也。然如來藏所以不出生死苦趣者。皆由六識所	經 也 然 如 來 藏 所 以 不 出 生 死 苦 趣 者 皆 由 六 識 所 
X31n0610_001:0522a04	造業力牽纏故也。今六識既轉則八識之生死因絕。	造 業 力 牽 纏 故 也 今 六 識 既 轉 則 八 識 之 生 死 因 絕 
X31n0610_001:0522a05	以本來無染。故淨藏菩薩已於無量百千萬億劫通	以 本 來 無 染 故 淨 藏 菩 薩 已 於 無量百千萬億 劫 通 
X31n0610_001:0522a06	達離諸惡三昧也。所謂無作無造無受者。以本無性	達 離 諸 惡 三 昧 也 所 謂 無 作 無 造 無 受 者 以 本 無 性 
X31n0610_001:0522a07	故。以始覺有功本覺乃顯。故其王得諸佛集三昧。能	故 以 始 覺 有 功 本 覺 乃 顯 故 其 王 得 諸 佛 集 三 昧 能 
X31n0610_001:0522a08	知諸佛祕密之藏。以六七既轉。而五八一時俱轉。則	知 諸 佛 祕密之藏 以 六 七 既 轉 而 五 八 一 時 俱 轉 則 
X31n0610_001:0522a09	四大根塵無不轉者。故與王及群臣。并四萬二千人。	四 大 根 塵 無 不 轉 者 故 與 王 及 群 臣 并 四 萬 二 千 人 
X31n0610_001:0522a10	一時共詣佛所也。由轉染令淨。解脫纏縛。故解頸瓔	一 時 共 詣 佛 所 也 由 轉 染 令 淨 解 脫 纏 縛 故 解 頸 瓔 
X31n0610_001:0522a11	珞以散佛上也。以妙契法身常樂我淨涅槃妙德。故	珞 以 散 佛 上 也 以 妙 契 法 身 常樂我淨 涅 槃 妙 德 故 
X31n0610_001:0522a12	於虗空中化成四種寶臺。臺中有大寶牀。敷百千萬	於 虗 空 中 化 成 四 種 寶 臺 臺 中 有 大 寶 牀 敷 百 千 萬 
X31n0610_001:0522a13	天衣。其上有佛結跏趺坐也。葢虗空恒一。真常德也。	天 衣 其 上 有 佛 結跏趺坐 也 葢 虗 空 恒 一 真 常 德 也 
X31n0610_001:0522a14	天衣適體。真樂德也。有佛趺坐。真我德也。放大光明。	天 衣 適 體 真 樂 德 也 有 佛 趺 坐 真 我 德 也 放大光明 
X31n0610_001:0522a15	真淨德也。四德之象。居然可見。至此止觀功圓。同時	真 淨 德 也 四 德 之 象 居 然 可 見 至 此 止 觀 功 圓 同 時 
X31n0610_001:0522a16	出纏。故王與夫人二子眷屬。一齊出家。此葢借法力	出 纏 故 王 與 夫 人 二 子 眷 屬 一 齊 出 家 此 葢 借 法 力 
X31n0610_001:0522a17	熏習真如。乃緣因佛性耳。故云二子以神通變化轉	熏 習 真 如 乃 緣 因 佛 性 耳 故 云 二 子 以 神通變化 轉 
X31n0610_001:0522a18	我邪心。令得安住於佛法中。得見如來。此二子是我	我 邪 心 令 得 安 住 於佛法中 得 見 如 來 此 二 子 是 我 
X31n0610_001:0522a19	善知識。為欲發起宿世善根。饒益我故來生我家。此	善 知 識 為 欲 發 起 宿 世 善 根 饒 益 我 故 來 生 我 家 此 
X31n0610_001:0522a20	其善知識是大因緣。所以化導令得見佛。此皆顯示	其 善 知 識 是 大 因 緣 所 以 化 導 令 得 見 佛 此 皆 顯 示 
X31n0610_001:0522a21	資緣因熏習之力也。圓覺經云。譬如銷金礦。金非銷	資 緣 因 熏 習 之 力 也 圓 覺 經 云 譬 如 銷 金 礦 金 非 銷 
X31n0610_001:0522a22	故有。雖復本來金。終以銷成就。一成真金體。不復重	故 有 雖 復 本 來 金 終 以 銷 成 就 一 成 真 金 體 不 復 重 
X31n0610_001:0522a23	為礦。故云我從今日不復自隨心行不生邪見憍慢	為 礦 故 云 我 從 今 日 不 復 自 隨 心 行 不 生 邪 見 憍 慢 
X31n0610_001:0522a24	瞋恚諸惡之心也。一切塵勞應念清淨。故爾時八萬	瞋 恚 諸 惡 之 心 也 一 切 塵 勞 應 念 清 淨 故 爾 時 八 萬 
X31n0610_001:0522b01	四千人。遠塵離垢。於諸法中得法眼淨。然非法力內	四 千 人 遠塵離垢 於 諸 法 中 得法眼淨 然 非 法 力 內 
X31n0610_001:0522b02	熏。又何以臻此哉。故此品為法力加持之象也明矣。	熏 又 何 以 臻 此 哉 故 此 品 為 法 力 加 持 之 象 也 明 矣 
X31n0610_001:0522b03	今行人既仗神力加持。令外魔無撓。資法力加持。令	今 行 人 既 仗 神 力 加 持 令 外 魔 無 撓 資 法 力 加 持 令 
X31n0610_001:0522b04	內障不生。內外清淨身心解脫。妙行功圓。則所證真	內 障 不 生 內 外 清 淨 身 心 解 脫 妙 行 功 圓 則 所 證 真 
X31n0610_001:0522b05	如與法界等。是皆借果德以為因心之力也。因心既	如 與 法 界 等 是 皆 借 果 德 以 為 因 心 之 力 也 因 心 既 
X31n0610_001:0522b06	圓。果德亦滿。故說普賢勸發品以終其會焉。	圓 果 德 亦 滿 故 說 普 賢 勸 發 品 以 終 其 會 焉 
X31n0610_001:0522b07	普賢勸發品。乃現身面言說加持。以顯入佛知見之	普 賢 勸 發 品 乃 現 身 面 言 說 加 持 以 顯 入 佛 知 見 之 
X31n0610_001:0522b08	象也。以稱法界心。修普賢行。初發心時即仗此為真	象 也 以 稱 法 界 心 修 普 賢 行 初 發 心 時 即 仗 此 為 真 
X31n0610_001:0522b09	因。故終得妙契常果。然普賢有二。一謂道前普賢。乃	因 故 終 得 妙 契 常 果 然 普 賢 有 二 一 謂 道 前 普 賢 乃 
X31n0610_001:0522b10	等覺位。謂行彌法界曰普。隣極亞聖曰賢。此因位也。	等 覺 位 謂 行 彌 法 界 曰 普 隣 極 亞 聖 曰 賢 此 因 位 也 
X31n0610_001:0522b11	二道後普賢。謂稱真法界曰普。彌綸萬化曰賢。此入	二 道 後 普 賢 謂 稱 真 法 界 曰 普 彌 綸 萬 化 曰 賢 此 入 
X31n0610_001:0522b12	妙覺果海。不住涅槃。逆流而出。雖居果位。不捨因門。	妙 覺 果 海 不住涅槃 逆 流 而 出 雖 居 果 位 不 捨 因 門 
X31n0610_001:0522b13	廼今之普賢也。以初發心時即悟此體。依此起行。行	廼 今 之 普 賢 也 以 初 發 心 時 即 悟 此 體 依 此 起 行 行 
X31n0610_001:0522b14	起解絕。故曰勸發。然此普賢。以法界為身。遍在一切	起 解 絕 故 曰 勸 發 然 此 普 賢 以 法 界 為 身 遍 在 一 切 
X31n0610_001:0522b15	眾生動亂妄想塵勞之中。與一切人天神鬼諸魔眷	眾 生 動 亂 妄 想 塵 勞 之 中 與 一 切 人 天 神 鬼 諸 魔 眷 
X31n0610_001:0522b16	屬而為勞侶。故從東方而來。與無量大眾各現神通	屬 而 為 勞 侶 故 從 東 方 而 來 與 無 量 大 眾 各 現 神 通 
X31n0610_001:0522b17	之力。到此娑婆世界釋迦牟尼佛所也。以法身真際。	之 力 到 此 娑婆世界 釋 迦 牟 尼 佛 所 也 以 法 身 真 際 
X31n0610_001:0522b18	乃離心識處。故云在寶威德上王佛國。此離言之道。	乃 離 心 識 處 故 云 在 寶 威 德 上 王 佛 國 此 離 言 之 道 
X31n0610_001:0522b19	今以法力熏習而由言說通達。故曰遙聞此娑婆世	今 以 法 力 熏 習 而 由 言 說 通 達 故 曰 遙 聞 此 娑 婆 世 
X31n0610_001:0522b20	界說法華經。與諸大眾而來聽受。所謂雖復不依言	界 說 法 華 經 與 諸 大 眾 而 來 聽 受 所 謂 雖 復 不 依 言 
X31n0610_001:0522b21	語道。亦復不著無言說。故云唯願世尊當為說之也。	語 道 亦 復 不 著 無 言 說 故 云 唯 願 世 尊 當 為 說 之 也 
X31n0610_001:0522b22	然而普賢如此請問。世尊更無一言加答者。正顯離	然 而 普 賢 如 此 請 問 世 尊 更 無 一 言 加 答 者 正 顯 離 
X31n0610_001:0522b23	言之道。不容聲矣。此正忘言絕證之象也。故普賢即	言 之 道 不 容 聲 矣 此 正 忘 言 絕 證 之 象 也 故 普 賢 即 
X31n0610_001:0522b24	問於如來滅後云何能得是經。向來一往諸大菩薩	問 於 如來滅後 云 何 能 得 是 經 向 來 一 往 諸 大 菩 薩 
X31n0610_001:0522c01	但問讀誦受持而已。然未聞有言得之者。今普賢即	但 問 讀 誦 受 持 而 已 然 未 聞 有 言 得 之 者 今 普 賢 即 
X31n0610_001:0522c02	云得是經者。足知由前解行。於此證入。所謂此品顯	云 得 是 經 者 足 知 由 前 解 行 於 此 證 入 所 謂 此 品 顯 
X31n0610_001:0522c03	入佛之知見明矣。然世尊所答得處不多。亦不在多	入 佛 之 知 見 明 矣 然 世 尊 所 答 得 處 不 多 亦 不 在 多 
X31n0610_001:0522c04	劫修行。唯在成就四法。於如來滅後當得是經。如此	劫 修 行 唯 在 成 就 四 法 於 如來滅後 當 得 是 經 如 此 
X31n0610_001:0522c05	而已。四法者。一諸佛護念。二植眾德本。三入正定聚。	而 已 四 法 者 一 諸 佛 護 念 二 植 眾 德 本 三 入正定聚 
