X25n0475_001:0071a03	 金剛鎞序	 金 剛 鎞 序 
X25n0475_001:0083b03	此第二番校量顯勝也。如恒河中所有沙者。約一	此 第 二 番 校 量 顯 勝 也 如 恒 河 中 所 有 沙 者 約 一 
X25n0475_001:0083b04	恒河中之沙也。如是沙等恒河者。約一河之沙數	恒 河 中 之 沙 也 如 是 沙 等 恒 河 者 約 一 河 之 沙 數 
X25n0475_001:0083b05	恒河也。是諸恒河沙寧為多不。至爾所三千大千	恒 河 也 是 諸 恒 河 沙 寧 為 多 不 至 爾 所 三千大千 
X25n0475_001:0083b06	世界者。約諸河之沙數世界也。世界之多無量。悉	世 界 者 約 諸 河 之 沙 數 世 界 也 世 界 之 多 無 量 悉 
X25n0475_001:0083b07	以七寶滿之而施。福之多也甚矣。乃於此經持說	以 七 寶 滿 之 而 施 福 之 多 也 甚 矣 乃 於 此 經 持 說 
X25n0475_001:0083b08	四句偈等。其福勝彼。則經之功德。為何如哉。問。何	四 句 偈 等 其 福 勝 彼 則 經 之 功 德 為 何 如 哉 問 何 
X25n0475_001:0083b09	不於初校量中。即說無量世界以顯其勝耶。答。為	不 於 初 校 量 中 即 說 無量世界 以 顯 其 勝 耶 答 為 
X25n0475_001:0083b10	漸化眾生。漸信上妙義故。又法雖無二。所顯不同。	漸 化 眾 生 漸 信 上 妙 義 故 又 法 雖 無 二 所 顯 不 同 
X25n0475_001:0083b11	如四果無心。迦文無得。嚴淨國土。不嚴而嚴。修證	如 四 果 無 心 迦 文 無 得 嚴 淨 國 土 不 嚴 而 嚴 修 證 
X25n0475_001:0083b12	報身。無證而證。前喻之前。皆所未顯。今既顯明。故	報 身 無 證 而 證 前 喻 之 前 皆 所 未 顯 今 既 顯 明 故 
X25n0475_001:0083b13	喻復殊勝。如彌勒云。說多義差別。亦成勝校量。後	喻 復 殊 勝 如 彌 勒 云 說 多 義 差 別 亦 成 勝 校 量 後 
X25n0475_001:0083b14	福過於前。故重說勝喻。△二別顯經勝五。初尊處	福 過 於 前 故 重 說 勝 喻 二 別 顯 經 勝 五 初 尊 處 
X25n0475_001:0083b15	嘆人顯經勝。二約義辯名顯經勝。三佛無異說顯	嘆 人 顯 經 勝 二 約 義 辯 名 顯 經 勝 三 佛 無 異 說 顯 
X25n0475_001:0083b16	經勝。四施福劣塵顯經勝。五感果離相顯經勝。	經 勝 四 施 福 劣 塵 顯 經 勝 五 感 果 離 相 顯 經 勝 
X25n0475_001:0083b17	初尊處嘆人顯經勝。	初 尊 處 嘆 人 顯 經 勝 
X25n0475_001:0083b18	復次。須菩提。隨說是經乃至四句偈等。當知此處。一	復 次 須 菩 提 隨 說 是 經 乃 至 四 句 偈 等 當 知 此 處 一 
X25n0475_001:0083b19	切世間天人阿修羅。皆應供養。如佛塔廟。何況有人	切 世 間 天 人 阿 修 羅 皆 應 供 養 如 佛 塔 廟 何 況 有 人 
X25n0475_001:0083b20	盡能受持讀誦。須菩提。當知是人。成就最上第一希	盡 能 受持讀誦 須 菩 提 當 知 是 人 成 就 最 上 第 一 希 
X25n0475_001:0083b21	有之法。若是經典所在之處。則為有佛。若尊重弟子。	有 之 法 若 是 經 典 所 在 之 處 則 為 有 佛 若 尊重弟子 
X25n0475_001:0083b22	上已總校經福殊勝。若別顯之。復次須菩提。隨機	上 已 總 校 經 福 殊 勝 若 別 顯 之 復 次 須 菩 提 隨 機 
X25n0475_001:0083b23	隨處。因時致宜而隨說是經。從多或寡。乃至四句	隨 處 因 時 致 宜 而 隨 說 是 經 從 多 或 寡 乃 至 四 句 
X25n0475_001:0083b24	偈等。當知此處一切世間天人阿修羅。皆應供養	偈 等 當 知 此 處 一切世間 天 人 阿 修 羅 皆 應 供 養 
X25n0475_001:0083c01	如佛塔廟。說經之處尚宜尊敬若此。何況盡能受	如 佛 塔 廟 說 經 之 處 尚 宜 尊 敬 若 此 何 況 盡 能 受 
X25n0475_001:0083c02	持讀誦之人乎。當知是人成就最上第一希有之	持 讀 誦 之 人 乎 當 知 是 人 成 就 最 上 第一希有 之 
X25n0475_001:0083c03	法。而其恭敬供養。又當何如。是以此經所在之處。	法 而 其 恭敬供養 又 當 何 如 是 以 此 經 所 在 之 處 
X25n0475_001:0083c04	即佛與文殊等。尊重弟子之所在。以一切聖賢。皆	即 佛 與 文 殊 等 尊重弟子 之 所 在 以 一 切 聖 賢 皆 
X25n0475_001:0083c05	證無為。經顯無為。豈非聖賢所在。故當恭敬其有	證 無 為 經 顯 無 為 豈 非 聖 賢 所 在 故 當 恭 敬 其 有 
X25n0475_001:0083c06	法之處。恭敬其受法之人。如彌勒云。尊重於二處。	法 之 處 恭 敬 其 受 法 之 人 如 彌 勒 云 尊 重 於 二 處 
X25n0475_001:0083c07	謂人與處也。若施寶之處。施寶之人。豈當如是恭	謂 人 與 處 也 若 施 寶 之 處 施 寶 之 人 豈 當 如 是 恭 
X25n0475_001:0083c08	敬。豈能如是恭敬乎。經之勝于寶施。此其一也。又	敬 豈 能 如 是 恭 敬 乎 經 之 勝 于 寶 施 此 其 一 也 又 
X25n0475_001:0083c09	最上第一希有。是極嘆其妙。若分之。亦可最上是	最 上 第一希有 是 極 嘆 其 妙 若 分 之 亦 可 最 上 是 
X25n0475_001:0083c10	法身。第一是報身。希有是應身。以持經能顯法身。	法 身 第 一 是 報 身 希 有 是 應 身 以 持 經 能 顯 法 身 
X25n0475_001:0083c11	能生福身故也。△二約義辯名顯經勝。	能 生 福 身 故 也 二 約 義 辯 名 顯 經 勝 
X25n0475_001:0083c12	爾時。須菩提白佛言。世尊。當何名此經。我等云何奉	爾 時 須 菩 提 白 佛 言 世 尊 當 何 名 此 經 我 等 云 何 奉 
X25n0475_001:0083c13	持。佛告須菩提。是經名為金剛般若波羅蜜。以是名	持 佛 告 須 菩 提 是 經 名 為 金 剛 般 若 波 羅 蜜 以 是 名 
X25n0475_001:0083c14	字。汝當奉持。所以者何。須菩提。佛說般若波羅蜜。則	字 汝 當 奉 持 所以者何 須 菩 提 佛 說 般 若 波 羅 蜜 則 
X25n0475_001:0083c15	非般若波羅蜜。	非 般 若 波 羅 蜜 
X25n0475_001:0083c16	當機聞法殊勝如此。乃因勝問名。并求奉持之法	當 機 聞 法 殊 勝 如 此 乃 因 勝 問 名 并 求 奉 持 之 法 
X25n0475_001:0083c17	也。此經名金剛等者。以般若觀照之功。堅故不為	也 此 經 名 金 剛 等 者 以 般 若 觀 照 之 功 堅 故 不 為 
X25n0475_001:0083c18	一切所壞。利故能壞一切。惑染擬之則消。結業攖	一 切 所 壞 利 故 能 壞 一 切 惑 染 擬 之 則 消 結 業 攖 
X25n0475_001:0083c19	之則碎。故云以是名字之義汝當奉持。又恐疑云。	之 則 碎 故 云 以 是 名 字 之 義 汝 當 奉 持 又 恐 疑 云 
X25n0475_001:0083c20	佛凡說法。名相皆空。今特立此名。豈不違於空義。	佛 凡 說 法 名 相 皆 空 今 特 立 此 名 豈 不 違 於 空 義 
X25n0475_001:0083c21	故復徵云。以何所以。立此名耶。乃云佛說般若波	故 復 徵 云 以 何 所 以 立 此 名 耶 乃 云 佛 說 般 若 波 
X25n0475_001:0083c22	羅蜜。即非般若波羅蜜。般若等者名也。則非般若	羅 蜜 即 非 般 若 波 羅 蜜 般 若 等 者 名 也 則 非 般 若 
X25n0475_001:0083c23	等者。無名也。無名之名。何違空義。又因名顯義。義	等 者 無 名 也 無 名 之 名 何 違 空 義 又 因 名 顯 義 義 
X25n0475_001:0083c24	實名虗。若執虗名。豈有實義。故佛說金剛般若波	實 名 虗 若 執 虗 名 豈 有 實 義 故 佛 說 金 剛 般 若 波 
X25n0475_001:0084a01	羅蜜。則非金剛般若波羅蜜。是則寶施特救濟于	羅 蜜 則 非 金 剛 般 若 波 羅 蜜 是 則 寶 施 特 救 濟 于 
X25n0475_001:0084a02	一時。而般若斷煩惱于永劫。經之勝于寶施者。此	一 時 而 般 若 斷 煩 惱 于 永 劫 經 之 勝 于 寶 施 者 此 
X25n0475_001:0084a03	其二也。問。正宗尚未。遽問名者何也。答。以總該別	其 二 也 問 正 宗 尚 未 遽 問 名 者 何 也 答 以 總 該 別 
X25n0475_001:0084a04	故。經有題目。則已說者有所統總而不忘。未說者	故 經 有 題 目 則 已 說 者 有 所 統 總 而 不 忘 未 說 者 
X25n0475_001:0084a05	有所貫攝而易曉。故先問也。△三佛無異說顯經	有 所 貫 攝 而 易 曉 故 先 問 也 三 佛 無 異 說 顯 經 
X25n0475_001:0084a06	勝。	勝 
X25n0475_001:0084a07	須菩提。於意云何。如來有所說法不。須菩提白佛言。	須 菩 提 於意云何 如 來 有 所 說 法 不 須 菩 提 白 佛 言 
X25n0475_001:0084a08	世尊。如來無所說。	世 尊 如 來 無 所 說 
X25n0475_001:0084a09	佛意謂。須菩提。汝既知名即無名。便可悟說即無	佛 意 謂 須 菩 提 汝 既 知 名 即 無 名 便 可 悟 說 即 無 
X25n0475_001:0084a10	說矣。於汝意云何。如來除所證法外。為有別異之	說 矣 於汝意云何 如 來 除 所 證 法 外 為 有 別 異 之 
X25n0475_001:0084a11	說耶。為說全是證。更無別異之說耶。空生即悟其	說 耶 為 說 全 是 證 更 無 別 異 之 說 耶 空 生 即 悟 其 
X25n0475_001:0084a12	意而白佛言。世尊。如來無所說。意以有說皆如其	意 而 白 佛 言 世 尊 如 來 無 所 說 意 以 有 說 皆 如 其 
X25n0475_001:0084a13	證。證中無說。豈有異耶。故自其言辭觀之。不無差	證 證 中 無 說 豈 有 異 耶 故 自 其 言 辭 觀 之 不 無 差 
X25n0475_001:0084a14	別之殊。自其實證而有言辭以觀之。說全是證。則	別 之 殊 自 其 實 證 而 有 言 辭 以 觀 之 說 全 是 證 則 
X25n0475_001:0084a15	何一毫別異于其間哉。諸佛證同。說同。皆說般若。	何 一 毫 別 異 于 其 間 哉 諸 佛 證 同 說 同 皆 說 般 若 
X25n0475_001:0084a16	皆無所說。故云。如來無所說。如彌勒連前金剛般	皆 無 所 說 故 云 如 來 無 所 說 如 彌 勒 連 前 金 剛 般 
X25n0475_001:0084a17	若名字而為偈云。因習證大體。言持習金剛般若	若 名 字 而 為 偈 云 因 習 證 大 體 言 持 習 金 剛 般 若 
X25n0475_001:0084a18	大因。能證金剛般若大體也。彼寶施之因。豈能證	大 因 能 證 金 剛 般 若 大 體 也 彼 寶 施 之 因 豈 能 證 
X25n0475_001:0084a19	大體。豈能證大體。而說即無說。豈能說即無說。而	大 體 豈 能 證 大 體 而 說 即 無 說 豈 能 說 即 無 說 而 
X25n0475_001:0084a20	使眾生皆歸於一實之證耶。經之勝於寶施者。此	使 眾 生 皆 歸 於 一 實 之 證 耶 經 之 勝 於 寶 施 者 此 
X25n0475_001:0084a21	其三也。△四施福劣塵顯經勝。	其 三 也 四 施 福 劣 塵 顯 經 勝 
X25n0475_001:0084a22	須菩提。於意云何。三千大千世界所有微塵。是為多	須 菩 提 於意云何 三千大千世界 所 有 微 塵 是 為 多 
X25n0475_001:0084a23	不。須菩提言。甚多。世尊。須菩提。諸微塵。如來說非微	不 須 菩 提 言 甚 多 世 尊 須 菩 提 諸 微 塵 如 來 說 非 微 
X25n0475_001:0084a24	塵。是名微塵。如來說。世界。非世界。是名世界。	塵 是 名 微 塵 如 來 說 世 界 非 世 界 是 名 世 界 
X25n0475_001:0084b01	佛意謂。須菩提。於汝意中作何見解。前聞持說大	佛 意 謂 須 菩 提 於 汝 意 中 作 何 見 解 前 聞 持 說 大 
X25n0475_001:0084b02	勝於寶施。得無尚有未能盡信於此者乎。不知持	勝 於 寶 施 得 無 尚 有 未 能 盡 信 於 此 者 乎 不 知 持 
X25n0475_001:0084b03	說固勝於寶施。勝寶施者。且不必於持說。寶施固	說 固 勝 於 寶 施 勝 寶 施 者 且 不 必 於 持 說 寶 施 固 
X25n0475_001:0084b04	劣於持說。劣持說者。猶高論其寶施也。試以塵界	劣 於 持 說 劣 持 說 者 猶 高 論 其 寶 施 也 試 以 塵 界 
X25n0475_001:0084b05	言之。三千大千世界。所有微塵。如是界塵。是為多	言 之 三千大千世界 所 有 微 塵 如 是 界 塵 是 為 多 
X25n0475_001:0084b06	不。須菩提言。甚多。世尊。佛言。須菩提。汝須知有情	不 須 菩 提 言 甚 多 世 尊 佛 言 須 菩 提 汝 須 知 有 情 
X25n0475_001:0084b07	塵界。不同於無情。有情以煩惱為塵。染因為界。無	塵 界 不 同 於 無 情 有 情 以 煩 惱 為 塵 染 因 為 界 無 
X25n0475_001:0084b08	情以無記為塵。無記為界。今如來說微塵。非寶施	情 以 無 記 為 塵 無 記 為 界 今 如 來 說 微 塵 非 寶 施 
X25n0475_001:0084b09	貪欲果報之煩惱塵。是名無情無分別之無記塵。	貪 欲 果 報 之 煩 惱 塵 是 名 無 情 無 分 別 之 無 記 塵 
X25n0475_001:0084b10	說世界。非寶施遷流隔別之染因界。是名無情無	說 世 界 非 寶 施 遷 流 隔 別 之 染 因 界 是 名 無 情 無 
X25n0475_001:0084b11	分別之無記界。故彌勒云。彼因習煩惱。謂習彼寶	分 別 之 無 記 界 故 彌 勒 云 彼 因 習 煩 惱 謂 習 彼 寶 
X25n0475_001:0084b12	施之因。而生煩惱也。然則無情塵界。是無分別。比	施 之 因 而 生 煩 惱 也 然 則 無 情 塵 界 是 無 分 別 比 
X25n0475_001:0084b13	諸寶施福德為近。寶施福德既有煩惱。比諸無情	諸 寶 施 福 德 為 近 寶 施 福 德 既 有 煩 惱 比 諸 無 情 
X25n0475_001:0084b14	世界為遠。寶施尚劣於塵界。安得不劣於持經。持	世 界 為 遠 寶 施 尚 劣 於 塵 界 安 得 不 劣 於 持 經 持 
X25n0475_001:0084b15	經尚勝於塵界。而豈得不勝於寶施耶。如百姓不	經 尚 勝 於 塵 界 而 豈 得 不 勝 於 寶 施 耶 如 百 姓 不 
X25n0475_001:0084b16	及宰相。宰相不及天子。天子尚過於宰相。豈得不	及 宰 相 宰 相 不 及 天 子 天 子 尚 過 於 宰 相 豈 得 不 
X25n0475_001:0084b17	過百姓乎。噫。可無惑矣。經之勝於寶施者。此其四	過 百 姓 乎 噫 可 無 惑 矣 經 之 勝 於 寶 施 者 此 其 四 
X25n0475_001:0084b18	也。△五感果離相顯經勝。	也 五 感 果 離 相 顯 經 勝 
X25n0475_001:0084b19	須菩提。於意云何。可以三十二相見如來不。不也。世	須 菩 提 於意云何 可 以 三十二相 見 如 來 不 不 也 世 
X25n0475_001:0084b20	尊。不可以三十二相得見如來。何以故。如來說。三十	尊 不 可 以 三十二相 得 見 如 來 何 以 故 如 來 說 三 十 
X25n0475_001:0084b21	二相即是非相。是名三十二相。	二 相 即 是 非 相 是 名 三十二相 
X25n0475_001:0084b22	如來意謂。須菩提。於意云何。我適言寶施能生塵	如 來 意 謂 須 菩 提 於意云何 我 適 言 寶 施 能 生 塵 
X25n0475_001:0084b23	界。得無施者聞之。將謂我寶施求成佛相。豈生煩	界 得 無 施 者 聞 之 將 謂 我 寶 施 求 成 佛 相 豈 生 煩 
X25n0475_001:0084b24	惱。欲以三十二相見法身如來乎。且無論住相之	惱 欲 以 三十二相 見 法 身 如 來 乎 且 無 論 住 相 之 
X25n0475_001:0084c01	福。能成佛不。即此三十二相可以見真如來否耶。	福 能 成 佛 不 即 此 三十二相 可 以 見 真 如 來 否 耶 
X25n0475_001:0084c02	汝其言之。以開施者之迷也。乃空生斷其不可。復	汝 其 言 之 以 開 施 者 之 迷 也 乃 空 生 斷 其 不 可 復 
X25n0475_001:0084c03	究其不可者。以如來說三十二相非是法身無為	究 其 不 可 者 以 如 來 說 三十二相 非 是 法 身 無 為 
X25n0475_001:0084c04	之相。是名化身有為之相故也。是知三十二應身	之 相 是 名 化 身 有 為 之 相 故 也 是 知 三 十 二 應 身 
X25n0475_001:0084c05	之佛相。尚非無相法身之真佛。況著相之施。所成	之 佛 相 尚 非 無 相 法 身 之 真 佛 況 著 相 之 施 所 成 
X25n0475_001:0084c06	轉輪之王相乎。轉輪之王相尚非三十二應身之	轉 輪 之 王 相 乎 轉 輪 之 王 相 尚 非 三 十 二 應 身 之 
X25n0475_001:0084c07	佛相。況無相法身之真相乎。如天冠地履之不相	佛 相 況 無 相 法 身 之 真 相 乎 如 天 冠 地 履 之 不 相 
X25n0475_001:0084c08	侔矣。何可見也。今持說此無相之經。不唯能感三	侔 矣 何 可 見 也 今 持 說 此 無 相 之 經 不 唯 能 感 三 
X25n0475_001:0084c09	十二大人之妙相。且能顯本有清淨法身之實相。	十 二 大 人 之 妙 相 且 能 顯 本 有 清 淨 法 身 之 實 相 
X25n0475_001:0084c10	其勝寶施為何如哉。故彌勒云。此降伏染福。謂施	其 勝 寶 施 為 何 如 哉 故 彌 勒 云 此 降 伏 染 福 謂 施 
X25n0475_001:0084c11	寶之福。是染。持說之福。是淨。福中之福。能降彼染。	寶 之 福 是 染 持 說 之 福 是 淨 福 中 之 福 能 降 彼 染 
X25n0475_001:0084c12	經之勝於寶施者。此其五也。△二內財校量顯經	經 之 勝 於 寶 施 者 此 其 五 也 二 內 財 校 量 顯 經 
X25n0475_001:0084c13	勝二。初正為校量。二別顯殊勝。初正為校量。	勝 二 初 正 為 校 量 二 別 顯 殊 勝 初 正 為 校 量 
X25n0475_001:0084c14	須菩提。若有善男子．善女人。以恒河沙等身命布施。	須 菩 提 若 有 善 男 子 善 女 人 以 恒 河 沙 等 身 命 布 施 
X25n0475_001:0084c15	若復有人。於此經中。乃至受持四句偈等。為他人說。	若 復 有 人 於 此 經 中 乃 至 受 持 四 句 偈 等 為 他 人 說 
X25n0475_001:0084c16	其福甚多。	其 福 甚 多 
X25n0475_001:0084c17	如來意謂。我以無量世界寶施校量。不及持說此	如 來 意 謂 我 以 無量世界 寶 施 校 量 不 及 持 說 此 
X25n0475_001:0084c18	經。是雖過前世界之校。而終為外財。猶不足以顯	經 是 雖 過 前 世 界 之 校 而 終 為 外 財 猶 不 足 以 顯 
X25n0475_001:0084c19	其勝也。若有以恒河沙等身命布施。則是內非外	其 勝 也 若 有 以 恒 河 沙 等 身 命 布 施 則 是 內 非 外 
X25n0475_001:0084c20	是多非寡。是至為殊勝之福。而殊非恒沙外財之	是 多 非 寡 是 至 為 殊 勝 之 福 而 殊 非 恒 沙 外 財 之 
X25n0475_001:0084c21	可比者矣。宜無有以勝之者矣。不知若復有人。於	可 比 者 矣 宜 無 有 以 勝 之 者 矣 不 知 若 復 有 人 於 
X25n0475_001:0084c22	此經中。乃至受持四句偈等。為他人說。而其福德。	此 經 中 乃 至 受 持 四 句 偈 等 為 他 人 說 而 其 福 德 
X25n0475_001:0084c23	比此福德。猶為甚多。則持說之勝為何如哉。故彌	比 此 福 德 猶 為 甚 多 則 持 說 之 勝 為 何 如 哉 故 彌 
X25n0475_001:0084c24	勒云。苦身勝於彼。言住相捨身。猶感苦果。而持說	勒 云 苦 身 勝 於 彼 言 住 相 捨 身 猶 感 苦 果 而 持 說 
X25n0475_001:0085a01	勝彼苦身之行也。△二別顯殊勝四。初泣歎深法	勝 彼 苦 身 之 行 也 二 別 顯 殊 勝 四 初 泣 歎 深 法 
X25n0475_001:0085a02	顯經勝。二今信得益顯經勝。三當信同佛顯經勝。	顯 經 勝 二 今 信 得 益 顯 經 勝 三 當 信 同 佛 顯 經 勝 
X25n0475_001:0085a03	四但聞不動顯經勝。初泣嘆深法顯經勝。	四 但 聞 不 動 顯 經 勝 初 泣 嘆 深 法 顯 經 勝 
X25n0475_001:0085a04	爾時。須菩提聞說是經。深解義趣。涕淚悲泣。而白佛	爾 時 須 菩 提 聞 說 是 經 深 解 義 趣 涕 淚 悲 泣 而 白 佛 
X25n0475_001:0085a05	言。希有。世尊。佛說如是甚深經典。我從昔來所得慧	言 希 有 世 尊 佛 說 如 是 甚深經典 我 從 昔 來 所 得 慧 
X25n0475_001:0085a06	眼。未曾得聞如是之經。	眼 未 曾 得 聞 如 是 之 經 
X25n0475_001:0085a07	當佛正校量時。聞之深解涕泣者。以從首章至此。	當 佛 正 校 量 時 聞 之 深 解 涕 泣 者 以 從 首 章 至 此 
X25n0475_001:0085a08	義趣微妙。莫可思量。不解者漠然不動於中。淺解	義 趣 微 妙 莫 可 思 量 不 解 者 漠 然 不 動 於 中 淺 解 
X25n0475_001:0085a09	者動而不切。今惟智與理冥。境與神會。如久閉囹	者 動 而 不 切 今 惟 智 與 理 冥 境 與 神 會 如 久 閉 囹 
X25n0475_001:0085a10	圄。忽承解脫之方。素遭貧乏。乍獲摩尼之賜。凄然	圄 忽 承 解 脫 之 方 素 遭 貧 乏 乍 獲 摩 尼 之 賜 凄 然 
X25n0475_001:0085a11	惕然。動於中。發於外。自不覺其喜極而悲深也。又	惕 然 動 於 中 發 於 外 自 不 覺 其 喜 極 而 悲 深 也 又 
X25n0475_001:0085a12	傷彼捨命河沙。劣於持說。不達深旨。徒自疲勞。尤	傷 彼 捨 命 河 沙 劣 於 持 說 不 達 深 旨 徒 自 疲 勞 尤 
X25n0475_001:0085a13	可悲也。希有。世尊。如是甚深者。正義趣之深解。從	可 悲 也 希 有 世 尊 如 是 甚 深 者 正 義 趣 之 深 解 從 
X25n0475_001:0085a14	昔慧眼。未曾得聞者。乃涕泣之真情。是知聞若尋	昔 慧 眼 未 曾 得 聞 者 乃 涕 泣 之 真 情 是 知 聞 若 尋 
X25n0475_001:0085a15	常。教或粗淺。感悲流涕。豈不深玄。又庸人流涕。猶	常 教 或 粗 淺 感 悲 流 涕 豈 不 深 玄 又 庸 人 流 涕 猶 
X25n0475_001:0085a16	未可徵。善吉傷悲。寧非勝妙。故彌勒云。希有及上	未 可 徵 善 吉 傷 悲 寧 非 勝 妙 故 彌 勒 云 希 有 及 上 
X25n0475_001:0085a17	義。彼智岸難量。此其勝於身施之別可顯者一也。	義 彼 智 岸 難 量 此 其 勝 於 身 施 之 別 可 顯 者 一 也 
X25n0475_001:0085a18	△二今信益顯經勝。	 二 今 信 益 顯 經 勝 
X25n0475_001:0085a19	世尊。若復有人得聞是經。信心清淨。則生實相。當知	世 尊 若 復 有 人 得 聞 是 經 信 心 清 淨 則 生 實 相 當 知 
X25n0475_001:0085a20	是人。成就第一希有功德。世尊。是實相者。則是非相。	是 人 成 就 第一希有 功 德 世 尊 是 實 相 者 則 是 非 相 
X25n0475_001:0085a21	是故如來說名實相。	是 故 如 來 說 名 實 相 
X25n0475_001:0085a22	空生意謂。我今信心清淨。理已顯矣。若復有人得	空 生 意 謂 我 今 信 心 清 淨 理 已 顯 矣 若 復 有 人 得 
X25n0475_001:0085a23	聞是經。即了一切悉皆虗妄。無體可得。唯此般若。	聞 是 經 即 了 一 切 悉 皆 虗 妄 無 體 可 得 唯 此 般 若 
X25n0475_001:0085a24	真實有體。而信心清淨。即此清淨能信之處。二執	真 實 有 體 而 信 心 清 淨 即 此 清 淨 能 信 之 處 二 執 
X25n0475_001:0085b01	皆空。二執空處。即是實相。故云即生實相。非更別	皆 空 二 執 空 處 即 是 實 相 故 云 即 生 實 相 非 更 別 
X25n0475_001:0085b02	有所生也。又云則是非相者。以體是實相。唯證相	有 所 生 也 又 云 則 是 非 相 者 以 體 是 實 相 唯 證 相 
X25n0475_001:0085b03	應。故言非相。是故如來說名實相者。假以言顯。言	應 故 言 非 相 是 故 如 來 說 名 實 相 者 假 以 言 顯 言 
X25n0475_001:0085b04	非實相。豈得一聞實相之名。便生實相之想。而有	非 實 相 豈 得 一 聞 實 相 之 名 便 生 實 相 之 想 而 有 
X25n0475_001:0085b05	影像以當情乎。故曰是名也。成就第一希有功德	影 像 以 當 情 乎 故 曰 是 名 也 成 就 第一希有 功 德 
X25n0475_001:0085b06	者。總之極嘆功德之妙。分之。則如前。最上是法身。	者 總 之 極 嘆 功 德 之 妙 分 之 則 如 前 最 上 是 法 身 
X25n0475_001:0085b07	第一是報身。希有是化身。此三不一不異。而生實	第 一 是 報 身 希 有 是 化 身 此 三 不 一 不 異 而 生 實 
X25n0475_001:0085b08	相者。能成就乎此也。又生實者。以今經有實相故。	相 者 能 成 就 乎 此 也 又 生 實 者 以 今 經 有 實 相 故 
X25n0475_001:0085b09	如彌勒云。不同於餘法。不同者。論云。此中有實相。	如 彌 勒 云 不 同 於 餘 法 不 同 者 論 云 此 中 有 實 相 
X25n0475_001:0085b10	餘者非實相。此經勝於身施之別可顯者二也。△	餘 者 非 實 相 此 經 勝 於 身 施 之 別 可 顯 者 二 也 
X25n0475_001:0085b11	三當聞同佛顯經勝。	三 當 聞 同 佛 顯 經 勝 
X25n0475_001:0085b12	世尊。我今得聞如是經典。信解受持不足為難。若當	世 尊 我 今 得 聞 如 是 經 典 信 解 受 持 不 足 為 難 若 當 
X25n0475_001:0085b13	來世。後五百歲。其有眾生。得聞是經。信解受持。是人	來 世 後 五 百 歲 其 有 眾 生 得 聞 是 經 信 解 受 持 是 人 
X25n0475_001:0085b14	則為第一希有。何以故。此人無我相．人相．眾生相．壽	則 為 第一希有 何 以 故 此 人 無 我 相 人 相 眾 生 相 壽 
X25n0475_001:0085b15	者相。所以者何。我相即是非相。人相．眾生相．壽者相。	者 相 所以者何 我 相 即 是 非 相 人 相 眾 生 相 壽 者 相 
X25n0475_001:0085b16	即是非相。何以故。離一切諸相。即名諸佛。佛告須菩	即 是 非 相 何 以 故 離 一 切 諸 相 即 名 諸 佛 佛 告 須 菩 
X25n0475_001:0085b17	提。如是。如是。	提 如 是 如 是 
X25n0475_001:0085b18	文分三節。初標．次釋．三印。我今得聞等者。以我為	文 分 三 節 初 標 次 釋 三 印 我 今 得 聞 等 者 以 我 為 
X25n0475_001:0085b19	羅漢。親稟佛言。信解受持。不足為難。當來惡世。去	羅 漢 親 稟 佛 言 信 解 受 持 不 足 為 難 當 來 惡 世 去 
X25n0475_001:0085b20	聖時遙。覽佛遺言。信解法空。領受任持。依解起行。	聖 時 遙 覽 佛 遺 言 信 解 法 空 領 受 任 持 依 解 起 行 
X25n0475_001:0085b21	深足為希有耳。即徵其所以便名希有者何耶。釋	深 足 為 希 有 耳 即 徵 其 所 以 便 名 希 有 者 何 耶 釋 
X25n0475_001:0085b22	云。以信解受持。必無我等諸相。故名希有也。又徵。	云 以 信 解 受 持 必 無 我 等 諸 相 故 名 希 有 也 又 徵 
X25n0475_001:0085b23	謂我等諸相何故必欲無耶。釋云。以我苗法根。體	謂 我 等 諸 相 何 故 必 欲 無 耶 釋 云 以 我 苗 法 根 體 
X25n0475_001:0085b24	是心心所法。全一虗妄非相。本無妄有。故須無也。	是 心心所法 全 一 虗 妄 非 相 本 無 妄 有 故 須 無 也 
X25n0475_001:0085c01	又復徵云。以何義故。無有我法之相。便名第一希	又 復 徵 云 以 何 義 故 無 有 我 法 之 相 便 名 第 一 希 
X25n0475_001:0085c02	有。釋意云。有相名凡。無相名聖。我法二相。盡收一	有 釋 意 云 有 相 名 凡 無 相 名 聖 我 法 二 相 盡 收 一 
X25n0475_001:0085c03	切。我法既空。空相亦空。離一切相。即名諸佛。諸佛	切 我 法 既 空 空 相 亦 空 離一切相 即 名 諸 佛 諸 佛 
X25n0475_001:0085c04	豈非第一希有耶。如是如是者。謂從聞法悲啼。信	豈 非 第一希有 耶 如是如是 者 謂 從 聞 法 悲 啼 信 
X25n0475_001:0085c05	生實相。對彰難易。我法兼亡。直至相盡名佛。語語	生 實 相 對 彰 難 易 我 法 兼 亡 直 至 相 盡 名 佛 語 語 
X25n0475_001:0085c06	真誠。言言見諦。故佛重言以印其至當也。是則解	真 誠 言 言 見 諦 故 佛 重 言 以 印 其 至 當 也 是 則 解 
X25n0475_001:0085c07	持離相。即名為佛。此經勝於身施之別可顯者三	持 離 相 即 名 為 佛 此 經 勝 於 身 施 之 別 可 顯 者 三 
X25n0475_001:0085c08	也。△四但聞不動顯經勝。	也 四 但 聞 不 動 顯 經 勝 
