T42n1827_001:0232a03	百論序疏	百 論 序 疏 
T42n1827_002:0263a16	則神覺便異。此是得常而失於一。故常無常	則 神 覺 便 異 此 是 得 常 而 失 於 一 故 常 無 常 
T42n1827_002:0263a17	中前後二難進退墮負。今云覺非神相者非	中 前 後 二 難 進 退 墮 負 今 云 覺 非 神 相 者 非 
T42n1827_002:0263a18	體相也。僧佉人立覺是神體相。衛世人立覺	體 相 也 僧 佉 人 立 覺 是 神 體 相 衛 世 人 立 覺 
T42n1827_002:0263a19	是神標相。僧佉人如火以熱為相。衛世人如	是 神 標 相 僧 佉 人 如 火 以 熱 為 相 衛 世 人 如 
T42n1827_002:0263a20	火以烟為相。是故今難。覺自無常神自是常。	火 以 烟 為 相 是 故 今 難 覺 自 無 常 神 自 是 常 
T42n1827_002:0263a21	則覺非神體相。故云若爾覺非神相。復次下	則 覺 非 神 體 相 故 云 若 爾 覺 非 神 相 復 次 下 
T42n1827_002:0263a22	第二就遍不遍門亦有五難。一以神從覺覺	第 二 就 遍 不 遍 門 亦 有 五 難 一 以 神 從 覺 覺 
T42n1827_002:0263a23	不遍神亦不遍。二以覺從神相與俱遍。三神	不 遍 神 亦 不 遍 二 以 覺 從 神 相 與 俱 遍 三 神 
T42n1827_002:0263a24	不從覺則神與覺異。四覺不從神覺與神異。	不 從 覺 則 神 與 覺 異 四 覺 不 從 神 覺 與 神 異 
T42n1827_002:0263a25	五若欲令一而不相從則墮遍不遍二相。次	五 若 欲 令 一 而 不 相 從 則 墮 遍 不 遍 二 相 次 
T42n1827_002:0263a26	還合五為三。初兩難得宗而失神覺遍不遍	還 合 五 為 三 初 兩 難 得 宗 而 失 神 覺 遍 不 遍 
T42n1827_002:0263a27	義。次兩難得神覺遍不遍義而失一宗。第五	義 次 兩 難 得 神 覺 遍 不 遍 義 而 失 一 宗 第 五 
T42n1827_002:0263a28	亦得一宗復得遍不遍義而墮亦一亦異。今文	亦 得 一 宗 復 得 遍 不 遍 義 而 墮 亦 一 亦 異 今 文 
T42n1827_002:0263a29	唯有三難。一者得遍不遍而失一宗。二者得	唯 有 三 難 一 者 得 遍 不 遍 而 失 一 宗 二 者 得 
T42n1827_002:0263b01	於一宗而失遍不遍義。三墮亦一亦異。問常	於 一 宗 而 失 遍 不 遍 義 三 墮 亦 一 亦 異 問 常 
T42n1827_002:0263b02	無常對中前以神從覺。覺無常故神亦無常。	無 常 對 中 前 以 神 從 覺 覺 無 常 故 神 亦 無 常 
T42n1827_002:0263b03	今遍不遍中何故不以神從覺令神應不遍。	今 遍 不 遍 中 何 故 不 以 神 從 覺 令 神 應 不 遍 
T42n1827_002:0263b04	答上常無常第二難中明神常覺無常則墮神	答 上 常 無 常 第 二 難 中 明 神 常 覺 無 常 則 墮 神 
T42n1827_002:0263b05	覺體異。今接此文重就遍不遍義顯神覺體	覺 體 異 今 接 此 文 重 就 遍 不 遍 義 顯 神 覺 體 
T42n1827_002:0263b06	異。故不得以神從覺。若覺是神相重牒正破	異 故 不 得 以 神 從 覺 若 覺 是 神 相 重 牒 正 破 
T42n1827_002:0263b07	也。無有是處總非也。覺行一處者正破也。五	也 無 有 是 處 總 非 也 覺 行 一 處 者 正 破 也 五 
T42n1827_002:0263b08	道之中唯行一道。六塵之中偏覺一塵。五受	道 之 中 唯 行 一 道 六 塵 之 中 偏 覺 一 塵 五 受 
T42n1827_002:0263b09	之中偏行一受。乃至一身之中偏行一處。而	之 中 偏 行 一 受 乃 至 一 身 之 中 偏 行 一 處 而 
T42n1827_002:0263b10	神遍六塵五道乃至一身。則遍不遍殊神覺	神 遍 六 塵 五 道 乃 至 一 身 則 遍 不 遍 殊 神 覺 
T42n1827_002:0263b11	體異。是故覺非神之體相也。注釋中以覺從	體 異 是 故 覺 非 神 之 體 相 也 注 釋 中 以 覺 從 
T42n1827_002:0263b12	神者此是勢破。為成神覺不一耳。復次第二	神 者 此 是 勢 破 為 成 神 覺 不 一 耳 復 次 第 二 
T42n1827_002:0263b13	以神從覺破。若必言神與覺一則神與覺等。	以 神 從 覺 破 若 必 言 神 與 覺 一 則 神 與 覺 等 
T42n1827_002:0263b14	覺既不遍神亦不遍。此難與前翻覆相成。	覺 既 不 遍 神 亦 不 遍 此 難 與 前 翻 覆 相 成 
T42n1827_002:0263b15	前得遍不遍墮神覺異。今得神覺一則失遍	前 得 遍 不 遍 墮 神 覺 異 今 得 神 覺 一 則 失 遍 
T42n1827_002:0263b16	不遍。注云火無熱不熱者。熱是火相。唯有	不 遍 注 云 火 無 熱 不 熱 者 熱 是 火 相 唯 有 
T42n1827_002:0263b17	於熱無有不熱。神亦應爾。唯有不遍無有	於 熱 無 有 不 熱 神 亦 應 爾 唯 有 不 遍 無 有 
T42n1827_002:0263b18	於遍。復次下第三二相破。所以有此破來者。	於 遍 復 次 下 第 三 二 相 破 所 以 有 此 破 來 者 
T42n1827_002:0263b19	外欲避前二難立兩義俱成者。一神覺體一。	外 欲 避 前 二 難 立 兩 義 俱 成 者 一 神 覺 體 一 
T42n1827_002:0263b20	二者神遍而覺不遍。是故今作二相難之。若	二 者 神 遍 而 覺 不 遍 是 故 今 作 二 相 難 之 若 
T42n1827_002:0263b21	欲令神遍覺有不遍。不遍處有神。此神則無	欲 令 神 遍 覺 有 不 遍 不 遍 處 有 神 此 神 則 無 
T42n1827_002:0263b22	覺。覺處有神。神則有覺。若爾神亦有覺相亦	覺 覺 處 有 神 神 則 有 覺 若 爾 神 亦 有 覺 相 亦 
T42n1827_002:0263b23	無覺相。汝不應言神但以覺為相。上亦不應	無 覺 相 汝 不 應 言 神 但 以 覺 為 相 上 亦 不 應 
T42n1827_002:0263b24	言常覺無不覺時。又神以覺為相。則有覺有	言 常 覺 無 不 覺 時 又 神 以 覺 為 相 則 有 覺 有 
T42n1827_002:0263b25	不覺。火以熱為相。應有熱有不熱。熱是火體	不 覺 火 以 熱 為 相 應 有 熱 有 不 熱 熱 是 火 體 
T42n1827_002:0263b26	相。無熱則無火。覺是神體相。無覺則無神。	相 無 熱 則 無 火 覺 是 神 體 相 無 覺 則 無 神 
T42n1827_002:0263b27	若無覺之處有神。無熱之處有火。又無覺	若 無 覺 之 處 有 神 無 熱 之 處 有 火 又 無 覺 
T42n1827_002:0263b28	之處有神。應有覺之處無神。又無覺之處有	之 處 有 神 應 有 覺 之 處 無 神 又 無 覺 之 處 有 
T42n1827_002:0263b29	神。一切草木悉應有神。若草木有神。眾生	神 一 切 草 木 悉 應 有 神 若 草 木 有 神 眾 生 
T42n1827_002:0263c01	應無神。又若神有覺不覺相則墮亦一亦	應 無 神 又 若 神 有 覺 不 覺 相 則 墮 亦 一 亦 
T42n1827_002:0263c02	異。覺處有神神與覺一。無覺處有神則神與	異 覺 處 有 神 神 與 覺 一 無 覺 處 有 神 則 神 與 
T42n1827_002:0263c03	覺異。問常無常中二難遍不遍三難為是亂	覺 異 問 常 無 常 中 二 難 遍 不 遍 三 難 為 是 亂 
T42n1827_002:0263c04	難為次第來耶。答並次第來也。常無常中二	難 為 次 第 來 耶 答 並 次 第 來 也 常 無 常 中 二 
T42n1827_002:0263c05	關覆却。遍不遍中接常無常。汝非但有常無	關 覆 却 遍 不 遍 中 接 常 無 常 汝 非 但 有 常 無 
T42n1827_002:0263c06	常異。復有遍不遍異。故有第一難。次明若言	常 異 復 有 遍 不 遍 異 故 有 第 一 難 次 明 若 言 
T42n1827_002:0263c07	不異則神同覺不遍。三若不同覺不遍而言	不 異 則 神 同 覺 不 遍 三 若 不 同 覺 不 遍 而 言 
T42n1827_002:0263c08	神遍神則二相。故五難宛轉釣鎖而來。外曰	神 遍 神 則 二 相 故 五 難 宛 轉 釣 鎖 而 來 外 曰 
T42n1827_002:0263c09	力遍故無過。力者理也體也。有力用也事也。	力 遍 故 無 過 力 者 理 也 體 也 有 力 用 也 事 也 
T42n1827_002:0263c10	以覺有於用故名有力。問明何物體用。答正	以 覺 有 於 用 故 名 有 力 問 明 何 物 體 用 答 正 
T42n1827_002:0263c11	論覺體用也。凡有二義。一力二有力。以覺力	論 覺 體 用 也 凡 有 二 義 一 力 二 有 力 以 覺 力 
T42n1827_002:0263c12	與神俱常俱遍。若有力則不遍。以覺力與神	與 神 俱 常 俱 遍 若 有 力 則 不 遍 以 覺 力 與 神 
T42n1827_002:0263c13	俱常則通常中五難。以覺力與神俱遍則通	俱 常 則 通 常 中 五 難 以 覺 力 與 神 俱 遍 則 通 
T42n1827_002:0263c14	遍中五難。故力常力遍免上十難也。今總括	遍 中 五 難 故 力 常 力 遍 免 上 十 難 也 今 總 括 
T42n1827_002:0263c15	常遍始終凡有十難。今文內常中有二。遍中	常 遍 始 終 凡 有 十 難 今 文 內 常 中 有 二 遍 中 
T42n1827_002:0263c16	有三。故成五也。通第一難云。若覺無常神常。	有 三 故 成 五 也 通 第 一 難 云 若 覺 無 常 神 常 
T42n1827_002:0263c17	可以神從覺令覺無常神則無常。今覺力既	可 以 神 從 覺 令 覺 無 常 神 則 無 常 今 覺 力 既 
T42n1827_002:0263c18	常。神與覺一。則覺常神亦常故無神無常過。	常 神 與 覺 一 則 覺 常 神 亦 常 故 無 神 無 常 過 
T42n1827_002:0263c19	通第二難云。若神常覺無常。則神覺體異覺	通 第 二 難 云 若 神 常 覺 無 常 則 神 覺 體 異 覺 
T42n1827_002:0263c20	非神相。今以覺力常故在神亦常。故神覺體	非 神 相 今 以 覺 力 常 故 在 神 亦 常 故 神 覺 體 
T42n1827_002:0263c21	一無覺非神相過。通第三難者。若神遍覺不	一 無 覺 非 神 相 過 通 第 三 難 者 若 神 遍 覺 不 
T42n1827_002:0263c22	遍。則神覺體異覺非神相。以神遍覺力亦遍	遍 則 神 覺 體 異 覺 非 神 相 以 神 遍 覺 力 亦 遍 
T42n1827_002:0263c23	故覺是神相。無覺非神相過。通第四難者。若	故 覺 是 神 相 無 覺 非 神 相 過 通 第 四 難 者 若 
T42n1827_002:0263c24	覺不遍神遍。以神從覺覺不遍神亦不遍。今	覺 不 遍 神 遍 以 神 從 覺 覺 不 遍 神 亦 不 遍 今 
T42n1827_002:0263c25	覺力遍。以神從覺覺遍神亦遍。故無不遍過	覺 力 遍 以 神 從 覺 覺 遍 神 亦 遍 故 無 不 遍 過 
T42n1827_002:0263c26	也。通第五難者。若覺不遍而神遍。神墮覺處	也 通 第 五 難 者 若 覺 不 遍 而 神 遍 神 墮 覺 處 
T42n1827_002:0263c27	則覺。墮不覺處則不覺。今覺力遍。神唯墮覺	則 覺 墮 不 覺 處 則 不 覺 今 覺 力 遍 神 唯 墮 覺 
T42n1827_002:0263c28	處不墮不覺處。故無二相過也。問外道何故	處 不 墮 不 覺 處 故 無 二 相 過 也 問 外 道 何 故 
T42n1827_002:0263c29	言覺與神齊俱常俱遍。答彼計神覺一體。統	言 覺 與 神 齊 俱 常 俱 遍 答 彼 計 神 覺 一 體 統 
T42n1827_002:0264a01	御義說神。了別義說覺。統御之神既遍五道。	御 義 說 神 了 別 義 說 覺 統 御 之 神 既 遍 五 道 
T42n1827_002:0264a02	即此統御之神有覺知理亦遍五道。統御之	即 此 統 御 之 神 有 覺 知 理 亦 遍 五 道 統 御 之 
T42n1827_002:0264a03	神其體既常。有覺之理亦常。是故神既遍常	神 其 體 既 常 有 覺 之 理 亦 常 是 故 神 既 遍 常 
T42n1827_002:0264a04	覺理亦遍常也。注云有處覺雖無用此中亦	覺 理 亦 遍 常 也 注 云 有 處 覺 雖 無 用 此 中 亦 
T42n1827_002:0264a05	有覺力者。此是遍五道覺理之處。五道之中	有 覺 力 者 此 是 遍 五 道 覺 理 之 處 五 道 之 中 
T42n1827_002:0264a06	雖無覺用而有覺體。是故無無覺過偏答最	雖 無 覺 用 而 有 覺 體 是 故 無 無 覺 過 偏 答 最 
T42n1827_002:0264a07	後二相難也。以覺理遍故神則遍。覺無有不	後 二 相 難 也 以 覺 理 遍 故 神 則 遍 覺 無 有 不 
T42n1827_002:0264a08	覺。既通常中二難則具通五。既答遍中三亦	覺 既 通 常 中 二 難 則 具 通 五 既 答 遍 中 三 亦 
T42n1827_002:0264a09	具答遍中五也。內曰不然力有力不異故者。	具 答 遍 中 五 也 內 曰 不 然 力 有 力 不 異 故 者 
T42n1827_002:0264a10	力有力者牒外義也。不異者正責也有無俱	力 有 力 者 牒 外 義 也 不 異 者 正 責 也 有 無 俱 
T42n1827_002:0264a11	不異覺力既遍。有力即遍。此是有力不異力	不 異 覺 力 既 遍 有 力 即 遍 此 是 有 力 不 異 力 
T42n1827_002:0264a12	也。此亦是以用同體。體遍用亦遍若有力不	也 此 亦 是 以 用 同 體 體 遍 用 亦 遍 若 有 力 不 
T42n1827_002:0264a13	遍力亦不遍。此是力不異有力。亦是將體同	遍 力 亦 不 遍 此 是 力 不 異 有 力 亦 是 將 體 同 
T42n1827_002:0264a14	用。用既不遍體亦不遍。唯有此二更無第三	用 用 既 不 遍 體 亦 不 遍 唯 有 此 二 更 無 第 三 
T42n1827_002:0264a15	體遍用不遍。有力不遍力亦不遍。則覺成不	體 遍 用 不 遍 有 力 不 遍 力 亦 不 遍 則 覺 成 不 
T42n1827_002:0264a16	遍還墮遍中五難。若有力不遍則力亦不遍。	遍 還 墮 遍 中 五 難 若 有 力 不 遍 則 力 亦 不 遍 
T42n1827_002:0264a17	覺既不遍覺則無常還墮常中五難若力遍常	覺 既 不 遍 覺 則 無 常 還 墮 常 中 五 難 若 力 遍 常 
T42n1827_002:0264a18	有力亦遍常乃免十難。應一時之中遍覺六	有 力 亦 遍 常 乃 免 十 難 應 一 時 之 中 遍 覺 六 
T42n1827_002:0264a19	道之苦。亦一時之中遍覺六塵。則僧佉之人	道 之 苦 亦 一 時 之 中 遍 覺 六 塵 則 僧 佉 之 人 
T42n1827_002:0264a20	現身之中應墮地獄煮燒之弊乃至應有餓鬼	現 身 之 中 應 墮 地 獄 煮 燒 之 弊 乃 至 應 有 餓 鬼 
T42n1827_002:0264a21	飢渴等苦。又力有力不異者。有力是現用力	飢 渴 等 苦 又 力 有 力 不 異 者 有 力 是 現 用 力 
T42n1827_002:0264a22	是體何以知耶。外云。力遍故知力是體也。今	是 體 何 以 知 耶 外 云 力 遍 故 知 力 是 體 也 今 
T42n1827_002:0264a23	言不異者。只見有力實無力遍。正破其力遍	言 不 異 者 只 見 有 力 實 無 力 遍 正 破 其 力 遍 
T42n1827_002:0264a24	之言也。既無力遍。以何異於有力。故云不異。	之 言 也 既 無 力 遍 以 何 異 於 有 力 故 云 不 異 
T42n1827_002:0264a25	注云若有覺力處。此牒外義也。是中覺應有	注 云 若 有 覺 力 處 此 牒 外 義 也 是 中 覺 應 有 
T42n1827_002:0264a26	用正明有力不異於力也。而無用者明五道	用 正 明 有 力 不 異 於 力 也 而 無 用 者 明 五 道 
T42n1827_002:0264a27	之中無有覺用。既無覺用即無覺體。是故汝	之 中 無 有 覺 用 既 無 覺 用 即 無 覺 體 是 故 汝 
T42n1827_002:0264a28	言非也。此非其五道無用處亦有覺力也。若	言 非 也 此 非 其 五 道 無 用 處 亦 有 覺 力 也 若 
T42n1827_002:0264a29	如是說下重取意非之。即明無第三有體而	如 是 說 下 重 取 意 非 之 即 明 無 第 三 有 體 而 
T42n1827_002:0264b01	無用。外云。體遍用不遍體用不同。不應將用	無 用 外 云 體 遍 用 不 遍 體 用 不 同 不 應 將 用 
T42n1827_002:0264b02	同體令體遍用亦遍。亦不應以體同用令無	同 體 令 體 遍 用 亦 遍 亦 不 應 以 體 同 用 令 無 
T42n1827_002:0264b03	用處則無有體。故取意牒之。但有是語者總	用 處 則 無 有 體 故 取 意 牒 之 但 有 是 語 者 總 
T42n1827_002:0264b04	非也。五道之中無有覺用而有覺體。有語無	非 也 五 道 之 中 無 有 覺 用 而 有 覺 體 有 語 無 
T42n1827_002:0264b05	義故云但也。外曰因緣合故覺力有用者。救	義 故 云 但 也 外 曰 因 緣 合 故 覺 力 有 用 者 救 
T42n1827_002:0264b06	上力有力不異難也。力與神齊故神遍力亦	上 力 有 力 不 異 難 也 力 與 神 齊 故 神 遍 力 亦 
T42n1827_002:0264b07	遍。以無五道遍緣合故有力不遍。一處緣合	遍 以 無 五 道 遍 緣 合 故 有 力 不 遍 一 處 緣 合 
T42n1827_002:0264b08	則一處有用。故有力不遍。是故力有力異也。	則 一 處 有 用 故 有 力 不 遍 是 故 力 有 力 異 也 
T42n1827_002:0264b09	內曰墮生相者。前明覺與神齊神遍用亦遍。	內 曰 墮 生 相 者 前 明 覺 與 神 齊 神 遍 用 亦 遍 
T42n1827_002:0264b10	今明用假緣發體亦應然。故云墮生相也。外	今 明 用 假 緣 發 體 亦 應 然 故 云 墮 生 相 也 外 
T42n1827_002:0264b11	曰如燈者。緣能發用不能生體。如燈顯照物	曰 如 燈 者 緣 能 發 用 不 能 生 體 如 燈 顯 照 物 
T42n1827_002:0264b12	不能成物。如舊明本有義假緣得顯緣不能	不 能 成 物 如 舊 明 本 有 義 假 緣 得 顯 緣 不 能 
T42n1827_002:0264b13	生。內曰下明五塵成瓶。若無燈時身觸亦得。	生 內 曰 下 明 五 塵 成 瓶 若 無 燈 時 身 觸 亦 得 
T42n1827_002:0264b14	又有瓶用。若因緣未合時取覺不得。亦無有	又 有 瓶 用 若 因 緣 未 合 時 取 覺 不 得 亦 無 有 
T42n1827_002:0264b15	用。二義不同故非喻也。外曰如色者。前就能	用 二 義 不 同 故 非 喻 也 外 曰 如 色 者 前 就 能 
T42n1827_002:0264b16	了為喻。內以所了為難。今捨燈就色明瓶具	了 為 喻 內 以 所 了 為 難 今 捨 燈 就 色 明 瓶 具 
T42n1827_002:0264b17	五塵色之一分。燈若未照取色不得。又無發	五 塵 色 之 一 分 燈 若 未 照 取 色 不 得 又 無 發 
T42n1827_002:0264b18	識之用。如緣未合取覺不得又無覺知之用。	識 之 用 如 緣 未 合 取 覺 不 得 又 無 覺 知 之 用 
T42n1827_002:0264b19	兩義全同故云如色。或言是壁上之色。此亦	兩 義 全 同 故 云 如 色 或 言 是 壁 上 之 色 此 亦 
T42n1827_002:0264b20	無失。但就瓶色為勝。內曰下汝捨瓶就色。雖	無 失 但 就 瓶 色 為 勝 內 曰 下 汝 捨 瓶 就 色 雖 
T42n1827_002:0264b21	勉前過而更招後失。然青黃之色燈未照時其	勉 前 過 而 更 招 後 失 然 青 黃 之 色 燈 未 照 時 其 
T42n1827_002:0264b22	相已了。汝覺以了別為相。緣未合時未能了	相 已 了 汝 覺 以 了 別 為 相 緣 未 合 時 未 能 了 
T42n1827_002:0264b23	別。云何將已了之色喻未了之覺。問何故破	別 云 何 將 已 了 之 色 喻 未 了 之 覺 問 何 故 破 
T42n1827_002:0264b24	燈無脩妬路。破色有脩妬路也。答外道根本	燈 無 脩 妬 路 破 色 有 脩 妬 路 也 答 外 道 根 本 
T42n1827_002:0264b25	燈色合譬。燈喻於緣色譬如覺。燈未照色取	燈 色 合 譬 燈 喻 於 緣 色 譬 如 覺 燈 未 照 色 取 
T42n1827_002:0264b26	色不得。亦無發識之用。如緣未合取覺不得。	色 不 得 亦 無 發 識 之 用 如 緣 未 合 取 覺 不 得 
T42n1827_002:0264b27	覺亦無用。但天親開外燈色以為兩救義。生	覺 亦 無 用 但 天 親 開 外 燈 色 以 為 兩 救 義 生 
T42n1827_002:0264b28	內曰以破於燈。故破燈無脩妬路。還用提婆	內 曰 以 破 於 燈 故 破 燈 無 脩 妬 路 還 用 提 婆 
T42n1827_002:0264b29	本答。以破於色故有脩妬路。復次以無相故。	本 答 以 破 於 色 故 有 脩 妬 路 復 次 以 無 相 故 
T42n1827_002:0264c01	前明了不了異故法譬不同。今辨有相無相	前 明 了 不 了 異 故 法 譬 不 同 今 辨 有 相 無 相 
T42n1827_002:0264c02	別故法譬有異。是故重破。此中色有三句覺	別 故 法 譬 有 異 是 故 重 破 此 中 色 有 三 句 覺 
T42n1827_002:0264c03	亦三句。色三者。一無相故標色無相也。明色	亦 三 句 色 三 者 一 無 相 故 標 色 無 相 也 明 色 
T42n1827_002:0264c04	無有人知之相故云無相。色相不以人知為	無 有 人 知 之 相 故 云 無 相 色 相 不 以 人 知 為 
T42n1827_002:0264c05	色相者。第二句釋色無相也。色自有青黃為	色 相 者 第 二 句 釋 色 無 相 也 色 自 有 青 黃 為 
T42n1827_002:0264c06	相。不以人知為相。是故下第三句結無相也。	相 不 以 人 知 為 相 是 故 下 第 三 句 結 無 相 也 
T42n1827_002:0264c07	以色不以人知為相故人不知時常有色體	以 色 不 以 人 知 為 相 故 人 不 知 時 常 有 色 體 
T42n1827_002:0264c08	也。汝知是神相者。標神以知為相也。不應以	也 汝 知 是 神 相 者 標 神 以 知 為 相 也 不 應 以 
T42n1827_002:0264c09	無知處為知。第二句呵外人未有知時有於覺	無 知 處 為 知 第 二 句 呵 外 人 未 有 知 時 有 於 覺 
T42n1827_002:0264c10	體。汝法中知覺一義。故外謂人不知時有覺。	體 汝 法 中 知 覺 一 義 故 外 謂 人 不 知 時 有 覺 
T42n1827_002:0264c11	即是無知時有覺義。是故今責之。知即是覺。	即 是 無 知 時 有 覺 義 是 故 今 責 之 知 即 是 覺 
T42n1827_002:0264c12	若無知即無覺。若有覺即有知。云何言無知	若 無 知 即 無 覺 若 有 覺 即 有 知 云 何 言 無 知 
T42n1827_002:0264c13	時有覺。若無知時有覺。應無覺時有知也。又	時 有 覺 若 無 知 時 有 覺 應 無 覺 時 有 知 也 又 
T42n1827_002:0264c14	知覺一義。無知即無覺。無覺即無神。以神覺	知 覺 一 義 無 知 即 無 覺 無 覺 即 無 神 以 神 覺 
T42n1827_002:0264c15	一體也。外曰優樓迦下第三別出論義。其人	一 體 也 外 曰 優 樓 迦 下 第 三 別 出 論 義 其 人 
T42n1827_002:0264c16	後論凡有五義。一者道術後興。二者行世不	後 論 凡 有 五 義 一 者 道 術 後 興 二 者 行 世 不 
T42n1827_002:0264c17	盛。三依一異四句是第二異義故後出論也。	盛 三 依 一 異 四 句 是 第 二 異 義 故 後 出 論 也 
T42n1827_002:0264c18	四者見一義有失。謂異無過。五者見論主借	四 者 見 一 義 有 失 謂 異 無 過 五 者 見 論 主 借 
T42n1827_002:0264c19	異以破一。謂異有道理是故出論。往復五番	異 以 破 一 謂 異 有 道 理 是 故 出 論 往 復 五 番 
T42n1827_002:0264c20	皆引喻明義。優樓迦謂佛寶也。弟子謂僧寶	皆 引 喻 明 義 優 樓 迦 謂 佛 寶 也 弟 子 謂 僧 寶 
T42n1827_002:0264c21	也。誦衛世師經謂法寶也。言知與神異者立	也 誦 衛 世 師 經 謂 法 寶 也 言 知 與 神 異 者 立 
T42n1827_002:0264c22	己宗也。訶梨傳云。優樓迦弟子自稱我師優	己 宗 也 訶 梨 傳 云 優 樓 迦 弟 子 自 稱 我 師 優 
T42n1827_002:0264c23	樓迦。說經名衛世。繁文以六諦為主。簡旨明	樓 迦 說 經 名 衛 世 繁 文 以 六 諦 為 主 簡 旨 明 
T42n1827_002:0264c24	知異乎神。若能屈我此言斬首相謝。與今文	知 異 乎 神 若 能 屈 我 此 言 斬 首 相 謝 與 今 文 
T42n1827_002:0264c25	相似也。其人立神知異者。既在僧佉後出見	相 似 也 其 人 立 神 知 異 者 既 在 僧 佉 後 出 見 
T42n1827_002:0264c26	一宗有過。是故立論名衛世師。衛世師稱為	一 宗 有 過 是 故 立 論 名 衛 世 師 衛 世 師 稱 為 
T42n1827_002:0264c27	勝異。異於僧佉勝於僧佉故名勝異。是故神	勝 異 異 於 僧 佉 勝 於 僧 佉 故 名 勝 異 是 故 神 
T42n1827_002:0264c28	不墮無常中者。僧佉知與神一。知無常神即	不 墮 無 常 中 者 僧 佉 知 與 神 一 知 無 常 神 即 
T42n1827_002:0264c29	無常。知不遍神則不遍。神既常遍知亦常遍。	無 常 知 不 遍 神 則 不 遍 神 既 常 遍 知 亦 常 遍 
T42n1827_002:0265a01	是故今明知與神異。知自無常神自是常。亦	是 故 今 明 知 與 神 異 知 自 無 常 神 自 是 常 亦 
T42n1827_002:0265a02	不墮無知者。釋伏難防僧佉及提婆也。何以	不 墮 無 知 者 釋 伏 難 防 僧 佉 及 提 婆 也 何 以 
T42n1827_002:0265a03	故知神合故如有牛者。就法譬釋上無知也。	故 知 神 合 故 如 有 牛 者 就 法 譬 釋 上 無 知 也 
T42n1827_002:0265a04	神與知合神受知名。如人與牛合人名有牛	神 與 知 合 神 受 知 名 如 人 與 牛 合 人 名 有 牛 
T42n1827_002:0265a05	也。釋中前解譬者逐文近故也。四合知生者欲	也 釋 中 前 解 譬 者 逐 文 近 故 也 四 合 知 生 者 欲 
T42n1827_002:0265a06	顯神受知名也。內曰牛相牛中住。但破其神	顯 神 受 知 名 也 內 曰 牛 相 牛 中 住 但 破 其 神 
T42n1827_002:0265a07	受知名異宗自壞。以角峯等相但在於牛。雖	受 知 名 異 宗 自 壞 以 角 峯 等 相 但 在 於 牛 雖 
T42n1827_002:0265a08	與人合人無牛相。若爾神雖與知合。知住知	與 人 合 人 無 牛 相 若 爾 神 雖 與 知 合 知 住 知 
T42n1827_002:0265a09	中神則非知。注釋云。汝言下明四合生知。知	中 神 則 非 知 注 釋 云 汝 言 下 明 四 合 生 知 知 
T42n1827_002:0265a10	生則知塵。知不生則不知塵。此是知能知非	生 則 知 塵 知 不 生 則 不 知 塵 此 是 知 能 知 非 
T42n1827_002:0265a11	是神知。外人神知並立。論主奪其神知縱其	是 神 知 外 人 神 知 並 立 論 主 奪 其 神 知 縱 其 
T42n1827_002:0265a12	知知。譬如火能燒者此譬二意。一者成前知則	知 知 譬 如 火 能 燒 者 此 譬 二 意 一 者 成 前 知 則 
T42n1827_002:0265a13	能知。二欲發起後救故也。外曰能用法故。此	能 知 二 欲 發 起 後 救 故 也 外 曰 能 用 法 故 此 
T42n1827_002:0265a14	中含有用燈之譬。前明人牛雖合人無牛相。	中 含 有 用 燈 之 譬 前 明 人 牛 雖 合 人 無 牛 相 
T42n1827_002:0265a15	神知雖合神無知相。今有二義。一明神有知。	神 知 雖 合 神 無 知 相 今 有 二 義 一 明 神 有 知 
T42n1827_002:0265a16	二用知方知。如人有見性用燈能見。成實者	二 用 知 方 知 如 人 有 見 性 用 燈 能 見 成 實 者 
T42n1827_002:0265a17	云。假人御五陰而人不當陰。陰自能知而人	云 假 人 御 五 陰 而 人 不 當 陰 陰 自 能 知 而 人 
T42n1827_002:0265a18	不知。如是行自起善惡亦非人起。而今云人	不 知 如 是 行 自 起 善 惡 亦 非 人 起 而 今 云 人 
T42n1827_002:0265a19	起者。以人有御陰之功故言人起耳。內曰不	起 者 以 人 有 御 陰 之 功 故 言 人 起 耳 內 曰 不 
T42n1827_002:0265a20	然知即能知故者。破上能用之言也。明知體	然 知 即 能 知 故 者 破 上 能 用 之 言 也 明 知 體 
T42n1827_002:0265a21	自能知不須神用。故神無用知之能。汝若神	自 能 知 不 須 神 用 故 神 無 用 知 之 能 汝 若 神 
T42n1827_002:0265a22	有知性。即應自知何假用他。前番奪其神知	有 知 性 即 應 自 知 何 假 用 他 前 番 奪 其 神 知 
T42n1827_002:0265a23	明知自知。今奪其神能明知自能知。若爾神	明 知 自 知 今 奪 其 神 能 明 知 自 能 知 若 爾 神 
T42n1827_002:0265a24	體非知又復無能。何處有神。燈喻非也此破	體 非 知 又 復 無 能 何 處 有 神 燈 喻 非 也 此 破 
T42n1827_002:0265a25	其譬。神用知知。知具二義。一體是知。二有能	其 譬 神 用 知 知 知 具 二 義 一 體 是 知 二 有 能 
T42n1827_002:0265a26	知。人用燈見。燈無兩義。一體非見。二不能	知 人 用 燈 見 燈 無 兩 義 一 體 非 見 二 不 能 
T42n1827_002:0265a27	見。故非喻也。又眼為闇所障故不能見。假燈	見 故 非 喻 也 又 眼 為 闇 所 障 故 不 能 見 假 燈 
