T47n1963_001:0083b03	淨土論序	淨 土 論 序 
T47n1963_002:0093b23	聲聞乘。於彼佛剎。得阿羅漢。其有往生彼佛	聲 聞 乘 於 彼 佛 剎 得阿羅漢 其 有 往 生 彼 佛 
T47n1963_002:0093b24	剎者。從其所願。大小之乘。於彼悉滿。其有最	剎 者 從 其 所 願 大 小 之 乘 於 彼 悉 滿 其 有 最 
T47n1963_002:0093b25	後聞阿彌陀如來名號。讚說之者。信不狐疑。	後 聞 阿 彌 陀 如 來 名 號 讚 說 之 者 信 不 狐 疑 
T47n1963_002:0093b26	當相敬心至意。念之如念父母。作如是意。斯	當 相 敬 心 至 意 念 之 如 念 父 母 作 如 是 意 斯 
T47n1963_002:0093b27	等普當於彼佛國具滿眾願。其有信不讚歎	等 普 當 於 彼 佛 國 具 滿 眾 願 其 有 信 不 讚 歎 
T47n1963_002:0093b28	稱揚阿彌陀佛名功德。而謗毀者。五劫之中。	稱 揚 阿 彌 陀 佛 名 功 德 而 謗 毀 者 五 劫 之 中 
T47n1963_002:0093b29	當墮地獄。具受眾苦。釋曰。依此經。念佛如憶	當 墮 地 獄 具 受 眾 苦 釋 曰 依 此 經 念 佛 如 憶 
T47n1963_002:0093c01	父母。始得往生也。	父 母 始 得 往 生 也 
T47n1963_002:0093c02	第六發覺淨心經云。爾時彌勒菩薩白佛言。	第 六 發 覺 淨 心 經 云 爾 時 彌 勒 菩 薩 白 佛 言 
T47n1963_002:0093c03	世尊。如來歎彌陀如來。十種發心。於中隨念	世 尊 如 來 歎 彌 陀 如 來 十 種 發 心 於 中 隨 念 
T47n1963_002:0093c04	發願。若念當欲生彼。當即得生彼世界。何者。	發 願 若 念 當 欲 生 彼 當 即 得 生 彼 世 界 何 者 
T47n1963_002:0093c05	是十種發心。於彼處生。佛告彌勒言。彼等發	是 十 種 發 心 於 彼 處 生 佛 告 彌 勒 言 彼 等 發 
T47n1963_002:0093c06	心非小智者有。彼發心是大事者所有。欲生	心 非 小 智 者 有 彼 發 心 是 大 事 者 所 有 欲 生 
T47n1963_002:0093c07	阿彌陀如來佛剎中者。一當為一切眾生發	阿 彌 陀 如 來 佛 剎 中 者 一 當 為 一 切 眾 生 發 
T47n1963_002:0093c08	慈心。不生瞋恨。當生阿彌陀如來佛剎。二為	慈 心 不 生 瞋 恨 當 生 阿 彌 陀 如 來 佛 剎 二 為 
T47n1963_002:0093c09	一切眾生。生慈悲故。當生彼處。三離於殺生。	一 切 眾 生 生 慈 悲 故 當 生 彼 處 三 離 於 殺 生 
T47n1963_002:0093c10	受持正法。發此心故。當生於彼處。四捨於身	受 持 正 法 發 此 心 故 當 生 於 彼 處 四 捨 於 身 
T47n1963_002:0093c11	命。發心不著一切諸法故。當生於彼處。五發	命 發 心 不 著 一切諸法 故 當 生 於 彼 處 五 發 
T47n1963_002:0093c12	甚深忍行清淨信。發此心故。當生彼處。六不	甚 深 忍 行 清 淨 信 發 此 心 故 當 生 彼 處 六 不 
T47n1963_002:0093c13	染名聞利養一切財寶。發此心故。當生彼處。	染 名 聞 利 養 一 切 財 寶 發 此 心 故 當 生 彼 處 
T47n1963_002:0093c14	七為一切眾生。生貴敬。發心不忌故。當生	七 為 一 切 眾 生 生 貴 敬 發 心 不 忌 故 當 生 
T47n1963_002:0093c15	彼處。八不驚不怖。不受凡言語。發此心故。當	彼 處 八 不驚不怖 不 受 凡 言 語 發 此 心 故 當 
T47n1963_002:0093c16	生彼處。九入菩提分種種善根。發此心故。當	生 彼 處 九 入 菩 提 分 種 種 善 根 發 此 心 故 當 
T47n1963_002:0093c17	生彼處。十然不離念佛。發此心故。當生彼	生 彼 處 十 然 不 離 念 佛 發 此 心 故 當 生 彼 
T47n1963_002:0093c18	處。遠離諸相故。彌勒此十種發心。若菩薩各	處 遠 離 諸 相 故 彌 勒 此 十 種 發 心 若 菩 薩 各 
T47n1963_002:0093c19	發念。一具足者。當生彼阿彌陀佛剎中。若不	發 念 一 具 足 者 當 生 彼 阿 彌 陀 佛 剎 中 若 不 
T47n1963_002:0093c20	生。無有是處。釋曰。此非觀經中十念。此之十	生 無 有 是 處 釋 曰 此 非 觀 經 中 十 念 此 之 十 
T47n1963_002:0093c21	念。現在時作。觀經中十念。臨命終時作也。	念 現 在 時 作 觀 經 中 十 念 臨命終時 作 也 
T47n1963_002:0093c22	第七如大集經云。佛告賢護言。是中何等三	第 七 如 大 集 經 云 佛 告 賢 護 言 是 中 何 等 三 
T47n1963_002:0093c23	昧。能生如是諸功德。所謂思惟諸佛現前三	昧 能 生 如 是 諸 功 德 所 謂 思 惟 諸 佛 現 前 三 
T47n1963_002:0093c24	昧。能生如是諸功德法。復次賢護。云何名為	昧 能 生 如 是 諸 功 德 法 復 次 賢 護 云 何 名 為 
T47n1963_002:0093c25	菩薩思惟諸佛現前三昧也。賢護。若有比丘	菩 薩 思 惟 諸佛現前三昧 也 賢 護 若 有 比 丘 
T47n1963_002:0093c26	比丘尼優婆塞優婆夷。清淨持戒。具足諸行。	比 丘 尼 優 婆 塞 優 婆 夷 清 淨 持 戒 具 足 諸 行 
T47n1963_002:0093c27	獨處空閑。如是思惟。於一切處。隨何方所。若	獨 處 空 閑 如 是 思 惟 於 一 切 處 隨 何 方 所 若 
T47n1963_002:0093c28	聞西方阿彌陀如來應供等正覺。是人爾時	聞 西 方 阿 彌 陀 如 來 應 供 等 正 覺 是 人 爾 時 
T47n1963_002:0093c29	如所聞已。即應作如是想念。如我所聞。彼阿	如 所 聞 已 即 應 作 如 是 想 念 如 我 所 聞 彼 阿 
T47n1963_002:0094a01	彌陀如來應供等正覺。今在西方。經途去此。	彌 陀 如 來 應 供 等 正 覺 今 在 西 方 經 途 去 此 
T47n1963_002:0094a02	過百千億諸佛國土。彼有世界。名曰安樂。知	過 百 千 億 諸 佛 國 土 彼 有 世 界 名 曰 安 樂 知 
T47n1963_002:0094a03	是如來今現在彼。為諸菩薩。周匝圍遶。處大	是 如 來 今 現 在 彼 為 諸 菩 薩 周 匝 圍 遶 處 大 
T47n1963_002:0094a04	眾中。說法教化。然而是人依聞佛故。繫念思	眾 中 說 法 教 化 然 而 是 人 依 聞 佛 故 繫 念 思 
T47n1963_002:0094a05	惟。觀察不已。了了分明。終獲見彼彌陀如來	惟 觀 察 不 已 了 了 分 明 終 獲 見 彼 彌 陀 如 來 
T47n1963_002:0094a06	應供等正覺也。復次賢護。譬如世間若男若	應 供 等 正 覺 也 復 次 賢 護 譬 如 世 間 若 男 若 
T47n1963_002:0094a07	女。於睡夢中見種種事。所謂金銀眾寶。珍財	女 於 睡 夢 中 見 種 種 事 所 謂 金 銀 眾 寶 珍 財 
T47n1963_002:0094a08	倉庫。或見朋友諸知識輩。或見覺時心不樂	倉 庫 或 見 朋 友 諸 知 識 輩 或 見 覺 時 心 不 樂 
T47n1963_002:0094a09	者。是人夢中所對境界。或違或順。或憂或喜。	者 是 人 夢 中 所 對 境 界 或 違 或 順 或 憂 或 喜 
T47n1963_002:0094a10	有時語言歡喜極樂。有時摻感。盡意悲哀。是	有 時 語 言 歡 喜 極 樂 有 時 摻 感 盡 意 悲 哀 是 
T47n1963_002:0094a11	人寤已。思惟憶念。如夢所見。為他廣宣。追念	人 寤 已 思 惟 憶 念 如夢所見 為 他 廣 宣 追 念 
T47n1963_002:0094a12	夢中。便生憂喜。如是賢護。彼善男子善女人。	夢 中 便 生 憂 喜 如 是 賢 護 彼 善 男 子 善 女 人 
T47n1963_002:0094a13	端坐繫念。專心想彼阿彌陀如來應供等正	端 坐 繫 念 專 心 想 彼 阿 彌 陀 如 來 應 供 等 正 
T47n1963_002:0094a14	覺。如是相好。如是威儀。如是大眾。如是說	覺 如 是 相 好 如 是 威 儀 如 是 大 眾 如 是 說 
T47n1963_002:0094a15	法。如聞繫念。一心相續。次第不亂。或經一日。	法 如 聞 繫 念 一 心 相 續 次 第 不 亂 或 經 一 日 
T47n1963_002:0094a16	或復一夜。如是或至七日七夜。如我所聞。具	或 復 一 夜 如 是 或 至 七日七夜 如 我 所 聞 具 
T47n1963_002:0094a17	足念故。是人必覩阿彌陀如來應供等正覺。	足 念 故 是 人 必 覩 阿 彌 陀 如 來 應 供 等 正 覺 
T47n1963_002:0094a18	若於晝時。不能見者。若於夜分。或夢中。阿彌	若 於 晝 時 不 能 見 者 若 於 夜 分 或 夢 中 阿 彌 
T47n1963_002:0094a19	陀佛必當現。釋曰。依此經。唯須假想。七日念	陀 佛 必 當 現 釋 曰 依 此 經 唯 須 假 想 七 日 念 
T47n1963_002:0094a20	佛。即得現見。非命終時也。	佛 即 得 現 見 非 命 終 時 也 
T47n1963_002:0094a21	第八如往生經云。普廣菩薩摩訶薩。又白佛	第 八 如 往 生 經 云 普 廣 菩薩摩訶薩 又 白 佛 
T47n1963_002:0094a22	言。世尊。十方佛剎淨妙國土有差別不。佛言。	言 世 尊 十 方 佛 剎 淨 妙 國 土 有 差 別 不 佛 言 
T47n1963_002:0094a23	普廣。無差別也。普廣又言。世尊。何故經中。	普 廣 無 差 別 也 普 廣 又 言 世 尊 何 故 經 中 
T47n1963_002:0094a24	讚歎阿彌陀剎。七寶諸樹。宮殿樓閣。故願生	讚 歎 阿 彌 陀 剎 七 寶 諸 樹 宮 殿 樓 閣 故 願 生 
T47n1963_002:0094a25	者。皆悉隨彼心中所欲。應念而至。佛告普廣	者 皆 悉 隨 彼 心 中 所 欲 應 念 而 至 佛 告 普 廣 
T47n1963_002:0094a26	菩薩摩訶薩。汝不解我意。娑婆世界人多貪	菩薩摩訶薩 汝 不 解 我 意 娑婆世界 人 多 貪 
T47n1963_002:0094a27	濁。信向者小。習邪者多。不信正法。不能專	濁 信 向 者 小 習 邪 者 多 不 信 正 法 不 能 專 
T47n1963_002:0094a28	心。亂無志意。十方世界實無差別。令諸眾生	心 亂 無 志 意 十方世界 實 無 差 別 令 諸 眾 生 
T47n1963_002:0094a29	專心有在。是故讚嘆彼國土耳。諸往生者。悉	專 心 有 在 是 故 讚 嘆 彼 國 土 耳 諸 往 生 者 悉 
T47n1963_002:0094b01	隨彼願。無不獲果。釋曰。依此經。一向專想西	隨 彼 願 無 不 獲 果 釋 曰 依 此 經 一 向 專 想 西 
T47n1963_002:0094b02	方。即往生也。	方 即 往 生 也 
T47n1963_002:0094b03	第九如藥師經云。佛言。若四輩弟子。比丘比	第 九 如 藥 師 經 云 佛 言 若 四 輩 弟 子 比 丘 比 
T47n1963_002:0094b04	丘尼。清信士清信女。常修月六齋年三長齋。	丘 尼 清 信 士 清 信 女 常 修 月 六 齋 年 三 長 齋 
T47n1963_002:0094b05	或晝夜精懃。一心苦行。願欲往生西方阿彌	或 晝 夜 精 懃 一 心 苦 行 願 欲 往 生 西 方 阿 彌 
T47n1963_002:0094b06	陀佛國者。憶念晝夜。若一日二日三日四日	陀 佛 國 者 憶 念 晝 夜 若 一 日 二 日 三 日 四 日 
T47n1963_002:0094b07	五日六日七日。或復中悔。聞我說是琉璃光	五 日 六 日 七 日 或 復 中 悔 聞 我 說 是 琉 璃 光 
T47n1963_002:0094b08	佛本願功德。盡其壽命。欲終之日。有八菩薩。	佛 本 願 功 德 盡 其 壽 命 欲 終 之 日 有 八 菩 薩 
T47n1963_002:0094b09	文殊師利菩薩。觀世音菩薩。大勢至菩薩。寶	文 殊 師 利 菩 薩 觀 世 音 菩 薩 大 勢 至 菩 薩 寶 
T47n1963_002:0094b10	檀華菩薩。無盡意菩薩。藥王菩薩。藥尚菩薩。	檀 華 菩 薩 無 盡 意 菩 薩 藥 王 菩 薩 藥 尚 菩 薩 
T47n1963_002:0094b11	彌勒菩薩。皆當飛往迎其精神。不逕八難。生	彌 勒 菩 薩 皆 當 飛 往 迎 其 精 神 不 逕 八 難 生 
T47n1963_002:0094b12	蓮華中。自然音樂而相娛樂。釋曰。依此經。七	蓮 華 中 自 然 音 樂 而 相 娛 樂 釋 曰 依 此 經 七 
T47n1963_002:0094b13	日念佛。縱令生悔。聞藥師佛名。還得生也。	日 念 佛 縱 令 生 悔 聞 藥 師 佛 名 還 得 生 也 
T47n1963_002:0094b14	第十般舟經云。佛告跋陀和。菩薩於此間國	第 十 般 舟 經 云 佛 告 跋 陀 和 菩 薩 於 此 間 國 
T47n1963_002:0094b15	土。阿彌陀佛數數念。用是念故。見阿彌陀佛。	土 阿 彌 陀 佛 數 數 念 用 是 念 故 見 阿 彌 陀 佛 
T47n1963_002:0094b16	見佛已從問。當持何等法。生阿彌陀佛國。爾	見 佛 已 從 問 當 持 何 等 法 生 阿 彌 陀 佛 國 爾 
T47n1963_002:0094b17	時阿彌陀語是菩薩言。欲生我國者。常念我	時 阿 彌 陀 語 是 菩 薩 言 欲 生 我 國 者 常 念 我 
T47n1963_002:0094b18	數數。常當專念佛名。所得功德。諸行之中最	數 數 常 當 專 念 佛 名 所得功德 諸 行 之 中 最 
T47n1963_002:0094b19	為殊勝。釋曰。依此經。亦得念佛往生也。	為 殊 勝 釋 曰 依 此 經 亦 得 念 佛 往 生 也 
T47n1963_002:0094b20	第十一大阿彌陀經云。當持齋戒一心清淨。	第 十 一 大 阿 彌 陀 經 云 當 持 齋 戒 一 心 清 淨 
T47n1963_002:0094b21	晝夜常念。欲生阿彌陀佛國。十日十夜不斷	晝 夜 常 念 欲 生 阿 彌 陀 佛 國 十 日 十 夜 不 斷 
T47n1963_002:0094b22	絕。我皆慈愍之。悉令往生阿彌陀佛國。殊使	絕 我 皆 慈 愍 之 悉 令 往 生 阿 彌 陀 佛 國 殊 使 
T47n1963_002:0094b23	不能爾。自思惟熟校。計欲度脫身者。不當絕	不 能 爾 自 思 惟 熟 校 計 欲 度 脫 身 者 不 當 絕 
T47n1963_002:0094b24	念去愛。勿念家事。莫與婦女同床。自端正身	念 去 愛 勿 念 家 事 莫 與 婦 女 同 床 自 端 正 身 
T47n1963_002:0094b25	心。斷於愛欲。一心齋戒清淨至意。念生阿彌	心 斷 於 愛 欲 一 心 齋 戒 清 淨 至 意 念 生 阿 彌 
T47n1963_002:0094b26	陀佛國。一日一夜不斷絕者。壽終皆往生其	陀 佛 國 一 日 一 夜 不 斷 絕 者 壽 終 皆 往 生 其 
T47n1963_002:0094b27	國。在七寶浴池。蓮華中化生。釋曰。依此經。	國 在 七 寶 浴 池 蓮 華 中 化 生 釋 曰 依 此 經 
T47n1963_002:0094b28	若能念佛持戒。不與女人同床。下乃至一日	若 能 念 佛 持 戒 不 與 女 人 同 床 下 乃 至 一 日 
T47n1963_002:0094b29	一夜。亦得生也。	一 夜 亦 得 生 也 
T47n1963_002:0094c01	第十二如無量清淨覺經云。若善男子善女	第 十 二 如 無 量 清 淨 覺 經 云 若 善 男 子 善 女 
T47n1963_002:0094c02	人。聞我說淨土法門。心生悲喜。身毛為竪。如	人 聞 我 說 淨 土 法 門 心 生 悲 喜 身 毛 為 竪 如 
T47n1963_002:0094c03	拔出者。當知。此人過去宿命已作佛道也。若	拔 出 者 當 知 此 人 過 去 宿 命 已 作 佛 道 也 若 
T47n1963_002:0094c04	復有人。聞開淨土法門。都不生信者。當知。此	復 有 人 聞 開 淨 土 法 門 都 不 生 信 者 當 知 此 
T47n1963_002:0094c05	人始從三惡道來。殃咎未盡。為此無信向耳。	人 始 從 三 惡 道 來 殃 咎 未 盡 為 此 無 信 向 耳 
T47n1963_002:0094c06	我說此人未可得解脫也。釋曰。依此經。聞說	我 說 此 人 未 可 得 解 脫 也 釋 曰 依 此 經 聞 說 
T47n1963_002:0094c07	淨土。生信樂者。普是過去供養佛來。由往昔	淨 土 生 信 樂 者 普 是 過 去 供 養 佛 來 由 往 昔 
T47n1963_002:0094c08	因。現在乃至十念。悉得往生。	因 現 在 乃 至 十 念 悉 得 往 生 
T47n1963_002:0094c09	第二引論有七部。一如往生論云。若善男子	第 二 引 論 有 七 部 一 如 往 生 論 云 若 善 男 子 
T47n1963_002:0094c10	善女人。修五念門。行成就者。畢竟得生安樂	善 女 人 修 五 念 門 行 成 就 者 畢 竟 得 生 安 樂 
T47n1963_002:0094c11	國土。見彼阿彌陀佛。何等五念。一者禮拜。二	國 土 見 彼 阿 彌 陀 佛 何 等 五 念 一 者 禮 拜 二 
T47n1963_002:0094c12	者讚歎。三者作願。四者觀察。五者迴向(釋曰此是	者 讚 歎 三 者 作 願 四 者 觀 察 五 者 迴 向 釋 曰 此 是 
T47n1963_002:0094c13	因門)復有五種門。漸次成就五種功德應知。何	因 門 復 有 五 種 門 漸 次 成 就 五種功德 應 知 何 
T47n1963_002:0094c14	者五門。一者近門。二者大會眾門。三者宅門。	者 五 門 一 者 近 門 二 者 大 會 眾 門 三 者 宅 門 
T47n1963_002:0094c15	四者屋門。五者園林遊戲池門。此五種門。初	四 者 屋 門 五 者 園 林 遊 戲 池 門 此 五 種 門 初 
T47n1963_002:0094c16	四種門。成就入功德。第五門成就出功德。入	四 種 門 成 就 入 功 德 第 五 門 成 就 出 功 德 入 
T47n1963_002:0094c17	第一門者。以禮拜阿彌陀佛。為生彼國故。得	第 一 門 者 以 禮 拜 阿 彌 陀 佛 為 生 彼 國 故 得 
T47n1963_002:0094c18	生安樂世界。是名入第一門。入第二門者。以	生 安樂世界 是 名 入 第 一 門 入 第 二 門 者 以 
T47n1963_002:0094c19	讚歎阿彌陀佛。隨順名義。稱如來名。依如來	讚 歎 阿 彌 陀 佛 隨 順 名 義 稱 如 來 名 依 如 來 
T47n1963_002:0094c20	光明智相修行故。得入大會眾數。是名入第	光 明 智 相 修 行 故 得 入 大 會 眾 數 是 名 入 第 
T47n1963_002:0094c21	二門。入第三門者。以一心專念。作願生彼。修	二 門 入 第 三 門 者 以 一 心 專 念 作 願 生 彼 修 
T47n1963_002:0094c22	奢摩他寂靜三昧行故。得入蓮華藏世界。是	奢 摩 他 寂靜三昧 行 故 得 入 蓮華藏世界 是 
T47n1963_002:0094c23	名入第三門。入第四門者。以專念觀察彼妙	名 入 第 三 門 入 第 四 門 者 以 專 念 觀 察 彼 妙 
T47n1963_002:0094c24	莊嚴。修毘婆舍那故。得到彼處。受用種種法	莊 嚴 修毘婆舍那 故 得 到 彼 處 受 用 種 種 法 
T47n1963_002:0094c25	味樂。是名入第四門。出第五門者。以大慈悲。	味 樂 是 名 入 第 四 門 出 第 五 門 者 以 大 慈 悲 
T47n1963_002:0094c26	觀察一切苦惱眾生。示應化身。迴入生死園	觀 察 一 切 苦 惱 眾 生 示 應 化 身 迴 入 生 死 園 
T47n1963_002:0094c27	煩惱林中。遊戲神通。至教化地。以本願力迴	煩 惱 林 中 遊戲神通 至 教 化 地 以 本 願 力 迴 
T47n1963_002:0094c28	向故。是名出第五門。菩薩入四種門。自利行	向 故 是 名 出 第 五 門 菩 薩 入 四 種 門 自 利 行 
T47n1963_002:0094c29	成就應知。菩薩出第五門。利益他迴向行成	成 就 應 知 菩 薩 出 第 五 門 利 益 他 迴 向 行 成 
T47n1963_002:0095a01	就應知。菩薩如是修五門行。自利利他。速成	就 應 知 菩 薩 如 是 修 五 門 行 自利利他 速 成 
T47n1963_002:0095a02	就阿耨多羅三藐三菩提故。釋曰。此是果門	就 阿耨多羅三藐三菩提 故 釋 曰 此 是 果 門 
T47n1963_002:0095a03	也。	也 
T47n1963_002:0095a04	二如起信論云。復次眾生初學是法。欲求正	二 如 起 信 論 云 復 次 眾 生 初 學 是 法 欲 求 正 
T47n1963_002:0095a05	信。其心怯弱。以住於此娑婆世界。自畏不能	信 其 心 怯 弱 以 住 於 此 娑婆世界 自 畏 不 能 
T47n1963_002:0095a06	常值諸佛。親承供養。懼謂信心難可成就。意	常 值 諸 佛 親 承 供 養 懼 謂 信 心 難 可 成 就 意 
T47n1963_002:0095a07	欲退者。當知。如來有勝方便。攝護信心。謂以	欲 退 者 當 知 如 來 有 勝 方 便 攝 護 信 心 謂 以 
T47n1963_002:0095a08	專意念佛因緣。隨願得生他方佛土。常見於	專 意 念 佛 因 緣 隨 願 得 生 他 方 佛 土 常 見 於 
T47n1963_002:0095a09	佛。永離惡道。如修多羅說。若人專念西方極	佛 永 離 惡 道 如 修 多 羅 說 若 人 專 念 西 方 極 
T47n1963_002:0095a10	樂世界阿彌陀佛。即得往生。常見佛故。終無	樂 世 界 阿 彌 陀 佛 即 得 往 生 常 見 佛 故 終 無 
T47n1963_002:0095a11	有退。若觀彼佛真如法身。常勤修習。畢竟得	有 退 若 觀 彼 佛 真 如 法 身 常勤修習 畢 竟 得 
T47n1963_002:0095a12	生。住正定故。釋曰。依此論。此間修信心不成	生 住 正 定 故 釋 曰 依 此 論 此 間 修 信 心 不 成 
T47n1963_002:0095a13	就者。教就西方修習。此豈是十解已去菩薩	就 者 教 就 西 方 修 習 此 豈 是 十 解 已 去 菩 薩 
T47n1963_002:0095a14	也。	也 
T47n1963_002:0095a15	三如十住毘婆娑論中龍樹菩薩云。彌陀世	三 如 十 住 毘 婆 娑 論 中 龍 樹 菩 薩 云 彌 陀 世 
T47n1963_002:0095a16	尊。行者應以此偈尊重讚嘆佛故。論云。阿彌	尊 行 者 應 以 此 偈 尊 重 讚 嘆 佛 故 論 云 阿 彌 
T47n1963_002:0095a17	陀佛本願如是。若人念我。稱名自歸。即入必	陀 佛 本 願 如 是 若 人 念 我 稱 名 自 歸 即 入 必 
T47n1963_002:0095a18	定得阿耨多羅三藐三菩提。是故常應憶念。	定 得阿耨多羅三藐三菩提 是 故 常 應 憶 念 
T47n1963_002:0095a19	以偈稱讚。	以 偈 稱 讚 
T47n1963_002:0095a20	　無量光明慧　　身如真金山	 無量光明 慧 身 如 真 金 山 
T47n1963_002:0095a21	　我今身口意　　合掌稽首禮	 我 今 身 口 意 合 掌 稽 首 禮 
T47n1963_002:0095a22	　金色妙光明　　普流諸世界	 金 色 妙 光 明 普 流 諸 世 界 
T47n1963_002:0095a23	　隨物增其色　　是故稽首禮	 隨 物 增 其 色 是 故 稽 首 禮 
T47n1963_002:0095a24	　若人命終時　　得生彼國者	 若 人 命 終 時 得 生 彼 國 者 
T47n1963_002:0095a25	　即具無量德　　是故我歸命	 即 具 無 量 德 是 故 我 歸 命 
T47n1963_002:0095a26	　人能念是佛　　無量力功德	 人 能 念 是 佛 無 量 力 功 德 
T47n1963_002:0095a27	　即時入必定　　是故我常念	 即 時 入 必 定 是 故 我 常 念 
T47n1963_002:0095a28	　彼國人命終　　設應受諸苦	 彼 國 人 命 終 設 應 受 諸 苦 
T47n1963_002:0095a29	　不墮惡地獄　　是故歸命禮	 不 墮 惡 地 獄 是 故 歸 命 禮 
T47n1963_002:0095b01	　若人生彼國　　終不墮惡趣	 若 人 生 彼 國 終 不 墮 惡 趣 
T47n1963_002:0095b02	　及與阿修羅　　我今歸命禮	 及 與 阿 修 羅 我 今 歸 命 禮 
T47n1963_002:0095b03	　人天身相同　　猶如金山頂	 人 天 身 相 同 猶 如 金 山 頂 
T47n1963_002:0095b04	　諸勝所歸處　　是故頭面禮	 諸 勝 所 歸 處 是 故 頭 面 禮 
T47n1963_002:0095b05	　其有生彼國　　具天眼耳通	 其 有 生 彼 國 具 天 眼 耳 通 
T47n1963_002:0095b06	　十方並無礙　　稽首聖中尊	 十 方 並 無 礙 稽 首 聖 中 尊 
T47n1963_002:0095b07	　其國諸眾生　　神變及身通	 其 國 諸 眾 生 神 變 及 身 通 
T47n1963_002:0095b08	　亦具宿命智　　是故歸命禮	 亦 具 宿 命 智 是 故 歸 命 禮 
T47n1963_002:0095b09	　生彼國土者　　無我無我所	 生 彼 國 土 者 無 我 無 我 所 
T47n1963_002:0095b10	　不生彼此心　　是故稽首禮	 不 生 彼 此 心 是 故 稽 首 禮 
T47n1963_002:0095b11	　超出三界獄　　自如蓮華葉	 超出三界 獄 自 如 蓮 華 葉 
T47n1963_002:0095b12	　聲聞眾無量　　是故稽首禮	 聲 聞 眾 無 量 是 故 稽 首 禮 
T47n1963_002:0095b13	　彼國諸眾生　　其性皆柔和	 彼 國 諸 眾 生 其 性 皆 柔 和 
T47n1963_002:0095b14	　自然行十善　　稽首眾聖王	 自 然 行 十 善 稽 首 眾 聖 王 
T47n1963_002:0095b15	　從善生淨明　　無量無邊所	 從 善 生 淨 明 無量無邊 所 
T47n1963_002:0095b16	　二足中第一　　是故我歸命	 二 足 中 第 一 是 故 我 歸 命 
T47n1963_002:0095b17	　若人願作佛　　心念阿彌陀	 若 人 願 作 佛 心 念 阿 彌 陀 
T47n1963_002:0095b18	　應時為現身　　是故我歸命	 應 時 為 現 身 是 故 我 歸 命 
T47n1963_002:0095b19	　彼佛本願力　　十方諸菩薩	 彼 佛 本 願 力 十 方 諸 菩 薩 
T47n1963_002:0095b20	　來供養聖法　　是故我稽首	 來 供 養 聖 法 是 故 我 稽 首 
T47n1963_002:0095b21	　彼土諸菩薩　　具足諸相好	 彼 土 諸 菩 薩 具 足 諸 相 好 
T47n1963_002:0095b22	　皆自莊嚴身　　我今歸命禮	 皆 自 莊 嚴 身 我 今 歸 命 禮 
T47n1963_002:0095b23	　彼土大菩薩　　日日於三時	 彼 土 大 菩 薩 日 日 於 三 時 
T47n1963_002:0095b24	　供養十方佛　　是故稽首禮	 供 養 十 方 佛 是 故 稽 首 禮 
T47n1963_002:0095b25	　若人種善根　　疑則華不開	 若 人 種 善 根 疑 則 華 不 開 
T47n1963_002:0095b26	　信心清淨者　　華開則見佛	 信 心 清 淨 者 華 開 則 見 佛 
T47n1963_002:0095b27	　十方現在佛　　以種種因緣	 十 方 現 在 佛 以 種種因緣 
T47n1963_002:0095b28	　嘆彼佛功德　　我今歸命禮	 嘆 彼 佛 功 德 我 今 歸 命 禮 
T47n1963_002:0095b29	　其土具嚴飾　　殊彼諸天宮	 其 土 具 嚴 飾 殊 彼 諸 天 宮 
T47n1963_002:0095c01	　功德甚深厚　　是故禮佛足	 功 德 甚 深 厚 是 故 禮 佛 足 
T47n1963_002:0095c02	　佛足千輻輪　　柔軟蓮華色	 佛 足 千 輻 輪 柔 軟 蓮 華 色 
T47n1963_002:0095c03	　見者皆歡喜　　頭面禮佛足	 見 者 皆 歡 喜 頭 面 禮 佛 足 
T47n1963_002:0095c04	　眉間白豪光　　猶如清淨月	 眉 間 白 豪 光 猶 如 清 淨 月 
T47n1963_002:0095c05	　增益面光色　　頭面禮佛足	 增 益 面 光 色 頭 面 禮 佛 足 
T47n1963_002:0095c06	　本求佛道時　　行諸奇妙事	 本 求 佛 道 時 行 諸 奇 妙 事 
T47n1963_002:0095c07	　如諸經所說　　頭面稽首禮	 如 諸 經 所 說 頭 面 稽 首 禮 
T47n1963_002:0095c08	　彼佛所言說　　破除諸罪根	 彼 佛 所 言 說 破 除 諸 罪 根 
T47n1963_002:0095c09	　美言多所益　　我今稽首禮	 美 言 多 所 益 我 今 稽 首 禮 
T47n1963_002:0095c10	　以此美言說　　救諸著樂病	 以 此 美 言 說 救 諸 著 樂 病 
T47n1963_002:0095c11	　已度今猶度　　是故稽首禮	 已 度 今 猶 度 是 故 稽 首 禮 
T47n1963_002:0095c12	　人天中最尊　　諸天頭面禮	 人 天 中 最 尊 諸 天 頭 面 禮 
T47n1963_002:0095c13	　七寶冠摩尼　　是故我歸命	 七 寶 冠 摩 尼 是 故 我 歸 命 
T47n1963_002:0095c14	　一切賢聖眾　　及諸人天眾	 一 切 賢 聖 眾 及 諸 人 天 眾 
T47n1963_002:0095c15	　我皆共歸命　　是故我亦禮	 我 皆 共 歸 命 是 故 我 亦 禮 
T47n1963_002:0095c16	　乘彼八道船　　能度難度海	 乘 彼 八 道 船 能 度 難 度 海 
T47n1963_002:0095c17	　自度亦度彼　　我禮自在者	 自 度 亦 度 彼 我 禮 自 在 者 
T47n1963_002:0095c18	　諸佛無量劫　　讚揚其功德	 諸 佛 無 量 劫 讚 揚 其 功 德 
