T34n1725_001:0870c07	法華宗要	法 華 宗 要 
T34n1725_001:0875a06	教同是究竟了義之說。第二教者。於一說三。	教 同 是 究 竟 了 義 之 說 第 二 教 者 於 一 說 三 
T34n1725_001:0875a07	皆是方便不了義說。為成此義。明證有二。一	皆 是 方 便 不了義說 為 成 此 義 明 證 有 二 一 
T34n1725_001:0875a08	者修多羅。二者阿毘達磨。修多羅者。略引三	者 修 多 羅 二 者 阿 毘 達 磨 修 多 羅 者 略 引 三 
T34n1725_001:0875a09	文一者如安樂行品云。此法花經能令眾生	文 一 者 如 安樂行品 云 此 法 花 經 能 令 眾 生 
T34n1725_001:0875a10	至一切智。一切世間多怨難信。先所未說而	至 一 切 智 一切世間 多 怨 難 信 先所未說 而 
T34n1725_001:0875a11	今說之。是諸如來第一之說。於諸說中最為	今 說 之 是 諸 如 來 第 一 之 說 於 諸 說 中 最 為 
T34n1725_001:0875a12	甚深。末後賜與如彼強力之王久護明珠今	甚 深 末 後 賜 與 如 彼 強 力 之 王 久 護 明 珠 今 
T34n1725_001:0875a13	乃與之。二者化城品云。是諸佛方便分別說	乃 與 之 二 者 化 城 品 云 是 諸 佛 方 便 分 別 說 
T34n1725_001:0875a14	三乘。唯有一佛乘□處故說二。三者勝鬘經	三 乘 唯 有 一 佛 乘 處 故 說 二 三 者 勝 鬘 經 
T34n1725_001:0875a15	云。阿羅漢辟支佛。四智究竟得蘇息處。亦是	云 阿 羅 漢 辟 支 佛 四 智 究 竟 得 蘇 息 處 亦 是 
T34n1725_001:0875a16	如來是方便有餘不了義說。如是等文不可	如 來 是 方 便 有 餘 不了義說 如 是 等 文 不 可 
T34n1725_001:0875a17	具陳。阿毘達磨者略引三處文。法花論云。決	具 陳 阿 毘 達 磨 者 略 引 三 處 文 法 花 論 云 決 
T34n1725_001:0875a18	定增上慢二種聲聞。根未熟故佛不與授記菩	定 增 上 慢 二 種 聲 聞 根 未 熟 故 佛 不 與 授 記 菩 
T34n1725_001:0875a19	薩與授記。菩薩與記者。方便令發心故。二者	薩 與 授 記 菩 薩 與 記 者 方 便 令 發 心 故 二 者 
T34n1725_001:0875a20	智度論說。問。阿羅漢先世因緣之所受身必	智 度 論 說 問 阿 羅 漢 先世因緣 之 所 受 身 必 
T34n1725_001:0875a21	應當滅。住在何處而具足佛道。答。得阿羅漢	應 當 滅 住 在 何 處 而 具 足 佛 道 答 得阿羅漢 
T34n1725_001:0875a22	時。三界諸漏因緣盡故。更不復生三界。有淨	時 三 界 諸 漏 因 緣 盡 故 更 不 復 生 三 界 有 淨 
T34n1725_001:0875a23	佛立出於三界。乃至無有煩惱之名。於是國	佛 立 出 於 三 界 乃 至 無 有 煩 惱 之 名 於 是 國 
T34n1725_001:0875a24	立佛所聞法花經具足佛道。三者寶性論云。	立 佛 所 聞 法 花 經 具 足 佛 道 三 者 寶 性 論 云 
T34n1725_001:0875a25	問。說闡提無涅槃性常不入涅槃者。此義云	問 說 闡 提 無涅槃性 常 不入涅槃 者 此 義 云 
T34n1725_001:0875a26	何。為欲示顯謗大乘因故。此明何義。為欲迴	何 為 欲 示 顯 謗 大 乘 因 故 此 明 何 義 為 欲 迴 
T34n1725_001:0875a27	轉誹謗大乘心不求大乘心。依無量時。故作	轉 誹 謗 大 乘 心 不 求 大 乘 心 依 無 量 時 故 作 
T34n1725_001:0875a28	是說。以彼實有清淨性故。依是等文。當知諸	是 說 以 彼 實 有 清 淨 性 故 依 是 等 文 當 知 諸 
T34n1725_001:0875a29	教說有二乘定不成佛。及說無性有情等言。	教 說 有 二 乘 定 不 成 佛 及 說 無 性 有 情 等 言 
T34n1725_001:0875b01	皆是方便不了義說。若說一乘更無第二一切	皆 是 方 便 不了義說 若 說 一 乘 更 無 第 二 一 切 
T34n1725_001:0875b02	眾生皆當作佛。如是經典是真了義。問若立	眾 生 皆 當 作 佛 如 是 經 典 是 真 了 義 問 若 立 
T34n1725_001:0875b03	初師義者。後師所引文云何和會。彼師通曰。	初 師 義 者 後 師 所 引 文 云 何 和 會 彼 師 通 曰 
T34n1725_001:0875b04	諸一乘教所說諸文。皆為護彼不定性者。皆	諸 一 乘 教 所 說 諸 文 皆 為 護 彼 不 定 性 者 皆 
T34n1725_001:0875b05	是方便。故不相違。法花論文及寶性論。亦為	是 方 便 故 不 相 違 法 花 論 文 及 寶 性 論 亦 為 
T34n1725_001:0875b06	述後方便教意。智度論文說阿羅漢生淨土	述 後 方 便 教 意 智 度 論 文 說 阿 羅 漢 生 淨 土 
T34n1725_001:0875b07	者。是約不定種性聲聞。由是道理亦不相違。	者 是 約 不定種性 聲 聞 由 是 道 理 亦 不 相 違 
T34n1725_001:0875b08	問。若立後師義者。前所引證云何得通。彼師	問 若 立 後 師 義 者 前 所 引 證 云 何 得 通 彼 師 
T34n1725_001:0875b09	通云。深密經說終不能令當坐道場證得無	通 云 深 密 經 說 終 不 能 令 當 坐 道 場 證 得 無 
T34n1725_001:0875b10	上正等菩提者。是明決定當入無餘永不能	上 正等菩提 者 是 明 決 定 當 入 無 餘 永 不 能 
T34n1725_001:0875b11	令不入無餘直證無上正等菩提。是故說為	令 不 入 無 餘 直 證無上正等菩提 是 故 說 為 
T34n1725_001:0875b12	一向趣寂。然彼聲聞入無餘時。住八萬劫或	一向趣寂 然 彼 聲 聞 入 無 餘 時 住 八 萬 劫 或 
T34n1725_001:0875b13	住六萬四萬二萬。然後起心即入大生於淨	住 六 萬 四 萬 二 萬 然 後 起 心 即 入 大 生 於 淨 
T34n1725_001:0875b14	土具足佛道。若論不定種性人者。唯住有餘	土 具 足 佛 道 若 論 不定種性 人 者 唯 住 有 餘 
T34n1725_001:0875b15	依地入大。如瑜伽論分明說故。是故彼經亦	依 地 入 大 如 瑜 伽 論 分 明 說 故 是 故 彼 經 亦 
T34n1725_001:0875b16	不相違。對法論文說一乘教為方便者。是述	不 相 違 對 法 論 文 說 一 乘 教 為 方 便 者 是 述 
T34n1725_001:0875b17	三乘權教之意而非究竟道理之說。如彼執	三 乘 權 教 之 意 而 非 究 竟 道 理 之 說 如 彼 執 
T34n1725_001:0875b18	三乘者說云。十五有漏□無記者。是約麁相	三 乘 者 說 云 十 五 有 漏 無 記 者 是 約 麁 相 
T34n1725_001:0875b19	境界而說。非是究竟真實道理。是故當知彼	境 界 而 說 非 是 究 竟 真 實 道 理 是故當知 彼 
T34n1725_001:0875b20	對法論或有述於方便教文。由是道理不相	對 法 論 或 有 述 於 方 便 教 文 由 是 道 理 不 相 
T34n1725_001:0875b21	違也。問。二師所通一據相違。何者為實何者	違 也 問 二 師 所 通 一 據 相 違 何 者 為 實 何 者 
T34n1725_001:0875b22	為勝。答。皆是經論。有何不實。所以然者。為	為 勝 答 皆 是 經 論 有 何 不 實 所 以 然 者 為 
T34n1725_001:0875b23	護一向趣寂者意。則如初師所通為實。為護	護 一向趣寂 者 意 則 如 初 師 所 通 為 實 為 護 
T34n1725_001:0875b24	不定種姓人意。則如後師所說為實。皆當物	不 定 種 姓 人 意 則 如 後 師 所 說 為 實 皆 當 物 
T34n1725_001:0875b25	機各得和通故。若就道理判其勝負者。彼師	機 各 得 和 通 故 若 就 道 理 判 其 勝 負 者 彼 師 
T34n1725_001:0875b26	義狹而且短。彼說佛□不遍一切故。又說二	義 狹 而 且 短 彼 說 佛 不 遍 一 切 故 又 說 二 
T34n1725_001:0875b27	□竟斷滅故。第二師義寬而復長。返前短狹	 竟 斷 滅 故 第 二 師 義 寬 而 復 長 返 前 短 狹 
T34n1725_001:0875b28	其義可知斯則以短狹義會寬長文。文傷□	其 義 可 知 斯 則 以 短 狹 義 會 寬 長 文 文 傷 
T34n1725_001:0875b29	□會。用寬長義容短狹文。文狹則無傷義。則	 會 用 寬 長 義 容 短 狹 文 文 狹 則 無 傷 義 則 
T34n1725_001:0875c01	易會。由是道理後說為勝。是故當知此法花	易 會 由 是 道 理 後 說 為 勝 是故當知 此 法 花 
T34n1725_001:0875c02	經乃是究竟了義之教也。今依是義以通諸	經 乃 是 究 竟 了 義 之 教 也 今 依 是 義 以 通 諸 
T34n1725_001:0875c03	文。諸文相違皆得善通。所以然者。以諸了義	文 諸 文 相 違 皆 得 善 通 所 以 然 者 以 諸 了 義 
T34n1725_001:0875c04	究竟教內不無方便不了之言。如解深密經	究 竟 教 內 不 無 方 便 不 了 之 言 如 解 深 密 經 
T34n1725_001:0875c05	中說言。一切聲聞緣覺菩薩同皆共一此妙	中 說 言 一 切 聲 聞 緣 覺 菩 薩 同 皆 共 一 此 妙 
T34n1725_001:0875c06	清淨道。皆同是一究竟清淨如。□是道理為	清 淨 道 皆 同 是 一 究 竟 清 淨 如 是 道 理 為 
T34n1725_001:0875c07	彼經宗。所以彼經是真了義。而彼經說寂趣	彼 經 宗 所 以 彼 經 是 真 了 義 而 彼 經 說 寂 趣 
T34n1725_001:0875c08	聲聞終不能得坐於道場。如是等文是方便	聲 聞 終 不 能 得 坐 於 道 場 如 是 等 文 是 方 便 
T34n1725_001:0875c09	說。為護決定二乘意故。作是方便不了義說。	說 為 護 決 定 二 乘 意 故 作 是 方 便 不了義說 
T34n1725_001:0875c10	由是道理夫人性等說彼以為不了義說。如	由 是 道 理 夫 人 性 等 說 彼 以 為 不了義說 如 
T34n1725_001:0875c11	是二文不相違也。又此法花經中說言。為□	是 二 文 不 相 違 也 又 此 法 花 經 中 說 言 為 
T34n1725_001:0875c12	□故。化作寶城。更止息已終引佛果。依是道	 故 化 作 寶 城 更 止 息 已 終 引 佛 果 依 是 道 
T34n1725_001:0875c13	理以說一乘。是為經究竟了義。此經亦有不	理 以 說 一 乘 是 為 經 究 竟 了 義 此 經 亦 有 不 
T34n1725_001:0875c14	了義語□直說言唯有□□無二無三是文為	了 義 語 直 說 言 唯 有 無 二 無 三 是 文 為 
T34n1725_001:0875c15	□□定□□說無趣寂二乘之行。而實不無	 定 說 無 趣 寂 二 乘 之 行 而 實 不 無 
T34n1725_001:0875c16	趣寂二乘之行。是故說無是方便語。由是道	趣 寂 二 乘 之 行 是 故 說 無 是 方 便 語 由 是 道 
T34n1725_001:0875c17	理對法論說為方便者。亦有道理也。	理 對 法 論 說 為 方 便 者 亦 有 道 理 也 
T34n1725_001:0875c18	法花宗要	法 花 宗 要 
