T85n2755_001:0217b16	華嚴經疏	華 嚴 經 疏 
T85n2755_001:0226a08	世間。即涅槃明離而無離。二明三時無斷惑	世 間 即 涅 槃 明 離 而 無 離 二 明 三 時 無 斷 惑 
T85n2755_001:0226a09	義。即斷而不斷。乃至其相如空。准此等義	義 即 斷 而 不 斷 乃 至 其 相 如 空 准 此 等 義 
T85n2755_001:0226a10	與上同相何別。答。舉實無別。但約自體處名	與 上 同 相 何 別 答 舉 實 無 別 但 約 自 體 處 名 
T85n2755_001:0226a11	同相。約智證入處名不同相。若不同彼同相	同 相 約 智 證 入 處 名 不 同 相 若 不 同 彼 同 相 
T85n2755_001:0226a12	不得成。此不同相也。是故義說有二法體無	不 得 成 此 不 同 相 也 是 故 義 說 有 二 法 體 無 
T85n2755_001:0226a13	別。	別 
T85n2755_001:0226a14	言諸佛所行處下一頌半。明第三舉例顯微。	言 諸 佛 所 行 處 下 一 頌 半 明 第 三 舉 例 顯 微 
T85n2755_001:0226a15	於中初三句牒前深妙。下三句類顯地微。前	於 中 初 三 句 牒 前 深 妙 下 三 句 類 顯 地 微 前 
T85n2755_001:0226a16	中初二句。舉佛所證二種涅槃。於中寂者是	中 初 二 句 舉 佛 所 證 二 種 涅 槃 於 中 寂 者 是 
T85n2755_001:0226a17	同相涅槃。以自性常寂故。滅者是不同相涅	同 相 涅 槃 以 自 性 常 寂 故 滅 者 是 不 同 相 涅 
T85n2755_001:0226a18	槃。以智緣滅故。清淨者顯此二種自性無染。	槃 以 智 緣 滅 故 清 淨 者 顯 此 二 種 自 性 無 染 
T85n2755_001:0226a19	及對治離染故。深者顯此二種甚深微妙故。	及 對 治 離 染 故 深 者 顯 此 二 種 甚深微妙 故 
T85n2755_001:0226a20	此二唯是諸佛所證故。名佛所行處也。言說	此 二 唯 是 諸 佛 所 證 故 名 佛 所 行 處 也 言 說 
T85n2755_001:0226a21	所難及者。正顯此二深妙超言。下三句類顯	所 難 及 者 正 顯 此 二 深 妙 超 言 下 三 句 類 顯 
T85n2755_001:0226a22	地法。同彼玄妙故云地行。亦如是言地者境	地 法 同 彼 玄 妙 故 云 地 行 亦 如 是 言 地 者 境 
T85n2755_001:0226a23	界。觀者謂照境之智。是地正體故。行者智	界 觀 者 謂 照 境 之 智 是 地 正 體 故 行 者 智 
T85n2755_001:0226a24	眷屬者。檀等諸度與智同行故。亦如是者同	眷 屬 者 檀 等 諸 度 與 智 同 行 故 亦 如 是 者 同 
T85n2755_001:0226a25	二涅槃之深妙故說之。猶尚難者。顯教尚難	二 涅 槃 之 深 妙 故 說 之 猶 尚 難 者 顯 教 尚 難 
T85n2755_001:0226a26	言。何況以示人者。況義深玄何容可示。論	言 何 況 以 示 人 者 況 義 深 玄 何 容 可 示 論 
T85n2755_001:0226a27	云何故不但說無言等者。徵文顯意。謂何不	云 何 故 不 但 說 無 言 等 者 徵 文 顯 意 謂 何 不 
T85n2755_001:0226a28	一向說無言。乃云言說所難及顯示。依言以	一 向 說 無 言 乃 云 言 說 所 難 及 顯 示 依 言 以 
T85n2755_001:0226a29	求解故。不說無言也。	求 解 故 不 說 無 言 也 
T85n2755_001:0226b01	諸佛之智慧下下一頌半。第四寄對彰微。以	諸 佛 之 智 慧 下 下 一 頌 半 第 四 寄 對 彰 微 以 
T85n2755_001:0226b02	此地智是諸佛境故。名佛之智。離諸心數者。	此 地 智 是 諸 佛 境 故 名 佛 之 智 離 諸 心 數 者 
T85n2755_001:0226b03	此智不同思慧境故。離心道者。不同報生識	此 智 不 同 思 慧 境 故 離 心 道 者 不 同 報 生 識 
T85n2755_001:0226b04	智。彼二可說。此智非彼境故云不可說也。言	智 彼 二 可 說 此 智 非 彼 境 故 云 不 可 說 也 言 
T85n2755_001:0226b05	不可得思議者。以非耳識所知。非意識思量	不可得思議 者 以 非 耳 識 所 知 非 意 識 思 量 
T85n2755_001:0226b06	故。此顯不可聞。言非有陰界入者。如陰界入。	故 此 顯 不 可 聞 言 非 有 陰 界 入 者 如 陰 界 入 
T85n2755_001:0226b07	有色心根境識等差別　是則可說。證智不爾。	有 色 心 根 境 識 等 差 別 是 則 可 說 證 智 不 爾 
T85n2755_001:0226b08	無能所平等無分別故。離文字不可說也。是	無 能 所 平 等 無 分 別 故 離 文 字 不 可 說 也 是 
T85n2755_001:0226b09	故但可證智內契不可分別。非染識所能了	故 但 可 證 智 內 契 不可分別 非 染 識 所 能 了 
T85n2755_001:0226b10	知。以取相名識。不取相名智故非彼境。論	知 以 取 相 名 識 不 取 相 名 智 故 非 彼 境 論 
T85n2755_001:0226b11	云。智者地智。即根本智也。起者以何觀者。以	云 智 者 地 智 即 根 本 智 也 起 者 以 何 觀 者 以 
T85n2755_001:0226b12	加行觀智起本智故。以何同行者。檀等餘行	加 行 觀 智 起 本 智 故 以 何 同 行 者 檀 等 餘 行 
T85n2755_001:0226b13	亦資起故。	亦 資 起 故 
T85n2755_001:0226b14	言如空迹下第五一頌舉喻顯微。上半舉喻。	言 如 空 迹 下 第 五 一 頌 舉 喻 顯 微 上 半 舉 喻 
T85n2755_001:0226b15	下半顯法。此中喻義略作三門。一對前辨異。	下 半 顯 法 此 中 喻 義 略 作 三 門 一 對 前 辨 異 
T85n2755_001:0226b16	謂與前盡空何別。太空喻果海。跡處喻地體。	謂 與 前 盡 空 何 別 太 空 喻 果 海 跡 處 喻 地 體 
T85n2755_001:0226b17	跡相喻地相。鳥足喻言教意。不同者喻地法	跡 相 喻 地 相 鳥 足 喻 言 教 意 不 同 者 喻 地 法 
T85n2755_001:0226b18	難說難聞成默不說。今喻地法難說難聞。誡	難 說 難 聞 成 默 不 說 今 喻 地 法 難 說 難 聞 誡 
T85n2755_001:0226b19	眾捨著許為宣說。二顯義意者。如鳥行空。鳥	眾 捨 著 許 為 宣 說 二 顯 義 意 者 如 鳥 行 空 鳥 
T85n2755_001:0226b20	身過後跡處不可說。相亦不可見。然有鳥行	身 過 後 跡 處 不 可 說 相 亦 不 可 見 然 有 鳥 行 
T85n2755_001:0226b21	不可言。無非以有鳥行故。令有跡相可取。非	不 可 言 無 非 以 有 鳥 行 故 令 有 跡 相 可 取 非 
T85n2755_001:0226b22	以無跡相故。總無鳥行鳥行喻言教。跡相喻	以 無 跡 相 故 總 無 鳥 行 鳥 行 喻 言 教 跡 相 喻 
T85n2755_001:0226b23	地法。尋鳥求跡。跡不可得。尋言求地。地不	地 法 尋 鳥 求 跡 跡 不 可 得 尋 言 求 地 地 不 
T85n2755_001:0226b24	可得。但約鳥行十步說有十跡。實無十跡之	可 得 但 約 鳥 行 十 步 說 有 十 跡 實 無 十 跡 之 
T85n2755_001:0226b25	異。約言分十地。實無十地之異相。是故十地	異 約 言 分 十 地 實 無 十 地 之 異 相 是 故 十 地 
T85n2755_001:0226b26	如空中十迹。豈有差別。問。如空中鳥已行未	如 空 中 十 迹 豈 有 差 別 問 如 空 中 鳥 已 行 未 
T85n2755_001:0226b27	行及正行處。俱無有跡。豈可十地言下無所	行 及 正 行 處 俱 無 有 跡 豈 可 十 地 言 下 無 所 
T85n2755_001:0226b28	詮義。答。有所行空處故有所詮義。問。鳥足空	詮 義 答 有 所 行 空 處 故 有 所 詮 義 問 鳥 足 空 
T85n2755_001:0226b29	中不能現跡。言下既不能顯理。何用斯言。答。	中 不 能 現 跡 言 下 既 不 能 顯 理 何 用 斯 言 答 
T85n2755_001:0226c01	鳥行沙土如足現跡。鳥行空中足現無跡。小	鳥 行 沙 土 如 足 現 跡 鳥 行 空 中 足 現 無 跡 小 
T85n2755_001:0226c02	乘言教顯如言義。大乘言教顯離言義。若無	乘 言 教 顯 如 言 義 大 乘 言 教 顯 離 言 義 若 無 
T85n2755_001:0226c03	鳥行無以得知虛空無跡。故知鳥行能顯無	鳥 行 無 以 得 知 虛 空 無 跡 故 知 鳥 行 能 顯 無 
T85n2755_001:0226c04	跡。非無能詮所況可知。三釋文者。論中有	跡 非 無 能 詮 所 況 可 知 三 釋 文 者 論 中 有 
T85n2755_001:0226c05	二。初三句解喻。後三句合法。喻中鳥行跡處	二 初 三 句 解 喻 後 三 句 合 法 喻 中 鳥 行 跡 處 
T85n2755_001:0226c06	是一句。直舉喻體。二不可說。相亦不可見。	是 一 句 直 舉 喻 體 二 不 可 說 相 亦 不 可 見 
T85n2755_001:0226c07	是第二句顯跡。離相難說難見。謂不可說。其	是 第 二 句 顯 跡 離 相 難 說 難 見 謂 不 可 說 其 
T85n2755_001:0226c08	跡數多少不可見。其跡相差別下。釋成何故	跡 數 多 少 不 可 見 其 跡 相 差 別 下 釋 成 何 故 
T85n2755_001:0226c09	問也。釋以空無相故。即空之跡亦不可分別	問 也 釋 以 空 無 相 故 即 空 之 跡 亦 不可分別 
T85n2755_001:0226c10	也。三非無行跡。是第三句以有鳥行故非無	也 三 非 無 行 跡 是 第 三 句 以 有 鳥 行 故 非 無 
T85n2755_001:0226c11	跡。又此三中。初總舉。二離有。三離無。下合	跡 又 此 三 中 初 總 舉 二 離 有 三 離 無 下 合 
T85n2755_001:0226c12	中三句次第。合如是鳥跡處。明前初句名等	中 三 句 次 第 合 如 是 鳥 跡 處 明 前 初 句 名 等 
T85n2755_001:0226c13	住處。證智攝者。合之以法准法驗。喻應言如	住 處 證 智 攝 者 合 之 以 法 准 法 驗 喻 應 言 如 
T85n2755_001:0226c14	是鳥行跡處。虛空所攝。文中存略世名句字	是 鳥 行 跡 處 虛 空 所 攝 文 中 存 略 世 名 句 字 
T85n2755_001:0226c15	身。合鳥行住處證攝合跡處。虛空所攝不可	身 合 鳥 行 住 處 證 攝 合 跡 處 虛 空 所 攝 不 可 
T85n2755_001:0226c16	說。聞合第二句明離有難說聞也。下亦釋成	說 聞 合 第 二 句 明 離 有 難 說 聞 也 下 亦 釋 成 
T85n2755_001:0226c17	非如聲性者。明此地法出言非如音聲之性。	非 如 聲 性 者 明 此 地 法 出 言 非 如 音 聲 之 性 
T85n2755_001:0226c18	是可聞法。又釋明地出言非可如言聲性而	是 可 聞 法 又 釋 明 地 出 言 非 可 如 言 聲 性 而 
T85n2755_001:0226c19	執取也。非無地智多句字身者。合第三句顯	執 取 也 非 無 地 智 多 句 字 身 者 合 第 三 句 顯 
T85n2755_001:0226c20	不無義。非無地智者。有所詮離相之法。非無	不 無 義 非 無 地 智 者 有 所 詮 離 相 之 法 非 無 
T85n2755_001:0226c21	名句字者。有能詮之教。何故言有教。擬欲	名 句 字 者 有 能 詮 之 教 何 故 言 有 教 擬 欲 
T85n2755_001:0226c22	宣說故。何故言地。離相不令如言而取故。云	宣 說 故 何 故 言 地 離 相 不 令 如 言 而 取 故 云 
T85n2755_001:0226c23	何故我復說。此汝等不應隨聲取義。此是論	何 故 我 復 說 此 汝 等 不 應 隨 聲 取 義 此 是 論 
T85n2755_001:0226c24	主義。作金剛藏語誡眾離著。五過中前二違	主 義 作 金 剛 藏 語 誡 眾 離 著 五 過 中 前 二 違 
T85n2755_001:0226c25	行過。次二違人過。後一違法過。謂如言之	行 過 次 二 違 人 過 後 一 違 法 過 謂 如 言 之 
T85n2755_001:0226c26	義。都無所有。而謂實有故不正信。二不能勵	義 都無所有 而 謂 實 有 故 不 正 信 二 不 能 勵 
T85n2755_001:0226c27	心捨相求實名退勇猛。三法實不然。為他宣	心 捨 相 求 實 名 退 勇 猛 三 法 實 不 然 為 他 宣 
T85n2755_001:0226c28	說云法正爾故云誑他。四言是佛說故云謗	說 云 法 正 爾 故 云 誑 他 四 言 是 佛 說 故 云 謗 
T85n2755_001:0226c29	佛。又佛意正在離言之義。而謂佛智緣所執	佛 又 佛 意 正 在 離 言 之 義 而 謂 佛 智 緣 所 執 
T85n2755_001:0227a01	相故亦謗也。五謂法淺薄同於世間稱言之	相 故 亦 謗 也 五 謂 法 淺 薄 同 於 世 間 稱 言 之 
T85n2755_001:0227a02	事故云輕法。又佛教指示離言義。令諸眾生	事 故 云 輕 法 又 佛 教 指 示 離 言 義 令 諸 眾 生 
T85n2755_001:0227a03	越凡成聖。今取如言。只是世語。不能令人超	越 凡 成 聖 今 取 如 言 只 是 世 語 不 能 令 人 超 
T85n2755_001:0227a04	凡得聖故。輕法之過實為重也。釋義大竟。	凡 得 聖 故 輕 法 之 過 實 為 重 也 釋 義 大 竟 
T85n2755_001:0227a05	自下第二明其說大。於中六頌分五。初一頌	自 下 第 二 明 其 說 大 於 中 六 頌 分 五 初 一 頌 
T85n2755_001:0227a06	三句明所說分齊。二有三句彰已無過誡眾	三 句 明 所 說 分 齊 二 有 三 句 彰 已 無 過 誡 眾 
T85n2755_001:0227a07	除失。三有一頌半顯其所說略而非廣。四有	除 失 三 有 一 頌 半 顯 其 所 說 略 而 非 廣 四 有 
T85n2755_001:0227a08	一頌勸眾敬聽彰已善說。五有一頌顯已得	一 頌 勸 眾 敬 聽 彰 已 善 說 五 有 一 頌 顯 已 得 
T85n2755_001:0227a09	力為生物信。前中初一句是總言。是事雖為	力 為 生 物 信 前 中 初 一 句 是 總 言 是 事 雖 為 
T85n2755_001:0227a10	難者。是事謂牒前義大之事。雖者是不定之	難 者 是 事 謂 牒 前 義 大 之 事 雖 者 是 不 定 之 
T85n2755_001:0227a11	辭。謂此地法有其二分。果分雖不可說然因	辭 謂 此 地 法 有 其 二 分 果 分 雖 不 可 說 然 因 
T85n2755_001:0227a12	分可說故。論經云。我但說一分。謂因分於果	分 可 說 故 論 經 云 我 但 說 一 分 謂 因 分 於 果 
T85n2755_001:0227a13	為一分故。此二分義諸說不同。有說能詮之	為 一 分 故 此 二 分 義 諸 說 不 同 有 說 能 詮 之 
T85n2755_001:0227a14	教為因分。所詮之義為果分。此說甚疎。有說	教 為 因 分 所 詮 之 義 為 果 分 此 說 甚 疎 有 說 
T85n2755_001:0227a15	地前因行為因分。地上證智為果分。此品豈	地 前 因 行 為 因 分 地 上 證 智 為 果 分 此 品 豈 
T85n2755_001:0227a16	說地前法邪。故知不然若約諸地加行等為	說 地 前 法 邪 故 知 不 然 若 約 諸 地 加 行 等 為 
T85n2755_001:0227a17	因。正證為果。亦少分得。有說十地有二種門。	因 正 證 為 果 亦 少 分 得 有 說 十 地 有 二 種 門 
T85n2755_001:0227a18	一若約漸增之門名因分。十地是則可說。有	一 若 約 漸 增 之 門 名 因 分 十 地 是 則 可 說 有 
T85n2755_001:0227a19	分齊故。如月漸增可說差別。二若就圓滿時	分 齊 故 如 月 漸 增 可 說 差 別 二 若 就 圓 滿 時 
T85n2755_001:0227a20	門名果分。十地是不可說。無分齊故。如月滿	門 名 果 分 十 地 是 不 可 說 無 分 齊 故 如 月 滿 
T85n2755_001:0227a21	時無差別故。此二十地其體無別。但隨分滿	時 無 差 別 故 此 二 十 地 其 體 無 別 但 隨 分 滿 
T85n2755_001:0227a22	假立二分。此亦未然。豈可未至。法雲則歡喜	假 立 二 分 此 亦 未 然 豈 可 未 至 法 雲 則 歡 喜 
T85n2755_001:0227a23	可說。待十圓滿方不可說。若前能起後為因。	可 說 待 十 圓 滿 方 不 可 說 若 前 能 起 後 為 因 
T85n2755_001:0227a24	後依前起為果。亦少分可然。猶非文意。有說	後 依 前 起 為 果 亦 少 分 可 然 猶 非 文 意 有 說 
T85n2755_001:0227a25	十地有二種義。一者教所安立十地法門。在	十 地 有 二 種 義 一 者 教 所 安 立 十 地 法 門 在 
T85n2755_001:0227a26	聞者識上似義顯現名為因分。因此表彼離	聞 者 識 上 似 義 顯 現 名 為 因 分 因 此 表 彼 離 
T85n2755_001:0227a27	言義故。二者已詮證入十地正行離諸言教	言 義 故 二 者 已 詮 證 入 十 地 正 行 離 諸 言 教 
T85n2755_001:0227a28	所安立相說名果分。由彼因分之所表故。是	所 安 立 相 說 名 果 分 由 彼 因 分 之 所 表 故 是 
T85n2755_001:0227a29	故因分可說果分不可說。此說少順文意。猶	故 因 分 可 說 果 分 不 可 說 此 說 少 順 文 意 猶 
T85n2755_001:0227b01	非正當。今釋有兩重。一此十地有二分。一就	非 正 當 今 釋 有 兩 重 一 此 十 地 有 二 分 一 就 
T85n2755_001:0227b02	實十地。唯佛所知佛智所行名為果分。上論	實 十 地 唯 佛 所 知 佛 智 所 行 名 為 果 分 上 論 
T85n2755_001:0227b03	云。此智是誰證偈言佛所行故文。上文云。智	云 此 智 是 誰 證 偈 言 佛 所 行 故 文 上 文 云 智 
T85n2755_001:0227b04	起佛境界故。又上加分中言不思議佛法。又	起 佛 境 界 故 又 上 加 分 中 言 不 思 議 佛 法 又 
T85n2755_001:0227b05	如鳥跡所依太空為果海等。二隨相十地菩	如 鳥 跡 所 依 太 空 為 果 海 等 二 隨 相 十 地 菩 
T85n2755_001:0227b06	薩所知菩薩所行名為因分。是則果分玄絕。	薩 所 知 菩薩所行 名 為 因 分 是 則 果 分 玄 絕 
T85n2755_001:0227b07	當不可說。因分約機是則可說。此義通一部	當 不 可 說 因 分 約 機 是 則 可 說 此 義 通 一 部 
T85n2755_001:0227b08	經中大意。問。若爾喜菩薩證智豈可說邪。答。	經 中 大 意 問 若 爾 喜 菩 薩 證 智 豈 可 說 邪 答 
T85n2755_001:0227b09	教說修中滿足修等是也。二云十地有二分。	教 說 修 中 滿 足 修 等 是 也 二 云 十 地 有 二 分 
T85n2755_001:0227b10	一約妙智。正證智如境故。離相離言故。名果	一 約 妙 智 正 證 智 如 境 故 離 相 離 言 故 名 果 
T85n2755_001:0227b11	分則不可說。如彼鳥跡同於虛空不可說也。	分 則 不 可 說 如 彼 鳥 跡 同 於 虛 空 不 可 說 也 
T85n2755_001:0227b12	二約方便。寄法顯地差別。如下文初二三地	二 約 方 便 寄 法 顯 地 差 別 如 下 文 初 二 三 地 
T85n2755_001:0227b13	寄同世間。四五六地同二乘等。又寄禪支道	寄 同 世 間 四 五 六 地 同 二 乘 等 又 寄 禪 支 道 
T85n2755_001:0227b14	品。諸諦緣生以顯地別令眾因。此表解地義	品 諸 諦 緣 生 以 顯 地 別 令 眾 因 此 表 解 地 義 
T85n2755_001:0227b15	故名因分。如空中跡。約鳥說異名為因分。同	故 名 因 分 如 空 中 跡 約 鳥 說 異 名 為 因 分 同 
T85n2755_001:0227b16	空無別名為果分。一跡通二故為二分。問。約	空 無 別 名 為 果 分 一 跡 通 二 故 為 二 分 問 約 
T85n2755_001:0227b17	鳥約空跡皆離相。云何有說有不可說。答。跡	鳥 約 空 跡 皆 離 相 云 何 有 說 有 不 可 說 答 跡 
T85n2755_001:0227b18	雖離相就鳥得說。就鳥得說所說常離也。跡	雖 離 相 就 鳥 得 說 就 鳥 得 說 所 說 常 離 也 跡 
T85n2755_001:0227b19	同虛空理不可說。所況地智准此可知。此釋	同 虛 空 理 不 可 說 所 況 地 智 准 此 可 知 此 釋 
T85n2755_001:0227b20	局斯地品故。云雖為難即是一分也。此為總	局 斯 地 品 故 云 雖 為 難 即 是 一 分 也 此 為 總 
T85n2755_001:0227b21	句。下有六句。別顯三大。初一句明因成就	句 下 有 六 句 別 顯 三 大 初 一 句 明 因 成 就 
T85n2755_001:0227b22	大。次有一句明因漸成就大。餘有四句明教	大 次 有 一 句 明 因 漸 成 就 大 餘 有 四 句 明 教 
T85n2755_001:0227b23	說修成就大。釋此三大略作四門。一釋名者。	說 修 成 就 大 釋 此 三 大 略 作 四 門 一 釋 名 者 
T85n2755_001:0227b24	悲願重心為起行。本名因成就。說大之中開	悲 願 重 心 為 起 行 本 名 因 成 就 說 大 之 中 開 
T85n2755_001:0227b25	出此故。名之為大。二聞思修等次第。能生出	出 此 故 名 之 為 大 二 聞 思 修 等 次 第 能 生 出 
T85n2755_001:0227b26	世證智故。名因漸成就。三實智證真指陳不	世 證 智 故 名 因 漸 成 就 三 實 智 證 真 指 陳 不 
T85n2755_001:0227b27	到。假言寄顯故名教說修。問。此三俱是說大	到 假 言 寄 顯 故 名 教 說 修 問 此 三 俱 是 說 大 
T85n2755_001:0227b28	中出。何故前不名教說。又俱是因分中出。何	中 出 何 故 前 不 名 教 說 又 俱 是 因 分 中 出 何 
T85n2755_001:0227b29	故後一不名因邪。答。前二生後功能顯故。同	故 後 一 不 名 因 邪 答 前 二 生 後 功 能 顯 故 同 
T85n2755_001:0227c01	得名因。體非玄妙故。不待言簡不稱教說。後	得 名 因 體 非 玄 妙 故 不 待 言 簡 不 稱 教 說 後 
T85n2755_001:0227c02	一證智玄妙。濫同果分故。以言簡名教說修。	一 證 智 玄 妙 濫 同 果 分 故 以 言 簡 名 教 說 修 
T85n2755_001:0227c03	二就處以定有二。先約假處寄顯因成。在地	二 就 處 以 定 有 二 先 約 假 處 寄 顯 因 成 在 地 
T85n2755_001:0227c04	前種姓位。以彼種子因成就故。因漸寄在解	前 種 姓 位 以 彼 種 子 因 成 就 故 因 漸 寄 在 解 
T85n2755_001:0227c05	行位。起聞思等行趣真證故。教說修寄在初	行 位 起 聞 思 等 行 趣 真 證 故 教 說 修 寄 在 初 
T85n2755_001:0227c06	地已上智證實故。二約實位。此三俱在地上。	地 已 上 智 證 實 故 二 約 實 位 此 三 俱 在 地 上 
T85n2755_001:0227c07	但諸地之前加行修中慈悲願等名為因成。聞	但 諸 地 之 前 加 行 修 中 慈 悲 願 等 名 為 因 成 聞 
T85n2755_001:0227c08	思修等名為因漸。正證後得名教說修。三就	思 修 等 名 為 因 漸 正 證 後 得 名 教 說 修 三 就 
T85n2755_001:0227c09	文辨。定者下說分中諸地之內。皆有此三。何	文 辨 定 者 下 說 分 中 諸 地 之 內 皆 有 此 三 何 
T85n2755_001:0227c10	者且菩薩因何求此地智。有二所因。一為救	者 且 菩 薩 因 何 求 此 地 智 有 二 所 因 一 為 救 
T85n2755_001:0227c11	眾生。二為求菩提。由上求菩提下救薩埵名	眾 生 二 為 求 菩 提 由 上 求 菩 提 下 救 薩 埵 名 
T85n2755_001:0227c12	為菩薩。故云慈悲願也。二既內有此因欲趣	為 菩 薩 故 云 慈 悲 願 也 二 既 內 有 此 因 欲 趣 
T85n2755_001:0227c13	求諸地。有何漸次。謂修學三慧漸入諸地。此	求 諸 地 有 何 漸 次 謂 修 學 三 慧 漸 入 諸 地 此 
T85n2755_001:0227c14	二同在加行智中。三加行既終必契真理。前	二 同 在 加 行 智 中 三 加 行 既 終 必 契 真 理 前 
T85n2755_001:0227c15	二相麁直陳可得故。不別寄證智地體。不可	二 相 麁 直 陳 可 得 故 不 別 寄 證 智 地 體 不 可 
T85n2755_001:0227c16	直示故。寄別法用以顯表示。如二地正地中	直 示 故 寄 別 法 用 以 顯 表 示 如 二 地 正 地 中 
T85n2755_001:0227c17	說十善等。三地正地中說四禪等。四地正地	說 十 善 等 三 地 正 地 中 說 四 禪 等 四 地 正 地 
T85n2755_001:0227c18	中說道品等。並是如此教說修攝。四釋文中。	中 說 道 品 等 並 是 如 此 教 說 修 攝 四 釋 文 中 
T85n2755_001:0227c19	初句慈悲。是利他行。發願是自利行。釋此二	初 句 慈 悲 是 利 他 行 發 願 是 自 利 行 釋 此 二 
T85n2755_001:0227c20	文。如論應知。因漸成就者。如偈漸次具諸地	文 如 論 應 知 因 漸 成 就 者 如 偈 漸 次 具 諸 地 
T85n2755_001:0227c21	故。謂三慧次第能生世出智。以是彼因故名	故 謂 三 慧 次 第 能 生 世 出 智 以 是 彼 因 故 名 
T85n2755_001:0227c22	具諸地也。教說修者有二滿足。修者聞思慧	具 諸 地 也 教 說 修 者 有 二 滿 足 修 者 聞 思 慧 
T85n2755_001:0227c23	等。但能為彼出世智因不能滿彼。智地要出	等 但 能 為 彼 出 世 智 因 不 能 滿 彼 智 地 要 出 
T85n2755_001:0227c24	世淨心方能滿彼故。云智者所能及也。下明	世 淨 心 方 能 滿 彼 故 云 智 者 所 能 及 也 下 明 
T85n2755_001:0227c25	觀修。於中如是諸地行者。牒舉地行也。微妙	觀 修 於 中 如 是 諸 地 行 者 牒 舉 地 行 也 微 妙 
T85n2755_001:0227c26	甚難見者。明觀境非餘心所能見也。不可以	甚 難 見 者 明 觀 境 非 餘 心 所 能 見 也 不 可 以 
T85n2755_001:0227c27	心知者。不可以染心能知。論云。自心清淨可	心 知 者 不 可 以 染 心 能 知 論 云 自 心 清 淨 可 
T85n2755_001:0227c28	知。此中滿足修據根本智觀修。約後得智及	知 此 中 滿 足 修 據 根 本 智 觀 修 約 後 得 智 及 
T85n2755_001:0227c29	緣觀內俱不可說。故名教說修也。	緣 觀 內 俱 不 可 說 故 名 教 說 修 也 
T85n2755_001:0228a01	自下三句。是第二顯已善說誡眾除失。先顯	自 下 三 句 是 第 二 顯 已 善 說 誡 眾 除 失 先 顯 
T85n2755_001:0228a02	已離二過。一離佛不隨喜故。云當承佛力	已 離 二 過 一 離 佛 不 隨 喜 故 云 當 承 佛 力 
T85n2755_001:0228a03	說也。二離不平等說故。云成聽也。二誡眾	說 也 二 離 不 平 等 說 故 云 成 聽 也 二 誡 眾 
T85n2755_001:0228a04	令離二失。一於說者不敬。離是過故云汝等	令 離 二 失 一 於 說 者 不 敬 離 是 過 故 云 汝 等 
T85n2755_001:0228a05	當恭敬。二於法見諍。離是過故云共一心聽	當 恭 敬 二 於 法 見 諍 離 是 過 故 云 共 一 心 聽 
T85n2755_001:0228a06	也。	也 
T85n2755_001:0228a07	自下一頌半。第三明所說。略而非廣。初二	自 下 一 頌 半 第 三 明 所 說 略 而 非 廣 初 二 
T85n2755_001:0228a08	句牒舉地法。是智所通達故云隨順也。以此	句 牒 舉 地 法 是 智 所 通 達 故 云 隨 順 也 以 此 
T85n2755_001:0228a09	智入彼諸地相中故。云諸地相入行。論云如	智 入 彼 諸 地 相 中 故 云 諸 地 相 入 行 論 云 如 
T85n2755_001:0228a10	行修故者。如加行修而得入如行修滿足者。	行 修 故 者 如 加 行 修 而 得 入 如 行 修 滿 足 者 
T85n2755_001:0228a11	加行入證契理圓滿故。云如實滿足。攝取入	加 行 入 證 契 理 圓 滿 故 云 如 實 滿 足 攝 取 入 
T85n2755_001:0228a12	此智入之行無量無邊故。云於無量億劫說	此 智 入 之 行 無量無邊 故 云 於 無 量 億 劫 說 
T85n2755_001:0228a13	之不盡。今但略說者。是要略故云如實也。雖	之 不 盡 今 但 略 說 者 是 要 略 故 云 如 實 也 雖 
T85n2755_001:0228a14	是略說。而具攝廣義故云其義無有餘。	是 略 說 而 具 攝 廣 義 故 云 其 義 無 有 餘 
T85n2755_001:0228a15	自下一頌第四勸眾敬聽彰已善說。一心恭	自 下 一 頌 第 四 勸 眾 敬 聽 彰 已 善 說 一 心 恭 
T85n2755_001:0228a16	敬待者有二。一身恭敬。如威儀住者釋敬也。	敬 待 者 有 二 一 身 恭 敬 如 威 儀 住 者 釋 敬 也 
T85n2755_001:0228a17	堪受說法者釋待也。二心恭敬。謂決意求法	堪 受 說 法 者 釋 待 也 二 心 恭 敬 謂 決 意 求 法 
T85n2755_001:0228a18	故。云如心決定。此釋心敬堪能憶持者釋待	故 云 如 心 決 定 此 釋 心 敬 堪 能 憶 持 者 釋 待 
T85n2755_001:0228a19	也。前則身恭能受。此則心敬能持。今承佛	也 前 則 身 恭 能 受 此 則 心 敬 能 持 今 承 佛 
T85n2755_001:0228a20	力說者。顯非己力。離增上慢故。下半顯所	力 說 者 顯 非 己 力 離 增 上 慢 故 下 半 顯 所 
T85n2755_001:0228a21	說。謂以何事者。以大音喝故。云何事者。出	說 謂 以 何 事 者 以 大 音 喝 故 云 何 事 者 出 
T85n2755_001:0228a22	因引喻故。依止何事者。依止名字不違義故。	因 引 喻 故 依 止 何 事 者 依 止 名 字 不 違 義 故 
T85n2755_001:0228a23	示現何事者。示現地義故。又釋大音喝因喻	示 現 何 事 者 示 現 地 義 故 又 釋 大 音 喝 因 喻 
T85n2755_001:0228a24	依證成道理說義名不相違。依法爾道理說	依 證成道理 說 義 名 不 相 違 依 法爾道理 說 
