T85n2773_001:0423c07	維摩經抄	維 摩 經 抄 
T85n2773_001:0428a03	何勞受記。又念正位之中如如不動言語道	何 勞 受 記 又 念 正 位 之 中 如 如 不 動 言 語 道 
T85n2773_001:0428a04	斷。心行處滅何得。更有有為言說領納記耶。	斷 心行處滅 何 得 更 有 有 為 言 說 領 納 記 耶 
T85n2773_001:0428a05	經曰。一切眾生皆如也。一切法亦如也。眾	經 曰 一 切 眾 生 皆 如 也 一 切 法 亦 如 也 眾 
T85n2773_001:0428a06	賢聖亦如也。至於彌勒亦如也　述曰。眾生	賢 聖 亦 如 也 至 於 彌 勒 亦 如 也 述 曰 眾 生 
T85n2773_001:0428a07	如也。無凡夫諸法如也。無授記聖賢亦如也。	如 也 無 凡 夫 諸 法 如 也 無 授 記 聖 賢 亦 如 也 
T85n2773_001:0428a08	無聖人彌勒如也。無得記　經曰。若彌勒得	無 聖 人 彌 勒 如 也 無 得 記 經 曰 若 彌 勒 得 
T85n2773_001:0428a09	受記者。一切眾生亦應受記。所以者何。不二	受 記 者 一 切 眾 生 亦 應 受 記 所以者何 不 二 
T85n2773_001:0428a10	不異　述曰。凡聖同如故云不實。凡聖一相	不 異 述 曰 凡 聖 同 如 故 云 不 實 凡 聖 一 相 
T85n2773_001:0428a11	故云不二。彌勒如彼故而得受記。眾生亦如	故 云 不 二 彌 勒 如 彼 故 而 得 受 記 眾 生 亦 如 
T85n2773_001:0428a12	云何不得。故云亦應受記　經曰。障是菩提	云 何 不 得 故 云 亦 應 受 記 經 曰 障 是 菩 提 
T85n2773_001:0428a13	障諸願故　述曰。障是障礙。云何菩提。此中	障 諸 願 故 述 曰 障 是 障 礙 云 何 菩 提 此 中 
T85n2773_001:0428a14	意者有為法中有願有求菩提。無為如如不	意 者 有 為 法 中 有 願 有 求 菩 提 無 為 如 如 不 
T85n2773_001:0428a15	動。豈非障彼分別願耶　經曰　直心是道場	動 豈 非 障 彼 分 別 願 耶 經 曰 直 心 是 道 場 
T85n2773_001:0428a16	無虛假故　述曰。有相道場有其處所實有來	無 虛 假 故 述 曰 有 相 道 場 有 其 處 所 實 有 來 
T85n2773_001:0428a17	去。無相道場本無處所何有去來。今淨名居	去 無 相 道 場 本 無 處 所 何 有 去 來 今 淨 名 居 
T85n2773_001:0428a18	士於無來去中假名來去故。若彼言從道場	士 於 無 來 去 中 假 名 來 去 故 若 彼 言 從 道 場 
T85n2773_001:0428a19	來真如平等目之為場。得道之處名曰道場。	來 真 如 平 等 目 之 為 場 得 道 之 處 名 曰 道 場 
T85n2773_001:0428a20	猶如世聞穀麥場等。於此真如迷即名去悟	猶 如 世 聞 穀 麥 場 等 於 此 真 如 迷 即 名 去 悟 
T85n2773_001:0428a21	即是來去。其糠秕至真如實名之為場。除却	即 是 來 去 其 糠 秕 至 真 如 實 名 之 為 場 除 却 
T85n2773_001:0428a22	虛假留其真心。真心即是道場。道即是場故	虛 假 留 其 真 心 真 心 即 是 道 場 道 即 是 場 故 
T85n2773_001:0428a23	曰道場。已下諸句意皆同此　經曰。菩薩若	曰 道 場 已 下 諸 句 意 皆 同 此 經 曰 菩 薩 若 
T85n2773_001:0428a24	應諸波羅蜜教化眾生。諸有所作舉足下足。	應 諸波羅蜜 教 化 眾 生 諸 有 所 作 舉 足 下 足 
T85n2773_001:0428a25	當知皆從道場來詣於佛法矣　述曰。此言	當 知 皆 從 道 場 來 詣 於 佛 法 矣 述 曰 此 言 
T85n2773_001:0428a26	應者去聲呼之所謂應會也。波羅蜜者彼岸	應 者 去 聲 呼 之 所 謂 應 會 也 波 羅 蜜 者 彼 岸 
T85n2773_001:0428a27	也。教化眾生皆與彼岸相應會也。凡小教化	也 教 化 眾 生 皆 與 彼 岸 相 應 會 也 凡 小 教 化 
T85n2773_001:0428a28	皆與生死相應不到彼岸。以著相故出定為	皆 與 生 死 相 應 不 到 彼 岸 以 著 相 故 出 定 為 
T85n2773_001:0428a29	舉足入定為下足。亦可言說為舉足入證。為	舉 足 入 定 為 下 足 亦 可 言 說 為 舉 足 入 證 為 
T85n2773_001:0428b01	下足不離真如。皆從道場也　經曰。善來憍	下 足 不 離 真 如 皆 從 道 場 也 經 曰 善 來 憍 
T85n2773_001:0428b02	尸迦。雖福應有。不當自恣。當觀五欲無常於	尸 迦 雖 福 應 有 不 當 自 恣 當 觀 五 欲 無 常 於 
T85n2773_001:0428b03	身命財而修堅法　述曰。憍尸迦帝釋名也。	身 命 財 而 修 堅 法 述 曰 憍 尸 迦 帝 釋 名 也 
T85n2773_001:0428b04	前生修福感得此報。故云雖福應有未出生	前 生 修 福 感 得 此 報 故 云 雖 福 應 有 未 出 生 
T85n2773_001:0428b05	死。故云不當自恣。當觀無常。諸天果報不過	死 故 云 不 當 自 恣 當 觀 無 常 諸 天 果 報 不 過 
T85n2773_001:0428b06	三法。一身。二命。三財。身即圓滿端正。命即	三 法 一 身 二 命 三 財 身 即 圓 滿 端 正 命 即 
T85n2773_001:0428b07	長時不夭。財即自然豐足。終歸破散。須修堅	長 時 不 夭 財 即 自 然 豐 足 終 歸 破 散 須 修 堅 
T85n2773_001:0428b08	固法　經曰。正士。受此萬二千天女可備掃	固 法 經 曰 正 士 受 此 萬 二 千 天 女 可 備 掃 
T85n2773_001:0428b09	灑。持世言。此非我宜。維摩詰言。可以與我。	灑 持 世 言 此 非 我 宜 維 摩 詰 言 可 以 與 我 
T85n2773_001:0428b10	如我當受　述曰。小乘著相女人共住壞道	如 我 當 受 述 曰 小 乘 著 相 女 人 共 住 壞 道 
T85n2773_001:0428b11	生染故云此非我宜。大乘無相長道增淨故	生 染 故 云 此 非 我 宜 大 乘 無 相 長 道 增 淨 故 
T85n2773_001:0428b12	云如我應受　經曰。有法樂可以自娛。不應	云 如 我 應 受 經 曰 有 法 樂 可 以 自 娛 不 應 
T85n2773_001:0428b13	復樂五欲樂也。天女問曰。何謂法樂。答言。樂	復 樂 五 欲 樂 也 天 女 問 曰 何 謂 法 樂 答 言 樂 
T85n2773_001:0428b14	常信佛。樂欲聽法。供養眾等　述曰。夫五欲	常 信 佛 樂 欲 聽 法 供 養 眾 等 述 曰 夫 五 欲 
T85n2773_001:0428b15	樂者。奔赴六塵諠煩六識攀緣動作惱亂身	樂 者 奔 赴 六 塵 諠 煩 六 識 攀 緣 動 作 惱 亂 身 
T85n2773_001:0428b16	心。樂少苦多。如犮嚙骨難成易壞費力傷神。	心 樂 少 苦 多 如 犮 嚙 骨 難 成 易 壞 費 力 傷 神 
T85n2773_001:0428b17	凡夫於中妄生樂想。現世憂惱當來受殃。法	凡 夫 於 中 妄 生 樂 想 現 世 憂 惱 當 來 受 殃 法 
T85n2773_001:0428b18	樂翻此無為寂然法味怡神實為大樂。已下	樂 翻 此 無 為 寂 然 法 味 怡 神 實 為 大 樂 已 下 
T85n2773_001:0428b19	准此　經曰。樂聞深法不畏　述曰。菩薩聞	准 此 經 曰 樂 聞 深 法 不 畏 述 曰 菩 薩 聞 
T85n2773_001:0428b20	深法則樂而忘苦。如法花會中六十小劫不	深 法 則 樂 而 忘 苦 如 法 花 會 中 六 十 小 劫 不 
T85n2773_001:0428b21	起。于座無有一人而生疲倦。小乘聞深法而	起 于 座 無 有 一 人 而 生 疲 倦 小 乘 聞 深 法 而 
T85n2773_001:0428b22	則驚。故五千比丘等退座而起　經曰。居士	則 驚 故 五 千 比 丘 等 退 座 而 起 經 曰 居 士 
T85n2773_001:0428b23	可捨此女。一切有所施於彼者。是為菩薩	可 捨 此 女 一 切 有 所 施 於 彼 者 是 為 菩 薩 
T85n2773_001:0428b24	　述曰。夫論菩薩能捨所有求者皆與不違。眾	 述 曰 夫 論 菩 薩 能 捨 所 有 求 者 皆 與 不 違 眾 
T85n2773_001:0428b25	生何況女耶　經曰。冥者皆明。明終不盡	生 何 況 女 耶 經 曰 冥 者 皆 明 明 終 不 盡 
T85n2773_001:0428b26	　述曰。夫燈光明照一照多一無增減。法之光	 述 曰 夫 燈 光 明 照 一 照 多 一 無 增 減 法 之 光 
T85n2773_001:0428b27	明亦復如是。一人受持一人得度。無量眾生	明 亦復如是 一 人 受 持 一 人 得 度 無 量 眾 生 
T85n2773_001:0428b28	而共修持窮未來際。終無有盡平等平等	而 共 修 持 窮未來際 終 無 有 盡 平等平等 
T85n2773_001:0428b29	　經曰。當為法施之會。何用如是財施會為	 經 曰 當 為 法 施 之 會 何 用 如 是 財 施 會 為 
T85n2773_001:0428c01	　述曰。最後為字平聲呼之。夫施會者有為功	 述 曰 最 後 為 字 平 聲 呼 之 夫 施 會 者 有 為 功 
T85n2773_001:0428c02	德不出生死。有其多少好惡差別。有七曰等	德 不 出 生 死 有 其 多 少 好 惡 差 別 有 七 曰 等 
T85n2773_001:0428c03	長短時節。不斷妄想徒費營。為法施會者無	長 短 時 節 不 斷 妄 想 徒 費 營 為 法 施 會 者 無 
T85n2773_001:0428c04	形無相教化眾生起四無量慈悲喜捨。六度	形 無 相 教 化 眾 生 起 四 無 量 慈 悲 喜 捨 六 度 
T85n2773_001:0428c05	圓滿斷妄入真。超出生死登乎。彼岸如如不	圓 滿 斷 妄 入 真 超 出 生 死 登 乎 彼 岸 如 如 不 
T85n2773_001:0428c06	動名為法施　經曰。謂以菩提起於慈心。此	動 名 為 法 施 經 曰 謂 以 菩 提 起 於 慈 心 此 
T85n2773_001:0428c07	之以者因也。因於菩提而起慈心。得菩提故	之 以 者 因 也 因 於 菩 提 而 起 慈 心 得 菩 提 故 
T85n2773_001:0428c08	始能慈悲救度眾生。亦可因菩提故始起慈	始 能 慈 悲 救 度 眾 生 亦 可 因 菩 提 故 始 起 慈 
T85n2773_001:0428c09	心。不求菩提不起慈心。不得成佛。互釋皆得。	心 不 求 菩 提 不 起 慈 心 不 得 成 佛 互 釋 皆 得 
T85n2773_001:0428c10	已下准此　經曰。知一切法不取不捨。入一	已 下 准 此 經 曰 知一切法 不 取 不 捨 入 一 
T85n2773_001:0428c11	相門起於慧業　述曰。真如無相。云何可取。	相 門 起 於 慧 業 述 曰 真 如 無 相 云 何 可 取 
T85n2773_001:0428c12	證悟不虛。云何可捨。悟斯理者即一相門。入	證 悟 不 虛 云 何 可 捨 悟 斯 理 者 即 一 相 門 入 
T85n2773_001:0428c13	得此門慧業即起　經曰。住是會者。為大施	得 此 門 慧 業 即 起 經 曰 住 是 會 者 為 大 施 
T85n2773_001:0428c14	主。亦為一切世聞福田　述曰。清施無盡普	主 亦 為 一 切 世 聞 福 田 述 曰 清 施 無 盡 普 
T85n2773_001:0428c15	霑法界名大施主。施者受者俱出生死。涅槃	霑 法 界 名 大 施 主 施 者 受 者 俱 出 生 死 涅 槃 
T85n2773_001:0428c16	極果常樂我淨。是真福田　經曰。淨名受	極 果 常樂我淨 是 真 福 田 經 曰 淨 名 受 
T85n2773_001:0428c17	彼瓔珞分作二分。一分施最下乞人。一分奉	彼 瓔 珞 分 作 二 分 一 分 施 最 下 乞 人 一 分 奉 
T85n2773_001:0428c18	難勝如來　述曰。二乘著相。乞人下劣施之	難 勝 如 來 述 曰 二 乘 著 相 乞 人 下 劣 施 之 
T85n2773_001:0428c19	福少。如來高勝施之福多。此乃常情分別何	福 少 如 來 高 勝 施 之 福 多 此 乃 常 情 分 別 何 
T85n2773_001:0428c20	足尚耶。淨名欲明勝劣平等凡聖一如故。施	足 尚 耶 淨 名 欲 明 勝 劣 平 等 凡 聖 一 如 故 施 
T85n2773_001:0428c21	乞人等於佛福不二之理。斯其見乎故　經	乞 人 等 於 佛 福 不 二 之 理 斯 其 見 乎 故 經 
T85n2773_001:0428c22	云。若施主等心施一乞人。猶如來福田之相	云 若 施 主 等 心 施 一 乞 人 猶 如 來 福 田 之 相 
T85n2773_001:0428c23	無所分別。等于大悲不求果報。是則名曰具	無所分別 等 于 大 悲 不 求 果 報 是 則 名 曰 具 
T85n2773_001:0428c24	足法施。	足 法 施 
T85n2773_001:0428c25	經卷第二	經 卷 第 二 
T85n2773_001:0428c26	文殊師利菩薩問疾品第五	文 殊 師 利 菩 薩 問 疾 品 第 五 
T85n2773_001:0428c27	經曰。即以神力坐其室內。除去所有及諸侍	經 曰 即 以 神 力 坐 其 室 內 除 去 所 有 及 諸 侍 
T85n2773_001:0428c28	者。唯置一床以疾而臥　述曰。夫論室者喻	者 唯 置 一 床 以 疾 而 臥 述 曰 夫 論 室 者 喻 
T85n2773_001:0428c29	乎身也。凡小執相不了身空。欲令悟空。託彼	乎 身 也 凡 小 執 相 不 了 身 空 欲 令 悟 空 託 彼 
T85n2773_001:0429a01	文殊以興問答。空其室內者雙明二空。四大	文 殊 以 興 問 答 空 其 室 內 者 雙 明 二 空 四 大 
T85n2773_001:0429a02	五蘊因緣成身人法俱無。故云空其室內也。	五 蘊 因 緣 成 身 人 法 俱 無 故 云 空 其 室 內 也 
T85n2773_001:0429a03	除去所有者。別喻法空也。法從緣起識心變	除 去 所 有 者 別 喻 法 空 也 法 從 緣 起 識 心 變 
T85n2773_001:0429a04	生。因緣性空識心本寂故法空。及諸侍者別	生 因 緣 性 空 識 心 本 寂 故 法 空 及 諸 侍 者 別 
T85n2773_001:0429a05	喻人空也。因緣無主故人空也。唯置一床者	喻 人 空 也 因 緣 無 主 故 人 空 也 唯 置 一 床 者 
T85n2773_001:0429a06	喻其真空。如如不二故云一也。人法所依故	喻 其 真 空 如 如 不 二 故 云 一 也 人 法 所 依 故 
T85n2773_001:0429a07	云床也。故法花云。法空為床座。以疾臥者託	云 床 也 故 法 花 云 法 空 為 床 座 以 疾 臥 者 託 
T85n2773_001:0429a08	疾招問。非實病也。有古德諺法師解云。室者	疾 招 問 非 實 病 也 有 古 德 諺 法 師 解 云 室 者 
T85n2773_001:0429a09	即是淨心真心。淨名初發心時離諸愛見名	即 是 淨 心 真 心 淨 名 初 發 心 時 離 諸 愛 見 名 
T85n2773_001:0429a10	室不定。今得聖道除其妄想煩惱。恬明得真	室 不 定 今 得 聖 道 除 其 妄 想 煩 惱 恬 明 得 真 
T85n2773_001:0429a11	心。名空室內。故下經云。畢竟空寂舍也。除	心 名 空 室 內 故 下 經 云 畢 竟 空 寂 舍 也 除 
T85n2773_001:0429a12	去所有者。除去一切生死道中無明父母等	去 所 有 者 除 去 一 切 生 死 道 中 無 明 父 母 等 
T85n2773_001:0429a13	恩愛眷屬也。去侍者者去彼空有二見凡時	恩 愛 眷 屬 也 去 侍 者 者 去 彼 空 有 二 見 凡 時 
T85n2773_001:0429a14	侍也。故下經云。外道樂諸見。菩薩於諸見不	侍 也 故 下 經 云 外 道 樂 諸 見 菩 薩 於 諸 見 不 
T85n2773_001:0429a15	動。置一床者妄法斯盡。唯處無相禪定床也。	動 置 一 床 者 妄 法 斯 盡 唯 處 無 相 禪 定 床 也 
T85n2773_001:0429a16	故下經云。四禪為床座也。以疾而臥者。依此	故 下 經 云 四 禪 為 床 座 也 以 疾 而 臥 者 依 此 
T85n2773_001:0429a17	禪定起無緣悲。雖復救生不離空定。悲體常	禪 定 起 無 緣 悲 雖 復 救 生 不 離 空 定 悲 體 常 
T85n2773_001:0429a18	寂故云臥也　經曰。不來相而來。不見相而	寂 故 云 臥 也 經 曰 不 來 相 而 來 不 見 相 而 
T85n2773_001:0429a19	見　述曰。一就有為生滅明無來無去見夫	見 述 曰 一 就 有 為 生 滅 明 無 來 無 去 見 夫 
T85n2773_001:0429a20	去者。是無常法。無常之法此念中生。此念中	去 者 是 無 常 法 無 常 之 法 此 念 中 生 此 念 中 
T85n2773_001:0429a21	滅本無來去。念念相續假名來去見亦如是。	滅 本 無 來 去 念 念 相 續 假 名 來 去 見 亦 如 是 
T85n2773_001:0429a22	二約心解。真心如如實無有來。妄心分別見	二 約 心 解 真 心 如 如 實 無 有 來 妄 心 分 別 見 
T85n2773_001:0429a23	有來也。三約二諦真諦凝寂故云不來。俗諦	有 來 也 三 約 二 諦 真 諦 凝 寂 故 云 不 來 俗 諦 
T85n2773_001:0429a24	隨相是以有來。四約真化二身。真身湛然故	隨 相 是 以 有 來 四 約 真 化 二 身 真 身 湛 然 故 
T85n2773_001:0429a25	云不來。化身應現故云來也。下亦皆准此。	云 不 來 化 身 應 現 故 云 來 也 下 亦 皆 准 此 
T85n2773_001:0429a26	經曰。是疾何所因起。問病因也　經曰。從癡	經 曰 是 疾 何 所 因 起 問 病 因 也 經 曰 從 癡 
T85n2773_001:0429a27	有愛則我病生　述曰。淨名答也。夫論病因	有 愛 則 我 病 生 述 曰 淨 名 答 也 夫 論 病 因 
T85n2773_001:0429a28	有其二種。一凡夫病。則癡愛為因。二菩薩病。	有 其 二 種 一 凡 夫 病 則 癡 愛 為 因 二 菩 薩 病 
T85n2773_001:0429a29	即大悲為本。且凡夫病癡愛因者。即是不了。	即 大 悲 為 本 且 凡 夫 病 癡 愛 因 者 即 是 不 了 
T85n2773_001:0429b01	不了即受。受即染著。染著故入生死。生死故	不 了 即 受 受 即 染 著 染 著 故 入 生 死 生 死 故 
T85n2773_001:0429b02	何病而不生。故云則我病生。此言我者雖即	何 病 而 不 生 故 云 則 我 病 生 此 言 我 者 雖 即 
T85n2773_001:0429b03	淨名意道眾生。大悲因者。菩薩悲心不避生	淨 名 意 道 眾 生 大 悲 因 者 菩 薩 悲 心 不 避 生 
T85n2773_001:0429b04	死。不避苦惱。假名癡也。隨逐眾生不敢捨離。	死 不 避 苦 惱 假 名 癡 也 隨 逐 眾 生 不 敢 捨 離 
T85n2773_001:0429b05	假名愛也。示同凡苦故云病也。苦從悲起故	假 名 愛 也 示 同 凡 苦 故 云 病 也 苦 從 悲 起 故 
T85n2773_001:0429b06	云生也。言其生久如者問近遠也。此之如字	云 生 也 言 其 生 久 如 者 問 近 遠 也 此 之 如 字 
T85n2773_001:0429b07	多。是助詞。其猶乘鳥斑如泣涕漣也(亦可如者不定之詞	多 是 助 詞 其 猶 乘 鳥 斑 如 泣 涕 漣 也 亦 可 如 者 不 定 之 詞 
T85n2773_001:0429b08	意云其生久耶)經曰。諸佛國土亦復皆空　述曰。以	意 云 其 生 久 耶 經 曰 諸 佛 國 土 亦 復 皆 空 述 曰 以 
T85n2773_001:0429b09	勝況劣故有亦聲。非但小室。是空諸佛國土。	勝 況 劣 故 有 亦 聲 非 但 小 室 是 空 諸 佛 國 土 
T85n2773_001:0429b10	亦復皆空　問。佛土何空　答曰。土有二。一	亦 復 皆 空 問 佛 土 何 空 答 曰 土 有 二 一 
T85n2773_001:0429b11	法性真土。即以真如法性而為其體。無形無	法 性 真 土 即 以 真 如 法 性 而 為 其 體 無 形 無 
T85n2773_001:0429b12	相無有方所。二有相假土。即碧池蓮金沙寶	相 無 有 方 所 二 有 相 假 土 即 碧 池 蓮 金 沙 寶 
T85n2773_001:0429b13	地等四塵為體。有其形相。有其處所。十方差	地 等 四 塵 為 體 有 其 形 相 有 其 處 所 十 方 差 
T85n2773_001:0429b14	別真土即法性本空相土。即因緣無主所以	別 真 土 即 法 性 本 空 相 土 即 因 緣 無 主 所 以 
T85n2773_001:0429b15	是空　經曰。以何為空　述曰。重問。前空真	是 空 經 曰 以 何 為 空 述 曰 重 問 前 空 真 
T85n2773_001:0429b16	土湛然相土宛然云何空耶　經曰。以空空	土 湛 然 相 土 宛 然 云 何 空 耶 經 曰 以 空 空 
T85n2773_001:0429b17	　述曰。答也。上之空字是能觀空智。下之空字	 述 曰 答 也 上 之 空 字 是 能 觀 空 智 下 之 空 字 
T85n2773_001:0429b18	是所觀空境。凡夫小乘未得空智心外境界	是 所 觀 空 境 凡 夫 小 乘 未 得 空 智 心 外 境 界 
T85n2773_001:0429b19	皆成實有不知外境。從妄心起反於其中而	皆 成 實 有 不 知 外 境 從 妄 心 起 反 於 其 中 而 
T85n2773_001:0429b20	生怖畏。猶如驢畜見水中自影反生驚怖。菩	生 怖 畏 猶 如 驢 畜 見 水 中 自 影 反 生 驚 怖 菩 
T85n2773_001:0429b21	薩大士轉識成智智無分別了知心外萬境皆	薩 大 士 轉 識 成 智 智 無 分 別 了 知 心 外 萬 境 皆 
T85n2773_001:0429b22	空以者用也。則用其能觀空智令彼所觀境	空 以 者 用 也 則 用 其 能 觀 空 智 令 彼 所 觀 境 
T85n2773_001:0429b23	空智空境空。故云空空亦可能所皆空。故曰	空 智 空 境 空 故 云 空 空 亦 可 能 所 皆 空 故 曰 
T85n2773_001:0429b24	空空　經曰。空何用空　述曰。此重問前也。	空 空 經 曰 空 何 用 空 述 曰 此 重 問 前 也 
T85n2773_001:0429b25	法體自空何須空智觀竟始空　經曰。以無	法 體 自 空 何 須 空 智 觀 竟 始 空 經 曰 以 無 
T85n2773_001:0429b26	分別故空　述曰。答也。法體雖空妄心分別	分 別 故 空 述 曰 答 也 法 體 雖 空 妄 心 分 別 
T85n2773_001:0429b27	不。是知空要藉空智斷。其分別方始見空。此	不 是 知 空 要 藉 空 智 斷 其 分 別 方 始 見 空 此 
T85n2773_001:0429b28	乃分別即有無分別。即空故者因由之義。因	乃 分 別 即 有 無 分 別 即 空 故 者 因 由 之 義 因 
T85n2773_001:0429b29	無分別法始空也。已下諸句義相連帶。六十	無分別法 始 空 也 已 下 諸 句 義 相 連 帶 六 十 
T85n2773_001:0429c01	二見分別妄有見性本空。故云。於六十二見	二 見 分 別 妄 有 見 性 本 空 故 云 於 六 十 二 見 
T85n2773_001:0429c02	中求。解脫生死皆從心起。故云。解脫心行中	中 求 解 脫 生 死 皆 從 心 起 故 云 解 脫 心 行 中 
T85n2773_001:0429c03	求一念本心即成解脫　經曰。說身無常不	求 一 念 本 心 即 成 解 脫 經 曰 說 身 無 常 不 
T85n2773_001:0429c04	說厭離於身　述曰。說身此下明慰喻。初發	說 厭 離 於 身 述 曰 說 身 此 下 明 慰 喻 初 發 
T85n2773_001:0429c05	心菩薩凡夫小乘而未了悟無常性空。恒為	心 菩 薩 凡 夫 小 乘 而 未 了 悟 無 常 性 空 恒 為 
T85n2773_001:0429c06	無常之所迫逼。深生厭畏。速求寂滅不度眾	無 常 之 所 迫 逼 深 生 厭 畏 速 求 寂 滅 不 度 眾 
T85n2773_001:0429c07	生。菩薩了知無常性空。曰施恒沙身命不足	生 菩 薩 了 知 無 常 性 空 曰 施 恒 沙 身 命 不 足 
T85n2773_001:0429c08	為難。所以出生入死隨形六道廣度眾生。不	為 難 所 以 出 生 入 死 隨 形 六 道 廣 度 眾 生 不 
T85n2773_001:0429c09	欣寂滅下皆准此　經曰。說悔先罪而不說	欣 寂 滅 下 皆 准 此 經 曰 說 悔 先 罪 而 不 說 
T85n2773_001:0429c10	入於過去　述曰。罪若有體滅已入於過去	入 於 過 去 述 曰 罪 若 有 體 滅 已 入 於 過 去 
T85n2773_001:0429c11	罪性本空何物名為過去　經曰。又此病起	罪 性 本 空 何 物 名 為 過 去 經 曰 又 此 病 起 
T85n2773_001:0429c12	皆由著我　述曰。執身有我。我為身主。身既	皆 由 著 我 述 曰 執 身 有 我 我 為 身 主 身 既 
T85n2773_001:0429c13	有主。即受病苦。我空准法。法中無主。誰其病	有 主 即 受 病 苦 我 空 准 法 法 中 無 主 誰 其 病 
T85n2773_001:0429c14	故。故云。當起法想伿空其我得人空理果成	故 故 云 當 起 法 想 伿 空 其 我 得 人 空 理 果 成 
T85n2773_001:0429c15	羅漢法之所是空得法空。空理乃成菩薩。是	羅 漢 法 之 所 是 空 得 法 空 空 理 乃 成 菩 薩 是 
T85n2773_001:0429c16	故經云。此之法想亦是顛倒　經曰。我及涅	故 經 云 此 之 法 想 亦 是 顛 倒 經 曰 我 及 涅 
T85n2773_001:0429c17	槃此二皆空。但以名字故空　述曰。我體本	槃 此 二 皆 空 但 以 名 字 故 空 述 曰 我 體 本 
T85n2773_001:0429c18	空。假立我名尋名謂有。涅槃性空。言語斷故	空 假 立 我 名 尋 名 謂 有 涅 槃 性 空 言 語 斷 故 
T85n2773_001:0429c19	離名字。故假名涅槃引眾生也　經曰。唯有	離 名 字 故 假 名 涅 槃 引 眾 生 也 經 曰 唯 有 
T85n2773_001:0429c20	空病空病亦空　述曰。執有成病。以空破有。	空 病 空 病 亦 空 述 曰 執 有 成 病 以 空 破 有 
T85n2773_001:0429c21	定執其空。空亦是病。有空雙遣乃真定也	定 執 其 空 空 亦 是 病 有 空 雙 遣 乃 真 定 也 
T85n2773_001:0429c22	　經曰。內見外見　述曰。境外見心名為內見。	 經 曰 內 見 外 見 述 曰 境 外 見 心 名 為 內 見 
T85n2773_001:0429c23	心外見境名為外見　經曰。菩薩斷除客塵	心 外 見 境 名 為 外 見 經 曰 菩 薩 斷 除 客 塵 
T85n2773_001:0429c24	煩惱而起大悲　述曰。悲上起愛名曰客塵。	煩 惱 而 起 大 悲 述 曰 悲 上 起 愛 名 曰 客 塵 
T85n2773_001:0429c25	寄居悲上名之為客塵污真。悲名之曰塵。起	寄 居 悲 上 名 之 為 客 塵 污 真 悲 名 之 曰 塵 起 
T85n2773_001:0429c26	於悲心廣度眾生。不了眾生空見可度名曰	於 悲 心 廣 度 眾 生 不 了 眾 生 空 見 可 度 名 曰 
T85n2773_001:0429c27	愛見　經曰。貪著禪味是菩薩縛　述曰。世	愛 見 經 曰 貪 著 禪 味 是 菩 薩 縛 述 曰 世 
T85n2773_001:0429c28	間八禪輕安適悅。凡夫耽嗜故云禪味　經	間 八 禪 輕 安 適 悅 凡 夫 耽 嗜 故 云 禪 味 經 
T85n2773_001:0429c29	曰。無方便惠縛。有方便惠解　述曰。出世真	曰 無 方 便 惠 縛 有 方 便 惠 解 述 曰 出 世 真 
T85n2773_001:0430a01	智名之為惠。世間俗智名為方便。有真而無	智 名 之 為 惠 世 間 俗 智 名 為 方 便 有 真 而 無 
T85n2773_001:0430a02	俗。闕方便之門。既無方便。觸途罣礙名之為	俗 闕 方 便 之 門 既 無 方 便 觸 途 罣 礙 名 之 為 
T85n2773_001:0430a03	縛。有俗而無真觸途染著亦成其縛。真俗相	縛 有 俗 而 無 真 觸 途 染 著 亦 成 其 縛 真 俗 相 
T85n2773_001:0430a04	濟悲智雙融。方無縛矣　經曰。身不離病。病	濟 悲 智 雙 融 方 無 縛 矣 經 曰 身 不 離 病 病 
T85n2773_001:0430a05	不離身。是病是身。非新非故　述曰。身從病	不 離 身 是 病 是 身 非 新 非 故 述 曰 身 從 病 
T85n2773_001:0430a06	有故云身不離病。病從身起故云病不離身。	有 故 云 身 不 離 病 病 從 身 起 故 云 病 不 離 身 
T85n2773_001:0430a07	異名一體故云是病。是身無始舊有故曰非	異 名 一 體 故 云 是 病 是 身 無 始 舊 有 故 曰 非 
T85n2773_001:0430a08	新。念念續生故云非故　經曰。住於生死不	新 念 念 續 生 故 云 非 故 經 曰 住 於 生 死 不 
T85n2773_001:0430a09	為污行。住於涅槃不永滅度　述曰。住生死	為 污 行 住 於 涅 槃 不 永 滅 度 述 曰 住 生 死 
T85n2773_001:0430a10	而不染污。異凡夫。住涅槃而不滅。異二乘。凡	而 不 染 污 異 凡 夫 住 涅 槃 而 不 滅 異 二 乘 凡 
T85n2773_001:0430a11	夫起污滯生死而不出。二乘住滅灰身智以	夫 起 污 滯 生 死 而 不 出 二 乘 住 滅 灰 身 智 以 
T85n2773_001:0430a12	長眠。菩薩悟之乃成大行　經曰。非凡夫行	長 眠 菩 薩 悟 之 乃 成 大 行 經 曰 非 凡 夫 行 
T85n2773_001:0430a13	非賢聖行。是菩薩行　述曰。凡夫則造罪而	非 賢 聖 行 是 菩 薩 行 述 曰 凡 夫 則 造 罪 而 
T85n2773_001:0430a14	自苦。二乘乃自利而棄眾生。故皆非也　經	自 苦 二 乘 乃 自 利 而 棄 眾 生 故 皆 非 也 經 
T85n2773_001:0430a15	曰。雖樂遠離而不依身心盡　述曰。二乘以	曰 雖 樂 遠 離 而 不 依 身 心 盡 述 曰 二 乘 以 
