X30n0602_001:0276a06	 妙法蓮華經解序	 妙法蓮華 經 解 序 
X30n0602_004:0320a22	無學小聲聞而已。研真斷惑名學。真窮惑盡名無	無 學 小 聲 聞 而 已 研 真 斷 惑 名 學 真 窮 惑 盡 名 無 
X30n0602_004:0320a23	學。此未得無學而亦預佛記者。若有聞法者。無一	學 此 未 得 無 學 而 亦 預 佛 記 者 若 有 聞 法 者 無 一 
X30n0602_004:0320a24	不成佛故也。△二依科釋文二。初請佛授記二。	不 成 佛 故 也 二 依 科 釋 文 二 初 請 佛 授 記 二 
X30n0602_004:0320b01	初二師請記。	初 二 師 請 記 
X30n0602_004:0320b02	爾時阿難羅睺羅而作是念(至)我願既滿眾望亦足。	爾 時 阿 難 羅 睺 羅 而 作 是 念 至 我 願 既 滿 眾 望 亦 足 
X30n0602_004:0320b03	阿難多聞護持法藏。羅云密行。皆大弟子。而與學	阿 難 多 聞 護 持 法 藏 羅 云 密 行 皆 大 弟 子 而 與 學 
X30n0602_004:0320b04	眾同授記者。示彼亦內祕外現密行之儔也。觀學	眾 同 授 記 者 示 彼 亦 內 祕 外 現 密 行 之 儔 也 觀 學 
X30n0602_004:0320b05	眾記云。當供微塵數佛護持法藏。即與阿難羅云	眾 記 云 當 供 微 塵 數 佛 護 持 法 藏 即 與 阿 難 羅 云 
X30n0602_004:0320b06	同德。故以二師總之。阿難羅云親邇於佛。既為眾	同 德 故 以 二 師 總 之 阿 難 羅 云 親 邇 於 佛 既 為 眾 
X30n0602_004:0320b07	所見知。若不得記則無塞眾望也。菩薩為通達佛	所 見 知 若 不 得 記 則 無 塞 眾 望 也 菩 薩 為 通 達 佛 
X30n0602_004:0320b08	道無所不現。故淨名佛道品以法喜為妻慈悲為	道 無 所 不 現 故 淨 名 佛 道 品 以 法 喜 為 妻 慈 悲 為 
X30n0602_004:0320b09	女誠善為男。而釋迦所以有耶輸羅云。皆為示現	女 誠 善 為 男 而 釋 迦 所 以 有 耶 輸 羅 云 皆 為 示 現 
X30n0602_004:0320b10	非同世俗妻子也。△二學眾請記。	非 同 世 俗 妻 子 也 二 學 眾 請 記 
X30n0602_004:0320b11	爾時學無學聲聞弟子(至)住立一面。	爾 時 學 無 學 聲聞弟子 至 住 立 一 面 
X30n0602_004:0320b12	△二大眾得記七。一阿難得記。	 二 大 眾 得 記 七 一 阿 難 得 記 
X30n0602_004:0320b13	爾時佛告阿難(至)然後得阿耨多羅三藐三菩提。	爾 時 佛 告 阿 難 至 然 後 得阿耨多羅三藐三菩提 
X30n0602_004:0320b14	山海慧自在通王者。高莫逾於山。深莫浚於海。阿	山 海 慧 自 在 通 王 者 高 莫 逾 於 山 深 莫 浚 於 海 阿 
X30n0602_004:0320b15	難宿持法藏多聞博達。智慧等之。於諸法中得大	難 宿 持 法 藏 多 聞 博 達 智 慧 等 之 於 諸 法 中 得 大 
X30n0602_004:0320b16	通達。自在如王。故得果以因為號。當供多佛護持	通 達 自 在 如 王 故 得 果 以 因 為 號 當 供 多 佛 護 持 
X30n0602_004:0320b17	法藏然後成佛。蓋其本願也。	法 藏 然 後 成 佛 蓋 其 本 願 也 
X30n0602_004:0320b18	教化二十千萬億恒河沙諸菩薩等(至)劫名妙音徧	教 化 二 十 千 萬 億 恒 河 沙 諸 菩 薩 等 至 劫 名 妙 音 徧 
X30n0602_004:0320b19	滿。	滿 
X30n0602_004:0320b20	阿難當來作成如此其多者。為宿持法藏化緣深	阿 難 當 來 作 成 如 此 其 多 者 為 宿 持 法 藏 化 緣 深 
X30n0602_004:0320b21	故。幡表尊勝之德。阿難多聞第一故。國名常立勝	故 幡 表 尊 勝 之 德 阿 難 多 聞 第 一 故 國 名 常 立 勝 
X30n0602_004:0320b22	幡。宣傳法藏故。劫名妙音徧滿。為由法音宣流	幡 宣 傳 法 藏 故 劫 名 妙音徧滿 為 由 法 音 宣 流 
X30n0602_004:0320b23	也。	也 
X30n0602_004:0320b24	其佛壽命無量千萬億阿僧祇劫(至)復倍正法。	其 佛 壽 命 無 量 千 萬 億 阿僧祇劫 至 復 倍 正 法 
X30n0602_004:0320c01	佛壽無量劫。而正像之法又復倍倍者。由其宣傳	佛 壽 無 量 劫 而 正 像 之 法 又 復 倍 倍 者 由 其 宣 傳 
X30n0602_004:0320c02	法藏因力綿遠也。問。壽劫之說悠然不窮。何所據	法 藏 因 力 綿 遠 也 問 壽 劫 之 說 悠 然 不 窮 何 所 據 
X30n0602_004:0320c03	依視不覩睫。況渺冥乎。曰萬物死生而不亡者存。	依 視 不 覩 睫 況 渺 冥 乎 曰 萬 物 死 生 而 不 亡 者 存 
X30n0602_004:0320c04	壽有終窮乎。古今代謝而曾無紀極。劫有終窮乎。	壽 有 終 窮 乎 古 今 代 謝 而 曾 無 紀 極 劫 有 終 窮 乎 
X30n0602_004:0320c05	聖人離死生至道無代謝。則雖倍倍之劫。未足盡	聖 人 離 死 生 至 道 無 代 謝 則 雖 倍 倍 之 劫 未 足 盡 
X30n0602_004:0320c06	其靈長矣。	其 靈 長 矣 
X30n0602_004:0320c07	阿難是山海慧目在通王佛(至)稱其功德。	阿 難 是 山 海 慧 目 在 通 王 佛 至 稱 其 功 德 
X30n0602_004:0320c08	為其護持法藏報得殊勝。名聞十方故。	為 其 護 持 法 藏 報 得 殊 勝 名 聞 十 方 故 
X30n0602_004:0320c09	爾時世尊欲重宣此義。而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X30n0602_004:0320c10	我今僧中說(至)種佛道因緣。	我 今 僧 中 說 至 種 佛道因緣 
X30n0602_004:0320c11	頌文大意同前。佛有大威德名聞滿十方。頌諸佛	頌 文 大 意 同 前 佛 有 大 威 德 名 聞 滿 十 方 頌 諸 佛 
X30n0602_004:0320c12	共歎也。壽命無有量以愍眾生故。非徒羨久生也。	共 歎 也 壽 命 無 有 量 以 愍 眾 生 故 非 徒 羨 久 生 也 
X30n0602_004:0320c13	眾生於法中種佛道因緣者。能持法藏故群類資	眾 生 於 法 中 種 佛道因緣 者 能 持 法 藏 故 群 類 資 
X30n0602_004:0320c14	焉。△二初心生疑。	焉 二 初 心 生 疑 
X30n0602_004:0320c15	爾時會中新發意菩薩八千人(至)而諸聲聞得如是	爾 時 會 中 新發意菩薩 八 千 人 至 而 諸 聲 聞 得 如 是 
X30n0602_004:0320c16	決。	決 
X30n0602_004:0320c17	阿難果號劫國教化作成等事。特異眾記。初心不	阿 難 果 號 劫 國 教 化 作 成 等 事 特 異 眾 記 初 心 不 
X30n0602_004:0320c18	知遠因。故疑其何緣而得。△三佛為決疑。	知 遠 因 故 疑 其 何 緣 而 得 三 佛 為 決 疑 
X30n0602_004:0320c19	爾時世尊知諸菩薩心之所念(至)故獲斯記。	爾 時 世 尊 知 諸 菩 薩 心 之 所 念 至 故 獲 斯 記 
X30n0602_004:0320c20	此告其遠因。以同佛發心功深願廣。宜得是記也。	此 告 其 遠 因 以 同 佛 發 心 功 深 願 廣 宜 得 是 記 也 
X30n0602_004:0320c21	校其遠因則功已齊佛。但彼願護持法藏。故常樂	校 其 遠 因 則 功 已 齊 佛 但 彼 願 護 持 法 藏 故 常 樂 
X30n0602_004:0320c22	多聞。佛願成道利生。故常勤精進。由是佛已成道。	多 聞 佛 願 成 道 利 生 故 常 勤 精 進 由 是 佛 已 成 道 
X30n0602_004:0320c23	而阿難尚須護法教化。然後成佛。葢其本願如是。	而 阿 難 尚 須 護 法 教 化 然 後 成 佛 葢 其 本 願 如 是 
X30n0602_004:0320c24	非由根智勝劣而有先後也。俱舍論說。空王佛乃	非 由 根 智 勝 劣 而 有 先 後 也 俱 舍 論 說 空 王 佛 乃 
X30n0602_004:0321a01	釋迦三僧祇劫中間所逢之佛。△四阿難獲益。	釋 迦 三 僧 祇 劫 中 間 所 逢 之 佛 四 阿 難 獲 益 
X30n0602_004:0321a02	阿難面於佛前(至)如今所聞亦識本願。	阿 難 面 於 佛 前 至 如 今 所 聞 亦 識 本 願 
X30n0602_004:0321a03	即時憶念等者。因佛與記又敘往因。於是得法性	即 時 憶 念 等 者 因 佛 與 記 又 敘 往 因 於 是 得 法 性 
X30n0602_004:0321a04	覺自在三昧。能憶過佛法藏。又識本昔願持之因	覺 自 在 三 昧 能 憶 過 佛 法 藏 又 識 本 昔 願 持 之 因 
X30n0602_004:0321a05	也。	也 
X30n0602_004:0321a06	爾時阿難而說偈言。	爾 時 阿 難 而 說 偈 言 
X30n0602_004:0321a07	世尊甚希有(至)護持諸佛法。	世 尊 甚 希 有 至 護 持 諸 佛 法 
X30n0602_004:0321a08	謝記自勵也。既識本願所以無疑。而益勤方便。△	謝 記 自 勵 也 既 識 本 願 所 以 無 疑 而 益 勤 方 便 
X30n0602_004:0321a09	五羅云得記。	五 羅 云 得 記 
X30n0602_004:0321a10	爾時佛告羅睺羅(至)猶如今也。	爾 時 佛 告 羅 睺 羅 至 猶 如 今 也 
X30n0602_004:0321a11	蹈七寶華乃妙淨密行之應也。作長子者。常以密	蹈 七 寶 華 乃 妙 淨 密 行 之 應 也 作 長 子 者 常 以 密 
X30n0602_004:0321a12	行繼續佛道也。如華嚴以普賢為長子。亦表大行	行 繼 續 佛 道 也 如 華 嚴 以 普 賢 為 長 子 亦 表 大 行 
X30n0602_004:0321a13	能建佛家法也。葢弘道以德行為尚。故儒門四科	能 建 佛 家 法 也 葢 弘 道 以 德 行 為 尚 故 儒 門 四 科 
X30n0602_004:0321a14	亦先德行。	亦 先 德 行 
X30n0602_004:0321a15	是蹈七寶華佛國土莊嚴(至)當得阿耨多羅三藐三	是 蹈 七 寶 華 佛 國 土 莊 嚴 至 當 得 阿 耨 多 羅 三 藐 三 
X30n0602_004:0321a16	菩提。	菩 提 
X30n0602_004:0321a17	多聞密行常相資故。羅云國劫正像之果並同阿	多 聞 密 行 常 相 資 故 羅 云 國 劫 正 像 之 果 並 同 阿 
X30n0602_004:0321a18	難。而當來亦為阿難長子。	難 而 當 來 亦 為 阿 難 長 子 
X30n0602_004:0321a19	爾時世尊欲重宣此義。而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X30n0602_004:0321a20	我為太子時(至)以求無上道。	我 為 太 子 時 至 以 求 無 上 道 
X30n0602_004:0321a21	記羅云繼續佛道綿緜不絕也。隱大權之跡而示	記 羅 云 繼 續 佛 道 綿 緜 不 絕 也 隱 大 權 之 跡 而 示 
X30n0602_004:0321a22	現為佛子。功德不可數。唯佛能知之。是謂密行也。	現 為 佛 子 功 德 不 可 數 唯 佛 能 知 之 是 謂 密 行 也 
X30n0602_004:0321a23	△六二千得記。	 六 二 千 得 記 
X30n0602_004:0321a24	爾時世尊見學無學二千人(至)天人師佛世尊。	爾 時 世 尊 見 學 無 學 二 千 人 至 天 人 師 佛 世 尊 
X30n0602_004:0321b01	此亦昔日所化故今與記。其意柔軟謂根機已熟。	此 亦 昔 日 所 化 故 今 與 記 其 意 柔 軟 謂 根 機 已 熟 
X30n0602_004:0321b02	問。其見不默示昔因也。而阿難多聞博達固已默	問 其 見 不 默 示 昔 因 也 而 阿 難 多 聞 博 達 固 已 默 
X30n0602_004:0321b03	知。二千果號皆同以因同也。了學無學即證實相。	知 二 千 果 號 皆 同 以 因 同 也 了 學 無 學 即 證 實 相 
X30n0602_004:0321b04	是謂實相。	是 謂 實 相 
X30n0602_004:0321b05	壽命一劫。國土莊嚴。聲聞菩薩。正法像法。皆悉同等。	壽 命 一 劫 國 土 莊 嚴 聲 聞 菩 薩 正 法 像 法 皆 悉 同 等 
X30n0602_004:0321b06	言二千同時成佛。依報法化皆同。	言 二 千 同 時 成 佛 依 報 法 化 皆 同 
X30n0602_004:0321b07	爾時世尊欲重宣此義。而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
X30n0602_004:0321b08	是二千聲聞(至)漸入於涅槃。	是 二 千 聲 聞 至 漸 入 於 涅 槃 
X30n0602_004:0321b09	名聞周徧漸入涅槃者。出興功成則反一無迹。佛	名 聞 周 徧 漸 入 涅 槃 者 出 興 功 成 則 反 一 無 迹 佛 
X30n0602_004:0321b10	佛然也。△七學眾讚謝。	佛 然 也 七 學 眾 讚 謝 
X30n0602_004:0321b11	爾時學無學二千人聞佛授記。歡喜踊躍而說偈言	爾 時 學 無 學 二 千 人 聞 佛 授 記 歡喜踊躍 而 說 偈 言 
X30n0602_004:0321b12	世尊慧燈明。我聞授記音。心歡喜充滿。如甘露見灌。	世 尊 慧 燈 明 我 聞 授 記 音 心 歡 喜 充 滿 如 甘 露 見 灌 
X30n0602_004:0321b13	慧燈明讚也。聞記歡喜謝也。	慧 燈 明 讚 也 聞 記 歡 喜 謝 也 
X30n0602_004:0321b15	妙法蓮華經解卷第四之一	妙法蓮華 經 解 卷 第 四 之 一 
X30n0602_005:0328c04	妙法蓮華經解卷第五之一	妙法蓮華 經 解 卷 第 五 之 一 
X30n0602_005:0328c06	溫陵開元蓮寺比丘　戒環　解	溫 陵 開 元 蓮 寺 比 丘 戒 環 解 
X30n0602_005:0328c07	妙法蓮華經安樂行品第十四	妙法蓮華 經 安樂行品 第 十 四 
X30n0602_005:0328c08	△三持經妙行二。初標敘科義。	 三 持 經 妙 行 二 初 標 敘 科 義 
X30n0602_005:0328c09	萬行依於三業本於智悲。智以處己。悲以應物。皆	萬 行 依 於 三 業 本 於 智 悲 智 以 處 己 悲 以 應 物 皆 
X30n0602_005:0328c10	欲不失其正。正則安而樂。不正則危而憂。故此特	欲 不 失 其 正 正 則 安 而 樂 不 正 則 危 而 憂 故 此 特 
X30n0602_005:0328c11	依文殊正智。示正身正語正意大悲四法。名安樂	依 文 殊 正 智 示 正 身 正 語 正 意 大 悲 四 法 名 安 樂 
X30n0602_005:0328c12	行品。由前持品菩薩敬順佛意。願於惡世護持此	行 品 由 前 持 品 菩 薩 敬 順 佛 意 願 於 惡 世 護 持 此 
X30n0602_005:0328c13	經誓忍諸難。而大聖以謂。能忍諸難。未若必使之	經 誓 忍 諸 難 而 大 聖 以 謂 能 忍 諸 難 未 若 必 使 之 
X30n0602_005:0328c14	無難。故為說四安樂行。四行既正則一性安恬。靜	無 難 故 為 說 四安樂行 四 行 既 正 則 一 性 安 恬 靜 
X30n0602_005:0328c15	與道合動與神會。其完不為物挫。雖臨危難不知	與 道 合 動 與 神 會 其 完 不 為 物 挫 雖 臨 危 難 不 知 
X30n0602_005:0328c16	其為危難也。其固不為物傾。雖對欲惡不知其為	其 為 危 難 也 其 固 不 為 物 傾 雖 對 欲 惡 不 知 其 為 
X30n0602_005:0328c17	欲惡也。夫躬行是行則涉惡世而持經。入紛華以	欲 惡 也 夫 躬 行 是 行 則 涉 惡 世 而 持 經 入 紛 華 以 
X30n0602_005:0328c18	應物。無所往而不安且樂矣。是謂必使之無難也。	應 物 無 所 往 而 不 安 且 樂 矣 是 謂 必 使 之 無 難 也 
X30n0602_005:0328c19	△二依科釋文二。初文殊讚請二。初讚前。	 二 依 科 釋 文 二 初 文 殊 讚 請 二 初 讚 前 
X30n0602_005:0328c20	爾時文殊師利法王子菩薩(至)護持讀說是法華經。	爾 時 文 殊 師 利 法 王 子 菩 薩 至 護 持 讀 說 是 法 華 經 
X30n0602_005:0328c21	讚持品事也。△二請後。	讚 持 品 事 也 二 請 後 
X30n0602_005:0328c22	世尊。菩薩摩訶薩於後惡世。云何能說是經。	世 尊 菩薩摩訶薩 於後惡世 云 何 能 說 是 經 
X30n0602_005:0328c23	請問云何所行。乃能說是經得無諸難。此發起安	請 問 云 何 所 行 乃 能 說 是 經 得 無 諸 難 此 發 起 安 
X30n0602_005:0328c24	樂行法也。以文殊請者。示依正智發起正行。△二	樂 行 法 也 以 文 殊 請 者 示 依 正 智 發 起 正 行 二 
X30n0602_005:0329a01	佛示四法二。初總標行法。	佛 示 四 法 二 初 總 標 行 法 
X30n0602_005:0329a02	佛告文殊師初(至)當安住四法。	佛 告 文 殊 師 初 至 當 安 住 四 法 
X30n0602_005:0329a03	即四安樂行也。一正身行。二正語行。三正意行。四	即 四安樂行 也 一 正 身 行 二 正 語 行 三 正 意 行 四 
X30n0602_005:0329a04	大悲行。繼三業以大悲者。三業既正則正智真淨	大 悲 行 繼 三 業 以 大 悲 者 三 業 既 正 則 正 智 真 淨 
X30n0602_005:0329a05	逮得己利。須起大悲廣行利他。智悲相濟。乃能於	逮得己利 須 起 大 悲 廣 行 利 他 智 悲 相 濟 乃 能 於 
X30n0602_005:0329a06	惡世演說是經得無諸難。△二別開科釋四。初正	惡 世 演 說 是 經 得 無 諸 難 二 別 開 科 釋 四 初 正 
X30n0602_005:0329a07	身行三。初總標二處。	身 行 三 初 總 標 二 處 
X30n0602_005:0329a08	一者安住菩薩行處親近處。能為眾生演說是經。	一 者 安 住 菩 薩 行 處 親 近 處 能 為 眾 生 演 說 是 經 
X30n0602_005:0329a09	趣操之謂行。狎習之謂近。二者不違於道。是謂菩	趣 操 之 謂 行 狎 習 之 謂 近 二 者 不 違 於 道 是 謂 菩 
X30n0602_005:0329a10	薩行處近處。此身行之要也。△二別釋二處二。初	薩 行 處 近 處 此 身 行 之 要 也 二 別 釋 二 處 二 初 
X30n0602_005:0329a11	釋行處二。初事行。	釋 行 處 二 初 事 行 
X30n0602_005:0329a12	二處各有事行理行。非事無以涉俗。非理無以契	二 處 各 有 事 行 理 行 非 事 無 以 涉 俗 非 理 無 以 契 
X30n0602_005:0329a13	真。理事兼通真俗不礙。然後利生弘法。觸處安樂	真 理 事 兼 通 真 俗 不 礙 然 後 利 生 弘 法 觸 處 安 樂 
X30n0602_005:0329a14	矣。	矣 
X30n0602_005:0329a15	文殊師利(至)而不卒暴心亦不驚。	文 殊 師 利 至 而 不 卒 暴 心 亦 不 驚 
X30n0602_005:0329a16	行處必住忍辱者。六度適時為用而涉難。莫尚於	行 處 必 住 忍 辱 者 六 度 適 時 為 用 而 涉 難 莫 尚 於 
X30n0602_005:0329a17	忍。葢趨事而動則悔吝生焉。故須忍以御之。惟能	忍 葢 趨 事 而 動 則 悔 吝 生 焉 故 須 忍 以 御 之 惟 能 
X30n0602_005:0329a18	忍故於剛能柔而物不能挫。於逆能順而物不能	忍 故 於 剛 能 柔 而 物 不 能 挫 於 逆 能 順 而 物 不 能 
X30n0602_005:0329a19	害。於事能審而所施不暴。於微能察而所遇不驚。	害 於 事 能 審 而 所 施 不 暴 於 微 能 察 而 所 遇 不 驚 
X30n0602_005:0329a20	由是克成安樂行也。△次理行。	由 是 克 成 安 樂 行 也 次 理 行 
X30n0602_005:0329a21	又復於法無所行。	又 復 於 法 無 所 行 
X30n0602_005:0329a22	法指一切行法也。雖行是法而不住相。名無所行。	法 指 一 切 行 法 也 雖 行 是 法 而 不 住 相 名 無 所 行 
X30n0602_005:0329a23	葢有所則有能。能所角立物我成敵。則患難生而	葢 有 所 則 有 能 能 所 角 立 物 我 成 敵 則 患 難 生 而 
X30n0602_005:0329a24	安樂喪矣。	安 樂 喪 矣 
X30n0602_005:0329b01	而觀諸法如實相(至)是名菩薩摩訶薩行處。	而 觀 諸 法如實相 至 是 名 菩薩摩訶薩 行 處 
X30n0602_005:0329b02	自所行之法而觀諸法也。如實相即無所觀。亦不	自 所 行 之 法 而 觀 諸 法 也 如 實 相 即 無 所 觀 亦 不 
X30n0602_005:0329b03	行言亦無所行也。不分別即情識都忘。是非雙泯。	行 言 亦 無 所 行 也 不 分 別 即 情 識 都 忘 是 非 雙 泯 
X30n0602_005:0329b04	菩薩趣操如是而已。△二釋近處二。初徵。	菩 薩 趣 操 如 是 而 已 二 釋 近 處 二 初 徵 
X30n0602_005:0329b05	云何名菩薩摩訶薩近處。	云 何 名 菩薩摩訶薩 近 處 
X30n0602_005:0329b06	△二釋文二。初事行以戒定為體又二。初戒八。	 二 釋 文 二 初 事 行 以 戒 定 為 體 又 二 初 戒 八 
X30n0602_005:0329b07	初戒近權勢。	初 戒 近 權 勢 
X30n0602_005:0329b08	菩薩摩訶薩不親近國王王子大臣官長。	菩薩摩訶薩 不 親 近 國 王 王子大臣 官 長 
X30n0602_005:0329b09	雖外護可尊。恐挾勢妨道。苟志於此。則身處山林	雖 外 護 可 尊 恐 挾 勢 妨 道 苟 志 於 此 則 身 處 山 林 
X30n0602_005:0329b10	心懸魏闕能暫安樂乎。△二戒近外道。	心 懸 魏 闕 能 暫 安 樂 乎 二 戒 近 外 道 
X30n0602_005:0329b11	不親近諸外道梵志(至)及路伽耶陀逆路伽耶陀者。	不 親 近 諸 外 道 梵 志 至 及 路 伽 耶 陀 逆 路 伽 耶 陀 者 
X30n0602_005:0329b12	梵志即出家外道。尼犍在家外道。路伽耶此云惡	梵 志 即 出 家 外 道 尼 犍 在 家 外 道 路 伽 耶 此 云 惡 
X30n0602_005:0329b13	論議。逆路伽此云惡問難。不親外道息異見也。不	論 議 逆 路 伽 此 云 惡 問 難 不 親 外 道 息 異 見 也 不 
X30n0602_005:0329b14	造俗文絕異端也。遠惡議難離曲辨也。△三戒近	造 俗 文 絕 異 端 也 遠 惡 議 難 離 曲 辨 也 三 戒 近 
X30n0602_005:0329b15	兇戲。	兇 戲 
X30n0602_005:0329b16	亦不親近諸有兇戲相扠相撲(至)種種變現之戲。	亦 不 親 近 諸 有 兇 戲 相 扠 相 撲 至 種 種 變 現 之 戲 
X30n0602_005:0329b17	遺教云。若種種戲論其心則亂。戲論尚亂況親近	遺 教 云 若 種 種 戲 論 其 心 則 亂 戲 論 尚 亂 況 親 近 
X30n0602_005:0329b18	乎。相扠摛擒也。相撲抵角也。那羅延神勇捍多力。	乎 相 扠 摛 擒 也 相 撲 抵 角 也 那 羅 延 神 勇 捍 多 力 
X30n0602_005:0329b19	今指騰躍凶伎變現戲。即諸幻術也。△四戒近惡	今 指 騰 躍 凶 伎 變 現 戲 即 諸 幻 術 也 四 戒 近 惡 
X30n0602_005:0329b20	律。	律 
X30n0602_005:0329b21	又不親近旃陀羅(至)則為說法無所希望。	又 不 親 近 旃 陀 羅 至 則 為 說 法 無 所 希 望 
X30n0602_005:0329b22	遠惡緣也。旃陀羅此云嚴幟。謂以嚴厲自幟。如文	遠 惡 緣 也 旃 陀 羅 此 云 嚴 幟 謂 以 嚴 厲 自 幟 如 文 
X30n0602_005:0329b23	身惡服之類。毗尼藏有善律儀惡律儀。如是人等	身 惡 服 之 類 毗 尼 藏 有 善 律 儀 惡 律 儀 如 是 人 等 
X30n0602_005:0329b24	通指權勢已下。雖不親狎。或為法來即清淨為說。	通 指 權 勢 已 下 雖 不 親 狎 或 為 法 來 即 清 淨 為 說 
X30n0602_005:0329c01	△五戒近小乘。	 五 戒 近 小 乘 
X30n0602_005:0329c02	又不親近求聲聞比丘(至)無所希求。	又 不 親 近 求 聲 聞 比 丘 至 無所希求 
X30n0602_005:0329c03	小乘於法未融多起議論。妨安樂行故不親近。亦	小 乘 於 法 未 融 多 起 議 論 妨 安 樂 行 故 不 親 近 亦 
X30n0602_005:0329c04	不問訊。非慢之也。慎媟狎耳。△六戒近婦女。	不 問 訊 非 慢 之 也 慎 媟 狎 耳 六 戒 近 婦 女 
X30n0602_005:0329c05	文殊師利(至)不與小女處女寡女等共語。	文 殊 師 利 至 不 與 小 女 處 女 寡 女 等 共 語 
X30n0602_005:0329c06	說法當忘情想。接語當避嫌疑。小女處女非賓主	說 法 當 忘 情 想 接 語 當 避 嫌 疑 小 女 處 女 非 賓 主 
X30n0602_005:0329c07	之敵。乃譏毀之端。△七戒近不男。	之 敵 乃 譏 毀 之 端 七 戒 近 不 男 
X30n0602_005:0329c08	亦復不近五種不男之人。以為親厚。	亦 復 不 近 五 種 不 男 之 人 以 為 親 厚 
X30n0602_005:0329c09	既非法器。又近於染故不應親。五種猥媟不須辨	既 非 法 器 又 近 於 染 故 不 應 親 五 種 猥 媟 不 須 辨 
X30n0602_005:0329c10	析。△八潔正身心。	析 八 潔 正 身 心 
X30n0602_005:0329c11	不獨入他家。若有因緣須獨入時。但一心念佛。	不 獨 入 他 家 若 有 因 緣 須 獨 入 時 但 一 心 念 佛 
X30n0602_005:0329c12	不獨入欲潔身也。但念佛欲正心也。	不 獨 入 欲 潔 身 也 但 念 佛 欲 正 心 也 
X30n0602_005:0329c13	若為女人說法(至)況復餘事。	若 為 女 人 說 法 至 況 復 餘 事 
X30n0602_005:0329c14	容止不攝則致疑生染。	容 止 不 攝 則 致 疑 生 染 
X30n0602_005:0329c15	不樂畜年少弟子沙彌小見。亦不樂與同師。	不 樂 畜 年 少 弟 子 沙 彌 小 見 亦 不 樂 與 同 師 
X30n0602_005:0329c16	易致擾惱妨安樂行。△二定。	易 致 擾 惱 妨 安 樂 行 二 定 
X30n0602_005:0329c17	當好坐禪(至)是名初親近處。	當 好 坐 禪 至 是 名 初 親 近 處 
X30n0602_005:0329c18	△二理行以觀智為體二。初正觀。	 二 理 行 以 觀 智 為 體 二 初 正 觀 
X30n0602_005:0329c19	即第二近處也。初親近處以戒定為體。第二近處	即 第 二 近 處 也 初 親 近 處 以 戒 定 為 體 第 二 近 處 
X30n0602_005:0329c20	以觀智為體。所以融前戒定使圓契實相。乃成妙	以 觀 智 為 體 所 以 融 前 戒 定 使 圓 契 實 相 乃 成 妙 
X30n0602_005:0329c21	行也。	行 也 
X30n0602_005:0329c22	復次菩薩摩訶薩(至)不顛倒不動不退不轉。	復 次 菩薩摩訶薩 至 不 顛 倒 不 動 不 退 不 轉 
X30n0602_005:0329c23	一切諸法當體真淨。不受一塵曰空。無動無壞離	一切諸法 當 體 真 淨 不 受 一 塵 曰 空 無 動 無 壞 離 
X30n0602_005:0329c24	諸幻妄曰實相。菩薩觀一切法空。如其實相無所	諸 幻 妄 曰 實 相 菩 薩 觀 一切法空 如 其 實 相 無 所 
X30n0602_005:0330a01	加損。故見不顛倒而心無動轉也。見不顛倒即頌	加 損 故 見 不 顛 倒 而 心 無 動 轉 也 見 不 顛 倒 即 頌 
X30n0602_005:0330a02	所謂亦不分別諸法有無是非等也。心無動轉即	所 謂 亦 不 分別諸法 有 無 是 非 等 也 心 無 動 轉 即 
X30n0602_005:0330a03	頌所謂攝心不動如須彌山也。葢心法本寂相待	頌 所 謂 攝 心 不 動 如須彌山 也 葢 心 法 本 寂 相 待 
X30n0602_005:0330a04	成搖。由見顛倒則以法為有生有起。故於心有動	成 搖 由 見 顛 倒 則 以 法 為 有 生 有 起 故 於 心 有 動 
X30n0602_005:0330a05	有轉。若雲駛故月運也。能如實觀則於心不動不	有 轉 若 雲 駛 故 月 運 也 能 如 實 觀 則 於 心 不 動 不 
X30n0602_005:0330a06	退。而了法不生不起。若風止則波澄也。然則心法	退 而 了 法 不生不起 若 風 止 則 波 澄 也 然 則 心 法 
X30n0602_005:0330a07	一也。以倒心觀之則妄境紛拏。以實相觀之則真	一 也 以 倒 心 觀 之 則 妄 境 紛 拏 以 實 相 觀 之 則 真 
X30n0602_005:0330a08	機自寂。是故修安樂行。貴如實觀。△二喻明。	機 自 寂 是 故 修 安 樂 行 貴 如 實 觀 二 喻 明 
X30n0602_005:0330a09	如虗空無所有性(至)第二親近處。	如 虗 空無所有 性 至 第 二 親 近 處 
X30n0602_005:0330a10	無所有性者。生出起滅名相等性皆無也。名相皆	無 所 有 性 者 生 出 起 滅 名 相 等 性 皆 無 也 名 相 皆 
X30n0602_005:0330a11	無則詮示不及。故語言道斷。無量無邊言如空之	無 則 詮 示 不 及 故 語 言 道 斷 無量無邊 言 如 空 之 
X30n0602_005:0330a12	不可窮極也。無礙無障言如空之不可分辨也。實	不 可 窮 極 也 無 礙 無 障 言 如 空 之 不 可 分 辨 也 實 
X30n0602_005:0330a13	相如是。何言說之能及耶。則凡可說者。但是從緣	相 如 是 何 言 說 之 能 及 耶 則 凡 可 說 者 但 是 從 緣 
