X15n0301_001:0218a04	 釋教總論	 釋 教 總 論 
X15n0301_002:0262a16	沙界外事。此由修法界行大因所生。非初心能入也。	沙 界 外 事 此 由 修 法 界 行 大 因 所 生 非 初 心 能 入 也 
X15n0301_002:0262a17	孫陀散亂。佛欲攝住其心。令觀鼻端。此特權機而已。	孫 陀 散 亂 佛 欲 攝 住 其 心 令 觀 鼻 端 此 特 權 機 而 已 
X15n0301_002:0262a18	蓋真心無住。有住則妄矣)。	蓋 真 心 無 住 有 住 則 妄 矣 
X15n0301_002:0262a19	吳興曰。舌識開悟。乃是先曾成就音文之者。如富	吳 興 曰 舌 識 開 悟 乃 是 先 曾 成 就 音 文 之 者 如 富 
X15n0301_002:0262a20	樓那。從曠劫來。辨才無礙。佛教說法。成阿羅漢。豈	樓 那 從 曠 劫 來 辨 才 無 礙 佛 教 說 法 成 阿 羅 漢 豈 
X15n0301_002:0262a21	非開悟先成者邪。然其所說名句之體。且非出世	非 開 悟 先 成 者 邪 然 其 所 說 名 句 之 體 且 非 出 世 
X15n0301_002:0262a22	無漏之法。斯亦一非含一切。是故簡之。問。波離執	無 漏 之 法 斯 亦 一 非 含 一 切 是 故 簡 之 問 波 離 執 
X15n0301_002:0262a23	身。次第執心。俱得通利。今何但云束身而已。答。聲	身 次 第 執 心 俱 得 通 利 今 何 但 云 束 身 而 已 答 聲 
X15n0301_002:0262a24	聞執心。亦防六聚七支之非。況今言身。識在其中	聞 執 心 亦 防 六 聚 七 支 之 非 況 今 言 身 識 在 其 中 
X15n0301_002:0262a25	矣。目連神通。由宿習所得。雖云旋湛。心光發宣。非	矣 目 連 神 通 由 宿 習 所 得 雖 云 旋 湛 心 光 發 宣 非 
X15n0301_002:0262a26	關於法。分別而現。又小乘神通。皆是作意。緣物則	關 於 法 分 別 而 現 又 小 乘 神 通 皆 是 作 意 緣 物 則 
X15n0301_002:0262a27	有。離物則無。	有 離 物 則 無 
X15n0301_002:0262b01	(携李曰。法分別即意識也)。	 携 李 曰 法 分 別 即 意 識 也 
X15n0301_002:0262b02	若以地性觀堅礙非通達(至)云何獲圓通。	若 以 地 性 觀 堅 礙 非 通 達 至 云 何 獲 圓 通 
X15n0301_002:0262b03	(吳興曰。勢至念佛。都攝六根。所念之境。必通三身。然	 吳 興 曰 勢 至 念 佛 都 攝 六 根 所 念 之 境 必 通 三 身 然 
X15n0301_002:0262b04	其母子相憶之喻。多就應身而說。是故指同無常生	其 母 子 相 憶 之 喻 多 就 應 身 而 說 是 故 指 同 無 常 生 
X15n0301_002:0262b05	滅。豈以此因。而感常住不生不滅之果乎。已上二十	滅 豈 以 此 因 而 感 常 住 不生不滅 之 果 乎 已 上 二 十 
X15n0301_002:0262b06	四聖。皆由所得圓通本根。非此土當根。乃為所簡。須	四 聖 皆 由 所 得 圓 通 本 根 非 此 土 當 根 乃 為 所 簡 須 
X15n0301_002:0262b07	知簡性。全是簡機。豈文殊之有慢心。諸聖之有慚德。	知 簡 性 全 是 簡 機 豈 文 殊 之 有 慢 心 諸 聖 之 有 慚 德 
X15n0301_002:0262b08	古謂此等龍門點額。寧不長吁者鄙哉)。	古 謂 此 等 龍 門 點 額 寧 不 長 吁 者 鄙 哉 
X15n0301_002:0262b09	溫陵曰。持地平填。尚涉有為。非實聖性。月光水觀。	溫 陵 曰 持 地 平 填 尚 涉 有 為 非 實 聖 性 月 光 水 觀 
X15n0301_002:0262b10	未離想念。難契如如。盖如如之理。非覺觀之法故	未 離 想 念 難 契 如 如 盖 如 如 之 理 非 覺 觀 之 法 故 
X15n0301_002:0262b11	也。烏芻瑟摩聞說欲火。而生厭離。是厭有也。琉璃	也 烏 芻 瑟 摩 聞 說 欲 火 而 生 厭 離 是 厭 有 也 琉 璃 
X15n0301_002:0262b12	光觀風性動則與寂對。有對非覺也。晦昧為空。故	光 觀 風 性 動 則 與 寂 對 有 對 非 覺 也 晦 昧 為 空 故 
X15n0301_002:0262b13	云昏鈍。彌勒惟脩識觀。而所觀之識。念念生滅。存	云 昏 鈍 彌 勒 惟 脩 識 觀 而 所 觀 之 識 念念生滅 存 
X15n0301_002:0262b14	心觀之已妄。況獲圓通耶。	心 觀 之 已 妄 況 獲 圓 通 耶 
X15n0301_002:0262b15	我今白世尊佛出娑婆界(至)實以聞中入。	我 今 白 世 尊 佛 出 娑 婆 界 至 實 以 聞 中 入 
X15n0301_002:0262b16	(吳興曰。教體應具聲名句文。今言音聞者。以聲是實	 吳 興 曰 教 體 應 具 聲 名 句 文 今 言 音 聞 者 以 聲 是 實 
X15n0301_002:0262b17	法。餘三是假。攝假從實。故但云音。音即所聞之境。聞	法 餘 三 是 假 攝 假 從 實 故 但 云 音 音 即 所 聞 之 境 聞 
X15n0301_002:0262b18	即能聞之根。舉所顯能。而正示聞性。故云欲取等)。	即 能 聞 之 根 舉 所 顯 能 而 正 示 聞 性 故 云 欲 取 等 
X15n0301_002:0262b19	溫陵曰。聖人設教。隨方不同。或有佛土。以佛光明	溫 陵 曰 聖 人 設 教 隨 方 不 同 或 有 佛 土 以 佛 光 明 
X15n0301_002:0262b20	而作佛事。或有佛土。以佛菩提樹而作佛事。乃至	而 作 佛 事 或 有 佛 土 以 佛 菩 提 樹 而 作 佛 事 乃 至 
X15n0301_002:0262b21	或以園林臺觀。或以虗空。或以寂無說示。如香積	或 以 園 林 臺 觀 或 以 虗 空 或 以 寂 無 說 示 如 香 積 
X15n0301_002:0262b22	佛國。無文字說。但以眾香。令諸天人。得入律行。而	佛 國 無 文 字 說 但 以 眾 香 令 諸 天 人 得 入 律 行 而 
X15n0301_002:0262b23	此方教體。必藉音聞。欲取正定。必由聞入者。各隨	此 方 教 體 必 藉 音 聞 欲 取 正 定 必 由 聞 入 者 各 隨 
X15n0301_002:0262b24	機緣故也。盖彼諸佛土。無非利智。故機緣默契。出	機 緣 故 也 盖 彼 諸 佛 土 無 非 利 智 故 機 緣 默 契 出 
X15n0301_002:0262b25	乎言象。而堪忍眾生。迷本循聲。昏惑障重。必藉聞	乎 言 象 而 堪 忍 眾 生 迷 本 循 聲 昏 惑 障 重 必 藉 聞 
X15n0301_002:0262b26	熏聞修。以銷塵除障。然後可入。然以聞為入者。特	熏 聞 修 以 銷 塵 除 障 然 後 可 入 然 以 聞 為 入 者 特 
X15n0301_002:0262b27	得其門而已。必期於遺聞反聞。然後為至也。夫至	得 其 門 而 已 必 期 於 遺 聞 反 聞 然 後 為 至 也 夫 至 
X15n0301_002:0262c01	於遺聞反聞。則佛光明菩提樹。乃至寂無說示處。	於 遺 聞 反 聞 則 佛 光 明 菩 提 樹 乃 至 寂 無 說 示 處 
X15n0301_002:0262c02	皆可入矣。	皆 可 入 矣 
X15n0301_002:0262c03	離苦得解脫良哉觀世音(至)出世獲常住。	離 苦 得 解 脫 良 哉 觀 世 音 至 出 世 獲 常 住 
X15n0301_002:0262c04	(溫陵曰。初聯總歎觀世言音。脫苦與樂也。末聯總歎	 溫 陵 曰 初 聯 總 歎 觀 世 言 音 脫 苦 與 樂 也 末 聯 總 歎 
X15n0301_002:0262c05	眾德。能救世間苦。能與出世樂也)。(長水曰。此嘆觀音	眾 德 能 救 世 間 苦 能 與 出 世 樂 也 長 水 曰 此 嘆 觀 音 
X15n0301_002:0262c06	之妙)。	之 妙 
X15n0301_002:0262c07	携李曰。於沙劫入塵國。歎三十二應也。得自在施	携 李 曰 於 沙 劫 入 塵 國 歎 三 十 二 應 也 得 自 在 施 
X15n0301_002:0262c08	無畏。歎四不思議十四無畏也。妙音觀音。歎隨德	無 畏 歎 四 不 思 議 十 四 無 畏 也 妙 音 觀 音 歎 隨 德 
X15n0301_002:0262c09	之名也。梵音潮音。歎隨名之實也。以說法不滯為	之 名 也 梵 音 潮 音 歎 隨 名 之 實 也 以 說 法 不 滯 為 
X15n0301_002:0262c10	妙音。尋聲救苦為觀音。音性無著為梵音。應不失	妙 音 尋 聲 救 苦 為 觀 音 音 性 無 著 為 梵 音 應 不 失 
X15n0301_002:0262c11	時為潮音。	時 為 潮 音 
X15n0301_002:0262c12	我今啟如來如觀音所說(至)是則通真實。	我 今 啟 如 來 如 觀 音 所 說 至 是 則 通 真 實 
X15n0301_002:0262c13	(孤山曰。口鼻身俱合中知。若將身以合方知句。居口	 孤 山 曰 口 鼻 身 俱 合 中 知 若 將 身 以 合 方 知 句 居 口 
X15n0301_002:0262c14	鼻上。其義方順。蓋語倒耳)。(携李曰。觀音所說。即從耳	鼻 上 其 義 方 順 蓋 語 倒 耳 携 李 曰 觀 音 所 說 即 從 耳 
X15n0301_002:0262c15	門圓照。得真圓通等事。故頌其圓照真體。隔坦。下獨	門 圓 照 得 真 圓 通 等 事 故 頌 其 圓 照 真 體 隔 坦 下 獨 
X15n0301_002:0262c16	取耳通之真)。	取 耳 通 之 真 
X15n0301_002:0262c17	吳興曰。此明圓通且寄耳用。以顯聞性異於五根	吳 興 曰 此 明 圓 通 且 寄 耳 用 以 顯 聞 性 異 於 五 根 
X15n0301_002:0262c18	也。用有時方遠近之量。恐未達者。謂之無常。故有	也 用 有 時 方 遠 近 之 量 恐 未 達 者 謂 之 無 常 故 有 
X15n0301_002:0262c19	下文明常真實。	下 文 明 常 真 實 
X15n0301_002:0262c20	音聲性動靜聞中為有無(至)身心不能及。	音 聲 性 動 靜 聞 中 為 有 無 至 身 心 不 能 及 
X15n0301_002:0262c21	(吳興曰。縱令下顯常性也。五根皆待意思。有無不常。	 吳 興 曰 縱 令 下 顯 常 性 也 五 根 皆 待 意 思 有 無 不 常 
X15n0301_002:0262c22	惟耳在夢能聞杵音。是不為不思而無也。其為覺觀	惟 耳 在 夢 能 聞 杵 音 是 不 為 不 思 而 無 也 其 為 覺 觀 
X15n0301_002:0262c23	乃出乎思惟。勝餘根矣)。	乃 出 乎 思 惟 勝 餘 根 矣 
X15n0301_002:0262c24	溫陵曰。動靜有無。皆屬聲塵。耳根圓離。不隨生滅。	溫 陵 曰 動 靜 有 無 皆 屬 聲 塵 耳 根 圓 離 不 隨 生 滅 
X15n0301_002:0262c25	是則常性之真也。無聲號無聞。指阿難聞鐘事也。	是 則 常 性 之 真 也 無 聲 號 無 聞 指 阿 難 聞 鐘 事 也 
X15n0301_002:0262c26	今此娑婆國聲論得宣明(至)旋流獲無妄。	今 此 娑 婆 國 聲 論 得 宣 明 至 旋 流 獲 無 妄 
X15n0301_002:0262c27	(補註曰。佛命文殊。於二十五行。選簡當根。使阿難開	 補 註 曰 佛 命 文 殊 於 二 十 五 行 選 簡 當 根 使 阿 難 開 
X15n0301_002:0263a01	悟。文殊說偈對佛。至此簡根既舉。下乃宣告阿難。以	悟 文 殊 說 偈 對 佛 至 此 簡 根 既 舉 下 乃 宣 告 阿 難 以 
X15n0301_002:0263a02	及大眾。發明旋倒聞機。反聞自性之說。後至誠如佛	及 大 眾 發 明 旋 倒 聞 機 反 聞 自 性 之 說 後 至 誠 如 佛 
X15n0301_002:0263a03	世尊下。復結歸對佛之辭。以終偈焉)。	世 尊 下 復 結 歸 對 佛 之 辭 以 終 偈 焉 
X15n0301_002:0263a04	溫陵曰。聲論者。依聲論明。本聞自性。以覺迷本循	溫 陵 曰 聲 論 者 依 聲 論 明 本 聞 自 性 以 覺 迷 本 循 
X15n0301_002:0263a05	聲。妄取淪替者。如阿難者。徒事強記。誤落邪思。豈	聲 妄 取 淪 替 者 如 阿 難 者 徒 事 強 記 誤 落 邪 思 豈 
X15n0301_002:0263a06	非為循聲之所流轉邪。使能旋流返聞。則無妄淪	非 為 循 聲 之 所 流 轉 邪 使 能 旋 流 返 聞 則 無 妄 淪 
X15n0301_002:0263a07	矣。娑婆學者。多徒事強記。落邪淪妄。不知返本。故	矣 娑 婆 學 者 多 徒 事 強 記 落 邪 淪 妄 不 知 返 本 故 
X15n0301_002:0263a08	託阿難以警之。	託 阿 難 以 警 之 
X15n0301_002:0263a09	阿難汝諦聽我承佛威力(至)何不自聞聞。	阿 難 汝 諦 聽 我 承 佛 威 力 至 何 不 自 聞 聞 
X15n0301_002:0263a10	(孤山曰。將聞等。謂將汝循聲之妄聞。以持諸佛之言	 孤 山 曰 將 聞 等 謂 將 汝 循 聲 之 妄 聞 以 持 諸 佛 之 言 
X15n0301_002:0263a11	教。何不反聞自性。以求解脫。上聞能聞之智。下聞所	教 何 不 反 聞 自 性 以 求 解 脫 上 聞 能 聞 之 智 下 聞 所 
X15n0301_002:0263a12	觀之理)。	觀 之 理 
X15n0301_002:0263a13	溫陵曰。金剛如幻三昧。即觀音如來所受。如幻聞	溫 陵 曰 金 剛 如幻三昧 即 觀 音 如 來 所 受 如 幻 聞 
X15n0301_002:0263a14	熏聞修金剛三昧也。三世諸佛皆從此出。故名佛	熏 聞 修 金 剛 三 昧 也 三世諸佛 皆 從 此 出 故 名 佛 
X15n0301_002:0263a15	母。佛佛。謂佛之佛性也。聞聞謂我之聞性也。阿難	母 佛 佛 謂 佛 之 佛 性 也 聞 聞 謂 我 之 聞 性 也 阿 難 
X15n0301_002:0263a16	護持諸佛秘藏。而空畜多聞。不能反悟。故責阿難	護 持 諸 佛 秘 藏 而 空 畜 多 聞 不 能 反 悟 故 責 阿 難 
X15n0301_002:0263a17	空持佛佛。不自聞聞。意使從聞思修入三摩地者。	空 持 佛 佛 不 自 聞 聞 意 使 從 聞 思 修 入 三 摩 地 者 
X15n0301_002:0263a18	務在反聞自性也。	務 在 反 聞 自 性 也 
X15n0301_002:0263a19	聞非自然生因聲有名字(至)六根成解脫。	聞 非 自 然 生 因 聲 有 名 字 至 六 根 成 解 脫 
X15n0301_002:0263a20	(吳興曰。上既警其自聞。今乃略示修相。先指妄聞。非	 吳 興 曰 上 既 警 其 自 聞 今 乃 略 示 修 相 先 指 妄 聞 非 
X15n0301_002:0263a21	無緣生。生必藉因。因即聲教。當以三慧旋此根境。俱	無 緣 生 生 必 藉 因 因 即 聲 教 當 以 三 慧 旋 此 根 境 俱 
X15n0301_002:0263a22	令脫粘。所脫既銷。則能脫之慧。復何名狀)。	令 脫 粘 所 脫 既 銷 則 能 脫 之 慧 復 何 名 狀 
X15n0301_002:0263a23	吳興曰。聞耳根也。聲耳境也。根因境有。皆則妄塵。	吳 興 曰 聞 耳 根 也 聲 耳 境 也 根 因 境 有 皆 則 妄 塵 
X15n0301_002:0263a24	故應旋而脫之。而無能脫者。斯返真源。一源返真。	故 應 旋 而 脫 之 而 無 能 脫 者 斯 返 真 源 一 源 返 真 
X15n0301_002:0263a25	六皆脫妄矣。	六 皆 脫 妄 矣 
X15n0301_002:0263a26	見聞如幻翳三界若空華(至)誰能留汝形。	見 聞 如 幻 翳 三 界 若 空 華 至 誰 能 留 汝 形 
X15n0301_002:0263a27	(携李曰。見聞為根。三界為塵。聞復則翳根自除。塵消	 携 李 曰 見 聞 為 根 三 界 為 塵 聞 復 則 翳 根 自 除 塵 消 
X15n0301_002:0263b01	則覺心本淨)。	則 覺 心 本 淨 
X15n0301_002:0263b02	溫陵曰。見聞幻翳。通指妄根也。三界空華。通指妄	溫 陵 曰 見 聞 幻 翳 通 指 妄 根 也 三 界 空 華 通 指 妄 
X15n0301_002:0263b03	境也。以皆妄故。聞復則翳除。塵銷則覺淨。所以一	境 也 以 皆 妄 故 聞 復 則 翳 除 塵 銷 則 覺 淨 所 以 一 
X15n0301_002:0263b04	返源。而六解脫也。淨極光達。寂照含虗。根解脫也。	返 源 而 六 解 脫 也 淨 極 光 達 寂 照 含 虗 根 解 脫 也 
X15n0301_002:0263b05	却觀世間。猶如夢事。境解脫也。然則摩登正為夢	却 觀 世 間 猶 如 夢 事 境 解 脫 也 然 則 摩 登 正 為 夢 
X15n0301_002:0263b06	境。了不可得。誰能留汝使不解脫哉。	境 了 不 可 得 誰 能 留 汝 使 不 解 脫 哉 
X15n0301_002:0263b07	如世巧幻師作諸男女(至)諸幻成無性。	如 世 巧 幻 師 作 諸 男 女 至 諸 幻 成 無 性 
X15n0301_002:0263b08	(吳興曰。幻師〔辟〕真如。幻作〔辟〕隨緣。真妄和合。變成六	 吳 興 曰 幻 師 辟 真 如 幻 作 辟 隨 緣 真 妄 和 合 變 成 六 
X15n0301_002:0263b09	根。如諸男女一機。即耳根也。應以旋聞聲脫為抽)。	根 如 諸 男 女 一 機 即 耳 根 也 應 以 旋 聞 聲 脫 為 抽 
X15n0301_002:0263b10	携李曰。幻師妄性也。一機妄識也。性由識動。故息	携 李 曰 幻 師 妄 性 也 一 機 妄 識 也 性 由 識 動 故 息 
X15n0301_002:0263b11	機歸寂。則諸幻無性。而各解脫也。	機 歸 寂 則 諸 幻 無 性 而 各 解 脫 也 
X15n0301_002:0263b12	六根亦如是元依一精明(至)明極即如來。	六 根 亦 如 是 元 依 一 精 明 至 明 極 即 如 來 
X15n0301_002:0263b13	(吳興曰。一精明合前幻師。妄為能依。真為所依。分成	 吳 興 曰 一 精 明 合 前 幻 師 妄 為 能 依 真 為 所 依 分 成 
X15n0301_002:0263b14	等合文可見)。(孤山曰。塵垢等二句。登圓初住。餘塵等	等 合 文 可 見 孤 山 曰 塵 垢 等 二 句 登 圓 初 住 餘 塵 等 
X15n0301_002:0263b15	二句。從分至極)。	二 句 從 分 至 極 
X15n0301_002:0263b16	携李曰。一精明。識精也。六根因之。與塵和合。而幻	携 李 曰 一 精 明 識 精 也 六 根 因 之 與 塵 和 合 而 幻 
X15n0301_002:0263b17	作諸妄。故一處休復。六皆不成。而想塵識垢。應念	作 諸 妄 故 一 處 休 復 六 皆 不 成 而 想 塵 識 垢 應 念 
X15n0301_002:0263b18	消亡。得妙圓通矣。細惑未盡。曰餘塵。分證未滿。曰	消 亡 得 妙 圓 通 矣 細 惑 未 盡 曰 餘 塵 分 證 未 滿 曰 
X15n0301_002:0263b19	餘學。惑淨明極。即如來矣。	餘 學 惑 淨 明 極 即 如 來 矣 
X15n0301_002:0263b20	大眾及阿難旋汝倒聞機(至)非惟觀世音。	大 眾 及 阿 難 旋 汝 倒 聞 機 至 非 惟 觀 世 音 
X15n0301_002:0263b21	(真際曰。涅槃門者。出生死。證真常要道也。三世果人	 真 際 曰 涅 槃 門 者 出 生 死 證 真 常 要 道 也 三 世 果 人 
X15n0301_002:0263b22	莫不由此。故未來學人當依是法)。	莫 不 由 此 故 未 來 學 人 當 依 是 法 
X15n0301_002:0263b23	溫陵曰。能旋倒妄。反聞自性。必資此性。成無上道。	溫 陵 曰 能 旋 倒 妄 反 聞 自 性 必 資 此 性 成 無 上 道 
X15n0301_002:0263b24	此圓通法門實効也。	此 圓 通 法 門 實 効 也 
X15n0301_002:0263b25	誠如佛世尊詢我諸方便(至)淺深同說法。	誠 如 佛 世 尊 詢 我 諸 方 便 至 淺 深 同 說 法 
X15n0301_002:0263b26	(孤山曰。如〔即〕律失明而旋見。畢陵觸刺而遺身。烏芻	 孤 山 曰 如 即 律 失 明 而 旋 見 畢 陵 觸 刺 而 遺 身 烏 芻 
X15n0301_002:0263c01	厭欲而登覺。持地待佛而銷塵。皆即己事而已)。(吳興	厭 欲 而 登 覺 持 地 待 佛 而 銷 塵 皆 即 己 事 而 已 吳 興 
X15n0301_002:0263c02	曰。謂此方所有。於諸方便而得悟者。由佛之力也。荀	曰 謂 此 方 所 有 於 諸 方 便 而 得 悟 者 由 佛 之 力 也 荀 
X15n0301_002:0263c03	他土以餘根為利。耳根為鈍者。反顯可知)。	他 土 以 餘 根 為 利 耳 根 為 鈍 者 反 顯 可 知 
X15n0301_002:0263c04	溫陵曰。成就不生不滅涅槃妙心。惟耳根為最。餘	溫 陵 曰 成 就 不生不滅 涅 槃 妙 心 惟 耳 根 為 最 餘 
X15n0301_002:0263c05	則佛之威神加被。令即己事而捨塵勞。非始終長	則 佛 之 威 神 加 被 令 即 己 事 而 捨 塵 勞 非 始 終 長 
X15n0301_002:0263c06	脩淺深同說之法也。欲令其長修同說。無如觀音	脩 淺 深 同 說 之 法 也 欲 令 其 長 修 同 說 無 如 觀 音 
X15n0301_002:0263c07	法門矣。	法 門 矣 
X15n0301_002:0263c08	頂禮如來藏無漏不思議(至)真實心如是(偈文止此)。	頂 禮 如 來 藏 無 漏 不 思 議 至 真 實 心 如 是 偈 文 止 此 
X15n0301_002:0263c09	(長水曰。如來藏即一體三寶。具足無漏性功德故。真	 長 水 曰 如 來 藏 即 一 體 三 寶 具 足 無 漏 性 功 德 故 真 
X15n0301_002:0263c10	實心者。文殊指已選圓通之心也)。	實 心 者 文 殊 指 已 選 圓 通 之 心 也 
X15n0301_002:0263c11	泐潭曰。結讚聞熏三時。真如來藏無漏法門。勸使	泐 潭 曰 結 讚 聞 熏 三 時 真 如 來 藏 無 漏 法 門 勸 使 
X15n0301_002:0263c12	未來依此修證。可超餘三昧。真實心要。如是而已。	未 來 依 此 修 證 可 超 餘 三 昧 真 實 心 要 如 是 而 已 
X15n0301_002:0263c13	於是阿難及諸大眾(至)明了其家所歸道路。	於 是 阿 難 及 諸 大 眾 至 明 了 其 家 所 歸 道 路 
X15n0301_002:0263c14	(長水曰。阿難等方悟圓通。從耳根入。猶未有證。故云	 長 水 曰 阿 難 等 方 悟 圓 通 從 耳 根 入 猶 未 有 證 故 云 
X15n0301_002:0263c15	明了其家所歸道路)。	明 了 其 家 所 歸 道 路 
X15n0301_002:0263c16	吳興曰。第三卷阿難偈云。銷我億劫顛倒想。不歷	吳 興 曰 第 三 卷 阿 難 偈 云 銷 我 億 劫 顛 倒 想 不 歷 
X15n0301_002:0263c17	僧祇獲法身。洎第四卷。請入華屋。前云。聞佛示誨。	僧 祇 獲 法 身 洎 第 四 卷 請 入 華 屋 前 云 聞 佛 示 誨 
X15n0301_002:0263c18	疑惑銷除。心悟實相。至第五卷如來偈後云。心目	疑 惑 銷 除 心 悟 實 相 至 第 五 卷 如 來 偈 後 云 心 目 
X15n0301_002:0263c19	開明歎未曾有。及請圓通。又云。我等今日。身心皎	開 明 歎 未 曾 有 及 請 圓 通 又 云 我 等 今 日 身 心 皎 
X15n0301_002:0263c20	然。快得無礙。以前兼此。凡經五番。彰灼領悟。圓師	然 快 得 無 礙 以 前 兼 此 凡 經 五 番 彰 灼 領 悟 圓 師 
X15n0301_002:0263c21	判此。為阿難增道。理必然矣。應知經家指妙覺菩	判 此 為 阿 難 增 道 理 必 然 矣 應 知 經 家 指 妙 覺 菩 
X15n0301_002:0263c22	提涅槃為家。真修耳根圓通為路。若不爾者。慶喜	提 涅 槃 為 家 真 修 耳 根 圓 通 為 路 若 不 爾 者 慶 喜 
X15n0301_002:0263c23	之性。幾乎檮昧也。	之 性 幾 乎 檮 昧 也 
X15n0301_002:0263c24	阿難整衣服於大眾中(至)於菩提心得無退屈。	阿 難 整 衣 服 於 大 眾 中 至 於 菩 提 心 得 無 退 屈 
X15n0301_002:0263c25	(溫陵曰。阿難將以是法度人。恐末劫多難。邪魔妄作	 溫 陵 曰 阿 難 將 以 是 法 度 人 恐 末 劫 多 難 邪 魔 妄 作 
X15n0301_002:0263c26	易退覺心。難入正定。故請攝心遠魔。安立道場清淨	易 退 覺 心 難 入 正 定 故 請 攝 心 遠 魔 安 立 道 場 清 淨 
X15n0301_002:0264a01	軌則)。	軌 則 
X15n0301_002:0264a02	爾時世尊於大眾中(至)汝今諦聽當為汝說。	爾 時 世 尊 於 大 眾 中 至 汝 今 諦 聽 當 為 汝 說 
X15n0301_002:0264a03	(孤山曰。戒定慧學。大小均修。示以决定進脩之旨)。	 孤 山 曰 戒 定 慧 學 大 小 均 修 示 以 决 定 進 脩 之 旨 
X15n0301_002:0264a04	阿難大眾唯然奉教(至)是則名為三無漏學。	阿 難 大 眾 唯 然 奉 教 至 是 則 名 為 三 無 漏 學 
X15n0301_002:0264a05	(携李曰。此下別示四重。則十戒之初。婬盜妄四波	 携 李 曰 此 下 別 示 四 重 則 十 戒 之 初 婬 盜 妄 四 波 
X15n0301_002:0264a06	羅夷。為根本重罪。所謂其心不婬。其心不偷等者。皆	羅 夷 為 根 本 重 罪 所 謂 其 心 不 婬 其 心 不 偷 等 者 皆 
X15n0301_002:0264a07	使無思犯也。攝持軌則。莫尚乎此)。	使 無 思 犯 也 攝 持 軌 則 莫 尚 乎 此 
X15n0301_002:0264a08	溫陵曰。三藏之中。毗柰耶律藏也。此大小乘戒通	溫 陵 曰 三 藏 之 中 毗 柰 耶 律 藏 也 此 大 小 乘 戒 通 
X15n0301_002:0264a09	稱也。不乘稟法為戒。粗治其末。大乘攝心為戒。細	稱 也 不 乘 稟 法 為 戒 粗 治 其 末 大 乘 攝 心 為 戒 細 
X15n0301_002:0264a10	絕其本。法戒則無犯而已。心戒則無思犯也。夫能	絕 其 本 法 戒 則 無 犯 而 已 心 戒 則 無 思 犯 也 夫 能 
X15n0301_002:0264a11	攝心。則定由是生。慧由是發。三者圓明。則諸漏永	攝 心 則 定 由 是 生 慧 由 是 發 三 者 圓 明 則 諸 漏 永 
X15n0301_002:0264a12	盡。故名三無漏學。	盡 故 名 三 無 漏 學 
X15n0301_002:0264a13	阿難云何攝心我名為戒(至)各各自謂成無上道。	阿 難 云 何 攝 心 我 名 為 戒 至 各 各 自 謂 成 無 上 道 
X15n0301_002:0264a14	(孤山曰。能持則出纏。犯則落邪魔矣)。(孤山曰。犯四重	 孤 山 曰 能 持 則 出 纏 犯 則 落 邪 魔 矣 孤 山 曰 犯 四 重 
X15n0301_002:0264a15	禁。罪在地獄。今以脩禪之功。且落魔鬼等道。若約未	禁 罪 在 地 獄 今 以 脩 禪 之 功 且 落 魔 鬼 等 道 若 約 未 
X15n0301_002:0264a16	來輪轉。明應備歷三途)。(行簡子曰。此合下二節。示眾	來 輪 轉 明 應 備 歷 三 途 行 簡 子 曰 此 合 下 二 節 示 眾 
X15n0301_002:0264a17	生以斷婬修禪)。	生 以 斷 婬 修 禪 
X15n0301_002:0264a18	溫陵曰。眾生皆因婬欲而正性命。故纏生死。若欲	溫 陵 曰 眾 生 皆 因 婬 欲 而 正 性 命 故 纏 生 死 若 欲 
X15n0301_002:0264a19	愛乾枯。則殘質不續矣。魔亦多智脩禪。為不斷婬。	愛 乾 枯 則 殘 質 不 續 矣 魔 亦 多 智 脩 禪 為 不 斷 婬 
X15n0301_002:0264a20	故不成聖道。帶婬修禪。必落此類。	故 不 成 聖 道 帶 婬 修 禪 必 落 此 類 
X15n0301_002:0264a21	我滅度後末法之中(至)第一決定清淨明誨。	我 滅 度 後 末 法 之 中 至 第 一 決 定 清 淨 明 誨 
X15n0301_002:0264a22	(資中曰。觀阿難起教。示遭邪染。而厥初發心。先厭欲	 資 中 曰 觀 阿 難 起 教 示 遭 邪 染 而 厥 初 發 心 先 厭 欲 
X15n0301_002:0264a23	濁。至於三漸次中。一一首懲。然後身心妙圓。獲大安	濁 至 於 三 漸 次 中 一 一 首 懲 然 後 身 心 妙 圓 獲 大 安 
X15n0301_002:0264a24	隱。十信初心。由欲愛乾枯。而慧性圓明。遂階等妙。世	隱 十 信 初 心 由 欲 愛 乾 枯 而 慧 性 圓 明 遂 階 等 妙 世 
X15n0301_002:0264a25	人心不流逸。澄瑩生明。漸乎六天。是故真修內攝。必	人 心 不 流 逸 澄 瑩 生 明 漸 乎 六 天 是 故 真 修 內 攝 必 
X15n0301_002:0264a26	先離欲)。	先 離 欲 
X15n0301_002:0264a27	溫陵曰。諸經戒殺居首。為設化以慈悲為本。此經	溫 陵 曰 諸 經 戒 殺 居 首 為 設 化 以 慈 悲 為 本 此 經 
X15n0301_002:0264a28	婬戒居首。為真修以離欲為本。盖欲氣麤濁。染汙	婬 戒 居 首 為 真 修 以 離 欲 為 本 盖 欲 氣 麤 濁 染 汙 
X15n0301_002:0264b01	妙明。欲習狂迷。易失正受。續生死。喪真常。莫甚於	妙 明 欲 習 狂 迷 易 失 正 受 續 生 死 喪 真 常 莫 甚 於 
