X72n1441_001:0674b06	 法會錄序	 法 會 錄 序 
X72n1441_001:0678c18	界。性海圓融。緣起無礙等。若能從淺至深。究竟窮極。	界 性 海 圓 融 緣 起 無 礙 等 若 能 從 淺 至 深 究 竟 窮 極 
X72n1441_001:0678c19	知一切法。皆是性海緣起。圓融無礙。一即一切。一切	知一切法 皆 是 性 海 緣 起 圓 融 無 礙 一 即 一 切 一 切 
X72n1441_001:0678c20	即一。生死即涅槃。煩惱即菩提。平等。平等。無盡無盡。	即 一 生 死 即 涅 槃 煩 惱 即 菩 提 平 等 平 等 無 盡 無 盡 
X72n1441_001:0678c21	不唯始終頓是圓。即小乘人天。以及儒道西天九十	不 唯 始 終 頓 是 圓 即 小 乘 人 天 以 及 儒 道 西 天 九 十 
X72n1441_001:0678c22	六種等。皆是圓教也。	六 種 等 皆 是 圓 教 也 
X72n1441_001:0678c23	師曰。諸佛眾生。山河大地。與我同一法身。諸公還信	師 曰 諸 佛 眾 生 山 河 大 地 與 我 同 一 法 身 諸 公 還 信 
X72n1441_001:0678c24	得及麼。夫法身者。即當人本有之自性也。周遍十方。	得 及 麼 夫 法 身 者 即 當 人 本 有 之 自 性 也 周 遍 十 方 
X72n1441_001:0679a01	彌綸萬有。迎之不見其首。隨之罔眺其後。高而無頂。	彌 綸 萬 有 迎 之 不 見 其 首 隨 之 罔 眺 其 後 高 而 無 頂 
X72n1441_001:0679a02	深而無底。旁而無邊。中而無在。淨躶躶。赤洒洒。譬如	深 而 無 底 旁 而 無 邊 中 而 無 在 淨 躶 躶 赤 洒 洒 譬 如 
X72n1441_001:0679a03	虗空。具含眾相。於諸國土平等隨入。於諸境界無所	虗 空 具 含 眾 相 於 諸 國 土 平 等 隨 入 於 諸 境 界 無 所 
X72n1441_001:0679a04	分別。口欲譚而詞喪。心欲緣而慮忘。唯證者相應耳。	分 別 口 欲 譚 而 詞 喪 心 欲 緣 而 慮 忘 唯 證 者 相 應 耳 
X72n1441_001:0679a05	昔小壽禪師因負薪墮地。豁然開悟。乃作偈曰。撲落	昔 小 壽 禪 師 因 負 薪 墮 地 豁 然 開 悟 乃 作 偈 曰 撲 落 
X72n1441_001:0679a06	非他物。縱橫不是塵。山河并大地。全露法王身。看他	非 他 物 縱 橫 不 是 塵 山 河 并 大 地 全 露 法 王 身 看 他 
X72n1441_001:0679a07	得底人。吐語何等親切。直下如空合空。了無縫罅也。	得 底 人 吐 語 何 等 親 切 直 下 如 空 合 空 了 無 縫 罅 也 
X72n1441_001:0679a08	如或不然。當信佛語。一乘了義。契自心源。葢佛語者。	如 或 不 然 當 信 佛 語 一 乘 了 義 契 自 心 源 葢 佛 語 者 
X72n1441_001:0679a09	一句是一句。一字是一字。真實不虗。非浪語也。華嚴	一 句 是 一 句 一 字 是 一 字 真 實 不 虗 非 浪 語 也 華 嚴 
X72n1441_001:0679a10	經云。十方諸如來。同共一法身。一心一智慧。力無畏	經 云 十 方 諸 如 來 同 共 一 法 身 一 心 一 智 慧 力 無 畏 
X72n1441_001:0679a11	亦然。此偈蓋謂佛佛同體也。又云。心佛及眾生。是三	亦 然 此 偈 蓋 謂 佛 佛 同 體 也 又 云 心 佛 及 眾 生 是 三 
X72n1441_001:0679a12	無差別。謂上至諸佛。下至羣生。與當人自心。同一體	無 差 別 謂 上 至 諸 佛 下 至 羣 生 與 當 人 自 心 同 一 體 
X72n1441_001:0679a13	性。何差別之有。又云。法身遍在一切處。一切眾生及	性 何 差 別 之 有 又 云 法 身 遍 在 一 切 處 一 切 眾 生 及 
X72n1441_001:0679a14	國土。三世悉在無有餘。亦無形相而可得。謂此法身	國 土 三 世 悉 在 無 有 餘 亦 無 形 相 而 可 得 謂 此 法 身 
X72n1441_001:0679a15	雖無形相可得。而與眾生同。與國土同。與三世同。葢	雖 無 形 相 可 得 而 與 眾 生 同 與 國 土 同 與 三 世 同 葢 
X72n1441_001:0679a16	眾生國土三世即法身。法身即眾生國土三世。設有	眾 生 國 土 三 世 即 法 身 法 身 即 眾 生 國 土 三 世 設 有 
X72n1441_001:0679a17	毫末許不是法身。則法身有不遍之處。故肇法師云。	毫 末 許 不 是 法 身 則 法 身 有 不 遍 之 處 故 肇 法 師 云 
X72n1441_001:0679a18	天地與我同根。萬物與我一體。亦是發明此旨。又云。	天 地 與 我 同 根 萬 物 與 我 一 體 亦 是 發 明 此 旨 又 云 
X72n1441_001:0679a19	會萬物為己者。其唯聖人乎。昔石頭遷禪師讀至此。	會 萬 物 為 己 者 其 唯 聖 人 乎 昔 石 頭 遷 禪 師 讀 至 此 
X72n1441_001:0679a20	乃拊几歎曰。聖人無己。靡所不己。法身無象。誰云自	乃 拊 几 歎 曰 聖 人 無 己 靡 所 不 己 法 身 無 象 誰 云 自 
X72n1441_001:0679a21	他。圓鑑靈炤于其間。萬象體玄而自現。境智非一。孰	他 圓 鑑 靈 炤 于 其 間 萬 象 體 玄 而 自 現 境 智 非 一 孰 
X72n1441_001:0679a22	云去來。至哉斯語也。此可謂善會者也。諸公若欲會	云 去 來 至 哉 斯 語 也 此 可 謂 善 會 者 也 諸 公 若 欲 會 
X72n1441_001:0679a23	萬物為己。不妨恁麼會也。石頭後上堂示眾云。吾之	萬 物 為 己 不 妨 恁 麼 會 也 石 頭 後 上 堂 示 眾 云 吾 之 
X72n1441_001:0679a24	法門。先佛傳受。不論禪定精進。唯達佛之知見。即心	法 門 先 佛 傳 受 不 論 禪 定 精 進 唯 達 佛 之 知 見 即 心 
X72n1441_001:0679b01	即佛。心佛眾生。菩提煩惱。名異體一。汝等當知自己	即 佛 心 佛 眾 生 菩 提 煩 惱 名 異 體 一 汝 等 當 知 自 己 
X72n1441_001:0679b02	心靈。體離斷常。性非垢淨。湛然圓滿。凡聖齊同。應用	心 靈 體 離 斷 常 性 非 垢 淨 湛 然 圓 滿 凡 聖 齊 同 應 用 
X72n1441_001:0679b03	無方。離心意識。三界六道。唯自心現。水月鏡像。豈有	無 方 離 心 意 識 三 界 六 道 唯 自 心 現 水 月 鏡 像 豈 有 
X72n1441_001:0679b04	生滅。汝能知之。無所不備。今眾生不見法身者。以目	生 滅 汝 能 知 之 無 所 不 備 今 眾 生 不 見 法 身 者 以 目 
X72n1441_001:0679b05	前有法。見有自己身心。見有三界六道。只在髑髏上	前 有 法 見 有 自 己 身 心 見 有 三 界 六 道 只 在 髑 髏 上 
X72n1441_001:0679b06	作活計。所以眼不超色。耳不越聲。若明得萬法皆是	作 活 計 所 以 眼 不 超 色 耳 不 越 聲 若 明 得 萬 法 皆 是 
X72n1441_001:0679b07	自心變現。如水中月。鏡中像。本無生滅。則所謂法身	自 心 變 現 如水中月 鏡 中 像 本 無 生 滅 則 所 謂 法 身 
X72n1441_001:0679b08	者。冷冷然。頭頭中顯露矣。時有僧問曰。曹溪意旨。誰	者 冷 冷 然 頭 頭 中 顯 露 矣 時 有 僧 問 曰 曹 溪 意 旨 誰 
X72n1441_001:0679b09	人得。頭曰。會佛法人得。曰師還得否。頭曰。不得。曰為	人 得 頭 曰 會 佛 法 人 得 曰 師 還 得 否 頭 曰 不 得 曰 為 
X72n1441_001:0679b10	什麼不得。頭曰。我不會佛法。你看他古人下語。這裏	什 麼 不 得 頭 曰 我 不 會 佛 法 你 看 他 古 人 下 語 這 裏 
X72n1441_001:0679b11	箇會字。也容不得。又僧問如何是解脫。頭曰。誰縛汝。	箇 會 字 也 容 不 得 又 僧 問 如 何 是 解 脫 頭 曰 誰 縛 汝 
X72n1441_001:0679b12	曰如何是淨土。頭曰。誰垢汝。曰如何是涅槃。頭曰。誰	曰 如 何 是 淨 土 頭 曰 誰 垢 汝 曰 如 何 是 涅 槃 頭 曰 誰 
X72n1441_001:0679b13	將生死與汝。若知得石頭落處。兩頭坐斷。中道不居。	將 生 死 與 汝 若 知 得 石 頭 落 處 兩 頭 坐 斷 中 道 不 居 
X72n1441_001:0679b14	許渠親見法身。三世諸佛證極法身。與諸佛眾生。山	許 渠 親 見 法 身 三世諸佛 證 極 法 身 與 諸 佛 眾 生 山 
X72n1441_001:0679b15	河國土。同一體性。故能具足同體大悲。一苦一切苦。	河 國 土 同一體性 故 能 具 足 同 體 大 悲 一 苦 一 切 苦 
X72n1441_001:0679b16	一樂一切樂。盡法界。虗空界。凡一眾生起一念處。悉	一 樂 一 切 樂 盡 法 界 虗 空 界 凡 一 眾 生 起 一 念 處 悉 
X72n1441_001:0679b17	皆知得。現身捄拔。故經云。佛身充滿於法界。普現一	皆 知 得 現 身 捄 拔 故 經 云 佛 身 充 滿 於 法 界 普 現 一 
X72n1441_001:0679b18	切羣生前。隨緣赴感靡不周。而恒處此菩提座。若能	切 羣 生 前 隨 緣 赴 感 靡 不 周 而 恒 處 此 菩 提 座 若 能 
X72n1441_001:0679b19	信佛功德者。此人具足大福智。不是等閒人也。	信 佛 功 德 者 此 人 具 足 大 福 智 不 是 等 閒 人 也 
X72n1441_001:0679b20	師曰。諸佛眾生。皆具三身四智。三身者。法身。報身。化	師 曰 諸 佛 眾 生 皆 具 三 身 四 智 三 身 者 法 身 報 身 化 
X72n1441_001:0679b21	身也。六祖大師云。清淨法身。汝之性也。圓滿報身。汝	身 也 六 祖 大 師 云 清 淨 法 身 汝 之 性 也 圓 滿 報 身 汝 
X72n1441_001:0679b22	之智也。千百億化身。汝之行也。佛與眾生。同一法身。	之 智 也 千 百 億 化 身 汝 之 行 也 佛 與 眾 生 同 一 法 身 
X72n1441_001:0679b23	無二無別。佛之報身有二。一自受用身。唯佛與佛。乃	無 二 無 別 佛 之 報 身 有 二 一 自 受 用 身 唯 佛 與 佛 乃 
X72n1441_001:0679b24	能知之。二他受用身。則盧舍那佛。萬德莊嚴。為十地	能 知 之 二 他 受 用 身 則 盧 舍 那 佛 萬 德 莊 嚴 為 十 地 
X72n1441_001:0679c01	菩薩說華嚴經者。是也。化身者。即梵網經云。爾時盧	菩 薩 說 華 嚴 經 者 是 也 化 身 者 即 梵 網 經 云 爾 時 盧 
X72n1441_001:0679c02	舍那。方坐蓮花臺。周匝千華上。復見千釋迦。一華百	舍 那 方 坐 蓮 花 臺 周 匝 千 華 上 復 見 千 釋 迦 一 華 百 
X72n1441_001:0679c03	億國。一國一釋迦。各坐菩提樹。一時成佛道者。是也。	億 國 一 國 一 釋 迦 各 坐 菩 提 樹 一 時 成 佛 道 者 是 也 
X72n1441_001:0679c04	但諸佛已證。眾生猶迷。體雖本具。日用不知也。四智	但 諸 佛 已 證 眾 生 猶 迷 體 雖 本 具 日 用 不 知 也 四 智 
X72n1441_001:0679c05	者。曰大圓鏡智。曰平等性智。曰妙觀察智。曰成所作	者 曰 大圓鏡智 曰 平等性智 曰 妙觀察智 曰 成 所 作 
X72n1441_001:0679c06	智。迷即為識。悟即成智。識有八種。一眼識。第二耳識。	智 迷 即 為 識 悟 即 成 智 識 有 八 種 一 眼 識 第 二 耳 識 
X72n1441_001:0679c07	第三鼻識。第四舌識。第五身識。第六意識。第七末那	第 三 鼻 識 第 四 舌 識 第 五 身 識 第六意識 第 七 末 那 
X72n1441_001:0679c08	識。此云染汙意。即六識之根也。以與我痴。我愛。我見。	識 此 云 染 汙 意 即 六 識 之 根 也 以 與 我 痴 我 愛 我 見 
X72n1441_001:0679c09	我慢。四惑相應。執第八阿賴耶識見分為自內我。一	我 慢 四 惑 相 應 執 第 八 阿賴耶識 見 分 為 自 內 我 一 
X72n1441_001:0679c10	向內緣。眾生我執堅固。牢不可拔。根本在此。第八阿	向 內 緣 眾 生 我 執 堅 固 牢 不 可 拔 根 本 在 此 第 八 阿 
X72n1441_001:0679c11	賴耶識。此云藏識。具三藏義故。一能藏。以能含藏根	賴 耶 識 此 云 藏 識 具 三 藏 義 故 一 能 藏 以 能 含 藏 根 
X72n1441_001:0679c12	身器界種子故。二所藏。以自體藏於根身器界種子	身 器 界 種 子 故 二 所 藏 以 自 體 藏 於 根 身 器 界 種 子 
X72n1441_001:0679c13	中故。三我愛執藏。為末那執為我故。亦名根本識。為	中 故 三 我 愛 執 藏 為 末 那 執 為 我 故 亦 名 根 本 識 為 
X72n1441_001:0679c14	前七識作根本故。又名異熟識。以能酬第六識所造	前 七 識 作 根 本 故 又 名 異 熟 識 以 能 酬 第 六 識 所 造 
X72n1441_001:0679c15	引滿二業。隨類受生。謂異時而熟。異性而熟。異類而	引 滿 二 業 隨 類 受 生 謂 異 時 而 熟 異 性 而 熟 異 類 而 
X72n1441_001:0679c16	熟故。轉智者。轉阿賴耶識為大圓鏡智。轉末那識為	熟 故 轉 智 者 轉 阿賴耶識 為 大圓鏡智 轉 末 那 識 為 
X72n1441_001:0679c17	平等性智。轉第六意識為妙觀察智。轉前五識為成	平等性智 轉 第六意識 為 妙觀察智 轉 前 五 識 為 成 
X72n1441_001:0679c18	所作智。識智本無二體。但有迷悟之殊。眾生用識。菩	所 作 智 識 智 本 無 二 體 但 有 迷 悟 之 殊 眾 生 用 識 菩 
X72n1441_001:0679c19	薩用智。涅槃經四依品中。令依智不依識者。正令其	薩 用 智 涅 槃 經 四 依 品 中 令 依智不依識 者 正 令 其 
X72n1441_001:0679c20	轉之之功也。	轉 之 之 功 也 
X72n1441_001:0679c21	師曰。眾生無始以來。昧却靈明廣大自性。妄認四大	師 曰 眾 生 無 始 以 來 昧 却 靈 明 廣 大 自 性 妄 認 四 大 
X72n1441_001:0679c22	為身。見聞覺知為心。楞嚴所謂。譬如百千澄清大海	為 身 見聞覺知 為 心 楞 嚴 所 謂 譬 如 百 千 澄 清 大 海 
X72n1441_001:0679c23	棄之。唯認一浮漚。目為全潮。窮盡瀛渤。名為可憐憫	棄 之 唯 認 一 浮 漚 目 為 全 潮 窮 盡 瀛 渤 名 為 可 憐 憫 
X72n1441_001:0679c24	者。夫四大者。無過一髑髏耳。雖行坐去來。語言音響	者 夫 四 大 者 無 過 一 髑 髏 耳 雖 行 坐 去 來 語 言 音 響 
X72n1441_001:0680a01	猶如機關木人。線斷即休。見聞覺知者。無過一六塵	猶 如 機 關 木 人 線 斷 即 休 見聞覺知 者 無 過 一 六 塵 
X72n1441_001:0680a02	緣影耳。雖聞聲見色。昭昭靈靈。猶如水中之月。旋即	緣 影 耳 雖 聞 聲 見 色 昭 昭 靈 靈 猶 如 水 中 之 月 旋 即 
X72n1441_001:0680a03	蕩漾。目因業受身。身還造業。從心起境。境復生心。轇	蕩 漾 目 因 業 受 身 身 還 造 業 從 心 起 境 境 復 生 心 轇 
X72n1441_001:0680a04	轕纏綿。無由得出。華嚴經云。此諸凡夫。愚痴無智。甚	轕 纏 綿 無 由 得 出 華 嚴 經 云 此 諸 凡 夫 愚 痴 無 智 甚 
X72n1441_001:0680a05	為可愍。有無數身。已滅。今滅。當滅。如是盡滅。不能於	為 可 愍 有 無 數 身 已 滅 今 滅 當 滅 如 是 盡 滅 不 能 於 
X72n1441_001:0680a06	身而生厭想。轉更增長機關苦事。隨生死流。不能還	身 而 生 厭 想 轉 更 增 長 機 關 苦 事 隨 生 死 流 不 能 還 
X72n1441_001:0680a07	反。於諸蘊宅不求出離。不知憂畏四大毒蛇。不能拔	反 於 諸 蘊 宅 不 求 出 離 不 知 憂 畏 四 大 毒 蛇 不 能 拔 
X72n1441_001:0680a08	出諸慢見箭。不能息滅貪恚痴火。不能破壞無明黑	出 諸 慢 見 箭 不 能 息 滅 貪 恚 痴 火 不 能 破 壞 無 明 黑 
X72n1441_001:0680a09	暗。不能乾竭愛欲大海。不求十力大聖導師。入魔意	暗 不 能 乾 竭 愛 欲 大 海 不 求 十 力 大 聖 導 師 入 魔 意 
X72n1441_001:0680a10	稠林。於生死海中。為覺觀波濤之所漂溺。此諸眾生。	稠 林 於 生 死 海 中 為 覺 觀 波 濤 之 所 漂 溺 此 諸 眾 生 
X72n1441_001:0680a11	受如是苦。孤窮困迫。無捄無依。無洲無舍。無隳無目。	受 如 是 苦 孤 窮 困 迫 無 捄 無 依 無 洲 無 舍 無 隳 無 目 
X72n1441_001:0680a12	無明覆翳。黑暗纏裹我今為彼一切眾生。修行福智	無 明 覆 翳 黑 暗 纏 裹 我 今 為 彼 一 切 眾 生 修 行 福 智 
X72n1441_001:0680a13	助道之法。獨一發心。不求伴侶。以是功德。令諸眾生。	助 道 之 法 獨 一 發 心 不 求 伴 侶 以 是 功 德 令 諸 眾 生 
X72n1441_001:0680a14	畢竟清淨。乃至獲得如來十力無礙智慧。今菩薩發	畢 竟 清 淨 乃 至 獲 得 如來十力 無 礙 智 慧 今 菩 薩 發 
X72n1441_001:0680a15	心欲度眾生。先令看破此身。身見既破。則心見不破	心 欲 度 眾 生 先 令 看 破 此 身 身 見 既 破 則 心 見 不 破 
X72n1441_001:0680a16	而自破矣。昔有人獨宿空亭。至中夜。見一鬼持髑髏	而 自 破 矣 昔 有 人 獨 宿 空 亭 至 中 夜 見 一 鬼 持 髑 髏 
X72n1441_001:0680a17	至。後一鬼隨來。二鬼各爭。謂是我屍。爭之不已。遂問	至 後 一 鬼 隨 來 二 鬼 各 爭 謂 是 我 屍 爭 之 不 已 遂 問 
X72n1441_001:0680a18	人曰。此尸是誰持來。其人思惟。二鬼凶惡。不若實言。	人 曰 此 尸 是 誰 持 來 其 人 思 惟 二 鬼 凶 惡 不 若 實 言 
X72n1441_001:0680a19	遂指前鬼曰。是彼持來。後鬼大怒。遂拔其人一手食	遂 指 前 鬼 曰 是 彼 持 來 後 鬼 大 怒 遂 拔 其 人 一 手 食 
X72n1441_001:0680a20	之。前鬼曰。是吾累汝。遂拔尸一手補之。通身拔食既	之 前 鬼 曰 是 吾 累 汝 遂 拔 尸 一 手 補 之 通 身 拔 食 既 
X72n1441_001:0680a21	盡。乃舉手拭口而去。前鬼一一以尸補之。天明其人	盡 乃 舉 手 拭 口 而 去 前 鬼 一 一 以 尸 補 之 天 明 其 人 
X72n1441_001:0680a22	心中狂亂。乃至祇陀林。見諸比丘問曰。我有身否。由	心 中 狂 亂 乃 至 祇 陀 林 見 諸 比 丘 問 曰 我 有 身 否 由 
X72n1441_001:0680a23	一僧房。至一僧房。皆如是問。有尊者曰。此人知無身。	一 僧 房 至 一 僧 房 皆 如 是 問 有 尊 者 曰 此 人 知 無 身 
X72n1441_001:0680a24	可以度矣。遂謂之曰汝本無身。乃假借四大以為身。	可 以 度 矣 遂 謂 之 曰 汝 本 無 身 乃 假 借 四 大 以 為 身 
X72n1441_001:0680b01	耳其人大悟。證阿羅漢果。	耳 其 人 大 悟 證 阿羅漢果 
X72n1441_001:0680b02	陳蔚公居士曰。維天之命。於穆不已。此天命之本體	陳 蔚 公 居 士 曰 維 天 之 命 於 穆 不 已 此 天 命 之 本 體 
X72n1441_001:0680b03	也。天命之謂性。此天命之流行及物也。師曰。此亦一	也 天 命 之 謂 性 此 天 命 之 流 行 及 物 也 師 曰 此 亦 一 
X72n1441_001:0680b04	說也。但性字似說得淺了。愚謂天命二字。即本詩維	說 也 但 性 字 似 說 得 淺 了 愚 謂 天 命 二 字 即 本 詩 維 
X72n1441_001:0680b05	天之命於穆不已而來。於穆謂天。不已謂命。之謂性	天 之 命 於 穆 不 已 而 來 於 穆 謂 天 不 已 謂 命 之 謂 性 
X72n1441_001:0680b06	三字。乃子思子註脚之詞。謂天命。即凡聖共有之玅	三 字 乃 子 思 子 註 脚 之 詞 謂 天 命 即 凡 聖 共 有 之 玅 
X72n1441_001:0680b07	性也眾人與聖賢。皆同此一性。但眾人背之而妄行。	性 也 眾 人 與 聖 賢 皆 同 此 一 性 但 眾 人 背 之 而 妄 行 
X72n1441_001:0680b08	日用不知。聖賢盡之而還源。循性起用。若能依道修	日 用 不 知 聖 賢 盡 之 而 還 源 循 性 起 用 若 能 依 道 修 
X72n1441_001:0680b09	習。忘情合性。則眾人亦可以至於聖賢也。	習 忘 情 合 性 則 眾 人 亦 可 以 至 於 聖 賢 也 
X72n1441_001:0680b10	蔚公居士曰。周子主靜。程朱主敬。此超凡作聖要訣	蔚 公 居 士 曰 周 子 主 靜 程 朱 主 敬 此 超 凡 作 聖 要 訣 
X72n1441_001:0680b11	云云。師曰。靜敬孔門玅諦也。宋儒拈出示人。極力發	云 云 師 曰 靜 敬 孔 門 玅 諦 也 宋 儒 拈 出 示 人 極 力 發 
X72n1441_001:0680b12	揮。最為親切。即釋氏入道之方。亦豈能外此。若更明	揮 最 為 親 切 即 釋 氏 入 道 之 方 亦 豈 能 外 此 若 更 明 
X72n1441_001:0680b13	得靜敬之本體。如伐樹得根。灸病得穴。皆可應手而	得 靜 敬 之 本 體 如 伐 樹 得 根 灸 病 得 穴 皆 可 應 手 而 
X72n1441_001:0680b14	驗矣。古云。學佛始知儒。此語豈欺人哉。但今初學佛	驗 矣 古 云 學 佛 始 知 儒 此 語 豈 欺 人 哉 但 今 初 學 佛 
X72n1441_001:0680b15	法。且從一門深入。不必一一配合。若果於佛法深生	法 且 從 一 門 深 入 不 必 一 一 配 合 若 果 於 佛 法 深 生 
X72n1441_001:0680b16	正信。子細研窮。豁然貫通。則不獨靜敬與佛法合。凡	正 信 子 細 研 窮 豁 然 貫 通 則 不 獨 靜 敬 與 佛 法 合 凡 
X72n1441_001:0680b17	四書五經中。無一句一字。不是佛法中第一義諦也。	四 書 五 經 中 無 一 句 一 字 不 是 佛 法 中 第一義諦 也 
X72n1441_001:0680b18	答程墨庵居士三問	答 程 墨 庵 居 士 三 問 
X72n1441_001:0680b19	一問曰。文殊師利菩薩言。脩行菩薩。割截身髮。染色	一 問 曰 文 殊 師 利 菩 薩 言 脩 行 菩 薩 割 截 身 髮 染 色 
X72n1441_001:0680b20	袈裟。不應如是出家。割截煩惱。除一切眾生貪嗔癡	袈 裟 不 應 如 是 出 家 割 截 煩 惱 除 一 切 眾 生 貪 嗔 癡 
X72n1441_001:0680b21	色。則名為出家。具足梵行。獨住寂靜。不應如是出家。	色 則 名 為 出 家 具 足 梵 行 獨 住 寂 靜 不 應 如 是 出 家 
X72n1441_001:0680b22	攝惡眾生。令住智慧。則名為出家。自樂精進。意求涅	攝 惡 眾 生 令 住 智 慧 則 名 為 出 家 自 樂 精 進 意 求 涅 
X72n1441_001:0680b23	槃。不應如是出家。勸化眾生。先為一切眾生。堅心求	槃 不 應 如 是 出 家 勸 化 眾 生 先 為 一 切 眾 生 堅 心 求 
X72n1441_001:0680b24	涅槃趣路。則名為出家。洵如是言。在家出家。有何分	涅 槃 趣 路 則 名 為 出 家 洵 如 是 言 在家出家 有 何 分 
X72n1441_001:0680c01	別。世尊必以剃度為制。其間差別。當在何處。又世尊	別 世 尊 必 以 剃 度 為 制 其 間 差 別 當 在 何 處 又 世 尊 
X72n1441_001:0680c02	言。一切天梵王臣婆羅門眾。俱可同住。唯聲聞緣覺。	言 一 切 天 梵 王 臣 婆 羅 門 眾 俱 可 同 住 唯 聲 聞 緣 覺 
X72n1441_001:0680c03	非真善知識。不可與同往。吾輩出家。當從事何人。師	非 真 善 知 識 不 可 與 同 往 吾 輩 出 家 當 從 事 何 人 師 
X72n1441_001:0680c04	答曰。二乘出世論其迹。故以割截身髮染色袈裟為	答 曰 二 乘 出 世 論 其 迹 故 以 割 截 身 髮 染 色 袈 裟 為 
X72n1441_001:0680c05	出家菩薩入世論其心。故以割截煩惱除一切眾生	出 家 菩 薩 入 世 論 其 心 故 以 割 截 煩 惱 除 一 切 眾 生 
X72n1441_001:0680c06	貪嗔痴色為出家。若得其心。則割髮畜髮。在家出家。	貪 嗔 痴 色 為 出 家 若 得 其 心 則 割 髮 畜 髮 在家出家 
X72n1441_001:0680c07	無可不可。苟滯於迹。則非獨割截身髮染色袈裟非	無 可 不 可 苟 滯 於 迹 則 非 獨 割 截 身 髮 染 色 袈 裟 非 
X72n1441_001:0680c08	是出家。即執割截煩惱之言。而忽夫割髮染衣之制。	是 出 家 即 執 割 截 煩 惱 之 言 而 忽 夫 割 髮 染 衣 之 制 
X72n1441_001:0680c09	亦非真出家矣。二乘志于自利。故以具足戒行獨住	亦 非 真 出 家 矣 二 乘 志 于 自 利 故 以 具 足 戒 行 獨 住 
X72n1441_001:0680c10	寂靜意求涅槃等為出家。菩薩志于利他。故以攝惡	寂 靜 意 求 涅 槃 等 為 出 家 菩 薩 志 于 利 他 故 以 攝 惡 
X72n1441_001:0680c11	眾生令住。智慧。乃至先為一切眾生求涅槃路等為	眾 生 令 住 智 慧 乃 至 先 為 一 切 眾 生 求 涅 槃 路 等 為 
X72n1441_001:0680c12	出家。若果發大乘心。自未得度。先度眾生。其利他之	出 家 若 果 發大乘心 自 未 得 度 先 度 眾 生 其 利 他 之 
X72n1441_001:0680c13	功。即是自利也。至云。一切天梵王臣婆羅門眾俱可	功 即 是 自 利 也 至 云 一 切 天 梵 王 臣 婆 羅 門 眾 俱 可 
X72n1441_001:0680c14	同住者。以凡夫識性無定。尚可發心。所謂卑濕污泥。	同 住 者 以 凡 夫 識 性 無 定 尚 可 發 心 所 謂 卑 濕 污 泥 
X72n1441_001:0680c15	乃生蓮花。是也。唯聲聞緣覺非真善知識不可與同	乃 生 蓮 花 是 也 唯 聲 聞 緣 覺 非 真 善 知 識 不 可 與 同 
X72n1441_001:0680c16	住者。以二乘定性。不能發心。所謂高原陸地。不生蓮	住 者 以 二 乘 定 性 不 能 發 心 所 謂 高 原 陸 地 不 生 蓮 
X72n1441_001:0680c17	花。是也。故法華不許親近二乘。而梵網有背大向小。	花 是 也 故 法 華 不 許 親 近 二 乘 而 梵 網 有 背 大 向 小 
X72n1441_001:0680c18	及暫念小乘之戒。正恐親狎既久。染其二乘狹劣之	及 暫 念 小 乘 之 戒 正 恐 親 狎 既 久 染 其 二 乘 狹 劣 之 
X72n1441_001:0680c19	習也。	習 也 
X72n1441_001:0680c20	二問曰。貪嗔痴三毒雜心。真可怖畏。而菩薩貪取大	二 問 曰 貪 嗔 痴 三 毒 雜 心 真 可 怖 畏 而 菩 薩 貪 取 大 
X72n1441_001:0680c21	乘亦貪。忿怒不修亦嗔。百劫千生欲化難化亦痴。豈	乘 亦 貪 忿 怒 不 修 亦 嗔 百 劫 千 生 欲 化 難 化 亦 痴 豈 
X72n1441_001:0680c22	三毒于菩薩。分中不為毒耶。然此三者。罪垢何輕何	三 毒 于 菩 薩 分 中 不 為 毒 耶 然 此 三 者 罪 垢 何 輕 何 
X72n1441_001:0680c23	重。何後何先。何可犯。何不可犯。何能去。何不能去。貪	重 何 後 何 先 何 可 犯 何 不 可 犯 何 能 去 何 不 能 去 貪 
X72n1441_001:0680c24	生于慾。慾淡則滅。嗔生于忿。忿熾則增。痴秉于性。性	生 于 慾 慾 淡 則 滅 嗔 生 于 忿 忿 熾 則 增 痴 秉 于 性 性 
X72n1441_001:0681a01	愚則固。欲修行人。情可去而性不可強。將如之何。師	愚 則 固 欲 修 行 人 情 可 去 而 性 不 可 強 將 如 之 何 師 
X72n1441_001:0681a02	答曰。眾生三毒根于情識。而菩薩三毒發於智悲。較	答 曰 眾 生 三 毒 根 于 情 識 而 菩 薩 三 毒 發 於 智 悲 較 
X72n1441_001:0681a03	之以實際理地。不立一塵。則智悲亦名為毒矣。較之	之 以 實 際 理 地 不 立 一 塵 則 智 悲 亦 名 為 毒 矣 較 之 
X72n1441_001:0681a04	以情識。則相去霄壤。[(厂@((既旡)日+口))*頁]可同日而語哉。至謂情可去	以 情 識 則 相 去 霄 壤 [厂既旡日口頁] 可 同 日 而 語 哉 至 謂 情 可 去 
X72n1441_001:0681a05	而性不可強者。乃稟賦習性。非真性也。以真性離念。	而 性 不 可 強 者 乃 稟 賦 習 性 非 真 性 也 以 真 性 離 念 
X72n1441_001:0681a06	本來清淨。智悲且不可得。況情識乎。未見真性而謂	本 來 清 淨 智 悲 且 不 可 得 況 情 識 乎 未 見 真 性 而 謂 
