X26n0545_001:0836a03	心經槩論	心 經 槩 論 
X26n0545_001:0840c05	返照此空中之空也。既知返照此空中之空也。豈不	返 照 此 空 中 之 空 也 既 知 返 照 此 空 中 之 空 也 豈 不 
X26n0545_001:0840c06	勝前之空。而有空相者乎。而空門者流。其可不知所	勝 前 之 空 而 有 空 相 者 乎 而 空 門 者 流 其 可 不 知 所 
X26n0545_001:0840c07	以返照以入門。而妄為從空以背空耶。	以 返 照 以 入 門 而 妄 為 從 空 以 背 空 耶 
X26n0545_001:0840c08	何生問曰。三祖。返照之照。與心經照見之照。有不同	何 生 問 曰 三 祖 返 照 之 照 與 心 經 照 見 之 照 有 不 同 
X26n0545_001:0840c09	與。林子曰。返照之照。觀自在之觀也。故照見也者。以	與 林 子 曰 返 照 之 照 觀 自 在 之 觀 也 故 照 見 也 者 以 
X26n0545_001:0840c10	既到彼岸。而照見此彼岸中。五蘊皆空也。而返照也	既 到 彼 岸 而 照 見 此 彼 岸 中 五 蘊 皆 空 也 而 返 照 也 
X26n0545_001:0840c11	者。以未到彼岸。而反觀內照。欲以見性也。	者 以 未 到 彼 岸 而 反 觀 內 照 欲 以 見 性 也 
X26n0545_001:0840c12	壇經曰。離迷離覺。常生般若。除真除妄。即見佛性。余	壇 經 曰 離 迷 離 覺 常 生 般 若 除 真 除 妄 即 見 佛 性 余 
X26n0545_001:0840c13	於是而知離迷而覺。覺即是迷。除妄而真。真即是妄。	於 是 而 知 離 迷 而 覺 覺 即 是 迷 除 妄 而 真 真 即 是 妄 
X26n0545_001:0840c14	故覺迷不二。真妄平等。此又欲見性者之所當知也。	故 覺 迷 不 二 真 妄 平 等 此 又 欲 見 性 者 之 所 當 知 也 
X26n0545_001:0840c15	昔者世尊因有外道問。不問有言。不問無言。世尊良	昔 者 世 尊 因 有 外 道 問 不 問 有 言 不 問 無 言 世 尊 良 
X26n0545_001:0840c16	久。外道讚歎曰。世尊大慈大悲。開我迷雲。令我得入。	久 外 道 讚 歎 曰 世 尊 大慈大悲 開 我 迷 雲 令 我 得 入 
X26n0545_001:0840c17	乃作禮而去。世尊謂之良馬見鞭影而行。其曰世尊	乃 作 禮 而 去 世 尊 謂 之 良 馬 見 鞭 影 而 行 其 曰 世 尊 
X26n0545_001:0840c18	良久者。非六祖所謂不思善。不思惡。本來之面目耶。	良 久 者 非 六 祖 所 謂 不 思 善 不 思 惡 本 來 之 面 目 耶 
X26n0545_001:0840c19	而余所謂色空之不到處者此也。故知此者謂之門	而 余 所 謂 色 空 之 不 到 處 者 此 也 故 知 此 者 謂 之 門 
X26n0545_001:0840c20	內。迷此者謂之外道。	內 迷 此 者 謂 之 外 道 
X26n0545_001:0840c21	林子曰。余之所謂實地者。乃釋氏之所謂明心之心。	林 子 曰 余 之 所 謂 實 地 者 乃 釋 氏 之 所 謂 明 心 之 心 
X26n0545_001:0840c22	心是地也。余之所謂真心者。乃釋氏之所謂見性之	心 是 地 也 余 之 所 謂 真 心 者 乃 釋 氏 之 所 謂 見 性 之 
X26n0545_001:0840c23	性。性是王也。如或不能明心之地。而又安能見性之	性 性 是 王 也 如 或 不 能 明 心 之 地 而 又 安 能 見 性 之 
X26n0545_001:0840c24	王耶。然心性一也。而真心之所在處。即名之為心。故	王 耶 然 心 性 一 也 而 真 心 之 所 在 處 即 名 之 為 心 故 
X26n0545_001:0841a01	曰心是地也。孔子曰中心安仁。而心亦以地言之。其	曰 心 是 地 也 孔 子 曰 中 心 安 仁 而 心 亦 以 地 言 之 其 
X26n0545_001:0841a02	曰中心者。猶言所謂中央者。地也。余曾考二氏之典。	曰 中 心 者 猶 言 所 謂 中 央 者 地 也 余 曾 考 二 氏 之 典 
X26n0545_001:0841a03	而附之鄙見。故以其心性而對言之。心之未萌之謂	而 附 之 鄙 見 故 以 其 心 性 而 對 言 之 心 之 未 萌 之 謂 
X26n0545_001:0841a04	性。性之既萌之謂心。若專以其性言之。有天命之性。	性 性 之 既 萌 之 謂 心 若 專 以 其 性 言 之 有 天 命 之 性 
X26n0545_001:0841a05	有氣質之性。又專以其心言之。有五行之心。有中之	有 氣 質 之 性 又 專 以 其 心 言 之 有 五 行 之 心 有 中 之 
X26n0545_001:0841a06	心。阮生問曰。先生嘗言心與天地孰大。曰心大。而載	心 阮 生 問 曰 先 生 嘗 言 心 與 天 地 孰 大 曰 心 大 而 載 
X26n0545_001:0841a07	之心性教言。此又何心也。林子曰。此乃所謂無方無	之 心 性 教 言 此 又 何 心 也 林 子 曰 此 乃 所 謂 無 方 無 
X26n0545_001:0841a08	體之真心者。真心是性真性。是心。而徧滿於虗空界。	體 之 真 心 者 真 心 是 性 真 性 是 心 而 徧 滿 於 虗 空 界 
X26n0545_001:0841a09	無乎其不包矣。然而虗空其有界乎。其無界乎。其可	無 乎 其 不 包 矣 然 而 虗 空 其 有 界 乎 其 無 界 乎 其 可 
X26n0545_001:0841a10	得而界之乎。其不可得而界之乎。而親到彼岸者。當	得 而 界 之 乎 其 不 可 得 而 界 之 乎 而 親 到 彼 岸 者 當 
X26n0545_001:0841a11	自知之。故見性者。見此而已矣。入頓者。入此而已矣。	自 知 之 故 見 性 者 見 此 而 已 矣 入 頓 者 入 此 而 已 矣 
X26n0545_001:0841a13	心經槩論(終)	心 經 槩 論 終 
