T39n1789_001:0343a04	欽錄	欽 錄 
T39n1789_002:0372a13	法以是為首。非性非自在。非無因非微塵非	法 以 是 為 首 非 性 非 自 在 非 無 因 非 微 塵 非 
T39n1789_002:0372a14	時。非自性相續。而為說法。復次大慧。為淨煩	時 非 自 性 相 續 而 為 說 法 復 次 大 慧 為 淨 煩 
T39n1789_002:0372a15	惱爾焰障故。譬如商主。次第建立百八句無	惱 爾 焰 障 故 譬 如 商 主 次 第 建 立 百 八 句 無 
T39n1789_002:0372a16	所有。善分別諸乘及諸地相　此段通示說	所 有 善 分 別 諸 乘 及 諸 地 相 此 段 通 示 說 
T39n1789_002:0372a17	法軌儀。蓋如來說法常依二諦故也。如云離	法 軌 儀 蓋 如 來 說 法 常 依 二 諦 故 也 如 云 離 
T39n1789_002:0372a18	句絕非。則真諦不可說也。又云離四句已無	句 絕 非 則 真 諦 不 可 說 也 又 云 離 四 句 已 無 
T39n1789_002:0372a19	妨四說。則俗諦可說也。即涅槃經中。四不可	妨 四 說 則 俗 諦 可 說 也 即 涅 槃 經 中 四 不 可 
T39n1789_002:0372a20	說。有因緣故亦可得說是也。言善分別結集	說 有因緣故 亦 可 得 說 是 也 言 善 分 別 結 集 
T39n1789_002:0372a21	者。上明一異等四句皆外道邪見。即是結集。	者 上 明 一 異 等 四 句 皆 外道邪見 即 是 結 集 
T39n1789_002:0372a22	由是流轉生死之苦。能善分別即妄顯真。非	由 是 流轉生死 之 苦 能 善 分 別 即 妄 顯 真 非 
T39n1789_002:0372a23	妄外別有。故云真諦緣起。若能慕滅修道。即	妄 外 別 有 故 云 真 諦 緣 起 若 能 慕 滅 修 道 即 
T39n1789_002:0372a24	得一切解脫。解脫即不思議俗諦。此之二諦。	得 一 切 解 脫 解 脫 即 不 思 議 俗 諦 此 之 二 諦 
T39n1789_002:0372a25	不二而二。二而不二者也。如來證此二諦。即	不 二 而 二 二 而 不 二 者 也 如 來 證 此 二 諦 即 
T39n1789_002:0372a26	以自行而用化他。故云以是為首。非性等非	以 自 行 而 用 化 他 故 云 以 是 為 首 非 性 等 非 
T39n1789_002:0372a27	外道所計勝性。非自在天等邪無因緣為人	外 道 所 計 勝 性 非 自 在 天 等 邪 無 因 緣 為 人 
T39n1789_002:0372a28	說法也。既又告云。為淨煩惱爾焰障故。煩惱	說 法 也 既 又 告 云 為 淨 煩 惱 爾 焰 障 故 煩 惱 
T39n1789_002:0372a29	即惑障。爾焰即智障。淨此二障次第可入百	即 惑 障 爾 焰 即 智 障 淨 此 二 障 次 第 可 入 百 
T39n1789_002:0372b01	八句無相法中。至於分別諸乘及諸地相。無	八 句 無 相 法 中 至 於 分 別 諸 乘 及 諸 地 相 無 
T39n1789_002:0372b02	不皆善。如來如是善導。猶如商主之導眾商	不 皆 善 如 來 如 是 善 導 猶 如 商 主 之 導 眾 商 
T39n1789_002:0372b03	人也。	人 也 
T39n1789_002:0372b04	復次大慧。有四種禪。云何為四。謂愚夫所行	復 次 大 慧 有 四 種 禪 云 何 為 四 謂 愚 夫 所 行 
T39n1789_002:0372b05	禪。觀察義禪攀緣如禪。如來禪　上明離惑	禪 觀察義禪 攀 緣 如 禪 如 來 禪 上 明 離 惑 
T39n1789_002:0372b06	智二障。能入如來所證法門。然非首楞嚴定。	智 二 障 能 入 如 來 所 證 法 門 然 非 首 楞 嚴 定 
T39n1789_002:0372b07	莫能造詣故。又明四種禪定。蓋非淺無以明	莫 能 造 詣 故 又 明 四 種 禪 定 蓋 非 淺 無 以 明 
T39n1789_002:0372b08	深故。兼三種言之。	深 故 兼 三 種 言 之 
T39n1789_002:0372b09	云何愚夫所行禪。謂聲聞緣覺外道修行者。	云 何 愚夫所行禪 謂 聲 聞 緣 覺 外 道 修 行 者 
T39n1789_002:0372b10	觀人無我性。自相共相骨瑣無常苦不淨相。	觀 人 無 我 性 自相共相 骨 瑣 無 常 苦 不 淨 相 
T39n1789_002:0372b11	計著為首。如是相不異觀。前後轉進相不除	計 著 為 首 如 是 相 不 異 觀 前 後 轉 進 相 不 除 
T39n1789_002:0372b12	滅。是名愚夫所行禪　愚夫禪。言二乘外道	滅 是 名 愚夫所行禪 愚 夫 禪 言 二乘外道 
T39n1789_002:0372b13	修者。以其所觀人無我性。不能了自心量所	修 者 以 其 所 觀 人 無 我 性 不 能 了 自 心 量 所 
T39n1789_002:0372b14	現自相共相性空。併以愚夫目之。骨瑣者。即	現 自相共相 性 空 併 以 愚 夫 目 之 骨 瑣 者 即 
T39n1789_002:0372b15	小乘所觀自他身骨瑣相連。皆是無常苦不	小 乘 所 觀 自 他 身 骨 瑣 相 連 皆 是 無 常 苦 不 
T39n1789_002:0372b16	淨相。對治計著此觀為首。言相不異觀者。謂	淨 相 對 治 計 著 此 觀 為 首 言 相 不 異 觀 者 謂 
T39n1789_002:0372b17	定中見相與觀不異。此觀成之相也。雖次第	定 中 見 相 與 觀 不 異 此 觀 成 之 相 也 雖 次 第 
T39n1789_002:0372b18	增進至無想定。然不離相。是名愚夫禪也。	增 進 至 無 想 定 然 不 離 相 是 名 愚 夫 禪 也 
T39n1789_002:0372b19	云何觀察義禪。謂人無我自相共相。外道自	云 何 觀察義禪 謂 人 無 我 自相共相 外 道 自 
T39n1789_002:0372b20	他俱無性已。觀法無我。彼地相義漸次增進。	他 俱 無 性 已 觀法無我 彼 地 相 義 漸 次 增 進 
T39n1789_002:0372b21	是名觀察義禪　觀察義禪。是偏教菩薩所	是 名 觀察義禪 觀察義禪 是 偏 教 菩 薩 所 
T39n1789_002:0372b22	修者。謂人我等疊前所離也。外道自他等者。	修 者 謂 人 我 等 疊 前 所 離 也 外 道 自 他 等 者 
T39n1789_002:0372b23	入楞伽云。亦離外道自他俱性。於法無我諸	入 楞 伽 云 亦 離 外 道 自 他 俱 性 於 法 無 我 諸 
T39n1789_002:0372b24	地相義。一一隨順觀察也。	地 相 義 一 一 隨 順 觀 察 也 
T39n1789_002:0372b25	云何攀緣如禪。謂妄想二無我妄想。如實處	云 何 攀 緣 如 禪 謂 妄 想 二 無 我 妄 想 如 實 處 
T39n1789_002:0372b26	不生妄想。是名攀緣如禪　攀緣如禪。是頓	不 生 妄 想 是 名 攀 緣 如 禪 攀 緣 如 禪 是 頓 
T39n1789_002:0372b27	教菩薩所修者。入楞伽謂緣真如禪。緣即觀	教 菩 薩 所 修 者 入 楞 伽 謂 緣 真 如 禪 緣 即 觀 
T39n1789_002:0372b28	也。真如即理。謂觀理將除妄想。妄想者乃人	也 真 如 即 理 謂 觀 理 將 除 妄 想 妄 想 者 乃 人 
T39n1789_002:0372b29	法二執。二無我者。空二執之觀也。若但分別。	法 二 執 二 無 我 者 空 二 執 之 觀 也 若 但 分 別 
T39n1789_002:0372c01	心存取捨是為妄想。若了二執當體即空。無	心 存 取 捨 是 為 妄 想 若 了 二 執 當 體 即 空 無 
T39n1789_002:0372c02	所待對。是為如實處不生妄想也。	所 待 對 是 為 如 實 處 不 生 妄 想 也 
T39n1789_002:0372c03	云何如來禪。謂入如來地。得自覺聖智相三	云 何 如 來 禪 謂 入如來地 得 自覺聖智 相 三 
T39n1789_002:0372c04	種樂住。成辦眾生不思議事。是名如來禪	種 樂 住 成 辦 眾 生 不 思 議 事 是 名 如 來 禪 
T39n1789_002:0372c05	　如來禪者。即首楞嚴定。修此禪定登妙覺地。	 如 來 禪 者 即 首 楞 嚴 定 修 此 禪 定 登 妙 覺 地 
T39n1789_002:0372c06	究竟自覺聖智。三種樂住者。佛以首楞嚴定。	究 竟 自覺聖智 三 種 樂 住 者 佛 以 首 楞 嚴 定 
T39n1789_002:0372c07	為能住之法。常寂光土為所住之處。常寂光	為 能 住 之 法 常 寂 光 土 為 所 住 之 處 常 寂 光 
T39n1789_002:0372c08	即三德涅槃也。三種樂住其在茲乎。不思議	即 三 德 涅 槃 也 三 種 樂 住 其 在 茲 乎 不 思 議 
T39n1789_002:0372c09	事者。是無作妙用。謂全體起用成就眾生也。	事 者 是 無 作 妙 用 謂 全 體 起 用 成 就 眾 生 也 
T39n1789_002:0372c10	爾時世尊欲重宣此義而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
T39n1789_002:0372c11	　愚夫所行禪　　觀察相義禪	 愚夫所行禪 觀 察 相 義 禪 
T39n1789_002:0372c12	　攀緣如實禪　　如來清淨禪	 攀 緣 如 實 禪 如 來 清 淨 禪 
T39n1789_002:0372c13	　譬如日月形　　鉢頭摩深險	 譬 如 日 月 形 鉢 頭 摩 深 險 
T39n1789_002:0372c14	　如虛空火盡　　修行者觀察	 如 虛 空 火 盡 修 行 者 觀 察 
T39n1789_002:0372c15	　如是種種相　　外道道通禪	 如 是 種 種 相 外 道 道 通 禪 
T39n1789_002:0372c16	　亦復墮聲聞　　及緣覺境界	 亦 復 墮 聲 聞 及 緣 覺 境 界 
T39n1789_002:0372c17	　捨離彼一切　　是則無所有	 捨 離 彼 一 切 是 則 無 所 有 
T39n1789_002:0372c18	　一切剎諸佛　　以不思議手	 一 切 剎 諸 佛 以 不 思 議 手 
T39n1789_002:0372c19	　一時摩其頂　　隨順入如相	 一 時 摩 其 頂 隨 順 入 如 相 
T39n1789_002:0372c20	譬如日月等。出諸禪相以示得失。謂於定	譬 如 日 月 等 出 諸 禪 相 以 示 得 失 謂 於 定 
T39n1789_002:0372c21	中或見如日月形。或見鉢頭摩。此云紅蓮華。	中 或 見 如 日 月 形 或 見 鉢 頭 摩 此 云 紅 蓮 華 
T39n1789_002:0372c22	或見海有深險之狀。或如虛空或如火盡盡	或 見 海 有 深 險 之 狀 或 如 虛 空 或 如 火 盡 盡 
T39n1789_002:0372c23	或作燼。凡修觀者見此種種相現不應取著。	或 作 燼 凡 修 觀 者 見 此 種 種 相 現 不 應 取 著 
T39n1789_002:0372c24	著則墮於外道邪禪。及落二乘境界。當善觀	著 則 墮 於 外 道 邪 禪 及 落 二 乘 境 界 當 善 觀 
T39n1789_002:0372c25	察悉須捨離。不見有一法可得。則無所有可	察 悉 須 捨 離 不 見 有 一 法 可 得 則 無 所 有 可 
T39n1789_002:0372c26	入。如來禪也。	入 如 來 禪 也 
T39n1789_002:0372c27	爾時大慧菩薩摩訶薩。復白佛言。世尊。般涅	爾 時 大 慧 菩薩摩訶薩 復 白 佛 言 世 尊 般 涅 
T39n1789_002:0372c28	槃者說何等法。謂為涅槃　涅槃有三。謂外	槃 者 說 何 等 法 謂 為 涅 槃 涅 槃 有 三 謂 外 
T39n1789_002:0372c29	道妄計涅槃。二乘取證涅槃。如來究竟涅槃。	道 妄 計 涅 槃 二 乘 取 證 涅 槃 如 來 究竟涅槃 
T39n1789_002:0373a01	此三涅槃名雖同而實大異。苟不以法而正	此 三 涅 槃 名 雖 同 而 實 大 異 苟 不 以 法 而 正 
T39n1789_002:0373a02	其名。則如來藏與凡小混。不可不辯故此	其 名 則 如 來 藏 與 凡 小 混 不 可 不 辯 故 此 
T39n1789_002:0373a03	致問。	致 問 
T39n1789_002:0373a04	佛告大慧。一切自性習氣。藏意意識見習轉	佛 告 大 慧 一 切 自 性 習 氣 藏 意 意 識 見 習 轉 
T39n1789_002:0373a05	變。名為涅槃。諸佛及我涅槃。自性空事境界	變 名 為 涅 槃 諸 佛 及 我 涅 槃 自 性 空 事 境 界 
T39n1789_002:0373a06	　一切自性習氣者。入楞伽云。一切識自性	 一 切 自 性 習 氣 者 入 楞 伽 云 一 切 識 自 性 
T39n1789_002:0373a07	習氣也。即一切眾生心識性執熏習氣分。藏	習 氣 也 即 一 切 眾 生 心 識 性 執 熏 習 氣 分 藏 
T39n1789_002:0373a08	意意識者。即藏識與事識。此言自心也。皆言	意 意 識 者 即 藏 識 與 事 識 此 言 自 心 也 皆 言 
T39n1789_002:0373a09	習者。由無始愛見妄想熏習故也。轉變者。謂	習 者 由 無 始 愛 見 妄 想 熏 習 故 也 轉 變 者 謂 
T39n1789_002:0373a10	轉藏識事識。為自覺聖智境界。名為涅槃。然	轉 藏 識 事 識 為 自覺聖智 境 界 名 為 涅 槃 然 
T39n1789_002:0373a11	一切眾生即涅槃相。何轉變之有。所謂名轉	一 切 眾 生 即 涅 槃 相 何 轉 變 之 有 所 謂 名 轉 
T39n1789_002:0373a12	而體不轉也。諸佛及我者。佛謂此究竟涅槃。	而 體 不 轉 也 諸 佛 及 我 者 佛 謂 此 究竟涅槃 
T39n1789_002:0373a13	我及諸佛同證。證無別證但了生死即是涅	我 及 諸 佛 同 證 證 無 別 證 但 了 生 死 即 是 涅 
T39n1789_002:0373a14	槃。涅槃之性亦不可得。是為空事境界。	槃 涅 槃 之 性 亦 不 可 得 是 為 空 事 境 界 
T39n1789_002:0373a15	復次大慧。涅槃者聖智自覺境界。離斷常妄	復 次 大 慧 涅 槃 者 聖 智 自 覺 境 界 離 斷 常 妄 
T39n1789_002:0373a16	想性非性。云何非常。謂自相共相妄想斷故	想 性 非 性 云 何 非 常 謂 自相共相 妄 想 斷 故 
T39n1789_002:0373a17	非常。云何非斷。謂一切聖去來現在得自覺	非 常 云 何 非 斷 謂 一 切 聖 去來現在 得 自 覺 
T39n1789_002:0373a18	故非斷　離情故非常。顯性故非斷。	故 非 斷 離 情 故 非 常 顯 性 故 非 斷 
T39n1789_002:0373a19	大慧涅槃不壞不死。若涅槃死者。復應受生	大 慧 涅 槃 不 壞 不 死 若 涅 槃 死 者 復 應 受 生 
T39n1789_002:0373a20	相續。若壞者。應墮有為相。是故涅槃離壞離	相 續 若 壞 者 應 墮 有 為 相 是 故 涅 槃 離 壞 離 
T39n1789_002:0373a21	死。是故修行者之所歸依　涅槃言不壞不	死 是 故 修 行 者 之 所 歸 依 涅 槃 言 不 壞 不 
T39n1789_002:0373a22	死者。是對有壞有死而言也。良以涅槃是不	死 者 是 對 有 壞 有 死 而 言 也 良 以 涅 槃 是 不 
T39n1789_002:0373a23	生不滅之理。若凡夫是有壞死。小乘入於真	生 不 滅 之 理 若 凡 夫 是 有 壞 死 小 乘 入 於 真 
T39n1789_002:0373a24	空涅槃。灰身無身滅智無智。亦可謂不壞不	空 涅 槃 灰 身 無 身 滅 智 無 智 亦 可 謂 不 壞 不 
T39n1789_002:0373a25	死。雖離分段之生。復受變易之生。是有相續	死 雖 離 分 段 之 生 復 受 變 易 之 生 是 有 相 續 
T39n1789_002:0373a26	之相。雖離於有復著於空。是猶有為。今如來	之 相 雖 離 於 有 復 著 於 空 是 猶 有 為 今 如 來 
T39n1789_002:0373a27	涅槃離此諸相。是為大乘行者之所歸趣。	涅 槃 離 此 諸 相 是 為 大 乘 行 者 之 所 歸 趣 
T39n1789_002:0373a28	復次大慧。涅槃非捨非得非斷非常。非一義	復 次 大 慧 涅 槃 非 捨 非 得 非 斷 非 常 非 一 義 
T39n1789_002:0373a29	非種種義是名涅槃　此一節是總結上義。	非 種 種 義 是 名 涅 槃 此 一 節 是 總 結 上 義 
T39n1789_002:0373b01	言非一者是非空非種種者。是非假。非空非	言 非 一 者 是 非 空 非 種 種 者 是 非 假 非 空 非 
T39n1789_002:0373b02	假正顯中道大涅槃也。	假 正 顯 中 道 大 涅 槃 也 
T39n1789_002:0373b03	復次大慧。聲聞緣覺涅槃者。覺自相共相。不	復 次 大 慧 聲 聞 緣 覺 涅 槃 者 覺 自相共相 不 
T39n1789_002:0373b04	習近境界。不顛倒見妄想不生。彼等於彼作	習 近 境 界 不 顛 倒 見 妄 想 不 生 彼 等 於 彼 作 
T39n1789_002:0373b05	涅槃覺　二乘於陰界入自共相中。用苦空	涅 槃 覺 二 乘 於 陰 界 入 自 共 相 中 用 苦 空 
T39n1789_002:0373b06	無常無我之觀。厭離生死心切故。於六塵境	無 常 無 我 之 觀 厭 離 生 死 心 切 故 於 六 塵 境 
T39n1789_002:0373b07	界。不樂習親近。言不顛倒見者。斷見惑也。妄	界 不 樂 習 親 近 言 不 顛 倒 見 者 斷 見 惑 也 妄 
T39n1789_002:0373b08	想不生者。斷思惑也。既滅苦集而證真空。故	想 不 生 者 斷 思 惑 也 既 滅 苦 集 而 證 真 空 故 
T39n1789_002:0373b09	曰於彼作涅槃覺。	曰 於 彼 作 涅 槃 覺 
T39n1789_002:0373b10	復次大慧。二種自性相。云何為二。謂言說自	復 次 大 慧 二 種 自 性 相 云 何 為 二 謂 言 說 自 
T39n1789_002:0373b11	性相計著。事自性相計著。言說自性相計著	性 相 計 著 事 自 性 相 計 著 言說自性 相 計 著 
T39n1789_002:0373b12	者。從無始言說虛偽習氣計著生。事自性相	者 從 無 始 言 說 虛 偽 習 氣 計 著 生 事 自 性 相 
T39n1789_002:0373b13	計著者。從不覺自心現分齊生　二種性相	計 著 者 從 不 覺 自 心 現 分 齊 生 二 種 性 相 
T39n1789_002:0373b14	起各有由。如經所說。若了言說性空諸法唯	起 各 有 由 如 經 所 說 若 了 言 說 性 空 諸 法 唯 
T39n1789_002:0373b15	心。何計著之有哉。事即諸法也。	心 何 計 著 之 有 哉 事 即 諸 法 也 
T39n1789_002:0373b16	復次大慧。如來以二種神力建立。菩薩摩訶	復 次 大 慧 如 來 以 二 種 神 力 建 立 菩 薩 摩 訶 
T39n1789_002:0373b17	薩頂禮諸佛。聽受問義。云何二種神力建立。	薩 頂 禮 諸 佛 聽 受 問 義 云 何 二 種 神 力 建 立 
T39n1789_002:0373b18	謂三昧正受。為現一切身面言說神力及手	謂 三 昧 正 受 為 現 一 切 身 面 言 說 神 力 及 手 
T39n1789_002:0373b19	灌頂神力　二種神力建立者。入楞伽云。諸	灌 頂 神 力 二 種 神 力 建 立 者 入 楞 伽 云 諸 
T39n1789_002:0373b20	佛有二種加持。持諸菩薩令頂禮佛足請問	佛 有 二 種 加 持 持 諸 菩 薩 令 頂禮佛足 請 問 
T39n1789_002:0373b21	眾義。三昧即正受。此華梵兼舉。亦翻正心	眾 義 三 昧 即 正 受 此 華 梵 兼 舉 亦 翻 正 心 
T39n1789_002:0373b22	行處。	行 處 
T39n1789_002:0373b23	大慧。菩薩摩訶薩初菩薩地住佛神力。所謂	大 慧 菩薩摩訶薩 初 菩 薩 地 住 佛 神 力 所 謂 
T39n1789_002:0373b24	入菩薩大乘照明三昧。入是三昧已十方世	入 菩 薩 大 乘 照 明 三 昧 入 是 三 昧 已 十 方 世 
T39n1789_002:0373b25	界一切諸佛。以神通力。為現一切身面言說。	界 一切諸佛 以 神 通 力 為 現 一 切 身 面 言 說 
T39n1789_002:0373b26	如金剛藏菩薩摩訶薩及餘如是相功德成就	如 金 剛 藏 菩薩摩訶薩 及 餘 如 是 相 功德成就 
T39n1789_002:0373b27	菩薩摩訶薩　住佛神力者。由佛神力能令	菩薩摩訶薩 住 佛 神 力 者 由 佛 神 力 能 令 
T39n1789_002:0373b28	見佛。復由菩薩三昧善根。乃能感應一致。故	見 佛 復 由 菩 薩 三 昧 善 根 乃 能 感 應 一 致 故 
T39n1789_002:0373b29	曰入大乘照明三昧。即光明定也。由是定故	曰 入 大 乘 照 明 三 昧 即 光 明 定 也 由 是 定 故 
T39n1789_002:0373c01	見佛聞法。如金剛藏者。即華嚴會中。佛力加	見佛聞法 如 金 剛 藏 者 即 華 嚴 會 中 佛 力 加 
T39n1789_002:0373c02	被之一菩薩也。以一例諸故云及餘。	被 之 一 菩 薩 也 以 一 例 諸 故 云 及 餘 
T39n1789_002:0373c03	大慧。是名初菩薩地。菩薩摩訶薩。得菩薩三	大 慧 是 名 初 菩 薩 地 菩薩摩訶薩 得 菩 薩 三 
T39n1789_002:0373c04	昧正受神力。於百千劫積集善根之所成就。	昧 正 受 神 力 於 百 千 劫 積 集 善 根 之 所 成 就 
T39n1789_002:0373c05	次第諸地對治所治相。通達究竟至法雲地。	次 第 諸 地 對 治 所 治 相 通 達 究 竟 至 法 雲 地 
T39n1789_002:0373c06	住大蓮華微妙宮殿。坐大蓮華寶師子座。同	住 大 蓮 華 微 妙 宮 殿 坐 大 蓮 華 寶 師 子 座 同 
T39n1789_002:0373c07	類菩薩摩訶薩眷屬圍繞。眾寶瓔珞莊嚴其	類 菩薩摩訶薩 眷 屬 圍 繞 眾 寶 瓔 珞 莊 嚴 其 
T39n1789_002:0373c08	身。如黃金薝蔔日月光明。諸最勝手從十方	身 如 黃 金 薝 蔔 日 月 光 明 諸 最 勝 手 從 十 方 
T39n1789_002:0373c09	來。就大蓮華宮殿座上。而灌其頂。譬如自在	來 就 大 蓮 華 宮 殿 座 上 而 灌 其 頂 譬 如 自 在 
T39n1789_002:0373c10	轉輪聖王及天帝釋太子灌頂。是名菩薩手	轉輪聖王 及 天 帝 釋 太 子 灌 頂 是 名 菩 薩 手 
T39n1789_002:0373c11	灌頂神力。大慧。是名菩薩摩訶薩二種神力。	灌 頂 神 力 大 慧 是 名 菩薩摩訶薩 二 種 神 力 
T39n1789_002:0373c12	若菩薩摩訶薩。住二種神力。面見諸佛如來。	若 菩薩摩訶薩 住 二 種 神 力 面 見 諸佛如來 
T39n1789_002:0373c13	若不如是則不能見　於百千劫者。此明初	若 不 如 是 則 不 能 見 於 百 千 劫 者 此 明 初 
T39n1789_002:0373c14	地菩薩被加之所以。次第諸地下自淺至深	地 菩 薩 被 加 之 所 以 次 第 諸 地 下 自 淺 至 深 
T39n1789_002:0373c15	也。譬如自在下。重出灌頂事也。若不如是則	也 譬 如 自 在 下 重 出 灌 頂 事 也 若 不 如 是 則 
T39n1789_002:0373c16	不能見者。總結反顯也。	不 能 見 者 總 結 反 顯 也 
T39n1789_002:0373c17	復次大慧。菩薩摩訶薩凡所分別三昧。神足	復 次 大 慧 菩薩摩訶薩 凡 所 分 別 三 昧 神 足 
T39n1789_002:0373c18	諸法之行。是等一切悉住如來二種神力。大	諸 法 之 行 是 等 一 切 悉 住 如 來 二 種 神 力 大 
T39n1789_002:0373c19	慧。若菩薩摩訶薩。離佛神力能辯說者。一切	慧 若 菩薩摩訶薩 離 佛 神 力 能 辯 說 者 一 切 
T39n1789_002:0373c20	凡夫亦應能說。所以者何。謂不住神力故。大	凡 夫 亦 應 能 說 所以者何 謂 不 住 神 力 故 大 
T39n1789_002:0373c21	慧。山石樹木及諸樂器城郭宮殿。以如來入	慧 山 石 樹 木 及 諸 樂 器 城 郭 宮 殿 以 如 來 入 
T39n1789_002:0373c22	城威神力故。皆自然出音樂之聲。何況有心	城 威 神 力 故 皆 自 然 出 音 樂 之 聲 何 況 有 心 
T39n1789_002:0373c23	者。聾盲瘖啞無量眾苦皆得解脫。如來有如	者 聾 盲 瘖 啞 無 量 眾 苦 皆 得 解 脫 如 來 有 如 
T39n1789_002:0373c24	是等無量神力。利安眾生　凡所分別下。復	是 等 無 量 神 力 利 安 眾 生 凡 所 分 別 下 復 
T39n1789_002:0373c25	釋被加之義。起後況釋之意。謂菩薩凡所辯	釋 被 加 之 義 起 後 況 釋 之 意 謂 菩 薩 凡 所 辯 
T39n1789_002:0373c26	說三昧等法。皆由住佛神力。即以凡況聖。言	說 三 昧 等 法 皆 由 住 佛 神 力 即 以 凡 況 聖 言 
T39n1789_002:0373c27	菩薩若離神力則不能有所說。況凡夫乎。若	菩 薩 若 離 神 力 則 不 能 有 所 說 況 凡 夫 乎 若 
T39n1789_002:0373c28	得神力。雖無情之物亦皆有用。況有情者。而	得 神 力 雖 無 情 之 物 亦 皆 有 用 況 有 情 者 而 
T39n1789_002:0373c29	不得以脫苦耶。而言凡夫不住神力者。乃以	不 得 以 脫 苦 耶 而 言 凡 夫 不 住 神 力 者 乃 以 
T39n1789_002:0374a01	聖奪凡耳。又云。如來有如是神力者。即如來	聖 奪 凡 耳 又 云 如 來 有 如 是 神 力 者 即 如 來 
T39n1789_002:0374a02	大寂定中寂。而常照稱性。施設萬端無不可	大 寂 定 中 寂 而 常 照 稱 性 施 設 萬 端 無 不 可 
T39n1789_002:0374a03	者。亦豈有意於其間哉。	者 亦 豈 有 意 於 其 間 哉 
T39n1789_002:0374a04	大慧菩薩復白佛言。世尊。以何因緣。如來應	大 慧 菩 薩 復 白 佛 言 世 尊 以何因緣 如 來 應 
T39n1789_002:0374a05	供等正覺。菩薩摩訶薩。住三時正受時。及勝	供 等 正 覺 菩薩摩訶薩 住 三 時 正 受 時 及 勝 
T39n1789_002:0374a06	進地灌頂時。加其神力。佛告大慧。為離魔業	進 地 灌 頂 時 加 其 神 力 佛 告 大 慧 為 離 魔 業 
T39n1789_002:0374a07	煩惱故。及不墮聲聞地禪故。為得如來自覺	煩 惱 故 及 不 墮 聲 聞 地 禪 故 為 得 如 來 自 覺 
T39n1789_002:0374a08	地故。及增進所得法故。是故如來應供等正	地 故 及 增 進 所 得 法 故 是 故 如 來 應 供 等 正 
T39n1789_002:0374a09	覺。咸以神力建立諸菩薩摩訶薩。若不以神	覺 咸 以 神 力 建 立 諸 菩薩摩訶薩 若 不 以 神 
T39n1789_002:0374a10	力建立者。則墮外道惡見妄想及諸聲聞眾	力 建 立 者 則 墮 外 道 惡 見 妄 想 及 諸 聲 聞 眾 
T39n1789_002:0374a11	魔希望。不得耨阿多羅三藐三菩提。以是	魔 希 望 不 得 耨 阿 多 羅 三藐三菩提 以 是 
T39n1789_002:0374a12	故。諸佛如來咸以神力。攝受諸菩薩摩訶薩。	故 諸佛如來 咸 以 神 力 攝 受 諸 菩薩摩訶薩 
T39n1789_002:0374a13	爾時世尊欲重宣此義。而說偈言。	爾 時 世 尊 欲 重 宣 此 義 而 說 偈 言 
T39n1789_002:0374a14	　神力人中尊　　大願悉清淨	 神 力 人 中 尊 大 願 悉 清 淨 
T39n1789_002:0374a15	　三摩提灌頂　　初地及十地	 三 摩 提 灌 頂 初 地 及 十 地 
T39n1789_002:0374a16	此段復問如來加被菩薩所以。如來答以	此 段 復 問 如 來 加 被 菩 薩 所 以 如 來 答 以 
T39n1789_002:0374a17	四義。如經可見。良以初心菩薩道力未充。不	四 義 如 經 可 見 良 以 初 心 菩 薩 道 力 未 充 不 
T39n1789_002:0374a18	假如來神力加持。非但不能增進至如來地。	假 如來神力 加 持 非 但 不 能 增 進 至 如 來 地 
T39n1789_002:0374a19	亦且不能遠離聲聞魔界。如來慈悲攝受之	亦 且 不 能 遠 離 聲 聞 魔 界 如 來 慈 悲 攝 受 之 
T39n1789_002:0374a20	意。可謂深矣。偈頌可解。	意 可 謂 深 矣 偈 頌 可 解 
T39n1789_002:0374a21	爾時大慧菩薩摩訶薩。復白佛言。世尊。佛說	爾 時 大 慧 菩薩摩訶薩 復 白 佛 言 世 尊 佛 說 
T39n1789_002:0374a22	緣起。即是說因緣不自說道。世尊。外道亦說	緣 起 即 是 說 因 緣 不 自 說 道 世 尊 外 道 亦 說 
T39n1789_002:0374a23	因緣。謂勝自在時微塵生。如是諸性生。然世	因 緣 謂 勝 自 在 時 微 塵 生 如 是 諸 性 生 然 世 
T39n1789_002:0374a24	尊所謂因緣生諸性言說。有間悉檀無間悉	尊 所 謂 因 緣 生 諸 性 言 說 有 間 悉 檀 無 間 悉 
T39n1789_002:0374a25	檀　因緣之說有正有邪。佛說者為正。外道	檀 因 緣 之 說 有 正 有 邪 佛 說 者 為 正 外 道 
T39n1789_002:0374a26	說者為邪。此二者不可不知。是故大慧並舉	說 者 為 邪 此 二 者 不 可 不 知 是 故 大 慧 並 舉 
T39n1789_002:0374a27	以問。不自說道者。謂佛說緣起。不言緣起所	以 問 不 自 說 道 者 謂 佛 說 緣 起 不 言 緣 起 所 
T39n1789_002:0374a28	以。故云不自說道外道言勝自在等。而諸法	以 故 云 不 自 說 道 外 道 言 勝 自 在 等 而 諸 法 
T39n1789_002:0374a29	生。諸性即諸法也。然與如來所說因緣生法	生 諸 性 即 諸 法 也 然 與 如 來 所 說 因緣生法 
T39n1789_002:0374b01	被機言教。為有間異耶。無間異耶。悉檀即四	被 機 言 教 為 有 間 異 耶 無 間 異 耶 悉 檀 即 四 
