T85n2771_001:0364b27	維摩經疏	維 摩 經 疏 
T85n2771_001:0369a11	他也。義在可解。上來三對自利利他合名第	他 也 義 在 可 解 上 來 三 對 自利利他 合 名 第 
T85n2771_001:0369a12	二維摩答訖。自下第三結勸修學。菩薩應如	二 維 摩 答 訖 自 下 第 三 結 勸 修 學 菩 薩 應 如 
T85n2771_001:0369a13	是慰喻有疾菩薩令其歡喜菩薩者。維摩詰	是 慰 喻 有 疾 菩 薩 令其歡喜 菩 薩 者 維 摩 詰 
T85n2771_001:0369a14	等諸大菩薩應當如是依前所說慰喻彼實病	等 諸 大 菩 薩 應 當 如 是 依 前 所 說 慰 喻 彼 實 病 
T85n2771_001:0369a15	諸小菩薩使稱其心故令歡喜。上來慰喻訖。	諸 小 菩 薩 使 稱 其 心 故 令 歡 喜 上 來 慰 喻 訖 
T85n2771_001:0369a16	即是教彼十信位中實病菩薩為其說法令成	即 是 教 彼 十 信 位 中 實 病 菩 薩 為 其 說 法 令 成 
T85n2771_001:0369a17	有漏聞薰習教學生法兩空觀厭伏人法二我	有 漏 聞 薰 習 教 學 生 法 兩 空 觀 厭 伏 人 法 二 我 
T85n2771_001:0369a18	執令其心喜故名慰喻。	執 令 其 心 喜 故 名 慰 喻 
T85n2771_001:0369a19	自下次問調伏。文中有三。第一文殊問。第二	自 下 次 問 調 伏 文 中 有 三 第 一 文 殊 問 第 二 
T85n2771_001:0369a20	維摩答。第三明說利益。文殊師利言居士有	維 摩 答 第 三 明 說 利 益 文 殊 師 利 言 居 士 有 
T85n2771_001:0369a21	疾菩薩云何調伏其心者。第一問也。有疾菩	疾 菩 薩 云 何 調 伏 其 心 者 第 一 問 也 有 疾 菩 
T85n2771_001:0369a22	薩者問彼十解初心已去乃至金剛已還箇中	薩 者 問 彼 十 解 初 心 已 去 乃 至 金 剛 已 還 箇 中 
T85n2771_001:0369a23	菩薩通名有疾。道理而言。地前菩薩直來之	菩 薩 通 名 有 疾 道 理 而 言 地 前 菩 薩 直 來 之 
T85n2771_001:0369a24	者受分段報有病事故名為有疾。初地已上	者 受 分 段 報 有 病 事 故 名 為 有 疾 初 地 已 上 
T85n2771_001:0369a25	實非有疾。然今約就煩惱以為疾故。初地已	實 非 有 疾 然 今 約 就 煩 惱 以 為 疾 故 初 地 已 
T85n2771_001:0369a26	上有彼法執無明住地故。是以通名有疾菩	上 有 彼 法 執 無明住地 故 是 以 通 名 有 疾 菩 
T85n2771_001:0369a27	薩也。云何調伏其心者。調者調令離過。伏者	薩 也 云 何 調 伏 其 心 者 調 者 調 令 離 過 伏 者 
T85n2771_001:0369a28	伏令修善。今時問彼十解已去菩薩云何修	伏 令 修 善 今 時 問 彼 十 解 已 去 菩 薩 云 何 修 
T85n2771_001:0369a29	觀斷除煩惱令得身中究竟無病。故言云何	觀 斷 除 煩 惱 令 得 身 中 究 竟 無 病 故 言 云 何 
T85n2771_001:0369b01	調伏其心也。自下維摩答。答意者。教彼地	調 伏 其 心 也 自 下 維 摩 答 答 意 者 教 彼 地 
T85n2771_001:0369b02	前菩薩修加行智證取生空斷除人我。亦復	前 菩 薩 修 加 行 智 證 取 生 空 斷 除 人 我 亦 復 
T85n2771_001:0369b03	教學法空之觀厭伏法我。初地已上教修根	教 學 法 空 之 觀 厭 伏 法 我 初 地 已 上 教 修 根 
T85n2771_001:0369b04	本無分別智證入本有法空真如斷除法我證	本 無分別智 證 入 本 有 法 空 真 如 斷 除 法 我 證 
T85n2771_001:0369b05	二空故永除二我。我不生是名調伏。既□自	二 空 故 永 除 二 我 我 不 生 是 名 調 伏 既 自 
T85n2771_001:0369b06	調伏。復須利他。故亦教之修起大悲隨有攝	調 伏 復 須 利 他 故 亦 教 之 修 起 大 悲 隨 有 攝 
T85n2771_001:0369b07	化。論其答意義在於此。文中有二。第一明其	化 論 其 答 意 義 在 於 此 文 中 有 二 第 一 明 其 
T85n2771_001:0369b08	所修。第二不住其中已下顯其所成。所修者	所 修 第 二 不 住 其 中 已 下 顯 其 所 成 所 修 者 
T85n2771_001:0369b09	修智修悲。所成者成不住道行也。就前所修	修 智 修 悲 所 成 者 成 不 住 道 行 也 就 前 所 修 
T85n2771_001:0369b10	中文復有二。第一正明所修。第二結成調伏。	中 文 復 有 二 第 一 正 明 所 修 第 二 結 成 調 伏 
T85n2771_001:0369b11	就前第一正明所修中。文有三對修智修悲。	就 前 第 一 正 明 所 修 中 文 有 三 對 修 智 修 悲 
T85n2771_001:0369b12	始從初文乃至應如是觀諸已來為第一對修	始 從 初 文 乃 至 應 如 是 觀 諸 已 來 為 第 一 對 修 
T85n2771_001:0369b13	智修悲。又復觀身無常已下為第二對修智	智 修 悲 又 復 觀 身 無 常 已 下 為 第 二 對 修 智 
T85n2771_001:0369b14	修悲。後云又復觀身身不離病已下為第三	修 悲 後 云 又 復 觀 身 身 不 離 病 已 下 為 第 三 
T85n2771_001:0369b15	對修智修悲。問曰。此之三對有何差別。答	對 修 智 修 悲 問 曰 此 之 三 對 有何差別 答 
T85n2771_001:0369b16	曰。若依疏釋。四義明異。不能繁述。略舉一	曰 若 依 疏 釋 四 義 明 異 不 能 繁 述 略 舉 一 
T85n2771_001:0369b17	義。前第一對約就甚深空理修智修悲。次第	義 前 第 一 對 約 就 甚 深 空 理 修 智 修 悲 次 第 
T85n2771_001:0369b18	二對約就苦無常理明修智修悲。後第三對	二 對 約 就 苦 無 常 理 明 修 智 修 悲 後 第 三 對 
T85n2771_001:0369b19	約身病事明修智悲復。次更依別釋者。初對	約 身 病 事 明 修 智 悲 復 次 更 依 別 釋 者 初 對 
T85n2771_001:0369b20	為上根人說。次對為中根人說。後對為下根	為 上 根 人 說 次 對 為 中 根 人 說 後 對 為 下 根 
T85n2771_001:0369b21	人說。就第一對中文有其二。第一正教智悲。	人 說 就 第 一 對 中 文 有 其 二 第 一 正 教 智 悲 
T85n2771_001:0369b22	第二結勸修學。就前正教智悲中麁科有二。	第 二 結 勸 修 學 就 前 正 教 智 悲 中 麁 科 有 二 
T85n2771_001:0369b23	細分有四。麁科二者。第一明其修智。第二	細 分 有 四 麁 科 二 者 第 一 明 其 修 智 第 二 
T85n2771_001:0369b24	是有疾菩薩以無所受已下明其修悲。細分	是 有 疾 菩 薩 以 無 所 受 已 下 明 其 修 悲 細 分 
T85n2771_001:0369b25	四者。前修中修小智及大智。後修悲中修	四 者 前 修 中 修 小 智 及 大 智 後 修 悲 中 修 
T85n2771_001:0369b26	小悲及大悲。故成四也。道理言之。修小智時	小 悲 及 大 悲 故 成 四 也 道 理 言 之 修 小 智 時 
T85n2771_001:0369b27	即修小悲。修大智時即修大悲。然說法家欲	即 修 小 悲 修 大 智 時 即 修 大 悲 然 說 法 家 欲 
T85n2771_001:0369b28	令智悲相異。是故別說。此乃說之次第非行	令 智 悲 相 異 是 故 別 說 此 乃 說 之 次 第 非 行 
T85n2771_001:0369b29	之次第也。就前修智之中文有兩分。第一明	之 次 第 也 就 前 修 智 之 中 文 有 兩 分 第 一 明 
T85n2771_001:0369c01	修小智。第二得是平等已下明修大智。修小	修 小 智 第 二 得 是 平 等 已 下 明 修 大 智 修 小 
T85n2771_001:0369c02	智者即當地前。修大智者即在地上。就前修	智 者 即 當 地 前 修 大 智 者 即 在 地 上 就 前 修 
T85n2771_001:0369c03	小智中文更有二。第一教生空觀。第二彼有	小 智 中 文 更 有 二 第 一 教 生 空 觀 第 二 彼 有 
T85n2771_001:0369c04	疾菩薩為滅法想已下教作法空觀。問曰。地	疾 菩 薩 為 滅 法 想 已 下 教 作 法 空 觀 問 曰 地 
T85n2771_001:0369c05	前菩薩修彼小智。只可作生空觀。云何亦作	前 菩 薩 修 彼 小 智 只 可 作 生 空 觀 云 何 亦 作 
T85n2771_001:0369c06	法空觀。答曰。地前菩薩十解初心斷彼見一	法 空 觀 答 曰 地 前 菩 薩 十 解 初 心 斷 彼 見 一 
T85n2771_001:0369c07	處住地。人我執盡證得生空。三愛住地但斷	處 住 地 人 我 執 盡 證 得 生 空 三 愛 住 地 但 斷 
T85n2771_001:0369c08	現行。論其種子。留而不斷。從十解第二念已	現 行 論 其 種 子 留 而 不 斷 從 十 解 第 二 念 已 
T85n2771_001:0369c09	去學法空觀伏彼界外無明種子法執之心。	去 學 法 空 觀 伏 彼 界 外 無 明 種 子 法 執 之 心 
T85n2771_001:0369c10	是即生空證得成就。若也法空修學未證。故	是 即 生 空 證 得 成 就 若 也 法 空 修 學 未 證 故 
T85n2771_001:0369c11	地持論云。種性菩薩二障清淨。若煩惱障斷	地 持 論 云 種 性 菩 薩 二 障 清 淨 若 煩惱障斷 
T85n2771_001:0369c12	故清淨一切智障者伏故名清淨。故知地前	故 清 淨 一 切 智 障 者 伏 故 名 清 淨 故 知 地 前 
T85n2771_001:0369c13	菩薩學法空觀伏法執也。	菩 薩 學 法 空 觀 伏 法 執 也 
T85n2771_001:0369c14	就前生空觀中。第一就四大上破人我顯生	就 前 生 空 觀 中 第 一 就 四 大 上 破 人 我 顯 生 
T85n2771_001:0369c15	空。第二又此病起皆由著我已下就五陰上	空 第 二 又 此 病 起 皆 由 著 我 已 下 就 五 陰 上 
T85n2771_001:0369c16	破人我顯生空。問曰。何故約此兩處而說。答	破 人 我 顯 生 空 問 曰 何 故 約 此 兩 處 而 說 答 
T85n2771_001:0369c17	曰。良以眾生所計不同。自有眾生就四大上	曰 良 以 眾 生 所 計 不 同 自 有 眾 生 就 四 大 上 
T85n2771_001:0369c18	以起人我。自有眾生就五陰上起此人我。乃	以 起 人 我 自 有 眾 生 就 五 陰 上 起 此 人 我 乃 
T85n2771_001:0369c19	至十二入十八界亦如是如是。是故今時且	至 十 二 入 十 八 界 亦 如是如是 是 故 今 時 且 
T85n2771_001:0369c20	約兩處破其別計。及至得彼無我觀時於四	約 兩 處 破 其 別 計 及 至 得 彼 無 我 觀 時 於 四 
T85n2771_001:0369c21	大上得知無我。不須觀陰。於五陰上得知無	大 上 得 知 無 我 不 須 觀 陰 於 五 陰 上 得 知 無 
T85n2771_001:0369c22	我。不須觀四大。又復前四大破其我相。後五	我 不 須 觀 四 大 又 復 前 四 大 破 其 我 相 後 五 
T85n2771_001:0369c23	陰上破其我見。就前四大上作無我觀中。初	陰 上 破 其 我 見 就 前 四 大 上 作 無 我 觀 中 初 
T85n2771_001:0369c24	作無相性觀。次所以者何已下明作依他性	作 無 相 性 觀 次 所以者何 已 下 明 作 依 他 性 
T85n2771_001:0369c25	觀。就前無相性觀中先明推因後正破我。維	觀 就 前 無 相 性 觀 中 先 明 推 因 後 正 破 我 維 
T85n2771_001:0369c26	摩詰言有疾菩薩應作是念今我此病皆從前	摩 詰 言 有 疾 菩 薩 應 作 是 念 今 我 此 病 皆 從 前 
T85n2771_001:0369c27	世妄想顛倒諸煩惱生者。此明推因也。有疾	世 妄 想 顛 倒 諸 煩 惱 生 者 此 明 推 因 也 有 疾 
T85n2771_001:0369c28	菩薩者取十信末後心正欲入十解初心。箇	菩 薩 者 取 十 信 末 後 心 正 欲 入 十 解 初 心 箇 
T85n2771_001:0369c29	中菩薩應作是念者。推因之心不云念相。今	中 菩 薩 應 作 是 念 者 推 因 之 心 不 云 念 相 今 
T85n2771_001:0370a01	我此病皆從前世妄想顛倒諸煩惱生今我此	我 此 病 皆 從 前 世 妄 想 顛 倒 諸 煩 惱 生 今 我 此 
T85n2771_001:0370a02	病者。我此病果及以病事從前世者。界內修	病 者 我 此 病 果 及 以 病 事 從 前 世 者 界 內 修 
T85n2771_001:0370a03	道所斷煩惱名想倒也。顛倒者。界內見道所	道 所 斷 煩 惱 名 想 倒 也 顛 倒 者 界 內 見 道 所 
T85n2771_001:0370a04	斷煩惱名為見倒也。由此過去二輪煩惱發	斷 煩 惱 名 為 見 倒 也 由 此 過 去 二 輪 煩 惱 發 
T85n2771_001:0370a05	業潤生感我現在病果病事。此即推因訖。問	業 潤 生 感 我 現 在 病 果 病 事 此 即 推 因 訖 問 
T85n2771_001:0370a06	曰。本欲破我。何不直破。乃須推因。答曰。夫	曰 本 欲 破 我 何 不 直 破 乃 須 推 因 答 曰 夫 
T85n2771_001:0370a07	論斷病果者。要須斷因。其因既無。果自不	論 斷 病 果 者 要 須 斷 因 其 因 既 無 果 自 不 
T85n2771_001:0370a08	起。現在果法不可說斷。故下文言。但除其	起 現 在 果 法 不 可 說 斷 故 下 文 言 但 除 其 
T85n2771_001:0370a09	病而不除法。今計我者。於彼四大果報之上	病 而 不 除 法 今 計 我 者 於 彼 四 大 果 報 之 上 
T85n2771_001:0370a10	計為有我。果報之法既不可斷。故須推因。第	計 為 有 我 果 報 之 法 既 不 可 斷 故 須 推 因 第 
T85n2771_001:0370a11	二義者。今明菩薩欲作空觀從因。故當知是	二 義 者 今 明 菩 薩 欲 作 空 觀 從 因 故 當 知 是 
T85n2771_001:0370a12	空。故論中云。因緣所生法我說即是空。故須	空 故 論 中 云 因緣所生 法 我 說 即 是 空 故 須 
T85n2771_001:0370a13	推因也。自下正明作無相性觀破其我相。無	推 因 也 自 下 正 明 作 無 相 性 觀 破 其 我 相 無 
T85n2771_001:0370a14	有實法誰受病者。實法者。凡夫計我言自實	有 實 法 誰 受 病 者 實 法 者 凡 夫 計 我 言 自 實 
T85n2771_001:0370a15	是我體自在是我用。今明破其我體。果報身	是 我 體 自 在 是 我 用 今 明 破 其 我 體 果 報 身 
T85n2771_001:0370a16	者。從彼過去煩惱因生。何處得有自實之我。	者 從 彼 過 去 煩 惱 因 生 何 處 得 有 自 實 之 我 
T85n2771_001:0370a17	故言無有實法。實我既無。誰當受病。故言誰	故 言 無 有 實 法 實 我 既 無 誰 當 受 病 故 言 誰 
T85n2771_001:0370a18	受病者。自下明作依他性觀。先徵後釋。所	受 病 者 自 下 明 作 依 他 性 觀 先 徵 後 釋 所 
T85n2771_001:0370a19	以者何微也。凡夫言現見有我。青黃赤白麻	以 者 何 微 也 凡 夫 言 現 見 有 我 青 黃 赤 白 麻 
T85n2771_001:0370a20	麥母指。所以言無者。何自下釋。釋中舉彼四	麥 母 指 所 以 言 無 者 何 自 下 釋 釋 中 舉 彼 四 
T85n2771_001:0370a21	大示之令知無我。即是舉依他性遣分別性	大 示 之 令 知 無 我 即 是 舉 依 他 性 遣 分 別 性 
T85n2771_001:0370a22	也。問曰。夫論遣分別性要。須是緣空。無漏之	也 問 曰 夫 論 遣 分 別 性 要 須 是 緣 空 無 漏 之 
T85n2771_001:0370a23	觀方能破我。依他性者乃是緣有即是有漏。	觀 方 能 破 我 依 他 性 者 乃 是 緣 有 即 是 有 漏 
T85n2771_001:0370a24	云何破我。答曰。今言。以依他性破其我者。此	云 何 破 我 答 曰 今 言 以 依 他 性 破 其 我 者 此 
T85n2771_001:0370a25	是觀前方便。未入觀前緣此四大得知無我。	是 觀 前 方 便 未 入 觀 前 緣 此 四 大 得 知 無 我 
T85n2771_001:0370a26	正入觀時但緣於空不緣四大。藤蛇之喻可	正 入 觀 時 但 緣 於 空 不 緣 四 大 藤 蛇 之 喻 可 
T85n2771_001:0370a27	以准知。四大合故假名為身者。觀別成總明	以 准 知 四 大 合 故 假 名 為 身 者 觀 別 成 總 明 
T85n2771_001:0370a28	身假有。四大無主身亦我者。觀別破總彰我	身 假 有 四 大 無 主 身 亦 我 者 觀 別 破 總 彰 我 
T85n2771_001:0370a29	實無。攬彼四大以成此身。四大之中既無主	實 無 攬 彼 四 大 以 成 此 身 四 大 之 中 既 無 主 
T85n2771_001:0370b01	宰。身何有我。上來約就四大作生空觀破人	宰 身 何 有 我 上 來 約 就 四 大 作 生 空 觀 破 人 
T85n2771_001:0370b02	我相訖。自下約就五陰作生空觀破其我見。	我 相 訖 自 下 約 就 五 陰 作 生 空 觀 破 其 我 見 
T85n2771_001:0370b03	文中先明舉障後明翻障顯斷。又此病起皆	文 中 先 明 舉 障 後 明 翻 障 顯 斷 又 此 病 起 皆 
T85n2771_001:0370b04	由著我者。舉障也。亦是推因。前約四大已	由 著 我 者 舉 障 也 亦 是 推 因 前 約 四 大 已 
T85n2771_001:0370b05	觀無我。今就五陰復觀無我。是故言又此病	觀 無 我 今 就 五 陰 復 觀 無 我 是 故 言 又 此 病 
T85n2771_001:0370b06	起者。五陰病果也。皆由著我者。明推因也。由	起 者 五 陰 病 果 也 皆 由 著 我 者 明 推 因 也 由 
T85n2771_001:0370b07	我見故發業招生感此病果五陰身也。故十	我 見 故 發 業 招 生 感 此 病 果 五 陰 身 也 故 十 
T85n2771_001:0370b08	地經云。以著我故世間受身處生。若離著我	地 經 云 以 著 我 故 世 間 受 身 處 生 若 離 著 我 
T85n2771_001:0370b09	則不世間受身生處生也。是故於我不應生	則 不 世 間 受 身 生 處 生 也 是 故 於 我 不 應 生 
T85n2771_001:0370b10	著者。舉觀勸厭。是前病起由著我故應當於	著 者 舉 觀 勸 厭 是 前 病 起 由 著 我 故 應 當 於 
T85n2771_001:0370b11	我不生計著。上來舉障訖。自下翻障顯斷。文	我 不 生 計 著 上 來 舉 障 訖 自 下 翻 障 顯 斷 文 
T85n2771_001:0370b12	中有二。初明無相性觀。當起法想已下次明	中 有 二 初 明 無 相 性 觀 當 起 法 想 已 下 次 明 
T85n2771_001:0370b13	依他性觀。既知病本即除我想及眾生想者	依 他 性 觀 既 知 病 本 即 除 我 想 及 眾 生 想 者 
T85n2771_001:0370b14	明無性觀。既知病本者知前著我為起病之	明 無 性 觀 既 知 病 本 者 知 前 著 我 為 起 病 之 
T85n2771_001:0370b15	本即除我想及眾生想者。觀過斷除。我與眾	本 即 除 我 想 及 眾 生 想 者 觀 過 斷 除 我 與 眾 
T85n2771_001:0370b16	生能招病果故名為本。教令斷却故言即除。	生 能 招 病 果 故 名 為 本 教 令 斷 却 故 言 即 除 
T85n2771_001:0370b17	於五陰上別計神主名之為我。於五陰上和	於 五 陰 上 別 計 神 主 名 之 為 我 於 五 陰 上 和 
T85n2771_001:0370b18	合計我名曰眾生。總別雖殊。同是我見故齊	合 計 我 名 曰 眾 生 總 別 雖 殊 同 是 我 見 故 齊 
T85n2771_001:0370b19	名想。自下明作依他性觀。當起法想者。此句	名 想 自 下 明 作 依 他 性 觀 當 起 法 想 者 此 句 
T85n2771_001:0370b20	是總。上無想性觀直於陰上破其我執。不示	是 總 上 無 想 性 觀 直 於 陰 上 破 其 我 執 不 示 
T85n2771_001:0370b21	陰體。此依他性觀舉陰示之令捨我執。但是	陰 體 此 依 他 性 觀 舉 陰 示 之 令 捨 我 執 但 是 
T85n2771_001:0370b22	五陰果報之法。何處有彼本住神我。勸捨我	五 陰 果 報 之 法 何 處 有 彼 本 住 神 我 勸 捨 我 
T85n2771_001:0370b23	見之心。教起陰法之想。故言當起法想。自下	見 之 心 教 起 陰 法 之 想 故 言 當 起 法 想 自 下 
T85n2771_001:0370b24	明別。別中初觀察五陰。除其總我破眾生想。	明 別 別 中 初 觀 察 五 陰 除 其 總 我 破 眾 生 想 
T85n2771_001:0370b25	次又此法者已下觀察五陰除其別我破其我	次 又 此 法 者 已 下 觀 察 五 陰 除 其 別 我 破 其 我 
T85n2771_001:0370b26	想。就前文中應作是念。但以眾法合成此身	想 就 前 文 中 應 作 是 念 但 以 眾 法 合 成 此 身 
T85n2771_001:0370b27	者。觀別成總。明身假有。起唯法起滅唯法滅	者 觀 別 成 總 明 身 假 有 起 唯 法 起 滅 唯 法 滅 
T85n2771_001:0370b28	者。觀別破總。明我實無。應作是念者。教其依	者 觀 別 破 總 明 我 實 無 應 作 是 念 者 教 其 依 
T85n2771_001:0370b29	法起於觀心故言應作是念。但之言單以之	法 起 於 觀 心 故 言 應 作 是 念 但 之 言 單 以 之 
T85n2771_001:0370c01	言。用陰體非一故名眾法。五陰眾法和合成	言 用 陰 體 非 一 故 名 眾 法 五 陰 眾 法 和 合 成 
T85n2771_001:0370c02	身。推其體性不離五陰。是故生滅唯是陰法。	身 推 其 體 性 不 離 五 陰 是 故 生 滅 唯 是 陰 法 
T85n2771_001:0370c03	陰法之上何處更有和合眾生說起說滅也。	陰 法 之 上 何 處 更 有 和 合 眾 生 說 起 說 滅 也 
T85n2771_001:0370c04	自下觀察五陰除其別我破其我相。又此法	自 下 觀 察 五 陰 除 其 別 我 破 其 我 相 又 此 法 
T85n2771_001:0370c05	者各不相知者。觀察五陰也。前已破總。此	者 各 不 相 知 者 觀 察 五 陰 也 前 已 破 總 此 
T85n2771_001:0370c06	更破別。是故言又此法者五陰法也。各不相	更 破 別 是 故 言 又 此 法 者 五 陰 法 也 各 不 相 
T85n2771_001:0370c07	知者。計我之家謂彼神我體。是神知名為知	知 者 計 我 之 家 謂 彼 神 我 體 是 神 知 名 為 知 
T85n2771_001:0370c08	者。五陰之法從色至識次第觀之。□□□□	者 五 陰 之 法 從 色 至 識 次 第 觀 之 
T85n2771_001:0370c09	故言若不相知。自下正明除其別我。起時不	故 言 若 不 相 知 自 下 正 明 除 其 別 我 起 時 不 
T85n2771_001:0370c10	言我起滅時不言我滅者。計我之人於五陰	言 我 起 滅 時 不 言 我 滅 者 計 我 之 人 於 五 陰 
T85n2771_001:0370c11	中別執為我。五陰生時亦言我生。五陰滅時	中 別 執 為 我 五 陰 生 時 亦 言 我 生 五 陰 滅 時 
T85n2771_001:0370c12	亦言我滅。今觀陰法本無我故亦非知者。我	亦 言 我 滅 今 觀 陰 法 本 無 我 故 亦 非 知 者 我 
T85n2771_001:0370c13	與知者既其本無。誰分別言我生我滅也。上	與 知 者 既 其 本 無 誰 分 別 言 我 生 我 滅 也 上 
T85n2771_001:0370c14	來約就五陰作生空觀破遣人我。合名第一	來 約 就 五 陰 作 生 空 觀 破 遣 人 我 合 名 第 一 
T85n2771_001:0370c15	作生空觀訖。即是十解初心直來菩薩四住	作 生 空 觀 訖 即 是 十 解 初 心 直 來 菩 薩 四 住 
T85n2771_001:0370c16	之中斷見一處住地也。	之 中 斷 見 一 處 住 地 也 
T85n2771_001:0370c17	自下第二明法空觀。即是十解第二剎那已	自 下 第 二 明 法 空 觀 即 是 十 解 第 二 剎 那 已 
T85n2771_001:0370c18	去菩薩學伏界外有所得心加行智中學法空	去 菩 薩 學 伏 界 外 有所得心 加 行 智 中 學 法 空 
T85n2771_001:0370c19	觀也。文有二別。初明舉障顯過。我應離之	觀 也 文 有 二 別 初 明 舉 障 顯 過 我 應 離 之 
T85n2771_001:0370c20	已下次明翻障顯斷。前舉障中初正明舉障。	已 下 次 明 翻 障 顯 斷 前 舉 障 中 初 正 明 舉 障 
T85n2771_001:0370c21	次明顯過。彼有疾菩薩為滅法想當作是念	次 明 顯 過 彼 有 疾 菩 薩 為 滅 法 想 當作是念 
T85n2771_001:0370c22	此法想者亦是顛者。此明障也。彼有疾菩薩	此 法 想 者 亦 是 顛 者 此 明 障 也 彼 有 疾 菩 薩 
T85n2771_001:0370c23	者。彼取十解第二念已去菩薩。為滅法想者。	者 彼 取 十 解 第 二 念 已 去 菩 薩 為 滅 法 想 者 
T85n2771_001:0370c24	前生空觀緣法遣生。不破法體。今法空中破	前 生 空 觀 緣 法 遣 生 不 破 法 體 今 法 空 中 破 
T85n2771_001:0370c25	其法體亦不可得。緣法之心名為法想。菩薩	其 法 體 亦 不 可 得 緣 法 之 心 名 為 法 想 菩 薩 
T85n2771_001:0370c26	欲除故言為滅。境界之法從心而生。但使斷	欲 除 故 言 為 滅 境 界 之 法 從 心 而 生 但 使 斷 
T85n2771_001:0370c27	心法自不起故言為滅法想。當作是念此法	心 法 自 不 起 故 言 為 滅 法 想 當作是念 此 法 
T85n2771_001:0370c28	想者亦是顛倒者。前人我執已是見倒。今法	想 者 亦 是 顛 倒 者 前 人 我 執 已 是 見 倒 今 法 
T85n2771_001:0370c29	我執復是心倒。倒義同前故言亦是。執五陰	我 執 復 是 心 倒 倒 義 同 前 故 言 亦 是 執 五 陰 
T85n2771_001:0371a01	法為有定性。翻彼法空無所得理故名顛倒。	法 為 有 定 性 翻 彼 法 空 無 所 得 理 故 名 顛 倒 
T85n2771_001:0371a02	下明顯過顛倒者。是即大患者。此之心倒為	下 明 顯 過 顛 倒 者 是 即 大 患 者 此 之 心 倒 為 
T85n2771_001:0371a03	過處故名大患。解有多義。是大障故故名大	過 處 故 名 大 患 解 有 多 義 是 大 障 故 故 名 大 
T85n2771_001:0371a04	患。感大生死故名大患。障大智故障大理故	患 感 大 生 死 故 名 大 患 障 大 智 故 障 大 理 故 
T85n2771_001:0371a05	障大位故障大果故大人斷故。具如此等大	障 大 位 故 障 大 果 故 大 人 斷 故 具 如 此 等 大 
T85n2771_001:0371a06	過患故故名大患。上來舉障訖。自下翻障顯	過 患 故 故 名 大 患 上 來 舉 障 訖 自 下 翻 障 顯 
T85n2771_001:0371a07	斷。文中初句正明翻障顯斷。第二問答伏斷	斷 文 中 初 句 正 明 翻 障 顯 斷 第 二 問 答 伏 斷 
T85n2771_001:0371a08	方法。我應離之者是初句也。云何為離者。既	方 法 我 應 離 之 者 是 初 句 也 云 何 為 離 者 既 
T85n2771_001:0371a09	欲教我伏離法想。云何方法而得離之。此即	欲 教 我 伏 離 法 想 云 何 方 法 而 得 離 之 此 即 
T85n2771_001:0371a10	問訖。離我我所者明其答也。法執之相莫過	問 訖 離我我所 者 明 其 答 也 法 執 之 相 莫 過 
T85n2771_001:0371a11	二種。一者是我。二者我所。計法有體名之	二 種 一 者 是 我 二 者 我 所 計 法 有 體 名 之 
T85n2771_001:0371a12	為我。計法有用名我所。教其伏斷。是故言離。	為 我 計 法 有 用 名 我 所 教 其 伏 斷 是 故 言 離 
T85n2771_001:0371a13	云何離我我所者。此更進問我與我所。無始	云 何 離我我所 者 此 更 進 問 我 與 我 所 無 始 
T85n2771_001:0371a14	執著云何可離。答云。謂離二法。我與我所二	執 著 云 何 可 離 答 云 謂 離 二 法 我 與 我 所 二 
T85n2771_001:0371a15	法上生。但離二法我自不起。云何離二法者。	法 上 生 但 離 二 法 我 自 不 起 云 何 離 二 法 者 
T85n2771_001:0371a16	此即進問二法之相。謂不念內外諸法行於	此 即 進 問 二 法 之 相 謂 不 念 內 外 諸 法 行 於 
T85n2771_001:0371a17	平等者。此明答也。一者內法。二者外法。外	平 等 者 此 明 答 也 一 者 內 法 二 者 外 法 外 
T85n2771_001:0371a18	者生死。內者涅槃。故攝論云。若應此法自性	者 生 死 內 者 涅 槃 故 攝 論 云 若 應 此 法 自 性 
T85n2771_001:0371a19	善故成內。若外此法雖復相應則成[穀禾+卵]。復次	善 故 成 內 若 外 此 法 雖 復 相 應 則 成 [穀禾卵] 復 次 
T85n2771_001:0371a20	內者是根。外者是塵。於此內外執有定性及	內 者 是 根 外 者 是 塵 於 此 內 外 執 有 定 性 及 
T85n2771_001:0371a21	以作用。是故起彼我與所。觀此內外寂靜無	以 作 用 是 故 起 彼 我 與 所 觀 此 內 外 寂 靜 無 
T85n2771_001:0371a22	二不起體用。故言平等。云何行行平等者。	二 不 起 體 用 故 言 平 等 云 何 行 行 平 等 者 
T85n2771_001:0371a23	更問平等之觀何處行之。謂我等涅槃等者	更 問 平 等 之 觀 何 處 行 之 謂 我 等 涅 槃 等 者 
T85n2771_001:0371a24	答也。我者生死猶是前外。涅槃者猶是前內。	答 也 我 者 生 死 猶 是 前 外 涅 槃 者 猶 是 前 內 
T85n2771_001:0371a25	於此生死涅槃之上觀之不二名行平等。所	於 此 生死涅槃 之 上 觀 之 不 二 名 行 平 等 所 
T85n2771_001:0371a26	以者何徵問。生死涅槃凡聖路隔。約何道理	以 者 何 徵 問 生死涅槃 凡 聖 路 隔 約 何 道 理 
T85n2771_001:0371a27	而言平等。自下釋之。我及涅槃此二皆空者。	而 言 平 等 自 下 釋 之 我 及 涅 槃 此 二 皆 空 者 
