T45n1852_001:0001a03	三論玄義	三 論 玄 義 
T45n1852_001:0005b04	昔涅槃初度江左。宋道場寺沙門慧觀仍製	昔 涅 槃 初 度 江 左 宋 道 場 寺 沙 門 慧 觀 仍 製 
T45n1852_001:0005b05	經序。略判佛教凡有二科。一者頓教。即華	經 序 略 判 佛 教 凡 有 二 科 一 者 頓 教 即 華 
T45n1852_001:0005b06	嚴之流。但為菩薩具足顯理。二者始從鹿	嚴 之 流 但 為 菩 薩 具 足 顯 理 二 者 始 從 鹿 
T45n1852_001:0005b07	苑終竟鵠林。自淺至深。謂之漸教。於漸	苑 終 竟 鵠 林 自 淺 至 深 謂 之 漸 教 於 漸 
T45n1852_001:0005b08	教內開為五時。一者三乘別教。為聲聞人	教 內 開 為 五 時 一 者 三 乘 別 教 為 聲 聞 人 
T45n1852_001:0005b09	說於四諦。為辟支佛演說十二因緣。為大	說 於 四 諦 為 辟 支 佛 演 說 十二因緣 為 大 
T45n1852_001:0005b10	乘人明於六度。行因各別得果不同。謂三乘	乘 人 明 於 六 度 行 因 各 別 得 果 不 同 謂 三 乘 
T45n1852_001:0005b11	別教。二者般若通化三機。謂三乘通教。三者	別 教 二 者 般 若 通 化 三 機 謂 三 乘 通 教 三 者 
T45n1852_001:0005b12	淨名思益讚揚菩薩抑挫聲聞。謂抑揚教。	淨 名 思 益 讚 揚 菩 薩 抑 挫 聲 聞 謂 抑 揚 教 
T45n1852_001:0005b13	四者法華會彼三乘同歸一極。謂同歸教。	四 者 法 華 會 彼 三 乘 同 歸 一 極 謂 同 歸 教 
T45n1852_001:0005b14	五者涅槃名常住教。自五時已後。雖復改	五 者 涅 槃 名 常 住 教 自 五 時 已 後 雖 復 改 
T45n1852_001:0005b15	易。屬在其間。教雖五時。不出二諦。三假為	易 屬 在 其 間 教 雖 五 時 不 出 二 諦 三 假 為 
T45n1852_001:0005b16	俗。四忘為真。會彼四忘故有三乘賢聖。	俗 四 忘 為 真 會 彼 四 忘 故 有 三 乘 賢 聖 
T45n1852_001:0005b17	破執第二。前責五時次難二諦。問既有五	破 執 第 二 前 責 五 時 次 難 二 諦 問 既 有 五 
T45n1852_001:0005b18	時。云何分於大小。答初一為小。後四為大。	時 云 何 分 於 大 小 答 初 一 為 小 後 四 為 大 
T45n1852_001:0005b19	問道理為有大乘。為無大耶。如其有大則	問 道 理 為 有 大 乘 為 無 大 耶 如 其 有 大 則 
T45n1852_001:0005b20	是有見。若言無大何所立耶。又若謂有大	是 有 見 若 言 無 大 何 所 立 耶 又 若 謂 有 大 
T45n1852_001:0005b21	異小則有小異大。名為二見。大品云。諸	異 小 則 有 小 異 大 名 為 二 見 大 品 云 諸 
T45n1852_001:0005b22	有二者無道無果涅槃云。明與無明愚者	有 二 者 無 道 無 果 涅 槃 云 明 與 無 明 愚 者 
T45n1852_001:0005b23	謂二。又若實有大乘者。名有所得。有所得	謂 二 又 若 實 有 大 乘 者 名 有 所 得 有 所 得 
T45n1852_001:0005b24	者為魔眷屬。非佛弟子。又有所得者不動不	者 為 魔 眷 屬 非 佛 弟 子 又 有 所 得 者 不 動 不 
T45n1852_001:0005b25	出無有乘義。不名為乘。又大乘之宗永斷	出 無 有 乘 義 不 名 為 乘 又 大 乘 之 宗 永 斷 
T45n1852_001:0005b26	生死。名為斷見。涅槃是常。即是常見。乃為	生 死 名 為 斷 見 涅 槃 是 常 即 是 常 見 乃 為 
T45n1852_001:0005b27	斷常。何大之有。次難五時。前總難。次別責。	斷 常 何 大 之 有 次 難 五 時 前 總 難 次 別 責 
T45n1852_001:0005b28	難曰。但應立大小二教。不應制於五時。略	難 曰 但 應 立 大 小 二 教 不 應 制 於 五 時 略 
T45n1852_001:0005b29	引三經三論證之。大品經云。諸天子歎曰。	引 三 經 三 論 證 之 大 品 經 云 諸 天 子 歎 曰 
T45n1852_001:0005c01	我於閻浮見第二法輪轉。龍樹釋云。鹿苑	我 於 閻 浮 見 第 二 法 輪 轉 龍 樹 釋 云 鹿 苑 
T45n1852_001:0005c02	已轉小輪。今復轉大法輪。法華經云。昔於	已 轉 小 輪 今 復 轉 大 法 輪 法 華 經 云 昔 於 
T45n1852_001:0005c03	波羅捺轉於四諦。今在靈鷲山說於一乘。	波 羅 捺 轉 於 四 諦 今 在 靈 鷲 山 說 於 一 乘 
T45n1852_001:0005c04	涅槃經云。昔於鹿林轉小。今於雙樹說	涅 槃 經 云 昔 於 鹿 林 轉 小 今 於 雙 樹 說 
T45n1852_001:0005c05	大。故知教唯二門無五時也。智度論云。佛	大 故 知 教 唯 二 門 無 五 時 也 智 度 論 云 佛 
T45n1852_001:0005c06	法有二。一者三藏。二者大乘藏。地持論云。	法 有 二 一 者 三 藏 二 者 大 乘 藏 地 持 論 云 
T45n1852_001:0005c07	十一部經名聲聞藏。方等大乘名菩薩藏。正	十 一 部 經 名 聲 聞 藏 方 等 大 乘 名 菩 薩 藏 正 
T45n1852_001:0005c08	觀論云。前為聲聞說生滅法。次為菩薩說	觀 論 云 前 為 聲 聞 說 生 滅 法 次 為 菩 薩 說 
T45n1852_001:0005c09	無生滅法。以經論驗之。唯有二藏無五	無 生 滅 法 以 經 論 驗 之 唯 有 二 藏 無 五 
T45n1852_001:0005c10	時矣。問若乃皆是菩薩藏者。華嚴般若法華	時 矣 問 若 乃 皆 是 菩 薩 藏 者 華 嚴 般 若 法 華 
T45n1852_001:0005c11	涅槃。此四何異。答須識四句。眾經煥然。一	涅 槃 此 四 何 異 答 須 識 四 句 眾 經 煥 然 一 
T45n1852_001:0005c12	但教菩薩不化聲聞。謂華嚴經也。二但化	但 教 菩 薩 不 化 聲 聞 謂 華 嚴 經 也 二 但 化 
T45n1852_001:0005c13	聲聞不教菩薩。謂三藏教也。三顯教菩薩	聲 聞 不 教 菩 薩 謂 三 藏 教 也 三 顯 教 菩 薩 
T45n1852_001:0005c14	密化二乘。大品以上法華之前諸大乘教也。	密 化 二 乘 大 品 以 上 法 華 之 前 諸 大 乘 教 也 
T45n1852_001:0005c15	命小乘人說於大法。謂顯教菩薩。密示	命 小 乘 人 說 於 大 法 謂 顯 教 菩 薩 密 示 
T45n1852_001:0005c16	此法。以為己任。如付窮子財。謂密化聲聞	此 法 以 為 己 任 如 付 窮 子 財 謂 密 化 聲 聞 
T45n1852_001:0005c17	也。四顯教聲聞顯教菩薩。法華教也。菩薩	也 四 顯 教 聲 聞 顯 教 菩 薩 法 華 教 也 菩 薩 
T45n1852_001:0005c18	聞是法疑網皆已除。化菩薩也。千二百羅漢	聞 是 法 疑 網 皆 已 除 化 菩 薩 也 千 二 百 羅 漢 
T45n1852_001:0005c19	悉亦當作佛。化二乘也。四句之中。三義屬	悉 亦 當 作 佛 化 二 乘 也 四 句 之 中 三 義 屬 
T45n1852_001:0005c20	菩薩藏內開之。但化二乘為三藏教矣。次	菩 薩 藏 內 開 之 但 化 二 乘 為 三 藏 教 矣 次 
T45n1852_001:0005c21	別難五時。問若立五時有何過耶。答五時	別 難 五 時 問 若 立 五 時 有 何 過 耶 答 五 時 
T45n1852_001:0005c22	之說非但無文。亦復害理。若言第一名三	之 說 非 但 無 文 亦 復 害 理 若 言 第 一 名 三 
T45n1852_001:0005c23	乘別教。是義不然。依毘曇宗。三乘則同見	乘 別 教 是 義 不 然 依 毘 曇 宗 三 乘 則 同 見 
T45n1852_001:0005c24	四諦。然後得道。就成實義。但會一滅方乃	四 諦 然 後 得 道 就 成 實 義 但 會 一 滅 方 乃 
T45n1852_001:0005c25	成聖。據大乘宗。同契無生。然後隔凡。是則	成 聖 據 大 乘 宗 同 契 無 生 然 後 隔 凡 是 則 
T45n1852_001:0005c26	初教亦通。何以言別。次云大品是三乘通	初 教 亦 通 何 以 言 別 次 云 大 品 是 三 乘 通 
T45n1852_001:0005c27	教。是亦不然。釋論云。般若不屬二乘。但屬	教 是 亦 不 然 釋 論 云 般 若 不 屬 二 乘 但 屬 
T45n1852_001:0005c28	菩薩。若大品是三乘通教。則應通屬。何故	菩 薩 若 大 品 是 三 乘 通 教 則 應 通 屬 何 故 
T45n1852_001:0005c29	不屬二乘。問若依釋論明般若但屬菩薩。	不 屬 二 乘 問 若 依 釋 論 明 般 若 但 屬 菩 薩 
T45n1852_001:0006a01	在經何故勸三乘同學般若。答般若有二	在 經 何 故 勸 三 乘 同 學 般 若 答 般 若 有 二 
T45n1852_001:0006a02	種。一者摩訶般若。此云大慧。蓋是菩薩所得。	種 一 者 摩訶般若 此 云 大 慧 蓋 是 菩 薩 所 得 
T45n1852_001:0006a03	故不屬二乘若以實相之境名為般若。則	故 不 屬 二 乘 若 以 實 相 之 境 名 為 般 若 則 
T45n1852_001:0006a04	三乘同觀。故勸三乘令並學之。經師不體	三 乘 同 觀 故 勸 三 乘 令 並 學 之 經 師 不 體 
T45n1852_001:0006a05	二種之說。便謂般若是三乘通教。次云淨名	二 種 之 說 便 謂 般 若 是 三 乘 通 教 次 云 淨 名 
T45n1852_001:0006a06	是抑揚教者。是亦不然。大品呵二乘為癡	是 抑 揚 教 者 是 亦 不 然 大 品 呵 二 乘 為 癡 
T45n1852_001:0006a07	狗。淨名貶聲聞為敗根。挫小既齊。揚大	狗 淨 名 貶 聲 聞 為 敗 根 挫 小 既 齊 揚 大 
T45n1852_001:0006a08	不二。何得以大品為通教。淨名為抑揚。	不 二 何 得 以 大 品 為 通 教 淨 名 為 抑 揚 
T45n1852_001:0006a09	次法華為同歸應無所疑。但在五時之說。	次 法 華 為 同 歸 應 無 所 疑 但 在 五 時 之 說 
T45n1852_001:0006a10	雖辨同歸。未明常住。而天親之論釋法華	雖 辨 同 歸 未 明 常 住 而 天 親 之 論 釋 法 華 
T45n1852_001:0006a11	初分。有七處佛性之文。解後段壽量品。辨	初 分 有 七 處 佛 性 之 文 解 後 段 壽 量 品 辨 
T45n1852_001:0006a12	三身之說。斯乃究竟無餘。不應謂為不了	三 身 之 說 斯 乃 究 竟 無 餘 不 應 謂 為 不 了 
T45n1852_001:0006a13	之教。次涅槃為常住教者。然常與無常皆	之 教 次 涅 槃 為 常 住 教 者 然 常 與 無 常 皆 
T45n1852_001:0006a14	是對治用門。若論涅槃。體絕百非。理超四	是 對 治 用 門 若 論 涅 槃 體 絕 百 非 理 超 四 
T45n1852_001:0006a15	句。舊宗但得用門未識其體。故亦失旨也。	句 舊 宗 但 得 用 門 未 識 其 體 故 亦 失 旨 也 
T45n1852_001:0006a16	次難二諦。迷失二諦凡有三人。一者毘曇。	次 難 二 諦 迷 失 二 諦 凡 有 三 人 一 者 毘 曇 
T45n1852_001:0006a17	執定性之有迷於假有。故失世諦。亦不知	執 定 性 之 有 迷 於 假 有 故 失 世 諦 亦 不 知 
T45n1852_001:0006a18	假有宛然而無所有。復失一真空。二者學	假 有 宛 然 而 無 所 有 復 失 一 真 空 二 者 學 
T45n1852_001:0006a19	大乘者。名方廣道人。執於邪空不知假	大 乘 者 名 方 廣 道 人 執 於 邪 空 不 知 假 
T45n1852_001:0006a20	有。故失世諦。既執邪空迷於正空。亦喪真	有 故 失 世 諦 既 執 邪 空 迷 於 正 空 亦 喪 真 
T45n1852_001:0006a21	矣。三者即世所行。雖具知二諦。或言一體。	矣 三 者 即 世 所 行 雖 具 知 二 諦 或 言 一 體 
T45n1852_001:0006a22	或言二體。立二不成。復喪真俗也。問真俗	或 言 二 體 立 二 不 成 復 喪 真 俗 也 問 真 俗 
T45n1852_001:0006a23	一體。此有何過。答若俗與真一真。真俗亦	一 體 此 有 何 過 答 若 俗 與 真 一 真 真 俗 亦 
T45n1852_001:0006a24	真。若真與俗一俗。俗真亦俗。若真真俗不	真 若 真 與 俗 一 俗 俗 真 亦 俗 若 真 真 俗 不 
T45n1852_001:0006a25	真。則俗與真異。若俗俗真不俗。則真與俗	真 則 俗 與 真 異 若 俗 俗 真 不 俗 則 真 與 俗 
T45n1852_001:0006a26	異。故二途並塞一體不成。問一既有過。異	異 故 二 途 並 塞 一 體 不 成 問 一 既 有 過 異 
T45n1852_001:0006a27	應無咎。答經云。色即是空空即是色。若言	應 無 咎 答 經 云 色 即 是 空 空 即 是 色 若 言 
T45n1852_001:0006a28	各體。相即便壞。若有雙即。便二體不成。故	各 體 相 即 便 壞 若 有 雙 即 便 二 體 不 成 故 
T45n1852_001:0006a29	進退無通。異義亦屈。然五時不立。真俗又	進 退 無 通 異 義 亦 屈 然 五 時 不 立 真 俗 又 
T45n1852_001:0006b01	傾。大乘之宗言將何寄。	傾 大 乘 之 宗 言 將 何 寄 
T45n1852_001:0006b02	顯正第二。自上已來破外道毘曇成實大乘。	顯 正 第 二 自 上 已 來 破 外 道 毘 曇 成 實 大 乘 
T45n1852_001:0006b03	從此已後序前四宗斥於三論。故通其邪	從此已後 序 前 四 宗 斥 於 三 論 故 通 其 邪 
T45n1852_001:0006b04	難顯明正理。上既遍斥四宗。於時群難競	難 顯 明 正 理 上 既 遍 斥 四 宗 於 時 群 難 競 
T45n1852_001:0006b05	起咸疑。龍樹非是正師。所造之論應為邪	起 咸 疑 龍 樹 非 是 正 師 所 造 之 論 應 為 邪 
T45n1852_001:0006b06	法。是故此章次明顯正義。正義雖多略標	法 是 故 此 章 次 明 顯 正 義 正 義 雖 多 略 標 
T45n1852_001:0006b07	二種。一明人正。次顯法正。言人正者。楞伽	二 種 一 明 人 正 次 顯 法 正 言 人 正 者 楞 伽 
T45n1852_001:0006b08	經大慧菩薩問。世尊滅度後。是法何人持。佛	經 大 慧 菩 薩 問 世 尊 滅 度 後 是 法 何 人 持 佛 
T45n1852_001:0006b09	說偈答。於我滅度後。南天大國中。有大德	說 偈 答 於 我 滅 度 後 南 天 大 國 中 有 大 德 
T45n1852_001:0006b10	比丘。名龍樹菩薩。住初歡喜地。為人說大	比 丘 名 龍 樹 菩 薩 住 初歡喜地 為 人 說 大 
T45n1852_001:0006b11	乘。能破有無見。往生安養國。次摩耶經云。	乘 能 破 有 無 見 往 生 安 養 國 次 摩 耶 經 云 
T45n1852_001:0006b12	摩耶問阿難曰。佛滅度後。何人持法。阿難	摩 耶 問 阿 難 曰 佛 滅 度 後 何 人 持 法 阿 難 
T45n1852_001:0006b13	答曰。如來正法五百年。第一百年優婆掘多	答 曰 如 來 正 法 五 百 年 第 一 百 年 優 婆 掘 多 
T45n1852_001:0006b14	說法教化住持正法。次二百年尸羅難陀比	說 法 教 化 住 持 正 法 次 二 百 年 尸 羅 難 陀 比 
T45n1852_001:0006b15	丘於閻浮提度十億人。次三百年青蓮華眼	丘 於 閻 浮 提 度 十 億 人 次 三 百 年 青 蓮 華 眼 
T45n1852_001:0006b16	比丘說法教化度半億人。次四百年間牛口	比 丘 說 法 教 化 度 半 億 人 次 四 百 年 間 牛 口 
T45n1852_001:0006b17	比丘演說法要度一萬人。第五百年寶天比	比 丘 演 說 法 要 度 一 萬 人 第 五 百 年 寶 天 比 
T45n1852_001:0006b18	丘度二萬人。八萬眾生發菩提心正法便	丘 度 二 萬 人 八 萬 眾 生 發菩提心 正 法 便 
T45n1852_001:0006b19	滅。六百年間九十六種邪見競興破滅佛法。	滅 六 百 年 間 九 十 六 種 邪 見 競 興 破 滅 佛 法 
T45n1852_001:0006b20	馬鳴比丘摧此外道。七百年間有一比丘。名	馬 鳴 比 丘 摧 此 外 道 七 百 年 間 有 一 比 丘 名 
T45n1852_001:0006b21	曰龍樹。善巧說法。燃正法炬滅邪見幢。	曰 龍 樹 善 巧 說 法 燃 正 法 炬 滅 邪 見 幢 
T45n1852_001:0006b22	尋大小乘經。親記龍樹破邪顯正。今內外	尋 大 小 乘 經 親 記 龍 樹 破 邪 顯 正 今 內 外 
T45n1852_001:0006b23	並呵。大小俱斥。何所疑哉。又馬鳴龍樹佛	並 呵 大 小 俱 斥 何 所 疑 哉 又 馬 鳴 龍 樹 佛 
T45n1852_001:0006b24	有誠記。尚復生疑。法勝訶梨無經所印。云	有 誠 記 尚 復 生 疑 法 勝 訶 梨 無 經 所 印 云 
T45n1852_001:0006b25	何輒受。問法勝乃未見誠文。訶梨亦有明	何 輒 受 問 法 勝 乃 未 見 誠 文 訶 梨 亦 有 明 
T45n1852_001:0006b26	據。阿含經云。實名四諦。是故比丘當成四	據 阿 含 經 云 實 名 四 諦 是 故 比 丘 當 成 四 
T45n1852_001:0006b27	諦。佛垂此勅。懸鑒有在。逮茲像末。允屬訶	諦 佛 垂 此 勅 懸 鑒 有 在 逮 茲 像 末 允 屬 訶 
T45n1852_001:0006b28	梨。為成是法。故造斯論。紘宗若斯。豈虛搆	梨 為 成 是 法 故 造 斯 論 紘 宗 若 斯 豈 虛 搆 
T45n1852_001:0006b29	哉。答蓋是通指像末。豈別主訶梨。故非所	哉 答 蓋 是 通 指 像 末 豈 別 主 訶 梨 故 非 所 
T45n1852_001:0006c01	據也。顯法正第二。問龍樹著述部類甚多。	據 也 顯 法 正 第 二 問 龍 樹 著 述 部 類 甚 多 
T45n1852_001:0006c02	三論偏空似非究竟。答僧叡昔在什公門	三 論 偏 空 似 非 究 竟 答 僧 叡 昔 在 什 公 門 
T45n1852_001:0006c03	下為翻譯之宗。其論序云。夫百梁之搆興則	下 為 翻 譯 之 宗 其 論 序 云 夫 百 梁 之 搆 興 則 
T45n1852_001:0006c04	鄙茅茨之仄陋。覩斯論之紘博則知偏悟	鄙 茅 茨 之 仄 陋 覩 斯 論 之 紘 博 則 知 偏 悟 
T45n1852_001:0006c05	之鄙倍。故偏主小乘。正歸此論。又如前云。	之 鄙 倍 故 偏 主 小 乘 正 歸 此 論 又 如 前 云 
T45n1852_001:0006c06	天竺十六大國方八千里。有向化之緣。並	天 竺 十六大國 方 八 千 里 有 向 化 之 緣 並 
T45n1852_001:0006c07	為委誠龍樹為無相佛。敢預學者之徒無	為 委 誠 龍 樹 為 無 相 佛 敢 預 學 者 之 徒 無 
T45n1852_001:0006c08	不翫味斯論以為喉衿。若是偏空。豈為諸	不 翫 味 斯 論 以 為 喉 衿 若 是 偏 空 豈 為 諸 
T45n1852_001:0006c09	國所重。又羅什本執小乘。因此論而迴轍	國 所 重 又 羅 什 本 執 小 乘 因 此 論 而 迴 轍 
T45n1852_001:0006c10	正觀。厥後眾師藉斯文而曉迷。以此詳之。	正 觀 厥 後 眾 師 藉 斯 文 而 曉 迷 以 此 詳 之 
T45n1852_001:0006c11	蓋是究竟無餘之說。問若內外並呵大小俱	蓋 是 究 竟 無 餘 之 說 問 若 內 外 並 呵 大 小 俱 
T45n1852_001:0006c12	斥。此論宗旨何所依據耶。答若心存內外	斥 此 論 宗 旨 何 所 依 據 耶 答 若 心 存 內 外 
T45n1852_001:0006c13	情寄大小。則墮在偏邪失於正理。既失正	情 寄 大 小 則 墮 在 偏 邪 失 於 正 理 既 失 正 
T45n1852_001:0006c14	理則正觀不生。若正觀不生則斷常不滅。	理 則 正 觀 不 生 若 正 觀 不 生 則 斷 常 不 滅 
T45n1852_001:0006c15	若斷常不滅則苦輪常運。以內外並冥大小	若 斷 常 不 滅 則 苦 輪 常 運 以 內 外 並 冥 大 小 
T45n1852_001:0006c16	俱寂。始名正理。悟斯正理則發生正觀。正	俱 寂 始 名 正 理 悟 斯 正 理 則 發 生 正 觀 正 
T45n1852_001:0006c17	觀若生則戲論斯滅。戲論斯滅則苦輪便壞。	觀 若 生 則 戲 論 斯 滅 戲 論 斯 滅 則 苦 輪 便 壞 
T45n1852_001:0006c18	三論大宗其意若此。蓋乃總眾教之旨歸。	三 論 大 宗 其 意 若 此 蓋 乃 總 眾 教 之 旨 歸 
T45n1852_001:0006c19	統群聖之靈府。味道之流豈不栖憑斯趣	統 群 聖 之 靈 府 味 道 之 流 豈 不 栖 憑 斯 趣 
T45n1852_001:0006c20	耶。問若內外並除大小俱斥。乃為斷見。何	耶 問 若 內 外 並 除 大 小 俱 斥 乃 為 斷 見 何 
T45n1852_001:0006c21	名正宗。答既內外並冥。則斷常斯寂。二邊既	名 正 宗 答 既 內 外 並 冥 則 斷 常 斯 寂 二 邊 既 
T45n1852_001:0006c22	捨。寧非正宗耶。難曰。夫有斷有常故名之	捨 寧 非 正 宗 耶 難 曰 夫 有 斷 有 常 故 名 之 
T45n1852_001:0006c23	為有。無斷無常目之為無。既其是無。何由	為 有 無 斷 無 常 目 之 為 無 既 其 是 無 何 由 
T45n1852_001:0006c24	離斷。答既斷常斯寂。則有無等皆離。不應	離 斷 答 既 斷 常 斯 寂 則 有 無 等 皆 離 不 應 
T45n1852_001:0006c25	更復謂染於無。難曰。雖有此通。終不免難。	更 復 謂 染 於 無 難 曰 雖 有 此 通 終 不 免 難 
T45n1852_001:0006c26	夫有有有無名之為有。無有無無始是大	夫 有 有 有 無 名 之 為 有 無 有 無 無 始 是 大 
T45n1852_001:0006c27	無。既其墮無。何由離斷。答本對有病。是故	無 既 其 墮 無 何 由 離 斷 答 本 對 有 病 是 故 
T45n1852_001:0006c28	說無。有病若消。空藥亦廢則知聖道未曾有	說 無 有 病 若 消 空 藥 亦 廢 則 知 聖 道 未 曾 有 
T45n1852_001:0006c29	無。何所滯耶。難曰。是有是無名為兩是。非	無 何 所 滯 耶 難 曰 是 有 是 無 名 為 兩 是 非 
T45n1852_001:0007a01	有非無名為兩非。既墮是非。還同儒墨。答	有 非 無 名 為 兩 非 既 墮 是 非 還 同 儒 墨 答 
T45n1852_001:0007a02	本非二是。故有雙非。二是既亡。雙非亦息。	本 非 二 是 故 有 雙 非 二 是 既 亡 雙 非 亦 息 
T45n1852_001:0007a03	故知非是亦復非非。難曰。非是非非還墮	故 知 非 是 亦 復 非 非 難 曰 非 是 非 非 還 墮 
T45n1852_001:0007a04	二非。何由免非。答二是生乎夢虎。兩非還	二 非 何 由 免 非 答 二 是 生 乎 夢 虎 兩 非 還 
T45n1852_001:0007a05	見空華。則知本無所是。今亦無非。難曰。若	見 空 華 則 知 本 無 所 是 今 亦 無 非 難 曰 若 
T45n1852_001:0007a06	無是無非。亦不邪不正。何故建篇章稱	無 是 無 非 亦 不 邪 不 正 何 故 建 篇 章 稱 
T45n1852_001:0007a07	破邪顯正。答夫有非有是此則為邪。無是	破 邪 顯 正 答 夫 有 非 有 是 此 則 為 邪 無 是 
T45n1852_001:0007a08	無非乃名為正。所以命篇辨破邪顯正。難	無 非 乃 名 為 正 所 以 命 篇 辨 破 邪 顯 正 難 
T45n1852_001:0007a09	曰。既有邪可破。有正可顯。則心有取捨	曰 既 有 邪 可 破 有 正 可 顯 則 心 有 取 捨 
T45n1852_001:0007a10	何謂無依。答為息於邪強名為正。在邪既	何 謂 無 依 答 為 息 於 邪 強 名 為 正 在 邪 既 
T45n1852_001:0007a11	息則正亦不留。故心無所著。難曰。若邪正	息 則 正 亦 不 留 故 心無所著 難 曰 若 邪 正 
T45n1852_001:0007a12	並冥。豈非空見。答正觀論云。大聖說空法。	並 冥 豈 非 空 見 答 正 觀 論 云 大 聖 說 空 法 
T45n1852_001:0007a13	為離諸見故。若復見有空。諸佛所不化。	為 離 諸 見 故 若 復 見 有 空 諸 佛 所 不 化 
T45n1852_001:0007a14	如水能滅火。今水還出火。當用何滅。斷	如 水 能 滅 火 今 水 還 出 火 當 用 何 滅 斷 
T45n1852_001:0007a15	常為火。空能滅之。若復著空。即無藥可滅	常 為 火 空 能 滅 之 若 復 著 空 即 無 藥 可 滅 
T45n1852_001:0007a16	也。難曰。既著空病。何故不服有藥而言息	也 難 曰 既 著 空 病 何 故 不 服 有 藥 而 言 息 
T45n1852_001:0007a17	化。答若以有化。還復滯有。乃至亡言便	化 答 若 以 有 化 還 復 滯 有 乃 至 亡 言 便 
T45n1852_001:0007a18	復著斷。如此之流何由可化。問心有所著。	復 著 斷 如 此 之 流 何 由 可 化 問 心 有 所 著 
T45n1852_001:0007a19	有何過耶。答若有所著便有所縛。不得	有 何 過 耶 答 若 有 所 著 便 有 所 縛 不 得 
T45n1852_001:0007a20	解脫生老病死憂悲苦惱。故法華云。我以無	解 脫 生老病死 憂 悲 苦 惱 故 法 華 云 我 以 無 
T45n1852_001:0007a21	數方便引道眾生令離諸著。淨名云。不	數 方 便 引 道 眾 生 令 離 諸 著 淨 名 云 不 
T45n1852_001:0007a22	著世間如蓮華。常善入於空寂行。達諸法	著 世 間 如 蓮 華 常 善 入 於 空 寂 行 達 諸 法 
T45n1852_001:0007a23	相無罣礙。稽首如空無所依。三世諸佛為	相 無 罣 礙 稽 首 如 空 無 所 依 三世諸佛 為 
T45n1852_001:0007a24	六道眾生心有所著故出世說經。四依開士	六 道 眾 生 心 有 所 著 故 出 世 說 經 四 依 開 士 
T45n1852_001:0007a25	為大小學人心有所依故出世造論。故有	為 大 小 學 人 心 有 所 依 故 出 世 造 論 故 有 
T45n1852_001:0007a26	依有得為生死之本。無住無著為經論大宗。	依 有 得 為 生 死 之 本 無 住 無 著 為 經 論 大 宗 
T45n1852_001:0007a27	難曰。若內外並冥。佛經何故說大小兩教。答	難 曰 若 內 外 並 冥 佛 經 何 故 說 大 小 兩 教 答 
T45n1852_001:0007a28	法華云。是法不可示。言辭相寂滅。如來於	法 華 云 是 法 不 可 示 言 辭 相 寂 滅 如 來 於 
T45n1852_001:0007a29	無名相中強名相說。故有大小教門。欲令	無 名 相 中 強 名 相 說 故 有 大 小 教 門 欲 令 
T45n1852_001:0007b01	眾生因此名相悟無名相。而封教之徒聞	眾 生 因 此 名 相 悟 無 名 相 而 封 教 之 徒 聞 
T45n1852_001:0007b02	說大小更生染著。是故造論破斯執情。還	說 大 小 更 生 染 著 是 故 造 論 破 斯 執 情 還 
T45n1852_001:0007b03	令了悟本來寂滅。故四依出世為如佛也。	令 了 悟 本 來 寂 滅 故 四 依 出 世 為 如 佛 也 
T45n1852_001:0007b04	問此論名為正觀。正有幾種。答天無兩日。	問 此 論 名 為 正 觀 正 有 幾 種 答 天 無 兩 日 
T45n1852_001:0007b05	土無二王。教有多門理唯一正。是故上來	土 無 二 王 教 有 多 門 理 唯 一 正 是 故 上 來 
T45n1852_001:0007b06	破斥四宗。華嚴云。文殊法常爾。法王唯一	破 斥 四 宗 華 嚴 云 文 殊 法 常 爾 法 王 唯 一 
T45n1852_001:0007b07	法。一切無畏人。一道出生死。但欲出處眾	法 一 切 無 畏 人 一 道 出 生 死 但 欲 出 處 眾 
T45n1852_001:0007b08	生。於無名相法強名相說。令稟學之徒因	生 於 無 名 相 法 強 名 相 說 令 稟 學 之 徒 因 
T45n1852_001:0007b09	而得悟。故開二正。一者體正。二者用正。非	而 得 悟 故 開 二 正 一 者 體 正 二 者 用 正 非 
T45n1852_001:0007b10	真非俗名為體正。真之與俗目為用正。所	真 非 俗 名 為 體 正 真 之 與 俗 目 為 用 正 所 
T45n1852_001:0007b11	以然者。諸法實相言亡慮絕。未曾真俗。故	以 然 者 諸法實相 言 亡 慮 絕 未 曾 真 俗 故 
T45n1852_001:0007b12	名之為體。絕諸偏邪目之為正。故言體	名 之 為 體 絕 諸 偏 邪 目 之 為 正 故 言 體 
T45n1852_001:0007b13	正。所言用正者。體絕名言物無由悟。雖	正 所 言 用 正 者 體 絕 名 言 物 無 由 悟 雖 
T45n1852_001:0007b14	非有無強說真俗。故名為用。此真之與俗	非 有 無 強 說 真 俗 故 名 為 用 此 真 之 與 俗 
T45n1852_001:0007b15	亦不偏邪。目之為正。故名用正也。問既	亦 不 偏 邪 目 之 為 正 故 名 用 正 也 問 既 
T45n1852_001:0007b16	云真俗則是二邊。何名為正。答如因緣假	云 真 俗 則 是 二 邊 何 名 為 正 答 如 因 緣 假 
T45n1852_001:0007b17	有目之為俗。然假有不可言其定有。假有	有 目 之 為 俗 然 假 有 不 可 言 其 定 有 假 有 
T45n1852_001:0007b18	不可言其定無。此之假有遠離二邊。故名	不 可 言 其 定 無 此 之 假 有 遠離二邊 故 名 
