X88n1641_001:0022b06	見聞錄	見 聞 錄 
X88n1641_001:0026c14	淞江海口有朱姓者。慣收大猪宰殺為業。崇禎己卯	淞 江 海 口 有 朱 姓 者 慣 收 大 猪 宰 殺 為 業 崇 禎 己 卯 
X88n1641_001:0026c15	年正月間。至二鼓時偶起登廁。聞人語聲。疑以為盜。	年 正 月 間 至 二 鼓 時 偶 起 登 廁 聞 人 語 聲 疑 以 為 盜 
X88n1641_001:0026c16	執杖隨聲尋去。乃在猪欄中作福建人語。一云。苦哉。	執 杖 隨 聲 尋 去 乃 在 猪 欄 中 作 福 建 人 語 一 云 苦 哉 
X88n1641_001:0026c17	我明日必當見殺矣。一云。汝本當作猪七次。今已六	我 明 日 必 當 見 殺 矣 一 云 汝 本 當 作 猪 七 次 今 已 六 
X88n1641_001:0026c18	次。苦將脫矣。我當作猪五次。今方初次。是為苦耳。其	次 苦 將 脫 矣 我 當 作 猪 五 次 今 方 初 次 是 為 苦 耳 其 
X88n1641_001:0026c19	人本解福建鄉語。聞之大駭。遂棄惡業。	人 本 解 福 建 鄉 語 聞 之 大 駭 遂 棄 惡 業 
X88n1641_001:0026c20	又一人宰羊為業。亦于己卯年正月間至鄉間買四	又 一 人 宰 羊 為 業 亦 于 己 卯 年 正 月 間 至 鄉 間 買 四 
X88n1641_001:0026c21	羊牽歸。未至家中僅十里許。四羊爭躑躅。觸倒此人。	羊 牽 歸 未 至 家 中 僅 十 里 許 四 羊 爭 躑 躅 觸 倒 此 人 
X88n1641_001:0026c22	一羊牽其頭。一羊按其兩足。二羊上其腹極力抵觸	一 羊 牽 其 頭 一 羊 按 其 兩 足 二 羊 上 其 腹 極 力 抵 觸 
X88n1641_001:0026c23	致死(已上四事並程智用親見故說)。	致 死 已 上 四 事 並 程 智 用 親 見 故 說 
X88n1641_001:0026c24	神廟時有一士子。弱冠即舉進士。座師及同年諸友	神 廟 時 有 一 士 子 弱 冠 即 舉 進 士 座 師 及 同 年 諸 友 
X88n1641_001:0027a01	咸器重之。其父待之愈嚴。稍不如法輒加笞辱。一日	咸 器 重 之 其 父 待 之 愈 嚴 稍 不 如 法 輒 加 笞 辱 一 日 
X88n1641_001:0027a02	有同年公請士飲酒。士因父責遲遲乃去。兼向同年	有 同 年 公 請 士 飲 酒 士 因 父 責 遲 遲 乃 去 兼 向 同 年 
X88n1641_001:0027a03	哭愬此情。同年大歎服曰。甚矣。老年伯之深為年兄	哭 愬 此 情 同 年 大 歎 服 曰 甚 矣 老 年 伯 之 深 為 年 兄 
X88n1641_001:0027a04	也。夫弟輩半生苦心。僅獲一第。而兄年未二十。亦遂	也 夫 弟 輩 半 生 苦 心 僅 獲 一 第 而 兄 年 未 二 十 亦 遂 
X88n1641_001:0027a05	得第。且名聲藉藉反勝弟輩。此造化所忌也。年伯若	得 第 且 名 聲 藉 藉 反 勝 弟 輩 此 造 化 所 忌 也 年 伯 若 
X88n1641_001:0027a06	不用惡辣鉗錘。則兄必恣情任意。福壽俱損矣。士乃	不 用 惡 辣 鉗 錘 則 兄 必 恣 情 任 意 福 壽 俱 損 矣 士 乃 
X88n1641_001:0027a07	醒悟。歸時頓改舊觀。父訝問之。汝為自解我意能如	醒 悟 歸 時 頓 改 舊 觀 父 訝 問 之 汝 為 自 解 我 意 能 如 
X88n1641_001:0027a08	此改過耶。抑誰向汝說破耶。士述同年語以對。父乃	此 改 過 耶 抑 誰 向 汝 說 破 耶 士 述 同 年 語 以 對 父 乃 
X88n1641_001:0027a09	敦請同年。公命士禮之為師。以受切磋琢磨之益。	敦 請 同 年 公 命 士 禮 之 為 師 以 受 切 磋 琢 磨 之 益 
X88n1641_001:0027a10	和州有一居民。忘其姓。養鵝百餘隻。偶一日鵝食其	和 州 有 一 居 民 忘 其 姓 養 鵝 百 餘 隻 偶 一 日 鵝 食 其 
X88n1641_001:0027a11	親鄰稻穀。鄰打殺其鵝至五十餘。民婦見之。始亦甚	親 鄰 稻 穀 鄰 打 殺 其 鵝 至 五 十 餘 民 婦 見 之 始 亦 甚 
X88n1641_001:0027a12	怒。次深思曰。我設欲與成訟。力能勝彼。但須費數十	怒 次 深 思 曰 我 設 欲 與 成 訟 力 能 勝 彼 但 須 費 數 十 
X88n1641_001:0027a13	金。計鵝所直不及其半。且鵝雖死。亦尚可用。何必爭	金 計 鵝 所 直 不 及 其 半 且 鵝 雖 死 亦 尚 可 用 何 必 爭 
X88n1641_001:0027a14	此空氣。又吾夫今已醉臥。設與知之。或起敺打。尤為	此 空 氣 又 吾 夫 今 已 醉 臥 設 與 知 之 或 起 敺 打 尤 為 
X88n1641_001:0027a15	不便。遂命僮收拾死鵞醃之。次早鄰人忽自暴死。其	不 便 遂 命 僮 收 拾 死 鵞 醃 之 次 早 鄰 人 忽 自 暴 死 其 
X88n1641_001:0027a16	夫醉醒。歎訝其人無病而卒。甚為奇異。婦乃以昨事	夫 醉 醒 歎 訝 其 人 無 病 而 卒 甚 為 奇 異 婦 乃 以 昨 事 
X88n1641_001:0027a17	告之。夫深感曰。設汝昨為我說。我乘醉力必敺打之。	告 之 夫 深 感 曰 設 汝 昨 為 我 說 我 乘 醉 力 必 敺 打 之 
X88n1641_001:0027a18	不幾成人命乎。乃集親友作證。拜謝其婦(已上二事釋成泰說)。	不 幾 成 人 命 乎 乃 集 親 友 作 證 拜 謝 其 婦 已 上 二 事 釋 成 泰 說 
X88n1641_001:0027a19	池州府殷家滙經紀行。有一棉花客往鄉收花。途遇	池 州 府 殷 家 滙 經 紀 行 有 一 棉 花 客 往 鄉 收 花 途 遇 
X88n1641_001:0027a20	打狗者負一大犬。買歸放生。剩食飼之。弗離左右。一	打 狗 者 負 一 大 犬 買 歸 放 生 剩 食 飼 之 弗 離 左 右 一 
X88n1641_001:0027a21	日至丁家洲收花。行主人叫舟送之。犬亦隨往。舟子	日 至 丁 家 洲 收 花 行 主 人 叫 舟 送 之 犬 亦 隨 往 舟 子 
X88n1641_001:0027a22	見客銀多。起不良心。撐至江邊將客置布袋中。結口	見 客 銀 多 起 不 良 心 撐 至 江 邊 將 客 置 布 袋 中 結 口 
X88n1641_001:0027a23	投水。犬遂下水口銜袋結嘶吠不已。漁人見而挽出。	投 水 犬 遂 下 水 口 銜 袋 結 嘶 吠 不 已 漁 人 見 而 挽 出 
X88n1641_001:0027a24	客因得蘇。回至行中。備言其事。行主安慰客心。佯為	客 因 得 蘇 回 至 行 中 備 言 其 事 行 主 安 慰 客 心 佯 為 
X88n1641_001:0027b01	不知。往舟子家探問。客信且邀舟子到行飲酒。乃令	不 知 往 舟 子 家 探 問 客 信 且 邀 舟 子 到 行 飲 酒 乃 令 
X88n1641_001:0027b02	客出面詰。伏罪奉還原銀。	客 出 面 詰 伏 罪 奉 還 原 銀 
X88n1641_001:0027b03	九華山有住莊人。好殺鹿。一日率眾網鹿。見有老鹿	九 華 山 有 住 莊 人 好 殺 鹿 一 日 率 眾 網 鹿 見 有 老 鹿 
X88n1641_001:0027b04	身斑異色。四圍覓之。鹿見勢迫竄入莊家。眾復趕進。	身 斑 異 色 四 圍 覓 之 鹿 見 勢 迫 竄 入 莊 家 眾 復 趕 進 
X88n1641_001:0027b05	鹿跪伏淚下乞命。莊人以矛逆刺鹿目。鹿未去皮。而	鹿 跪 伏 淚 下 乞 命 莊 人 以 矛 逆 刺 鹿 目 鹿 未 去 皮 而 
X88n1641_001:0027b06	莊人眼忽先瞎矣。	莊 人 眼 忽 先 瞎 矣 
X88n1641_001:0027b07	青陽縣老田吳六房。有家人名吳毛。持戒茹素甚潔。	青 陽 縣 老 田 吳 六 房 有 家 人 名 吳 毛 持 戒 茹 素 甚 潔 
X88n1641_001:0027b08	左兵渡江搶虜殺人。主人盡走避之。惟吳毛代主看	左 兵 渡 江 搶 虜 殺 人 主 人 盡 走 避 之 惟 吳 毛 代 主 看 
X88n1641_001:0027b09	守房屋。被賊七鎗而死。頃之厥弟來看。毛復醒。向弟	守 房 屋 被 賊 七 鎗 而 死 頃 之 厥 弟 來 看 毛 復 醒 向 弟 
X88n1641_001:0027b10	曰。我夙業應七受猪身。因齋戒力。今受七鎗以酬往	曰 我 夙 業 應 七 受 猪 身 因 齋 戒 力 今 受 七 鎗 以 酬 往 
X88n1641_001:0027b11	因。徑生天矣。言訖遂逝。其弟素不信善。聞之駭然。亦	因 徑 生 天 矣 言 訖 遂 逝 其 弟 素 不 信 善 聞 之 駭 然 亦 
X88n1641_001:0027b12	遂回心。	遂 回 心 
X88n1641_001:0027b13	九華山澗多產石雞。形似蝦蟆而大。味勝家雞。每有	九 華 山 澗 多 產 石 雞 形 似 蝦 蟆 而 大 味 勝 家 雞 每 有 
X88n1641_001:0027b14	上司過縣。必票取之。偶一夜。莊人以火照巖。舒手探	上 司 過 縣 必 票 取 之 偶 一 夜 莊 人 以 火 照 巖 舒 手 探 
X88n1641_001:0027b15	取。被石雞咬住兩手。死不可拔。直至五更。聞寺鐘聲。	取 被 石 雞 咬 住 兩 手 死 不 可 拔 直 至 五 更 聞 寺 鐘 聲 
X88n1641_001:0027b16	石雞各似合掌念佛之狀。莊人乃得脫走。	石 雞 各 似 合 掌 念 佛 之 狀 莊 人 乃 得 脫 走 
X88n1641_001:0027b17	池州府有一人。恒誦三官經。流賊臨城。其人夢三官	池 州 府 有 一 人 恒 誦 三 官 經 流 賊 臨 城 其 人 夢 三 官 
X88n1641_001:0027b18	告云。汝前世曾殺一人。今來報讐。不可免矣。驚懼而	告 云 汝 前 世 曾 殺 一 人 今 來 報 讐 不 可 免 矣 驚 懼 而 
X88n1641_001:0027b19	醒。復加懇禱。又得夢云。往業難逃。豈能曲救。但汝夙	醒 復 加 懇 禱 又 得 夢 云 往 業 難 逃 豈 能 曲 救 但 汝 夙 
X88n1641_001:0027b20	冤名朱七。騎紅馬。明日必來。汝可跪於門前。口稱朱	冤 名 朱 七 騎 紅 馬 明 日 必 來 汝 可 跪 於 門 前 口 稱 朱 
X88n1641_001:0027b21	七將軍饒命。彼或問汝何故知我名字。即以兩夢告	七 將 軍 饒 命 彼 或 問 汝 何 故 知 我 名 字 即 以 兩 夢 告 
X88n1641_001:0027b22	之可也。次日果於門前見有騎紅馬者。跪稱朱七將	之 可 也 次 日 果 於 門 前 見 有 騎 紅 馬 者 跪 稱 朱 七 將 
X88n1641_001:0027b23	軍饒命。賊聞驚異。問知其故。遂憮然若失。置之不殺	軍 饒 命 賊 聞 驚 異 問 知 其 故 遂 憮 然 若 失 置 之 不 殺 
X88n1641_001:0027b24	而去。	而 去 
X88n1641_001:0027c01	釋復禮。訪知友。歸九華。夜夢黃冠羽流三人奔求救	釋 復 禮 訪 知 友 歸 九 華 夜 夢 黃 冠 羽 流 三 人 奔 求 救 
X88n1641_001:0027c02	命。旁有同衣詆之。次日行路。見一童子手提三鱔。肥	命 旁 有 同 衣 詆 之 次 日 行 路 見 一 童 子 手 提 三 鱔 肥 
X88n1641_001:0027c03	大異常。買放井中。旁有一釋痛加訶罵。謂不宜放入	大 異 常 買 放 井 中 旁 有 一 釋 痛 加 訶 罵 謂 不 宜 放 入 
X88n1641_001:0027c04	於井。方悟夜夢即此三鱔云(已上六事俱釋隆仁說)。	於 井 方 悟 夜 夢 即 此 三 鱔 云 已 上 六 事 俱 釋 隆 仁 說 
X88n1641_001:0027c05	徽州商人程伯鱗。久居揚州。事觀音大士甚虔。乙酉	徽 州 商 人 程 伯 鱗 久 居 揚 州 事 觀 音 大 士 甚 虔 乙 酉 
X88n1641_001:0027c06	夏北兵破揚城。程禱大士求救。乃得夢云。汝家共十	夏 北 兵 破 揚 城 程 禱 大 士 求 救 乃 得 夢 云 汝 家 共 十 
X88n1641_001:0027c07	七人。餘十六口俱不在劫。惟汝在數。不可逃也。程既	七 人 餘 十 六 口 俱 不 在 劫 惟 汝 在 數 不 可 逃 也 程 既 
X88n1641_001:0027c08	醒。又復懇禱。仍得夢云。汝前生殺王麻子二十六刀。	醒 又 復 懇 禱 仍 得 夢 云 汝 前 生 殺 王 麻 子 二 十 六 刀 
X88n1641_001:0027c09	今須償彼。決不可逃。汝當分付家中十六口。並住東	今 須 償 彼 決 不 可 逃 汝 當 分 付 家 中 十 六 口 並 住 東 
X88n1641_001:0027c10	廂。汝獨在中堂俟之。勿併遺累家人也。程頷之。越五	廂 汝 獨 在 中 堂 俟 之 勿 併 遺 累 家 人 也 程 頷 之 越 五 
X88n1641_001:0027c11	日北兵扣門。程即問曰。汝非王麻子乎。若是王麻子	日 北 兵 扣 門 程 即 問 曰 汝 非 王 麻 子 乎 若 是 王 麻 子 
X88n1641_001:0027c12	可來殺我二十六刀。若非王麻子則本無怨。不須進	可 來 殺 我 二 十 六 刀 若 非 王 麻 子 則 本 無 怨 不 須 進 
X88n1641_001:0027c13	門。兵云。我正是王麻子。程遂開門納之。兵下馬驚問。	門 兵 云 我 正 是 王 麻 子 程 遂 開 門 納 之 兵 下 馬 驚 問 
X88n1641_001:0027c14	汝何以知我姓名。程具以兩夢告之。兵歎曰。汝前世	汝 何 以 知 我 姓 名 程 具 以 兩 夢 告 之 兵 歎 曰 汝 前 世 
X88n1641_001:0027c15	殺我二十六刀。我則今世報汝。我今殺汝。汝於來世	殺 我 二 十 六 刀 我 則 今 世 報 汝 我 今 殺 汝 汝 於 來 世 
X88n1641_001:0027c16	不將又報我乎。乃以刀背斫程二十六下而宥之。擕	不 將 又 報 我 乎 乃 以 刀 背 斫 程 二 十 六 下 而 宥 之 擕 
X88n1641_001:0027c17	其家屬同至金陵。	其 家 屬 同 至 金 陵 
X88n1641_001:0027c19	見聞錄(終)	見 聞 錄 終 
