X73n1447_001:0042c06	 前序	 前 序 
X73n1447_001:0047b10	如理。此是上祖家風。後來兒孫不能繼嗣。葢緣易會	如 理 此 是 上 祖 家 風 後 來 兒 孫 不 能 繼 嗣 葢 緣 易 會 
X73n1447_001:0047b11	難見。舉了便會了。謂之隨語生解。亦謂之依通。亦謂	難 見 舉 了 便 會 了 謂 之 隨 語 生 解 亦 謂 之 依 通 亦 謂 
X73n1447_001:0047b12	之鷂子解會。不是親證親悟。所以疑情不息。葢為無	之 鷂 子 解 會 不 是 親 證 親 悟 所 以 疑 情 不 息 葢 為 無 
X73n1447_001:0047b13	本可據。業識忙忙自生異見云。我不入這解脫深坑。	本 可 據 業 識 忙 忙 自 生 異 見 云 我 不 入 這 解 脫 深 坑 
X73n1447_001:0047b14	又云。向這法界走。有甚麼了期。何不覔箇出路裏。又	又 云 向 這 法 界 走 有 甚 麼 了 期 何 不 覔 箇 出 路 裏 又 
X73n1447_001:0047b15	云。自有向上一格事。或云。自有透脫一路。如何是透	云 自 有 向 上 一 格 事 或 云 自 有 透 脫 一 路 如 何 是 透 
X73n1447_001:0047b16	脫一路。王字鑰匙賓鐵打。或云。驢揀濕處尿或云。春	脫 一 路 王 字 鑰 匙 賓 鐵 打 或 云 驢 揀 濕 處 尿 或 云 春 
X73n1447_001:0047b17	草綠濛濛。將上祖門風。却稱提言教以為極則。謂之	草 綠 濛 濛 將 上 祖 門 風 却 稱 提 言 教 以 為 極 則 謂 之 
X73n1447_001:0047b18	輕心重教。弃本逐末。如犬趂塊。百十年來。例皆如此。	輕 心 重 教 弃 本 逐 末 如 犬 趂 塊 百 十 年 來 例 皆 如 此 
X73n1447_001:0047b19	雪峯和尚云。祖師滅了也。被你而今人。埋在荒草裡。	雪 峯 和 尚 云 祖 師 滅 了 也 被 你 而 今 人 埋 在 荒 草 裡 
X73n1447_001:0047b20	若於上祖門風得入。如百千日月。度盡法界一切眾	若 於 上 祖 門 風 得 入 如 百 千 日 月 度 盡 法 界 一 切 眾 
X73n1447_001:0047b21	生。若於言教中得入。如螢火之光自救不了。何以。乾	生 若 於 言 教 中 得 入 如 螢 火 之 光 自 救 不 了 何 以 乾 
X73n1447_001:0047b22	慧不免若轉。諸仁者一等是學。離却文字知見。參取	慧 不 免 若 轉 諸 仁 者 一 等 是 學 離 却 文 字 知 見 參 取 
X73n1447_001:0047b23	自己事。所以佛教祖教。如生冤家。始有少許相應分。	自 己 事 所 以 佛 教 祖 教 如 生 冤 家 始 有 少 許 相 應 分 
X73n1447_001:0047b24	且道。作麼生是相應底事。珍重。	且 道 作 麼 生 是 相 應 底 事 珍 重 
X73n1447_001:0047c01	上堂。皷聲纔動。大眾皆集。直得三世諸佛。異口同音。	上 堂 皷 聲 纔 動 大 眾 皆 集 直 得 三世諸佛 異口同音 
X73n1447_001:0047c02	為諸人演唱。可謂法無不周。義無不備。事無不顯理。	為 諸 人 演 唱 可 謂 法 無 不 周 義 無 不 備 事 無 不 顯 理 
X73n1447_001:0047c03	無不彰。諸人還見麼還聞麼若見。現在諸佛。若不見。	無 不 彰 諸 人 還 見 麼 還 聞 麼 若 見 現在諸佛 若 不 見 
X73n1447_001:0047c04	未來諸佛。則法有斷常。佛有生滅。云何佛言。一切法	未來諸佛 則 法 有 斷 常 佛 有 生 滅 云 何 佛 言 一 切 法 
X73n1447_001:0047c05	不生。一切法不滅。若能如是解。諸佛常現前。然雖如	不 生 一 切 法 不 滅 若 能 如 是 解 諸 佛 常 現 前 然 雖 如 
X73n1447_001:0047c06	是。須是見到始得。不取汝口頭辨。學之不成。須是悟	是 須 是 見 到 始 得 不 取 汝 口 頭 辨 學 之 不 成 須 是 悟 
X73n1447_001:0047c07	之於心。形之於言。故云如證而說。一言一句。是真語	之 於 心 形 之 於 言 故 云 如 證 而 說 一 言 一 句 是 真 語 
X73n1447_001:0047c08	實語。如語不誑語不異語。若也見不到。凡有所說。是	實 語 如 語 不 誑 語 不 異 語 若 也 見 不 到 凡 有 所 說 是 
X73n1447_001:0047c09	大虗妄。自誑誑佗。爾後拔舌犂耕定矣。此之法門。在	大 虗 妄 自 誑 誑 佗 爾 後 拔 舌 犂 耕 定 矣 此 之 法 門 在 
X73n1447_001:0047c10	祖師門下雖是淺近知見。出家人若見不到。謂之生	祖 師 門 下 雖 是 淺 近 知 見 出 家 人 若 見 不 到 謂 之 生 
X73n1447_001:0047c11	盲生聾。華嚴會上判為餓鬼。雖在河邊而不見水。設	盲 生 聾 華 嚴 會 上 判 為 餓 鬼 雖 在 河 邊 而 不 見 水 設 
X73n1447_001:0047c12	有見者皆成猛火。或為膿血。何以。是諸人分上事。全	有 見 者 皆 成 猛 火 或 為 膿 血 何 以 是 諸 人 分 上 事 全 
X73n1447_001:0047c13	在日用中。若也見得。全同諸佛無漏智用。若也不見。	在 日 用 中 若 也 見 得 全 同 諸 佛 無 漏 智 用 若 也 不 見 
X73n1447_001:0047c14	便是凡夫顛倒妄想。故云。醍醐上味為世所珍。遇斯	便 是 凡 夫 顛 倒 妄 想 故 云 醍 醐 上 味 為 世 所 珍 遇 斯 
X73n1447_001:0047c15	等人飜成毒藥。外為聲色所衒。內為見聞所惑。可謂	等 人 飜 成 毒 藥 外 為 聲 色 所 衒 內 為 見 聞 所 惑 可 謂 
X73n1447_001:0047c16	業識忙忙。如何報答四恩。雖然學得佛邊事。亦是行	業 識 忙 忙 如 何 報 答 四 恩 雖 然 學 得 佛 邊 事 亦 是 行 
X73n1447_001:0047c17	脚人錯用心。豈況世間之法。一朝四大相違。悔將何	脚 人 錯 用 心 豈 況 世 間 之 法 一 朝 四 大 相 違 悔 將 何 
X73n1447_001:0047c18	及。出家人受父母返拜。人天瞻敬。不達出世道。可謂	及 出 家 人 受 父 母 返 拜 人 天 瞻 敬 不 達 出 世 道 可 謂 
X73n1447_001:0047c19	虗沾信施。濫膺恭敬。莫教閻老斷。自己意如何。參。	虗 沾 信 施 濫 膺 恭 敬 莫 教 閻 老 斷 自 己 意 如 何 參 
X73n1447_001:0047c20	上堂。行脚人面前。難為啟口。說箇不於佛求。不於法	上 堂 行 脚 人 面 前 難 為 啟 口 說 箇 不 於 佛 求 不 於 法 
X73n1447_001:0047c21	求。不於僧求。俯為脫白行者。直饒毀於佛謗於法不	求 不 於 僧 求 俯 為 脫 白 行 者 直 饒 毀 於 佛 謗 於 法 不 
X73n1447_001:0047c22	入眾數。猶是祖師門下掃灑之徒。直饒坐斷世界。函	入 眾 數 猶 是 祖 師 門 下 掃 灑 之 徒 直 饒 坐 斷 世 界 函 
X73n1447_001:0047c23	葢十方。身相圓容。互為主伴。該羅萬有。周遍含容。雖	葢 十 方 身 相 圓 容 互 為 主 伴 該 羅 萬 有 周 遍 含 容 雖 
X73n1447_001:0047c24	是圓宗極唱。祖師門下以為弄影之徒。是故老僧云。	是 圓 宗 極 唱 祖 師 門 下 以 為 弄 影 之 徒 是 故 老 僧 云 
X73n1447_001:0048a01	三世諸佛仰望不及。天下祖師結舌有分。諸仁者若	三世諸佛 仰 望 不 及 天 下 祖 師 結 舌 有 分 諸 仁 者 若 
X73n1447_001:0048a02	肯。未具行脚眼在。若也不肯。亦未具行脚眼。且道。作	肯 未 具 行 脚 眼 在 若 也 不 肯 亦 未 具 行 脚 眼 且 道 作 
X73n1447_001:0048a03	麼生是行脚眼。參。	麼 生 是 行 脚 眼 參 
X73n1447_001:0048a04	上堂。夫出家人。為無為法。無為法中。無利益無功德。	上 堂 夫 出 家 人 為 無 為 法 無 為 法 中 無 利 益 無 功 德 
X73n1447_001:0048a05	近來出家人。貪著福慧。與道全乖。若為福慧須至用	近 來 出 家 人 貪 著 福 慧 與 道 全 乖 若 為 福 慧 須 至 用 
X73n1447_001:0048a06	心。若要達道無汝用心。所以常勸諸人。莫學佛法。但	心 若 要 達 道 無 汝 用 心 所 以 常 勸 諸 人 莫 學 佛 法 但 
X73n1447_001:0048a07	自休心。利根者畫時解脫。鈍根者或三五年。遠不過	自 休 心 利 根 者 畫 時 解 脫 鈍 根 者 或 三 五 年 遠 不 過 
X73n1447_001:0048a08	十年。若不悟道。老僧與你入拔舌地獄。參。	十 年 若 不 悟 道 老 僧 與 你 入 拔 舌 地 獄 參 
X73n1447_001:0048a09	上堂。大眾。夏將欲末。空劫以前事。還得相應也未。若	上 堂 大 眾 夏 將 欲 末 空 劫 以 前 事 還 得 相 應 也 未 若 
X73n1447_001:0048a10	也未得相應。爭奈永劫輪回。何有甚麼心情。學佗佛	也 未 得 相 應 爭 奈 永 劫 輪 回 何 有 甚 麼 心 情 學 佗 佛 
X73n1447_001:0048a11	法。廣求知解。被知解風。吹入生死海。若是知解。諸人	法 廣 求 知 解 被 知 解 風 吹 入 生 死 海 若 是 知 解 諸 人 
X73n1447_001:0048a12	過去生中。總曾學來。多知多解。說得慧辯過人。機鋒	過 去 生 中 總 曾 學 來 多 知 多 解 說 得 慧 辯 過 人 機 鋒 
X73n1447_001:0048a13	迅速。只是心不息。與空劫以前事不相應。因茲惡道	迅 速 只 是 心 不 息 與 空 劫 以 前 事 不 相 應 因 茲 惡 道 
X73n1447_001:0048a14	輪回。動經塵劫。不復人身。如今生出頭來得箇人身。	輪 回 動 經 塵 劫 不 復 人 身 如 今 生 出 頭 來 得 箇 人 身 
X73n1447_001:0048a15	在袈裟之下。依前廣求知解不能息心。未免六趣輪	在 袈 裟 之 下 依 前 廣 求 知 解 不 能 息 心 未 免 六 趣 輪 
X73n1447_001:0048a16	回。動經塵劫。何不休心去。如癡如迷去。不語五七年	回 動 經 塵 劫 何 不 休 心 去 如 癡 如 迷 去 不 語 五 七 年 
X73n1447_001:0048a17	去。以後。佛也不奈你何。參。	去 以 後 佛 也 不 奈 你 何 參 
X73n1447_001:0048a18	上堂。佛佛授手。祖祖相傳。善自護持。無令斷絕。參。	上 堂 佛 佛 授 手 祖 祖 相 傳 善 自 護 持 無 令 斷 絕 參 
X73n1447_001:0048a19	上堂。此來法歲將滿。且喜大眾安樂自慢院門寂寞。	上 堂 此 來 法 歲 將 滿 且 喜 大 眾 安 樂 自 慢 院 門 寂 寞 
X73n1447_001:0048a20	更希以道為懷。然出家人。終不以利養為務。故云。出	更 希 以 道 為 懷 然 出 家 人 終 不 以 利 養 為 務 故 云 出 
X73n1447_001:0048a21	家弘聖道。誓度一切人。古者為三緣故出家。第一為	家 弘 聖 道 誓 度 一 切 人 古 者 為 三 緣 故 出 家 第 一 為 
X73n1447_001:0048a22	自己輪回生死。二為紹隆三寶。令佛法久住世間。三	自 己 輪 回 生 死 二 為 紹 隆 三 寶 令 佛 法 久 住 世 間 三 
X73n1447_001:0048a23	為六道四生。皆令解脫。所以割愛辭親。弃其榮貴。乃	為 六 道 四 生 皆 令 解 脫 所 以 割 愛 辭 親 弃 其 榮 貴 乃 
X73n1447_001:0048a24	至捨國城妻子。象馬七珍。出家弘道。此之三緣。是出	至 捨 國 城 妻 子 象 馬 七 珍 出 家 弘 道 此 之 三 緣 是 出 
X73n1447_001:0048b01	家人重任。出家人分上事。餘人不能成立。看見近來	家 人 重 任 出 家 人 分 上 事 餘 人 不 能 成 立 看 見 近 來 
X73n1447_001:0048b02	出家人。那箇憂著自家道力不充忘機息見。那箇欲	出 家 人 那 箇 憂 著 自 家 道 力 不 充 忘 機 息 見 那 箇 欲 
X73n1447_001:0048b03	紹隆三寶如實而修。那箇欲誓度有情不惜身命。若	紹 隆 三 寶 如 實 而 修 那 箇 欲 誓 度 有 情 不惜身命 若 
X73n1447_001:0048b04	不為此三緣出家無益。可謂上負四恩。下辜三有。設	不 為 此 三 緣 出 家 無 益 可 謂 上 負 四 恩 下 辜 三 有 設 
X73n1447_001:0048b05	欲自利利佗。須會修行始得。若也用心修行。或則墮	欲 自 利 利 佗 須 會 修 行 始 得 若 也 用 心 修 行 或 則 墮 
X73n1447_001:0048b06	在邪宗。或入三乘聖位。皆非究竟。所以常勸諸人。且	在 邪 宗 或 入 三 乘 聖 位 皆 非 究 竟 所 以 常 勸 諸 人 且 
X73n1447_001:0048b07	於空劫以前。體取當人。自會修行去。若要體取空劫	於 空 劫 以 前 體 取 當 人 自 會 修 行 去 若 要 體 取 空 劫 
X73n1447_001:0048b08	以前自己事。直須休心。若得無心。輪回永斷。若得無	以 前 自 己 事 直 須 休 心 若 得 無 心 輪 回 永 斷 若 得 無 
X73n1447_001:0048b09	心即是佛。佛即是法。法佛和合名為僧。當體即是常	心 即 是 佛 佛 即 是 法 法 佛 和 合 名 為 僧 當 體 即 是 常 
X73n1447_001:0048b10	住三寶。虗空有變。此法常存。故知無心。方能延得佛	住 三 寶 虗 空 有 變 此 法 常 存 故 知 無 心 方 能 延 得 佛 
X73n1447_001:0048b11	法壽命。若得無心。照見法界眾生。齊成正覺。度一切	法 壽 命 若 得 無 心 照 見 法 界 眾 生 齊 成 正 覺 度 一 切 
X73n1447_001:0048b12	有情。於修行門中。休心最為第一。所以三世諸佛。皆	有 情 於 修 行 門 中 休 心 最 為 第 一 所 以 三世諸佛 皆 
X73n1447_001:0048b13	於無心路上。方得見性。任你經三無數劫。修六度萬	於 無 心 路 上 方 得 見 性 任 你 經 三無數劫 修 六 度 萬 
X73n1447_001:0048b14	行。終不見性。若得無心始得悟道。故知無心。是三世	行 終 不 見 性 若 得 無 心 始 得 悟 道 故 知 無 心 是 三 世 
X73n1447_001:0048b15	諸佛所行徑路。今時出家人。莫學佛法。但學休心。即	諸 佛 所 行 徑 路 今 時 出 家 人 莫 學 佛 法 但 學 休 心 即 
X73n1447_001:0048b16	是行諸佛路。參。	是 行 諸 佛 路 參 
X73n1447_001:0048b17	上堂。此來法歲已圓。諸上座。若到諸方。有人問薦福	上 堂 此 來 法 歲 已 圓 諸 上 座 若 到 諸 方 有 人 問 薦 福 
X73n1447_001:0048b18	和尚如何。上座作麼生通吐。莫道庚午生人。今年七	和 尚 如 何 上 座 作 麼 生 通 吐 莫 道 庚 午 生 人 今 年 七 
X73n1447_001:0048b19	十一麼。莫是道行時脚踏地。坐時頭戴天麼。莫是道	十 一 麼 莫 是 道 行 時 脚 踏 地 坐 時 頭 戴 天 麼 莫 是 道 
X73n1447_001:0048b20	或則說佛說法。或則毀佛謗法。或時為人解纏縛去	或 則 說 佛 說 法 或 則 毀 佛 謗 法 或 時 為 人 解 纏 縛 去 
X73n1447_001:0048b21	粘膩。成箇灑灑地衲僧。不依倚一物麼。莫是道恁麼	粘 膩 成 箇 灑 灑 地 衲 僧 不 依 倚 一 物 麼 莫 是 道 恁 麼 
X73n1447_001:0048b22	也不得。不恁麼也不得。莫是無你下口處麼。莫是道	也 不 得 不 恁 麼 也 不 得 莫 是 無 你 下 口 處 麼 莫 是 道 
X73n1447_001:0048b23	問聲未了。欄腮硬掌。拂袖便行麼。若如此通吐。總未	問 聲 未 了 欄 腮 硬 掌 拂 袖 便 行 麼 若 如 此 通 吐 總 未 
X73n1447_001:0048b24	見老僧在。且作麼生通吐。若見得老僧。對眾道看。良	見 老 僧 在 且 作 麼 生 通 吐 若 見 得 老 僧 對 眾 道 看 良 
X73n1447_001:0048c01	久云。對眾若道不得。忽到諸方。莫道見老僧來。珍重。	久 云 對 眾 若 道 不 得 忽 到 諸 方 莫 道 見 老 僧 來 珍 重 
X73n1447_001:0048c02	小參語錄	小 參 語 錄 
X73n1447_001:0048c03	師因入室次云。日來為兄弟說話次。見佗說箇唯心	師 因 入 室 次 云 日 來 為 兄 弟 說 話 次 見 佗 說 箇 唯 心 
X73n1447_001:0048c04	底道理。說得一一總是。真箇說得理構十分。恰到問	底 道 理 說 得 一 一 總 是 真 箇 說 得 理 構 十 分 恰 到 問 
X73n1447_001:0048c05	著佗方世界事。總說不得。當知即是意會。諸上座此	著 佗 方 世 界 事 總 說 不 得 當 知 即 是 意 會 諸 上 座 此 
X73n1447_001:0048c06	箇事須是悟始得。若是佗悟底人。吐露箇消息。也自	箇 事 須 是 悟 始 得 若 是 佗 悟 底 人 吐 露 箇 消 息 也 自 
X73n1447_001:0048c07	不同你。意會底人說話有甚麼交涉。不見水潦和尚	不 同 你 意 會 底 人 說 話 有 甚 麼 交 涉 不 見 水 潦 和 尚 
X73n1447_001:0048c08	問馬大師云。如何是祖師西來意。馬大師欄胸一踏	問 馬 大 師 云 如 何 是 祖 師 西 來 意 馬 大 師 欄 胸 一 踏 
X73n1447_001:0048c09	倒。水潦從地起來。忽然大省云。萬象森羅。百千妙義。	倒 水 潦 從 地 起 來 忽 然 大 省 云 萬 象 森 羅 百 千 妙 義 
X73n1447_001:0048c10	只向一毫端上。便識得根源體性去。看佗悟底人吐	只 向 一 毫 端 上 便 識 得 根 源 體 性 去 看 佗 悟 底 人 吐 
X73n1447_001:0048c11	露箇消息。直是不同。諸上座有時見兄弟來說箇道	露 箇 消 息 直 是 不 同 諸 上 座 有 時 見 兄 弟 來 說 箇 道 
X73n1447_001:0048c12	理圓陀陀地。及乎問伊佗方國土事並不知。諸仁者	理 圓 陀 陀 地 及 乎 問 伊 佗 方 國 土 事 並 不 知 諸 仁 者 
X73n1447_001:0048c13	古人分明向你道。三界唯心。萬法唯識。何得不會。又	古 人 分 明 向 你 道 三界唯心 萬 法 唯 識 何 得 不 會 又 
X73n1447_001:0048c14	云。諸法所生。唯心所現。乃至日月星辰。森羅萬象。皆	云 諸 法 所 生 唯 心 所 現 乃 至 日 月 星 辰 森 羅 萬 象 皆 
X73n1447_001:0048c15	不出你自心。諸仁者。何不將每日緣馳世間雜事底	不 出 你 自 心 諸 仁 者 何 不 將 每 日 緣 馳 世 間 雜 事 底 
X73n1447_001:0048c16	身心。體究取這般事。諸上座此箇法門。却許你用心	身 心 體 究 取 這 般 事 諸 上 座 此 箇 法 門 却 許 你 用 心 
X73n1447_001:0048c17	體究得。何以故此不是道。最是箇淺近底法門。多見	體 究 得 何 以 故 此 不 是 道 最 是 箇 淺 近 底 法 門 多 見 
X73n1447_001:0048c18	兄弟見得這般事了便休去。暨箇甚麼在。然雖如是。	兄 弟 見 得 這 般 事 了 便 休 去 暨 箇 甚 麼 在 然 雖 如 是 
X73n1447_001:0048c19	出家人若此事不明去佗出家大遠在。若覰得此事。	出 家 人 若 此 事 不 明 去 佗 出 家 大 遠 在 若 覰 得 此 事 
X73n1447_001:0048c20	身心也自然漸得停息。何以。不被外境所惑。若是得	身 心 也 自 然 漸 得 停 息 何 以 不 被 外 境 所 惑 若 是 得 
X73n1447_001:0048c21	悟入底人。說甚佗方世界事。乃至三世諸佛。一切聖	悟 入 底 人 說 甚 佗 方 世 界 事 乃 至 三世諸佛 一 切 聖 
X73n1447_001:0048c22	賢。總向這裡識得見得。三世諸佛所說之法。總向這	賢 總 向 這 裡 識 得 見 得 三世諸佛 所 說 之 法 總 向 這 
X73n1447_001:0048c23	裡見得。未說之法亦向這裡見得。見麼見麼。所以云	裡 見 得 未 說 之 法 亦 向 這 裡 見 得 見 麼 見 麼 所 以 云 
X73n1447_001:0048c24	門和尚云。南有雪峯皷山。盤山和尚北有五臺文殊。	門 和 尚 云 南 有 雪 峯 皷 山 盤 山 和 尚 北 有 五 臺 文 殊 
X73n1447_001:0049a01	趙州和尚諸人要識麼。只向這裡識取。見麼。諸仁者	趙 州 和 尚 諸 人 要 識 麼 只 向 這 裡 識 取 見 麼 諸 仁 者 
X73n1447_001:0049a02	是箇甚麼道理。此事千經萬論。說得多少分明。須是	是 箇 甚 麼 道 理 此 事 千 經 萬 論 說 得 多 少 分 明 須 是 
X73n1447_001:0049a03	用心體究始得。然雖如是。假饒悟得識得。向衲僧分	用 心 體 究 始 得 然 雖 如 是 假 饒 悟 得 識 得 向 衲 僧 分 
X73n1447_001:0049a04	上。還得也無。只作得箇祖師門下掃灑沙彌童行。若	上 還 得 也 無 只 作 得 箇 祖 師 門 下 掃 灑 沙 彌 童 行 若 
X73n1447_001:0049a05	望衲僧。天地懸殊。所以雲門和尚云。直饒捻一毫端。	望 衲 僧 天 地 懸 殊 所 以 雲 門 和 尚 云 直 饒 捻 一 毫 端 
X73n1447_001:0049a06	盡大地一時明得。衲僧門下。天地懸殊。諸仁者。且道	盡 大 地 一 時 明 得 衲 僧 門 下 天 地 懸 殊 諸 仁 者 且 道 
X73n1447_001:0049a07	衲僧具甚麼道理。還委悉也未。所以有時常勸兄弟	衲 僧 具 甚 麼 道 理 還 委 悉 也 未 所 以 有 時 常 勸 兄 弟 
X73n1447_001:0049a08	自己事如未明白。且莫學佛法。不怕總不會去。則恰	自 己 事 如 未 明 白 且 莫 學 佛 法 不 怕 總 不 會 去 則 恰 
X73n1447_001:0049a09	好無你用心處。無你強為處。況老僧這裡說得話。且	好 無 你 用 心 處 無 你 強 為 處 況 老 僧 這 裡 說 得 話 且 
X73n1447_001:0049a10	與你諸方不仝。兼也淡泊無滋味。無可齩嚼。至今難	與 你 諸 方 不 仝 兼 也 淡 泊 無 滋 味 無 可 齩 嚼 至 今 難 
X73n1447_001:0049a11	得兄弟。千人萬人中。覔無一人肯。若是見佗肯底人。	得 兄 弟 千 人 萬 人 中 覔 無 一 人 肯 若 是 見 佗 肯 底 人 
X73n1447_001:0049a12	終不要人說。纔知有此事。直下便休。更不與你打交	終 不 要 人 說 纔 知 有 此 事 直 下 便 休 更 不 與 你 打 交 
X73n1447_001:0049a13	涉。心如鐵石去。此是本分衲僧。不挂唇吻。那裡與你	涉 心 如 鐵 石 去 此 是 本 分 衲 僧 不 挂 唇 吻 那 裡 與 你 
X73n1447_001:0049a14	一問一答。佗自知無益。任運如此。終不強為。有時見	一 問 一 答 佗 自 知 無 益 任 運 如 此 終 不 強 為 有 時 見 
X73n1447_001:0049a15	參學兄弟。皆言。為生死事大。總擬學此事。那裡學得	參 學 兄 弟 皆 言 為 生 死 事 大 總 擬 學 此 事 那 裡 學 得 
X73n1447_001:0049a16	成。學著轉遠去無非是息心。若一念心息。更學甚麼	成 學 著 轉 遠 去 無 非 是 息 心 若 一 念 心 息 更 學 甚 麼 
X73n1447_001:0049a17	道。無心即是道。若擬用心學道。有甚交涉。所以古人	道 無 心 即 是 道 若 擬 用 心 學 道 有 甚 交 涉 所 以 古 人 
X73n1447_001:0049a18	道。忘機即佛道隆。分別即魔軍盛。諸兄弟。若肯去但	道 忘 機 即 佛 道 隆 分 別 即 魔 軍 盛 諸 兄 弟 若 肯 去 但 
X73n1447_001:0049a19	學休心。別無學處。從上佛之與祖。皆從息心而證出	學 休 心 別 無 學 處 從 上 佛 之 與 祖 皆 從 息 心 而 證 出 
X73n1447_001:0049a20	三界。如今諸兄弟。若一念不忘。六道輪回。動經塵劫。	三 界 如 今 諸 兄 弟 若 一 念 不 忘 六 道 輪 回 動 經 塵 劫 
X73n1447_001:0049a21	總未保在。何以。無始以來。至于今日。只為你這一念	總 未 保 在 何 以 無 始 以 來 至 于 今 日 只 為 你 這 一 念 
X73n1447_001:0049a22	心不歇。所以不與道相應。諸兄弟。如今既得在袈裟	心 不 歇 所 以 不 與 道 相 應 諸 兄 弟 如 今 既 得 在 袈 裟 
X73n1447_001:0049a23	之下。快須努力自家著眼。看是箇甚麼道理。今時學	之 下 快 須 努 力 自 家 著 眼 看 是 箇 甚 麼 道 理 今 時 學 
X73n1447_001:0049a24	者。例皆於言句曉夜用心。與道相乖。如今諸兄弟。但	者 例 皆 於 言 句 曉 夜 用 心 與 道 相 乖 如 今 諸 兄 弟 但 
X73n1447_001:0049b01	學休心。不取你口頭辨。直須如愚如癡去。似初從胞	學 休 心 不 取 你 口 頭 辨 直 須 如 愚 如 癡 去 似 初 從 胞 
X73n1447_001:0049b02	胎中出來相似。第一莫記一箇字在心始得。今時學	胎 中 出 來 相 似 第 一 莫 記 一 箇 字 在 心 始 得 今 時 學 
X73n1447_001:0049b03	人。不似佗古人纔知如是便恁麼去。一向如寒灰死	人 不 似 佗 古 人 纔 知 如 是 便 恁 麼 去 一 向 如 寒 灰 死 
X73n1447_001:0049b04	火枯木石頭去。你如今人。並不以此為事。如何得大	火 枯 木 石 頭 去 你 如 今 人 並 不 以 此 為 事 如 何 得 大 
X73n1447_001:0049b05	事相應。諸兄弟。若肯去。便恁麼行持。若不肯。如今諸	事 相 應 諸 兄 弟 若 肯 去 便 恁 麼 行 持 若 不 肯 如 今 諸 
X73n1447_001:0049b06	方禪道興盛。急去學取抄取。我這裡無可與你把捉。	方 禪 道 興 盛 急 去 學 取 抄 取 我 這 裡 無 可 與 你 把 捉 
X73n1447_001:0049b07	亦無一言半句與諸人作解會。只是與諸人揀擇邪	亦 無 一 言 半 句 與 諸 人 作 解 會 只 是 與 諸 人 揀 擇 邪 
X73n1447_001:0049b08	正。免諸人墮在邪見中。有時常苦口勸諸兄弟。大事	正 免 諸 人 墮 在 邪 見 中 有 時 常 苦 口 勸 諸 兄 弟 大 事 
X73n1447_001:0049b09	未辨。且莫錯用心。且體取空劫以前事。直須是休心	未 辨 且 莫 錯 用 心 且 體 取 空 劫 以 前 事 直 須 是 休 心 
X73n1447_001:0049b10	去。如今教你諸人休歇去。也是大難底事。此也須是	去 如 今 教 你 諸 人 休 歇 去 也 是 大 難 底 事 此 也 須 是 
X73n1447_001:0049b11	上根上器底人始得。如今若有一人。肯恁麼休歇去。	上 根 上 器 底 人 始 得 如 今 若 有 一 人 肯 恁 麼 休 歇 去 
X73n1447_001:0049b12	老僧堪伏事佗。只如千人萬人中。無一人肯。諸上座。	老 僧 堪 伏 事 佗 只 如 千 人 萬 人 中 無 一 人 肯 諸 上 座 
X73n1447_001:0049b13	若有一人肯恁麼去。不消你五生七生。便能度得法	若 有 一 人 肯 恁 麼 去 不 消 你 五 生 七 生 便 能 度 得 法 
X73n1447_001:0049b14	界一切有情。亦能化身五億。同時於微塵剎土世界。	界 一切有情 亦 能 化 身 五 億 同 時 於 微 塵 剎 土 世 界 
X73n1447_001:0049b15	隨所化現。度脫一切眾生。恁時也不消得你開這兩	隨 所 化 現 度 脫 一 切 眾 生 恁 時 也 不 消 得 你 開 這 兩 
X73n1447_001:0049b16	片皮為佗說法。有情眾生。合聞法者自然聞法。當時	片 皮 為 佗 說 法 有 情 眾 生 合 聞 法 者 自 然 聞 法 當 時 
X73n1447_001:0049b17	解脫豈不是出家人及事處。然雖如是用心學不成。	解 脫 豈 不 是 出 家 人 及 事 處 然 雖 如 是 用 心 學 不 成 
X73n1447_001:0049b18	皆是息心自然得底事。如今若有一人。忘心息見去。	皆 是 息 心 自 然 得 底 事 如 今 若 有 一 人 忘 心 息 見 去 
X73n1447_001:0049b19	可以延得佛法壽命。令佛法久住世間。後人也有可	可 以 延 得 佛 法 壽 命 令 佛 法 久 住 世 間 後 人 也 有 可 
X73n1447_001:0049b20	依倚。也令他學道人知有正因。且如老僧自前在眾	依 倚 也 令 他 學 道 人 知 有 正 因 且 如 老 僧 自 前 在 眾 
X73n1447_001:0049b21	裡三四十年。到處尊宿會下。例皆推窮言句。或說照	裡 三 四 十 年 到 處 尊 宿 會 下 例 皆 推 窮 言 句 或 說 照 
X73n1447_001:0049b22	用縱橫。後來自家覰得破了。如此之類。在衲僧分上。	用 縱 橫 後 來 自 家 覰 得 破 了 如 此 之 類 在 衲 僧 分 上 
X73n1447_001:0049b23	謂之雜毒食。險被賺過一生。所以老僧在眾裡。不教	謂 之 雜 毒 食 險 被 賺 過 一 生 所 以 老 僧 在 眾 裡 不 教 
X73n1447_001:0049b24	兄弟學事。縱有知見解會。到這裡切須淨吐却始得。	兄 弟 學 事 縱 有 知 見 解 會 到 這 裡 切 須 淨 吐 却 始 得 
X73n1447_001:0049c01	若有纖毫在心。便是虗生浪死。諸仁者。一等是學。更	若 有 纖 毫 在 心 便 是 虗 生 浪 死 諸 仁 者 一 等 是 學 更 
