X60n1112_001:0080a03	蓬折箴	蓬 折 箴 
X60n1112_001:0084b22	非圓耶佛祖正發坦然明白邪人說之成邪法如上	非 圓 耶 佛 祖 正 發 坦 然 明 白 邪 人 說 之 成 邪 法 如 上 
X60n1112_001:0084b23	祖文正意雖顯彼用蓬心曲巧穿鑿恐惑後昆未說	祖 文 正 意 雖 顯 彼 用 蓬 心 曲 巧 穿 鑿 恐 惑 後 昆 未 說 
X60n1112_001:0084b24	斜正更引疏鈔重加釋顯羯磨經中首引多論凡欲	斜 正 更 引 疏 鈔 重 加 釋 顯 羯 磨 經 中 首 引 多 論 凡 欲 
X60n1112_001:0084c01	受戒於一切境上起慈悲心得增上戒。	受 戒 於 一 切 境 上 起 慈 悲 心 得 增 上 戒 
X60n1112_001:0084c02	問所引多論乃屬有宗起慈納戒即分通義答說云	問 所 引 多 論 乃 屬 有 宗 起 慈 納 戒 即 分 通 義 答 說 云 
X60n1112_001:0084c03	諸部時有此意但不如四分五義的然今與助顯此	諸 部 時 有 此 意 但 不 如 四 分 五 義 的 然 今 與 助 顯 此 
X60n1112_001:0084c04	見佛祖意非發意也吾佛世尊不覺陋池。	見 佛 祖 意 非 發 意 也 吾 佛 世 尊 不 覺 陋 池 
X60n1112_001:0084c05	問今既約圓發上品須具三誓為戒三戒但云起慈	問 今 既 約 圓 發 上 品 須 具 三 誓 為 戒 三 戒 但 云 起 慈 
X60n1112_001:0084c06	止是度生答濟緣云然雖三戒彼此五具至於修奉	止 是 度 生 答 濟 緣 云 然 雖 三 戒 彼 此 五 具 至 於 修 奉 
X60n1112_001:0084c07	恒用攝生則能任用含攝一切豈止餘聚耶論云凡	恒 用 攝 生 則 能 任 用 含 攝 一 切 豈 止 餘 聚 耶 論 云 凡 
X60n1112_001:0084c08	欲受戒既云凡欲必不揀大小非止四分一為三乘	欲 受 戒 既 云 凡 欲 必 不 揀 大 小 非 止 四 分 一 為 三 乘 
X60n1112_001:0084c09	初業二乃出家本務疏家得意在下釋文文云此之	初 業 二 乃 出 家 本 務 疏 家 得 意 在 下 釋 文 文 云 此 之 
X60n1112_001:0084c10	戒法出家本務素非懷大定難容納深有由者釋上	戒 法 出 家 本 務 素 非 懷 大 定 難 容 納 深 有 由 者 釋 上 
X60n1112_001:0084c11	此之戒法依論起慈乃乘初業不愚於法又云向不	此 之 戒 法 依 論 起 慈 乃 乘 初 業 不 愚 於 法 又 云 向 不 
X60n1112_001:0084c12	緣慈如何容大意在後也釋上出家本務期向遠大	緣 慈 如 何 容 大 意 在 後 也 釋 上 出 家 本 務 期 向 遠 大 
X60n1112_001:0084c13	得在此莫如折蓬將方便發向不得已而釋此法返	得 在 此 莫 如 折 蓬 將 方 便 發 向 不 得 已 而 釋 此 法 返 
X60n1112_001:0084c14	責余四得意何淺淺在老兄何推於我疏云如善戒	責 余 四 得 意 何 淺 淺 在 老 兄 何 推 於 我 疏 云 如 善 戒 
X60n1112_001:0084c15	經菩薩戒本即七眾所受者是也向不緣慈如何容	經 菩 薩 戒 本 即 七 眾 所 受 者 是 也 向 不 緣 慈 如 何 容 
X60n1112_001:0084c16	大意在後也。	大 意 在 後 也 
X60n1112_001:0084c17	蓬云疏家即是引證之語引證之語何待汝說祖非	蓬 云 疏 家 即 是 引 證 之 語 引 證 之 語 何 待 汝 說 祖 非 
X60n1112_001:0084c18	引證汝妄說也記主自云准此經意凡為比丘必受	引 證 汝 妄 說 也 記 主 自 云 准 此 經 意 凡 為 比 丘 必 受 
X60n1112_001:0084c19	菩薩大戒今受小戒向前緣慈為受大戒故意在後	菩 薩 大 戒 今 受 小 戒 向 前 緣 慈 為 受 大 戒 故 意 在 後 
X60n1112_001:0084c20	也汝凡見引便謂他人依經立法受具足戒妄云起	也 汝 凡 見 引 便 謂 他 人 依 經 立 法 受具足戒 妄 云 起 
X60n1112_001:0084c21	慈納大有所承據起慈納小何為納大正緣記慈納	慈 納 大 有 所 承 據 起 慈 納 小 何 為 納 大 正 緣 記 慈 納 
X60n1112_001:0084c22	小為後納大容是故疏記妄曲釋顯全不曾者若經	小 為 後 納 大 容 是 故 疏 記 妄 曲 釋 顯 全 不 曾 者 若 經 
X60n1112_001:0084c23	中無一本字亦可如汝穿鑿妄解若七受戒即菩薩	中 無 一 本 字 亦 可 如 汝 穿 鑿 妄 解 若 七 受 戒 即 菩 薩 
X60n1112_001:0084c24	戒何用立本只消便云菩薩七眾所受者今受七眾	戒 何 用 立 本 只 消 便 云 菩 薩 七 眾 所 受 者 今 受 七 眾 
X60n1112_001:0085a01	戒不受菩薩戒者但有能受之本而無所受之法。	戒 不 受 菩 薩 戒 者 但 有 能 受 之 本 而 無 所 受 之 法 
X60n1112_001:0085a02	蓬云七眾既許受菩薩戒比丘受具納大何疑除汝	蓬 云 七 眾 既 許 受 菩 薩 戒 比 丘 受 具 納 大 何 疑 除 汝 
X60n1112_001:0085a03	一人誰曾不許七眾受菩薩戒比丘受具納大於白	一 人 誰 曾 不 許 七 眾 受 菩 薩 戒 比 丘 受 具 納 大 於 白 
X60n1112_001:0085a04	何(文)如瘟病人隼執未退故多亂話謗祖畢竟是誰	何 文 如 瘟 病 人 隼 執 未 退 故 多 亂 話 謗 祖 畢 竟 是 誰 
X60n1112_001:0085a05	盖由不識大是發門圓乃理慧既圓所發小體同大	盖 由 不 識 大 是 發 門 圓 乃 理 慧 既 圓 所 發 小 體 同 大 
X60n1112_001:0085a06	乘體記中每云此之體此之一字為拘於何鈔云我	乘 體 記 中 每 云 此 之 體 此 之 一 字 為 拘 於 何 鈔 云 我 
X60n1112_001:0085a07	今發心受戒為成三聚戒故趣三解脫門正求泥洹	今 發 心 受 戒 為 成 三 聚 戒 故 趣 三解脫門 正 求 泥 洹 
X60n1112_001:0085a08	果又以此法引導眾生今至涅槃令法久住發心受	果 又 以 此 法 引 導 眾 生 今 至 涅 槃 令 法 久 住 發 心 受 
X60n1112_001:0085a09	戒即發大心為成三聚趣三解脫門正求泥洹果又	戒 即 發 大 心 為 成 三 聚 趣 三解脫門 正 求 泥 洹 果 又 
X60n1112_001:0085a10	以此法引導眾生令至涅槃令法久住發心受戒即	以 此 法 引 導 眾 生 令 至 涅 槃 令 法 久 住 發 心 受 戒 即 
X60n1112_001:0085a11	發大心為成三聚趣三解脫即行大行求泥洹果即	發 大 心 為 成 三 聚 趣 三 解 脫 即 行 大 行 求 泥 洹 果 即 
X60n1112_001:0085a12	感大果又以此法引導眾生即起大發令至涅槃即	感 大 果 又 以 此 法 引 導 眾 生 即 起 大 發 令 至 涅 槃 即 
X60n1112_001:0085a13	歸大處(與天台五略暗)此是三誓中遠期因果(莫知愚人非發心三誓註	歸 大 處 與 天 台 五 略 暗 此 是 三 誓 中 遠 期 因 果 莫 知 愚 人 非 發 心 三 誓 註 
X60n1112_001:0085a14	釋)余曾看資持中節文解釋自作三行分之云發心	釋 余 曾 看 資 持 中 節 文 解 釋 自 作 三 行 分 之 云 發 心 
X60n1112_001:0085a15	受者即今正受比丘戒也為成三聚趣三解脫門遠	受 者 即 今 正 受 比 丘 戒 也 為 成 三 聚 趣 三解脫門 遠 
X60n1112_001:0085a16	期大乘三學即因行也求大涅槃即圓果也(已上皆為自行)	期 大 乘 三 學 即 因 行 也 求 大 涅 槃 即 圓 果 也 已 上 皆 為 自 行 
X60n1112_001:0085a17	又以下(化他行)今法下(談法行)汝云除此三句引證之文	又 以 下 化 他 行 今 法 下 談 法 行 汝 云 除 此 三 句 引 證 之 文 
X60n1112_001:0085a18	餘無一言關涉善戒想不曾看疏中前明須漸通局	餘 無 一 言 關 涉 善 戒 想 不 曾 看 疏 中 前 明 須 漸 通 局 
X60n1112_001:0085a19	中云如善戒經欲受菩薩戒者先當淨心受七眾戒	中 云 如 善 戒 經 欲 受 菩 薩 戒 者 先 當 淨 心 受 七 眾 戒 
X60n1112_001:0085a20	趣菩薩道欲知大戒唯是漸受(文)且不曾言白四須	趣 菩 薩 道 欲 知 大 戒 唯 是 漸 受 文 且 不 曾 言 白 四 須 
X60n1112_001:0085a21	大也又濟緣云如前善戒受五習十等余無一言豈	大 也 又 濟 緣 云 如 前 善 戒 受 五 習 十 等 余 無 一 言 豈 
X60n1112_001:0085a22	非欺誑圓宗癈大文在何處此謗截舌猶不可誓若	非 欺 誑 圓 宗 癈 大 文 在 何 處 此 謗 截 舌 猶 不 可 誓 若 
X60n1112_001:0085a23	云不待受大之句是汝不曉下文委示。	云 不 待 受 大 之 句 是 汝 不 曉 下 文 委 示 
X60n1112_001:0085a24	敢問上伸受緣猶涉權小者若言所依之發所立之	敢 問 上 伸 受 緣 猶 涉 權 小 者 若 言 所 依 之 發 所 立 之 
X60n1112_001:0085b01	法正是權小為今所本何云猶涉若據能發之緣能	法 正 是 權 小 為 今 所 本 何 云 猶 涉 若 據 能 發 之 緣 能 
X60n1112_001:0085b02	領之心自屬圓大何謂權小經及疏鈔兩處立緣並	領 之 心 自 屬 圓 大 何 謂 權 小 經 及 疏 鈔 兩 處 立 緣 並 
X60n1112_001:0085b03	引多論立緣起慈為正發重聖行發明盡約大乘圓	引 多 論 立 緣 起 慈 為 正 發 重 聖 行 發 明 盡 約 大 乘 圓 
X60n1112_001:0085b04	義記主顯釋更有何圓在此之外汝不曾看却道是	義 記 主 顯 釋 更 有 何 圓 在 此 之 外 汝 不 曾 看 却 道 是 
X60n1112_001:0085b05	我上品之言論中雖說但論心中濃薄不明其相祖	我 上 品 之 言 論 中 雖 說 但 論 心 中 濃 薄 不 明 其 相 祖 
X60n1112_001:0085b06	師契圓實理發約義而立作圓宗本何云出論汝說	師 契 圓 實 理 發 約 義 而 立 作 圓 宗 本 何 云 出 論 汝 說 
X60n1112_001:0085b07	圓宗只知出體之文不了始終一貫文出業疏義該	圓 宗 只 知 出 體 之 文 不 了 始 終 一 貫 文 出 業 疏 義 該 
X60n1112_001:0085b08	諸文資持約體分發通判一代能詮故云且依業三	諸 文 資 持 約 體 分 發 通 判 一 代 能 詮 故 云 且 依 業 三 
X60n1112_001:0085b09	宗以一家處判乃示臨出文在業疏若為然者空有	宗 以 一 家 處 判 乃 示 臨 出 文 在 業 疏 若 為 然 者 空 有 
X60n1112_001:0085b10	兩宗亦唯出此故濟緣引疏鈔兩文對明受隨三聚	兩 宗 亦 唯 出 此 故 濟 緣 引 疏 鈔 兩 文 對 明 受 隨 三 聚 
X60n1112_001:0085b11	三身之後結云方見圓宗深有來致豈是圓宗唯出	三 身 之 後 結 云 方 見 圓 宗 深 有 來 致 豈 是 圓 宗 唯 出 
X60n1112_001:0085b12	業疏彼又云前依宗出法後即立圓決通依宗出法	業 疏 彼 又 云 前 依 宗 出 法 後 即 立 圓 決 通 依 宗 出 法 
X60n1112_001:0085b13	正為依受豈有受已始論決通而分前後是言何言	正 為 依 受 豈 有 受 已 始 論 決 通 而 分 前 後 是 言 何 言 
X60n1112_001:0085b14	欲不知前約圓宗受後得示圓余所謂我祖得意者	欲 不 知 前 約 圓 宗 受 後 得 示 圓 余 所 謂 我 祖 得 意 者 
X60n1112_001:0085b15	得用圓受小是三乘初業出家本務期尚遠大之意	得 用 圓 受 小 是 三 乘 初 業 出 家 本 務 期 尚 遠 大 之 意 
X60n1112_001:0085b16	汝尚不曉我言豈能了此祖意重關亂道掩耳惡關	汝 尚 不 曉 我 言 豈 能 了 此 祖 意 重 關 亂 道 掩 耳 惡 關 
X60n1112_001:0085b17	來此提撕可見無耻須知三聚大義鈔在發心處說	來 此 提 撕 可 見 無 耻 須 知 三 聚 大 義 鈔 在 發 心 處 說 
X60n1112_001:0085b18	疏於隨行中明畢竟二部受隨相貫要識大意不可	疏 於 隨 行 中 明 畢 竟 二 部 受 隨 相 貫 要 識 大 意 不 可 
X60n1112_001:0085b19	逐文彼又引祖文大小兩業理無分隔鹿苑雙林大	逐 文 彼 又 引 祖 文 大 小 兩 業 理 無 分 隔 鹿 苑 雙 林 大 
X60n1112_001:0085b20	小互益不審彼意知是何發唱小發大顯大成小豈	小 互 益 不 審 彼 意 知 是 何 發 唱 小 發 大 顯 大 成 小 豈 
X60n1112_001:0085b21	於大小規矩之外別有發耶緣不識此是大機令從	於 大 小 規 矩 之 外 別 有 發 耶 緣 不 識 此 是 大 機 令 從 
X60n1112_001:0085b22	小入小機合從大入此乃果佛三密赴機台宗據此	小 入 小 機 合 從 大 入 此 乃 果 佛 三 密 赴 機 台 宗 據 此 
X60n1112_001:0085b23	立不定秘密兩發唯佛能說如何將此說法悟道證	立 不 定 秘 密 兩 發 唯 佛 能 說 如 何 將 此 說 法 悟 道 證 
X60n1112_001:0085b24	今約緣發戒此文可破汝之妄執定須修觀方能破	今 約 緣 發 戒 此 文 可 破 汝 之 妄 執 定 須 修 觀 方 能 破 
X60n1112_001:0085c01	惑顯理余所謂圓發章中決顯前受者自謂前既約	惑 顯 理 余 所 謂 圓 發 章 中 決 顯 前 受 者 自 謂 前 既 約 
X60n1112_001:0085c02	圓約體後故得說為善種子也至此明示故云決顯	圓 約 體 後 故 得 說 為 善 種 子 也 至 此 明 示 故 云 決 顯 
X60n1112_001:0085c03	下疊難意破余所決大決小決體決儀今家既非依	下 疊 難 意 破 余 所 決 大 決 小 決 體 決 儀 今 家 既 非 依 
X60n1112_001:0085c04	經受盡是野決非實儀論吾祖師立圓宗正為扶成	經 受 盡 是 野 決 非 實 儀 論 吾 祖 師 立 圓 宗 正 為 扶 成 
X60n1112_001:0085c05	本宗分通義故為成三聚何是上決空有決空有者	本 宗 分 通 義 故 為 成 三 聚 何 是 上 決 空 有 決 空 有 者 
X60n1112_001:0085c06	顯圓融之用濟緣所云捨此二經餘無此義者正示	顯 圓 融 之 用 濟 緣 所 云 捨 此 二 經 餘 無 此 義 者 正 示 
X60n1112_001:0085c07	圓宗師據乃明用大受小非謂用小受大大小圓融	圓 宗 師 據 乃 明 用 大 受 小 非 謂 用 小 受 大 大 小 圓 融 
X60n1112_001:0085c08	唯出二經法花開聲聞作佛涅槃扶小律談常盖由	唯 出 二 經 法 花 開 聲 聞 作 佛 涅 槃 扶 小 律 談 常 盖 由 
X60n1112_001:0085c09	戒禁業非起心毒四分雖禁未窮其本故准二經圓	戒 禁 業 非 起 心 毒 四 分 雖 禁 未 窮 其 本 故 准 二 經 圓 
X60n1112_001:0085c10	融之意別立一宗開廣戒學窮理盡性進受三聚究	融 之 意 別 立 一 宗 開 廣 戒 學 窮 理 盡 性 進 受 三 聚 究 
X60n1112_001:0085c11	竟到家非是依經受戒白四須大也圓宗分通義如	竟 到 家 非 是 依 經 受 戒 白 四 須 大 也 圓 宗 分 通 義 如 
X60n1112_001:0085c12	前說緣汝不識妄分兩意由不識故堅執為大言圓	前 說 緣 汝 不 識 妄 分 兩 意 由 不 識 故 堅 執 為 大 言 圓 
X60n1112_001:0085c13	不局大言大未必皆圓是故記主正恐迷此特伸問	不 局 大 言 大 未 必 皆 圓 是 故 記 主 正 恐 迷 此 特 伸 問 
X60n1112_001:0085c14	答汝更曲消轉增欺誑記中自云白四聲聞戒也何	答 汝 更 曲 消 轉 增 欺 誑 記 中 自 云 白 四 聲 聞 戒 也 何 
X60n1112_001:0085c15	偷兩字迷惑於人點小即大汝不識即故將此小即	偷 兩 字 迷 惑 於 人 點 小 即 大 汝 不 識 即 故 將 此 小 即 
X60n1112_001:0085c16	彼大戒不知此小由理圓故全體同大方是即義記	彼 大 戒 不 知 此 小 由 理 圓 故 全 體 同 大 方 是 即 義 記 
X60n1112_001:0085c17	云若獲此體此之一字對彼大戒汝因不識返執為	云 若 獲 此 體 此 之 一 字 對 彼 大 戒 汝 因 不 識 返 執 為 
X60n1112_001:0085c18	據若使白四受得大戒正合文意何須同決上品受	據 若 使 白 四 受 得 大 戒 正 合 文 意 何 須 同 決 上 品 受 
X60n1112_001:0085c19	具正是圓義所言決者顯說上品圓受之義汝云未	具 正 是 圓 義 所 言 決 者 顯 說 上 品 圓 受 之 義 汝 云 未 
X60n1112_001:0085c20	圓待決方圓若依發心納體已竟至後隨行方為圓	圓 待 決 方 圓 若 依 發 心 納 體 已 竟 至 後 隨 行 方 為 圓 
X60n1112_001:0085c21	戒何有此理若謂後圓決前立法故成圓受祖行排	戒 何 有 此 理 若 謂 後 圓 決 前 立 法 故 成 圓 受 祖 行 排 
X60n1112_001:0085c22	布次第有儀緣境發心依心受戒然後示體始終一	布 次 第 有 儀 緣 境 發 心 依 心 受 戒 然 後 示 體 始 終 一 
X60n1112_001:0085c23	貫說有前後理攝絕豈是至後明體章中方立圓決	貫 說 有 前 後 理 攝 絕 豈 是 至 後 明 體 章 中 方 立 圓 決 
X60n1112_001:0085c24	是何議論況答意中所引善戒三為方便仉宗通除	是 何 議 論 況 答 意 中 所 引 善 戒 三 為 方 便 仉 宗 通 除 
X60n1112_001:0086a01	自能不住立圓扶成為大先容不識文理妄折記文	自 能 不 住 立 圓 扶 成 為 大 先 容 不 識 文 理 妄 折 記 文 
X60n1112_001:0086a02	最為可惡自初至後故前三戒並名方便先敘善戒	最 為 可 惡 自 初 至 後 故 前 三 戒 並 名 方 便 先 敘 善 戒 
X60n1112_001:0086a03	次受之相假宗知權之下四句之文顯今圓受正答	次 受 之 相 假 宗 知 權 之 下 四 句 之 文 顯 今 圓 受 正 答 
X60n1112_001:0086a04	問意故文四假宗知權不住方便符通除之部意為	問 意 故 文 四 假 宗 知 權 不 住 方 便 符 通 除 之 部 意 為 
X60n1112_001:0086a05	稟大之先容汝云假宗知權即於小法便成究竟文	稟 大 之 先 容 汝 云 假 宗 知 權 即 於 小 法 便 成 究 竟 文 
X60n1112_001:0086a06	中何不直云不用方便而言不住不住正謂在小慕	中 何 不 直 云 不 用 方 便 而 言 不 住 不 住 正 謂 在 小 慕 
X60n1112_001:0086a07	大豈非先容記中四句文理相貫答釋甚明是何學	大 豈 非 先 容 記 中 四 句 文 理 相 貫 答 釋 甚 明 是 何 學 
X60n1112_001:0086a08	人為汝胡酒汝謂我迷汝非是迷直是欺誑又云稟	人 為 汝 胡 酒 汝 謂 我 迷 汝 非 是 迷 直 是 欺 誑 又 云 稟 
X60n1112_001:0086a09	大先容者立圓為稟具納三聚也據汝立義立圓在	大 先 容 者 立 圓 為 稟 具 納 三 聚 也 據 汝 立 義 立 圓 在 
X60n1112_001:0086a10	後決前師受受居圓前先容何在況今答意正在隨	後 決 前 師 受 受 居 圓 前 先 容 何 在 況 今 答 意 正 在 隨 
X60n1112_001:0086a11	行取圓受圓隨為稟大先容豈為稟恩先容耶又云	行 取 圓 受 圓 隨 為 稟 大 先 容 豈 為 稟 恩 先 容 耶 又 云 
X60n1112_001:0086a12	有何一句為後大先容當面蹉過濟緣明謂鈔敘發	有 何 一 句 為 後 大 先 容 當 面 蹉 過 濟 緣 明 謂 鈔 敘 發 
X60n1112_001:0086a13	心為成三聚此明隨行次對三身受隨相應無非為	心 為 成 三 聚 此 明 隨 行 次 對 三 身 受 隨 相 應 無 非 為 
X60n1112_001:0086a14	大若如汝妄說何故資持釋為成三聚為遠期大乘	大 若 如 汝 妄 說 何 故 資 持 釋 為 成 三 聚 為 遠 期 大 乘 
X60n1112_001:0086a15	戒學遠期豈在今受大乘三學何非後大又云期心	戒 學 遠 期 豈 在 今 受 大 乘 三 學 何 非 後 大 又 云 期 心 
X60n1112_001:0086a16	後受謂在受具此又迷倒猶甚此亦答前用圓之意	後 受 謂 在 受 具 此 又 迷 倒 猶 甚 此 亦 答 前 用 圓 之 意 
X60n1112_001:0086a17	追釋鈔文為成三聚所以用圓若指受具豈是於後	追 釋 鈔 文 為 成 三 聚 所 以 用 圓 若 指 受 具 豈 是 於 後 
X60n1112_001:0086a18	又云前修乃望果為前大智律師太欺我哉誰便不	又 云 前 修 乃 望 果 為 前 大 智 律 師 太 欺 我 哉 誰 便 不 
X60n1112_001:0086a19	知修行在前證果在後特勞指示如此釋義直如兒	知 修 行 在 前 證 果 在 後 特 勞 指 示 如 此 釋 義 直 如 兒 
X60n1112_001:0086a20	戲即行前修者已於具戒能立三誓所發無作義具	戲 即 行 前 修 者 已 於 具 戒 能 立 三 誓 所 發 無 作 義 具 
X60n1112_001:0086a21	三聚前修乃由漸之行汝於大乘不知等分一味輕	三 聚 前 修 乃 由 漸 之 行 汝 於 大 乘 不 知 等 分 一 味 輕 
X60n1112_001:0086a22	視諸祖大小雙弘如來推實二智無非化導令從小	視 諸 祖 大 小 雙 弘 如 來 推 實 二 智 無 非 化 導 令 從 小 
X60n1112_001:0086a23	進大全於此義曾未經懷又云受緣大乘且據分通	進 大 全 於 此 義 曾 未 經 懷 又 云 受 緣 大 乘 且 據 分 通 
X60n1112_001:0086a24	後立圓宗乃論圓受是何說話穿鑿祖乘書中所謂	後 立 圓 宗 乃 論 圓 受 是 何 說 話 穿 鑿 祖 乘 書 中 所 謂 
X60n1112_001:0086b01	約圓受受後圓者正難此妄却云我醉立緣何為若	約 圓 受 受 後 圓 者 正 難 此 妄 却 云 我 醉 立 緣 何 為 若 
X60n1112_001:0086b02	使與後圓宗不問受在何時汝見疏中立圓宗處在	使 與 後 圓 宗 不 問 受 在 何 時 汝 見 疏 中 立 圓 宗 處 在 
X60n1112_001:0086b03	後明體章中前所立緣為受戒否若用受戒又且未	後 明 體 章 中 前 所 立 緣 為 受 戒 否 若 用 受 戒 又 且 未 
X60n1112_001:0086b04	圓若不用受却成虗設所謂大乘正是言今圓宗受	圓 若 不 用 受 却 成 虗 設 所 謂 大 乘 正 是 言 今 圓 宗 受 
X60n1112_001:0086b05	隨奪多種誰便不知汝所揀者殊非通論凡言大乘	隨 奪 多 種 誰 便 不 知 汝 所 揀 者 殊 非 通 論 凡 言 大 乘 
X60n1112_001:0086b06	有不同義但在能詮乃有隔歷圓融之異所詮何別	有 不 同 義 但 在 能 詮 乃 有 隔 歷 圓 融 之 異 所 詮 何 別 
X60n1112_001:0086b07	故云一切大乘莫不皆以妙理為體此體之外復有	故 云 一切大乘 莫 不 皆 以 妙 理 為 體 此 體 之 外 復 有 
X60n1112_001:0086b08	何理為大乘耶汝引祖文所用不全皆屬前事大乘	何 理 為 大 乘 耶 汝 引 祖 文 所 用 不 全 皆 屬 前 事 大 乘 
X60n1112_001:0086b09	何別今立圓宗正取一實豈於圓受而分兩樣欲彰	何 別 今 立 圓 宗 正 取 一 實 豈 於 圓 受 而 分 兩 樣 欲 彰 
X60n1112_001:0086b10	深究返成穿鑿疏中作法受者正是迷前緣受之相	深 究 返 成 穿 鑿 疏 中 作 法 受 者 正 是 迷 前 緣 受 之 相 
X60n1112_001:0086b11	若乃至此方是圓宗所論受戒謂此圓受與前不同	若 乃 至 此 方 是 圓 宗 所 論 受 戒 謂 此 圓 受 與 前 不 同 
X60n1112_001:0086b12	敢問疏中依論起慈鈔敘上而發心無非皆是用大	敢 問 疏 中 依 論 起 慈 鈔 敘 上 而 發 心 無 非 皆 是 用 大 
X60n1112_001:0086b13	受小大小相即正是圓義但逐文相不思大意濟緣云	受 小 大 小 相 即 正 是 圓 義 但 逐 文 相 不 思 大 意 濟 緣 云 
X60n1112_001:0086b14	雖三戒互具至於修奉恒用攝生任運含攝一切豈	雖 三 戒 互 具 至 於 修 奉 恒 用 攝 生 任 運 含 攝 一 切 豈 
X60n1112_001:0086b15	止三聚含攝一切是圓義否起慈納戒非攝生耶疏	止 三 聚 含 攝 一 切 是 圓 義 否 起 慈 納 戒 非 攝 生 耶 疏 
X60n1112_001:0086b16	鈔兩文一宗論受雖包權實祖意在圓若分兩意却	鈔 兩 文 一 宗 論 受 雖 包 權 實 祖 意 在 圓 若 分 兩 意 却 
X60n1112_001:0086b17	見二部次第排布皆非了義又云疏中提起小法以	見 二 部 次 第 排 布 皆 非 了 義 又 云 疏 中 提 起 小 法 以 
X60n1112_001:0086b18	圓決顯之處與疏鈔乎常引用之文天別此又見汝	圓 決 顯 之 處 與 疏 鈔 乎 常 引 用 之 文 天 別 此 又 見 汝 
X60n1112_001:0086b19	留心穿鑿而無遠致此是祖師用圓之處圓何甞別	留 心 穿 鑿 而 無 遠 致 此 是 祖 師 用 圓 之 處 圓 何 甞 別 
X60n1112_001:0086b20	提與不提但觀文中大小無間即是用圓緣境起慈	提 與 不 提 但 觀 文 中 大 小 無 間 即 是 用 圓 緣 境 起 慈 
X60n1112_001:0086b21	皆為受具善戒七眾為菩薩本鈔中受小為戒三聚	皆 為 受 具 善 戒 七 眾 為 菩 薩 本 鈔 中 受 小 為 戒 三 聚 
X60n1112_001:0086b22	法花開顯涅槃重扶無非此意汝因不見提起決顯	法 花 開 顯 涅 槃 重 扶 無 非 此 意 汝 因 不 見 提 起 決 顯 
X60n1112_001:0086b23	便謂天別朝四暮三小兒見解逐語之徒何見儀道	便 謂 天 別 朝 四 暮 三 小 兒 見 解 逐 語 之 徒 何 見 儀 道 
X60n1112_001:0086b24	彼破余曰不見排布受儀便語圓無受文彼若不醉	彼 破 余 曰 不 見 排 布 受 儀 便 語 圓 無 受 文 彼 若 不 醉 
X60n1112_001:0086c01	何出此言料彼曲見將圓宗於體之文方明圓受不	何 出 此 言 料 彼 曲 見 將 圓 宗 於 體 之 文 方 明 圓 受 不 
X60n1112_001:0086c02	知前論發心唯取上品今明戒體意在圓宗始終相	知 前 論 發 心 唯 取 上 品 今 明 戒 體 意 在 圓 宗 始 終 相 
X60n1112_001:0086c03	應受隨一貫故致此文究竟敘述前將二部次第融	應 受 隨 一 貫 故 致 此 文 究 竟 敘 述 前 將 二 部 次 第 融 
X60n1112_001:0086c04	通如合符節其理昭然則知彼欲也能指圓宗受文	通 如 合 符 節 其 理 昭 然 則 知 彼 欲 也 能 指 圓 宗 受 文 
X60n1112_001:0086c05	故假外問謗讟古人設有此問亦何須答外學何知	故 假 外 問 謗 讟 古 人 設 有 此 問 亦 何 須 答 外 學 何 知 
X60n1112_001:0086c06	欲顯異又是不曉一宗大意故此穿鑿何不自差先	欲 顯 異 又 是 不 曉 一 宗 大 意 故 此 穿 鑿 何 不 自 差 先 
X60n1112_001:0086c07	輩歷陳著撰賺人處多囑令我看欲辨是非付之來	輩 歷 陳 著 撰 賺 人 處 多 囑 令 我 看 欲 辨 是 非 付 之 來 
X60n1112_001:0086c08	哲余云分通屬機發者汝何能識如來洞照有此機	哲 余 云 分 通 屬 機 發 者 汝 何 能 識 如 來 洞 照 有 此 機 
X60n1112_001:0086c09	設此發由其在小不住於小慕大未歸於大是故設	設 此 發 由 其 在 小 不 住 於 小 慕 大 未 歸 於 大 是 故 設 
X60n1112_001:0086c10	發小中露大大中容小部主知此故立一宗道證無	發 小 中 露 大 大 中 容 小 部 主 知 此 故 立 一 宗 道 證 無 
X60n1112_001:0086c11	學即是小理終歸實道即是大理記云深有兼淺之	學 即 是 小 理 終 歸 實 道 即 是 大 理 記 云 深 有 兼 淺 之 
X60n1112_001:0086c12	能發蘊分通之義豈非此意彼引事鈔發三種心收	能 發 蘊 分 通 之 義 豈 非 此 意 彼 引 事 鈔 發 三 種 心 收 
X60n1112_001:0086c13	三種發詮三種理三種心非機耶教非發耶性相二	三 種 發 詮 三 種 理 三 種 心 非 機 耶 教 非 發 耶 性 相 二 
X60n1112_001:0086c14	空但是推折蓬相不同皆局機也真空何異只一權	空 但 是 推 折 蓬 相 不 同 皆 局 機 也 真 空 何 異 只 一 權 
X60n1112_001:0086c15	理縱是大乘十八空二十空等皆從境立空亦無別	理 縱 是 大 乘 十 八 空 二 十 空 等 皆 從 境 立 空 亦 無 別 
X60n1112_001:0086c16	受具習大佛祖明文却敢斥云是何言教若謂破我	受 具 習 大 佛 祖 明 文 却 敢 斥 云 是 何 言 教 若 謂 破 我 
X60n1112_001:0086c17	不曉何不破妄說余云受與不受自屬機者言時人	不 曉 何 不 破 妄 說 余 云 受 與 不 受 自 屬 機 者 言 時 人 
