T85n2789_001:0644c17	律戒本疏	律 戒 本 疏 
T85n2789_001:0649a26	治神故曰洽。洽神轉增故曰習。轉增近理故	治 神 故 曰 洽 洽 神 轉 增 故 曰 習 轉 增 近 理 故 
T85n2789_001:0649a27	曰親附。文言出要成就者。無漏悟解出其相。	曰 親 附 文 言 出 要 成 就 者 無 漏 悟 解 出 其 相 
T85n2789_001:0649a28	有最是。其勝謂之。要亦可或倒。生死能縛	有 最 是 其 勝 謂 之 要 亦 可 或 倒 生 死 能 縛 
T85n2789_001:0649a29	行人故稱為要。無漏能除此縛故曰出。從自	行 人 故 稱 為 要 無 漏 能 除 此 縛 故 曰 出 從 自 
T85n2789_001:0649b01	言念在身以下。廣上出要成就法。初列章門。	言 念 在 身 以 下 廣 上 出 要 成 就 法 初 列 章 門 
T85n2789_001:0649b02	後還一一解釋。自言念在身下至親附。此明	後 還 一 一 解 釋 自 言 念 在 身 下 至 親 附 此 明 
T85n2789_001:0649b03	聞慧已上觀。修習增廣如調伏乘。明思慧觀。	聞 慧 已 上 觀 修 習 增 廣 如 調 伏 乘 明 思 慧 觀 
T85n2789_001:0649b04	從守護觀察以下明修慧已上觀。於理無疑	從 守 護 觀 察 以 下 明 修 慧 已 上 觀 於 理 無 疑 
T85n2789_001:0649b05	故曰決定。得三慧滿足故無復艱難。自下諸	故 曰 決 定 得 三 慧 滿 足 故 無 復 艱 難 自 下 諸 
T85n2789_001:0649b06	句解亦如是。文言有覺有觀初禪支無覺有	句 解 亦 如 是 文 言 有 覺 有 觀 初 禪 支 無 覺 有 
T85n2789_001:0649b07	觀中間禪支無覺無觀者。二禪以上空無相	觀 中 間 禪 支 無 覺 無 觀 者 二 禪 以 上 空 無 相 
T85n2789_001:0649b08	無作。此三空門也。文言正受者初禪定。無	無 作 此 三 空 門 也 文 言 正 受 者 初 禪 定 無 
T85n2789_001:0649b09	想正受者二禪定。隨法正受者三禪定。心想	想 正 受 者 二 禪 定 隨 法 正 受 者 三 禪 定 心 想 
T85n2789_001:0649b10	正受者四禪定。除色想正受者空處觀。要	正 受 者 四 禪 定 除 色 想 正 受 者 空 處 觀 要 
T85n2789_001:0649b11	先破四禪淨色。然後得此定。故曰除色想正	先 破 四 禪 淨 色 然 後 得 此 定 故 曰 除 色 想 正 
T85n2789_001:0649b12	受。不除色想正受者識處定。除入正受者不	受 不 除 色 想 正 受 者 識 處 定 除 入 正 受 者 不 
T85n2789_001:0649b13	同處定。一切受者非想處定。十一支道十一	同 處 定 一 切 受 者 非 想 處 定 十 一 支 道 十 一 
T85n2789_001:0649b14	定具。初始悟性空與後諸智成軌。曰法已空。	定 具 初 始 悟 性 空 與 後 諸 智 成 軌 曰 法 已 空 
T85n2789_001:0649b15	類解過去未來。斯亦是空。故曰比智。文言	類 解 過去未來 斯 亦 是 空 故 曰 比 智 文 言 
T85n2789_001:0649b16	善色者是善因。惡色者是惡因。善趣是樂果。	善 色 者 是 善 因 惡 色 者 是 惡 因 善 趣 是 樂 果 
T85n2789_001:0649b17	惡趣是苦果。好結前善因。配結前惡因。貴結	惡 趣 是 苦 果 好 結 前 善 因 配 結 前 惡 因 貴 結 
T85n2789_001:0649b18	前樂果。賤結前苦果。比丘尼以下第四通結	前 樂 果 賤 結 前 苦 果 比 丘 尼 以 下 第 四 通 結 
T85n2789_001:0649b19	五眾罪。妄語結罪輕重少異殺盜。殺盜要取	五 眾 罪 妄 語 結 罪 輕 重 少 異 殺 盜 殺 盜 要 取 
T85n2789_001:0649b20	損境。結罪復容剋心。妄語不爾。但取自知內	損 境 結 罪 復 容 剋 心 妄 語 不 爾 但 取 自 知 內 
T85n2789_001:0649b21	虛。發虛語可解。即便結罪剋心。復難故隨	虛 發 虛 語 可 解 即 便 結 罪 剋 心 復 難 故 隨 
T85n2789_001:0649b22	前境結罪。是故人作非人想就境實結偷蘭	前 境 結 罪 是 故 人 作 非 人 想 就 境 實 結 偷 蘭 
T85n2789_001:0649b23	遮。雖是實結罪猶使誑人方便。非人人想犯	遮 雖 是 實 結 罪 猶 使 誑 人 方 便 非 人 人 想 犯 
T85n2789_001:0649b24	方便重偷蘭。人非人疑。此二犯方便輕偷蘭。	方 便 重 偷 蘭 人 非 人 疑 此 二 犯 方 便 輕 偷 蘭 
T85n2789_001:0649b25	非人人想。犯究竟輕偷蘭。若誑畜生。犯究	非 人 人 想 犯 究 竟 輕 偷 蘭 若 誑 畜 生 犯 究 
T85n2789_001:0649b26	竟突吉羅一悔。若誑非人不解。犯方便害吉	竟 突 吉 羅 一 悔 若 誑 非 人 不 解 犯 方 便 害 吉 
T85n2789_001:0649b27	羅　問曰。教人犯婬妄語犯偷蘭遮。為是方	羅 問 曰 教 人 犯 婬 妄 語 犯 偷 蘭 遮 為 是 方 
T85n2789_001:0649b28	便為是獨頭　答曰。使他犯重。亦得作方便。	便 為 是 獨 頭 答 曰 使 他 犯 重 亦 得 作 方 便 
T85n2789_001:0649b29	自分止住畢竟不得。以體成他亦名究竟。不	自 分 止 住 畢 竟 不 得 以 體 成 他 亦 名 究 竟 不 
T85n2789_001:0649c01	犯以下第五明開通。戒本中云。如前後亦如	犯 以 下 第 五 明 開 通 戒 本 中 云 如 前 後 亦 如 
T85n2789_001:0649c02	是者。如前者白衣沙彌時。是大沙門前不得	是 者 如 前 者 白 衣 沙 彌 時 是 大 沙 門 前 不 得 
T85n2789_001:0649c03	與僧足數作羯摩布薩。後作比丘犯四重禁。	與 僧 足 數 作 羯 摩 布 薩 後 作 比 丘 犯 四 重 禁 
T85n2789_001:0649c04	亦不得惻豫請咨故曰後亦如是。又一家解。	亦 不 得 惻 豫 請 咨 故 曰 後 亦 如 是 又 一 家 解 
T85n2789_001:0649c05	如前者前犯婬戒得其重罪。後殺盜欺亦得	如 前 者 前 犯 婬 戒 得 其 重 罪 後 殺 盜 欺 亦 得 
T85n2789_001:0649c06	重罪。故曰後亦如是。後一解。如前初婬戒得	重 罪 故 曰 後 亦 如 是 後 一 解 如 前 初 婬 戒 得 
T85n2789_001:0649c07	其重罪。後更犯婬復得重罪。如以驗知比丘	其 重 罪 後 更 犯 婬 復 得 重 罪 如 以 驗 知 比 丘 
T85n2789_001:0649c08	犯戒不失其戒。但業障重故現身不皆聖道。	犯 戒 不 失 其 戒 但 業 障 重 故 現 身 不 皆 聖 道 
T85n2789_001:0649c09	未來復有苦對　問曰。此律言。比丘初作重	未 來 復 有 苦 對 問 曰 此 律 言 比 丘 初 作 重 
T85n2789_001:0649c10	惡犯重。又更作亦犯重罪。僧祇毘婆沙第二	惡 犯 重 又 更 作 亦 犯 重 罪 僧 祇 毘 婆 沙 第 二 
T85n2789_001:0649c11	重犯得突吉羅。何故不同　答曰。諸律互說	重 犯 得 突 吉 羅 何 故 不 同 答 曰 諸 律 互 說 
T85n2789_001:0649c12	一罪。隨用不同故作二名。此律言。重者比丘	一 罪 隨 用 不 同 故 作 二 名 此 律 言 重 者 比 丘 
T85n2789_001:0649c13	雖不足僧數。由在僧中得聽說戒。異於沙彌	雖 不 足 僧 數 由 在 僧 中 得 聽 說 戒 異 於 沙 彌 
T85n2789_001:0649c14	故言犯。餘律言。犯輕者正以不足僧數故。便	故 言 犯 餘 律 言 犯 輕 者 正 以 不 足 僧 數 故 便 
T85n2789_001:0649c15	同沙彌故結突吉羅。半月說戒唯列罪事非	同 沙 彌 故 結 突 吉 羅 半 月 說 戒 唯 列 罪 事 非 
T85n2789_001:0649c16	戒。何故言說戒。戒本對防罪事。若不列罪事	戒 何 故 言 說 戒 戒 本 對 防 罪 事 若 不 列 罪 事 
T85n2789_001:0649c17	戒無由可識知差別。半月唱說罪事。五遍輕	戒 無 由 可 識 知 差 別 半 月 唱 說 罪 事 五 遍 輕 
T85n2789_001:0649c18	重不同。為破欲使人識知。能防戒體差別。	重 不 同 為 破 欲 使 人 識 知 能 防 戒 體 差 別 
T85n2789_001:0649c19	從所為作名。故言說戒。亦可本說罪事為欲	從 所 為 作 名 故 言 說 戒 亦 可 本 說 罪 事 為 欲 
T85n2789_001:0649c20	持戒。由說戒而生。故言說戒。	持 戒 由 說 戒 而 生 故 言 說 戒 
T85n2789_001:0649c21	第二遍　僧伽者重舉初遍。名為無餘。犯之	第 二 遍 僧 伽 者 重 舉 初 遍 名 為 無 餘 犯 之 
T85n2789_001:0649c22	淨戒永盡故曰無餘。婆尸沙者名曰有餘。犯	淨 戒 永 盡 故 曰 無 餘 婆 尸 沙 者 名 曰 有 餘 犯 
T85n2789_001:0649c23	之淨戒不盡。謂之有餘。後一解。僧伽者言屬。	之 淨 戒 不 盡 謂 之 有 餘 後 一 解 僧 伽 者 言 屬 
T85n2789_001:0649c24	婆尸沙者言僧。此罪要由僧滅故曰屬僧。就	婆 尸 沙 者 言 僧 此 罪 要 由 僧 滅 故 曰 屬 僧 就 
T85n2789_001:0649c25	此遍中。若欲料簡可有六種。第一明此僧	此 遍 中 若 欲 料 簡 可 有 六 種 第 一 明 此 僧 
T85n2789_001:0649c26	殘中或有是性惡者。或有是遮惡。何者是。初	殘 中 或 有 是 性 惡 者 或 有 是 遮 惡 何 者 是 初 
T85n2789_001:0649c27	四戒。後六戒。此十戒性是不善。中有三戒非	四 戒 後 六 戒 此 十 戒 性 是 不 善 中 有 三 戒 非 
T85n2789_001:0649c28	是性惡。但媒嫁和合死生。二房長其貪求。皆	是 性 惡 但 媒 嫁 和 合 死 生 二 房 長 其 貪 求 皆 
T85n2789_001:0649c29	是障道。是故聖教通制。第二明僧殘。是初	是 障 道 是 故 聖 教 通 制 第 二 明 僧 殘 是 初 
T85n2789_001:0650a01	遍種類初五戒皆是欲心所起。是婬戒種類。	遍 種 類 初 五 戒 皆 是 欲 心 所 起 是 婬 戒 種 類 
T85n2789_001:0650a02	二房從貪心起。是盜戒種類。二謗從瞋心起。	二 房 從 貪 心 起 是 盜 戒 種 類 二 謗 從 瞋 心 起 
T85n2789_001:0650a03	是妄語種類。後四戒亦從瞋心起。是妄語種	是 妄 語 種 類 後 四 戒 亦 從 瞋 心 起 是 妄 語 種 
T85n2789_001:0650a04	類。第三明配三業。初二戒身業成就。次三戒	類 第 三 明 配 三 業 初 二 戒 身 業 成 就 次 三 戒 
T85n2789_001:0650a05	多是口業成就。亦有身業成就。二房身口業	多 是 口 業 成 就 亦 有 身 業 成 就 二 房 身 口 業 
T85n2789_001:0650a06	成就。後六戒多是口業。亦容有身業。一切戒	成 就 後 六 戒 多 是 口 業 亦 容 有 身 業 一 切 戒 
T85n2789_001:0650a07	盡有意業。第四明二部僧輕重不同。初大僧	盡 有 意 業 第 四 明 二 部 僧 輕 重 不 同 初 大 僧 
T85n2789_001:0650a08	犯重。尼波逸提。摩觸大僧輕。尼波羅夷。二	犯 重 尼 波 逸 提 摩 觸 大 僧 輕 尼 波 羅 夷 二 
T85n2789_001:0650a09	麁惡語二房。尼盡偷蘭遮。所以爾者。皆有其	麁 惡 語 二 房 尼 盡 偷 蘭 遮 所 以 爾 者 皆 有 其 
T85n2789_001:0650a10	意漏失。比丘所以重者。能感苦果相續。男	意 漏 失 比 丘 所 以 重 者 能 感 苦 果 相 續 男 
T85n2789_001:0650a11	要由外失。是故重也。女人能感生死相續。要	要 由 外 失 是 故 重 也 女 人 能 感 生 死 相 續 要 
T85n2789_001:0650a12	由內入。不由外失。是故外所以輕也。女人生	由 內 入 不 由 外 失 是 故 外 所 以 輕 也 女 人 生 
T85n2789_001:0650a13	患處深。復是志弱。以受摩觸必成大惡。是	患 處 深 復 是 志 弱 以 受 摩 觸 必 成 大 惡 是 
T85n2789_001:0650a14	故制重。二麁惡語是成重方便。是偷蘭遮罪。	故 制 重 二 麁 惡 語 是 成 重 方 便 是 偷 蘭 遮 罪 
T85n2789_001:0650a15	尼本獨宿。私獨作房儀少。是故但得偷蘭。第	尼 本 獨 宿 私 獨 作 房 儀 少 是 故 但 得 偷 蘭 第 
T85n2789_001:0650a16	五料簡僧殘。自作教人犯罪輕重不同。初二	五 料 簡 僧 殘 自 作 教 人 犯 罪 輕 重 不 同 初 二 
T85n2789_001:0650a17	戒後四戒。此六戒自作正犯。教人自犯輕。中	戒 後 四 戒 此 六 戒 自 作 正 犯 教 人 自 犯 輕 中 
T85n2789_001:0650a18	間七戒自作教人容有俱犯。所以然者。凡犯	間 七 戒 自 作 教 人 容 有 俱 犯 所 以 然 者 凡 犯 
T85n2789_001:0650a19	戒由於貪瞋如犯。初二戒皆由內有染情。自	戒 由 於 貪 瞋 如 犯 初 二 戒 皆 由 內 有 染 情 自 
T85n2789_001:0650a20	作稱心與樂受相應。是故正犯。若使教人適	作 稱 心 與 樂 受 相 應 是 故 正 犯 若 使 教 人 適 
T85n2789_001:0650a21	不在已。是故不得同犯。直以由教他為惡但	不 在 已 是 故 不 得 同 犯 直 以 由 教 他 為 惡 但 
T85n2789_001:0650a22	犯偷蘭。後有四戒。犯本由於瞋心。自作違	犯 偷 蘭 後 有 四 戒 犯 本 由 於 瞋 心 自 作 違 
T85n2789_001:0650a23	僧三諫。有稱情之義。是故犯僧殘。若教人犯	僧 三 諫 有 稱 情 之 義 是 故 犯 僧 殘 若 教 人 犯 
T85n2789_001:0650a24	者瞋心則少。僧不設諫。是故犯輕。中間七戒	者 瞋 心 則 少 僧 不 設 諫 是 故 犯 輕 中 間 七 戒 
T85n2789_001:0650a25	如二麁惡語犯。雖由愛心惡由前人知解。自	如 二 麁 惡 語 犯 雖 由 愛 心 惡 由 前 人 知 解 自 
T85n2789_001:0650a26	作教人皆得表。已有染來已知染不殊。是故	作 教 人 皆 得 表 已 有 染 來 已 知 染 不 殊 是 故 
T85n2789_001:0650a27	同犯。媒嫁一戒犯。由作使和合。自作教人	同 犯 媒 嫁 一 戒 犯 由 作 使 和 合 自 作 教 人 
T85n2789_001:0650a28	皆得作使。是同犯。二房犯由貪心欲自資已。	皆 得 作 使 是 同 犯 二 房 犯 由 貪 心 欲 自 資 已 
T85n2789_001:0650a29	又惱亂處曠。自作教人為已作。皆是資已。又	又 惱 亂 處 曠 自 作 教 人 為 已 作 皆 是 資 已 又 
T85n2789_001:0650b01	惱處不異。是故同犯。若直教他作私房。無資	惱 處 不 異 是 故 同 犯 若 直 教 他 作 私 房 無 資 
T85n2789_001:0650b02	已義。是故犯輕。二謗犯由瞋心。妄壞他梵行。	已 義 是 故 犯 輕 二 謗 犯 由 瞋 心 妄 壞 他 梵 行 
T85n2789_001:0650b03	成前人有惡。若自謗教人皆彰前人有惡使	成 前 人 有 惡 若 自 謗 教 人 皆 彰 前 人 有 惡 使 
T85n2789_001:0650b04	知之不異。是故同犯。第六明持犯方軌。十	知 之 不 異 是 故 同 犯 第 六 明 持 犯 方 軌 十 
T85n2789_001:0650b05	三戒皆是止持作犯。但二房具二持二犯止。	三 戒 皆 是 止 持 作 犯 但 二 房 具 二 持 二 犯 止 
T85n2789_001:0650b06	不作白二羯磨名為止犯。作白二羯磨處分	不 作 白二羯磨 名 為 止 犯 作 白二羯磨 處 分 
T85n2789_001:0650b07	作房名為作持。作持有九句。可判為三品九	作 房 名 為 作 持 作 持 有 九 句 可 判 為 三 品 九 
T85n2789_001:0650b08	句。是何初句識法識罪。七種羯磨。非法不	句 是 何 初 句 識 法 識 罪 七 種 羯 磨 非 法 不 
T85n2789_001:0650b09	成識法。和合羯磨成就。并房尺量大小亦識	成 識 法 和 合 羯 磨 成 就 并 房 尺 量 大 小 亦 識 
T85n2789_001:0650b10	防難二處。是為識法并識前事。此一句識法	防 難 二 處 是 為 識 法 并 識 前 事 此 一 句 識 法 
T85n2789_001:0650b11	識罪。是上品作持戒人。中品作持戒人有四	識 罪 是 上 品 作 持 戒 人 中 品 作 持 戒 人 有 四 
T85n2789_001:0650b12	句。初句識法疑犯。第二句識法不識犯。第三	句 初 句 識 法 疑 犯 第 二 句 識 法 不 識 犯 第 三 
T85n2789_001:0650b13	句不識法疑犯。第四句不識不識法犯。此	句 不 識 法 疑 犯 第 四 句 不 識 不 識 法 犯 此 
T85n2789_001:0650b14	四句各有一無知突吉羅。併為中品。下品作	四 句 各 有 一 無 知 突 吉 羅 併 為 中 品 下 品 作 
T85n2789_001:0650b15	持戒人亦有四句。初句疑法疑犯。第二句疑	持 戒 人 亦 有 四 句 初 句 疑 法 疑 犯 第 二 句 疑 
T85n2789_001:0650b16	法不識犯。第三句不識法疑犯。第四句不識	法 不 識 犯 第 三 句 不 識 法 疑 犯 第 四 句 不 識 
T85n2789_001:0650b17	法不識犯。此四句上各有二無知罪。併為下	法 不 識 犯 此 四 句 上 各 有 二 無 知 罪 併 為 下 
T85n2789_001:0650b18	品。雖同作持。然有此三品上中下。	品 雖 同 作 持 然 有 此 三 品 上 中 下 
T85n2789_001:0650b19	就此遍中。故漏失本犯之在前。今列之在初。	就 此 遍 中 故 漏 失 本 犯 之 在 前 今 列 之 在 初 
T85n2789_001:0650b20	就此故漏失中有五段文。第一從初訖夢中	就 此 故 漏 失 中 有 五 段 文 第 一 從 初 訖 夢 中 
T85n2789_001:0650b21	失精不犯已來。明起過因緣。第二從自今已	失 精 不 犯 已 來 明 起 過 因 緣 第 二 從 自 今 已 
T85n2789_001:0650b22	去當如是結戒以下。正制戒本。第三從比丘	去 當 如 是 結 戒 以 下 正 制 戒 本 第 三 從 比 丘 
T85n2789_001:0650b23	義如上以下訖一切突吉羅已來。正明廣解。	義 如 上 以 下 訖 一 切 突 吉 羅 已 來 正 明 廣 解 
T85n2789_001:0650b24	第四從比丘尼波逸提以下訖是謂為犯已	第 四 從 比 丘 尼 波 逸 提 以 下 訖 是 謂 為 犯 已 
T85n2789_001:0650b25	來。明通結五眾。第五不犯以下訖未。明開通	來 明 通 結 五 眾 第 五 不 犯 以 下 訖 未 明 開 通 
T85n2789_001:0650b26	不犯。就因緣中有四。從初訖顏色光澤已來。	不 犯 就 因 緣 中 有 四 從 初 訖 顏 色 光 澤 已 來 
T85n2789_001:0650b27	正明起過。第二從諸比丘以下具白世尊已	正 明 起 過 第 二 從 諸 比 丘 以 下 具 白 世 尊 已 
T85n2789_001:0650b28	來。正明少欲白佛。第三世尊爾時以下訖	來 正 明 少 欲 白 佛 第 三 世 尊 爾 時 以 下 訖 
T85n2789_001:0650b29	僧伽婆尸沙已來。正明呵嘖制戒。第四從如	僧伽婆尸沙 已 來 正 明 呵 嘖 制 戒 第 四 從 如 
T85n2789_001:0650c01	是世尊以下訖未。開夢失不犯。就廣解中有	是 世 尊 以 下 訖 未 開 夢 失 不 犯 就 廣 解 中 有 
T85n2789_001:0650c02	七子段。第一從初訖斯陀含人精已來。明七	七 子 段 第 一 從 初 訖 斯 陀 含 人 精 已 來 明 七 
T85n2789_001:0650c03	種精。第二從爾時有婆羅門以下訖為如是	種 精 第 二 從 爾 時 有婆羅門 以 下 訖 為 如 是 
T85n2789_001:0650c04	等事弄失一切僧伽婆尸沙已來。明所為有	等 事 弄 失 一 切 僧伽婆尸沙 已 來 明 所 為 有 
T85n2789_001:0650c05	十一事。第三從憶念弄失以下訖酪醬色亦	十 一 事 第 三 從 憶 念 弄 失 以 下 訖 酪 醬 色 亦 
T85n2789_001:0650c06	如是已來。明七種精。各作頭七七四十九句。	如 是 已 來 明 七 種 精 各 作 頭 七 七 四 十 九 句 
T85n2789_001:0650c07	無所為作五十句。第四從若欲為樂故憶念	無 所 為 作 五 十 句 第 四 從 若 欲 為 樂 故 憶 念 
T85n2789_001:0650c08	弄失不淨以下訖顏色和悅故亦如是已來。	弄 失 不 淨 以 下 訖 顏 色 和 悅 故 亦 如 是 已 來 
T85n2789_001:0650c09	明五百五十句。第五從若於內色以下訖自	明 五 百 五 十 句 第 五 從 若 於 內 色 以 下 訖 自 
T85n2789_001:0650c10	空動身已來。明十種境界。第六從若於內色	空 動 身 已 來 明 十 種 境 界 第 六 從 若 於 內 色 
T85n2789_001:0650c11	弄失不淨以下訖水風空亦如是已來。明對	弄 失 不 淨 以 下 訖 水 風 空 亦 如 是 已 來 明 對 
T85n2789_001:0650c12	十種境作五千五百句。第七從憶念弄失不	十 種 境 作 五 千 五 百 句 第 七 從 憶 念 弄 失 不 
T85n2789_001:0650c13	淨以下訖未。明結罪輕重。	淨 以 下 訖 未 明 結 罪 輕 重 
T85n2789_001:0650c14	摩觸戒第二　摩觸麁惡語可有三種料簡。	摩 觸 戒 第 二 摩 觸 麁 惡 語 可 有 三 種 料 簡 
T85n2789_001:0650c15	一或並犯究竟方便。二或但犯究竟。三料簡	一 或 並 犯 究竟方便 二 或 但 犯 究 竟 三 料 簡 
T85n2789_001:0650c16	此合彼離。何者此中摩觸尼之以女合制戒。	此 合 彼 離 何 者 此 中 摩 觸 尼 之 以 女 合 制 戒 
T85n2789_001:0650c17	麁惡語亦爾。九十事中共尼女人屏露處坐。	麁 惡 語 亦 爾 九 十 事 中 共 尼 女 人 屏 露 處 坐 
T85n2789_001:0650c18	離尼女別立戒本。所以爾者。彼間隨舉罪人	離 尼 女 別 立 戒 本 所 以 爾 者 彼 間 隨 舉 罪 人 
T85n2789_001:0650c19	異故別立戒本。此中逐犯罪境同。是女人染	異 故 別 立 戒 本 此 中 逐 犯 罪 境 同 是 女 人 染 
T85n2789_001:0650c20	心摩觸復不異。故合制一戒。若欲逐舉罪人	心 摩 觸 復 不 異 故 合 制 一 戒 若 欲 逐 舉 罪 人 
T85n2789_001:0650c21	別亦得難之。就摩觸戒中亦有五段文。就因	別 亦 得 難 之 就 摩 觸 戒 中 亦 有 五 段 文 就 因 
T85n2789_001:0650c22	緣中有四。第一從初訖捫摸呪口已來。明起	緣 中 有 四 第 一 從 初 訖 捫 摸 呪 口 已 來 明 起 
T85n2789_001:0650c23	過。第二從樂者咲其所以以下訖乃作此事。	過 第 二 從 樂 者 咲 其 所 以 以 下 訖 乃 作 此 事 
T85n2789_001:0650c24	正明諸女幾嫌。第三從時諸比丘以下訖具	正 明 諸 女 幾 嫌 第 三 從 時 諸 比 丘 以 下 訖 具 
T85n2789_001:0650c25	白世尊已來。明諸比丘舉過白佛。第四從世	白 世 尊 已 來 明 諸 比 丘 舉 過 白 佛 第 四 從 世 
T85n2789_001:0650c26	尊以下訖末。明如來呵嘖制戒。解摩觸要具	尊 以 下 訖 末 明 如 來 呵 嘖 制 戒 解 摩 觸 要 具 
T85n2789_001:0650c27	四緣。犯究竟僧殘。若具四緣犯究竟偷蘭突	四 緣 犯 究 竟 僧 殘 若 具 四 緣 犯 究 竟 偷 蘭 突 
T85n2789_001:0650c28	吉羅亦爾。若四緣闕一悉是方便偷蘭突吉	吉 羅 亦 爾 若 四 緣 闕 一 悉 是 方 便 偷 蘭 突 吉 
T85n2789_001:0650c29	羅。下至文時當解。就廣分別中有五子段。第	羅 下 至 文 時 當 解 就 廣 分 別 中 有 五 子 段 第 
T85n2789_001:0651a01	一從初訖膝髀僧伽婆尸沙已來。明九種境	一 從 初 訖 膝 髀 僧伽婆尸沙 已 來 明 九 種 境 
T85n2789_001:0651a02	界。第二從若女人作女想以下訖是女疑偷	界 第 二 從 若 女 人 作 女 想 以 下 訖 是 女 疑 偷 
T85n2789_001:0651a03	蘭已來。明對九種境。明二俱無衣互相摩觸。	蘭 已 來 明 對 九 種 境 明 二 俱 無 衣 互 相 摩 觸 
T85n2789_001:0651a04	作五十四句僧殘。十八句偷蘭。第三從女作	作 五 十 四 句 僧 殘 十 八 句 偷 蘭 第 三 從 女 作 
T85n2789_001:0651a05	女想身觸彼以下訖若女疑突吉羅已來。明	女 想 身 觸 彼 以 下 訖 若 女 疑 突 吉 羅 已 來 明 
T85n2789_001:0651a06	一有衣一無衣互相摩觸。四緣具九十句偷	一 有 衣 一 無 衣 互 相 摩 觸 四 緣 具 九 十 句 偷 
T85n2789_001:0651a07	蘭。若四緣中闕一九十句突吉羅。第四從	蘭 若 四 緣 中 闕 一 九 十 句 突 吉 羅 第 四 從 
T85n2789_001:0651a08	若女作女想以身衣觸身衣以下訖突吉羅已	若 女 作 女 想 以 身 衣 觸 身 衣 以 下 訖 突 吉 羅 已 
T85n2789_001:0651a09	來。明二俱有衣五十四句突吉羅。第五從若	來 明 二 俱 有 衣 五 十 四 句 突 吉 羅 第 五 從 若 
T85n2789_001:0651a10	比丘以下訖末。明結罪輕重。摩觸有九事。事	比 丘 以 下 訖 末 明 結 罪 輕 重 摩 觸 有 九 事 事 
T85n2789_001:0651a11	上應有六句僧殘。但律文略出二句便止。九	上 應 有 六 句 僧 殘 但 律 文 略 出 二 句 便 止 九 
T85n2789_001:0651a12	事是何。一捉摩。二逆摩。三順摩。四牽前。五	事 是 何 一 捉 摩 二 逆 摩 三 順 摩 四 牽 前 五 
T85n2789_001:0651a13	推却。六捉舉。七抱下。八若捉。九若急捺。就	推 却 六 捉 舉 七 抱 下 八 若 捉 九 若 急 捺 就 
T85n2789_001:0651a14	此九事上。事上二俱露身。犯六僧殘罪。二	此 九 事 上 事 上 二 俱 露 身 犯 六 僧 殘 罪 二 
T85n2789_001:0651a15	偷蘭。所以爾者。由比丘懼罪不。雖有染心	偷 蘭 所 以 爾 者 由 比 丘 懼 罪 不 雖 有 染 心 
T85n2789_001:0651a16	懼罪不敢往觸女人。而女人發意來觸比丘。	懼 罪 不 敢 往 觸 女 人 而 女 人 發 意 來 觸 比 丘 
T85n2789_001:0651a17	犯二僧殘。一動身受樂。二不動身受樂。此二	犯 二 僧 殘 一 動 身 受 樂 二 不 動 身 受 樂 此 二 
T85n2789_001:0651a18	句由受樂故犯僧殘。下有二句。一動身不受	句 由 受 樂 故 犯 僧 殘 下 有 二 句 一 動 身 不 受 
T85n2789_001:0651a19	樂。二不動身不受樂。此二句同有染心。以不	樂 二 不 動 身 不 受 樂 此 二 句 同 有 染 心 以 不 
T85n2789_001:0651a20	受樂故但犯二方便偷蘭。若比丘有染心。自	受 樂 故 但 犯 二 方 便 偷 蘭 若 比 丘 有 染 心 自 
T85n2789_001:0651a21	發心往觸彼女人。四句皆犯僧殘。由往觸女	發 心 往 觸 彼 女 人 四 句 皆 犯 僧 殘 由 往 觸 女 
T85n2789_001:0651a22	人。觸故爾。律文中但出女人來觸二句僧殘。	人 觸 故 爾 律 文 中 但 出 女 人 來 觸 二 句 僧 殘 
T85n2789_001:0651a23	比丘往觸女人。四句僧殘。女人來觸比丘。二	比 丘 往 觸 女 人 四 句 僧 殘 女 人 來 觸 比 丘 二 
T85n2789_001:0651a24	句偷蘭。此六句略而不出。下一有衣無衣	句 偷 蘭 此 六 句 略 而 不 出 下 一 有 衣 無 衣 
T85n2789_001:0651a25	犯偷蘭。具足出之。上二俱無衣中。若疑犯方	犯 偷 蘭 具 足 出 之 上 二 俱 無 衣 中 若 疑 犯 方 
T85n2789_001:0651a26	便偷蘭。前女人來觸比丘不受樂。犯二方便	便 偷 蘭 前 女 人 來 觸 比 丘 不 受 樂 犯 二 方 便 
T85n2789_001:0651a27	偷蘭。若疑就一事上犯二方便突吉羅。若	偷 蘭 若 疑 就 一 事 上 犯 二 方 便 突 吉 羅 若 
T85n2789_001:0651a28	就一有衣一無衣。九事上各有十句偷蘭。前	就 一 有 衣 一 無 衣 九 事 上 各 有 十 句 偷 蘭 前 
T85n2789_001:0651a29	八句。一是有衣。一是露身。文少不悉。初句應	八 句 一 是 有 衣 一 是 露 身 文 少 不 悉 初 句 應 
T85n2789_001:0651b01	言動身。受觸樂。第二句應言不動身。不受	言 動 身 受 觸 樂 第 二 句 應 言 不 動 身 不 受 
T85n2789_001:0651b02	觸樂。此二句是比丘往觸女人。第三第四句	觸 樂 此 二 句 是 比 丘 往 觸 女 人 第 三 第 四 句 
T85n2789_001:0651b03	同上二句。但女人來觸比丘為異耳。第五第	同 上 二 句 但 女 人 來 觸 比 丘 為 異 耳 第 五 第 
