T52n2113_001:0573a04	北山錄序	北 山 錄 序 
T52n2113_006:0612a04	至第六世。命若懸絲。是知崇山至峻朽壤崩	至 第 六 世 命 若 懸 絲 是 知 崇 山 至 峻 朽 壤 崩 
T52n2113_006:0612a05	之。喬木至堅蝎蟲蠧之。故使吾祖不遐有害	之 喬 木 至 堅 蝎 蟲 蠧 之 故 使 吾 祖 不 遐 有 害 
T52n2113_006:0612a06	終恤我後也(菩提流支。此云覺希。北印度人。遍通三藏。妙入總持。志在弘演。廣流視聽。以	終 恤 我 後 也 菩 提 流 支 此 云 覺 希 北 印 度 人 遍 通 三 藏 妙 入 總 持 志 在 弘 演 廣 流 視 聽 以 
T52n2113_006:0612a07	魏宣武帝永平元年己丑歲至洛陽。譯經論三十九部一百二十七卷。筆授草本滿一間舍。兼攻雜術。甞坐井口。	魏 宣 武 帝 永 平 元 年 己 丑 歲 至 洛 陽 譯 經 論 三 十 九 部 一 百 二 十 七 卷 筆 授 草 本 滿 一 間 舍 兼 攻 雜 術 甞 坐 井 口 
T52n2113_006:0612a08	澡灌置空。或呪井令涌。酌而為用。光統律師乃一代之英傑。況主僧柄。豈能爾耶。寶林傳者。乖誤極多。後之學	澡 灌 置 空 或 呪 井 令 涌 酌 而 為 用 光 統 律 師 乃 一 代 之 英 傑 況 主 僧 柄 豈 能 爾 耶 寶 林 傳 者 乖 誤 極 多 後 之 學 
T52n2113_006:0612a09	者。宜更審之也)譏者曰。邪夫干正。正卒成邪。妄士談	者 宜 更 審 之 也 譏 者 曰 邪 夫 干 正 正 卒 成 邪 妄 士 談 
T52n2113_006:0612a10	真。真返為妄。傷哉內訕釋黨以名利相殘。而	真 真 返 為 妄 傷 哉 內 訕 釋 黨 以 名 利 相 殘 而 
T52n2113_006:0612a11	有至於是者也。彼意以德高物忌。深用自顯	有 至 於 是 者 也 彼 意 以 德 高 物 忌 深 用 自 顯 
T52n2113_006:0612a12	(意以達磨德高為流支等妬忌也)而不知自傷。亦以極矣。昔魏	 意 以 達 磨 德 高 為 流 支 等 妬 忌 也 而 不 知 自 傷 亦 以 極 矣 昔 魏 
T52n2113_006:0612a13	周滅法。詔假顧先生三破論等(顧歡先生也)誣釋氏	周 滅 法 詔 假 顧 先 生 三 破 論 等 顧 歡 先 生 也 誣 釋 氏 
T52n2113_006:0612a14	之惡方此而實不為甚也。詩曰。人之無良。相	之 惡 方 此 而 實 不 為 甚 也 詩 曰 人 之 無 良 相 
T52n2113_006:0612a15	怨一方。其斯之謂乎。夫良將戮於讒口。實快	怨 一 方 其 斯 之 謂 乎 夫 良 將 戮 於 讒 口 實 快 
T52n2113_006:0612a16	敵者之心也(若白起死於杜郵之類也)高德鑠於謗夫。實資	敵 者 之 心 也 若 白 起 死 於 杜 郵 之 類 也 高 德 鑠 於 謗 夫 實 資 
T52n2113_006:0612a17	外黨之侮也(以資外宗之謗)其聽謗者不掩耳。此亦	外 黨 之 侮 也 以 資 外 宗 之 謗 其 聽 謗 者 不 掩 耳 此 亦 
T52n2113_006:0612a18	獎謗之流也。古之有道者。澹然無極。眾美從	獎 謗 之 流 也 古 之 有 道 者 澹 然 無 極 眾 美 從 
T52n2113_006:0612a19	之。故猛虎不據。鷙鳥不攫(鷙擊也。攫搏也。不揚威而示勇也)而	之 故 猛 虎 不 據 鷙 鳥 不 攫 鷙 擊 也 攫 搏 也 不 揚 威 而 示 勇 也 而 
T52n2113_006:0612a20	況人乎。若六過遇毒。知而食之。何求自斃也。	況 人 乎 若 六 過 遇 毒 知 而 食 之 何 求 自 斃 也 
T52n2113_006:0612a21	不知而食。孰謂有道也(豈曰聖人也)夫陵陽務成。未	不 知 而 食 孰 謂 有 道 也 豈 曰 聖 人 也 夫 陵 陽 務 成 未 
T52n2113_006:0612a22	聞罹於鴆俠(陵陽務成。皆古有道者。尚不為毒害)豈空門則有此	聞 罹 於 鴆 俠 陵 陽 務 成 皆 古 有 道 者 尚 不 為 毒 害 豈 空 門 則 有 此 
T52n2113_006:0612a23	耶。故善為道者。不使人愛已愛尚使人絕。而	耶 故 善 為 道 者 不 使 人 愛 已 愛 尚 使 人 絕 而 
T52n2113_006:0612a24	況使人害己乎。彼流支光統。皆德化敷弘。人	況 使 人 害 己 乎 彼 流 支 光 統 皆 德 化 敷 弘 人 
T52n2113_006:0612a25	天極望。獎賢輔善。共揚風教。如光之門。德行	天 極 望 獎 賢 輔 善 共 揚 風 教 如 光 之 門 德 行 
T52n2113_006:0612a26	十人(慧光門下名揚不一)今此佞人。曷敢訕毀(仲尼云。是故惡夫佞者)	十 人 慧 光 門 下 名 揚 不 一 今 此 佞 人 曷 敢 訕 毀 仲 尼 云 是 故 惡 夫 佞 者 
T52n2113_006:0612a27	俾投豺虎。孰云窮責。且聽訟吾猶人也。審	俾 投 豺 虎 孰 云 窮 責 且 聽 訟 吾 猶 人 也 審 
T52n2113_006:0612a28	已為仁不能果惡人之為仁何能果乎(仁者本以果敢。決	已 為 仁 不 能 果 惡 人 之 為 仁 何 能 果 乎 仁 者 本 以 果 敢 決 
T52n2113_006:0612b01	斷為義。今惡人興訕謗之文非於良善。已不能審決是非而信之。如此則仁。豈有果敢之用乎)。故君	斷 為 義 今 惡 人 興 訕 謗 之 文 非 於 良 善 已 不 能 審 決 是 非 而 信 之 如 此 則 仁 豈 有 果 敢 之 用 乎 故 君 
T52n2113_006:0612b02	子內恕己以量人(君子之道。忠恕而已。忖己度人。為之忠恕)古者虞芮	子 內 恕 己 以 量 人 君 子 之 道 忠 恕 而 已 忖 己 度 人 為 之 忠 恕 古 者 虞 芮 
T52n2113_006:0612b03	爭田尚慚西伯(虞芮二國爭田而訟。年年不決。乃相謂曰。西伯仁也。盍往質焉。入其境	爭 田 尚 慚 西 伯 虞 芮 二 國 爭 田 而 訟 年 年 不 決 乃 相 謂 曰 西 伯 仁 也 盍 往 質 焉 入 其 境 
T52n2113_006:0612b04	見。耕者讓畔。行者讓路。朝臣讓位曰。吾儕小人。不可以入君子朝。遂讓為閑田也。孔子曰。文王可謂至德也。不	見 耕 者 讓 畔 行 者 讓 路 朝 臣 讓 位 曰 吾 儕 小 人 不 可 以 入 君 子 朝 遂 讓 為 閑 田 也 孔 子 曰 文 王 可 謂 至 德 也 不 
T52n2113_006:0612b05	教而從之)鉏麑殘賊。猶敬晉臣(鉏麑俠士也。奉晉侯命。刺趙盾。盾將朝尚早服而	教 而 從 之 鉏 麑 殘 賊 猶 敬 晉 臣 鉏 麑 俠 士 也 奉 晉 侯 命 刺 趙 盾 盾 將 朝 尚 早 服 而 
T52n2113_006:0612b06	假寐麑見曰。民之主也。賊民之主不忠。失君之命不信。遂觸槐而死)而禪祖死於謀。	假 寐 麑 見 曰 民 之 主 也 賊 民 之 主 不 忠 失 君 之 命 不 信 遂 觸 槐 而 死 而 禪 祖 死 於 謀 
T52n2113_006:0612b07	夫未為德也(設使誑言達磨死於流支。豈為有德者哉)又云。可大師不	夫 未 為 德 也 設 使 誑 言 達 磨 死 於 流 支 豈 為 有 德 者 哉 又 云 可 大 師 不 
T52n2113_006:0612b08	死於城安。令枯木之下而續死於和禪師所	死 於 城 安 令 枯 木 之 下 而 續 死 於 和 禪 師 所 
T52n2113_006:0612b09	鴆。斯貶可祖尤矣(僧可。一名慧可。姬姓。虎牢人。有禪學。以達磨為師。遭賊斫臂。以	鴆 斯 貶 可 祖 尤 矣 僧 可 一 名 慧 可 姬 姓 虎 牢 人 有 禪 學 以 達 磨 為 師 遭 賊 斫 臂 以 
T52n2113_006:0612b10	法御心。不覺痛苦。乞食如故。化公及和禪師。俱時之名德。有云。和以藥鴆。可謗之深也)好勝者	法 御 心 不 覺 痛 苦 乞 食 如 故 化 公 及 和 禪 師 俱 時 之 名 德 有 云 和 以 藥 鴆 可 謗 之 深 也 好 勝 者 
T52n2113_006:0612b11	必勍其敵。豈則祖師好勝者耶(勍強也。好勝之士與敵爭強弱。	必 勍 其 敵 豈 則 祖 師 好 勝 者 耶 勍 強 也 好 勝 之 士 與 敵 爭 強 弱 
T52n2113_006:0612b12	故有憎愛相讎之事。祖師泯其念。而灰其心者。與物無競。豈有憎愛致斯害耶。信傳者之謬也)昔紀	故 有 憎 愛 相 讎 之 事 祖 師 泯 其 念 而 灰 其 心 者 與 物 無 競 豈 有 憎 愛 致 斯 害 耶 信 傳 者 之 謬 也 昔 紀 
T52n2113_006:0612b13	渻子養鬪雞。能使忘心氣狀木雞。群雞見之	渻 子 養 鬪 雞 能 使 忘 心 氣 狀 木 雞 群 雞 見 之 
T52n2113_006:0612b14	蔑有鬪志。疇庸有道者而忝於雞乎(紀渻子為王養鬪雞。十	蔑 有 鬪 志 疇 庸 有 道 者 而 忝 於 雞 乎 紀 渻 子 為 王 養 鬪 雞 十 
T52n2113_006:0612b15	日而問之曰。雞已矣。曰未也。方虛矯而持氣。十日又問曰。未也。猶影響。十日又問曰。未也。猶疾視而盛氣。十	日 而 問 之 曰 雞 已 矣 曰 未 也 方 虛 矯 而 持 氣 十 日 又 問 曰 未 也 猶 影 響 十 日 又 問 曰 未 也 猶 疾 視 而 盛 氣 十 
T52n2113_006:0612b16	日又問曰。幾矣。雞雖有鳴者己無變。望之如木雞矣。其德全矣。異雞無敢應者。反走爾在。於雞之有道。群雞尚	日 又 問 曰 幾 矣 雞 雖 有 鳴 者 己 無 變 望 之 如 木 雞 矣 其 德 全 矣 異 雞 無 敢 應 者 反 走 爾 在 於 雞 之 有 道 群 雞 尚 
T52n2113_006:0612b17	望之而走。況在祖師。其有敢害之者乎)故飄瓦以擊人不怨也。虛舟	望 之 而 走 況 在 祖 師 其 有 敢 害 之 者 乎 故 飄 瓦 以 擊 人 不 怨 也 虛 舟 
T52n2113_006:0612b18	之觸人不怒也。彼何然哉。以無心故也。而可	之 觸 人 不 怒 也 彼 何 然 哉 以 無 心 故 也 而 可 
T52n2113_006:0612b19	祖豈有心哉(可既無心。則不應害也)昔齊鮑牽之刖也。仲	祖 豈 有 心 哉 可 既 無 心 則 不 應 害 也 昔 齊 鮑 牽 之 刖 也 仲 
T52n2113_006:0612b20	尼曰。鮑莊子之智不如葵。葵猶能衛其足也	尼 曰 鮑 莊 子 之 智 不 如 葵 葵 猶 能 衛 其 足 也 
T52n2113_006:0612b21	(齊慶克通于聲。孟子蒙衣而入宮。鮑牽見之以告國武子。武子召慶克而謂之。慶克與夫人怒□。齊靈公伐鄭。鮑牽	 齊 慶 克 通 于 聲 孟 子 蒙 衣 而 入 宮 鮑 牽 見 之 以 告 國 武 子 武 子 召 慶 克 而 謂 之 慶 克 與 夫 人 怒 齊 靈 公 伐 鄭 鮑 牽 
T52n2113_006:0612b22	守國。夫人訴之云。將不納君而立公子角。君遂刖之。仲尼云。鮑莊子之智不如葵。豈今被害為有智也)佛	守 國 夫 人 訴 之 云 將 不 納 君 而 立 公 子 角 君 遂 刖 之 仲 尼 云 鮑 莊 子 之 智 不 如 葵 豈 今 被 害 為 有 智 也 佛 
T52n2113_006:0612b23	圖澄之於石勒也。如石投於水也。甞一日勒	圖 澄 之 於 石 勒 也 如 石 投 於 水 也 甞 一 日 勒 
T52n2113_006:0612b24	索澄欲害之。澄不使而得之。蓋聖人不欲陷	索 澄 欲 害 之 澄 不 使 而 得 之 蓋 聖 人 不 欲 陷 
T52n2113_006:0612b25	人於罪中也(若使得害必沈地獄也)雖提婆刳腸(提婆菩薩造百論破外道。	人 於 罪 中 也 若 使 得 害 必 沈 地 獄 也 雖 提 婆 刳 腸 提 婆 菩 薩 造 百 論 破 外 道 
T52n2113_006:0612b26	後弟子不在。被外道破其腹。菩薩以衣鉢授外道。教之速走。我弟子未得法忍者當害爾。後果追之不及)師	後 弟 子 不 在 被 外 道 破 其 腹 菩 薩 以 衣 鉢 授 外 道 教 之 速 走 我 弟 子 未 得 法 忍 者 當 害 爾 後 果 追 之 不 及 師 
T52n2113_006:0612c01	子斷頸(第二十四祖師子比丘。為罽賓國王斷其頭。而臂落也)皆以外難未	子 斷 頸 第 二 十 四 祖 師 子 比 丘 為 罽 賓 國 王 斷 其 頭 而 臂 落 也 皆 以 外 難 未 
T52n2113_006:0612c02	夷中心若厲。或順化之不足逆化之。或生化	夷 中 心 若 厲 或 順 化 之 不 足 逆 化 之 或 生 化 
T52n2113_006:0612c03	之不足死化之。咸致命而無怨。不歸咎於有	之 不 足 死 化 之 咸 致 命 而 無 怨 不 歸 咎 於 有 
T52n2113_006:0612c04	德(豈以非理妄加有德也)觀第六祖得信衣。若履虎畏噬。	德 豈 以 非 理 妄 加 有 德 也 觀 第 六 祖 得 信 衣 若 履 虎 畏 噬 
T52n2113_006:0612c05	懷璧懼殘(虞叔云。周諺曰。匹夫無罪。懷璧其罪。吾焉用此。以賈害也)周慞道	懷 璧 懼 殘 虞 叔 云 周 諺 曰 匹 夫 無 罪 懷 璧 其 罪 吾 焉 用 此 以 賈 害 也 周 慞 道 
T52n2113_006:0612c06	路脅息草澤。今慮傳者謬也(寶林傳云。五祖付信衣。密與慧能行者。	路 脅 息 草 澤 今 慮 傳 者 謬 也 寶 林 傳 云 五 祖 付 信 衣 密 與 慧 能 行 者 
T52n2113_006:0612c07	□走避路野息至南海。遇印宗法師。方為剃髮也)夫得道者喪我也。喪我	 走 避 路 野 息 至 南 海 遇 印 宗 法 師 方 為 剃 髮 也 夫 得 道 者 喪 我 也 喪 我 
T52n2113_006:0612c08	者兼喪於萬物也。何衣之所在。而保於己耶	者 兼 喪 於 萬 物 也 何 衣 之 所 在 而 保 於 己 耶 
T52n2113_006:0612c09	(道本由心。豈在乎衣)夫裘者道濟歟固不競也。不濟歟	 道 本 由 心 豈 在 乎 衣 夫 裘 者 道 濟 歟 固 不 競 也 不 濟 歟 
T52n2113_006:0612c10	固無所用也(人若見道。何假裘平。若未得道。獲衣何用)尋金木以討逐。	固 無 所 用 也 人 若 見 道 何 假 裘 平 若 未 得 道 獲 衣 何 用 尋 金 木 以 討 逐 
T52n2113_006:0612c11	將何事歟。異說曰。罪福所原。唯心而已矣。心	將 何 事 歟 異 說 曰 罪 福 所 原 唯 心 而 已 矣 心 
T52n2113_006:0612c12	滅無為。道居無事。不禮讚不講誦。真無為也。	滅 無 為 道 居 無 事 不 禮 讚 不 講 誦 真 無 為 也 
T52n2113_006:0612c13	不祈戒不護罪。真離相也。有說。有行心有	不 祈 戒 不 護 罪 真 離 相 也 有 說 有 行 心 有 
T52n2113_006:0612c14	所知。聲聞法也(講說讀誦。禪師呼為聲聞法皆有為也)由是除像設	所 知 聲 聞 法 也 講 說 讀 誦 禪 師 呼 為 聲 聞 法 皆 有 為 也 由 是 除 像 設 
T52n2113_006:0612c15	去經法。方稱曰頓門。如有所說自我襟臆。	去 經 法 方 稱 曰 頓 門 如 有 所 說 自 我 襟 臆 
T52n2113_006:0612c16	臨文裁斷。何俟章句疏論耶(則今之臨機問答言句也)譏者	臨 文 裁 斷 何 俟 章 句 疏 論 耶 則 今 之 臨 機 問 答 言 句 也 譏 者 
T52n2113_006:0612c17	曰。甚哉頓也。雖構似聖人之言未幾。聖人之	曰 甚 哉 頓 也 雖 構 似 聖 人 之 言 未 幾 聖 人 之 
T52n2113_006:0612c18	道也(幾近也。言句雖似聖人之言。所行之道。未近聖人之道也)夫所知與於同	道 也 幾 近 也 言 句 雖 似 聖 人 之 言 所 行 之 道 未 近 聖 人 之 道 也 夫 所 知 與 於 同 
T52n2113_006:0612c19	者同若迷也。與若異者反謂迷於若也(若汝也。今與汝	者 同 若 迷 也 與 若 異 者 反 謂 迷 於 若 也 若 汝 也 今 與 汝 
T52n2113_006:0612c20	同者則是與汝同迷也。若與汝異者則謂迷於汝之道也)耆耋哀之。蒙孺信之。	同 者 則 是 與 汝 同 迷 也 若 與 汝 異 者 則 謂 迷 於 汝 之 道 也 耆 耋 哀 之 蒙 孺 信 之 
T52n2113_006:0612c21	安可已乎(耆耋老也。蒙孺幼也。宿老者哀之。愚少者信用之。故重於世)夫無為	安 可 已 乎 耆 耋 老 也 蒙 孺 幼 也 宿 老 者 哀 之 愚 少 者 信 用 之 故 重 於 世 夫 無 為 
T52n2113_006:0612c22	者。虛融寂泊。無善不為(離礙曰虛。洞照名融。超煩稱寂。澹然為泊)苟	者 虛 融 寂 泊 無 善 不 為 離 礙 曰 虛 洞 照 名 融 超 煩 稱 寂 澹 然 為 泊 苟 
T52n2113_006:0612c23	以禮誦繕刻為礙。彼見有為。非於無為也	以 禮 誦 繕 刻 為 礙 彼 見 有 為 非 於 無 為 也 
T52n2113_006:0612c24	(若以禮讚。圖刻佛像。礙於無為。則是有為。今見有此相。則是有為也。非無為也)離相者。照	 若 以 禮 讚 圖 刻 佛 像 礙 於 無 為 則 是 有 為 今 見 有 此 相 則 是 有 為 也 非 無 為 也 離 相 者 照 
T52n2113_006:0612c25	達色心。無相可得。無得而得。去著稱離(於所	達 色 心 無 相 可 得 無 得 而 得 去 著 稱 離 於 所 
T52n2113_006:0612c26	觀相。若無取著。則是成就離相之道也)若以不受戒捨持護而為離	觀 相 若 無 取 著 則 是 成 就 離 相 之 道 也 若 以 不 受 戒 捨 持 護 而 為 離 
T52n2113_006:0612c27	相。彼固取相。何離相也(若須是除受戒絕護持方名離相者。則却是執著	相 彼 固 取 相 何 離 相 也 若 須 是 除 受 戒 絕 護 持 方 名 離 相 者 則 却 是 執 著 
T52n2113_006:0612c28	除去之相也)聲聞法者。承佛聲教。厭苦欣滅。孤慧獨	除 去 之 相 也 聲 聞 法 者 承 佛 聲 教 厭 苦 欣 滅 孤 慧 獨 
T52n2113_006:0613a01	頴(孤慧單空智斷煩惱障。證□空理也)無善兼他(唯修自利)非講誦者。有	頴 孤 慧 單 空 智 斷 煩 惱 障 證 空 理 也 無 善 兼 他 唯 修 自 利 非 講 誦 者 有 
T52n2113_006:0613a02	聲謂聲聞法也(蓋晚慕者不達聲聞之義)頓門者。不假二乘之	聲 謂 聲 聞 法 也 蓋 晚 慕 者 不 達 聲 聞 之 義 頓 門 者 不 假 二 乘 之 
T52n2113_006:0613a03	漸。直轡無生之路。行普均之化。興廣大之業。	漸 直 轡 無 生 之 路 行 普 均 之 化 興 廣 大 之 業 
T52n2113_006:0613a04	是謂頓也(此乃頓悟大乘。不由中小之徑)非杌然絕照。詆訶萬	是 謂 頓 也 此 乃 頓 悟 大 乘 不 由 中 小 之 徑 非 杌 然 絕 照 詆 訶 萬 
T52n2113_006:0613a05	善為頓門也(豈可默然無修。不營一菩。謂之頓門。則與北州無想天等何別也)夫聖	善 為 頓 門 也 豈 可 默 然 無 修 不 營 一 菩 謂 之 頓 門 則 與 北 州 無 想 天 等 何 別 也 夫 聖 
T52n2113_006:0613a06	人之教。機緣不一。應變萬差。或言流而理直。	人 之 教 機 緣 不 一 應 變 萬 差 或 言 流 而 理 直 
T52n2113_006:0613a07	或首權而終實(故契經者。應根逗教。有頓有漸。有權有實。有半有滿。豈可不習而知)	或 首 權 而 終 實 故 契 經 者 應 根 逗 教 有 頓 有 漸 有 權 有 實 有 半 有 滿 豈 可 不 習 而 知 
T52n2113_006:0613a08	況詁訓音韻。梵漢魚魯。須稟承有匠(學不憑師。孤	況 詁 訓 音 韻 梵 漢 魚 魯 須 稟 承 有 匠 學 不 憑 師 孤 
T52n2113_006:0613a09	陋寡聞)尋閱有功。豈於文字未識。便不思而說。	陋 寡 聞 尋 閱 有 功 豈 於 文 字 未 識 便 不 思 而 說 
T52n2113_006:0613a10	不慮而對。妄涉虛玄。流俗則謂之為奧。或則	不 慮 而 對 妄 涉 虛 玄 流 俗 則 謂 之 為 奧 或 則 
T52n2113_006:0613a11	以才力獎之。致使其徒自媚(因以供饍招誘。遂使遞相獎善)若	以 才 力 獎 之 致 使 其 徒 自 媚 因 以 供 饍 招 誘 遂 使 遞 相 獎 善 若 
T52n2113_006:0613a12	以彼有定力所知。能說佛經者。何莫試以異	以 彼 有 定 力 所 知 能 說 佛 經 者 何 莫 試 以 異 
T52n2113_006:0613a13	典觀其吐納。曲直自彰(若言彼以定力加資。不學自知。則可試將儒典問之。	典 觀 其 吐 納 曲 直 自 彰 若 言 彼 以 定 力 加 資 不 學 自 知 則 可 試 將 儒 典 問 之 
T52n2113_006:0613a14	則知可否)且夫稱儒而不傳習者。亦賢儒之所病也	則 知 可 否 且 夫 稱 儒 而 不 傳 習 者 亦 賢 儒 之 所 病 也 
T52n2113_006:0613a15	(傳不習乎曾子所病)或曰。興善動行。彌益其妄。如晞陽	 傳 不 習 乎 曾 子 所 病 或 曰 興 善 動 行 彌 益 其 妄 如 晞 陽 
T52n2113_006:0613a16	斥影加樵罷鼎。誠乃務茲之道。豈是息滅之	斥 影 加 樵 罷 鼎 誠 乃 務 茲 之 道 豈 是 息 滅 之 
T52n2113_006:0613a17	道歟(若言只以置善利作為行門不必教典者。則又不然。且教者示入善之逕路。不習安知。今欲行善而除	道 歟 若 言 只 以 置 善 利 作 為 行 門 不 必 教 典 者 則 又 不 然 且 教 者 示 入 善 之 逕 路 不 習 安 知 今 欲 行 善 而 除 
T52n2113_006:0613a18	弃教典。其猶維日而欲去影歇鼎沸而更加薪。是知不可也)曰彼蓋不知執事淨	弃 教 典 其 猶 維 日 而 欲 去 影 歇 鼎 沸 而 更 加 薪 是 知 不 可 也 曰 彼 蓋 不 知 執 事 淨 
T52n2113_006:0613a19	命。以聲止聲(今以有經典引歸令識無相。猶如執事經典以乾稚之聲鳴之。以靜眾聲也)	命 以 聲 止 聲 今 以 有 經 典 引 歸 令 識 無 相 猶 如 執 事 經 典 以 乾 稚 之 聲 鳴 之 以 靜 眾 聲 也 
T52n2113_006:0613a20	良醫之家。以毒止毒也(故經者亦名醍醐。亦名毒藥。如附子狼毒等本是毒	良 醫 之 家 以 毒 止 毒 也 故 經 者 亦 名 醍 醐 亦 名 毒 藥 如 附 子 狼 毒 等 本 是 毒 
T52n2113_006:0613a21	藥。今良醫令服之。又能除毒也)異說云。唐代宗朝(唐肅宗之子。名豫。改元寶應)	藥 今 良 醫 令 服 之 又 能 除 毒 也 異 說 云 唐 代 宗 朝 唐 肅 宗 之 子 名 豫 改 元 寶 應 
T52n2113_006:0613a22	有大禪客。糠粃禮樂。跆藉勢貴(跆踏也。藉鋪也。猶言踐踏	有 大 禪 客 糠 粃 禮 樂 跆 藉 勢 貴 跆 踏 也 藉 鋪 也 猶 言 踐 踏 
T52n2113_006:0613a23	之也)蓬茨金門。蟻垤帝居。故對至尊。其色傲如。	之 也 蓬 茨 金 門 蟻 垤 帝 居 故 對 至 尊 其 色 傲 如 
T52n2113_006:0613a24	其詞訐如(訐直而無禮也)心勇氣奮。苟無生死。可謂真	其 詞 訐 如 訐 直 而 無 禮 也 心 勇 氣 奮 苟 無 生 死 可 謂 真 
T52n2113_006:0613a25	有道乎。譏者曰。此乃稱勇。不稱道也。凡不義	有 道 乎 譏 者 曰 此 乃 稱 勇 不 稱 道 也 凡 不 義 
T52n2113_006:0613a26	之勇。謀道以損之。既不能損。則其道可知也	之 勇 謀 道 以 損 之 既 不 能 損 則 其 道 可 知 也 
T52n2113_006:0613a27	(好勇不好學其蔽也。賊又勇而無禮則亂)甞有俚人之子。稱其父有荕	 好 勇 不 好 學 其 蔽 也 賊 又 勇 而 無 禮 則 亂 甞 有 俚 人 之 子 稱 其 父 有 荕 
T52n2113_006:0613b01	力有口顙凌。祖考以為德。鄉豪畏之。隣伍避	力 有 口 顙 凌 祖 考 以 為 德 鄉 豪 畏 之 隣 伍 避 
T52n2113_006:0613b02	之。其衒彌多。其過彌彰也。夫稱有道者。色溫	之 其 衒 彌 多 其 過 彌 彰 也 夫 稱 有 道 者 色 溫 
T52n2113_006:0613b03	而言澤。氣柔而心遠。雖欲悛人之惡(悛改也)亦	而 言 澤 氣 柔 而 心 遠 雖 欲 悛 人 之 惡 悛 改 也 亦 
T52n2113_006:0613b04	優柔而諷誘之。故於知我者示乎知。不知我	優 柔 而 諷 誘 之 故 於 知 我 者 示 乎 知 不 知 我 
T52n2113_006:0613b05	者示乎不知(邦有道則行。邦無道則卷而懷之。又用之則行。捨之則藏)不悅人	者 示 乎 不 知 邦 有 道 則 行 邦 無 道 則 卷 而 懷 之 又 用 之 則 行 捨 之 則 藏 不 悅 人 
T52n2113_006:0613b06	之不己知。不慍人之不己知(人不知而不慍)昔大聖遊	之 不 己 知 不 慍 人 之 不 己 知 人 不 知 而 不 慍 昔 大 聖 遊 
T52n2113_006:0613b07	諸國。伏護財醉象(調達令阿闍世王放護財醉象。欲害如來。如來於五指端化五師子。	諸 國 伏 護 財 醉 象 調 達 令 阿 闍 世 王 放 護 財 醉 象 欲 害 如 來 如 來 於 五 指 端 化 五 師 子 
T52n2113_006:0613b08	而醉象跪伏)制曠野鬼神(又曠野鬼常噉人小兒。一日得一小兒。唱南無佛。鬼則不能食。佛	而 醉 象 跪 伏 制 曠 野 鬼 神 又 曠 野 鬼 常 噉 人 小 兒 一 日 得 一 小 兒 唱 南 無 佛 鬼 則 不 能 食 佛 
T52n2113_006:0613b09	化火山。四面周匝圍之。鬼盡其力不能得出。遂心皈向佛。誓不食人也)未甞庭辱波斯	化 火 山 四 面 周 匝 圍 之 鬼 盡 其 力 不能得出 遂 心 皈 向 佛 誓 不 食 人 也 未 甞 庭 辱 波 斯 
T52n2113_006:0613b10	面折闍王(國王每至佛會。佛皆先云善來大王。如是軟言問訅)雖德尊神化。	面 折 闍 王 國 王 每 至 佛 會 佛 皆 先 云 善 來 大 王 如 是 軟 言 問 訅 雖 德 尊 神 化 
T52n2113_006:0613b11	而不傷於國君之禮。仲尼適於衛。衛靈公與	而 不 傷 於 國 君 之 禮 仲 尼 適 於 衛 衛 靈 公 與 
T52n2113_006:0613b12	語。見飛雁過。仰視之色。不在孔子。孔子行但	語 見 飛 雁 過 仰 視 之 色 不 在 孔 子 孔 子 行 但 
T52n2113_006:0613b13	避衛。君之不篤於我。非流言以逞志也。有國	避 衛 君 之 不 篤 於 我 非 流 言 以 逞 志 也 有 國 
T52n2113_006:0613b14	如秦始皇。有心如秦始皇其強如秦始皇。而	如 秦 始 皇 有 心 如 秦 始 皇 其 強 如 秦 始 皇 而 
T52n2113_006:0613b15	虎視於天下。一朝為唐睢按劒。復鄢郢之地	虎 視 於 天 下 一 朝 為 唐 睢 按 劒 復 鄢 郢 之 地 
T52n2113_006:0613b16	(鄢郢誤也。是鄢陵也。則頴川鄢陵縣也。秦始皇滅魏。後許以千里地易鄢陵君五十里地。鄢陵君令唐睢使始皇。	 鄢 郢 誤 也 是 鄢 陵 也 則 頴 川 鄢 陵 縣 也 秦 始 皇 滅 魏 後 許 以 千 里 地 易 鄢 陵 君 五 十 里 地 鄢 陵 君 令 唐 睢 使 始 皇 
T52n2113_006:0613b17	始皇曰。寡人以十倍之地易之。而逆寡人何也。睢對曰。非敢此也。鄢陵君先王而守之。雖千里不易也。始皇勃	始 皇 曰 寡 人 以 十 倍 之 地 易 之 而 逆 寡 人 何 也 睢 對 曰 非 敢 此 也 鄢 陵 君 先 王 而 守 之 雖 千 里 不 易 也 始 皇 勃 
T52n2113_006:0613b18	然怒曰。子聞天子怒乎。伏尸百萬流血千里。睢曰。大王聞布衣怒乎。伏尸二人流血五步。天下縞素今日是也。	然 怒 曰 子 聞 天 子 怒 乎 伏 尸 百 萬 流 血 千 里 睢 曰 大 王 聞 布 衣 怒 乎 伏 尸 二 人 流 血 五 步 天 下 縞 素 今 日 是 也 
T52n2113_006:0613b19	按劍而起。始皇變色而謝之。先生何至於此。寡人諭矣)相如睨柱。歸邯鄲之	按 劍 而 起 始 皇 變 色 而 謝 之 先 生 何 至 於 此 寡 人 諭 矣 相 如 睨 柱 歸 邯 鄲 之 
