X22n0432_001:0898b06	修西定課	修 西 定 課 
X22n0432_001:0903c13	三惡道。謂地獄餓鬼畜生也。或問。極樂無女人。無	三 惡 道 謂 地 獄 餓 鬼 畜 生 也 或 問 極 樂 無 女 人 無 
X22n0432_001:0903c14	脩羅。無神仙。無魔外。身界坦然。故刀兵水火妻子	脩 羅 無 神 仙 無 魔 外 身 界 坦 然 故 刀 兵 水 火 妻 子 
X22n0432_001:0903c15	室家之累無從而生。何但言無惡道。答曰。上文無	室 家 之 累 無 從 而 生 何 但 言 無 惡 道 答 曰 上 文 無 
X22n0432_001:0903c16	有眾苦一句包之矣。	有 眾 苦 一 句 包 之 矣 
X22n0432_001:0903c17	舍利弗。其佛國土。尚無惡道之名。何況有實。是諸眾	舍 利 弗 其 佛 國 土 尚 無 惡 道 之 名 何 況 有 實 是 諸 眾 
X22n0432_001:0903c18	鳥。皆是阿彌陀佛。欲令法音宣流。變化所作。	鳥 皆 是 阿 彌 陀 佛 欲 令 法 音 宣 流 變 化 所 作 
X22n0432_001:0903c19	非實有也。	非 實 有 也 
X22n0432_001:0903c20	舍利弗。彼佛國土。微風吹動諸寶行樹。及寶羅網。出	舍 利 弗 彼 佛 國 土 微 風 吹 動 諸 寶 行 樹 及 寶 羅 網 出 
X22n0432_001:0903c21	微妙音。譬如百千種樂。同時俱作。聞是音者。自然皆	微 妙 音 譬 如 百 千 種 樂 同 時 俱 作 聞 是 音 者 自 然 皆 
X22n0432_001:0903c22	生念佛念法念僧之心。	生 念 佛 念 法 念 僧 之 心 
X22n0432_001:0903c23	前之化作靈禽。啟人念佛。有情說法。固已妙造玲	前 之 化 作 靈 禽 啟 人 念 佛 有 情 說 法 固 已 妙 造 玲 
X22n0432_001:0903c24	瓏矣。今再寫出無情說法之音。忽如寶網微風一	瓏 矣 今 再 寫 出 無 情 說 法 之 音 忽 如 寶 網 微 風 一 
X22n0432_001:0904a01	時吹動。讀至此。何能已於發願往生也。○或問。有	時 吹 動 讀 至 此 何 能 已 於 發 願 往 生 也 或 問 有 
X22n0432_001:0904a02	實相念佛。深觀佛理是也。有觀想念佛。入西方定	實 相 念 佛 深 觀 佛 理 是 也 有 觀 想 念 佛 入 西 方 定 
X22n0432_001:0904a03	是也。有觀像念佛。對像生敬是也。有持名念佛。字	是 也 有 觀 像 念 佛 對 像 生 敬 是 也 有 持 名 念 佛 字 
X22n0432_001:0904a04	句分明是也。西方眾生念佛。是如何念。答曰。不滯	句 分 明 是 也 西 方 眾 生 念 佛 是 如 何 念 答 曰 不 滯 
X22n0432_001:0904a05	於名。即生實相。聲中入定。即音即光。四種念佛。都	於 名 即 生 實 相 聲 中 入 定 即 音 即 光 四 種 念 佛 都 
X22n0432_001:0904a06	是一種念佛也。	是 一 種 念 佛 也 
X22n0432_001:0904a07	舍利弗。其佛國土。成就如是功德莊嚴。	舍 利 弗 其 佛 國 土 成 就 如 是 功德莊嚴 
X22n0432_001:0904a08	此是應時及節感發修行之莊嚴也。	此 是 應 時 及 節 感 發 修 行 之 莊 嚴 也 
X22n0432_001:0904a09	舍利弗。於汝意云何。彼佛何故號阿彌陀。	舍 利 弗 於汝意云何 彼 佛 何 故 號 阿 彌 陀 
X22n0432_001:0904a10	已釋佛剎之名。再釋佛身之號。說唯心淨土者。未	已 釋 佛 剎 之 名 再 釋 佛 身 之 號 說 唯 心 淨 土 者 未 
X22n0432_001:0904a11	必能神游佛剎。說自性彌陀者。未必能量同佛身。	必 能 神 游 佛 剎 說 自 性 彌 陀 者 未 必 能 量 同 佛 身 
X22n0432_001:0904a12	口說而不心行。安得有往生之樂乎。	口 說 而 不 心 行 安 得 有 往 生 之 樂 乎 
X22n0432_001:0904a13	舍利弗。彼佛光明無量。	舍 利 弗 彼 佛 光 明 無 量 
X22n0432_001:0904a14	一切眾生本元心地。光明無量。一切諸佛證一切	一 切 眾 生 本 元 心 地 光 明 無 量 一切諸佛 證 一 切 
X22n0432_001:0904a15	眾生本元心地。故光明同一無量。但一切諸佛之	眾 生 本 元 心 地 故 光 明 同 一 無 量 但 一切諸佛 之 
X22n0432_001:0904a16	無量光明。眾生難見。而阿彌陀佛之無量光明。眾	無量光明 眾 生 難 見 而 阿 彌 陀 佛 之 無量光明 眾 
X22n0432_001:0904a17	生易見。則因緣之生熟不同也。阿彌陀佛之因緣。	生 易 見 則 因 緣 之 生 熟 不 同 也 阿 彌 陀 佛 之 因 緣 
X22n0432_001:0904a18	既與眾生熟。故無量光明之接引。決定決定。無疑	既 與 眾 生 熟 故 無量光明 之 接 引 決 定 決 定 無 疑 
X22n0432_001:0904a19	惑矣。	惑 矣 
X22n0432_001:0904a20	照十方國。無所障礙。	照 十 方 國 無所障礙 
X22n0432_001:0904a21	十方國土。有種種鐵圍諸山須彌大海。紛紛堅礙。	十 方 國 土 有 種 種 鐵 圍 諸 山 須 彌 大 海 紛 紛 堅 礙 
X22n0432_001:0904a22	障於人心。心地化作光明。方得玲瓏而自在矣。佛	障 於 人 心 心 地 化 作 光 明 方 得 玲 瓏 而 自 在 矣 佛 
X22n0432_001:0904a23	以光明為全體。故徧照於十方。眾生堅執而不通。	以 光 明 為 全 體 故 徧 照 於 十 方 眾 生 堅 執 而 不 通 
X22n0432_001:0904a24	故難見夫一佛。然就佛言之。但有光明。毫無障礙。	故 難 見 夫 一 佛 然 就 佛 言 之 但 有 光 明 毫 無 障 礙 
X22n0432_001:0904b01	於一片光明中。障礙總是光明也。知此理者。於往	於 一 片 光 明 中 障 礙 總 是 光 明 也 知 此 理 者 於 往 
X22n0432_001:0904b02	生時。品地必超。心得決定。	生 時 品 地 必 超 心 得 決 定 
X22n0432_001:0904b03	是故號為阿彌陀。	是 故 號 為 阿 彌 陀 
X22n0432_001:0904b04	此就光明上說無量也。	此 就 光 明 上 說 無 量 也 
X22n0432_001:0904b05	又舍利弗。彼佛壽命。及其人民。無量無邊阿僧祇劫。	又 舍 利 弗 彼 佛 壽 命 及 其 人 民 無量無邊 阿僧祇劫 
X22n0432_001:0904b06	故名阿彌陀。	故 名 阿 彌 陀 
X22n0432_001:0904b07	此就壽命上說無量也。阿僧祇。無數也。劫。長時也。	此 就 壽 命 上 說 無 量 也 阿 僧 祇 無 數 也 劫 長 時 也 
X22n0432_001:0904b08	舍利弗。阿彌陀佛。成佛以來。於今十劫。	舍 利 弗 阿 彌 陀 佛 成 佛 以 來 於 今 十 劫 
X22n0432_001:0904b09	此今字。對此娑婆賢劫言之。於無量而纔現十劫。	此 今 字 對 此 娑 婆 賢 劫 言 之 於 無 量 而 纔 現 十 劫 
X22n0432_001:0904b10	則累劫昏沈眾生。無不仗光明之接引也。	則 累 劫 昏 沈 眾 生 無 不 仗 光 明 之 接 引 也 
X22n0432_001:0904b11	又舍利弗。彼佛有無量無邊聲聞弟子。皆阿羅漢。非	又 舍 利 弗 彼 佛 有 無量無邊 聲聞弟子 皆 阿 羅 漢 非 
X22n0432_001:0904b12	是算數之所能知。諸菩薩眾。亦復如是(數上聲)。	是 算 數 之 所 能 知 諸 菩 薩 眾 亦復如是 數 上 聲 
X22n0432_001:0904b13	二乘根種。不生淨土。淨土羅漢。大率已發大菩薩	二 乘 根 種 不 生 淨 土 淨 土 羅 漢 大 率 已 發 大 菩 薩 
X22n0432_001:0904b14	心。略證聲聞。便階大士。光明至此。身如影響而已	心 略 證 聲 聞 便 階 大 士 光 明 至 此 身 如 影 響 而 已 
X22n0432_001:0904b15	矣。	矣 
X22n0432_001:0904b16	舍利弗。彼佛國土。成就如是功德莊嚴。	舍 利 弗 彼 佛 國 土 成 就 如 是 功德莊嚴 
X22n0432_001:0904b17	此是主伴玲瓏光明壽命之莊嚴。	此 是 主 伴 玲 瓏 光 明 壽 命 之 莊 嚴 
X22n0432_001:0904b18	又舍利弗。極樂國土。眾生生者。皆是阿鞞跋致(鞞音皮)。	又 舍 利 弗 極樂國土 眾 生 生 者 皆 是 阿鞞跋致 鞞 音 皮 
X22n0432_001:0904b19	阿。無也。鞞跋致。退也。在此修行。多苦多魔。如風中	阿 無 也 鞞 跋 致 退 也 在 此 修 行 多 苦 多 魔 如 風 中 
X22n0432_001:0904b20	一毛。不能自主。一生極樂。便登不退矣。	一 毛 不 能 自 主 一 生 極 樂 便 登 不 退 矣 
X22n0432_001:0904b21	其中多有一生補處。其數甚多。非是算數所能知之。	其 中 多 有 一生補處 其 數 甚 多 非 是 算 數 所 能 知 之 
X22n0432_001:0904b22	但可以無量無邊阿僧祇說。	但 可 以 無量無邊 阿 僧 祇 說 
X22n0432_001:0904b23	補處者。到他方世界候時成佛之等覺菩薩也。從	補 處 者 到 他 方 世 界 候 時 成 佛 之 等 覺 菩 薩 也 從 
X22n0432_001:0904b24	人至佛。生生世世。進退不可知數。唯淨土眾生。有	人 至 佛 生生世世 進 退 不 可 知 數 唯 淨 土 眾 生 有 
X22n0432_001:0904c01	能不入多生。一生直入他方補處者。言緣勝劫長。	能 不 入 多 生 一 生 直 入 他 方 補 處 者 言 緣 勝 劫 長 
X22n0432_001:0904c02	廣大成就者多也。	廣 大 成 就 者 多 也 
X22n0432_001:0904c03	舍利弗。眾生聞者。應當發願。願生彼國。	舍 利 弗 眾 生 聞 者 應 當 發 願 願 生 彼 國 
X22n0432_001:0904c04	阿彌陀佛。號曰願王。在一切佛中。度生之願最為	阿 彌 陀 佛 號 曰 願 王 在 一 切 佛 中 度 生 之 願 最 為 
X22n0432_001:0904c05	第一。眾生順佛願而發往生之願。如石吸鐵。如燈	第 一 眾 生 順 佛 願 而 發 往 生 之 願 如 石 吸 鐵 如 燈 
X22n0432_001:0904c06	發光。如桴擊鼓。互感互應。妙願成機。念念玲瓏。往	發 光 如 桴 擊 鼓 互 感 互 應 妙 願 成 機 念 念 玲 瓏 往 
X22n0432_001:0904c07	生無不玲瓏也。	生 無 不 玲 瓏 也 
X22n0432_001:0904c08	所以者何。得與如是諸上善人俱會一處。	所以者何 得 與 如 是 諸 上 善 人 俱 會 一 處 
X22n0432_001:0904c09	夫過去難追。未來不可測。受現在之苦。而引未來	夫 過 去 難 追 未 來 不 可 測 受 現 在 之 苦 而 引 未 來 
X22n0432_001:0904c10	之殃。此人情所大不安者也。唯精持佛號。早生西	之 殃 此 人 情 所 大 不 安 者 也 唯 精 持 佛 號 早 生 西 
X22n0432_001:0904c11	方。瞻仰者既有如來。聚處者無非上善。光明所照。	方 瞻 仰 者 既 有 如 來 聚 處 者 無 非 上 善 光 明 所 照 
X22n0432_001:0904c12	熏發而成就之者神矣。	熏 發 而 成 就 之 者 神 矣 
X22n0432_001:0904c13	舍利弗。不可以少善根福德因緣得生彼國。	舍 利 弗 不 可 以 少 善 根 福 德 因 緣 得 生 彼 國 
X22n0432_001:0904c14	一切修行而不以念佛為因。泛泛念佛而不以精	一 切 修 行 而 不 以 念 佛 為 因 泛 泛 念 佛 而 不 以 精 
X22n0432_001:0904c15	持四字為緣。於淨土時機。全無收束。故善福無多	持 四 字 為 緣 於 淨 土 時 機 全 無 收 束 故 善 福 無 多 
X22n0432_001:0904c16	也。○彼佛光明無量。眾生以有量之善福求之。彼	也 彼 佛 光 明 無 量 眾 生 以 有 量 之 善 福 求 之 彼 
X22n0432_001:0904c17	此相懸。是故不可。	此 相 懸 是 故 不 可 
X22n0432_001:0904c18	舍利弗。若有善男子。善女人。聞說阿彌陀佛。	舍 利 弗 若 有 善 男 子 善 女 人 聞 說 阿 彌 陀 佛 
X22n0432_001:0904c19	六道眾生。各有男女。心能信佛。便名善矣。聞說阿	六 道 眾 生 各 有 男 女 心 能 信 佛 便 名 善 矣 聞 說 阿 
X22n0432_001:0904c20	彌陀佛者。於他人邊。聞說有阿彌陀佛之境界也。	彌 陀 佛 者 於 他 人 邊 聞 說 有 阿 彌 陀 佛之境界 也 
X22n0432_001:0904c21	執持名號。	執 持 名 號 
X22n0432_001:0904c22	便將此阿彌陀佛四字名號。執而持之。執者。心緣	便 將 此 阿 彌 陀 佛 四 字 名 號 執 而 持 之 執 者 心 緣 
X22n0432_001:0904c23	四字而不退也。持者。口誦四字而不斷也。○名號	四 字 而 不 退 也 持 者 口 誦 四 字 而 不 斷 也 名 號 
X22n0432_001:0904c24	之外。更無彌陀。彌陀之為彌陀。四個字盡之矣。萬	之 外 更 無 彌 陀 彌 陀 之 為 彌 陀 四 個 字 盡 之 矣 萬 
X22n0432_001:0905a01	德洪名。洪名萬德。以名召德。一句全收。一句中更	德 洪 名 洪 名 萬 德 以 名 召 德 一 句 全 收 一 句 中 更 
X22n0432_001:0905a02	有何欠少乎。夫無欠少之心。便是無量也。便是阿	有 何 欠 少 乎 夫 無 欠 少 之 心 便 是 無 量 也 便 是 阿 
X22n0432_001:0905a03	彌陀也。此其善福因緣。固不可以多少測也。譬如	彌 陀 也 此 其 善 福 因 緣 固 不 可 以 多 少 測 也 譬 如 
X22n0432_001:0905a04	一滴之水。投於大海。滴滴之水。投於大海。無有一	一 滴 之 水 投 於 大 海 滴 滴 之 水 投 於 大 海 無 有 一 
X22n0432_001:0905a05	滴而非海也。○夫佛外無禪。念外無參。即念佛便	滴 而 非 海 也 夫 佛 外 無 禪 念 外 無 參 即 念 佛 便 
X22n0432_001:0905a06	是參禪。不必另作參禪之想。若於念佛時看念佛	是 參 禪 不 必 另 作 參 禪 之 想 若 於 念 佛 時 看 念 佛 
X22n0432_001:0905a07	的是誰。又念又看。却成二念。不如一直念去也。○	的 是 誰 又 念 又 看 却 成 二 念 不 如 一 直 念 去 也 
X22n0432_001:0905a08	執字是一切修行者之病。一切眾生之所以不得	執 字 是 一 切 修 行 者 之 病 一 切 眾 生 之 所 以 不 得 
X22n0432_001:0905a09	成佛者。執情累之也。然熱病已深。石膏可用。中宮	成 佛 者 執 情 累 之 也 然 熱 病 已 深 石 膏 可 用 中 宮 
X22n0432_001:0905a10	既滿。硝朴可施。一味平淡。不足起死回生。故以執	既 滿 硝 朴 可 施 一 味 平 淡 不 足 起 死 回 生 故 以 執 
X22n0432_001:0905a11	破執。而病可霍然也。執持極而心光露。心光露而	破 執 而 病 可 霍 然 也 執 持 極 而 心 光 露 心 光 露 而 
X22n0432_001:0905a12	佛光臨。行人不知。而佛則洞鑒之也。且行人亦何	佛 光 臨 行 人 不 知 而 佛 則 洞 鑒 之 也 且 行 人 亦 何 
X22n0432_001:0905a13	嘗不知也。但辦一心不亂。自然換得一副骨頭。修	嘗 不 知 也 但 辦 一心不亂 自 然 換 得 一 副 骨 頭 修 
X22n0432_001:0905a14	行人於此。苦得一番便好。	行 人 於 此 苦 得 一 番 便 好 
X22n0432_001:0905a15	若一日。若二日。若三日。若四日。若五日。若六日。若七	若 一 日 若 二 日 若 三 日 若 四 日 若 五 日 若 六 日 若 七 
X22n0432_001:0905a16	日。	日 
X22n0432_001:0905a17	統言執持名號。是恒常精進也。切指一日七日。是	統 言 執 持 名 號 是 恒 常 精 進 也 切 指 一 日 七 日 是 
X22n0432_001:0905a18	勇猛精進也。如煉丹藥。或用文火。或用武火。	勇猛精進 也 如 煉 丹 藥 或 用 文 火 或 用 武 火 
X22n0432_001:0905a19	一心不亂。	一心不亂 
X22n0432_001:0905a20	心無真妄而現真妄。真妄迭興。還源不可得。真妄	心 無 真 妄 而 現 真 妄 真 妄 迭 興 還 源 不 可 得 真 妄 
X22n0432_001:0905a21	皆妄。心之所以亂也。以無量之心。念無量之佛。不	皆 妄 心 之 所 以 亂 也 以 無 量 之 心 念 無 量 之 佛 不 
X22n0432_001:0905a22	復作有量無量之想。是之謂不亂。	復 作 有 量 無 量 之 想 是 之 謂 不 亂 
X22n0432_001:0905a23	其人臨命終時。阿彌陀佛。與諸聖眾。現在其前。	其 人 臨命終時 阿 彌 陀 佛 與 諸 聖 眾 現 在 其 前 
X22n0432_001:0905a24	臨終者。將死一念之前也。佛現而在其前。一心不	臨 終 者 將 死 一 念 之 前 也 佛 現 而 在 其 前 一 心 不 
X22n0432_001:0905b01	亂之所感也。夫我心佛心。如鏡照鏡。一心念佛。是	亂 之 所 感 也 夫 我 心 佛 心 如 鏡 照 鏡 一 心 念 佛 是 
X22n0432_001:0905b02	東鏡入西鏡也。命終見佛。是西鏡入東鏡也。雖互	東 鏡 入 西 鏡 也 命 終 見 佛 是 西 鏡 入 東 鏡 也 雖 互 
X22n0432_001:0905b03	相入。而無往來之迹。但光明相接而已。○一切修	相 入 而 無 往 來 之 迹 但 光 明 相 接 而 已 一 切 修 
X22n0432_001:0905b04	行之所以不能了局者。臨命終時無把握故也。雖	行 之 所 以 不 能 了 局 者 臨命終時 無 把 握 故 也 雖 
X22n0432_001:0905b05	復氣脈澄清。爐香上達。往往局於天上神仙境界。	復 氣 脈 澄 清 爐 香 上 達 往 往 局 於 天 上 神 仙 境 界 
X22n0432_001:0905b06	降此以下。更屬無聊。有見火車獄卒者矣。有誤入	降 此 以 下 更 屬 無 聊 有 見 火 車 獄 卒 者 矣 有 誤 入 
X22n0432_001:0905b07	於堂宇園林。而化成惡道者矣。唯此阿彌陀經。單	於 堂 宇 園 林 而 化 成 惡 道 者 矣 唯 此 阿 彌 陀 經 單 
X22n0432_001:0905b08	提出臨命終時四字。如春雷一震。百蟄皆驚。具慧	提 出 臨命終時 四 字 如 春 雷 一 震 百 蟄 皆 驚 具 慧 
X22n0432_001:0905b09	命法身者。莫不有出頭之路也。此理難聞。此機難	命 法 身 者 莫 不 有 出 頭 之 路 也 此 理 難 聞 此 機 難 
X22n0432_001:0905b10	發。既聞此理矣。既發此機矣。三生眷屬。可不勉歟。	發 既 聞 此 理 矣 既 發 此 機 矣 三 生 眷 屬 可 不 勉 歟 
X22n0432_001:0905b11	是人終時。心不顛倒。即得往生阿彌陀佛極樂國土。	是 人 終 時 心 不 顛 倒 即 得 往 生 阿 彌 陀 佛 極樂國土 
X22n0432_001:0905b12	終時者。正捨報之一念也。不顛倒者。正念現前也。	終 時 者 正 捨 報 之 一 念 也 不 顛 倒 者 正 念 現 前 也 
X22n0432_001:0905b13	旁觀者見此人心不顛倒。便可信此人決已往生	旁 觀 者 見 此 人 心 不 顛 倒 便 可 信 此 人 決 已 往 生 
X22n0432_001:0905b14	也。○聞經而發願。發願而持名。持名而見佛。見佛	也 聞 經 而 發 願 發 願 而 持 名 持 名 而 見 佛 見 佛 
X22n0432_001:0905b15	而往生。五者相因。自然之次第。今之人。神脈顛倒。	而 往 生 五 者 相 因 自 然 之 次 第 今 之 人 神 脈 顛 倒 
X22n0432_001:0905b16	不得往生。但有持名之功。又不到一心不亂。所以	不 得 往 生 但 有 持 名 之 功 又 不 到 一心不亂 所 以 
X22n0432_001:0905b17	昏散者滿於域中。而慈航乃虗而無濟也。○不發	昏 散 者 滿 於 域 中 而 慈 航 乃 虗 而 無 濟 也 不 發 
X22n0432_001:0905b18	願由於不聞經。不往生由於不發願。更有貪於見	願 由 於 不 聞 經 不 往 生 由 於 不 發 願 更 有 貪 於 見 
X22n0432_001:0905b19	佛。嬾於持名。將此念佛一門。化作平板無靈之局	佛 嬾 於 持 名 將 此 念 佛 一 門 化 作 平 板 無 靈 之 局 
X22n0432_001:0905b20	面。嗚呼。無上靈丹。變成臭腐。真珠寶網。空葬泥沙。	面 嗚 呼 無 上 靈 丹 變 成 臭 腐 真 珠 寶 網 空 葬 泥 沙 
X22n0432_001:0905b21	皆心神不能圓聚故也。○念佛者。念念威神。全同	皆 心 神 不 能 圓 聚 故 也 念 佛 者 念 念 威 神 全 同 
X22n0432_001:0905b22	我佛。廣大如法界。究竟如虗空。心光明中。決無魔	我 佛 廣 大 如 法 界 究 竟 如 虗 空 心 光 明 中 決 無 魔 
X22n0432_001:0905b23	事也。	事 也 
X22n0432_001:0905b24	舍利弗。我見是利。故說此言。若有眾生聞是說者。應	舍 利 弗 我 見 是 利 故 說 此 言 若 有 眾 生 聞 是 說 者 應 
X22n0432_001:0905c01	當發願生彼國土。	當 發 願 生 彼 國 土 
X22n0432_001:0905c02	頻勸發願。是心願佛願。願願交光。持作往生之劵	頻 勸 發 願 是 心 願 佛 願 願 願 交 光 持 作 往 生 之 劵 
X22n0432_001:0905c03	也。若謂念佛一門。但以誘引凡下者。實乃罪同謗	也 若 謂 念 佛 一 門 但 以 誘 引 凡 下 者 實 乃 罪 同 謗 
X22n0432_001:0905c04	佛。	佛 
X22n0432_001:0905c05	舍利弗。如我今者。讚歎阿彌陀佛不可思議功德之	舍 利 弗 如 我 今 者 讚 歎 阿 彌 陀 佛 不可思議 功 德 之 
X22n0432_001:0905c06	利。	利 
X22n0432_001:0905c07	有形之德謂之功。無形之功謂之德。功德有益於	有 形 之 德 謂 之 功 無 形 之 功 謂 之 德 功 德 有 益 於 
X22n0432_001:0905c08	眾生。名曰利矣。不可以心思。不可以口議。言阿彌	眾 生 名 曰 利 矣 不 可 以 心 思 不 可 以 口 議 言 阿 彌 
X22n0432_001:0905c09	陀佛之功德。乃無量之功德也。讚歎者有釋迦佛。	陀 佛 之 功 德 乃 無 量 之 功 德 也 讚 歎 者 有 釋 迦 佛 
X22n0432_001:0905c10	讚歎者不止釋迦佛。以我例彼。故曰如也。	讚 歎 者 不 止 釋 迦 佛 以 我 例 彼 故 曰 如 也 
X22n0432_001:0905c11	東方亦有阿閦鞞佛。須彌相佛。大須彌佛。須彌光佛。	東 方 亦 有 阿 閦 鞞 佛 須 彌 相 佛 大 須 彌 佛 須 彌 光 佛 
X22n0432_001:0905c12	妙音佛。如是等恒河沙數諸佛(閦音促)。	妙 音 佛 如 是 等 恒 河 沙 數 諸 佛 閦 音 促 
X22n0432_001:0905c13	娑婆在極樂之東。而娑婆之東。世界正復無量也。	娑 婆 在 極 樂 之 東 而 娑 婆 之 東 世 界 正 復 無 量 也 
X22n0432_001:0905c14	極樂在娑婆之西。而極樂之西。世界正復無量也。	極 樂 在 娑 婆 之 西 而 極 樂 之 西 世 界 正 復 無 量 也 
X22n0432_001:0905c15	世人小見。但知有六合耳。豈知世界外之世界。各	世 人 小 見 但 知 有 六 合 耳 豈 知 世 界 外 之 世 界 各 
X22n0432_001:0905c16	各有大智慧光明如來。永劫悲懷。勸人念佛耶。○	各 有 大 智慧光明 如 來 永 劫 悲 懷 勸 人 念 佛 耶 
X22n0432_001:0905c17	阿閦鞞。此云不動也。須彌。山名。此云妙高也。即世	阿 閦 鞞 此 云 不 動 也 須 彌 山 名 此 云 妙 高 也 即 世 
X22n0432_001:0905c18	界正中最大之山。以山名為佛名。狀其德相之妙	界 正 中 最 大 之 山 以 山 名 為 佛 名 狀 其 德 相 之 妙 
X22n0432_001:0905c19	高也。	高 也 
X22n0432_001:0905c20	各於其國。出廣長舌相。徧覆三千大千世界。	各 於 其 國 出 廣長舌相 徧 覆 三千大千世界 
X22n0432_001:0905c21	舌相無量。由於身相無量也。身相無量。由於心相	舌 相 無 量 由 於 身 相 無 量 也 身 相 無 量 由 於 心 相 
X22n0432_001:0905c22	無量也。處處說法。法滿大千。名為徧覆矣。然佛身	無 量 也 處 處 說 法 法 滿 大 千 名 為 徧 覆 矣 然 佛 身 
X22n0432_001:0905c23	現剎。佛剎現身。身中現身。剎中現剎。舌覆大千。未	現 剎 佛 剎 現 身 身 中 現 身 剎 中 現 剎 舌 覆 大 千 未 
X22n0432_001:0905c24	嘗不實有其事也。	嘗 不 實 有 其 事 也 
X22n0432_001:0906a01	說誠實言。	說 誠 實 言 
X22n0432_001:0906a02	一切眾生。聞經不信。叢林僧眾。有終身誦此為課。	一 切 眾 生 聞 經 不 信 叢 林 僧 眾 有 終 身 誦 此 為 課 
X22n0432_001:0906a03	而不發一念往生之心者。濫取古人之願文。循例	而 不 發 一 念 往 生 之 心 者 濫 取 古 人 之 願 文 循 例 
X22n0432_001:0906a04	誦之。如數他人寶。自己無一錢。心外見法。流而不	誦 之 如 數 他 人 寶 自 己 無 一 錢 心 外 見 法 流 而 不 
X22n0432_001:0906a05	返。嗚呼。滔滔皆是矣。	返 嗚 呼 滔 滔 皆 是 矣 
X22n0432_001:0906a06	汝等眾生。當信是稱讚不可思議功德。一切諸佛所	汝 等 眾 生 當 信 是 稱 讚 不可思議 功 德 一切諸佛 所 
X22n0432_001:0906a07	護念經。	護 念 經 
X22n0432_001:0906a08	稱讚。宣揚其美也。不可思議功德。指彌陀以名號	稱 讚 宣 揚 其 美 也 不可思議 功 德 指 彌 陀 以 名 號 
X22n0432_001:0906a09	度眾生也。一切諸佛。六方佛及釋迦佛也。所護念。	度 眾 生 也 一切諸佛 六 方 佛 及 釋 迦 佛 也 所 護 念 
X22n0432_001:0906a10	信彌陀功德發願往生。內外諸魔或加殘害。一切	信 彌 陀 功 德 發 願 往 生 內 外 諸 魔 或 加 殘 害 一 切 
X22n0432_001:0906a11	如來常加護念。以威神加被而成就之也。此十五	如 來 常 加 護 念 以 威 神 加 被 而 成 就 之 也 此 十 五 
X22n0432_001:0906a12	字是經之名。今稱阿彌陀經者。省文也。	字 是 經 之 名 今 稱 阿 彌 陀 經 者 省 文 也 
X22n0432_001:0906a13	舍利弗。南方世界。有日月燈佛。名聞光佛。大燄肩佛。	舍 利 弗 南 方 世 界 有 日 月 燈 佛 名 聞 光 佛 大 燄 肩 佛 
X22n0432_001:0906a14	須彌燈佛。無量精進佛。如是等恒河沙數諸佛。各於	須 彌 燈 佛 無 量 精 進 佛 如 是 等 恒 河 沙 數 諸 佛 各 於 
X22n0432_001:0906a15	其國。出廣長舌相。徧覆三千大千世界。說誠實言。汝	其 國 出 廣長舌相 徧 覆 三千大千世界 說 誠 實 言 汝 
X22n0432_001:0906a16	等眾生。當信是稱讚不可思議功德。一切諸佛所護	等 眾 生 當 信 是 稱 讚 不可思議 功 德 一切諸佛 所 護 
X22n0432_001:0906a17	念經。	念 經 
X22n0432_001:0906a18	名聞光者。名聞他界。如光明之盛也。燄肩者。福慧	名 聞 光 者 名 聞 他 界 如 光 明 之 盛 也 燄 肩 者 福 慧 
X22n0432_001:0906a19	當躬。如兩肩發燄也。	當 躬 如 兩 肩 發 燄 也 
X22n0432_001:0906a20	舍利弗。西方世界。	舍 利 弗 西 方 世 界 
X22n0432_001:0906a21	此經六方。是指娑婆極樂十萬億佛土之外。東方	此 經 六 方 是 指 娑 婆 極 樂 十 萬 億 佛 土 之 外 東 方 
X22n0432_001:0906a22	指娑婆之東。西方指極樂之西。有無盡之西東。故	指 娑 婆 之 東 西 方 指 極 樂 之 西 有 無 盡 之 西 東 故 
X22n0432_001:0906a23	有恒河沙數諸佛。廣標西方。別稱世界。其不指極	有 恒 河 沙 數 諸 佛 廣 標 西 方 別 稱 世 界 其 不 指 極 
X22n0432_001:0906a24	樂可知也。	樂 可 知 也 
X22n0432_001:0906b01	有無量壽佛。	有 無 量 壽 佛 
X22n0432_001:0906b02	此佛之名。偶同阿彌陀佛之別名。所謂同名佛也。	此 佛 之 名 偶 同 阿 彌 陀 佛 之 別 名 所 謂 同 名 佛 也 
X22n0432_001:0906b03	每一佛出。同名者無量。或在前。或在後。或同時。一	每 一 佛 出 同 名 者 無 量 或 在 前 或 在 後 或 同 時 一 
X22n0432_001:0906b04	佛既可以多名。多佛亦可以一名。佛佛名名。燈雲	佛 既 可 以 多 名 多 佛 亦 可 以 一 名 佛 佛 名 名 燈 雲 
X22n0432_001:0906b05	水月也。	水 月 也 
X22n0432_001:0906b06	無量相佛。無量幢佛。大光佛。大明佛。寶相佛。淨光佛。	無 量 相 佛 無 量 幢 佛 大 光 佛 大 明 佛 寶 相 佛 淨 光 佛 
X22n0432_001:0906b07	如是等恒河沙數諸佛。各於其國。出廣長舌相。徧覆	如 是 等 恒 河 沙 數 諸 佛 各 於 其 國 出 廣長舌相 徧 覆 
X22n0432_001:0906b08	三千大千世界。說誠實言。汝等眾生。當信是稱讚不	三千大千世界 說 誠 實 言 汝 等 眾 生 當 信 是 稱 讚 不 
