T51n2089_001:0975a09	遊方記抄	遊 方 記 抄 
T51n2089_001:0986a08	建。一寺三院。樓閣七重。中有諸天諸佛說法	建 一 寺 三 院 樓 閣 七 重 中 有 諸 天 諸 佛 說 法 
T51n2089_001:0986a09	壇。壇內遺舍利三顆紫金函供佛牙一。長一	壇 壇 內 遺 舍 利 三 顆 紫 金 函 供 佛 牙 一 長 一 
T51n2089_001:0986a10	寸廣八分。黃色常明。後林懺播樓供佛掃帚	寸 廣 八 分 黃 色 常 明 後 林 懺 播 樓 供 佛 掃 帚 
T51n2089_001:0986a11	一把。乃迦舍草作。長三尺。圍七寸。帚柄雜	一 把 乃 迦 舍 草 作 長 三 尺 圍 七 寸 帚 柄 雜 
T51n2089_001:0986a12	寶裝飾。玉石匣盛。後建法王殿說法臺。高昌	寶 裝 飾 玉 石 匣 盛 後 建 法 王 殿 說 法 臺 高 昌 
T51n2089_001:0986a13	國王麴文哆嘇所施封一高僧無上法王號圓	國 王 麴 文 哆 嘇 所 施 封 一 高 僧 無 上 法 王 號 圓 
T51n2089_001:0986a14	通至勝佛。所度法子名嘛喝寶利。正鎖喃嚷	通 至 勝 佛 所 度 法 子 名 嘛 喝 寶 利 正 鎖 喃 嚷 
T51n2089_001:0986a15	結之師。俗居恭御都宮。是高昌王第七弟之	結 之 師 俗 居 恭 御 都 宮 是 高 昌 王 第 七 弟 之 
T51n2089_001:0986a16	遺宗。名播利鎧。厭王宮幻有之軀。欣菩提	遺 宗 名 播 利 鎧 厭 王 宮 幻 有 之 軀 欣 菩 提 
T51n2089_001:0986a17	無上之果。遂投實利。修習禪定。指示要略。	無 上 之 果 遂 投 實 利 修 習 禪 定 指 示 要 略 
T51n2089_001:0986a18	東行九萬里餘。始至大明。有先代和尚斑的	東 行 九 萬 里 餘 始 至 大 明 有 先 代 和 尚 斑 的 
T51n2089_001:0986a19	答祖歿東土。乃成化皇帝國師。嚷結翹慕華	答 祖 歿 東 土 乃 成 化 皇 帝 國 師 嚷 結 翹 慕 華 
T51n2089_001:0986a20	風。兼欽先德。發心結五眾同行。初禮大雪山	風 兼 欽 先 德 發 心 結 五 眾 同 行 初 禮 大 雪 山 
T51n2089_001:0986a21	證道臺靈鷲山說法臺。從王舍城。過入莫度	證 道 臺 靈 鷲 山 說 法 臺 從 王 舍 城 過 入 莫 度 
T51n2089_001:0986a22	達宮。所上名領文。掛號批登。五僧名。一鎖喃	達 宮 所 上 名 領 文 掛 號 批 登 五 僧 名 一 鎖 喃 
T51n2089_001:0986a23	嚷結（１）　一鎖喃陸竹（２）　一鎖喃堅剉	嚷 結 １ 一 鎖 喃 陸 竹 ２ 一 鎖 喃 堅 剉 
T51n2089_001:0986a24	（３）　一展陽喃渴（４）　一朵而只懺發站	 ３ 一 展 陽 喃 渴 ４ 一 朵 而 只 懺 發 站 
T51n2089_001:0986a25	（５）　東過縛蒭河。此河阿耨達池之源也。	 ５ 東 過 縛 蒭 河 此 河 阿 耨 達 池 之 源 也 
T51n2089_001:0986a26	遞茄赤建國。換牒掛號。一月方行。經喝桿	遞 茄 赤 建 國 換 牒 掛 號 一 月 方 行 經 喝 桿 
T51n2089_001:0986a27	國。行一月至恭御城。人民烏黑。多習波羅	國 行 一 月 至 恭 御 城 人 民 烏 黑 多 習 波 羅 
T51n2089_001:0986a28	門種。三千里過白水城。多外道幻術。不敬僧。	門 種 三 千 里 過 白 水 城 多 外 道 幻 術 不 敬 僧 
T51n2089_001:0986a29	東行五千里過呾羅斯城。其人圓晴黑面。短	東 行 五 千 里 過 呾 羅 斯 城 其 人 圓 晴 黑 面 短 
T51n2089_001:0986b01	髮長鬚。多習小乘。山出珍寶。住三月。東行至	髮 長 鬚 多 習 小 乘 山 出 珍 寶 住 三 月 東 行 至 
T51n2089_001:0986b02	羯霜那國。換牒掛號。住十月。民敬三寶。諸	羯 霜 那 國 換 牒 掛 號 住 十 月 民 敬 三 寶 諸 
T51n2089_001:0986b03	物豐盛。米麥長寸。東行三千里。至葱嶺山。山	物 豐 盛 米 麥 長 寸 東 行 三 千 里 至 葱 嶺 山 山 
T51n2089_001:0986b04	高險。有開闢至今不解之氷。凝沍汗漫。與天	高 險 有 開 闢 至 今 不 解 之 氷 凝 沍 汗 漫 與 天 
T51n2089_001:0986b05	雲相連。仰之皚然無際睨。其旁有氷峯摧落	雲 相 連 仰 之 皚 然 無 際 睨 其 旁 有 氷 峯 摧 落 
T51n2089_001:0986b06	者。橫踞路側。高可百丈。廣□數尺。以是蹊徑	者 橫 踞 路 側 高 可 百 丈 廣 數 尺 以 是 蹊 徑 
T51n2089_001:0986b07	崎嘔登涉艱阻。加以氷雪雜飛。不禁寒顫。將	崎 嘔 登 涉 艱 阻 加 以 氷 雪 雜 飛 不 禁 寒 顫 將 
T51n2089_001:0986b08	欲眠食。絕無燥處。唯是懸釜而炊。就氷而寢。	欲 眠 食 絕 無 燥 處 唯 是 懸 釜 而 炊 就 氷 而 寢 
T51n2089_001:0986b09	苦不盡言。七日方出。東南臨至特伽國。聞說	苦 不 盡 言 七 日 方 出 東 南 臨 至 特 伽 國 聞 說 
T51n2089_001:0986b10	多暑。十月時如別國八月之熱。不可前進。因	多 暑 十 月 時 如 別 國 八 月 之 熱 不 可 前 進 因 
T51n2089_001:0986b11	向東北。行至馬蟻院。乃佛在世時使阿難教	向 東 北 行 至 馬 蟻 院 乃 佛 在 世 時 使 阿 難 教 
T51n2089_001:0986b12	化之所。名因果處。停住一年。調養凍瘡。全愈	化 之 所 名 因 果 處 停 住 一 年 調 養 凍 瘡 全 愈 
T51n2089_001:0986b13	方行。嚷結所傷兩足磕破。膝額尚有可驗。	方 行 嚷 結 所 傷 兩 足 磕 破 膝 額 尚 有 可 驗 
T51n2089_001:0986b14	又東行過殑伽河即恒河廣可百丈。其水綠	又 東 行 過 殑 伽 河 即 恒 河 廣 可 百 丈 其 水 綠 
T51n2089_001:0986b15	波。見底雜石所儭。兩岸奇卉。異香木茂。而往	波 見 底 雜 石 所 儭 兩 岸 奇 卉 異 香 木 茂 而 往 
T51n2089_001:0986b16	一月至跋祿迦國。名小沙磧。王名碧多。都	一 月 至 跋 祿 迦 國 名 小 沙 磧 王 名 碧 多 都 
T51n2089_001:0986b17	城高廣。人物集盛。唯有一寺。名阿奢理兒	城 高 廣 人 物 集 盛 唯 有 一 寺 名 阿 奢 理 兒 
T51n2089_001:0986b18	寺寬廣僧多。專學禪定。多遊天竺。又東三千	寺 寬 廣 僧 多 專 學 禪 定 多 遊 天 竺 又 東 三 千 
T51n2089_001:0986b19	里。過屈支國。王號木文毱多。宮殿整齊。人	里 過 屈 支 國 王 號 木 文 毱 多 宮 殿 整 齊 人 
T51n2089_001:0986b20	民男婦赤色。敬重三寶。多幻術。所飡諸物華	民 男 婦 赤 色 敬 重 三 寶 多 幻 術 所 飡 諸 物 華 
T51n2089_001:0986b21	美。衣服精麗。使用金銀錢。停住一年。又行東	美 衣 服 精 麗 使 用 金 銀 錢 停 住 一 年 又 行 東 
T51n2089_001:0986b22	過阿耆尼國。多有銀鑛山。金鑛山。高可百	過 阿 耆 尼 國 多 有 銀 鑛 山 金 鑛 山 高 可 百 
T51n2089_001:0986b23	丈。光氣騰曜。不可名狀。賊寇極廣。其人凶	丈 光 氣 騰 曜 不 可 名 狀 賊 寇 極 廣 其 人 凶 
T51n2089_001:0986b24	惡。慘殺無忌。	惡 慘 殺 無 忌 
T51n2089_001:0986b25	又東行千里。乃古高昌國。先高昌王有妹。被	又 東 行 千 里 乃 古 高 昌 國 先 高 昌 王 有 妹 被 
T51n2089_001:0986b26	主活國王取去。亦名高昌國。古高昌國亦名	主 活 國 王 取 去 亦 名 高 昌 國 古 高 昌 國 亦 名 
T51n2089_001:0986b27	伊吾國。人物清秀。相傳玄奘法師化道之所。	伊 吾 國 人 物 清 秀 相 傳 玄 奘 法 師 化 道 之 所 
T51n2089_001:0986b28	時有漢僧駐錫。東行三千里至流沙河。即砂	時 有 漢 僧 駐 錫 東 行 三 千 里 至 流 沙 河 即 砂 
T51n2089_001:0986b29	漠磧是也。寬八百里。上無飛鳥。下絕走獸。地	漠 磧 是 也 寬 八 百 里 上 無 飛 鳥 下 絕 走 獸 地 
T51n2089_001:0986c01	不出水。土無莖草。薰風炎灼。魑魅縱衡。十日	不 出 水 土 無 莖 草 薰 風 炎 灼 魑 魅 縱 衡 十 日 
T51n2089_001:0986c02	方出。至野馬泉。安歇取水。有一大寺。名雷	方 出 至 野 馬 泉 安 歇 取 水 有 一 大 寺 名 雷 
T51n2089_001:0986c03	音。後一窟洞。名碧播屈。昔日如來降諸外道。	音 後 一 窟 洞 名 碧 播 屈 昔 日 如 來 降 諸 外 道 
T51n2089_001:0986c04	治火龍之所。住一月。東行千里。至五烽。從西	治 火 龍 之 所 住 一 月 東 行 千 里 至 五 烽 從 西 
T51n2089_001:0986c05	烽所進有一山。王乃五朧之後。代名王崙卜。	烽 所 進 有 一 山 王 乃 五 朧 之 後 代 名 王 崙 卜 
T51n2089_001:0986c06	山下一泉。方圓丈餘。清徹甚美。有達官。看	山 下 一 泉 方 圓 丈 餘 清 徹 甚 美 有 達 官 看 
T51n2089_001:0986c07	守。凡所水者。通報王知。王見五僧。甚生歡	守 凡 所 水 者 通 報 王 知 王 見 五 僧 甚 生 歡 
T51n2089_001:0986c08	喜。留住數日。與書一封寄東烽王。使人引出	喜 留 住 數 日 與 書 一 封 寄 東 烽 王 使 人 引 出 
T51n2089_001:0986c09	界。指說路逕。付水。皮袋盛之。其路一片沙漠	界 指 說 路 逕 付 水 皮 袋 盛 之 其 路 一 片 沙 漠 
T51n2089_001:0986c10	無有行處。望馬糞骨聚而進。虎狼極多。行五	無 有 行 處 望 馬 糞 骨 聚 而 進 虎 狼 極 多 行 五 
T51n2089_001:0986c11	日至東烽。遠見山上。城牆止有一門。對列器	日 至 東 烽 遠 見 山 上 城 牆 止 有 一 門 對 列 器 
T51n2089_001:0986c12	械。弓箭看守。遠官瞭見五眾。方要放箭。急呼	械 弓 箭 看 守 遠 官 瞭 見 五 眾 方 要 放 箭 急 呼 
T51n2089_001:0986c13	西烽王有書。見書方許進見。細說西來之事。	西 烽 王 有 書 見 書 方 許 進 見 細 說 西 來 之 事 
T51n2089_001:0986c14	王亦甚喜。留住一月。付水甘糧指路。從賀延	王 亦 甚 喜 留 住 一 月 付 水 甘 糧 指 路 從 賀 延 
T51n2089_001:0986c15	磧。行纔有水。東行五日至磧。乃西蕃境界。名	磧 行 纔 有 水 東 行 五 日 至 磧 乃 西 蕃 境 界 名 
T51n2089_001:0986c16	小西天。昔如來傳法於此。號鳥思藏。地面寬	小 西 天 昔 如 來 傳 法 於 此 號 鳥 思 藏 地 面 寬 
T51n2089_001:0986c17	廣。乃四家達王供奉之所。多出高僧。大殿內	廣 乃 四 家 達 王 供 奉 之 所 多 出 高 僧 大 殿 內 
T51n2089_001:0986c18	列法狀五百張。有佛子法王蓮花上師所傳	列 法 狀 五 百 張 有 佛 子 法 王 蓮 花 上 師 所 傳 
T51n2089_001:0986c19	番經番呪出滲金佛。人頂骨數珠．氆氌容金	番 經 番 呪 出 滲 金 佛 人 頂 骨 數 珠 氆 氌 容 金 
T51n2089_001:0986c20	鈴。云昔漢班定遠超住此。鎮定西域。本朝劉	鈴 云 昔 漢 班 定 遠 超 住 此 鎮 定 西 域 本 朝 劉 
T51n2089_001:0986c21	馬大監征西入界處。地氣多寒。參禮蓮花上	馬 大 監 征 西 入 界 處 地 氣 多 寒 參 禮 蓮 花 上 
T51n2089_001:0986c22	師。留二載餘。臨行與書封。達五臺山羅喉寺。	師 留 二 載 餘 臨 行 與 書 封 達 五 臺 山 羅 喉 寺 
T51n2089_001:0986c23	侯法王哨來。	侯 法 王 哨 來 
T51n2089_001:0986c24	東至玉門關。有山無關。有葫蘆河一道。上	東 至 玉 門 關 有 山 無 關 有 葫 蘆 河 一 道 上 
T51n2089_001:0986c25	廣下狹。洄波迅急。深不可渡。西岸多梧桐林。	廣 下 狹 洄 波 迅 急 深 不 可 渡 西 岸 多 梧 桐 林 
T51n2089_001:0986c26	自碩大者。作筏而進。從上稍至東北。行東南	自 碩 大 者 作 筏 而 進 從 上 稍 至 東 北 行 東 南 
T51n2089_001:0986c27	七十里。是玉門大路。封王進貢。悉由此行。隨	七 十 里 是 玉 門 大 路 封 王 進 貢 悉 由 此 行 隨 
T51n2089_001:0986c28	喜岷州秉靈寺。雅州紅花寺。山西一路而來。	喜 岷 州 秉 靈 寺 雅 州 紅 花 寺 山 西 一 路 而 來 
T51n2089_001:0986c29	上五臺山羅喉寺法王處。住二年。遇欽差御	上 五 臺 山 羅 喉 寺 法 王 處 住 二 年 遇 欽 差 御 
T51n2089_001:0987a01	馬監太監劉潤止山。引五僧至北京雙林寺	馬 監 太 監 劉 潤 止 山 引 五 僧 至 北 京 雙 林 寺 
T51n2089_001:0987a02	住。	住 
T51n2089_001:0987a03	萬曆三十年五月十五日啟奉明肅皇太后	萬 曆 三 十 年 五 月十五日 啟 奉 明 肅 皇 太 后 
T51n2089_001:0987a04	命。住萬壽菴。持呪三年。有番經廠太監張貴。	命 住 萬 壽 菴 持 呪 三 年 有 番 經 廠 太 監 張 貴 
T51n2089_001:0987a05	引奏萬歲爺。命住雙林寺。設壇濟幽。四十	引 奏 萬 歲 爺 命 住 雙 林 寺 設 壇 濟 幽 四 十 
T51n2089_001:0987a06	九晝夜。賜紫衣寶冠。命西經廠掌壇中貴。又	九 晝 夜 賜 紫 衣 寶 冠 命 西 經 廠 掌 壇 中 貴 又 
T51n2089_001:0987a07	賜織金禪衣金段十匹。膳盒八副。寄與大能	賜 織 金 禪 衣 金 段 十 匹 膳 盒 八 副 寄 與 大 能 
T51n2089_001:0987a08	仁寺。蓋先代班的答祖師。於成化年間賜法	仁 寺 蓋 先 代 班 的 答 祖 師 於 成 化 年 間 賜 法 
T51n2089_001:0987a09	王寶殿塔院也。僧五人朵兒只懺滅於五臺	王 寶 殿 塔 院 也 僧 五 人 朵 兒 只 懺 滅 於 五 臺 
T51n2089_001:0987a10	山善薩頂。展陽南渴滅於雙林。其餘二僧。一	山 善 薩 頂 展 陽 南 渴 滅 於 雙 林 其 餘 二 僧 一 
T51n2089_001:0987a11	在山海關。一在墨雲。嚷結募造滲金觀音一	在 山 海 關 一 在 墨 雲 嚷 結 募 造 滲 金 觀 音 一 
T51n2089_001:0987a12	尊。朝南海天台。齋僧三千已滿。得遇納川同	尊 朝 南 海 天 台 齋 僧 三 千 已 滿 得 遇 納 川 同 
T51n2089_001:0987a13	行至嘉奐。宰官居士見者往往詰問蹤由。敢	行 至 嘉 奐 宰 官 居 士 見 者 往 往 詰 問 蹤 由 敢 
T51n2089_001:0987a14	述大都如此。	述 大 都 如 此 
T51n2089_001:0987a17	南天竺婆羅門僧正碑	南 天 竺 婆 羅 門 僧 正 碑 
T51n2089_001:0987a19	南天竺婆羅門僧正碑(竝序)	南 天 竺 婆 羅 門 僧 正 碑 竝 序 
T51n2089_001:0987a20	夫佛日西沈。遺風東扇。十地開士。住菩提而	夫 佛 日 西 沈 遺 風 東 扇 十 地 開 士 住 菩 提 而 
T51n2089_001:0987a21	播形。八輩應真。逼機緣而演化。是以。真如奧	播 形 八 輩 應 真 逼 機 緣 而 演 化 是 以 真 如 奧 
T51n2089_001:0987a22	旨。殊五天而共融。實相圓音。同八部而俱顯。	旨 殊 五 天 而 共 融 實 相 圓 音 同 八 部 而 俱 顯 
T51n2089_001:0987a23	若乃深達法相。洞了宗極。研尋七覺。空有兩	若 乃 深 達 法 相 洞 了 宗 極 研 尋 七 覺 空 有 兩 
T51n2089_001:0987a24	亡。遊戲六通。真假雙照者僧也。僧正諱菩提	亡 遊 戲 六 通 真 假 雙 照 者 僧 也 僧 正 諱 菩 提 
T51n2089_001:0987a25	僊那。姓婆羅遲。婆羅門種也。一十六國景慕	僊 那 姓 婆 羅 遲 婆 羅 門 種 也 一 十 六 國 景 慕 
T51n2089_001:0987a26	其高義。九十五種鑽仰其英徽。但以區域敻	其 高 義 九 十 五 種 鑽 仰 其 英 徽 但 以 區 域 敻 
T51n2089_001:0987a27	隔。史傳闕然。本卿風範。難可縷言。僧正神情	隔 史 傳 闕 然 本 卿 風 範 難 可 縷 言 僧 正 神 情 
T51n2089_001:0987a28	湛寂。風宇明敏。靈臺可仰。而不可窺。智海可	湛 寂 風 宇 明 敏 靈 臺 可 仰 而 不 可 窺 智 海 可 
T51n2089_001:0987a29	注。而不可抱。於是。追支讖之英範。逐世高之	注 而 不 可 抱 於 是 追 支 讖 之 英 範 逐 世 高 之 
T51n2089_001:0987b01	逸軓。跨雪峯而進影。泛雲海而飛儀。[曰/月]險經	逸 軓 跨 雪 峯 而 進 影 泛 雲 海 而 飛 儀 [曰月] 險 經 
T51n2089_001:0987b02	遠。遂到大唐。唐國道俗。仰其徽猷。崇敬甚	遠 遂 到 大 唐 唐 國 道 俗 仰 其 徽 猷 崇 敬 甚 
T51n2089_001:0987b03	厚。于時聖朝通好。發使唐國。使人丹治比真	厚 于 時 聖 朝 通 好 發 使 唐 國 使 人 丹 治 比 真 
T51n2089_001:0987b04	人廣成。學問僧理鏡。仰其芳譽。要請東歸。僧	人 廣 成 學 問 僧 理 鏡 仰 其 芳 譽 要 請 東 歸 僧 
T51n2089_001:0987b05	正感其懇志。無所辭請。以大唐開元十八年	正 感 其 懇 志 無 所 辭 請 以 大 唐 開 元 十 八 年 
T51n2089_001:0987b06	十二月十三日。與同伴林邑僧佛徹。唐國僧	十 二 月 十 三 日 與 同 伴 林 邑 僧 佛 徹 唐 國 僧 
T51n2089_001:0987b07	道璿。隨船泛海。及于中路。忽遭暴風。波濤注	道 璿 隨 船 泛 海 及 于 中 路 忽 遭 暴 風 波 濤 注 
T51n2089_001:0987b08	日。陰曀迷天。計命忽若贅旒。去死猶其一分。	日 陰 曀 迷 天 計 命 忽 若 贅 旒 去 死 猶 其 一 分 
T51n2089_001:0987b09	舉船惶遽。不知所為。乃端仰一心。入禪觀佛。	舉 船 惶 遽 不 知 所 為 乃 端 仰 一 心 入 禪 觀 佛 
T51n2089_001:0987b10	少選之間。風定波息。眾咸嘆其奇異。以天平	少 選 之 間 風 定 波 息 眾 咸 嘆 其 奇 異 以 天 平 
T51n2089_001:0987b11	八年五月十八日。得到築紫大宰府。昔騰蘭	八 年 五 月 十 八 日 得 到 築 紫 大 宰 府 昔 騰 蘭 
T51n2089_001:0987b12	聿來。澄什利往。停跡振旦之邦。未[跳兆+鬲]日域之	聿 來 澄 什 利 往 停 跡 振 旦 之 邦 未 [跳兆鬲] 日 域 之 
T51n2089_001:0987b13	境。計遠論勞。彼有愧德。自非位超修成行積	境 計 遠 論 勞 彼 有 愧 德 自 非 位 超 修 成 行 積 
T51n2089_001:0987b14	永劫。其孰契於茲乎。同年八月八日。到於攝	永 劫 其 孰 契 於 茲 乎 同 年 八 月 八 日 到 於 攝 
T51n2089_001:0987b15	津國治下。前僧正大德行基。智煥心燈。定凝	津 國 治 下 前 僧 正 大 德 行 基 智 煥 心 燈 定 凝 
T51n2089_001:0987b16	意水。扇英風於忍土。演妙化於季運。聞僧正	意 水 扇 英 風 於 忍 土 演 妙 化 於 季 運 聞 僧 正 
T51n2089_001:0987b17	來儀。嘆未曾有。軼燕王擁帚於郭隗。侔伯喈	來 儀 嘆 未 曾 有 軼 燕 王 擁 帚 於 郭 隗 侔 伯 喈 
T51n2089_001:0987b18	倒屣於王粲。主客相謁。如舊相知。白首如新。	倒 屣 於 王 粲 主 客 相 謁 如 舊 相 知 白 首 如 新 
T51n2089_001:0987b19	傾蓋如舊。於是見矣。乃囑同法緇侶云。法本	傾 蓋 如 舊 於 是 見 矣 乃 囑 同 法 緇 侶 云 法 本 
T51n2089_001:0987b20	不然。今亦不滅。救雖赴化之質翳跡於雙林。	不 然 今 亦 不 滅 救 雖 赴 化 之 質 翳 跡 於 雙 林 
T51n2089_001:0987b21	而法身之體布影於沙界。經云。應以婆羅門	而 法 身 之 體 布 影 於 沙 界 經 云 應 以 婆 羅 門 
T51n2089_001:0987b22	身得度者。即現婆羅門身。而為說法。是也。	身 得 度 者 即 現 婆 羅 門 身 而 為 說 法 是 也 
T51n2089_001:0987b23	原夫開闢以來。雖時經百王世更萬載。未有	原 夫 開 闢 以 來 雖 時 經 百 王 世 更 萬 載 未 有 
T51n2089_001:0987b24	[葸十+夕]右梵英。印度聖種。梯山航海弘化聖朝。而	[葸十夕] 右 梵 英 印 度 聖 種 梯 山 航 海 弘 化 聖 朝 而 
T51n2089_001:0987b25	今聖德作而異人至。昌運起而大化隆。非但	今 聖 德 作 而 異 人 至 昌 運 起 而 大 化 隆 非 但 
T51n2089_001:0987b26	諸佛悲願之感。抑亦聖朝崇法之應也。我等	諸 佛 悲 願 之 感 抑 亦 聖 朝 崇 法 之 應 也 我 等 
T51n2089_001:0987b27	既逢斯運。復覩此人。蓋各盡至欵共致迎接。	既 逢 斯 運 復 覩 此 人 蓋 各 盡 至 欵 共 致 迎 接 
T51n2089_001:0987b28	於是道俗輻輳。闐城溢郭。連成幕之袂。濯為	於 是 道 俗 輻 輳 闐 城 溢 郭 連 成 幕 之 袂 濯 為 
T51n2089_001:0987b29	雨之汗。肩隨踵接。送入京輦。皇上大喜。仍勅	雨 之 汗 肩 隨 踵 接 送 入 京 輦 皇 上 大 喜 仍 勅 
T51n2089_001:0987c01	住大安寺。供給隆厚。公王英彥。莫不宗敬。行	住 大 安 寺 供 給 隆 厚 公 王 英 彥 莫 不 宗 敬 行 
T51n2089_001:0987c02	基又率京畿緇素兩眾五十餘種。前後合三	基 又 率 京 畿 緇 素 兩 眾 五 十 餘 種 前 後 合 三 
T51n2089_001:0987c03	度。僧正諷誦華嚴經。以為心要。尤善呪術。弟	度 僧 正 諷 誦 華 嚴 經 以 為 心 要 尤 善 呪 術 弟 
T51n2089_001:0987c04	子承習。至今傳之。僧正居敬行簡。喜慍不形	子 承 習 至 今 傳 之 僧 正 居 敬 行 簡 喜 慍 不 形 
T51n2089_001:0987c05	於色。含章隱曜。莫能測其淺深。高秩厚禮。	於 色 含 章 隱 曜 莫 能 測 其 淺 深 高 秩 厚 禮 
T51n2089_001:0987c06	不能迴其慮。嚴威峻法。未足懼其心。光雖和	不 能 迴 其 慮 嚴 威 峻 法 未 足 懼 其 心 光 雖 和 
T51n2089_001:0987c07	世。而弗污其體。塵雖同其心。而不測其真。以	世 而 弗 污 其 體 塵 雖 同 其 心 而 不 測 其 真 以 
T51n2089_001:0987c08	天平勝寶二年。有勅崇為僧正。大法由斯紹	天 平 勝 寶 二 年 有 勅 崇 為 僧 正 大 法 由 斯 紹 
T51n2089_001:0987c09	隆。群生以之回向。雖道迹未彰。而時英咸	隆 群 生 以 之 回 向 雖 道 迹 未 彰 而 時 英 咸 
T51n2089_001:0987c10	謂已階聖果。但夜壑貿遷。閻浮業謝。以天平	謂 已 階 聖 果 但 夜 壑 貿 遷 閻 浮 業 謝 以 天 平 
T51n2089_001:0987c11	寶字四年歲次庚子二月二十五日夜半。合	寶 字 四 年 歲 次 庚 子 二 月 二 十 五 日 夜 半 合 
T51n2089_001:0987c12	掌向西。辭色不亂。如入禪樂。奄爾遷化。即以	掌 向 西 辭 色 不 亂 如 入 禪 樂 奄 爾 遷 化 即 以 
T51n2089_001:0987c13	同年三月二日。闍維於登美山右僕射林。春	同 年 三 月 二 日 闍 維 於 登 美 山 右 僕 射 林 春 
T51n2089_001:0987c14	秋五十七。臨終告諸弟子云。吾常觀清性。直	秋 五 十 七 臨 終 告 諸 弟 子 云 吾 常 觀 清 性 直 
T51n2089_001:0987c15	嚴自性身。而猶尊重彌陀。景仰觀音。汝曹宜	嚴 自 性 身 而 猶 尊 重 彌 陀 景 仰 觀 音 汝 曹 宜 
T51n2089_001:0987c16	抽吾帑藏衣物奉造阿彌陀淨土。又云。吾生	抽 吾 帑 藏 衣 物 奉 造 阿 彌 陀 淨 土 又 云 吾 生 
T51n2089_001:0987c17	在之日。普為四恩。奉造如意輪菩薩像。而情	在 之 日 普 為 四 恩 奉 造 如 意 輪 菩 薩 像 而 情 
T51n2089_001:0987c18	願更造八大菩薩像列坐其像。而無常行迫	願 更 造 八大菩薩 像 列 坐 其 像 而 無 常 行 迫 
T51n2089_001:0987c19	其事不諧。汝曹不忘疇昔宜共相助畢功。弟	其 事 不 諧 汝 曹 不 忘 疇 昔 宜 共 相 助 畢 功 弟 
T51n2089_001:0987c20	子等奉遵遺旨。備飾八像。而感梁木之既摧。	子 等 奉 遵 遺 旨 備 飾 八 像 而 感 梁 木 之 既 摧 
T51n2089_001:0987c21	慟德音之永閟。所以炳發神功崇敬茂範。莫	慟 德 音 之 永 閟 所 以 炳 發 神 功 崇 敬 茂 範 莫 
T51n2089_001:0987c22	若在妙像於當今。傳遺影於後葉乃造成形	若 在 妙 像 於 當 今 傳 遺 影 於 後 葉 乃 造 成 形 
T51n2089_001:0987c23	像。雖英智茂範共其人既往。而美質風器與	像 雖 英 智 茂 範 共 其 人 既 往 而 美 質 風 器 與 
T51n2089_001:0987c24	嚴像而如在。爰命諛才為像贊。其辭曰。	嚴 像 而 如 在 爰 命 諛 才 為 像 贊 其 辭 曰 
T51n2089_001:0987c25	至象無色。大道無名。湛然常住。非滅非生。隨	至 象 無 色 大 道 無 名 湛 然 常 住 非 滅 非 生 隨 
T51n2089_001:0987c26	機汲引。應物兮形。發揮正教。如谷傳聲(其一)。	機 汲 引 應 物 兮 形 發 揮 正 教 如 谷 傳 聲 其 一 
T51n2089_001:0987c27	道不自弘。弘之在哲。猗歟聖王。海內有截。接	道 不 自 弘 弘 之 在 哲 猗 歟 聖 王 海 內 有 截 接 
T51n2089_001:0987c28	武異人。連肩英傑。慈訓惟闡。慧燈斯徹(其二)。	武 異 人 連 肩 英 傑 慈 訓 惟 闡 慧 燈 斯 徹 其 二 
T51n2089_001:0987c29	爰有應真。寔曰僧正。愛道崇法。忘軀委命。茂	爰 有 應 真 寔 曰 僧 正 愛 道 崇 法 忘 軀 委 命 茂 
T51n2089_001:0988a01	德彌新。玄化尤盛。四輩祛惑。一乘得徑(其三)。	德 彌 新 玄 化 尤 盛 四 輩 祛 惑 一 乘 得 徑 其 三 
T51n2089_001:0988a02	德必有類。道非獨顯。綽綽行基。幽贊妙典。起	德 必 有 類 道 非 獨 顯 綽 綽 行 基 幽 贊 妙 典 起 
T51n2089_001:0988a03	予聖賓。揄揚群善。揭誠致敬。超群惟腆(其四)。	予 聖 賓 揄 揚 群 善 揭 誠 致 敬 超 群 惟 腆 其 四 
T51n2089_001:0988a04	是生滅法。諸行無常。哲人薪盡。火移光亡。一	是 生 滅 法 諸行無常 哲 人 薪 盡 火 移 光 亡 一 
T51n2089_001:0988a05	朝歸寂。萬古增傷。傳法道侶。奄絕舟航(其五)。	朝 歸 寂 萬 古 增 傷 傳 法 道 侶 奄 絕 舟 航 其 五 
T51n2089_001:0988a06	藏山易速。閱水難息。仰德酬恩。昊天無極。幽	藏 山 易 速 閱 水 難 息 仰 德 酬 恩 昊 天 無 極 幽 
T51n2089_001:0988a07	誠曷寄。寫像追福。遍及無邊。廣覃有識(其六)。	誠 曷 寄 寫 像 追 福 遍 及 無 邊 廣 覃 有 識 其 六 
T51n2089_001:0988a08	神護景雲四年四月二十一日	神 護 景 雲 四 年 四 月 二 十 一 日 
T51n2089_001:0988a09	故婆羅門僧正入室弟子傳燈住位僧修榮	故 婆 羅 門 僧 正 入 室 弟 子 傳 燈 住 位 僧 修 榮 
T51n2089_001:0988a12	唐大和上東征傳	唐 大 和 上 東 征 傳 
T51n2089_001:0988a14	真人元開撰	真 人 元 開 撰 
