X24n0459_001:0517a07	 金剛般若波羅蜜經序	 金 剛 般若波羅蜜經 序 
X24n0459_001:0522a21	得阿耨多羅三藐三菩提。從師所學曰受。解義修	得阿耨多羅三藐三菩提 從 師 所 學 曰 受 解 義 修 
X24n0459_001:0522a22	行曰持。自解自行是自利。為人演說是利他。功德	行 曰 持 自 解 自 行 是 自 利 為 人 演 說 是 利 他 功 德 
X24n0459_001:0522a23	廣大。無有邊際。	廣 大 無有邊際 
X24n0459_001:0522a24	何以故。須菩提。一切諸佛及諸佛阿耨多羅三藐三	何 以 故 須 菩 提 一切諸佛 及 諸 佛 阿 耨 多 羅 三 藐 三 
X24n0459_001:0522b01	菩提法。皆從此經出。	菩 提 法 皆 從 此 經 出 
X24n0459_001:0522b02	此經者。非指此一卷之文也。要顯佛性。從體起用。	此 經 者 非 指 此 一 卷 之 文 也 要 顯 佛 性 從 體 起 用 
X24n0459_001:0522b03	妙利無窮。般若者。即智慧也。智以方便為功。慧以	妙 利 無 窮 般 若 者 即 智 慧 也 智 以 方 便 為 功 慧 以 
X24n0459_001:0522b04	決斷為用。即一切時中覺照心。是一切諸佛及阿	決 斷 為 用 即 一 切 時 中 覺 照 心 是 一切諸佛 及 阿 
X24n0459_001:0522b05	耨多羅三藐三菩提法。皆從覺照生。故云此經出	耨 多 羅 三藐三菩提 法 皆 從 覺 照 生 故 云 此 經 出 
X24n0459_001:0522b06	也。	也 
X24n0459_001:0522b07	須菩提。所謂佛．法者。即非佛．法。	須 菩 提 所 謂 佛 法 者 即 非 佛 法 
X24n0459_001:0522b08	所說一切文字章句。如標如指。標指者。影響之義。	所 說 一 切 文 字 章 句 如 標 如 指 標 指 者 影 響 之 義 
X24n0459_001:0522b09	依標取物。依指觀月。月不是指。標不是物。但依經	依 標 取 物 依 指 觀 月 月 不 是 指 標 不 是 物 但 依 經 
X24n0459_001:0522b10	取法。經不是法。經文則肉眼可見。法則慧眼能見。	取 法 經 不 是 法 經 文 則 肉 眼 可 見 法 則 慧 眼 能 見 
X24n0459_001:0522b11	若無慧眼者。但見其文。不見其法。若不見法。即不	若 無 慧 眼 者 但 見 其 文 不 見 其 法 若 不 見 法 即 不 
X24n0459_001:0522b12	解佛意。不解佛意。則誦經不成佛道。	解 佛 意 不 解 佛 意 則 誦 經 不 成 佛 道 
X24n0459_001:0522b13	○一相無相分第九	 一相無相 分 第 九 
X24n0459_001:0522b14	須菩提。於意云何。須陀洹能作是念。我得須陀洹果	須 菩 提 於意云何 須 陀 洹 能 作 是 念 我 得 須陀洹果 
X24n0459_001:0522b15	不。須菩提言。不也。世尊。	不 須 菩 提 言 不 也 世 尊 
X24n0459_001:0522b16	須陀洹者梵語。唐言逆流。逆生死流。不染六塵。一	須 陀 洹 者 梵 語 唐 言 逆 流 逆 生 死 流 不 染 六 塵 一 
X24n0459_001:0522b17	向修無漏業。得麤重煩惱不生。決定不受地獄畜	向 修 無 漏 業 得 麤 重 煩 惱 不 生 決 定 不 受 地 獄 畜 
X24n0459_001:0522b18	生修羅異類之身。名須陀洹果。若了無相法。即無	生 修 羅 異 類 之 身 名 須陀洹果 若 了 無 相 法 即 無 
X24n0459_001:0522b19	得果之心。微有得果之心。即不名須陀洹。故言不	得 果 之 心 微 有 得 果 之 心 即 不 名 須 陀 洹 故 言 不 
X24n0459_001:0522b20	也。	也 
X24n0459_001:0522b21	何以故。須陀洹名為入流。而無所入。不入色聲香味	何 以 故 須 陀 洹 名 為 入 流 而 無 所 入 不 入 色 聲 香 味 
X24n0459_001:0522b22	觸法。是名須陀洹。	觸 法 是 名 須 陀 洹 
X24n0459_001:0522b23	流者。聖流也。須陀洹人已離麤重煩惱。故得入聖	流 者 聖 流 也 須 陀 洹 人 已 離 麤 重 煩 惱 故 得 入 聖 
X24n0459_001:0522b24	流。而無所入者。無得果之心也。須陀洹者。乃修行	流 而 無 所 入 者 無 得 果 之 心 也 須 陀 洹 者 乃 修 行 
X24n0459_001:0522c01	人初果也。	人 初 果 也 
X24n0459_001:0522c02	須菩提。於意云何。斯陀含能作是念。我得斯陀含果	須 菩 提 於意云何 斯 陀 含 能 作 是 念 我 得 斯陀含果 
X24n0459_001:0522c03	不。須菩提言。不也。世尊。何以故。斯陀含名一往來。而	不 須 菩 提 言 不 也 世 尊 何 以 故 斯 陀 含 名 一 往 來 而 
X24n0459_001:0522c04	實無往來。是名斯陀含。	實 無 往 來 是 名 斯 陀 含 
X24n0459_001:0522c05	斯陀含者梵語。唐言一往來。捨三界結縛。三界結	斯 陀 含 者 梵 語 唐 言 一 往 來 捨 三 界 結 縛 三 界 結 
X24n0459_001:0522c06	盡。故名斯陀含。斯陀含名一往來。往來從天上却	盡 故 名 斯 陀 含 斯 陀 含 名 一 往 來 往 來 從 天 上 却 
X24n0459_001:0522c07	到人間生。從人間死却生天上竟。遂出生死。三界	到 人 間 生 從 人 間 死 却 生 天 上 竟 遂 出 生 死 三 界 
X24n0459_001:0522c08	業盡。名斯陀含果。大乘斯陀含者。目覩諸境。心有	業 盡 名 斯陀含果 大 乘 斯 陀 含 者 目 覩 諸 境 心 有 
X24n0459_001:0522c09	一生一滅。無第二生滅。故名一往來。前念起妄。後	一 生 一 滅 無 第 二 生 滅 故 名 一 往 來 前 念 起 妄 後 
X24n0459_001:0522c10	念即止。前念有著。後念即離。故實無往來。	念 即 止 前 念 有 著 後 念 即 離 故 實 無 往 來 
X24n0459_001:0522c11	須菩提。於意云何。阿那含能作是念。我得阿那含果	須 菩 提 於意云何 阿 那 含 能 作 是 念 我 得 阿那含果 
X24n0459_001:0522c12	不。須菩提言。不也。世尊。何以故。阿那含名為不來。而	不 須 菩 提 言 不 也 世 尊 何 以 故 阿 那 含 名 為 不 來 而 
X24n0459_001:0522c13	實無來。是故名阿那含。	實 無 來 是 故 名 阿 那 含 
X24n0459_001:0522c14	阿那含梵語。唐言不還。亦名出欲。出欲者外不見	阿 那 含 梵 語 唐 言 不 還 亦 名 出 欲 出 欲 者 外 不 見 
X24n0459_001:0522c15	可欲之境。內無欲心可行。定不向欲界受生。故名	可 欲 之 境 內 無 欲 心 可 行 定 不 向 欲 界 受 生 故 名 
X24n0459_001:0522c16	不來。而實無來。亦名不還。以欲習永盡。決定不來	不 來 而 實 無 來 亦 名 不 還 以 欲 習 永 盡 決 定 不 來 
X24n0459_001:0522c17	受生。是故名阿那含。	受 生 是 故 名 阿 那 含 
X24n0459_001:0522c18	須菩提。於意云何。阿羅漢能作是念。我得阿羅漢道	須 菩 提 於意云何 阿 羅 漢 能 作 是 念 我 得阿羅漢 道 
X24n0459_001:0522c19	不。須菩提言。不也。世尊。	不 須 菩 提 言 不 也 世 尊 
X24n0459_001:0522c20	諸漏已盡。無復煩惱。名阿羅漢。阿羅漢者。煩惱永	諸漏已盡 無復煩惱 名 阿 羅 漢 阿 羅 漢 者 煩 惱 永 
X24n0459_001:0522c21	盡。與物無諍。若作得果之心。即是有諍。	盡 與 物 無 諍 若 作 得 果 之 心 即 是 有 諍 
X24n0459_001:0522c22	何以故。實無有法名阿羅漢。世尊。若阿羅漢作是念。	何 以 故 實 無 有 法 名 阿 羅 漢 世 尊 若 阿 羅 漢 作 是 念 
X24n0459_001:0522c23	我得阿羅漢道。即為著我人眾生壽者。	我 得阿羅漢 道 即 為 著 我 人 眾 生 壽 者 
X24n0459_001:0522c24	阿羅漢梵語。唐言無諍。無煩惱可斷。無貪嗔可離。	阿 羅 漢 梵 語 唐 言 無 諍 無 煩 惱 可 斷 無 貪 嗔 可 離 
X24n0459_001:0523a01	性無違順。心境俱空。內外常寂。若有得果之心。即	性 無 違 順 心 境 俱 空 內 外 常 寂 若 有 得 果 之 心 即 
X24n0459_001:0523a02	同凡夫。故言不也。	同 凡 夫 故 言 不 也 
X24n0459_001:0523a03	世尊。佛說我得無諍三昧。人中最為第一。是第一離	世 尊 佛 說 我 得 無諍三昧 人 中 最 為 第 一 是 第 一 離 
X24n0459_001:0523a04	欲阿羅漢。世尊。我不作是念。我是離欲阿羅漢。	欲 阿 羅 漢 世 尊 我 不 作 是 念 我 是 離 欲 阿 羅 漢 
X24n0459_001:0523a05	何名無諍三昧。謂阿羅漢心無生滅去來。唯有本	何 名 無諍三昧 謂 阿 羅 漢 心 無 生 滅 去 來 唯 有 本 
X24n0459_001:0523a06	覺常照。故名無諍三昧。三昧梵語。此云正受。亦云	覺 常 照 故 名 無諍三昧 三 昧 梵 語 此 云 正 受 亦 云 
X24n0459_001:0523a07	正見。遠離九十五種邪見。是名正見。然空中亦有	正 見 遠 離 九 十 五 種 邪 見 是 名 正 見 然 空 中 亦 有 
X24n0459_001:0523a08	明暗諍。性中有邪正諍。念念常正。無一念邪心。即	明 暗 諍 性 中 有 邪 正 諍 念 念 常 正 無 一 念 邪 心 即 
X24n0459_001:0523a09	是無諍三昧。修此三昧。人中最為第一。若有一念	是 無諍三昧 修 此 三 昧 人 中 最 為 第 一 若 有 一 念 
X24n0459_001:0523a10	得果之心。即不名無諍三昧。	得 果 之 心 即 不 名 無諍三昧 
X24n0459_001:0523a11	世尊。我若作是念。我得阿羅漢道。世尊即不說須菩	世 尊 我 若 作 是 念 我 得阿羅漢 道 世 尊 即 不 說 須 菩 
X24n0459_001:0523a12	提是樂阿蘭那行者。以須菩提實無所行。而名須菩	提 是 樂 阿 蘭 那 行 者 以 須 菩 提 實 無 所 行 而 名 須 菩 
X24n0459_001:0523a13	提是樂阿蘭那行。	提 是 樂 阿 蘭 那 行 
X24n0459_001:0523a14	阿蘭那是梵語。唐言無諍行。無諍即是清淨行。清	阿 蘭 那 是 梵 語 唐 言 無 諍 行 無 諍 即 是 清 淨 行 清 
X24n0459_001:0523a15	淨行者。為除去有所得心也。若存有所得心。即是	淨 行 者 為 除 去 有所得心 也 若 存 有所得心 即 是 
X24n0459_001:0523a16	有諍。有諍即非清淨道。常得無所得心。即是無諍	有 諍 有 諍 即 非 清 淨 道 常 得 無 所 得 心 即 是 無 諍 
X24n0459_001:0523a17	行也。	行 也 
X24n0459_001:0523a18	○莊嚴淨土分第十	 莊 嚴 淨 土 分 第 十 
X24n0459_001:0523a19	佛告須菩提。於意云何。如來昔在然燈佛所。於法有	佛 告 須 菩 提 於意云何 如 來 昔 在 然 燈 佛 所 於 法 有 
X24n0459_001:0523a20	所得不。不也。世尊。如來在然燈佛所。於法實無所得。	所 得 不 不 也 世 尊 如 來 在 然 燈 佛 所 於 法 實 無 所 得 
X24n0459_001:0523a21	佛恐須菩提有得法之心。為遣此疑。故問之。須菩	佛 恐 須 菩 提 有 得 法 之 心 為 遣 此 疑 故 問 之 須 菩 
X24n0459_001:0523a22	提知法無所得。而白佛言。不也。然燈佛是釋迦佛	提 知 法 無 所 得 而 白 佛 言 不 也 然 燈 佛 是 釋 迦 佛 
X24n0459_001:0523a23	授記之師。故問須菩提。我於師處有法可得不。須	授 記 之 師 故 問 須 菩 提 我 於 師 處 有 法 可 得 不 須 
X24n0459_001:0523a24	菩提即謂法因師開示。而實無所得。但悟自性本	菩 提 即 謂 法 因 師 開 示 而 實 無 所 得 但 悟 自 性 本 
X24n0459_001:0523b01	來清淨。本無塵勞。寂然常照。即自成佛。當知世尊	來 清 淨 本 無 塵 勞 寂 然 常 照 即 自 成 佛 當 知 世 尊 
X24n0459_001:0523b02	在然燈佛所。於法實無所得。如來法者。譬如日光	在 然 燈 佛 所 於 法 實 無 所 得 如 來 法 者 譬 如 日 光 
X24n0459_001:0523b03	明照。無有邊際。而不可取。	明 照 無有邊際 而 不 可 取 
X24n0459_001:0523b04	須菩提。於意云何。菩薩莊嚴佛土不。不也。世尊。何以	須 菩 提 於意云何 菩 薩 莊 嚴 佛 土 不 不 也 世 尊 何 以 
X24n0459_001:0523b05	故。莊嚴佛土者。即非莊嚴。是名莊嚴。	故 莊 嚴 佛 土 者 即 非 莊 嚴 是 名 莊 嚴 
X24n0459_001:0523b06	清淨佛土。無相無形。何物而能莊嚴耶。唯以定慧	清 淨 佛 土 無 相 無 形 何 物 而 能 莊 嚴 耶 唯 以 定 慧 
X24n0459_001:0523b07	之寶。假名莊嚴。事理莊嚴有三。第一莊嚴世間佛	之 寶 假 名 莊 嚴 事 理 莊 嚴 有 三 第 一 莊 嚴 世 間 佛 
X24n0459_001:0523b08	土。造寺寫經布施供養是也。第二莊嚴身佛土。見	土 造 寺 寫 經 布 施 供 養 是 也 第 二 莊 嚴 身 佛 土 見 
X24n0459_001:0523b09	一切人。普行恭敬是也。第三莊嚴心佛土。心淨即	一 切 人 普 行 恭 敬 是 也 第 三 莊 嚴 心 佛 土 心 淨 即 
X24n0459_001:0523b10	佛土淨。念念常行佛心是也。	佛 土 淨 念 念 常 行 佛 心 是 也 
X24n0459_001:0523b11	是故須菩提。諸菩薩摩訶薩。應如是生清淨心。不應	是 故 須 菩 提 諸 菩薩摩訶薩 應 如 是 生 清 淨 心 不 應 
X24n0459_001:0523b12	住色生心。不應住聲香味觸法生心。應無所住而生	住 色 生 心 不 應 住 聲香味觸 法 生 心 應 無 所 住 而 生 
X24n0459_001:0523b13	其心。	其 心 
X24n0459_001:0523b14	此修行人不應談他是非。自言我能我解。心輕未	此 修 行 人 不 應 談 他 是 非 自 言 我 能 我 解 心 輕 未 
X24n0459_001:0523b15	學。此非清淨心也。自性常生智慧。行平等慈下心。	學 此 非 清 淨 心 也 自 性 常 生 智 慧 行 平 等 慈 下 心 
X24n0459_001:0523b16	恭敬一切眾生。是修行人清淨心也。若不自淨其	恭 敬 一 切 眾 生 是 修 行 人 清 淨 心 也 若 不 自 淨 其 
X24n0459_001:0523b17	心。愛著清淨處。心有所住。即是著法相。見色著色。	心 愛 著 清 淨 處 心 有 所 住 即 是 著 法 相 見 色 著 色 
X24n0459_001:0523b18	住色生心。即是迷人。見色離色。不住色生心。即是	住 色 生 心 即 是 迷 人 見 色 離 色 不 住 色 生 心 即 是 
X24n0459_001:0523b19	悟人。住色生心。如雲蔽天。不住色生心。如空無雲。	悟 人 住 色 生 心 如 雲 蔽 天 不 住 色 生 心 如 空 無 雲 
X24n0459_001:0523b20	日月常照。住色生心。即是妄念。不住色生心。即是	日 月 常 照 住 色 生 心 即 是 妄 念 不 住 色 生 心 即 是 
X24n0459_001:0523b21	真智。妄念生則暗。真智照則明。明則煩惱不生。暗	真 智 妄 念 生 則 暗 真 智 照 則 明 明 則 煩 惱 不 生 暗 
X24n0459_001:0523b22	則六塵競起。	則 六 塵 競 起 
X24n0459_001:0523b23	須菩提。譬如有人。身如須彌山王。於意云何。是身為	須 菩 提 譬 如 有 人 身 如須彌山 王 於意云何 是 身 為 
X24n0459_001:0523b24	大不。須菩提言。甚大。世尊。何以故。佛說非身。是名大	大 不 須 菩 提 言 甚 大 世 尊 何 以 故 佛 說 非 身 是 名 大 
X24n0459_001:0523c01	身。	身 
X24n0459_001:0523c02	色身雖大。內心量小。不名大身。內心量大。等虗空	色 身 雖 大 內 心 量 小 不 名 大 身 內 心 量 大 等 虗 空 
X24n0459_001:0523c03	界。方名大身。色身縱如須彌山。不為大也。	界 方 名 大 身 色 身 縱 如須彌山 不 為 大 也 
X24n0459_001:0523c04	○無為福勝分第十一	 無 為 福 勝 分 第 十 一 
X24n0459_001:0523c05	須菩提。如恒河中所有沙數。如是沙等恒河。於意云	須 菩 提 如 恒 河 中 所 有 沙 數 如 是 沙 等 恒 河 於 意 云 
X24n0459_001:0523c06	何。是諸恒河沙。寧為多不。須菩提言。甚多。世尊。但諸	何 是 諸 恒 河 沙 寧 為 多 不 須 菩 提 言 甚 多 世 尊 但 諸 
X24n0459_001:0523c07	恒河尚多無數。何況其沙。須菩提。我今實言告汝。若	恒 河 尚 多 無 數 何 況 其 沙 須 菩 提 我 今 實 言 告 汝 若 
X24n0459_001:0523c08	有善男子．善女人。以七寶滿爾所恒河沙數三千大	有 善 男 子 善 女 人 以 七 寶 滿 爾 所 恒 河 沙 數 三 千 大 
X24n0459_001:0523c09	千世界。以用布施。得福多不。須菩提言。甚多。世尊。佛	千 世 界 以用布施 得 福 多 不 須 菩 提 言 甚 多 世 尊 佛 
X24n0459_001:0523c10	告須菩提。若善男子．善女人。於此經中。乃至受持四	告 須 菩 提 若 善 男 子 善 女 人 於 此 經 中 乃 至 受 持 四 
X24n0459_001:0523c11	句偈等。為他人說。而此福德勝前福德。	句 偈 等 為 他 人 說 而 此 福 德 勝 前 福 德 
X24n0459_001:0523c12	布施七寶。得三界中富貴報。講說大乘經典。令諸	布 施 七 寶 得 三 界 中 富 貴 報 講 說 大乘經典 令 諸 
X24n0459_001:0523c13	聞者生大智慧。成無上道。當知受持福德。勝前七	聞 者 生 大 智 慧 成 無 上 道 當 知 受 持 福 德 勝 前 七 
X24n0459_001:0523c14	寶福德。	寶 福 德 
X24n0459_001:0523c16	金剛般若波羅蜜經卷上	金 剛 般若波羅蜜經 卷 上 
X24n0459_002:0523c20	金剛般若波羅蜜經卷下	金 剛 般若波羅蜜經 卷 下 
X24n0459_002:0523c21	東晉武帝時後秦沙門鳩摩羅什奉詔　譯	東 晉 武 帝 時 後 秦 沙 門 鳩 摩 羅 什 奉 詔 譯 
X24n0459_002:0523c22	梁昭明太子嘉其分目	梁 昭 明 太 子 嘉 其 分 目 
X24n0459_002:0523c23	唐六祖　大鑒真空普覺禪師　解義	唐 六 祖 大 鑒 真 空 普 覺 禪 師 解 義 
X24n0459_002:0523c24	○尊重正教分第十二	 尊 重 正 教 分 第 十 二 
X24n0459_002:0524a01	復次。須菩提。隨說是經。乃至四句偈等。當知此處。一	復 次 須 菩 提 隨 說 是 經 乃 至 四 句 偈 等 當 知 此 處 一 
X24n0459_002:0524a02	切世間天人阿修羅。皆應供養。如佛塔廟。	切 世 間 天 人 阿 修 羅 皆 應 供 養 如 佛 塔 廟 
X24n0459_002:0524a03	所在之處。如有人即說是經。者念念常行無念。心	所 在 之 處 如 有 人 即 說 是 經 者 念 念 常 行 無 念 心 
X24n0459_002:0524a04	無所得心。不作能所心說。若能遠離諸心。常依無	無 所 得 心 不 作 能 所 心 說 若 能 遠 離 諸 心 常 依 無 
X24n0459_002:0524a05	所得心。即此身中有如來金身舍利。故言如佛塔	所 得 心 即 此 身 中 有 如 來 金 身 舍 利 故 言 如 佛 塔 
X24n0459_002:0524a06	廟。以無所得心說此經者。感得天龍八部。悉來聽	廟 以 無 所 得 心 說 此 經 者 感 得 天 龍 八 部 悉 來 聽 
X24n0459_002:0524a07	受。心若不清淨。但為名聲利益而說是經者。死墮	受 心 若 不 清 淨 但 為 名 聲 利 益 而 說 是 經 者 死 墮 
X24n0459_002:0524a08	三塗。有何利益。心若清淨為說是經。令諸聽者除	三 塗 有 何 利 益 心 若 清 淨 為 說 是 經 令 諸 聽 者 除 
X24n0459_002:0524a09	迷妄心。悟得本來佛性。常行真實。感得天人阿修	迷 妄 心 悟 得 本 來 佛 性 常 行 真 實 感 得 天 人 阿 修 
X24n0459_002:0524a10	羅等。皆來供養持經之人也。	羅 等 皆 來 供 養 持 經 之 人 也 
X24n0459_002:0524a11	何況有人盡能受持讀誦。須菩提。當知是人。成就最	何 況 有 人 盡 能 受持讀誦 須 菩 提 當 知 是 人 成 就 最 
X24n0459_002:0524a12	上第一希有之法。若是經典所在之處。則為有佛。若	上 第一希有 之 法 若 是 經 典 所 在 之 處 則 為 有 佛 若 
X24n0459_002:0524a13	尊重弟子。	尊重弟子 
X24n0459_002:0524a14	自心誦得此經。自心解得經義。自心體得無著無	自 心 誦 得 此 經 自 心 解 得 經 義 自 心 體 得 無 著 無 
X24n0459_002:0524a15	相之理。所在之處。常修佛行。念念心無有間歇。即	相 之 理 所 在 之 處 常 修 佛 行 念 念 心 無 有 間 歇 即 
X24n0459_002:0524a16	自心是佛。故言所在之處。則為有佛。	自 心 是 佛 故 言 所 在 之 處 則 為 有 佛 
X24n0459_002:0524a17	○如法受持分第十三	 如 法 受 持 分 第 十 三 
X24n0459_002:0524a18	爾時須菩提白佛言。世尊。當何名此經。我等云何奉	爾 時 須 菩 提 白 佛 言 世 尊 當 何 名 此 經 我 等 云 何 奉 
X24n0459_002:0524a19	持。佛告須菩提。是經名為金剛般若波羅蜜。以是名	持 佛 告 須 菩 提 是 經 名 為 金 剛 般 若 波 羅 蜜 以 是 名 
X24n0459_002:0524a20	字。汝當奉持。所以者何。須菩提。佛說般若波羅蜜。即	字 汝 當 奉 持 所以者何 須 菩 提 佛 說 般 若 波 羅 蜜 即 
X24n0459_002:0524a21	非般若波羅蜜。是名般若波羅蜜。	非 般 若 波 羅 蜜 是 名 般 若 波 羅 蜜 
X24n0459_002:0524a22	佛說般若波羅蜜。令諸學人用智慧除却愚心生	佛 說 般 若 波 羅 蜜 令 諸 學 人 用 智 慧 除 却 愚 心 生 
X24n0459_002:0524a23	滅。生滅除盡。即到彼岸。若心有所得。即不到彼岸。	滅 生 滅 除 盡 即 到 彼 岸 若 心 有 所 得 即 不 到 彼 岸 
X24n0459_002:0524a24	心無一法可得。即是彼岸。口說心行。乃是到彼岸。	心 無 一 法 可 得 即 是 彼 岸 口 說 心 行 乃 是 到 彼 岸 
X24n0459_002:0524b01	須菩提。於意云何。如來有所說法不。須菩提白佛言。	須 菩 提 於意云何 如 來 有 所 說 法 不 須 菩 提 白 佛 言 
X24n0459_002:0524b02	世尊。如來無所說。	世 尊 如 來 無 所 說 
X24n0459_002:0524b03	佛問須菩提。如來說法。心有所得不。須菩提知如	佛 問 須 菩 提 如 來 說 法 心 有 所 得 不 須 菩 提 知 如 
X24n0459_002:0524b04	來說法。心無所得。故言無所說也。如來意者。欲令	來 說 法 心 無 所 得 故 言 無 所 說 也 如 來 意 者 欲 令 
X24n0459_002:0524b05	世人離有所得之心。故說般若波羅蜜法。令一切	世 人 離 有 所 得 之 心 故 說 般 若 波 羅 蜜 法 令 一 切 
X24n0459_002:0524b06	人聞之。皆發菩提心。悟無生理。成無上道也。	人 聞 之 皆 發菩提心 悟 無 生 理 成 無 上 道 也 
X24n0459_002:0524b07	須菩提。於意云何。三千大千世界所有微塵。是為多	須 菩 提 於意云何 三千大千世界 所 有 微 塵 是 為 多 
X24n0459_002:0524b08	不。須菩提言。甚多。世尊。須菩提。諸微塵如來說非微	不 須 菩 提 言 甚 多 世 尊 須 菩 提 諸 微 塵 如 來 說 非 微 
X24n0459_002:0524b09	塵。是名微塵。如來說世界非世界。是名世界。	塵 是 名 微 塵 如 來 說 世 界 非 世 界 是 名 世 界 
X24n0459_002:0524b10	如來說眾生性中妄念。如三千大千世界中所有	如 來 說 眾 生 性 中 妄 念 如 三千大千世界 中 所 有 
X24n0459_002:0524b11	微塵。一切眾生。被妄念微塵起滅不停。遮蔽佛性。	微 塵 一 切 眾 生 被 妄 念 微 塵 起 滅 不 停 遮 蔽 佛 性 
X24n0459_002:0524b12	不得解脫。若能念念真正修般若波羅蜜無著無	不得解脫 若 能 念 念 真 正 修 般 若 波 羅 蜜 無 著 無 
X24n0459_002:0524b13	相之行。了妄念塵勞。即清淨法性。妄念既無。即非	相 之 行 了 妄 念 塵 勞 即 清 淨 法 性 妄 念 既 無 即 非 
X24n0459_002:0524b14	微塵。是名微塵。了真即妄。了妄即真。真妄俱泯。無	微 塵 是 名 微 塵 了 真 即 妄 了 妄 即 真 真 妄 俱 泯 無 
X24n0459_002:0524b15	別有法。故云是名微塵。性中無塵勞。即是佛世界。	別 有 法 故 云 是 名 微 塵 性 中 無 塵 勞 即 是 佛 世 界 
X24n0459_002:0524b16	心中有塵勞。即是眾生世界。了諸妄念空寂。故云	心 中 有 塵 勞 即 是 眾 生 世 界 了 諸 妄 念 空 寂 故 云 
X24n0459_002:0524b17	非世界。證得如來法身。普見塵剎。應用無方。是名	非 世 界 證 得 如來法身 普 見 塵 剎 應 用 無 方 是 名 
X24n0459_002:0524b18	世界。	世 界 
X24n0459_002:0524b19	須菩提。於意云何。可以三十二相見如來不。不也。世	須 菩 提 於意云何 可 以 三十二相 見 如 來 不 不 也 世 
X24n0459_002:0524b20	尊。不可以三十二相得見如來。何以故。如來說三十	尊 不 可 以 三十二相 得 見 如 來 何 以 故 如 來 說 三 十 
X24n0459_002:0524b21	二相。即是非相。是名三十二相。	二 相 即 是 非 相 是 名 三十二相 
X24n0459_002:0524b22	三十二相者。是三十二清淨行。三十二清淨行者。	三十二相 者 是 三 十 二 清 淨 行 三 十 二 清 淨 行 者 
X24n0459_002:0524b23	於五根中修六波羅蜜。於意根中修無相無為。是	於 五 根 中 修 六波羅蜜 於 意 根 中 修 無 相 無 為 是 
X24n0459_002:0524b24	名三十二清淨行。常修此三十二清淨行。即得成	名 三 十 二 清 淨 行 常 修 此 三 十 二 清 淨 行 即 得 成 
X24n0459_002:0524c01	佛。若不修三十二相清淨行。終不成佛。但愛著如	佛 若 不 修 三十二相 清 淨 行 終 不 成 佛 但 愛 著 如 
X24n0459_002:0524c02	來三十二相。自不修三十二行。終不得見如來。	來 三十二相 自 不 修 三 十 二 行 終 不 得 見 如 來 
X24n0459_002:0524c03	須菩提。若有善男子．善女人。以恒河沙等身命布施。	須 菩 提 若 有 善 男 子 善 女 人 以 恒 河 沙 等 身 命 布 施 
X24n0459_002:0524c04	若復有人。於此經中。乃至受持四句偈等。為他人說。	若 復 有 人 於 此 經 中 乃 至 受 持 四 句 偈 等 為 他 人 說 
X24n0459_002:0524c05	其福甚多。	其 福 甚 多 
X24n0459_002:0524c06	世間重者莫過於身命。菩薩為法。於無量劫中捨	世 間 重 者 莫 過 於 身 命 菩 薩 為 法 於 無 量 劫 中 捨 
X24n0459_002:0524c07	施身命與一切眾生。其福雖多。亦不如受持此經	施 身 命 與 一 切 眾 生 其 福 雖 多 亦 不 如 受 持 此 經 
X24n0459_002:0524c08	四句之福。多劫捨身。不了空義。妄心不除。元是眾	四 句 之 福 多 劫 捨 身 不 了 空 義 妄 心 不 除 元 是 眾 
X24n0459_002:0524c09	生。一念持經。我人頓盡。妄想既除。言下成佛。故知	生 一 念 持 經 我 人 頓 盡 妄 想 既 除 言 下 成 佛 故 知 
X24n0459_002:0524c10	多劫捨身。不如持經四句之福。	多 劫 捨 身 不 如 持 經 四 句 之 福 
X24n0459_002:0524c11	○離相寂滅分第十四	 離 相 寂 滅 分 第 十 四 
X24n0459_002:0524c12	爾時。須菩提聞說是經。深解意趣。涕淚悲泣。而白佛	爾 時 須 菩 提 聞 說 是 經 深 解 意 趣 涕 淚 悲 泣 而 白 佛 
X24n0459_002:0524c13	言。希有世尊。佛說如是甚深經典。我從昔來所得慧	言 希 有 世 尊 佛 說 如 是 甚深經典 我 從 昔 來 所 得 慧 
X24n0459_002:0524c14	眼。未曾得聞如是之經。世尊。若復有人。得聞是經。信	眼 未 曾 得 聞 如 是 之 經 世 尊 若 復 有 人 得 聞 是 經 信 
X24n0459_002:0524c15	心清淨。則生實相。當知是人。成就第一希有功德。	心 清 淨 則 生 實 相 當 知 是 人 成 就 第一希有 功 德 
X24n0459_002:0524c16	自性不癡名慧眼。聞法自悟名法眼。須菩提是阿	自 性 不 癡 名 慧 眼 聞 法 自 悟 名 法 眼 須 菩 提 是 阿 
X24n0459_002:0524c17	羅漢。於五百弟子中。解空第一。已曾勤奉多佛。豈	羅 漢 於 五 百 弟 子 中 解 空 第 一 已 曾 勤 奉 多 佛 豈 
X24n0459_002:0524c18	得不聞如是深法。豈於釋迦牟尼佛所始言聞也。	得 不 聞 如 是 深 法 豈 於 釋 迦 牟 尼 佛 所 始 言 聞 也 
X24n0459_002:0524c19	然或是須菩提於往昔所得。乃聲聞慧眼。至今方	然 或 是 須 菩 提 於 往 昔 所 得 乃 聲 聞 慧 眼 至 今 方 
